context: I'm late, I'm late! response:	I gotta go, I gotta go!
context: Thanks.\What's up with that?!\The normal you would totally kick my butt, bury me in the ground,\and stomp off, shouting all kinds of abuse!\Who the hell are you, anyway?\But no matter how you look at it, that one's the awful Chitoge, right?\It just might be better for her to stay this way.\No, no! No way would that be better! response:	I came this close to being deceived by a gentle lie!
context: What's up with that?!\The normal you would totally kick my butt, bury me in the ground,\and stomp off, shouting all kinds of abuse!\Who the hell are you, anyway?\But no matter how you look at it, that one's the awful Chitoge, right?\It just might be better for her to stay this way.\No, no! No way would that be better!\I came this close to being deceived by a gentle lie! response:	No choice, then. I'll just start all over and look for it...
context: The normal you would totally kick my butt, bury me in the ground,\and stomp off, shouting all kinds of abuse!\Who the hell are you, anyway?\But no matter how you look at it, that one's the awful Chitoge, right?\It just might be better for her to stay this way.\No, no! No way would that be better!\I came this close to being deceived by a gentle lie!\No choice, then. I'll just start all over and look for it... response:	Is that...?
context: and stomp off, shouting all kinds of abuse!\Who the hell are you, anyway?\But no matter how you look at it, that one's the awful Chitoge, right?\It just might be better for her to stay this way.\No, no! No way would that be better!\I came this close to being deceived by a gentle lie!\No choice, then. I'll just start all over and look for it...\Is that...? response:	What's the matter?
context: Who the hell are you, anyway?\But no matter how you look at it, that one's the awful Chitoge, right?\It just might be better for her to stay this way.\No, no! No way would that be better!\I came this close to being deceived by a gentle lie!\No choice, then. I'll just start all over and look for it...\Is that...?\What's the matter? response:	Hey, Chitoge.
context: But no matter how you look at it, that one's the awful Chitoge, right?\It just might be better for her to stay this way.\No, no! No way would that be better!\I came this close to being deceived by a gentle lie!\No choice, then. I'll just start all over and look for it...\Is that...?\What's the matter?\Hey, Chitoge. response:	You've got great eyesight, right?
context: It just might be better for her to stay this way.\No, no! No way would that be better!\I came this close to being deceived by a gentle lie!\No choice, then. I'll just start all over and look for it...\Is that...?\What's the matter?\Hey, Chitoge.\You've got great eyesight, right? response:	Over there...
context: No, no! No way would that be better!\I came this close to being deceived by a gentle lie!\No choice, then. I'll just start all over and look for it...\Is that...?\What's the matter?\Hey, Chitoge.\You've got great eyesight, right?\Over there... response:	That thing caught in the telephone pole...
context: I came this close to being deceived by a gentle lie!\No choice, then. I'll just start all over and look for it...\Is that...?\What's the matter?\Hey, Chitoge.\You've got great eyesight, right?\Over there...\That thing caught in the telephone pole... response:	Found it!
context: No choice, then. I'll just start all over and look for it...\Is that...?\What's the matter?\Hey, Chitoge.\You've got great eyesight, right?\Over there...\That thing caught in the telephone pole...\Found it! response:	Found it, found it, found it!
context: Is that...?\What's the matter?\Hey, Chitoge.\You've got great eyesight, right?\Over there...\That thing caught in the telephone pole...\Found it!\Found it, found it, found it! response:	You're not getting away!
context: What's the matter?\Hey, Chitoge.\You've got great eyesight, right?\Over there...\That thing caught in the telephone pole...\Found it!\Found it, found it, found it!\You're not getting away! response:	Well, I guess I should be glad that you've cheered up.
context: Hey, Chitoge.\You've got great eyesight, right?\Over there...\That thing caught in the telephone pole...\Found it!\Found it, found it, found it!\You're not getting away!\Well, I guess I should be glad that you've cheered up. response:	Oh, crap!
context: You've got great eyesight, right?\Over there...\That thing caught in the telephone pole...\Found it!\Found it, found it, found it!\You're not getting away!\Well, I guess I should be glad that you've cheered up.\Oh, crap! response:	I've lost sight of it!
context: Over there...\That thing caught in the telephone pole...\Found it!\Found it, found it, found it!\You're not getting away!\Well, I guess I should be glad that you've cheered up.\Oh, crap!\I've lost sight of it! response:	But I'm gonna find it, no matter what!
context: That thing caught in the telephone pole...\Found it!\Found it, found it, found it!\You're not getting away!\Well, I guess I should be glad that you've cheered up.\Oh, crap!\I've lost sight of it!\But I'm gonna find it, no matter what! response:	Found it!
context: Found it!\Found it, found it, found it!\You're not getting away!\Well, I guess I should be glad that you've cheered up.\Oh, crap!\I've lost sight of it!\But I'm gonna find it, no matter what!\Found it! response:	I'm gonna catch it this time for sure!
context: Found it, found it, found it!\You're not getting away!\Well, I guess I should be glad that you've cheered up.\Oh, crap!\I've lost sight of it!\But I'm gonna find it, no matter what!\Found it!\I'm gonna catch it this time for sure! response:	Hold up!
context: You're not getting away!\Well, I guess I should be glad that you've cheered up.\Oh, crap!\I've lost sight of it!\But I'm gonna find it, no matter what!\Found it!\I'm gonna catch it this time for sure!\Hold up! response:	Not there!
context: Well, I guess I should be glad that you've cheered up.\Oh, crap!\I've lost sight of it!\But I'm gonna find it, no matter what!\Found it!\I'm gonna catch it this time for sure!\Hold up!\Not there! response:	N-No way...
context: Oh, crap!\I've lost sight of it!\But I'm gonna find it, no matter what!\Found it!\I'm gonna catch it this time for sure!\Hold up!\Not there!\N-No way... response:	Hey, hey.
context: I've lost sight of it!\But I'm gonna find it, no matter what!\Found it!\I'm gonna catch it this time for sure!\Hold up!\Not there!\N-No way...\Hey, hey. response:	What's all this crying for, huh?
context: But I'm gonna find it, no matter what!\Found it!\I'm gonna catch it this time for sure!\Hold up!\Not there!\N-No way...\Hey, hey.\What's all this crying for, huh? response:	Raku...
context: Found it!\I'm gonna catch it this time for sure!\Hold up!\Not there!\N-No way...\Hey, hey.\What's all this crying for, huh?\Raku... response:	Because... my ribbon...
context: I'm gonna catch it this time for sure!\Hold up!\Not there!\N-No way...\Hey, hey.\What's all this crying for, huh?\Raku...\Because... my ribbon... response:	No, that's the ribbon that I bought.
context: Hold up!\Not there!\N-No way...\Hey, hey.\What's all this crying for, huh?\Raku...\Because... my ribbon...\No, that's the ribbon that I bought. response:	My ribbon just got blown away by the wind, too.
context: Not there!\N-No way...\Hey, hey.\What's all this crying for, huh?\Raku...\Because... my ribbon...\No, that's the ribbon that I bought.\My ribbon just got blown away by the wind, too. response:	You were chasing after the wrong one.
context: N-No way...\Hey, hey.\What's all this crying for, huh?\Raku...\Because... my ribbon...\No, that's the ribbon that I bought.\My ribbon just got blown away by the wind, too.\You were chasing after the wrong one. response:	And just now, I picked up your ribbon.
context: Hey, hey.\What's all this crying for, huh?\Raku...\Because... my ribbon...\No, that's the ribbon that I bought.\My ribbon just got blown away by the wind, too.\You were chasing after the wrong one.\And just now, I picked up your ribbon. response:	Here.
context: What's all this crying for, huh?\Raku...\Because... my ribbon...\No, that's the ribbon that I bought.\My ribbon just got blown away by the wind, too.\You were chasing after the wrong one.\And just now, I picked up your ribbon.\Here. response:	You can tell by the smell, right?
context: Raku...\Because... my ribbon...\No, that's the ribbon that I bought.\My ribbon just got blown away by the wind, too.\You were chasing after the wrong one.\And just now, I picked up your ribbon.\Here.\You can tell by the smell, right? response:	Go on and make sure.
context: Because... my ribbon...\No, that's the ribbon that I bought.\My ribbon just got blown away by the wind, too.\You were chasing after the wrong one.\And just now, I picked up your ribbon.\Here.\You can tell by the smell, right?\Go on and make sure. response:	This is the real deal!
context: No, that's the ribbon that I bought.\My ribbon just got blown away by the wind, too.\You were chasing after the wrong one.\And just now, I picked up your ribbon.\Here.\You can tell by the smell, right?\Go on and make sure.\This is the real deal! response:	I'm relieved!
context: My ribbon just got blown away by the wind, too.\You were chasing after the wrong one.\And just now, I picked up your ribbon.\Here.\You can tell by the smell, right?\Go on and make sure.\This is the real deal!\I'm relieved! response:	I'm so relieved!
context: You were chasing after the wrong one.\And just now, I picked up your ribbon.\Here.\You can tell by the smell, right?\Go on and make sure.\This is the real deal!\I'm relieved!\I'm so relieved! response:	Seriously... Next time, be sure to...
context: And just now, I picked up your ribbon.\Here.\You can tell by the smell, right?\Go on and make sure.\This is the real deal!\I'm relieved!\I'm so relieved!\Seriously... Next time, be sure to... response:	Thank you!
context: Here.\You can tell by the smell, right?\Go on and make sure.\This is the real deal!\I'm relieved!\I'm so relieved!\Seriously... Next time, be sure to...\Thank you! response:	Thank you!
context: You can tell by the smell, right?\Go on and make sure.\This is the real deal!\I'm relieved!\I'm so relieved!\Seriously... Next time, be sure to...\Thank you!\Thank you! response:	Why are you glomming onto me, moron?!
context: Go on and make sure.\This is the real deal!\I'm relieved!\I'm so relieved!\Seriously... Next time, be sure to...\Thank you!\Thank you!\Why are you glomming onto me, moron?! response:	I'll never lose you again, all right?
context: This is the real deal!\I'm relieved!\I'm so relieved!\Seriously... Next time, be sure to...\Thank you!\Thank you!\Why are you glomming onto me, moron?!\I'll never lose you again, all right? response:	Oh, man...
context: I'm relieved!\I'm so relieved!\Seriously... Next time, be sure to...\Thank you!\Thank you!\Why are you glomming onto me, moron?!\I'll never lose you again, all right?\Oh, man... response:	So she's finally back to being her usual self, huh?
context: I'm so relieved!\Seriously... Next time, be sure to...\Thank you!\Thank you!\Why are you glomming onto me, moron?!\I'll never lose you again, all right?\Oh, man...\So she's finally back to being her usual self, huh? response:	It seems just a little too bad.
context: Seriously... Next time, be sure to...\Thank you!\Thank you!\Why are you glomming onto me, moron?!\I'll never lose you again, all right?\Oh, man...\So she's finally back to being her usual self, huh?\It seems just a little too bad. response:	What's your problem?
context: Thank you!\Thank you!\Why are you glomming onto me, moron?!\I'll never lose you again, all right?\Oh, man...\So she's finally back to being her usual self, huh?\It seems just a little too bad.\What's your problem? response:	No... this feels more natural, after all.
context: Thank you!\Why are you glomming onto me, moron?!\I'll never lose you again, all right?\Oh, man...\So she's finally back to being her usual self, huh?\It seems just a little too bad.\What's your problem?\No... this feels more natural, after all. response:	Hey! Why are you smiling?
context: Why are you glomming onto me, moron?!\I'll never lose you again, all right?\Oh, man...\So she's finally back to being her usual self, huh?\It seems just a little too bad.\What's your problem?\No... this feels more natural, after all.\Hey! Why are you smiling? response:	Nothing.
context: I'll never lose you again, all right?\Oh, man...\So she's finally back to being her usual self, huh?\It seems just a little too bad.\What's your problem?\No... this feels more natural, after all.\Hey! Why are you smiling?\Nothing. response:	Hey, come on!
context: Oh, man...\So she's finally back to being her usual self, huh?\It seems just a little too bad.\What's your problem?\No... this feels more natural, after all.\Hey! Why are you smiling?\Nothing.\Hey, come on! response:	Just Testing
context: So she's finally back to being her usual self, huh?\It seems just a little too bad.\What's your problem?\No... this feels more natural, after all.\Hey! Why are you smiling?\Nothing.\Hey, come on!\Just Testing response:	A LITTLE LOVE HERE!!
context: It seems just a little too bad.\What's your problem?\No... this feels more natural, after all.\Hey! Why are you smiling?\Nothing.\Hey, come on!\Just Testing\A LITTLE LOVE HERE!! response:	Confess...
context: What's your problem?\No... this feels more natural, after all.\Hey! Why are you smiling?\Nothing.\Hey, come on!\Just Testing\A LITTLE LOVE HERE!!\Confess... response:	No, no, no... Not happening, not happening!
context: No... this feels more natural, after all.\Hey! Why are you smiling?\Nothing.\Hey, come on!\Just Testing\A LITTLE LOVE HERE!!\Confess...\No, no, no... Not happening, not happening! response:	But...
context: Hey! Why are you smiling?\Nothing.\Hey, come on!\Just Testing\A LITTLE LOVE HERE!!\Confess...\No, no, no... Not happening, not happening!\But... response:	If... If I did...
context: Nothing.\Hey, come on!\Just Testing\A LITTLE LOVE HERE!!\Confess...\No, no, no... Not happening, not happening!\But...\If... If I did... response:	I wonder what would happen?
context: Hey, come on!\Just Testing\A LITTLE LOVE HERE!!\Confess...\No, no, no... Not happening, not happening!\But...\If... If I did...\I wonder what would happen? response:	As for how I feel about him... Well...
context: Just Testing\A LITTLE LOVE HERE!!\Confess...\No, no, no... Not happening, not happening!\But...\If... If I did...\I wonder what would happen?\As for how I feel about him... Well... response:	I like him.
context: A LITTLE LOVE HERE!!\Confess...\No, no, no... Not happening, not happening!\But...\If... If I did...\I wonder what would happen?\As for how I feel about him... Well...\I like him. response:	But as for whether or not I want to date him...
context: Confess...\No, no, no... Not happening, not happening!\But...\If... If I did...\I wonder what would happen?\As for how I feel about him... Well...\I like him.\But as for whether or not I want to date him... response:	To be honest, I'm not sure.
context: No, no, no... Not happening, not happening!\But...\If... If I did...\I wonder what would happen?\As for how I feel about him... Well...\I like him.\But as for whether or not I want to date him...\To be honest, I'm not sure. response:	What is it that I want to do?
context: But...\If... If I did...\I wonder what would happen?\As for how I feel about him... Well...\I like him.\But as for whether or not I want to date him...\To be honest, I'm not sure.\What is it that I want to do? response:	How do I want this to end up?
context: If... If I did...\I wonder what would happen?\As for how I feel about him... Well...\I like him.\But as for whether or not I want to date him...\To be honest, I'm not sure.\What is it that I want to do?\How do I want this to end up? response:	If I did confess my feelings, would it change anything?
context: I wonder what would happen?\As for how I feel about him... Well...\I like him.\But as for whether or not I want to date him...\To be honest, I'm not sure.\What is it that I want to do?\How do I want this to end up?\If I did confess my feelings, would it change anything? response:	Should I do it? As a test.
context: As for how I feel about him... Well...\I like him.\But as for whether or not I want to date him...\To be honest, I'm not sure.\What is it that I want to do?\How do I want this to end up?\If I did confess my feelings, would it change anything?\Should I do it? As a test. response:	Just as a test?
context: I like him.\But as for whether or not I want to date him...\To be honest, I'm not sure.\What is it that I want to do?\How do I want this to end up?\If I did confess my feelings, would it change anything?\Should I do it? As a test.\Just as a test? response:	Not for real.
context: But as for whether or not I want to date him...\To be honest, I'm not sure.\What is it that I want to do?\How do I want this to end up?\If I did confess my feelings, would it change anything?\Should I do it? As a test.\Just as a test?\Not for real. response:	Just see what it's like to say it.
context: To be honest, I'm not sure.\What is it that I want to do?\How do I want this to end up?\If I did confess my feelings, would it change anything?\Should I do it? As a test.\Just as a test?\Not for real.\Just see what it's like to say it. response:	What's going on? Staring at me like that...
context: What is it that I want to do?\How do I want this to end up?\If I did confess my feelings, would it change anything?\Should I do it? As a test.\Just as a test?\Not for real.\Just see what it's like to say it.\What's going on? Staring at me like that... response:	Impossible! Absolutely impossible!
context: How do I want this to end up?\If I did confess my feelings, would it change anything?\Should I do it? As a test.\Just as a test?\Not for real.\Just see what it's like to say it.\What's going on? Staring at me like that...\Impossible! Absolutely impossible! response:	Just the thought of confessing my feelings to him makes my head explode!
context: If I did confess my feelings, would it change anything?\Should I do it? As a test.\Just as a test?\Not for real.\Just see what it's like to say it.\What's going on? Staring at me like that...\Impossible! Absolutely impossible!\Just the thought of confessing my feelings to him makes my head explode! response:	Because if he turns me down, what am I gonna do?
context: Should I do it? As a test.\Just as a test?\Not for real.\Just see what it's like to say it.\What's going on? Staring at me like that...\Impossible! Absolutely impossible!\Just the thought of confessing my feelings to him makes my head explode!\Because if he turns me down, what am I gonna do? response:	We still have to keep up this fake love afterwards!
context: Just as a test?\Not for real.\Just see what it's like to say it.\What's going on? Staring at me like that...\Impossible! Absolutely impossible!\Just the thought of confessing my feelings to him makes my head explode!\Because if he turns me down, what am I gonna do?\We still have to keep up this fake love afterwards! response:	No way could I take that! I'd totally die!
context: Not for real.\Just see what it's like to say it.\What's going on? Staring at me like that...\Impossible! Absolutely impossible!\Just the thought of confessing my feelings to him makes my head explode!\Because if he turns me down, what am I gonna do?\We still have to keep up this fake love afterwards!\No way could I take that! I'd totally die! response:	But if I really did tell him how I feel, what kind of look would he give me?
context: Just see what it's like to say it.\What's going on? Staring at me like that...\Impossible! Absolutely impossible!\Just the thought of confessing my feelings to him makes my head explode!\Because if he turns me down, what am I gonna do?\We still have to keep up this fake love afterwards!\No way could I take that! I'd totally die!\But if I really did tell him how I feel, what kind of look would he give me? response:	Would he be happy?
context: What's going on? Staring at me like that...\Impossible! Absolutely impossible!\Just the thought of confessing my feelings to him makes my head explode!\Because if he turns me down, what am I gonna do?\We still have to keep up this fake love afterwards!\No way could I take that! I'd totally die!\But if I really did tell him how I feel, what kind of look would he give me?\Would he be happy? response:	Would he be disgusted?
context: Impossible! Absolutely impossible!\Just the thought of confessing my feelings to him makes my head explode!\Because if he turns me down, what am I gonna do?\We still have to keep up this fake love afterwards!\No way could I take that! I'd totally die!\But if I really did tell him how I feel, what kind of look would he give me?\Would he be happy?\Would he be disgusted? response:	I bet he'd be disgusted!
context: Just the thought of confessing my feelings to him makes my head explode!\Because if he turns me down, what am I gonna do?\We still have to keep up this fake love afterwards!\No way could I take that! I'd totally die!\But if I really did tell him how I feel, what kind of look would he give me?\Would he be happy?\Would he be disgusted?\I bet he'd be disgusted! response:	After all, he doesn't even see me as the girlfriend type.
context: Because if he turns me down, what am I gonna do?\We still have to keep up this fake love afterwards!\No way could I take that! I'd totally die!\But if I really did tell him how I feel, what kind of look would he give me?\Would he be happy?\Would he be disgusted?\I bet he'd be disgusted!\After all, he doesn't even see me as the girlfriend type. response:	Why are you pondering this so seriously, Chitoge?!
context: We still have to keep up this fake love afterwards!\No way could I take that! I'd totally die!\But if I really did tell him how I feel, what kind of look would he give me?\Would he be happy?\Would he be disgusted?\I bet he'd be disgusted!\After all, he doesn't even see me as the girlfriend type.\Why are you pondering this so seriously, Chitoge?! response:	Just testing!
context: No way could I take that! I'd totally die!\But if I really did tell him how I feel, what kind of look would he give me?\Would he be happy?\Would he be disgusted?\I bet he'd be disgusted!\After all, he doesn't even see me as the girlfriend type.\Why are you pondering this so seriously, Chitoge?!\Just testing! response:	You're only testing out this thought!
context: But if I really did tell him how I feel, what kind of look would he give me?\Would he be happy?\Would he be disgusted?\I bet he'd be disgusted!\After all, he doesn't even see me as the girlfriend type.\Why are you pondering this so seriously, Chitoge?!\Just testing!\You're only testing out this thought! response:	No Confession
context: Would he be happy?\Would he be disgusted?\I bet he'd be disgusted!\After all, he doesn't even see me as the girlfriend type.\Why are you pondering this so seriously, Chitoge?!\Just testing!\You're only testing out this thought!\No Confession response:	Can't Say It...
context: Would he be disgusted?\I bet he'd be disgusted!\After all, he doesn't even see me as the girlfriend type.\Why are you pondering this so seriously, Chitoge?!\Just testing!\You're only testing out this thought!\No Confession\Can't Say It... response:	If I can't tell him directly, why don't I write him a love letter?
context: I bet he'd be disgusted!\After all, he doesn't even see me as the girlfriend type.\Why are you pondering this so seriously, Chitoge?!\Just testing!\You're only testing out this thought!\No Confession\Can't Say It...\If I can't tell him directly, why don't I write him a love letter? response:	That seems like it would be much easier.
context: After all, he doesn't even see me as the girlfriend type.\Why are you pondering this so seriously, Chitoge?!\Just testing!\You're only testing out this thought!\No Confession\Can't Say It...\If I can't tell him directly, why don't I write him a love letter?\That seems like it would be much easier. response:	Wait, what am I supposed to write?
context: Why are you pondering this so seriously, Chitoge?!\Just testing!\You're only testing out this thought!\No Confession\Can't Say It...\If I can't tell him directly, why don't I write him a love letter?\That seems like it would be much easier.\Wait, what am I supposed to write? response:	I love you, please go out with me! I guess?
context: Just testing!\You're only testing out this thought!\No Confession\Can't Say It...\If I can't tell him directly, why don't I write him a love letter?\That seems like it would be much easier.\Wait, what am I supposed to write?\I love you, please go out with me! I guess? response:	Yeah...
context: You're only testing out this thought!\No Confession\Can't Say It...\If I can't tell him directly, why don't I write him a love letter?\That seems like it would be much easier.\Wait, what am I supposed to write?\I love you, please go out with me! I guess?\Yeah... response:	I...
context: No Confession\Can't Say It...\If I can't tell him directly, why don't I write him a love letter?\That seems like it would be much easier.\Wait, what am I supposed to write?\I love you, please go out with me! I guess?\Yeah...\I... response:	No Way
context: Can't Say It...\If I can't tell him directly, why don't I write him a love letter?\That seems like it would be much easier.\Wait, what am I supposed to write?\I love you, please go out with me! I guess?\Yeah...\I...\No Way response:	Can't Write That
context: If I can't tell him directly, why don't I write him a love letter?\That seems like it would be much easier.\Wait, what am I supposed to write?\I love you, please go out with me! I guess?\Yeah...\I...\No Way\Can't Write That response:	Impossible
context: That seems like it would be much easier.\Wait, what am I supposed to write?\I love you, please go out with me! I guess?\Yeah...\I...\No Way\Can't Write That\Impossible response:	It's no good! I can't write that!
context: Wait, what am I supposed to write?\I love you, please go out with me! I guess?\Yeah...\I...\No Way\Can't Write That\Impossible\It's no good! I can't write that! response:	Even if I know I'm not really handing it to him,
context: I love you, please go out with me! I guess?\Yeah...\I...\No Way\Can't Write That\Impossible\It's no good! I can't write that!\Even if I know I'm not really handing it to him, response:	it's so embarrassing, I can't take it!
context: Yeah...\I...\No Way\Can't Write That\Impossible\It's no good! I can't write that!\Even if I know I'm not really handing it to him,\it's so embarrassing, I can't take it! response:	My heart's pounding harder than I'd ever imagined.
context: I...\No Way\Can't Write That\Impossible\It's no good! I can't write that!\Even if I know I'm not really handing it to him,\it's so embarrassing, I can't take it!\My heart's pounding harder than I'd ever imagined. response:	Did all the couples in the world get through these rituals to become couples?
context: No Way\Can't Write That\Impossible\It's no good! I can't write that!\Even if I know I'm not really handing it to him,\it's so embarrassing, I can't take it!\My heart's pounding harder than I'd ever imagined.\Did all the couples in the world get through these rituals to become couples? response:	Aren't they all beyond heroic?
context: Can't Write That\Impossible\It's no good! I can't write that!\Even if I know I'm not really handing it to him,\it's so embarrassing, I can't take it!\My heart's pounding harder than I'd ever imagined.\Did all the couples in the world get through these rituals to become couples?\Aren't they all beyond heroic? response:	That's it. No letter!
context: Impossible\It's no good! I can't write that!\Even if I know I'm not really handing it to him,\it's so embarrassing, I can't take it!\My heart's pounding harder than I'd ever imagined.\Did all the couples in the world get through these rituals to become couples?\Aren't they all beyond heroic?\That's it. No letter! response:	For now, let me practice.
context: It's no good! I can't write that!\Even if I know I'm not really handing it to him,\it's so embarrassing, I can't take it!\My heart's pounding harder than I'd ever imagined.\Did all the couples in the world get through these rituals to become couples?\Aren't they all beyond heroic?\That's it. No letter!\For now, let me practice. response:	Um...
context: Even if I know I'm not really handing it to him,\it's so embarrassing, I can't take it!\My heart's pounding harder than I'd ever imagined.\Did all the couples in the world get through these rituals to become couples?\Aren't they all beyond heroic?\That's it. No letter!\For now, let me practice.\Um... response:	Let's see...
context: it's so embarrassing, I can't take it!\My heart's pounding harder than I'd ever imagined.\Did all the couples in the world get through these rituals to become couples?\Aren't they all beyond heroic?\That's it. No letter!\For now, let me practice.\Um...\Let's see... response:	You see... Um...
context: My heart's pounding harder than I'd ever imagined.\Did all the couples in the world get through these rituals to become couples?\Aren't they all beyond heroic?\That's it. No letter!\For now, let me practice.\Um...\Let's see...\You see... Um... response:	I...
context: Did all the couples in the world get through these rituals to become couples?\Aren't they all beyond heroic?\That's it. No letter!\For now, let me practice.\Um...\Let's see...\You see... Um...\I... response:	I love you! Please go out with me!
context: Aren't they all beyond heroic?\That's it. No letter!\For now, let me practice.\Um...\Let's see...\You see... Um...\I...\I love you! Please go out with me! response:	I managed to say it.
context: That's it. No letter!\For now, let me practice.\Um...\Let's see...\You see... Um...\I...\I love you! Please go out with me!\I managed to say it. response:	Although it was horribly embarrassing, I managed to say it.
context: For now, let me practice.\Um...\Let's see...\You see... Um...\I...\I love you! Please go out with me!\I managed to say it.\Although it was horribly embarrassing, I managed to say it. response:	Well, I guess if I'm talking to a doll, it's no...
context: Um...\Let's see...\You see... Um...\I...\I love you! Please go out with me!\I managed to say it.\Although it was horribly embarrassing, I managed to say it.\Well, I guess if I'm talking to a doll, it's no... response:	What are you doing, Young Mistress?
context: Let's see...\You see... Um...\I...\I love you! Please go out with me!\I managed to say it.\Although it was horribly embarrassing, I managed to say it.\Well, I guess if I'm talking to a doll, it's no...\What are you doing, Young Mistress? response:	It's not...
context: You see... Um...\I...\I love you! Please go out with me!\I managed to say it.\Although it was horribly embarrassing, I managed to say it.\Well, I guess if I'm talking to a doll, it's no...\What are you doing, Young Mistress?\It's not... response:	That was just me practicing!
context: I...\I love you! Please go out with me!\I managed to say it.\Although it was horribly embarrassing, I managed to say it.\Well, I guess if I'm talking to a doll, it's no...\What are you doing, Young Mistress?\It's not...\That was just me practicing! response:	Actually, I was just mimicking some TV show!
context: I love you! Please go out with me!\I managed to say it.\Although it was horribly embarrassing, I managed to say it.\Well, I guess if I'm talking to a doll, it's no...\What are you doing, Young Mistress?\It's not...\That was just me practicing!\Actually, I was just mimicking some TV show! response:	Anyway, Tsugumi, would you mind knocking? Knocking!
context: I managed to say it.\Although it was horribly embarrassing, I managed to say it.\Well, I guess if I'm talking to a doll, it's no...\What are you doing, Young Mistress?\It's not...\That was just me practicing!\Actually, I was just mimicking some TV show!\Anyway, Tsugumi, would you mind knocking? Knocking! response:	I did knock, but...
context: Although it was horribly embarrassing, I managed to say it.\Well, I guess if I'm talking to a doll, it's no...\What are you doing, Young Mistress?\It's not...\That was just me practicing!\Actually, I was just mimicking some TV show!\Anyway, Tsugumi, would you mind knocking? Knocking!\I did knock, but... response:	Pardon me.
context: Well, I guess if I'm talking to a doll, it's no...\What are you doing, Young Mistress?\It's not...\That was just me practicing!\Actually, I was just mimicking some TV show!\Anyway, Tsugumi, would you mind knocking? Knocking!\I did knock, but...\Pardon me. response:	Confessing your feelings is hard, after all.
context: What are you doing, Young Mistress?\It's not...\That was just me practicing!\Actually, I was just mimicking some TV show!\Anyway, Tsugumi, would you mind knocking? Knocking!\I did knock, but...\Pardon me.\Confessing your feelings is hard, after all. response:	This was just practice, and look at me!
context: It's not...\That was just me practicing!\Actually, I was just mimicking some TV show!\Anyway, Tsugumi, would you mind knocking? Knocking!\I did knock, but...\Pardon me.\Confessing your feelings is hard, after all.\This was just practice, and look at me! response:	If it were for real...
context: That was just me practicing!\Actually, I was just mimicking some TV show!\Anyway, Tsugumi, would you mind knocking? Knocking!\I did knock, but...\Pardon me.\Confessing your feelings is hard, after all.\This was just practice, and look at me!\If it were for real... response:	Totally Impossible (>_<)
context: Actually, I was just mimicking some TV show!\Anyway, Tsugumi, would you mind knocking? Knocking!\I did knock, but...\Pardon me.\Confessing your feelings is hard, after all.\This was just practice, and look at me!\If it were for real...\Totally Impossible (>_<) response:	Impossible
context: Anyway, Tsugumi, would you mind knocking? Knocking!\I did knock, but...\Pardon me.\Confessing your feelings is hard, after all.\This was just practice, and look at me!\If it were for real...\Totally Impossible (>_<)\Impossible response:	I wonder how everybody else does it?
context: I did knock, but...\Pardon me.\Confessing your feelings is hard, after all.\This was just practice, and look at me!\If it were for real...\Totally Impossible (>_<)\Impossible\I wonder how everybody else does it? response:	Hey, Dad.
context: Pardon me.\Confessing your feelings is hard, after all.\This was just practice, and look at me!\If it were for real...\Totally Impossible (>_<)\Impossible\I wonder how everybody else does it?\Hey, Dad. response:	Who confessed their feelings first, you or Mom?
context: Confessing your feelings is hard, after all.\This was just practice, and look at me!\If it were for real...\Totally Impossible (>_<)\Impossible\I wonder how everybody else does it?\Hey, Dad.\Who confessed their feelings first, you or Mom? response:	Hmm, let's see.
context: This was just practice, and look at me!\If it were for real...\Totally Impossible (>_<)\Impossible\I wonder how everybody else does it?\Hey, Dad.\Who confessed their feelings first, you or Mom?\Hmm, let's see. response:	Well, long story short, it was me, but...
context: If it were for real...\Totally Impossible (>_<)\Impossible\I wonder how everybody else does it?\Hey, Dad.\Who confessed their feelings first, you or Mom?\Hmm, let's see.\Well, long story short, it was me, but... response:	Come to think of it, I never told you how I met Hana, did I?
context: Totally Impossible (>_<)\Impossible\I wonder how everybody else does it?\Hey, Dad.\Who confessed their feelings first, you or Mom?\Hmm, let's see.\Well, long story short, it was me, but...\Come to think of it, I never told you how I met Hana, did I? response:	Hana and I met when I happened to be here in Japan on business, you see...
context: Impossible\I wonder how everybody else does it?\Hey, Dad.\Who confessed their feelings first, you or Mom?\Hmm, let's see.\Well, long story short, it was me, but...\Come to think of it, I never told you how I met Hana, did I?\Hana and I met when I happened to be here in Japan on business, you see... response:	It happened one day when we were trading gunshots with an enemy organization
context: I wonder how everybody else does it?\Hey, Dad.\Who confessed their feelings first, you or Mom?\Hmm, let's see.\Well, long story short, it was me, but...\Come to think of it, I never told you how I met Hana, did I?\Hana and I met when I happened to be here in Japan on business, you see...\It happened one day when we were trading gunshots with an enemy organization response:	in an abandoned factory...
context: Hey, Dad.\Who confessed their feelings first, you or Mom?\Hmm, let's see.\Well, long story short, it was me, but...\Come to think of it, I never told you how I met Hana, did I?\Hana and I met when I happened to be here in Japan on business, you see...\It happened one day when we were trading gunshots with an enemy organization\in an abandoned factory... response:	Looks like the pressure's on us, eh?
