context: Don't be such a sissy! response:	Yukimura, I told you that today's the due date of the School Festival's report, right?
context: Do you have something, too, Subaru?\I have another job after this.\Wow. What a hard worker.\Go ahead.\You two can leave.\I'll let the Chief know.\Are you sure, Misa-chan?\Yes. Please leave it to me. response:	Thank you, but I'm a little worried to leave you alone.
context: I have another job after this.\Wow. What a hard worker.\Go ahead.\You two can leave.\I'll let the Chief know.\Are you sure, Misa-chan?\Yes. Please leave it to me.\Thank you, but I'm a little worried to leave you alone. response:	Especially with those dangerous cases happening lately.
context: Wow. What a hard worker.\Go ahead.\You two can leave.\I'll let the Chief know.\Are you sure, Misa-chan?\Yes. Please leave it to me.\Thank you, but I'm a little worried to leave you alone.\Especially with those dangerous cases happening lately. response:	Don't worry. If a stranger shows up, I'll subdue them.
context: Go ahead.\You two can leave.\I'll let the Chief know.\Are you sure, Misa-chan?\Yes. Please leave it to me.\Thank you, but I'm a little worried to leave you alone.\Especially with those dangerous cases happening lately.\Don't worry. If a stranger shows up, I'll subdue them. response:	Are you sure it'll be fine?
context: You two can leave.\I'll let the Chief know.\Are you sure, Misa-chan?\Yes. Please leave it to me.\Thank you, but I'm a little worried to leave you alone.\Especially with those dangerous cases happening lately.\Don't worry. If a stranger shows up, I'll subdue them.\Are you sure it'll be fine? response:	Yep.
context: I'll let the Chief know.\Are you sure, Misa-chan?\Yes. Please leave it to me.\Thank you, but I'm a little worried to leave you alone.\Especially with those dangerous cases happening lately.\Don't worry. If a stranger shows up, I'll subdue them.\Are you sure it'll be fine?\Yep. response:	Then I guess I'll take your offer.
context: Are you sure, Misa-chan?\Yes. Please leave it to me.\Thank you, but I'm a little worried to leave you alone.\Especially with those dangerous cases happening lately.\Don't worry. If a stranger shows up, I'll subdue them.\Are you sure it'll be fine?\Yep.\Then I guess I'll take your offer. response:	Thanks a bunch.
context: Yes. Please leave it to me.\Thank you, but I'm a little worried to leave you alone.\Especially with those dangerous cases happening lately.\Don't worry. If a stranger shows up, I'll subdue them.\Are you sure it'll be fine?\Yep.\Then I guess I'll take your offer.\Thanks a bunch. response:	Locked. Check.
context: Thank you, but I'm a little worried to leave you alone.\Especially with those dangerous cases happening lately.\Don't worry. If a stranger shows up, I'll subdue them.\Are you sure it'll be fine?\Yep.\Then I guess I'll take your offer.\Thanks a bunch.\Locked. Check. response:	Is it the molester the Chief was talking about?
context: Especially with those dangerous cases happening lately.\Don't worry. If a stranger shows up, I'll subdue them.\Are you sure it'll be fine?\Yep.\Then I guess I'll take your offer.\Thanks a bunch.\Locked. Check.\Is it the molester the Chief was talking about? response:	He's strong.
context: Don't worry. If a stranger shows up, I'll subdue them.\Are you sure it'll be fine?\Yep.\Then I guess I'll take your offer.\Thanks a bunch.\Locked. Check.\Is it the molester the Chief was talking about?\He's strong. response:	What do you think you're doing, Usui?
context: Are you sure it'll be fine?\Yep.\Then I guess I'll take your offer.\Thanks a bunch.\Locked. Check.\Is it the molester the Chief was talking about?\He's strong.\What do you think you're doing, Usui? response:	Pretend stalker.
context: Yep.\Then I guess I'll take your offer.\Thanks a bunch.\Locked. Check.\Is it the molester the Chief was talking about?\He's strong.\What do you think you're doing, Usui?\Pretend stalker. response:	Looks like I need to show you that you've crossed the line.
context: Then I guess I'll take your offer.\Thanks a bunch.\Locked. Check.\Is it the molester the Chief was talking about?\He's strong.\What do you think you're doing, Usui?\Pretend stalker.\Looks like I need to show you that you've crossed the line. response:	Punishment?
context: Thanks a bunch.\Locked. Check.\Is it the molester the Chief was talking about?\He's strong.\What do you think you're doing, Usui?\Pretend stalker.\Looks like I need to show you that you've crossed the line.\Punishment? response:	Usui. You would have been sued if it had been any other ordinary girl.
context: Locked. Check.\Is it the molester the Chief was talking about?\He's strong.\What do you think you're doing, Usui?\Pretend stalker.\Looks like I need to show you that you've crossed the line.\Punishment?\Usui. You would have been sued if it had been any other ordinary girl. response:	All that aside, the back door wasn't locked.
context: Is it the molester the Chief was talking about?\He's strong.\What do you think you're doing, Usui?\Pretend stalker.\Looks like I need to show you that you've crossed the line.\Punishment?\Usui. You would have been sued if it had been any other ordinary girl.\All that aside, the back door wasn't locked. response:	Prez, you should be a little more self-aware.
context: He's strong.\What do you think you're doing, Usui?\Pretend stalker.\Looks like I need to show you that you've crossed the line.\Punishment?\Usui. You would have been sued if it had been any other ordinary girl.\All that aside, the back door wasn't locked.\Prez, you should be a little more self-aware. response:	You act like you're safe since you're strong,
context: What do you think you're doing, Usui?\Pretend stalker.\Looks like I need to show you that you've crossed the line.\Punishment?\Usui. You would have been sued if it had been any other ordinary girl.\All that aside, the back door wasn't locked.\Prez, you should be a little more self-aware.\You act like you're safe since you're strong, response:	but you're a girl, too, Misa-chan.
context: Pretend stalker.\Looks like I need to show you that you've crossed the line.\Punishment?\Usui. You would have been sued if it had been any other ordinary girl.\All that aside, the back door wasn't locked.\Prez, you should be a little more self-aware.\You act like you're safe since you're strong,\but you're a girl, too, Misa-chan. response:	Let go!
context: Looks like I need to show you that you've crossed the line.\Punishment?\Usui. You would have been sued if it had been any other ordinary girl.\All that aside, the back door wasn't locked.\Prez, you should be a little more self-aware.\You act like you're safe since you're strong,\but you're a girl, too, Misa-chan.\Let go! response:	Mocking me like that!
context: Punishment?\Usui. You would have been sued if it had been any other ordinary girl.\All that aside, the back door wasn't locked.\Prez, you should be a little more self-aware.\You act like you're safe since you're strong,\but you're a girl, too, Misa-chan.\Let go!\Mocking me like that! response:	What? Trying to warn me?
context: Usui. You would have been sued if it had been any other ordinary girl.\All that aside, the back door wasn't locked.\Prez, you should be a little more self-aware.\You act like you're safe since you're strong,\but you're a girl, too, Misa-chan.\Let go!\Mocking me like that!\What? Trying to warn me? response:	I know I'm a girl!
context: All that aside, the back door wasn't locked.\Prez, you should be a little more self-aware.\You act like you're safe since you're strong,\but you're a girl, too, Misa-chan.\Let go!\Mocking me like that!\What? Trying to warn me?\I know I'm a girl! response:	Get out.
context: Prez, you should be a little more self-aware.\You act like you're safe since you're strong,\but you're a girl, too, Misa-chan.\Let go!\Mocking me like that!\What? Trying to warn me?\I know I'm a girl!\Get out. response:	Bye.
context: You act like you're safe since you're strong,\but you're a girl, too, Misa-chan.\Let go!\Mocking me like that!\What? Trying to warn me?\I know I'm a girl!\Get out.\Bye. response:	She doesn't get it at all.
context: but you're a girl, too, Misa-chan.\Let go!\Mocking me like that!\What? Trying to warn me?\I know I'm a girl!\Get out.\Bye.\She doesn't get it at all. response:	Wow, so much cake.
context: Let go!\Mocking me like that!\What? Trying to warn me?\I know I'm a girl!\Get out.\Bye.\She doesn't get it at all.\Wow, so much cake. response:	Where did you get all these?
context: Mocking me like that!\What? Trying to warn me?\I know I'm a girl!\Get out.\Bye.\She doesn't get it at all.\Wow, so much cake.\Where did you get all these? response:	Wasn't it expensive?
context: What? Trying to warn me?\I know I'm a girl!\Get out.\Bye.\She doesn't get it at all.\Wow, so much cake.\Where did you get all these?\Wasn't it expensive? response:	You're so rich!
context: I know I'm a girl!\Get out.\Bye.\She doesn't get it at all.\Wow, so much cake.\Where did you get all these?\Wasn't it expensive?\You're so rich! response:	Maid Latte's chief was out until late today, so I stuck around until she returned. Then-
context: Get out.\Bye.\She doesn't get it at all.\Wow, so much cake.\Where did you get all these?\Wasn't it expensive?\You're so rich!\Maid Latte's chief was out until late today, so I stuck around until she returned. Then- response:	I'm sorry I'm late.
context: Bye.\She doesn't get it at all.\Wow, so much cake.\Where did you get all these?\Wasn't it expensive?\You're so rich!\Maid Latte's chief was out until late today, so I stuck around until she returned. Then-\I'm sorry I'm late. response:	Take this with you and enjoy.
context: She doesn't get it at all.\Wow, so much cake.\Where did you get all these?\Wasn't it expensive?\You're so rich!\Maid Latte's chief was out until late today, so I stuck around until she returned. Then-\I'm sorry I'm late.\Take this with you and enjoy. response:	She gave it to me like that.
context: Wow, so much cake.\Where did you get all these?\Wasn't it expensive?\You're so rich!\Maid Latte's chief was out until late today, so I stuck around until she returned. Then-\I'm sorry I'm late.\Take this with you and enjoy.\She gave it to me like that. response:	Anyway, that Usui. Why is he always so bossy?
context: Where did you get all these?\Wasn't it expensive?\You're so rich!\Maid Latte's chief was out until late today, so I stuck around until she returned. Then-\I'm sorry I'm late.\Take this with you and enjoy.\She gave it to me like that.\Anyway, that Usui. Why is he always so bossy? response:	Ah, forget it.
context: Wasn't it expensive?\You're so rich!\Maid Latte's chief was out until late today, so I stuck around until she returned. Then-\I'm sorry I'm late.\Take this with you and enjoy.\She gave it to me like that.\Anyway, that Usui. Why is he always so bossy?\Ah, forget it. response:	This one's for mom, and this one's for tomorrow's breakfast, and this is for a snack.
context: You're so rich!\Maid Latte's chief was out until late today, so I stuck around until she returned. Then-\I'm sorry I'm late.\Take this with you and enjoy.\She gave it to me like that.\Anyway, that Usui. Why is he always so bossy?\Ah, forget it.\This one's for mom, and this one's for tomorrow's breakfast, and this is for a snack. response:	Wow, this is good. Where did the Chief buy these from?
context: Maid Latte's chief was out until late today, so I stuck around until she returned. Then-\I'm sorry I'm late.\Take this with you and enjoy.\She gave it to me like that.\Anyway, that Usui. Why is he always so bossy?\Ah, forget it.\This one's for mom, and this one's for tomorrow's breakfast, and this is for a snack.\Wow, this is good. Where did the Chief buy these from? response:	I wonder which one I should have.
context: I'm sorry I'm late.\Take this with you and enjoy.\She gave it to me like that.\Anyway, that Usui. Why is he always so bossy?\Ah, forget it.\This one's for mom, and this one's for tomorrow's breakfast, and this is for a snack.\Wow, this is good. Where did the Chief buy these from?\I wonder which one I should have. response:	Have whatever you like, Suzuna.
context: Take this with you and enjoy.\She gave it to me like that.\Anyway, that Usui. Why is he always so bossy?\Ah, forget it.\This one's for mom, and this one's for tomorrow's breakfast, and this is for a snack.\Wow, this is good. Where did the Chief buy these from?\I wonder which one I should have.\Have whatever you like, Suzuna. response:	It's really good.
context: She gave it to me like that.\Anyway, that Usui. Why is he always so bossy?\Ah, forget it.\This one's for mom, and this one's for tomorrow's breakfast, and this is for a snack.\Wow, this is good. Where did the Chief buy these from?\I wonder which one I should have.\Have whatever you like, Suzuna.\It's really good. response:	Oh yeah, should we make tea?
context: Anyway, that Usui. Why is he always so bossy?\Ah, forget it.\This one's for mom, and this one's for tomorrow's breakfast, and this is for a snack.\Wow, this is good. Where did the Chief buy these from?\I wonder which one I should have.\Have whatever you like, Suzuna.\It's really good.\Oh yeah, should we make tea? response:	Yeah. And I have the World Tea Set I won through the mail as a prize.
context: Ah, forget it.\This one's for mom, and this one's for tomorrow's breakfast, and this is for a snack.\Wow, this is good. Where did the Chief buy these from?\I wonder which one I should have.\Have whatever you like, Suzuna.\It's really good.\Oh yeah, should we make tea?\Yeah. And I have the World Tea Set I won through the mail as a prize. response:	Thanks.
context: This one's for mom, and this one's for tomorrow's breakfast, and this is for a snack.\Wow, this is good. Where did the Chief buy these from?\I wonder which one I should have.\Have whatever you like, Suzuna.\It's really good.\Oh yeah, should we make tea?\Yeah. And I have the World Tea Set I won through the mail as a prize.\Thanks. response:	Hey, do you want to go somewhere on the way back?
context: Wow, this is good. Where did the Chief buy these from?\I wonder which one I should have.\Have whatever you like, Suzuna.\It's really good.\Oh yeah, should we make tea?\Yeah. And I have the World Tea Set I won through the mail as a prize.\Thanks.\Hey, do you want to go somewhere on the way back? response:	No. I don't have any money.
context: I wonder which one I should have.\Have whatever you like, Suzuna.\It's really good.\Oh yeah, should we make tea?\Yeah. And I have the World Tea Set I won through the mail as a prize.\Thanks.\Hey, do you want to go somewhere on the way back?\No. I don't have any money. response:	Yeah, thought so.
context: Have whatever you like, Suzuna.\It's really good.\Oh yeah, should we make tea?\Yeah. And I have the World Tea Set I won through the mail as a prize.\Thanks.\Hey, do you want to go somewhere on the way back?\No. I don't have any money.\Yeah, thought so. response:	Have a wonderful day, Master.
context: It's really good.\Oh yeah, should we make tea?\Yeah. And I have the World Tea Set I won through the mail as a prize.\Thanks.\Hey, do you want to go somewhere on the way back?\No. I don't have any money.\Yeah, thought so.\Have a wonderful day, Master. response:	Are you ready to order?
context: Oh yeah, should we make tea?\Yeah. And I have the World Tea Set I won through the mail as a prize.\Thanks.\Hey, do you want to go somewhere on the way back?\No. I don't have any money.\Yeah, thought so.\Have a wonderful day, Master.\Are you ready to order? response:	I'll take the Moe Moe Omelet Rice with ice coffee.
context: Yeah. And I have the World Tea Set I won through the mail as a prize.\Thanks.\Hey, do you want to go somewhere on the way back?\No. I don't have any money.\Yeah, thought so.\Have a wonderful day, Master.\Are you ready to order?\I'll take the Moe Moe Omelet Rice with ice coffee. response:	Moe Moe Omelet Rice with ice coffee. Right away.
context: Thanks.\Hey, do you want to go somewhere on the way back?\No. I don't have any money.\Yeah, thought so.\Have a wonderful day, Master.\Are you ready to order?\I'll take the Moe Moe Omelet Rice with ice coffee.\Moe Moe Omelet Rice with ice coffee. Right away. response:	How peaceful. I can't believe how much Usui not being here lets me relax.
context: Hey, do you want to go somewhere on the way back?\No. I don't have any money.\Yeah, thought so.\Have a wonderful day, Master.\Are you ready to order?\I'll take the Moe Moe Omelet Rice with ice coffee.\Moe Moe Omelet Rice with ice coffee. Right away.\How peaceful. I can't believe how much Usui not being here lets me relax. response:	I'm sorry.
context: No. I don't have any money.\Yeah, thought so.\Have a wonderful day, Master.\Are you ready to order?\I'll take the Moe Moe Omelet Rice with ice coffee.\Moe Moe Omelet Rice with ice coffee. Right away.\How peaceful. I can't believe how much Usui not being here lets me relax.\I'm sorry. response:	I hit it with my arm.
context: Yeah, thought so.\Have a wonderful day, Master.\Are you ready to order?\I'll take the Moe Moe Omelet Rice with ice coffee.\Moe Moe Omelet Rice with ice coffee. Right away.\How peaceful. I can't believe how much Usui not being here lets me relax.\I'm sorry.\I hit it with my arm. response:	I'm sorry. Are you all right?
context: Have a wonderful day, Master.\Are you ready to order?\I'll take the Moe Moe Omelet Rice with ice coffee.\Moe Moe Omelet Rice with ice coffee. Right away.\How peaceful. I can't believe how much Usui not being here lets me relax.\I'm sorry.\I hit it with my arm.\I'm sorry. Are you all right? response:	Yes.
context: Are you ready to order?\I'll take the Moe Moe Omelet Rice with ice coffee.\Moe Moe Omelet Rice with ice coffee. Right away.\How peaceful. I can't believe how much Usui not being here lets me relax.\I'm sorry.\I hit it with my arm.\I'm sorry. Are you all right?\Yes. response:	I'll bring something to clean up right away.
context: I'll take the Moe Moe Omelet Rice with ice coffee.\Moe Moe Omelet Rice with ice coffee. Right away.\How peaceful. I can't believe how much Usui not being here lets me relax.\I'm sorry.\I hit it with my arm.\I'm sorry. Are you all right?\Yes.\I'll bring something to clean up right away. response:	I'll help, too.
context: Moe Moe Omelet Rice with ice coffee. Right away.\How peaceful. I can't believe how much Usui not being here lets me relax.\I'm sorry.\I hit it with my arm.\I'm sorry. Are you all right?\Yes.\I'll bring something to clean up right away.\I'll help, too. response:	It'll be dangerous.
context: How peaceful. I can't believe how much Usui not being here lets me relax.\I'm sorry.\I hit it with my arm.\I'm sorry. Are you all right?\Yes.\I'll bring something to clean up right away.\I'll help, too.\It'll be dangerous. response:	Okay.
context: I'm sorry.\I hit it with my arm.\I'm sorry. Are you all right?\Yes.\I'll bring something to clean up right away.\I'll help, too.\It'll be dangerous.\Okay. response:	Misa-chan's perfect.
context: I hit it with my arm.\I'm sorry. Are you all right?\Yes.\I'll bring something to clean up right away.\I'll help, too.\It'll be dangerous.\Okay.\Misa-chan's perfect. response:	I don't think I can hold myself back anymore.
context: I'm sorry. Are you all right?\Yes.\I'll bring something to clean up right away.\I'll help, too.\It'll be dangerous.\Okay.\Misa-chan's perfect.\I don't think I can hold myself back anymore. response:	Same here.
context: Yes.\I'll bring something to clean up right away.\I'll help, too.\It'll be dangerous.\Okay.\Misa-chan's perfect.\I don't think I can hold myself back anymore.\Same here. response:	A young woman has been assaulted at a cafe.
context: I'll bring something to clean up right away.\I'll help, too.\It'll be dangerous.\Okay.\Misa-chan's perfect.\I don't think I can hold myself back anymore.\Same here.\A young woman has been assaulted at a cafe. response:	It was one of the cosplay cafes. The man waited until after hours and entered through the staff door.
context: I'll help, too.\It'll be dangerous.\Okay.\Misa-chan's perfect.\I don't think I can hold myself back anymore.\Same here.\A young woman has been assaulted at a cafe.\It was one of the cosplay cafes. The man waited until after hours and entered through the staff door. response:	Hey there, brother.
context: It'll be dangerous.\Okay.\Misa-chan's perfect.\I don't think I can hold myself back anymore.\Same here.\A young woman has been assaulted at a cafe.\It was one of the cosplay cafes. The man waited until after hours and entered through the staff door.\Hey there, brother. response:	Do you have time?
context: Okay.\Misa-chan's perfect.\I don't think I can hold myself back anymore.\Same here.\A young woman has been assaulted at a cafe.\It was one of the cosplay cafes. The man waited until after hours and entered through the staff door.\Hey there, brother.\Do you have time? response:	Do you want to hang out with us?
context: Misa-chan's perfect.\I don't think I can hold myself back anymore.\Same here.\A young woman has been assaulted at a cafe.\It was one of the cosplay cafes. The man waited until after hours and entered through the staff door.\Hey there, brother.\Do you have time?\Do you want to hang out with us? response:	Hey, he's pretty young.
context: I don't think I can hold myself back anymore.\Same here.\A young woman has been assaulted at a cafe.\It was one of the cosplay cafes. The man waited until after hours and entered through the staff door.\Hey there, brother.\Do you have time?\Do you want to hang out with us?\Hey, he's pretty young. response:	Are you in high school?
context: Same here.\A young woman has been assaulted at a cafe.\It was one of the cosplay cafes. The man waited until after hours and entered through the staff door.\Hey there, brother.\Do you have time?\Do you want to hang out with us?\Hey, he's pretty young.\Are you in high school? response:	Huh? Hey!
context: A young woman has been assaulted at a cafe.\It was one of the cosplay cafes. The man waited until after hours and entered through the staff door.\Hey there, brother.\Do you have time?\Do you want to hang out with us?\Hey, he's pretty young.\Are you in high school?\Huh? Hey! response:	How rude.
context: It was one of the cosplay cafes. The man waited until after hours and entered through the staff door.\Hey there, brother.\Do you have time?\Do you want to hang out with us?\Hey, he's pretty young.\Are you in high school?\Huh? Hey!\How rude. response:	Boring.
context: Hey there, brother.\Do you have time?\Do you want to hang out with us?\Hey, he's pretty young.\Are you in high school?\Huh? Hey!\How rude.\Boring. response:	Finished cleaning.
context: Do you have time?\Do you want to hang out with us?\Hey, he's pretty young.\Are you in high school?\Huh? Hey!\How rude.\Boring.\Finished cleaning. response:	Chief has a key, so for safety's sake.
context: Do you want to hang out with us?\Hey, he's pretty young.\Are you in high school?\Huh? Hey!\How rude.\Boring.\Finished cleaning.\Chief has a key, so for safety's sake. response:	I have another shopping district meeting.
context: Hey, he's pretty young.\Are you in high school?\Huh? Hey!\How rude.\Boring.\Finished cleaning.\Chief has a key, so for safety's sake.\I have another shopping district meeting. response:	Everything's scheduled for this month.
context: Are you in high school?\Huh? Hey!\How rude.\Boring.\Finished cleaning.\Chief has a key, so for safety's sake.\I have another shopping district meeting.\Everything's scheduled for this month. response:	Other than the monthly meeting, there's an advocacy meeting,
context: Huh? Hey!\How rude.\Boring.\Finished cleaning.\Chief has a key, so for safety's sake.\I have another shopping district meeting.\Everything's scheduled for this month.\Other than the monthly meeting, there's an advocacy meeting, response:	a financial meeting, and I even have to submit our accounting book.
context: How rude.\Boring.\Finished cleaning.\Chief has a key, so for safety's sake.\I have another shopping district meeting.\Everything's scheduled for this month.\Other than the monthly meeting, there's an advocacy meeting,\a financial meeting, and I even have to submit our accounting book. response:	Accounting is such a bother.
context: Boring.\Finished cleaning.\Chief has a key, so for safety's sake.\I have another shopping district meeting.\Everything's scheduled for this month.\Other than the monthly meeting, there's an advocacy meeting,\a financial meeting, and I even have to submit our accounting book.\Accounting is such a bother. response:	Besides, the council president thinks we should introduce a cute character and wants to use this nonsense mascot.
context: Finished cleaning.\Chief has a key, so for safety's sake.\I have another shopping district meeting.\Everything's scheduled for this month.\Other than the monthly meeting, there's an advocacy meeting,\a financial meeting, and I even have to submit our accounting book.\Accounting is such a bother.\Besides, the council president thinks we should introduce a cute character and wants to use this nonsense mascot. response:	It's such a hassle.
context: Chief has a key, so for safety's sake.\I have another shopping district meeting.\Everything's scheduled for this month.\Other than the monthly meeting, there's an advocacy meeting,\a financial meeting, and I even have to submit our accounting book.\Accounting is such a bother.\Besides, the council president thinks we should introduce a cute character and wants to use this nonsense mascot.\It's such a hassle. response:	Maybe I'll just sing. Lalala
context: I have another shopping district meeting.\Everything's scheduled for this month.\Other than the monthly meeting, there's an advocacy meeting,\a financial meeting, and I even have to submit our accounting book.\Accounting is such a bother.\Besides, the council president thinks we should introduce a cute character and wants to use this nonsense mascot.\It's such a hassle.\Maybe I'll just sing. Lalala response:	Anyway, I'll make sure you won't be watching the shop alone from now on, so please survive just one more night.
context: Everything's scheduled for this month.\Other than the monthly meeting, there's an advocacy meeting,\a financial meeting, and I even have to submit our accounting book.\Accounting is such a bother.\Besides, the council president thinks we should introduce a cute character and wants to use this nonsense mascot.\It's such a hassle.\Maybe I'll just sing. Lalala\Anyway, I'll make sure you won't be watching the shop alone from now on, so please survive just one more night. response:	When I'm done, I'll dash back with a souvenir!
context: Other than the monthly meeting, there's an advocacy meeting,\a financial meeting, and I even have to submit our accounting book.\Accounting is such a bother.\Besides, the council president thinks we should introduce a cute character and wants to use this nonsense mascot.\It's such a hassle.\Maybe I'll just sing. Lalala\Anyway, I'll make sure you won't be watching the shop alone from now on, so please survive just one more night.\When I'm done, I'll dash back with a souvenir! response:	I'm sorry.
context: a financial meeting, and I even have to submit our accounting book.\Accounting is such a bother.\Besides, the council president thinks we should introduce a cute character and wants to use this nonsense mascot.\It's such a hassle.\Maybe I'll just sing. Lalala\Anyway, I'll make sure you won't be watching the shop alone from now on, so please survive just one more night.\When I'm done, I'll dash back with a souvenir!\I'm sorry. response:	I'll be fine, Chief.
context: Accounting is such a bother.\Besides, the council president thinks we should introduce a cute character and wants to use this nonsense mascot.\It's such a hassle.\Maybe I'll just sing. Lalala\Anyway, I'll make sure you won't be watching the shop alone from now on, so please survive just one more night.\When I'm done, I'll dash back with a souvenir!\I'm sorry.\I'll be fine, Chief. response:	I don't think there's anything to worry about.
context: Besides, the council president thinks we should introduce a cute character and wants to use this nonsense mascot.\It's such a hassle.\Maybe I'll just sing. Lalala\Anyway, I'll make sure you won't be watching the shop alone from now on, so please survive just one more night.\When I'm done, I'll dash back with a souvenir!\I'm sorry.\I'll be fine, Chief.\I don't think there's anything to worry about. response:	Ow.
context: It's such a hassle.\Maybe I'll just sing. Lalala\Anyway, I'll make sure you won't be watching the shop alone from now on, so please survive just one more night.\When I'm done, I'll dash back with a souvenir!\I'm sorry.\I'll be fine, Chief.\I don't think there's anything to worry about.\Ow. response:	It hurts more than it looks.
context: Maybe I'll just sing. Lalala\Anyway, I'll make sure you won't be watching the shop alone from now on, so please survive just one more night.\When I'm done, I'll dash back with a souvenir!\I'm sorry.\I'll be fine, Chief.\I don't think there's anything to worry about.\Ow.\It hurts more than it looks. response:	Chief?
context: Anyway, I'll make sure you won't be watching the shop alone from now on, so please survive just one more night.\When I'm done, I'll dash back with a souvenir!\I'm sorry.\I'll be fine, Chief.\I don't think there's anything to worry about.\Ow.\It hurts more than it looks.\Chief? response:	Chief?
context: When I'm done, I'll dash back with a souvenir!\I'm sorry.\I'll be fine, Chief.\I don't think there's anything to worry about.\Ow.\It hurts more than it looks.\Chief?\Chief? response:	Strange. I heard the door unlock.
context: I'm sorry.\I'll be fine, Chief.\I don't think there's anything to worry about.\Ow.\It hurts more than it looks.\Chief?\Chief?\Strange. I heard the door unlock. response:	Misa-chan.
context: I'll be fine, Chief.\I don't think there's anything to worry about.\Ow.\It hurts more than it looks.\Chief?\Chief?\Strange. I heard the door unlock.\Misa-chan. response:	We picked open the back door.
context: I don't think there's anything to worry about.\Ow.\It hurts more than it looks.\Chief?\Chief?\Strange. I heard the door unlock.\Misa-chan.\We picked open the back door. response:	Don't move.
context: Ow.\It hurts more than it looks.\Chief?\Chief?\Strange. I heard the door unlock.\Misa-chan.\We picked open the back door.\Don't move. response:	Let go upstairs.
context: It hurts more than it looks.\Chief?\Chief?\Strange. I heard the door unlock.\Misa-chan.\We picked open the back door.\Don't move.\Let go upstairs. response:	I've done it, Misa-chan.
context: Chief?\Chief?\Strange. I heard the door unlock.\Misa-chan.\We picked open the back door.\Don't move.\Let go upstairs.\I've done it, Misa-chan. response:	Please stay obedient for a while.
context: Chief?\Strange. I heard the door unlock.\Misa-chan.\We picked open the back door.\Don't move.\Let go upstairs.\I've done it, Misa-chan.\Please stay obedient for a while. response:	We don't want to hurt you.
context: Strange. I heard the door unlock.\Misa-chan.\We picked open the back door.\Don't move.\Let go upstairs.\I've done it, Misa-chan.\Please stay obedient for a while.\We don't want to hurt you. response:	Yeah.
context: Misa-chan.\We picked open the back door.\Don't move.\Let go upstairs.\I've done it, Misa-chan.\Please stay obedient for a while.\We don't want to hurt you.\Yeah. response:	They're customers of this cafe.
context: We picked open the back door.\Don't move.\Let go upstairs.\I've done it, Misa-chan.\Please stay obedient for a while.\We don't want to hurt you.\Yeah.\They're customers of this cafe. response:	Misa-chan.
context: Don't move.\Let go upstairs.\I've done it, Misa-chan.\Please stay obedient for a while.\We don't want to hurt you.\Yeah.\They're customers of this cafe.\Misa-chan. response:	We know.
context: Let go upstairs.\I've done it, Misa-chan.\Please stay obedient for a while.\We don't want to hurt you.\Yeah.\They're customers of this cafe.\Misa-chan.\We know. response:	To us, you're the ideal maid.
context: I've done it, Misa-chan.\Please stay obedient for a while.\We don't want to hurt you.\Yeah.\They're customers of this cafe.\Misa-chan.\We know.\To us, you're the ideal maid. response:	We've been watching you all the time.
context: Please stay obedient for a while.\We don't want to hurt you.\Yeah.\They're customers of this cafe.\Misa-chan.\We know.\To us, you're the ideal maid.\We've been watching you all the time. response:	Even when you were talking with other guys.
context: We don't want to hurt you.\Yeah.\They're customers of this cafe.\Misa-chan.\We know.\To us, you're the ideal maid.\We've been watching you all the time.\Even when you were talking with other guys. response:	You don't actually want to deal with them, right?
context: Yeah.\They're customers of this cafe.\Misa-chan.\We know.\To us, you're the ideal maid.\We've been watching you all the time.\Even when you were talking with other guys.\You don't actually want to deal with them, right? response:	We're different from them.
context: They're customers of this cafe.\Misa-chan.\We know.\To us, you're the ideal maid.\We've been watching you all the time.\Even when you were talking with other guys.\You don't actually want to deal with them, right?\We're different from them. response:	We know your true nature.
context: Misa-chan.\We know.\To us, you're the ideal maid.\We've been watching you all the time.\Even when you were talking with other guys.\You don't actually want to deal with them, right?\We're different from them.\We know your true nature. response:	You punks! There's a limit to how much you can dream!
context: We know.\To us, you're the ideal maid.\We've been watching you all the time.\Even when you were talking with other guys.\You don't actually want to deal with them, right?\We're different from them.\We know your true nature.\You punks! There's a limit to how much you can dream! response:	You can tell my true nature?
context: To us, you're the ideal maid.\We've been watching you all the time.\Even when you were talking with other guys.\You don't actually want to deal with them, right?\We're different from them.\We know your true nature.\You punks! There's a limit to how much you can dream!\You can tell my true nature? response:	Who do you think you are? What do you know about me?
context: We've been watching you all the time.\Even when you were talking with other guys.\You don't actually want to deal with them, right?\We're different from them.\We know your true nature.\You punks! There's a limit to how much you can dream!\You can tell my true nature?\Who do you think you are? What do you know about me? response:	*Glare*
context: Even when you were talking with other guys.\You don't actually want to deal with them, right?\We're different from them.\We know your true nature.\You punks! There's a limit to how much you can dream!\You can tell my true nature?\Who do you think you are? What do you know about me?\*Glare* response:	You idiots.
context: You don't actually want to deal with them, right?\We're different from them.\We know your true nature.\You punks! There's a limit to how much you can dream!\You can tell my true nature?\Who do you think you are? What do you know about me?\*Glare*\You idiots. response:	Usui?
context: We're different from them.\We know your true nature.\You punks! There's a limit to how much you can dream!\You can tell my true nature?\Who do you think you are? What do you know about me?\*Glare*\You idiots.\Usui? response:	The window!
context: We know your true nature.\You punks! There's a limit to how much you can dream!\You can tell my true nature?\Who do you think you are? What do you know about me?\*Glare*\You idiots.\Usui?\The window! response:	Man... The Chief's going to lose it when she come back.
