context: Wars had ravaged the land for years. response:	The soil was soaked with blood.
context: Hyakkimaru.\I can't protect you forever.\In order for you to survive on your own...\You must be strong.\You win, sir.\Sir Tahomaru, how strong you are!\Yeah, I'm the strongest in this land!\Tahomaru. response:	Sword practice?
context: I can't protect you forever.\In order for you to survive on your own...\You must be strong.\You win, sir.\Sir Tahomaru, how strong you are!\Yeah, I'm the strongest in this land!\Tahomaru.\Sword practice? response:	Father!
context: In order for you to survive on your own...\You must be strong.\You win, sir.\Sir Tahomaru, how strong you are!\Yeah, I'm the strongest in this land!\Tahomaru.\Sword practice?\Father! response:	Oh, put me down.
context: You must be strong.\You win, sir.\Sir Tahomaru, how strong you are!\Yeah, I'm the strongest in this land!\Tahomaru.\Sword practice?\Father!\Oh, put me down. response:	Mother!
context: You win, sir.\Sir Tahomaru, how strong you are!\Yeah, I'm the strongest in this land!\Tahomaru.\Sword practice?\Father!\Oh, put me down.\Mother! response:	What is it?
context: Sir Tahomaru, how strong you are!\Yeah, I'm the strongest in this land!\Tahomaru.\Sword practice?\Father!\Oh, put me down.\Mother!\What is it? response:	Father, tell me about your last war.
context: Yeah, I'm the strongest in this land!\Tahomaru.\Sword practice?\Father!\Oh, put me down.\Mother!\What is it?\Father, tell me about your last war. response:	Oh, all right.
context: Tahomaru.\Sword practice?\Father!\Oh, put me down.\Mother!\What is it?\Father, tell me about your last war.\Oh, all right. response:	I must dress his wounds.
context: Sword practice?\Father!\Oh, put me down.\Mother!\What is it?\Father, tell me about your last war.\Oh, all right.\I must dress his wounds. response:	He feels no pain, therefore he knows no fear.
context: Father!\Oh, put me down.\Mother!\What is it?\Father, tell me about your last war.\Oh, all right.\I must dress his wounds.\He feels no pain, therefore he knows no fear. response:	He has no hesitation towards slashing and killing.
context: Oh, put me down.\Mother!\What is it?\Father, tell me about your last war.\Oh, all right.\I must dress his wounds.\He feels no pain, therefore he knows no fear.\He has no hesitation towards slashing and killing. response:	I only wished for one thing.
context: Mother!\What is it?\Father, tell me about your last war.\Oh, all right.\I must dress his wounds.\He feels no pain, therefore he knows no fear.\He has no hesitation towards slashing and killing.\I only wished for one thing. response:	For him to overcome his destiny.
context: What is it?\Father, tell me about your last war.\Oh, all right.\I must dress his wounds.\He feels no pain, therefore he knows no fear.\He has no hesitation towards slashing and killing.\I only wished for one thing.\For him to overcome his destiny. response:	And live strongly.
context: Father, tell me about your last war.\Oh, all right.\I must dress his wounds.\He feels no pain, therefore he knows no fear.\He has no hesitation towards slashing and killing.\I only wished for one thing.\For him to overcome his destiny.\And live strongly. response:	That was all, at first...
context: Oh, all right.\I must dress his wounds.\He feels no pain, therefore he knows no fear.\He has no hesitation towards slashing and killing.\I only wished for one thing.\For him to overcome his destiny.\And live strongly.\That was all, at first... response:	Have I made the wrong decision again?
context: I must dress his wounds.\He feels no pain, therefore he knows no fear.\He has no hesitation towards slashing and killing.\I only wished for one thing.\For him to overcome his destiny.\And live strongly.\That was all, at first...\Have I made the wrong decision again? response:	Hyakkimaru, are you okay?
context: He feels no pain, therefore he knows no fear.\He has no hesitation towards slashing and killing.\I only wished for one thing.\For him to overcome his destiny.\And live strongly.\That was all, at first...\Have I made the wrong decision again?\Hyakkimaru, are you okay? response:	What's the matter?
context: He has no hesitation towards slashing and killing.\I only wished for one thing.\For him to overcome his destiny.\And live strongly.\That was all, at first...\Have I made the wrong decision again?\Hyakkimaru, are you okay?\What's the matter? response:	Hyakkimaru.
context: I only wished for one thing.\For him to overcome his destiny.\And live strongly.\That was all, at first...\Have I made the wrong decision again?\Hyakkimaru, are you okay?\What's the matter?\Hyakkimaru. response:	Your right leg.
context: For him to overcome his destiny.\And live strongly.\That was all, at first...\Have I made the wrong decision again?\Hyakkimaru, are you okay?\What's the matter?\Hyakkimaru.\Your right leg. response:	You must've been rough on it.
context: And live strongly.\That was all, at first...\Have I made the wrong decision again?\Hyakkimaru, are you okay?\What's the matter?\Hyakkimaru.\Your right leg.\You must've been rough on it. response:	Are you okay?
context: That was all, at first...\Have I made the wrong decision again?\Hyakkimaru, are you okay?\What's the matter?\Hyakkimaru.\Your right leg.\You must've been rough on it.\Are you okay? response:	What the...
context: Have I made the wrong decision again?\Hyakkimaru, are you okay?\What's the matter?\Hyakkimaru.\Your right leg.\You must've been rough on it.\Are you okay?\What the... response:	What's going on?
context: Hyakkimaru, are you okay?\What's the matter?\Hyakkimaru.\Your right leg.\You must've been rough on it.\Are you okay?\What the...\What's going on? response:	Impossible.
context: What's the matter?\Hyakkimaru.\Your right leg.\You must've been rough on it.\Are you okay?\What the...\What's going on?\Impossible. response:	A leg. A real leg is growing.
context: Hyakkimaru.\Your right leg.\You must've been rough on it.\Are you okay?\What the...\What's going on?\Impossible.\A leg. A real leg is growing. response:	How can this be?
context: Your right leg.\You must've been rough on it.\Are you okay?\What the...\What's going on?\Impossible.\A leg. A real leg is growing.\How can this be? response:	Ghouls don't just eat people.
context: You must've been rough on it.\Are you okay?\What the...\What's going on?\Impossible.\A leg. A real leg is growing.\How can this be?\Ghouls don't just eat people. response:	At times, they delude humans and lend them their powers.
context: Are you okay?\What the...\What's going on?\Impossible.\A leg. A real leg is growing.\How can this be?\Ghouls don't just eat people.\At times, they delude humans and lend them their powers. response:	They let a person benefit from their supernatural powers.
context: What the...\What's going on?\Impossible.\A leg. A real leg is growing.\How can this be?\Ghouls don't just eat people.\At times, they delude humans and lend them their powers.\They let a person benefit from their supernatural powers. response:	But in return, they take something away.
context: What's going on?\Impossible.\A leg. A real leg is growing.\How can this be?\Ghouls don't just eat people.\At times, they delude humans and lend them their powers.\They let a person benefit from their supernatural powers.\But in return, they take something away. response:	It may be that your body was taken from you in such an arrangement.
context: Impossible.\A leg. A real leg is growing.\How can this be?\Ghouls don't just eat people.\At times, they delude humans and lend them their powers.\They let a person benefit from their supernatural powers.\But in return, they take something away.\It may be that your body was taken from you in such an arrangement. response:	I can't go with you. I'd only be in your way.
context: A leg. A real leg is growing.\How can this be?\Ghouls don't just eat people.\At times, they delude humans and lend them their powers.\They let a person benefit from their supernatural powers.\But in return, they take something away.\It may be that your body was taken from you in such an arrangement.\I can't go with you. I'd only be in your way. response:	I couldn't do anything for you.
context: How can this be?\Ghouls don't just eat people.\At times, they delude humans and lend them their powers.\They let a person benefit from their supernatural powers.\But in return, they take something away.\It may be that your body was taken from you in such an arrangement.\I can't go with you. I'd only be in your way.\I couldn't do anything for you. response:	All I did was teach you to kill.
context: Ghouls don't just eat people.\At times, they delude humans and lend them their powers.\They let a person benefit from their supernatural powers.\But in return, they take something away.\It may be that your body was taken from you in such an arrangement.\I can't go with you. I'd only be in your way.\I couldn't do anything for you.\All I did was teach you to kill. response:	You had this with you when I found you.
context: At times, they delude humans and lend them their powers.\They let a person benefit from their supernatural powers.\But in return, they take something away.\It may be that your body was taken from you in such an arrangement.\I can't go with you. I'd only be in your way.\I couldn't do anything for you.\All I did was teach you to kill.\You had this with you when I found you. response:	It may help you one day to find your real parents.
context: They let a person benefit from their supernatural powers.\But in return, they take something away.\It may be that your body was taken from you in such an arrangement.\I can't go with you. I'd only be in your way.\I couldn't do anything for you.\All I did was teach you to kill.\You had this with you when I found you.\It may help you one day to find your real parents. response:	So if he goes around killing monsters, he'll get his body back?
context: But in return, they take something away.\It may be that your body was taken from you in such an arrangement.\I can't go with you. I'd only be in your way.\I couldn't do anything for you.\All I did was teach you to kill.\You had this with you when I found you.\It may help you one day to find your real parents.\So if he goes around killing monsters, he'll get his body back? response:	Yes, I suppose that's what it is.
context: It may be that your body was taken from you in such an arrangement.\I can't go with you. I'd only be in your way.\I couldn't do anything for you.\All I did was teach you to kill.\You had this with you when I found you.\It may help you one day to find your real parents.\So if he goes around killing monsters, he'll get his body back?\Yes, I suppose that's what it is. response:	Somebody must've made a deal with the demons a long time ago.
context: I can't go with you. I'd only be in your way.\I couldn't do anything for you.\All I did was teach you to kill.\You had this with you when I found you.\It may help you one day to find your real parents.\So if he goes around killing monsters, he'll get his body back?\Yes, I suppose that's what it is.\Somebody must've made a deal with the demons a long time ago. response:	In return for that boy's body.
context: I couldn't do anything for you.\All I did was teach you to kill.\You had this with you when I found you.\It may help you one day to find your real parents.\So if he goes around killing monsters, he'll get his body back?\Yes, I suppose that's what it is.\Somebody must've made a deal with the demons a long time ago.\In return for that boy's body. response:	That's awful!
context: All I did was teach you to kill.\You had this with you when I found you.\It may help you one day to find your real parents.\So if he goes around killing monsters, he'll get his body back?\Yes, I suppose that's what it is.\Somebody must've made a deal with the demons a long time ago.\In return for that boy's body.\That's awful! response:	I don't know what they got, but his eyes, nose, mouth...
context: You had this with you when I found you.\It may help you one day to find your real parents.\So if he goes around killing monsters, he'll get his body back?\Yes, I suppose that's what it is.\Somebody must've made a deal with the demons a long time ago.\In return for that boy's body.\That's awful!\I don't know what they got, but his eyes, nose, mouth... response:	they gave it all away!
context: It may help you one day to find your real parents.\So if he goes around killing monsters, he'll get his body back?\Yes, I suppose that's what it is.\Somebody must've made a deal with the demons a long time ago.\In return for that boy's body.\That's awful!\I don't know what they got, but his eyes, nose, mouth...\they gave it all away! response:	One must be prepared to go to hell to do such a thing.
context: So if he goes around killing monsters, he'll get his body back?\Yes, I suppose that's what it is.\Somebody must've made a deal with the demons a long time ago.\In return for that boy's body.\That's awful!\I don't know what they got, but his eyes, nose, mouth...\they gave it all away!\One must be prepared to go to hell to do such a thing. response:	What do these monsters want them for?
context: Yes, I suppose that's what it is.\Somebody must've made a deal with the demons a long time ago.\In return for that boy's body.\That's awful!\I don't know what they got, but his eyes, nose, mouth...\they gave it all away!\One must be prepared to go to hell to do such a thing.\What do these monsters want them for? response:	A single eye couldn't make their tummies full.
context: Somebody must've made a deal with the demons a long time ago.\In return for that boy's body.\That's awful!\I don't know what they got, but his eyes, nose, mouth...\they gave it all away!\One must be prepared to go to hell to do such a thing.\What do these monsters want them for?\A single eye couldn't make their tummies full. response:	Who knows? Maybe it fulfills their souls.
context: In return for that boy's body.\That's awful!\I don't know what they got, but his eyes, nose, mouth...\they gave it all away!\One must be prepared to go to hell to do such a thing.\What do these monsters want them for?\A single eye couldn't make their tummies full.\Who knows? Maybe it fulfills their souls. response:	What's that mean?
context: That's awful!\I don't know what they got, but his eyes, nose, mouth...\they gave it all away!\One must be prepared to go to hell to do such a thing.\What do these monsters want them for?\A single eye couldn't make their tummies full.\Who knows? Maybe it fulfills their souls.\What's that mean? response:	Hyakkimaru, you're up.
context: I don't know what they got, but his eyes, nose, mouth...\they gave it all away!\One must be prepared to go to hell to do such a thing.\What do these monsters want them for?\A single eye couldn't make their tummies full.\Who knows? Maybe it fulfills their souls.\What's that mean?\Hyakkimaru, you're up. response:	Huh? Hey.
context: they gave it all away!\One must be prepared to go to hell to do such a thing.\What do these monsters want them for?\A single eye couldn't make their tummies full.\Who knows? Maybe it fulfills their souls.\What's that mean?\Hyakkimaru, you're up.\Huh? Hey. response:	It's hot, huh?
context: One must be prepared to go to hell to do such a thing.\What do these monsters want them for?\A single eye couldn't make their tummies full.\Who knows? Maybe it fulfills their souls.\What's that mean?\Hyakkimaru, you're up.\Huh? Hey.\It's hot, huh? response:	You've regained your sense of pain.
context: What do these monsters want them for?\A single eye couldn't make their tummies full.\Who knows? Maybe it fulfills their souls.\What's that mean?\Hyakkimaru, you're up.\Huh? Hey.\It's hot, huh?\You've regained your sense of pain. response:	Stop it, you'll get burnt!
context: A single eye couldn't make their tummies full.\Who knows? Maybe it fulfills their souls.\What's that mean?\Hyakkimaru, you're up.\Huh? Hey.\It's hot, huh?\You've regained your sense of pain.\Stop it, you'll get burnt! response:	Geez, what do you think you're doing?
context: Who knows? Maybe it fulfills their souls.\What's that mean?\Hyakkimaru, you're up.\Huh? Hey.\It's hot, huh?\You've regained your sense of pain.\Stop it, you'll get burnt!\Geez, what do you think you're doing? response:	You dummy.
context: What's that mean?\Hyakkimaru, you're up.\Huh? Hey.\It's hot, huh?\You've regained your sense of pain.\Stop it, you'll get burnt!\Geez, what do you think you're doing?\You dummy. response:	I cannot go anywhere.
context: Hyakkimaru, you're up.\Huh? Hey.\It's hot, huh?\You've regained your sense of pain.\Stop it, you'll get burnt!\Geez, what do you think you're doing?\You dummy.\I cannot go anywhere. response:	Hyakkimaru.
context: Huh? Hey.\It's hot, huh?\You've regained your sense of pain.\Stop it, you'll get burnt!\Geez, what do you think you're doing?\You dummy.\I cannot go anywhere.\Hyakkimaru. response:	Sorrow scatters in the wind,
context: It's hot, huh?\You've regained your sense of pain.\Stop it, you'll get burnt!\Geez, what do you think you're doing?\You dummy.\I cannot go anywhere.\Hyakkimaru.\Sorrow scatters in the wind, response:	piling up to form shadows
context: You've regained your sense of pain.\Stop it, you'll get burnt!\Geez, what do you think you're doing?\You dummy.\I cannot go anywhere.\Hyakkimaru.\Sorrow scatters in the wind,\piling up to form shadows response:	Our footsteps admonish indifference in such verbose ways
context: Stop it, you'll get burnt!\Geez, what do you think you're doing?\You dummy.\I cannot go anywhere.\Hyakkimaru.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways response:	As I peek into your fathomless eyes, I lose my composure
context: Geez, what do you think you're doing?\You dummy.\I cannot go anywhere.\Hyakkimaru.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure response:	Is there any hope in the place I am heading to?
context: You dummy.\I cannot go anywhere.\Hyakkimaru.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to? response:	I feign amusement and laugh
context: I cannot go anywhere.\Hyakkimaru.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh response:	because this road is so dark
context: Hyakkimaru.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark response:	I will be there to shine the light
context: Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light response:	I'm used to playing at saying goodbye,
context: piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye, response:	but I cried when I waved to you
context: Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you response:	Our fiery woes fade... and fade... until night falls upon us
context: As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us response:	If I knew tomorrow would be so mundane,
context: Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us\If I knew tomorrow would be so mundane, response:	I wouldn't have said that I wanted to live
context: I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us\If I knew tomorrow would be so mundane,\I wouldn't have said that I wanted to live response:	I know it's futile but can't help dreaming of a future... a future... you are to blame
context: because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us\If I knew tomorrow would be so mundane,\I wouldn't have said that I wanted to live\I know it's futile but can't help dreaming of a future... a future... you are to blame response:	Kamaitachi
