context: KING OF THE HILL FINAL BATTLE response:	This is a king of the hill final battle!
context: Yes, of course! Don't push yourself too hard, okay?\I'd rather not get on the Student Council's bad side because of you.\Is something the matter?\Nope! Your mom's lunches are delicious!\Seriously, they're great.\Begin!\FIRST BATTLE\BEGIN FIGHTING response:	His Goku Uniform has a double transformation.
context: I'd rather not get on the Student Council's bad side because of you.\Is something the matter?\Nope! Your mom's lunches are delicious!\Seriously, they're great.\Begin!\FIRST BATTLE\BEGIN FIGHTING\His Goku Uniform has a double transformation. response:	He's a tough customer.
context: Is something the matter?\Nope! Your mom's lunches are delicious!\Seriously, they're great.\Begin!\FIRST BATTLE\BEGIN FIGHTING\His Goku Uniform has a double transformation.\He's a tough customer. response:	You listening, Senketsu?
context: Nope! Your mom's lunches are delicious!\Seriously, they're great.\Begin!\FIRST BATTLE\BEGIN FIGHTING\His Goku Uniform has a double transformation.\He's a tough customer.\You listening, Senketsu? response:	Oh. Yes.
context: Seriously, they're great.\Begin!\FIRST BATTLE\BEGIN FIGHTING\His Goku Uniform has a double transformation.\He's a tough customer.\You listening, Senketsu?\Oh. Yes. response:	What's wrong?
context: Begin!\FIRST BATTLE\BEGIN FIGHTING\His Goku Uniform has a double transformation.\He's a tough customer.\You listening, Senketsu?\Oh. Yes.\What's wrong? response:	Nothing. I was just thinking.
context: FIRST BATTLE\BEGIN FIGHTING\His Goku Uniform has a double transformation.\He's a tough customer.\You listening, Senketsu?\Oh. Yes.\What's wrong?\Nothing. I was just thinking. response:	You have an idea?
context: BEGIN FIGHTING\His Goku Uniform has a double transformation.\He's a tough customer.\You listening, Senketsu?\Oh. Yes.\What's wrong?\Nothing. I was just thinking.\You have an idea? response:	Possibly.
context: His Goku Uniform has a double transformation.\He's a tough customer.\You listening, Senketsu?\Oh. Yes.\What's wrong?\Nothing. I was just thinking.\You have an idea?\Possibly. response:	He's a formidable enemy. Keep your mind on the fight.
context: He's a tough customer.\You listening, Senketsu?\Oh. Yes.\What's wrong?\Nothing. I was just thinking.\You have an idea?\Possibly.\He's a formidable enemy. Keep your mind on the fight. response:	I know. I will.
context: You listening, Senketsu?\Oh. Yes.\What's wrong?\Nothing. I was just thinking.\You have an idea?\Possibly.\He's a formidable enemy. Keep your mind on the fight.\I know. I will. response:	Let's do it!
context: Oh. Yes.\What's wrong?\Nothing. I was just thinking.\You have an idea?\Possibly.\He's a formidable enemy. Keep your mind on the fight.\I know. I will.\Let's do it! response:	Consider that your final transformation, Matoi!
context: What's wrong?\Nothing. I was just thinking.\You have an idea?\Possibly.\He's a formidable enemy. Keep your mind on the fight.\I know. I will.\Let's do it!\Consider that your final transformation, Matoi! response:	Three-Star Goku Uniform: Shackle Regalia!
context: Nothing. I was just thinking.\You have an idea?\Possibly.\He's a formidable enemy. Keep your mind on the fight.\I know. I will.\Let's do it!\Consider that your final transformation, Matoi!\Three-Star Goku Uniform: Shackle Regalia! response:	THREE-STAR GOKU UNIFORM SHACKLE REGALIA
context: You have an idea?\Possibly.\He's a formidable enemy. Keep your mind on the fight.\I know. I will.\Let's do it!\Consider that your final transformation, Matoi!\Three-Star Goku Uniform: Shackle Regalia!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA response:	Hey.
context: Possibly.\He's a formidable enemy. Keep your mind on the fight.\I know. I will.\Let's do it!\Consider that your final transformation, Matoi!\Three-Star Goku Uniform: Shackle Regalia!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA\Hey. response:	What?
context: He's a formidable enemy. Keep your mind on the fight.\I know. I will.\Let's do it!\Consider that your final transformation, Matoi!\Three-Star Goku Uniform: Shackle Regalia!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA\Hey.\What? response:	Do you want to fight or not?!
context: I know. I will.\Let's do it!\Consider that your final transformation, Matoi!\Three-Star Goku Uniform: Shackle Regalia!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA\Hey.\What?\Do you want to fight or not?! response:	Of course!
context: Let's do it!\Consider that your final transformation, Matoi!\Three-Star Goku Uniform: Shackle Regalia!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA\Hey.\What?\Do you want to fight or not?!\Of course! response:	Then why aren't you attacking me?!
context: Consider that your final transformation, Matoi!\Three-Star Goku Uniform: Shackle Regalia!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA\Hey.\What?\Do you want to fight or not?!\Of course!\Then why aren't you attacking me?! response:	I'll throw what your buddy said this morning back in your face.
context: Three-Star Goku Uniform: Shackle Regalia!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA\Hey.\What?\Do you want to fight or not?!\Of course!\Then why aren't you attacking me?!\I'll throw what your buddy said this morning back in your face. response:	You really are a fool, aren't ya?
context: THREE-STAR GOKU UNIFORM SHACKLE REGALIA\Hey.\What?\Do you want to fight or not?!\Of course!\Then why aren't you attacking me?!\I'll throw what your buddy said this morning back in your face.\You really are a fool, aren't ya? response:	What did you say?
context: Hey.\What?\Do you want to fight or not?!\Of course!\Then why aren't you attacking me?!\I'll throw what your buddy said this morning back in your face.\You really are a fool, aren't ya?\What did you say? response:	I know that your Goku Uniform absorbs the power
context: What?\Do you want to fight or not?!\Of course!\Then why aren't you attacking me?!\I'll throw what your buddy said this morning back in your face.\You really are a fool, aren't ya?\What did you say?\I know that your Goku Uniform absorbs the power response:	of any attacks against you and turns it back on the attacker!
context: Do you want to fight or not?!\Of course!\Then why aren't you attacking me?!\I'll throw what your buddy said this morning back in your face.\You really are a fool, aren't ya?\What did you say?\I know that your Goku Uniform absorbs the power\of any attacks against you and turns it back on the attacker! response:	You know I can't just attack you!
context: Of course!\Then why aren't you attacking me?!\I'll throw what your buddy said this morning back in your face.\You really are a fool, aren't ya?\What did you say?\I know that your Goku Uniform absorbs the power\of any attacks against you and turns it back on the attacker!\You know I can't just attack you! response:	I see. So you really are a fool.
context: Then why aren't you attacking me?!\I'll throw what your buddy said this morning back in your face.\You really are a fool, aren't ya?\What did you say?\I know that your Goku Uniform absorbs the power\of any attacks against you and turns it back on the attacker!\You know I can't just attack you!\I see. So you really are a fool. response:	Come again?
context: I'll throw what your buddy said this morning back in your face.\You really are a fool, aren't ya?\What did you say?\I know that your Goku Uniform absorbs the power\of any attacks against you and turns it back on the attacker!\You know I can't just attack you!\I see. So you really are a fool.\Come again? response:	Do you think that I hadn't anticipated something so obvious?
context: You really are a fool, aren't ya?\What did you say?\I know that your Goku Uniform absorbs the power\of any attacks against you and turns it back on the attacker!\You know I can't just attack you!\I see. So you really are a fool.\Come again?\Do you think that I hadn't anticipated something so obvious? response:	What the?
context: What did you say?\I know that your Goku Uniform absorbs the power\of any attacks against you and turns it back on the attacker!\You know I can't just attack you!\I see. So you really are a fool.\Come again?\Do you think that I hadn't anticipated something so obvious?\What the? response:	Even if no one disciplines me, I discipline myself!
context: I know that your Goku Uniform absorbs the power\of any attacks against you and turns it back on the attacker!\You know I can't just attack you!\I see. So you really are a fool.\Come again?\Do you think that I hadn't anticipated something so obvious?\What the?\Even if no one disciplines me, I discipline myself! response:	I use my own techniques to punish myself!
context: of any attacks against you and turns it back on the attacker!\You know I can't just attack you!\I see. So you really are a fool.\Come again?\Do you think that I hadn't anticipated something so obvious?\What the?\Even if no one disciplines me, I discipline myself!\I use my own techniques to punish myself! response:	I punish and punish and punish myself, and bring myself to a climax!
context: You know I can't just attack you!\I see. So you really are a fool.\Come again?\Do you think that I hadn't anticipated something so obvious?\What the?\Even if no one disciplines me, I discipline myself!\I use my own techniques to punish myself!\I punish and punish and punish myself, and bring myself to a climax! response:	This is my Higi Jijo-Jibaku!
context: I see. So you really are a fool.\Come again?\Do you think that I hadn't anticipated something so obvious?\What the?\Even if no one disciplines me, I discipline myself!\I use my own techniques to punish myself!\I punish and punish and punish myself, and bring myself to a climax!\This is my Higi Jijo-Jibaku! response:	HIGI JIJO-JIBAKU
context: Come again?\Do you think that I hadn't anticipated something so obvious?\What the?\Even if no one disciplines me, I discipline myself!\I use my own techniques to punish myself!\I punish and punish and punish myself, and bring myself to a climax!\This is my Higi Jijo-Jibaku!\HIGI JIJO-JIBAKU response:	No way?!
context: Do you think that I hadn't anticipated something so obvious?\What the?\Even if no one disciplines me, I discipline myself!\I use my own techniques to punish myself!\I punish and punish and punish myself, and bring myself to a climax!\This is my Higi Jijo-Jibaku!\HIGI JIJO-JIBAKU\No way?! response:	Now, let me show you!
context: What the?\Even if no one disciplines me, I discipline myself!\I use my own techniques to punish myself!\I punish and punish and punish myself, and bring myself to a climax!\This is my Higi Jijo-Jibaku!\HIGI JIJO-JIBAKU\No way?!\Now, let me show you! response:	THREE-STAR GOKU UNIFORM SCOURGE REGALIA
context: Even if no one disciplines me, I discipline myself!\I use my own techniques to punish myself!\I punish and punish and punish myself, and bring myself to a climax!\This is my Higi Jijo-Jibaku!\HIGI JIJO-JIBAKU\No way?!\Now, let me show you!\THREE-STAR GOKU UNIFORM SCOURGE REGALIA response:	Three-Star Goku Uniform: Scourge Regalia!
context: I use my own techniques to punish myself!\I punish and punish and punish myself, and bring myself to a climax!\This is my Higi Jijo-Jibaku!\HIGI JIJO-JIBAKU\No way?!\Now, let me show you!\THREE-STAR GOKU UNIFORM SCOURGE REGALIA\Three-Star Goku Uniform: Scourge Regalia! response:	What are you waiting for?
context: I punish and punish and punish myself, and bring myself to a climax!\This is my Higi Jijo-Jibaku!\HIGI JIJO-JIBAKU\No way?!\Now, let me show you!\THREE-STAR GOKU UNIFORM SCOURGE REGALIA\Three-Star Goku Uniform: Scourge Regalia!\What are you waiting for? response:	If you fall out of the battle area, you lose right then and there!
context: This is my Higi Jijo-Jibaku!\HIGI JIJO-JIBAKU\No way?!\Now, let me show you!\THREE-STAR GOKU UNIFORM SCOURGE REGALIA\Three-Star Goku Uniform: Scourge Regalia!\What are you waiting for?\If you fall out of the battle area, you lose right then and there! response:	Nobody said that was a rule!
context: HIGI JIJO-JIBAKU\No way?!\Now, let me show you!\THREE-STAR GOKU UNIFORM SCOURGE REGALIA\Three-Star Goku Uniform: Scourge Regalia!\What are you waiting for?\If you fall out of the battle area, you lose right then and there!\Nobody said that was a rule! response:	That's why I saying so now! Are we clear, Matoi?
context: No way?!\Now, let me show you!\THREE-STAR GOKU UNIFORM SCOURGE REGALIA\Three-Star Goku Uniform: Scourge Regalia!\What are you waiting for?\If you fall out of the battle area, you lose right then and there!\Nobody said that was a rule!\That's why I saying so now! Are we clear, Matoi? response:	Crystal clear!
context: Now, let me show you!\THREE-STAR GOKU UNIFORM SCOURGE REGALIA\Three-Star Goku Uniform: Scourge Regalia!\What are you waiting for?\If you fall out of the battle area, you lose right then and there!\Nobody said that was a rule!\That's why I saying so now! Are we clear, Matoi?\Crystal clear! response:	Thank you ever so much!
context: THREE-STAR GOKU UNIFORM SCOURGE REGALIA\Three-Star Goku Uniform: Scourge Regalia!\What are you waiting for?\If you fall out of the battle area, you lose right then and there!\Nobody said that was a rule!\That's why I saying so now! Are we clear, Matoi?\Crystal clear!\Thank you ever so much! response:	You acknowledge that a contest of endurance against me is futile?
context: Three-Star Goku Uniform: Scourge Regalia!\What are you waiting for?\If you fall out of the battle area, you lose right then and there!\Nobody said that was a rule!\That's why I saying so now! Are we clear, Matoi?\Crystal clear!\Thank you ever so much!\You acknowledge that a contest of endurance against me is futile? response:	All right, what's your next move?
context: What are you waiting for?\If you fall out of the battle area, you lose right then and there!\Nobody said that was a rule!\That's why I saying so now! Are we clear, Matoi?\Crystal clear!\Thank you ever so much!\You acknowledge that a contest of endurance against me is futile?\All right, what's your next move? response:	In that case... I'll just adopt standard tactics!
context: If you fall out of the battle area, you lose right then and there!\Nobody said that was a rule!\That's why I saying so now! Are we clear, Matoi?\Crystal clear!\Thank you ever so much!\You acknowledge that a contest of endurance against me is futile?\All right, what's your next move?\In that case... I'll just adopt standard tactics! response:	Finishing move: Sen-i-Soshitsu!
context: Nobody said that was a rule!\That's why I saying so now! Are we clear, Matoi?\Crystal clear!\Thank you ever so much!\You acknowledge that a contest of endurance against me is futile?\All right, what's your next move?\In that case... I'll just adopt standard tactics!\Finishing move: Sen-i-Soshitsu! response:	SEN-I-SOSHITSU (FIBER LOST)
context: That's why I saying so now! Are we clear, Matoi?\Crystal clear!\Thank you ever so much!\You acknowledge that a contest of endurance against me is futile?\All right, what's your next move?\In that case... I'll just adopt standard tactics!\Finishing move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST) response:	Huh?
context: Crystal clear!\Thank you ever so much!\You acknowledge that a contest of endurance against me is futile?\All right, what's your next move?\In that case... I'll just adopt standard tactics!\Finishing move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Huh? response:	His uniform has no Life Fibers on its surface.
context: Thank you ever so much!\You acknowledge that a contest of endurance against me is futile?\All right, what's your next move?\In that case... I'll just adopt standard tactics!\Finishing move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Huh?\His uniform has no Life Fibers on its surface. response:	There is nothing for me to absorb!
context: You acknowledge that a contest of endurance against me is futile?\All right, what's your next move?\In that case... I'll just adopt standard tactics!\Finishing move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Huh?\His uniform has no Life Fibers on its surface.\There is nothing for me to absorb! response:	No way!
context: All right, what's your next move?\In that case... I'll just adopt standard tactics!\Finishing move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Huh?\His uniform has no Life Fibers on its surface.\There is nothing for me to absorb!\No way! response:	Surprised? My Shackle Regalia's surface is cloth armor,
context: In that case... I'll just adopt standard tactics!\Finishing move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Huh?\His uniform has no Life Fibers on its surface.\There is nothing for me to absorb!\No way!\Surprised? My Shackle Regalia's surface is cloth armor, response:	reinforced by means of special powers.
context: Finishing move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Huh?\His uniform has no Life Fibers on its surface.\There is nothing for me to absorb!\No way!\Surprised? My Shackle Regalia's surface is cloth armor,\reinforced by means of special powers. response:	To absorb its Life Fibers, you will have to pierce this cloth armor
context: SEN-I-SOSHITSU (FIBER LOST)\Huh?\His uniform has no Life Fibers on its surface.\There is nothing for me to absorb!\No way!\Surprised? My Shackle Regalia's surface is cloth armor,\reinforced by means of special powers.\To absorb its Life Fibers, you will have to pierce this cloth armor response:	and thrust your blade into the uniform proper!
context: Huh?\His uniform has no Life Fibers on its surface.\There is nothing for me to absorb!\No way!\Surprised? My Shackle Regalia's surface is cloth armor,\reinforced by means of special powers.\To absorb its Life Fibers, you will have to pierce this cloth armor\and thrust your blade into the uniform proper! response:	I'll just have to cut all the way to the inside, then!
context: His uniform has no Life Fibers on its surface.\There is nothing for me to absorb!\No way!\Surprised? My Shackle Regalia's surface is cloth armor,\reinforced by means of special powers.\To absorb its Life Fibers, you will have to pierce this cloth armor\and thrust your blade into the uniform proper!\I'll just have to cut all the way to the inside, then! response:	Is that wise?
context: There is nothing for me to absorb!\No way!\Surprised? My Shackle Regalia's surface is cloth armor,\reinforced by means of special powers.\To absorb its Life Fibers, you will have to pierce this cloth armor\and thrust your blade into the uniform proper!\I'll just have to cut all the way to the inside, then!\Is that wise? response:	If you attack me, I become that much stronger!
context: No way!\Surprised? My Shackle Regalia's surface is cloth armor,\reinforced by means of special powers.\To absorb its Life Fibers, you will have to pierce this cloth armor\and thrust your blade into the uniform proper!\I'll just have to cut all the way to the inside, then!\Is that wise?\If you attack me, I become that much stronger! response:	Scourge Regalia!
context: Surprised? My Shackle Regalia's surface is cloth armor,\reinforced by means of special powers.\To absorb its Life Fibers, you will have to pierce this cloth armor\and thrust your blade into the uniform proper!\I'll just have to cut all the way to the inside, then!\Is that wise?\If you attack me, I become that much stronger!\Scourge Regalia! response:	Ryuko!
context: reinforced by means of special powers.\To absorb its Life Fibers, you will have to pierce this cloth armor\and thrust your blade into the uniform proper!\I'll just have to cut all the way to the inside, then!\Is that wise?\If you attack me, I become that much stronger!\Scourge Regalia!\Ryuko! response:	STARDUST ELECTRONICS
context: To absorb its Life Fibers, you will have to pierce this cloth armor\and thrust your blade into the uniform proper!\I'll just have to cut all the way to the inside, then!\Is that wise?\If you attack me, I become that much stronger!\Scourge Regalia!\Ryuko!\STARDUST ELECTRONICS response:	Look out!
context: and thrust your blade into the uniform proper!\I'll just have to cut all the way to the inside, then!\Is that wise?\If you attack me, I become that much stronger!\Scourge Regalia!\Ryuko!\STARDUST ELECTRONICS\Look out! response:	This is bad!
context: I'll just have to cut all the way to the inside, then!\Is that wise?\If you attack me, I become that much stronger!\Scourge Regalia!\Ryuko!\STARDUST ELECTRONICS\Look out!\This is bad! response:	That's the Elite Four for you! He has Ryuko on the ropes!
context: Is that wise?\If you attack me, I become that much stronger!\Scourge Regalia!\Ryuko!\STARDUST ELECTRONICS\Look out!\This is bad!\That's the Elite Four for you! He has Ryuko on the ropes! response:	Don't you worry. She ate the lunch I made for her.
context: If you attack me, I become that much stronger!\Scourge Regalia!\Ryuko!\STARDUST ELECTRONICS\Look out!\This is bad!\That's the Elite Four for you! He has Ryuko on the ropes!\Don't you worry. She ate the lunch I made for her. response:	So she can't possibly lose!
context: Scourge Regalia!\Ryuko!\STARDUST ELECTRONICS\Look out!\This is bad!\That's the Elite Four for you! He has Ryuko on the ropes!\Don't you worry. She ate the lunch I made for her.\So she can't possibly lose! response:	Impressive. That Kamui is feeding me power greater
context: Ryuko!\STARDUST ELECTRONICS\Look out!\This is bad!\That's the Elite Four for you! He has Ryuko on the ropes!\Don't you worry. She ate the lunch I made for her.\So she can't possibly lose!\Impressive. That Kamui is feeding me power greater response:	than any other Goku Uniform!
context: STARDUST ELECTRONICS\Look out!\This is bad!\That's the Elite Four for you! He has Ryuko on the ropes!\Don't you worry. She ate the lunch I made for her.\So she can't possibly lose!\Impressive. That Kamui is feeding me power greater\than any other Goku Uniform! response:	Blame your own power that I can keep fighting
context: Look out!\This is bad!\That's the Elite Four for you! He has Ryuko on the ropes!\Don't you worry. She ate the lunch I made for her.\So she can't possibly lose!\Impressive. That Kamui is feeding me power greater\than any other Goku Uniform!\Blame your own power that I can keep fighting response:	with my Scourge Regalia for so long.
context: This is bad!\That's the Elite Four for you! He has Ryuko on the ropes!\Don't you worry. She ate the lunch I made for her.\So she can't possibly lose!\Impressive. That Kamui is feeding me power greater\than any other Goku Uniform!\Blame your own power that I can keep fighting\with my Scourge Regalia for so long. response:	Oh, dear. What's the matter, transfer student?
context: That's the Elite Four for you! He has Ryuko on the ropes!\Don't you worry. She ate the lunch I made for her.\So she can't possibly lose!\Impressive. That Kamui is feeding me power greater\than any other Goku Uniform!\Blame your own power that I can keep fighting\with my Scourge Regalia for so long.\Oh, dear. What's the matter, transfer student? response:	You're more of a pushover than I was expecting.
context: Don't you worry. She ate the lunch I made for her.\So she can't possibly lose!\Impressive. That Kamui is feeding me power greater\than any other Goku Uniform!\Blame your own power that I can keep fighting\with my Scourge Regalia for so long.\Oh, dear. What's the matter, transfer student?\You're more of a pushover than I was expecting. response:	The Disciplinary Committee
context: So she can't possibly lose!\Impressive. That Kamui is feeding me power greater\than any other Goku Uniform!\Blame your own power that I can keep fighting\with my Scourge Regalia for so long.\Oh, dear. What's the matter, transfer student?\You're more of a pushover than I was expecting.\The Disciplinary Committee response:	Chair's forehead is more wrinkled than usual.
context: Impressive. That Kamui is feeding me power greater\than any other Goku Uniform!\Blame your own power that I can keep fighting\with my Scourge Regalia for so long.\Oh, dear. What's the matter, transfer student?\You're more of a pushover than I was expecting.\The Disciplinary Committee\Chair's forehead is more wrinkled than usual. response:	Because to him, this is a fight in the presence of his empress.
context: than any other Goku Uniform!\Blame your own power that I can keep fighting\with my Scourge Regalia for so long.\Oh, dear. What's the matter, transfer student?\You're more of a pushover than I was expecting.\The Disciplinary Committee\Chair's forehead is more wrinkled than usual.\Because to him, this is a fight in the presence of his empress. response:	No wonder he's giving it his all.
context: Blame your own power that I can keep fighting\with my Scourge Regalia for so long.\Oh, dear. What's the matter, transfer student?\You're more of a pushover than I was expecting.\The Disciplinary Committee\Chair's forehead is more wrinkled than usual.\Because to him, this is a fight in the presence of his empress.\No wonder he's giving it his all. response:	Matoi. The resolve of this man, Gamagoori, is nothing to sneeze at.
context: with my Scourge Regalia for so long.\Oh, dear. What's the matter, transfer student?\You're more of a pushover than I was expecting.\The Disciplinary Committee\Chair's forehead is more wrinkled than usual.\Because to him, this is a fight in the presence of his empress.\No wonder he's giving it his all.\Matoi. The resolve of this man, Gamagoori, is nothing to sneeze at. response:	FIVE YEARS AGO
context: Oh, dear. What's the matter, transfer student?\You're more of a pushover than I was expecting.\The Disciplinary Committee\Chair's forehead is more wrinkled than usual.\Because to him, this is a fight in the presence of his empress.\No wonder he's giving it his all.\Matoi. The resolve of this man, Gamagoori, is nothing to sneeze at.\FIVE YEARS AGO response:	RINNE-DO JUNIOR HIGH 63RD GRADUATION CEREMONY
context: You're more of a pushover than I was expecting.\The Disciplinary Committee\Chair's forehead is more wrinkled than usual.\Because to him, this is a fight in the presence of his empress.\No wonder he's giving it his all.\Matoi. The resolve of this man, Gamagoori, is nothing to sneeze at.\FIVE YEARS AGO\RINNE-DO JUNIOR HIGH 63RD GRADUATION CEREMONY response:	To think that the serious and sincere former student
context: The Disciplinary Committee\Chair's forehead is more wrinkled than usual.\Because to him, this is a fight in the presence of his empress.\No wonder he's giving it his all.\Matoi. The resolve of this man, Gamagoori, is nothing to sneeze at.\FIVE YEARS AGO\RINNE-DO JUNIOR HIGH 63RD GRADUATION CEREMONY\To think that the serious and sincere former student response:	council president would skip his own graduation ceremony...
context: Chair's forehead is more wrinkled than usual.\Because to him, this is a fight in the presence of his empress.\No wonder he's giving it his all.\Matoi. The resolve of this man, Gamagoori, is nothing to sneeze at.\FIVE YEARS AGO\RINNE-DO JUNIOR HIGH 63RD GRADUATION CEREMONY\To think that the serious and sincere former student\council president would skip his own graduation ceremony... response:	If you intend to rule this school with force,
context: Because to him, this is a fight in the presence of his empress.\No wonder he's giving it his all.\Matoi. The resolve of this man, Gamagoori, is nothing to sneeze at.\FIVE YEARS AGO\RINNE-DO JUNIOR HIGH 63RD GRADUATION CEREMONY\To think that the serious and sincere former student\council president would skip his own graduation ceremony...\If you intend to rule this school with force, response:	then I will stop you at all costs!
context: No wonder he's giving it his all.\Matoi. The resolve of this man, Gamagoori, is nothing to sneeze at.\FIVE YEARS AGO\RINNE-DO JUNIOR HIGH 63RD GRADUATION CEREMONY\To think that the serious and sincere former student\council president would skip his own graduation ceremony...\If you intend to rule this school with force,\then I will stop you at all costs! response:	That is the final task I must carry out at this school!
context: Matoi. The resolve of this man, Gamagoori, is nothing to sneeze at.\FIVE YEARS AGO\RINNE-DO JUNIOR HIGH 63RD GRADUATION CEREMONY\To think that the serious and sincere former student\council president would skip his own graduation ceremony...\If you intend to rule this school with force,\then I will stop you at all costs!\That is the final task I must carry out at this school! response:	Steel armor over your entire body, eh?
context: FIVE YEARS AGO\RINNE-DO JUNIOR HIGH 63RD GRADUATION CEREMONY\To think that the serious and sincere former student\council president would skip his own graduation ceremony...\If you intend to rule this school with force,\then I will stop you at all costs!\That is the final task I must carry out at this school!\Steel armor over your entire body, eh? response:	My relatives run an ironworks, so I had them make it for me.
context: RINNE-DO JUNIOR HIGH 63RD GRADUATION CEREMONY\To think that the serious and sincere former student\council president would skip his own graduation ceremony...\If you intend to rule this school with force,\then I will stop you at all costs!\That is the final task I must carry out at this school!\Steel armor over your entire body, eh?\My relatives run an ironworks, so I had them make it for me. response:	Your attacks won't work on me!
context: To think that the serious and sincere former student\council president would skip his own graduation ceremony...\If you intend to rule this school with force,\then I will stop you at all costs!\That is the final task I must carry out at this school!\Steel armor over your entire body, eh?\My relatives run an ironworks, so I had them make it for me.\Your attacks won't work on me! response:	Be that as it may, you cannot defeat me.
context: council president would skip his own graduation ceremony...\If you intend to rule this school with force,\then I will stop you at all costs!\That is the final task I must carry out at this school!\Steel armor over your entire body, eh?\My relatives run an ironworks, so I had them make it for me.\Your attacks won't work on me!\Be that as it may, you cannot defeat me. response:	I never thought I could.
context: If you intend to rule this school with force,\then I will stop you at all costs!\That is the final task I must carry out at this school!\Steel armor over your entire body, eh?\My relatives run an ironworks, so I had them make it for me.\Your attacks won't work on me!\Be that as it may, you cannot defeat me.\I never thought I could. response:	My strength isn't enough to defeat you.
context: then I will stop you at all costs!\That is the final task I must carry out at this school!\Steel armor over your entire body, eh?\My relatives run an ironworks, so I had them make it for me.\Your attacks won't work on me!\Be that as it may, you cannot defeat me.\I never thought I could.\My strength isn't enough to defeat you. response:	If you know that, then why do you oppose me?
context: That is the final task I must carry out at this school!\Steel armor over your entire body, eh?\My relatives run an ironworks, so I had them make it for me.\Your attacks won't work on me!\Be that as it may, you cannot defeat me.\I never thought I could.\My strength isn't enough to defeat you.\If you know that, then why do you oppose me? response:	I can't defeat you, but I won't lose to you, either!
context: Steel armor over your entire body, eh?\My relatives run an ironworks, so I had them make it for me.\Your attacks won't work on me!\Be that as it may, you cannot defeat me.\I never thought I could.\My strength isn't enough to defeat you.\If you know that, then why do you oppose me?\I can't defeat you, but I won't lose to you, either! response:	What did you say?
context: My relatives run an ironworks, so I had them make it for me.\Your attacks won't work on me!\Be that as it may, you cannot defeat me.\I never thought I could.\My strength isn't enough to defeat you.\If you know that, then why do you oppose me?\I can't defeat you, but I won't lose to you, either!\What did you say? response:	You can't make me kneel before you.
context: Your attacks won't work on me!\Be that as it may, you cannot defeat me.\I never thought I could.\My strength isn't enough to defeat you.\If you know that, then why do you oppose me?\I can't defeat you, but I won't lose to you, either!\What did you say?\You can't make me kneel before you. response:	If you intend to use force to conquer this school,
context: Be that as it may, you cannot defeat me.\I never thought I could.\My strength isn't enough to defeat you.\If you know that, then why do you oppose me?\I can't defeat you, but I won't lose to you, either!\What did you say?\You can't make me kneel before you.\If you intend to use force to conquer this school, response:	I'll take all of it on myself!
context: I never thought I could.\My strength isn't enough to defeat you.\If you know that, then why do you oppose me?\I can't defeat you, but I won't lose to you, either!\What did you say?\You can't make me kneel before you.\If you intend to use force to conquer this school,\I'll take all of it on myself! response:	I'll show you that there are those who will never yield to force.
context: My strength isn't enough to defeat you.\If you know that, then why do you oppose me?\I can't defeat you, but I won't lose to you, either!\What did you say?\You can't make me kneel before you.\If you intend to use force to conquer this school,\I'll take all of it on myself!\I'll show you that there are those who will never yield to force. response:	That is my resolve!
context: If you know that, then why do you oppose me?\I can't defeat you, but I won't lose to you, either!\What did you say?\You can't make me kneel before you.\If you intend to use force to conquer this school,\I'll take all of it on myself!\I'll show you that there are those who will never yield to force.\That is my resolve! response:	Easily said, somewhat more difficult to do.
context: I can't defeat you, but I won't lose to you, either!\What did you say?\You can't make me kneel before you.\If you intend to use force to conquer this school,\I'll take all of it on myself!\I'll show you that there are those who will never yield to force.\That is my resolve!\Easily said, somewhat more difficult to do. response:	If your words are hollow, expect no mercy!
context: What did you say?\You can't make me kneel before you.\If you intend to use force to conquer this school,\I'll take all of it on myself!\I'll show you that there are those who will never yield to force.\That is my resolve!\Easily said, somewhat more difficult to do.\If your words are hollow, expect no mercy! response:	I won't kneel before you... Never!
context: You can't make me kneel before you.\If you intend to use force to conquer this school,\I'll take all of it on myself!\I'll show you that there are those who will never yield to force.\That is my resolve!\Easily said, somewhat more difficult to do.\If your words are hollow, expect no mercy!\I won't kneel before you... Never! response:	I'll never kneel before you!
context: If you intend to use force to conquer this school,\I'll take all of it on myself!\I'll show you that there are those who will never yield to force.\That is my resolve!\Easily said, somewhat more difficult to do.\If your words are hollow, expect no mercy!\I won't kneel before you... Never!\I'll never kneel before you! response:	Gamagoori. I have seen the full measure of your resolve.
