context: Can't something fun happen for once? response:	Every single day bores me to death.
context: Anyway, what's got you so focused?\Doing research about the Words.\The Words, huh? That's all you've been about these days.\If I keep looking for the Words, I'm sure I'll find Chariot!\And it's the Shiny Rod that will lead me to the Words!\Professor Ursula!\Look, the Shiny Rod!\The fifth Word, I see. response:	This one is related to ancient history and tradition.
context: Doing research about the Words.\The Words, huh? That's all you've been about these days.\If I keep looking for the Words, I'm sure I'll find Chariot!\And it's the Shiny Rod that will lead me to the Words!\Professor Ursula!\Look, the Shiny Rod!\The fifth Word, I see.\This one is related to ancient history and tradition. response:	History and tradition?
context: The Words, huh? That's all you've been about these days.\If I keep looking for the Words, I'm sure I'll find Chariot!\And it's the Shiny Rod that will lead me to the Words!\Professor Ursula!\Look, the Shiny Rod!\The fifth Word, I see.\This one is related to ancient history and tradition.\History and tradition? response:	Yes, it's
context: If I keep looking for the Words, I'm sure I'll find Chariot!\And it's the Shiny Rod that will lead me to the Words!\Professor Ursula!\Look, the Shiny Rod!\The fifth Word, I see.\This one is related to ancient history and tradition.\History and tradition?\Yes, it's response:	Professor Ursula!
context: And it's the Shiny Rod that will lead me to the Words!\Professor Ursula!\Look, the Shiny Rod!\The fifth Word, I see.\This one is related to ancient history and tradition.\History and tradition?\Yes, it's\Professor Ursula! response:	When can I expect the materials I requested you to collect?
context: Professor Ursula!\Look, the Shiny Rod!\The fifth Word, I see.\This one is related to ancient history and tradition.\History and tradition?\Yes, it's\Professor Ursula!\When can I expect the materials I requested you to collect? response:	M-My apologies!
context: Look, the Shiny Rod!\The fifth Word, I see.\This one is related to ancient history and tradition.\History and tradition?\Yes, it's\Professor Ursula!\When can I expect the materials I requested you to collect?\M-My apologies! response:	I'll be right there!
context: The fifth Word, I see.\This one is related to ancient history and tradition.\History and tradition?\Yes, it's\Professor Ursula!\When can I expect the materials I requested you to collect?\M-My apologies!\I'll be right there! response:	Honestly, and right when the Cavendish family is having a crisis...
context: This one is related to ancient history and tradition.\History and tradition?\Yes, it's\Professor Ursula!\When can I expect the materials I requested you to collect?\M-My apologies!\I'll be right there!\Honestly, and right when the Cavendish family is having a crisis... response:	Sorry, Akko! Just give me a minute.
context: History and tradition?\Yes, it's\Professor Ursula!\When can I expect the materials I requested you to collect?\M-My apologies!\I'll be right there!\Honestly, and right when the Cavendish family is having a crisis...\Sorry, Akko! Just give me a minute. response:	Heave-ho!
context: Yes, it's\Professor Ursula!\When can I expect the materials I requested you to collect?\M-My apologies!\I'll be right there!\Honestly, and right when the Cavendish family is having a crisis...\Sorry, Akko! Just give me a minute.\Heave-ho! response:	The Cavendish family? I wonder if something happened to Diana.
context: Professor Ursula!\When can I expect the materials I requested you to collect?\M-My apologies!\I'll be right there!\Honestly, and right when the Cavendish family is having a crisis...\Sorry, Akko! Just give me a minute.\Heave-ho!\The Cavendish family? I wonder if something happened to Diana. response:	Forget Diana!
context: When can I expect the materials I requested you to collect?\M-My apologies!\I'll be right there!\Honestly, and right when the Cavendish family is having a crisis...\Sorry, Akko! Just give me a minute.\Heave-ho!\The Cavendish family? I wonder if something happened to Diana.\Forget Diana! response:	I was at the club the other night, and I heard that the legendary Holy Grail is in Brightonbury.
context: M-My apologies!\I'll be right there!\Honestly, and right when the Cavendish family is having a crisis...\Sorry, Akko! Just give me a minute.\Heave-ho!\The Cavendish family? I wonder if something happened to Diana.\Forget Diana!\I was at the club the other night, and I heard that the legendary Holy Grail is in Brightonbury. response:	The legendary Holy Grail?
context: I'll be right there!\Honestly, and right when the Cavendish family is having a crisis...\Sorry, Akko! Just give me a minute.\Heave-ho!\The Cavendish family? I wonder if something happened to Diana.\Forget Diana!\I was at the club the other night, and I heard that the legendary Holy Grail is in Brightonbury.\The legendary Holy Grail? response:	Rumor says the Grail's been carefully tucked away over in Appleton Academy.
context: Honestly, and right when the Cavendish family is having a crisis...\Sorry, Akko! Just give me a minute.\Heave-ho!\The Cavendish family? I wonder if something happened to Diana.\Forget Diana!\I was at the club the other night, and I heard that the legendary Holy Grail is in Brightonbury.\The legendary Holy Grail?\Rumor says the Grail's been carefully tucked away over in Appleton Academy. response:	Seems that it was used in one of Appleton's traditional ceremonies of some sort.
context: Sorry, Akko! Just give me a minute.\Heave-ho!\The Cavendish family? I wonder if something happened to Diana.\Forget Diana!\I was at the club the other night, and I heard that the legendary Holy Grail is in Brightonbury.\The legendary Holy Grail?\Rumor says the Grail's been carefully tucked away over in Appleton Academy.\Seems that it was used in one of Appleton's traditional ceremonies of some sort. response:	And Appleton Academy was...
context: Heave-ho!\The Cavendish family? I wonder if something happened to Diana.\Forget Diana!\I was at the club the other night, and I heard that the legendary Holy Grail is in Brightonbury.\The legendary Holy Grail?\Rumor says the Grail's been carefully tucked away over in Appleton Academy.\Seems that it was used in one of Appleton's traditional ceremonies of some sort.\And Appleton Academy was... response:	It's a famous school with over one thousand years of history to its name.
context: The Cavendish family? I wonder if something happened to Diana.\Forget Diana!\I was at the club the other night, and I heard that the legendary Holy Grail is in Brightonbury.\The legendary Holy Grail?\Rumor says the Grail's been carefully tucked away over in Appleton Academy.\Seems that it was used in one of Appleton's traditional ceremonies of some sort.\And Appleton Academy was...\It's a famous school with over one thousand years of history to its name. response:	Professor Croix!
context: Forget Diana!\I was at the club the other night, and I heard that the legendary Holy Grail is in Brightonbury.\The legendary Holy Grail?\Rumor says the Grail's been carefully tucked away over in Appleton Academy.\Seems that it was used in one of Appleton's traditional ceremonies of some sort.\And Appleton Academy was...\It's a famous school with over one thousand years of history to its name.\Professor Croix! response:	Sorry, I didn't intend to eavesdrop.
context: I was at the club the other night, and I heard that the legendary Holy Grail is in Brightonbury.\The legendary Holy Grail?\Rumor says the Grail's been carefully tucked away over in Appleton Academy.\Seems that it was used in one of Appleton's traditional ceremonies of some sort.\And Appleton Academy was...\It's a famous school with over one thousand years of history to its name.\Professor Croix!\Sorry, I didn't intend to eavesdrop. response:	That said, I was surprised to learn that you're looking for the Words.
context: The legendary Holy Grail?\Rumor says the Grail's been carefully tucked away over in Appleton Academy.\Seems that it was used in one of Appleton's traditional ceremonies of some sort.\And Appleton Academy was...\It's a famous school with over one thousand years of history to its name.\Professor Croix!\Sorry, I didn't intend to eavesdrop.\That said, I was surprised to learn that you're looking for the Words. response:	Do you know about the Words?
context: Rumor says the Grail's been carefully tucked away over in Appleton Academy.\Seems that it was used in one of Appleton's traditional ceremonies of some sort.\And Appleton Academy was...\It's a famous school with over one thousand years of history to its name.\Professor Croix!\Sorry, I didn't intend to eavesdrop.\That said, I was surprised to learn that you're looking for the Words.\Do you know about the Words? response:	Maybe you have some idea of the one that's related to history and tradition?
context: Seems that it was used in one of Appleton's traditional ceremonies of some sort.\And Appleton Academy was...\It's a famous school with over one thousand years of history to its name.\Professor Croix!\Sorry, I didn't intend to eavesdrop.\That said, I was surprised to learn that you're looking for the Words.\Do you know about the Words?\Maybe you have some idea of the one that's related to history and tradition? response:	I'm sorry to disappoint, but researchers of modern magic tend not to be well read in ancient magic.
context: And Appleton Academy was...\It's a famous school with over one thousand years of history to its name.\Professor Croix!\Sorry, I didn't intend to eavesdrop.\That said, I was surprised to learn that you're looking for the Words.\Do you know about the Words?\Maybe you have some idea of the one that's related to history and tradition?\I'm sorry to disappoint, but researchers of modern magic tend not to be well read in ancient magic. response:	Ugh...
context: It's a famous school with over one thousand years of history to its name.\Professor Croix!\Sorry, I didn't intend to eavesdrop.\That said, I was surprised to learn that you're looking for the Words.\Do you know about the Words?\Maybe you have some idea of the one that's related to history and tradition?\I'm sorry to disappoint, but researchers of modern magic tend not to be well read in ancient magic.\Ugh... response:	But discovering the seven Words may shed some light on why Chariot du Nord disappeared...
context: Professor Croix!\Sorry, I didn't intend to eavesdrop.\That said, I was surprised to learn that you're looking for the Words.\Do you know about the Words?\Maybe you have some idea of the one that's related to history and tradition?\I'm sorry to disappoint, but researchers of modern magic tend not to be well read in ancient magic.\Ugh...\But discovering the seven Words may shed some light on why Chariot du Nord disappeared... response:	Looks like we gotta go.
context: Sorry, I didn't intend to eavesdrop.\That said, I was surprised to learn that you're looking for the Words.\Do you know about the Words?\Maybe you have some idea of the one that's related to history and tradition?\I'm sorry to disappoint, but researchers of modern magic tend not to be well read in ancient magic.\Ugh...\But discovering the seven Words may shed some light on why Chariot du Nord disappeared...\Looks like we gotta go. response:	But Professor Ursula...
context: That said, I was surprised to learn that you're looking for the Words.\Do you know about the Words?\Maybe you have some idea of the one that's related to history and tradition?\I'm sorry to disappoint, but researchers of modern magic tend not to be well read in ancient magic.\Ugh...\But discovering the seven Words may shed some light on why Chariot du Nord disappeared...\Looks like we gotta go.\But Professor Ursula... response:	What?!
context: Do you know about the Words?\Maybe you have some idea of the one that's related to history and tradition?\I'm sorry to disappoint, but researchers of modern magic tend not to be well read in ancient magic.\Ugh...\But discovering the seven Words may shed some light on why Chariot du Nord disappeared...\Looks like we gotta go.\But Professor Ursula...\What?! response:	Whatever, let's go!
context: Maybe you have some idea of the one that's related to history and tradition?\I'm sorry to disappoint, but researchers of modern magic tend not to be well read in ancient magic.\Ugh...\But discovering the seven Words may shed some light on why Chariot du Nord disappeared...\Looks like we gotta go.\But Professor Ursula...\What?!\Whatever, let's go! response:	Hey, wait! Amanda!
context: I'm sorry to disappoint, but researchers of modern magic tend not to be well read in ancient magic.\Ugh...\But discovering the seven Words may shed some light on why Chariot du Nord disappeared...\Looks like we gotta go.\But Professor Ursula...\What?!\Whatever, let's go!\Hey, wait! Amanda! response:	Take care.
context: Ugh...\But discovering the seven Words may shed some light on why Chariot du Nord disappeared...\Looks like we gotta go.\But Professor Ursula...\What?!\Whatever, let's go!\Hey, wait! Amanda!\Take care. response:	Appleton is famous for its disdain of witches.
context: But discovering the seven Words may shed some light on why Chariot du Nord disappeared...\Looks like we gotta go.\But Professor Ursula...\What?!\Whatever, let's go!\Hey, wait! Amanda!\Take care.\Appleton is famous for its disdain of witches. response:	The legendary Holy Grail...
context: Looks like we gotta go.\But Professor Ursula...\What?!\Whatever, let's go!\Hey, wait! Amanda!\Take care.\Appleton is famous for its disdain of witches.\The legendary Holy Grail... response:	Take action!
context: But Professor Ursula...\What?!\Whatever, let's go!\Hey, wait! Amanda!\Take care.\Appleton is famous for its disdain of witches.\The legendary Holy Grail...\Take action! response:	Take action!
context: What?!\Whatever, let's go!\Hey, wait! Amanda!\Take care.\Appleton is famous for its disdain of witches.\The legendary Holy Grail...\Take action!\Take action! response:	Raise your hands!
context: Whatever, let's go!\Hey, wait! Amanda!\Take care.\Appleton is famous for its disdain of witches.\The legendary Holy Grail...\Take action!\Take action!\Raise your hands! response:	Raise your hands!
context: Hey, wait! Amanda!\Take care.\Appleton is famous for its disdain of witches.\The legendary Holy Grail...\Take action!\Take action!\Raise your hands!\Raise your hands! response:	Release the shutter on this scene like it's the moment of a lifetime
context: Take care.\Appleton is famous for its disdain of witches.\The legendary Holy Grail...\Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime response:	One scene shattaa kiru you ni setsuna wo utsushite
context: Appleton is famous for its disdain of witches.\The legendary Holy Grail...\Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite response:	Release the shutter on this scene like it's the moment of a lifetime
context: The legendary Holy Grail...\Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime response:	One scene shattaa kiru you ni setsuna wo utsushite
context: Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite response:	Turn it into a story that can speak for itself
context: Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself response:	tsukuriageru na mo naki hitotsu no story
context: Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story response:	Turn it into a story that can speak for itself
context: Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself response:	tsukuriageru na mo naki hitotsu no story
context: Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story response:	Every single one of us can become a hero
context: One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero response:	watashitachi wa dare datte hiiro ni nareru
context: Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru response:	Every single one of us can become a hero
context: One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero response:	watashitachi wa dare datte hiiro ni nareru
context: Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru response:	The possibility hides within us, don't you think?
context: tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think? response:	kanousei wo himeta sonzai, sou deshou?
context: Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou? response:	The possibility hides within us, don't you think?
context: tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think? response:	kanousei wo himeta sonzai, sou deshou?
context: Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou? response:	Your first steps forward can be small to start
context: watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start response:	fumidashita ippo ga hajime wa chiisaku tatte
context: Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte response:	Your first steps forward can be small to start
context: watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start response:	fumidashita ippo ga hajime wa chiisaku tatte
context: The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte response:	Your first steps forward can be small to start
context: kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start response:	fumidashita ippo ga hajime wa chiisaku tatte
context: The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte response:	Keep it up, and we can create a brand-new future
context: kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	I'll always believe no matter what
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what response:	donna toki mo shinjiteiru yo
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo response:	I'll always believe no matter what
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what response:	donna toki mo shinjiteiru yo
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo response:	In this world and in my dreams
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams response:	kono sekai wo, jibun no yume wo
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo response:	In this world and in my dreams
context: kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams response:	kono sekai wo, jibun no yume wo
context: I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo response:	This uncontrollable urge is compelling me to begin
context: donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin response:	osaekirenai shoudou wa hajimari no aizu datte sa
context: I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa response:	This uncontrollable urge is compelling me to begin
context: donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin response:	osaekirenai shoudou wa hajimari no aizu datte sa
context: In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa response:	Telling me to go out and find the me I haven't become yet
context: kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet response:	mada watashi ga shiranai watashi ni deau tame
context: In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame response:	Telling me to go out and find the me I haven't become yet
context: kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet response:	mada watashi ga shiranai watashi ni deau tame
