context: I'm sorry. response:	Senpai, what is this?
context: When I think about that, I hate myself.\I feel like I'm not being fair.\That's fine.\You can't help loving someone.\You can't, huh...\Wait, how do you know how I feel?\It's obvious, isn't it?\Kaito-kun, thank you so much for everything! response:	I'm going home.
context: I feel like I'm not being fair.\That's fine.\You can't help loving someone.\You can't, huh...\Wait, how do you know how I feel?\It's obvious, isn't it?\Kaito-kun, thank you so much for everything!\I'm going home. response:	I'll never forget you or the time we spent together!
context: That's fine.\You can't help loving someone.\You can't, huh...\Wait, how do you know how I feel?\It's obvious, isn't it?\Kaito-kun, thank you so much for everything!\I'm going home.\I'll never forget you or the time we spent together! response:	Senpai!
context: You can't help loving someone.\You can't, huh...\Wait, how do you know how I feel?\It's obvious, isn't it?\Kaito-kun, thank you so much for everything!\I'm going home.\I'll never forget you or the time we spent together!\Senpai! response:	I'll get a job or do whatever I have to, and come to see you!
context: You can't, huh...\Wait, how do you know how I feel?\It's obvious, isn't it?\Kaito-kun, thank you so much for everything!\I'm going home.\I'll never forget you or the time we spent together!\Senpai!\I'll get a job or do whatever I have to, and come to see you! response:	But my home's in Andromeda.
context: Wait, how do you know how I feel?\It's obvious, isn't it?\Kaito-kun, thank you so much for everything!\I'm going home.\I'll never forget you or the time we spent together!\Senpai!\I'll get a job or do whatever I have to, and come to see you!\But my home's in Andromeda. response:	Space is big.
context: It's obvious, isn't it?\Kaito-kun, thank you so much for everything!\I'm going home.\I'll never forget you or the time we spent together!\Senpai!\I'll get a job or do whatever I have to, and come to see you!\But my home's in Andromeda.\Space is big. response:	Senpai?
context: Kaito-kun, thank you so much for everything!\I'm going home.\I'll never forget you or the time we spent together!\Senpai!\I'll get a job or do whatever I have to, and come to see you!\But my home's in Andromeda.\Space is big.\Senpai? response:	Good morning, Kaito-kun.
context: I'm going home.\I'll never forget you or the time we spent together!\Senpai!\I'll get a job or do whatever I have to, and come to see you!\But my home's in Andromeda.\Space is big.\Senpai?\Good morning, Kaito-kun. response:	I'm going out for a while.
context: I'll never forget you or the time we spent together!\Senpai!\I'll get a job or do whatever I have to, and come to see you!\But my home's in Andromeda.\Space is big.\Senpai?\Good morning, Kaito-kun.\I'm going out for a while. response:	Going out?
context: Senpai!\I'll get a job or do whatever I have to, and come to see you!\But my home's in Andromeda.\Space is big.\Senpai?\Good morning, Kaito-kun.\I'm going out for a while.\Going out? response:	Are you going to look for that place?
context: I'll get a job or do whatever I have to, and come to see you!\But my home's in Andromeda.\Space is big.\Senpai?\Good morning, Kaito-kun.\I'm going out for a while.\Going out?\Are you going to look for that place? response:	Yeah.
context: But my home's in Andromeda.\Space is big.\Senpai?\Good morning, Kaito-kun.\I'm going out for a while.\Going out?\Are you going to look for that place?\Yeah. response:	I made breakfast.
context: Space is big.\Senpai?\Good morning, Kaito-kun.\I'm going out for a while.\Going out?\Are you going to look for that place?\Yeah.\I made breakfast. response:	I'll be back by dinner.
context: Senpai?\Good morning, Kaito-kun.\I'm going out for a while.\Going out?\Are you going to look for that place?\Yeah.\I made breakfast.\I'll be back by dinner. response:	Bye.
context: Good morning, Kaito-kun.\I'm going out for a while.\Going out?\Are you going to look for that place?\Yeah.\I made breakfast.\I'll be back by dinner.\Bye. response:	What am I doing?
context: I'm going out for a while.\Going out?\Are you going to look for that place?\Yeah.\I made breakfast.\I'll be back by dinner.\Bye.\What am I doing? response:	Staying on this planet will cause problems for everyone.
context: Going out?\Are you going to look for that place?\Yeah.\I made breakfast.\I'll be back by dinner.\Bye.\What am I doing?\Staying on this planet will cause problems for everyone. response:	I should call for rescue right now.
context: Are you going to look for that place?\Yeah.\I made breakfast.\I'll be back by dinner.\Bye.\What am I doing?\Staying on this planet will cause problems for everyone.\I should call for rescue right now. response:	Why don't I go home?
context: Yeah.\I made breakfast.\I'll be back by dinner.\Bye.\What am I doing?\Staying on this planet will cause problems for everyone.\I should call for rescue right now.\Why don't I go home? response:	H-Hey, Mio?
context: I made breakfast.\I'll be back by dinner.\Bye.\What am I doing?\Staying on this planet will cause problems for everyone.\I should call for rescue right now.\Why don't I go home?\H-Hey, Mio? response:	Why don't we stop?
context: I'll be back by dinner.\Bye.\What am I doing?\Staying on this planet will cause problems for everyone.\I should call for rescue right now.\Why don't I go home?\H-Hey, Mio?\Why don't we stop? response:	Why?
context: Bye.\What am I doing?\Staying on this planet will cause problems for everyone.\I should call for rescue right now.\Why don't I go home?\H-Hey, Mio?\Why don't we stop?\Why? response:	Because it was just yesterday!
context: What am I doing?\Staying on this planet will cause problems for everyone.\I should call for rescue right now.\Why don't I go home?\H-Hey, Mio?\Why don't we stop?\Why?\Because it was just yesterday! response:	Actually, today!
context: Staying on this planet will cause problems for everyone.\I should call for rescue right now.\Why don't I go home?\H-Hey, Mio?\Why don't we stop?\Why?\Because it was just yesterday!\Actually, today! response:	I don't know what to say to Takatsuki-senpai!
context: I should call for rescue right now.\Why don't I go home?\H-Hey, Mio?\Why don't we stop?\Why?\Because it was just yesterday!\Actually, today!\I don't know what to say to Takatsuki-senpai! response:	Don't think about that.
context: Why don't I go home?\H-Hey, Mio?\Why don't we stop?\Why?\Because it was just yesterday!\Actually, today!\I don't know what to say to Takatsuki-senpai!\Don't think about that. response:	Just act like you normally do.
context: H-Hey, Mio?\Why don't we stop?\Why?\Because it was just yesterday!\Actually, today!\I don't know what to say to Takatsuki-senpai!\Don't think about that.\Just act like you normally do. response:	I do think about that!
context: Why don't we stop?\Why?\Because it was just yesterday!\Actually, today!\I don't know what to say to Takatsuki-senpai!\Don't think about that.\Just act like you normally do.\I do think about that! response:	Come on!
context: Why?\Because it was just yesterday!\Actually, today!\I don't know what to say to Takatsuki-senpai!\Don't think about that.\Just act like you normally do.\I do think about that!\Come on! response:	Mio, has your personality changed since you cut your hair?
context: Because it was just yesterday!\Actually, today!\I don't know what to say to Takatsuki-senpai!\Don't think about that.\Just act like you normally do.\I do think about that!\Come on!\Mio, has your personality changed since you cut your hair? response:	Did something happen?
context: Actually, today!\I don't know what to say to Takatsuki-senpai!\Don't think about that.\Just act like you normally do.\I do think about that!\Come on!\Mio, has your personality changed since you cut your hair?\Did something happen? response:	Nothing... really...
context: I don't know what to say to Takatsuki-senpai!\Don't think about that.\Just act like you normally do.\I do think about that!\Come on!\Mio, has your personality changed since you cut your hair?\Did something happen?\Nothing... really... response:	Huh? What are you doing?
context: Don't think about that.\Just act like you normally do.\I do think about that!\Come on!\Mio, has your personality changed since you cut your hair?\Did something happen?\Nothing... really...\Huh? What are you doing? response:	I see. So she's gone out.
context: Just act like you normally do.\I do think about that!\Come on!\Mio, has your personality changed since you cut your hair?\Did something happen?\Nothing... really...\Huh? What are you doing?\I see. So she's gone out. response:	She said she was looking for the place she talked about yesterday.
context: I do think about that!\Come on!\Mio, has your personality changed since you cut your hair?\Did something happen?\Nothing... really...\Huh? What are you doing?\I see. So she's gone out.\She said she was looking for the place she talked about yesterday. response:	She went alone?
context: Come on!\Mio, has your personality changed since you cut your hair?\Did something happen?\Nothing... really...\Huh? What are you doing?\I see. So she's gone out.\She said she was looking for the place she talked about yesterday.\She went alone? response:	Why would she be so secretive?
context: Mio, has your personality changed since you cut your hair?\Did something happen?\Nothing... really...\Huh? What are you doing?\I see. So she's gone out.\She said she was looking for the place she talked about yesterday.\She went alone?\Why would she be so secretive? response:	We'd help if she asked.
context: Did something happen?\Nothing... really...\Huh? What are you doing?\I see. So she's gone out.\She said she was looking for the place she talked about yesterday.\She went alone?\Why would she be so secretive?\We'd help if she asked. response:	She's got a lot to think about, I bet.
context: Nothing... really...\Huh? What are you doing?\I see. So she's gone out.\She said she was looking for the place she talked about yesterday.\She went alone?\Why would she be so secretive?\We'd help if she asked.\She's got a lot to think about, I bet. response:	Wanna film?
context: Huh? What are you doing?\I see. So she's gone out.\She said she was looking for the place she talked about yesterday.\She went alone?\Why would she be so secretive?\We'd help if she asked.\She's got a lot to think about, I bet.\Wanna film? response:	Yeah.
context: I see. So she's gone out.\She said she was looking for the place she talked about yesterday.\She went alone?\Why would she be so secretive?\We'd help if she asked.\She's got a lot to think about, I bet.\Wanna film?\Yeah. response:	Okay, go to the side.
context: She said she was looking for the place she talked about yesterday.\She went alone?\Why would she be so secretive?\We'd help if she asked.\She's got a lot to think about, I bet.\Wanna film?\Yeah.\Okay, go to the side. response:	Now get hit.
context: She went alone?\Why would she be so secretive?\We'd help if she asked.\She's got a lot to think about, I bet.\Wanna film?\Yeah.\Okay, go to the side.\Now get hit. response:	I first learned about him...
context: Why would she be so secretive?\We'd help if she asked.\She's got a lot to think about, I bet.\Wanna film?\Yeah.\Okay, go to the side.\Now get hit.\I first learned about him... response:	Transfer student?
context: We'd help if she asked.\She's got a lot to think about, I bet.\Wanna film?\Yeah.\Okay, go to the side.\Now get hit.\I first learned about him...\Transfer student? response:	I heard he's the grandson of old man Kirishima at the town hall.
context: She's got a lot to think about, I bet.\Wanna film?\Yeah.\Okay, go to the side.\Now get hit.\I first learned about him...\Transfer student?\I heard he's the grandson of old man Kirishima at the town hall. response:	Oh, the weirdo?
context: Wanna film?\Yeah.\Okay, go to the side.\Now get hit.\I first learned about him...\Transfer student?\I heard he's the grandson of old man Kirishima at the town hall.\Oh, the weirdo? response:	He lost his parents in an accident,
context: Yeah.\Okay, go to the side.\Now get hit.\I first learned about him...\Transfer student?\I heard he's the grandson of old man Kirishima at the town hall.\Oh, the weirdo?\He lost his parents in an accident, response:	and came back here, my mom said.
context: Okay, go to the side.\Now get hit.\I first learned about him...\Transfer student?\I heard he's the grandson of old man Kirishima at the town hall.\Oh, the weirdo?\He lost his parents in an accident,\and came back here, my mom said. response:	Poor kid.
context: Now get hit.\I first learned about him...\Transfer student?\I heard he's the grandson of old man Kirishima at the town hall.\Oh, the weirdo?\He lost his parents in an accident,\and came back here, my mom said.\Poor kid. response:	Everybody, sit down.
context: I first learned about him...\Transfer student?\I heard he's the grandson of old man Kirishima at the town hall.\Oh, the weirdo?\He lost his parents in an accident,\and came back here, my mom said.\Poor kid.\Everybody, sit down. response:	I'll introduce your new classmate.
context: Transfer student?\I heard he's the grandson of old man Kirishima at the town hall.\Oh, the weirdo?\He lost his parents in an accident,\and came back here, my mom said.\Poor kid.\Everybody, sit down.\I'll introduce your new classmate. response:	My name is Kaito Kirishima. I've come from Tokyo.
context: I heard he's the grandson of old man Kirishima at the town hall.\Oh, the weirdo?\He lost his parents in an accident,\and came back here, my mom said.\Poor kid.\Everybody, sit down.\I'll introduce your new classmate.\My name is Kaito Kirishima. I've come from Tokyo. response:	Nice to meet you all.
context: Oh, the weirdo?\He lost his parents in an accident,\and came back here, my mom said.\Poor kid.\Everybody, sit down.\I'll introduce your new classmate.\My name is Kaito Kirishima. I've come from Tokyo.\Nice to meet you all. response:	The smile on his face made it impossible...
context: He lost his parents in an accident,\and came back here, my mom said.\Poor kid.\Everybody, sit down.\I'll introduce your new classmate.\My name is Kaito Kirishima. I've come from Tokyo.\Nice to meet you all.\The smile on his face made it impossible... response:	When I put myself in his position,
context: and came back here, my mom said.\Poor kid.\Everybody, sit down.\I'll introduce your new classmate.\My name is Kaito Kirishima. I've come from Tokyo.\Nice to meet you all.\The smile on his face made it impossible...\When I put myself in his position, response:	I don't think I could smile at all.
context: Poor kid.\Everybody, sit down.\I'll introduce your new classmate.\My name is Kaito Kirishima. I've come from Tokyo.\Nice to meet you all.\The smile on his face made it impossible...\When I put myself in his position,\I don't think I could smile at all. response:	But the way he kept trying to smile...
context: Everybody, sit down.\I'll introduce your new classmate.\My name is Kaito Kirishima. I've come from Tokyo.\Nice to meet you all.\The smile on his face made it impossible...\When I put myself in his position,\I don't think I could smile at all.\But the way he kept trying to smile... response:	I think that's when I started to like him.
context: I'll introduce your new classmate.\My name is Kaito Kirishima. I've come from Tokyo.\Nice to meet you all.\The smile on his face made it impossible...\When I put myself in his position,\I don't think I could smile at all.\But the way he kept trying to smile...\I think that's when I started to like him. response:	That expression on his face...
context: My name is Kaito Kirishima. I've come from Tokyo.\Nice to meet you all.\The smile on his face made it impossible...\When I put myself in his position,\I don't think I could smile at all.\But the way he kept trying to smile...\I think that's when I started to like him.\That expression on his face... response:	It's just like the one he has now.
context: Nice to meet you all.\The smile on his face made it impossible...\When I put myself in his position,\I don't think I could smile at all.\But the way he kept trying to smile...\I think that's when I started to like him.\That expression on his face...\It's just like the one he has now. response:	Episode 9 Senpai
context: The smile on his face made it impossible...\When I put myself in his position,\I don't think I could smile at all.\But the way he kept trying to smile...\I think that's when I started to like him.\That expression on his face...\It's just like the one he has now.\Episode 9 Senpai response:	I can buy more film if I run out.
context: When I put myself in his position,\I don't think I could smile at all.\But the way he kept trying to smile...\I think that's when I started to like him.\That expression on his face...\It's just like the one he has now.\Episode 9 Senpai\I can buy more film if I run out. response:	Maybe I should take an umbrella, too.
context: I don't think I could smile at all.\But the way he kept trying to smile...\I think that's when I started to like him.\That expression on his face...\It's just like the one he has now.\Episode 9 Senpai\I can buy more film if I run out.\Maybe I should take an umbrella, too. response:	Oh, good morning, Senpai.
context: But the way he kept trying to smile...\I think that's when I started to like him.\That expression on his face...\It's just like the one he has now.\Episode 9 Senpai\I can buy more film if I run out.\Maybe I should take an umbrella, too.\Oh, good morning, Senpai. response:	M-Morning.
context: I think that's when I started to like him.\That expression on his face...\It's just like the one he has now.\Episode 9 Senpai\I can buy more film if I run out.\Maybe I should take an umbrella, too.\Oh, good morning, Senpai.\M-Morning. response:	You're up early today.
context: That expression on his face...\It's just like the one he has now.\Episode 9 Senpai\I can buy more film if I run out.\Maybe I should take an umbrella, too.\Oh, good morning, Senpai.\M-Morning.\You're up early today. response:	You're going to look again today, right?
context: It's just like the one he has now.\Episode 9 Senpai\I can buy more film if I run out.\Maybe I should take an umbrella, too.\Oh, good morning, Senpai.\M-Morning.\You're up early today.\You're going to look again today, right? response:	Let me help.
context: Episode 9 Senpai\I can buy more film if I run out.\Maybe I should take an umbrella, too.\Oh, good morning, Senpai.\M-Morning.\You're up early today.\You're going to look again today, right?\Let me help. response:	I asked everybody to put the filming on hold for a while.
context: I can buy more film if I run out.\Maybe I should take an umbrella, too.\Oh, good morning, Senpai.\M-Morning.\You're up early today.\You're going to look again today, right?\Let me help.\I asked everybody to put the filming on hold for a while. response:	From now on...
context: Maybe I should take an umbrella, too.\Oh, good morning, Senpai.\M-Morning.\You're up early today.\You're going to look again today, right?\Let me help.\I asked everybody to put the filming on hold for a while.\From now on... response:	Um... I'll go by myself.
context: Oh, good morning, Senpai.\M-Morning.\You're up early today.\You're going to look again today, right?\Let me help.\I asked everybody to put the filming on hold for a while.\From now on...\Um... I'll go by myself. response:	I can't cause trouble for you.
context: M-Morning.\You're up early today.\You're going to look again today, right?\Let me help.\I asked everybody to put the filming on hold for a while.\From now on...\Um... I'll go by myself.\I can't cause trouble for you. response:	This is my problem.
context: You're up early today.\You're going to look again today, right?\Let me help.\I asked everybody to put the filming on hold for a while.\From now on...\Um... I'll go by myself.\I can't cause trouble for you.\This is my problem. response:	But...
context: You're going to look again today, right?\Let me help.\I asked everybody to put the filming on hold for a while.\From now on...\Um... I'll go by myself.\I can't cause trouble for you.\This is my problem.\But... response:	Thank you.
context: Let me help.\I asked everybody to put the filming on hold for a while.\From now on...\Um... I'll go by myself.\I can't cause trouble for you.\This is my problem.\But...\Thank you. response:	But I'm sorry.
context: I asked everybody to put the filming on hold for a while.\From now on...\Um... I'll go by myself.\I can't cause trouble for you.\This is my problem.\But...\Thank you.\But I'm sorry. response:	Good luck with the movie.
context: From now on...\Um... I'll go by myself.\I can't cause trouble for you.\This is my problem.\But...\Thank you.\But I'm sorry.\Good luck with the movie. response:	Bye!
context: Um... I'll go by myself.\I can't cause trouble for you.\This is my problem.\But...\Thank you.\But I'm sorry.\Good luck with the movie.\Bye! response:	Senpai!
context: I can't cause trouble for you.\This is my problem.\But...\Thank you.\But I'm sorry.\Good luck with the movie.\Bye!\Senpai! response:	I said we weren't filming today, didn't I?
context: This is my problem.\But...\Thank you.\But I'm sorry.\Good luck with the movie.\Bye!\Senpai!\I said we weren't filming today, didn't I? response:	Is my coming over a bad thing?
context: But...\Thank you.\But I'm sorry.\Good luck with the movie.\Bye!\Senpai!\I said we weren't filming today, didn't I?\Is my coming over a bad thing? response:	No, not bad, it's just...
context: Thank you.\But I'm sorry.\Good luck with the movie.\Bye!\Senpai!\I said we weren't filming today, didn't I?\Is my coming over a bad thing?\No, not bad, it's just... response:	It's good.
context: But I'm sorry.\Good luck with the movie.\Bye!\Senpai!\I said we weren't filming today, didn't I?\Is my coming over a bad thing?\No, not bad, it's just...\It's good. response:	I'm not talking about the watermelon.
context: Good luck with the movie.\Bye!\Senpai!\I said we weren't filming today, didn't I?\Is my coming over a bad thing?\No, not bad, it's just...\It's good.\I'm not talking about the watermelon. response:	Ichika-senpai's out again?
context: Bye!\Senpai!\I said we weren't filming today, didn't I?\Is my coming over a bad thing?\No, not bad, it's just...\It's good.\I'm not talking about the watermelon.\Ichika-senpai's out again? response:	Yeah.
context: Senpai!\I said we weren't filming today, didn't I?\Is my coming over a bad thing?\No, not bad, it's just...\It's good.\I'm not talking about the watermelon.\Ichika-senpai's out again?\Yeah. response:	Why aren't you helping?
context: I said we weren't filming today, didn't I?\Is my coming over a bad thing?\No, not bad, it's just...\It's good.\I'm not talking about the watermelon.\Ichika-senpai's out again?\Yeah.\Why aren't you helping? response:	She said the problem was hers and refused.
context: Is my coming over a bad thing?\No, not bad, it's just...\It's good.\I'm not talking about the watermelon.\Ichika-senpai's out again?\Yeah.\Why aren't you helping?\She said the problem was hers and refused. response:	She said good luck with the movie.
context: No, not bad, it's just...\It's good.\I'm not talking about the watermelon.\Ichika-senpai's out again?\Yeah.\Why aren't you helping?\She said the problem was hers and refused.\She said good luck with the movie. response:	I see.
context: It's good.\I'm not talking about the watermelon.\Ichika-senpai's out again?\Yeah.\Why aren't you helping?\She said the problem was hers and refused.\She said good luck with the movie.\I see. response:	What's wrong?
context: I'm not talking about the watermelon.\Ichika-senpai's out again?\Yeah.\Why aren't you helping?\She said the problem was hers and refused.\She said good luck with the movie.\I see.\What's wrong? response:	I remembered some scenery cuts I forgot.
context: Ichika-senpai's out again?\Yeah.\Why aren't you helping?\She said the problem was hers and refused.\She said good luck with the movie.\I see.\What's wrong?\I remembered some scenery cuts I forgot. response:	I'm going to Karuizawa.
context: Yeah.\Why aren't you helping?\She said the problem was hers and refused.\She said good luck with the movie.\I see.\What's wrong?\I remembered some scenery cuts I forgot.\I'm going to Karuizawa. response:	If you go home, lock the doors here.
context: Why aren't you helping?\She said the problem was hers and refused.\She said good luck with the movie.\I see.\What's wrong?\I remembered some scenery cuts I forgot.\I'm going to Karuizawa.\If you go home, lock the doors here. response:	Wai Kai!
context: She said the problem was hers and refused.\She said good luck with the movie.\I see.\What's wrong?\I remembered some scenery cuts I forgot.\I'm going to Karuizawa.\If you go home, lock the doors here.\Wai Kai! response:	You can leave the key in the usual spot, okay?
context: She said good luck with the movie.\I see.\What's wrong?\I remembered some scenery cuts I forgot.\I'm going to Karuizawa.\If you go home, lock the doors here.\Wai Kai!\You can leave the key in the usual spot, okay? response:	Okay?
context: I see.\What's wrong?\I remembered some scenery cuts I forgot.\I'm going to Karuizawa.\If you go home, lock the doors here.\Wai Kai!\You can leave the key in the usual spot, okay?\Okay? response:	What am I supposed to do with this?
context: What's wrong?\I remembered some scenery cuts I forgot.\I'm going to Karuizawa.\If you go home, lock the doors here.\Wai Kai!\You can leave the key in the usual spot, okay?\Okay?\What am I supposed to do with this? response:	Oh...
context: I remembered some scenery cuts I forgot.\I'm going to Karuizawa.\If you go home, lock the doors here.\Wai Kai!\You can leave the key in the usual spot, okay?\Okay?\What am I supposed to do with this?\Oh... response:	Tetsuro?
context: I'm going to Karuizawa.\If you go home, lock the doors here.\Wai Kai!\You can leave the key in the usual spot, okay?\Okay?\What am I supposed to do with this?\Oh...\Tetsuro? response:	What, more watermelons?
context: If you go home, lock the doors here.\Wai Kai!\You can leave the key in the usual spot, okay?\Okay?\What am I supposed to do with this?\Oh...\Tetsuro?\What, more watermelons? response:	Where's Kaito-kun?
context: Wai Kai!\You can leave the key in the usual spot, okay?\Okay?\What am I supposed to do with this?\Oh...\Tetsuro?\What, more watermelons?\Where's Kaito-kun? response:	He said he was gonna get some scenery cuts.
context: You can leave the key in the usual spot, okay?\Okay?\What am I supposed to do with this?\Oh...\Tetsuro?\What, more watermelons?\Where's Kaito-kun?\He said he was gonna get some scenery cuts. response:	Where's Takatsuki-senpai?
context: Okay?\What am I supposed to do with this?\Oh...\Tetsuro?\What, more watermelons?\Where's Kaito-kun?\He said he was gonna get some scenery cuts.\Where's Takatsuki-senpai? response:	Out.
context: What am I supposed to do with this?\Oh...\Tetsuro?\What, more watermelons?\Where's Kaito-kun?\He said he was gonna get some scenery cuts.\Where's Takatsuki-senpai?\Out. response:	So what are you doing?
context: Oh...\Tetsuro?\What, more watermelons?\Where's Kaito-kun?\He said he was gonna get some scenery cuts.\Where's Takatsuki-senpai?\Out.\So what are you doing? response:	Kanna?
context: Tetsuro?\What, more watermelons?\Where's Kaito-kun?\He said he was gonna get some scenery cuts.\Where's Takatsuki-senpai?\Out.\So what are you doing?\Kanna? response:	What? What?
context: What, more watermelons?\Where's Kaito-kun?\He said he was gonna get some scenery cuts.\Where's Takatsuki-senpai?\Out.\So what are you doing?\Kanna?\What? What? response:	This is from when we went to Karuizawa...
context: Where's Kaito-kun?\He said he was gonna get some scenery cuts.\Where's Takatsuki-senpai?\Out.\So what are you doing?\Kanna?\What? What?\This is from when we went to Karuizawa... response:	You look really cute!
context: He said he was gonna get some scenery cuts.\Where's Takatsuki-senpai?\Out.\So what are you doing?\Kanna?\What? What?\This is from when we went to Karuizawa...\You look really cute! response:	Takatsuki-senpai.
context: Where's Takatsuki-senpai?\Out.\So what are you doing?\Kanna?\What? What?\This is from when we went to Karuizawa...\You look really cute!\Takatsuki-senpai. response:	I didn't know he took this.
context: Out.\So what are you doing?\Kanna?\What? What?\This is from when we went to Karuizawa...\You look really cute!\Takatsuki-senpai.\I didn't know he took this. response:	Kanna?
context: So what are you doing?\Kanna?\What? What?\This is from when we went to Karuizawa...\You look really cute!\Takatsuki-senpai.\I didn't know he took this.\Kanna? response:	Oh, sorry.
context: Kanna?\What? What?\This is from when we went to Karuizawa...\You look really cute!\Takatsuki-senpai.\I didn't know he took this.\Kanna?\Oh, sorry. response:	It's nothing. Nothing.
context: What? What?\This is from when we went to Karuizawa...\You look really cute!\Takatsuki-senpai.\I didn't know he took this.\Kanna?\Oh, sorry.\It's nothing. Nothing. response:	Yeah?
context: This is from when we went to Karuizawa...\You look really cute!\Takatsuki-senpai.\I didn't know he took this.\Kanna?\Oh, sorry.\It's nothing. Nothing.\Yeah? response:	Forget it, let's all eat this watermelon!
context: You look really cute!\Takatsuki-senpai.\I didn't know he took this.\Kanna?\Oh, sorry.\It's nothing. Nothing.\Yeah?\Forget it, let's all eat this watermelon! response:	O-Okay.
context: Takatsuki-senpai.\I didn't know he took this.\Kanna?\Oh, sorry.\It's nothing. Nothing.\Yeah?\Forget it, let's all eat this watermelon!\O-Okay. response:	Hey, cutie.
context: I didn't know he took this.\Kanna?\Oh, sorry.\It's nothing. Nothing.\Yeah?\Forget it, let's all eat this watermelon!\O-Okay.\Hey, cutie. response:	Wanna go on a date with me?
context: Kanna?\Oh, sorry.\It's nothing. Nothing.\Yeah?\Forget it, let's all eat this watermelon!\O-Okay.\Hey, cutie.\Wanna go on a date with me? response:	Not in a million years.
context: Oh, sorry.\It's nothing. Nothing.\Yeah?\Forget it, let's all eat this watermelon!\O-Okay.\Hey, cutie.\Wanna go on a date with me?\Not in a million years. response:	You're upset.
context: It's nothing. Nothing.\Yeah?\Forget it, let's all eat this watermelon!\O-Okay.\Hey, cutie.\Wanna go on a date with me?\Not in a million years.\You're upset. response:	Do I look it?
context: Yeah?\Forget it, let's all eat this watermelon!\O-Okay.\Hey, cutie.\Wanna go on a date with me?\Not in a million years.\You're upset.\Do I look it? response:	The reason is... Let's see.
context: Forget it, let's all eat this watermelon!\O-Okay.\Hey, cutie.\Wanna go on a date with me?\Not in a million years.\You're upset.\Do I look it?\The reason is... Let's see. response:	Something happened with Ichika?
context: O-Okay.\Hey, cutie.\Wanna go on a date with me?\Not in a million years.\You're upset.\Do I look it?\The reason is... Let's see.\Something happened with Ichika? response:	Nothing.
context: Hey, cutie.\Wanna go on a date with me?\Not in a million years.\You're upset.\Do I look it?\The reason is... Let's see.\Something happened with Ichika?\Nothing. response:	Actually, she won't let me do anything.
context: Wanna go on a date with me?\Not in a million years.\You're upset.\Do I look it?\The reason is... Let's see.\Something happened with Ichika?\Nothing.\Actually, she won't let me do anything. response:	She doesn't know how I feel.
context: Not in a million years.\You're upset.\Do I look it?\The reason is... Let's see.\Something happened with Ichika?\Nothing.\Actually, she won't let me do anything.\She doesn't know how I feel. response:	You're a kid.
context: You're upset.\Do I look it?\The reason is... Let's see.\Something happened with Ichika?\Nothing.\Actually, she won't let me do anything.\She doesn't know how I feel.\You're a kid. response:	Sulking because things aren't going your way.
context: Do I look it?\The reason is... Let's see.\Something happened with Ichika?\Nothing.\Actually, she won't let me do anything.\She doesn't know how I feel.\You're a kid.\Sulking because things aren't going your way. response:	That's not it.
context: The reason is... Let's see.\Something happened with Ichika?\Nothing.\Actually, she won't let me do anything.\She doesn't know how I feel.\You're a kid.\Sulking because things aren't going your way.\That's not it. response:	Then do you know how Ichika feels?
context: Something happened with Ichika?\Nothing.\Actually, she won't let me do anything.\She doesn't know how I feel.\You're a kid.\Sulking because things aren't going your way.\That's not it.\Then do you know how Ichika feels? response:	What do you think she was thinking and feeling...
context: Nothing.\Actually, she won't let me do anything.\She doesn't know how I feel.\You're a kid.\Sulking because things aren't going your way.\That's not it.\Then do you know how Ichika feels?\What do you think she was thinking and feeling... response:	What is she thinking and feeling now?
context: Actually, she won't let me do anything.\She doesn't know how I feel.\You're a kid.\Sulking because things aren't going your way.\That's not it.\Then do you know how Ichika feels?\What do you think she was thinking and feeling...\What is she thinking and feeling now? response:	Have you thought about that?
context: She doesn't know how I feel.\You're a kid.\Sulking because things aren't going your way.\That's not it.\Then do you know how Ichika feels?\What do you think she was thinking and feeling...\What is she thinking and feeling now?\Have you thought about that? response:	After all the courage it must've taken to tell you who she really is,
context: You're a kid.\Sulking because things aren't going your way.\That's not it.\Then do you know how Ichika feels?\What do you think she was thinking and feeling...\What is she thinking and feeling now?\Have you thought about that?\After all the courage it must've taken to tell you who she really is, response:	have you done anything for her in return?
context: Sulking because things aren't going your way.\That's not it.\Then do you know how Ichika feels?\What do you think she was thinking and feeling...\What is she thinking and feeling now?\Have you thought about that?\After all the courage it must've taken to tell you who she really is,\have you done anything for her in return? response:	What should I do?
context: That's not it.\Then do you know how Ichika feels?\What do you think she was thinking and feeling...\What is she thinking and feeling now?\Have you thought about that?\After all the courage it must've taken to tell you who she really is,\have you done anything for her in return?\What should I do? response:	That's what I'm saying you should think about.
context: Then do you know how Ichika feels?\What do you think she was thinking and feeling...\What is she thinking and feeling now?\Have you thought about that?\After all the courage it must've taken to tell you who she really is,\have you done anything for her in return?\What should I do?\That's what I'm saying you should think about. response:	What can you do for her?
context: What do you think she was thinking and feeling...\What is she thinking and feeling now?\Have you thought about that?\After all the courage it must've taken to tell you who she really is,\have you done anything for her in return?\What should I do?\That's what I'm saying you should think about.\What can you do for her? response:	What should you do?
context: What is she thinking and feeling now?\Have you thought about that?\After all the courage it must've taken to tell you who she really is,\have you done anything for her in return?\What should I do?\That's what I'm saying you should think about.\What can you do for her?\What should you do? response:	If you care about her, you should find your answer.
