context: Chaos response:	SHOGI HALL
context: GLOOMY\Excuse us.\We haven't been in a title match at all.\So how much time is left? Is this Souya's side?\Sheesh. You don't listen, do you?\Kuma just passed the one hour mark.\Tell me, Rei. What should I do?\I'm... response:	Stay away from my sister for now on!
context: Excuse us.\We haven't been in a title match at all.\So how much time is left? Is this Souya's side?\Sheesh. You don't listen, do you?\Kuma just passed the one hour mark.\Tell me, Rei. What should I do?\I'm...\Stay away from my sister for now on! response:	You're married, aren't you? What are you thinking?
context: We haven't been in a title match at all.\So how much time is left? Is this Souya's side?\Sheesh. You don't listen, do you?\Kuma just passed the one hour mark.\Tell me, Rei. What should I do?\I'm...\Stay away from my sister for now on!\You're married, aren't you? What are you thinking? response:	People who can't cherish their family are trash!
context: So how much time is left? Is this Souya's side?\Sheesh. You don't listen, do you?\Kuma just passed the one hour mark.\Tell me, Rei. What should I do?\I'm...\Stay away from my sister for now on!\You're married, aren't you? What are you thinking?\People who can't cherish their family are trash! response:	Trash, huh? And also unforgivable?
context: Sheesh. You don't listen, do you?\Kuma just passed the one hour mark.\Tell me, Rei. What should I do?\I'm...\Stay away from my sister for now on!\You're married, aren't you? What are you thinking?\People who can't cherish their family are trash!\Trash, huh? And also unforgivable? response:	What are you?
context: Kuma just passed the one hour mark.\Tell me, Rei. What should I do?\I'm...\Stay away from my sister for now on!\You're married, aren't you? What are you thinking?\People who can't cherish their family are trash!\Trash, huh? And also unforgivable?\What are you? response:	Who?
context: Tell me, Rei. What should I do?\I'm...\Stay away from my sister for now on!\You're married, aren't you? What are you thinking?\People who can't cherish their family are trash!\Trash, huh? And also unforgivable?\What are you?\Who? response:	A god?
context: I'm...\Stay away from my sister for now on!\You're married, aren't you? What are you thinking?\People who can't cherish their family are trash!\Trash, huh? And also unforgivable?\What are you?\Who?\A god? response:	This is good. This is bad.
context: Stay away from my sister for now on!\You're married, aren't you? What are you thinking?\People who can't cherish their family are trash!\Trash, huh? And also unforgivable?\What are you?\Who?\A god?\This is good. This is bad. response:	Are you the one who decides all that?
context: You're married, aren't you? What are you thinking?\People who can't cherish their family are trash!\Trash, huh? And also unforgivable?\What are you?\Who?\A god?\This is good. This is bad.\Are you the one who decides all that? response:	I see.
context: People who can't cherish their family are trash!\Trash, huh? And also unforgivable?\What are you?\Who?\A god?\This is good. This is bad.\Are you the one who decides all that?\I see. response:	I don't know.
context: Trash, huh? And also unforgivable?\What are you?\Who?\A god?\This is good. This is bad.\Are you the one who decides all that?\I see.\I don't know. response:	To me, humans are the embodiment of chaos.
context: What are you?\Who?\A god?\This is good. This is bad.\Are you the one who decides all that?\I see.\I don't know.\To me, humans are the embodiment of chaos. response:	The person who got mad on Mr. Shimada's behalf
context: Who?\A god?\This is good. This is bad.\Are you the one who decides all that?\I see.\I don't know.\To me, humans are the embodiment of chaos.\The person who got mad on Mr. Shimada's behalf response:	and the person who makes my older sister suffer
context: A god?\This is good. This is bad.\Are you the one who decides all that?\I see.\I don't know.\To me, humans are the embodiment of chaos.\The person who got mad on Mr. Shimada's behalf\and the person who makes my older sister suffer response:	are living in the same body.
context: This is good. This is bad.\Are you the one who decides all that?\I see.\I don't know.\To me, humans are the embodiment of chaos.\The person who got mad on Mr. Shimada's behalf\and the person who makes my older sister suffer\are living in the same body. response:	How should I...
context: Are you the one who decides all that?\I see.\I don't know.\To me, humans are the embodiment of chaos.\The person who got mad on Mr. Shimada's behalf\and the person who makes my older sister suffer\are living in the same body.\How should I... response:	Oh, he made a move.
context: I see.\I don't know.\To me, humans are the embodiment of chaos.\The person who got mad on Mr. Shimada's behalf\and the person who makes my older sister suffer\are living in the same body.\How should I...\Oh, he made a move. response:	Souya moved his Pawn to 3-9, and promoted it.
context: I don't know.\To me, humans are the embodiment of chaos.\The person who got mad on Mr. Shimada's behalf\and the person who makes my older sister suffer\are living in the same body.\How should I...\Oh, he made a move.\Souya moved his Pawn to 3-9, and promoted it. response:	What? Does he have time for that?
context: To me, humans are the embodiment of chaos.\The person who got mad on Mr. Shimada's behalf\and the person who makes my older sister suffer\are living in the same body.\How should I...\Oh, he made a move.\Souya moved his Pawn to 3-9, and promoted it.\What? Does he have time for that? response:	In that case, Bishop to 8-3. And then, after that...
context: The person who got mad on Mr. Shimada's behalf\and the person who makes my older sister suffer\are living in the same body.\How should I...\Oh, he made a move.\Souya moved his Pawn to 3-9, and promoted it.\What? Does he have time for that?\In that case, Bishop to 8-3. And then, after that... response:	Should I hate him?
context: and the person who makes my older sister suffer\are living in the same body.\How should I...\Oh, he made a move.\Souya moved his Pawn to 3-9, and promoted it.\What? Does he have time for that?\In that case, Bishop to 8-3. And then, after that...\Should I hate him? response:	Or...
context: are living in the same body.\How should I...\Oh, he made a move.\Souya moved his Pawn to 3-9, and promoted it.\What? Does he have time for that?\In that case, Bishop to 8-3. And then, after that...\Should I hate him?\Or... response:	What is it, Gotou? You're leaving?
context: How should I...\Oh, he made a move.\Souya moved his Pawn to 3-9, and promoted it.\What? Does he have time for that?\In that case, Bishop to 8-3. And then, after that...\Should I hate him?\Or...\What is it, Gotou? You're leaving? response:	I have a match tomorrow.
context: Oh, he made a move.\Souya moved his Pawn to 3-9, and promoted it.\What? Does he have time for that?\In that case, Bishop to 8-3. And then, after that...\Should I hate him?\Or...\What is it, Gotou? You're leaving?\I have a match tomorrow. response:	Don't make Kouda cry too much.
context: Souya moved his Pawn to 3-9, and promoted it.\What? Does he have time for that?\In that case, Bishop to 8-3. And then, after that...\Should I hate him?\Or...\What is it, Gotou? You're leaving?\I have a match tomorrow.\Don't make Kouda cry too much. response:	Why do you always have this fierce stance?
context: What? Does he have time for that?\In that case, Bishop to 8-3. And then, after that...\Should I hate him?\Or...\What is it, Gotou? You're leaving?\I have a match tomorrow.\Don't make Kouda cry too much.\Why do you always have this fierce stance? response:	Fierce? Are you saying I look like an ogre?
context: In that case, Bishop to 8-3. And then, after that...\Should I hate him?\Or...\What is it, Gotou? You're leaving?\I have a match tomorrow.\Don't make Kouda cry too much.\Why do you always have this fierce stance?\Fierce? Are you saying I look like an ogre? response:	Then you're already aware of it.
context: Should I hate him?\Or...\What is it, Gotou? You're leaving?\I have a match tomorrow.\Don't make Kouda cry too much.\Why do you always have this fierce stance?\Fierce? Are you saying I look like an ogre?\Then you're already aware of it. response:	ANGER ANGER ANGER ANGER
context: Or...\What is it, Gotou? You're leaving?\I have a match tomorrow.\Don't make Kouda cry too much.\Why do you always have this fierce stance?\Fierce? Are you saying I look like an ogre?\Then you're already aware of it.\ANGER ANGER ANGER ANGER response:	What's wrong, Kiriyama?
context: What is it, Gotou? You're leaving?\I have a match tomorrow.\Don't make Kouda cry too much.\Why do you always have this fierce stance?\Fierce? Are you saying I look like an ogre?\Then you're already aware of it.\ANGER ANGER ANGER ANGER\What's wrong, Kiriyama? response:	Oh, uh...
context: I have a match tomorrow.\Don't make Kouda cry too much.\Why do you always have this fierce stance?\Fierce? Are you saying I look like an ogre?\Then you're already aware of it.\ANGER ANGER ANGER ANGER\What's wrong, Kiriyama?\Oh, uh... response:	It's nothing.
context: Don't make Kouda cry too much.\Why do you always have this fierce stance?\Fierce? Are you saying I look like an ogre?\Then you're already aware of it.\ANGER ANGER ANGER ANGER\What's wrong, Kiriyama?\Oh, uh...\It's nothing. response:	For some reason, I suddenly had the feeling she was near.
context: Why do you always have this fierce stance?\Fierce? Are you saying I look like an ogre?\Then you're already aware of it.\ANGER ANGER ANGER ANGER\What's wrong, Kiriyama?\Oh, uh...\It's nothing.\For some reason, I suddenly had the feeling she was near. response:	The last time I saw her was in March.
context: Fierce? Are you saying I look like an ogre?\Then you're already aware of it.\ANGER ANGER ANGER ANGER\What's wrong, Kiriyama?\Oh, uh...\It's nothing.\For some reason, I suddenly had the feeling she was near.\The last time I saw her was in March. response:	I thought about calling her after that,
context: Then you're already aware of it.\ANGER ANGER ANGER ANGER\What's wrong, Kiriyama?\Oh, uh...\It's nothing.\For some reason, I suddenly had the feeling she was near.\The last time I saw her was in March.\I thought about calling her after that, response:	but I stopped when I reached for the phone.
context: ANGER ANGER ANGER ANGER\What's wrong, Kiriyama?\Oh, uh...\It's nothing.\For some reason, I suddenly had the feeling she was near.\The last time I saw her was in March.\I thought about calling her after that,\but I stopped when I reached for the phone. response:	What should we even talk about?
context: What's wrong, Kiriyama?\Oh, uh...\It's nothing.\For some reason, I suddenly had the feeling she was near.\The last time I saw her was in March.\I thought about calling her after that,\but I stopped when I reached for the phone.\What should we even talk about? response:	Even if she were close to me, the one standing next to her is...
context: Oh, uh...\It's nothing.\For some reason, I suddenly had the feeling she was near.\The last time I saw her was in March.\I thought about calling her after that,\but I stopped when I reached for the phone.\What should we even talk about?\Even if she were close to me, the one standing next to her is... response:	Sometimes it'll look simple to unravel, but other times it looks messed up and tangled.
context: It's nothing.\For some reason, I suddenly had the feeling she was near.\The last time I saw her was in March.\I thought about calling her after that,\but I stopped when I reached for the phone.\What should we even talk about?\Even if she were close to me, the one standing next to her is...\Sometimes it'll look simple to unravel, but other times it looks messed up and tangled. response:	If I had to put it in one word...
context: For some reason, I suddenly had the feeling she was near.\The last time I saw her was in March.\I thought about calling her after that,\but I stopped when I reached for the phone.\What should we even talk about?\Even if she were close to me, the one standing next to her is...\Sometimes it'll look simple to unravel, but other times it looks messed up and tangled.\If I had to put it in one word... response:	Then Mr. Yanagihara paused for a moment before muttering...
context: The last time I saw her was in March.\I thought about calling her after that,\but I stopped when I reached for the phone.\What should we even talk about?\Even if she were close to me, the one standing next to her is...\Sometimes it'll look simple to unravel, but other times it looks messed up and tangled.\If I had to put it in one word...\Then Mr. Yanagihara paused for a moment before muttering... response:	Chaos.
context: I thought about calling her after that,\but I stopped when I reached for the phone.\What should we even talk about?\Even if she were close to me, the one standing next to her is...\Sometimes it'll look simple to unravel, but other times it looks messed up and tangled.\If I had to put it in one word...\Then Mr. Yanagihara paused for a moment before muttering...\Chaos. response:	Chaos
context: but I stopped when I reached for the phone.\What should we even talk about?\Even if she were close to me, the one standing next to her is...\Sometimes it'll look simple to unravel, but other times it looks messed up and tangled.\If I had to put it in one word...\Then Mr. Yanagihara paused for a moment before muttering...\Chaos.\Chaos response:	Kumakura
context: What should we even talk about?\Even if she were close to me, the one standing next to her is...\Sometimes it'll look simple to unravel, but other times it looks messed up and tangled.\If I had to put it in one word...\Then Mr. Yanagihara paused for a moment before muttering...\Chaos.\Chaos\Kumakura response:	The seventh game on the second day of the 69th Meijin Battle.
context: Even if she were close to me, the one standing next to her is...\Sometimes it'll look simple to unravel, but other times it looks messed up and tangled.\If I had to put it in one word...\Then Mr. Yanagihara paused for a moment before muttering...\Chaos.\Chaos\Kumakura\The seventh game on the second day of the 69th Meijin Battle. response:	It's been a close contest that has required a full set of games, but this is the final game.
context: Sometimes it'll look simple to unravel, but other times it looks messed up and tangled.\If I had to put it in one word...\Then Mr. Yanagihara paused for a moment before muttering...\Chaos.\Chaos\Kumakura\The seventh game on the second day of the 69th Meijin Battle.\It's been a close contest that has required a full set of games, but this is the final game. response:	This game will decide the winner.
context: If I had to put it in one word...\Then Mr. Yanagihara paused for a moment before muttering...\Chaos.\Chaos\Kumakura\The seventh game on the second day of the 69th Meijin Battle.\It's been a close contest that has required a full set of games, but this is the final game.\This game will decide the winner. response:	Because of the dinner break,
context: Then Mr. Yanagihara paused for a moment before muttering...\Chaos.\Chaos\Kumakura\The seventh game on the second day of the 69th Meijin Battle.\It's been a close contest that has required a full set of games, but this is the final game.\This game will decide the winner.\Because of the dinner break, response:	both players have less time, but their expressions look calm.
context: Chaos.\Chaos\Kumakura\The seventh game on the second day of the 69th Meijin Battle.\It's been a close contest that has required a full set of games, but this is the final game.\This game will decide the winner.\Because of the dinner break,\both players have less time, but their expressions look calm. response:	Meijin Souya has won five times, totaling 11 wins. Will he retain the title of Meijin today?
context: Chaos\Kumakura\The seventh game on the second day of the 69th Meijin Battle.\It's been a close contest that has required a full set of games, but this is the final game.\This game will decide the winner.\Because of the dinner break,\both players have less time, but their expressions look calm.\Meijin Souya has won five times, totaling 11 wins. Will he retain the title of Meijin today? response:	Or will Kumakura 9th-Dan, the challenger for the fourth time in a row, seize the title?
context: Kumakura\The seventh game on the second day of the 69th Meijin Battle.\It's been a close contest that has required a full set of games, but this is the final game.\This game will decide the winner.\Because of the dinner break,\both players have less time, but their expressions look calm.\Meijin Souya has won five times, totaling 11 wins. Will he retain the title of Meijin today?\Or will Kumakura 9th-Dan, the challenger for the fourth time in a row, seize the title? response:	Ah, Meijin Souya has made his move. Bishop to 4-4.
context: The seventh game on the second day of the 69th Meijin Battle.\It's been a close contest that has required a full set of games, but this is the final game.\This game will decide the winner.\Because of the dinner break,\both players have less time, but their expressions look calm.\Meijin Souya has won five times, totaling 11 wins. Will he retain the title of Meijin today?\Or will Kumakura 9th-Dan, the challenger for the fourth time in a row, seize the title?\Ah, Meijin Souya has made his move. Bishop to 4-4. response:	This is...
context: It's been a close contest that has required a full set of games, but this is the final game.\This game will decide the winner.\Because of the dinner break,\both players have less time, but their expressions look calm.\Meijin Souya has won five times, totaling 11 wins. Will he retain the title of Meijin today?\Or will Kumakura 9th-Dan, the challenger for the fourth time in a row, seize the title?\Ah, Meijin Souya has made his move. Bishop to 4-4.\This is... response:	What do you think, commentator Mr. Tsujii?
context: This game will decide the winner.\Because of the dinner break,\both players have less time, but their expressions look calm.\Meijin Souya has won five times, totaling 11 wins. Will he retain the title of Meijin today?\Or will Kumakura 9th-Dan, the challenger for the fourth time in a row, seize the title?\Ah, Meijin Souya has made his move. Bishop to 4-4.\This is...\What do you think, commentator Mr. Tsujii? response:	Tsujii 9th-Dan at The Match's Commentary Hall
context: Because of the dinner break,\both players have less time, but their expressions look calm.\Meijin Souya has won five times, totaling 11 wins. Will he retain the title of Meijin today?\Or will Kumakura 9th-Dan, the challenger for the fourth time in a row, seize the title?\Ah, Meijin Souya has made his move. Bishop to 4-4.\This is...\What do you think, commentator Mr. Tsujii?\Tsujii 9th-Dan at The Match's Commentary Hall response:	This is an unusual move.
context: both players have less time, but their expressions look calm.\Meijin Souya has won five times, totaling 11 wins. Will he retain the title of Meijin today?\Or will Kumakura 9th-Dan, the challenger for the fourth time in a row, seize the title?\Ah, Meijin Souya has made his move. Bishop to 4-4.\This is...\What do you think, commentator Mr. Tsujii?\Tsujii 9th-Dan at The Match's Commentary Hall\This is an unusual move. response:	Why did he do that?
context: Meijin Souya has won five times, totaling 11 wins. Will he retain the title of Meijin today?\Or will Kumakura 9th-Dan, the challenger for the fourth time in a row, seize the title?\Ah, Meijin Souya has made his move. Bishop to 4-4.\This is...\What do you think, commentator Mr. Tsujii?\Tsujii 9th-Dan at The Match's Commentary Hall\This is an unusual move.\Why did he do that? response:	It's not a Bishop to 3-7 promotion, nor is it a Dragon to 3-7.
context: Or will Kumakura 9th-Dan, the challenger for the fourth time in a row, seize the title?\Ah, Meijin Souya has made his move. Bishop to 4-4.\This is...\What do you think, commentator Mr. Tsujii?\Tsujii 9th-Dan at The Match's Commentary Hall\This is an unusual move.\Why did he do that?\It's not a Bishop to 3-7 promotion, nor is it a Dragon to 3-7. response:	It feels like he wasted a move.
context: Ah, Meijin Souya has made his move. Bishop to 4-4.\This is...\What do you think, commentator Mr. Tsujii?\Tsujii 9th-Dan at The Match's Commentary Hall\This is an unusual move.\Why did he do that?\It's not a Bishop to 3-7 promotion, nor is it a Dragon to 3-7.\It feels like he wasted a move. response:	It doesn't have any special meaning.
context: This is...\What do you think, commentator Mr. Tsujii?\Tsujii 9th-Dan at The Match's Commentary Hall\This is an unusual move.\Why did he do that?\It's not a Bishop to 3-7 promotion, nor is it a Dragon to 3-7.\It feels like he wasted a move.\It doesn't have any special meaning. response:	That's because this is a free-for-all. It's like saying, Go ahead, think about this.
context: What do you think, commentator Mr. Tsujii?\Tsujii 9th-Dan at The Match's Commentary Hall\This is an unusual move.\Why did he do that?\It's not a Bishop to 3-7 promotion, nor is it a Dragon to 3-7.\It feels like he wasted a move.\It doesn't have any special meaning.\That's because this is a free-for-all. It's like saying, Go ahead, think about this. response:	It happens.
context: Tsujii 9th-Dan at The Match's Commentary Hall\This is an unusual move.\Why did he do that?\It's not a Bishop to 3-7 promotion, nor is it a Dragon to 3-7.\It feels like he wasted a move.\It doesn't have any special meaning.\That's because this is a free-for-all. It's like saying, Go ahead, think about this.\It happens. response:	I don't think even Souya would know what to do anymore.
context: This is an unusual move.\Why did he do that?\It's not a Bishop to 3-7 promotion, nor is it a Dragon to 3-7.\It feels like he wasted a move.\It doesn't have any special meaning.\That's because this is a free-for-all. It's like saying, Go ahead, think about this.\It happens.\I don't think even Souya would know what to do anymore. response:	I get it. Yes, yes.
context: Why did he do that?\It's not a Bishop to 3-7 promotion, nor is it a Dragon to 3-7.\It feels like he wasted a move.\It doesn't have any special meaning.\That's because this is a free-for-all. It's like saying, Go ahead, think about this.\It happens.\I don't think even Souya would know what to do anymore.\I get it. Yes, yes. response:	Then at this stage, could we say Kumakura 9th Dan has a slight advantage?
context: It's not a Bishop to 3-7 promotion, nor is it a Dragon to 3-7.\It feels like he wasted a move.\It doesn't have any special meaning.\That's because this is a free-for-all. It's like saying, Go ahead, think about this.\It happens.\I don't think even Souya would know what to do anymore.\I get it. Yes, yes.\Then at this stage, could we say Kumakura 9th Dan has a slight advantage? response:	BAM
context: It feels like he wasted a move.\It doesn't have any special meaning.\That's because this is a free-for-all. It's like saying, Go ahead, think about this.\It happens.\I don't think even Souya would know what to do anymore.\I get it. Yes, yes.\Then at this stage, could we say Kumakura 9th Dan has a slight advantage?\BAM response:	Indeed! I'm sure Kumakura 9th Dan will do a dodge move next.
context: It doesn't have any special meaning.\That's because this is a free-for-all. It's like saying, Go ahead, think about this.\It happens.\I don't think even Souya would know what to do anymore.\I get it. Yes, yes.\Then at this stage, could we say Kumakura 9th Dan has a slight advantage?\BAM\Indeed! I'm sure Kumakura 9th Dan will do a dodge move next. response:	He'll probably make his move quickly.
context: That's because this is a free-for-all. It's like saying, Go ahead, think about this.\It happens.\I don't think even Souya would know what to do anymore.\I get it. Yes, yes.\Then at this stage, could we say Kumakura 9th Dan has a slight advantage?\BAM\Indeed! I'm sure Kumakura 9th Dan will do a dodge move next.\He'll probably make his move quickly. response:	Wait. This is...
context: It happens.\I don't think even Souya would know what to do anymore.\I get it. Yes, yes.\Then at this stage, could we say Kumakura 9th Dan has a slight advantage?\BAM\Indeed! I'm sure Kumakura 9th Dan will do a dodge move next.\He'll probably make his move quickly.\Wait. This is... response:	I lost.
context: I don't think even Souya would know what to do anymore.\I get it. Yes, yes.\Then at this stage, could we say Kumakura 9th Dan has a slight advantage?\BAM\Indeed! I'm sure Kumakura 9th Dan will do a dodge move next.\He'll probably make his move quickly.\Wait. This is...\I lost. response:	What? Oh, he resigned. Kumakura 9th Dan has resigned!
context: I get it. Yes, yes.\Then at this stage, could we say Kumakura 9th Dan has a slight advantage?\BAM\Indeed! I'm sure Kumakura 9th Dan will do a dodge move next.\He'll probably make his move quickly.\Wait. This is...\I lost.\What? Oh, he resigned. Kumakura 9th Dan has resigned! response:	Meijin Souya has defended his title!
context: Then at this stage, could we say Kumakura 9th Dan has a slight advantage?\BAM\Indeed! I'm sure Kumakura 9th Dan will do a dodge move next.\He'll probably make his move quickly.\Wait. This is...\I lost.\What? Oh, he resigned. Kumakura 9th Dan has resigned!\Meijin Souya has defended his title! response:	R-Resigned?!
context: BAM\Indeed! I'm sure Kumakura 9th Dan will do a dodge move next.\He'll probably make his move quickly.\Wait. This is...\I lost.\What? Oh, he resigned. Kumakura 9th Dan has resigned!\Meijin Souya has defended his title!\R-Resigned?! response:	Wait a second! Suddenly?
context: Indeed! I'm sure Kumakura 9th Dan will do a dodge move next.\He'll probably make his move quickly.\Wait. This is...\I lost.\What? Oh, he resigned. Kumakura 9th Dan has resigned!\Meijin Souya has defended his title!\R-Resigned?!\Wait a second! Suddenly? response:	Hey, get the camera!
context: He'll probably make his move quickly.\Wait. This is...\I lost.\What? Oh, he resigned. Kumakura 9th Dan has resigned!\Meijin Souya has defended his title!\R-Resigned?!\Wait a second! Suddenly?\Hey, get the camera! response:	- The observer isn't even in there! - Hello? He resigned!
context: Wait. This is...\I lost.\What? Oh, he resigned. Kumakura 9th Dan has resigned!\Meijin Souya has defended his title!\R-Resigned?!\Wait a second! Suddenly?\Hey, get the camera!\- The observer isn't even in there! - Hello? He resigned! response:	- Hurry! - Where's Mr. Nakamura, the observer?
context: I lost.\What? Oh, he resigned. Kumakura 9th Dan has resigned!\Meijin Souya has defended his title!\R-Resigned?!\Wait a second! Suddenly?\Hey, get the camera!\- The observer isn't even in there! - Hello? He resigned!\- Hurry! - Where's Mr. Nakamura, the observer? response:	Kumakura resigned. I said, he resigned! Please hurry!
context: What? Oh, he resigned. Kumakura 9th Dan has resigned!\Meijin Souya has defended his title!\R-Resigned?!\Wait a second! Suddenly?\Hey, get the camera!\- The observer isn't even in there! - Hello? He resigned!\- Hurry! - Where's Mr. Nakamura, the observer?\Kumakura resigned. I said, he resigned! Please hurry! response:	Huh? Resigned? All of a sudden?
context: Meijin Souya has defended his title!\R-Resigned?!\Wait a second! Suddenly?\Hey, get the camera!\- The observer isn't even in there! - Hello? He resigned!\- Hurry! - Where's Mr. Nakamura, the observer?\Kumakura resigned. I said, he resigned! Please hurry!\Huh? Resigned? All of a sudden? response:	Mr. Kumakura, why?
context: R-Resigned?!\Wait a second! Suddenly?\Hey, get the camera!\- The observer isn't even in there! - Hello? He resigned!\- Hurry! - Where's Mr. Nakamura, the observer?\Kumakura resigned. I said, he resigned! Please hurry!\Huh? Resigned? All of a sudden?\Mr. Kumakura, why? response:	Wasn't that too soon? He still had moves...
context: Wait a second! Suddenly?\Hey, get the camera!\- The observer isn't even in there! - Hello? He resigned!\- Hurry! - Where's Mr. Nakamura, the observer?\Kumakura resigned. I said, he resigned! Please hurry!\Huh? Resigned? All of a sudden?\Mr. Kumakura, why?\Wasn't that too soon? He still had moves... response:	I mean, I thought he had the upper hand.
context: Hey, get the camera!\- The observer isn't even in there! - Hello? He resigned!\- Hurry! - Where's Mr. Nakamura, the observer?\Kumakura resigned. I said, he resigned! Please hurry!\Huh? Resigned? All of a sudden?\Mr. Kumakura, why?\Wasn't that too soon? He still had moves...\I mean, I thought he had the upper hand. response:	No. He was checkmated. At precisely the 17th move.
context: - The observer isn't even in there! - Hello? He resigned!\- Hurry! - Where's Mr. Nakamura, the observer?\Kumakura resigned. I said, he resigned! Please hurry!\Huh? Resigned? All of a sudden?\Mr. Kumakura, why?\Wasn't that too soon? He still had moves...\I mean, I thought he had the upper hand.\No. He was checkmated. At precisely the 17th move. response:	King, same.
context: - Hurry! - Where's Mr. Nakamura, the observer?\Kumakura resigned. I said, he resigned! Please hurry!\Huh? Resigned? All of a sudden?\Mr. Kumakura, why?\Wasn't that too soon? He still had moves...\I mean, I thought he had the upper hand.\No. He was checkmated. At precisely the 17th move.\King, same. response:	Pawn to 1-4.
context: Kumakura resigned. I said, he resigned! Please hurry!\Huh? Resigned? All of a sudden?\Mr. Kumakura, why?\Wasn't that too soon? He still had moves...\I mean, I thought he had the upper hand.\No. He was checkmated. At precisely the 17th move.\King, same.\Pawn to 1-4. response:	Lance, same.
context: Huh? Resigned? All of a sudden?\Mr. Kumakura, why?\Wasn't that too soon? He still had moves...\I mean, I thought he had the upper hand.\No. He was checkmated. At precisely the 17th move.\King, same.\Pawn to 1-4.\Lance, same. response:	King, same.
context: Mr. Kumakura, why?\Wasn't that too soon? He still had moves...\I mean, I thought he had the upper hand.\No. He was checkmated. At precisely the 17th move.\King, same.\Pawn to 1-4.\Lance, same.\King, same. response:	It's true.
context: Wasn't that too soon? He still had moves...\I mean, I thought he had the upper hand.\No. He was checkmated. At precisely the 17th move.\King, same.\Pawn to 1-4.\Lance, same.\King, same.\It's true. response:	No one noticed.
context: I mean, I thought he had the upper hand.\No. He was checkmated. At precisely the 17th move.\King, same.\Pawn to 1-4.\Lance, same.\King, same.\It's true.\No one noticed. response:	But when it's played out, there's no denying it.
context: No. He was checkmated. At precisely the 17th move.\King, same.\Pawn to 1-4.\Lance, same.\King, same.\It's true.\No one noticed.\But when it's played out, there's no denying it. response:	At this point, he was trapped, no matter where he moved.
context: King, same.\Pawn to 1-4.\Lance, same.\King, same.\It's true.\No one noticed.\But when it's played out, there's no denying it.\At this point, he was trapped, no matter where he moved. response:	It's all in vain.
context: Pawn to 1-4.\Lance, same.\King, same.\It's true.\No one noticed.\But when it's played out, there's no denying it.\At this point, he was trapped, no matter where he moved.\It's all in vain. response:	Souya.
context: Lance, same.\King, same.\It's true.\No one noticed.\But when it's played out, there's no denying it.\At this point, he was trapped, no matter where he moved.\It's all in vain.\Souya. response:	Brilliant.
context: King, same.\It's true.\No one noticed.\But when it's played out, there's no denying it.\At this point, he was trapped, no matter where he moved.\It's all in vain.\Souya.\Brilliant. response:	I didn't train enough.
context: It's true.\No one noticed.\But when it's played out, there's no denying it.\At this point, he was trapped, no matter where he moved.\It's all in vain.\Souya.\Brilliant.\I didn't train enough. response:	That's all I can say.
context: No one noticed.\But when it's played out, there's no denying it.\At this point, he was trapped, no matter where he moved.\It's all in vain.\Souya.\Brilliant.\I didn't train enough.\That's all I can say. response:	For this next year, I'll fight off everyone in the rank-deciding competitions
context: But when it's played out, there's no denying it.\At this point, he was trapped, no matter where he moved.\It's all in vain.\Souya.\Brilliant.\I didn't train enough.\That's all I can say.\For this next year, I'll fight off everyone in the rank-deciding competitions response:	and train hard so I can come back and sit here again.
context: At this point, he was trapped, no matter where he moved.\It's all in vain.\Souya.\Brilliant.\I didn't train enough.\That's all I can say.\For this next year, I'll fight off everyone in the rank-deciding competitions\and train hard so I can come back and sit here again. response:	Oh, man. He's so cool.
context: It's all in vain.\Souya.\Brilliant.\I didn't train enough.\That's all I can say.\For this next year, I'll fight off everyone in the rank-deciding competitions\and train hard so I can come back and sit here again.\Oh, man. He's so cool. response:	K-Kumakura 9th Dan gives me goosebumps!
context: Souya.\Brilliant.\I didn't train enough.\That's all I can say.\For this next year, I'll fight off everyone in the rank-deciding competitions\and train hard so I can come back and sit here again.\Oh, man. He's so cool.\K-Kumakura 9th Dan gives me goosebumps! response:	I want to be like him!
context: Brilliant.\I didn't train enough.\That's all I can say.\For this next year, I'll fight off everyone in the rank-deciding competitions\and train hard so I can come back and sit here again.\Oh, man. He's so cool.\K-Kumakura 9th Dan gives me goosebumps!\I want to be like him! response:	How can he be so calm about it?
context: I didn't train enough.\That's all I can say.\For this next year, I'll fight off everyone in the rank-deciding competitions\and train hard so I can come back and sit here again.\Oh, man. He's so cool.\K-Kumakura 9th Dan gives me goosebumps!\I want to be like him!\How can he be so calm about it? response:	Right after a full set of matches?
context: That's all I can say.\For this next year, I'll fight off everyone in the rank-deciding competitions\and train hard so I can come back and sit here again.\Oh, man. He's so cool.\K-Kumakura 9th Dan gives me goosebumps!\I want to be like him!\How can he be so calm about it?\Right after a full set of matches? response:	Ah, Kengo is so cool!
context: For this next year, I'll fight off everyone in the rank-deciding competitions\and train hard so I can come back and sit here again.\Oh, man. He's so cool.\K-Kumakura 9th Dan gives me goosebumps!\I want to be like him!\How can he be so calm about it?\Right after a full set of matches?\Ah, Kengo is so cool! response:	Is it confidence?
context: and train hard so I can come back and sit here again.\Oh, man. He's so cool.\K-Kumakura 9th Dan gives me goosebumps!\I want to be like him!\How can he be so calm about it?\Right after a full set of matches?\Ah, Kengo is so cool!\Is it confidence? response:	Starting at square one and fighting through Class A, the den of demons, over and over,
