context: Does the phrase, Zawsze in love ring a bell? response:	Wait, how do you know about that?
context: No way this is just a coincidence.\Does this mean that one of them is the girl I made that promise with after all?\In other words, I met one of them all those years ago?\If I could just figure out who I met, then I'll know who the girl is.\Which one is it?\Ah, long time no see, Raku-kun.\Did you come to celebrate her birthday?\Thank you very much. response:	Who is this old guy again?
context: Does this mean that one of them is the girl I made that promise with after all?\In other words, I met one of them all those years ago?\If I could just figure out who I met, then I'll know who the girl is.\Which one is it?\Ah, long time no see, Raku-kun.\Did you come to celebrate her birthday?\Thank you very much.\Who is this old guy again? response:	I know him from somewhere.
context: In other words, I met one of them all those years ago?\If I could just figure out who I met, then I'll know who the girl is.\Which one is it?\Ah, long time no see, Raku-kun.\Did you come to celebrate her birthday?\Thank you very much.\Who is this old guy again?\I know him from somewhere. response:	Oh, hey! He's the gangster boss from the other day!
context: If I could just figure out who I met, then I'll know who the girl is.\Which one is it?\Ah, long time no see, Raku-kun.\Did you come to celebrate her birthday?\Thank you very much.\Who is this old guy again?\I know him from somewhere.\Oh, hey! He's the gangster boss from the other day! response:	Kirisaki's old man.
context: Which one is it?\Ah, long time no see, Raku-kun.\Did you come to celebrate her birthday?\Thank you very much.\Who is this old guy again?\I know him from somewhere.\Oh, hey! He's the gangster boss from the other day!\Kirisaki's old man. response:	Good evening.
context: Ah, long time no see, Raku-kun.\Did you come to celebrate her birthday?\Thank you very much.\Who is this old guy again?\I know him from somewhere.\Oh, hey! He's the gangster boss from the other day!\Kirisaki's old man.\Good evening. response:	Now, then.
context: Did you come to celebrate her birthday?\Thank you very much.\Who is this old guy again?\I know him from somewhere.\Oh, hey! He's the gangster boss from the other day!\Kirisaki's old man.\Good evening.\Now, then. response:	Are you getting along with my daughter? Sorry about your predicament.
context: Thank you very much.\Who is this old guy again?\I know him from somewhere.\Oh, hey! He's the gangster boss from the other day!\Kirisaki's old man.\Good evening.\Now, then.\Are you getting along with my daughter? Sorry about your predicament. response:	We suddenly forced you to take on the serious task of pretending to be her boyfriend.
context: Who is this old guy again?\I know him from somewhere.\Oh, hey! He's the gangster boss from the other day!\Kirisaki's old man.\Good evening.\Now, then.\Are you getting along with my daughter? Sorry about your predicament.\We suddenly forced you to take on the serious task of pretending to be her boyfriend. response:	No... Well...
context: I know him from somewhere.\Oh, hey! He's the gangster boss from the other day!\Kirisaki's old man.\Good evening.\Now, then.\Are you getting along with my daughter? Sorry about your predicament.\We suddenly forced you to take on the serious task of pretending to be her boyfriend.\No... Well... response:	Since we've come to Japan, she seems to be enjoying herself every day.
context: Oh, hey! He's the gangster boss from the other day!\Kirisaki's old man.\Good evening.\Now, then.\Are you getting along with my daughter? Sorry about your predicament.\We suddenly forced you to take on the serious task of pretending to be her boyfriend.\No... Well...\Since we've come to Japan, she seems to be enjoying herself every day. response:	I'm sure it's thanks to you. I truly appreciate it.
context: Kirisaki's old man.\Good evening.\Now, then.\Are you getting along with my daughter? Sorry about your predicament.\We suddenly forced you to take on the serious task of pretending to be her boyfriend.\No... Well...\Since we've come to Japan, she seems to be enjoying herself every day.\I'm sure it's thanks to you. I truly appreciate it. response:	Does she really?
context: Good evening.\Now, then.\Are you getting along with my daughter? Sorry about your predicament.\We suddenly forced you to take on the serious task of pretending to be her boyfriend.\No... Well...\Since we've come to Japan, she seems to be enjoying herself every day.\I'm sure it's thanks to you. I truly appreciate it.\Does she really? response:	Wait, she did say that she never had any friends when she lived in America.
context: Now, then.\Are you getting along with my daughter? Sorry about your predicament.\We suddenly forced you to take on the serious task of pretending to be her boyfriend.\No... Well...\Since we've come to Japan, she seems to be enjoying herself every day.\I'm sure it's thanks to you. I truly appreciate it.\Does she really?\Wait, she did say that she never had any friends when she lived in America. response:	No, I don't really think I've done that much.
context: Are you getting along with my daughter? Sorry about your predicament.\We suddenly forced you to take on the serious task of pretending to be her boyfriend.\No... Well...\Since we've come to Japan, she seems to be enjoying herself every day.\I'm sure it's thanks to you. I truly appreciate it.\Does she really?\Wait, she did say that she never had any friends when she lived in America.\No, I don't really think I've done that much. response:	Well, you two do have good chemistry.
context: We suddenly forced you to take on the serious task of pretending to be her boyfriend.\No... Well...\Since we've come to Japan, she seems to be enjoying herself every day.\I'm sure it's thanks to you. I truly appreciate it.\Does she really?\Wait, she did say that she never had any friends when she lived in America.\No, I don't really think I've done that much.\Well, you two do have good chemistry. response:	I was sure you'd get along just fine.
context: No... Well...\Since we've come to Japan, she seems to be enjoying herself every day.\I'm sure it's thanks to you. I truly appreciate it.\Does she really?\Wait, she did say that she never had any friends when she lived in America.\No, I don't really think I've done that much.\Well, you two do have good chemistry.\I was sure you'd get along just fine. response:	Chemistry? We don't have any!
context: Since we've come to Japan, she seems to be enjoying herself every day.\I'm sure it's thanks to you. I truly appreciate it.\Does she really?\Wait, she did say that she never had any friends when she lived in America.\No, I don't really think I've done that much.\Well, you two do have good chemistry.\I was sure you'd get along just fine.\Chemistry? We don't have any! response:	Whenever we're together, we do nothing but fight!
context: I'm sure it's thanks to you. I truly appreciate it.\Does she really?\Wait, she did say that she never had any friends when she lived in America.\No, I don't really think I've done that much.\Well, you two do have good chemistry.\I was sure you'd get along just fine.\Chemistry? We don't have any!\Whenever we're together, we do nothing but fight! response:	I'm sure that's not the case.
context: Does she really?\Wait, she did say that she never had any friends when she lived in America.\No, I don't really think I've done that much.\Well, you two do have good chemistry.\I was sure you'd get along just fine.\Chemistry? We don't have any!\Whenever we're together, we do nothing but fight!\I'm sure that's not the case. response:	You two played together so much as kids, after all.
context: Wait, she did say that she never had any friends when she lived in America.\No, I don't really think I've done that much.\Well, you two do have good chemistry.\I was sure you'd get along just fine.\Chemistry? We don't have any!\Whenever we're together, we do nothing but fight!\I'm sure that's not the case.\You two played together so much as kids, after all. response:	What?
context: No, I don't really think I've done that much.\Well, you two do have good chemistry.\I was sure you'd get along just fine.\Chemistry? We don't have any!\Whenever we're together, we do nothing but fight!\I'm sure that's not the case.\You two played together so much as kids, after all.\What? response:	As kids?
context: Well, you two do have good chemistry.\I was sure you'd get along just fine.\Chemistry? We don't have any!\Whenever we're together, we do nothing but fight!\I'm sure that's not the case.\You two played together so much as kids, after all.\What?\As kids? response:	Wait, what do you mean?
context: I was sure you'd get along just fine.\Chemistry? We don't have any!\Whenever we're together, we do nothing but fight!\I'm sure that's not the case.\You two played together so much as kids, after all.\What?\As kids?\Wait, what do you mean? response:	Oh, I don't blame you for not remembering.
context: Chemistry? We don't have any!\Whenever we're together, we do nothing but fight!\I'm sure that's not the case.\You two played together so much as kids, after all.\What?\As kids?\Wait, what do you mean?\Oh, I don't blame you for not remembering. response:	It was ten years ago.
context: Whenever we're together, we do nothing but fight!\I'm sure that's not the case.\You two played together so much as kids, after all.\What?\As kids?\Wait, what do you mean?\Oh, I don't blame you for not remembering.\It was ten years ago. response:	Back then, your father and I were engaged in talks for almost a month in a certain part of Japan.
context: I'm sure that's not the case.\You two played together so much as kids, after all.\What?\As kids?\Wait, what do you mean?\Oh, I don't blame you for not remembering.\It was ten years ago.\Back then, your father and I were engaged in talks for almost a month in a certain part of Japan. response:	Chitoge was five at the time, so I had brought her along.
context: You two played together so much as kids, after all.\What?\As kids?\Wait, what do you mean?\Oh, I don't blame you for not remembering.\It was ten years ago.\Back then, your father and I were engaged in talks for almost a month in a certain part of Japan.\Chitoge was five at the time, so I had brought her along. response:	It wasn't until we were about to wind down our talks
context: What?\As kids?\Wait, what do you mean?\Oh, I don't blame you for not remembering.\It was ten years ago.\Back then, your father and I were engaged in talks for almost a month in a certain part of Japan.\Chitoge was five at the time, so I had brought her along.\It wasn't until we were about to wind down our talks response:	that we realized how close you two had become.
context: As kids?\Wait, what do you mean?\Oh, I don't blame you for not remembering.\It was ten years ago.\Back then, your father and I were engaged in talks for almost a month in a certain part of Japan.\Chitoge was five at the time, so I had brought her along.\It wasn't until we were about to wind down our talks\that we realized how close you two had become. response:	You two seemed to be having so much fun together.
context: Wait, what do you mean?\Oh, I don't blame you for not remembering.\It was ten years ago.\Back then, your father and I were engaged in talks for almost a month in a certain part of Japan.\Chitoge was five at the time, so I had brought her along.\It wasn't until we were about to wind down our talks\that we realized how close you two had become.\You two seemed to be having so much fun together. response:	That's why it still lingers in my mind.
context: Oh, I don't blame you for not remembering.\It was ten years ago.\Back then, your father and I were engaged in talks for almost a month in a certain part of Japan.\Chitoge was five at the time, so I had brought her along.\It wasn't until we were about to wind down our talks\that we realized how close you two had become.\You two seemed to be having so much fun together.\That's why it still lingers in my mind. response:	Kirisaki and I met each other ten years ago!
context: It was ten years ago.\Back then, your father and I were engaged in talks for almost a month in a certain part of Japan.\Chitoge was five at the time, so I had brought her along.\It wasn't until we were about to wind down our talks\that we realized how close you two had become.\You two seemed to be having so much fun together.\That's why it still lingers in my mind.\Kirisaki and I met each other ten years ago! response:	No way!
context: Back then, your father and I were engaged in talks for almost a month in a certain part of Japan.\Chitoge was five at the time, so I had brought her along.\It wasn't until we were about to wind down our talks\that we realized how close you two had become.\You two seemed to be having so much fun together.\That's why it still lingers in my mind.\Kirisaki and I met each other ten years ago!\No way! response:	Then that means...
context: Chitoge was five at the time, so I had brought her along.\It wasn't until we were about to wind down our talks\that we realized how close you two had become.\You two seemed to be having so much fun together.\That's why it still lingers in my mind.\Kirisaki and I met each other ten years ago!\No way!\Then that means... response:	The girl I made that promise with was Kirisaki,
context: It wasn't until we were about to wind down our talks\that we realized how close you two had become.\You two seemed to be having so much fun together.\That's why it still lingers in my mind.\Kirisaki and I met each other ten years ago!\No way!\Then that means...\The girl I made that promise with was Kirisaki, response:	and Onodera must've mistaken me for someone else.
context: that we realized how close you two had become.\You two seemed to be having so much fun together.\That's why it still lingers in my mind.\Kirisaki and I met each other ten years ago!\No way!\Then that means...\The girl I made that promise with was Kirisaki,\and Onodera must've mistaken me for someone else. response:	The world works in mysterious ways, doesn't it?
context: You two seemed to be having so much fun together.\That's why it still lingers in my mind.\Kirisaki and I met each other ten years ago!\No way!\Then that means...\The girl I made that promise with was Kirisaki,\and Onodera must've mistaken me for someone else.\The world works in mysterious ways, doesn't it? response:	What?
context: That's why it still lingers in my mind.\Kirisaki and I met each other ten years ago!\No way!\Then that means...\The girl I made that promise with was Kirisaki,\and Onodera must've mistaken me for someone else.\The world works in mysterious ways, doesn't it?\What? response:	Who knew that it wouldn't just be you two,
context: Kirisaki and I met each other ten years ago!\No way!\Then that means...\The girl I made that promise with was Kirisaki,\and Onodera must've mistaken me for someone else.\The world works in mysterious ways, doesn't it?\What?\Who knew that it wouldn't just be you two, response:	but her as well?
context: No way!\Then that means...\The girl I made that promise with was Kirisaki,\and Onodera must've mistaken me for someone else.\The world works in mysterious ways, doesn't it?\What?\Who knew that it wouldn't just be you two,\but her as well? response:	To think that you all would be reunited at this age.
context: Then that means...\The girl I made that promise with was Kirisaki,\and Onodera must've mistaken me for someone else.\The world works in mysterious ways, doesn't it?\What?\Who knew that it wouldn't just be you two,\but her as well?\To think that you all would be reunited at this age. response:	Her?
context: The girl I made that promise with was Kirisaki,\and Onodera must've mistaken me for someone else.\The world works in mysterious ways, doesn't it?\What?\Who knew that it wouldn't just be you two,\but her as well?\To think that you all would be reunited at this age.\Her? response:	You know, the one you came with today.
context: and Onodera must've mistaken me for someone else.\The world works in mysterious ways, doesn't it?\What?\Who knew that it wouldn't just be you two,\but her as well?\To think that you all would be reunited at this age.\Her?\You know, the one you came with today. response:	I'm talking about her.
context: The world works in mysterious ways, doesn't it?\What?\Who knew that it wouldn't just be you two,\but her as well?\To think that you all would be reunited at this age.\Her?\You know, the one you came with today.\I'm talking about her. response:	Back then, the three of you would play together often.
context: What?\Who knew that it wouldn't just be you two,\but her as well?\To think that you all would be reunited at this age.\Her?\You know, the one you came with today.\I'm talking about her.\Back then, the three of you would play together often. response:	What?! Are you serious?
context: Who knew that it wouldn't just be you two,\but her as well?\To think that you all would be reunited at this age.\Her?\You know, the one you came with today.\I'm talking about her.\Back then, the three of you would play together often.\What?! Are you serious? response:	What the hell?
context: but her as well?\To think that you all would be reunited at this age.\Her?\You know, the one you came with today.\I'm talking about her.\Back then, the three of you would play together often.\What?! Are you serious?\What the hell? response:	Could this be destiny too, I wonder?
context: To think that you all would be reunited at this age.\Her?\You know, the one you came with today.\I'm talking about her.\Back then, the three of you would play together often.\What?! Are you serious?\What the hell?\Could this be destiny too, I wonder? response:	I see!
context: Her?\You know, the one you came with today.\I'm talking about her.\Back then, the three of you would play together often.\What?! Are you serious?\What the hell?\Could this be destiny too, I wonder?\I see! response:	All those years ago, it wasn't that I met one or the other...
context: You know, the one you came with today.\I'm talking about her.\Back then, the three of you would play together often.\What?! Are you serious?\What the hell?\Could this be destiny too, I wonder?\I see!\All those years ago, it wasn't that I met one or the other... response:	Really, Chitoge-chan!
context: I'm talking about her.\Back then, the three of you would play together often.\What?! Are you serious?\What the hell?\Could this be destiny too, I wonder?\I see!\All those years ago, it wasn't that I met one or the other...\Really, Chitoge-chan! response:	This party is for you! Where have you been?
context: Back then, the three of you would play together often.\What?! Are you serious?\What the hell?\Could this be destiny too, I wonder?\I see!\All those years ago, it wasn't that I met one or the other...\Really, Chitoge-chan!\This party is for you! Where have you been? response:	Sorry!
context: What?! Are you serious?\What the hell?\Could this be destiny too, I wonder?\I see!\All those years ago, it wasn't that I met one or the other...\Really, Chitoge-chan!\This party is for you! Where have you been?\Sorry! response:	Come to think of it, I haven't seen Ichijou-kun around, either.
context: What the hell?\Could this be destiny too, I wonder?\I see!\All those years ago, it wasn't that I met one or the other...\Really, Chitoge-chan!\This party is for you! Where have you been?\Sorry!\Come to think of it, I haven't seen Ichijou-kun around, either. response:	Huh? Oh, b-beats me!
context: Could this be destiny too, I wonder?\I see!\All those years ago, it wasn't that I met one or the other...\Really, Chitoge-chan!\This party is for you! Where have you been?\Sorry!\Come to think of it, I haven't seen Ichijou-kun around, either.\Huh? Oh, b-beats me! response:	Knowing him, he probably lost his way somewhere in the house.
context: I see!\All those years ago, it wasn't that I met one or the other...\Really, Chitoge-chan!\This party is for you! Where have you been?\Sorry!\Come to think of it, I haven't seen Ichijou-kun around, either.\Huh? Oh, b-beats me!\Knowing him, he probably lost his way somewhere in the house. response:	So I met both of them when we were kids!
context: All those years ago, it wasn't that I met one or the other...\Really, Chitoge-chan!\This party is for you! Where have you been?\Sorry!\Come to think of it, I haven't seen Ichijou-kun around, either.\Huh? Oh, b-beats me!\Knowing him, he probably lost his way somewhere in the house.\So I met both of them when we were kids! response:	Ten years ago, in the same place...
context: Really, Chitoge-chan!\This party is for you! Where have you been?\Sorry!\Come to think of it, I haven't seen Ichijou-kun around, either.\Huh? Oh, b-beats me!\Knowing him, he probably lost his way somewhere in the house.\So I met both of them when we were kids!\Ten years ago, in the same place... response:	In other words, it's not one or the other who I made a promise with,
context: This party is for you! Where have you been?\Sorry!\Come to think of it, I haven't seen Ichijou-kun around, either.\Huh? Oh, b-beats me!\Knowing him, he probably lost his way somewhere in the house.\So I met both of them when we were kids!\Ten years ago, in the same place...\In other words, it's not one or the other who I made a promise with, response:	it's both.
context: Sorry!\Come to think of it, I haven't seen Ichijou-kun around, either.\Huh? Oh, b-beats me!\Knowing him, he probably lost his way somewhere in the house.\So I met both of them when we were kids!\Ten years ago, in the same place...\In other words, it's not one or the other who I made a promise with,\it's both. response:	Both Kirisaki and Onodera...
context: Come to think of it, I haven't seen Ichijou-kun around, either.\Huh? Oh, b-beats me!\Knowing him, he probably lost his way somewhere in the house.\So I met both of them when we were kids!\Ten years ago, in the same place...\In other words, it's not one or the other who I made a promise with,\it's both.\Both Kirisaki and Onodera... response:	Never in my wildest dreams would I have imagined that.
context: Huh? Oh, b-beats me!\Knowing him, he probably lost his way somewhere in the house.\So I met both of them when we were kids!\Ten years ago, in the same place...\In other words, it's not one or the other who I made a promise with,\it's both.\Both Kirisaki and Onodera...\Never in my wildest dreams would I have imagined that. response:	There's just one thing...
context: Knowing him, he probably lost his way somewhere in the house.\So I met both of them when we were kids!\Ten years ago, in the same place...\In other words, it's not one or the other who I made a promise with,\it's both.\Both Kirisaki and Onodera...\Never in my wildest dreams would I have imagined that.\There's just one thing... response:	Why are there two keys?
context: So I met both of them when we were kids!\Ten years ago, in the same place...\In other words, it's not one or the other who I made a promise with,\it's both.\Both Kirisaki and Onodera...\Never in my wildest dreams would I have imagined that.\There's just one thing...\Why are there two keys? response:	They both said that they'd made a promise with someone ten years ago.
context: Ten years ago, in the same place...\In other words, it's not one or the other who I made a promise with,\it's both.\Both Kirisaki and Onodera...\Never in my wildest dreams would I have imagined that.\There's just one thing...\Why are there two keys?\They both said that they'd made a promise with someone ten years ago. response:	But the person I made my promise with,
context: In other words, it's not one or the other who I made a promise with,\it's both.\Both Kirisaki and Onodera...\Never in my wildest dreams would I have imagined that.\There's just one thing...\Why are there two keys?\They both said that they'd made a promise with someone ten years ago.\But the person I made my promise with, response:	was just one girl and no one else.
context: it's both.\Both Kirisaki and Onodera...\Never in my wildest dreams would I have imagined that.\There's just one thing...\Why are there two keys?\They both said that they'd made a promise with someone ten years ago.\But the person I made my promise with,\was just one girl and no one else. response:	When we reunite,
context: Both Kirisaki and Onodera...\Never in my wildest dreams would I have imagined that.\There's just one thing...\Why are there two keys?\They both said that they'd made a promise with someone ten years ago.\But the person I made my promise with,\was just one girl and no one else.\When we reunite, response:	let's get married
context: Never in my wildest dreams would I have imagined that.\There's just one thing...\Why are there two keys?\They both said that they'd made a promise with someone ten years ago.\But the person I made my promise with,\was just one girl and no one else.\When we reunite,\let's get married response:	All right, Raku-kun, you have yourself a good time.
context: There's just one thing...\Why are there two keys?\They both said that they'd made a promise with someone ten years ago.\But the person I made my promise with,\was just one girl and no one else.\When we reunite,\let's get married\All right, Raku-kun, you have yourself a good time. response:	Okay.
context: Why are there two keys?\They both said that they'd made a promise with someone ten years ago.\But the person I made my promise with,\was just one girl and no one else.\When we reunite,\let's get married\All right, Raku-kun, you have yourself a good time.\Okay. response:	So, which one is it?
context: They both said that they'd made a promise with someone ten years ago.\But the person I made my promise with,\was just one girl and no one else.\When we reunite,\let's get married\All right, Raku-kun, you have yourself a good time.\Okay.\So, which one is it? response:	Supposing it's Onodera...
context: But the person I made my promise with,\was just one girl and no one else.\When we reunite,\let's get married\All right, Raku-kun, you have yourself a good time.\Okay.\So, which one is it?\Supposing it's Onodera... response:	If it turns out to be Onodera, that'd be like fate!
context: was just one girl and no one else.\When we reunite,\let's get married\All right, Raku-kun, you have yourself a good time.\Okay.\So, which one is it?\Supposing it's Onodera...\If it turns out to be Onodera, that'd be like fate! response:	Ichijou Kosaki has a nice ring to it!
context: When we reunite,\let's get married\All right, Raku-kun, you have yourself a good time.\Okay.\So, which one is it?\Supposing it's Onodera...\If it turns out to be Onodera, that'd be like fate!\Ichijou Kosaki has a nice ring to it! response:	Hey, what am I thinking? Am I an idiot?
context: let's get married\All right, Raku-kun, you have yourself a good time.\Okay.\So, which one is it?\Supposing it's Onodera...\If it turns out to be Onodera, that'd be like fate!\Ichijou Kosaki has a nice ring to it!\Hey, what am I thinking? Am I an idiot? response:	Okay, then supposing it's Kirisaki...
context: All right, Raku-kun, you have yourself a good time.\Okay.\So, which one is it?\Supposing it's Onodera...\If it turns out to be Onodera, that'd be like fate!\Ichijou Kosaki has a nice ring to it!\Hey, what am I thinking? Am I an idiot?\Okay, then supposing it's Kirisaki... response:	Huh? What would I do, then?
context: Okay.\So, which one is it?\Supposing it's Onodera...\If it turns out to be Onodera, that'd be like fate!\Ichijou Kosaki has a nice ring to it!\Hey, what am I thinking? Am I an idiot?\Okay, then supposing it's Kirisaki...\Huh? What would I do, then? response:	Until today, it never occurred to me that Kirisaki might be the girl!
context: So, which one is it?\Supposing it's Onodera...\If it turns out to be Onodera, that'd be like fate!\Ichijou Kosaki has a nice ring to it!\Hey, what am I thinking? Am I an idiot?\Okay, then supposing it's Kirisaki...\Huh? What would I do, then?\Until today, it never occurred to me that Kirisaki might be the girl! response:	You can't just suddenly break that to me and expect me to accept it!
context: Supposing it's Onodera...\If it turns out to be Onodera, that'd be like fate!\Ichijou Kosaki has a nice ring to it!\Hey, what am I thinking? Am I an idiot?\Okay, then supposing it's Kirisaki...\Huh? What would I do, then?\Until today, it never occurred to me that Kirisaki might be the girl!\You can't just suddenly break that to me and expect me to accept it! response:	What am I thinking? Even if Kirisaki does turn out to be that girl,
context: If it turns out to be Onodera, that'd be like fate!\Ichijou Kosaki has a nice ring to it!\Hey, what am I thinking? Am I an idiot?\Okay, then supposing it's Kirisaki...\Huh? What would I do, then?\Until today, it never occurred to me that Kirisaki might be the girl!\You can't just suddenly break that to me and expect me to accept it!\What am I thinking? Even if Kirisaki does turn out to be that girl, response:	it was just something we did when we were kids, right?
context: Ichijou Kosaki has a nice ring to it!\Hey, what am I thinking? Am I an idiot?\Okay, then supposing it's Kirisaki...\Huh? What would I do, then?\Until today, it never occurred to me that Kirisaki might be the girl!\You can't just suddenly break that to me and expect me to accept it!\What am I thinking? Even if Kirisaki does turn out to be that girl,\it was just something we did when we were kids, right? response:	Right now, my eyes are for Onodera only.
context: Hey, what am I thinking? Am I an idiot?\Okay, then supposing it's Kirisaki...\Huh? What would I do, then?\Until today, it never occurred to me that Kirisaki might be the girl!\You can't just suddenly break that to me and expect me to accept it!\What am I thinking? Even if Kirisaki does turn out to be that girl,\it was just something we did when we were kids, right?\Right now, my eyes are for Onodera only. response:	Nothing can change that.
context: Okay, then supposing it's Kirisaki...\Huh? What would I do, then?\Until today, it never occurred to me that Kirisaki might be the girl!\You can't just suddenly break that to me and expect me to accept it!\What am I thinking? Even if Kirisaki does turn out to be that girl,\it was just something we did when we were kids, right?\Right now, my eyes are for Onodera only.\Nothing can change that. response:	Nothing can change that.
context: Huh? What would I do, then?\Until today, it never occurred to me that Kirisaki might be the girl!\You can't just suddenly break that to me and expect me to accept it!\What am I thinking? Even if Kirisaki does turn out to be that girl,\it was just something we did when we were kids, right?\Right now, my eyes are for Onodera only.\Nothing can change that.\Nothing can change that. response:	Yo, Uncle!
context: Until today, it never occurred to me that Kirisaki might be the girl!\You can't just suddenly break that to me and expect me to accept it!\What am I thinking? Even if Kirisaki does turn out to be that girl,\it was just something we did when we were kids, right?\Right now, my eyes are for Onodera only.\Nothing can change that.\Nothing can change that.\Yo, Uncle! response:	Well? Do you think you can fix that item I gave you?
context: You can't just suddenly break that to me and expect me to accept it!\What am I thinking? Even if Kirisaki does turn out to be that girl,\it was just something we did when we were kids, right?\Right now, my eyes are for Onodera only.\Nothing can change that.\Nothing can change that.\Yo, Uncle!\Well? Do you think you can fix that item I gave you? response:	Oh, is that you, Shuu-kun? This one's going to be tougher to fix than I thought.
context: What am I thinking? Even if Kirisaki does turn out to be that girl,\it was just something we did when we were kids, right?\Right now, my eyes are for Onodera only.\Nothing can change that.\Nothing can change that.\Yo, Uncle!\Well? Do you think you can fix that item I gave you?\Oh, is that you, Shuu-kun? This one's going to be tougher to fix than I thought. response:	It's kind of a rare type.
context: it was just something we did when we were kids, right?\Right now, my eyes are for Onodera only.\Nothing can change that.\Nothing can change that.\Yo, Uncle!\Well? Do you think you can fix that item I gave you?\Oh, is that you, Shuu-kun? This one's going to be tougher to fix than I thought.\It's kind of a rare type. response:	I can handle it, more or less, but it's going to take a while.
context: Right now, my eyes are for Onodera only.\Nothing can change that.\Nothing can change that.\Yo, Uncle!\Well? Do you think you can fix that item I gave you?\Oh, is that you, Shuu-kun? This one's going to be tougher to fix than I thought.\It's kind of a rare type.\I can handle it, more or less, but it's going to take a while. response:	I see. Well, I'm counting on you, all right?
context: Nothing can change that.\Nothing can change that.\Yo, Uncle!\Well? Do you think you can fix that item I gave you?\Oh, is that you, Shuu-kun? This one's going to be tougher to fix than I thought.\It's kind of a rare type.\I can handle it, more or less, but it's going to take a while.\I see. Well, I'm counting on you, all right? response:	So? You're gonna get me that photo collection, aren't you?
context: Nothing can change that.\Yo, Uncle!\Well? Do you think you can fix that item I gave you?\Oh, is that you, Shuu-kun? This one's going to be tougher to fix than I thought.\It's kind of a rare type.\I can handle it, more or less, but it's going to take a while.\I see. Well, I'm counting on you, all right?\So? You're gonna get me that photo collection, aren't you? response:	It's a limited edition, and autographed! A fine piece, good sir!
context: Yo, Uncle!\Well? Do you think you can fix that item I gave you?\Oh, is that you, Shuu-kun? This one's going to be tougher to fix than I thought.\It's kind of a rare type.\I can handle it, more or less, but it's going to take a while.\I see. Well, I'm counting on you, all right?\So? You're gonna get me that photo collection, aren't you?\It's a limited edition, and autographed! A fine piece, good sir! response:	All right! Now you've really got me fired up!
context: Well? Do you think you can fix that item I gave you?\Oh, is that you, Shuu-kun? This one's going to be tougher to fix than I thought.\It's kind of a rare type.\I can handle it, more or less, but it's going to take a while.\I see. Well, I'm counting on you, all right?\So? You're gonna get me that photo collection, aren't you?\It's a limited edition, and autographed! A fine piece, good sir!\All right! Now you've really got me fired up! response:	And that's how it is. So rest easy.
context: Oh, is that you, Shuu-kun? This one's going to be tougher to fix than I thought.\It's kind of a rare type.\I can handle it, more or less, but it's going to take a while.\I see. Well, I'm counting on you, all right?\So? You're gonna get me that photo collection, aren't you?\It's a limited edition, and autographed! A fine piece, good sir!\All right! Now you've really got me fired up!\And that's how it is. So rest easy. response:	I see.
context: It's kind of a rare type.\I can handle it, more or less, but it's going to take a while.\I see. Well, I'm counting on you, all right?\So? You're gonna get me that photo collection, aren't you?\It's a limited edition, and autographed! A fine piece, good sir!\All right! Now you've really got me fired up!\And that's how it is. So rest easy.\I see. response:	What a relief. It looks like my locket's going to be okay.
context: I can handle it, more or less, but it's going to take a while.\I see. Well, I'm counting on you, all right?\So? You're gonna get me that photo collection, aren't you?\It's a limited edition, and autographed! A fine piece, good sir!\All right! Now you've really got me fired up!\And that's how it is. So rest easy.\I see.\What a relief. It looks like my locket's going to be okay. response:	Well? What's the story behind the locket?
context: I see. Well, I'm counting on you, all right?\So? You're gonna get me that photo collection, aren't you?\It's a limited edition, and autographed! A fine piece, good sir!\All right! Now you've really got me fired up!\And that's how it is. So rest easy.\I see.\What a relief. It looks like my locket's going to be okay.\Well? What's the story behind the locket? response:	How about coming clean about it now?
context: So? You're gonna get me that photo collection, aren't you?\It's a limited edition, and autographed! A fine piece, good sir!\All right! Now you've really got me fired up!\And that's how it is. So rest easy.\I see.\What a relief. It looks like my locket's going to be okay.\Well? What's the story behind the locket?\How about coming clean about it now? response:	Sorry. I'll tell you all about it another time.
context: It's a limited edition, and autographed! A fine piece, good sir!\All right! Now you've really got me fired up!\And that's how it is. So rest easy.\I see.\What a relief. It looks like my locket's going to be okay.\Well? What's the story behind the locket?\How about coming clean about it now?\Sorry. I'll tell you all about it another time. response:	Oh, hi.
context: All right! Now you've really got me fired up!\And that's how it is. So rest easy.\I see.\What a relief. It looks like my locket's going to be okay.\Well? What's the story behind the locket?\How about coming clean about it now?\Sorry. I'll tell you all about it another time.\Oh, hi. response:	Good morning, Raku.
context: And that's how it is. So rest easy.\I see.\What a relief. It looks like my locket's going to be okay.\Well? What's the story behind the locket?\How about coming clean about it now?\Sorry. I'll tell you all about it another time.\Oh, hi.\Good morning, Raku. response:	Hey. Morning.
context: I see.\What a relief. It looks like my locket's going to be okay.\Well? What's the story behind the locket?\How about coming clean about it now?\Sorry. I'll tell you all about it another time.\Oh, hi.\Good morning, Raku.\Hey. Morning. response:	Oh, right.
context: What a relief. It looks like my locket's going to be okay.\Well? What's the story behind the locket?\How about coming clean about it now?\Sorry. I'll tell you all about it another time.\Oh, hi.\Good morning, Raku.\Hey. Morning.\Oh, right. response:	You know how we busted your key and my locket yesterday? Looks like they're going to be fixed.
