context: This is what started it all. response:	Thank you very much, Inaho.
context: I shall help, too.\Seylum...\All Vers weaponry is powered by Aldnoah drives.\Landing Castles are no exception.\If its Aldnoah drive is shut down, the Landing Castle will cease to function.\How would we do that?\If the person who activated the drive loses his life, it will automatically shut down.\Ah, just like how the Deucalion fell out of the sky when you went into cardiac arrest. response:	Yes. Also, one of the Vers emperor's bloodline would be able to forcibly shut it down.
context: Seylum...\All Vers weaponry is powered by Aldnoah drives.\Landing Castles are no exception.\If its Aldnoah drive is shut down, the Landing Castle will cease to function.\How would we do that?\If the person who activated the drive loses his life, it will automatically shut down.\Ah, just like how the Deucalion fell out of the sky when you went into cardiac arrest.\Yes. Also, one of the Vers emperor's bloodline would be able to forcibly shut it down. response:	In other words... you are saying that you can shut it down.
context: All Vers weaponry is powered by Aldnoah drives.\Landing Castles are no exception.\If its Aldnoah drive is shut down, the Landing Castle will cease to function.\How would we do that?\If the person who activated the drive loses his life, it will automatically shut down.\Ah, just like how the Deucalion fell out of the sky when you went into cardiac arrest.\Yes. Also, one of the Vers emperor's bloodline would be able to forcibly shut it down.\In other words... you are saying that you can shut it down. response:	Yes.
context: Landing Castles are no exception.\If its Aldnoah drive is shut down, the Landing Castle will cease to function.\How would we do that?\If the person who activated the drive loses his life, it will automatically shut down.\Ah, just like how the Deucalion fell out of the sky when you went into cardiac arrest.\Yes. Also, one of the Vers emperor's bloodline would be able to forcibly shut it down.\In other words... you are saying that you can shut it down.\Yes. response:	Understood. I'll escort you to the enemy Landing Castle.
context: If its Aldnoah drive is shut down, the Landing Castle will cease to function.\How would we do that?\If the person who activated the drive loses his life, it will automatically shut down.\Ah, just like how the Deucalion fell out of the sky when you went into cardiac arrest.\Yes. Also, one of the Vers emperor's bloodline would be able to forcibly shut it down.\In other words... you are saying that you can shut it down.\Yes.\Understood. I'll escort you to the enemy Landing Castle. response:	Hold your horses, Nao!
context: How would we do that?\If the person who activated the drive loses his life, it will automatically shut down.\Ah, just like how the Deucalion fell out of the sky when you went into cardiac arrest.\Yes. Also, one of the Vers emperor's bloodline would be able to forcibly shut it down.\In other words... you are saying that you can shut it down.\Yes.\Understood. I'll escort you to the enemy Landing Castle.\Hold your horses, Nao! response:	Why are you always pulling this crap?!
context: If the person who activated the drive loses his life, it will automatically shut down.\Ah, just like how the Deucalion fell out of the sky when you went into cardiac arrest.\Yes. Also, one of the Vers emperor's bloodline would be able to forcibly shut it down.\In other words... you are saying that you can shut it down.\Yes.\Understood. I'll escort you to the enemy Landing Castle.\Hold your horses, Nao!\Why are you always pulling this crap?! response:	What crap?
context: Ah, just like how the Deucalion fell out of the sky when you went into cardiac arrest.\Yes. Also, one of the Vers emperor's bloodline would be able to forcibly shut it down.\In other words... you are saying that you can shut it down.\Yes.\Understood. I'll escort you to the enemy Landing Castle.\Hold your horses, Nao!\Why are you always pulling this crap?!\What crap? response:	You know what crap! The way you say insane things with a perfectly straight face!
context: Yes. Also, one of the Vers emperor's bloodline would be able to forcibly shut it down.\In other words... you are saying that you can shut it down.\Yes.\Understood. I'll escort you to the enemy Landing Castle.\Hold your horses, Nao!\Why are you always pulling this crap?!\What crap?\You know what crap! The way you say insane things with a perfectly straight face! response:	Now that we know she is unable to negotiate politically, her presence is of no benefit.
context: In other words... you are saying that you can shut it down.\Yes.\Understood. I'll escort you to the enemy Landing Castle.\Hold your horses, Nao!\Why are you always pulling this crap?!\What crap?\You know what crap! The way you say insane things with a perfectly straight face!\Now that we know she is unable to negotiate politically, her presence is of no benefit. response:	But if she is of tactical use, we should make use of her.
context: Yes.\Understood. I'll escort you to the enemy Landing Castle.\Hold your horses, Nao!\Why are you always pulling this crap?!\What crap?\You know what crap! The way you say insane things with a perfectly straight face!\Now that we know she is unable to negotiate politically, her presence is of no benefit.\But if she is of tactical use, we should make use of her. response:	If we lose, they're just going to kill her, anyway.
context: Understood. I'll escort you to the enemy Landing Castle.\Hold your horses, Nao!\Why are you always pulling this crap?!\What crap?\You know what crap! The way you say insane things with a perfectly straight face!\Now that we know she is unable to negotiate politically, her presence is of no benefit.\But if she is of tactical use, we should make use of her.\If we lose, they're just going to kill her, anyway. response:	It's the logical decision.
context: Hold your horses, Nao!\Why are you always pulling this crap?!\What crap?\You know what crap! The way you say insane things with a perfectly straight face!\Now that we know she is unable to negotiate politically, her presence is of no benefit.\But if she is of tactical use, we should make use of her.\If we lose, they're just going to kill her, anyway.\It's the logical decision. response:	Logic is all it has going for it! How many lives do you think that would cost?!
context: Why are you always pulling this crap?!\What crap?\You know what crap! The way you say insane things with a perfectly straight face!\Now that we know she is unable to negotiate politically, her presence is of no benefit.\But if she is of tactical use, we should make use of her.\If we lose, they're just going to kill her, anyway.\It's the logical decision.\Logic is all it has going for it! How many lives do you think that would cost?! response:	If we do nothing, just as many will die.
context: What crap?\You know what crap! The way you say insane things with a perfectly straight face!\Now that we know she is unable to negotiate politically, her presence is of no benefit.\But if she is of tactical use, we should make use of her.\If we lose, they're just going to kill her, anyway.\It's the logical decision.\Logic is all it has going for it! How many lives do you think that would cost?!\If we do nothing, just as many will die. response:	And that makes it okay to pull this crazy crap?
context: You know what crap! The way you say insane things with a perfectly straight face!\Now that we know she is unable to negotiate politically, her presence is of no benefit.\But if she is of tactical use, we should make use of her.\If we lose, they're just going to kill her, anyway.\It's the logical decision.\Logic is all it has going for it! How many lives do you think that would cost?!\If we do nothing, just as many will die.\And that makes it okay to pull this crazy crap? response:	This is war.
context: Now that we know she is unable to negotiate politically, her presence is of no benefit.\But if she is of tactical use, we should make use of her.\If we lose, they're just going to kill her, anyway.\It's the logical decision.\Logic is all it has going for it! How many lives do you think that would cost?!\If we do nothing, just as many will die.\And that makes it okay to pull this crazy crap?\This is war. response:	My point exactly!
context: But if she is of tactical use, we should make use of her.\If we lose, they're just going to kill her, anyway.\It's the logical decision.\Logic is all it has going for it! How many lives do you think that would cost?!\If we do nothing, just as many will die.\And that makes it okay to pull this crazy crap?\This is war.\My point exactly! response:	Sorry, Yuki. But I think we should bet on the method with the best odds of success.
context: If we lose, they're just going to kill her, anyway.\It's the logical decision.\Logic is all it has going for it! How many lives do you think that would cost?!\If we do nothing, just as many will die.\And that makes it okay to pull this crazy crap?\This is war.\My point exactly!\Sorry, Yuki. But I think we should bet on the method with the best odds of success. response:	That's all it is.
context: It's the logical decision.\Logic is all it has going for it! How many lives do you think that would cost?!\If we do nothing, just as many will die.\And that makes it okay to pull this crazy crap?\This is war.\My point exactly!\Sorry, Yuki. But I think we should bet on the method with the best odds of success.\That's all it is. response:	I agree with his assessment.
context: Logic is all it has going for it! How many lives do you think that would cost?!\If we do nothing, just as many will die.\And that makes it okay to pull this crazy crap?\This is war.\My point exactly!\Sorry, Yuki. But I think we should bet on the method with the best odds of success.\That's all it is.\I agree with his assessment. response:	Nao, do your best!
context: If we do nothing, just as many will die.\And that makes it okay to pull this crazy crap?\This is war.\My point exactly!\Sorry, Yuki. But I think we should bet on the method with the best odds of success.\That's all it is.\I agree with his assessment.\Nao, do your best! response:	All right, Highness. I'll run it past the Captain.
context: And that makes it okay to pull this crazy crap?\This is war.\My point exactly!\Sorry, Yuki. But I think we should bet on the method with the best odds of success.\That's all it is.\I agree with his assessment.\Nao, do your best!\All right, Highness. I'll run it past the Captain. response:	Thank you.
context: This is war.\My point exactly!\Sorry, Yuki. But I think we should bet on the method with the best odds of success.\That's all it is.\I agree with his assessment.\Nao, do your best!\All right, Highness. I'll run it past the Captain.\Thank you. response:	Milady?
context: My point exactly!\Sorry, Yuki. But I think we should bet on the method with the best odds of success.\That's all it is.\I agree with his assessment.\Nao, do your best!\All right, Highness. I'll run it past the Captain.\Thank you.\Milady? response:	The princess of the Vers Empire has turned her people against her...
context: Sorry, Yuki. But I think we should bet on the method with the best odds of success.\That's all it is.\I agree with his assessment.\Nao, do your best!\All right, Highness. I'll run it past the Captain.\Thank you.\Milady?\The princess of the Vers Empire has turned her people against her... response:	This war is not the will of Vers. It is all a scheme by a bunch of traitors!
context: That's all it is.\I agree with his assessment.\Nao, do your best!\All right, Highness. I'll run it past the Captain.\Thank you.\Milady?\The princess of the Vers Empire has turned her people against her...\This war is not the will of Vers. It is all a scheme by a bunch of traitors! response:	No.
context: I agree with his assessment.\Nao, do your best!\All right, Highness. I'll run it past the Captain.\Thank you.\Milady?\The princess of the Vers Empire has turned her people against her...\This war is not the will of Vers. It is all a scheme by a bunch of traitors!\No. response:	The responsibility is mine alone.
context: Nao, do your best!\All right, Highness. I'll run it past the Captain.\Thank you.\Milady?\The princess of the Vers Empire has turned her people against her...\This war is not the will of Vers. It is all a scheme by a bunch of traitors!\No.\The responsibility is mine alone. response:	I am to blame.
context: All right, Highness. I'll run it past the Captain.\Thank you.\Milady?\The princess of the Vers Empire has turned her people against her...\This war is not the will of Vers. It is all a scheme by a bunch of traitors!\No.\The responsibility is mine alone.\I am to blame. response:	Let us hurry.
context: Thank you.\Milady?\The princess of the Vers Empire has turned her people against her...\This war is not the will of Vers. It is all a scheme by a bunch of traitors!\No.\The responsibility is mine alone.\I am to blame.\Let us hurry. response:	Message from the Lord! Ship located in underground enemy base.
context: Milady?\The princess of the Vers Empire has turned her people against her...\This war is not the will of Vers. It is all a scheme by a bunch of traitors!\No.\The responsibility is mine alone.\I am to blame.\Let us hurry.\Message from the Lord! Ship located in underground enemy base. response:	Her Highness may be aboard. All troops, proceed there at once!
context: The princess of the Vers Empire has turned her people against her...\This war is not the will of Vers. It is all a scheme by a bunch of traitors!\No.\The responsibility is mine alone.\I am to blame.\Let us hurry.\Message from the Lord! Ship located in underground enemy base.\Her Highness may be aboard. All troops, proceed there at once! response:	Hey! That one hasn't been rearm-
context: This war is not the will of Vers. It is all a scheme by a bunch of traitors!\No.\The responsibility is mine alone.\I am to blame.\Let us hurry.\Message from the Lord! Ship located in underground enemy base.\Her Highness may be aboard. All troops, proceed there at once!\Hey! That one hasn't been rearm- response:	Aldnoah drive, output stable. Ready to lift off at your command.
context: No.\The responsibility is mine alone.\I am to blame.\Let us hurry.\Message from the Lord! Ship located in underground enemy base.\Her Highness may be aboard. All troops, proceed there at once!\Hey! That one hasn't been rearm-\Aldnoah drive, output stable. Ready to lift off at your command. response:	Princess Asseylum?
context: The responsibility is mine alone.\I am to blame.\Let us hurry.\Message from the Lord! Ship located in underground enemy base.\Her Highness may be aboard. All troops, proceed there at once!\Hey! That one hasn't been rearm-\Aldnoah drive, output stable. Ready to lift off at your command.\Princess Asseylum? response:	Currently on level 4! Will arrive momentarily!
context: I am to blame.\Let us hurry.\Message from the Lord! Ship located in underground enemy base.\Her Highness may be aboard. All troops, proceed there at once!\Hey! That one hasn't been rearm-\Aldnoah drive, output stable. Ready to lift off at your command.\Princess Asseylum?\Currently on level 4! Will arrive momentarily! response:	Port gun turret 1 hit!
context: Let us hurry.\Message from the Lord! Ship located in underground enemy base.\Her Highness may be aboard. All troops, proceed there at once!\Hey! That one hasn't been rearm-\Aldnoah drive, output stable. Ready to lift off at your command.\Princess Asseylum?\Currently on level 4! Will arrive momentarily!\Port gun turret 1 hit! response:	Enemy infantry, ma'am.
context: Message from the Lord! Ship located in underground enemy base.\Her Highness may be aboard. All troops, proceed there at once!\Hey! That one hasn't been rearm-\Aldnoah drive, output stable. Ready to lift off at your command.\Princess Asseylum?\Currently on level 4! Will arrive momentarily!\Port gun turret 1 hit!\Enemy infantry, ma'am. response:	Engage them, please.
context: Her Highness may be aboard. All troops, proceed there at once!\Hey! That one hasn't been rearm-\Aldnoah drive, output stable. Ready to lift off at your command.\Princess Asseylum?\Currently on level 4! Will arrive momentarily!\Port gun turret 1 hit!\Enemy infantry, ma'am.\Engage them, please. response:	What Kats do we have ready?!
context: Hey! That one hasn't been rearm-\Aldnoah drive, output stable. Ready to lift off at your command.\Princess Asseylum?\Currently on level 4! Will arrive momentarily!\Port gun turret 1 hit!\Enemy infantry, ma'am.\Engage them, please.\What Kats do we have ready?! response:	They're all secured in their racks!
context: Aldnoah drive, output stable. Ready to lift off at your command.\Princess Asseylum?\Currently on level 4! Will arrive momentarily!\Port gun turret 1 hit!\Enemy infantry, ma'am.\Engage them, please.\What Kats do we have ready?!\They're all secured in their racks! response:	Send them out!
context: Princess Asseylum?\Currently on level 4! Will arrive momentarily!\Port gun turret 1 hit!\Enemy infantry, ma'am.\Engage them, please.\What Kats do we have ready?!\They're all secured in their racks!\Send them out! response:	It'll take time!
context: Currently on level 4! Will arrive momentarily!\Port gun turret 1 hit!\Enemy infantry, ma'am.\Engage them, please.\What Kats do we have ready?!\They're all secured in their racks!\Send them out!\It'll take time! response:	Princess Asseylum!
context: Port gun turret 1 hit!\Enemy infantry, ma'am.\Engage them, please.\What Kats do we have ready?!\They're all secured in their racks!\Send them out!\It'll take time!\Princess Asseylum! response:	The exit!
context: Enemy infantry, ma'am.\Engage them, please.\What Kats do we have ready?!\They're all secured in their racks!\Send them out!\It'll take time!\Princess Asseylum!\The exit! response:	I see it!
context: Engage them, please.\What Kats do we have ready?!\They're all secured in their racks!\Send them out!\It'll take time!\Princess Asseylum!\The exit!\I see it! response:	There's the Deucalion!
context: What Kats do we have ready?!\They're all secured in their racks!\Send them out!\It'll take time!\Princess Asseylum!\The exit!\I see it!\There's the Deucalion! response:	Enemy infantry on starboard stabilizer!
context: They're all secured in their racks!\Send them out!\It'll take time!\Princess Asseylum!\The exit!\I see it!\There's the Deucalion!\Enemy infantry on starboard stabilizer! response:	Spin the ship.
context: Send them out!\It'll take time!\Princess Asseylum!\The exit!\I see it!\There's the Deucalion!\Enemy infantry on starboard stabilizer!\Spin the ship. response:	Ma'am?
context: It'll take time!\Princess Asseylum!\The exit!\I see it!\There's the Deucalion!\Enemy infantry on starboard stabilizer!\Spin the ship.\Ma'am? response:	Pivot the ship in place and don't let any enemy troops aboard!
context: Princess Asseylum!\The exit!\I see it!\There's the Deucalion!\Enemy infantry on starboard stabilizer!\Spin the ship.\Ma'am?\Pivot the ship in place and don't let any enemy troops aboard! response:	Deucalion, coming about!
context: The exit!\I see it!\There's the Deucalion!\Enemy infantry on starboard stabilizer!\Spin the ship.\Ma'am?\Pivot the ship in place and don't let any enemy troops aboard!\Deucalion, coming about! response:	There she is! It's the princess!
context: I see it!\There's the Deucalion!\Enemy infantry on starboard stabilizer!\Spin the ship.\Ma'am?\Pivot the ship in place and don't let any enemy troops aboard!\Deucalion, coming about!\There she is! It's the princess! response:	Open hatch! Bring her aboard!
context: There's the Deucalion!\Enemy infantry on starboard stabilizer!\Spin the ship.\Ma'am?\Pivot the ship in place and don't let any enemy troops aboard!\Deucalion, coming about!\There she is! It's the princess!\Open hatch! Bring her aboard! response:	It's Princess Asseylum!
context: Enemy infantry on starboard stabilizer!\Spin the ship.\Ma'am?\Pivot the ship in place and don't let any enemy troops aboard!\Deucalion, coming about!\There she is! It's the princess!\Open hatch! Bring her aboard!\It's Princess Asseylum! response:	Rocket launchers!
context: Spin the ship.\Ma'am?\Pivot the ship in place and don't let any enemy troops aboard!\Deucalion, coming about!\There she is! It's the princess!\Open hatch! Bring her aboard!\It's Princess Asseylum!\Rocket launchers! response:	Objective located! Currently attacking in underground dry dock!
context: Ma'am?\Pivot the ship in place and don't let any enemy troops aboard!\Deucalion, coming about!\There she is! It's the princess!\Open hatch! Bring her aboard!\It's Princess Asseylum!\Rocket launchers!\Objective located! Currently attacking in underground dry dock! response:	I repeat, objective located!
context: Pivot the ship in place and don't let any enemy troops aboard!\Deucalion, coming about!\There she is! It's the princess!\Open hatch! Bring her aboard!\It's Princess Asseylum!\Rocket launchers!\Objective located! Currently attacking in underground dry dock!\I repeat, objective located! response:	Fire!
context: Deucalion, coming about!\There she is! It's the princess!\Open hatch! Bring her aboard!\It's Princess Asseylum!\Rocket launchers!\Objective located! Currently attacking in underground dry dock!\I repeat, objective located!\Fire! response:	I'm not scared, I'm not scared, I'm not scared!
context: There she is! It's the princess!\Open hatch! Bring her aboard!\It's Princess Asseylum!\Rocket launchers!\Objective located! Currently attacking in underground dry dock!\I repeat, objective located!\Fire!\I'm not scared, I'm not scared, I'm not scared! response:	You alive?
context: Open hatch! Bring her aboard!\It's Princess Asseylum!\Rocket launchers!\Objective located! Currently attacking in underground dry dock!\I repeat, objective located!\Fire!\I'm not scared, I'm not scared, I'm not scared!\You alive? response:	Keep the pedal floored. I'll cover you.
context: It's Princess Asseylum!\Rocket launchers!\Objective located! Currently attacking in underground dry dock!\I repeat, objective located!\Fire!\I'm not scared, I'm not scared, I'm not scared!\You alive?\Keep the pedal floored. I'll cover you. response:	Rayet!
context: Rocket launchers!\Objective located! Currently attacking in underground dry dock!\I repeat, objective located!\Fire!\I'm not scared, I'm not scared, I'm not scared!\You alive?\Keep the pedal floored. I'll cover you.\Rayet! response:	Come on, come on, come on, come on, come on!
context: Objective located! Currently attacking in underground dry dock!\I repeat, objective located!\Fire!\I'm not scared, I'm not scared, I'm not scared!\You alive?\Keep the pedal floored. I'll cover you.\Rayet!\Come on, come on, come on, come on, come on! response:	Princess! Over here!
context: I repeat, objective located!\Fire!\I'm not scared, I'm not scared, I'm not scared!\You alive?\Keep the pedal floored. I'll cover you.\Rayet!\Come on, come on, come on, come on, come on!\Princess! Over here! response:	A little closer!
context: Fire!\I'm not scared, I'm not scared, I'm not scared!\You alive?\Keep the pedal floored. I'll cover you.\Rayet!\Come on, come on, come on, come on, come on!\Princess! Over here!\A little closer! response:	Go!
context: I'm not scared, I'm not scared, I'm not scared!\You alive?\Keep the pedal floored. I'll cover you.\Rayet!\Come on, come on, come on, come on, come on!\Princess! Over here!\A little closer!\Go! response:	Eddelrittuo!
context: You alive?\Keep the pedal floored. I'll cover you.\Rayet!\Come on, come on, come on, come on, come on!\Princess! Over here!\A little closer!\Go!\Eddelrittuo! response:	Go! Hurry!
context: Keep the pedal floored. I'll cover you.\Rayet!\Come on, come on, come on, come on, come on!\Princess! Over here!\A little closer!\Go!\Eddelrittuo!\Go! Hurry! response:	Seal hatch!
context: Rayet!\Come on, come on, come on, come on, come on!\Princess! Over here!\A little closer!\Go!\Eddelrittuo!\Go! Hurry!\Seal hatch! response:	Roger!
context: Come on, come on, come on, come on, come on!\Princess! Over here!\A little closer!\Go!\Eddelrittuo!\Go! Hurry!\Seal hatch!\Roger! response:	Thank you, Eddelrittuo...
context: Princess! Over here!\A little closer!\Go!\Eddelrittuo!\Go! Hurry!\Seal hatch!\Roger!\Thank you, Eddelrittuo... response:	Her Highness is aboard!
context: A little closer!\Go!\Eddelrittuo!\Go! Hurry!\Seal hatch!\Roger!\Thank you, Eddelrittuo...\Her Highness is aboard! response:	Deucalion, lift off.
context: Go!\Eddelrittuo!\Go! Hurry!\Seal hatch!\Roger!\Thank you, Eddelrittuo...\Her Highness is aboard!\Deucalion, lift off. response:	Control, please open the gate.
context: Eddelrittuo!\Go! Hurry!\Seal hatch!\Roger!\Thank you, Eddelrittuo...\Her Highness is aboard!\Deucalion, lift off.\Control, please open the gate. response:	Control. This is Deucalion.
context: Go! Hurry!\Seal hatch!\Roger!\Thank you, Eddelrittuo...\Her Highness is aboard!\Deucalion, lift off.\Control, please open the gate.\Control. This is Deucalion. response:	Please respond.
context: Seal hatch!\Roger!\Thank you, Eddelrittuo...\Her Highness is aboard!\Deucalion, lift off.\Control, please open the gate.\Control. This is Deucalion.\Please respond. response:	Captain...
context: Roger!\Thank you, Eddelrittuo...\Her Highness is aboard!\Deucalion, lift off.\Control, please open the gate.\Control. This is Deucalion.\Please respond.\Captain... response:	Tubes 1 through 4, prepare to fire missiles.
context: Thank you, Eddelrittuo...\Her Highness is aboard!\Deucalion, lift off.\Control, please open the gate.\Control. This is Deucalion.\Please respond.\Captain...\Tubes 1 through 4, prepare to fire missiles. response:	Set target, main gate!
context: Her Highness is aboard!\Deucalion, lift off.\Control, please open the gate.\Control. This is Deucalion.\Please respond.\Captain...\Tubes 1 through 4, prepare to fire missiles.\Set target, main gate! response:	Launch tubes open. Ready to fire.
context: Deucalion, lift off.\Control, please open the gate.\Control. This is Deucalion.\Please respond.\Captain...\Tubes 1 through 4, prepare to fire missiles.\Set target, main gate!\Launch tubes open. Ready to fire. response:	Fire!
context: Control, please open the gate.\Control. This is Deucalion.\Please respond.\Captain...\Tubes 1 through 4, prepare to fire missiles.\Set target, main gate!\Launch tubes open. Ready to fire.\Fire! response:	The ship from the island!
context: Control. This is Deucalion.\Please respond.\Captain...\Tubes 1 through 4, prepare to fire missiles.\Set target, main gate!\Launch tubes open. Ready to fire.\Fire!\The ship from the island! response:	Back it up. Go back to the dock.
context: Please respond.\Captain...\Tubes 1 through 4, prepare to fire missiles.\Set target, main gate!\Launch tubes open. Ready to fire.\Fire!\The ship from the island!\Back it up. Go back to the dock. response:	I'll hold them off here.
context: Captain...\Tubes 1 through 4, prepare to fire missiles.\Set target, main gate!\Launch tubes open. Ready to fire.\Fire!\The ship from the island!\Back it up. Go back to the dock.\I'll hold them off here. response:	The mission is as follows.
context: Tubes 1 through 4, prepare to fire missiles.\Set target, main gate!\Launch tubes open. Ready to fire.\Fire!\The ship from the island!\Back it up. Go back to the dock.\I'll hold them off here.\The mission is as follows. response:	The Deucalion will evade the Landing Castle's attacks
context: Set target, main gate!\Launch tubes open. Ready to fire.\Fire!\The ship from the island!\Back it up. Go back to the dock.\I'll hold them off here.\The mission is as follows.\The Deucalion will evade the Landing Castle's attacks response:	and temporarily climb into the stratosphere.
context: Launch tubes open. Ready to fire.\Fire!\The ship from the island!\Back it up. Go back to the dock.\I'll hold them off here.\The mission is as follows.\The Deucalion will evade the Landing Castle's attacks\and temporarily climb into the stratosphere. response:	We will then carry out a Kataphrakt combat drop from above.
context: Fire!\The ship from the island!\Back it up. Go back to the dock.\I'll hold them off here.\The mission is as follows.\The Deucalion will evade the Landing Castle's attacks\and temporarily climb into the stratosphere.\We will then carry out a Kataphrakt combat drop from above. response:	That's insane! We won't be able to hide while we're falling!
context: The ship from the island!\Back it up. Go back to the dock.\I'll hold them off here.\The mission is as follows.\The Deucalion will evade the Landing Castle's attacks\and temporarily climb into the stratosphere.\We will then carry out a Kataphrakt combat drop from above.\That's insane! We won't be able to hide while we're falling! response:	We'll be eaten alive by AA fire!
context: Back it up. Go back to the dock.\I'll hold them off here.\The mission is as follows.\The Deucalion will evade the Landing Castle's attacks\and temporarily climb into the stratosphere.\We will then carry out a Kataphrakt combat drop from above.\That's insane! We won't be able to hide while we're falling!\We'll be eaten alive by AA fire! response:	Which is why we will drop unmanned, decoy Kataphrakts first.
context: I'll hold them off here.\The mission is as follows.\The Deucalion will evade the Landing Castle's attacks\and temporarily climb into the stratosphere.\We will then carry out a Kataphrakt combat drop from above.\That's insane! We won't be able to hide while we're falling!\We'll be eaten alive by AA fire!\Which is why we will drop unmanned, decoy Kataphrakts first. response:	The main assault force will fall through the jumble of decoys
context: The mission is as follows.\The Deucalion will evade the Landing Castle's attacks\and temporarily climb into the stratosphere.\We will then carry out a Kataphrakt combat drop from above.\That's insane! We won't be able to hide while we're falling!\We'll be eaten alive by AA fire!\Which is why we will drop unmanned, decoy Kataphrakts first.\The main assault force will fall through the jumble of decoys response:	and aim for the Landing Castle.
context: The Deucalion will evade the Landing Castle's attacks\and temporarily climb into the stratosphere.\We will then carry out a Kataphrakt combat drop from above.\That's insane! We won't be able to hide while we're falling!\We'll be eaten alive by AA fire!\Which is why we will drop unmanned, decoy Kataphrakts first.\The main assault force will fall through the jumble of decoys\and aim for the Landing Castle. response:	Altitude of 20,000 meters achieved. Turning over!
context: and temporarily climb into the stratosphere.\We will then carry out a Kataphrakt combat drop from above.\That's insane! We won't be able to hide while we're falling!\We'll be eaten alive by AA fire!\Which is why we will drop unmanned, decoy Kataphrakts first.\The main assault force will fall through the jumble of decoys\and aim for the Landing Castle.\Altitude of 20,000 meters achieved. Turning over! response:	Drop Scarecrows!
context: We will then carry out a Kataphrakt combat drop from above.\That's insane! We won't be able to hide while we're falling!\We'll be eaten alive by AA fire!\Which is why we will drop unmanned, decoy Kataphrakts first.\The main assault force will fall through the jumble of decoys\and aim for the Landing Castle.\Altitude of 20,000 meters achieved. Turning over!\Drop Scarecrows! response:	The decoys might not work! And we don't know what kind of firepower they have!
context: That's insane! We won't be able to hide while we're falling!\We'll be eaten alive by AA fire!\Which is why we will drop unmanned, decoy Kataphrakts first.\The main assault force will fall through the jumble of decoys\and aim for the Landing Castle.\Altitude of 20,000 meters achieved. Turning over!\Drop Scarecrows!\The decoys might not work! And we don't know what kind of firepower they have! response:	We've gone blind into every engagement so far.
context: We'll be eaten alive by AA fire!\Which is why we will drop unmanned, decoy Kataphrakts first.\The main assault force will fall through the jumble of decoys\and aim for the Landing Castle.\Altitude of 20,000 meters achieved. Turning over!\Drop Scarecrows!\The decoys might not work! And we don't know what kind of firepower they have!\We've gone blind into every engagement so far. response:	But still!
context: Which is why we will drop unmanned, decoy Kataphrakts first.\The main assault force will fall through the jumble of decoys\and aim for the Landing Castle.\Altitude of 20,000 meters achieved. Turning over!\Drop Scarecrows!\The decoys might not work! And we don't know what kind of firepower they have!\We've gone blind into every engagement so far.\But still! response:	Once down, the assault team will destroy the enemy's AA guns,
context: The main assault force will fall through the jumble of decoys\and aim for the Landing Castle.\Altitude of 20,000 meters achieved. Turning over!\Drop Scarecrows!\The decoys might not work! And we don't know what kind of firepower they have!\We've gone blind into every engagement so far.\But still!\Once down, the assault team will destroy the enemy's AA guns, response:	and when their counterattack weakens, we ask Princess Asseylum to come.
context: and aim for the Landing Castle.\Altitude of 20,000 meters achieved. Turning over!\Drop Scarecrows!\The decoys might not work! And we don't know what kind of firepower they have!\We've gone blind into every engagement so far.\But still!\Once down, the assault team will destroy the enemy's AA guns,\and when their counterattack weakens, we ask Princess Asseylum to come. response:	Lt. Marito.
context: Altitude of 20,000 meters achieved. Turning over!\Drop Scarecrows!\The decoys might not work! And we don't know what kind of firepower they have!\We've gone blind into every engagement so far.\But still!\Once down, the assault team will destroy the enemy's AA guns,\and when their counterattack weakens, we ask Princess Asseylum to come.\Lt. Marito. response:	See to the assault team selection.
context: Drop Scarecrows!\The decoys might not work! And we don't know what kind of firepower they have!\We've gone blind into every engagement so far.\But still!\Once down, the assault team will destroy the enemy's AA guns,\and when their counterattack weakens, we ask Princess Asseylum to come.\Lt. Marito.\See to the assault team selection. response:	Understood.
context: The decoys might not work! And we don't know what kind of firepower they have!\We've gone blind into every engagement so far.\But still!\Once down, the assault team will destroy the enemy's AA guns,\and when their counterattack weakens, we ask Princess Asseylum to come.\Lt. Marito.\See to the assault team selection.\Understood. response:	I'll go in the first wave.
context: We've gone blind into every engagement so far.\But still!\Once down, the assault team will destroy the enemy's AA guns,\and when their counterattack weakens, we ask Princess Asseylum to come.\Lt. Marito.\See to the assault team selection.\Understood.\I'll go in the first wave. response:	Nao!
context: But still!\Once down, the assault team will destroy the enemy's AA guns,\and when their counterattack weakens, we ask Princess Asseylum to come.\Lt. Marito.\See to the assault team selection.\Understood.\I'll go in the first wave.\Nao! response:	I probably have more experience fighting Martian weaponry than anyone on Earth.
context: Once down, the assault team will destroy the enemy's AA guns,\and when their counterattack weakens, we ask Princess Asseylum to come.\Lt. Marito.\See to the assault team selection.\Understood.\I'll go in the first wave.\Nao!\I probably have more experience fighting Martian weaponry than anyone on Earth. response:	Multiple radar returns overhead!
context: and when their counterattack weakens, we ask Princess Asseylum to come.\Lt. Marito.\See to the assault team selection.\Understood.\I'll go in the first wave.\Nao!\I probably have more experience fighting Martian weaponry than anyone on Earth.\Multiple radar returns overhead! response:	Anti-air warfare. Will intercept.
