context: Kill... the Symbol of Peace. response:	Nice to meet you.
context: It's an insulation sheet 100 millimeters thick.\Kaminari.\I see.\In that case I can be...\Now then, I am worried about the others.\Let us join them quickly.\Wait, your clothes got super punk!\I can make them again! response:	Yaoyorozu Momo.
context: Kaminari.\I see.\In that case I can be...\Now then, I am worried about the others.\Let us join them quickly.\Wait, your clothes got super punk!\I can make them again!\Yaoyorozu Momo. response:	Quirk: Creation!
context: I see.\In that case I can be...\Now then, I am worried about the others.\Let us join them quickly.\Wait, your clothes got super punk!\I can make them again!\Yaoyorozu Momo.\Quirk: Creation! response:	She can create any non-living thing!
context: In that case I can be...\Now then, I am worried about the others.\Let us join them quickly.\Wait, your clothes got super punk!\I can make them again!\Yaoyorozu Momo.\Quirk: Creation!\She can create any non-living thing! response:	What makes this possible
context: Now then, I am worried about the others.\Let us join them quickly.\Wait, your clothes got super punk!\I can make them again!\Yaoyorozu Momo.\Quirk: Creation!\She can create any non-living thing!\What makes this possible response:	is her vast knowledge and understanding of the molecular structure of materials!
context: Let us join them quickly.\Wait, your clothes got super punk!\I can make them again!\Yaoyorozu Momo.\Quirk: Creation!\She can create any non-living thing!\What makes this possible\is her vast knowledge and understanding of the molecular structure of materials! response:	Violent growth...
context: Wait, your clothes got super punk!\I can make them again!\Yaoyorozu Momo.\Quirk: Creation!\She can create any non-living thing!\What makes this possible\is her vast knowledge and understanding of the molecular structure of materials!\Violent growth... response:	Kaminari, don't look this way!
context: I can make them again!\Yaoyorozu Momo.\Quirk: Creation!\She can create any non-living thing!\What makes this possible\is her vast knowledge and understanding of the molecular structure of materials!\Violent growth...\Kaminari, don't look this way! response:	Kaminari Denki.
context: Yaoyorozu Momo.\Quirk: Creation!\She can create any non-living thing!\What makes this possible\is her vast knowledge and understanding of the molecular structure of materials!\Violent growth...\Kaminari, don't look this way!\Kaminari Denki. response:	Quirk: Electrification!
context: Quirk: Creation!\She can create any non-living thing!\What makes this possible\is her vast knowledge and understanding of the molecular structure of materials!\Violent growth...\Kaminari, don't look this way!\Kaminari Denki.\Quirk: Electrification! response:	When he goes over his watt limit, his brain short circuits,
context: She can create any non-living thing!\What makes this possible\is her vast knowledge and understanding of the molecular structure of materials!\Violent growth...\Kaminari, don't look this way!\Kaminari Denki.\Quirk: Electrification!\When he goes over his watt limit, his brain short circuits, response:	and he becomes a huge idiot for a while!
context: What makes this possible\is her vast knowledge and understanding of the molecular structure of materials!\Violent growth...\Kaminari, don't look this way!\Kaminari Denki.\Quirk: Electrification!\When he goes over his watt limit, his brain short circuits,\and he becomes a huge idiot for a while! response:	Hey, Midoriya, we're just here to see how things are going, okay?
context: is her vast knowledge and understanding of the molecular structure of materials!\Violent growth...\Kaminari, don't look this way!\Kaminari Denki.\Quirk: Electrification!\When he goes over his watt limit, his brain short circuits,\and he becomes a huge idiot for a while!\Hey, Midoriya, we're just here to see how things are going, okay? response:	Ribbit...
context: Violent growth...\Kaminari, don't look this way!\Kaminari Denki.\Quirk: Electrification!\When he goes over his watt limit, his brain short circuits,\and he becomes a huge idiot for a while!\Hey, Midoriya, we're just here to see how things are going, okay?\Ribbit... response:	I know.
context: Kaminari, don't look this way!\Kaminari Denki.\Quirk: Electrification!\When he goes over his watt limit, his brain short circuits,\and he becomes a huge idiot for a while!\Hey, Midoriya, we're just here to see how things are going, okay?\Ribbit...\I know. response:	We'll run away the instant it seems dangerous.
context: Kaminari Denki.\Quirk: Electrification!\When he goes over his watt limit, his brain short circuits,\and he becomes a huge idiot for a while!\Hey, Midoriya, we're just here to see how things are going, okay?\Ribbit...\I know.\We'll run away the instant it seems dangerous. response:	23 seconds.
context: Quirk: Electrification!\When he goes over his watt limit, his brain short circuits,\and he becomes a huge idiot for a while!\Hey, Midoriya, we're just here to see how things are going, okay?\Ribbit...\I know.\We'll run away the instant it seems dangerous.\23 seconds. response:	The last boss?!
context: When he goes over his watt limit, his brain short circuits,\and he becomes a huge idiot for a while!\Hey, Midoriya, we're just here to see how things are going, okay?\Ribbit...\I know.\We'll run away the instant it seems dangerous.\23 seconds.\The last boss?! response:	24 seconds.
context: and he becomes a huge idiot for a while!\Hey, Midoriya, we're just here to see how things are going, okay?\Ribbit...\I know.\We'll run away the instant it seems dangerous.\23 seconds.\The last boss?!\24 seconds. response:	20 seconds.
context: Hey, Midoriya, we're just here to see how things are going, okay?\Ribbit...\I know.\We'll run away the instant it seems dangerous.\23 seconds.\The last boss?!\24 seconds.\20 seconds. response:	17 seconds.
context: Ribbit...\I know.\We'll run away the instant it seems dangerous.\23 seconds.\The last boss?!\24 seconds.\20 seconds.\17 seconds. response:	Ribbit?
context: I know.\We'll run away the instant it seems dangerous.\23 seconds.\The last boss?!\24 seconds.\20 seconds.\17 seconds.\Ribbit? response:	Damn.
context: We'll run away the instant it seems dangerous.\23 seconds.\The last boss?!\24 seconds.\20 seconds.\17 seconds.\Ribbit?\Damn. response:	It's hard to see because you keep moving around...
context: 23 seconds.\The last boss?!\24 seconds.\20 seconds.\17 seconds.\Ribbit?\Damn.\It's hard to see because you keep moving around... response:	That's when you have finished an action.
context: The last boss?!\24 seconds.\20 seconds.\17 seconds.\Ribbit?\Damn.\It's hard to see because you keep moving around...\That's when you have finished an action. response:	And the space in between has gotten shorter and shorter.
context: 24 seconds.\20 seconds.\17 seconds.\Ribbit?\Damn.\It's hard to see because you keep moving around...\That's when you have finished an action.\And the space in between has gotten shorter and shorter. response:	Don't push yourself, Eraser Head.
context: 20 seconds.\17 seconds.\Ribbit?\Damn.\It's hard to see because you keep moving around...\That's when you have finished an action.\And the space in between has gotten shorter and shorter.\Don't push yourself, Eraser Head. response:	My elbow's crumbling!
context: 17 seconds.\Ribbit?\Damn.\It's hard to see because you keep moving around...\That's when you have finished an action.\And the space in between has gotten shorter and shorter.\Don't push yourself, Eraser Head.\My elbow's crumbling! response:	That Quirk isn't suited for fighting long fights against a large group, is it?
context: Ribbit?\Damn.\It's hard to see because you keep moving around...\That's when you have finished an action.\And the space in between has gotten shorter and shorter.\Don't push yourself, Eraser Head.\My elbow's crumbling!\That Quirk isn't suited for fighting long fights against a large group, is it? response:	Isn't this too different from your usual job?
context: Damn.\It's hard to see because you keep moving around...\That's when you have finished an action.\And the space in between has gotten shorter and shorter.\Don't push yourself, Eraser Head.\My elbow's crumbling!\That Quirk isn't suited for fighting long fights against a large group, is it?\Isn't this too different from your usual job? response:	What you're good at...
context: It's hard to see because you keep moving around...\That's when you have finished an action.\And the space in between has gotten shorter and shorter.\Don't push yourself, Eraser Head.\My elbow's crumbling!\That Quirk isn't suited for fighting long fights against a large group, is it?\Isn't this too different from your usual job?\What you're good at... response:	Even so, you jumped right in to fight us from the front.
context: That's when you have finished an action.\And the space in between has gotten shorter and shorter.\Don't push yourself, Eraser Head.\My elbow's crumbling!\That Quirk isn't suited for fighting long fights against a large group, is it?\Isn't this too different from your usual job?\What you're good at...\Even so, you jumped right in to fight us from the front. response:	Was that to put your students at ease?
context: And the space in between has gotten shorter and shorter.\Don't push yourself, Eraser Head.\My elbow's crumbling!\That Quirk isn't suited for fighting long fights against a large group, is it?\Isn't this too different from your usual job?\What you're good at...\Even so, you jumped right in to fight us from the front.\Was that to put your students at ease? response:	You're so cool...
context: Don't push yourself, Eraser Head.\My elbow's crumbling!\That Quirk isn't suited for fighting long fights against a large group, is it?\Isn't this too different from your usual job?\What you're good at...\Even so, you jumped right in to fight us from the front.\Was that to put your students at ease?\You're so cool... response:	You're so cool...!
context: My elbow's crumbling!\That Quirk isn't suited for fighting long fights against a large group, is it?\Isn't this too different from your usual job?\What you're good at...\Even so, you jumped right in to fight us from the front.\Was that to put your students at ease?\You're so cool...\You're so cool...! response:	By the way, hero...
context: That Quirk isn't suited for fighting long fights against a large group, is it?\Isn't this too different from your usual job?\What you're good at...\Even so, you jumped right in to fight us from the front.\Was that to put your students at ease?\You're so cool...\You're so cool...!\By the way, hero... response:	Mr. Aizawa...
context: Isn't this too different from your usual job?\What you're good at...\Even so, you jumped right in to fight us from the front.\Was that to put your students at ease?\You're so cool...\You're so cool...!\By the way, hero...\Mr. Aizawa... response:	Black Hole, which sucks up everything and turns it all to dust.
context: What you're good at...\Even so, you jumped right in to fight us from the front.\Was that to put your students at ease?\You're so cool...\You're so cool...!\By the way, hero...\Mr. Aizawa...\Black Hole, which sucks up everything and turns it all to dust. response:	I see.
context: Even so, you jumped right in to fight us from the front.\Was that to put your students at ease?\You're so cool...\You're so cool...!\By the way, hero...\Mr. Aizawa...\Black Hole, which sucks up everything and turns it all to dust.\I see. response:	That is an astounding Quirk.
context: Was that to put your students at ease?\You're so cool...\You're so cool...!\By the way, hero...\Mr. Aizawa...\Black Hole, which sucks up everything and turns it all to dust.\I see.\That is an astounding Quirk. response:	However, Thirteen, you are a hero who works to rescue people from disasters.
context: You're so cool...\You're so cool...!\By the way, hero...\Mr. Aizawa...\Black Hole, which sucks up everything and turns it all to dust.\I see.\That is an astounding Quirk.\However, Thirteen, you are a hero who works to rescue people from disasters. response:	As expected...
context: You're so cool...!\By the way, hero...\Mr. Aizawa...\Black Hole, which sucks up everything and turns it all to dust.\I see.\That is an astounding Quirk.\However, Thirteen, you are a hero who works to rescue people from disasters.\As expected... response:	A warp gate!
context: By the way, hero...\Mr. Aizawa...\Black Hole, which sucks up everything and turns it all to dust.\I see.\That is an astounding Quirk.\However, Thirteen, you are a hero who works to rescue people from disasters.\As expected...\A warp gate! response:	You turned yourself into dust.
context: Mr. Aizawa...\Black Hole, which sucks up everything and turns it all to dust.\I see.\That is an astounding Quirk.\However, Thirteen, you are a hero who works to rescue people from disasters.\As expected...\A warp gate!\You turned yourself into dust. response:	H-He got me...
context: Black Hole, which sucks up everything and turns it all to dust.\I see.\That is an astounding Quirk.\However, Thirteen, you are a hero who works to rescue people from disasters.\As expected...\A warp gate!\You turned yourself into dust.\H-He got me... response:	Teacher!
context: I see.\That is an astounding Quirk.\However, Thirteen, you are a hero who works to rescue people from disasters.\As expected...\A warp gate!\You turned yourself into dust.\H-He got me...\Teacher! response:	Iida, run!
context: That is an astounding Quirk.\However, Thirteen, you are a hero who works to rescue people from disasters.\As expected...\A warp gate!\You turned yourself into dust.\H-He got me...\Teacher!\Iida, run! response:	Hurry!
context: However, Thirteen, you are a hero who works to rescue people from disasters.\As expected...\A warp gate!\You turned yourself into dust.\H-He got me...\Teacher!\Iida, run!\Hurry! response:	Use your Quirk in order to save others!
context: As expected...\A warp gate!\You turned yourself into dust.\H-He got me...\Teacher!\Iida, run!\Hurry!\Use your Quirk in order to save others! response:	Damn it...!
context: A warp gate!\You turned yourself into dust.\H-He got me...\Teacher!\Iida, run!\Hurry!\Use your Quirk in order to save others!\Damn it...! response:	One of the children who was not scattered...
context: You turned yourself into dust.\H-He got me...\Teacher!\Iida, run!\Hurry!\Use your Quirk in order to save others!\Damn it...!\One of the children who was not scattered... response:	We are only waiting for All Might.
context: H-He got me...\Teacher!\Iida, run!\Hurry!\Use your Quirk in order to save others!\Damn it...!\One of the children who was not scattered...\We are only waiting for All Might. response:	If the other teachers are called here, it will be hard for us!
context: Teacher!\Iida, run!\Hurry!\Use your Quirk in order to save others!\Damn it...!\One of the children who was not scattered...\We are only waiting for All Might.\If the other teachers are called here, it will be hard for us! response:	Everyone...
context: Iida, run!\Hurry!\Use your Quirk in order to save others!\Damn it...!\One of the children who was not scattered...\We are only waiting for All Might.\If the other teachers are called here, it will be hard for us!\Everyone... response:	The whole class...
context: Hurry!\Use your Quirk in order to save others!\Damn it...!\One of the children who was not scattered...\We are only waiting for All Might.\If the other teachers are called here, it will be hard for us!\Everyone...\The whole class... response:	I will...!
context: Use your Quirk in order to save others!\Damn it...!\One of the children who was not scattered...\We are only waiting for All Might.\If the other teachers are called here, it will be hard for us!\Everyone...\The whole class...\I will...! response:	Go!
context: Damn it...!\One of the children who was not scattered...\We are only waiting for All Might.\If the other teachers are called here, it will be hard for us!\Everyone...\The whole class...\I will...!\Go! response:	Hurry!
context: One of the children who was not scattered...\We are only waiting for All Might.\If the other teachers are called here, it will be hard for us!\Everyone...\The whole class...\I will...!\Go!\Hurry! response:	Everyone... wait for me!
context: We are only waiting for All Might.\If the other teachers are called here, it will be hard for us!\Everyone...\The whole class...\I will...!\Go!\Hurry!\Everyone... wait for me! response:	You impertinent
context: If the other teachers are called here, it will be hard for us!\Everyone...\The whole class...\I will...!\Go!\Hurry!\Everyone... wait for me!\You impertinent response:	I will not allow you to go outside!
context: Everyone...\The whole class...\I will...!\Go!\Hurry!\Everyone... wait for me!\You impertinent\I will not allow you to go outside! response:	An automatic door!
context: The whole class...\I will...!\Go!\Hurry!\Everyone... wait for me!\You impertinent\I will not allow you to go outside!\An automatic door! response:	Should I kick it down?!
context: I will...!\Go!\Hurry!\Everyone... wait for me!\You impertinent\I will not allow you to go outside!\An automatic door!\Should I kick it down?! response:	Is it a thickness I can kick down?!
context: Go!\Hurry!\Everyone... wait for me!\You impertinent\I will not allow you to go outside!\An automatic door!\Should I kick it down?!\Is it a thickness I can kick down?! response:	You're impudent, four-eyes.
context: Hurry!\Everyone... wait for me!\You impertinent\I will not allow you to go outside!\An automatic door!\Should I kick it down?!\Is it a thickness I can kick down?!\You're impudent, four-eyes. response:	Be gone!
context: Everyone... wait for me!\You impertinent\I will not allow you to go outside!\An automatic door!\Should I kick it down?!\Is it a thickness I can kick down?!\You're impudent, four-eyes.\Be gone! response:	Villains.
context: You impertinent\I will not allow you to go outside!\An automatic door!\Should I kick it down?!\Is it a thickness I can kick down?!\You're impudent, four-eyes.\Be gone!\Villains. response:	The world of pros.
context: I will not allow you to go outside!\An automatic door!\Should I kick it down?!\Is it a thickness I can kick down?!\You're impudent, four-eyes.\Be gone!\Villains.\The world of pros. response:	We still hadn't...
context: An automatic door!\Should I kick it down?!\Is it a thickness I can kick down?!\You're impudent, four-eyes.\Be gone!\Villains.\The world of pros.\We still hadn't... response:	I'll tell you, Eraser Head.
context: Should I kick it down?!\Is it a thickness I can kick down?!\You're impudent, four-eyes.\Be gone!\Villains.\The world of pros.\We still hadn't...\I'll tell you, Eraser Head. response:	He's the anti-Symbol of Peace, the bioengineered Nomu.
context: Is it a thickness I can kick down?!\You're impudent, four-eyes.\Be gone!\Villains.\The world of pros.\We still hadn't...\I'll tell you, Eraser Head.\He's the anti-Symbol of Peace, the bioengineered Nomu. response:	Die...!
context: You're impudent, four-eyes.\Be gone!\Villains.\The world of pros.\We still hadn't...\I'll tell you, Eraser Head.\He's the anti-Symbol of Peace, the bioengineered Nomu.\Die...! response:	Is this all of them?
context: Be gone!\Villains.\The world of pros.\We still hadn't...\I'll tell you, Eraser Head.\He's the anti-Symbol of Peace, the bioengineered Nomu.\Die...!\Is this all of them? response:	They're so weak.
context: Villains.\The world of pros.\We still hadn't...\I'll tell you, Eraser Head.\He's the anti-Symbol of Peace, the bioengineered Nomu.\Die...!\Is this all of them?\They're so weak. response:	All right.
context: The world of pros.\We still hadn't...\I'll tell you, Eraser Head.\He's the anti-Symbol of Peace, the bioengineered Nomu.\Die...!\Is this all of them?\They're so weak.\All right. response:	Let's hurry up and go save the others!
context: We still hadn't...\I'll tell you, Eraser Head.\He's the anti-Symbol of Peace, the bioengineered Nomu.\Die...!\Is this all of them?\They're so weak.\All right.\Let's hurry up and go save the others! response:	If we're here, then everyone else should be inside USJ, too.
context: I'll tell you, Eraser Head.\He's the anti-Symbol of Peace, the bioengineered Nomu.\Die...!\Is this all of them?\They're so weak.\All right.\Let's hurry up and go save the others!\If we're here, then everyone else should be inside USJ, too. response:	I'm worried about the guys with less offensive ability!
context: He's the anti-Symbol of Peace, the bioengineered Nomu.\Die...!\Is this all of them?\They're so weak.\All right.\Let's hurry up and go save the others!\If we're here, then everyone else should be inside USJ, too.\I'm worried about the guys with less offensive ability! response:	Besides, because we ran off ahead, we slowed Thirteen down.
context: Die...!\Is this all of them?\They're so weak.\All right.\Let's hurry up and go save the others!\If we're here, then everyone else should be inside USJ, too.\I'm worried about the guys with less offensive ability!\Besides, because we ran off ahead, we slowed Thirteen down. response:	If Thirteen had been able to suck up that fog,
context: Is this all of them?\They're so weak.\All right.\Let's hurry up and go save the others!\If we're here, then everyone else should be inside USJ, too.\I'm worried about the guys with less offensive ability!\Besides, because we ran off ahead, we slowed Thirteen down.\If Thirteen had been able to suck up that fog, response:	then this wouldn't have happened!
context: They're so weak.\All right.\Let's hurry up and go save the others!\If we're here, then everyone else should be inside USJ, too.\I'm worried about the guys with less offensive ability!\Besides, because we ran off ahead, we slowed Thirteen down.\If Thirteen had been able to suck up that fog,\then this wouldn't have happened! response:	As men, we have to take responsibility for what we did!
context: All right.\Let's hurry up and go save the others!\If we're here, then everyone else should be inside USJ, too.\I'm worried about the guys with less offensive ability!\Besides, because we ran off ahead, we slowed Thirteen down.\If Thirteen had been able to suck up that fog,\then this wouldn't have happened!\As men, we have to take responsibility for what we did! response:	If you want to go, then go by yourself.
context: Let's hurry up and go save the others!\If we're here, then everyone else should be inside USJ, too.\I'm worried about the guys with less offensive ability!\Besides, because we ran off ahead, we slowed Thirteen down.\If Thirteen had been able to suck up that fog,\then this wouldn't have happened!\As men, we have to take responsibility for what we did!\If you want to go, then go by yourself. response:	I'm gonna kill that warp gate.
context: If we're here, then everyone else should be inside USJ, too.\I'm worried about the guys with less offensive ability!\Besides, because we ran off ahead, we slowed Thirteen down.\If Thirteen had been able to suck up that fog,\then this wouldn't have happened!\As men, we have to take responsibility for what we did!\If you want to go, then go by yourself.\I'm gonna kill that warp gate. response:	Huh?
context: I'm worried about the guys with less offensive ability!\Besides, because we ran off ahead, we slowed Thirteen down.\If Thirteen had been able to suck up that fog,\then this wouldn't have happened!\As men, we have to take responsibility for what we did!\If you want to go, then go by yourself.\I'm gonna kill that warp gate.\Huh? response:	You're gonna act childish at a time like this?
context: Besides, because we ran off ahead, we slowed Thirteen down.\If Thirteen had been able to suck up that fog,\then this wouldn't have happened!\As men, we have to take responsibility for what we did!\If you want to go, then go by yourself.\I'm gonna kill that warp gate.\Huh?\You're gonna act childish at a time like this? response:	Besides, that guy's attacks are!
context: If Thirteen had been able to suck up that fog,\then this wouldn't have happened!\As men, we have to take responsibility for what we did!\If you want to go, then go by yourself.\I'm gonna kill that warp gate.\Huh?\You're gonna act childish at a time like this?\Besides, that guy's attacks are! response:	Shut up!
context: then this wouldn't have happened!\As men, we have to take responsibility for what we did!\If you want to go, then go by yourself.\I'm gonna kill that warp gate.\Huh?\You're gonna act childish at a time like this?\Besides, that guy's attacks are!\Shut up! response:	That gate bastard is the enemy's way in and out.
context: As men, we have to take responsibility for what we did!\If you want to go, then go by yourself.\I'm gonna kill that warp gate.\Huh?\You're gonna act childish at a time like this?\Besides, that guy's attacks are!\Shut up!\That gate bastard is the enemy's way in and out. response:	I'm gonna cut off their getaway route for when the time comes.
context: If you want to go, then go by yourself.\I'm gonna kill that warp gate.\Huh?\You're gonna act childish at a time like this?\Besides, that guy's attacks are!\Shut up!\That gate bastard is the enemy's way in and out.\I'm gonna cut off their getaway route for when the time comes. response:	It's not like we don't have a way to fight the fog.
context: I'm gonna kill that warp gate.\Huh?\You're gonna act childish at a time like this?\Besides, that guy's attacks are!\Shut up!\That gate bastard is the enemy's way in and out.\I'm gonna cut off their getaway route for when the time comes.\It's not like we don't have a way to fight the fog. response:	Stop your chit-chatting!
context: Huh?\You're gonna act childish at a time like this?\Besides, that guy's attacks are!\Shut up!\That gate bastard is the enemy's way in and out.\I'm gonna cut off their getaway route for when the time comes.\It's not like we don't have a way to fight the fog.\Stop your chit-chatting! response:	Since you have left your guard down!
context: You're gonna act childish at a time like this?\Besides, that guy's attacks are!\Shut up!\That gate bastard is the enemy's way in and out.\I'm gonna cut off their getaway route for when the time comes.\It's not like we don't have a way to fight the fog.\Stop your chit-chatting!\Since you have left your guard down! response:	Anyway...
context: Besides, that guy's attacks are!\Shut up!\That gate bastard is the enemy's way in and out.\I'm gonna cut off their getaway route for when the time comes.\It's not like we don't have a way to fight the fog.\Stop your chit-chatting!\Since you have left your guard down!\Anyway... response:	That reaction time was amazing...
context: Shut up!\That gate bastard is the enemy's way in and out.\I'm gonna cut off their getaway route for when the time comes.\It's not like we don't have a way to fight the fog.\Stop your chit-chatting!\Since you have left your guard down!\Anyway...\That reaction time was amazing... response:	Anyway, were you always so calm and rational?
context: That gate bastard is the enemy's way in and out.\I'm gonna cut off their getaway route for when the time comes.\It's not like we don't have a way to fight the fog.\Stop your chit-chatting!\Since you have left your guard down!\Anyway...\That reaction time was amazing...\Anyway, were you always so calm and rational? response:	I thought you were more like
context: I'm gonna cut off their getaway route for when the time comes.\It's not like we don't have a way to fight the fog.\Stop your chit-chatting!\Since you have left your guard down!\Anyway...\That reaction time was amazing...\Anyway, were you always so calm and rational?\I thought you were more like response:	Die! Die! Die!
context: It's not like we don't have a way to fight the fog.\Stop your chit-chatting!\Since you have left your guard down!\Anyway...\That reaction time was amazing...\Anyway, were you always so calm and rational?\I thought you were more like\Die! Die! Die! response:	I'm always calm and rational, you spiky-haired punk!
context: Stop your chit-chatting!\Since you have left your guard down!\Anyway...\That reaction time was amazing...\Anyway, were you always so calm and rational?\I thought you were more like\Die! Die! Die!\I'm always calm and rational, you spiky-haired punk! response:	Oh yeah, that's more like it.
context: Since you have left your guard down!\Anyway...\That reaction time was amazing...\Anyway, were you always so calm and rational?\I thought you were more like\Die! Die! Die!\I'm always calm and rational, you spiky-haired punk!\Oh yeah, that's more like it. response:	Then go if you want to!
context: Anyway...\That reaction time was amazing...\Anyway, were you always so calm and rational?\I thought you were more like\Die! Die! Die!\I'm always calm and rational, you spiky-haired punk!\Oh yeah, that's more like it.\Then go if you want to! response:	Wait, wait!
context: That reaction time was amazing...\Anyway, were you always so calm and rational?\I thought you were more like\Die! Die! Die!\I'm always calm and rational, you spiky-haired punk!\Oh yeah, that's more like it.\Then go if you want to!\Wait, wait! response:	Believing in our friends!
context: Anyway, were you always so calm and rational?\I thought you were more like\Die! Die! Die!\I'm always calm and rational, you spiky-haired punk!\Oh yeah, that's more like it.\Then go if you want to!\Wait, wait!\Believing in our friends! response:	That's real manly, Bakugou!
context: I thought you were more like\Die! Die! Die!\I'm always calm and rational, you spiky-haired punk!\Oh yeah, that's more like it.\Then go if you want to!\Wait, wait!\Believing in our friends!\That's real manly, Bakugou! response:	I'll follow you!
context: Die! Die! Die!\I'm always calm and rational, you spiky-haired punk!\Oh yeah, that's more like it.\Then go if you want to!\Wait, wait!\Believing in our friends!\That's real manly, Bakugou!\I'll follow you! response:	Damn it!
context: I'm always calm and rational, you spiky-haired punk!\Oh yeah, that's more like it.\Then go if you want to!\Wait, wait!\Believing in our friends!\That's real manly, Bakugou!\I'll follow you!\Damn it! response:	He's too fast!
context: Oh yeah, that's more like it.\Then go if you want to!\Wait, wait!\Believing in our friends!\That's real manly, Bakugou!\I'll follow you!\Damn it!\He's too fast! response:	I see'im! Over there!
context: Then go if you want to!\Wait, wait!\Believing in our friends!\That's real manly, Bakugou!\I'll follow you!\Damn it!\He's too fast!\I see'im! Over there! response:	First, I need to make sure I'm not caught by the enemy.
context: Wait, wait!\Believing in our friends!\That's real manly, Bakugou!\I'll follow you!\Damn it!\He's too fast!\I see'im! Over there!\First, I need to make sure I'm not caught by the enemy. response:	Found you!
context: Believing in our friends!\That's real manly, Bakugou!\I'll follow you!\Damn it!\He's too fast!\I see'im! Over there!\First, I need to make sure I'm not caught by the enemy.\Found you! response:	That makes six.
context: That's real manly, Bakugou!\I'll follow you!\Damn it!\He's too fast!\I see'im! Over there!\First, I need to make sure I'm not caught by the enemy.\Found you!\That makes six. response:	If we can just reduce enemy numbers little by little...
context: I'll follow you!\Damn it!\He's too fast!\I see'im! Over there!\First, I need to make sure I'm not caught by the enemy.\Found you!\That makes six.\If we can just reduce enemy numbers little by little... response:	You're being impudent, four-eyes.
context: Damn it!\He's too fast!\I see'im! Over there!\First, I need to make sure I'm not caught by the enemy.\Found you!\That makes six.\If we can just reduce enemy numbers little by little...\You're being impudent, four-eyes. response:	Be gone!
context: He's too fast!\I see'im! Over there!\First, I need to make sure I'm not caught by the enemy.\Found you!\That makes six.\If we can just reduce enemy numbers little by little...\You're being impudent, four-eyes.\Be gone! response:	I don't know the theory behind it, but if he's wearing something like this...
context: I see'im! Over there!\First, I need to make sure I'm not caught by the enemy.\Found you!\That makes six.\If we can just reduce enemy numbers little by little...\You're being impudent, four-eyes.\Be gone!\I don't know the theory behind it, but if he's wearing something like this... response:	Go, Iida!
context: First, I need to make sure I'm not caught by the enemy.\Found you!\That makes six.\If we can just reduce enemy numbers little by little...\You're being impudent, four-eyes.\Be gone!\I don't know the theory behind it, but if he's wearing something like this...\Go, Iida! response:	My body!
context: Found you!\That makes six.\If we can just reduce enemy numbers little by little...\You're being impudent, four-eyes.\Be gone!\I don't know the theory behind it, but if he's wearing something like this...\Go, Iida!\My body! response:	Oh, no!
context: That makes six.\If we can just reduce enemy numbers little by little...\You're being impudent, four-eyes.\Be gone!\I don't know the theory behind it, but if he's wearing something like this...\Go, Iida!\My body!\Oh, no! response:	However!
context: If we can just reduce enemy numbers little by little...\You're being impudent, four-eyes.\Be gone!\I don't know the theory behind it, but if he's wearing something like this...\Go, Iida!\My body!\Oh, no!\However! response:	I won't let you!
context: You're being impudent, four-eyes.\Be gone!\I don't know the theory behind it, but if he's wearing something like this...\Go, Iida!\My body!\Oh, no!\However!\I won't let you! response:	Go...!
context: Be gone!\I don't know the theory behind it, but if he's wearing something like this...\Go, Iida!\My body!\Oh, no!\However!\I won't let you!\Go...! response:	Engine Boost!
context: I don't know the theory behind it, but if he's wearing something like this...\Go, Iida!\My body!\Oh, no!\However!\I won't let you!\Go...!\Engine Boost! response:	He's going to call for support.
context: Go, Iida!\My body!\Oh, no!\However!\I won't let you!\Go...!\Engine Boost!\He's going to call for support. response:	It's game over.
context: My body!\Oh, no!\However!\I won't let you!\Go...!\Engine Boost!\He's going to call for support.\It's game over. response:	You can erase Quirks.
context: Oh, no!\However!\I won't let you!\Go...!\Engine Boost!\He's going to call for support.\It's game over.\You can erase Quirks. response:	That's wonderful, but it's nothing impressive.
context: However!\I won't let you!\Go...!\Engine Boost!\He's going to call for support.\It's game over.\You can erase Quirks.\That's wonderful, but it's nothing impressive. response:	In the face of overwhelming power...
context: I won't let you!\Go...!\Engine Boost!\He's going to call for support.\It's game over.\You can erase Quirks.\That's wonderful, but it's nothing impressive.\In the face of overwhelming power... response:	It's like he's breaking a twig...
context: Go...!\Engine Boost!\He's going to call for support.\It's game over.\You can erase Quirks.\That's wonderful, but it's nothing impressive.\In the face of overwhelming power...\It's like he's breaking a twig... response:	I'm sure I erased his Quirk.
context: Engine Boost!\He's going to call for support.\It's game over.\You can erase Quirks.\That's wonderful, but it's nothing impressive.\In the face of overwhelming power...\It's like he's breaking a twig...\I'm sure I erased his Quirk. response:	That means he is just that strong.
context: He's going to call for support.\It's game over.\You can erase Quirks.\That's wonderful, but it's nothing impressive.\In the face of overwhelming power...\It's like he's breaking a twig...\I'm sure I erased his Quirk.\That means he is just that strong. response:	He's as strong as All Might...
context: It's game over.\You can erase Quirks.\That's wonderful, but it's nothing impressive.\In the face of overwhelming power...\It's like he's breaking a twig...\I'm sure I erased his Quirk.\That means he is just that strong.\He's as strong as All Might... response:	M-M-Midoriya, I can't take it anymore.
context: You can erase Quirks.\That's wonderful, but it's nothing impressive.\In the face of overwhelming power...\It's like he's breaking a twig...\I'm sure I erased his Quirk.\That means he is just that strong.\He's as strong as All Might...\M-M-Midoriya, I can't take it anymore. response:	I'm sure you must be having second thoughts, right?
