context: This is bad! response:	It's spewing fire!
context: It's not like I'm going to die right away.\I don't think.\How was I so optimistic?\I knew this would happen to you someday.\I should have stopped you, but I didn't.\Somewhere inside,\I'm still thinking that you're always going to be in that home, going forward.\That you would manage somehow. response:	It's funny.
context: I don't think.\How was I so optimistic?\I knew this would happen to you someday.\I should have stopped you, but I didn't.\Somewhere inside,\I'm still thinking that you're always going to be in that home, going forward.\That you would manage somehow.\It's funny. response:	What is?
context: How was I so optimistic?\I knew this would happen to you someday.\I should have stopped you, but I didn't.\Somewhere inside,\I'm still thinking that you're always going to be in that home, going forward.\That you would manage somehow.\It's funny.\What is? response:	At first, we were only using each other.
context: I knew this would happen to you someday.\I should have stopped you, but I didn't.\Somewhere inside,\I'm still thinking that you're always going to be in that home, going forward.\That you would manage somehow.\It's funny.\What is?\At first, we were only using each other. response:	I never thought this would happen just because we were together.
context: I should have stopped you, but I didn't.\Somewhere inside,\I'm still thinking that you're always going to be in that home, going forward.\That you would manage somehow.\It's funny.\What is?\At first, we were only using each other.\I never thought this would happen just because we were together. response:	Before this, I was sure I didn't want to live.
context: Somewhere inside,\I'm still thinking that you're always going to be in that home, going forward.\That you would manage somehow.\It's funny.\What is?\At first, we were only using each other.\I never thought this would happen just because we were together.\Before this, I was sure I didn't want to live. response:	But so many people helped me,
context: I'm still thinking that you're always going to be in that home, going forward.\That you would manage somehow.\It's funny.\What is?\At first, we were only using each other.\I never thought this would happen just because we were together.\Before this, I was sure I didn't want to live.\But so many people helped me, response:	and I found out that even I could do things that are worth being thanked for.
context: That you would manage somehow.\It's funny.\What is?\At first, we were only using each other.\I never thought this would happen just because we were together.\Before this, I was sure I didn't want to live.\But so many people helped me,\and I found out that even I could do things that are worth being thanked for. response:	I started wanting to stay and wanting to do something.
context: It's funny.\What is?\At first, we were only using each other.\I never thought this would happen just because we were together.\Before this, I was sure I didn't want to live.\But so many people helped me,\and I found out that even I could do things that are worth being thanked for.\I started wanting to stay and wanting to do something. response:	Self-sacrifice.
context: What is?\At first, we were only using each other.\I never thought this would happen just because we were together.\Before this, I was sure I didn't want to live.\But so many people helped me,\and I found out that even I could do things that are worth being thanked for.\I started wanting to stay and wanting to do something.\Self-sacrifice. response:	You think that by destroying yourself, you can earn the right to be here.
context: At first, we were only using each other.\I never thought this would happen just because we were together.\Before this, I was sure I didn't want to live.\But so many people helped me,\and I found out that even I could do things that are worth being thanked for.\I started wanting to stay and wanting to do something.\Self-sacrifice.\You think that by destroying yourself, you can earn the right to be here. response:	E-Elias...
context: I never thought this would happen just because we were together.\Before this, I was sure I didn't want to live.\But so many people helped me,\and I found out that even I could do things that are worth being thanked for.\I started wanting to stay and wanting to do something.\Self-sacrifice.\You think that by destroying yourself, you can earn the right to be here.\E-Elias... response:	I wonder.
context: Before this, I was sure I didn't want to live.\But so many people helped me,\and I found out that even I could do things that are worth being thanked for.\I started wanting to stay and wanting to do something.\Self-sacrifice.\You think that by destroying yourself, you can earn the right to be here.\E-Elias...\I wonder. response:	I don't know.
context: But so many people helped me,\and I found out that even I could do things that are worth being thanked for.\I started wanting to stay and wanting to do something.\Self-sacrifice.\You think that by destroying yourself, you can earn the right to be here.\E-Elias...\I wonder.\I don't know. response:	I only did what I did because I could.
context: and I found out that even I could do things that are worth being thanked for.\I started wanting to stay and wanting to do something.\Self-sacrifice.\You think that by destroying yourself, you can earn the right to be here.\E-Elias...\I wonder.\I don't know.\I only did what I did because I could. response:	I'm not lying, it's just that there are some things
context: I started wanting to stay and wanting to do something.\Self-sacrifice.\You think that by destroying yourself, you can earn the right to be here.\E-Elias...\I wonder.\I don't know.\I only did what I did because I could.\I'm not lying, it's just that there are some things response:	about humans that we don't understand ourselves.
context: Self-sacrifice.\You think that by destroying yourself, you can earn the right to be here.\E-Elias...\I wonder.\I don't know.\I only did what I did because I could.\I'm not lying, it's just that there are some things\about humans that we don't understand ourselves. response:	Really?
context: You think that by destroying yourself, you can earn the right to be here.\E-Elias...\I wonder.\I don't know.\I only did what I did because I could.\I'm not lying, it's just that there are some things\about humans that we don't understand ourselves.\Really? response:	Besides, your puppy is a stupid one.
context: E-Elias...\I wonder.\I don't know.\I only did what I did because I could.\I'm not lying, it's just that there are some things\about humans that we don't understand ourselves.\Really?\Besides, your puppy is a stupid one. response:	Her body seems to act before her mind thinks.
context: I wonder.\I don't know.\I only did what I did because I could.\I'm not lying, it's just that there are some things\about humans that we don't understand ourselves.\Really?\Besides, your puppy is a stupid one.\Her body seems to act before her mind thinks. response:	Elias, will you help this idiot think of a way
context: I don't know.\I only did what I did because I could.\I'm not lying, it's just that there are some things\about humans that we don't understand ourselves.\Really?\Besides, your puppy is a stupid one.\Her body seems to act before her mind thinks.\Elias, will you help this idiot think of a way response:	that the two of us can stay next to each other?
context: I only did what I did because I could.\I'm not lying, it's just that there are some things\about humans that we don't understand ourselves.\Really?\Besides, your puppy is a stupid one.\Her body seems to act before her mind thinks.\Elias, will you help this idiot think of a way\that the two of us can stay next to each other? response:	I don't have the same ability to take action that you do.
context: I'm not lying, it's just that there are some things\about humans that we don't understand ourselves.\Really?\Besides, your puppy is a stupid one.\Her body seems to act before her mind thinks.\Elias, will you help this idiot think of a way\that the two of us can stay next to each other?\I don't have the same ability to take action that you do. response:	But, I can go find out with you.
context: about humans that we don't understand ourselves.\Really?\Besides, your puppy is a stupid one.\Her body seems to act before her mind thinks.\Elias, will you help this idiot think of a way\that the two of us can stay next to each other?\I don't have the same ability to take action that you do.\But, I can go find out with you. response:	Please take me with you.
context: Really?\Besides, your puppy is a stupid one.\Her body seems to act before her mind thinks.\Elias, will you help this idiot think of a way\that the two of us can stay next to each other?\I don't have the same ability to take action that you do.\But, I can go find out with you.\Please take me with you. response:	We have to find it.
context: Besides, your puppy is a stupid one.\Her body seems to act before her mind thinks.\Elias, will you help this idiot think of a way\that the two of us can stay next to each other?\I don't have the same ability to take action that you do.\But, I can go find out with you.\Please take me with you.\We have to find it. response:	We have to think
context: Her body seems to act before her mind thinks.\Elias, will you help this idiot think of a way\that the two of us can stay next to each other?\I don't have the same ability to take action that you do.\But, I can go find out with you.\Please take me with you.\We have to find it.\We have to think response:	of a way to move forward.
context: Elias, will you help this idiot think of a way\that the two of us can stay next to each other?\I don't have the same ability to take action that you do.\But, I can go find out with you.\Please take me with you.\We have to find it.\We have to think\of a way to move forward. response:	Hello.
context: that the two of us can stay next to each other?\I don't have the same ability to take action that you do.\But, I can go find out with you.\Please take me with you.\We have to find it.\We have to think\of a way to move forward.\Hello. response:	I'm Mariel.
context: I don't have the same ability to take action that you do.\But, I can go find out with you.\Please take me with you.\We have to find it.\We have to think\of a way to move forward.\Hello.\I'm Mariel. response:	Goatherder Mariel.
context: But, I can go find out with you.\Please take me with you.\We have to find it.\We have to think\of a way to move forward.\Hello.\I'm Mariel.\Goatherder Mariel. response:	I'm what they call a witch.
context: Please take me with you.\We have to find it.\We have to think\of a way to move forward.\Hello.\I'm Mariel.\Goatherder Mariel.\I'm what they call a witch. response:	A transaction at the auction?
context: We have to find it.\We have to think\of a way to move forward.\Hello.\I'm Mariel.\Goatherder Mariel.\I'm what they call a witch.\A transaction at the auction? response:	Yup.
context: We have to think\of a way to move forward.\Hello.\I'm Mariel.\Goatherder Mariel.\I'm what they call a witch.\A transaction at the auction?\Yup. response:	I asked for the dragon's blood in exchange for money.
context: of a way to move forward.\Hello.\I'm Mariel.\Goatherder Mariel.\I'm what they call a witch.\A transaction at the auction?\Yup.\I asked for the dragon's blood in exchange for money. response:	It doesn't look like that'll work.
context: Hello.\I'm Mariel.\Goatherder Mariel.\I'm what they call a witch.\A transaction at the auction?\Yup.\I asked for the dragon's blood in exchange for money.\It doesn't look like that'll work. response:	I'm sorry.
context: I'm Mariel.\Goatherder Mariel.\I'm what they call a witch.\A transaction at the auction?\Yup.\I asked for the dragon's blood in exchange for money.\It doesn't look like that'll work.\I'm sorry. response:	You... Your arm...
context: Goatherder Mariel.\I'm what they call a witch.\A transaction at the auction?\Yup.\I asked for the dragon's blood in exchange for money.\It doesn't look like that'll work.\I'm sorry.\You... Your arm... response:	I'm just going to take a look.
context: I'm what they call a witch.\A transaction at the auction?\Yup.\I asked for the dragon's blood in exchange for money.\It doesn't look like that'll work.\I'm sorry.\You... Your arm...\I'm just going to take a look. response:	You're so overprotective.
context: A transaction at the auction?\Yup.\I asked for the dragon's blood in exchange for money.\It doesn't look like that'll work.\I'm sorry.\You... Your arm...\I'm just going to take a look.\You're so overprotective. response:	Mariel-san...
context: Yup.\I asked for the dragon's blood in exchange for money.\It doesn't look like that'll work.\I'm sorry.\You... Your arm...\I'm just going to take a look.\You're so overprotective.\Mariel-san... response:	Ouch.
context: I asked for the dragon's blood in exchange for money.\It doesn't look like that'll work.\I'm sorry.\You... Your arm...\I'm just going to take a look.\You're so overprotective.\Mariel-san...\Ouch. response:	Gleaming goddess of the land,
context: It doesn't look like that'll work.\I'm sorry.\You... Your arm...\I'm just going to take a look.\You're so overprotective.\Mariel-san...\Ouch.\Gleaming goddess of the land, response:	snake-shredding god of storms...
context: I'm sorry.\You... Your arm...\I'm just going to take a look.\You're so overprotective.\Mariel-san...\Ouch.\Gleaming goddess of the land,\snake-shredding god of storms... response:	Lend us your hand, your eyes, for the batting of an eyelid.
context: You... Your arm...\I'm just going to take a look.\You're so overprotective.\Mariel-san...\Ouch.\Gleaming goddess of the land,\snake-shredding god of storms...\Lend us your hand, your eyes, for the batting of an eyelid. response:	What is this thing?
context: I'm just going to take a look.\You're so overprotective.\Mariel-san...\Ouch.\Gleaming goddess of the land,\snake-shredding god of storms...\Lend us your hand, your eyes, for the batting of an eyelid.\What is this thing? response:	It's so creepy!
context: You're so overprotective.\Mariel-san...\Ouch.\Gleaming goddess of the land,\snake-shredding god of storms...\Lend us your hand, your eyes, for the batting of an eyelid.\What is this thing?\It's so creepy! response:	A dragon's curse?
context: Mariel-san...\Ouch.\Gleaming goddess of the land,\snake-shredding god of storms...\Lend us your hand, your eyes, for the batting of an eyelid.\What is this thing?\It's so creepy!\A dragon's curse? response:	Say, do you have any interest in becoming a witch?
context: Ouch.\Gleaming goddess of the land,\snake-shredding god of storms...\Lend us your hand, your eyes, for the batting of an eyelid.\What is this thing?\It's so creepy!\A dragon's curse?\Say, do you have any interest in becoming a witch? response:	Witches specialize in curses.
context: Gleaming goddess of the land,\snake-shredding god of storms...\Lend us your hand, your eyes, for the batting of an eyelid.\What is this thing?\It's so creepy!\A dragon's curse?\Say, do you have any interest in becoming a witch?\Witches specialize in curses. response:	If you become one of usif you join our covenwe might be able to help you.
context: snake-shredding god of storms...\Lend us your hand, your eyes, for the batting of an eyelid.\What is this thing?\It's so creepy!\A dragon's curse?\Say, do you have any interest in becoming a witch?\Witches specialize in curses.\If you become one of usif you join our covenwe might be able to help you. response:	No.
context: Lend us your hand, your eyes, for the batting of an eyelid.\What is this thing?\It's so creepy!\A dragon's curse?\Say, do you have any interest in becoming a witch?\Witches specialize in curses.\If you become one of usif you join our covenwe might be able to help you.\No. response:	Do you really have the confidence to tell a woman what to do with her life?
context: What is this thing?\It's so creepy!\A dragon's curse?\Say, do you have any interest in becoming a witch?\Witches specialize in curses.\If you become one of usif you join our covenwe might be able to help you.\No.\Do you really have the confidence to tell a woman what to do with her life? response:	Mariel-san, what do I need to do to become one of you?
context: It's so creepy!\A dragon's curse?\Say, do you have any interest in becoming a witch?\Witches specialize in curses.\If you become one of usif you join our covenwe might be able to help you.\No.\Do you really have the confidence to tell a woman what to do with her life?\Mariel-san, what do I need to do to become one of you? response:	Chise.
context: A dragon's curse?\Say, do you have any interest in becoming a witch?\Witches specialize in curses.\If you become one of usif you join our covenwe might be able to help you.\No.\Do you really have the confidence to tell a woman what to do with her life?\Mariel-san, what do I need to do to become one of you?\Chise. response:	For starters, join our gathering as a guest.
context: Say, do you have any interest in becoming a witch?\Witches specialize in curses.\If you become one of usif you join our covenwe might be able to help you.\No.\Do you really have the confidence to tell a woman what to do with her life?\Mariel-san, what do I need to do to become one of you?\Chise.\For starters, join our gathering as a guest. response:	Soon, if you can.
context: Witches specialize in curses.\If you become one of usif you join our covenwe might be able to help you.\No.\Do you really have the confidence to tell a woman what to do with her life?\Mariel-san, what do I need to do to become one of you?\Chise.\For starters, join our gathering as a guest.\Soon, if you can. response:	Open that when you're ready.
context: If you become one of usif you join our covenwe might be able to help you.\No.\Do you really have the confidence to tell a woman what to do with her life?\Mariel-san, what do I need to do to become one of you?\Chise.\For starters, join our gathering as a guest.\Soon, if you can.\Open that when you're ready. response:	I'll be awaiting your reply.
context: No.\Do you really have the confidence to tell a woman what to do with her life?\Mariel-san, what do I need to do to become one of you?\Chise.\For starters, join our gathering as a guest.\Soon, if you can.\Open that when you're ready.\I'll be awaiting your reply. response:	Goodbye.
context: Do you really have the confidence to tell a woman what to do with her life?\Mariel-san, what do I need to do to become one of you?\Chise.\For starters, join our gathering as a guest.\Soon, if you can.\Open that when you're ready.\I'll be awaiting your reply.\Goodbye. response:	Hello.
context: Mariel-san, what do I need to do to become one of you?\Chise.\For starters, join our gathering as a guest.\Soon, if you can.\Open that when you're ready.\I'll be awaiting your reply.\Goodbye.\Hello. response:	Hello.
context: Chise.\For starters, join our gathering as a guest.\Soon, if you can.\Open that when you're ready.\I'll be awaiting your reply.\Goodbye.\Hello.\Hello. response:	Unbelievable.
context: For starters, join our gathering as a guest.\Soon, if you can.\Open that when you're ready.\I'll be awaiting your reply.\Goodbye.\Hello.\Hello.\Unbelievable. response:	Such a young girl?
context: Soon, if you can.\Open that when you're ready.\I'll be awaiting your reply.\Goodbye.\Hello.\Hello.\Unbelievable.\Such a young girl? response:	Here you go.
context: Open that when you're ready.\I'll be awaiting your reply.\Goodbye.\Hello.\Hello.\Unbelievable.\Such a young girl?\Here you go. response:	A card?
context: I'll be awaiting your reply.\Goodbye.\Hello.\Hello.\Unbelievable.\Such a young girl?\Here you go.\A card? response:	It's an invitation to my birthday party.
context: Goodbye.\Hello.\Hello.\Unbelievable.\Such a young girl?\Here you go.\A card?\It's an invitation to my birthday party. response:	When's yours, Chise?
context: Hello.\Hello.\Unbelievable.\Such a young girl?\Here you go.\A card?\It's an invitation to my birthday party.\When's yours, Chise? response:	Today.
context: Hello.\Unbelievable.\Such a young girl?\Here you go.\A card?\It's an invitation to my birthday party.\When's yours, Chise?\Today. response:	Today?
context: Unbelievable.\Such a young girl?\Here you go.\A card?\It's an invitation to my birthday party.\When's yours, Chise?\Today.\Today? response:	What?! Where's your party?!
context: Such a young girl?\Here you go.\A card?\It's an invitation to my birthday party.\When's yours, Chise?\Today.\Today?\What?! Where's your party?! response:	Why aren't you holding a party for her?
context: Here you go.\A card?\It's an invitation to my birthday party.\When's yours, Chise?\Today.\Today?\What?! Where's your party?!\Why aren't you holding a party for her? response:	Par... tay?
context: A card?\It's an invitation to my birthday party.\When's yours, Chise?\Today.\Today?\What?! Where's your party?!\Why aren't you holding a party for her?\Par... tay? response:	Jeez.
context: It's an invitation to my birthday party.\When's yours, Chise?\Today.\Today?\What?! Where's your party?!\Why aren't you holding a party for her?\Par... tay?\Jeez. response:	Okay, next year.
context: When's yours, Chise?\Today.\Today?\What?! Where's your party?!\Why aren't you holding a party for her?\Par... tay?\Jeez.\Okay, next year. response:	You better come up with some plans.
context: Today.\Today?\What?! Where's your party?!\Why aren't you holding a party for her?\Par... tay?\Jeez.\Okay, next year.\You better come up with some plans. response:	Next year...
context: Today?\What?! Where's your party?!\Why aren't you holding a party for her?\Par... tay?\Jeez.\Okay, next year.\You better come up with some plans.\Next year... response:	What's wrong?
context: What?! Where's your party?!\Why aren't you holding a party for her?\Par... tay?\Jeez.\Okay, next year.\You better come up with some plans.\Next year...\What's wrong? response:	I feel nauseous all of a sudden.
context: Why aren't you holding a party for her?\Par... tay?\Jeez.\Okay, next year.\You better come up with some plans.\Next year...\What's wrong?\I feel nauseous all of a sudden. response:	I'm going to the washroom, so...
context: Par... tay?\Jeez.\Okay, next year.\You better come up with some plans.\Next year...\What's wrong?\I feel nauseous all of a sudden.\I'm going to the washroom, so... response:	It's okay, I just came to give you the card.
context: Jeez.\Okay, next year.\You better come up with some plans.\Next year...\What's wrong?\I feel nauseous all of a sudden.\I'm going to the washroom, so...\It's okay, I just came to give you the card. response:	Take care.
context: Okay, next year.\You better come up with some plans.\Next year...\What's wrong?\I feel nauseous all of a sudden.\I'm going to the washroom, so...\It's okay, I just came to give you the card.\Take care. response:	Chise...
context: You better come up with some plans.\Next year...\What's wrong?\I feel nauseous all of a sudden.\I'm going to the washroom, so...\It's okay, I just came to give you the card.\Take care.\Chise... response:	All this, just as I'd decided I don't want to die.
context: Next year...\What's wrong?\I feel nauseous all of a sudden.\I'm going to the washroom, so...\It's okay, I just came to give you the card.\Take care.\Chise...\All this, just as I'd decided I don't want to die. response:	Let's join the witch's gathering.
context: What's wrong?\I feel nauseous all of a sudden.\I'm going to the washroom, so...\It's okay, I just came to give you the card.\Take care.\Chise...\All this, just as I'd decided I don't want to die.\Let's join the witch's gathering. response:	You're okay with that?
context: I feel nauseous all of a sudden.\I'm going to the washroom, so...\It's okay, I just came to give you the card.\Take care.\Chise...\All this, just as I'd decided I don't want to die.\Let's join the witch's gathering.\You're okay with that? response:	Your apprentice might not make it through the spring.
context: I'm going to the washroom, so...\It's okay, I just came to give you the card.\Take care.\Chise...\All this, just as I'd decided I don't want to die.\Let's join the witch's gathering.\You're okay with that?\Your apprentice might not make it through the spring. response:	It's fine.
context: It's okay, I just came to give you the card.\Take care.\Chise...\All this, just as I'd decided I don't want to die.\Let's join the witch's gathering.\You're okay with that?\Your apprentice might not make it through the spring.\It's fine. response:	What matters more is to take care of your health.
context: Take care.\Chise...\All this, just as I'd decided I don't want to die.\Let's join the witch's gathering.\You're okay with that?\Your apprentice might not make it through the spring.\It's fine.\What matters more is to take care of your health. response:	Thank you.
context: Chise...\All this, just as I'd decided I don't want to die.\Let's join the witch's gathering.\You're okay with that?\Your apprentice might not make it through the spring.\It's fine.\What matters more is to take care of your health.\Thank you. response:	I have to think about my party next year.
context: All this, just as I'd decided I don't want to die.\Let's join the witch's gathering.\You're okay with that?\Your apprentice might not make it through the spring.\It's fine.\What matters more is to take care of your health.\Thank you.\I have to think about my party next year. response:	A dragon's curse, huh?
context: Let's join the witch's gathering.\You're okay with that?\Your apprentice might not make it through the spring.\It's fine.\What matters more is to take care of your health.\Thank you.\I have to think about my party next year.\A dragon's curse, huh? response:	Between my curse keeping me from dying, and your curse leading you to death...
context: You're okay with that?\Your apprentice might not make it through the spring.\It's fine.\What matters more is to take care of your health.\Thank you.\I have to think about my party next year.\A dragon's curse, huh?\Between my curse keeping me from dying, and your curse leading you to death... response:	Things might work out pretty well.
context: Your apprentice might not make it through the spring.\It's fine.\What matters more is to take care of your health.\Thank you.\I have to think about my party next year.\A dragon's curse, huh?\Between my curse keeping me from dying, and your curse leading you to death...\Things might work out pretty well. response:	The reality presented at the witches' gathering was a cruel one.
context: It's fine.\What matters more is to take care of your health.\Thank you.\I have to think about my party next year.\A dragon's curse, huh?\Between my curse keeping me from dying, and your curse leading you to death...\Things might work out pretty well.\The reality presented at the witches' gathering was a cruel one. response:	The mage sets out to save the girl, but...
context: What matters more is to take care of your health.\Thank you.\I have to think about my party next year.\A dragon's curse, huh?\Between my curse keeping me from dying, and your curse leading you to death...\Things might work out pretty well.\The reality presented at the witches' gathering was a cruel one.\The mage sets out to save the girl, but... response:	The only thing that can replace a life is another life.
