context: Hajime-chan, you were already my favorite the moment I met you. response:	I felt you accepted me for who I was right away,
context: But you continued to believe and pressed on.\Utsutsu?\Doing that will kill you!\I want to save them!\You know that, right?\But I want to save them!\You set all of our hearts on fire,\in a big red blaze. response:	I'm gloomy...
context: Utsutsu?\Doing that will kill you!\I want to save them!\You know that, right?\But I want to save them!\You set all of our hearts on fire,\in a big red blaze.\I'm gloomy... response:	Hey, give us a hand here, too!
context: Doing that will kill you!\I want to save them!\You know that, right?\But I want to save them!\You set all of our hearts on fire,\in a big red blaze.\I'm gloomy...\Hey, give us a hand here, too! response:	This is how it should be...
context: I want to save them!\You know that, right?\But I want to save them!\You set all of our hearts on fire,\in a big red blaze.\I'm gloomy...\Hey, give us a hand here, too!\This is how it should be... response:	I am no one special...
context: You know that, right?\But I want to save them!\You set all of our hearts on fire,\in a big red blaze.\I'm gloomy...\Hey, give us a hand here, too!\This is how it should be...\I am no one special... response:	I'm just...
context: But I want to save them!\You set all of our hearts on fire,\in a big red blaze.\I'm gloomy...\Hey, give us a hand here, too!\This is how it should be...\I am no one special...\I'm just... response:	Thank you, Jou-san...
context: You set all of our hearts on fire,\in a big red blaze.\I'm gloomy...\Hey, give us a hand here, too!\This is how it should be...\I am no one special...\I'm just...\Thank you, Jou-san... response:	And now, I...
context: in a big red blaze.\I'm gloomy...\Hey, give us a hand here, too!\This is how it should be...\I am no one special...\I'm just...\Thank you, Jou-san...\And now, I... response:	I can tell you this now.
context: I'm gloomy...\Hey, give us a hand here, too!\This is how it should be...\I am no one special...\I'm just...\Thank you, Jou-san...\And now, I...\I can tell you this now. response:	Way too...
context: Hey, give us a hand here, too!\This is how it should be...\I am no one special...\I'm just...\Thank you, Jou-san...\And now, I...\I can tell you this now.\Way too... response:	lame!
context: This is how it should be...\I am no one special...\I'm just...\Thank you, Jou-san...\And now, I...\I can tell you this now.\Way too...\lame! response:	You're amazing!
context: I am no one special...\I'm just...\Thank you, Jou-san...\And now, I...\I can tell you this now.\Way too...\lame!\You're amazing! response:	Do you have any idea what crazy shit you just pulled?
context: I'm just...\Thank you, Jou-san...\And now, I...\I can tell you this now.\Way too...\lame!\You're amazing!\Do you have any idea what crazy shit you just pulled? response:	Humans are still worth saving!
context: Thank you, Jou-san...\And now, I...\I can tell you this now.\Way too...\lame!\You're amazing!\Do you have any idea what crazy shit you just pulled?\Humans are still worth saving! response:	Go, Bird!
context: And now, I...\I can tell you this now.\Way too...\lame!\You're amazing!\Do you have any idea what crazy shit you just pulled?\Humans are still worth saving!\Go, Bird! response:	Go, Bird!
context: I can tell you this now.\Way too...\lame!\You're amazing!\Do you have any idea what crazy shit you just pulled?\Humans are still worth saving!\Go, Bird!\Go, Bird! response:	Could you be...
context: Way too...\lame!\You're amazing!\Do you have any idea what crazy shit you just pulled?\Humans are still worth saving!\Go, Bird!\Go, Bird!\Could you be... response:	the new team member?
context: lame!\You're amazing!\Do you have any idea what crazy shit you just pulled?\Humans are still worth saving!\Go, Bird!\Go, Bird!\Could you be...\the new team member? response:	I'm Ichinose Hajime!
context: You're amazing!\Do you have any idea what crazy shit you just pulled?\Humans are still worth saving!\Go, Bird!\Go, Bird!\Could you be...\the new team member?\I'm Ichinose Hajime! response:	I think I somehow became a Gatchaman today.
context: Do you have any idea what crazy shit you just pulled?\Humans are still worth saving!\Go, Bird!\Go, Bird!\Could you be...\the new team member?\I'm Ichinose Hajime!\I think I somehow became a Gatchaman today. response:	At the time, I...
context: Humans are still worth saving!\Go, Bird!\Go, Bird!\Could you be...\the new team member?\I'm Ichinose Hajime!\I think I somehow became a Gatchaman today.\At the time, I... response:	It's Senpai and me!
context: Go, Bird!\Go, Bird!\Could you be...\the new team member?\I'm Ichinose Hajime!\I think I somehow became a Gatchaman today.\At the time, I...\It's Senpai and me! response:	I was totally confused by everything you said and did.
context: Go, Bird!\Could you be...\the new team member?\I'm Ichinose Hajime!\I think I somehow became a Gatchaman today.\At the time, I...\It's Senpai and me!\I was totally confused by everything you said and did. response:	Someone might feel awful, but can't skip work.
context: Could you be...\the new team member?\I'm Ichinose Hajime!\I think I somehow became a Gatchaman today.\At the time, I...\It's Senpai and me!\I was totally confused by everything you said and did.\Someone might feel awful, but can't skip work. response:	Someone might be sick, too.
context: the new team member?\I'm Ichinose Hajime!\I think I somehow became a Gatchaman today.\At the time, I...\It's Senpai and me!\I was totally confused by everything you said and did.\Someone might feel awful, but can't skip work.\Someone might be sick, too. response:	Maybe it's not what I thought.
context: I'm Ichinose Hajime!\I think I somehow became a Gatchaman today.\At the time, I...\It's Senpai and me!\I was totally confused by everything you said and did.\Someone might feel awful, but can't skip work.\Someone might be sick, too.\Maybe it's not what I thought. response:	We had a huge fight afterwards.
context: I think I somehow became a Gatchaman today.\At the time, I...\It's Senpai and me!\I was totally confused by everything you said and did.\Someone might feel awful, but can't skip work.\Someone might be sick, too.\Maybe it's not what I thought.\We had a huge fight afterwards. response:	Wh-What the...
context: At the time, I...\It's Senpai and me!\I was totally confused by everything you said and did.\Someone might feel awful, but can't skip work.\Someone might be sick, too.\Maybe it's not what I thought.\We had a huge fight afterwards.\Wh-What the... response:	You idiot!
context: It's Senpai and me!\I was totally confused by everything you said and did.\Someone might feel awful, but can't skip work.\Someone might be sick, too.\Maybe it's not what I thought.\We had a huge fight afterwards.\Wh-What the...\You idiot! response:	I just didn't understand you back then.
context: I was totally confused by everything you said and did.\Someone might feel awful, but can't skip work.\Someone might be sick, too.\Maybe it's not what I thought.\We had a huge fight afterwards.\Wh-What the...\You idiot!\I just didn't understand you back then. response:	I could only butt heads with you.
context: Someone might feel awful, but can't skip work.\Someone might be sick, too.\Maybe it's not what I thought.\We had a huge fight afterwards.\Wh-What the...\You idiot!\I just didn't understand you back then.\I could only butt heads with you. response:	But, one day, it occurred to me that...
context: Someone might be sick, too.\Maybe it's not what I thought.\We had a huge fight afterwards.\Wh-What the...\You idiot!\I just didn't understand you back then.\I could only butt heads with you.\But, one day, it occurred to me that... response:	Newbie, you should just follow Sugane's orders, for now!
context: Maybe it's not what I thought.\We had a huge fight afterwards.\Wh-What the...\You idiot!\I just didn't understand you back then.\I could only butt heads with you.\But, one day, it occurred to me that...\Newbie, you should just follow Sugane's orders, for now! response:	Boo!
context: We had a huge fight afterwards.\Wh-What the...\You idiot!\I just didn't understand you back then.\I could only butt heads with you.\But, one day, it occurred to me that...\Newbie, you should just follow Sugane's orders, for now!\Boo! response:	Hey, it's not bad.
context: Wh-What the...\You idiot!\I just didn't understand you back then.\I could only butt heads with you.\But, one day, it occurred to me that...\Newbie, you should just follow Sugane's orders, for now!\Boo!\Hey, it's not bad. response:	I'm not cut out for this, after all.
context: You idiot!\I just didn't understand you back then.\I could only butt heads with you.\But, one day, it occurred to me that...\Newbie, you should just follow Sugane's orders, for now!\Boo!\Hey, it's not bad.\I'm not cut out for this, after all. response:	It's fine.
context: I just didn't understand you back then.\I could only butt heads with you.\But, one day, it occurred to me that...\Newbie, you should just follow Sugane's orders, for now!\Boo!\Hey, it's not bad.\I'm not cut out for this, after all.\It's fine. response:	Everyone's is different.
context: I could only butt heads with you.\But, one day, it occurred to me that...\Newbie, you should just follow Sugane's orders, for now!\Boo!\Hey, it's not bad.\I'm not cut out for this, after all.\It's fine.\Everyone's is different. response:	Hey!
context: But, one day, it occurred to me that...\Newbie, you should just follow Sugane's orders, for now!\Boo!\Hey, it's not bad.\I'm not cut out for this, after all.\It's fine.\Everyone's is different.\Hey! response:	What are you doing?
context: Newbie, you should just follow Sugane's orders, for now!\Boo!\Hey, it's not bad.\I'm not cut out for this, after all.\It's fine.\Everyone's is different.\Hey!\What are you doing? response:	You have to be kidding me...
context: Boo!\Hey, it's not bad.\I'm not cut out for this, after all.\It's fine.\Everyone's is different.\Hey!\What are you doing?\You have to be kidding me... response:	MESS-chan!
context: Hey, it's not bad.\I'm not cut out for this, after all.\It's fine.\Everyone's is different.\Hey!\What are you doing?\You have to be kidding me...\MESS-chan! response:	Good morning!
context: I'm not cut out for this, after all.\It's fine.\Everyone's is different.\Hey!\What are you doing?\You have to be kidding me...\MESS-chan!\Good morning! response:	Nice to meet you!
context: It's fine.\Everyone's is different.\Hey!\What are you doing?\You have to be kidding me...\MESS-chan!\Good morning!\Nice to meet you! response:	I think we've now met!
context: Everyone's is different.\Hey!\What are you doing?\You have to be kidding me...\MESS-chan!\Good morning!\Nice to meet you!\I think we've now met! response:	Hey, it's not safe.
context: Hey!\What are you doing?\You have to be kidding me...\MESS-chan!\Good morning!\Nice to meet you!\I think we've now met!\Hey, it's not safe. response:	Stop.
context: What are you doing?\You have to be kidding me...\MESS-chan!\Good morning!\Nice to meet you!\I think we've now met!\Hey, it's not safe.\Stop. response:	You...
context: You have to be kidding me...\MESS-chan!\Good morning!\Nice to meet you!\I think we've now met!\Hey, it's not safe.\Stop.\You... response:	Senpai, aren't there times when you find yourself taking
context: MESS-chan!\Good morning!\Nice to meet you!\I think we've now met!\Hey, it's not safe.\Stop.\You...\Senpai, aren't there times when you find yourself taking response:	action without even thinking about it?
context: Good morning!\Nice to meet you!\I think we've now met!\Hey, it's not safe.\Stop.\You...\Senpai, aren't there times when you find yourself taking\action without even thinking about it? response:	I think you've taught me...
context: Nice to meet you!\I think we've now met!\Hey, it's not safe.\Stop.\You...\Senpai, aren't there times when you find yourself taking\action without even thinking about it?\I think you've taught me... response:	Hey!
context: I think we've now met!\Hey, it's not safe.\Stop.\You...\Senpai, aren't there times when you find yourself taking\action without even thinking about it?\I think you've taught me...\Hey! response:	The time is now!
context: Hey, it's not safe.\Stop.\You...\Senpai, aren't there times when you find yourself taking\action without even thinking about it?\I think you've taught me...\Hey!\The time is now! response:	That's what heroes do!
context: Stop.\You...\Senpai, aren't there times when you find yourself taking\action without even thinking about it?\I think you've taught me...\Hey!\The time is now!\That's what heroes do! response:	We don't need your prophecies anymore.
context: You...\Senpai, aren't there times when you find yourself taking\action without even thinking about it?\I think you've taught me...\Hey!\The time is now!\That's what heroes do!\We don't need your prophecies anymore. response:	This is our planet.
context: Senpai, aren't there times when you find yourself taking\action without even thinking about it?\I think you've taught me...\Hey!\The time is now!\That's what heroes do!\We don't need your prophecies anymore.\This is our planet. response:	So, we'll do as we wish.
context: action without even thinking about it?\I think you've taught me...\Hey!\The time is now!\That's what heroes do!\We don't need your prophecies anymore.\This is our planet.\So, we'll do as we wish. response:	That is all I have to say.
context: I think you've taught me...\Hey!\The time is now!\That's what heroes do!\We don't need your prophecies anymore.\This is our planet.\So, we'll do as we wish.\That is all I have to say. response:	that belongs only to you.
context: Hey!\The time is now!\That's what heroes do!\We don't need your prophecies anymore.\This is our planet.\So, we'll do as we wish.\That is all I have to say.\that belongs only to you. response:	Reveal your names!
context: The time is now!\That's what heroes do!\We don't need your prophecies anymore.\This is our planet.\So, we'll do as we wish.\That is all I have to say.\that belongs only to you.\Reveal your names! response:	If you will not, then listen!
context: That's what heroes do!\We don't need your prophecies anymore.\This is our planet.\So, we'll do as we wish.\That is all I have to say.\that belongs only to you.\Reveal your names!\If you will not, then listen! response:	We are...
context: We don't need your prophecies anymore.\This is our planet.\So, we'll do as we wish.\That is all I have to say.\that belongs only to you.\Reveal your names!\If you will not, then listen!\We are... response:	the wings that protect this planet!
context: This is our planet.\So, we'll do as we wish.\That is all I have to say.\that belongs only to you.\Reveal your names!\If you will not, then listen!\We are...\the wings that protect this planet! response:	We're the Gatchaman!
context: So, we'll do as we wish.\That is all I have to say.\that belongs only to you.\Reveal your names!\If you will not, then listen!\We are...\the wings that protect this planet!\We're the Gatchaman! response:	I wasn't the only one who had that insight.
context: That is all I have to say.\that belongs only to you.\Reveal your names!\If you will not, then listen!\We are...\the wings that protect this planet!\We're the Gatchaman!\I wasn't the only one who had that insight. response:	I think everyone did.
context: that belongs only to you.\Reveal your names!\If you will not, then listen!\We are...\the wings that protect this planet!\We're the Gatchaman!\I wasn't the only one who had that insight.\I think everyone did. response:	That's why we
context: Reveal your names!\If you will not, then listen!\We are...\the wings that protect this planet!\We're the Gatchaman!\I wasn't the only one who had that insight.\I think everyone did.\That's why we response:	could take flight from the cramped bird cage.
context: If you will not, then listen!\We are...\the wings that protect this planet!\We're the Gatchaman!\I wasn't the only one who had that insight.\I think everyone did.\That's why we\could take flight from the cramped bird cage. response:	All right!
context: We are...\the wings that protect this planet!\We're the Gatchaman!\I wasn't the only one who had that insight.\I think everyone did.\That's why we\could take flight from the cramped bird cage.\All right! response:	Let's all work together to protect Tachikawa.
context: the wings that protect this planet!\We're the Gatchaman!\I wasn't the only one who had that insight.\I think everyone did.\That's why we\could take flight from the cramped bird cage.\All right!\Let's all work together to protect Tachikawa. response:	Three, two...
context: We're the Gatchaman!\I wasn't the only one who had that insight.\I think everyone did.\That's why we\could take flight from the cramped bird cage.\All right!\Let's all work together to protect Tachikawa.\Three, two... response:	Gatcha!
context: I wasn't the only one who had that insight.\I think everyone did.\That's why we\could take flight from the cramped bird cage.\All right!\Let's all work together to protect Tachikawa.\Three, two...\Gatcha! response:	Can you see me?
context: I think everyone did.\That's why we\could take flight from the cramped bird cage.\All right!\Let's all work together to protect Tachikawa.\Three, two...\Gatcha!\Can you see me? response:	Rui...?
context: That's why we\could take flight from the cramped bird cage.\All right!\Let's all work together to protect Tachikawa.\Three, two...\Gatcha!\Can you see me?\Rui...? response:	Rui-kun?
context: could take flight from the cramped bird cage.\All right!\Let's all work together to protect Tachikawa.\Three, two...\Gatcha!\Can you see me?\Rui...?\Rui-kun? response:	Hmm? X, my friend?
context: All right!\Let's all work together to protect Tachikawa.\Three, two...\Gatcha!\Can you see me?\Rui...?\Rui-kun?\Hmm? X, my friend? response:	Oh, well.
context: Let's all work together to protect Tachikawa.\Three, two...\Gatcha!\Can you see me?\Rui...?\Rui-kun?\Hmm? X, my friend?\Oh, well. response:	I don't need any friends.
context: Three, two...\Gatcha!\Can you see me?\Rui...?\Rui-kun?\Hmm? X, my friend?\Oh, well.\I don't need any friends. response:	As long as I have this NOTE, I'm invincible!
context: Gatcha!\Can you see me?\Rui...?\Rui-kun?\Hmm? X, my friend?\Oh, well.\I don't need any friends.\As long as I have this NOTE, I'm invincible! response:	Tachikawa Live Updates Thread
context: Can you see me?\Rui...?\Rui-kun?\Hmm? X, my friend?\Oh, well.\I don't need any friends.\As long as I have this NOTE, I'm invincible!\Tachikawa Live Updates Thread response:	But I want to know if I'm truly invincible.
context: Rui...?\Rui-kun?\Hmm? X, my friend?\Oh, well.\I don't need any friends.\As long as I have this NOTE, I'm invincible!\Tachikawa Live Updates Thread\But I want to know if I'm truly invincible. response:	Tachikawa Live Updates Thread
context: Rui-kun?\Hmm? X, my friend?\Oh, well.\I don't need any friends.\As long as I have this NOTE, I'm invincible!\Tachikawa Live Updates Thread\But I want to know if I'm truly invincible.\Tachikawa Live Updates Thread response:	Tachikawa Live Updates Thread
context: Hmm? X, my friend?\Oh, well.\I don't need any friends.\As long as I have this NOTE, I'm invincible!\Tachikawa Live Updates Thread\But I want to know if I'm truly invincible.\Tachikawa Live Updates Thread\Tachikawa Live Updates Thread response:	And the truth is...
context: Oh, well.\I don't need any friends.\As long as I have this NOTE, I'm invincible!\Tachikawa Live Updates Thread\But I want to know if I'm truly invincible.\Tachikawa Live Updates Thread\Tachikawa Live Updates Thread\And the truth is... response:	It's show time!
context: I don't need any friends.\As long as I have this NOTE, I'm invincible!\Tachikawa Live Updates Thread\But I want to know if I'm truly invincible.\Tachikawa Live Updates Thread\Tachikawa Live Updates Thread\And the truth is...\It's show time! response:	Are you watching this city?!
context: As long as I have this NOTE, I'm invincible!\Tachikawa Live Updates Thread\But I want to know if I'm truly invincible.\Tachikawa Live Updates Thread\Tachikawa Live Updates Thread\And the truth is...\It's show time!\Are you watching this city?! response:	This wasn't what we were trying to do, is it?
context: Tachikawa Live Updates Thread\But I want to know if I'm truly invincible.\Tachikawa Live Updates Thread\Tachikawa Live Updates Thread\And the truth is...\It's show time!\Are you watching this city?!\This wasn't what we were trying to do, is it? response:	I don't want to see any more bloodshed!
context: But I want to know if I'm truly invincible.\Tachikawa Live Updates Thread\Tachikawa Live Updates Thread\And the truth is...\It's show time!\Are you watching this city?!\This wasn't what we were trying to do, is it?\I don't want to see any more bloodshed! response:	Answer me!
context: Tachikawa Live Updates Thread\Tachikawa Live Updates Thread\And the truth is...\It's show time!\Are you watching this city?!\This wasn't what we were trying to do, is it?\I don't want to see any more bloodshed!\Answer me! response:	Rui?
context: Tachikawa Live Updates Thread\And the truth is...\It's show time!\Are you watching this city?!\This wasn't what we were trying to do, is it?\I don't want to see any more bloodshed!\Answer me!\Rui? response:	Rui,
context: And the truth is...\It's show time!\Are you watching this city?!\This wasn't what we were trying to do, is it?\I don't want to see any more bloodshed!\Answer me!\Rui?\Rui, response:	did you see the sunset yesterday?
context: It's show time!\Are you watching this city?!\This wasn't what we were trying to do, is it?\I don't want to see any more bloodshed!\Answer me!\Rui?\Rui,\did you see the sunset yesterday? response:	I did.
context: Are you watching this city?!\This wasn't what we were trying to do, is it?\I don't want to see any more bloodshed!\Answer me!\Rui?\Rui,\did you see the sunset yesterday?\I did. response:	It was beautiful.
context: This wasn't what we were trying to do, is it?\I don't want to see any more bloodshed!\Answer me!\Rui?\Rui,\did you see the sunset yesterday?\I did.\It was beautiful. response:	I thought so, too.
context: I don't want to see any more bloodshed!\Answer me!\Rui?\Rui,\did you see the sunset yesterday?\I did.\It was beautiful.\I thought so, too. response:	How joyous...
context: Answer me!\Rui?\Rui,\did you see the sunset yesterday?\I did.\It was beautiful.\I thought so, too.\How joyous... response:	What's up, Rui-kun?
context: Rui?\Rui,\did you see the sunset yesterday?\I did.\It was beautiful.\I thought so, too.\How joyous...\What's up, Rui-kun? response:	Hajime-chan, my friend came back.
context: Rui,\did you see the sunset yesterday?\I did.\It was beautiful.\I thought so, too.\How joyous...\What's up, Rui-kun?\Hajime-chan, my friend came back. response:	Great!
context: did you see the sunset yesterday?\I did.\It was beautiful.\I thought so, too.\How joyous...\What's up, Rui-kun?\Hajime-chan, my friend came back.\Great! response:	Let's connect the Tachikawa team with everyone through GALAX, then!
context: I did.\It was beautiful.\I thought so, too.\How joyous...\What's up, Rui-kun?\Hajime-chan, my friend came back.\Great!\Let's connect the Tachikawa team with everyone through GALAX, then! response:	Hey, everyone. X came back!
context: It was beautiful.\I thought so, too.\How joyous...\What's up, Rui-kun?\Hajime-chan, my friend came back.\Great!\Let's connect the Tachikawa team with everyone through GALAX, then!\Hey, everyone. X came back! response:	Please look to GALAX to figure out your next course of action!
context: I thought so, too.\How joyous...\What's up, Rui-kun?\Hajime-chan, my friend came back.\Great!\Let's connect the Tachikawa team with everyone through GALAX, then!\Hey, everyone. X came back!\Please look to GALAX to figure out your next course of action! response:	Understood!
context: How joyous...\What's up, Rui-kun?\Hajime-chan, my friend came back.\Great!\Let's connect the Tachikawa team with everyone through GALAX, then!\Hey, everyone. X came back!\Please look to GALAX to figure out your next course of action!\Understood! response:	I've got this!
context: What's up, Rui-kun?\Hajime-chan, my friend came back.\Great!\Let's connect the Tachikawa team with everyone through GALAX, then!\Hey, everyone. X came back!\Please look to GALAX to figure out your next course of action!\Understood!\I've got this! response:	Phoenix Dive!
context: Hajime-chan, my friend came back.\Great!\Let's connect the Tachikawa team with everyone through GALAX, then!\Hey, everyone. X came back!\Please look to GALAX to figure out your next course of action!\Understood!\I've got this!\Phoenix Dive! response:	Rending Gale Blade!
context: Great!\Let's connect the Tachikawa team with everyone through GALAX, then!\Hey, everyone. X came back!\Please look to GALAX to figure out your next course of action!\Understood!\I've got this!\Phoenix Dive!\Rending Gale Blade! response:	Sugane, isn't this nostalgic?
context: Let's connect the Tachikawa team with everyone through GALAX, then!\Hey, everyone. X came back!\Please look to GALAX to figure out your next course of action!\Understood!\I've got this!\Phoenix Dive!\Rending Gale Blade!\Sugane, isn't this nostalgic? response:	Yes!
context: Hey, everyone. X came back!\Please look to GALAX to figure out your next course of action!\Understood!\I've got this!\Phoenix Dive!\Rending Gale Blade!\Sugane, isn't this nostalgic?\Yes! response:	X, what's the GALAX penetration rate among Tachikawa citizens?
context: Please look to GALAX to figure out your next course of action!\Understood!\I've got this!\Phoenix Dive!\Rending Gale Blade!\Sugane, isn't this nostalgic?\Yes!\X, what's the GALAX penetration rate among Tachikawa citizens? response:	Approximately sixty percent.
context: Understood!\I've got this!\Phoenix Dive!\Rending Gale Blade!\Sugane, isn't this nostalgic?\Yes!\X, what's the GALAX penetration rate among Tachikawa citizens?\Approximately sixty percent. response:	108,234 out of 180,000 are registered users.
context: I've got this!\Phoenix Dive!\Rending Gale Blade!\Sugane, isn't this nostalgic?\Yes!\X, what's the GALAX penetration rate among Tachikawa citizens?\Approximately sixty percent.\108,234 out of 180,000 are registered users. response:	That's less than I expected.
context: Phoenix Dive!\Rending Gale Blade!\Sugane, isn't this nostalgic?\Yes!\X, what's the GALAX penetration rate among Tachikawa citizens?\Approximately sixty percent.\108,234 out of 180,000 are registered users.\That's less than I expected. response:	Huh?
context: Rending Gale Blade!\Sugane, isn't this nostalgic?\Yes!\X, what's the GALAX penetration rate among Tachikawa citizens?\Approximately sixty percent.\108,234 out of 180,000 are registered users.\That's less than I expected.\Huh? response:	The Gatchannel?
context: Sugane, isn't this nostalgic?\Yes!\X, what's the GALAX penetration rate among Tachikawa citizens?\Approximately sixty percent.\108,234 out of 180,000 are registered users.\That's less than I expected.\Huh?\The Gatchannel? response:	Yeah, I want you to tell the people something as their Prime Minister.
context: Yes!\X, what's the GALAX penetration rate among Tachikawa citizens?\Approximately sixty percent.\108,234 out of 180,000 are registered users.\That's less than I expected.\Huh?\The Gatchannel?\Yeah, I want you to tell the people something as their Prime Minister. response:	Oh, no way.
context: X, what's the GALAX penetration rate among Tachikawa citizens?\Approximately sixty percent.\108,234 out of 180,000 are registered users.\That's less than I expected.\Huh?\The Gatchannel?\Yeah, I want you to tell the people something as their Prime Minister.\Oh, no way. response:	No one will listen to me.
context: Approximately sixty percent.\108,234 out of 180,000 are registered users.\That's less than I expected.\Huh?\The Gatchannel?\Yeah, I want you to tell the people something as their Prime Minister.\Oh, no way.\No one will listen to me. response:	They all look down on the Prime Minister, anyway.
context: 108,234 out of 180,000 are registered users.\That's less than I expected.\Huh?\The Gatchannel?\Yeah, I want you to tell the people something as their Prime Minister.\Oh, no way.\No one will listen to me.\They all look down on the Prime Minister, anyway. response:	Then why don't you quit being one?
context: That's less than I expected.\Huh?\The Gatchannel?\Yeah, I want you to tell the people something as their Prime Minister.\Oh, no way.\No one will listen to me.\They all look down on the Prime Minister, anyway.\Then why don't you quit being one? response:	Huh?
context: Huh?\The Gatchannel?\Yeah, I want you to tell the people something as their Prime Minister.\Oh, no way.\No one will listen to me.\They all look down on the Prime Minister, anyway.\Then why don't you quit being one?\Huh? response:	Try to imagine that you've resigned, in your heart.
context: The Gatchannel?\Yeah, I want you to tell the people something as their Prime Minister.\Oh, no way.\No one will listen to me.\They all look down on the Prime Minister, anyway.\Then why don't you quit being one?\Huh?\Try to imagine that you've resigned, in your heart. response:	I'm sure you'll feel a lot better!
context: Yeah, I want you to tell the people something as their Prime Minister.\Oh, no way.\No one will listen to me.\They all look down on the Prime Minister, anyway.\Then why don't you quit being one?\Huh?\Try to imagine that you've resigned, in your heart.\I'm sure you'll feel a lot better! response:	Oh, by the way, the show's already on.
context: Oh, no way.\No one will listen to me.\They all look down on the Prime Minister, anyway.\Then why don't you quit being one?\Huh?\Try to imagine that you've resigned, in your heart.\I'm sure you'll feel a lot better!\Oh, by the way, the show's already on. response:	Huh? You're kidding.
context: No one will listen to me.\They all look down on the Prime Minister, anyway.\Then why don't you quit being one?\Huh?\Try to imagine that you've resigned, in your heart.\I'm sure you'll feel a lot better!\Oh, by the way, the show's already on.\Huh? You're kidding. response:	Please Wait
context: They all look down on the Prime Minister, anyway.\Then why don't you quit being one?\Huh?\Try to imagine that you've resigned, in your heart.\I'm sure you'll feel a lot better!\Oh, by the way, the show's already on.\Huh? You're kidding.\Please Wait response:	I wrote everything down here.
context: Then why don't you quit being one?\Huh?\Try to imagine that you've resigned, in your heart.\I'm sure you'll feel a lot better!\Oh, by the way, the show's already on.\Huh? You're kidding.\Please Wait\I wrote everything down here. response:	I'm counting on you, Suga-yan!
context: Huh?\Try to imagine that you've resigned, in your heart.\I'm sure you'll feel a lot better!\Oh, by the way, the show's already on.\Huh? You're kidding.\Please Wait\I wrote everything down here.\I'm counting on you, Suga-yan! response:	Su...
context: Try to imagine that you've resigned, in your heart.\I'm sure you'll feel a lot better!\Oh, by the way, the show's already on.\Huh? You're kidding.\Please Wait\I wrote everything down here.\I'm counting on you, Suga-yan!\Su... response:	Suga-yan?!
context: I'm sure you'll feel a lot better!\Oh, by the way, the show's already on.\Huh? You're kidding.\Please Wait\I wrote everything down here.\I'm counting on you, Suga-yan!\Su...\Suga-yan?! response:	You want me to handle it, right?
context: Oh, by the way, the show's already on.\Huh? You're kidding.\Please Wait\I wrote everything down here.\I'm counting on you, Suga-yan!\Su...\Suga-yan?!\You want me to handle it, right? response:	You can count on me.
context: Huh? You're kidding.\Please Wait\I wrote everything down here.\I'm counting on you, Suga-yan!\Su...\Suga-yan?!\You want me to handle it, right?\You can count on me. response:	X is back!
context: Please Wait\I wrote everything down here.\I'm counting on you, Suga-yan!\Su...\Suga-yan?!\You want me to handle it, right?\You can count on me.\X is back! response:	X, we need intel on the injured and the disaster!
context: I wrote everything down here.\I'm counting on you, Suga-yan!\Su...\Suga-yan?!\You want me to handle it, right?\You can count on me.\X is back!\X, we need intel on the injured and the disaster! response:	Understood.
context: I'm counting on you, Suga-yan!\Su...\Suga-yan?!\You want me to handle it, right?\You can count on me.\X is back!\X, we need intel on the injured and the disaster!\Understood. response:	Injured people requesting assistance are marked by a human icon.
context: Su...\Suga-yan?!\You want me to handle it, right?\You can count on me.\X is back!\X, we need intel on the injured and the disaster!\Understood.\Injured people requesting assistance are marked by a human icon. response:	Fires are marked by a flame icon.
context: Suga-yan?!\You want me to handle it, right?\You can count on me.\X is back!\X, we need intel on the injured and the disaster!\Understood.\Injured people requesting assistance are marked by a human icon.\Fires are marked by a flame icon. response:	Okay.
context: You want me to handle it, right?\You can count on me.\X is back!\X, we need intel on the injured and the disaster!\Understood.\Injured people requesting assistance are marked by a human icon.\Fires are marked by a flame icon.\Okay. response:	Uh, I'm Sugayama.
context: You can count on me.\X is back!\X, we need intel on the injured and the disaster!\Understood.\Injured people requesting assistance are marked by a human icon.\Fires are marked by a flame icon.\Okay.\Uh, I'm Sugayama. response:	Gatcha...
context: X is back!\X, we need intel on the injured and the disaster!\Understood.\Injured people requesting assistance are marked by a human icon.\Fires are marked by a flame icon.\Okay.\Uh, I'm Sugayama.\Gatcha... response:	Uh... So Tachikawa citizens...
context: X, we need intel on the injured and the disaster!\Understood.\Injured people requesting assistance are marked by a human icon.\Fires are marked by a flame icon.\Okay.\Uh, I'm Sugayama.\Gatcha...\Uh... So Tachikawa citizens... response:	Please register on GALAX as soon as possible.
context: Understood.\Injured people requesting assistance are marked by a human icon.\Fires are marked by a flame icon.\Okay.\Uh, I'm Sugayama.\Gatcha...\Uh... So Tachikawa citizens...\Please register on GALAX as soon as possible. response:	Use GALAX to figure out what you can do... Huh?
context: Injured people requesting assistance are marked by a human icon.\Fires are marked by a flame icon.\Okay.\Uh, I'm Sugayama.\Gatcha...\Uh... So Tachikawa citizens...\Please register on GALAX as soon as possible.\Use GALAX to figure out what you can do... Huh? response:	What's this?
context: Fires are marked by a flame icon.\Okay.\Uh, I'm Sugayama.\Gatcha...\Uh... So Tachikawa citizens...\Please register on GALAX as soon as possible.\Use GALAX to figure out what you can do... Huh?\What's this? response:	Lame-o Prime Minister
