context: Natsu, why are you here? response:	Don't go scarin' me like that.
context: You're speaking too fast!\I will now explain what Hikaru just said.\I feel that way myself.\And now I will decipher what Rustyrose said.\Desire is to want, and shard means heart.\Meldy, can you fight?\I will fight.\Interesting... This is quite interesting! response:	Fairy Tail! They do not yet know true darkness.
context: I will now explain what Hikaru just said.\I feel that way myself.\And now I will decipher what Rustyrose said.\Desire is to want, and shard means heart.\Meldy, can you fight?\I will fight.\Interesting... This is quite interesting!\Fairy Tail! They do not yet know true darkness. response:	The ultimate darkness that lies in the deepest depths...
context: I feel that way myself.\And now I will decipher what Rustyrose said.\Desire is to want, and shard means heart.\Meldy, can you fight?\I will fight.\Interesting... This is quite interesting!\Fairy Tail! They do not yet know true darkness.\The ultimate darkness that lies in the deepest depths... response:	Grimoire Heart! The name itself means the heart of a devil.
context: And now I will decipher what Rustyrose said.\Desire is to want, and shard means heart.\Meldy, can you fight?\I will fight.\Interesting... This is quite interesting!\Fairy Tail! They do not yet know true darkness.\The ultimate darkness that lies in the deepest depths...\Grimoire Heart! The name itself means the heart of a devil. response:	Tonight we Devils will have sport with the Fairies.
context: Desire is to want, and shard means heart.\Meldy, can you fight?\I will fight.\Interesting... This is quite interesting!\Fairy Tail! They do not yet know true darkness.\The ultimate darkness that lies in the deepest depths...\Grimoire Heart! The name itself means the heart of a devil.\Tonight we Devils will have sport with the Fairies. response:	Will we devour them proudly, or be pound into dust?
context: Meldy, can you fight?\I will fight.\Interesting... This is quite interesting!\Fairy Tail! They do not yet know true darkness.\The ultimate darkness that lies in the deepest depths...\Grimoire Heart! The name itself means the heart of a devil.\Tonight we Devils will have sport with the Fairies.\Will we devour them proudly, or be pound into dust? response:	The battle is on, Fairy Tail!
context: I will fight.\Interesting... This is quite interesting!\Fairy Tail! They do not yet know true darkness.\The ultimate darkness that lies in the deepest depths...\Grimoire Heart! The name itself means the heart of a devil.\Tonight we Devils will have sport with the Fairies.\Will we devour them proudly, or be pound into dust?\The battle is on, Fairy Tail! response:	The grave of Fairy Tail's founding master, Mavis...
context: Interesting... This is quite interesting!\Fairy Tail! They do not yet know true darkness.\The ultimate darkness that lies in the deepest depths...\Grimoire Heart! The name itself means the heart of a devil.\Tonight we Devils will have sport with the Fairies.\Will we devour them proudly, or be pound into dust?\The battle is on, Fairy Tail!\The grave of Fairy Tail's founding master, Mavis... response:	Got anything?
context: Fairy Tail! They do not yet know true darkness.\The ultimate darkness that lies in the deepest depths...\Grimoire Heart! The name itself means the heart of a devil.\Tonight we Devils will have sport with the Fairies.\Will we devour them proudly, or be pound into dust?\The battle is on, Fairy Tail!\The grave of Fairy Tail's founding master, Mavis...\Got anything? response:	It's no use... Searching for a grave without even a hint! I haven't got a clue.
context: The ultimate darkness that lies in the deepest depths...\Grimoire Heart! The name itself means the heart of a devil.\Tonight we Devils will have sport with the Fairies.\Will we devour them proudly, or be pound into dust?\The battle is on, Fairy Tail!\The grave of Fairy Tail's founding master, Mavis...\Got anything?\It's no use... Searching for a grave without even a hint! I haven't got a clue. response:	That's the big problem, yeah...
context: Grimoire Heart! The name itself means the heart of a devil.\Tonight we Devils will have sport with the Fairies.\Will we devour them proudly, or be pound into dust?\The battle is on, Fairy Tail!\The grave of Fairy Tail's founding master, Mavis...\Got anything?\It's no use... Searching for a grave without even a hint! I haven't got a clue.\That's the big problem, yeah... response:	Are there really no hints?
context: Tonight we Devils will have sport with the Fairies.\Will we devour them proudly, or be pound into dust?\The battle is on, Fairy Tail!\The grave of Fairy Tail's founding master, Mavis...\Got anything?\It's no use... Searching for a grave without even a hint! I haven't got a clue.\That's the big problem, yeah...\Are there really no hints? response:	I've participated in the exam 4 times in the past, so I've got a feeling...
context: Will we devour them proudly, or be pound into dust?\The battle is on, Fairy Tail!\The grave of Fairy Tail's founding master, Mavis...\Got anything?\It's no use... Searching for a grave without even a hint! I haven't got a clue.\That's the big problem, yeah...\Are there really no hints?\I've participated in the exam 4 times in the past, so I've got a feeling... response:	I don't think there's ever been an exam that was unreasonable.
context: The battle is on, Fairy Tail!\The grave of Fairy Tail's founding master, Mavis...\Got anything?\It's no use... Searching for a grave without even a hint! I haven't got a clue.\That's the big problem, yeah...\Are there really no hints?\I've participated in the exam 4 times in the past, so I've got a feeling...\I don't think there's ever been an exam that was unreasonable. response:	I'm sure there has to be a hint hidden somewhere.
context: The grave of Fairy Tail's founding master, Mavis...\Got anything?\It's no use... Searching for a grave without even a hint! I haven't got a clue.\That's the big problem, yeah...\Are there really no hints?\I've participated in the exam 4 times in the past, so I've got a feeling...\I don't think there's ever been an exam that was unreasonable.\I'm sure there has to be a hint hidden somewhere. response:	I see. So the second test is about brain power.
context: Got anything?\It's no use... Searching for a grave without even a hint! I haven't got a clue.\That's the big problem, yeah...\Are there really no hints?\I've participated in the exam 4 times in the past, so I've got a feeling...\I don't think there's ever been an exam that was unreasonable.\I'm sure there has to be a hint hidden somewhere.\I see. So the second test is about brain power. response:	Brain power, huh? Thinking of it that way, maybe the words themselves could hold a clue.
context: It's no use... Searching for a grave without even a hint! I haven't got a clue.\That's the big problem, yeah...\Are there really no hints?\I've participated in the exam 4 times in the past, so I've got a feeling...\I don't think there's ever been an exam that was unreasonable.\I'm sure there has to be a hint hidden somewhere.\I see. So the second test is about brain power.\Brain power, huh? Thinking of it that way, maybe the words themselves could hold a clue. response:	The words?
context: That's the big problem, yeah...\Are there really no hints?\I've participated in the exam 4 times in the past, so I've got a feeling...\I don't think there's ever been an exam that was unreasonable.\I'm sure there has to be a hint hidden somewhere.\I see. So the second test is about brain power.\Brain power, huh? Thinking of it that way, maybe the words themselves could hold a clue.\The words? response:	Yeah. Like for example...
context: Are there really no hints?\I've participated in the exam 4 times in the past, so I've got a feeling...\I don't think there's ever been an exam that was unreasonable.\I'm sure there has to be a hint hidden somewhere.\I see. So the second test is about brain power.\Brain power, huh? Thinking of it that way, maybe the words themselves could hold a clue.\The words?\Yeah. Like for example... response:	Grave!
context: I've participated in the exam 4 times in the past, so I've got a feeling...\I don't think there's ever been an exam that was unreasonable.\I'm sure there has to be a hint hidden somewhere.\I see. So the second test is about brain power.\Brain power, huh? Thinking of it that way, maybe the words themselves could hold a clue.\The words?\Yeah. Like for example...\Grave! response:	We think that it's got to be a place, right?
context: I don't think there's ever been an exam that was unreasonable.\I'm sure there has to be a hint hidden somewhere.\I see. So the second test is about brain power.\Brain power, huh? Thinking of it that way, maybe the words themselves could hold a clue.\The words?\Yeah. Like for example...\Grave!\We think that it's got to be a place, right? response:	But it could be interpreted as the final stop of life.
context: I'm sure there has to be a hint hidden somewhere.\I see. So the second test is about brain power.\Brain power, huh? Thinking of it that way, maybe the words themselves could hold a clue.\The words?\Yeah. Like for example...\Grave!\We think that it's got to be a place, right?\But it could be interpreted as the final stop of life. response:	That's so negative of you.
context: I see. So the second test is about brain power.\Brain power, huh? Thinking of it that way, maybe the words themselves could hold a clue.\The words?\Yeah. Like for example...\Grave!\We think that it's got to be a place, right?\But it could be interpreted as the final stop of life.\That's so negative of you. response:	Grave... Grave...
context: Brain power, huh? Thinking of it that way, maybe the words themselves could hold a clue.\The words?\Yeah. Like for example...\Grave!\We think that it's got to be a place, right?\But it could be interpreted as the final stop of life.\That's so negative of you.\Grave... Grave... response:	A keyword?
context: The words?\Yeah. Like for example...\Grave!\We think that it's got to be a place, right?\But it could be interpreted as the final stop of life.\That's so negative of you.\Grave... Grave...\A keyword? response:	Maybe it's a sentence?
context: Yeah. Like for example...\Grave!\We think that it's got to be a place, right?\But it could be interpreted as the final stop of life.\That's so negative of you.\Grave... Grave...\A keyword?\Maybe it's a sentence? response:	Did I just hear something? Maybe it's my imagination.
context: Grave!\We think that it's got to be a place, right?\But it could be interpreted as the final stop of life.\That's so negative of you.\Grave... Grave...\A keyword?\Maybe it's a sentence?\Did I just hear something? Maybe it's my imagination. response:	I'll make this place your grave!, etc...
context: We think that it's got to be a place, right?\But it could be interpreted as the final stop of life.\That's so negative of you.\Grave... Grave...\A keyword?\Maybe it's a sentence?\Did I just hear something? Maybe it's my imagination.\I'll make this place your grave!, etc... response:	Marriage is the grave of one's life.
context: But it could be interpreted as the final stop of life.\That's so negative of you.\Grave... Grave...\A keyword?\Maybe it's a sentence?\Did I just hear something? Maybe it's my imagination.\I'll make this place your grave!, etc...\Marriage is the grave of one's life. response:	God, you're negative.
context: That's so negative of you.\Grave... Grave...\A keyword?\Maybe it's a sentence?\Did I just hear something? Maybe it's my imagination.\I'll make this place your grave!, etc...\Marriage is the grave of one's life.\God, you're negative. response:	There's got to be something more Lucy-like you can think of...
context: Grave... Grave...\A keyword?\Maybe it's a sentence?\Did I just hear something? Maybe it's my imagination.\I'll make this place your grave!, etc...\Marriage is the grave of one's life.\God, you're negative.\There's got to be something more Lucy-like you can think of... response:	Like Even if people die, they become stars!
context: A keyword?\Maybe it's a sentence?\Did I just hear something? Maybe it's my imagination.\I'll make this place your grave!, etc...\Marriage is the grave of one's life.\God, you're negative.\There's got to be something more Lucy-like you can think of...\Like Even if people die, they become stars! response:	Um... Is that the way people picture me?
context: Maybe it's a sentence?\Did I just hear something? Maybe it's my imagination.\I'll make this place your grave!, etc...\Marriage is the grave of one's life.\God, you're negative.\There's got to be something more Lucy-like you can think of...\Like Even if people die, they become stars!\Um... Is that the way people picture me? response:	Well, it might not be that far off, I suppose.
context: Did I just hear something? Maybe it's my imagination.\I'll make this place your grave!, etc...\Marriage is the grave of one's life.\God, you're negative.\There's got to be something more Lucy-like you can think of...\Like Even if people die, they become stars!\Um... Is that the way people picture me?\Well, it might not be that far off, I suppose. response:	Oh, I know...
context: I'll make this place your grave!, etc...\Marriage is the grave of one's life.\God, you're negative.\There's got to be something more Lucy-like you can think of...\Like Even if people die, they become stars!\Um... Is that the way people picture me?\Well, it might not be that far off, I suppose.\Oh, I know... response:	That's it! I bet I know where the grave is!
context: Marriage is the grave of one's life.\God, you're negative.\There's got to be something more Lucy-like you can think of...\Like Even if people die, they become stars!\Um... Is that the way people picture me?\Well, it might not be that far off, I suppose.\Oh, I know...\That's it! I bet I know where the grave is! response:	What?
context: God, you're negative.\There's got to be something more Lucy-like you can think of...\Like Even if people die, they become stars!\Um... Is that the way people picture me?\Well, it might not be that far off, I suppose.\Oh, I know...\That's it! I bet I know where the grave is!\What? response:	Follow me!
context: There's got to be something more Lucy-like you can think of...\Like Even if people die, they become stars!\Um... Is that the way people picture me?\Well, it might not be that far off, I suppose.\Oh, I know...\That's it! I bet I know where the grave is!\What?\Follow me! response:	Ooh, impressive!
context: Like Even if people die, they become stars!\Um... Is that the way people picture me?\Well, it might not be that far off, I suppose.\Oh, I know...\That's it! I bet I know where the grave is!\What?\Follow me!\Ooh, impressive! response:	As expected from Lucy...
context: Um... Is that the way people picture me?\Well, it might not be that far off, I suppose.\Oh, I know...\That's it! I bet I know where the grave is!\What?\Follow me!\Ooh, impressive!\As expected from Lucy... response:	She's a lucky one.
context: Well, it might not be that far off, I suppose.\Oh, I know...\That's it! I bet I know where the grave is!\What?\Follow me!\Ooh, impressive!\As expected from Lucy...\She's a lucky one. response:	Hurry up! I bet Levy-chan will have solved this by now!
context: Oh, I know...\That's it! I bet I know where the grave is!\What?\Follow me!\Ooh, impressive!\As expected from Lucy...\She's a lucky one.\Hurry up! I bet Levy-chan will have solved this by now! response:	Just as you guessed, Gray.
context: That's it! I bet I know where the grave is!\What?\Follow me!\Ooh, impressive!\As expected from Lucy...\She's a lucky one.\Hurry up! I bet Levy-chan will have solved this by now!\Just as you guessed, Gray. response:	Sorry Lucy, but I think this second test is designed to test brain power and how much you want it.
context: What?\Follow me!\Ooh, impressive!\As expected from Lucy...\She's a lucky one.\Hurry up! I bet Levy-chan will have solved this by now!\Just as you guessed, Gray.\Sorry Lucy, but I think this second test is designed to test brain power and how much you want it. response:	Just like romance!
context: Follow me!\Ooh, impressive!\As expected from Lucy...\She's a lucky one.\Hurry up! I bet Levy-chan will have solved this by now!\Just as you guessed, Gray.\Sorry Lucy, but I think this second test is designed to test brain power and how much you want it.\Just like romance! response:	There you go! Let's follow them!
context: Ooh, impressive!\As expected from Lucy...\She's a lucky one.\Hurry up! I bet Levy-chan will have solved this by now!\Just as you guessed, Gray.\Sorry Lucy, but I think this second test is designed to test brain power and how much you want it.\Just like romance!\There you go! Let's follow them! response:	Okay!
context: As expected from Lucy...\She's a lucky one.\Hurry up! I bet Levy-chan will have solved this by now!\Just as you guessed, Gray.\Sorry Lucy, but I think this second test is designed to test brain power and how much you want it.\Just like romance!\There you go! Let's follow them!\Okay! response:	Honestly, I don't mind searching for them, but where did Wendy and Mest go?
context: She's a lucky one.\Hurry up! I bet Levy-chan will have solved this by now!\Just as you guessed, Gray.\Sorry Lucy, but I think this second test is designed to test brain power and how much you want it.\Just like romance!\There you go! Let's follow them!\Okay!\Honestly, I don't mind searching for them, but where did Wendy and Mest go? response:	Even though Juvia wanted to go cheer on Gray-sama...
context: Hurry up! I bet Levy-chan will have solved this by now!\Just as you guessed, Gray.\Sorry Lucy, but I think this second test is designed to test brain power and how much you want it.\Just like romance!\There you go! Let's follow them!\Okay!\Honestly, I don't mind searching for them, but where did Wendy and Mest go?\Even though Juvia wanted to go cheer on Gray-sama... response:	Somehow I have to go my separate ways with Erza...
context: Just as you guessed, Gray.\Sorry Lucy, but I think this second test is designed to test brain power and how much you want it.\Just like romance!\There you go! Let's follow them!\Okay!\Honestly, I don't mind searching for them, but where did Wendy and Mest go?\Even though Juvia wanted to go cheer on Gray-sama...\Somehow I have to go my separate ways with Erza... response:	And then...
context: Sorry Lucy, but I think this second test is designed to test brain power and how much you want it.\Just like romance!\There you go! Let's follow them!\Okay!\Honestly, I don't mind searching for them, but where did Wendy and Mest go?\Even though Juvia wanted to go cheer on Gray-sama...\Somehow I have to go my separate ways with Erza...\And then... response:	Unison Raid!
context: Just like romance!\There you go! Let's follow them!\Okay!\Honestly, I don't mind searching for them, but where did Wendy and Mest go?\Even though Juvia wanted to go cheer on Gray-sama...\Somehow I have to go my separate ways with Erza...\And then...\Unison Raid! response:	I was wrong. In the end, you're the only partner for me.
context: There you go! Let's follow them!\Okay!\Honestly, I don't mind searching for them, but where did Wendy and Mest go?\Even though Juvia wanted to go cheer on Gray-sama...\Somehow I have to go my separate ways with Erza...\And then...\Unison Raid!\I was wrong. In the end, you're the only partner for me. response:	By that I mean, become my life partner!
context: Okay!\Honestly, I don't mind searching for them, but where did Wendy and Mest go?\Even though Juvia wanted to go cheer on Gray-sama...\Somehow I have to go my separate ways with Erza...\And then...\Unison Raid!\I was wrong. In the end, you're the only partner for me.\By that I mean, become my life partner! response:	Yes, Gray-sama!
context: Honestly, I don't mind searching for them, but where did Wendy and Mest go?\Even though Juvia wanted to go cheer on Gray-sama...\Somehow I have to go my separate ways with Erza...\And then...\Unison Raid!\I was wrong. In the end, you're the only partner for me.\By that I mean, become my life partner!\Yes, Gray-sama! response:	How many children would you like?
context: Even though Juvia wanted to go cheer on Gray-sama...\Somehow I have to go my separate ways with Erza...\And then...\Unison Raid!\I was wrong. In the end, you're the only partner for me.\By that I mean, become my life partner!\Yes, Gray-sama!\How many children would you like? response:	Your face is all red, Juvia. Do you have a fever?
context: Somehow I have to go my separate ways with Erza...\And then...\Unison Raid!\I was wrong. In the end, you're the only partner for me.\By that I mean, become my life partner!\Yes, Gray-sama!\How many children would you like?\Your face is all red, Juvia. Do you have a fever? response:	No, all is fine!
context: And then...\Unison Raid!\I was wrong. In the end, you're the only partner for me.\By that I mean, become my life partner!\Yes, Gray-sama!\How many children would you like?\Your face is all red, Juvia. Do you have a fever?\No, all is fine! response:	I see.
context: Unison Raid!\I was wrong. In the end, you're the only partner for me.\By that I mean, become my life partner!\Yes, Gray-sama!\How many children would you like?\Your face is all red, Juvia. Do you have a fever?\No, all is fine!\I see. response:	Juvia can barely stand this!
context: I was wrong. In the end, you're the only partner for me.\By that I mean, become my life partner!\Yes, Gray-sama!\How many children would you like?\Your face is all red, Juvia. Do you have a fever?\No, all is fine!\I see.\Juvia can barely stand this! response:	Um, if you'd like, why don't we split up...
context: By that I mean, become my life partner!\Yes, Gray-sama!\How many children would you like?\Your face is all red, Juvia. Do you have a fever?\No, all is fine!\I see.\Juvia can barely stand this!\Um, if you'd like, why don't we split up... response:	What's wrong? If you stay that far back, we'll get separated ourselves.
context: Yes, Gray-sama!\How many children would you like?\Your face is all red, Juvia. Do you have a fever?\No, all is fine!\I see.\Juvia can barely stand this!\Um, if you'd like, why don't we split up...\What's wrong? If you stay that far back, we'll get separated ourselves. response:	Is it that you're frightened of me?
context: How many children would you like?\Your face is all red, Juvia. Do you have a fever?\No, all is fine!\I see.\Juvia can barely stand this!\Um, if you'd like, why don't we split up...\What's wrong? If you stay that far back, we'll get separated ourselves.\Is it that you're frightened of me? response:	I apologize about before.
context: Your face is all red, Juvia. Do you have a fever?\No, all is fine!\I see.\Juvia can barely stand this!\Um, if you'd like, why don't we split up...\What's wrong? If you stay that far back, we'll get separated ourselves.\Is it that you're frightened of me?\I apologize about before. response:	Before?
context: No, all is fine!\I see.\Juvia can barely stand this!\Um, if you'd like, why don't we split up...\What's wrong? If you stay that far back, we'll get separated ourselves.\Is it that you're frightened of me?\I apologize about before.\Before? response:	The time we fought during the first test.
context: I see.\Juvia can barely stand this!\Um, if you'd like, why don't we split up...\What's wrong? If you stay that far back, we'll get separated ourselves.\Is it that you're frightened of me?\I apologize about before.\Before?\The time we fought during the first test. response:	Maybe I should have held back a little.
context: Juvia can barely stand this!\Um, if you'd like, why don't we split up...\What's wrong? If you stay that far back, we'll get separated ourselves.\Is it that you're frightened of me?\I apologize about before.\Before?\The time we fought during the first test.\Maybe I should have held back a little. response:	But being S Class isn't something to take lightly.
context: Um, if you'd like, why don't we split up...\What's wrong? If you stay that far back, we'll get separated ourselves.\Is it that you're frightened of me?\I apologize about before.\Before?\The time we fought during the first test.\Maybe I should have held back a little.\But being S Class isn't something to take lightly. response:	I passed this exam a number of years ago, and it was a tough and difficult road.
context: What's wrong? If you stay that far back, we'll get separated ourselves.\Is it that you're frightened of me?\I apologize about before.\Before?\The time we fought during the first test.\Maybe I should have held back a little.\But being S Class isn't something to take lightly.\I passed this exam a number of years ago, and it was a tough and difficult road. response:	It was really something.
context: Is it that you're frightened of me?\I apologize about before.\Before?\The time we fought during the first test.\Maybe I should have held back a little.\But being S Class isn't something to take lightly.\I passed this exam a number of years ago, and it was a tough and difficult road.\It was really something. response:	And once you become S Class it's not all fun and games. You have responsibilities, too!
context: I apologize about before.\Before?\The time we fought during the first test.\Maybe I should have held back a little.\But being S Class isn't something to take lightly.\I passed this exam a number of years ago, and it was a tough and difficult road.\It was really something.\And once you become S Class it's not all fun and games. You have responsibilities, too! response:	You mustn't sully the name of the guild!
context: Before?\The time we fought during the first test.\Maybe I should have held back a little.\But being S Class isn't something to take lightly.\I passed this exam a number of years ago, and it was a tough and difficult road.\It was really something.\And once you become S Class it's not all fun and games. You have responsibilities, too!\You mustn't sully the name of the guild! response:	And the weight you have to bear, and whatnot...
context: The time we fought during the first test.\Maybe I should have held back a little.\But being S Class isn't something to take lightly.\I passed this exam a number of years ago, and it was a tough and difficult road.\It was really something.\And once you become S Class it's not all fun and games. You have responsibilities, too!\You mustn't sully the name of the guild!\And the weight you have to bear, and whatnot... response:	In other words there's this and that, plus odds and ends, etc, etc...
context: Maybe I should have held back a little.\But being S Class isn't something to take lightly.\I passed this exam a number of years ago, and it was a tough and difficult road.\It was really something.\And once you become S Class it's not all fun and games. You have responsibilities, too!\You mustn't sully the name of the guild!\And the weight you have to bear, and whatnot...\In other words there's this and that, plus odds and ends, etc, etc... response:	Juvia wants to go to where Gray-sama is, quick...
context: But being S Class isn't something to take lightly.\I passed this exam a number of years ago, and it was a tough and difficult road.\It was really something.\And once you become S Class it's not all fun and games. You have responsibilities, too!\You mustn't sully the name of the guild!\And the weight you have to bear, and whatnot...\In other words there's this and that, plus odds and ends, etc, etc...\Juvia wants to go to where Gray-sama is, quick... response:	Um, it's painful to lose, that's for sure, but Juvia never really wanted to pass this test...
context: I passed this exam a number of years ago, and it was a tough and difficult road.\It was really something.\And once you become S Class it's not all fun and games. You have responsibilities, too!\You mustn't sully the name of the guild!\And the weight you have to bear, and whatnot...\In other words there's this and that, plus odds and ends, etc, etc...\Juvia wants to go to where Gray-sama is, quick...\Um, it's painful to lose, that's for sure, but Juvia never really wanted to pass this test... response:	I might have gone too far with Lisanna, just back from Edolas.
context: It was really something.\And once you become S Class it's not all fun and games. You have responsibilities, too!\You mustn't sully the name of the guild!\And the weight you have to bear, and whatnot...\In other words there's this and that, plus odds and ends, etc, etc...\Juvia wants to go to where Gray-sama is, quick...\Um, it's painful to lose, that's for sure, but Juvia never really wanted to pass this test...\I might have gone too far with Lisanna, just back from Edolas. response:	Some people may call me childish, perhaps!
context: And once you become S Class it's not all fun and games. You have responsibilities, too!\You mustn't sully the name of the guild!\And the weight you have to bear, and whatnot...\In other words there's this and that, plus odds and ends, etc, etc...\Juvia wants to go to where Gray-sama is, quick...\Um, it's painful to lose, that's for sure, but Juvia never really wanted to pass this test...\I might have gone too far with Lisanna, just back from Edolas.\Some people may call me childish, perhaps! response:	But!!
context: You mustn't sully the name of the guild!\And the weight you have to bear, and whatnot...\In other words there's this and that, plus odds and ends, etc, etc...\Juvia wants to go to where Gray-sama is, quick...\Um, it's painful to lose, that's for sure, but Juvia never really wanted to pass this test...\I might have gone too far with Lisanna, just back from Edolas.\Some people may call me childish, perhaps!\But!! response:	I do not hate you, not in the slightest!
context: And the weight you have to bear, and whatnot...\In other words there's this and that, plus odds and ends, etc, etc...\Juvia wants to go to where Gray-sama is, quick...\Um, it's painful to lose, that's for sure, but Juvia never really wanted to pass this test...\I might have gone too far with Lisanna, just back from Edolas.\Some people may call me childish, perhaps!\But!!\I do not hate you, not in the slightest! response:	I just... I just want you to understand that.
context: In other words there's this and that, plus odds and ends, etc, etc...\Juvia wants to go to where Gray-sama is, quick...\Um, it's painful to lose, that's for sure, but Juvia never really wanted to pass this test...\I might have gone too far with Lisanna, just back from Edolas.\Some people may call me childish, perhaps!\But!!\I do not hate you, not in the slightest!\I just... I just want you to understand that. response:	Um, it's fine. Neither Juvia or Lisanna-san thinks that way.
context: Juvia wants to go to where Gray-sama is, quick...\Um, it's painful to lose, that's for sure, but Juvia never really wanted to pass this test...\I might have gone too far with Lisanna, just back from Edolas.\Some people may call me childish, perhaps!\But!!\I do not hate you, not in the slightest!\I just... I just want you to understand that.\Um, it's fine. Neither Juvia or Lisanna-san thinks that way. response:	Now then, if we could go our separate ways...
context: Um, it's painful to lose, that's for sure, but Juvia never really wanted to pass this test...\I might have gone too far with Lisanna, just back from Edolas.\Some people may call me childish, perhaps!\But!!\I do not hate you, not in the slightest!\I just... I just want you to understand that.\Um, it's fine. Neither Juvia or Lisanna-san thinks that way.\Now then, if we could go our separate ways... response:	I see! You understand!
context: I might have gone too far with Lisanna, just back from Edolas.\Some people may call me childish, perhaps!\But!!\I do not hate you, not in the slightest!\I just... I just want you to understand that.\Um, it's fine. Neither Juvia or Lisanna-san thinks that way.\Now then, if we could go our separate ways...\I see! You understand! response:	Friends sure are wonderful, yes?
context: Some people may call me childish, perhaps!\But!!\I do not hate you, not in the slightest!\I just... I just want you to understand that.\Um, it's fine. Neither Juvia or Lisanna-san thinks that way.\Now then, if we could go our separate ways...\I see! You understand!\Friends sure are wonderful, yes? response:	Let's keep working together from now on!
context: But!!\I do not hate you, not in the slightest!\I just... I just want you to understand that.\Um, it's fine. Neither Juvia or Lisanna-san thinks that way.\Now then, if we could go our separate ways...\I see! You understand!\Friends sure are wonderful, yes?\Let's keep working together from now on! response:	First, we'll find Wendy and Mest!
context: I do not hate you, not in the slightest!\I just... I just want you to understand that.\Um, it's fine. Neither Juvia or Lisanna-san thinks that way.\Now then, if we could go our separate ways...\I see! You understand!\Friends sure are wonderful, yes?\Let's keep working together from now on!\First, we'll find Wendy and Mest! response:	Gray-sama is floating farther away...
context: I just... I just want you to understand that.\Um, it's fine. Neither Juvia or Lisanna-san thinks that way.\Now then, if we could go our separate ways...\I see! You understand!\Friends sure are wonderful, yes?\Let's keep working together from now on!\First, we'll find Wendy and Mest!\Gray-sama is floating farther away... response:	Try it, Mira-nee.
context: Um, it's fine. Neither Juvia or Lisanna-san thinks that way.\Now then, if we could go our separate ways...\I see! You understand!\Friends sure are wonderful, yes?\Let's keep working together from now on!\First, we'll find Wendy and Mest!\Gray-sama is floating farther away...\Try it, Mira-nee. response:	Let's see...
context: Now then, if we could go our separate ways...\I see! You understand!\Friends sure are wonderful, yes?\Let's keep working together from now on!\First, we'll find Wendy and Mest!\Gray-sama is floating farther away...\Try it, Mira-nee.\Let's see... response:	Delicious!
context: I see! You understand!\Friends sure are wonderful, yes?\Let's keep working together from now on!\First, we'll find Wendy and Mest!\Gray-sama is floating farther away...\Try it, Mira-nee.\Let's see...\Delicious! response:	Really? All right!
context: Friends sure are wonderful, yes?\Let's keep working together from now on!\First, we'll find Wendy and Mest!\Gray-sama is floating farther away...\Try it, Mira-nee.\Let's see...\Delicious!\Really? All right! response:	Looks like you've gotten better at cooking while in Edolas.
context: Let's keep working together from now on!\First, we'll find Wendy and Mest!\Gray-sama is floating farther away...\Try it, Mira-nee.\Let's see...\Delicious!\Really? All right!\Looks like you've gotten better at cooking while in Edolas. response:	That's because the Mira-nee over there was also good at cooking.
context: First, we'll find Wendy and Mest!\Gray-sama is floating farther away...\Try it, Mira-nee.\Let's see...\Delicious!\Really? All right!\Looks like you've gotten better at cooking while in Edolas.\That's because the Mira-nee over there was also good at cooking. response:	It's really like a dream that the three of us can live together as siblings again.
context: Gray-sama is floating farther away...\Try it, Mira-nee.\Let's see...\Delicious!\Really? All right!\Looks like you've gotten better at cooking while in Edolas.\That's because the Mira-nee over there was also good at cooking.\It's really like a dream that the three of us can live together as siblings again. response:	Mira-nee...
context: Try it, Mira-nee.\Let's see...\Delicious!\Really? All right!\Looks like you've gotten better at cooking while in Edolas.\That's because the Mira-nee over there was also good at cooking.\It's really like a dream that the three of us can live together as siblings again.\Mira-nee... response:	But, isn't it a bit too salty?
context: Let's see...\Delicious!\Really? All right!\Looks like you've gotten better at cooking while in Edolas.\That's because the Mira-nee over there was also good at cooking.\It's really like a dream that the three of us can live together as siblings again.\Mira-nee...\But, isn't it a bit too salty? response:	And the way you chopped the vegetables could use some work.
context: Delicious!\Really? All right!\Looks like you've gotten better at cooking while in Edolas.\That's because the Mira-nee over there was also good at cooking.\It's really like a dream that the three of us can live together as siblings again.\Mira-nee...\But, isn't it a bit too salty?\And the way you chopped the vegetables could use some work. response:	So now is when you start complaining?
context: Really? All right!\Looks like you've gotten better at cooking while in Edolas.\That's because the Mira-nee over there was also good at cooking.\It's really like a dream that the three of us can live together as siblings again.\Mira-nee...\But, isn't it a bit too salty?\And the way you chopped the vegetables could use some work.\So now is when you start complaining? response:	Shut up!
context: Looks like you've gotten better at cooking while in Edolas.\That's because the Mira-nee over there was also good at cooking.\It's really like a dream that the three of us can live together as siblings again.\Mira-nee...\But, isn't it a bit too salty?\And the way you chopped the vegetables could use some work.\So now is when you start complaining?\Shut up! response:	Don't run!
context: That's because the Mira-nee over there was also good at cooking.\It's really like a dream that the three of us can live together as siblings again.\Mira-nee...\But, isn't it a bit too salty?\And the way you chopped the vegetables could use some work.\So now is when you start complaining?\Shut up!\Don't run! response:	What's wrong with this exam?
context: It's really like a dream that the three of us can live together as siblings again.\Mira-nee...\But, isn't it a bit too salty?\And the way you chopped the vegetables could use some work.\So now is when you start complaining?\Shut up!\Don't run!\What's wrong with this exam? response:	Chose a path? Find a grave?
