context: Your Holiness! response:	I-I can't believe it...
context: As someone who was born in Halkeginia,\I will offer myself completely to her.\I was born here, so that makes sense.\But Saito...\Saito wasn't born in this world.\Can we actually involve him?\Get ready to sortie!\We'll defeat the dragon! response:	Have no fear!
context: I will offer myself completely to her.\I was born here, so that makes sense.\But Saito...\Saito wasn't born in this world.\Can we actually involve him?\Get ready to sortie!\We'll defeat the dragon!\Have no fear! response:	I've got to do it.
context: I was born here, so that makes sense.\But Saito...\Saito wasn't born in this world.\Can we actually involve him?\Get ready to sortie!\We'll defeat the dragon!\Have no fear!\I've got to do it. response:	This isn't the time to be sad.
context: But Saito...\Saito wasn't born in this world.\Can we actually involve him?\Get ready to sortie!\We'll defeat the dragon!\Have no fear!\I've got to do it.\This isn't the time to be sad. response:	Right, Derf?
context: Saito wasn't born in this world.\Can we actually involve him?\Get ready to sortie!\We'll defeat the dragon!\Have no fear!\I've got to do it.\This isn't the time to be sad.\Right, Derf? response:	Huh? The machine sunk in the oasis...
context: Can we actually involve him?\Get ready to sortie!\We'll defeat the dragon!\Have no fear!\I've got to do it.\This isn't the time to be sad.\Right, Derf?\Huh? The machine sunk in the oasis... response:	You mean that iron cylinder?
context: Get ready to sortie!\We'll defeat the dragon!\Have no fear!\I've got to do it.\This isn't the time to be sad.\Right, Derf?\Huh? The machine sunk in the oasis...\You mean that iron cylinder? response:	You're going to use that?
context: We'll defeat the dragon!\Have no fear!\I've got to do it.\This isn't the time to be sad.\Right, Derf?\Huh? The machine sunk in the oasis...\You mean that iron cylinder?\You're going to use that? response:	No, that one was broken.
context: Have no fear!\I've got to do it.\This isn't the time to be sad.\Right, Derf?\Huh? The machine sunk in the oasis...\You mean that iron cylinder?\You're going to use that?\No, that one was broken. response:	But I was wondering if there
context: I've got to do it.\This isn't the time to be sad.\Right, Derf?\Huh? The machine sunk in the oasis...\You mean that iron cylinder?\You're going to use that?\No, that one was broken.\But I was wondering if there response:	weren't more like it in the elven lands.
context: This isn't the time to be sad.\Right, Derf?\Huh? The machine sunk in the oasis...\You mean that iron cylinder?\You're going to use that?\No, that one was broken.\But I was wondering if there\weren't more like it in the elven lands. response:	Locked away somewhere and kept safe.
context: Right, Derf?\Huh? The machine sunk in the oasis...\You mean that iron cylinder?\You're going to use that?\No, that one was broken.\But I was wondering if there\weren't more like it in the elven lands.\Locked away somewhere and kept safe. response:	Do you know anything?
context: Huh? The machine sunk in the oasis...\You mean that iron cylinder?\You're going to use that?\No, that one was broken.\But I was wondering if there\weren't more like it in the elven lands.\Locked away somewhere and kept safe.\Do you know anything? response:	Hmm... I haven't heard of anything like that.
context: You mean that iron cylinder?\You're going to use that?\No, that one was broken.\But I was wondering if there\weren't more like it in the elven lands.\Locked away somewhere and kept safe.\Do you know anything?\Hmm... I haven't heard of anything like that. response:	There goes that.
context: You're going to use that?\No, that one was broken.\But I was wondering if there\weren't more like it in the elven lands.\Locked away somewhere and kept safe.\Do you know anything?\Hmm... I haven't heard of anything like that.\There goes that. response:	It was worth a shot...
context: No, that one was broken.\But I was wondering if there\weren't more like it in the elven lands.\Locked away somewhere and kept safe.\Do you know anything?\Hmm... I haven't heard of anything like that.\There goes that.\It was worth a shot... response:	If we had a fighter plane,
context: But I was wondering if there\weren't more like it in the elven lands.\Locked away somewhere and kept safe.\Do you know anything?\Hmm... I haven't heard of anything like that.\There goes that.\It was worth a shot...\If we had a fighter plane, response:	we could take that Ancient Dragon down in one shot.
context: weren't more like it in the elven lands.\Locked away somewhere and kept safe.\Do you know anything?\Hmm... I haven't heard of anything like that.\There goes that.\It was worth a shot...\If we had a fighter plane,\we could take that Ancient Dragon down in one shot. response:	Saito...
context: Locked away somewhere and kept safe.\Do you know anything?\Hmm... I haven't heard of anything like that.\There goes that.\It was worth a shot...\If we had a fighter plane,\we could take that Ancient Dragon down in one shot.\Saito... response:	So they're called fighter planes?
context: Do you know anything?\Hmm... I haven't heard of anything like that.\There goes that.\It was worth a shot...\If we had a fighter plane,\we could take that Ancient Dragon down in one shot.\Saito...\So they're called fighter planes? response:	Yeah.
context: Hmm... I haven't heard of anything like that.\There goes that.\It was worth a shot...\If we had a fighter plane,\we could take that Ancient Dragon down in one shot.\Saito...\So they're called fighter planes?\Yeah. response:	It's a weapon from my world that can fly through the sky really fast.
context: There goes that.\It was worth a shot...\If we had a fighter plane,\we could take that Ancient Dragon down in one shot.\Saito...\So they're called fighter planes?\Yeah.\It's a weapon from my world that can fly through the sky really fast. response:	And its missiles can even sink a battleship.
context: It was worth a shot...\If we had a fighter plane,\we could take that Ancient Dragon down in one shot.\Saito...\So they're called fighter planes?\Yeah.\It's a weapon from my world that can fly through the sky really fast.\And its missiles can even sink a battleship. response:	Missiles?
context: If we had a fighter plane,\we could take that Ancient Dragon down in one shot.\Saito...\So they're called fighter planes?\Yeah.\It's a weapon from my world that can fly through the sky really fast.\And its missiles can even sink a battleship.\Missiles? response:	If that's such a great weapon,
context: we could take that Ancient Dragon down in one shot.\Saito...\So they're called fighter planes?\Yeah.\It's a weapon from my world that can fly through the sky really fast.\And its missiles can even sink a battleship.\Missiles?\If that's such a great weapon, response:	then why don't you go back to your world
context: Saito...\So they're called fighter planes?\Yeah.\It's a weapon from my world that can fly through the sky really fast.\And its missiles can even sink a battleship.\Missiles?\If that's such a great weapon,\then why don't you go back to your world response:	and bring one back here?
context: So they're called fighter planes?\Yeah.\It's a weapon from my world that can fly through the sky really fast.\And its missiles can even sink a battleship.\Missiles?\If that's such a great weapon,\then why don't you go back to your world\and bring one back here? response:	That's a little...
context: Yeah.\It's a weapon from my world that can fly through the sky really fast.\And its missiles can even sink a battleship.\Missiles?\If that's such a great weapon,\then why don't you go back to your world\and bring one back here?\That's a little... response:	Is it too far?
context: It's a weapon from my world that can fly through the sky really fast.\And its missiles can even sink a battleship.\Missiles?\If that's such a great weapon,\then why don't you go back to your world\and bring one back here?\That's a little...\Is it too far? response:	Then why not use Louise's magic?
context: And its missiles can even sink a battleship.\Missiles?\If that's such a great weapon,\then why don't you go back to your world\and bring one back here?\That's a little...\Is it too far?\Then why not use Louise's magic? response:	You mean the World Door?
context: Missiles?\If that's such a great weapon,\then why don't you go back to your world\and bring one back here?\That's a little...\Is it too far?\Then why not use Louise's magic?\You mean the World Door? response:	Would that work?
context: If that's such a great weapon,\then why don't you go back to your world\and bring one back here?\That's a little...\Is it too far?\Then why not use Louise's magic?\You mean the World Door?\Would that work? response:	Is there a reason why that wouldn't work?
context: then why don't you go back to your world\and bring one back here?\That's a little...\Is it too far?\Then why not use Louise's magic?\You mean the World Door?\Would that work?\Is there a reason why that wouldn't work? response:	But my world is...
context: and bring one back here?\That's a little...\Is it too far?\Then why not use Louise's magic?\You mean the World Door?\Would that work?\Is there a reason why that wouldn't work?\But my world is... response:	I'll do it.
context: That's a little...\Is it too far?\Then why not use Louise's magic?\You mean the World Door?\Would that work?\Is there a reason why that wouldn't work?\But my world is...\I'll do it. response:	You mean you'll...
context: Is it too far?\Then why not use Louise's magic?\You mean the World Door?\Would that work?\Is there a reason why that wouldn't work?\But my world is...\I'll do it.\You mean you'll... response:	I'll try to connect the World Door to Saito's world.
context: Then why not use Louise's magic?\You mean the World Door?\Would that work?\Is there a reason why that wouldn't work?\But my world is...\I'll do it.\You mean you'll...\I'll try to connect the World Door to Saito's world. response:	If it works, let's go get that fighter.
context: You mean the World Door?\Would that work?\Is there a reason why that wouldn't work?\But my world is...\I'll do it.\You mean you'll...\I'll try to connect the World Door to Saito's world.\If it works, let's go get that fighter. response:	Together.
context: Would that work?\Is there a reason why that wouldn't work?\But my world is...\I'll do it.\You mean you'll...\I'll try to connect the World Door to Saito's world.\If it works, let's go get that fighter.\Together. response:	Louise...
context: Is there a reason why that wouldn't work?\But my world is...\I'll do it.\You mean you'll...\I'll try to connect the World Door to Saito's world.\If it works, let's go get that fighter.\Together.\Louise... response:	Okay, let's do it!
context: But my world is...\I'll do it.\You mean you'll...\I'll try to connect the World Door to Saito's world.\If it works, let's go get that fighter.\Together.\Louise...\Okay, let's do it! response:	All right, let's verify the procedure.
context: I'll do it.\You mean you'll...\I'll try to connect the World Door to Saito's world.\If it works, let's go get that fighter.\Together.\Louise...\Okay, let's do it!\All right, let's verify the procedure. response:	First, Louise will open a window to Saito's world.
context: You mean you'll...\I'll try to connect the World Door to Saito's world.\If it works, let's go get that fighter.\Together.\Louise...\Okay, let's do it!\All right, let's verify the procedure.\First, Louise will open a window to Saito's world. response:	Using Saito's powers, she'll enlarge it so they can pass through it...
context: I'll try to connect the World Door to Saito's world.\If it works, let's go get that fighter.\Together.\Louise...\Okay, let's do it!\All right, let's verify the procedure.\First, Louise will open a window to Saito's world.\Using Saito's powers, she'll enlarge it so they can pass through it... response:	Why is he telling them what to do?
context: If it works, let's go get that fighter.\Together.\Louise...\Okay, let's do it!\All right, let's verify the procedure.\First, Louise will open a window to Saito's world.\Using Saito's powers, she'll enlarge it so they can pass through it...\Why is he telling them what to do? response:	He likes it.
context: Together.\Louise...\Okay, let's do it!\All right, let's verify the procedure.\First, Louise will open a window to Saito's world.\Using Saito's powers, she'll enlarge it so they can pass through it...\Why is he telling them what to do?\He likes it. response:	Just let it slide.
context: Louise...\Okay, let's do it!\All right, let's verify the procedure.\First, Louise will open a window to Saito's world.\Using Saito's powers, she'll enlarge it so they can pass through it...\Why is he telling them what to do?\He likes it.\Just let it slide. response:	Once you've got the fighter,
context: Okay, let's do it!\All right, let's verify the procedure.\First, Louise will open a window to Saito's world.\Using Saito's powers, she'll enlarge it so they can pass through it...\Why is he telling them what to do?\He likes it.\Just let it slide.\Once you've got the fighter, response:	you'll use Louise's power again to come back.
context: All right, let's verify the procedure.\First, Louise will open a window to Saito's world.\Using Saito's powers, she'll enlarge it so they can pass through it...\Why is he telling them what to do?\He likes it.\Just let it slide.\Once you've got the fighter,\you'll use Louise's power again to come back. response:	That's it.
context: First, Louise will open a window to Saito's world.\Using Saito's powers, she'll enlarge it so they can pass through it...\Why is he telling them what to do?\He likes it.\Just let it slide.\Once you've got the fighter,\you'll use Louise's power again to come back.\That's it. response:	Do you really think we can get back to my world?
context: Using Saito's powers, she'll enlarge it so they can pass through it...\Why is he telling them what to do?\He likes it.\Just let it slide.\Once you've got the fighter,\you'll use Louise's power again to come back.\That's it.\Do you really think we can get back to my world? response:	I'm sure we can.
context: Why is he telling them what to do?\He likes it.\Just let it slide.\Once you've got the fighter,\you'll use Louise's power again to come back.\That's it.\Do you really think we can get back to my world?\I'm sure we can. response:	Good luck, Saito!
context: He likes it.\Just let it slide.\Once you've got the fighter,\you'll use Louise's power again to come back.\That's it.\Do you really think we can get back to my world?\I'm sure we can.\Good luck, Saito! response:	We should get started.
context: Just let it slide.\Once you've got the fighter,\you'll use Louise's power again to come back.\That's it.\Do you really think we can get back to my world?\I'm sure we can.\Good luck, Saito!\We should get started. response:	Saito, give me your hand.
context: Once you've got the fighter,\you'll use Louise's power again to come back.\That's it.\Do you really think we can get back to my world?\I'm sure we can.\Good luck, Saito!\We should get started.\Saito, give me your hand. response:	I'm going to use a little of your power.
context: you'll use Louise's power again to come back.\That's it.\Do you really think we can get back to my world?\I'm sure we can.\Good luck, Saito!\We should get started.\Saito, give me your hand.\I'm going to use a little of your power. response:	Sure.
context: That's it.\Do you really think we can get back to my world?\I'm sure we can.\Good luck, Saito!\We should get started.\Saito, give me your hand.\I'm going to use a little of your power.\Sure. response:	Send me an image of your world.
context: Do you really think we can get back to my world?\I'm sure we can.\Good luck, Saito!\We should get started.\Saito, give me your hand.\I'm going to use a little of your power.\Sure.\Send me an image of your world. response:	Ken Gyof Hagaras Soir Beok Daeg...
context: I'm sure we can.\Good luck, Saito!\We should get started.\Saito, give me your hand.\I'm going to use a little of your power.\Sure.\Send me an image of your world.\Ken Gyof Hagaras Soir Beok Daeg... response:	Please, door to Saito's world, please open.
context: Good luck, Saito!\We should get started.\Saito, give me your hand.\I'm going to use a little of your power.\Sure.\Send me an image of your world.\Ken Gyof Hagaras Soir Beok Daeg...\Please, door to Saito's world, please open. response:	That's Japan!
context: We should get started.\Saito, give me your hand.\I'm going to use a little of your power.\Sure.\Send me an image of your world.\Ken Gyof Hagaras Soir Beok Daeg...\Please, door to Saito's world, please open.\That's Japan! response:	Those buildings look so weird!
context: Saito, give me your hand.\I'm going to use a little of your power.\Sure.\Send me an image of your world.\Ken Gyof Hagaras Soir Beok Daeg...\Please, door to Saito's world, please open.\That's Japan!\Those buildings look so weird! response:	This is your world?
context: I'm going to use a little of your power.\Sure.\Send me an image of your world.\Ken Gyof Hagaras Soir Beok Daeg...\Please, door to Saito's world, please open.\That's Japan!\Those buildings look so weird!\This is your world? response:	Louise, it's my world!
context: Sure.\Send me an image of your world.\Ken Gyof Hagaras Soir Beok Daeg...\Please, door to Saito's world, please open.\That's Japan!\Those buildings look so weird!\This is your world?\Louise, it's my world! response:	Let's go!
context: Send me an image of your world.\Ken Gyof Hagaras Soir Beok Daeg...\Please, door to Saito's world, please open.\That's Japan!\Those buildings look so weird!\This is your world?\Louise, it's my world!\Let's go! response:	Louise, come on!
context: Ken Gyof Hagaras Soir Beok Daeg...\Please, door to Saito's world, please open.\That's Japan!\Those buildings look so weird!\This is your world?\Louise, it's my world!\Let's go!\Louise, come on! response:	Hey, Saito.
context: Please, door to Saito's world, please open.\That's Japan!\Those buildings look so weird!\This is your world?\Louise, it's my world!\Let's go!\Louise, come on!\Hey, Saito. response:	You know, I really loved you.
context: That's Japan!\Those buildings look so weird!\This is your world?\Louise, it's my world!\Let's go!\Louise, come on!\Hey, Saito.\You know, I really loved you. response:	Meeting you made me so happy.
context: Those buildings look so weird!\This is your world?\Louise, it's my world!\Let's go!\Louise, come on!\Hey, Saito.\You know, I really loved you.\Meeting you made me so happy. response:	So please remember
context: This is your world?\Louise, it's my world!\Let's go!\Louise, come on!\Hey, Saito.\You know, I really loved you.\Meeting you made me so happy.\So please remember response:	that the last thing you saw me do
context: Louise, it's my world!\Let's go!\Louise, come on!\Hey, Saito.\You know, I really loved you.\Meeting you made me so happy.\So please remember\that the last thing you saw me do response:	was smile at you!
context: Let's go!\Louise, come on!\Hey, Saito.\You know, I really loved you.\Meeting you made me so happy.\So please remember\that the last thing you saw me do\was smile at you! response:	Louise!
context: Louise, come on!\Hey, Saito.\You know, I really loved you.\Meeting you made me so happy.\So please remember\that the last thing you saw me do\was smile at you!\Louise! response:	Goodbye!
context: Hey, Saito.\You know, I really loved you.\Meeting you made me so happy.\So please remember\that the last thing you saw me do\was smile at you!\Louise!\Goodbye! response:	Louise, what are you
context: You know, I really loved you.\Meeting you made me so happy.\So please remember\that the last thing you saw me do\was smile at you!\Louise!\Goodbye!\Louise, what are you response:	Louise!
context: Meeting you made me so happy.\So please remember\that the last thing you saw me do\was smile at you!\Louise!\Goodbye!\Louise, what are you\Louise! response:	L-Louise?
context: So please remember\that the last thing you saw me do\was smile at you!\Louise!\Goodbye!\Louise, what are you\Louise!\L-Louise? response:	Miss Valliere?
context: that the last thing you saw me do\was smile at you!\Louise!\Goodbye!\Louise, what are you\Louise!\L-Louise?\Miss Valliere? response:	What the hell are you doing?
context: was smile at you!\Louise!\Goodbye!\Louise, what are you\Louise!\L-Louise?\Miss Valliere?\What the hell are you doing? response:	We need him to defeat the Dragon!
context: Louise!\Goodbye!\Louise, what are you\Louise!\L-Louise?\Miss Valliere?\What the hell are you doing?\We need him to defeat the Dragon! response:	Saito came from another world.
context: Goodbye!\Louise, what are you\Louise!\L-Louise?\Miss Valliere?\What the hell are you doing?\We need him to defeat the Dragon!\Saito came from another world. response:	There's no need to get him tangled up in the fate of our world.
context: Louise, what are you\Louise!\L-Louise?\Miss Valliere?\What the hell are you doing?\We need him to defeat the Dragon!\Saito came from another world.\There's no need to get him tangled up in the fate of our world. response:	Even if he is a Void Mage's familiar.
context: Louise!\L-Louise?\Miss Valliere?\What the hell are you doing?\We need him to defeat the Dragon!\Saito came from another world.\There's no need to get him tangled up in the fate of our world.\Even if he is a Void Mage's familiar. response:	Yeah, but...
context: L-Louise?\Miss Valliere?\What the hell are you doing?\We need him to defeat the Dragon!\Saito came from another world.\There's no need to get him tangled up in the fate of our world.\Even if he is a Void Mage's familiar.\Yeah, but... response:	Ari...
context: Miss Valliere?\What the hell are you doing?\We need him to defeat the Dragon!\Saito came from another world.\There's no need to get him tangled up in the fate of our world.\Even if he is a Void Mage's familiar.\Yeah, but...\Ari... response:	Miss Valliere...
context: What the hell are you doing?\We need him to defeat the Dragon!\Saito came from another world.\There's no need to get him tangled up in the fate of our world.\Even if he is a Void Mage's familiar.\Yeah, but...\Ari...\Miss Valliere... response:	Saito!
context: We need him to defeat the Dragon!\Saito came from another world.\There's no need to get him tangled up in the fate of our world.\Even if he is a Void Mage's familiar.\Yeah, but...\Ari...\Miss Valliere...\Saito! response:	Saito!
context: Saito came from another world.\There's no need to get him tangled up in the fate of our world.\Even if he is a Void Mage's familiar.\Yeah, but...\Ari...\Miss Valliere...\Saito!\Saito! response:	Louise truly loved him.
context: There's no need to get him tangled up in the fate of our world.\Even if he is a Void Mage's familiar.\Yeah, but...\Ari...\Miss Valliere...\Saito!\Saito!\Louise truly loved him. response:	If she didn't, she could have never made this decision.
context: Even if he is a Void Mage's familiar.\Yeah, but...\Ari...\Miss Valliere...\Saito!\Saito!\Louise truly loved him.\If she didn't, she could have never made this decision. response:	What... What is this?
context: Yeah, but...\Ari...\Miss Valliere...\Saito!\Saito!\Louise truly loved him.\If she didn't, she could have never made this decision.\What... What is this? response:	Louise...
context: Ari...\Miss Valliere...\Saito!\Saito!\Louise truly loved him.\If she didn't, she could have never made this decision.\What... What is this?\Louise... response:	Louise!
context: Miss Valliere...\Saito!\Saito!\Louise truly loved him.\If she didn't, she could have never made this decision.\What... What is this?\Louise...\Louise! response:	Saito is...
context: Saito!\Saito!\Louise truly loved him.\If she didn't, she could have never made this decision.\What... What is this?\Louise...\Louise!\Saito is... response:	Yes.
context: Saito!\Louise truly loved him.\If she didn't, she could have never made this decision.\What... What is this?\Louise...\Louise!\Saito is...\Yes. response:	I returned him to the world where he belongs.
context: Louise truly loved him.\If she didn't, she could have never made this decision.\What... What is this?\Louise...\Louise!\Saito is...\Yes.\I returned him to the world where he belongs. response:	I apologize, but I... I...
context: If she didn't, she could have never made this decision.\What... What is this?\Louise...\Louise!\Saito is...\Yes.\I returned him to the world where he belongs.\I apologize, but I... I... response:	I'm sure I would have done the same thing.
context: What... What is this?\Louise...\Louise!\Saito is...\Yes.\I returned him to the world where he belongs.\I apologize, but I... I...\I'm sure I would have done the same thing. response:	Tabitha...
context: Louise...\Louise!\Saito is...\Yes.\I returned him to the world where he belongs.\I apologize, but I... I...\I'm sure I would have done the same thing.\Tabitha... response:	She's right.
context: Louise!\Saito is...\Yes.\I returned him to the world where he belongs.\I apologize, but I... I...\I'm sure I would have done the same thing.\Tabitha...\She's right. response:	I'm sure this is for the best.
context: Saito is...\Yes.\I returned him to the world where he belongs.\I apologize, but I... I...\I'm sure I would have done the same thing.\Tabitha...\She's right.\I'm sure this is for the best. response:	Your Majesty.
context: Yes.\I returned him to the world where he belongs.\I apologize, but I... I...\I'm sure I would have done the same thing.\Tabitha...\She's right.\I'm sure this is for the best.\Your Majesty. response:	I swear to you that I will defeat the dragon with my own power,
context: I returned him to the world where he belongs.\I apologize, but I... I...\I'm sure I would have done the same thing.\Tabitha...\She's right.\I'm sure this is for the best.\Your Majesty.\I swear to you that I will defeat the dragon with my own power, response:	without the need to borrow the power of LIfPrasir.
context: I apologize, but I... I...\I'm sure I would have done the same thing.\Tabitha...\She's right.\I'm sure this is for the best.\Your Majesty.\I swear to you that I will defeat the dragon with my own power,\without the need to borrow the power of LIfPrasir. response:	I'll also bet everything I have on this fight!
context: I'm sure I would have done the same thing.\Tabitha...\She's right.\I'm sure this is for the best.\Your Majesty.\I swear to you that I will defeat the dragon with my own power,\without the need to borrow the power of LIfPrasir.\I'll also bet everything I have on this fight! response:	Well said.
context: Tabitha...\She's right.\I'm sure this is for the best.\Your Majesty.\I swear to you that I will defeat the dragon with my own power,\without the need to borrow the power of LIfPrasir.\I'll also bet everything I have on this fight!\Well said. response:	Now let's go.
context: She's right.\I'm sure this is for the best.\Your Majesty.\I swear to you that I will defeat the dragon with my own power,\without the need to borrow the power of LIfPrasir.\I'll also bet everything I have on this fight!\Well said.\Now let's go. response:	To the Academy of Magic.
context: I'm sure this is for the best.\Your Majesty.\I swear to you that I will defeat the dragon with my own power,\without the need to borrow the power of LIfPrasir.\I'll also bet everything I have on this fight!\Well said.\Now let's go.\To the Academy of Magic. response:	I guess I imagined it.
context: Your Majesty.\I swear to you that I will defeat the dragon with my own power,\without the need to borrow the power of LIfPrasir.\I'll also bet everything I have on this fight!\Well said.\Now let's go.\To the Academy of Magic.\I guess I imagined it. response:	It is true that once upon a time, the Ancient Dragon was
context: I swear to you that I will defeat the dragon with my own power,\without the need to borrow the power of LIfPrasir.\I'll also bet everything I have on this fight!\Well said.\Now let's go.\To the Academy of Magic.\I guess I imagined it.\It is true that once upon a time, the Ancient Dragon was response:	sealed away by the Void Mages.
context: without the need to borrow the power of LIfPrasir.\I'll also bet everything I have on this fight!\Well said.\Now let's go.\To the Academy of Magic.\I guess I imagined it.\It is true that once upon a time, the Ancient Dragon was\sealed away by the Void Mages. response:	However, according to the texts,
context: I'll also bet everything I have on this fight!\Well said.\Now let's go.\To the Academy of Magic.\I guess I imagined it.\It is true that once upon a time, the Ancient Dragon was\sealed away by the Void Mages.\However, according to the texts, response:	Void Mages also enhance the Ancient Dragon's powers
context: Well said.\Now let's go.\To the Academy of Magic.\I guess I imagined it.\It is true that once upon a time, the Ancient Dragon was\sealed away by the Void Mages.\However, according to the texts,\Void Mages also enhance the Ancient Dragon's powers response:	if they are eaten.
context: Now let's go.\To the Academy of Magic.\I guess I imagined it.\It is true that once upon a time, the Ancient Dragon was\sealed away by the Void Mages.\However, according to the texts,\Void Mages also enhance the Ancient Dragon's powers\if they are eaten. response:	The dragon gets stronger by consuming the Void.
context: To the Academy of Magic.\I guess I imagined it.\It is true that once upon a time, the Ancient Dragon was\sealed away by the Void Mages.\However, according to the texts,\Void Mages also enhance the Ancient Dragon's powers\if they are eaten.\The dragon gets stronger by consuming the Void. response:	Which is why he instinctively seeks out places with Void Mages.
context: I guess I imagined it.\It is true that once upon a time, the Ancient Dragon was\sealed away by the Void Mages.\However, according to the texts,\Void Mages also enhance the Ancient Dragon's powers\if they are eaten.\The dragon gets stronger by consuming the Void.\Which is why he instinctively seeks out places with Void Mages. response:	So the reason the dragon first turned towards Romalia was...
context: It is true that once upon a time, the Ancient Dragon was\sealed away by the Void Mages.\However, according to the texts,\Void Mages also enhance the Ancient Dragon's powers\if they are eaten.\The dragon gets stronger by consuming the Void.\Which is why he instinctively seeks out places with Void Mages.\So the reason the dragon first turned towards Romalia was... response:	He sensed the presence
context: sealed away by the Void Mages.\However, according to the texts,\Void Mages also enhance the Ancient Dragon's powers\if they are eaten.\The dragon gets stronger by consuming the Void.\Which is why he instinctively seeks out places with Void Mages.\So the reason the dragon first turned towards Romalia was...\He sensed the presence response:	of a Void Mage, the Pope, there.
context: However, according to the texts,\Void Mages also enhance the Ancient Dragon's powers\if they are eaten.\The dragon gets stronger by consuming the Void.\Which is why he instinctively seeks out places with Void Mages.\So the reason the dragon first turned towards Romalia was...\He sensed the presence\of a Void Mage, the Pope, there. response:	And once he wakes again, he will target...
context: Void Mages also enhance the Ancient Dragon's powers\if they are eaten.\The dragon gets stronger by consuming the Void.\Which is why he instinctively seeks out places with Void Mages.\So the reason the dragon first turned towards Romalia was...\He sensed the presence\of a Void Mage, the Pope, there.\And once he wakes again, he will target... response:	Me, or Tiffa.
context: if they are eaten.\The dragon gets stronger by consuming the Void.\Which is why he instinctively seeks out places with Void Mages.\So the reason the dragon first turned towards Romalia was...\He sensed the presence\of a Void Mage, the Pope, there.\And once he wakes again, he will target...\Me, or Tiffa. response:	Which is why we're taking you to the Academy of Magic.
context: The dragon gets stronger by consuming the Void.\Which is why he instinctively seeks out places with Void Mages.\So the reason the dragon first turned towards Romalia was...\He sensed the presence\of a Void Mage, the Pope, there.\And once he wakes again, he will target...\Me, or Tiffa.\Which is why we're taking you to the Academy of Magic. response:	There are no settlements around there,
context: Which is why he instinctively seeks out places with Void Mages.\So the reason the dragon first turned towards Romalia was...\He sensed the presence\of a Void Mage, the Pope, there.\And once he wakes again, he will target...\Me, or Tiffa.\Which is why we're taking you to the Academy of Magic.\There are no settlements around there, response:	so there's no worry of collateral damage.
context: So the reason the dragon first turned towards Romalia was...\He sensed the presence\of a Void Mage, the Pope, there.\And once he wakes again, he will target...\Me, or Tiffa.\Which is why we're taking you to the Academy of Magic.\There are no settlements around there,\so there's no worry of collateral damage. response:	Additionally, the military is set up along the estimated route
context: He sensed the presence\of a Void Mage, the Pope, there.\And once he wakes again, he will target...\Me, or Tiffa.\Which is why we're taking you to the Academy of Magic.\There are no settlements around there,\so there's no worry of collateral damage.\Additionally, the military is set up along the estimated route response:	of the dragon and will attack him with all their might.
context: of a Void Mage, the Pope, there.\And once he wakes again, he will target...\Me, or Tiffa.\Which is why we're taking you to the Academy of Magic.\There are no settlements around there,\so there's no worry of collateral damage.\Additionally, the military is set up along the estimated route\of the dragon and will attack him with all their might. response:	We don't know if it will have any effect,
context: And once he wakes again, he will target...\Me, or Tiffa.\Which is why we're taking you to the Academy of Magic.\There are no settlements around there,\so there's no worry of collateral damage.\Additionally, the military is set up along the estimated route\of the dragon and will attack him with all their might.\We don't know if it will have any effect, response:	but it'll buy some time.
context: Me, or Tiffa.\Which is why we're taking you to the Academy of Magic.\There are no settlements around there,\so there's no worry of collateral damage.\Additionally, the military is set up along the estimated route\of the dragon and will attack him with all their might.\We don't know if it will have any effect,\but it'll buy some time. response:	But if we fight at the Academy, the students will all...
context: Which is why we're taking you to the Academy of Magic.\There are no settlements around there,\so there's no worry of collateral damage.\Additionally, the military is set up along the estimated route\of the dragon and will attack him with all their might.\We don't know if it will have any effect,\but it'll buy some time.\But if we fight at the Academy, the students will all... response:	Don't worry about it.
context: There are no settlements around there,\so there's no worry of collateral damage.\Additionally, the military is set up along the estimated route\of the dragon and will attack him with all their might.\We don't know if it will have any effect,\but it'll buy some time.\But if we fight at the Academy, the students will all...\Don't worry about it. response:	Mr. Colbert is evacuating everyone.
context: so there's no worry of collateral damage.\Additionally, the military is set up along the estimated route\of the dragon and will attack him with all their might.\We don't know if it will have any effect,\but it'll buy some time.\But if we fight at the Academy, the students will all...\Don't worry about it.\Mr. Colbert is evacuating everyone. response:	Siesta! I told you to return to the mansion
context: Additionally, the military is set up along the estimated route\of the dragon and will attack him with all their might.\We don't know if it will have any effect,\but it'll buy some time.\But if we fight at the Academy, the students will all...\Don't worry about it.\Mr. Colbert is evacuating everyone.\Siesta! I told you to return to the mansion response:	with Lukshana and the others!
context: of the dragon and will attack him with all their might.\We don't know if it will have any effect,\but it'll buy some time.\But if we fight at the Academy, the students will all...\Don't worry about it.\Mr. Colbert is evacuating everyone.\Siesta! I told you to return to the mansion\with Lukshana and the others! response:	But we're already here.
context: We don't know if it will have any effect,\but it'll buy some time.\But if we fight at the Academy, the students will all...\Don't worry about it.\Mr. Colbert is evacuating everyone.\Siesta! I told you to return to the mansion\with Lukshana and the others!\But we're already here. response:	I asked her to bring us here.
context: but it'll buy some time.\But if we fight at the Academy, the students will all...\Don't worry about it.\Mr. Colbert is evacuating everyone.\Siesta! I told you to return to the mansion\with Lukshana and the others!\But we're already here.\I asked her to bring us here. response:	I've always wanted to see the Academy of Magic.
