context: ReLIFE Experiment Contract response:	ReLIFE Laboratory is an organization that is developing a program
context: And here I thought I read people better.\One other question, then.\If she's not your girlfriend, what's with the matching earrings?\Earrings?\Wow, you actually noticed that?\Well, in first year...\My brother insisted on piercing my ear.\It hurt so much, I didn't let him do the other ear. response:	So the other half of this pair is gonna go unused. Want it?
context: One other question, then.\If she's not your girlfriend, what's with the matching earrings?\Earrings?\Wow, you actually noticed that?\Well, in first year...\My brother insisted on piercing my ear.\It hurt so much, I didn't let him do the other ear.\So the other half of this pair is gonna go unused. Want it? response:	Are you seriously trying to fob it off on me because you don't like it?
context: If she's not your girlfriend, what's with the matching earrings?\Earrings?\Wow, you actually noticed that?\Well, in first year...\My brother insisted on piercing my ear.\It hurt so much, I didn't let him do the other ear.\So the other half of this pair is gonna go unused. Want it?\Are you seriously trying to fob it off on me because you don't like it? response:	Figures.
context: Earrings?\Wow, you actually noticed that?\Well, in first year...\My brother insisted on piercing my ear.\It hurt so much, I didn't let him do the other ear.\So the other half of this pair is gonna go unused. Want it?\Are you seriously trying to fob it off on me because you don't like it?\Figures. response:	I'll take it.
context: Wow, you actually noticed that?\Well, in first year...\My brother insisted on piercing my ear.\It hurt so much, I didn't let him do the other ear.\So the other half of this pair is gonna go unused. Want it?\Are you seriously trying to fob it off on me because you don't like it?\Figures.\I'll take it. response:	It's free, right?
context: Well, in first year...\My brother insisted on piercing my ear.\It hurt so much, I didn't let him do the other ear.\So the other half of this pair is gonna go unused. Want it?\Are you seriously trying to fob it off on me because you don't like it?\Figures.\I'll take it.\It's free, right? response:	But you play volleyball...
context: My brother insisted on piercing my ear.\It hurt so much, I didn't let him do the other ear.\So the other half of this pair is gonna go unused. Want it?\Are you seriously trying to fob it off on me because you don't like it?\Figures.\I'll take it.\It's free, right?\But you play volleyball... response:	What's with you?
context: It hurt so much, I didn't let him do the other ear.\So the other half of this pair is gonna go unused. Want it?\Are you seriously trying to fob it off on me because you don't like it?\Figures.\I'll take it.\It's free, right?\But you play volleyball...\What's with you? response:	Are you giving it to me or not? Make up your mind!
context: So the other half of this pair is gonna go unused. Want it?\Are you seriously trying to fob it off on me because you don't like it?\Figures.\I'll take it.\It's free, right?\But you play volleyball...\What's with you?\Are you giving it to me or not? Make up your mind! response:	I am! Here!
context: Are you seriously trying to fob it off on me because you don't like it?\Figures.\I'll take it.\It's free, right?\But you play volleyball...\What's with you?\Are you giving it to me or not? Make up your mind!\I am! Here! response:	Jeez.
context: Figures.\I'll take it.\It's free, right?\But you play volleyball...\What's with you?\Are you giving it to me or not? Make up your mind!\I am! Here!\Jeez. response:	Since you insist...
context: I'll take it.\It's free, right?\But you play volleyball...\What's with you?\Are you giving it to me or not? Make up your mind!\I am! Here!\Jeez.\Since you insist... response:	I'll gratefully accept it.
context: It's free, right?\But you play volleyball...\What's with you?\Are you giving it to me or not? Make up your mind!\I am! Here!\Jeez.\Since you insist...\I'll gratefully accept it. response:	And she came in the very next day with her ear pierced! Hilarious, right?
context: But you play volleyball...\What's with you?\Are you giving it to me or not? Make up your mind!\I am! Here!\Jeez.\Since you insist...\I'll gratefully accept it.\And she came in the very next day with her ear pierced! Hilarious, right? response:	Anyway, that's all there is to it.
context: What's with you?\Are you giving it to me or not? Make up your mind!\I am! Here!\Jeez.\Since you insist...\I'll gratefully accept it.\And she came in the very next day with her ear pierced! Hilarious, right?\Anyway, that's all there is to it. response:	If you asked her if we were dating, Kariu would go berserk!
context: Are you giving it to me or not? Make up your mind!\I am! Here!\Jeez.\Since you insist...\I'll gratefully accept it.\And she came in the very next day with her ear pierced! Hilarious, right?\Anyway, that's all there is to it.\If you asked her if we were dating, Kariu would go berserk! response:	Huh? What?
context: I am! Here!\Jeez.\Since you insist...\I'll gratefully accept it.\And she came in the very next day with her ear pierced! Hilarious, right?\Anyway, that's all there is to it.\If you asked her if we were dating, Kariu would go berserk!\Huh? What? response:	He might be book smart,
context: Jeez.\Since you insist...\I'll gratefully accept it.\And she came in the very next day with her ear pierced! Hilarious, right?\Anyway, that's all there is to it.\If you asked her if we were dating, Kariu would go berserk!\Huh? What?\He might be book smart, response:	but he's the furthest thing from an exemplary high school boy, huh?
context: Since you insist...\I'll gratefully accept it.\And she came in the very next day with her ear pierced! Hilarious, right?\Anyway, that's all there is to it.\If you asked her if we were dating, Kariu would go berserk!\Huh? What?\He might be book smart,\but he's the furthest thing from an exemplary high school boy, huh? response:	Seriously. Total waste of a handsome face.
context: I'll gratefully accept it.\And she came in the very next day with her ear pierced! Hilarious, right?\Anyway, that's all there is to it.\If you asked her if we were dating, Kariu would go berserk!\Huh? What?\He might be book smart,\but he's the furthest thing from an exemplary high school boy, huh?\Seriously. Total waste of a handsome face. response:	I feel sorry for Kariu-san.
context: And she came in the very next day with her ear pierced! Hilarious, right?\Anyway, that's all there is to it.\If you asked her if we were dating, Kariu would go berserk!\Huh? What?\He might be book smart,\but he's the furthest thing from an exemplary high school boy, huh?\Seriously. Total waste of a handsome face.\I feel sorry for Kariu-san. response:	Very sorry.
context: Anyway, that's all there is to it.\If you asked her if we were dating, Kariu would go berserk!\Huh? What?\He might be book smart,\but he's the furthest thing from an exemplary high school boy, huh?\Seriously. Total waste of a handsome face.\I feel sorry for Kariu-san.\Very sorry. response:	Why?
context: If you asked her if we were dating, Kariu would go berserk!\Huh? What?\He might be book smart,\but he's the furthest thing from an exemplary high school boy, huh?\Seriously. Total waste of a handsome face.\I feel sorry for Kariu-san.\Very sorry.\Why? response:	You should read more modern lit.
context: Huh? What?\He might be book smart,\but he's the furthest thing from an exemplary high school boy, huh?\Seriously. Total waste of a handsome face.\I feel sorry for Kariu-san.\Very sorry.\Why?\You should read more modern lit. response:	Focus your studies on comprehending the emotions of the characters.
context: He might be book smart,\but he's the furthest thing from an exemplary high school boy, huh?\Seriously. Total waste of a handsome face.\I feel sorry for Kariu-san.\Very sorry.\Why?\You should read more modern lit.\Focus your studies on comprehending the emotions of the characters. response:	Wait, what? Why am I being assigned homework?
context: but he's the furthest thing from an exemplary high school boy, huh?\Seriously. Total waste of a handsome face.\I feel sorry for Kariu-san.\Very sorry.\Why?\You should read more modern lit.\Focus your studies on comprehending the emotions of the characters.\Wait, what? Why am I being assigned homework? response:	Sorry, we can't.
context: Seriously. Total waste of a handsome face.\I feel sorry for Kariu-san.\Very sorry.\Why?\You should read more modern lit.\Focus your studies on comprehending the emotions of the characters.\Wait, what? Why am I being assigned homework?\Sorry, we can't. response:	Can't we please work it out?
context: I feel sorry for Kariu-san.\Very sorry.\Why?\You should read more modern lit.\Focus your studies on comprehending the emotions of the characters.\Wait, what? Why am I being assigned homework?\Sorry, we can't.\Can't we please work it out? response:	What happened to prepping for the make-ups?
context: Very sorry.\Why?\You should read more modern lit.\Focus your studies on comprehending the emotions of the characters.\Wait, what? Why am I being assigned homework?\Sorry, we can't.\Can't we please work it out?\What happened to prepping for the make-ups? response:	Oh, dear.
context: Why?\You should read more modern lit.\Focus your studies on comprehending the emotions of the characters.\Wait, what? Why am I being assigned homework?\Sorry, we can't.\Can't we please work it out?\What happened to prepping for the make-ups?\Oh, dear. response:	Please.
context: You should read more modern lit.\Focus your studies on comprehending the emotions of the characters.\Wait, what? Why am I being assigned homework?\Sorry, we can't.\Can't we please work it out?\What happened to prepping for the make-ups?\Oh, dear.\Please. response:	Oh, it's the other class rep.
context: Focus your studies on comprehending the emotions of the characters.\Wait, what? Why am I being assigned homework?\Sorry, we can't.\Can't we please work it out?\What happened to prepping for the make-ups?\Oh, dear.\Please.\Oh, it's the other class rep. response:	Nothing I can do.
context: Wait, what? Why am I being assigned homework?\Sorry, we can't.\Can't we please work it out?\What happened to prepping for the make-ups?\Oh, dear.\Please.\Oh, it's the other class rep.\Nothing I can do. response:	What's she doing?
context: Sorry, we can't.\Can't we please work it out?\What happened to prepping for the make-ups?\Oh, dear.\Please.\Oh, it's the other class rep.\Nothing I can do.\What's she doing? response:	Looks like they're arguing.
context: Can't we please work it out?\What happened to prepping for the make-ups?\Oh, dear.\Please.\Oh, it's the other class rep.\Nothing I can do.\What's she doing?\Looks like they're arguing. response:	I'll go see why.
context: What happened to prepping for the make-ups?\Oh, dear.\Please.\Oh, it's the other class rep.\Nothing I can do.\What's she doing?\Looks like they're arguing.\I'll go see why. response:	Very well.
context: Oh, dear.\Please.\Oh, it's the other class rep.\Nothing I can do.\What's she doing?\Looks like they're arguing.\I'll go see why.\Very well. response:	I'll go to the staff room and be right back.
context: Please.\Oh, it's the other class rep.\Nothing I can do.\What's she doing?\Looks like they're arguing.\I'll go see why.\Very well.\I'll go to the staff room and be right back. response:	What's wrong, Hishiro-san?
context: Oh, it's the other class rep.\Nothing I can do.\What's she doing?\Looks like they're arguing.\I'll go see why.\Very well.\I'll go to the staff room and be right back.\What's wrong, Hishiro-san? response:	It's the guy who got a four.
context: Nothing I can do.\What's she doing?\Looks like they're arguing.\I'll go see why.\Very well.\I'll go to the staff room and be right back.\What's wrong, Hishiro-san?\It's the guy who got a four. response:	Don't mention that...
context: What's she doing?\Looks like they're arguing.\I'll go see why.\Very well.\I'll go to the staff room and be right back.\What's wrong, Hishiro-san?\It's the guy who got a four.\Don't mention that... response:	The cigarettes guy, then?
context: Looks like they're arguing.\I'll go see why.\Very well.\I'll go to the staff room and be right back.\What's wrong, Hishiro-san?\It's the guy who got a four.\Don't mention that...\The cigarettes guy, then? response:	That's what you remember?
context: I'll go see why.\Very well.\I'll go to the staff room and be right back.\What's wrong, Hishiro-san?\It's the guy who got a four.\Don't mention that...\The cigarettes guy, then?\That's what you remember? response:	Sorry. It left quite the impression.
context: Very well.\I'll go to the staff room and be right back.\What's wrong, Hishiro-san?\It's the guy who got a four.\Don't mention that...\The cigarettes guy, then?\That's what you remember?\Sorry. It left quite the impression. response:	A-Anyway, are you in trouble?
context: I'll go to the staff room and be right back.\What's wrong, Hishiro-san?\It's the guy who got a four.\Don't mention that...\The cigarettes guy, then?\That's what you remember?\Sorry. It left quite the impression.\A-Anyway, are you in trouble? response:	I didn't bring any money out of habit.
context: What's wrong, Hishiro-san?\It's the guy who got a four.\Don't mention that...\The cigarettes guy, then?\That's what you remember?\Sorry. It left quite the impression.\A-Anyway, are you in trouble?\I didn't bring any money out of habit. response:	I said to wait while I got the silver pin,
context: It's the guy who got a four.\Don't mention that...\The cigarettes guy, then?\That's what you remember?\Sorry. It left quite the impression.\A-Anyway, are you in trouble?\I didn't bring any money out of habit.\I said to wait while I got the silver pin, response:	Students with silver pins are to state their name and class every time. And please wait in line like the others. - Cafeteria Head
context: Don't mention that...\The cigarettes guy, then?\That's what you remember?\Sorry. It left quite the impression.\A-Anyway, are you in trouble?\I didn't bring any money out of habit.\I said to wait while I got the silver pin,\Students with silver pins are to state their name and class every time. And please wait in line like the others. - Cafeteria Head response:	but they'd already made the ramen, so...
context: The cigarettes guy, then?\That's what you remember?\Sorry. It left quite the impression.\A-Anyway, are you in trouble?\I didn't bring any money out of habit.\I said to wait while I got the silver pin,\Students with silver pins are to state their name and class every time. And please wait in line like the others. - Cafeteria Head\but they'd already made the ramen, so... response:	Help, I need an interpreter!
context: That's what you remember?\Sorry. It left quite the impression.\A-Anyway, are you in trouble?\I didn't bring any money out of habit.\I said to wait while I got the silver pin,\Students with silver pins are to state their name and class every time. And please wait in line like the others. - Cafeteria Head\but they'd already made the ramen, so...\Help, I need an interpreter! response:	Um, so...
context: Sorry. It left quite the impression.\A-Anyway, are you in trouble?\I didn't bring any money out of habit.\I said to wait while I got the silver pin,\Students with silver pins are to state their name and class every time. And please wait in line like the others. - Cafeteria Head\but they'd already made the ramen, so...\Help, I need an interpreter!\Um, so... response:	Basically, you forgot your money and can't buy lunch?
context: A-Anyway, are you in trouble?\I didn't bring any money out of habit.\I said to wait while I got the silver pin,\Students with silver pins are to state their name and class every time. And please wait in line like the others. - Cafeteria Head\but they'd already made the ramen, so...\Help, I need an interpreter!\Um, so...\Basically, you forgot your money and can't buy lunch? response:	I didn't forget it.
context: I didn't bring any money out of habit.\I said to wait while I got the silver pin,\Students with silver pins are to state their name and class every time. And please wait in line like the others. - Cafeteria Head\but they'd already made the ramen, so...\Help, I need an interpreter!\Um, so...\Basically, you forgot your money and can't buy lunch?\I didn't forget it. response:	I just didn't bring any.
context: I said to wait while I got the silver pin,\Students with silver pins are to state their name and class every time. And please wait in line like the others. - Cafeteria Head\but they'd already made the ramen, so...\Help, I need an interpreter!\Um, so...\Basically, you forgot your money and can't buy lunch?\I didn't forget it.\I just didn't bring any. response:	Same thing.
context: Students with silver pins are to state their name and class every time. And please wait in line like the others. - Cafeteria Head\but they'd already made the ramen, so...\Help, I need an interpreter!\Um, so...\Basically, you forgot your money and can't buy lunch?\I didn't forget it.\I just didn't bring any.\Same thing. response:	Hishiro-san!
context: but they'd already made the ramen, so...\Help, I need an interpreter!\Um, so...\Basically, you forgot your money and can't buy lunch?\I didn't forget it.\I just didn't bring any.\Same thing.\Hishiro-san! response:	Here.
context: Help, I need an interpreter!\Um, so...\Basically, you forgot your money and can't buy lunch?\I didn't forget it.\I just didn't bring any.\Same thing.\Hishiro-san!\Here. response:	Borrow this.
context: Um, so...\Basically, you forgot your money and can't buy lunch?\I didn't forget it.\I just didn't bring any.\Same thing.\Hishiro-san!\Here.\Borrow this. response:	Pay me back whenever.
context: Basically, you forgot your money and can't buy lunch?\I didn't forget it.\I just didn't bring any.\Same thing.\Hishiro-san!\Here.\Borrow this.\Pay me back whenever. response:	I can't take that much.
context: I didn't forget it.\I just didn't bring any.\Same thing.\Hishiro-san!\Here.\Borrow this.\Pay me back whenever.\I can't take that much. response:	Most things here don't cost more than 300 yen.
context: I just didn't bring any.\Same thing.\Hishiro-san!\Here.\Borrow this.\Pay me back whenever.\I can't take that much.\Most things here don't cost more than 300 yen. response:	And I think 1,000 yen is a pretty large sum for a high schooler.
context: Same thing.\Hishiro-san!\Here.\Borrow this.\Pay me back whenever.\I can't take that much.\Most things here don't cost more than 300 yen.\And I think 1,000 yen is a pretty large sum for a high schooler. response:	How can you lend me that much money so casually?
context: Hishiro-san!\Here.\Borrow this.\Pay me back whenever.\I can't take that much.\Most things here don't cost more than 300 yen.\And I think 1,000 yen is a pretty large sum for a high schooler.\How can you lend me that much money so casually? response:	It's like...
context: Here.\Borrow this.\Pay me back whenever.\I can't take that much.\Most things here don't cost more than 300 yen.\And I think 1,000 yen is a pretty large sum for a high schooler.\How can you lend me that much money so casually?\It's like... response:	I-It's fine!
context: Borrow this.\Pay me back whenever.\I can't take that much.\Most things here don't cost more than 300 yen.\And I think 1,000 yen is a pretty large sum for a high schooler.\How can you lend me that much money so casually?\It's like...\I-It's fine! response:	I just happen to have extra today! Here!
context: Pay me back whenever.\I can't take that much.\Most things here don't cost more than 300 yen.\And I think 1,000 yen is a pretty large sum for a high schooler.\How can you lend me that much money so casually?\It's like...\I-It's fine!\I just happen to have extra today! Here! response:	It was an impulse, but I just took a high school girl's hand!
context: I can't take that much.\Most things here don't cost more than 300 yen.\And I think 1,000 yen is a pretty large sum for a high schooler.\How can you lend me that much money so casually?\It's like...\I-It's fine!\I just happen to have extra today! Here!\It was an impulse, but I just took a high school girl's hand! response:	Then I'll take you up on your kind offer.
context: Most things here don't cost more than 300 yen.\And I think 1,000 yen is a pretty large sum for a high schooler.\How can you lend me that much money so casually?\It's like...\I-It's fine!\I just happen to have extra today! Here!\It was an impulse, but I just took a high school girl's hand!\Then I'll take you up on your kind offer. response:	Thank you.
context: And I think 1,000 yen is a pretty large sum for a high schooler.\How can you lend me that much money so casually?\It's like...\I-It's fine!\I just happen to have extra today! Here!\It was an impulse, but I just took a high school girl's hand!\Then I'll take you up on your kind offer.\Thank you. response:	I'll pay you back tomorrow.
context: How can you lend me that much money so casually?\It's like...\I-It's fine!\I just happen to have extra today! Here!\It was an impulse, but I just took a high school girl's hand!\Then I'll take you up on your kind offer.\Thank you.\I'll pay you back tomorrow. response:	What am I getting worked up about?
context: It's like...\I-It's fine!\I just happen to have extra today! Here!\It was an impulse, but I just took a high school girl's hand!\Then I'll take you up on your kind offer.\Thank you.\I'll pay you back tomorrow.\What am I getting worked up about? response:	She's in high school!
context: I-It's fine!\I just happen to have extra today! Here!\It was an impulse, but I just took a high school girl's hand!\Then I'll take you up on your kind offer.\Thank you.\I'll pay you back tomorrow.\What am I getting worked up about?\She's in high school! response:	No way!
context: I just happen to have extra today! Here!\It was an impulse, but I just took a high school girl's hand!\Then I'll take you up on your kind offer.\Thank you.\I'll pay you back tomorrow.\What am I getting worked up about?\She's in high school!\No way! response:	Smooth.
context: It was an impulse, but I just took a high school girl's hand!\Then I'll take you up on your kind offer.\Thank you.\I'll pay you back tomorrow.\What am I getting worked up about?\She's in high school!\No way!\Smooth. response:	What?
context: Then I'll take you up on your kind offer.\Thank you.\I'll pay you back tomorrow.\What am I getting worked up about?\She's in high school!\No way!\Smooth.\What? response:	Very cool.
context: Thank you.\I'll pay you back tomorrow.\What am I getting worked up about?\She's in high school!\No way!\Smooth.\What?\Very cool. response:	Though you're not at all book smart.
context: I'll pay you back tomorrow.\What am I getting worked up about?\She's in high school!\No way!\Smooth.\What?\Very cool.\Though you're not at all book smart. response:	Knock that off!
context: What am I getting worked up about?\She's in high school!\No way!\Smooth.\What?\Very cool.\Though you're not at all book smart.\Knock that off! response:	She forgot her lunch money, so I loaned her some.
context: She's in high school!\No way!\Smooth.\What?\Very cool.\Though you're not at all book smart.\Knock that off!\She forgot her lunch money, so I loaned her some. response:	Last year's best student is a bit of a ditz, huh?
context: No way!\Smooth.\What?\Very cool.\Though you're not at all book smart.\Knock that off!\She forgot her lunch money, so I loaned her some.\Last year's best student is a bit of a ditz, huh? response:	Nah, it's probably just because she doesn't have her silver pin yet.
context: Smooth.\What?\Very cool.\Though you're not at all book smart.\Knock that off!\She forgot her lunch money, so I loaned her some.\Last year's best student is a bit of a ditz, huh?\Nah, it's probably just because she doesn't have her silver pin yet. response:	Why her silver pin?
context: What?\Very cool.\Though you're not at all book smart.\Knock that off!\She forgot her lunch money, so I loaned her some.\Last year's best student is a bit of a ditz, huh?\Nah, it's probably just because she doesn't have her silver pin yet.\Why her silver pin? response:	When you've got this, you can eat here for free.
context: Very cool.\Though you're not at all book smart.\Knock that off!\She forgot her lunch money, so I loaned her some.\Last year's best student is a bit of a ditz, huh?\Nah, it's probably just because she doesn't have her silver pin yet.\Why her silver pin?\When you've got this, you can eat here for free. response:	For real?
context: Though you're not at all book smart.\Knock that off!\She forgot her lunch money, so I loaned her some.\Last year's best student is a bit of a ditz, huh?\Nah, it's probably just because she doesn't have her silver pin yet.\Why her silver pin?\When you've got this, you can eat here for free.\For real? response:	We also get commute allowance, tuition exemption, and all sorts of perks.
context: Knock that off!\She forgot her lunch money, so I loaned her some.\Last year's best student is a bit of a ditz, huh?\Nah, it's probably just because she doesn't have her silver pin yet.\Why her silver pin?\When you've got this, you can eat here for free.\For real?\We also get commute allowance, tuition exemption, and all sorts of perks. response:	Whoa, that's pretty sweet.
context: She forgot her lunch money, so I loaned her some.\Last year's best student is a bit of a ditz, huh?\Nah, it's probably just because she doesn't have her silver pin yet.\Why her silver pin?\When you've got this, you can eat here for free.\For real?\We also get commute allowance, tuition exemption, and all sorts of perks.\Whoa, that's pretty sweet. response:	But we'll never even get a sniff of all that.
context: Last year's best student is a bit of a ditz, huh?\Nah, it's probably just because she doesn't have her silver pin yet.\Why her silver pin?\When you've got this, you can eat here for free.\For real?\We also get commute allowance, tuition exemption, and all sorts of perks.\Whoa, that's pretty sweet.\But we'll never even get a sniff of all that. response:	Oh, I get it now!
context: Nah, it's probably just because she doesn't have her silver pin yet.\Why her silver pin?\When you've got this, you can eat here for free.\For real?\We also get commute allowance, tuition exemption, and all sorts of perks.\Whoa, that's pretty sweet.\But we'll never even get a sniff of all that.\Oh, I get it now! response:	Kariu was trying for the silver pin
context: Why her silver pin?\When you've got this, you can eat here for free.\For real?\We also get commute allowance, tuition exemption, and all sorts of perks.\Whoa, that's pretty sweet.\But we'll never even get a sniff of all that.\Oh, I get it now!\Kariu was trying for the silver pin response:	No, she wasn't.
context: When you've got this, you can eat here for free.\For real?\We also get commute allowance, tuition exemption, and all sorts of perks.\Whoa, that's pretty sweet.\But we'll never even get a sniff of all that.\Oh, I get it now!\Kariu was trying for the silver pin\No, she wasn't. response:	Onoya-san, you're harsh.
context: For real?\We also get commute allowance, tuition exemption, and all sorts of perks.\Whoa, that's pretty sweet.\But we'll never even get a sniff of all that.\Oh, I get it now!\Kariu was trying for the silver pin\No, she wasn't.\Onoya-san, you're harsh. response:	Call me An.
context: We also get commute allowance, tuition exemption, and all sorts of perks.\Whoa, that's pretty sweet.\But we'll never even get a sniff of all that.\Oh, I get it now!\Kariu was trying for the silver pin\No, she wasn't.\Onoya-san, you're harsh.\Call me An. response:	Really?
context: Whoa, that's pretty sweet.\But we'll never even get a sniff of all that.\Oh, I get it now!\Kariu was trying for the silver pin\No, she wasn't.\Onoya-san, you're harsh.\Call me An.\Really? response:	Then, An-chan.
context: But we'll never even get a sniff of all that.\Oh, I get it now!\Kariu was trying for the silver pin\No, she wasn't.\Onoya-san, you're harsh.\Call me An.\Really?\Then, An-chan. response:	Feel free to call me Kazu-kun
context: Oh, I get it now!\Kariu was trying for the silver pin\No, she wasn't.\Onoya-san, you're harsh.\Call me An.\Really?\Then, An-chan.\Feel free to call me Kazu-kun response:	I'll stick with Oga-kun. It's easier.
context: Kariu was trying for the silver pin\No, she wasn't.\Onoya-san, you're harsh.\Call me An.\Really?\Then, An-chan.\Feel free to call me Kazu-kun\I'll stick with Oga-kun. It's easier. response:	Wh-What are you thinking?
context: No, she wasn't.\Onoya-san, you're harsh.\Call me An.\Really?\Then, An-chan.\Feel free to call me Kazu-kun\I'll stick with Oga-kun. It's easier.\Wh-What are you thinking? response:	A cell phone at school?!
context: Onoya-san, you're harsh.\Call me An.\Really?\Then, An-chan.\Feel free to call me Kazu-kun\I'll stick with Oga-kun. It's easier.\Wh-What are you thinking?\A cell phone at school?! response:	They'll confiscate it!
context: Call me An.\Really?\Then, An-chan.\Feel free to call me Kazu-kun\I'll stick with Oga-kun. It's easier.\Wh-What are you thinking?\A cell phone at school?!\They'll confiscate it! response:	I read the school rules.
context: Really?\Then, An-chan.\Feel free to call me Kazu-kun\I'll stick with Oga-kun. It's easier.\Wh-What are you thinking?\A cell phone at school?!\They'll confiscate it!\I read the school rules. response:	They aren't banned.
context: Then, An-chan.\Feel free to call me Kazu-kun\I'll stick with Oga-kun. It's easier.\Wh-What are you thinking?\A cell phone at school?!\They'll confiscate it!\I read the school rules.\They aren't banned. response:	Gotta keep'em off or on vibrate in class, though.
context: Feel free to call me Kazu-kun\I'll stick with Oga-kun. It's easier.\Wh-What are you thinking?\A cell phone at school?!\They'll confiscate it!\I read the school rules.\They aren't banned.\Gotta keep'em off or on vibrate in class, though. response:	What? Really?
context: I'll stick with Oga-kun. It's easier.\Wh-What are you thinking?\A cell phone at school?!\They'll confiscate it!\I read the school rules.\They aren't banned.\Gotta keep'em off or on vibrate in class, though.\What? Really? response:	Can I get your number?
context: Wh-What are you thinking?\A cell phone at school?!\They'll confiscate it!\I read the school rules.\They aren't banned.\Gotta keep'em off or on vibrate in class, though.\What? Really?\Can I get your number? response:	Sure.
context: A cell phone at school?!\They'll confiscate it!\I read the school rules.\They aren't banned.\Gotta keep'em off or on vibrate in class, though.\What? Really?\Can I get your number?\Sure. response:	In my day, if you brought one in, they'd take it for a month!
context: They'll confiscate it!\I read the school rules.\They aren't banned.\Gotta keep'em off or on vibrate in class, though.\What? Really?\Can I get your number?\Sure.\In my day, if you brought one in, they'd take it for a month! response:	They don't even yell at you now?!
context: I read the school rules.\They aren't banned.\Gotta keep'em off or on vibrate in class, though.\What? Really?\Can I get your number?\Sure.\In my day, if you brought one in, they'd take it for a month!\They don't even yell at you now?! response:	Arata-kun, what's yours?
context: They aren't banned.\Gotta keep'em off or on vibrate in class, though.\What? Really?\Can I get your number?\Sure.\In my day, if you brought one in, they'd take it for a month!\They don't even yell at you now?!\Arata-kun, what's yours? response:	You should call me An, too.
context: Gotta keep'em off or on vibrate in class, though.\What? Really?\Can I get your number?\Sure.\In my day, if you brought one in, they'd take it for a month!\They don't even yell at you now?!\Arata-kun, what's yours?\You should call me An, too. response:	Sure. An, then.
context: What? Really?\Can I get your number?\Sure.\In my day, if you brought one in, they'd take it for a month!\They don't even yell at you now?!\Arata-kun, what's yours?\You should call me An, too.\Sure. An, then. response:	Whoa! You just dropped the honorific like it was nothing!
context: Can I get your number?\Sure.\In my day, if you brought one in, they'd take it for a month!\They don't even yell at you now?!\Arata-kun, what's yours?\You should call me An, too.\Sure. An, then.\Whoa! You just dropped the honorific like it was nothing! response:	You're surprisingly good with girls.
context: Sure.\In my day, if you brought one in, they'd take it for a month!\They don't even yell at you now?!\Arata-kun, what's yours?\You should call me An, too.\Sure. An, then.\Whoa! You just dropped the honorific like it was nothing!\You're surprisingly good with girls. response:	I'm normal.
context: In my day, if you brought one in, they'd take it for a month!\They don't even yell at you now?!\Arata-kun, what's yours?\You should call me An, too.\Sure. An, then.\Whoa! You just dropped the honorific like it was nothing!\You're surprisingly good with girls.\I'm normal. response:	You're just weirdly naive, Oga-kun.
context: They don't even yell at you now?!\Arata-kun, what's yours?\You should call me An, too.\Sure. An, then.\Whoa! You just dropped the honorific like it was nothing!\You're surprisingly good with girls.\I'm normal.\You're just weirdly naive, Oga-kun. response:	Apology Letter
context: Arata-kun, what's yours?\You should call me An, too.\Sure. An, then.\Whoa! You just dropped the honorific like it was nothing!\You're surprisingly good with girls.\I'm normal.\You're just weirdly naive, Oga-kun.\Apology Letter response:	An apology letter...
context: You should call me An, too.\Sure. An, then.\Whoa! You just dropped the honorific like it was nothing!\You're surprisingly good with girls.\I'm normal.\You're just weirdly naive, Oga-kun.\Apology Letter\An apology letter... response:	I wrote something, but is it good enough?
context: Sure. An, then.\Whoa! You just dropped the honorific like it was nothing!\You're surprisingly good with girls.\I'm normal.\You're just weirdly naive, Oga-kun.\Apology Letter\An apology letter...\I wrote something, but is it good enough? response:	I have written plenty of these for work, but...
context: Whoa! You just dropped the honorific like it was nothing!\You're surprisingly good with girls.\I'm normal.\You're just weirdly naive, Oga-kun.\Apology Letter\An apology letter...\I wrote something, but is it good enough?\I have written plenty of these for work, but... response:	The 1,000 yen,
context: You're surprisingly good with girls.\I'm normal.\You're just weirdly naive, Oga-kun.\Apology Letter\An apology letter...\I wrote something, but is it good enough?\I have written plenty of these for work, but...\The 1,000 yen, response:	score of four,
context: I'm normal.\You're just weirdly naive, Oga-kun.\Apology Letter\An apology letter...\I wrote something, but is it good enough?\I have written plenty of these for work, but...\The 1,000 yen,\score of four, response:	and cigarette guy.
context: You're just weirdly naive, Oga-kun.\Apology Letter\An apology letter...\I wrote something, but is it good enough?\I have written plenty of these for work, but...\The 1,000 yen,\score of four,\and cigarette guy. response:	Seriously, don't remember me like that!
context: Apology Letter\An apology letter...\I wrote something, but is it good enough?\I have written plenty of these for work, but...\The 1,000 yen,\score of four,\and cigarette guy.\Seriously, don't remember me like that! response:	Sorry. I couldn't recall your name.
context: An apology letter...\I wrote something, but is it good enough?\I have written plenty of these for work, but...\The 1,000 yen,\score of four,\and cigarette guy.\Seriously, don't remember me like that!\Sorry. I couldn't recall your name. response:	But you're smart.
context: I wrote something, but is it good enough?\I have written plenty of these for work, but...\The 1,000 yen,\score of four,\and cigarette guy.\Seriously, don't remember me like that!\Sorry. I couldn't recall your name.\But you're smart. response:	I think that's unrelated.
context: I have written plenty of these for work, but...\The 1,000 yen,\score of four,\and cigarette guy.\Seriously, don't remember me like that!\Sorry. I couldn't recall your name.\But you're smart.\I think that's unrelated. response:	It's Kaizaki.
