context: Woods... squirrel... lily... yellow... response:	Your late father's friend lives so deep in the forest.
context: Never mind. I can take care of it myself.\Don't you know you can make it worse with lack of care?!\- It's okay! - It's not okay!\- I said I'm all right! - You're not!\Am, too!\Sorry! I wanted to thank you.\- Huh? - Thank us for what?\Thank you, Kagome and Inuyasha... response:	for staying with me.
context: Don't you know you can make it worse with lack of care?!\- It's okay! - It's not okay!\- I said I'm all right! - You're not!\Am, too!\Sorry! I wanted to thank you.\- Huh? - Thank us for what?\Thank you, Kagome and Inuyasha...\for staying with me. response:	We'll get out of your way.
context: - It's okay! - It's not okay!\- I said I'm all right! - You're not!\Am, too!\Sorry! I wanted to thank you.\- Huh? - Thank us for what?\Thank you, Kagome and Inuyasha...\for staying with me.\We'll get out of your way. response:	Staying by her? Why wouldn't we?
context: - I said I'm all right! - You're not!\Am, too!\Sorry! I wanted to thank you.\- Huh? - Thank us for what?\Thank you, Kagome and Inuyasha...\for staying with me.\We'll get out of your way.\Staying by her? Why wouldn't we? response:	What was that?!
context: Am, too!\Sorry! I wanted to thank you.\- Huh? - Thank us for what?\Thank you, Kagome and Inuyasha...\for staying with me.\We'll get out of your way.\Staying by her? Why wouldn't we?\What was that?! response:	It came from over there!
context: Sorry! I wanted to thank you.\- Huh? - Thank us for what?\Thank you, Kagome and Inuyasha...\for staying with me.\We'll get out of your way.\Staying by her? Why wouldn't we?\What was that?!\It came from over there! response:	What's wrong?
context: - Huh? - Thank us for what?\Thank you, Kagome and Inuyasha...\for staying with me.\We'll get out of your way.\Staying by her? Why wouldn't we?\What was that?!\It came from over there!\What's wrong? response:	- Gramps... My gramps! - Is it a demon?!
context: Thank you, Kagome and Inuyasha...\for staying with me.\We'll get out of your way.\Staying by her? Why wouldn't we?\What was that?!\It came from over there!\What's wrong?\- Gramps... My gramps! - Is it a demon?! response:	Where is it, old man?! Where'd the demon go?!
context: for staying with me.\We'll get out of your way.\Staying by her? Why wouldn't we?\What was that?!\It came from over there!\What's wrong?\- Gramps... My gramps! - Is it a demon?!\Where is it, old man?! Where'd the demon go?! response:	I don't sense any demons.
context: We'll get out of your way.\Staying by her? Why wouldn't we?\What was that?!\It came from over there!\What's wrong?\- Gramps... My gramps! - Is it a demon?!\Where is it, old man?! Where'd the demon go?!\I don't sense any demons. response:	Over here! Over here! I tripped...
context: Staying by her? Why wouldn't we?\What was that?!\It came from over there!\What's wrong?\- Gramps... My gramps! - Is it a demon?!\Where is it, old man?! Where'd the demon go?!\I don't sense any demons.\Over here! Over here! I tripped... response:	What?!
context: What was that?!\It came from over there!\What's wrong?\- Gramps... My gramps! - Is it a demon?!\Where is it, old man?! Where'd the demon go?!\I don't sense any demons.\Over here! Over here! I tripped...\What?! response:	I'm saved!
context: It came from over there!\What's wrong?\- Gramps... My gramps! - Is it a demon?!\Where is it, old man?! Where'd the demon go?!\I don't sense any demons.\Over here! Over here! I tripped...\What?!\I'm saved! response:	Cripes! I thought a demon attacked. Getting us all worked up over nothing.
context: What's wrong?\- Gramps... My gramps! - Is it a demon?!\Where is it, old man?! Where'd the demon go?!\I don't sense any demons.\Over here! Over here! I tripped...\What?!\I'm saved!\Cripes! I thought a demon attacked. Getting us all worked up over nothing. response:	Good thing, Gramps.
context: - Gramps... My gramps! - Is it a demon?!\Where is it, old man?! Where'd the demon go?!\I don't sense any demons.\Over here! Over here! I tripped...\What?!\I'm saved!\Cripes! I thought a demon attacked. Getting us all worked up over nothing.\Good thing, Gramps. response:	Thank you so much!
context: Where is it, old man?! Where'd the demon go?!\I don't sense any demons.\Over here! Over here! I tripped...\What?!\I'm saved!\Cripes! I thought a demon attacked. Getting us all worked up over nothing.\Good thing, Gramps.\Thank you so much! response:	I twisted my ankle and had fallen...
context: I don't sense any demons.\Over here! Over here! I tripped...\What?!\I'm saved!\Cripes! I thought a demon attacked. Getting us all worked up over nothing.\Good thing, Gramps.\Thank you so much!\I twisted my ankle and had fallen... response:	And now, you even carry me like this.
context: Over here! Over here! I tripped...\What?!\I'm saved!\Cripes! I thought a demon attacked. Getting us all worked up over nothing.\Good thing, Gramps.\Thank you so much!\I twisted my ankle and had fallen...\And now, you even carry me like this. response:	No, no. It's on our way.
context: What?!\I'm saved!\Cripes! I thought a demon attacked. Getting us all worked up over nothing.\Good thing, Gramps.\Thank you so much!\I twisted my ankle and had fallen...\And now, you even carry me like this.\No, no. It's on our way. response:	Nothing to worry about.
context: I'm saved!\Cripes! I thought a demon attacked. Getting us all worked up over nothing.\Good thing, Gramps.\Thank you so much!\I twisted my ankle and had fallen...\And now, you even carry me like this.\No, no. It's on our way.\Nothing to worry about. response:	- Right, Inuyasha? - Tsk!
context: Cripes! I thought a demon attacked. Getting us all worked up over nothing.\Good thing, Gramps.\Thank you so much!\I twisted my ankle and had fallen...\And now, you even carry me like this.\No, no. It's on our way.\Nothing to worry about.\- Right, Inuyasha? - Tsk! response:	Thank you very much.
context: Good thing, Gramps.\Thank you so much!\I twisted my ankle and had fallen...\And now, you even carry me like this.\No, no. It's on our way.\Nothing to worry about.\- Right, Inuyasha? - Tsk!\Thank you very much. response:	Oh, the village!
context: Thank you so much!\I twisted my ankle and had fallen...\And now, you even carry me like this.\No, no. It's on our way.\Nothing to worry about.\- Right, Inuyasha? - Tsk!\Thank you very much.\Oh, the village! response:	Yes, I can see it.
context: I twisted my ankle and had fallen...\And now, you even carry me like this.\No, no. It's on our way.\Nothing to worry about.\- Right, Inuyasha? - Tsk!\Thank you very much.\Oh, the village!\Yes, I can see it. response:	- Take care. - Yes.
context: And now, you even carry me like this.\No, no. It's on our way.\Nothing to worry about.\- Right, Inuyasha? - Tsk!\Thank you very much.\Oh, the village!\Yes, I can see it.\- Take care. - Yes. response:	Thanks, Sis... And Mr. Dog-Man.
context: No, no. It's on our way.\Nothing to worry about.\- Right, Inuyasha? - Tsk!\Thank you very much.\Oh, the village!\Yes, I can see it.\- Take care. - Yes.\Thanks, Sis... And Mr. Dog-Man. response:	Dog-Man?!
context: Nothing to worry about.\- Right, Inuyasha? - Tsk!\Thank you very much.\Oh, the village!\Yes, I can see it.\- Take care. - Yes.\Thanks, Sis... And Mr. Dog-Man.\Dog-Man?! response:	Inuyasha...
context: - Right, Inuyasha? - Tsk!\Thank you very much.\Oh, the village!\Yes, I can see it.\- Take care. - Yes.\Thanks, Sis... And Mr. Dog-Man.\Dog-Man?!\Inuyasha... response:	As thanks, I'm giving you my treasure.
context: Thank you very much.\Oh, the village!\Yes, I can see it.\- Take care. - Yes.\Thanks, Sis... And Mr. Dog-Man.\Dog-Man?!\Inuyasha...\As thanks, I'm giving you my treasure. response:	'Bye!
context: Oh, the village!\Yes, I can see it.\- Take care. - Yes.\Thanks, Sis... And Mr. Dog-Man.\Dog-Man?!\Inuyasha...\As thanks, I'm giving you my treasure.\'Bye! response:	- What did he give you? - A snake's molted skin.
context: Yes, I can see it.\- Take care. - Yes.\Thanks, Sis... And Mr. Dog-Man.\Dog-Man?!\Inuyasha...\As thanks, I'm giving you my treasure.\'Bye!\- What did he give you? - A snake's molted skin. response:	Wow! A molted skin?
context: - Take care. - Yes.\Thanks, Sis... And Mr. Dog-Man.\Dog-Man?!\Inuyasha...\As thanks, I'm giving you my treasure.\'Bye!\- What did he give you? - A snake's molted skin.\Wow! A molted skin? response:	Wow! Inuyasha, can I have it?
context: Thanks, Sis... And Mr. Dog-Man.\Dog-Man?!\Inuyasha...\As thanks, I'm giving you my treasure.\'Bye!\- What did he give you? - A snake's molted skin.\Wow! A molted skin?\Wow! Inuyasha, can I have it? response:	Dang! We have no time to be saving people!
context: Dog-Man?!\Inuyasha...\As thanks, I'm giving you my treasure.\'Bye!\- What did he give you? - A snake's molted skin.\Wow! A molted skin?\Wow! Inuyasha, can I have it?\Dang! We have no time to be saving people! response:	But we're walking this route anyway!
context: Inuyasha...\As thanks, I'm giving you my treasure.\'Bye!\- What did he give you? - A snake's molted skin.\Wow! A molted skin?\Wow! Inuyasha, can I have it?\Dang! We have no time to be saving people!\But we're walking this route anyway! response:	Whenever you do a good deed, you become ill-tempered.
context: As thanks, I'm giving you my treasure.\'Bye!\- What did he give you? - A snake's molted skin.\Wow! A molted skin?\Wow! Inuyasha, can I have it?\Dang! We have no time to be saving people!\But we're walking this route anyway!\Whenever you do a good deed, you become ill-tempered. response:	Inuyasha?
context: 'Bye!\- What did he give you? - A snake's molted skin.\Wow! A molted skin?\Wow! Inuyasha, can I have it?\Dang! We have no time to be saving people!\But we're walking this route anyway!\Whenever you do a good deed, you become ill-tempered.\Inuyasha? response:	What's the matter, Inuyasha?
context: - What did he give you? - A snake's molted skin.\Wow! A molted skin?\Wow! Inuyasha, can I have it?\Dang! We have no time to be saving people!\But we're walking this route anyway!\Whenever you do a good deed, you become ill-tempered.\Inuyasha?\What's the matter, Inuyasha? response:	I smell human blood.
context: Wow! A molted skin?\Wow! Inuyasha, can I have it?\Dang! We have no time to be saving people!\But we're walking this route anyway!\Whenever you do a good deed, you become ill-tempered.\Inuyasha?\What's the matter, Inuyasha?\I smell human blood. response:	What?!
context: Wow! Inuyasha, can I have it?\Dang! We have no time to be saving people!\But we're walking this route anyway!\Whenever you do a good deed, you become ill-tempered.\Inuyasha?\What's the matter, Inuyasha?\I smell human blood.\What?! response:	And I smell a lot of it.
context: Dang! We have no time to be saving people!\But we're walking this route anyway!\Whenever you do a good deed, you become ill-tempered.\Inuyasha?\What's the matter, Inuyasha?\I smell human blood.\What?!\And I smell a lot of it. response:	There's smoke!
context: But we're walking this route anyway!\Whenever you do a good deed, you become ill-tempered.\Inuyasha?\What's the matter, Inuyasha?\I smell human blood.\What?!\And I smell a lot of it.\There's smoke! response:	Isn't that in the direction of that kid's village?
context: Whenever you do a good deed, you become ill-tempered.\Inuyasha?\What's the matter, Inuyasha?\I smell human blood.\What?!\And I smell a lot of it.\There's smoke!\Isn't that in the direction of that kid's village? response:	They've been attacked!
context: Inuyasha?\What's the matter, Inuyasha?\I smell human blood.\What?!\And I smell a lot of it.\There's smoke!\Isn't that in the direction of that kid's village?\They've been attacked! response:	The boy...
context: What's the matter, Inuyasha?\I smell human blood.\What?!\And I smell a lot of it.\There's smoke!\Isn't that in the direction of that kid's village?\They've been attacked!\The boy... response:	Gramps...
context: I smell human blood.\What?!\And I smell a lot of it.\There's smoke!\Isn't that in the direction of that kid's village?\They've been attacked!\The boy...\Gramps... response:	Hang on!
context: What?!\And I smell a lot of it.\There's smoke!\Isn't that in the direction of that kid's village?\They've been attacked!\The boy...\Gramps...\Hang on! response:	Are you all right?!
context: And I smell a lot of it.\There's smoke!\Isn't that in the direction of that kid's village?\They've been attacked!\The boy...\Gramps...\Hang on!\Are you all right?! response:	Please help...
context: There's smoke!\Isn't that in the direction of that kid's village?\They've been attacked!\The boy...\Gramps...\Hang on!\Are you all right?!\Please help... response:	- Kagome, take care of the kid. - Okay.
context: Isn't that in the direction of that kid's village?\They've been attacked!\The boy...\Gramps...\Hang on!\Are you all right?!\Please help...\- Kagome, take care of the kid. - Okay. response:	- Sango, stay and protect Kagome. - Got it!
context: They've been attacked!\The boy...\Gramps...\Hang on!\Are you all right?!\Please help...\- Kagome, take care of the kid. - Okay.\- Sango, stay and protect Kagome. - Got it! response:	- Let's hurry, Miroku! - Coming!
context: The boy...\Gramps...\Hang on!\Are you all right?!\Please help...\- Kagome, take care of the kid. - Okay.\- Sango, stay and protect Kagome. - Got it!\- Let's hurry, Miroku! - Coming! response:	I like this village.
context: Gramps...\Hang on!\Are you all right?!\Please help...\- Kagome, take care of the kid. - Okay.\- Sango, stay and protect Kagome. - Got it!\- Let's hurry, Miroku! - Coming!\I like this village. response:	We'll camp out here until the food runs out.
context: Hang on!\Are you all right?!\Please help...\- Kagome, take care of the kid. - Okay.\- Sango, stay and protect Kagome. - Got it!\- Let's hurry, Miroku! - Coming!\I like this village.\We'll camp out here until the food runs out. response:	Gather the women in one place!
context: Are you all right?!\Please help...\- Kagome, take care of the kid. - Okay.\- Sango, stay and protect Kagome. - Got it!\- Let's hurry, Miroku! - Coming!\I like this village.\We'll camp out here until the food runs out.\Gather the women in one place! response:	If you try to escape, we'll kill you!
context: Please help...\- Kagome, take care of the kid. - Okay.\- Sango, stay and protect Kagome. - Got it!\- Let's hurry, Miroku! - Coming!\I like this village.\We'll camp out here until the food runs out.\Gather the women in one place!\If you try to escape, we'll kill you! response:	Roving bandits!
context: - Kagome, take care of the kid. - Okay.\- Sango, stay and protect Kagome. - Got it!\- Let's hurry, Miroku! - Coming!\I like this village.\We'll camp out here until the food runs out.\Gather the women in one place!\If you try to escape, we'll kill you!\Roving bandits! response:	Why you!
context: - Sango, stay and protect Kagome. - Got it!\- Let's hurry, Miroku! - Coming!\I like this village.\We'll camp out here until the food runs out.\Gather the women in one place!\If you try to escape, we'll kill you!\Roving bandits!\Why you! response:	I'll take care of you small fry later.
context: - Let's hurry, Miroku! - Coming!\I like this village.\We'll camp out here until the food runs out.\Gather the women in one place!\If you try to escape, we'll kill you!\Roving bandits!\Why you!\I'll take care of you small fry later. response:	Where's your leader?
context: I like this village.\We'll camp out here until the food runs out.\Gather the women in one place!\If you try to escape, we'll kill you!\Roving bandits!\Why you!\I'll take care of you small fry later.\Where's your leader? response:	Inuyasha, among the bandits.
context: We'll camp out here until the food runs out.\Gather the women in one place!\If you try to escape, we'll kill you!\Roving bandits!\Why you!\I'll take care of you small fry later.\Where's your leader?\Inuyasha, among the bandits. response:	Yeah... I smell it.
context: Gather the women in one place!\If you try to escape, we'll kill you!\Roving bandits!\Why you!\I'll take care of you small fry later.\Where's your leader?\Inuyasha, among the bandits.\Yeah... I smell it. response:	There's a demon in their midst.
context: If you try to escape, we'll kill you!\Roving bandits!\Why you!\I'll take care of you small fry later.\Where's your leader?\Inuyasha, among the bandits.\Yeah... I smell it.\There's a demon in their midst. response:	Kid... you have an interesting sword.
context: Roving bandits!\Why you!\I'll take care of you small fry later.\Where's your leader?\Inuyasha, among the bandits.\Yeah... I smell it.\There's a demon in their midst.\Kid... you have an interesting sword. response:	Are you the demon...
context: Why you!\I'll take care of you small fry later.\Where's your leader?\Inuyasha, among the bandits.\Yeah... I smell it.\There's a demon in their midst.\Kid... you have an interesting sword.\Are you the demon... response:	controlling a bunch of bandits?
context: I'll take care of you small fry later.\Where's your leader?\Inuyasha, among the bandits.\Yeah... I smell it.\There's a demon in their midst.\Kid... you have an interesting sword.\Are you the demon...\controlling a bunch of bandits? response:	The leader is a demon?!
context: Where's your leader?\Inuyasha, among the bandits.\Yeah... I smell it.\There's a demon in their midst.\Kid... you have an interesting sword.\Are you the demon...\controlling a bunch of bandits?\The leader is a demon?! response:	You must be kidding!
context: Inuyasha, among the bandits.\Yeah... I smell it.\There's a demon in their midst.\Kid... you have an interesting sword.\Are you the demon...\controlling a bunch of bandits?\The leader is a demon?!\You must be kidding! response:	Kid... hand over that sword.
context: Yeah... I smell it.\There's a demon in their midst.\Kid... you have an interesting sword.\Are you the demon...\controlling a bunch of bandits?\The leader is a demon?!\You must be kidding!\Kid... hand over that sword. response:	What?! What're you mumbling about?
context: There's a demon in their midst.\Kid... you have an interesting sword.\Are you the demon...\controlling a bunch of bandits?\The leader is a demon?!\You must be kidding!\Kid... hand over that sword.\What?! What're you mumbling about? response:	Be careful, Inuyasha!
context: Kid... you have an interesting sword.\Are you the demon...\controlling a bunch of bandits?\The leader is a demon?!\You must be kidding!\Kid... hand over that sword.\What?! What're you mumbling about?\Be careful, Inuyasha! response:	As if I'm gonna lose!
context: Are you the demon...\controlling a bunch of bandits?\The leader is a demon?!\You must be kidding!\Kid... hand over that sword.\What?! What're you mumbling about?\Be careful, Inuyasha!\As if I'm gonna lose! response:	If you won't hand over that sword I'll take it from you.
context: controlling a bunch of bandits?\The leader is a demon?!\You must be kidding!\Kid... hand over that sword.\What?! What're you mumbling about?\Be careful, Inuyasha!\As if I'm gonna lose!\If you won't hand over that sword I'll take it from you. response:	Sounds fun to me! Take it if you can!
context: The leader is a demon?!\You must be kidding!\Kid... hand over that sword.\What?! What're you mumbling about?\Be careful, Inuyasha!\As if I'm gonna lose!\If you won't hand over that sword I'll take it from you.\Sounds fun to me! Take it if you can! response:	Inuyasha still has difficulty wielding that sword. Will he be okay?
context: You must be kidding!\Kid... hand over that sword.\What?! What're you mumbling about?\Be careful, Inuyasha!\As if I'm gonna lose!\If you won't hand over that sword I'll take it from you.\Sounds fun to me! Take it if you can!\Inuyasha still has difficulty wielding that sword. Will he be okay? response:	I'll cut the dirty hide off your back, demon!
context: Kid... hand over that sword.\What?! What're you mumbling about?\Be careful, Inuyasha!\As if I'm gonna lose!\If you won't hand over that sword I'll take it from you.\Sounds fun to me! Take it if you can!\Inuyasha still has difficulty wielding that sword. Will he be okay?\I'll cut the dirty hide off your back, demon! response:	- Chief! - The Chief's giant hatchet!
context: What?! What're you mumbling about?\Be careful, Inuyasha!\As if I'm gonna lose!\If you won't hand over that sword I'll take it from you.\Sounds fun to me! Take it if you can!\Inuyasha still has difficulty wielding that sword. Will he be okay?\I'll cut the dirty hide off your back, demon!\- Chief! - The Chief's giant hatchet! response:	Serves you right!
context: Be careful, Inuyasha!\As if I'm gonna lose!\If you won't hand over that sword I'll take it from you.\Sounds fun to me! Take it if you can!\Inuyasha still has difficulty wielding that sword. Will he be okay?\I'll cut the dirty hide off your back, demon!\- Chief! - The Chief's giant hatchet!\Serves you right! response:	That's a pretty sharp sword.
context: As if I'm gonna lose!\If you won't hand over that sword I'll take it from you.\Sounds fun to me! Take it if you can!\Inuyasha still has difficulty wielding that sword. Will he be okay?\I'll cut the dirty hide off your back, demon!\- Chief! - The Chief's giant hatchet!\Serves you right!\That's a pretty sharp sword. response:	You understand? Then prepare to die!
context: If you won't hand over that sword I'll take it from you.\Sounds fun to me! Take it if you can!\Inuyasha still has difficulty wielding that sword. Will he be okay?\I'll cut the dirty hide off your back, demon!\- Chief! - The Chief's giant hatchet!\Serves you right!\That's a pretty sharp sword.\You understand? Then prepare to die! response:	This calls for a shield.
context: Sounds fun to me! Take it if you can!\Inuyasha still has difficulty wielding that sword. Will he be okay?\I'll cut the dirty hide off your back, demon!\- Chief! - The Chief's giant hatchet!\Serves you right!\That's a pretty sharp sword.\You understand? Then prepare to die!\This calls for a shield. response:	W-what?!
context: Inuyasha still has difficulty wielding that sword. Will he be okay?\I'll cut the dirty hide off your back, demon!\- Chief! - The Chief's giant hatchet!\Serves you right!\That's a pretty sharp sword.\You understand? Then prepare to die!\This calls for a shield.\W-what?! response:	You've been showered with my poison powder!
context: I'll cut the dirty hide off your back, demon!\- Chief! - The Chief's giant hatchet!\Serves you right!\That's a pretty sharp sword.\You understand? Then prepare to die!\This calls for a shield.\W-what?!\You've been showered with my poison powder! response:	W-why you!
context: - Chief! - The Chief's giant hatchet!\Serves you right!\That's a pretty sharp sword.\You understand? Then prepare to die!\This calls for a shield.\W-what?!\You've been showered with my poison powder!\W-why you! response:	An amazing sword! I like it more and more!
context: Serves you right!\That's a pretty sharp sword.\You understand? Then prepare to die!\This calls for a shield.\W-what?!\You've been showered with my poison powder!\W-why you!\An amazing sword! I like it more and more! response:	No!
context: That's a pretty sharp sword.\You understand? Then prepare to die!\This calls for a shield.\W-what?!\You've been showered with my poison powder!\W-why you!\An amazing sword! I like it more and more!\No! response:	Troublesome kid...
context: You understand? Then prepare to die!\This calls for a shield.\W-what?!\You've been showered with my poison powder!\W-why you!\An amazing sword! I like it more and more!\No!\Troublesome kid... response:	T-that's!
context: This calls for a shield.\W-what?!\You've been showered with my poison powder!\W-why you!\An amazing sword! I like it more and more!\No!\Troublesome kid...\T-that's! response:	Chief!
context: W-what?!\You've been showered with my poison powder!\W-why you!\An amazing sword! I like it more and more!\No!\Troublesome kid...\T-that's!\Chief! response:	What's wrong?
context: You've been showered with my poison powder!\W-why you!\An amazing sword! I like it more and more!\No!\Troublesome kid...\T-that's!\Chief!\What's wrong? response:	Afraid, now that you know I'm a demon?
context: W-why you!\An amazing sword! I like it more and more!\No!\Troublesome kid...\T-that's!\Chief!\What's wrong?\Afraid, now that you know I'm a demon? response:	No way!
context: An amazing sword! I like it more and more!\No!\Troublesome kid...\T-that's!\Chief!\What's wrong?\Afraid, now that you know I'm a demon?\No way! response:	A strong demon for a leader will make us invincible!
context: No!\Troublesome kid...\T-that's!\Chief!\What's wrong?\Afraid, now that you know I'm a demon?\No way!\A strong demon for a leader will make us invincible! response:	We'll continue to follow you!
context: Troublesome kid...\T-that's!\Chief!\What's wrong?\Afraid, now that you know I'm a demon?\No way!\A strong demon for a leader will make us invincible!\We'll continue to follow you! response:	Serves'em right!
context: T-that's!\Chief!\What's wrong?\Afraid, now that you know I'm a demon?\No way!\A strong demon for a leader will make us invincible!\We'll continue to follow you!\Serves'em right! response:	It's a poison cocoon. If you touch it, you'll melt away.
context: Chief!\What's wrong?\Afraid, now that you know I'm a demon?\No way!\A strong demon for a leader will make us invincible!\We'll continue to follow you!\Serves'em right!\It's a poison cocoon. If you touch it, you'll melt away. response:	The two inside have totally disintegrated.
context: What's wrong?\Afraid, now that you know I'm a demon?\No way!\A strong demon for a leader will make us invincible!\We'll continue to follow you!\Serves'em right!\It's a poison cocoon. If you touch it, you'll melt away.\The two inside have totally disintegrated. response:	It's a poison cocoon. Anyone who touches it will melt away.
context: Afraid, now that you know I'm a demon?\No way!\A strong demon for a leader will make us invincible!\We'll continue to follow you!\Serves'em right!\It's a poison cocoon. If you touch it, you'll melt away.\The two inside have totally disintegrated.\It's a poison cocoon. Anyone who touches it will melt away. response:	Even those two inside...
context: No way!\A strong demon for a leader will make us invincible!\We'll continue to follow you!\Serves'em right!\It's a poison cocoon. If you touch it, you'll melt away.\The two inside have totally disintegrated.\It's a poison cocoon. Anyone who touches it will melt away.\Even those two inside... response:	Hmm?
context: A strong demon for a leader will make us invincible!\We'll continue to follow you!\Serves'em right!\It's a poison cocoon. If you touch it, you'll melt away.\The two inside have totally disintegrated.\It's a poison cocoon. Anyone who touches it will melt away.\Even those two inside...\Hmm? response:	They're still inside!
context: We'll continue to follow you!\Serves'em right!\It's a poison cocoon. If you touch it, you'll melt away.\The two inside have totally disintegrated.\It's a poison cocoon. Anyone who touches it will melt away.\Even those two inside...\Hmm?\They're still inside! response:	Oh... so they've created a barrier on the inside.
context: Serves'em right!\It's a poison cocoon. If you touch it, you'll melt away.\The two inside have totally disintegrated.\It's a poison cocoon. Anyone who touches it will melt away.\Even those two inside...\Hmm?\They're still inside!\Oh... so they've created a barrier on the inside. response:	Inuyasha... can you move?
context: It's a poison cocoon. If you touch it, you'll melt away.\The two inside have totally disintegrated.\It's a poison cocoon. Anyone who touches it will melt away.\Even those two inside...\Hmm?\They're still inside!\Oh... so they've created a barrier on the inside.\Inuyasha... can you move? response:	Damn... Of course! I'll rip apart this stupid cocoon!
context: The two inside have totally disintegrated.\It's a poison cocoon. Anyone who touches it will melt away.\Even those two inside...\Hmm?\They're still inside!\Oh... so they've created a barrier on the inside.\Inuyasha... can you move?\Damn... Of course! I'll rip apart this stupid cocoon! response:	Inuyasha!
context: It's a poison cocoon. Anyone who touches it will melt away.\Even those two inside...\Hmm?\They're still inside!\Oh... so they've created a barrier on the inside.\Inuyasha... can you move?\Damn... Of course! I'll rip apart this stupid cocoon!\Inuyasha! response:	It seems you can't move your body.
context: Even those two inside...\Hmm?\They're still inside!\Oh... so they've created a barrier on the inside.\Inuyasha... can you move?\Damn... Of course! I'll rip apart this stupid cocoon!\Inuyasha!\It seems you can't move your body. response:	The poison powder has entered through your wound.
context: Hmm?\They're still inside!\Oh... so they've created a barrier on the inside.\Inuyasha... can you move?\Damn... Of course! I'll rip apart this stupid cocoon!\Inuyasha!\It seems you can't move your body.\The poison powder has entered through your wound. response:	It will fester slowly.
context: They're still inside!\Oh... so they've created a barrier on the inside.\Inuyasha... can you move?\Damn... Of course! I'll rip apart this stupid cocoon!\Inuyasha!\It seems you can't move your body.\The poison powder has entered through your wound.\It will fester slowly. response:	Hey... get it.
context: Oh... so they've created a barrier on the inside.\Inuyasha... can you move?\Damn... Of course! I'll rip apart this stupid cocoon!\Inuyasha!\It seems you can't move your body.\The poison powder has entered through your wound.\It will fester slowly.\Hey... get it. response:	Yes... sir!
context: Inuyasha... can you move?\Damn... Of course! I'll rip apart this stupid cocoon!\Inuyasha!\It seems you can't move your body.\The poison powder has entered through your wound.\It will fester slowly.\Hey... get it.\Yes... sir! response:	Tetsusaiga!
context: Damn... Of course! I'll rip apart this stupid cocoon!\Inuyasha!\It seems you can't move your body.\The poison powder has entered through your wound.\It will fester slowly.\Hey... get it.\Yes... sir!\Tetsusaiga! response:	Here you are, Chief.
context: Inuyasha!\It seems you can't move your body.\The poison powder has entered through your wound.\It will fester slowly.\Hey... get it.\Yes... sir!\Tetsusaiga!\Here you are, Chief. response:	The Tetsusaiga has rejected him!
context: It seems you can't move your body.\The poison powder has entered through your wound.\It will fester slowly.\Hey... get it.\Yes... sir!\Tetsusaiga!\Here you are, Chief.\The Tetsusaiga has rejected him! response:	Chief?
context: The poison powder has entered through your wound.\It will fester slowly.\Hey... get it.\Yes... sir!\Tetsusaiga!\Here you are, Chief.\The Tetsusaiga has rejected him!\Chief? response:	Kid... what's the meaning of this?
context: It will fester slowly.\Hey... get it.\Yes... sir!\Tetsusaiga!\Here you are, Chief.\The Tetsusaiga has rejected him!\Chief?\Kid... what's the meaning of this? response:	Why does this sword reject me?!
context: Hey... get it.\Yes... sir!\Tetsusaiga!\Here you are, Chief.\The Tetsusaiga has rejected him!\Chief?\Kid... what's the meaning of this?\Why does this sword reject me?! response:	My sword Tetsusaiga... is choosy about who wields it.
context: Yes... sir!\Tetsusaiga!\Here you are, Chief.\The Tetsusaiga has rejected him!\Chief?\Kid... what's the meaning of this?\Why does this sword reject me?!\My sword Tetsusaiga... is choosy about who wields it. response:	It won't let a low-class demon like you near it!
context: Tetsusaiga!\Here you are, Chief.\The Tetsusaiga has rejected him!\Chief?\Kid... what's the meaning of this?\Why does this sword reject me?!\My sword Tetsusaiga... is choosy about who wields it.\It won't let a low-class demon like you near it! response:	But this low-class bandit was allowed to?
context: Here you are, Chief.\The Tetsusaiga has rejected him!\Chief?\Kid... what's the meaning of this?\Why does this sword reject me?!\My sword Tetsusaiga... is choosy about who wields it.\It won't let a low-class demon like you near it!\But this low-class bandit was allowed to? response:	Low-class? C'mon, Chief!
context: The Tetsusaiga has rejected him!\Chief?\Kid... what's the meaning of this?\Why does this sword reject me?!\My sword Tetsusaiga... is choosy about who wields it.\It won't let a low-class demon like you near it!\But this low-class bandit was allowed to?\Low-class? C'mon, Chief! response:	I see... kid. So you're a half-demon?
context: Chief?\Kid... what's the meaning of this?\Why does this sword reject me?!\My sword Tetsusaiga... is choosy about who wields it.\It won't let a low-class demon like you near it!\But this low-class bandit was allowed to?\Low-class? C'mon, Chief!\I see... kid. So you're a half-demon? response:	What a joke!
context: Kid... what's the meaning of this?\Why does this sword reject me?!\My sword Tetsusaiga... is choosy about who wields it.\It won't let a low-class demon like you near it!\But this low-class bandit was allowed to?\Low-class? C'mon, Chief!\I see... kid. So you're a half-demon?\What a joke! response:	A half-demon like you had the gall...
context: Why does this sword reject me?!\My sword Tetsusaiga... is choosy about who wields it.\It won't let a low-class demon like you near it!\But this low-class bandit was allowed to?\Low-class? C'mon, Chief!\I see... kid. So you're a half-demon?\What a joke!\A half-demon like you had the gall... response:	to pick a fight with me, the demon Gatenmaru!
context: My sword Tetsusaiga... is choosy about who wields it.\It won't let a low-class demon like you near it!\But this low-class bandit was allowed to?\Low-class? C'mon, Chief!\I see... kid. So you're a half-demon?\What a joke!\A half-demon like you had the gall...\to pick a fight with me, the demon Gatenmaru! response:	They're late. Something must've happened in the village.
