context: She should be at the temple at this hour. response:	The line to see the Lady Cleric is here.
context: Buh-ling!\But this is going to affect my life.\I just need to use Editor to tinker with it a bit.\Lucky Lecher.\Lucky Lecher\Causes erotic situations to occur\Causes erotic situations to occur with nearby members of the opposite sex.\with nearby members of the opposite sex. response:	Just need to add rarely.
context: But this is going to affect my life.\I just need to use Editor to tinker with it a bit.\Lucky Lecher.\Lucky Lecher\Causes erotic situations to occur\Causes erotic situations to occur with nearby members of the opposite sex.\with nearby members of the opposite sex.\Just need to add rarely. response:	Spent
context: I just need to use Editor to tinker with it a bit.\Lucky Lecher.\Lucky Lecher\Causes erotic situations to occur\Causes erotic situations to occur with nearby members of the opposite sex.\with nearby members of the opposite sex.\Just need to add rarely.\Spent response:	with nearby members of the opposite sex.
context: Lucky Lecher.\Lucky Lecher\Causes erotic situations to occur\Causes erotic situations to occur with nearby members of the opposite sex.\with nearby members of the opposite sex.\Just need to add rarely.\Spent\with nearby members of the opposite sex. response:	rarely
context: Lucky Lecher\Causes erotic situations to occur\Causes erotic situations to occur with nearby members of the opposite sex.\with nearby members of the opposite sex.\Just need to add rarely.\Spent\with nearby members of the opposite sex.\rarely response:	As well as, Skill will not trigger during serious situations.
context: Causes erotic situations to occur\Causes erotic situations to occur with nearby members of the opposite sex.\with nearby members of the opposite sex.\Just need to add rarely.\Spent\with nearby members of the opposite sex.\rarely\As well as, Skill will not trigger during serious situations. response:	Spent
context: Causes erotic situations to occur with nearby members of the opposite sex.\with nearby members of the opposite sex.\Just need to add rarely.\Spent\with nearby members of the opposite sex.\rarely\As well as, Skill will not trigger during serious situations.\Spent response:	Skill will not trigger during serious situations.
context: with nearby members of the opposite sex.\Just need to add rarely.\Spent\with nearby members of the opposite sex.\rarely\As well as, Skill will not trigger during serious situations.\Spent\Skill will not trigger during serious situations. response:	Gotta make sure these only happen at the right time.
context: Just need to add rarely.\Spent\with nearby members of the opposite sex.\rarely\As well as, Skill will not trigger during serious situations.\Spent\Skill will not trigger during serious situations.\Gotta make sure these only happen at the right time. response:	Hey! What are you smirking about?!
context: Spent\with nearby members of the opposite sex.\rarely\As well as, Skill will not trigger during serious situations.\Spent\Skill will not trigger during serious situations.\Gotta make sure these only happen at the right time.\Hey! What are you smirking about?! response:	I-I'm not!
context: with nearby members of the opposite sex.\rarely\As well as, Skill will not trigger during serious situations.\Spent\Skill will not trigger during serious situations.\Gotta make sure these only happen at the right time.\Hey! What are you smirking about?!\I-I'm not! response:	You were totally staring at those other girls, too!
context: rarely\As well as, Skill will not trigger during serious situations.\Spent\Skill will not trigger during serious situations.\Gotta make sure these only happen at the right time.\Hey! What are you smirking about?!\I-I'm not!\You were totally staring at those other girls, too! response:	That must be Noir.
context: As well as, Skill will not trigger during serious situations.\Spent\Skill will not trigger during serious situations.\Gotta make sure these only happen at the right time.\Hey! What are you smirking about?!\I-I'm not!\You were totally staring at those other girls, too!\That must be Noir. response:	Noir, you doofus!
context: Spent\Skill will not trigger during serious situations.\Gotta make sure these only happen at the right time.\Hey! What are you smirking about?!\I-I'm not!\You were totally staring at those other girls, too!\That must be Noir.\Noir, you doofus! response:	He's pretty cute.
context: Skill will not trigger during serious situations.\Gotta make sure these only happen at the right time.\Hey! What are you smirking about?!\I-I'm not!\You were totally staring at those other girls, too!\That must be Noir.\Noir, you doofus!\He's pretty cute. response:	Just my type, actually.
context: Gotta make sure these only happen at the right time.\Hey! What are you smirking about?!\I-I'm not!\You were totally staring at those other girls, too!\That must be Noir.\Noir, you doofus!\He's pretty cute.\Just my type, actually. response:	Uh, Luna? What's that supposed to mean?!
context: Hey! What are you smirking about?!\I-I'm not!\You were totally staring at those other girls, too!\That must be Noir.\Noir, you doofus!\He's pretty cute.\Just my type, actually.\Uh, Luna? What's that supposed to mean?! response:	Oh, Lola.
context: I-I'm not!\You were totally staring at those other girls, too!\That must be Noir.\Noir, you doofus!\He's pretty cute.\Just my type, actually.\Uh, Luna? What's that supposed to mean?!\Oh, Lola. response:	And...
context: You were totally staring at those other girls, too!\That must be Noir.\Noir, you doofus!\He's pretty cute.\Just my type, actually.\Uh, Luna? What's that supposed to mean?!\Oh, Lola.\And... response:	The Lady Cleric?
context: That must be Noir.\Noir, you doofus!\He's pretty cute.\Just my type, actually.\Uh, Luna? What's that supposed to mean?!\Oh, Lola.\And...\The Lady Cleric? response:	Sorry to keep you two waiting. This is...
context: Noir, you doofus!\He's pretty cute.\Just my type, actually.\Uh, Luna? What's that supposed to mean?!\Oh, Lola.\And...\The Lady Cleric?\Sorry to keep you two waiting. This is... response:	Luna Heela. It's nice to meet you two.
context: He's pretty cute.\Just my type, actually.\Uh, Luna? What's that supposed to mean?!\Oh, Lola.\And...\The Lady Cleric?\Sorry to keep you two waiting. This is...\Luna Heela. It's nice to meet you two. response:	L-Likewise.
context: Just my type, actually.\Uh, Luna? What's that supposed to mean?!\Oh, Lola.\And...\The Lady Cleric?\Sorry to keep you two waiting. This is...\Luna Heela. It's nice to meet you two.\L-Likewise. response:	N-Nice to meet you.
context: Uh, Luna? What's that supposed to mean?!\Oh, Lola.\And...\The Lady Cleric?\Sorry to keep you two waiting. This is...\Luna Heela. It's nice to meet you two.\L-Likewise.\N-Nice to meet you. response:	Yeah.
context: Oh, Lola.\And...\The Lady Cleric?\Sorry to keep you two waiting. This is...\Luna Heela. It's nice to meet you two.\L-Likewise.\N-Nice to meet you.\Yeah. response:	We've got reservations. We can talk there.
context: And...\The Lady Cleric?\Sorry to keep you two waiting. This is...\Luna Heela. It's nice to meet you two.\L-Likewise.\N-Nice to meet you.\Yeah.\We've got reservations. We can talk there. response:	Her silky, smooth, silvery locks...
context: The Lady Cleric?\Sorry to keep you two waiting. This is...\Luna Heela. It's nice to meet you two.\L-Likewise.\N-Nice to meet you.\Yeah.\We've got reservations. We can talk there.\Her silky, smooth, silvery locks... response:	Look at her from behind...
context: Sorry to keep you two waiting. This is...\Luna Heela. It's nice to meet you two.\L-Likewise.\N-Nice to meet you.\Yeah.\We've got reservations. We can talk there.\Her silky, smooth, silvery locks...\Look at her from behind... response:	Her tight but perky butt...
context: Luna Heela. It's nice to meet you two.\L-Likewise.\N-Nice to meet you.\Yeah.\We've got reservations. We can talk there.\Her silky, smooth, silvery locks...\Look at her from behind...\Her tight but perky butt... response:	Then her long, slim legs...
context: L-Likewise.\N-Nice to meet you.\Yeah.\We've got reservations. We can talk there.\Her silky, smooth, silvery locks...\Look at her from behind...\Her tight but perky butt...\Then her long, slim legs... response:	My only advantage over her is my boobs!
context: N-Nice to meet you.\Yeah.\We've got reservations. We can talk there.\Her silky, smooth, silvery locks...\Look at her from behind...\Her tight but perky butt...\Then her long, slim legs...\My only advantage over her is my boobs! response:	I never should've let Noir meet her.
context: Yeah.\We've got reservations. We can talk there.\Her silky, smooth, silvery locks...\Look at her from behind...\Her tight but perky butt...\Then her long, slim legs...\My only advantage over her is my boobs!\I never should've let Noir meet her. response:	Uh, Emma? Come on, let's go.
context: We've got reservations. We can talk there.\Her silky, smooth, silvery locks...\Look at her from behind...\Her tight but perky butt...\Then her long, slim legs...\My only advantage over her is my boobs!\I never should've let Noir meet her.\Uh, Emma? Come on, let's go. response:	Lola told me the basics.
context: Her silky, smooth, silvery locks...\Look at her from behind...\Her tight but perky butt...\Then her long, slim legs...\My only advantage over her is my boobs!\I never should've let Noir meet her.\Uh, Emma? Come on, let's go.\Lola told me the basics. response:	So this person you want me to look at...
context: Look at her from behind...\Her tight but perky butt...\Then her long, slim legs...\My only advantage over her is my boobs!\I never should've let Noir meet her.\Uh, Emma? Come on, let's go.\Lola told me the basics.\So this person you want me to look at... response:	Miss Maria. She's the daughter of a duke.
context: Her tight but perky butt...\Then her long, slim legs...\My only advantage over her is my boobs!\I never should've let Noir meet her.\Uh, Emma? Come on, let's go.\Lola told me the basics.\So this person you want me to look at...\Miss Maria. She's the daughter of a duke. response:	So it's her.
context: Then her long, slim legs...\My only advantage over her is my boobs!\I never should've let Noir meet her.\Uh, Emma? Come on, let's go.\Lola told me the basics.\So this person you want me to look at...\Miss Maria. She's the daughter of a duke.\So it's her. response:	I've actually looked at her before...
context: My only advantage over her is my boobs!\I never should've let Noir meet her.\Uh, Emma? Come on, let's go.\Lola told me the basics.\So this person you want me to look at...\Miss Maria. She's the daughter of a duke.\So it's her.\I've actually looked at her before... response:	But I declined lifting her curse.
context: I never should've let Noir meet her.\Uh, Emma? Come on, let's go.\Lola told me the basics.\So this person you want me to look at...\Miss Maria. She's the daughter of a duke.\So it's her.\I've actually looked at her before...\But I declined lifting her curse. response:	But why? Don't you have a skill to lift curses?
context: Uh, Emma? Come on, let's go.\Lola told me the basics.\So this person you want me to look at...\Miss Maria. She's the daughter of a duke.\So it's her.\I've actually looked at her before...\But I declined lifting her curse.\But why? Don't you have a skill to lift curses? response:	Yes, I do. With no problems.
context: Lola told me the basics.\So this person you want me to look at...\Miss Maria. She's the daughter of a duke.\So it's her.\I've actually looked at her before...\But I declined lifting her curse.\But why? Don't you have a skill to lift curses?\Yes, I do. With no problems. response:	But...
context: So this person you want me to look at...\Miss Maria. She's the daughter of a duke.\So it's her.\I've actually looked at her before...\But I declined lifting her curse.\But why? Don't you have a skill to lift curses?\Yes, I do. With no problems.\But... response:	I can't lift the Sixteenth Year Death Curse.
context: Miss Maria. She's the daughter of a duke.\So it's her.\I've actually looked at her before...\But I declined lifting her curse.\But why? Don't you have a skill to lift curses?\Yes, I do. With no problems.\But...\I can't lift the Sixteenth Year Death Curse. response:	I can't save her.
context: So it's her.\I've actually looked at her before...\But I declined lifting her curse.\But why? Don't you have a skill to lift curses?\Yes, I do. With no problems.\But...\I can't lift the Sixteenth Year Death Curse.\I can't save her. response:	How's Maria currently doing?
context: I've actually looked at her before...\But I declined lifting her curse.\But why? Don't you have a skill to lift curses?\Yes, I do. With no problems.\But...\I can't lift the Sixteenth Year Death Curse.\I can't save her.\How's Maria currently doing? response:	She doesn't even have a week to live.
context: But I declined lifting her curse.\But why? Don't you have a skill to lift curses?\Yes, I do. With no problems.\But...\I can't lift the Sixteenth Year Death Curse.\I can't save her.\How's Maria currently doing?\She doesn't even have a week to live. response:	She suffers convulsions that pain her entire body.
context: But why? Don't you have a skill to lift curses?\Yes, I do. With no problems.\But...\I can't lift the Sixteenth Year Death Curse.\I can't save her.\How's Maria currently doing?\She doesn't even have a week to live.\She suffers convulsions that pain her entire body. response:	Apparently, the intervals are getting shorter.
context: Yes, I do. With no problems.\But...\I can't lift the Sixteenth Year Death Curse.\I can't save her.\How's Maria currently doing?\She doesn't even have a week to live.\She suffers convulsions that pain her entire body.\Apparently, the intervals are getting shorter. response:	So her curse has progressed that far...
context: But...\I can't lift the Sixteenth Year Death Curse.\I can't save her.\How's Maria currently doing?\She doesn't even have a week to live.\She suffers convulsions that pain her entire body.\Apparently, the intervals are getting shorter.\So her curse has progressed that far... response:	Luna, you don't need to feel responsible for this.
context: I can't lift the Sixteenth Year Death Curse.\I can't save her.\How's Maria currently doing?\She doesn't even have a week to live.\She suffers convulsions that pain her entire body.\Apparently, the intervals are getting shorter.\So her curse has progressed that far...\Luna, you don't need to feel responsible for this. response:	You save dozens of people every day.
context: I can't save her.\How's Maria currently doing?\She doesn't even have a week to live.\She suffers convulsions that pain her entire body.\Apparently, the intervals are getting shorter.\So her curse has progressed that far...\Luna, you don't need to feel responsible for this.\You save dozens of people every day. response:	That itself is an amazing feat.
context: How's Maria currently doing?\She doesn't even have a week to live.\She suffers convulsions that pain her entire body.\Apparently, the intervals are getting shorter.\So her curse has progressed that far...\Luna, you don't need to feel responsible for this.\You save dozens of people every day.\That itself is an amazing feat. response:	It seems that Luna feels pretty responsible for this.
context: She doesn't even have a week to live.\She suffers convulsions that pain her entire body.\Apparently, the intervals are getting shorter.\So her curse has progressed that far...\Luna, you don't need to feel responsible for this.\You save dozens of people every day.\That itself is an amazing feat.\It seems that Luna feels pretty responsible for this. response:	Maybe she does have some kind of secret.
context: She suffers convulsions that pain her entire body.\Apparently, the intervals are getting shorter.\So her curse has progressed that far...\Luna, you don't need to feel responsible for this.\You save dozens of people every day.\That itself is an amazing feat.\It seems that Luna feels pretty responsible for this.\Maybe she does have some kind of secret. response:	Discerning Eye.
context: Apparently, the intervals are getting shorter.\So her curse has progressed that far...\Luna, you don't need to feel responsible for this.\You save dozens of people every day.\That itself is an amazing feat.\It seems that Luna feels pretty responsible for this.\Maybe she does have some kind of secret.\Discerning Eye. response:	Species: Half-elf Age: 17 Occupation: Cleric/Adventurer Skills: Skills:
context: So her curse has progressed that far...\Luna, you don't need to feel responsible for this.\You save dozens of people every day.\That itself is an amazing feat.\It seems that Luna feels pretty responsible for this.\Maybe she does have some kind of secret.\Discerning Eye.\Species: Half-elf Age: 17 Occupation: Cleric/Adventurer Skills: Skills: response:	Yeah, she definitely has the Lift Curse skill...
context: Luna, you don't need to feel responsible for this.\You save dozens of people every day.\That itself is an amazing feat.\It seems that Luna feels pretty responsible for this.\Maybe she does have some kind of secret.\Discerning Eye.\Species: Half-elf Age: 17 Occupation: Cleric/Adventurer Skills: Skills:\Yeah, she definitely has the Lift Curse skill... response:	Luna Heela Lv. 35
context: You save dozens of people every day.\That itself is an amazing feat.\It seems that Luna feels pretty responsible for this.\Maybe she does have some kind of secret.\Discerning Eye.\Species: Half-elf Age: 17 Occupation: Cleric/Adventurer Skills: Skills:\Yeah, she definitely has the Lift Curse skill...\Luna Heela Lv. 35 response:	Skill: Lift Curse Skill: Erases curse skills. However, the user's Skill: lifespan is reduced in proportion to Skill: the strength of the curse.
context: That itself is an amazing feat.\It seems that Luna feels pretty responsible for this.\Maybe she does have some kind of secret.\Discerning Eye.\Species: Half-elf Age: 17 Occupation: Cleric/Adventurer Skills: Skills:\Yeah, she definitely has the Lift Curse skill...\Luna Heela Lv. 35\Skill: Lift Curse Skill: Erases curse skills. However, the user's Skill: lifespan is reduced in proportion to Skill: the strength of the curse. response:	Erases curse skills.
context: It seems that Luna feels pretty responsible for this.\Maybe she does have some kind of secret.\Discerning Eye.\Species: Half-elf Age: 17 Occupation: Cleric/Adventurer Skills: Skills:\Yeah, she definitely has the Lift Curse skill...\Luna Heela Lv. 35\Skill: Lift Curse Skill: Erases curse skills. However, the user's Skill: lifespan is reduced in proportion to Skill: the strength of the curse.\Erases curse skills. response:	However, the user's... lifespan is reduced?!
context: Maybe she does have some kind of secret.\Discerning Eye.\Species: Half-elf Age: 17 Occupation: Cleric/Adventurer Skills: Skills:\Yeah, she definitely has the Lift Curse skill...\Luna Heela Lv. 35\Skill: Lift Curse Skill: Erases curse skills. However, the user's Skill: lifespan is reduced in proportion to Skill: the strength of the curse.\Erases curse skills.\However, the user's... lifespan is reduced?! response:	So when she lifts the curse, Luna's own lifespan is...
context: Discerning Eye.\Species: Half-elf Age: 17 Occupation: Cleric/Adventurer Skills: Skills:\Yeah, she definitely has the Lift Curse skill...\Luna Heela Lv. 35\Skill: Lift Curse Skill: Erases curse skills. However, the user's Skill: lifespan is reduced in proportion to Skill: the strength of the curse.\Erases curse skills.\However, the user's... lifespan is reduced?!\So when she lifts the curse, Luna's own lifespan is... response:	Here it comes! This is a huge load!
context: Species: Half-elf Age: 17 Occupation: Cleric/Adventurer Skills: Skills:\Yeah, she definitely has the Lift Curse skill...\Luna Heela Lv. 35\Skill: Lift Curse Skill: Erases curse skills. However, the user's Skill: lifespan is reduced in proportion to Skill: the strength of the curse.\Erases curse skills.\However, the user's... lifespan is reduced?!\So when she lifts the curse, Luna's own lifespan is...\Here it comes! This is a huge load! response:	Elves live far longer than humans.
context: Yeah, she definitely has the Lift Curse skill...\Luna Heela Lv. 35\Skill: Lift Curse Skill: Erases curse skills. However, the user's Skill: lifespan is reduced in proportion to Skill: the strength of the curse.\Erases curse skills.\However, the user's... lifespan is reduced?!\So when she lifts the curse, Luna's own lifespan is...\Here it comes! This is a huge load!\Elves live far longer than humans. response:	But apparently, even so, Miss Maria's curse is so powerful
context: Luna Heela Lv. 35\Skill: Lift Curse Skill: Erases curse skills. However, the user's Skill: lifespan is reduced in proportion to Skill: the strength of the curse.\Erases curse skills.\However, the user's... lifespan is reduced?!\So when she lifts the curse, Luna's own lifespan is...\Here it comes! This is a huge load!\Elves live far longer than humans.\But apparently, even so, Miss Maria's curse is so powerful response:	that her lifespan can't cover it.
context: Skill: Lift Curse Skill: Erases curse skills. However, the user's Skill: lifespan is reduced in proportion to Skill: the strength of the curse.\Erases curse skills.\However, the user's... lifespan is reduced?!\So when she lifts the curse, Luna's own lifespan is...\Here it comes! This is a huge load!\Elves live far longer than humans.\But apparently, even so, Miss Maria's curse is so powerful\that her lifespan can't cover it. response:	Noir...
context: Erases curse skills.\However, the user's... lifespan is reduced?!\So when she lifts the curse, Luna's own lifespan is...\Here it comes! This is a huge load!\Elves live far longer than humans.\But apparently, even so, Miss Maria's curse is so powerful\that her lifespan can't cover it.\Noir... response:	Lead me to Miss Maria's home.
context: However, the user's... lifespan is reduced?!\So when she lifts the curse, Luna's own lifespan is...\Here it comes! This is a huge load!\Elves live far longer than humans.\But apparently, even so, Miss Maria's curse is so powerful\that her lifespan can't cover it.\Noir...\Lead me to Miss Maria's home. response:	I will lift her curse.
context: So when she lifts the curse, Luna's own lifespan is...\Here it comes! This is a huge load!\Elves live far longer than humans.\But apparently, even so, Miss Maria's curse is so powerful\that her lifespan can't cover it.\Noir...\Lead me to Miss Maria's home.\I will lift her curse. response:	B-But you just said you couldn't lift her curse.
context: Here it comes! This is a huge load!\Elves live far longer than humans.\But apparently, even so, Miss Maria's curse is so powerful\that her lifespan can't cover it.\Noir...\Lead me to Miss Maria's home.\I will lift her curse.\B-But you just said you couldn't lift her curse. response:	Well...
context: Elves live far longer than humans.\But apparently, even so, Miss Maria's curse is so powerful\that her lifespan can't cover it.\Noir...\Lead me to Miss Maria's home.\I will lift her curse.\B-But you just said you couldn't lift her curse.\Well... response:	Emma, Lola.
context: But apparently, even so, Miss Maria's curse is so powerful\that her lifespan can't cover it.\Noir...\Lead me to Miss Maria's home.\I will lift her curse.\B-But you just said you couldn't lift her curse.\Well...\Emma, Lola. response:	Could you leave us for a bit?
context: that her lifespan can't cover it.\Noir...\Lead me to Miss Maria's home.\I will lift her curse.\B-But you just said you couldn't lift her curse.\Well...\Emma, Lola.\Could you leave us for a bit? response:	I'd like to talk to Luna in private.
context: Noir...\Lead me to Miss Maria's home.\I will lift her curse.\B-But you just said you couldn't lift her curse.\Well...\Emma, Lola.\Could you leave us for a bit?\I'd like to talk to Luna in private. response:	Sorry this is so sudden.
context: Lead me to Miss Maria's home.\I will lift her curse.\B-But you just said you couldn't lift her curse.\Well...\Emma, Lola.\Could you leave us for a bit?\I'd like to talk to Luna in private.\Sorry this is so sudden. response:	I took a look at your stats with my skill.
context: I will lift her curse.\B-But you just said you couldn't lift her curse.\Well...\Emma, Lola.\Could you leave us for a bit?\I'd like to talk to Luna in private.\Sorry this is so sudden.\I took a look at your stats with my skill. response:	If you cure Miss Maria, that means your life...
context: B-But you just said you couldn't lift her curse.\Well...\Emma, Lola.\Could you leave us for a bit?\I'd like to talk to Luna in private.\Sorry this is so sudden.\I took a look at your stats with my skill.\If you cure Miss Maria, that means your life... response:	Stop! Don't say anymore!
context: Well...\Emma, Lola.\Could you leave us for a bit?\I'd like to talk to Luna in private.\Sorry this is so sudden.\I took a look at your stats with my skill.\If you cure Miss Maria, that means your life...\Stop! Don't say anymore! response:	But
context: Emma, Lola.\Could you leave us for a bit?\I'd like to talk to Luna in private.\Sorry this is so sudden.\I took a look at your stats with my skill.\If you cure Miss Maria, that means your life...\Stop! Don't say anymore!\But response:	She's at death's door, isn't she?
context: Could you leave us for a bit?\I'd like to talk to Luna in private.\Sorry this is so sudden.\I took a look at your stats with my skill.\If you cure Miss Maria, that means your life...\Stop! Don't say anymore!\But\She's at death's door, isn't she? response:	How could I possibly leave her alone knowing her life is at stake?
context: I'd like to talk to Luna in private.\Sorry this is so sudden.\I took a look at your stats with my skill.\If you cure Miss Maria, that means your life...\Stop! Don't say anymore!\But\She's at death's door, isn't she?\How could I possibly leave her alone knowing her life is at stake? response:	I want to save people.
context: Sorry this is so sudden.\I took a look at your stats with my skill.\If you cure Miss Maria, that means your life...\Stop! Don't say anymore!\But\She's at death's door, isn't she?\How could I possibly leave her alone knowing her life is at stake?\I want to save people. response:	Just like my mother would have done.
context: I took a look at your stats with my skill.\If you cure Miss Maria, that means your life...\Stop! Don't say anymore!\But\She's at death's door, isn't she?\How could I possibly leave her alone knowing her life is at stake?\I want to save people.\Just like my mother would have done. response:	My mother was also a cleric.
context: If you cure Miss Maria, that means your life...\Stop! Don't say anymore!\But\She's at death's door, isn't she?\How could I possibly leave her alone knowing her life is at stake?\I want to save people.\Just like my mother would have done.\My mother was also a cleric. response:	Even though she knew that her lifespan was at stake,
context: Stop! Don't say anymore!\But\She's at death's door, isn't she?\How could I possibly leave her alone knowing her life is at stake?\I want to save people.\Just like my mother would have done.\My mother was also a cleric.\Even though she knew that her lifespan was at stake, response:	she continued lifting curses.
context: But\She's at death's door, isn't she?\How could I possibly leave her alone knowing her life is at stake?\I want to save people.\Just like my mother would have done.\My mother was also a cleric.\Even though she knew that her lifespan was at stake,\she continued lifting curses. response:	She kept her chipping away at her own lifespan to save those who were suffering.
context: She's at death's door, isn't she?\How could I possibly leave her alone knowing her life is at stake?\I want to save people.\Just like my mother would have done.\My mother was also a cleric.\Even though she knew that her lifespan was at stake,\she continued lifting curses.\She kept her chipping away at her own lifespan to save those who were suffering. response:	And now, she's no longer with us.
context: How could I possibly leave her alone knowing her life is at stake?\I want to save people.\Just like my mother would have done.\My mother was also a cleric.\Even though she knew that her lifespan was at stake,\she continued lifting curses.\She kept her chipping away at her own lifespan to save those who were suffering.\And now, she's no longer with us. response:	But...
context: I want to save people.\Just like my mother would have done.\My mother was also a cleric.\Even though she knew that her lifespan was at stake,\she continued lifting curses.\She kept her chipping away at her own lifespan to save those who were suffering.\And now, she's no longer with us.\But... response:	I'm very proud of my mother.
context: Just like my mother would have done.\My mother was also a cleric.\Even though she knew that her lifespan was at stake,\she continued lifting curses.\She kept her chipping away at her own lifespan to save those who were suffering.\And now, she's no longer with us.\But...\I'm very proud of my mother. response:	Luna...
context: My mother was also a cleric.\Even though she knew that her lifespan was at stake,\she continued lifting curses.\She kept her chipping away at her own lifespan to save those who were suffering.\And now, she's no longer with us.\But...\I'm very proud of my mother.\Luna... response:	And because I am my mother's daughter,
context: Even though she knew that her lifespan was at stake,\she continued lifting curses.\She kept her chipping away at her own lifespan to save those who were suffering.\And now, she's no longer with us.\But...\I'm very proud of my mother.\Luna...\And because I am my mother's daughter, response:	I want to use this power for others...
context: she continued lifting curses.\She kept her chipping away at her own lifespan to save those who were suffering.\And now, she's no longer with us.\But...\I'm very proud of my mother.\Luna...\And because I am my mother's daughter,\I want to use this power for others... response:	The Hidden Dungeon Only I Can Enter.
context: She kept her chipping away at her own lifespan to save those who were suffering.\And now, she's no longer with us.\But...\I'm very proud of my mother.\Luna...\And because I am my mother's daughter,\I want to use this power for others...\The Hidden Dungeon Only I Can Enter. response:	There's trouble!
context: And now, she's no longer with us.\But...\I'm very proud of my mother.\Luna...\And because I am my mother's daughter,\I want to use this power for others...\The Hidden Dungeon Only I Can Enter.\There's trouble! response:	A wall collapsed! Someone help!
context: But...\I'm very proud of my mother.\Luna...\And because I am my mother's daughter,\I want to use this power for others...\The Hidden Dungeon Only I Can Enter.\There's trouble!\A wall collapsed! Someone help! response:	There's a child underneath!
context: I'm very proud of my mother.\Luna...\And because I am my mother's daughter,\I want to use this power for others...\The Hidden Dungeon Only I Can Enter.\There's trouble!\A wall collapsed! Someone help!\There's a child underneath! response:	He's terribly injured!
context: Luna...\And because I am my mother's daughter,\I want to use this power for others...\The Hidden Dungeon Only I Can Enter.\There's trouble!\A wall collapsed! Someone help!\There's a child underneath!\He's terribly injured! response:	Hey, are you okay?
context: And because I am my mother's daughter,\I want to use this power for others...\The Hidden Dungeon Only I Can Enter.\There's trouble!\A wall collapsed! Someone help!\There's a child underneath!\He's terribly injured!\Hey, are you okay? response:	Hang in there!
context: I want to use this power for others...\The Hidden Dungeon Only I Can Enter.\There's trouble!\A wall collapsed! Someone help!\There's a child underneath!\He's terribly injured!\Hey, are you okay?\Hang in there! response:	W-We need to heal him immediately.
context: The Hidden Dungeon Only I Can Enter.\There's trouble!\A wall collapsed! Someone help!\There's a child underneath!\He's terribly injured!\Hey, are you okay?\Hang in there!\W-We need to heal him immediately. response:	I wonder sometimes...
context: There's trouble!\A wall collapsed! Someone help!\There's a child underneath!\He's terribly injured!\Hey, are you okay?\Hang in there!\W-We need to heal him immediately.\I wonder sometimes... response:	Why are we born into this world?
context: A wall collapsed! Someone help!\There's a child underneath!\He's terribly injured!\Hey, are you okay?\Hang in there!\W-We need to heal him immediately.\I wonder sometimes...\Why are we born into this world? response:	I still don't know the answer to that.
context: There's a child underneath!\He's terribly injured!\Hey, are you okay?\Hang in there!\W-We need to heal him immediately.\I wonder sometimes...\Why are we born into this world?\I still don't know the answer to that. response:	It's all right.
context: He's terribly injured!\Hey, are you okay?\Hang in there!\W-We need to heal him immediately.\I wonder sometimes...\Why are we born into this world?\I still don't know the answer to that.\It's all right. response:	I'm sure you'll find that answer someday.
context: Hey, are you okay?\Hang in there!\W-We need to heal him immediately.\I wonder sometimes...\Why are we born into this world?\I still don't know the answer to that.\It's all right.\I'm sure you'll find that answer someday. response:	I guess you've already found yours, Luna.
context: Hang in there!\W-We need to heal him immediately.\I wonder sometimes...\Why are we born into this world?\I still don't know the answer to that.\It's all right.\I'm sure you'll find that answer someday.\I guess you've already found yours, Luna. response:	Yes.
context: W-We need to heal him immediately.\I wonder sometimes...\Why are we born into this world?\I still don't know the answer to that.\It's all right.\I'm sure you'll find that answer someday.\I guess you've already found yours, Luna.\Yes. response:	I can save lives and bring about so many smiles.
context: I wonder sometimes...\Why are we born into this world?\I still don't know the answer to that.\It's all right.\I'm sure you'll find that answer someday.\I guess you've already found yours, Luna.\Yes.\I can save lives and bring about so many smiles. response:	That is my mission!
context: Why are we born into this world?\I still don't know the answer to that.\It's all right.\I'm sure you'll find that answer someday.\I guess you've already found yours, Luna.\Yes.\I can save lives and bring about so many smiles.\That is my mission! response:	Healing Shot!
context: I still don't know the answer to that.\It's all right.\I'm sure you'll find that answer someday.\I guess you've already found yours, Luna.\Yes.\I can save lives and bring about so many smiles.\That is my mission!\Healing Shot! response:	Thank goodness!
context: It's all right.\I'm sure you'll find that answer someday.\I guess you've already found yours, Luna.\Yes.\I can save lives and bring about so many smiles.\That is my mission!\Healing Shot!\Thank goodness! response:	Luna!
context: I'm sure you'll find that answer someday.\I guess you've already found yours, Luna.\Yes.\I can save lives and bring about so many smiles.\That is my mission!\Healing Shot!\Thank goodness!\Luna! response:	W-Wow...
context: I guess you've already found yours, Luna.\Yes.\I can save lives and bring about so many smiles.\That is my mission!\Healing Shot!\Thank goodness!\Luna!\W-Wow... response:	I guess your cleric title isn't just for show.
context: Yes.\I can save lives and bring about so many smiles.\That is my mission!\Healing Shot!\Thank goodness!\Luna!\W-Wow...\I guess your cleric title isn't just for show. response:	Luna
context: I can save lives and bring about so many smiles.\That is my mission!\Healing Shot!\Thank goodness!\Luna!\W-Wow...\I guess your cleric title isn't just for show.\Luna response:	Huh?! Luna?!
context: That is my mission!\Healing Shot!\Thank goodness!\Luna!\W-Wow...\I guess your cleric title isn't just for show.\Luna\Huh?! Luna?! response:	Are you... Huh?!
context: Healing Shot!\Thank goodness!\Luna!\W-Wow...\I guess your cleric title isn't just for show.\Luna\Huh?! Luna?!\Are you... Huh?! response:	I don't wanna die
