context: From the Starting Sky response:	It wasn't a dream.
context: I see.\There, done.\Omelette rice?\Yeah.\I had a request.\From Shione?\No, what was her name?\Huh? She was here until just now. response:	Was she sitting in Mom's chair?
context: There, done.\Omelette rice?\Yeah.\I had a request.\From Shione?\No, what was her name?\Huh? She was here until just now.\Was she sitting in Mom's chair? response:	Huh? Yeah.
context: Omelette rice?\Yeah.\I had a request.\From Shione?\No, what was her name?\Huh? She was here until just now.\Was she sitting in Mom's chair?\Huh? Yeah. response:	I'm going out!
context: Yeah.\I had a request.\From Shione?\No, what was her name?\Huh? She was here until just now.\Was she sitting in Mom's chair?\Huh? Yeah.\I'm going out! response:	H-Hey!
context: I had a request.\From Shione?\No, what was her name?\Huh? She was here until just now.\Was she sitting in Mom's chair?\Huh? Yeah.\I'm going out!\H-Hey! response:	So no one's going to eat this?
context: From Shione?\No, what was her name?\Huh? She was here until just now.\Was she sitting in Mom's chair?\Huh? Yeah.\I'm going out!\H-Hey!\So no one's going to eat this? response:	If I'm the only one that remembers Noel,
context: No, what was her name?\Huh? She was here until just now.\Was she sitting in Mom's chair?\Huh? Yeah.\I'm going out!\H-Hey!\So no one's going to eat this?\If I'm the only one that remembers Noel, response:	then if I forget Noel,
context: Huh? She was here until just now.\Was she sitting in Mom's chair?\Huh? Yeah.\I'm going out!\H-Hey!\So no one's going to eat this?\If I'm the only one that remembers Noel,\then if I forget Noel, response:	she might really disappear.
context: Was she sitting in Mom's chair?\Huh? Yeah.\I'm going out!\H-Hey!\So no one's going to eat this?\If I'm the only one that remembers Noel,\then if I forget Noel,\she might really disappear. response:	So
context: Huh? Yeah.\I'm going out!\H-Hey!\So no one's going to eat this?\If I'm the only one that remembers Noel,\then if I forget Noel,\she might really disappear.\So response:	I'm going to record everything I know about Noel.
context: I'm going out!\H-Hey!\So no one's going to eat this?\If I'm the only one that remembers Noel,\then if I forget Noel,\she might really disappear.\So\I'm going to record everything I know about Noel. response:	Hokubi City High School Orientation
context: H-Hey!\So no one's going to eat this?\If I'm the only one that remembers Noel,\then if I forget Noel,\she might really disappear.\So\I'm going to record everything I know about Noel.\Hokubi City High School Orientation response:	We'll always be friends.
context: So no one's going to eat this?\If I'm the only one that remembers Noel,\then if I forget Noel,\she might really disappear.\So\I'm going to record everything I know about Noel.\Hokubi City High School Orientation\We'll always be friends. response:	Such a nuisance.
context: If I'm the only one that remembers Noel,\then if I forget Noel,\she might really disappear.\So\I'm going to record everything I know about Noel.\Hokubi City High School Orientation\We'll always be friends.\Such a nuisance. response:	What are you doing?
context: then if I forget Noel,\she might really disappear.\So\I'm going to record everything I know about Noel.\Hokubi City High School Orientation\We'll always be friends.\Such a nuisance.\What are you doing? response:	Okay, it's decided.
context: she might really disappear.\So\I'm going to record everything I know about Noel.\Hokubi City High School Orientation\We'll always be friends.\Such a nuisance.\What are you doing?\Okay, it's decided. response:	How is it, Souta?
context: So\I'm going to record everything I know about Noel.\Hokubi City High School Orientation\We'll always be friends.\Such a nuisance.\What are you doing?\Okay, it's decided.\How is it, Souta? response:	You're going to ignore me?
context: I'm going to record everything I know about Noel.\Hokubi City High School Orientation\We'll always be friends.\Such a nuisance.\What are you doing?\Okay, it's decided.\How is it, Souta?\You're going to ignore me? response:	No saucer was better.
context: Hokubi City High School Orientation\We'll always be friends.\Such a nuisance.\What are you doing?\Okay, it's decided.\How is it, Souta?\You're going to ignore me?\No saucer was better. response:	Come on, Onii-chan, you idiot.
context: We'll always be friends.\Such a nuisance.\What are you doing?\Okay, it's decided.\How is it, Souta?\You're going to ignore me?\No saucer was better.\Come on, Onii-chan, you idiot. response:	Can I help?
context: Such a nuisance.\What are you doing?\Okay, it's decided.\How is it, Souta?\You're going to ignore me?\No saucer was better.\Come on, Onii-chan, you idiot.\Can I help? response:	It'll get better right away.
context: What are you doing?\Okay, it's decided.\How is it, Souta?\You're going to ignore me?\No saucer was better.\Come on, Onii-chan, you idiot.\Can I help?\It'll get better right away. response:	You're a boy.
context: Okay, it's decided.\How is it, Souta?\You're going to ignore me?\No saucer was better.\Come on, Onii-chan, you idiot.\Can I help?\It'll get better right away.\You're a boy. response:	All set.
context: How is it, Souta?\You're going to ignore me?\No saucer was better.\Come on, Onii-chan, you idiot.\Can I help?\It'll get better right away.\You're a boy.\All set. response:	Monster-san will be always be well.
context: You're going to ignore me?\No saucer was better.\Come on, Onii-chan, you idiot.\Can I help?\It'll get better right away.\You're a boy.\All set.\Monster-san will be always be well. response:	I'm glad.
context: No saucer was better.\Come on, Onii-chan, you idiot.\Can I help?\It'll get better right away.\You're a boy.\All set.\Monster-san will be always be well.\I'm glad. response:	Souta.
context: Come on, Onii-chan, you idiot.\Can I help?\It'll get better right away.\You're a boy.\All set.\Monster-san will be always be well.\I'm glad.\Souta. response:	Want a ride?
context: Can I help?\It'll get better right away.\You're a boy.\All set.\Monster-san will be always be well.\I'm glad.\Souta.\Want a ride? response:	Yeah.
context: It'll get better right away.\You're a boy.\All set.\Monster-san will be always be well.\I'm glad.\Souta.\Want a ride?\Yeah. response:	Take care of the rest.
context: You're a boy.\All set.\Monster-san will be always be well.\I'm glad.\Souta.\Want a ride?\Yeah.\Take care of the rest. response:	I have to go find your lost friend.
context: All set.\Monster-san will be always be well.\I'm glad.\Souta.\Want a ride?\Yeah.\Take care of the rest.\I have to go find your lost friend. response:	There's still so much more I want to tell you.
context: Monster-san will be always be well.\I'm glad.\Souta.\Want a ride?\Yeah.\Take care of the rest.\I have to go find your lost friend.\There's still so much more I want to tell you. response:	So many memories I want to make.
context: I'm glad.\Souta.\Want a ride?\Yeah.\Take care of the rest.\I have to go find your lost friend.\There's still so much more I want to tell you.\So many memories I want to make. response:	Noel, I miss you!
context: Souta.\Want a ride?\Yeah.\Take care of the rest.\I have to go find your lost friend.\There's still so much more I want to tell you.\So many memories I want to make.\Noel, I miss you! response:	We'll see each other.
context: Want a ride?\Yeah.\Take care of the rest.\I have to go find your lost friend.\There's still so much more I want to tell you.\So many memories I want to make.\Noel, I miss you!\We'll see each other. response:	Nonoka.
context: Yeah.\Take care of the rest.\I have to go find your lost friend.\There's still so much more I want to tell you.\So many memories I want to make.\Noel, I miss you!\We'll see each other.\Nonoka. response:	I'm back!
context: Take care of the rest.\I have to go find your lost friend.\There's still so much more I want to tell you.\So many memories I want to make.\Noel, I miss you!\We'll see each other.\Nonoka.\I'm back! response:	The End
