context: Looks like the village where I lived with Pa. response:	C'mon, Shippo!
context: You can dig it up in the mountains.\It's not a Sacred Jewel Shard.\l-It's a fake?\Satsuki...\Satsuki is a pitiful child.\Her brother really is dead, but she won't believe it.\Oh...\Please bring Brother back home soon. response:	I've told her to come live with us,
context: It's not a Sacred Jewel Shard.\l-It's a fake?\Satsuki...\Satsuki is a pitiful child.\Her brother really is dead, but she won't believe it.\Oh...\Please bring Brother back home soon.\I've told her to come live with us, response:	but she refuses to move from that hut she shared with her brother.
context: l-It's a fake?\Satsuki...\Satsuki is a pitiful child.\Her brother really is dead, but she won't believe it.\Oh...\Please bring Brother back home soon.\I've told her to come live with us,\but she refuses to move from that hut she shared with her brother. response:	I was chased out of the headman's house,
context: Satsuki...\Satsuki is a pitiful child.\Her brother really is dead, but she won't believe it.\Oh...\Please bring Brother back home soon.\I've told her to come live with us,\but she refuses to move from that hut she shared with her brother.\I was chased out of the headman's house, response:	but I can use that little girl.
context: Satsuki is a pitiful child.\Her brother really is dead, but she won't believe it.\Oh...\Please bring Brother back home soon.\I've told her to come live with us,\but she refuses to move from that hut she shared with her brother.\I was chased out of the headman's house,\but I can use that little girl. response:	I'll teach them!
context: Her brother really is dead, but she won't believe it.\Oh...\Please bring Brother back home soon.\I've told her to come live with us,\but she refuses to move from that hut she shared with her brother.\I was chased out of the headman's house,\but I can use that little girl.\I'll teach them! response:	The Sacred Jewel has the power to create incarnations of Naraku.
context: Oh...\Please bring Brother back home soon.\I've told her to come live with us,\but she refuses to move from that hut she shared with her brother.\I was chased out of the headman's house,\but I can use that little girl.\I'll teach them!\The Sacred Jewel has the power to create incarnations of Naraku. response:	So if a wish is made on a real Sacred Jewel Shard,
context: Please bring Brother back home soon.\I've told her to come live with us,\but she refuses to move from that hut she shared with her brother.\I was chased out of the headman's house,\but I can use that little girl.\I'll teach them!\The Sacred Jewel has the power to create incarnations of Naraku.\So if a wish is made on a real Sacred Jewel Shard, response:	will Satsuki's brother be resurrected and return home?
context: I've told her to come live with us,\but she refuses to move from that hut she shared with her brother.\I was chased out of the headman's house,\but I can use that little girl.\I'll teach them!\The Sacred Jewel has the power to create incarnations of Naraku.\So if a wish is made on a real Sacred Jewel Shard,\will Satsuki's brother be resurrected and return home? response:	Geometry scares me!
context: but she refuses to move from that hut she shared with her brother.\I was chased out of the headman's house,\but I can use that little girl.\I'll teach them!\The Sacred Jewel has the power to create incarnations of Naraku.\So if a wish is made on a real Sacred Jewel Shard,\will Satsuki's brother be resurrected and return home?\Geometry scares me! response:	Forgive me, Kagome!
context: I was chased out of the headman's house,\but I can use that little girl.\I'll teach them!\The Sacred Jewel has the power to create incarnations of Naraku.\So if a wish is made on a real Sacred Jewel Shard,\will Satsuki's brother be resurrected and return home?\Geometry scares me!\Forgive me, Kagome! response:	Hey!
context: but I can use that little girl.\I'll teach them!\The Sacred Jewel has the power to create incarnations of Naraku.\So if a wish is made on a real Sacred Jewel Shard,\will Satsuki's brother be resurrected and return home?\Geometry scares me!\Forgive me, Kagome!\Hey! response:	Oh, Inuyasha! I thought you were sleeping.
context: I'll teach them!\The Sacred Jewel has the power to create incarnations of Naraku.\So if a wish is made on a real Sacred Jewel Shard,\will Satsuki's brother be resurrected and return home?\Geometry scares me!\Forgive me, Kagome!\Hey!\Oh, Inuyasha! I thought you were sleeping. response:	Please let me go! It's to help someone!
context: The Sacred Jewel has the power to create incarnations of Naraku.\So if a wish is made on a real Sacred Jewel Shard,\will Satsuki's brother be resurrected and return home?\Geometry scares me!\Forgive me, Kagome!\Hey!\Oh, Inuyasha! I thought you were sleeping.\Please let me go! It's to help someone! response:	Snap out of it!
context: So if a wish is made on a real Sacred Jewel Shard,\will Satsuki's brother be resurrected and return home?\Geometry scares me!\Forgive me, Kagome!\Hey!\Oh, Inuyasha! I thought you were sleeping.\Please let me go! It's to help someone!\Snap out of it! response:	Shippo, you know just how frightening the Sacred Jewel is.
context: will Satsuki's brother be resurrected and return home?\Geometry scares me!\Forgive me, Kagome!\Hey!\Oh, Inuyasha! I thought you were sleeping.\Please let me go! It's to help someone!\Snap out of it!\Shippo, you know just how frightening the Sacred Jewel is. response:	It's not something you give to humans.
context: Geometry scares me!\Forgive me, Kagome!\Hey!\Oh, Inuyasha! I thought you were sleeping.\Please let me go! It's to help someone!\Snap out of it!\Shippo, you know just how frightening the Sacred Jewel is.\It's not something you give to humans. response:	Besides, why are you taking pity on that little girl?
context: Forgive me, Kagome!\Hey!\Oh, Inuyasha! I thought you were sleeping.\Please let me go! It's to help someone!\Snap out of it!\Shippo, you know just how frightening the Sacred Jewel is.\It's not something you give to humans.\Besides, why are you taking pity on that little girl? response:	He's smitten with her.
context: Hey!\Oh, Inuyasha! I thought you were sleeping.\Please let me go! It's to help someone!\Snap out of it!\Shippo, you know just how frightening the Sacred Jewel is.\It's not something you give to humans.\Besides, why are you taking pity on that little girl?\He's smitten with her. response:	She was quite cute.
context: Oh, Inuyasha! I thought you were sleeping.\Please let me go! It's to help someone!\Snap out of it!\Shippo, you know just how frightening the Sacred Jewel is.\It's not something you give to humans.\Besides, why are you taking pity on that little girl?\He's smitten with her.\She was quite cute. response:	Is that all?!
context: Please let me go! It's to help someone!\Snap out of it!\Shippo, you know just how frightening the Sacred Jewel is.\It's not something you give to humans.\Besides, why are you taking pity on that little girl?\He's smitten with her.\She was quite cute.\Is that all?! response:	Shaddup!
context: Snap out of it!\Shippo, you know just how frightening the Sacred Jewel is.\It's not something you give to humans.\Besides, why are you taking pity on that little girl?\He's smitten with her.\She was quite cute.\Is that all?!\Shaddup! response:	So what if I'm in love with her!
context: Shippo, you know just how frightening the Sacred Jewel is.\It's not something you give to humans.\Besides, why are you taking pity on that little girl?\He's smitten with her.\She was quite cute.\Is that all?!\Shaddup!\So what if I'm in love with her! response:	Look at you! Flitting back and forth between Kikyo and Kagome!
context: It's not something you give to humans.\Besides, why are you taking pity on that little girl?\He's smitten with her.\She was quite cute.\Is that all?!\Shaddup!\So what if I'm in love with her!\Look at you! Flitting back and forth between Kikyo and Kagome! response:	Go to sleep!
context: Besides, why are you taking pity on that little girl?\He's smitten with her.\She was quite cute.\Is that all?!\Shaddup!\So what if I'm in love with her!\Look at you! Flitting back and forth between Kikyo and Kagome!\Go to sleep! response:	Sorry...
context: He's smitten with her.\She was quite cute.\Is that all?!\Shaddup!\So what if I'm in love with her!\Look at you! Flitting back and forth between Kikyo and Kagome!\Go to sleep!\Sorry... response:	Satsuki...
context: She was quite cute.\Is that all?!\Shaddup!\So what if I'm in love with her!\Look at you! Flitting back and forth between Kikyo and Kagome!\Go to sleep!\Sorry...\Satsuki... response:	I'm home.
context: Is that all?!\Shaddup!\So what if I'm in love with her!\Look at you! Flitting back and forth between Kikyo and Kagome!\Go to sleep!\Sorry...\Satsuki...\I'm home. response:	B-Brother!
context: Shaddup!\So what if I'm in love with her!\Look at you! Flitting back and forth between Kikyo and Kagome!\Go to sleep!\Sorry...\Satsuki...\I'm home.\B-Brother! response:	You've waited a long time. How have you been?
context: So what if I'm in love with her!\Look at you! Flitting back and forth between Kikyo and Kagome!\Go to sleep!\Sorry...\Satsuki...\I'm home.\B-Brother!\You've waited a long time. How have you been? response:	Brother!
context: Look at you! Flitting back and forth between Kikyo and Kagome!\Go to sleep!\Sorry...\Satsuki...\I'm home.\B-Brother!\You've waited a long time. How have you been?\Brother! response:	I believed in you!
context: Go to sleep!\Sorry...\Satsuki...\I'm home.\B-Brother!\You've waited a long time. How have you been?\Brother!\I believed in you! response:	I knew... I knew that you would come home!
context: Sorry...\Satsuki...\I'm home.\B-Brother!\You've waited a long time. How have you been?\Brother!\I believed in you!\I knew... I knew that you would come home! response:	I'll say good-bye at least.
context: Satsuki...\I'm home.\B-Brother!\You've waited a long time. How have you been?\Brother!\I believed in you!\I knew... I knew that you would come home!\I'll say good-bye at least. response:	I wonder if Satsuki will keep wishing on that fake shard?
context: I'm home.\B-Brother!\You've waited a long time. How have you been?\Brother!\I believed in you!\I knew... I knew that you would come home!\I'll say good-bye at least.\I wonder if Satsuki will keep wishing on that fake shard? response:	But I can't tell her the truth!
context: B-Brother!\You've waited a long time. How have you been?\Brother!\I believed in you!\I knew... I knew that you would come home!\I'll say good-bye at least.\I wonder if Satsuki will keep wishing on that fake shard?\But I can't tell her the truth! response:	Oh, Shippo!
context: You've waited a long time. How have you been?\Brother!\I believed in you!\I knew... I knew that you would come home!\I'll say good-bye at least.\I wonder if Satsuki will keep wishing on that fake shard?\But I can't tell her the truth!\Oh, Shippo! response:	Satsuki!
context: Brother!\I believed in you!\I knew... I knew that you would come home!\I'll say good-bye at least.\I wonder if Satsuki will keep wishing on that fake shard?\But I can't tell her the truth!\Oh, Shippo!\Satsuki! response:	My wish came true!
context: I believed in you!\I knew... I knew that you would come home!\I'll say good-bye at least.\I wonder if Satsuki will keep wishing on that fake shard?\But I can't tell her the truth!\Oh, Shippo!\Satsuki!\My wish came true! response:	Brother is home!
context: I knew... I knew that you would come home!\I'll say good-bye at least.\I wonder if Satsuki will keep wishing on that fake shard?\But I can't tell her the truth!\Oh, Shippo!\Satsuki!\My wish came true!\Brother is home! response:	Huh?
context: I'll say good-bye at least.\I wonder if Satsuki will keep wishing on that fake shard?\But I can't tell her the truth!\Oh, Shippo!\Satsuki!\My wish came true!\Brother is home!\Huh? response:	Inuyasha, where's Shippo?
context: I wonder if Satsuki will keep wishing on that fake shard?\But I can't tell her the truth!\Oh, Shippo!\Satsuki!\My wish came true!\Brother is home!\Huh?\Inuyasha, where's Shippo? response:	Huh? Isn't he with that girl, Satsuki?
context: But I can't tell her the truth!\Oh, Shippo!\Satsuki!\My wish came true!\Brother is home!\Huh?\Inuyasha, where's Shippo?\Huh? Isn't he with that girl, Satsuki? response:	He was very worried about her.
context: Oh, Shippo!\Satsuki!\My wish came true!\Brother is home!\Huh?\Inuyasha, where's Shippo?\Huh? Isn't he with that girl, Satsuki?\He was very worried about her. response:	Satsuki's brother is dead,
context: Satsuki!\My wish came true!\Brother is home!\Huh?\Inuyasha, where's Shippo?\Huh? Isn't he with that girl, Satsuki?\He was very worried about her.\Satsuki's brother is dead, response:	but she has faith in that shard and keeps waiting.
context: My wish came true!\Brother is home!\Huh?\Inuyasha, where's Shippo?\Huh? Isn't he with that girl, Satsuki?\He was very worried about her.\Satsuki's brother is dead,\but she has faith in that shard and keeps waiting. response:	I'm going.
context: Brother is home!\Huh?\Inuyasha, where's Shippo?\Huh? Isn't he with that girl, Satsuki?\He was very worried about her.\Satsuki's brother is dead,\but she has faith in that shard and keeps waiting.\I'm going. response:	Butting in again?
context: Huh?\Inuyasha, where's Shippo?\Huh? Isn't he with that girl, Satsuki?\He was very worried about her.\Satsuki's brother is dead,\but she has faith in that shard and keeps waiting.\I'm going.\Butting in again? response:	Wait, Kagome. I'll come with you.
context: Inuyasha, where's Shippo?\Huh? Isn't he with that girl, Satsuki?\He was very worried about her.\Satsuki's brother is dead,\but she has faith in that shard and keeps waiting.\I'm going.\Butting in again?\Wait, Kagome. I'll come with you. response:	See? He's hurt, but Brother's back.
context: Huh? Isn't he with that girl, Satsuki?\He was very worried about her.\Satsuki's brother is dead,\but she has faith in that shard and keeps waiting.\I'm going.\Butting in again?\Wait, Kagome. I'll come with you.\See? He's hurt, but Brother's back. response:	Satsuki... It's all thanks to you and the Sacred Jewel Shard.
context: He was very worried about her.\Satsuki's brother is dead,\but she has faith in that shard and keeps waiting.\I'm going.\Butting in again?\Wait, Kagome. I'll come with you.\See? He's hurt, but Brother's back.\Satsuki... It's all thanks to you and the Sacred Jewel Shard. response:	A demon...
context: Satsuki's brother is dead,\but she has faith in that shard and keeps waiting.\I'm going.\Butting in again?\Wait, Kagome. I'll come with you.\See? He's hurt, but Brother's back.\Satsuki... It's all thanks to you and the Sacred Jewel Shard.\A demon... response:	Brother, hurry and get well.
context: but she has faith in that shard and keeps waiting.\I'm going.\Butting in again?\Wait, Kagome. I'll come with you.\See? He's hurt, but Brother's back.\Satsuki... It's all thanks to you and the Sacred Jewel Shard.\A demon...\Brother, hurry and get well. response:	Yeah... I made you suffer a long time.
context: I'm going.\Butting in again?\Wait, Kagome. I'll come with you.\See? He's hurt, but Brother's back.\Satsuki... It's all thanks to you and the Sacred Jewel Shard.\A demon...\Brother, hurry and get well.\Yeah... I made you suffer a long time. response:	I'll make up for it now.
context: Butting in again?\Wait, Kagome. I'll come with you.\See? He's hurt, but Brother's back.\Satsuki... It's all thanks to you and the Sacred Jewel Shard.\A demon...\Brother, hurry and get well.\Yeah... I made you suffer a long time.\I'll make up for it now. response:	Uh-huh!
context: Wait, Kagome. I'll come with you.\See? He's hurt, but Brother's back.\Satsuki... It's all thanks to you and the Sacred Jewel Shard.\A demon...\Brother, hurry and get well.\Yeah... I made you suffer a long time.\I'll make up for it now.\Uh-huh! response:	S-Satsuki...
context: See? He's hurt, but Brother's back.\Satsuki... It's all thanks to you and the Sacred Jewel Shard.\A demon...\Brother, hurry and get well.\Yeah... I made you suffer a long time.\I'll make up for it now.\Uh-huh!\S-Satsuki... response:	Come here.
context: Satsuki... It's all thanks to you and the Sacred Jewel Shard.\A demon...\Brother, hurry and get well.\Yeah... I made you suffer a long time.\I'll make up for it now.\Uh-huh!\S-Satsuki...\Come here. response:	Oh, you're with the group staying at the headman's house.
context: A demon...\Brother, hurry and get well.\Yeah... I made you suffer a long time.\I'll make up for it now.\Uh-huh!\S-Satsuki...\Come here.\Oh, you're with the group staying at the headman's house. response:	Satsuki, hurry!
context: Brother, hurry and get well.\Yeah... I made you suffer a long time.\I'll make up for it now.\Uh-huh!\S-Satsuki...\Come here.\Oh, you're with the group staying at the headman's house.\Satsuki, hurry! response:	Shippo?
context: Yeah... I made you suffer a long time.\I'll make up for it now.\Uh-huh!\S-Satsuki...\Come here.\Oh, you're with the group staying at the headman's house.\Satsuki, hurry!\Shippo? response:	Won't you bring it to me... the real Sacred Jewel Shard?
context: I'll make up for it now.\Uh-huh!\S-Satsuki...\Come here.\Oh, you're with the group staying at the headman's house.\Satsuki, hurry!\Shippo?\Won't you bring it to me... the real Sacred Jewel Shard? response:	Let Satsuki go!
context: Uh-huh!\S-Satsuki...\Come here.\Oh, you're with the group staying at the headman's house.\Satsuki, hurry!\Shippo?\Won't you bring it to me... the real Sacred Jewel Shard?\Let Satsuki go! response:	What're you doing, Brother?!
context: S-Satsuki...\Come here.\Oh, you're with the group staying at the headman's house.\Satsuki, hurry!\Shippo?\Won't you bring it to me... the real Sacred Jewel Shard?\Let Satsuki go!\What're you doing, Brother?! response:	I have the Sacred Jewel Shard right here.
context: Come here.\Oh, you're with the group staying at the headman's house.\Satsuki, hurry!\Shippo?\Won't you bring it to me... the real Sacred Jewel Shard?\Let Satsuki go!\What're you doing, Brother?!\I have the Sacred Jewel Shard right here. response:	See?
context: Oh, you're with the group staying at the headman's house.\Satsuki, hurry!\Shippo?\Won't you bring it to me... the real Sacred Jewel Shard?\Let Satsuki go!\What're you doing, Brother?!\I have the Sacred Jewel Shard right here.\See? response:	Can't you tell... this is junk!
context: Satsuki, hurry!\Shippo?\Won't you bring it to me... the real Sacred Jewel Shard?\Let Satsuki go!\What're you doing, Brother?!\I have the Sacred Jewel Shard right here.\See?\Can't you tell... this is junk! response:	It's totally useless!
context: Shippo?\Won't you bring it to me... the real Sacred Jewel Shard?\Let Satsuki go!\What're you doing, Brother?!\I have the Sacred Jewel Shard right here.\See?\Can't you tell... this is junk!\It's totally useless! response:	Satsuki cherished that shard!
context: Won't you bring it to me... the real Sacred Jewel Shard?\Let Satsuki go!\What're you doing, Brother?!\I have the Sacred Jewel Shard right here.\See?\Can't you tell... this is junk!\It's totally useless!\Satsuki cherished that shard! response:	Now kid... go and get me the real Sacred Jewel Shard.
context: Let Satsuki go!\What're you doing, Brother?!\I have the Sacred Jewel Shard right here.\See?\Can't you tell... this is junk!\It's totally useless!\Satsuki cherished that shard!\Now kid... go and get me the real Sacred Jewel Shard. response:	Or else... I'll break Satsuki's neck!
context: What're you doing, Brother?!\I have the Sacred Jewel Shard right here.\See?\Can't you tell... this is junk!\It's totally useless!\Satsuki cherished that shard!\Now kid... go and get me the real Sacred Jewel Shard.\Or else... I'll break Satsuki's neck! response:	W-Who... are you?
context: I have the Sacred Jewel Shard right here.\See?\Can't you tell... this is junk!\It's totally useless!\Satsuki cherished that shard!\Now kid... go and get me the real Sacred Jewel Shard.\Or else... I'll break Satsuki's neck!\W-Who... are you? response:	Your brother, who else?
context: See?\Can't you tell... this is junk!\It's totally useless!\Satsuki cherished that shard!\Now kid... go and get me the real Sacred Jewel Shard.\Or else... I'll break Satsuki's neck!\W-Who... are you?\Your brother, who else? response:	Show your true self, demon!
context: Can't you tell... this is junk!\It's totally useless!\Satsuki cherished that shard!\Now kid... go and get me the real Sacred Jewel Shard.\Or else... I'll break Satsuki's neck!\W-Who... are you?\Your brother, who else?\Show your true self, demon! response:	Fox Fire!
context: It's totally useless!\Satsuki cherished that shard!\Now kid... go and get me the real Sacred Jewel Shard.\Or else... I'll break Satsuki's neck!\W-Who... are you?\Your brother, who else?\Show your true self, demon!\Fox Fire! response:	You're so cruel.
context: Satsuki cherished that shard!\Now kid... go and get me the real Sacred Jewel Shard.\Or else... I'll break Satsuki's neck!\W-Who... are you?\Your brother, who else?\Show your true self, demon!\Fox Fire!\You're so cruel. response:	You coulda let her believe I was her brother.
context: Now kid... go and get me the real Sacred Jewel Shard.\Or else... I'll break Satsuki's neck!\W-Who... are you?\Your brother, who else?\Show your true self, demon!\Fox Fire!\You're so cruel.\You coulda let her believe I was her brother. response:	Satsuki!
context: Or else... I'll break Satsuki's neck!\W-Who... are you?\Your brother, who else?\Show your true self, demon!\Fox Fire!\You're so cruel.\You coulda let her believe I was her brother.\Satsuki! response:	Why you! I'll teach you!
context: W-Who... are you?\Your brother, who else?\Show your true self, demon!\Fox Fire!\You're so cruel.\You coulda let her believe I was her brother.\Satsuki!\Why you! I'll teach you! response:	Satsuki, hurry!
context: Your brother, who else?\Show your true self, demon!\Fox Fire!\You're so cruel.\You coulda let her believe I was her brother.\Satsuki!\Why you! I'll teach you!\Satsuki, hurry! response:	W-Why... you!
context: Show your true self, demon!\Fox Fire!\You're so cruel.\You coulda let her believe I was her brother.\Satsuki!\Why you! I'll teach you!\Satsuki, hurry!\W-Why... you! response:	Dang! He figured it out!
context: Fox Fire!\You're so cruel.\You coulda let her believe I was her brother.\Satsuki!\Why you! I'll teach you!\Satsuki, hurry!\W-Why... you!\Dang! He figured it out! response:	You won't get away!
context: You're so cruel.\You coulda let her believe I was her brother.\Satsuki!\Why you! I'll teach you!\Satsuki, hurry!\W-Why... you!\Dang! He figured it out!\You won't get away! response:	I'll use this!
context: You coulda let her believe I was her brother.\Satsuki!\Why you! I'll teach you!\Satsuki, hurry!\W-Why... you!\Dang! He figured it out!\You won't get away!\I'll use this! response:	Satsuki, get away now!
context: Satsuki!\Why you! I'll teach you!\Satsuki, hurry!\W-Why... you!\Dang! He figured it out!\You won't get away!\I'll use this!\Satsuki, get away now! response:	Huh? No way! I can't leave you!
context: Why you! I'll teach you!\Satsuki, hurry!\W-Why... you!\Dang! He figured it out!\You won't get away!\I'll use this!\Satsuki, get away now!\Huh? No way! I can't leave you! response:	This takes only one passenger!
context: Satsuki, hurry!\W-Why... you!\Dang! He figured it out!\You won't get away!\I'll use this!\Satsuki, get away now!\Huh? No way! I can't leave you!\This takes only one passenger! response:	Shippo!
context: W-Why... you!\Dang! He figured it out!\You won't get away!\I'll use this!\Satsuki, get away now!\Huh? No way! I can't leave you!\This takes only one passenger!\Shippo! response:	Found you!
context: Dang! He figured it out!\You won't get away!\I'll use this!\Satsuki, get away now!\Huh? No way! I can't leave you!\This takes only one passenger!\Shippo!\Found you! response:	Is this Satsuki's hut?
context: You won't get away!\I'll use this!\Satsuki, get away now!\Huh? No way! I can't leave you!\This takes only one passenger!\Shippo!\Found you!\Is this Satsuki's hut? response:	See this? It's a crawling, big-bellied demon.
context: I'll use this!\Satsuki, get away now!\Huh? No way! I can't leave you!\This takes only one passenger!\Shippo!\Found you!\Is this Satsuki's hut?\See this? It's a crawling, big-bellied demon. response:	Looks like it got away.
context: Satsuki, get away now!\Huh? No way! I can't leave you!\This takes only one passenger!\Shippo!\Found you!\Is this Satsuki's hut?\See this? It's a crawling, big-bellied demon.\Looks like it got away. response:	Let's go, Miroku! We've gotta go after Shippo!
context: Huh? No way! I can't leave you!\This takes only one passenger!\Shippo!\Found you!\Is this Satsuki's hut?\See this? It's a crawling, big-bellied demon.\Looks like it got away.\Let's go, Miroku! We've gotta go after Shippo! response:	Stay alive, both of you!
context: This takes only one passenger!\Shippo!\Found you!\Is this Satsuki's hut?\See this? It's a crawling, big-bellied demon.\Looks like it got away.\Let's go, Miroku! We've gotta go after Shippo!\Stay alive, both of you! response:	That's Shippo's fox magic!
context: Shippo!\Found you!\Is this Satsuki's hut?\See this? It's a crawling, big-bellied demon.\Looks like it got away.\Let's go, Miroku! We've gotta go after Shippo!\Stay alive, both of you!\That's Shippo's fox magic! response:	It's Satsuki!
context: Found you!\Is this Satsuki's hut?\See this? It's a crawling, big-bellied demon.\Looks like it got away.\Let's go, Miroku! We've gotta go after Shippo!\Stay alive, both of you!\That's Shippo's fox magic!\It's Satsuki! response:	Good job, Kirara!
context: Is this Satsuki's hut?\See this? It's a crawling, big-bellied demon.\Looks like it got away.\Let's go, Miroku! We've gotta go after Shippo!\Stay alive, both of you!\That's Shippo's fox magic!\It's Satsuki!\Good job, Kirara! response:	Shippo's being attacked!
context: See this? It's a crawling, big-bellied demon.\Looks like it got away.\Let's go, Miroku! We've gotta go after Shippo!\Stay alive, both of you!\That's Shippo's fox magic!\It's Satsuki!\Good job, Kirara!\Shippo's being attacked! response:	We know!
context: Looks like it got away.\Let's go, Miroku! We've gotta go after Shippo!\Stay alive, both of you!\That's Shippo's fox magic!\It's Satsuki!\Good job, Kirara!\Shippo's being attacked!\We know! response:	Let's go, Kagome!
context: Let's go, Miroku! We've gotta go after Shippo!\Stay alive, both of you!\That's Shippo's fox magic!\It's Satsuki!\Good job, Kirara!\Shippo's being attacked!\We know!\Let's go, Kagome! response:	Satsuki, I hope you got away!
context: Stay alive, both of you!\That's Shippo's fox magic!\It's Satsuki!\Good job, Kirara!\Shippo's being attacked!\We know!\Let's go, Kagome!\Satsuki, I hope you got away! response:	You may've let the girl go, but it's useless.
context: That's Shippo's fox magic!\It's Satsuki!\Good job, Kirara!\Shippo's being attacked!\We know!\Let's go, Kagome!\Satsuki, I hope you got away!\You may've let the girl go, but it's useless. response:	I'll do the same thing.
context: It's Satsuki!\Good job, Kirara!\Shippo's being attacked!\We know!\Let's go, Kagome!\Satsuki, I hope you got away!\You may've let the girl go, but it's useless.\I'll do the same thing. response:	I'll use you as a hostage to get a Sacred Jewel Shard.
context: Good job, Kirara!\Shippo's being attacked!\We know!\Let's go, Kagome!\Satsuki, I hope you got away!\You may've let the girl go, but it's useless.\I'll do the same thing.\I'll use you as a hostage to get a Sacred Jewel Shard. response:	Then why didn't you come after me from the start?
context: Shippo's being attacked!\We know!\Let's go, Kagome!\Satsuki, I hope you got away!\You may've let the girl go, but it's useless.\I'll do the same thing.\I'll use you as a hostage to get a Sacred Jewel Shard.\Then why didn't you come after me from the start? response:	You dashed Satsuki's hopes!
context: We know!\Let's go, Kagome!\Satsuki, I hope you got away!\You may've let the girl go, but it's useless.\I'll do the same thing.\I'll use you as a hostage to get a Sacred Jewel Shard.\Then why didn't you come after me from the start?\You dashed Satsuki's hopes! response:	I won't forgive you!
context: Let's go, Kagome!\Satsuki, I hope you got away!\You may've let the girl go, but it's useless.\I'll do the same thing.\I'll use you as a hostage to get a Sacred Jewel Shard.\Then why didn't you come after me from the start?\You dashed Satsuki's hopes!\I won't forgive you! response:	Interesting... Want to fight?
context: Satsuki, I hope you got away!\You may've let the girl go, but it's useless.\I'll do the same thing.\I'll use you as a hostage to get a Sacred Jewel Shard.\Then why didn't you come after me from the start?\You dashed Satsuki's hopes!\I won't forgive you!\Interesting... Want to fight? response:	You bet!
context: You may've let the girl go, but it's useless.\I'll do the same thing.\I'll use you as a hostage to get a Sacred Jewel Shard.\Then why didn't you come after me from the start?\You dashed Satsuki's hopes!\I won't forgive you!\Interesting... Want to fight?\You bet! response:	Get a taste of my stomach acid!
context: I'll do the same thing.\I'll use you as a hostage to get a Sacred Jewel Shard.\Then why didn't you come after me from the start?\You dashed Satsuki's hopes!\I won't forgive you!\Interesting... Want to fight?\You bet!\Get a taste of my stomach acid! response:	Multiply!
context: I'll use you as a hostage to get a Sacred Jewel Shard.\Then why didn't you come after me from the start?\You dashed Satsuki's hopes!\I won't forgive you!\Interesting... Want to fight?\You bet!\Get a taste of my stomach acid!\Multiply! response:	Take that! Bombs away!
context: Then why didn't you come after me from the start?\You dashed Satsuki's hopes!\I won't forgive you!\Interesting... Want to fight?\You bet!\Get a taste of my stomach acid!\Multiply!\Take that! Bombs away! response:	Now!
context: You dashed Satsuki's hopes!\I won't forgive you!\Interesting... Want to fight?\You bet!\Get a taste of my stomach acid!\Multiply!\Take that! Bombs away!\Now! response:	Why you... I've had enough!
context: I won't forgive you!\Interesting... Want to fight?\You bet!\Get a taste of my stomach acid!\Multiply!\Take that! Bombs away!\Now!\Why you... I've had enough! response:	Is my powertoo weak?
context: Interesting... Want to fight?\You bet!\Get a taste of my stomach acid!\Multiply!\Take that! Bombs away!\Now!\Why you... I've had enough!\Is my powertoo weak? response:	Can't I fight like the others?
context: You bet!\Get a taste of my stomach acid!\Multiply!\Take that! Bombs away!\Now!\Why you... I've had enough!\Is my powertoo weak?\Can't I fight like the others? response:	Playtime's over!
context: Get a taste of my stomach acid!\Multiply!\Take that! Bombs away!\Now!\Why you... I've had enough!\Is my powertoo weak?\Can't I fight like the others?\Playtime's over! response:	What?! Turned yourself into something weird again?!
context: Multiply!\Take that! Bombs away!\Now!\Why you... I've had enough!\Is my powertoo weak?\Can't I fight like the others?\Playtime's over!\What?! Turned yourself into something weird again?! response:	Huh? Got a gripe with me?
context: Take that! Bombs away!\Now!\Why you... I've had enough!\Is my powertoo weak?\Can't I fight like the others?\Playtime's over!\What?! Turned yourself into something weird again?!\Huh? Got a gripe with me? response:	That's fine.
context: Now!\Why you... I've had enough!\Is my powertoo weak?\Can't I fight like the others?\Playtime's over!\What?! Turned yourself into something weird again?!\Huh? Got a gripe with me?\That's fine. response:	I can test the Backlash Wave which I've just mastered!
context: Why you... I've had enough!\Is my powertoo weak?\Can't I fight like the others?\Playtime's over!\What?! Turned yourself into something weird again?!\Huh? Got a gripe with me?\That's fine.\I can test the Backlash Wave which I've just mastered! response:	Just what are you up to now?
context: Is my powertoo weak?\Can't I fight like the others?\Playtime's over!\What?! Turned yourself into something weird again?!\Huh? Got a gripe with me?\That's fine.\I can test the Backlash Wave which I've just mastered!\Just what are you up to now? response:	Locate the demonic aura, twist it around the Wind Scar...
context: Can't I fight like the others?\Playtime's over!\What?! Turned yourself into something weird again?!\Huh? Got a gripe with me?\That's fine.\I can test the Backlash Wave which I've just mastered!\Just what are you up to now?\Locate the demonic aura, twist it around the Wind Scar... response:	then reverse the flow- my new ultimate technique!
context: Playtime's over!\What?! Turned yourself into something weird again?!\Huh? Got a gripe with me?\That's fine.\I can test the Backlash Wave which I've just mastered!\Just what are you up to now?\Locate the demonic aura, twist it around the Wind Scar...\then reverse the flow- my new ultimate technique! response:	Backlash Wave...
context: What?! Turned yourself into something weird again?!\Huh? Got a gripe with me?\That's fine.\I can test the Backlash Wave which I've just mastered!\Just what are you up to now?\Locate the demonic aura, twist it around the Wind Scar...\then reverse the flow- my new ultimate technique!\Backlash Wave... response:	Huh?
