context: Mother... response:	I can't do anythin' at all with Goku- sa!
context: Yeah. For my part,\I told'em that I don't wanna fight no whatever-their-face-is aliens,\but they says I gotta do it no matter what. I've had it with'em.\U- understood! I'll go find everyone and head there right away!\Catch ya later. I told ya everythin', that's for sure.\Oh yeah, right. I forgot.\Goku says not to bring him back to life'fore those enemies come.\W- why not? response:	He says he's gonna train in the Other World.
context: I told'em that I don't wanna fight no whatever-their-face-is aliens,\but they says I gotta do it no matter what. I've had it with'em.\U- understood! I'll go find everyone and head there right away!\Catch ya later. I told ya everythin', that's for sure.\Oh yeah, right. I forgot.\Goku says not to bring him back to life'fore those enemies come.\W- why not?\He says he's gonna train in the Other World. response:	If ya wanna know details,
context: but they says I gotta do it no matter what. I've had it with'em.\U- understood! I'll go find everyone and head there right away!\Catch ya later. I told ya everythin', that's for sure.\Oh yeah, right. I forgot.\Goku says not to bring him back to life'fore those enemies come.\W- why not?\He says he's gonna train in the Other World.\If ya wanna know details, response:	some old hag named Uranai Baba's supposed to be along pretty soon. Ask her.
context: U- understood! I'll go find everyone and head there right away!\Catch ya later. I told ya everythin', that's for sure.\Oh yeah, right. I forgot.\Goku says not to bring him back to life'fore those enemies come.\W- why not?\He says he's gonna train in the Other World.\If ya wanna know details,\some old hag named Uranai Baba's supposed to be along pretty soon. Ask her. response:	W- what? When?
context: Catch ya later. I told ya everythin', that's for sure.\Oh yeah, right. I forgot.\Goku says not to bring him back to life'fore those enemies come.\W- why not?\He says he's gonna train in the Other World.\If ya wanna know details,\some old hag named Uranai Baba's supposed to be along pretty soon. Ask her.\W- what? When? response:	T- training in the Other World?
context: Oh yeah, right. I forgot.\Goku says not to bring him back to life'fore those enemies come.\W- why not?\He says he's gonna train in the Other World.\If ya wanna know details,\some old hag named Uranai Baba's supposed to be along pretty soon. Ask her.\W- what? When?\T- training in the Other World? response:	O- of all things!
context: Goku says not to bring him back to life'fore those enemies come.\W- why not?\He says he's gonna train in the Other World.\If ya wanna know details,\some old hag named Uranai Baba's supposed to be along pretty soon. Ask her.\W- what? When?\T- training in the Other World?\O- of all things! response:	Huh?
context: W- why not?\He says he's gonna train in the Other World.\If ya wanna know details,\some old hag named Uranai Baba's supposed to be along pretty soon. Ask her.\W- what? When?\T- training in the Other World?\O- of all things!\Huh? response:	He turned around again.
context: He says he's gonna train in the Other World.\If ya wanna know details,\some old hag named Uranai Baba's supposed to be along pretty soon. Ask her.\W- what? When?\T- training in the Other World?\O- of all things!\Huh?\He turned around again. response:	It's a different kind of plane.
context: If ya wanna know details,\some old hag named Uranai Baba's supposed to be along pretty soon. Ask her.\W- what? When?\T- training in the Other World?\O- of all things!\Huh?\He turned around again.\It's a different kind of plane. response:	Ahoy! Muten Roshi- sama!
context: some old hag named Uranai Baba's supposed to be along pretty soon. Ask her.\W- what? When?\T- training in the Other World?\O- of all things!\Huh?\He turned around again.\It's a different kind of plane.\Ahoy! Muten Roshi- sama! response:	It's Chichi and Gyumao!
context: W- what? When?\T- training in the Other World?\O- of all things!\Huh?\He turned around again.\It's a different kind of plane.\Ahoy! Muten Roshi- sama!\It's Chichi and Gyumao! response:	Muten Roshi- sama, what do we do!?
context: T- training in the Other World?\O- of all things!\Huh?\He turned around again.\It's a different kind of plane.\Ahoy! Muten Roshi- sama!\It's Chichi and Gyumao!\Muten Roshi- sama, what do we do!? response:	I still haven't written their letter!
context: O- of all things!\Huh?\He turned around again.\It's a different kind of plane.\Ahoy! Muten Roshi- sama!\It's Chichi and Gyumao!\Muten Roshi- sama, what do we do!?\I still haven't written their letter! response:	Muten Roshi- sama,
context: Huh?\He turned around again.\It's a different kind of plane.\Ahoy! Muten Roshi- sama!\It's Chichi and Gyumao!\Muten Roshi- sama, what do we do!?\I still haven't written their letter!\Muten Roshi- sama, response:	it's been a terribly long time! Have you been well?
context: He turned around again.\It's a different kind of plane.\Ahoy! Muten Roshi- sama!\It's Chichi and Gyumao!\Muten Roshi- sama, what do we do!?\I still haven't written their letter!\Muten Roshi- sama,\it's been a terribly long time! Have you been well? response:	I- I suppose so.
context: It's a different kind of plane.\Ahoy! Muten Roshi- sama!\It's Chichi and Gyumao!\Muten Roshi- sama, what do we do!?\I still haven't written their letter!\Muten Roshi- sama,\it's been a terribly long time! Have you been well?\I- I suppose so. response:	-Y- yikes... -Y- yikes...
context: Ahoy! Muten Roshi- sama!\It's Chichi and Gyumao!\Muten Roshi- sama, what do we do!?\I still haven't written their letter!\Muten Roshi- sama,\it's been a terribly long time! Have you been well?\I- I suppose so.\-Y- yikes... -Y- yikes... response:	My Goku- sa and Gohan are supposed to be here!
context: It's Chichi and Gyumao!\Muten Roshi- sama, what do we do!?\I still haven't written their letter!\Muten Roshi- sama,\it's been a terribly long time! Have you been well?\I- I suppose so.\-Y- yikes... -Y- yikes...\My Goku- sa and Gohan are supposed to be here! response:	Where are they? Are they inside the house?
context: Muten Roshi- sama, what do we do!?\I still haven't written their letter!\Muten Roshi- sama,\it's been a terribly long time! Have you been well?\I- I suppose so.\-Y- yikes... -Y- yikes...\My Goku- sa and Gohan are supposed to be here!\Where are they? Are they inside the house? response:	U- um, the f- fact of the matter is...
context: I still haven't written their letter!\Muten Roshi- sama,\it's been a terribly long time! Have you been well?\I- I suppose so.\-Y- yikes... -Y- yikes...\My Goku- sa and Gohan are supposed to be here!\Where are they? Are they inside the house?\U- um, the f- fact of the matter is... response:	He was taken away by Piccolo Daimao!?
context: Muten Roshi- sama,\it's been a terribly long time! Have you been well?\I- I suppose so.\-Y- yikes... -Y- yikes...\My Goku- sa and Gohan are supposed to be here!\Where are they? Are they inside the house?\U- um, the f- fact of the matter is...\He was taken away by Piccolo Daimao!? response:	W- what happened to Goku!?
context: it's been a terribly long time! Have you been well?\I- I suppose so.\-Y- yikes... -Y- yikes...\My Goku- sa and Gohan are supposed to be here!\Where are they? Are they inside the house?\U- um, the f- fact of the matter is...\He was taken away by Piccolo Daimao!?\W- what happened to Goku!? response:	He d- died...
context: I- I suppose so.\-Y- yikes... -Y- yikes...\My Goku- sa and Gohan are supposed to be here!\Where are they? Are they inside the house?\U- um, the f- fact of the matter is...\He was taken away by Piccolo Daimao!?\W- what happened to Goku!?\He d- died... response:	Chichi! Steady!
context: -Y- yikes... -Y- yikes...\My Goku- sa and Gohan are supposed to be here!\Where are they? Are they inside the house?\U- um, the f- fact of the matter is...\He was taken away by Piccolo Daimao!?\W- what happened to Goku!?\He d- died...\Chichi! Steady! response:	Hey! Hey!
context: My Goku- sa and Gohan are supposed to be here!\Where are they? Are they inside the house?\U- um, the f- fact of the matter is...\He was taken away by Piccolo Daimao!?\W- what happened to Goku!?\He d- died...\Chichi! Steady!\Hey! Hey! response:	Let me down!
context: Where are they? Are they inside the house?\U- um, the f- fact of the matter is...\He was taken away by Piccolo Daimao!?\W- what happened to Goku!?\He d- died...\Chichi! Steady!\Hey! Hey!\Let me down! response:	Hey!
context: U- um, the f- fact of the matter is...\He was taken away by Piccolo Daimao!?\W- what happened to Goku!?\He d- died...\Chichi! Steady!\Hey! Hey!\Let me down!\Hey! response:	They're gone...
context: He was taken away by Piccolo Daimao!?\W- what happened to Goku!?\He d- died...\Chichi! Steady!\Hey! Hey!\Let me down!\Hey!\They're gone... response:	Mother... Father... I can't get down...
context: W- what happened to Goku!?\He d- died...\Chichi! Steady!\Hey! Hey!\Let me down!\Hey!\They're gone...\Mother... Father... I can't get down... response:	What have we here?
context: He d- died...\Chichi! Steady!\Hey! Hey!\Let me down!\Hey!\They're gone...\Mother... Father... I can't get down...\What have we here? response:	You don't have to run away. I won't do anything mean to you.
context: Chichi! Steady!\Hey! Hey!\Let me down!\Hey!\They're gone...\Mother... Father... I can't get down...\What have we here?\You don't have to run away. I won't do anything mean to you. response:	Hold on...
context: Hey! Hey!\Let me down!\Hey!\They're gone...\Mother... Father... I can't get down...\What have we here?\You don't have to run away. I won't do anything mean to you.\Hold on... response:	Ah, so that's how you get down. But still...
context: Let me down!\Hey!\They're gone...\Mother... Father... I can't get down...\What have we here?\You don't have to run away. I won't do anything mean to you.\Hold on...\Ah, so that's how you get down. But still... response:	I want to get down!
context: Hey!\They're gone...\Mother... Father... I can't get down...\What have we here?\You don't have to run away. I won't do anything mean to you.\Hold on...\Ah, so that's how you get down. But still...\I want to get down! response:	Urinating, huh?
context: They're gone...\Mother... Father... I can't get down...\What have we here?\You don't have to run away. I won't do anything mean to you.\Hold on...\Ah, so that's how you get down. But still...\I want to get down!\Urinating, huh? response:	Why is this happening to me?
context: Mother... Father... I can't get down...\What have we here?\You don't have to run away. I won't do anything mean to you.\Hold on...\Ah, so that's how you get down. But still...\I want to get down!\Urinating, huh?\Why is this happening to me? response:	Why is it this bright out?
context: What have we here?\You don't have to run away. I won't do anything mean to you.\Hold on...\Ah, so that's how you get down. But still...\I want to get down!\Urinating, huh?\Why is this happening to me?\Why is it this bright out? response:	It's the moon!
context: You don't have to run away. I won't do anything mean to you.\Hold on...\Ah, so that's how you get down. But still...\I want to get down!\Urinating, huh?\Why is this happening to me?\Why is it this bright out?\It's the moon! response:	Wow! It's completely round!
context: Hold on...\Ah, so that's how you get down. But still...\I want to get down!\Urinating, huh?\Why is this happening to me?\Why is it this bright out?\It's the moon!\Wow! It's completely round! response:	This is the first time I've ever seen a full moo-
context: Ah, so that's how you get down. But still...\I want to get down!\Urinating, huh?\Why is this happening to me?\Why is it this bright out?\It's the moon!\Wow! It's completely round!\This is the first time I've ever seen a full moo- response:	What is it?
context: I want to get down!\Urinating, huh?\Why is this happening to me?\Why is it this bright out?\It's the moon!\Wow! It's completely round!\This is the first time I've ever seen a full moo-\What is it? response:	What!?
context: Urinating, huh?\Why is this happening to me?\Why is it this bright out?\It's the moon!\Wow! It's completely round!\This is the first time I've ever seen a full moo-\What is it?\What!? response:	I- impossible!
context: Why is this happening to me?\Why is it this bright out?\It's the moon!\Wow! It's completely round!\This is the first time I've ever seen a full moo-\What is it?\What!?\I- impossible! response:	What's going on!? He's got extraordinary destructive power!
context: Why is it this bright out?\It's the moon!\Wow! It's completely round!\This is the first time I've ever seen a full moo-\What is it?\What!?\I- impossible!\What's going on!? He's got extraordinary destructive power! response:	A- at this rate, earth will be annihilated before the Saiyans even get here!
context: It's the moon!\Wow! It's completely round!\This is the first time I've ever seen a full moo-\What is it?\What!?\I- impossible!\What's going on!? He's got extraordinary destructive power!\A- at this rate, earth will be annihilated before the Saiyans even get here! response:	How can this be?
context: Wow! It's completely round!\This is the first time I've ever seen a full moo-\What is it?\What!?\I- impossible!\What's going on!? He's got extraordinary destructive power!\A- at this rate, earth will be annihilated before the Saiyans even get here!\How can this be? response:	Don't play stupid! It is when the moon is at its fullest
context: This is the first time I've ever seen a full moo-\What is it?\What!?\I- impossible!\What's going on!? He's got extraordinary destructive power!\A- at this rate, earth will be annihilated before the Saiyans even get here!\How can this be?\Don't play stupid! It is when the moon is at its fullest response:	that we Saiyans are at our best, you know!
context: What is it?\What!?\I- impossible!\What's going on!? He's got extraordinary destructive power!\A- at this rate, earth will be annihilated before the Saiyans even get here!\How can this be?\Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know! response:	That's it!
context: What!?\I- impossible!\What's going on!? He's got extraordinary destructive power!\A- at this rate, earth will be annihilated before the Saiyans even get here!\How can this be?\Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know!\That's it! response:	lt's the full moon!
context: I- impossible!\What's going on!? He's got extraordinary destructive power!\A- at this rate, earth will be annihilated before the Saiyans even get here!\How can this be?\Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know!\That's it!\lt's the full moon! response:	Get lost!
context: What's going on!? He's got extraordinary destructive power!\A- at this rate, earth will be annihilated before the Saiyans even get here!\How can this be?\Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know!\That's it!\lt's the full moon!\Get lost! response:	T- to think that he could transform! It must be his Saiyan blood.
context: A- at this rate, earth will be annihilated before the Saiyans even get here!\How can this be?\Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know!\That's it!\lt's the full moon!\Get lost!\T- to think that he could transform! It must be his Saiyan blood. response:	I get the feeling that I've discovered the secret to him and Son Goku's strength.
context: How can this be?\Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know!\That's it!\lt's the full moon!\Get lost!\T- to think that he could transform! It must be his Saiyan blood.\I get the feeling that I've discovered the secret to him and Son Goku's strength. response:	Looks like blowing the moon away was the right thing to do.
context: Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know!\That's it!\lt's the full moon!\Get lost!\T- to think that he could transform! It must be his Saiyan blood.\I get the feeling that I've discovered the secret to him and Son Goku's strength.\Looks like blowing the moon away was the right thing to do. response:	I shudder to think of those Saiyan guys turning into monsters like that.
context: that we Saiyans are at our best, you know!\That's it!\lt's the full moon!\Get lost!\T- to think that he could transform! It must be his Saiyan blood.\I get the feeling that I've discovered the secret to him and Son Goku's strength.\Looks like blowing the moon away was the right thing to do.\I shudder to think of those Saiyan guys turning into monsters like that. response:	He said something or other about their tails,
context: That's it!\lt's the full moon!\Get lost!\T- to think that he could transform! It must be his Saiyan blood.\I get the feeling that I've discovered the secret to him and Son Goku's strength.\Looks like blowing the moon away was the right thing to do.\I shudder to think of those Saiyan guys turning into monsters like that.\He said something or other about their tails, response:	but it appears that both the tails and a full moon are required to transform.
context: lt's the full moon!\Get lost!\T- to think that he could transform! It must be his Saiyan blood.\I get the feeling that I've discovered the secret to him and Son Goku's strength.\Looks like blowing the moon away was the right thing to do.\I shudder to think of those Saiyan guys turning into monsters like that.\He said something or other about their tails,\but it appears that both the tails and a full moon are required to transform. response:	Maybe I'll pull out his tail, too.
context: Get lost!\T- to think that he could transform! It must be his Saiyan blood.\I get the feeling that I've discovered the secret to him and Son Goku's strength.\Looks like blowing the moon away was the right thing to do.\I shudder to think of those Saiyan guys turning into monsters like that.\He said something or other about their tails,\but it appears that both the tails and a full moon are required to transform.\Maybe I'll pull out his tail, too. response:	There's no need to worry about him transforming like this,
context: T- to think that he could transform! It must be his Saiyan blood.\I get the feeling that I've discovered the secret to him and Son Goku's strength.\Looks like blowing the moon away was the right thing to do.\I shudder to think of those Saiyan guys turning into monsters like that.\He said something or other about their tails,\but it appears that both the tails and a full moon are required to transform.\Maybe I'll pull out his tail, too.\There's no need to worry about him transforming like this, response:	but Saiyan tails seem to be their weak spots.
context: I get the feeling that I've discovered the secret to him and Son Goku's strength.\Looks like blowing the moon away was the right thing to do.\I shudder to think of those Saiyan guys turning into monsters like that.\He said something or other about their tails,\but it appears that both the tails and a full moon are required to transform.\Maybe I'll pull out his tail, too.\There's no need to worry about him transforming like this,\but Saiyan tails seem to be their weak spots. response:	All right, then.
context: Looks like blowing the moon away was the right thing to do.\I shudder to think of those Saiyan guys turning into monsters like that.\He said something or other about their tails,\but it appears that both the tails and a full moon are required to transform.\Maybe I'll pull out his tail, too.\There's no need to worry about him transforming like this,\but Saiyan tails seem to be their weak spots.\All right, then. response:	I think I'll provide him clothes and a sword at no charge...
context: I shudder to think of those Saiyan guys turning into monsters like that.\He said something or other about their tails,\but it appears that both the tails and a full moon are required to transform.\Maybe I'll pull out his tail, too.\There's no need to worry about him transforming like this,\but Saiyan tails seem to be their weak spots.\All right, then.\I think I'll provide him clothes and a sword at no charge... response:	I'll let you have the same design as your father's.
context: He said something or other about their tails,\but it appears that both the tails and a full moon are required to transform.\Maybe I'll pull out his tail, too.\There's no need to worry about him transforming like this,\but Saiyan tails seem to be their weak spots.\All right, then.\I think I'll provide him clothes and a sword at no charge...\I'll let you have the same design as your father's. response:	Although the character may be a little different.
context: but it appears that both the tails and a full moon are required to transform.\Maybe I'll pull out his tail, too.\There's no need to worry about him transforming like this,\but Saiyan tails seem to be their weak spots.\All right, then.\I think I'll provide him clothes and a sword at no charge...\I'll let you have the same design as your father's.\Although the character may be a little different. response:	I have to go do my own training. I'm leaving now.
context: Maybe I'll pull out his tail, too.\There's no need to worry about him transforming like this,\but Saiyan tails seem to be their weak spots.\All right, then.\I think I'll provide him clothes and a sword at no charge...\I'll let you have the same design as your father's.\Although the character may be a little different.\I have to go do my own training. I'm leaving now. response:	If you can survive here without anything happening to you for six months,
context: There's no need to worry about him transforming like this,\but Saiyan tails seem to be their weak spots.\All right, then.\I think I'll provide him clothes and a sword at no charge...\I'll let you have the same design as your father's.\Although the character may be a little different.\I have to go do my own training. I'm leaving now.\If you can survive here without anything happening to you for six months, response:	I, Piccolo- sama, will personally put you through some hellish training!
context: but Saiyan tails seem to be their weak spots.\All right, then.\I think I'll provide him clothes and a sword at no charge...\I'll let you have the same design as your father's.\Although the character may be a little different.\I have to go do my own training. I'm leaving now.\If you can survive here without anything happening to you for six months,\I, Piccolo- sama, will personally put you through some hellish training! response:	So much so that you'll come to believe you'd be better off dying!
context: All right, then.\I think I'll provide him clothes and a sword at no charge...\I'll let you have the same design as your father's.\Although the character may be a little different.\I have to go do my own training. I'm leaving now.\If you can survive here without anything happening to you for six months,\I, Piccolo- sama, will personally put you through some hellish training!\So much so that you'll come to believe you'd be better off dying! response:	Brace yourself!
context: I think I'll provide him clothes and a sword at no charge...\I'll let you have the same design as your father's.\Although the character may be a little different.\I have to go do my own training. I'm leaving now.\If you can survive here without anything happening to you for six months,\I, Piccolo- sama, will personally put you through some hellish training!\So much so that you'll come to believe you'd be better off dying!\Brace yourself! response:	I'll also turn you into an outstanding Demon Clansman!
context: I'll let you have the same design as your father's.\Although the character may be a little different.\I have to go do my own training. I'm leaving now.\If you can survive here without anything happening to you for six months,\I, Piccolo- sama, will personally put you through some hellish training!\So much so that you'll come to believe you'd be better off dying!\Brace yourself!\I'll also turn you into an outstanding Demon Clansman! response:	The goal is to bring down the Saiyans. Separated by time and space,
context: Although the character may be a little different.\I have to go do my own training. I'm leaving now.\If you can survive here without anything happening to you for six months,\I, Piccolo- sama, will personally put you through some hellish training!\So much so that you'll come to believe you'd be better off dying!\Brace yourself!\I'll also turn you into an outstanding Demon Clansman!\The goal is to bring down the Saiyans. Separated by time and space, response:	the harsh trials that both the sleeping father and son must face
context: I have to go do my own training. I'm leaving now.\If you can survive here without anything happening to you for six months,\I, Piccolo- sama, will personally put you through some hellish training!\So much so that you'll come to believe you'd be better off dying!\Brace yourself!\I'll also turn you into an outstanding Demon Clansman!\The goal is to bring down the Saiyans. Separated by time and space,\the harsh trials that both the sleeping father and son must face response:	continue on and on.
