context: Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon response:	An elemental blizzard attack...
context: Regardless of the cause of this,\it's true that the Kunie Clan has failed to keep the city safe.\We've left a blotch on our several-century-long history\of operating the magic circle and protecting the city.\Then...\As you say,\we need to find something we can do and do it.\We need to take a step forward, instead of rejecting you. response:	I'm sorry for testing you earlier.
context: it's true that the Kunie Clan has failed to keep the city safe.\We've left a blotch on our several-century-long history\of operating the magic circle and protecting the city.\Then...\As you say,\we need to find something we can do and do it.\We need to take a step forward, instead of rejecting you.\I'm sorry for testing you earlier. response:	And I'd like you to know I am in your debt for this, Lenessia.
context: We've left a blotch on our several-century-long history\of operating the magic circle and protecting the city.\Then...\As you say,\we need to find something we can do and do it.\We need to take a step forward, instead of rejecting you.\I'm sorry for testing you earlier.\And I'd like you to know I am in your debt for this, Lenessia. response:	Of course, I'd prefer to pay that debt to someone else.
context: of operating the magic circle and protecting the city.\Then...\As you say,\we need to find something we can do and do it.\We need to take a step forward, instead of rejecting you.\I'm sorry for testing you earlier.\And I'd like you to know I am in your debt for this, Lenessia.\Of course, I'd prefer to pay that debt to someone else. response:	Let us go, then.
context: Then...\As you say,\we need to find something we can do and do it.\We need to take a step forward, instead of rejecting you.\I'm sorry for testing you earlier.\And I'd like you to know I am in your debt for this, Lenessia.\Of course, I'd prefer to pay that debt to someone else.\Let us go, then. response:	What is this?
context: As you say,\we need to find something we can do and do it.\We need to take a step forward, instead of rejecting you.\I'm sorry for testing you earlier.\And I'd like you to know I am in your debt for this, Lenessia.\Of course, I'd prefer to pay that debt to someone else.\Let us go, then.\What is this? response:	Come this way.
context: we need to find something we can do and do it.\We need to take a step forward, instead of rejecting you.\I'm sorry for testing you earlier.\And I'd like you to know I am in your debt for this, Lenessia.\Of course, I'd prefer to pay that debt to someone else.\Let us go, then.\What is this?\Come this way. response:	Yes.
context: We need to take a step forward, instead of rejecting you.\I'm sorry for testing you earlier.\And I'd like you to know I am in your debt for this, Lenessia.\Of course, I'd prefer to pay that debt to someone else.\Let us go, then.\What is this?\Come this way.\Yes. response:	Team J, get out of there.
context: I'm sorry for testing you earlier.\And I'd like you to know I am in your debt for this, Lenessia.\Of course, I'd prefer to pay that debt to someone else.\Let us go, then.\What is this?\Come this way.\Yes.\Team J, get out of there. response:	I'll tell you where to rendezvous after healing in a moment.
context: And I'd like you to know I am in your debt for this, Lenessia.\Of course, I'd prefer to pay that debt to someone else.\Let us go, then.\What is this?\Come this way.\Yes.\Team J, get out of there.\I'll tell you where to rendezvous after healing in a moment. response:	Team D will continue to its designated position.
context: Of course, I'd prefer to pay that debt to someone else.\Let us go, then.\What is this?\Come this way.\Yes.\Team J, get out of there.\I'll tell you where to rendezvous after healing in a moment.\Team D will continue to its designated position. response:	Engage in approximately thirty seconds!
context: Let us go, then.\What is this?\Come this way.\Yes.\Team J, get out of there.\I'll tell you where to rendezvous after healing in a moment.\Team D will continue to its designated position.\Engage in approximately thirty seconds! response:	Are you okay, Marielle?
context: What is this?\Come this way.\Yes.\Team J, get out of there.\I'll tell you where to rendezvous after healing in a moment.\Team D will continue to its designated position.\Engage in approximately thirty seconds!\Are you okay, Marielle? response:	Just fine!
context: Come this way.\Yes.\Team J, get out of there.\I'll tell you where to rendezvous after healing in a moment.\Team D will continue to its designated position.\Engage in approximately thirty seconds!\Are you okay, Marielle?\Just fine! response:	I could keep this up all night!
context: Yes.\Team J, get out of there.\I'll tell you where to rendezvous after healing in a moment.\Team D will continue to its designated position.\Engage in approximately thirty seconds!\Are you okay, Marielle?\Just fine!\I could keep this up all night! response:	Why?
context: Team J, get out of there.\I'll tell you where to rendezvous after healing in a moment.\Team D will continue to its designated position.\Engage in approximately thirty seconds!\Are you okay, Marielle?\Just fine!\I could keep this up all night!\Why? response:	Why?
context: I'll tell you where to rendezvous after healing in a moment.\Team D will continue to its designated position.\Engage in approximately thirty seconds!\Are you okay, Marielle?\Just fine!\I could keep this up all night!\Why?\Why? response:	Sutu Inaw, why did you betray me?
context: Team D will continue to its designated position.\Engage in approximately thirty seconds!\Are you okay, Marielle?\Just fine!\I could keep this up all night!\Why?\Why?\Sutu Inaw, why did you betray me? response:	Shut up!
context: Engage in approximately thirty seconds!\Are you okay, Marielle?\Just fine!\I could keep this up all night!\Why?\Why?\Sutu Inaw, why did you betray me?\Shut up! response:	Get back!
context: Are you okay, Marielle?\Just fine!\I could keep this up all night!\Why?\Why?\Sutu Inaw, why did you betray me?\Shut up!\Get back! response:	I'm not Rugrius!
context: Just fine!\I could keep this up all night!\Why?\Why?\Sutu Inaw, why did you betray me?\Shut up!\Get back!\I'm not Rugrius! response:	Right!
context: I could keep this up all night!\Why?\Why?\Sutu Inaw, why did you betray me?\Shut up!\Get back!\I'm not Rugrius!\Right! response:	No, this girl betrayed me!
context: Why?\Why?\Sutu Inaw, why did you betray me?\Shut up!\Get back!\I'm not Rugrius!\Right!\No, this girl betrayed me! response:	Me, a proud hero!
context: Why?\Sutu Inaw, why did you betray me?\Shut up!\Get back!\I'm not Rugrius!\Right!\No, this girl betrayed me!\Me, a proud hero! response:	Summon Servant: Golem!
context: Sutu Inaw, why did you betray me?\Shut up!\Get back!\I'm not Rugrius!\Right!\No, this girl betrayed me!\Me, a proud hero!\Summon Servant: Golem! response:	Use him as a shield!
context: Shut up!\Get back!\I'm not Rugrius!\Right!\No, this girl betrayed me!\Me, a proud hero!\Summon Servant: Golem!\Use him as a shield! response:	Thanks!
context: Get back!\I'm not Rugrius!\Right!\No, this girl betrayed me!\Me, a proud hero!\Summon Servant: Golem!\Use him as a shield!\Thanks! response:	Heartbeat Healing!
context: I'm not Rugrius!\Right!\No, this girl betrayed me!\Me, a proud hero!\Summon Servant: Golem!\Use him as a shield!\Thanks!\Heartbeat Healing! response:	Go!
context: Right!\No, this girl betrayed me!\Me, a proud hero!\Summon Servant: Golem!\Use him as a shield!\Thanks!\Heartbeat Healing!\Go! response:	It's warm.
context: No, this girl betrayed me!\Me, a proud hero!\Summon Servant: Golem!\Use him as a shield!\Thanks!\Heartbeat Healing!\Go!\It's warm. response:	Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon Status Effects
context: Me, a proud hero!\Summon Servant: Golem!\Use him as a shield!\Thanks!\Heartbeat Healing!\Go!\It's warm.\Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon Status Effects response:	Phys Atk Up, Phys Def Up, Dodge Up, Cold Res Up, Regen
context: Summon Servant: Golem!\Use him as a shield!\Thanks!\Heartbeat Healing!\Go!\It's warm.\Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon Status Effects\Phys Atk Up, Phys Def Up, Dodge Up, Cold Res Up, Regen response:	Thank you.
context: Use him as a shield!\Thanks!\Heartbeat Healing!\Go!\It's warm.\Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon Status Effects\Phys Atk Up, Phys Def Up, Dodge Up, Cold Res Up, Regen\Thank you. response:	She's cute.
context: Thanks!\Heartbeat Healing!\Go!\It's warm.\Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon Status Effects\Phys Atk Up, Phys Def Up, Dodge Up, Cold Res Up, Regen\Thank you.\She's cute. response:	Combat Skill Summon: Lance Diesel!
context: Heartbeat Healing!\Go!\It's warm.\Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon Status Effects\Phys Atk Up, Phys Def Up, Dodge Up, Cold Res Up, Regen\Thank you.\She's cute.\Combat Skill Summon: Lance Diesel! response:	You can do it!
context: Go!\It's warm.\Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon Status Effects\Phys Atk Up, Phys Def Up, Dodge Up, Cold Res Up, Regen\Thank you.\She's cute.\Combat Skill Summon: Lance Diesel!\You can do it! response:	Thanks!
context: It's warm.\Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon Status Effects\Phys Atk Up, Phys Def Up, Dodge Up, Cold Res Up, Regen\Thank you.\She's cute.\Combat Skill Summon: Lance Diesel!\You can do it!\Thanks! response:	Ten meters to the next area!
context: Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon Status Effects\Phys Atk Up, Phys Def Up, Dodge Up, Cold Res Up, Regen\Thank you.\She's cute.\Combat Skill Summon: Lance Diesel!\You can do it!\Thanks!\Ten meters to the next area! response:	Just one more step...
context: Phys Atk Up, Phys Def Up, Dodge Up, Cold Res Up, Regen\Thank you.\She's cute.\Combat Skill Summon: Lance Diesel!\You can do it!\Thanks!\Ten meters to the next area!\Just one more step... response:	Just one more step, and I think I can figure it out!
context: Thank you.\She's cute.\Combat Skill Summon: Lance Diesel!\You can do it!\Thanks!\Ten meters to the next area!\Just one more step...\Just one more step, and I think I can figure it out! response:	No!
context: She's cute.\Combat Skill Summon: Lance Diesel!\You can do it!\Thanks!\Ten meters to the next area!\Just one more step...\Just one more step, and I think I can figure it out!\No! response:	Support can't get there in time!
context: Combat Skill Summon: Lance Diesel!\You can do it!\Thanks!\Ten meters to the next area!\Just one more step...\Just one more step, and I think I can figure it out!\No!\Support can't get there in time! response:	I'm weak.
context: You can do it!\Thanks!\Ten meters to the next area!\Just one more step...\Just one more step, and I think I can figure it out!\No!\Support can't get there in time!\I'm weak. response:	This katana wants your blood.
context: Thanks!\Ten meters to the next area!\Just one more step...\Just one more step, and I think I can figure it out!\No!\Support can't get there in time!\I'm weak.\This katana wants your blood. response:	Faster...
context: Ten meters to the next area!\Just one more step...\Just one more step, and I think I can figure it out!\No!\Support can't get there in time!\I'm weak.\This katana wants your blood.\Faster... response:	Faster! Faster!
context: Just one more step...\Just one more step, and I think I can figure it out!\No!\Support can't get there in time!\I'm weak.\This katana wants your blood.\Faster...\Faster! Faster! response:	Faster!
context: Just one more step, and I think I can figure it out!\No!\Support can't get there in time!\I'm weak.\This katana wants your blood.\Faster...\Faster! Faster!\Faster! response:	What is this?
context: No!\Support can't get there in time!\I'm weak.\This katana wants your blood.\Faster...\Faster! Faster!\Faster!\What is this? response:	Akatsuki is multiplying...
context: Support can't get there in time!\I'm weak.\This katana wants your blood.\Faster...\Faster! Faster!\Faster!\What is this?\Akatsuki is multiplying... response:	What was that?
context: I'm weak.\This katana wants your blood.\Faster...\Faster! Faster!\Faster!\What is this?\Akatsuki is multiplying...\What was that? response:	I wanted to go fast so badly, I activated Hide Shadow.
context: This katana wants your blood.\Faster...\Faster! Faster!\Faster!\What is this?\Akatsuki is multiplying...\What was that?\I wanted to go fast so badly, I activated Hide Shadow. response:	I should only be able to use it when moving around, but I did it anyway?
context: Faster...\Faster! Faster!\Faster!\What is this?\Akatsuki is multiplying...\What was that?\I wanted to go fast so badly, I activated Hide Shadow.\I should only be able to use it when moving around, but I did it anyway? response:	You learned a new skill
context: Faster! Faster!\Faster!\What is this?\Akatsuki is multiplying...\What was that?\I wanted to go fast so badly, I activated Hide Shadow.\I should only be able to use it when moving around, but I did it anyway?\You learned a new skill response:	You learned a new skill Teaching Shadow Lurk
context: Faster!\What is this?\Akatsuki is multiplying...\What was that?\I wanted to go fast so badly, I activated Hide Shadow.\I should only be able to use it when moving around, but I did it anyway?\You learned a new skill\You learned a new skill Teaching Shadow Lurk response:	Teaching Shadow Lurk
context: What is this?\Akatsuki is multiplying...\What was that?\I wanted to go fast so badly, I activated Hide Shadow.\I should only be able to use it when moving around, but I did it anyway?\You learned a new skill\You learned a new skill Teaching Shadow Lurk\Teaching Shadow Lurk response:	This is my Teaching...
context: Akatsuki is multiplying...\What was that?\I wanted to go fast so badly, I activated Hide Shadow.\I should only be able to use it when moving around, but I did it anyway?\You learned a new skill\You learned a new skill Teaching Shadow Lurk\Teaching Shadow Lurk\This is my Teaching... response:	A Teaching that belongs only to me.
context: What was that?\I wanted to go fast so badly, I activated Hide Shadow.\I should only be able to use it when moving around, but I did it anyway?\You learned a new skill\You learned a new skill Teaching Shadow Lurk\Teaching Shadow Lurk\This is my Teaching...\A Teaching that belongs only to me. response:	Looks like she finally learned one.
context: I wanted to go fast so badly, I activated Hide Shadow.\I should only be able to use it when moving around, but I did it anyway?\You learned a new skill\You learned a new skill Teaching Shadow Lurk\Teaching Shadow Lurk\This is my Teaching...\A Teaching that belongs only to me.\Looks like she finally learned one. response:	Awesome, Akatsuki!
context: I should only be able to use it when moving around, but I did it anyway?\You learned a new skill\You learned a new skill Teaching Shadow Lurk\Teaching Shadow Lurk\This is my Teaching...\A Teaching that belongs only to me.\Looks like she finally learned one.\Awesome, Akatsuki! response:	You can't learn the Teachings from someone else.
context: You learned a new skill\You learned a new skill Teaching Shadow Lurk\Teaching Shadow Lurk\This is my Teaching...\A Teaching that belongs only to me.\Looks like she finally learned one.\Awesome, Akatsuki!\You can't learn the Teachings from someone else. response:	It's a state you reach after endlessly facing yourself and training.
context: You learned a new skill Teaching Shadow Lurk\Teaching Shadow Lurk\This is my Teaching...\A Teaching that belongs only to me.\Looks like she finally learned one.\Awesome, Akatsuki!\You can't learn the Teachings from someone else.\It's a state you reach after endlessly facing yourself and training. response:	Akatsuki, good job!
context: Teaching Shadow Lurk\This is my Teaching...\A Teaching that belongs only to me.\Looks like she finally learned one.\Awesome, Akatsuki!\You can't learn the Teachings from someone else.\It's a state you reach after endlessly facing yourself and training.\Akatsuki, good job! response:	How stupid.
context: This is my Teaching...\A Teaching that belongs only to me.\Looks like she finally learned one.\Awesome, Akatsuki!\You can't learn the Teachings from someone else.\It's a state you reach after endlessly facing yourself and training.\Akatsuki, good job!\How stupid. response:	You just forget what you knew from the game,
context: A Teaching that belongs only to me.\Looks like she finally learned one.\Awesome, Akatsuki!\You can't learn the Teachings from someone else.\It's a state you reach after endlessly facing yourself and training.\Akatsuki, good job!\How stupid.\You just forget what you knew from the game, response:	and use your abilities to their fullest.
context: Looks like she finally learned one.\Awesome, Akatsuki!\You can't learn the Teachings from someone else.\It's a state you reach after endlessly facing yourself and training.\Akatsuki, good job!\How stupid.\You just forget what you knew from the game,\and use your abilities to their fullest. response:	That's all it was.
context: Awesome, Akatsuki!\You can't learn the Teachings from someone else.\It's a state you reach after endlessly facing yourself and training.\Akatsuki, good job!\How stupid.\You just forget what you knew from the game,\and use your abilities to their fullest.\That's all it was. response:	How stupid.
context: You can't learn the Teachings from someone else.\It's a state you reach after endlessly facing yourself and training.\Akatsuki, good job!\How stupid.\You just forget what you knew from the game,\and use your abilities to their fullest.\That's all it was.\How stupid. response:	I sought power outside of myself.
context: It's a state you reach after endlessly facing yourself and training.\Akatsuki, good job!\How stupid.\You just forget what you knew from the game,\and use your abilities to their fullest.\That's all it was.\How stupid.\I sought power outside of myself. response:	Just like you.
context: Akatsuki, good job!\How stupid.\You just forget what you knew from the game,\and use your abilities to their fullest.\That's all it was.\How stupid.\I sought power outside of myself.\Just like you. response:	But...
context: How stupid.\You just forget what you knew from the game,\and use your abilities to their fullest.\That's all it was.\How stupid.\I sought power outside of myself.\Just like you.\But... response:	I'm different now.
context: You just forget what you knew from the game,\and use your abilities to their fullest.\That's all it was.\How stupid.\I sought power outside of myself.\Just like you.\But...\I'm different now. response:	I'm fine with being weak.
context: and use your abilities to their fullest.\That's all it was.\How stupid.\I sought power outside of myself.\Just like you.\But...\I'm different now.\I'm fine with being weak. response:	Embart Nelreth...
context: That's all it was.\How stupid.\I sought power outside of myself.\Just like you.\But...\I'm different now.\I'm fine with being weak.\Embart Nelreth... response:	Rather than face yourself, you sought cursed power,
context: How stupid.\I sought power outside of myself.\Just like you.\But...\I'm different now.\I'm fine with being weak.\Embart Nelreth...\Rather than face yourself, you sought cursed power, response:	and that power controlled you.
context: I sought power outside of myself.\Just like you.\But...\I'm different now.\I'm fine with being weak.\Embart Nelreth...\Rather than face yourself, you sought cursed power,\and that power controlled you. response:	Which means your overwhelming strength
context: Just like you.\But...\I'm different now.\I'm fine with being weak.\Embart Nelreth...\Rather than face yourself, you sought cursed power,\and that power controlled you.\Which means your overwhelming strength response:	is much more fragile than my weakness!
context: But...\I'm different now.\I'm fine with being weak.\Embart Nelreth...\Rather than face yourself, you sought cursed power,\and that power controlled you.\Which means your overwhelming strength\is much more fragile than my weakness! response:	Okay.
context: I'm different now.\I'm fine with being weak.\Embart Nelreth...\Rather than face yourself, you sought cursed power,\and that power controlled you.\Which means your overwhelming strength\is much more fragile than my weakness!\Okay. response:	You got him!
context: I'm fine with being weak.\Embart Nelreth...\Rather than face yourself, you sought cursed power,\and that power controlled you.\Which means your overwhelming strength\is much more fragile than my weakness!\Okay.\You got him! response:	What's this?
context: Embart Nelreth...\Rather than face yourself, you sought cursed power,\and that power controlled you.\Which means your overwhelming strength\is much more fragile than my weakness!\Okay.\You got him!\What's this? response:	C-Can't get it out...
context: Rather than face yourself, you sought cursed power,\and that power controlled you.\Which means your overwhelming strength\is much more fragile than my weakness!\Okay.\You got him!\What's this?\C-Can't get it out... response:	Like this? Huh?
context: and that power controlled you.\Which means your overwhelming strength\is much more fragile than my weakness!\Okay.\You got him!\What's this?\C-Can't get it out...\Like this? Huh? response:	Like this?!
context: Which means your overwhelming strength\is much more fragile than my weakness!\Okay.\You got him!\What's this?\C-Can't get it out...\Like this? Huh?\Like this?! response:	Race/ Human Assassin, Lv. 92
context: is much more fragile than my weakness!\Okay.\You got him!\What's this?\C-Can't get it out...\Like this? Huh?\Like this?!\Race/ Human Assassin, Lv. 92 response:	Akatsuki's HP is down to five percent!
context: Okay.\You got him!\What's this?\C-Can't get it out...\Like this? Huh?\Like this?!\Race/ Human Assassin, Lv. 92\Akatsuki's HP is down to five percent! response:	And she's unarmed...
context: You got him!\What's this?\C-Can't get it out...\Like this? Huh?\Like this?!\Race/ Human Assassin, Lv. 92\Akatsuki's HP is down to five percent!\And she's unarmed... response:	Marielle's almost out of MP, too.
context: What's this?\C-Can't get it out...\Like this? Huh?\Like this?!\Race/ Human Assassin, Lv. 92\Akatsuki's HP is down to five percent!\And she's unarmed...\Marielle's almost out of MP, too. response:	She can't even heal properly!
context: C-Can't get it out...\Like this? Huh?\Like this?!\Race/ Human Assassin, Lv. 92\Akatsuki's HP is down to five percent!\And she's unarmed...\Marielle's almost out of MP, too.\She can't even heal properly! response:	Sorry... This is all I can do.
context: Like this? Huh?\Like this?!\Race/ Human Assassin, Lv. 92\Akatsuki's HP is down to five percent!\And she's unarmed...\Marielle's almost out of MP, too.\She can't even heal properly!\Sorry... This is all I can do. response:	Really, I'm sorry.
context: Like this?!\Race/ Human Assassin, Lv. 92\Akatsuki's HP is down to five percent!\And she's unarmed...\Marielle's almost out of MP, too.\She can't even heal properly!\Sorry... This is all I can do.\Really, I'm sorry. response:	Marielle, get out of here.
context: Race/ Human Assassin, Lv. 92\Akatsuki's HP is down to five percent!\And she's unarmed...\Marielle's almost out of MP, too.\She can't even heal properly!\Sorry... This is all I can do.\Really, I'm sorry.\Marielle, get out of here. response:	Team D, get there now!
context: Akatsuki's HP is down to five percent!\And she's unarmed...\Marielle's almost out of MP, too.\She can't even heal properly!\Sorry... This is all I can do.\Really, I'm sorry.\Marielle, get out of here.\Team D, get there now! response:	We're on our way!
context: And she's unarmed...\Marielle's almost out of MP, too.\She can't even heal properly!\Sorry... This is all I can do.\Really, I'm sorry.\Marielle, get out of here.\Team D, get there now!\We're on our way! response:	Run away and leave me here, Akatsuki!
context: Marielle's almost out of MP, too.\She can't even heal properly!\Sorry... This is all I can do.\Really, I'm sorry.\Marielle, get out of here.\Team D, get there now!\We're on our way!\Run away and leave me here, Akatsuki! response:	Don't give up.
context: She can't even heal properly!\Sorry... This is all I can do.\Really, I'm sorry.\Marielle, get out of here.\Team D, get there now!\We're on our way!\Run away and leave me here, Akatsuki!\Don't give up. response:	Status/ In Combat
context: Sorry... This is all I can do.\Really, I'm sorry.\Marielle, get out of here.\Team D, get there now!\We're on our way!\Run away and leave me here, Akatsuki!\Don't give up.\Status/ In Combat response:	Zone/ Akihabara Skill Use Permitted
context: Really, I'm sorry.\Marielle, get out of here.\Team D, get there now!\We're on our way!\Run away and leave me here, Akatsuki!\Don't give up.\Status/ In Combat\Zone/ Akihabara Skill Use Permitted response:	Tatara Amenoma Lv. 90 Amenoma
context: Marielle, get out of here.\Team D, get there now!\We're on our way!\Run away and leave me here, Akatsuki!\Don't give up.\Status/ In Combat\Zone/ Akihabara Skill Use Permitted\Tatara Amenoma Lv. 90 Amenoma response:	Come to me.
context: Team D, get there now!\We're on our way!\Run away and leave me here, Akatsuki!\Don't give up.\Status/ In Combat\Zone/ Akihabara Skill Use Permitted\Tatara Amenoma Lv. 90 Amenoma\Come to me. response:	Crawl to me if you have to.
context: We're on our way!\Run away and leave me here, Akatsuki!\Don't give up.\Status/ In Combat\Zone/ Akihabara Skill Use Permitted\Tatara Amenoma Lv. 90 Amenoma\Come to me.\Crawl to me if you have to. response:	Run!
context: Run away and leave me here, Akatsuki!\Don't give up.\Status/ In Combat\Zone/ Akihabara Skill Use Permitted\Tatara Amenoma Lv. 90 Amenoma\Come to me.\Crawl to me if you have to.\Run! response:	Route change.
context: Don't give up.\Status/ In Combat\Zone/ Akihabara Skill Use Permitted\Tatara Amenoma Lv. 90 Amenoma\Come to me.\Crawl to me if you have to.\Run!\Route change. response:	Team C is moving down Chuo Street, toward Kandamyojin Street.
context: Status/ In Combat\Zone/ Akihabara Skill Use Permitted\Tatara Amenoma Lv. 90 Amenoma\Come to me.\Crawl to me if you have to.\Run!\Route change.\Team C is moving down Chuo Street, toward Kandamyojin Street. response:	All teams, update your area positions.
context: Zone/ Akihabara Skill Use Permitted\Tatara Amenoma Lv. 90 Amenoma\Come to me.\Crawl to me if you have to.\Run!\Route change.\Team C is moving down Chuo Street, toward Kandamyojin Street.\All teams, update your area positions. response:	Sutu Inaw, I'm right here.
context: Tatara Amenoma Lv. 90 Amenoma\Come to me.\Crawl to me if you have to.\Run!\Route change.\Team C is moving down Chuo Street, toward Kandamyojin Street.\All teams, update your area positions.\Sutu Inaw, I'm right here. response:	Don't run anymore.
context: Come to me.\Crawl to me if you have to.\Run!\Route change.\Team C is moving down Chuo Street, toward Kandamyojin Street.\All teams, update your area positions.\Sutu Inaw, I'm right here.\Don't run anymore. response:	No... That isn't right.
context: Crawl to me if you have to.\Run!\Route change.\Team C is moving down Chuo Street, toward Kandamyojin Street.\All teams, update your area positions.\Sutu Inaw, I'm right here.\Don't run anymore.\No... That isn't right. response:	You're the adventurer girl.
context: Run!\Route change.\Team C is moving down Chuo Street, toward Kandamyojin Street.\All teams, update your area positions.\Sutu Inaw, I'm right here.\Don't run anymore.\No... That isn't right.\You're the adventurer girl. response:	He isn't making any sense.
context: Route change.\Team C is moving down Chuo Street, toward Kandamyojin Street.\All teams, update your area positions.\Sutu Inaw, I'm right here.\Don't run anymore.\No... That isn't right.\You're the adventurer girl.\He isn't making any sense. response:	Get back, Marielle!
context: Team C is moving down Chuo Street, toward Kandamyojin Street.\All teams, update your area positions.\Sutu Inaw, I'm right here.\Don't run anymore.\No... That isn't right.\You're the adventurer girl.\He isn't making any sense.\Get back, Marielle! response:	What's this?
context: All teams, update your area positions.\Sutu Inaw, I'm right here.\Don't run anymore.\No... That isn't right.\You're the adventurer girl.\He isn't making any sense.\Get back, Marielle!\What's this? response:	The Screaming Sword Haganemushi?
context: Sutu Inaw, I'm right here.\Don't run anymore.\No... That isn't right.\You're the adventurer girl.\He isn't making any sense.\Get back, Marielle!\What's this?\The Screaming Sword Haganemushi? response:	No.
context: Don't run anymore.\No... That isn't right.\You're the adventurer girl.\He isn't making any sense.\Get back, Marielle!\What's this?\The Screaming Sword Haganemushi?\No. response:	I reforged it into the Haganemushi Tatara.
context: No... That isn't right.\You're the adventurer girl.\He isn't making any sense.\Get back, Marielle!\What's this?\The Screaming Sword Haganemushi?\No.\I reforged it into the Haganemushi Tatara. response:	I've matched it to your size.
context: You're the adventurer girl.\He isn't making any sense.\Get back, Marielle!\What's this?\The Screaming Sword Haganemushi?\No.\I reforged it into the Haganemushi Tatara.\I've matched it to your size. response:	But...
context: He isn't making any sense.\Get back, Marielle!\What's this?\The Screaming Sword Haganemushi?\No.\I reforged it into the Haganemushi Tatara.\I've matched it to your size.\But... response:	I'm giving it to you.
context: Get back, Marielle!\What's this?\The Screaming Sword Haganemushi?\No.\I reforged it into the Haganemushi Tatara.\I've matched it to your size.\But...\I'm giving it to you. response:	Use my katana to defeat that thing.
context: What's this?\The Screaming Sword Haganemushi?\No.\I reforged it into the Haganemushi Tatara.\I've matched it to your size.\But...\I'm giving it to you.\Use my katana to defeat that thing. response:	The twenty-seventh maiden has arrived.
context: The Screaming Sword Haganemushi?\No.\I reforged it into the Haganemushi Tatara.\I've matched it to your size.\But...\I'm giving it to you.\Use my katana to defeat that thing.\The twenty-seventh maiden has arrived. response:	Defeating him won't end this.
context: No.\I reforged it into the Haganemushi Tatara.\I've matched it to your size.\But...\I'm giving it to you.\Use my katana to defeat that thing.\The twenty-seventh maiden has arrived.\Defeating him won't end this. response:	I need to destroy Byakumaru.
context: I reforged it into the Haganemushi Tatara.\I've matched it to your size.\But...\I'm giving it to you.\Use my katana to defeat that thing.\The twenty-seventh maiden has arrived.\Defeating him won't end this.\I need to destroy Byakumaru. response:	Originally, Haganemushi had the effect
context: I've matched it to your size.\But...\I'm giving it to you.\Use my katana to defeat that thing.\The twenty-seventh maiden has arrived.\Defeating him won't end this.\I need to destroy Byakumaru.\Originally, Haganemushi had the effect response:	of lowering the condition of an enemy weapon it touches.
context: But...\I'm giving it to you.\Use my katana to defeat that thing.\The twenty-seventh maiden has arrived.\Defeating him won't end this.\I need to destroy Byakumaru.\Originally, Haganemushi had the effect\of lowering the condition of an enemy weapon it touches. response:	I need to end this quickly
context: I'm giving it to you.\Use my katana to defeat that thing.\The twenty-seventh maiden has arrived.\Defeating him won't end this.\I need to destroy Byakumaru.\Originally, Haganemushi had the effect\of lowering the condition of an enemy weapon it touches.\I need to end this quickly response:	for everyone's sake!
context: Use my katana to defeat that thing.\The twenty-seventh maiden has arrived.\Defeating him won't end this.\I need to destroy Byakumaru.\Originally, Haganemushi had the effect\of lowering the condition of an enemy weapon it touches.\I need to end this quickly\for everyone's sake! response:	Again?
context: The twenty-seventh maiden has arrived.\Defeating him won't end this.\I need to destroy Byakumaru.\Originally, Haganemushi had the effect\of lowering the condition of an enemy weapon it touches.\I need to end this quickly\for everyone's sake!\Again? response:	No!
context: Defeating him won't end this.\I need to destroy Byakumaru.\Originally, Haganemushi had the effect\of lowering the condition of an enemy weapon it touches.\I need to end this quickly\for everyone's sake!\Again?\No! response:	Senpuu Izuna!
context: I need to destroy Byakumaru.\Originally, Haganemushi had the effect\of lowering the condition of an enemy weapon it touches.\I need to end this quickly\for everyone's sake!\Again?\No!\Senpuu Izuna! response:	Don't build up too much aggro.
context: Originally, Haganemushi had the effect\of lowering the condition of an enemy weapon it touches.\I need to end this quickly\for everyone's sake!\Again?\No!\Senpuu Izuna!\Don't build up too much aggro. response:	I know!
context: of lowering the condition of an enemy weapon it touches.\I need to end this quickly\for everyone's sake!\Again?\No!\Senpuu Izuna!\Don't build up too much aggro.\I know! response:	Party Chat
context: I need to end this quickly\for everyone's sake!\Again?\No!\Senpuu Izuna!\Don't build up too much aggro.\I know!\Party Chat response:	Isami, how's the enemy's HP looking?
context: for everyone's sake!\Again?\No!\Senpuu Izuna!\Don't build up too much aggro.\I know!\Party Chat\Isami, how's the enemy's HP looking? response:	Um...
context: Again?\No!\Senpuu Izuna!\Don't build up too much aggro.\I know!\Party Chat\Isami, how's the enemy's HP looking?\Um... response:	The bar is acting weird, but it's around twenty percent.
context: No!\Senpuu Izuna!\Don't build up too much aggro.\I know!\Party Chat\Isami, how's the enemy's HP looking?\Um...\The bar is acting weird, but it's around twenty percent. response:	I don't know the absolute value...
