context: Conny! response:	Are there any survivors?
context: Not a hole big enough for Titans to use.\Should we go back and look again?\We'll need to, but the horses and the rest of us are exhausted.\If only we had some moonlight...\Yeah...\What's that?\Castle ruins?\Information Available for Public Disclosure Torches Though seemingly primitive, torches do not extinguish when dropped, making them ideal for night operations. response:	Due to their usefulness and long burning time, materials to make torches are issued as standard equipment in the Scout Regiment.
context: Should we go back and look again?\We'll need to, but the horses and the rest of us are exhausted.\If only we had some moonlight...\Yeah...\What's that?\Castle ruins?\Information Available for Public Disclosure Torches Though seemingly primitive, torches do not extinguish when dropped, making them ideal for night operations.\Due to their usefulness and long burning time, materials to make torches are issued as standard equipment in the Scout Regiment. response:	It looks like a mess, but we can make it work for one night of rest.
context: We'll need to, but the horses and the rest of us are exhausted.\If only we had some moonlight...\Yeah...\What's that?\Castle ruins?\Information Available for Public Disclosure Torches Though seemingly primitive, torches do not extinguish when dropped, making them ideal for night operations.\Due to their usefulness and long burning time, materials to make torches are issued as standard equipment in the Scout Regiment.\It looks like a mess, but we can make it work for one night of rest. response:	Right. Luckily the moon is out.
context: If only we had some moonlight...\Yeah...\What's that?\Castle ruins?\Information Available for Public Disclosure Torches Though seemingly primitive, torches do not extinguish when dropped, making them ideal for night operations.\Due to their usefulness and long burning time, materials to make torches are issued as standard equipment in the Scout Regiment.\It looks like a mess, but we can make it work for one night of rest.\Right. Luckily the moon is out. response:	Hange.
context: Yeah...\What's that?\Castle ruins?\Information Available for Public Disclosure Torches Though seemingly primitive, torches do not extinguish when dropped, making them ideal for night operations.\Due to their usefulness and long burning time, materials to make torches are issued as standard equipment in the Scout Regiment.\It looks like a mess, but we can make it work for one night of rest.\Right. Luckily the moon is out.\Hange. response:	Hey, four-eyes.
context: What's that?\Castle ruins?\Information Available for Public Disclosure Torches Though seemingly primitive, torches do not extinguish when dropped, making them ideal for night operations.\Due to their usefulness and long burning time, materials to make torches are issued as standard equipment in the Scout Regiment.\It looks like a mess, but we can make it work for one night of rest.\Right. Luckily the moon is out.\Hange.\Hey, four-eyes. response:	Are your hobbies so boring that playing with rocks is somehow fun for you?
context: Castle ruins?\Information Available for Public Disclosure Torches Though seemingly primitive, torches do not extinguish when dropped, making them ideal for night operations.\Due to their usefulness and long burning time, materials to make torches are issued as standard equipment in the Scout Regiment.\It looks like a mess, but we can make it work for one night of rest.\Right. Luckily the moon is out.\Hange.\Hey, four-eyes.\Are your hobbies so boring that playing with rocks is somehow fun for you? response:	Yeah. That's right.
context: Information Available for Public Disclosure Torches Though seemingly primitive, torches do not extinguish when dropped, making them ideal for night operations.\Due to their usefulness and long burning time, materials to make torches are issued as standard equipment in the Scout Regiment.\It looks like a mess, but we can make it work for one night of rest.\Right. Luckily the moon is out.\Hange.\Hey, four-eyes.\Are your hobbies so boring that playing with rocks is somehow fun for you?\Yeah. That's right. response:	But this is no ordinary rock.
context: Due to their usefulness and long burning time, materials to make torches are issued as standard equipment in the Scout Regiment.\It looks like a mess, but we can make it work for one night of rest.\Right. Luckily the moon is out.\Hange.\Hey, four-eyes.\Are your hobbies so boring that playing with rocks is somehow fun for you?\Yeah. That's right.\But this is no ordinary rock. response:	It's a hardened fragment of skin left behind by the Female Titan.
context: It looks like a mess, but we can make it work for one night of rest.\Right. Luckily the moon is out.\Hange.\Hey, four-eyes.\Are your hobbies so boring that playing with rocks is somehow fun for you?\Yeah. That's right.\But this is no ordinary rock.\It's a hardened fragment of skin left behind by the Female Titan. response:	Huh? It didn't disappear?
context: Right. Luckily the moon is out.\Hange.\Hey, four-eyes.\Are your hobbies so boring that playing with rocks is somehow fun for you?\Yeah. That's right.\But this is no ordinary rock.\It's a hardened fragment of skin left behind by the Female Titan.\Huh? It didn't disappear? response:	Right! Annie reverted from a Titan, but it's still intact even though it broke off her body.
context: Hange.\Hey, four-eyes.\Are your hobbies so boring that playing with rocks is somehow fun for you?\Yeah. That's right.\But this is no ordinary rock.\It's a hardened fragment of skin left behind by the Female Titan.\Huh? It didn't disappear?\Right! Annie reverted from a Titan, but it's still intact even though it broke off her body. response:	It didn't evaporate. It didn't disappear.
context: Hey, four-eyes.\Are your hobbies so boring that playing with rocks is somehow fun for you?\Yeah. That's right.\But this is no ordinary rock.\It's a hardened fragment of skin left behind by the Female Titan.\Huh? It didn't disappear?\Right! Annie reverted from a Titan, but it's still intact even though it broke off her body.\It didn't evaporate. It didn't disappear. response:	So I thought, What if?
context: Are your hobbies so boring that playing with rocks is somehow fun for you?\Yeah. That's right.\But this is no ordinary rock.\It's a hardened fragment of skin left behind by the Female Titan.\Huh? It didn't disappear?\Right! Annie reverted from a Titan, but it's still intact even though it broke off her body.\It didn't evaporate. It didn't disappear.\So I thought, What if? response:	When I compared it to a piece of the wall,
context: Yeah. That's right.\But this is no ordinary rock.\It's a hardened fragment of skin left behind by the Female Titan.\Huh? It didn't disappear?\Right! Annie reverted from a Titan, but it's still intact even though it broke off her body.\It didn't evaporate. It didn't disappear.\So I thought, What if?\When I compared it to a piece of the wall, response:	its pattern and composition were practically identical.
context: But this is no ordinary rock.\It's a hardened fragment of skin left behind by the Female Titan.\Huh? It didn't disappear?\Right! Annie reverted from a Titan, but it's still intact even though it broke off her body.\It didn't evaporate. It didn't disappear.\So I thought, What if?\When I compared it to a piece of the wall,\its pattern and composition were practically identical. response:	In other words, the wall is a barricade of humongous Titans.
context: It's a hardened fragment of skin left behind by the Female Titan.\Huh? It didn't disappear?\Right! Annie reverted from a Titan, but it's still intact even though it broke off her body.\It didn't evaporate. It didn't disappear.\So I thought, What if?\When I compared it to a piece of the wall,\its pattern and composition were practically identical.\In other words, the wall is a barricade of humongous Titans. response:	And if I'm right, the surface is constructed with hardened Titan skin.
context: Huh? It didn't disappear?\Right! Annie reverted from a Titan, but it's still intact even though it broke off her body.\It didn't evaporate. It didn't disappear.\So I thought, What if?\When I compared it to a piece of the wall,\its pattern and composition were practically identical.\In other words, the wall is a barricade of humongous Titans.\And if I'm right, the surface is constructed with hardened Titan skin. response:	That's exactly what Armin was saying...
context: Right! Annie reverted from a Titan, but it's still intact even though it broke off her body.\It didn't evaporate. It didn't disappear.\So I thought, What if?\When I compared it to a piece of the wall,\its pattern and composition were practically identical.\In other words, the wall is a barricade of humongous Titans.\And if I'm right, the surface is constructed with hardened Titan skin.\That's exactly what Armin was saying... response:	Th-Then-
context: It didn't evaporate. It didn't disappear.\So I thought, What if?\When I compared it to a piece of the wall,\its pattern and composition were practically identical.\In other words, the wall is a barricade of humongous Titans.\And if I'm right, the surface is constructed with hardened Titan skin.\That's exactly what Armin was saying...\Th-Then- response:	Let me finish, Armin.
context: So I thought, What if?\When I compared it to a piece of the wall,\its pattern and composition were practically identical.\In other words, the wall is a barricade of humongous Titans.\And if I'm right, the surface is constructed with hardened Titan skin.\That's exactly what Armin was saying...\Th-Then-\Let me finish, Armin. response:	As it stands, we'll be hard pressed to fill the hole in Wall Rose.
context: When I compared it to a piece of the wall,\its pattern and composition were practically identical.\In other words, the wall is a barricade of humongous Titans.\And if I'm right, the surface is constructed with hardened Titan skin.\That's exactly what Armin was saying...\Th-Then-\Let me finish, Armin.\As it stands, we'll be hard pressed to fill the hole in Wall Rose. response:	That is, unless we can find the perfect boulder to plug it.
context: its pattern and composition were practically identical.\In other words, the wall is a barricade of humongous Titans.\And if I'm right, the surface is constructed with hardened Titan skin.\That's exactly what Armin was saying...\Th-Then-\Let me finish, Armin.\As it stands, we'll be hard pressed to fill the hole in Wall Rose.\That is, unless we can find the perfect boulder to plug it. response:	But if... But if Eren, in his transformed state,
context: In other words, the wall is a barricade of humongous Titans.\And if I'm right, the surface is constructed with hardened Titan skin.\That's exactly what Armin was saying...\Th-Then-\Let me finish, Armin.\As it stands, we'll be hard pressed to fill the hole in Wall Rose.\That is, unless we can find the perfect boulder to plug it.\But if... But if Eren, in his transformed state, response:	could use the Titans' hardening ability to seal the hole in the wall...
context: And if I'm right, the surface is constructed with hardened Titan skin.\That's exactly what Armin was saying...\Th-Then-\Let me finish, Armin.\As it stands, we'll be hard pressed to fill the hole in Wall Rose.\That is, unless we can find the perfect boulder to plug it.\But if... But if Eren, in his transformed state,\could use the Titans' hardening ability to seal the hole in the wall... response:	Use me...
context: That's exactly what Armin was saying...\Th-Then-\Let me finish, Armin.\As it stands, we'll be hard pressed to fill the hole in Wall Rose.\That is, unless we can find the perfect boulder to plug it.\But if... But if Eren, in his transformed state,\could use the Titans' hardening ability to seal the hole in the wall...\Use me... response:	It should be made of the same material.
context: Th-Then-\Let me finish, Armin.\As it stands, we'll be hard pressed to fill the hole in Wall Rose.\That is, unless we can find the perfect boulder to plug it.\But if... But if Eren, in his transformed state,\could use the Titans' hardening ability to seal the hole in the wall...\Use me...\It should be made of the same material. response:	And seeing how the hardened section won't evaporate, even after you revert from a Titan...
context: Let me finish, Armin.\As it stands, we'll be hard pressed to fill the hole in Wall Rose.\That is, unless we can find the perfect boulder to plug it.\But if... But if Eren, in his transformed state,\could use the Titans' hardening ability to seal the hole in the wall...\Use me...\It should be made of the same material.\And seeing how the hardened section won't evaporate, even after you revert from a Titan... response:	I think it's well worth the risk to try.
context: As it stands, we'll be hard pressed to fill the hole in Wall Rose.\That is, unless we can find the perfect boulder to plug it.\But if... But if Eren, in his transformed state,\could use the Titans' hardening ability to seal the hole in the wall...\Use me...\It should be made of the same material.\And seeing how the hardened section won't evaporate, even after you revert from a Titan...\I think it's well worth the risk to try. response:	And assuming it really does work, reclaiming Wall Maria is feasible, too.
context: That is, unless we can find the perfect boulder to plug it.\But if... But if Eren, in his transformed state,\could use the Titans' hardening ability to seal the hole in the wall...\Use me...\It should be made of the same material.\And seeing how the hardened section won't evaporate, even after you revert from a Titan...\I think it's well worth the risk to try.\And assuming it really does work, reclaiming Wall Maria is feasible, too. response:	Up until now, we've had to transport a large quantity of materials and supplies.
context: But if... But if Eren, in his transformed state,\could use the Titans' hardening ability to seal the hole in the wall...\Use me...\It should be made of the same material.\And seeing how the hardened section won't evaporate, even after you revert from a Titan...\I think it's well worth the risk to try.\And assuming it really does work, reclaiming Wall Maria is feasible, too.\Up until now, we've had to transport a large quantity of materials and supplies. response:	That's why the need for outposts past the wall limited our progress.
context: could use the Titans' hardening ability to seal the hole in the wall...\Use me...\It should be made of the same material.\And seeing how the hardened section won't evaporate, even after you revert from a Titan...\I think it's well worth the risk to try.\And assuming it really does work, reclaiming Wall Maria is feasible, too.\Up until now, we've had to transport a large quantity of materials and supplies.\That's why the need for outposts past the wall limited our progress. response:	But if we don't have to accommodate supply wagons...
context: Use me...\It should be made of the same material.\And seeing how the hardened section won't evaporate, even after you revert from a Titan...\I think it's well worth the risk to try.\And assuming it really does work, reclaiming Wall Maria is feasible, too.\Up until now, we've had to transport a large quantity of materials and supplies.\That's why the need for outposts past the wall limited our progress.\But if we don't have to accommodate supply wagons... response:	What if we carried out the plan at night?
context: It should be made of the same material.\And seeing how the hardened section won't evaporate, even after you revert from a Titan...\I think it's well worth the risk to try.\And assuming it really does work, reclaiming Wall Maria is feasible, too.\Up until now, we've had to transport a large quantity of materials and supplies.\That's why the need for outposts past the wall limited our progress.\But if we don't have to accommodate supply wagons...\What if we carried out the plan at night? response:	At night?
context: And seeing how the hardened section won't evaporate, even after you revert from a Titan...\I think it's well worth the risk to try.\And assuming it really does work, reclaiming Wall Maria is feasible, too.\Up until now, we've had to transport a large quantity of materials and supplies.\That's why the need for outposts past the wall limited our progress.\But if we don't have to accommodate supply wagons...\What if we carried out the plan at night?\At night? response:	Yes.
context: I think it's well worth the risk to try.\And assuming it really does work, reclaiming Wall Maria is feasible, too.\Up until now, we've had to transport a large quantity of materials and supplies.\That's why the need for outposts past the wall limited our progress.\But if we don't have to accommodate supply wagons...\What if we carried out the plan at night?\At night?\Yes. response:	During the night, when Titans can't move.
context: And assuming it really does work, reclaiming Wall Maria is feasible, too.\Up until now, we've had to transport a large quantity of materials and supplies.\That's why the need for outposts past the wall limited our progress.\But if we don't have to accommodate supply wagons...\What if we carried out the plan at night?\At night?\Yes.\During the night, when Titans can't move. response:	I see...
context: Up until now, we've had to transport a large quantity of materials and supplies.\That's why the need for outposts past the wall limited our progress.\But if we don't have to accommodate supply wagons...\What if we carried out the plan at night?\At night?\Yes.\During the night, when Titans can't move.\I see... response:	If the group was small enough, you could sneak all the way to Wall Maria.
context: That's why the need for outposts past the wall limited our progress.\But if we don't have to accommodate supply wagons...\What if we carried out the plan at night?\At night?\Yes.\During the night, when Titans can't move.\I see...\If the group was small enough, you could sneak all the way to Wall Maria. response:	The current situation is as bad as it gets, but...
context: But if we don't have to accommodate supply wagons...\What if we carried out the plan at night?\At night?\Yes.\During the night, when Titans can't move.\I see...\If the group was small enough, you could sneak all the way to Wall Maria.\The current situation is as bad as it gets, but... response:	Yes, but remember...
context: What if we carried out the plan at night?\At night?\Yes.\During the night, when Titans can't move.\I see...\If the group was small enough, you could sneak all the way to Wall Maria.\The current situation is as bad as it gets, but...\Yes, but remember... response:	I realize asking this hardly seems fair, but...
context: At night?\Yes.\During the night, when Titans can't move.\I see...\If the group was small enough, you could sneak all the way to Wall Maria.\The current situation is as bad as it gets, but...\Yes, but remember...\I realize asking this hardly seems fair, but... response:	Think you can do it?
context: Yes.\During the night, when Titans can't move.\I see...\If the group was small enough, you could sneak all the way to Wall Maria.\The current situation is as bad as it gets, but...\Yes, but remember...\I realize asking this hardly seems fair, but...\Think you can do it? response:	It doesn't matter what you think.
context: During the night, when Titans can't move.\I see...\If the group was small enough, you could sneak all the way to Wall Maria.\The current situation is as bad as it gets, but...\Yes, but remember...\I realize asking this hardly seems fair, but...\Think you can do it?\It doesn't matter what you think. response:	You have to. There's no other choice.
context: I see...\If the group was small enough, you could sneak all the way to Wall Maria.\The current situation is as bad as it gets, but...\Yes, but remember...\I realize asking this hardly seems fair, but...\Think you can do it?\It doesn't matter what you think.\You have to. There's no other choice. response:	We're out of options.
context: If the group was small enough, you could sneak all the way to Wall Maria.\The current situation is as bad as it gets, but...\Yes, but remember...\I realize asking this hardly seems fair, but...\Think you can do it?\It doesn't matter what you think.\You have to. There's no other choice.\We're out of options. response:	Our forces are struggling so desperately, there's nothing else they can do.
context: The current situation is as bad as it gets, but...\Yes, but remember...\I realize asking this hardly seems fair, but...\Think you can do it?\It doesn't matter what you think.\You have to. There's no other choice.\We're out of options.\Our forces are struggling so desperately, there's nothing else they can do. response:	You have to succeed.
context: Yes, but remember...\I realize asking this hardly seems fair, but...\Think you can do it?\It doesn't matter what you think.\You have to. There's no other choice.\We're out of options.\Our forces are struggling so desperately, there's nothing else they can do.\You have to succeed. response:	I will!
context: I realize asking this hardly seems fair, but...\Think you can do it?\It doesn't matter what you think.\You have to. There's no other choice.\We're out of options.\Our forces are struggling so desperately, there's nothing else they can do.\You have to succeed.\I will! response:	I'll do whatever it takes to seal the wall!
context: Think you can do it?\It doesn't matter what you think.\You have to. There's no other choice.\We're out of options.\Our forces are struggling so desperately, there's nothing else they can do.\You have to succeed.\I will!\I'll do whatever it takes to seal the wall! response:	Whatever it takes...
context: It doesn't matter what you think.\You have to. There's no other choice.\We're out of options.\Our forces are struggling so desperately, there's nothing else they can do.\You have to succeed.\I will!\I'll do whatever it takes to seal the wall!\Whatever it takes... response:	The basement...
context: You have to. There's no other choice.\We're out of options.\Our forces are struggling so desperately, there's nothing else they can do.\You have to succeed.\I will!\I'll do whatever it takes to seal the wall!\Whatever it takes...\The basement... response:	My dad's basement...
context: We're out of options.\Our forces are struggling so desperately, there's nothing else they can do.\You have to succeed.\I will!\I'll do whatever it takes to seal the wall!\Whatever it takes...\The basement...\My dad's basement... response:	If what my dad said was true, we'll find the answers to everything there.
context: Our forces are struggling so desperately, there's nothing else they can do.\You have to succeed.\I will!\I'll do whatever it takes to seal the wall!\Whatever it takes...\The basement...\My dad's basement...\If what my dad said was true, we'll find the answers to everything there. response:	It's Ehrmich District.
context: You have to succeed.\I will!\I'll do whatever it takes to seal the wall!\Whatever it takes...\The basement...\My dad's basement...\If what my dad said was true, we'll find the answers to everything there.\It's Ehrmich District. response:	Hey, keep moving.
context: I will!\I'll do whatever it takes to seal the wall!\Whatever it takes...\The basement...\My dad's basement...\If what my dad said was true, we'll find the answers to everything there.\It's Ehrmich District.\Hey, keep moving. response:	You'll end up like a little lost kid.
context: I'll do whatever it takes to seal the wall!\Whatever it takes...\The basement...\My dad's basement...\If what my dad said was true, we'll find the answers to everything there.\It's Ehrmich District.\Hey, keep moving.\You'll end up like a little lost kid. response:	Th-This is...
context: Whatever it takes...\The basement...\My dad's basement...\If what my dad said was true, we'll find the answers to everything there.\It's Ehrmich District.\Hey, keep moving.\You'll end up like a little lost kid.\Th-This is... response:	What did you expect you'd see?
context: The basement...\My dad's basement...\If what my dad said was true, we'll find the answers to everything there.\It's Ehrmich District.\Hey, keep moving.\You'll end up like a little lost kid.\Th-This is...\What did you expect you'd see? response:	This is what happens when the wall falls.
context: My dad's basement...\If what my dad said was true, we'll find the answers to everything there.\It's Ehrmich District.\Hey, keep moving.\You'll end up like a little lost kid.\Th-This is...\What did you expect you'd see?\This is what happens when the wall falls. response:	Mommy! Daddy!
context: If what my dad said was true, we'll find the answers to everything there.\It's Ehrmich District.\Hey, keep moving.\You'll end up like a little lost kid.\Th-This is...\What did you expect you'd see?\This is what happens when the wall falls.\Mommy! Daddy! response:	Hey!
context: It's Ehrmich District.\Hey, keep moving.\You'll end up like a little lost kid.\Th-This is...\What did you expect you'd see?\This is what happens when the wall falls.\Mommy! Daddy!\Hey! response:	Where do you think you're going?
context: Hey, keep moving.\You'll end up like a little lost kid.\Th-This is...\What did you expect you'd see?\This is what happens when the wall falls.\Mommy! Daddy!\Hey!\Where do you think you're going? response:	Take a good look at the faces of people who've lost everything.
context: You'll end up like a little lost kid.\Th-This is...\What did you expect you'd see?\This is what happens when the wall falls.\Mommy! Daddy!\Hey!\Where do you think you're going?\Take a good look at the faces of people who've lost everything. response:	The faces of everyone you and your people abandoned.
context: Th-This is...\What did you expect you'd see?\This is what happens when the wall falls.\Mommy! Daddy!\Hey!\Where do you think you're going?\Take a good look at the faces of people who've lost everything.\The faces of everyone you and your people abandoned. response:	If your church's wish comes true, and Titans come flooding through the walls,
context: What did you expect you'd see?\This is what happens when the wall falls.\Mommy! Daddy!\Hey!\Where do you think you're going?\Take a good look at the faces of people who've lost everything.\The faces of everyone you and your people abandoned.\If your church's wish comes true, and Titans come flooding through the walls, response:	we'll all be gobbled up in their stinking mouths and die in the most miserable way possible.
context: This is what happens when the wall falls.\Mommy! Daddy!\Hey!\Where do you think you're going?\Take a good look at the faces of people who've lost everything.\The faces of everyone you and your people abandoned.\If your church's wish comes true, and Titans come flooding through the walls,\we'll all be gobbled up in their stinking mouths and die in the most miserable way possible. response:	All of humanity, digested as one.
context: Mommy! Daddy!\Hey!\Where do you think you're going?\Take a good look at the faces of people who've lost everything.\The faces of everyone you and your people abandoned.\If your church's wish comes true, and Titans come flooding through the walls,\we'll all be gobbled up in their stinking mouths and die in the most miserable way possible.\All of humanity, digested as one. response:	Once we leave Ehrmich, we'll be in Titan territory.
context: Hey!\Where do you think you're going?\Take a good look at the faces of people who've lost everything.\The faces of everyone you and your people abandoned.\If your church's wish comes true, and Titans come flooding through the walls,\we'll all be gobbled up in their stinking mouths and die in the most miserable way possible.\All of humanity, digested as one.\Once we leave Ehrmich, we'll be in Titan territory. response:	Eren? Think you can ride a horse?
context: Where do you think you're going?\Take a good look at the faces of people who've lost everything.\The faces of everyone you and your people abandoned.\If your church's wish comes true, and Titans come flooding through the walls,\we'll all be gobbled up in their stinking mouths and die in the most miserable way possible.\All of humanity, digested as one.\Once we leave Ehrmich, we'll be in Titan territory.\Eren? Think you can ride a horse? response:	Yes. I feel fully recovered now.
context: Take a good look at the faces of people who've lost everything.\The faces of everyone you and your people abandoned.\If your church's wish comes true, and Titans come flooding through the walls,\we'll all be gobbled up in their stinking mouths and die in the most miserable way possible.\All of humanity, digested as one.\Once we leave Ehrmich, we'll be in Titan territory.\Eren? Think you can ride a horse?\Yes. I feel fully recovered now. response:	Yours is ready at the west lift. Let's hurry.
context: The faces of everyone you and your people abandoned.\If your church's wish comes true, and Titans come flooding through the walls,\we'll all be gobbled up in their stinking mouths and die in the most miserable way possible.\All of humanity, digested as one.\Once we leave Ehrmich, we'll be in Titan territory.\Eren? Think you can ride a horse?\Yes. I feel fully recovered now.\Yours is ready at the west lift. Let's hurry. response:	Section Commander. We should hurry.
context: If your church's wish comes true, and Titans come flooding through the walls,\we'll all be gobbled up in their stinking mouths and die in the most miserable way possible.\All of humanity, digested as one.\Once we leave Ehrmich, we'll be in Titan territory.\Eren? Think you can ride a horse?\Yes. I feel fully recovered now.\Yours is ready at the west lift. Let's hurry.\Section Commander. We should hurry. response:	Give me a minute, Moblit.
context: we'll all be gobbled up in their stinking mouths and die in the most miserable way possible.\All of humanity, digested as one.\Once we leave Ehrmich, we'll be in Titan territory.\Eren? Think you can ride a horse?\Yes. I feel fully recovered now.\Yours is ready at the west lift. Let's hurry.\Section Commander. We should hurry.\Give me a minute, Moblit. response:	Have you had a change of heart yet?
context: All of humanity, digested as one.\Once we leave Ehrmich, we'll be in Titan territory.\Eren? Think you can ride a horse?\Yes. I feel fully recovered now.\Yours is ready at the west lift. Let's hurry.\Section Commander. We should hurry.\Give me a minute, Moblit.\Have you had a change of heart yet? response:	We don't have time for this! You know, don't you?!
context: Once we leave Ehrmich, we'll be in Titan territory.\Eren? Think you can ride a horse?\Yes. I feel fully recovered now.\Yours is ready at the west lift. Let's hurry.\Section Commander. We should hurry.\Give me a minute, Moblit.\Have you had a change of heart yet?\We don't have time for this! You know, don't you?! response:	Will you talk, or won't you?! Make up your mind already!
context: Eren? Think you can ride a horse?\Yes. I feel fully recovered now.\Yours is ready at the west lift. Let's hurry.\Section Commander. We should hurry.\Give me a minute, Moblit.\Have you had a change of heart yet?\We don't have time for this! You know, don't you?!\Will you talk, or won't you?! Make up your mind already! response:	I cannot say anything.
context: Yes. I feel fully recovered now.\Yours is ready at the west lift. Let's hurry.\Section Commander. We should hurry.\Give me a minute, Moblit.\Have you had a change of heart yet?\We don't have time for this! You know, don't you?!\Will you talk, or won't you?! Make up your mind already!\I cannot say anything. response:	The other believers are the same as I, and that will never change.
context: Yours is ready at the west lift. Let's hurry.\Section Commander. We should hurry.\Give me a minute, Moblit.\Have you had a change of heart yet?\We don't have time for this! You know, don't you?!\Will you talk, or won't you?! Make up your mind already!\I cannot say anything.\The other believers are the same as I, and that will never change. response:	Well thanks for nothing!
context: Section Commander. We should hurry.\Give me a minute, Moblit.\Have you had a change of heart yet?\We don't have time for this! You know, don't you?!\Will you talk, or won't you?! Make up your mind already!\I cannot say anything.\The other believers are the same as I, and that will never change.\Well thanks for nothing! response:	We're so grateful for all the help you've been!
context: Give me a minute, Moblit.\Have you had a change of heart yet?\We don't have time for this! You know, don't you?!\Will you talk, or won't you?! Make up your mind already!\I cannot say anything.\The other believers are the same as I, and that will never change.\Well thanks for nothing!\We're so grateful for all the help you've been! response:	It's too great a decision for a single person to make.
context: Have you had a change of heart yet?\We don't have time for this! You know, don't you?!\Will you talk, or won't you?! Make up your mind already!\I cannot say anything.\The other believers are the same as I, and that will never change.\Well thanks for nothing!\We're so grateful for all the help you've been!\It's too great a decision for a single person to make. response:	-The Order of the Walls must always adhere to the sacred will we're bound to obey.
context: We don't have time for this! You know, don't you?!\Will you talk, or won't you?! Make up your mind already!\I cannot say anything.\The other believers are the same as I, and that will never change.\Well thanks for nothing!\We're so grateful for all the help you've been!\It's too great a decision for a single person to make.\-The Order of the Walls must always adhere to the sacred will we're bound to obey. response:	-This way.
context: Will you talk, or won't you?! Make up your mind already!\I cannot say anything.\The other believers are the same as I, and that will never change.\Well thanks for nothing!\We're so grateful for all the help you've been!\It's too great a decision for a single person to make.\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\-This way. response:	-The Order of the Walls must always adhere to the sacred will we're bound to obey.
context: I cannot say anything.\The other believers are the same as I, and that will never change.\Well thanks for nothing!\We're so grateful for all the help you've been!\It's too great a decision for a single person to make.\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\-This way.\-The Order of the Walls must always adhere to the sacred will we're bound to obey. response:	-Sir! Thank you!
context: The other believers are the same as I, and that will never change.\Well thanks for nothing!\We're so grateful for all the help you've been!\It's too great a decision for a single person to make.\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\-This way.\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\-Sir! Thank you! response:	-The Order of the Walls must always adhere to the sacred will we're bound to obey.
context: Well thanks for nothing!\We're so grateful for all the help you've been!\It's too great a decision for a single person to make.\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\-This way.\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\-Sir! Thank you!\-The Order of the Walls must always adhere to the sacred will we're bound to obey. response:	Whose will?
context: We're so grateful for all the help you've been!\It's too great a decision for a single person to make.\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\-This way.\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\-Sir! Thank you!\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\Whose will? response:	God or something?
context: It's too great a decision for a single person to make.\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\-This way.\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\-Sir! Thank you!\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\Whose will?\God or something? response:	I cannot say anything.
context: -The Order of the Walls must always adhere to the sacred will we're bound to obey.\-This way.\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\-Sir! Thank you!\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\Whose will?\God or something?\I cannot say anything. response:	However,
context: -This way.\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\-Sir! Thank you!\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\Whose will?\God or something?\I cannot say anything.\However, response:	I can inform you of a name, who under their sacred will, we were instructed to monitor.
context: -The Order of the Walls must always adhere to the sacred will we're bound to obey.\-Sir! Thank you!\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\Whose will?\God or something?\I cannot say anything.\However,\I can inform you of a name, who under their sacred will, we were instructed to monitor. response:	Monitor?
context: -Sir! Thank you!\-The Order of the Walls must always adhere to the sacred will we're bound to obey.\Whose will?\God or something?\I cannot say anything.\However,\I can inform you of a name, who under their sacred will, we were instructed to monitor.\Monitor? response:	That person joined the Scout Regiment as of this year.
context: -The Order of the Walls must always adhere to the sacred will we're bound to obey.\Whose will?\God or something?\I cannot say anything.\However,\I can inform you of a name, who under their sacred will, we were instructed to monitor.\Monitor?\That person joined the Scout Regiment as of this year. response:	Their name is...
context: Whose will?\God or something?\I cannot say anything.\However,\I can inform you of a name, who under their sacred will, we were instructed to monitor.\Monitor?\That person joined the Scout Regiment as of this year.\Their name is... response:	Excuse me!
context: God or something?\I cannot say anything.\However,\I can inform you of a name, who under their sacred will, we were instructed to monitor.\Monitor?\That person joined the Scout Regiment as of this year.\Their name is...\Excuse me! response:	104th Cadet Corps!
context: I cannot say anything.\However,\I can inform you of a name, who under their sacred will, we were instructed to monitor.\Monitor?\That person joined the Scout Regiment as of this year.\Their name is...\Excuse me!\104th Cadet Corps! response:	Sasha Braus!
context: However,\I can inform you of a name, who under their sacred will, we were instructed to monitor.\Monitor?\That person joined the Scout Regiment as of this year.\Their name is...\Excuse me!\104th Cadet Corps!\Sasha Braus! response:	Her?
context: I can inform you of a name, who under their sacred will, we were instructed to monitor.\Monitor?\That person joined the Scout Regiment as of this year.\Their name is...\Excuse me!\104th Cadet Corps!\Sasha Braus!\Her? response:	Who's that?
