context: Once upon a time, there was a man who fell in love with a doll. response:	Perhaps the man's love made itself felt, for one day, the doll came to life and began to dance.
context: He's been holed up in there forever!\The library?\Oh, he really is here!\Hey, Fakir! Just now Mytho and Pike ran into each other,\and it was kinda weird, and it was like it wasn't the normal Mytho,\and what happened yesterday was weird too,\and I wondered if maybe Meowzinsky's shoes were Mytho's fault too,\but that might be my imagination, but... response:	But, but it really was weird, so Mytho is, Mytho was, Mytho's, Mytho...
context: The library?\Oh, he really is here!\Hey, Fakir! Just now Mytho and Pike ran into each other,\and it was kinda weird, and it was like it wasn't the normal Mytho,\and what happened yesterday was weird too,\and I wondered if maybe Meowzinsky's shoes were Mytho's fault too,\but that might be my imagination, but...\But, but it really was weird, so Mytho is, Mytho was, Mytho's, Mytho... response:	Can you please be a little quieter?
context: Oh, he really is here!\Hey, Fakir! Just now Mytho and Pike ran into each other,\and it was kinda weird, and it was like it wasn't the normal Mytho,\and what happened yesterday was weird too,\and I wondered if maybe Meowzinsky's shoes were Mytho's fault too,\but that might be my imagination, but...\But, but it really was weird, so Mytho is, Mytho was, Mytho's, Mytho...\Can you please be a little quieter? response:	Oh, I'm sorry.
context: Hey, Fakir! Just now Mytho and Pike ran into each other,\and it was kinda weird, and it was like it wasn't the normal Mytho,\and what happened yesterday was weird too,\and I wondered if maybe Meowzinsky's shoes were Mytho's fault too,\but that might be my imagination, but...\But, but it really was weird, so Mytho is, Mytho was, Mytho's, Mytho...\Can you please be a little quieter?\Oh, I'm sorry. response:	Calm down.
context: and it was kinda weird, and it was like it wasn't the normal Mytho,\and what happened yesterday was weird too,\and I wondered if maybe Meowzinsky's shoes were Mytho's fault too,\but that might be my imagination, but...\But, but it really was weird, so Mytho is, Mytho was, Mytho's, Mytho...\Can you please be a little quieter?\Oh, I'm sorry.\Calm down. response:	Did something happen to Mytho?
context: and what happened yesterday was weird too,\and I wondered if maybe Meowzinsky's shoes were Mytho's fault too,\but that might be my imagination, but...\But, but it really was weird, so Mytho is, Mytho was, Mytho's, Mytho...\Can you please be a little quieter?\Oh, I'm sorry.\Calm down.\Did something happen to Mytho? response:	That's what I want to know.
context: and I wondered if maybe Meowzinsky's shoes were Mytho's fault too,\but that might be my imagination, but...\But, but it really was weird, so Mytho is, Mytho was, Mytho's, Mytho...\Can you please be a little quieter?\Oh, I'm sorry.\Calm down.\Did something happen to Mytho?\That's what I want to know. response:	And what happened yesterday...
context: but that might be my imagination, but...\But, but it really was weird, so Mytho is, Mytho was, Mytho's, Mytho...\Can you please be a little quieter?\Oh, I'm sorry.\Calm down.\Did something happen to Mytho?\That's what I want to know.\And what happened yesterday... response:	Mytho jumped out the window himself, didn't he?
context: But, but it really was weird, so Mytho is, Mytho was, Mytho's, Mytho...\Can you please be a little quieter?\Oh, I'm sorry.\Calm down.\Did something happen to Mytho?\That's what I want to know.\And what happened yesterday...\Mytho jumped out the window himself, didn't he? response:	But in front of Cat-sensei, he made it sound like he was covering for you,
context: Can you please be a little quieter?\Oh, I'm sorry.\Calm down.\Did something happen to Mytho?\That's what I want to know.\And what happened yesterday...\Mytho jumped out the window himself, didn't he?\But in front of Cat-sensei, he made it sound like he was covering for you, response:	and that made it look like you were the bad guy.
context: Oh, I'm sorry.\Calm down.\Did something happen to Mytho?\That's what I want to know.\And what happened yesterday...\Mytho jumped out the window himself, didn't he?\But in front of Cat-sensei, he made it sound like he was covering for you,\and that made it look like you were the bad guy. response:	Oh, and just now, I was following Mytho and he vanished all of a sudden.
context: Calm down.\Did something happen to Mytho?\That's what I want to know.\And what happened yesterday...\Mytho jumped out the window himself, didn't he?\But in front of Cat-sensei, he made it sound like he was covering for you,\and that made it look like you were the bad guy.\Oh, and just now, I was following Mytho and he vanished all of a sudden. response:	And after that...
context: Did something happen to Mytho?\That's what I want to know.\And what happened yesterday...\Mytho jumped out the window himself, didn't he?\But in front of Cat-sensei, he made it sound like he was covering for you,\and that made it look like you were the bad guy.\Oh, and just now, I was following Mytho and he vanished all of a sudden.\And after that... response:	There was a crow's feather...
context: That's what I want to know.\And what happened yesterday...\Mytho jumped out the window himself, didn't he?\But in front of Cat-sensei, he made it sound like he was covering for you,\and that made it look like you were the bad guy.\Oh, and just now, I was following Mytho and he vanished all of a sudden.\And after that...\There was a crow's feather... response:	What?
context: And what happened yesterday...\Mytho jumped out the window himself, didn't he?\But in front of Cat-sensei, he made it sound like he was covering for you,\and that made it look like you were the bad guy.\Oh, and just now, I was following Mytho and he vanished all of a sudden.\And after that...\There was a crow's feather...\What? response:	Oof!
context: Mytho jumped out the window himself, didn't he?\But in front of Cat-sensei, he made it sound like he was covering for you,\and that made it look like you were the bad guy.\Oh, and just now, I was following Mytho and he vanished all of a sudden.\And after that...\There was a crow's feather...\What?\Oof! response:	Why'd you stop so suddenly?
context: But in front of Cat-sensei, he made it sound like he was covering for you,\and that made it look like you were the bad guy.\Oh, and just now, I was following Mytho and he vanished all of a sudden.\And after that...\There was a crow's feather...\What?\Oof!\Why'd you stop so suddenly? response:	Rue-chan!
context: and that made it look like you were the bad guy.\Oh, and just now, I was following Mytho and he vanished all of a sudden.\And after that...\There was a crow's feather...\What?\Oof!\Why'd you stop so suddenly?\Rue-chan! response:	Fakir?
context: Oh, and just now, I was following Mytho and he vanished all of a sudden.\And after that...\There was a crow's feather...\What?\Oof!\Why'd you stop so suddenly?\Rue-chan!\Fakir? response:	Fakir!
context: And after that...\There was a crow's feather...\What?\Oof!\Why'd you stop so suddenly?\Rue-chan!\Fakir?\Fakir! response:	Was it you? What did you do to Mytho?!
context: There was a crow's feather...\What?\Oof!\Why'd you stop so suddenly?\Rue-chan!\Fakir?\Fakir!\Was it you? What did you do to Mytho?! response:	What are you talking about?
context: What?\Oof!\Why'd you stop so suddenly?\Rue-chan!\Fakir?\Fakir!\Was it you? What did you do to Mytho?!\What are you talking about? response:	Stop it!
context: Oof!\Why'd you stop so suddenly?\Rue-chan!\Fakir?\Fakir!\Was it you? What did you do to Mytho?!\What are you talking about?\Stop it! response:	Don't play dumb with me!
context: Why'd you stop so suddenly?\Rue-chan!\Fakir?\Fakir!\Was it you? What did you do to Mytho?!\What are you talking about?\Stop it!\Don't play dumb with me! response:	Let go of me! That hurts.
context: Rue-chan!\Fakir?\Fakir!\Was it you? What did you do to Mytho?!\What are you talking about?\Stop it!\Don't play dumb with me!\Let go of me! That hurts. response:	Come on, Fakir!
context: Fakir?\Fakir!\Was it you? What did you do to Mytho?!\What are you talking about?\Stop it!\Don't play dumb with me!\Let go of me! That hurts.\Come on, Fakir! response:	Show your true colors, Kraehe.
context: Fakir!\Was it you? What did you do to Mytho?!\What are you talking about?\Stop it!\Don't play dumb with me!\Let go of me! That hurts.\Come on, Fakir!\Show your true colors, Kraehe. response:	Stop it.
context: Was it you? What did you do to Mytho?!\What are you talking about?\Stop it!\Don't play dumb with me!\Let go of me! That hurts.\Come on, Fakir!\Show your true colors, Kraehe.\Stop it. response:	Let go!
context: What are you talking about?\Stop it!\Don't play dumb with me!\Let go of me! That hurts.\Come on, Fakir!\Show your true colors, Kraehe.\Stop it.\Let go! response:	Don't worry about me. I'm fine.
context: Stop it!\Don't play dumb with me!\Let go of me! That hurts.\Come on, Fakir!\Show your true colors, Kraehe.\Stop it.\Let go!\Don't worry about me. I'm fine. response:	That's so like Mytho-sama!
context: Don't play dumb with me!\Let go of me! That hurts.\Come on, Fakir!\Show your true colors, Kraehe.\Stop it.\Let go!\Don't worry about me. I'm fine.\That's so like Mytho-sama! response:	He's so mature!
context: Let go of me! That hurts.\Come on, Fakir!\Show your true colors, Kraehe.\Stop it.\Let go!\Don't worry about me. I'm fine.\That's so like Mytho-sama!\He's so mature! response:	In contrast, Fakir is just so...
context: Come on, Fakir!\Show your true colors, Kraehe.\Stop it.\Let go!\Don't worry about me. I'm fine.\That's so like Mytho-sama!\He's so mature!\In contrast, Fakir is just so... response:	Oh, dear, Ahiru's prince is changing!
context: Show your true colors, Kraehe.\Stop it.\Let go!\Don't worry about me. I'm fine.\That's so like Mytho-sama!\He's so mature!\In contrast, Fakir is just so...\Oh, dear, Ahiru's prince is changing! response:	She'd better do something fast, before the beautiful sparkle in the eyes under that evil mask disappears!
context: Stop it.\Let go!\Don't worry about me. I'm fine.\That's so like Mytho-sama!\He's so mature!\In contrast, Fakir is just so...\Oh, dear, Ahiru's prince is changing!\She'd better do something fast, before the beautiful sparkle in the eyes under that evil mask disappears! response:	Are you in pain, Father?
context: Let go!\Don't worry about me. I'm fine.\That's so like Mytho-sama!\He's so mature!\In contrast, Fakir is just so...\Oh, dear, Ahiru's prince is changing!\She'd better do something fast, before the beautiful sparkle in the eyes under that evil mask disappears!\Are you in pain, Father? response:	I want to get out of this place as soon as I can.
context: Don't worry about me. I'm fine.\That's so like Mytho-sama!\He's so mature!\In contrast, Fakir is just so...\Oh, dear, Ahiru's prince is changing!\She'd better do something fast, before the beautiful sparkle in the eyes under that evil mask disappears!\Are you in pain, Father?\I want to get out of this place as soon as I can. response:	Then, I could wrap these wings around my beloved daughter and clasp her in a tight embrace...
context: That's so like Mytho-sama!\He's so mature!\In contrast, Fakir is just so...\Oh, dear, Ahiru's prince is changing!\She'd better do something fast, before the beautiful sparkle in the eyes under that evil mask disappears!\Are you in pain, Father?\I want to get out of this place as soon as I can.\Then, I could wrap these wings around my beloved daughter and clasp her in a tight embrace... response:	You'll only have to endure for a little longer, Father.
context: He's so mature!\In contrast, Fakir is just so...\Oh, dear, Ahiru's prince is changing!\She'd better do something fast, before the beautiful sparkle in the eyes under that evil mask disappears!\Are you in pain, Father?\I want to get out of this place as soon as I can.\Then, I could wrap these wings around my beloved daughter and clasp her in a tight embrace...\You'll only have to endure for a little longer, Father. response:	It looks like the prince has found us our prey.
context: In contrast, Fakir is just so...\Oh, dear, Ahiru's prince is changing!\She'd better do something fast, before the beautiful sparkle in the eyes under that evil mask disappears!\Are you in pain, Father?\I want to get out of this place as soon as I can.\Then, I could wrap these wings around my beloved daughter and clasp her in a tight embrace...\You'll only have to endure for a little longer, Father.\It looks like the prince has found us our prey. response:	The prince has? Well, well.
context: Oh, dear, Ahiru's prince is changing!\She'd better do something fast, before the beautiful sparkle in the eyes under that evil mask disappears!\Are you in pain, Father?\I want to get out of this place as soon as I can.\Then, I could wrap these wings around my beloved daughter and clasp her in a tight embrace...\You'll only have to endure for a little longer, Father.\It looks like the prince has found us our prey.\The prince has? Well, well. response:	I'm so glad I did what you told me to, Father.
context: She'd better do something fast, before the beautiful sparkle in the eyes under that evil mask disappears!\Are you in pain, Father?\I want to get out of this place as soon as I can.\Then, I could wrap these wings around my beloved daughter and clasp her in a tight embrace...\You'll only have to endure for a little longer, Father.\It looks like the prince has found us our prey.\The prince has? Well, well.\I'm so glad I did what you told me to, Father. response:	Yes... If I hadn't soaked the heart shard of love
context: Are you in pain, Father?\I want to get out of this place as soon as I can.\Then, I could wrap these wings around my beloved daughter and clasp her in a tight embrace...\You'll only have to endure for a little longer, Father.\It looks like the prince has found us our prey.\The prince has? Well, well.\I'm so glad I did what you told me to, Father.\Yes... If I hadn't soaked the heart shard of love response:	in Father's blood that day like he told me to,
context: I want to get out of this place as soon as I can.\Then, I could wrap these wings around my beloved daughter and clasp her in a tight embrace...\You'll only have to endure for a little longer, Father.\It looks like the prince has found us our prey.\The prince has? Well, well.\I'm so glad I did what you told me to, Father.\Yes... If I hadn't soaked the heart shard of love\in Father's blood that day like he told me to, response:	my prince wouldn't have come back to me.
context: Then, I could wrap these wings around my beloved daughter and clasp her in a tight embrace...\You'll only have to endure for a little longer, Father.\It looks like the prince has found us our prey.\The prince has? Well, well.\I'm so glad I did what you told me to, Father.\Yes... If I hadn't soaked the heart shard of love\in Father's blood that day like he told me to,\my prince wouldn't have come back to me. response:	I have to be grateful to Princess Tutu for giving the heart shard back to him.
context: You'll only have to endure for a little longer, Father.\It looks like the prince has found us our prey.\The prince has? Well, well.\I'm so glad I did what you told me to, Father.\Yes... If I hadn't soaked the heart shard of love\in Father's blood that day like he told me to,\my prince wouldn't have come back to me.\I have to be grateful to Princess Tutu for giving the heart shard back to him. response:	You know what you have to do about Princess Tutu, don't you?
context: It looks like the prince has found us our prey.\The prince has? Well, well.\I'm so glad I did what you told me to, Father.\Yes... If I hadn't soaked the heart shard of love\in Father's blood that day like he told me to,\my prince wouldn't have come back to me.\I have to be grateful to Princess Tutu for giving the heart shard back to him.\You know what you have to do about Princess Tutu, don't you? response:	In order to break the seal on me, we have to find the rest of the prince's heart shards.
context: The prince has? Well, well.\I'm so glad I did what you told me to, Father.\Yes... If I hadn't soaked the heart shard of love\in Father's blood that day like he told me to,\my prince wouldn't have come back to me.\I have to be grateful to Princess Tutu for giving the heart shard back to him.\You know what you have to do about Princess Tutu, don't you?\In order to break the seal on me, we have to find the rest of the prince's heart shards. response:	We need Princess Tutu's power to do that.
context: I'm so glad I did what you told me to, Father.\Yes... If I hadn't soaked the heart shard of love\in Father's blood that day like he told me to,\my prince wouldn't have come back to me.\I have to be grateful to Princess Tutu for giving the heart shard back to him.\You know what you have to do about Princess Tutu, don't you?\In order to break the seal on me, we have to find the rest of the prince's heart shards.\We need Princess Tutu's power to do that. response:	If you ever try to get rid of her again, I'll show you no mercy, daughter or not.
context: Yes... If I hadn't soaked the heart shard of love\in Father's blood that day like he told me to,\my prince wouldn't have come back to me.\I have to be grateful to Princess Tutu for giving the heart shard back to him.\You know what you have to do about Princess Tutu, don't you?\In order to break the seal on me, we have to find the rest of the prince's heart shards.\We need Princess Tutu's power to do that.\If you ever try to get rid of her again, I'll show you no mercy, daughter or not. response:	I'm sorry! I won't do it again!
context: in Father's blood that day like he told me to,\my prince wouldn't have come back to me.\I have to be grateful to Princess Tutu for giving the heart shard back to him.\You know what you have to do about Princess Tutu, don't you?\In order to break the seal on me, we have to find the rest of the prince's heart shards.\We need Princess Tutu's power to do that.\If you ever try to get rid of her again, I'll show you no mercy, daughter or not.\I'm sorry! I won't do it again! response:	Good.
context: my prince wouldn't have come back to me.\I have to be grateful to Princess Tutu for giving the heart shard back to him.\You know what you have to do about Princess Tutu, don't you?\In order to break the seal on me, we have to find the rest of the prince's heart shards.\We need Princess Tutu's power to do that.\If you ever try to get rid of her again, I'll show you no mercy, daughter or not.\I'm sorry! I won't do it again!\Good. response:	Rue-chan!
context: I have to be grateful to Princess Tutu for giving the heart shard back to him.\You know what you have to do about Princess Tutu, don't you?\In order to break the seal on me, we have to find the rest of the prince's heart shards.\We need Princess Tutu's power to do that.\If you ever try to get rid of her again, I'll show you no mercy, daughter or not.\I'm sorry! I won't do it again!\Good.\Rue-chan! response:	Despite being a crow, you have been born into an ugly human body.
context: You know what you have to do about Princess Tutu, don't you?\In order to break the seal on me, we have to find the rest of the prince's heart shards.\We need Princess Tutu's power to do that.\If you ever try to get rid of her again, I'll show you no mercy, daughter or not.\I'm sorry! I won't do it again!\Good.\Rue-chan!\Despite being a crow, you have been born into an ugly human body. response:	And only I and the prince in the story can truly love a pitiful person like you.
context: In order to break the seal on me, we have to find the rest of the prince's heart shards.\We need Princess Tutu's power to do that.\If you ever try to get rid of her again, I'll show you no mercy, daughter or not.\I'm sorry! I won't do it again!\Good.\Rue-chan!\Despite being a crow, you have been born into an ugly human body.\And only I and the prince in the story can truly love a pitiful person like you. response:	I'd like to see your wedding day as soon as possible.
context: We need Princess Tutu's power to do that.\If you ever try to get rid of her again, I'll show you no mercy, daughter or not.\I'm sorry! I won't do it again!\Good.\Rue-chan!\Despite being a crow, you have been born into an ugly human body.\And only I and the prince in the story can truly love a pitiful person like you.\I'd like to see your wedding day as soon as possible. response:	Thank you, Father.
context: If you ever try to get rid of her again, I'll show you no mercy, daughter or not.\I'm sorry! I won't do it again!\Good.\Rue-chan!\Despite being a crow, you have been born into an ugly human body.\And only I and the prince in the story can truly love a pitiful person like you.\I'd like to see your wedding day as soon as possible.\Thank you, Father. response:	I feel like that day was so long ago.
context: I'm sorry! I won't do it again!\Good.\Rue-chan!\Despite being a crow, you have been born into an ugly human body.\And only I and the prince in the story can truly love a pitiful person like you.\I'd like to see your wedding day as soon as possible.\Thank you, Father.\I feel like that day was so long ago. response:	Ahiru!
context: Good.\Rue-chan!\Despite being a crow, you have been born into an ugly human body.\And only I and the prince in the story can truly love a pitiful person like you.\I'd like to see your wedding day as soon as possible.\Thank you, Father.\I feel like that day was so long ago.\Ahiru! response:	I've got happy news!
context: Rue-chan!\Despite being a crow, you have been born into an ugly human body.\And only I and the prince in the story can truly love a pitiful person like you.\I'd like to see your wedding day as soon as possible.\Thank you, Father.\I feel like that day was so long ago.\Ahiru!\I've got happy news! response:	Oh? What?
context: Despite being a crow, you have been born into an ugly human body.\And only I and the prince in the story can truly love a pitiful person like you.\I'd like to see your wedding day as soon as possible.\Thank you, Father.\I feel like that day was so long ago.\Ahiru!\I've got happy news!\Oh? What? response:	They say that starting tomorrow, Fakir-sama is suspended from school for a week!
context: And only I and the prince in the story can truly love a pitiful person like you.\I'd like to see your wedding day as soon as possible.\Thank you, Father.\I feel like that day was so long ago.\Ahiru!\I've got happy news!\Oh? What?\They say that starting tomorrow, Fakir-sama is suspended from school for a week! response:	No way!
context: I'd like to see your wedding day as soon as possible.\Thank you, Father.\I feel like that day was so long ago.\Ahiru!\I've got happy news!\Oh? What?\They say that starting tomorrow, Fakir-sama is suspended from school for a week!\No way! response:	Of course, way!
context: Thank you, Father.\I feel like that day was so long ago.\Ahiru!\I've got happy news!\Oh? What?\They say that starting tomorrow, Fakir-sama is suspended from school for a week!\No way!\Of course, way! response:	I hope he keeps this up and becomes a full-fledged juvenile delinquent!
context: I feel like that day was so long ago.\Ahiru!\I've got happy news!\Oh? What?\They say that starting tomorrow, Fakir-sama is suspended from school for a week!\No way!\Of course, way!\I hope he keeps this up and becomes a full-fledged juvenile delinquent! response:	Fakir was...
context: Ahiru!\I've got happy news!\Oh? What?\They say that starting tomorrow, Fakir-sama is suspended from school for a week!\No way!\Of course, way!\I hope he keeps this up and becomes a full-fledged juvenile delinquent!\Fakir was... response:	More importantly...
context: I've got happy news!\Oh? What?\They say that starting tomorrow, Fakir-sama is suspended from school for a week!\No way!\Of course, way!\I hope he keeps this up and becomes a full-fledged juvenile delinquent!\Fakir was...\More importantly... response:	Earlier, I just happened to be following Pike,
context: Oh? What?\They say that starting tomorrow, Fakir-sama is suspended from school for a week!\No way!\Of course, way!\I hope he keeps this up and becomes a full-fledged juvenile delinquent!\Fakir was...\More importantly...\Earlier, I just happened to be following Pike, response:	and I just happened to see her meet up with Mytho-sama,
context: They say that starting tomorrow, Fakir-sama is suspended from school for a week!\No way!\Of course, way!\I hope he keeps this up and becomes a full-fledged juvenile delinquent!\Fakir was...\More importantly...\Earlier, I just happened to be following Pike,\and I just happened to see her meet up with Mytho-sama, response:	and then when I just happened to keep following them,
context: No way!\Of course, way!\I hope he keeps this up and becomes a full-fledged juvenile delinquent!\Fakir was...\More importantly...\Earlier, I just happened to be following Pike,\and I just happened to see her meet up with Mytho-sama,\and then when I just happened to keep following them, response:	they went off to a place where there was absolutely nobody around.
context: Of course, way!\I hope he keeps this up and becomes a full-fledged juvenile delinquent!\Fakir was...\More importantly...\Earlier, I just happened to be following Pike,\and I just happened to see her meet up with Mytho-sama,\and then when I just happened to keep following them,\they went off to a place where there was absolutely nobody around. response:	Pike was with Mytho?
context: I hope he keeps this up and becomes a full-fledged juvenile delinquent!\Fakir was...\More importantly...\Earlier, I just happened to be following Pike,\and I just happened to see her meet up with Mytho-sama,\and then when I just happened to keep following them,\they went off to a place where there was absolutely nobody around.\Pike was with Mytho? response:	Well? Want to just happen to go see?
context: Fakir was...\More importantly...\Earlier, I just happened to be following Pike,\and I just happened to see her meet up with Mytho-sama,\and then when I just happened to keep following them,\they went off to a place where there was absolutely nobody around.\Pike was with Mytho?\Well? Want to just happen to go see? response:	Yeah.
context: More importantly...\Earlier, I just happened to be following Pike,\and I just happened to see her meet up with Mytho-sama,\and then when I just happened to keep following them,\they went off to a place where there was absolutely nobody around.\Pike was with Mytho?\Well? Want to just happen to go see?\Yeah. response:	That's the spirit!
context: Earlier, I just happened to be following Pike,\and I just happened to see her meet up with Mytho-sama,\and then when I just happened to keep following them,\they went off to a place where there was absolutely nobody around.\Pike was with Mytho?\Well? Want to just happen to go see?\Yeah.\That's the spirit! response:	See?
context: and I just happened to see her meet up with Mytho-sama,\and then when I just happened to keep following them,\they went off to a place where there was absolutely nobody around.\Pike was with Mytho?\Well? Want to just happen to go see?\Yeah.\That's the spirit!\See? response:	Pike...
context: and then when I just happened to keep following them,\they went off to a place where there was absolutely nobody around.\Pike was with Mytho?\Well? Want to just happen to go see?\Yeah.\That's the spirit!\See?\Pike... response:	Hey, hold on!
context: they went off to a place where there was absolutely nobody around.\Pike was with Mytho?\Well? Want to just happen to go see?\Yeah.\That's the spirit!\See?\Pike...\Hey, hold on! response:	Ahiru? What's with you?
context: Pike was with Mytho?\Well? Want to just happen to go see?\Yeah.\That's the spirit!\See?\Pike...\Hey, hold on!\Ahiru? What's with you? response:	Oh, um, uh...
context: Well? Want to just happen to go see?\Yeah.\That's the spirit!\See?\Pike...\Hey, hold on!\Ahiru? What's with you?\Oh, um, uh... response:	What, do you have a problem with this?
context: Yeah.\That's the spirit!\See?\Pike...\Hey, hold on!\Ahiru? What's with you?\Oh, um, uh...\What, do you have a problem with this? response:	It's none of your business if Mytho-sama and I are dating.
context: That's the spirit!\See?\Pike...\Hey, hold on!\Ahiru? What's with you?\Oh, um, uh...\What, do you have a problem with this?\It's none of your business if Mytho-sama and I are dating. response:	What? Mytho, you like Pike?
context: See?\Pike...\Hey, hold on!\Ahiru? What's with you?\Oh, um, uh...\What, do you have a problem with this?\It's none of your business if Mytho-sama and I are dating.\What? Mytho, you like Pike? response:	Those eyes again...
context: Pike...\Hey, hold on!\Ahiru? What's with you?\Oh, um, uh...\What, do you have a problem with this?\It's none of your business if Mytho-sama and I are dating.\What? Mytho, you like Pike?\Those eyes again... response:	Mytho, what's happened? There's something weird about this.
context: Hey, hold on!\Ahiru? What's with you?\Oh, um, uh...\What, do you have a problem with this?\It's none of your business if Mytho-sama and I are dating.\What? Mytho, you like Pike?\Those eyes again...\Mytho, what's happened? There's something weird about this. response:	What's so weird about going out with me?!
context: Ahiru? What's with you?\Oh, um, uh...\What, do you have a problem with this?\It's none of your business if Mytho-sama and I are dating.\What? Mytho, you like Pike?\Those eyes again...\Mytho, what's happened? There's something weird about this.\What's so weird about going out with me?! response:	No, that's not what I meant! I meant what happened yesterday and stuff...
context: Oh, um, uh...\What, do you have a problem with this?\It's none of your business if Mytho-sama and I are dating.\What? Mytho, you like Pike?\Those eyes again...\Mytho, what's happened? There's something weird about this.\What's so weird about going out with me?!\No, that's not what I meant! I meant what happened yesterday and stuff... response:	Mytho jumped out of the window himself, but...
context: What, do you have a problem with this?\It's none of your business if Mytho-sama and I are dating.\What? Mytho, you like Pike?\Those eyes again...\Mytho, what's happened? There's something weird about this.\What's so weird about going out with me?!\No, that's not what I meant! I meant what happened yesterday and stuff...\Mytho jumped out of the window himself, but... response:	You're still saying that?!
context: It's none of your business if Mytho-sama and I are dating.\What? Mytho, you like Pike?\Those eyes again...\Mytho, what's happened? There's something weird about this.\What's so weird about going out with me?!\No, that's not what I meant! I meant what happened yesterday and stuff...\Mytho jumped out of the window himself, but...\You're still saying that?! response:	And the thing with Cat-sensei's shoes might have been Mytho's...
context: What? Mytho, you like Pike?\Those eyes again...\Mytho, what's happened? There's something weird about this.\What's so weird about going out with me?!\No, that's not what I meant! I meant what happened yesterday and stuff...\Mytho jumped out of the window himself, but...\You're still saying that?!\And the thing with Cat-sensei's shoes might have been Mytho's... response:	Cut it out already!
context: Those eyes again...\Mytho, what's happened? There's something weird about this.\What's so weird about going out with me?!\No, that's not what I meant! I meant what happened yesterday and stuff...\Mytho jumped out of the window himself, but...\You're still saying that?!\And the thing with Cat-sensei's shoes might have been Mytho's...\Cut it out already! response:	Mytho?
context: Mytho, what's happened? There's something weird about this.\What's so weird about going out with me?!\No, that's not what I meant! I meant what happened yesterday and stuff...\Mytho jumped out of the window himself, but...\You're still saying that?!\And the thing with Cat-sensei's shoes might have been Mytho's...\Cut it out already!\Mytho? response:	Who are you?
context: What's so weird about going out with me?!\No, that's not what I meant! I meant what happened yesterday and stuff...\Mytho jumped out of the window himself, but...\You're still saying that?!\And the thing with Cat-sensei's shoes might have been Mytho's...\Cut it out already!\Mytho?\Who are you? response:	What are you trying to make me do?
context: No, that's not what I meant! I meant what happened yesterday and stuff...\Mytho jumped out of the window himself, but...\You're still saying that?!\And the thing with Cat-sensei's shoes might have been Mytho's...\Cut it out already!\Mytho?\Who are you?\What are you trying to make me do? response:	Mytho-sama!
context: Mytho jumped out of the window himself, but...\You're still saying that?!\And the thing with Cat-sensei's shoes might have been Mytho's...\Cut it out already!\Mytho?\Who are you?\What are you trying to make me do?\Mytho-sama! response:	Stay away!
context: You're still saying that?!\And the thing with Cat-sensei's shoes might have been Mytho's...\Cut it out already!\Mytho?\Who are you?\What are you trying to make me do?\Mytho-sama!\Stay away! response:	Mytho-sama...
context: And the thing with Cat-sensei's shoes might have been Mytho's...\Cut it out already!\Mytho?\Who are you?\What are you trying to make me do?\Mytho-sama!\Stay away!\Mytho-sama... response:	Aw, and it was getting good too!
context: Cut it out already!\Mytho?\Who are you?\What are you trying to make me do?\Mytho-sama!\Stay away!\Mytho-sama...\Aw, and it was getting good too! response:	Hey, Pike, come on out.
context: Mytho?\Who are you?\What are you trying to make me do?\Mytho-sama!\Stay away!\Mytho-sama...\Aw, and it was getting good too!\Hey, Pike, come on out. response:	Yeah! Step outside right now!
context: Who are you?\What are you trying to make me do?\Mytho-sama!\Stay away!\Mytho-sama...\Aw, and it was getting good too!\Hey, Pike, come on out.\Yeah! Step outside right now! response:	Let's discuss it properly, okay?
context: What are you trying to make me do?\Mytho-sama!\Stay away!\Mytho-sama...\Aw, and it was getting good too!\Hey, Pike, come on out.\Yeah! Step outside right now!\Let's discuss it properly, okay? response:	Come straighten things out!
context: Mytho-sama!\Stay away!\Mytho-sama...\Aw, and it was getting good too!\Hey, Pike, come on out.\Yeah! Step outside right now!\Let's discuss it properly, okay?\Come straighten things out! response:	Sorry, but be quiet for a second.
context: Stay away!\Mytho-sama...\Aw, and it was getting good too!\Hey, Pike, come on out.\Yeah! Step outside right now!\Let's discuss it properly, okay?\Come straighten things out!\Sorry, but be quiet for a second. response:	Huh? But you have to take a harsher tone with your enemies.
context: Mytho-sama...\Aw, and it was getting good too!\Hey, Pike, come on out.\Yeah! Step outside right now!\Let's discuss it properly, okay?\Come straighten things out!\Sorry, but be quiet for a second.\Huh? But you have to take a harsher tone with your enemies. response:	I don't think of Pike as an enemy.
context: Aw, and it was getting good too!\Hey, Pike, come on out.\Yeah! Step outside right now!\Let's discuss it properly, okay?\Come straighten things out!\Sorry, but be quiet for a second.\Huh? But you have to take a harsher tone with your enemies.\I don't think of Pike as an enemy. response:	Really, Ahiru? Is that really okay?
context: Hey, Pike, come on out.\Yeah! Step outside right now!\Let's discuss it properly, okay?\Come straighten things out!\Sorry, but be quiet for a second.\Huh? But you have to take a harsher tone with your enemies.\I don't think of Pike as an enemy.\Really, Ahiru? Is that really okay? response:	Yeah, that's really how I feel.
context: Yeah! Step outside right now!\Let's discuss it properly, okay?\Come straighten things out!\Sorry, but be quiet for a second.\Huh? But you have to take a harsher tone with your enemies.\I don't think of Pike as an enemy.\Really, Ahiru? Is that really okay?\Yeah, that's really how I feel. response:	Hey, did you hear that?!
