context: Jump! response:	We're here!
context: Dammit! I made another mistake!\Why can't I play like he does?\Just what kind of practice does he do?\Has he been rebuilt on the inside?\Takayanagi-Sensei just makes me play the same song over and over again.\Let's see what his secret is!\Huh? That's strange...\It should be around here somewhere... response:	Umm, excuse me!
context: Why can't I play like he does?\Just what kind of practice does he do?\Has he been rebuilt on the inside?\Takayanagi-Sensei just makes me play the same song over and over again.\Let's see what his secret is!\Huh? That's strange...\It should be around here somewhere...\Umm, excuse me! response:	Do you know where Hibari Primary School is?
context: Just what kind of practice does he do?\Has he been rebuilt on the inside?\Takayanagi-Sensei just makes me play the same song over and over again.\Let's see what his secret is!\Huh? That's strange...\It should be around here somewhere...\Umm, excuse me!\Do you know where Hibari Primary School is? response:	Oh, sure.
context: Has he been rebuilt on the inside?\Takayanagi-Sensei just makes me play the same song over and over again.\Let's see what his secret is!\Huh? That's strange...\It should be around here somewhere...\Umm, excuse me!\Do you know where Hibari Primary School is?\Oh, sure. response:	Go straight that way, and then down the second alleyway on your left.
context: Takayanagi-Sensei just makes me play the same song over and over again.\Let's see what his secret is!\Huh? That's strange...\It should be around here somewhere...\Umm, excuse me!\Do you know where Hibari Primary School is?\Oh, sure.\Go straight that way, and then down the second alleyway on your left. response:	Thank you!
context: Let's see what his secret is!\Huh? That's strange...\It should be around here somewhere...\Umm, excuse me!\Do you know where Hibari Primary School is?\Oh, sure.\Go straight that way, and then down the second alleyway on your left.\Thank you! response:	There are a lot of alleyways around here,
context: Huh? That's strange...\It should be around here somewhere...\Umm, excuse me!\Do you know where Hibari Primary School is?\Oh, sure.\Go straight that way, and then down the second alleyway on your left.\Thank you!\There are a lot of alleyways around here, response:	so it's easy to get lost.
context: It should be around here somewhere...\Umm, excuse me!\Do you know where Hibari Primary School is?\Oh, sure.\Go straight that way, and then down the second alleyway on your left.\Thank you!\There are a lot of alleyways around here,\so it's easy to get lost. response:	Is this a cakery?
context: Umm, excuse me!\Do you know where Hibari Primary School is?\Oh, sure.\Go straight that way, and then down the second alleyway on your left.\Thank you!\There are a lot of alleyways around here,\so it's easy to get lost.\Is this a cakery? response:	Yeah. We're planning on opening next month.
context: Do you know where Hibari Primary School is?\Oh, sure.\Go straight that way, and then down the second alleyway on your left.\Thank you!\There are a lot of alleyways around here,\so it's easy to get lost.\Is this a cakery?\Yeah. We're planning on opening next month. response:	Ma-Ma...
context: Oh, sure.\Go straight that way, and then down the second alleyway on your left.\Thank you!\There are a lot of alleyways around here,\so it's easy to get lost.\Is this a cakery?\Yeah. We're planning on opening next month.\Ma-Ma... response:	Ma Fille.
context: Go straight that way, and then down the second alleyway on your left.\Thank you!\There are a lot of alleyways around here,\so it's easy to get lost.\Is this a cakery?\Yeah. We're planning on opening next month.\Ma-Ma...\Ma Fille. response:	It means my daughter in French.
context: Thank you!\There are a lot of alleyways around here,\so it's easy to get lost.\Is this a cakery?\Yeah. We're planning on opening next month.\Ma-Ma...\Ma Fille.\It means my daughter in French. response:	Well, thanks a bunch!
context: There are a lot of alleyways around here,\so it's easy to get lost.\Is this a cakery?\Yeah. We're planning on opening next month.\Ma-Ma...\Ma Fille.\It means my daughter in French.\Well, thanks a bunch! response:	Sure thing. Stop by once we're open!
context: so it's easy to get lost.\Is this a cakery?\Yeah. We're planning on opening next month.\Ma-Ma...\Ma Fille.\It means my daughter in French.\Well, thanks a bunch!\Sure thing. Stop by once we're open! response:	I will!
context: Is this a cakery?\Yeah. We're planning on opening next month.\Ma-Ma...\Ma Fille.\It means my daughter in French.\Well, thanks a bunch!\Sure thing. Stop by once we're open!\I will! response:	See ya!
context: Yeah. We're planning on opening next month.\Ma-Ma...\Ma Fille.\It means my daughter in French.\Well, thanks a bunch!\Sure thing. Stop by once we're open!\I will!\See ya! response:	Bye-bye!
context: Ma-Ma...\Ma Fille.\It means my daughter in French.\Well, thanks a bunch!\Sure thing. Stop by once we're open!\I will!\See ya!\Bye-bye! response:	My school doesn't have classes today because of an event
context: Ma Fille.\It means my daughter in French.\Well, thanks a bunch!\Sure thing. Stop by once we're open!\I will!\See ya!\Bye-bye!\My school doesn't have classes today because of an event response:	so I've gotta make the most of this chance!
context: It means my daughter in French.\Well, thanks a bunch!\Sure thing. Stop by once we're open!\I will!\See ya!\Bye-bye!\My school doesn't have classes today because of an event\so I've gotta make the most of this chance! response:	There's Arima!
context: Well, thanks a bunch!\Sure thing. Stop by once we're open!\I will!\See ya!\Bye-bye!\My school doesn't have classes today because of an event\so I've gotta make the most of this chance!\There's Arima! response:	Hey, turn around.
context: Sure thing. Stop by once we're open!\I will!\See ya!\Bye-bye!\My school doesn't have classes today because of an event\so I've gotta make the most of this chance!\There's Arima!\Hey, turn around. response:	Arima
context: I will!\See ya!\Bye-bye!\My school doesn't have classes today because of an event\so I've gotta make the most of this chance!\There's Arima!\Hey, turn around.\Arima response:	Hey, listen to me.
context: See ya!\Bye-bye!\My school doesn't have classes today because of an event\so I've gotta make the most of this chance!\There's Arima!\Hey, turn around.\Arima\Hey, listen to me. response:	You're not small, and you're not weak.
context: Bye-bye!\My school doesn't have classes today because of an event\so I've gotta make the most of this chance!\There's Arima!\Hey, turn around.\Arima\Hey, listen to me.\You're not small, and you're not weak. response:	In fact, I think you've grown a little.
context: My school doesn't have classes today because of an event\so I've gotta make the most of this chance!\There's Arima!\Hey, turn around.\Arima\Hey, listen to me.\You're not small, and you're not weak.\In fact, I think you've grown a little. response:	Sawabe
context: so I've gotta make the most of this chance!\There's Arima!\Hey, turn around.\Arima\Hey, listen to me.\You're not small, and you're not weak.\In fact, I think you've grown a little.\Sawabe response:	See? You can do it.
context: There's Arima!\Hey, turn around.\Arima\Hey, listen to me.\You're not small, and you're not weak.\In fact, I think you've grown a little.\Sawabe\See? You can do it. response:	See? Just like that.
context: Hey, turn around.\Arima\Hey, listen to me.\You're not small, and you're not weak.\In fact, I think you've grown a little.\Sawabe\See? You can do it.\See? Just like that. response:	Embrace that shining light of yours.
context: Arima\Hey, listen to me.\You're not small, and you're not weak.\In fact, I think you've grown a little.\Sawabe\See? You can do it.\See? Just like that.\Embrace that shining light of yours. response:	Alright! Let's hear you practice!
context: Hey, listen to me.\You're not small, and you're not weak.\In fact, I think you've grown a little.\Sawabe\See? You can do it.\See? Just like that.\Embrace that shining light of yours.\Alright! Let's hear you practice! response:	There are days when I can't seem to catch up to you.
context: You're not small, and you're not weak.\In fact, I think you've grown a little.\Sawabe\See? You can do it.\See? Just like that.\Embrace that shining light of yours.\Alright! Let's hear you practice!\There are days when I can't seem to catch up to you. response:	Wow. He's been going for a whole hour.
context: In fact, I think you've grown a little.\Sawabe\See? You can do it.\See? Just like that.\Embrace that shining light of yours.\Alright! Let's hear you practice!\There are days when I can't seem to catch up to you.\Wow. He's been going for a whole hour. response:	But I know that it's going to be alright.
context: Sawabe\See? You can do it.\See? Just like that.\Embrace that shining light of yours.\Alright! Let's hear you practice!\There are days when I can't seem to catch up to you.\Wow. He's been going for a whole hour.\But I know that it's going to be alright. response:	How is he able to keep playing for so long without making any mistakes?
context: See? You can do it.\See? Just like that.\Embrace that shining light of yours.\Alright! Let's hear you practice!\There are days when I can't seem to catch up to you.\Wow. He's been going for a whole hour.\But I know that it's going to be alright.\How is he able to keep playing for so long without making any mistakes? response:	He has incredible concentration.
context: See? Just like that.\Embrace that shining light of yours.\Alright! Let's hear you practice!\There are days when I can't seem to catch up to you.\Wow. He's been going for a whole hour.\But I know that it's going to be alright.\How is he able to keep playing for so long without making any mistakes?\He has incredible concentration. response:	I'm not doing this for anyone else.
context: Embrace that shining light of yours.\Alright! Let's hear you practice!\There are days when I can't seem to catch up to you.\Wow. He's been going for a whole hour.\But I know that it's going to be alright.\How is he able to keep playing for so long without making any mistakes?\He has incredible concentration.\I'm not doing this for anyone else. response:	I'm just doing this so that I can keep smiling.
context: Alright! Let's hear you practice!\There are days when I can't seem to catch up to you.\Wow. He's been going for a whole hour.\But I know that it's going to be alright.\How is he able to keep playing for so long without making any mistakes?\He has incredible concentration.\I'm not doing this for anyone else.\I'm just doing this so that I can keep smiling. response:	I'll do everything I can.
context: There are days when I can't seem to catch up to you.\Wow. He's been going for a whole hour.\But I know that it's going to be alright.\How is he able to keep playing for so long without making any mistakes?\He has incredible concentration.\I'm not doing this for anyone else.\I'm just doing this so that I can keep smiling.\I'll do everything I can. response:	Come on, now...
context: Wow. He's been going for a whole hour.\But I know that it's going to be alright.\How is he able to keep playing for so long without making any mistakes?\He has incredible concentration.\I'm not doing this for anyone else.\I'm just doing this so that I can keep smiling.\I'll do everything I can.\Come on, now... response:	He's been doing repetitive practice this whole time!
context: But I know that it's going to be alright.\How is he able to keep playing for so long without making any mistakes?\He has incredible concentration.\I'm not doing this for anyone else.\I'm just doing this so that I can keep smiling.\I'll do everything I can.\Come on, now...\He's been doing repetitive practice this whole time! response:	The sun's gonna go down!
context: How is he able to keep playing for so long without making any mistakes?\He has incredible concentration.\I'm not doing this for anyone else.\I'm just doing this so that I can keep smiling.\I'll do everything I can.\Come on, now...\He's been doing repetitive practice this whole time!\The sun's gonna go down! response:	I desperately clung to your back because I longed to be like you.
context: He has incredible concentration.\I'm not doing this for anyone else.\I'm just doing this so that I can keep smiling.\I'll do everything I can.\Come on, now...\He's been doing repetitive practice this whole time!\The sun's gonna go down!\I desperately clung to your back because I longed to be like you. response:	I tried to pretend that I was fine
context: I'm not doing this for anyone else.\I'm just doing this so that I can keep smiling.\I'll do everything I can.\Come on, now...\He's been doing repetitive practice this whole time!\The sun's gonna go down!\I desperately clung to your back because I longed to be like you.\I tried to pretend that I was fine response:	He plays the same song over and over again for hours. It must be so tiring.
context: I'm just doing this so that I can keep smiling.\I'll do everything I can.\Come on, now...\He's been doing repetitive practice this whole time!\The sun's gonna go down!\I desperately clung to your back because I longed to be like you.\I tried to pretend that I was fine\He plays the same song over and over again for hours. It must be so tiring. response:	but in the end, my heart still pains a little.
context: I'll do everything I can.\Come on, now...\He's been doing repetitive practice this whole time!\The sun's gonna go down!\I desperately clung to your back because I longed to be like you.\I tried to pretend that I was fine\He plays the same song over and over again for hours. It must be so tiring.\but in the end, my heart still pains a little. response:	Burning the music into his body,
context: Come on, now...\He's been doing repetitive practice this whole time!\The sun's gonna go down!\I desperately clung to your back because I longed to be like you.\I tried to pretend that I was fine\He plays the same song over and over again for hours. It must be so tiring.\but in the end, my heart still pains a little.\Burning the music into his body, response:	repeating the same movements over and over again,
context: He's been doing repetitive practice this whole time!\The sun's gonna go down!\I desperately clung to your back because I longed to be like you.\I tried to pretend that I was fine\He plays the same song over and over again for hours. It must be so tiring.\but in the end, my heart still pains a little.\Burning the music into his body,\repeating the same movements over and over again, response:	in order to play a perfect manifestation of the score.
context: The sun's gonna go down!\I desperately clung to your back because I longed to be like you.\I tried to pretend that I was fine\He plays the same song over and over again for hours. It must be so tiring.\but in the end, my heart still pains a little.\Burning the music into his body,\repeating the same movements over and over again,\in order to play a perfect manifestation of the score. response:	Preliminary round placings
context: I desperately clung to your back because I longed to be like you.\I tried to pretend that I was fine\He plays the same song over and over again for hours. It must be so tiring.\but in the end, my heart still pains a little.\Burning the music into his body,\repeating the same movements over and over again,\in order to play a perfect manifestation of the score.\Preliminary round placings response:	Wow! He's 1st place again!
context: I tried to pretend that I was fine\He plays the same song over and over again for hours. It must be so tiring.\but in the end, my heart still pains a little.\Burning the music into his body,\repeating the same movements over and over again,\in order to play a perfect manifestation of the score.\Preliminary round placings\Wow! He's 1st place again! response:	Dammit. It's not enough!
context: He plays the same song over and over again for hours. It must be so tiring.\but in the end, my heart still pains a little.\Burning the music into his body,\repeating the same movements over and over again,\in order to play a perfect manifestation of the score.\Preliminary round placings\Wow! He's 1st place again!\Dammit. It's not enough! response:	It's nowhere near enough!
context: but in the end, my heart still pains a little.\Burning the music into his body,\repeating the same movements over and over again,\in order to play a perfect manifestation of the score.\Preliminary round placings\Wow! He's 1st place again!\Dammit. It's not enough!\It's nowhere near enough! response:	Ueuchi Competition
context: Burning the music into his body,\repeating the same movements over and over again,\in order to play a perfect manifestation of the score.\Preliminary round placings\Wow! He's 1st place again!\Dammit. It's not enough!\It's nowhere near enough!\Ueuchi Competition response:	Final round
context: repeating the same movements over and over again,\in order to play a perfect manifestation of the score.\Preliminary round placings\Wow! He's 1st place again!\Dammit. It's not enough!\It's nowhere near enough!\Ueuchi Competition\Final round response:	I woke up really early,
context: in order to play a perfect manifestation of the score.\Preliminary round placings\Wow! He's 1st place again!\Dammit. It's not enough!\It's nowhere near enough!\Ueuchi Competition\Final round\I woke up really early, response:	and practiced for at least 5 hours every single day
context: Preliminary round placings\Wow! He's 1st place again!\Dammit. It's not enough!\It's nowhere near enough!\Ueuchi Competition\Final round\I woke up really early,\and practiced for at least 5 hours every single day response:	so that I perfectly replicated the score!
context: Wow! He's 1st place again!\Dammit. It's not enough!\It's nowhere near enough!\Ueuchi Competition\Final round\I woke up really early,\and practiced for at least 5 hours every single day\so that I perfectly replicated the score! response:	It's alright. I'm a Super Mech too!
context: Dammit. It's not enough!\It's nowhere near enough!\Ueuchi Competition\Final round\I woke up really early,\and practiced for at least 5 hours every single day\so that I perfectly replicated the score!\It's alright. I'm a Super Mech too! response:	Start off slow and melancholic, and invoke unease.
context: It's nowhere near enough!\Ueuchi Competition\Final round\I woke up really early,\and practiced for at least 5 hours every single day\so that I perfectly replicated the score!\It's alright. I'm a Super Mech too!\Start off slow and melancholic, and invoke unease. response:	At this point, play wistfully, like a warm Springtime sunset.
context: Ueuchi Competition\Final round\I woke up really early,\and practiced for at least 5 hours every single day\so that I perfectly replicated the score!\It's alright. I'm a Super Mech too!\Start off slow and melancholic, and invoke unease.\At this point, play wistfully, like a warm Springtime sunset. response:	What's she doing?
context: Final round\I woke up really early,\and practiced for at least 5 hours every single day\so that I perfectly replicated the score!\It's alright. I'm a Super Mech too!\Start off slow and melancholic, and invoke unease.\At this point, play wistfully, like a warm Springtime sunset.\What's she doing? response:	Number 5, Igawa-san, please make your preparations.
context: I woke up really early,\and practiced for at least 5 hours every single day\so that I perfectly replicated the score!\It's alright. I'm a Super Mech too!\Start off slow and melancholic, and invoke unease.\At this point, play wistfully, like a warm Springtime sunset.\What's she doing?\Number 5, Igawa-san, please make your preparations. response:	What?
context: and practiced for at least 5 hours every single day\so that I perfectly replicated the score!\It's alright. I'm a Super Mech too!\Start off slow and melancholic, and invoke unease.\At this point, play wistfully, like a warm Springtime sunset.\What's she doing?\Number 5, Igawa-san, please make your preparations.\What? response:	Nothing
context: so that I perfectly replicated the score!\It's alright. I'm a Super Mech too!\Start off slow and melancholic, and invoke unease.\At this point, play wistfully, like a warm Springtime sunset.\What's she doing?\Number 5, Igawa-san, please make your preparations.\What?\Nothing response:	Got something to say?
context: It's alright. I'm a Super Mech too!\Start off slow and melancholic, and invoke unease.\At this point, play wistfully, like a warm Springtime sunset.\What's she doing?\Number 5, Igawa-san, please make your preparations.\What?\Nothing\Got something to say? response:	No, I'm just...
context: Start off slow and melancholic, and invoke unease.\At this point, play wistfully, like a warm Springtime sunset.\What's she doing?\Number 5, Igawa-san, please make your preparations.\What?\Nothing\Got something to say?\No, I'm just... response:	What was with that performance?
context: At this point, play wistfully, like a warm Springtime sunset.\What's she doing?\Number 5, Igawa-san, please make your preparations.\What?\Nothing\Got something to say?\No, I'm just...\What was with that performance? response:	She completely ignored the score!
context: What's she doing?\Number 5, Igawa-san, please make your preparations.\What?\Nothing\Got something to say?\No, I'm just...\What was with that performance?\She completely ignored the score! response:	So why is everyone cheering?
context: Number 5, Igawa-san, please make your preparations.\What?\Nothing\Got something to say?\No, I'm just...\What was with that performance?\She completely ignored the score!\So why is everyone cheering? response:	How do you like that, Fake Arima?
context: What?\Nothing\Got something to say?\No, I'm just...\What was with that performance?\She completely ignored the score!\So why is everyone cheering?\How do you like that, Fake Arima? response:	Final round placings
context: Nothing\Got something to say?\No, I'm just...\What was with that performance?\She completely ignored the score!\So why is everyone cheering?\How do you like that, Fake Arima?\Final round placings response:	Arima Kousei
context: Got something to say?\No, I'm just...\What was with that performance?\She completely ignored the score!\So why is everyone cheering?\How do you like that, Fake Arima?\Final round placings\Arima Kousei response:	Igawa Emi
context: No, I'm just...\What was with that performance?\She completely ignored the score!\So why is everyone cheering?\How do you like that, Fake Arima?\Final round placings\Arima Kousei\Igawa Emi response:	Aiza Takeshi
context: What was with that performance?\She completely ignored the score!\So why is everyone cheering?\How do you like that, Fake Arima?\Final round placings\Arima Kousei\Igawa Emi\Aiza Takeshi response:	You managed to secure a placing.
context: She completely ignored the score!\So why is everyone cheering?\How do you like that, Fake Arima?\Final round placings\Arima Kousei\Igawa Emi\Aiza Takeshi\You managed to secure a placing. response:	Well done.
context: So why is everyone cheering?\How do you like that, Fake Arima?\Final round placings\Arima Kousei\Igawa Emi\Aiza Takeshi\You managed to secure a placing.\Well done. response:	Final round placings 1 Arima Kousei 4 Igawa Emi 10 Aiza Takeshi
context: How do you like that, Fake Arima?\Final round placings\Arima Kousei\Igawa Emi\Aiza Takeshi\You managed to secure a placing.\Well done.\Final round placings 1 Arima Kousei 4 Igawa Emi 10 Aiza Takeshi response:	Arima's a monster known as the Tempest of the Competition.
context: Final round placings\Arima Kousei\Igawa Emi\Aiza Takeshi\You managed to secure a placing.\Well done.\Final round placings 1 Arima Kousei 4 Igawa Emi 10 Aiza Takeshi\Arima's a monster known as the Tempest of the Competition. response:	One day, you'll also be...
context: Arima Kousei\Igawa Emi\Aiza Takeshi\You managed to secure a placing.\Well done.\Final round placings 1 Arima Kousei 4 Igawa Emi 10 Aiza Takeshi\Arima's a monster known as the Tempest of the Competition.\One day, you'll also be... response:	That's not it!
context: Igawa Emi\Aiza Takeshi\You managed to secure a placing.\Well done.\Final round placings 1 Arima Kousei 4 Igawa Emi 10 Aiza Takeshi\Arima's a monster known as the Tempest of the Competition.\One day, you'll also be...\That's not it! response:	Takeshi...
context: Aiza Takeshi\You managed to secure a placing.\Well done.\Final round placings 1 Arima Kousei 4 Igawa Emi 10 Aiza Takeshi\Arima's a monster known as the Tempest of the Competition.\One day, you'll also be...\That's not it!\Takeshi... response:	It's her. She's the one.
context: You managed to secure a placing.\Well done.\Final round placings 1 Arima Kousei 4 Igawa Emi 10 Aiza Takeshi\Arima's a monster known as the Tempest of the Competition.\One day, you'll also be...\That's not it!\Takeshi...\It's her. She's the one. response:	She's throwing me off!
context: Well done.\Final round placings 1 Arima Kousei 4 Igawa Emi 10 Aiza Takeshi\Arima's a monster known as the Tempest of the Competition.\One day, you'll also be...\That's not it!\Takeshi...\It's her. She's the one.\She's throwing me off! response:	Igawa Emi...
context: Final round placings 1 Arima Kousei 4 Igawa Emi 10 Aiza Takeshi\Arima's a monster known as the Tempest of the Competition.\One day, you'll also be...\That's not it!\Takeshi...\It's her. She's the one.\She's throwing me off!\Igawa Emi... response:	Bye-bye.
context: Arima's a monster known as the Tempest of the Competition.\One day, you'll also be...\That's not it!\Takeshi...\It's her. She's the one.\She's throwing me off!\Igawa Emi...\Bye-bye. response:	Hey, Takeshi!
context: One day, you'll also be...\That's not it!\Takeshi...\It's her. She's the one.\She's throwing me off!\Igawa Emi...\Bye-bye.\Hey, Takeshi! response:	We need one more person. Wanna play?
context: That's not it!\Takeshi...\It's her. She's the one.\She's throwing me off!\Igawa Emi...\Bye-bye.\Hey, Takeshi!\We need one more person. Wanna play? response:	Okay!
context: Takeshi...\It's her. She's the one.\She's throwing me off!\Igawa Emi...\Bye-bye.\Hey, Takeshi!\We need one more person. Wanna play?\Okay! response:	Sorry, I forgot I have piano practice.
context: It's her. She's the one.\She's throwing me off!\Igawa Emi...\Bye-bye.\Hey, Takeshi!\We need one more person. Wanna play?\Okay!\Sorry, I forgot I have piano practice. response:	Oh. Next time, then.
context: She's throwing me off!\Igawa Emi...\Bye-bye.\Hey, Takeshi!\We need one more person. Wanna play?\Okay!\Sorry, I forgot I have piano practice.\Oh. Next time, then. response:	Dammit!
context: Igawa Emi...\Bye-bye.\Hey, Takeshi!\We need one more person. Wanna play?\Okay!\Sorry, I forgot I have piano practice.\Oh. Next time, then.\Dammit! response:	I even gave up soccer!
context: Bye-bye.\Hey, Takeshi!\We need one more person. Wanna play?\Okay!\Sorry, I forgot I have piano practice.\Oh. Next time, then.\Dammit!\I even gave up soccer! response:	I'm waking up early and practicing for 5 hours!
context: Hey, Takeshi!\We need one more person. Wanna play?\Okay!\Sorry, I forgot I have piano practice.\Oh. Next time, then.\Dammit!\I even gave up soccer!\I'm waking up early and practicing for 5 hours! response:	I'm even practicing during the holidays!
context: We need one more person. Wanna play?\Okay!\Sorry, I forgot I have piano practice.\Oh. Next time, then.\Dammit!\I even gave up soccer!\I'm waking up early and practicing for 5 hours!\I'm even practicing during the holidays! response:	I don't need any new toys.
context: Okay!\Sorry, I forgot I have piano practice.\Oh. Next time, then.\Dammit!\I even gave up soccer!\I'm waking up early and practicing for 5 hours!\I'm even practicing during the holidays!\I don't need any new toys. response:	I won't even hang out with my friends!
context: Sorry, I forgot I have piano practice.\Oh. Next time, then.\Dammit!\I even gave up soccer!\I'm waking up early and practicing for 5 hours!\I'm even practicing during the holidays!\I don't need any new toys.\I won't even hang out with my friends! response:	I want to...
context: Oh. Next time, then.\Dammit!\I even gave up soccer!\I'm waking up early and practicing for 5 hours!\I'm even practicing during the holidays!\I don't need any new toys.\I won't even hang out with my friends!\I want to... response:	I want to hear Arima's disciplined music!
context: Dammit!\I even gave up soccer!\I'm waking up early and practicing for 5 hours!\I'm even practicing during the holidays!\I don't need any new toys.\I won't even hang out with my friends!\I want to...\I want to hear Arima's disciplined music! response:	I know that I don't have an unwavering resolve like him.
context: I even gave up soccer!\I'm waking up early and practicing for 5 hours!\I'm even practicing during the holidays!\I don't need any new toys.\I won't even hang out with my friends!\I want to...\I want to hear Arima's disciplined music!\I know that I don't have an unwavering resolve like him. response:	I know that I need to put in more effort!
context: I'm waking up early and practicing for 5 hours!\I'm even practicing during the holidays!\I don't need any new toys.\I won't even hang out with my friends!\I want to...\I want to hear Arima's disciplined music!\I know that I don't have an unwavering resolve like him.\I know that I need to put in more effort! response:	He's doing a lot more than I am!
context: I'm even practicing during the holidays!\I don't need any new toys.\I won't even hang out with my friends!\I want to...\I want to hear Arima's disciplined music!\I know that I don't have an unwavering resolve like him.\I know that I need to put in more effort!\He's doing a lot more than I am! response:	Even right now, he's probably tuned to his piano, alone, with his heart of steel!
context: I don't need any new toys.\I won't even hang out with my friends!\I want to...\I want to hear Arima's disciplined music!\I know that I don't have an unwavering resolve like him.\I know that I need to put in more effort!\He's doing a lot more than I am!\Even right now, he's probably tuned to his piano, alone, with his heart of steel! response:	Go on, Kousei!
context: I won't even hang out with my friends!\I want to...\I want to hear Arima's disciplined music!\I know that I don't have an unwavering resolve like him.\I know that I need to put in more effort!\He's doing a lot more than I am!\Even right now, he's probably tuned to his piano, alone, with his heart of steel!\Go on, Kousei! response:	Go on, Kousei! Jump!
context: I want to...\I want to hear Arima's disciplined music!\I know that I don't have an unwavering resolve like him.\I know that I need to put in more effort!\He's doing a lot more than I am!\Even right now, he's probably tuned to his piano, alone, with his heart of steel!\Go on, Kousei!\Go on, Kousei! Jump! response:	Arima?!
context: I want to hear Arima's disciplined music!\I know that I don't have an unwavering resolve like him.\I know that I need to put in more effort!\He's doing a lot more than I am!\Even right now, he's probably tuned to his piano, alone, with his heart of steel!\Go on, Kousei!\Go on, Kousei! Jump!\Arima?! response:	Do a summersault this time!
context: I know that I don't have an unwavering resolve like him.\I know that I need to put in more effort!\He's doing a lot more than I am!\Even right now, he's probably tuned to his piano, alone, with his heart of steel!\Go on, Kousei!\Go on, Kousei! Jump!\Arima?!\Do a summersault this time! response:	You said you wanted to jump again!
context: I know that I need to put in more effort!\He's doing a lot more than I am!\Even right now, he's probably tuned to his piano, alone, with his heart of steel!\Go on, Kousei!\Go on, Kousei! Jump!\Arima?!\Do a summersault this time!\You said you wanted to jump again! response:	Be a man!
context: He's doing a lot more than I am!\Even right now, he's probably tuned to his piano, alone, with his heart of steel!\Go on, Kousei!\Go on, Kousei! Jump!\Arima?!\Do a summersault this time!\You said you wanted to jump again!\Be a man! response:	He did it!
context: Even right now, he's probably tuned to his piano, alone, with his heart of steel!\Go on, Kousei!\Go on, Kousei! Jump!\Arima?!\Do a summersault this time!\You said you wanted to jump again!\Be a man!\He did it! response:	That was awesome, Kousei!
context: Go on, Kousei!\Go on, Kousei! Jump!\Arima?!\Do a summersault this time!\You said you wanted to jump again!\Be a man!\He did it!\That was awesome, Kousei! response:	I'm next!
context: Go on, Kousei! Jump!\Arima?!\Do a summersault this time!\You said you wanted to jump again!\Be a man!\He did it!\That was awesome, Kousei!\I'm next! response:	This is awesome!
context: Arima?!\Do a summersault this time!\You said you wanted to jump again!\Be a man!\He did it!\That was awesome, Kousei!\I'm next!\This is awesome! response:	I'm gonna jump too!
context: Do a summersault this time!\You said you wanted to jump again!\Be a man!\He did it!\That was awesome, Kousei!\I'm next!\This is awesome!\I'm gonna jump too! response:	So that's...
context: You said you wanted to jump again!\Be a man!\He did it!\That was awesome, Kousei!\I'm next!\This is awesome!\I'm gonna jump too!\So that's... response:	Alright!
context: Be a man!\He did it!\That was awesome, Kousei!\I'm next!\This is awesome!\I'm gonna jump too!\So that's...\Alright! response:	I'm gonna play soccer tomorrow!
context: He did it!\That was awesome, Kousei!\I'm next!\This is awesome!\I'm gonna jump too!\So that's...\Alright!\I'm gonna play soccer tomorrow! response:	Saiki Piano Competition
context: That was awesome, Kousei!\I'm next!\This is awesome!\I'm gonna jump too!\So that's...\Alright!\I'm gonna play soccer tomorrow!\Saiki Piano Competition response:	Preliminary round
context: I'm next!\This is awesome!\I'm gonna jump too!\So that's...\Alright!\I'm gonna play soccer tomorrow!\Saiki Piano Competition\Preliminary round response:	Saiki Piano Competition
context: This is awesome!\I'm gonna jump too!\So that's...\Alright!\I'm gonna play soccer tomorrow!\Saiki Piano Competition\Preliminary round\Saiki Piano Competition response:	Preliminary round placings
context: I'm gonna jump too!\So that's...\Alright!\I'm gonna play soccer tomorrow!\Saiki Piano Competition\Preliminary round\Saiki Piano Competition\Preliminary round placings response:	Arima Kousei
context: So that's...\Alright!\I'm gonna play soccer tomorrow!\Saiki Piano Competition\Preliminary round\Saiki Piano Competition\Preliminary round placings\Arima Kousei response:	Aiza Takeshi
context: Alright!\I'm gonna play soccer tomorrow!\Saiki Piano Competition\Preliminary round\Saiki Piano Competition\Preliminary round placings\Arima Kousei\Aiza Takeshi response:	Igawa Emi
context: I'm gonna play soccer tomorrow!\Saiki Piano Competition\Preliminary round\Saiki Piano Competition\Preliminary round placings\Arima Kousei\Aiza Takeshi\Igawa Emi response:	Of course Arima still wins again.
context: Saiki Piano Competition\Preliminary round\Saiki Piano Competition\Preliminary round placings\Arima Kousei\Aiza Takeshi\Igawa Emi\Of course Arima still wins again. response:	Perfect playing, as always.
context: Preliminary round\Saiki Piano Competition\Preliminary round placings\Arima Kousei\Aiza Takeshi\Igawa Emi\Of course Arima still wins again.\Perfect playing, as always. response:	I didn't even come close.
context: Saiki Piano Competition\Preliminary round placings\Arima Kousei\Aiza Takeshi\Igawa Emi\Of course Arima still wins again.\Perfect playing, as always.\I didn't even come close. response:	Aren't you frustrated?
context: Preliminary round placings\Arima Kousei\Aiza Takeshi\Igawa Emi\Of course Arima still wins again.\Perfect playing, as always.\I didn't even come close.\Aren't you frustrated? response:	Of course I am!
context: Arima Kousei\Aiza Takeshi\Igawa Emi\Of course Arima still wins again.\Perfect playing, as always.\I didn't even come close.\Aren't you frustrated?\Of course I am! response:	But I decided that I'm gonna take him out in the second round
