context: Archer, I don't believe it. You response:	Have you no pride as a hero?
context: Trace...\on!\Faster.\Better.\Stronger.\I can see how this place works.\I'm sick of your crap!\Archer, what do you think you're... response:	Tohsaka!
context: on!\Faster.\Better.\Stronger.\I can see how this place works.\I'm sick of your crap!\Archer, what do you think you're...\Tohsaka! response:	Where are you going, Archer?
context: Faster.\Better.\Stronger.\I can see how this place works.\I'm sick of your crap!\Archer, what do you think you're...\Tohsaka!\Where are you going, Archer? response:	Well, I'm back to square one.
context: Better.\Stronger.\I can see how this place works.\I'm sick of your crap!\Archer, what do you think you're...\Tohsaka!\Where are you going, Archer?\Well, I'm back to square one. response:	That gambit depleted my mana.
context: Stronger.\I can see how this place works.\I'm sick of your crap!\Archer, what do you think you're...\Tohsaka!\Where are you going, Archer?\Well, I'm back to square one.\That gambit depleted my mana. response:	Now that you're at 100, I'm no match for you.
context: I can see how this place works.\I'm sick of your crap!\Archer, what do you think you're...\Tohsaka!\Where are you going, Archer?\Well, I'm back to square one.\That gambit depleted my mana.\Now that you're at 100, I'm no match for you. response:	This is my insurance policy.
context: I'm sick of your crap!\Archer, what do you think you're...\Tohsaka!\Where are you going, Archer?\Well, I'm back to square one.\That gambit depleted my mana.\Now that you're at 100, I'm no match for you.\This is my insurance policy. response:	If you value your Master's life, I suggest you stay out of this, Saber.
context: Archer, what do you think you're...\Tohsaka!\Where are you going, Archer?\Well, I'm back to square one.\That gambit depleted my mana.\Now that you're at 100, I'm no match for you.\This is my insurance policy.\If you value your Master's life, I suggest you stay out of this, Saber. response:	My objective is that boy's
context: Tohsaka!\Where are you going, Archer?\Well, I'm back to square one.\That gambit depleted my mana.\Now that you're at 100, I'm no match for you.\This is my insurance policy.\If you value your Master's life, I suggest you stay out of this, Saber.\My objective is that boy's response:	The forest outside of town.
context: Where are you going, Archer?\Well, I'm back to square one.\That gambit depleted my mana.\Now that you're at 100, I'm no match for you.\This is my insurance policy.\If you value your Master's life, I suggest you stay out of this, Saber.\My objective is that boy's\The forest outside of town. response:	What?
context: Well, I'm back to square one.\That gambit depleted my mana.\Now that you're at 100, I'm no match for you.\This is my insurance policy.\If you value your Master's life, I suggest you stay out of this, Saber.\My objective is that boy's\The forest outside of town.\What? response:	There's a castle that's empty now.
context: That gambit depleted my mana.\Now that you're at 100, I'm no match for you.\This is my insurance policy.\If you value your Master's life, I suggest you stay out of this, Saber.\My objective is that boy's\The forest outside of town.\What?\There's a castle that's empty now. response:	Shirou?
context: Now that you're at 100, I'm no match for you.\This is my insurance policy.\If you value your Master's life, I suggest you stay out of this, Saber.\My objective is that boy's\The forest outside of town.\What?\There's a castle that's empty now.\Shirou? response:	You want to give me a piece of your mind?
context: This is my insurance policy.\If you value your Master's life, I suggest you stay out of this, Saber.\My objective is that boy's\The forest outside of town.\What?\There's a castle that's empty now.\Shirou?\You want to give me a piece of your mind? response:	Fine, let's hear it.
context: If you value your Master's life, I suggest you stay out of this, Saber.\My objective is that boy's\The forest outside of town.\What?\There's a castle that's empty now.\Shirou?\You want to give me a piece of your mind?\Fine, let's hear it. response:	There are things I want to say to you, too.
context: My objective is that boy's\The forest outside of town.\What?\There's a castle that's empty now.\Shirou?\You want to give me a piece of your mind?\Fine, let's hear it.\There are things I want to say to you, too. response:	True, we won't be interrupted at that castle.
context: The forest outside of town.\What?\There's a castle that's empty now.\Shirou?\You want to give me a piece of your mind?\Fine, let's hear it.\There are things I want to say to you, too.\True, we won't be interrupted at that castle. response:	I like your resolve, Emiya Shirou.
context: What?\There's a castle that's empty now.\Shirou?\You want to give me a piece of your mind?\Fine, let's hear it.\There are things I want to say to you, too.\True, we won't be interrupted at that castle.\I like your resolve, Emiya Shirou. response:	Go to hell.
context: There's a castle that's empty now.\Shirou?\You want to give me a piece of your mind?\Fine, let's hear it.\There are things I want to say to you, too.\True, we won't be interrupted at that castle.\I like your resolve, Emiya Shirou.\Go to hell. response:	I dare you to hurt Tohsaka.
context: Shirou?\You want to give me a piece of your mind?\Fine, let's hear it.\There are things I want to say to you, too.\True, we won't be interrupted at that castle.\I like your resolve, Emiya Shirou.\Go to hell.\I dare you to hurt Tohsaka. response:	I'll kill you!
context: You want to give me a piece of your mind?\Fine, let's hear it.\There are things I want to say to you, too.\True, we won't be interrupted at that castle.\I like your resolve, Emiya Shirou.\Go to hell.\I dare you to hurt Tohsaka.\I'll kill you! response:	I guarantee her safety for one day.
context: Fine, let's hear it.\There are things I want to say to you, too.\True, we won't be interrupted at that castle.\I like your resolve, Emiya Shirou.\Go to hell.\I dare you to hurt Tohsaka.\I'll kill you!\I guarantee her safety for one day. response:	Be quick, though.
context: There are things I want to say to you, too.\True, we won't be interrupted at that castle.\I like your resolve, Emiya Shirou.\Go to hell.\I dare you to hurt Tohsaka.\I'll kill you!\I guarantee her safety for one day.\Be quick, though. response:	Without a Master, I won't last for two days.
context: True, we won't be interrupted at that castle.\I like your resolve, Emiya Shirou.\Go to hell.\I dare you to hurt Tohsaka.\I'll kill you!\I guarantee her safety for one day.\Be quick, though.\Without a Master, I won't last for two days. response:	If I haven't managed to kill you by that time,
context: I like your resolve, Emiya Shirou.\Go to hell.\I dare you to hurt Tohsaka.\I'll kill you!\I guarantee her safety for one day.\Be quick, though.\Without a Master, I won't last for two days.\If I haven't managed to kill you by that time, response:	I might just dismember my hostage out of spite.
context: Go to hell.\I dare you to hurt Tohsaka.\I'll kill you!\I guarantee her safety for one day.\Be quick, though.\Without a Master, I won't last for two days.\If I haven't managed to kill you by that time,\I might just dismember my hostage out of spite. response:	Shirou!
context: I dare you to hurt Tohsaka.\I'll kill you!\I guarantee her safety for one day.\Be quick, though.\Without a Master, I won't last for two days.\If I haven't managed to kill you by that time,\I might just dismember my hostage out of spite.\Shirou! response:	You're being reckless.
context: I'll kill you!\I guarantee her safety for one day.\Be quick, though.\Without a Master, I won't last for two days.\If I haven't managed to kill you by that time,\I might just dismember my hostage out of spite.\Shirou!\You're being reckless. response:	Not even you can perform the same projections as Archer so quickly.
context: I guarantee her safety for one day.\Be quick, though.\Without a Master, I won't last for two days.\If I haven't managed to kill you by that time,\I might just dismember my hostage out of spite.\Shirou!\You're being reckless.\Not even you can perform the same projections as Archer so quickly. response:	Sorry, Saber.
context: Be quick, though.\Without a Master, I won't last for two days.\If I haven't managed to kill you by that time,\I might just dismember my hostage out of spite.\Shirou!\You're being reckless.\Not even you can perform the same projections as Archer so quickly.\Sorry, Saber. response:	I let Tohsaka get captured.
context: Without a Master, I won't last for two days.\If I haven't managed to kill you by that time,\I might just dismember my hostage out of spite.\Shirou!\You're being reckless.\Not even you can perform the same projections as Archer so quickly.\Sorry, Saber.\I let Tohsaka get captured. response:	Right now, you are in more danger than she is.
context: If I haven't managed to kill you by that time,\I might just dismember my hostage out of spite.\Shirou!\You're being reckless.\Not even you can perform the same projections as Archer so quickly.\Sorry, Saber.\I let Tohsaka get captured.\Right now, you are in more danger than she is. response:	Let me worry about Rin.
context: I might just dismember my hostage out of spite.\Shirou!\You're being reckless.\Not even you can perform the same projections as Archer so quickly.\Sorry, Saber.\I let Tohsaka get captured.\Right now, you are in more danger than she is.\Let me worry about Rin. response:	You should return home and rest.
context: Shirou!\You're being reckless.\Not even you can perform the same projections as Archer so quickly.\Sorry, Saber.\I let Tohsaka get captured.\Right now, you are in more danger than she is.\Let me worry about Rin.\You should return home and rest. response:	Looks like you took care of business, kid.
context: You're being reckless.\Not even you can perform the same projections as Archer so quickly.\Sorry, Saber.\I let Tohsaka get captured.\Right now, you are in more danger than she is.\Let me worry about Rin.\You should return home and rest.\Looks like you took care of business, kid. response:	It's not like that, Saber.
context: Not even you can perform the same projections as Archer so quickly.\Sorry, Saber.\I let Tohsaka get captured.\Right now, you are in more danger than she is.\Let me worry about Rin.\You should return home and rest.\Looks like you took care of business, kid.\It's not like that, Saber. response:	He helped us.
context: Sorry, Saber.\I let Tohsaka get captured.\Right now, you are in more danger than she is.\Let me worry about Rin.\You should return home and rest.\Looks like you took care of business, kid.\It's not like that, Saber.\He helped us. response:	Are you saying that Lancer assisted you, Shirou?
context: I let Tohsaka get captured.\Right now, you are in more danger than she is.\Let me worry about Rin.\You should return home and rest.\Looks like you took care of business, kid.\It's not like that, Saber.\He helped us.\Are you saying that Lancer assisted you, Shirou? response:	Yeah, he did.
context: Right now, you are in more danger than she is.\Let me worry about Rin.\You should return home and rest.\Looks like you took care of business, kid.\It's not like that, Saber.\He helped us.\Are you saying that Lancer assisted you, Shirou?\Yeah, he did. response:	So for now, try not to fight him, okay?
context: Let me worry about Rin.\You should return home and rest.\Looks like you took care of business, kid.\It's not like that, Saber.\He helped us.\Are you saying that Lancer assisted you, Shirou?\Yeah, he did.\So for now, try not to fight him, okay? response:	Why, Lancer?
context: You should return home and rest.\Looks like you took care of business, kid.\It's not like that, Saber.\He helped us.\Are you saying that Lancer assisted you, Shirou?\Yeah, he did.\So for now, try not to fight him, okay?\Why, Lancer? response:	Do you have some ulterior motive in helping Shirou and Rin?
context: Looks like you took care of business, kid.\It's not like that, Saber.\He helped us.\Are you saying that Lancer assisted you, Shirou?\Yeah, he did.\So for now, try not to fight him, okay?\Why, Lancer?\Do you have some ulterior motive in helping Shirou and Rin? response:	Of course I have an ulterior motive.
context: It's not like that, Saber.\He helped us.\Are you saying that Lancer assisted you, Shirou?\Yeah, he did.\So for now, try not to fight him, okay?\Why, Lancer?\Do you have some ulterior motive in helping Shirou and Rin?\Of course I have an ulterior motive. response:	Like I'd help them if I didn't expect something out of it.
context: He helped us.\Are you saying that Lancer assisted you, Shirou?\Yeah, he did.\So for now, try not to fight him, okay?\Why, Lancer?\Do you have some ulterior motive in helping Shirou and Rin?\Of course I have an ulterior motive.\Like I'd help them if I didn't expect something out of it. response:	I understand.
context: Are you saying that Lancer assisted you, Shirou?\Yeah, he did.\So for now, try not to fight him, okay?\Why, Lancer?\Do you have some ulterior motive in helping Shirou and Rin?\Of course I have an ulterior motive.\Like I'd help them if I didn't expect something out of it.\I understand. response:	Meaning that you've gotten what you wanted.
context: Yeah, he did.\So for now, try not to fight him, okay?\Why, Lancer?\Do you have some ulterior motive in helping Shirou and Rin?\Of course I have an ulterior motive.\Like I'd help them if I didn't expect something out of it.\I understand.\Meaning that you've gotten what you wanted. response:	Then begone.
context: So for now, try not to fight him, okay?\Why, Lancer?\Do you have some ulterior motive in helping Shirou and Rin?\Of course I have an ulterior motive.\Like I'd help them if I didn't expect something out of it.\I understand.\Meaning that you've gotten what you wanted.\Then begone. response:	I won't fight you now, either.
context: Why, Lancer?\Do you have some ulterior motive in helping Shirou and Rin?\Of course I have an ulterior motive.\Like I'd help them if I didn't expect something out of it.\I understand.\Meaning that you've gotten what you wanted.\Then begone.\I won't fight you now, either. response:	Hey, it appears things didn't go entirely according to plan.
context: Do you have some ulterior motive in helping Shirou and Rin?\Of course I have an ulterior motive.\Like I'd help them if I didn't expect something out of it.\I understand.\Meaning that you've gotten what you wanted.\Then begone.\I won't fight you now, either.\Hey, it appears things didn't go entirely according to plan. response:	What happened in there, kid?
context: Of course I have an ulterior motive.\Like I'd help them if I didn't expect something out of it.\I understand.\Meaning that you've gotten what you wanted.\Then begone.\I won't fight you now, either.\Hey, it appears things didn't go entirely according to plan.\What happened in there, kid? response:	Tohsaka's been abducted by Archer.
context: Like I'd help them if I didn't expect something out of it.\I understand.\Meaning that you've gotten what you wanted.\Then begone.\I won't fight you now, either.\Hey, it appears things didn't go entirely according to plan.\What happened in there, kid?\Tohsaka's been abducted by Archer. response:	This hill is his world.
context: I understand.\Meaning that you've gotten what you wanted.\Then begone.\I won't fight you now, either.\Hey, it appears things didn't go entirely according to plan.\What happened in there, kid?\Tohsaka's been abducted by Archer.\This hill is his world. response:	It was his reward for always helping people,
context: Meaning that you've gotten what you wanted.\Then begone.\I won't fight you now, either.\Hey, it appears things didn't go entirely according to plan.\What happened in there, kid?\Tohsaka's been abducted by Archer.\This hill is his world.\It was his reward for always helping people, response:	the end of the line.
context: Then begone.\I won't fight you now, either.\Hey, it appears things didn't go entirely according to plan.\What happened in there, kid?\Tohsaka's been abducted by Archer.\This hill is his world.\It was his reward for always helping people,\the end of the line. response:	It seemed like he'd embraced this landscape,
context: I won't fight you now, either.\Hey, it appears things didn't go entirely according to plan.\What happened in there, kid?\Tohsaka's been abducted by Archer.\This hill is his world.\It was his reward for always helping people,\the end of the line.\It seemed like he'd embraced this landscape, response:	dying with a smile, saying he was satisfied.
context: Hey, it appears things didn't go entirely according to plan.\What happened in there, kid?\Tohsaka's been abducted by Archer.\This hill is his world.\It was his reward for always helping people,\the end of the line.\It seemed like he'd embraced this landscape,\dying with a smile, saying he was satisfied. response:	Seriously? How stupid is that?
context: What happened in there, kid?\Tohsaka's been abducted by Archer.\This hill is his world.\It was his reward for always helping people,\the end of the line.\It seemed like he'd embraced this landscape,\dying with a smile, saying he was satisfied.\Seriously? How stupid is that? response:	Anyway, that made me really angry.
context: Tohsaka's been abducted by Archer.\This hill is his world.\It was his reward for always helping people,\the end of the line.\It seemed like he'd embraced this landscape,\dying with a smile, saying he was satisfied.\Seriously? How stupid is that?\Anyway, that made me really angry. response:	He worked and worked,
context: This hill is his world.\It was his reward for always helping people,\the end of the line.\It seemed like he'd embraced this landscape,\dying with a smile, saying he was satisfied.\Seriously? How stupid is that?\Anyway, that made me really angry.\He worked and worked, response:	striving for greatness, even though he was ordinary,
context: It was his reward for always helping people,\the end of the line.\It seemed like he'd embraced this landscape,\dying with a smile, saying he was satisfied.\Seriously? How stupid is that?\Anyway, that made me really angry.\He worked and worked,\striving for greatness, even though he was ordinary, response:	finally achieving his miracle as he bled.
context: the end of the line.\It seemed like he'd embraced this landscape,\dying with a smile, saying he was satisfied.\Seriously? How stupid is that?\Anyway, that made me really angry.\He worked and worked,\striving for greatness, even though he was ordinary,\finally achieving his miracle as he bled. response:	So he has to be happy, or all of that will be a lie.
context: It seemed like he'd embraced this landscape,\dying with a smile, saying he was satisfied.\Seriously? How stupid is that?\Anyway, that made me really angry.\He worked and worked,\striving for greatness, even though he was ordinary,\finally achieving his miracle as he bled.\So he has to be happy, or all of that will be a lie. response:	If he made lots of people happy,
context: dying with a smile, saying he was satisfied.\Seriously? How stupid is that?\Anyway, that made me really angry.\He worked and worked,\striving for greatness, even though he was ordinary,\finally achieving his miracle as he bled.\So he has to be happy, or all of that will be a lie.\If he made lots of people happy, response:	he should become at least as happy as those people combined.
context: Seriously? How stupid is that?\Anyway, that made me really angry.\He worked and worked,\striving for greatness, even though he was ordinary,\finally achieving his miracle as he bled.\So he has to be happy, or all of that will be a lie.\If he made lots of people happy,\he should become at least as happy as those people combined. response:	However, that wasn't the reward he received.
context: Anyway, that made me really angry.\He worked and worked,\striving for greatness, even though he was ordinary,\finally achieving his miracle as he bled.\So he has to be happy, or all of that will be a lie.\If he made lots of people happy,\he should become at least as happy as those people combined.\However, that wasn't the reward he received. response:	Instead, all he got
context: He worked and worked,\striving for greatness, even though he was ordinary,\finally achieving his miracle as he bled.\So he has to be happy, or all of that will be a lie.\If he made lots of people happy,\he should become at least as happy as those people combined.\However, that wasn't the reward he received.\Instead, all he got response:	was being exploited as a Guardian, even after his death.
context: striving for greatness, even though he was ordinary,\finally achieving his miracle as he bled.\So he has to be happy, or all of that will be a lie.\If he made lots of people happy,\he should become at least as happy as those people combined.\However, that wasn't the reward he received.\Instead, all he got\was being exploited as a Guardian, even after his death. response:	Why did I never put it together?
context: finally achieving his miracle as he bled.\So he has to be happy, or all of that will be a lie.\If he made lots of people happy,\he should become at least as happy as those people combined.\However, that wasn't the reward he received.\Instead, all he got\was being exploited as a Guardian, even after his death.\Why did I never put it together? response:	Servants are summoned from every age.
context: So he has to be happy, or all of that will be a lie.\If he made lots of people happy,\he should become at least as happy as those people combined.\However, that wasn't the reward he received.\Instead, all he got\was being exploited as a Guardian, even after his death.\Why did I never put it together?\Servants are summoned from every age. response:	Heroic Spirits can be summoned from the past, present, or even the distant future.
context: If he made lots of people happy,\he should become at least as happy as those people combined.\However, that wasn't the reward he received.\Instead, all he got\was being exploited as a Guardian, even after his death.\Why did I never put it together?\Servants are summoned from every age.\Heroic Spirits can be summoned from the past, present, or even the distant future. response:	Nothing says a Servant couldn't be summoned
context: he should become at least as happy as those people combined.\However, that wasn't the reward he received.\Instead, all he got\was being exploited as a Guardian, even after his death.\Why did I never put it together?\Servants are summoned from every age.\Heroic Spirits can be summoned from the past, present, or even the distant future.\Nothing says a Servant couldn't be summoned response:	into the time when he lived, to the city in which he once lived.
context: However, that wasn't the reward he received.\Instead, all he got\was being exploited as a Guardian, even after his death.\Why did I never put it together?\Servants are summoned from every age.\Heroic Spirits can be summoned from the past, present, or even the distant future.\Nothing says a Servant couldn't be summoned\into the time when he lived, to the city in which he once lived. response:	That thought frustrates me so much.
context: Instead, all he got\was being exploited as a Guardian, even after his death.\Why did I never put it together?\Servants are summoned from every age.\Heroic Spirits can be summoned from the past, present, or even the distant future.\Nothing says a Servant couldn't be summoned\into the time when he lived, to the city in which he once lived.\That thought frustrates me so much. response:	Because neither one will be saved.
context: was being exploited as a Guardian, even after his death.\Why did I never put it together?\Servants are summoned from every age.\Heroic Spirits can be summoned from the past, present, or even the distant future.\Nothing says a Servant couldn't be summoned\into the time when he lived, to the city in which he once lived.\That thought frustrates me so much.\Because neither one will be saved. response:	Not the one looking at his past self,
context: Why did I never put it together?\Servants are summoned from every age.\Heroic Spirits can be summoned from the past, present, or even the distant future.\Nothing says a Servant couldn't be summoned\into the time when he lived, to the city in which he once lived.\That thought frustrates me so much.\Because neither one will be saved.\Not the one looking at his past self, response:	or the one looking at his future self.
context: Servants are summoned from every age.\Heroic Spirits can be summoned from the past, present, or even the distant future.\Nothing says a Servant couldn't be summoned\into the time when he lived, to the city in which he once lived.\That thought frustrates me so much.\Because neither one will be saved.\Not the one looking at his past self,\or the one looking at his future self. response:	All I can do is mourn what's become of him.
context: Heroic Spirits can be summoned from the past, present, or even the distant future.\Nothing says a Servant couldn't be summoned\into the time when he lived, to the city in which he once lived.\That thought frustrates me so much.\Because neither one will be saved.\Not the one looking at his past self,\or the one looking at his future self.\All I can do is mourn what's become of him. response:	I already know how it will end for that big fool
context: Nothing says a Servant couldn't be summoned\into the time when he lived, to the city in which he once lived.\That thought frustrates me so much.\Because neither one will be saved.\Not the one looking at his past self,\or the one looking at his future self.\All I can do is mourn what's become of him.\I already know how it will end for that big fool response:	who tries to live for others.
context: into the time when he lived, to the city in which he once lived.\That thought frustrates me so much.\Because neither one will be saved.\Not the one looking at his past self,\or the one looking at his future self.\All I can do is mourn what's become of him.\I already know how it will end for that big fool\who tries to live for others. response:	He voluntarily sacrificed his afterlife.
context: That thought frustrates me so much.\Because neither one will be saved.\Not the one looking at his past self,\or the one looking at his future self.\All I can do is mourn what's become of him.\I already know how it will end for that big fool\who tries to live for others.\He voluntarily sacrificed his afterlife. response:	If he could keep saving people, even after death,
context: Because neither one will be saved.\Not the one looking at his past self,\or the one looking at his future self.\All I can do is mourn what's become of him.\I already know how it will end for that big fool\who tries to live for others.\He voluntarily sacrificed his afterlife.\If he could keep saving people, even after death, response:	he could ask no more.
context: Not the one looking at his past self,\or the one looking at his future self.\All I can do is mourn what's become of him.\I already know how it will end for that big fool\who tries to live for others.\He voluntarily sacrificed his afterlife.\If he could keep saving people, even after death,\he could ask no more. response:	Because of his powerlessness, he failed to save people in life.
context: or the one looking at his future self.\All I can do is mourn what's become of him.\I already know how it will end for that big fool\who tries to live for others.\He voluntarily sacrificed his afterlife.\If he could keep saving people, even after death,\he could ask no more.\Because of his powerlessness, he failed to save people in life. response:	So, believing that he could avert any tragedy as a Heroic Spirit,
context: All I can do is mourn what's become of him.\I already know how it will end for that big fool\who tries to live for others.\He voluntarily sacrificed his afterlife.\If he could keep saving people, even after death,\he could ask no more.\Because of his powerlessness, he failed to save people in life.\So, believing that he could avert any tragedy as a Heroic Spirit, response:	he sold the peace he would have found in death.
context: I already know how it will end for that big fool\who tries to live for others.\He voluntarily sacrificed his afterlife.\If he could keep saving people, even after death,\he could ask no more.\Because of his powerlessness, he failed to save people in life.\So, believing that he could avert any tragedy as a Heroic Spirit,\he sold the peace he would have found in death. response:	He believed with all his heart that he could save tens of thousands more lives.
context: who tries to live for others.\He voluntarily sacrificed his afterlife.\If he could keep saving people, even after death,\he could ask no more.\Because of his powerlessness, he failed to save people in life.\So, believing that he could avert any tragedy as a Heroic Spirit,\he sold the peace he would have found in death.\He believed with all his heart that he could save tens of thousands more lives. response:	But even that hope was betrayed.
context: He voluntarily sacrificed his afterlife.\If he could keep saving people, even after death,\he could ask no more.\Because of his powerlessness, he failed to save people in life.\So, believing that he could avert any tragedy as a Heroic Spirit,\he sold the peace he would have found in death.\He believed with all his heart that he could save tens of thousands more lives.\But even that hope was betrayed. response:	Only one thing can be said about him.
context: If he could keep saving people, even after death,\he could ask no more.\Because of his powerlessness, he failed to save people in life.\So, believing that he could avert any tragedy as a Heroic Spirit,\he sold the peace he would have found in death.\He believed with all his heart that he could save tens of thousands more lives.\But even that hope was betrayed.\Only one thing can be said about him. response:	That he has been constantly betrayed by everything around him.
context: he could ask no more.\Because of his powerlessness, he failed to save people in life.\So, believing that he could avert any tragedy as a Heroic Spirit,\he sold the peace he would have found in death.\He believed with all his heart that he could save tens of thousands more lives.\But even that hope was betrayed.\Only one thing can be said about him.\That he has been constantly betrayed by everything around him. response:	And at the very, very end,
context: Because of his powerlessness, he failed to save people in life.\So, believing that he could avert any tragedy as a Heroic Spirit,\he sold the peace he would have found in death.\He believed with all his heart that he could save tens of thousands more lives.\But even that hope was betrayed.\Only one thing can be said about him.\That he has been constantly betrayed by everything around him.\And at the very, very end, response:	he was betrayed even by the one ideal in which he believed.
context: So, believing that he could avert any tragedy as a Heroic Spirit,\he sold the peace he would have found in death.\He believed with all his heart that he could save tens of thousands more lives.\But even that hope was betrayed.\Only one thing can be said about him.\That he has been constantly betrayed by everything around him.\And at the very, very end,\he was betrayed even by the one ideal in which he believed. response:	What are you trying to pull, Archer?
context: he sold the peace he would have found in death.\He believed with all his heart that he could save tens of thousands more lives.\But even that hope was betrayed.\Only one thing can be said about him.\That he has been constantly betrayed by everything around him.\And at the very, very end,\he was betrayed even by the one ideal in which he believed.\What are you trying to pull, Archer? response:	Even if I weren't here, Shirou would have come on his own.
context: He believed with all his heart that he could save tens of thousands more lives.\But even that hope was betrayed.\Only one thing can be said about him.\That he has been constantly betrayed by everything around him.\And at the very, very end,\he was betrayed even by the one ideal in which he believed.\What are you trying to pull, Archer?\Even if I weren't here, Shirou would have come on his own. response:	You should know that better than anyone.
context: But even that hope was betrayed.\Only one thing can be said about him.\That he has been constantly betrayed by everything around him.\And at the very, very end,\he was betrayed even by the one ideal in which he believed.\What are you trying to pull, Archer?\Even if I weren't here, Shirou would have come on his own.\You should know that better than anyone. response:	I suppose you're right.
context: Only one thing can be said about him.\That he has been constantly betrayed by everything around him.\And at the very, very end,\he was betrayed even by the one ideal in which he believed.\What are you trying to pull, Archer?\Even if I weren't here, Shirou would have come on his own.\You should know that better than anyone.\I suppose you're right. response:	But it would be inconvenient to leave you there.
context: That he has been constantly betrayed by everything around him.\And at the very, very end,\he was betrayed even by the one ideal in which he believed.\What are you trying to pull, Archer?\Even if I weren't here, Shirou would have come on his own.\You should know that better than anyone.\I suppose you're right.\But it would be inconvenient to leave you there. response:	I see.
context: And at the very, very end,\he was betrayed even by the one ideal in which he believed.\What are you trying to pull, Archer?\Even if I weren't here, Shirou would have come on his own.\You should know that better than anyone.\I suppose you're right.\But it would be inconvenient to leave you there.\I see. response:	Then you intend to kill Shirou, no matter what, don't you?
context: he was betrayed even by the one ideal in which he believed.\What are you trying to pull, Archer?\Even if I weren't here, Shirou would have come on his own.\You should know that better than anyone.\I suppose you're right.\But it would be inconvenient to leave you there.\I see.\Then you intend to kill Shirou, no matter what, don't you? response:	Yes, that naIve boy should be put down before it's too late.
context: What are you trying to pull, Archer?\Even if I weren't here, Shirou would have come on his own.\You should know that better than anyone.\I suppose you're right.\But it would be inconvenient to leave you there.\I see.\Then you intend to kill Shirou, no matter what, don't you?\Yes, that naIve boy should be put down before it's too late. response:	I don't need you to tell me that Shirou is naIve.
context: Even if I weren't here, Shirou would have come on his own.\You should know that better than anyone.\I suppose you're right.\But it would be inconvenient to leave you there.\I see.\Then you intend to kill Shirou, no matter what, don't you?\Yes, that naIve boy should be put down before it's too late.\I don't need you to tell me that Shirou is naIve. response:	Even so, I think his naIvete is sweet.
context: You should know that better than anyone.\I suppose you're right.\But it would be inconvenient to leave you there.\I see.\Then you intend to kill Shirou, no matter what, don't you?\Yes, that naIve boy should be put down before it's too late.\I don't need you to tell me that Shirou is naIve.\Even so, I think his naIvete is sweet. response:	He ought to stay that way.
context: I suppose you're right.\But it would be inconvenient to leave you there.\I see.\Then you intend to kill Shirou, no matter what, don't you?\Yes, that naIve boy should be put down before it's too late.\I don't need you to tell me that Shirou is naIve.\Even so, I think his naIvete is sweet.\He ought to stay that way. response:	It's good to have a person like that around.
context: But it would be inconvenient to leave you there.\I see.\Then you intend to kill Shirou, no matter what, don't you?\Yes, that naIve boy should be put down before it's too late.\I don't need you to tell me that Shirou is naIve.\Even so, I think his naIvete is sweet.\He ought to stay that way.\It's good to have a person like that around. response:	But what about you?
context: I see.\Then you intend to kill Shirou, no matter what, don't you?\Yes, that naIve boy should be put down before it's too late.\I don't need you to tell me that Shirou is naIve.\Even so, I think his naIvete is sweet.\He ought to stay that way.\It's good to have a person like that around.\But what about you? response:	After all you've done,
context: Then you intend to kill Shirou, no matter what, don't you?\Yes, that naIve boy should be put down before it's too late.\I don't need you to tell me that Shirou is naIve.\Even so, I think his naIvete is sweet.\He ought to stay that way.\It's good to have a person like that around.\But what about you?\After all you've done, response:	have you decided that waving self-centered idealism in people's faces is wrong?
context: Yes, that naIve boy should be put down before it's too late.\I don't need you to tell me that Shirou is naIve.\Even so, I think his naIvete is sweet.\He ought to stay that way.\It's good to have a person like that around.\But what about you?\After all you've done,\have you decided that waving self-centered idealism in people's faces is wrong? response:	Time and time again, you fought for others,
context: I don't need you to tell me that Shirou is naIve.\Even so, I think his naIvete is sweet.\He ought to stay that way.\It's good to have a person like that around.\But what about you?\After all you've done,\have you decided that waving self-centered idealism in people's faces is wrong?\Time and time again, you fought for others, response:	and time and time again, you were betrayed.
context: Even so, I think his naIvete is sweet.\He ought to stay that way.\It's good to have a person like that around.\But what about you?\After all you've done,\have you decided that waving self-centered idealism in people's faces is wrong?\Time and time again, you fought for others,\and time and time again, you were betrayed. response:	Time and time again, you were forced to clean up other people's messes.
context: He ought to stay that way.\It's good to have a person like that around.\But what about you?\After all you've done,\have you decided that waving self-centered idealism in people's faces is wrong?\Time and time again, you fought for others,\and time and time again, you were betrayed.\Time and time again, you were forced to clean up other people's messes. response:	Is that...
context: It's good to have a person like that around.\But what about you?\After all you've done,\have you decided that waving self-centered idealism in people's faces is wrong?\Time and time again, you fought for others,\and time and time again, you were betrayed.\Time and time again, you were forced to clean up other people's messes.\Is that... response:	Are you saying that's why you got fed up with humanity,
context: But what about you?\After all you've done,\have you decided that waving self-centered idealism in people's faces is wrong?\Time and time again, you fought for others,\and time and time again, you were betrayed.\Time and time again, you were forced to clean up other people's messes.\Is that...\Are you saying that's why you got fed up with humanity, response:	Archer?
context: After all you've done,\have you decided that waving self-centered idealism in people's faces is wrong?\Time and time again, you fought for others,\and time and time again, you were betrayed.\Time and time again, you were forced to clean up other people's messes.\Is that...\Are you saying that's why you got fed up with humanity,\Archer? response:	My body is made of swords.
