context: The Town Along the River (continued) response:	It still hasn't come.
context: Kyaaa!\Did you run? Did you just try to run?\You know what that is? That's called a spiritual defeat!\His name is Issa Matsumoto.\Rank C-2, 26 years old, 5th dan.\His playing style is aggressive.\In fact, all he does is attack.\He charges at his opponent like a wild boar or a ball of fire. response:	SHOGI HALL
context: Did you run? Did you just try to run?\You know what that is? That's called a spiritual defeat!\His name is Issa Matsumoto.\Rank C-2, 26 years old, 5th dan.\His playing style is aggressive.\In fact, all he does is attack.\He charges at his opponent like a wild boar or a ball of fire.\SHOGI HALL response:	U-Um...
context: You know what that is? That's called a spiritual defeat!\His name is Issa Matsumoto.\Rank C-2, 26 years old, 5th dan.\His playing style is aggressive.\In fact, all he does is attack.\He charges at his opponent like a wild boar or a ball of fire.\SHOGI HALL\U-Um... response:	I-I can't see.
context: His name is Issa Matsumoto.\Rank C-2, 26 years old, 5th dan.\His playing style is aggressive.\In fact, all he does is attack.\He charges at his opponent like a wild boar or a ball of fire.\SHOGI HALL\U-Um...\I-I can't see. response:	Wh-What? S-Scary.
context: Rank C-2, 26 years old, 5th dan.\His playing style is aggressive.\In fact, all he does is attack.\He charges at his opponent like a wild boar or a ball of fire.\SHOGI HALL\U-Um...\I-I can't see.\Wh-What? S-Scary. response:	I see it!
context: His playing style is aggressive.\In fact, all he does is attack.\He charges at his opponent like a wild boar or a ball of fire.\SHOGI HALL\U-Um...\I-I can't see.\Wh-What? S-Scary.\I see it! response:	Hey. Knock it off, Issa.
context: In fact, all he does is attack.\He charges at his opponent like a wild boar or a ball of fire.\SHOGI HALL\U-Um...\I-I can't see.\Wh-What? S-Scary.\I see it!\Hey. Knock it off, Issa. response:	You'll scare me.
context: He charges at his opponent like a wild boar or a ball of fire.\SHOGI HALL\U-Um...\I-I can't see.\Wh-What? S-Scary.\I see it!\Hey. Knock it off, Issa.\You'll scare me. response:	TAHAAA
context: SHOGI HALL\U-Um...\I-I can't see.\Wh-What? S-Scary.\I see it!\Hey. Knock it off, Issa.\You'll scare me.\TAHAAA response:	Oh sorry, Smith! I can't help but get carried away.
context: U-Um...\I-I can't see.\Wh-What? S-Scary.\I see it!\Hey. Knock it off, Issa.\You'll scare me.\TAHAAA\Oh sorry, Smith! I can't help but get carried away. response:	SPIN SPIN
context: I-I can't see.\Wh-What? S-Scary.\I see it!\Hey. Knock it off, Issa.\You'll scare me.\TAHAAA\Oh sorry, Smith! I can't help but get carried away.\SPIN SPIN response:	TWITCH TWITCH
context: Wh-What? S-Scary.\I see it!\Hey. Knock it off, Issa.\You'll scare me.\TAHAAA\Oh sorry, Smith! I can't help but get carried away.\SPIN SPIN\TWITCH TWITCH response:	I envy how you wear your heart on your sleeve.
context: I see it!\Hey. Knock it off, Issa.\You'll scare me.\TAHAAA\Oh sorry, Smith! I can't help but get carried away.\SPIN SPIN\TWITCH TWITCH\I envy how you wear your heart on your sleeve. response:	But still, cut it out.
context: Hey. Knock it off, Issa.\You'll scare me.\TAHAAA\Oh sorry, Smith! I can't help but get carried away.\SPIN SPIN\TWITCH TWITCH\I envy how you wear your heart on your sleeve.\But still, cut it out. response:	You'll scare me so much that all the pieces in my head could scatter.
context: You'll scare me.\TAHAAA\Oh sorry, Smith! I can't help but get carried away.\SPIN SPIN\TWITCH TWITCH\I envy how you wear your heart on your sleeve.\But still, cut it out.\You'll scare me so much that all the pieces in my head could scatter. response:	This is Smith.
context: TAHAAA\Oh sorry, Smith! I can't help but get carried away.\SPIN SPIN\TWITCH TWITCH\I envy how you wear your heart on your sleeve.\But still, cut it out.\You'll scare me so much that all the pieces in my head could scatter.\This is Smith. response:	Rank B-2, 6th dan.
context: Oh sorry, Smith! I can't help but get carried away.\SPIN SPIN\TWITCH TWITCH\I envy how you wear your heart on your sleeve.\But still, cut it out.\You'll scare me so much that all the pieces in my head could scatter.\This is Smith.\Rank B-2, 6th dan. response:	180 cm Kendo Club (almost never attends)
context: SPIN SPIN\TWITCH TWITCH\I envy how you wear your heart on your sleeve.\But still, cut it out.\You'll scare me so much that all the pieces in my head could scatter.\This is Smith.\Rank B-2, 6th dan.\180 cm Kendo Club (almost never attends) response:	181 cm Volleyball Club (never attends)
context: TWITCH TWITCH\I envy how you wear your heart on your sleeve.\But still, cut it out.\You'll scare me so much that all the pieces in my head could scatter.\This is Smith.\Rank B-2, 6th dan.\180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends) response:	It seems they get along well because they're both tall.
context: I envy how you wear your heart on your sleeve.\But still, cut it out.\You'll scare me so much that all the pieces in my head could scatter.\This is Smith.\Rank B-2, 6th dan.\180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall. response:	Well? How's that, Kiriyama?
context: But still, cut it out.\You'll scare me so much that all the pieces in my head could scatter.\This is Smith.\Rank B-2, 6th dan.\180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall.\Well? How's that, Kiriyama? response:	PAWN
context: You'll scare me so much that all the pieces in my head could scatter.\This is Smith.\Rank B-2, 6th dan.\180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall.\Well? How's that, Kiriyama?\PAWN response:	You're putting it there?
context: This is Smith.\Rank B-2, 6th dan.\180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall.\Well? How's that, Kiriyama?\PAWN\You're putting it there? response:	PAWN
context: Rank B-2, 6th dan.\180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall.\Well? How's that, Kiriyama?\PAWN\You're putting it there?\PAWN response:	BISHOP
context: 180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall.\Well? How's that, Kiriyama?\PAWN\You're putting it there?\PAWN\BISHOP response:	If I take it, his horse will retreat.
context: 181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall.\Well? How's that, Kiriyama?\PAWN\You're putting it there?\PAWN\BISHOP\If I take it, his horse will retreat. response:	DRAGON HORSE
context: It seems they get along well because they're both tall.\Well? How's that, Kiriyama?\PAWN\You're putting it there?\PAWN\BISHOP\If I take it, his horse will retreat.\DRAGON HORSE response:	DRAGON KING
context: Well? How's that, Kiriyama?\PAWN\You're putting it there?\PAWN\BISHOP\If I take it, his horse will retreat.\DRAGON HORSE\DRAGON KING response:	Kiriyama 6 - f - Dragon Horse
context: PAWN\You're putting it there?\PAWN\BISHOP\If I take it, his horse will retreat.\DRAGON HORSE\DRAGON KING\Kiriyama 6 - f - Dragon Horse response:	Matsumoto 5 - g - Pawn
context: You're putting it there?\PAWN\BISHOP\If I take it, his horse will retreat.\DRAGON HORSE\DRAGON KING\Kiriyama 6 - f - Dragon Horse\Matsumoto 5 - g - Pawn response:	Kiriyama 5 - e - Knight
context: PAWN\BISHOP\If I take it, his horse will retreat.\DRAGON HORSE\DRAGON KING\Kiriyama 6 - f - Dragon Horse\Matsumoto 5 - g - Pawn\Kiriyama 5 - e - Knight response:	It's not over yet!
context: BISHOP\If I take it, his horse will retreat.\DRAGON HORSE\DRAGON KING\Kiriyama 6 - f - Dragon Horse\Matsumoto 5 - g - Pawn\Kiriyama 5 - e - Knight\It's not over yet! response:	Matsumoto 4 - h - Gold General - Retreat
context: If I take it, his horse will retreat.\DRAGON HORSE\DRAGON KING\Kiriyama 6 - f - Dragon Horse\Matsumoto 5 - g - Pawn\Kiriyama 5 - e - Knight\It's not over yet!\Matsumoto 4 - h - Gold General - Retreat response:	Kiriyama 6 - g - Knight - Promoted
context: DRAGON HORSE\DRAGON KING\Kiriyama 6 - f - Dragon Horse\Matsumoto 5 - g - Pawn\Kiriyama 5 - e - Knight\It's not over yet!\Matsumoto 4 - h - Gold General - Retreat\Kiriyama 6 - g - Knight - Promoted response:	Matsumoto 5 - h - Lance
context: DRAGON KING\Kiriyama 6 - f - Dragon Horse\Matsumoto 5 - g - Pawn\Kiriyama 5 - e - Knight\It's not over yet!\Matsumoto 4 - h - Gold General - Retreat\Kiriyama 6 - g - Knight - Promoted\Matsumoto 5 - h - Lance response:	Kiriyama 5 - i - Silver General
context: Kiriyama 6 - f - Dragon Horse\Matsumoto 5 - g - Pawn\Kiriyama 5 - e - Knight\It's not over yet!\Matsumoto 4 - h - Gold General - Retreat\Kiriyama 6 - g - Knight - Promoted\Matsumoto 5 - h - Lance\Kiriyama 5 - i - Silver General response:	I-It's not over! It's not over!
context: Matsumoto 5 - g - Pawn\Kiriyama 5 - e - Knight\It's not over yet!\Matsumoto 4 - h - Gold General - Retreat\Kiriyama 6 - g - Knight - Promoted\Matsumoto 5 - h - Lance\Kiriyama 5 - i - Silver General\I-It's not over! It's not over! response:	Not over, over, not, not over!
context: Kiriyama 5 - e - Knight\It's not over yet!\Matsumoto 4 - h - Gold General - Retreat\Kiriyama 6 - g - Knight - Promoted\Matsumoto 5 - h - Lance\Kiriyama 5 - i - Silver General\I-It's not over! It's not over!\Not over, over, not, not over! response:	Gold General
context: It's not over yet!\Matsumoto 4 - h - Gold General - Retreat\Kiriyama 6 - g - Knight - Promoted\Matsumoto 5 - h - Lance\Kiriyama 5 - i - Silver General\I-It's not over! It's not over!\Not over, over, not, not over!\Gold General response:	GLOOM
context: Matsumoto 4 - h - Gold General - Retreat\Kiriyama 6 - g - Knight - Promoted\Matsumoto 5 - h - Lance\Kiriyama 5 - i - Silver General\I-It's not over! It's not over!\Not over, over, not, not over!\Gold General\GLOOM response:	He wanted his grandpa in the countryside to see him.
context: Kiriyama 6 - g - Knight - Promoted\Matsumoto 5 - h - Lance\Kiriyama 5 - i - Silver General\I-It's not over! It's not over!\Not over, over, not, not over!\Gold General\GLOOM\He wanted his grandpa in the countryside to see him. response:	His grandpa isn't doing well, so he's in the hospital.
context: Matsumoto 5 - h - Lance\Kiriyama 5 - i - Silver General\I-It's not over! It's not over!\Not over, over, not, not over!\Gold General\GLOOM\He wanted his grandpa in the countryside to see him.\His grandpa isn't doing well, so he's in the hospital. response:	If NHK broadcasts it, you can watch from anywhere.
context: Kiriyama 5 - i - Silver General\I-It's not over! It's not over!\Not over, over, not, not over!\Gold General\GLOOM\He wanted his grandpa in the countryside to see him.\His grandpa isn't doing well, so he's in the hospital.\If NHK broadcasts it, you can watch from anywhere. response:	When Issa was a kid, his grandpa is the one who taught him how to play shogi.
context: I-It's not over! It's not over!\Not over, over, not, not over!\Gold General\GLOOM\He wanted his grandpa in the countryside to see him.\His grandpa isn't doing well, so he's in the hospital.\If NHK broadcasts it, you can watch from anywhere.\When Issa was a kid, his grandpa is the one who taught him how to play shogi. response:	Hey, cheer up, Issa.
context: Not over, over, not, not over!\Gold General\GLOOM\He wanted his grandpa in the countryside to see him.\His grandpa isn't doing well, so he's in the hospital.\If NHK broadcasts it, you can watch from anywhere.\When Issa was a kid, his grandpa is the one who taught him how to play shogi.\Hey, cheer up, Issa. response:	- Kiriyama said he'll treat us! - What?!
context: Gold General\GLOOM\He wanted his grandpa in the countryside to see him.\His grandpa isn't doing well, so he's in the hospital.\If NHK broadcasts it, you can watch from anywhere.\When Issa was a kid, his grandpa is the one who taught him how to play shogi.\Hey, cheer up, Issa.\- Kiriyama said he'll treat us! - What?! response:	Don't you wanna see Akari?
context: GLOOM\He wanted his grandpa in the countryside to see him.\His grandpa isn't doing well, so he's in the hospital.\If NHK broadcasts it, you can watch from anywhere.\When Issa was a kid, his grandpa is the one who taught him how to play shogi.\Hey, cheer up, Issa.\- Kiriyama said he'll treat us! - What?!\Don't you wanna see Akari? response:	Akari.
context: He wanted his grandpa in the countryside to see him.\His grandpa isn't doing well, so he's in the hospital.\If NHK broadcasts it, you can watch from anywhere.\When Issa was a kid, his grandpa is the one who taught him how to play shogi.\Hey, cheer up, Issa.\- Kiriyama said he'll treat us! - What?!\Don't you wanna see Akari?\Akari. response:	Parallel Displacement (5cm per second)
context: His grandpa isn't doing well, so he's in the hospital.\If NHK broadcasts it, you can watch from anywhere.\When Issa was a kid, his grandpa is the one who taught him how to play shogi.\Hey, cheer up, Issa.\- Kiriyama said he'll treat us! - What?!\Don't you wanna see Akari?\Akari.\Parallel Displacement (5cm per second) response:	Akari!
context: If NHK broadcasts it, you can watch from anywhere.\When Issa was a kid, his grandpa is the one who taught him how to play shogi.\Hey, cheer up, Issa.\- Kiriyama said he'll treat us! - What?!\Don't you wanna see Akari?\Akari.\Parallel Displacement (5cm per second)\Akari! response:	Why do I have to treat you guys?
context: When Issa was a kid, his grandpa is the one who taught him how to play shogi.\Hey, cheer up, Issa.\- Kiriyama said he'll treat us! - What?!\Don't you wanna see Akari?\Akari.\Parallel Displacement (5cm per second)\Akari!\Why do I have to treat you guys? response:	It's fine, it's fine. Besides, what's the use of a kid having all that money?
context: Hey, cheer up, Issa.\- Kiriyama said he'll treat us! - What?!\Don't you wanna see Akari?\Akari.\Parallel Displacement (5cm per second)\Akari!\Why do I have to treat you guys?\It's fine, it's fine. Besides, what's the use of a kid having all that money? response:	But I'm still a minor.
context: - Kiriyama said he'll treat us! - What?!\Don't you wanna see Akari?\Akari.\Parallel Displacement (5cm per second)\Akari!\Why do I have to treat you guys?\It's fine, it's fine. Besides, what's the use of a kid having all that money?\But I'm still a minor. response:	If you can't drink liquor, they've got juice.
context: Don't you wanna see Akari?\Akari.\Parallel Displacement (5cm per second)\Akari!\Why do I have to treat you guys?\It's fine, it's fine. Besides, what's the use of a kid having all that money?\But I'm still a minor.\If you can't drink liquor, they've got juice. response:	Fruit, too. Although it's expensive!
context: Akari.\Parallel Displacement (5cm per second)\Akari!\Why do I have to treat you guys?\It's fine, it's fine. Besides, what's the use of a kid having all that money?\But I'm still a minor.\If you can't drink liquor, they've got juice.\Fruit, too. Although it's expensive! response:	If Issa is gloomy, the Shogi Hall gets gloomy, too.
context: Parallel Displacement (5cm per second)\Akari!\Why do I have to treat you guys?\It's fine, it's fine. Besides, what's the use of a kid having all that money?\But I'm still a minor.\If you can't drink liquor, they've got juice.\Fruit, too. Although it's expensive!\If Issa is gloomy, the Shogi Hall gets gloomy, too. response:	Oh, Mr. Matsumoto and Mr. Smith. And Kiriyama.
context: Akari!\Why do I have to treat you guys?\It's fine, it's fine. Besides, what's the use of a kid having all that money?\But I'm still a minor.\If you can't drink liquor, they've got juice.\Fruit, too. Although it's expensive!\If Issa is gloomy, the Shogi Hall gets gloomy, too.\Oh, Mr. Matsumoto and Mr. Smith. And Kiriyama. response:	A-Akari! Long time no see!
context: Why do I have to treat you guys?\It's fine, it's fine. Besides, what's the use of a kid having all that money?\But I'm still a minor.\If you can't drink liquor, they've got juice.\Fruit, too. Although it's expensive!\If Issa is gloomy, the Shogi Hall gets gloomy, too.\Oh, Mr. Matsumoto and Mr. Smith. And Kiriyama.\A-Akari! Long time no see! response:	Hi there! You're as beautiful as ever.
context: It's fine, it's fine. Besides, what's the use of a kid having all that money?\But I'm still a minor.\If you can't drink liquor, they've got juice.\Fruit, too. Although it's expensive!\If Issa is gloomy, the Shogi Hall gets gloomy, too.\Oh, Mr. Matsumoto and Mr. Smith. And Kiriyama.\A-Akari! Long time no see!\Hi there! You're as beautiful as ever. response:	- Please, have a seat. - Okay!
context: But I'm still a minor.\If you can't drink liquor, they've got juice.\Fruit, too. Although it's expensive!\If Issa is gloomy, the Shogi Hall gets gloomy, too.\Oh, Mr. Matsumoto and Mr. Smith. And Kiriyama.\A-Akari! Long time no see!\Hi there! You're as beautiful as ever.\- Please, have a seat. - Okay! response:	She's a totally different person here...
context: If you can't drink liquor, they've got juice.\Fruit, too. Although it's expensive!\If Issa is gloomy, the Shogi Hall gets gloomy, too.\Oh, Mr. Matsumoto and Mr. Smith. And Kiriyama.\A-Akari! Long time no see!\Hi there! You're as beautiful as ever.\- Please, have a seat. - Okay!\She's a totally different person here... response:	Maybe it really is a different person.
context: Fruit, too. Although it's expensive!\If Issa is gloomy, the Shogi Hall gets gloomy, too.\Oh, Mr. Matsumoto and Mr. Smith. And Kiriyama.\A-Akari! Long time no see!\Hi there! You're as beautiful as ever.\- Please, have a seat. - Okay!\She's a totally different person here...\Maybe it really is a different person. response:	Here. Orange juice for you, Kiriyama.
context: If Issa is gloomy, the Shogi Hall gets gloomy, too.\Oh, Mr. Matsumoto and Mr. Smith. And Kiriyama.\A-Akari! Long time no see!\Hi there! You're as beautiful as ever.\- Please, have a seat. - Okay!\She's a totally different person here...\Maybe it really is a different person.\Here. Orange juice for you, Kiriyama. response:	Y-yes.
context: Oh, Mr. Matsumoto and Mr. Smith. And Kiriyama.\A-Akari! Long time no see!\Hi there! You're as beautiful as ever.\- Please, have a seat. - Okay!\She's a totally different person here...\Maybe it really is a different person.\Here. Orange juice for you, Kiriyama.\Y-yes. response:	Thank you for wrapping the sweets the other day.
context: A-Akari! Long time no see!\Hi there! You're as beautiful as ever.\- Please, have a seat. - Okay!\She's a totally different person here...\Maybe it really is a different person.\Here. Orange juice for you, Kiriyama.\Y-yes.\Thank you for wrapping the sweets the other day. response:	I'm sorry. She is the same person.
context: Hi there! You're as beautiful as ever.\- Please, have a seat. - Okay!\She's a totally different person here...\Maybe it really is a different person.\Here. Orange juice for you, Kiriyama.\Y-yes.\Thank you for wrapping the sweets the other day.\I'm sorry. She is the same person. response:	Women are amazing.
context: - Please, have a seat. - Okay!\She's a totally different person here...\Maybe it really is a different person.\Here. Orange juice for you, Kiriyama.\Y-yes.\Thank you for wrapping the sweets the other day.\I'm sorry. She is the same person.\Women are amazing. response:	All right! I feel much better!
context: She's a totally different person here...\Maybe it really is a different person.\Here. Orange juice for you, Kiriyama.\Y-yes.\Thank you for wrapping the sweets the other day.\I'm sorry. She is the same person.\Women are amazing.\All right! I feel much better! response:	I'm drinking a lot tonight!
context: Maybe it really is a different person.\Here. Orange juice for you, Kiriyama.\Y-yes.\Thank you for wrapping the sweets the other day.\I'm sorry. She is the same person.\Women are amazing.\All right! I feel much better!\I'm drinking a lot tonight! response:	Kiriyama! You better get your wallet ready!
context: Here. Orange juice for you, Kiriyama.\Y-yes.\Thank you for wrapping the sweets the other day.\I'm sorry. She is the same person.\Women are amazing.\All right! I feel much better!\I'm drinking a lot tonight!\Kiriyama! You better get your wallet ready! response:	You're lucky to be in the company of these fun upperclassmen today, Kiriyama.
context: Y-yes.\Thank you for wrapping the sweets the other day.\I'm sorry. She is the same person.\Women are amazing.\All right! I feel much better!\I'm drinking a lot tonight!\Kiriyama! You better get your wallet ready!\You're lucky to be in the company of these fun upperclassmen today, Kiriyama. response:	They won't force you to drink, so it's a fun and bright kind of drinking.
context: Thank you for wrapping the sweets the other day.\I'm sorry. She is the same person.\Women are amazing.\All right! I feel much better!\I'm drinking a lot tonight!\Kiriyama! You better get your wallet ready!\You're lucky to be in the company of these fun upperclassmen today, Kiriyama.\They won't force you to drink, so it's a fun and bright kind of drinking. response:	Of course, I would never force anyone to drink alcohol!
context: I'm sorry. She is the same person.\Women are amazing.\All right! I feel much better!\I'm drinking a lot tonight!\Kiriyama! You better get your wallet ready!\You're lucky to be in the company of these fun upperclassmen today, Kiriyama.\They won't force you to drink, so it's a fun and bright kind of drinking.\Of course, I would never force anyone to drink alcohol! response:	But they're sponging off me against my will.
context: Women are amazing.\All right! I feel much better!\I'm drinking a lot tonight!\Kiriyama! You better get your wallet ready!\You're lucky to be in the company of these fun upperclassmen today, Kiriyama.\They won't force you to drink, so it's a fun and bright kind of drinking.\Of course, I would never force anyone to drink alcohol!\But they're sponging off me against my will. response:	You know this is Ginza, right?
context: All right! I feel much better!\I'm drinking a lot tonight!\Kiriyama! You better get your wallet ready!\You're lucky to be in the company of these fun upperclassmen today, Kiriyama.\They won't force you to drink, so it's a fun and bright kind of drinking.\Of course, I would never force anyone to drink alcohol!\But they're sponging off me against my will.\You know this is Ginza, right? response:	There are scary upperclassmen, too.
context: I'm drinking a lot tonight!\Kiriyama! You better get your wallet ready!\You're lucky to be in the company of these fun upperclassmen today, Kiriyama.\They won't force you to drink, so it's a fun and bright kind of drinking.\Of course, I would never force anyone to drink alcohol!\But they're sponging off me against my will.\You know this is Ginza, right?\There are scary upperclassmen, too. response:	The type that would force you to drink until you black out,
context: Kiriyama! You better get your wallet ready!\You're lucky to be in the company of these fun upperclassmen today, Kiriyama.\They won't force you to drink, so it's a fun and bright kind of drinking.\Of course, I would never force anyone to drink alcohol!\But they're sponging off me against my will.\You know this is Ginza, right?\There are scary upperclassmen, too.\The type that would force you to drink until you black out, response:	and then abandon you in front of the club.
context: You're lucky to be in the company of these fun upperclassmen today, Kiriyama.\They won't force you to drink, so it's a fun and bright kind of drinking.\Of course, I would never force anyone to drink alcohol!\But they're sponging off me against my will.\You know this is Ginza, right?\There are scary upperclassmen, too.\The type that would force you to drink until you black out,\and then abandon you in front of the club. response:	Are you okay? Where are the people you were with?
context: They won't force you to drink, so it's a fun and bright kind of drinking.\Of course, I would never force anyone to drink alcohol!\But they're sponging off me against my will.\You know this is Ginza, right?\There are scary upperclassmen, too.\The type that would force you to drink until you black out,\and then abandon you in front of the club.\Are you okay? Where are the people you were with? response:	Did they leave you here?
context: Of course, I would never force anyone to drink alcohol!\But they're sponging off me against my will.\You know this is Ginza, right?\There are scary upperclassmen, too.\The type that would force you to drink until you black out,\and then abandon you in front of the club.\Are you okay? Where are the people you were with?\Did they leave you here? response:	Here, have some water.
context: But they're sponging off me against my will.\You know this is Ginza, right?\There are scary upperclassmen, too.\The type that would force you to drink until you black out,\and then abandon you in front of the club.\Are you okay? Where are the people you were with?\Did they leave you here?\Here, have some water. response:	Where do you live?
context: You know this is Ginza, right?\There are scary upperclassmen, too.\The type that would force you to drink until you black out,\and then abandon you in front of the club.\Are you okay? Where are the people you were with?\Did they leave you here?\Here, have some water.\Where do you live? response:	R-Rokugatsu block.
context: There are scary upperclassmen, too.\The type that would force you to drink until you black out,\and then abandon you in front of the club.\Are you okay? Where are the people you were with?\Did they leave you here?\Here, have some water.\Where do you live?\R-Rokugatsu block. response:	Oh, that's near my neighborhood. I live in Sangatsu block.
context: The type that would force you to drink until you black out,\and then abandon you in front of the club.\Are you okay? Where are the people you were with?\Did they leave you here?\Here, have some water.\Where do you live?\R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block. response:	Can you walk?
context: and then abandon you in front of the club.\Are you okay? Where are the people you were with?\Did they leave you here?\Here, have some water.\Where do you live?\R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk? response:	Goodness, you're just skin and bones.
context: Are you okay? Where are the people you were with?\Did they leave you here?\Here, have some water.\Where do you live?\R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk?\Goodness, you're just skin and bones. response:	Geez, you probably weigh less than me.
context: Did they leave you here?\Here, have some water.\Where do you live?\R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk?\Goodness, you're just skin and bones.\Geez, you probably weigh less than me. response:	When I woke up the next morning, I was in that living room.
context: Here, have some water.\Where do you live?\R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk?\Goodness, you're just skin and bones.\Geez, you probably weigh less than me.\When I woke up the next morning, I was in that living room. response:	GONG GONG WHIRL WHIRL
context: Where do you live?\R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk?\Goodness, you're just skin and bones.\Geez, you probably weigh less than me.\When I woke up the next morning, I was in that living room.\GONG GONG WHIRL WHIRL response:	Sis, he woke up!
context: R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk?\Goodness, you're just skin and bones.\Geez, you probably weigh less than me.\When I woke up the next morning, I was in that living room.\GONG GONG WHIRL WHIRL\Sis, he woke up! response:	He woke up!
context: Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk?\Goodness, you're just skin and bones.\Geez, you probably weigh less than me.\When I woke up the next morning, I was in that living room.\GONG GONG WHIRL WHIRL\Sis, he woke up!\He woke up! response:	U-Um... Where am I?
context: Can you walk?\Goodness, you're just skin and bones.\Geez, you probably weigh less than me.\When I woke up the next morning, I was in that living room.\GONG GONG WHIRL WHIRL\Sis, he woke up!\He woke up!\U-Um... Where am I? response:	You're awake, huh?
context: Goodness, you're just skin and bones.\Geez, you probably weigh less than me.\When I woke up the next morning, I was in that living room.\GONG GONG WHIRL WHIRL\Sis, he woke up!\He woke up!\U-Um... Where am I?\You're awake, huh? response:	Want some miso soup?
context: Geez, you probably weigh less than me.\When I woke up the next morning, I was in that living room.\GONG GONG WHIRL WHIRL\Sis, he woke up!\He woke up!\U-Um... Where am I?\You're awake, huh?\Want some miso soup? response:	It was my first time there,
context: When I woke up the next morning, I was in that living room.\GONG GONG WHIRL WHIRL\Sis, he woke up!\He woke up!\U-Um... Where am I?\You're awake, huh?\Want some miso soup?\It was my first time there, response:	but for some reason, that old house made me feel nostalgic.
context: GONG GONG WHIRL WHIRL\Sis, he woke up!\He woke up!\U-Um... Where am I?\You're awake, huh?\Want some miso soup?\It was my first time there,\but for some reason, that old house made me feel nostalgic. response:	This was my first time meeting the three sisters.
context: Sis, he woke up!\He woke up!\U-Um... Where am I?\You're awake, huh?\Want some miso soup?\It was my first time there,\but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters. response:	Akari, Hina, and Momo.
context: He woke up!\U-Um... Where am I?\You're awake, huh?\Want some miso soup?\It was my first time there,\but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters.\Akari, Hina, and Momo. response:	These would be the kind of people to go out with.
context: U-Um... Where am I?\You're awake, huh?\Want some miso soup?\It was my first time there,\but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters.\Akari, Hina, and Momo.\These would be the kind of people to go out with. response:	G-Go out with?
context: You're awake, huh?\Want some miso soup?\It was my first time there,\but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters.\Akari, Hina, and Momo.\These would be the kind of people to go out with.\G-Go out with? response:	They're kind and reliable.
context: Want some miso soup?\It was my first time there,\but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters.\Akari, Hina, and Momo.\These would be the kind of people to go out with.\G-Go out with?\They're kind and reliable. response:	Yes, of course!
context: It was my first time there,\but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters.\Akari, Hina, and Momo.\These would be the kind of people to go out with.\G-Go out with?\They're kind and reliable.\Yes, of course! response:	Kiriyama, you can depend on me for anything!
context: but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters.\Akari, Hina, and Momo.\These would be the kind of people to go out with.\G-Go out with?\They're kind and reliable.\Yes, of course!\Kiriyama, you can depend on me for anything! response:	Bullying younger classmen, sponging off of them...
context: This was my first time meeting the three sisters.\Akari, Hina, and Momo.\These would be the kind of people to go out with.\G-Go out with?\They're kind and reliable.\Yes, of course!\Kiriyama, you can depend on me for anything!\Bullying younger classmen, sponging off of them... response:	All right, drink up, Kiriyama! It's my treat!
context: Akari, Hina, and Momo.\These would be the kind of people to go out with.\G-Go out with?\They're kind and reliable.\Yes, of course!\Kiriyama, you can depend on me for anything!\Bullying younger classmen, sponging off of them...\All right, drink up, Kiriyama! It's my treat! response:	Hey, well said. That's the Issa I know!
context: These would be the kind of people to go out with.\G-Go out with?\They're kind and reliable.\Yes, of course!\Kiriyama, you can depend on me for anything!\Bullying younger classmen, sponging off of them...\All right, drink up, Kiriyama! It's my treat!\Hey, well said. That's the Issa I know! response:	Wait, why am I the one treating?
context: G-Go out with?\They're kind and reliable.\Yes, of course!\Kiriyama, you can depend on me for anything!\Bullying younger classmen, sponging off of them...\All right, drink up, Kiriyama! It's my treat!\Hey, well said. That's the Issa I know!\Wait, why am I the one treating? response:	A toast to Issa!
