context: I can't find the will to do anything. response:	It's summer.
context: Thank you.\It's a lovely name given to me by Lindel.\Hatori Chise,\you are free.\Even if you should be burdened by a curse and eventually fall, that, too, is your choice.\Therefore, I want you to thinknot for anotherbut about what you want to do.\That wand is my wand.\No matter where you are, it will light your way. response:	You can go anywhere.
context: It's a lovely name given to me by Lindel.\Hatori Chise,\you are free.\Even if you should be burdened by a curse and eventually fall, that, too, is your choice.\Therefore, I want you to thinknot for anotherbut about what you want to do.\That wand is my wand.\No matter where you are, it will light your way.\You can go anywhere. response:	Myself, Lindel, even that child of thorns...
context: Hatori Chise,\you are free.\Even if you should be burdened by a curse and eventually fall, that, too, is your choice.\Therefore, I want you to thinknot for anotherbut about what you want to do.\That wand is my wand.\No matter where you are, it will light your way.\You can go anywhere.\Myself, Lindel, even that child of thorns... response:	Everything is connected, and all will return here to set forth on a new journey.
context: you are free.\Even if you should be burdened by a curse and eventually fall, that, too, is your choice.\Therefore, I want you to thinknot for anotherbut about what you want to do.\That wand is my wand.\No matter where you are, it will light your way.\You can go anywhere.\Myself, Lindel, even that child of thorns...\Everything is connected, and all will return here to set forth on a new journey. response:	Nevin...
context: Even if you should be burdened by a curse and eventually fall, that, too, is your choice.\Therefore, I want you to thinknot for anotherbut about what you want to do.\That wand is my wand.\No matter where you are, it will light your way.\You can go anywhere.\Myself, Lindel, even that child of thorns...\Everything is connected, and all will return here to set forth on a new journey.\Nevin... response:	It's only a brief farewell.
context: Therefore, I want you to thinknot for anotherbut about what you want to do.\That wand is my wand.\No matter where you are, it will light your way.\You can go anywhere.\Myself, Lindel, even that child of thorns...\Everything is connected, and all will return here to set forth on a new journey.\Nevin...\It's only a brief farewell. response:	Oh, right, you should be quick to say what you wish to say or hear.
context: That wand is my wand.\No matter where you are, it will light your way.\You can go anywhere.\Myself, Lindel, even that child of thorns...\Everything is connected, and all will return here to set forth on a new journey.\Nevin...\It's only a brief farewell.\Oh, right, you should be quick to say what you wish to say or hear. response:	Some words ripen with age, but some also lose their color.
context: No matter where you are, it will light your way.\You can go anywhere.\Myself, Lindel, even that child of thorns...\Everything is connected, and all will return here to set forth on a new journey.\Nevin...\It's only a brief farewell.\Oh, right, you should be quick to say what you wish to say or hear.\Some words ripen with age, but some also lose their color. response:	Chise.
context: You can go anywhere.\Myself, Lindel, even that child of thorns...\Everything is connected, and all will return here to set forth on a new journey.\Nevin...\It's only a brief farewell.\Oh, right, you should be quick to say what you wish to say or hear.\Some words ripen with age, but some also lose their color.\Chise. response:	Chise.
context: Myself, Lindel, even that child of thorns...\Everything is connected, and all will return here to set forth on a new journey.\Nevin...\It's only a brief farewell.\Oh, right, you should be quick to say what you wish to say or hear.\Some words ripen with age, but some also lose their color.\Chise.\Chise. response:	You seemed out of it.
context: Everything is connected, and all will return here to set forth on a new journey.\Nevin...\It's only a brief farewell.\Oh, right, you should be quick to say what you wish to say or hear.\Some words ripen with age, but some also lose their color.\Chise.\Chise.\You seemed out of it. response:	Are you all right?
context: Nevin...\It's only a brief farewell.\Oh, right, you should be quick to say what you wish to say or hear.\Some words ripen with age, but some also lose their color.\Chise.\Chise.\You seemed out of it.\Are you all right? response:	I met with Nevin.
context: It's only a brief farewell.\Oh, right, you should be quick to say what you wish to say or hear.\Some words ripen with age, but some also lose their color.\Chise.\Chise.\You seemed out of it.\Are you all right?\I met with Nevin. response:	With Nevin?
context: Oh, right, you should be quick to say what you wish to say or hear.\Some words ripen with age, but some also lose their color.\Chise.\Chise.\You seemed out of it.\Are you all right?\I met with Nevin.\With Nevin? response:	Thank you for the wand and shelter.
context: Some words ripen with age, but some also lose their color.\Chise.\Chise.\You seemed out of it.\Are you all right?\I met with Nevin.\With Nevin?\Thank you for the wand and shelter. response:	I have to return home right away,
context: Chise.\Chise.\You seemed out of it.\Are you all right?\I met with Nevin.\With Nevin?\Thank you for the wand and shelter.\I have to return home right away, response:	so I'll be going now.
context: Chise.\You seemed out of it.\Are you all right?\I met with Nevin.\With Nevin?\Thank you for the wand and shelter.\I have to return home right away,\so I'll be going now. response:	I'd like to thank you later.
context: You seemed out of it.\Are you all right?\I met with Nevin.\With Nevin?\Thank you for the wand and shelter.\I have to return home right away,\so I'll be going now.\I'd like to thank you later. response:	I don't mind, but what's happened?
context: Are you all right?\I met with Nevin.\With Nevin?\Thank you for the wand and shelter.\I have to return home right away,\so I'll be going now.\I'd like to thank you later.\I don't mind, but what's happened? response:	There's something I want to tell Elias.
context: I met with Nevin.\With Nevin?\Thank you for the wand and shelter.\I have to return home right away,\so I'll be going now.\I'd like to thank you later.\I don't mind, but what's happened?\There's something I want to tell Elias. response:	I want to make the best of the encouragement he gave me.
context: With Nevin?\Thank you for the wand and shelter.\I have to return home right away,\so I'll be going now.\I'd like to thank you later.\I don't mind, but what's happened?\There's something I want to tell Elias.\I want to make the best of the encouragement he gave me. response:	All right.
context: Thank you for the wand and shelter.\I have to return home right away,\so I'll be going now.\I'd like to thank you later.\I don't mind, but what's happened?\There's something I want to tell Elias.\I want to make the best of the encouragement he gave me.\All right. response:	I'll call Gwee.
context: I have to return home right away,\so I'll be going now.\I'd like to thank you later.\I don't mind, but what's happened?\There's something I want to tell Elias.\I want to make the best of the encouragement he gave me.\All right.\I'll call Gwee. response:	Ruth.
context: so I'll be going now.\I'd like to thank you later.\I don't mind, but what's happened?\There's something I want to tell Elias.\I want to make the best of the encouragement he gave me.\All right.\I'll call Gwee.\Ruth. response:	Chise.
context: I'd like to thank you later.\I don't mind, but what's happened?\There's something I want to tell Elias.\I want to make the best of the encouragement he gave me.\All right.\I'll call Gwee.\Ruth.\Chise. response:	I can go anywhere.
context: I don't mind, but what's happened?\There's something I want to tell Elias.\I want to make the best of the encouragement he gave me.\All right.\I'll call Gwee.\Ruth.\Chise.\I can go anywhere. response:	Everything is connected.
context: There's something I want to tell Elias.\I want to make the best of the encouragement he gave me.\All right.\I'll call Gwee.\Ruth.\Chise.\I can go anywhere.\Everything is connected. response:	Then...
context: I want to make the best of the encouragement he gave me.\All right.\I'll call Gwee.\Ruth.\Chise.\I can go anywhere.\Everything is connected.\Then... response:	Please.
context: All right.\I'll call Gwee.\Ruth.\Chise.\I can go anywhere.\Everything is connected.\Then...\Please. response:	Connect me to him.
context: I'll call Gwee.\Ruth.\Chise.\I can go anywhere.\Everything is connected.\Then...\Please.\Connect me to him. response:	Are we going?
context: Ruth.\Chise.\I can go anywhere.\Everything is connected.\Then...\Please.\Connect me to him.\Are we going? response:	We're flying.
context: Chise.\I can go anywhere.\Everything is connected.\Then...\Please.\Connect me to him.\Are we going?\We're flying. response:	I'll help you.
context: I can go anywhere.\Everything is connected.\Then...\Please.\Connect me to him.\Are we going?\We're flying.\I'll help you. response:	I'll give you a hand.
context: Everything is connected.\Then...\Please.\Connect me to him.\Are we going?\We're flying.\I'll help you.\I'll give you a hand. response:	Let's fly there.
context: Then...\Please.\Connect me to him.\Are we going?\We're flying.\I'll help you.\I'll give you a hand.\Let's fly there. response:	The wings of flame will take us around the world.
context: Please.\Connect me to him.\Are we going?\We're flying.\I'll help you.\I'll give you a hand.\Let's fly there.\The wings of flame will take us around the world. response:	On these wings...
context: Connect me to him.\Are we going?\We're flying.\I'll help you.\I'll give you a hand.\Let's fly there.\The wings of flame will take us around the world.\On these wings... response:	Oh, dear.
context: Are we going?\We're flying.\I'll help you.\I'll give you a hand.\Let's fly there.\The wings of flame will take us around the world.\On these wings...\Oh, dear. response:	I thought she was a quiet girl, but she might actually be a wolverine.
context: We're flying.\I'll help you.\I'll give you a hand.\Let's fly there.\The wings of flame will take us around the world.\On these wings...\Oh, dear.\I thought she was a quiet girl, but she might actually be a wolverine. response:	Chise.
context: I'll help you.\I'll give you a hand.\Let's fly there.\The wings of flame will take us around the world.\On these wings...\Oh, dear.\I thought she was a quiet girl, but she might actually be a wolverine.\Chise. response:	I was supposed to come home the way you do,
context: I'll give you a hand.\Let's fly there.\The wings of flame will take us around the world.\On these wings...\Oh, dear.\I thought she was a quiet girl, but she might actually be a wolverine.\Chise.\I was supposed to come home the way you do, response:	but the fairies were...
context: Let's fly there.\The wings of flame will take us around the world.\On these wings...\Oh, dear.\I thought she was a quiet girl, but she might actually be a wolverine.\Chise.\I was supposed to come home the way you do,\but the fairies were... response:	So I got their help and used magic.
context: The wings of flame will take us around the world.\On these wings...\Oh, dear.\I thought she was a quiet girl, but she might actually be a wolverine.\Chise.\I was supposed to come home the way you do,\but the fairies were...\So I got their help and used magic. response:	See? Lindel-san finished it for me, too.
context: On these wings...\Oh, dear.\I thought she was a quiet girl, but she might actually be a wolverine.\Chise.\I was supposed to come home the way you do,\but the fairies were...\So I got their help and used magic.\See? Lindel-san finished it for me, too. response:	You sure are pretty reckless.
context: Oh, dear.\I thought she was a quiet girl, but she might actually be a wolverine.\Chise.\I was supposed to come home the way you do,\but the fairies were...\So I got their help and used magic.\See? Lindel-san finished it for me, too.\You sure are pretty reckless. response:	I'm home, Elias.
context: I thought she was a quiet girl, but she might actually be a wolverine.\Chise.\I was supposed to come home the way you do,\but the fairies were...\So I got their help and used magic.\See? Lindel-san finished it for me, too.\You sure are pretty reckless.\I'm home, Elias. response:	I thought so.
context: Chise.\I was supposed to come home the way you do,\but the fairies were...\So I got their help and used magic.\See? Lindel-san finished it for me, too.\You sure are pretty reckless.\I'm home, Elias.\I thought so. response:	Do you have any idea how far the land of dragons is?
context: I was supposed to come home the way you do,\but the fairies were...\So I got their help and used magic.\See? Lindel-san finished it for me, too.\You sure are pretty reckless.\I'm home, Elias.\I thought so.\Do you have any idea how far the land of dragons is? response:	You're an idiot to try to come by magic.
context: but the fairies were...\So I got their help and used magic.\See? Lindel-san finished it for me, too.\You sure are pretty reckless.\I'm home, Elias.\I thought so.\Do you have any idea how far the land of dragons is?\You're an idiot to try to come by magic. response:	An idiot...
context: So I got their help and used magic.\See? Lindel-san finished it for me, too.\You sure are pretty reckless.\I'm home, Elias.\I thought so.\Do you have any idea how far the land of dragons is?\You're an idiot to try to come by magic.\An idiot... response:	I thought I'd be fine, especially with the wand.
context: See? Lindel-san finished it for me, too.\You sure are pretty reckless.\I'm home, Elias.\I thought so.\Do you have any idea how far the land of dragons is?\You're an idiot to try to come by magic.\An idiot...\I thought I'd be fine, especially with the wand. response:	Just get some sleep.
context: You sure are pretty reckless.\I'm home, Elias.\I thought so.\Do you have any idea how far the land of dragons is?\You're an idiot to try to come by magic.\An idiot...\I thought I'd be fine, especially with the wand.\Just get some sleep. response:	But...
context: I'm home, Elias.\I thought so.\Do you have any idea how far the land of dragons is?\You're an idiot to try to come by magic.\An idiot...\I thought I'd be fine, especially with the wand.\Just get some sleep.\But... response:	I can't wait to tell him.
context: I thought so.\Do you have any idea how far the land of dragons is?\You're an idiot to try to come by magic.\An idiot...\I thought I'd be fine, especially with the wand.\Just get some sleep.\But...\I can't wait to tell him. response:	It's warm.
context: Do you have any idea how far the land of dragons is?\You're an idiot to try to come by magic.\An idiot...\I thought I'd be fine, especially with the wand.\Just get some sleep.\But...\I can't wait to tell him.\It's warm. response:	Mom.
context: You're an idiot to try to come by magic.\An idiot...\I thought I'd be fine, especially with the wand.\Just get some sleep.\But...\I can't wait to tell him.\It's warm.\Mom. response:	Mom.
context: An idiot...\I thought I'd be fine, especially with the wand.\Just get some sleep.\But...\I can't wait to tell him.\It's warm.\Mom.\Mom. response:	There's a scary thing.
context: I thought I'd be fine, especially with the wand.\Just get some sleep.\But...\I can't wait to tell him.\It's warm.\Mom.\Mom.\There's a scary thing. response:	You're right.
context: Just get some sleep.\But...\I can't wait to tell him.\It's warm.\Mom.\Mom.\There's a scary thing.\You're right. response:	You can't let it scare you, though.
context: But...\I can't wait to tell him.\It's warm.\Mom.\Mom.\There's a scary thing.\You're right.\You can't let it scare you, though. response:	The more scared you are, the more you'll attract.
context: I can't wait to tell him.\It's warm.\Mom.\Mom.\There's a scary thing.\You're right.\You can't let it scare you, though.\The more scared you are, the more you'll attract. response:	But I'm scared.
context: It's warm.\Mom.\Mom.\There's a scary thing.\You're right.\You can't let it scare you, though.\The more scared you are, the more you'll attract.\But I'm scared. response:	Don't worry.
context: Mom.\Mom.\There's a scary thing.\You're right.\You can't let it scare you, though.\The more scared you are, the more you'll attract.\But I'm scared.\Don't worry. response:	Dad will keep them away.
context: Mom.\There's a scary thing.\You're right.\You can't let it scare you, though.\The more scared you are, the more you'll attract.\But I'm scared.\Don't worry.\Dad will keep them away. response:	You say that, but you were scared stiff at first.
context: There's a scary thing.\You're right.\You can't let it scare you, though.\The more scared you are, the more you'll attract.\But I'm scared.\Don't worry.\Dad will keep them away.\You say that, but you were scared stiff at first. response:	Shut up!
context: You're right.\You can't let it scare you, though.\The more scared you are, the more you'll attract.\But I'm scared.\Don't worry.\Dad will keep them away.\You say that, but you were scared stiff at first.\Shut up! response:	You're a big sister now, Chise. You can handle it, right?
context: You can't let it scare you, though.\The more scared you are, the more you'll attract.\But I'm scared.\Don't worry.\Dad will keep them away.\You say that, but you were scared stiff at first.\Shut up!\You're a big sister now, Chise. You can handle it, right? response:	Yeah.
context: The more scared you are, the more you'll attract.\But I'm scared.\Don't worry.\Dad will keep them away.\You say that, but you were scared stiff at first.\Shut up!\You're a big sister now, Chise. You can handle it, right?\Yeah. response:	Good for you, Chise.
context: But I'm scared.\Don't worry.\Dad will keep them away.\You say that, but you were scared stiff at first.\Shut up!\You're a big sister now, Chise. You can handle it, right?\Yeah.\Good for you, Chise. response:	Good girl.
context: Don't worry.\Dad will keep them away.\You say that, but you were scared stiff at first.\Shut up!\You're a big sister now, Chise. You can handle it, right?\Yeah.\Good for you, Chise.\Good girl. response:	I was dreaming.
context: Dad will keep them away.\You say that, but you were scared stiff at first.\Shut up!\You're a big sister now, Chise. You can handle it, right?\Yeah.\Good for you, Chise.\Good girl.\I was dreaming. response:	Mom wasn't crying.
context: You say that, but you were scared stiff at first.\Shut up!\You're a big sister now, Chise. You can handle it, right?\Yeah.\Good for you, Chise.\Good girl.\I was dreaming.\Mom wasn't crying. response:	She wasn't even angry.
context: Shut up!\You're a big sister now, Chise. You can handle it, right?\Yeah.\Good for you, Chise.\Good girl.\I was dreaming.\Mom wasn't crying.\She wasn't even angry. response:	I forgot that had even happened.
context: You're a big sister now, Chise. You can handle it, right?\Yeah.\Good for you, Chise.\Good girl.\I was dreaming.\Mom wasn't crying.\She wasn't even angry.\I forgot that had even happened. response:	Morning, Chise.
context: Yeah.\Good for you, Chise.\Good girl.\I was dreaming.\Mom wasn't crying.\She wasn't even angry.\I forgot that had even happened.\Morning, Chise. response:	Morning, Ruth.
context: Good for you, Chise.\Good girl.\I was dreaming.\Mom wasn't crying.\She wasn't even angry.\I forgot that had even happened.\Morning, Chise.\Morning, Ruth. response:	What's going on?
context: Good girl.\I was dreaming.\Mom wasn't crying.\She wasn't even angry.\I forgot that had even happened.\Morning, Chise.\Morning, Ruth.\What's going on? response:	Oh, this is bad.
context: I was dreaming.\Mom wasn't crying.\She wasn't even angry.\I forgot that had even happened.\Morning, Chise.\Morning, Ruth.\What's going on?\Oh, this is bad. response:	They need to get lost. My urge to chase them is rising.
context: Mom wasn't crying.\She wasn't even angry.\I forgot that had even happened.\Morning, Chise.\Morning, Ruth.\What's going on?\Oh, this is bad.\They need to get lost. My urge to chase them is rising. response:	Oh.
context: She wasn't even angry.\I forgot that had even happened.\Morning, Chise.\Morning, Ruth.\What's going on?\Oh, this is bad.\They need to get lost. My urge to chase them is rising.\Oh. response:	It looks like you had a good dream.
context: I forgot that had even happened.\Morning, Chise.\Morning, Ruth.\What's going on?\Oh, this is bad.\They need to get lost. My urge to chase them is rising.\Oh.\It looks like you had a good dream. response:	Yeah.
context: Morning, Chise.\Morning, Ruth.\What's going on?\Oh, this is bad.\They need to get lost. My urge to chase them is rising.\Oh.\It looks like you had a good dream.\Yeah. response:	Stare...
context: Morning, Ruth.\What's going on?\Oh, this is bad.\They need to get lost. My urge to chase them is rising.\Oh.\It looks like you had a good dream.\Yeah.\Stare... response:	Morning, Silky.
context: What's going on?\Oh, this is bad.\They need to get lost. My urge to chase them is rising.\Oh.\It looks like you had a good dream.\Yeah.\Stare...\Morning, Silky. response:	Chise.
context: Oh, this is bad.\They need to get lost. My urge to chase them is rising.\Oh.\It looks like you had a good dream.\Yeah.\Stare...\Morning, Silky.\Chise. response:	Morning.
context: They need to get lost. My urge to chase them is rising.\Oh.\It looks like you had a good dream.\Yeah.\Stare...\Morning, Silky.\Chise.\Morning. response:	Good morning, Elias.
context: Oh.\It looks like you had a good dream.\Yeah.\Stare...\Morning, Silky.\Chise.\Morning.\Good morning, Elias. response:	Good thing you woke up in just two days.
context: It looks like you had a good dream.\Yeah.\Stare...\Morning, Silky.\Chise.\Morning.\Good morning, Elias.\Good thing you woke up in just two days. response:	What's going on?
context: Yeah.\Stare...\Morning, Silky.\Chise.\Morning.\Good morning, Elias.\Good thing you woke up in just two days.\What's going on? response:	It's shearing season.
context: Stare...\Morning, Silky.\Chise.\Morning.\Good morning, Elias.\Good thing you woke up in just two days.\What's going on?\It's shearing season. response:	It's strange.
context: Morning, Silky.\Chise.\Morning.\Good morning, Elias.\Good thing you woke up in just two days.\What's going on?\It's shearing season.\It's strange. response:	Until just recently, I could have never imagined being in such a warm place.
context: Chise.\Morning.\Good morning, Elias.\Good thing you woke up in just two days.\What's going on?\It's shearing season.\It's strange.\Until just recently, I could have never imagined being in such a warm place. response:	But...
context: Morning.\Good morning, Elias.\Good thing you woke up in just two days.\What's going on?\It's shearing season.\It's strange.\Until just recently, I could have never imagined being in such a warm place.\But... response:	Now...
context: Good morning, Elias.\Good thing you woke up in just two days.\What's going on?\It's shearing season.\It's strange.\Until just recently, I could have never imagined being in such a warm place.\But...\Now... response:	Chise.
context: Good thing you woke up in just two days.\What's going on?\It's shearing season.\It's strange.\Until just recently, I could have never imagined being in such a warm place.\But...\Now...\Chise. response:	Coming.
context: What's going on?\It's shearing season.\It's strange.\Until just recently, I could have never imagined being in such a warm place.\But...\Now...\Chise.\Coming. response:	Delicious.
context: It's shearing season.\It's strange.\Until just recently, I could have never imagined being in such a warm place.\But...\Now...\Chise.\Coming.\Delicious. response:	The girl returns to the mage, and the story begins anew.
context: It's strange.\Until just recently, I could have never imagined being in such a warm place.\But...\Now...\Chise.\Coming.\Delicious.\The girl returns to the mage, and the story begins anew. response:	What does the visitor in the moonlit night bring?
context: Until just recently, I could have never imagined being in such a warm place.\But...\Now...\Chise.\Coming.\Delicious.\The girl returns to the mage, and the story begins anew.\What does the visitor in the moonlit night bring? response:	Is the master of the house available?
