context: Takeo sometimes puts other people's feelings before his own, response:	because he just wants the other person to be happy...
context: Was he?\Are you sure you can leave her alone with him?\Well...\From: Yamato Rinko I'm going to work with Ichinose-san after my shift tonight. Wish me luck! p ( - ) q\I can't come up with anything that feels right.\Huh?\They're all great.\I know that... response:	Yeah, none of them are bad.
context: Are you sure you can leave her alone with him?\Well...\From: Yamato Rinko I'm going to work with Ichinose-san after my shift tonight. Wish me luck! p ( - ) q\I can't come up with anything that feels right.\Huh?\They're all great.\I know that...\Yeah, none of them are bad. response:	But none of them call out to me.
context: Well...\From: Yamato Rinko I'm going to work with Ichinose-san after my shift tonight. Wish me luck! p ( - ) q\I can't come up with anything that feels right.\Huh?\They're all great.\I know that...\Yeah, none of them are bad.\But none of them call out to me. response:	I don't get the same feeling I had when I met you and thought you were my muse.
context: From: Yamato Rinko I'm going to work with Ichinose-san after my shift tonight. Wish me luck! p ( - ) q\I can't come up with anything that feels right.\Huh?\They're all great.\I know that...\Yeah, none of them are bad.\But none of them call out to me.\I don't get the same feeling I had when I met you and thought you were my muse. response:	I don't feel like I've met the one...
context: I can't come up with anything that feels right.\Huh?\They're all great.\I know that...\Yeah, none of them are bad.\But none of them call out to me.\I don't get the same feeling I had when I met you and thought you were my muse.\I don't feel like I've met the one... response:	Let's keep trying!
context: Huh?\They're all great.\I know that...\Yeah, none of them are bad.\But none of them call out to me.\I don't get the same feeling I had when I met you and thought you were my muse.\I don't feel like I've met the one...\Let's keep trying! response:	I'll try hard, too!
context: They're all great.\I know that...\Yeah, none of them are bad.\But none of them call out to me.\I don't get the same feeling I had when I met you and thought you were my muse.\I don't feel like I've met the one...\Let's keep trying!\I'll try hard, too! response:	I think I understand what you mean by that feeling!
context: I know that...\Yeah, none of them are bad.\But none of them call out to me.\I don't get the same feeling I had when I met you and thought you were my muse.\I don't feel like I've met the one...\Let's keep trying!\I'll try hard, too!\I think I understand what you mean by that feeling! response:	Did Rinko feel that, too?
context: Yeah, none of them are bad.\But none of them call out to me.\I don't get the same feeling I had when I met you and thought you were my muse.\I don't feel like I've met the one...\Let's keep trying!\I'll try hard, too!\I think I understand what you mean by that feeling!\Did Rinko feel that, too? response:	A presence...
context: But none of them call out to me.\I don't get the same feeling I had when I met you and thought you were my muse.\I don't feel like I've met the one...\Let's keep trying!\I'll try hard, too!\I think I understand what you mean by that feeling!\Did Rinko feel that, too?\A presence... response:	Rinko, can you pipe out those meringues for me?
context: I don't get the same feeling I had when I met you and thought you were my muse.\I don't feel like I've met the one...\Let's keep trying!\I'll try hard, too!\I think I understand what you mean by that feeling!\Did Rinko feel that, too?\A presence...\Rinko, can you pipe out those meringues for me? response:	Huh?
context: I don't feel like I've met the one...\Let's keep trying!\I'll try hard, too!\I think I understand what you mean by that feeling!\Did Rinko feel that, too?\A presence...\Rinko, can you pipe out those meringues for me?\Huh? response:	Sorry to make you come along.
context: Let's keep trying!\I'll try hard, too!\I think I understand what you mean by that feeling!\Did Rinko feel that, too?\A presence...\Rinko, can you pipe out those meringues for me?\Huh?\Sorry to make you come along. response:	I don't mind.
context: I'll try hard, too!\I think I understand what you mean by that feeling!\Did Rinko feel that, too?\A presence...\Rinko, can you pipe out those meringues for me?\Huh?\Sorry to make you come along.\I don't mind. response:	If I weren't here, you'd get arrested.
context: I think I understand what you mean by that feeling!\Did Rinko feel that, too?\A presence...\Rinko, can you pipe out those meringues for me?\Huh?\Sorry to make you come along.\I don't mind.\If I weren't here, you'd get arrested. response:	What are you up to?
context: Did Rinko feel that, too?\A presence...\Rinko, can you pipe out those meringues for me?\Huh?\Sorry to make you come along.\I don't mind.\If I weren't here, you'd get arrested.\What are you up to? response:	Did you come to interfere with Rinko and me?
context: A presence...\Rinko, can you pipe out those meringues for me?\Huh?\Sorry to make you come along.\I don't mind.\If I weren't here, you'd get arrested.\What are you up to?\Did you come to interfere with Rinko and me? response:	So lame!!
context: Rinko, can you pipe out those meringues for me?\Huh?\Sorry to make you come along.\I don't mind.\If I weren't here, you'd get arrested.\What are you up to?\Did you come to interfere with Rinko and me?\So lame!! response:	No!
context: Huh?\Sorry to make you come along.\I don't mind.\If I weren't here, you'd get arrested.\What are you up to?\Did you come to interfere with Rinko and me?\So lame!!\No! response:	I thought you'd try to pull something while the two of you were alone.
context: Sorry to make you come along.\I don't mind.\If I weren't here, you'd get arrested.\What are you up to?\Did you come to interfere with Rinko and me?\So lame!!\No!\I thought you'd try to pull something while the two of you were alone. response:	That's ridiculous!
context: I don't mind.\If I weren't here, you'd get arrested.\What are you up to?\Did you come to interfere with Rinko and me?\So lame!!\No!\I thought you'd try to pull something while the two of you were alone.\That's ridiculous! response:	Why would I spring something before we feel the same way about each other?
context: If I weren't here, you'd get arrested.\What are you up to?\Did you come to interfere with Rinko and me?\So lame!!\No!\I thought you'd try to pull something while the two of you were alone.\That's ridiculous!\Why would I spring something before we feel the same way about each other? response:	Really?
context: What are you up to?\Did you come to interfere with Rinko and me?\So lame!!\No!\I thought you'd try to pull something while the two of you were alone.\That's ridiculous!\Why would I spring something before we feel the same way about each other?\Really? response:	Go home!
context: Did you come to interfere with Rinko and me?\So lame!!\No!\I thought you'd try to pull something while the two of you were alone.\That's ridiculous!\Why would I spring something before we feel the same way about each other?\Really?\Go home! response:	Right now, I want to focus on the competition!
context: So lame!!\No!\I thought you'd try to pull something while the two of you were alone.\That's ridiculous!\Why would I spring something before we feel the same way about each other?\Really?\Go home!\Right now, I want to focus on the competition! response:	Was it the Japan Snack Competition?
context: No!\I thought you'd try to pull something while the two of you were alone.\That's ridiculous!\Why would I spring something before we feel the same way about each other?\Really?\Go home!\Right now, I want to focus on the competition!\Was it the Japan Snack Competition? response:	The C'est Nouveau Patissier Competition!
context: I thought you'd try to pull something while the two of you were alone.\That's ridiculous!\Why would I spring something before we feel the same way about each other?\Really?\Go home!\Right now, I want to focus on the competition!\Was it the Japan Snack Competition?\The C'est Nouveau Patissier Competition! response:	So you won't do anything?
context: That's ridiculous!\Why would I spring something before we feel the same way about each other?\Really?\Go home!\Right now, I want to focus on the competition!\Was it the Japan Snack Competition?\The C'est Nouveau Patissier Competition!\So you won't do anything? response:	Well, I'm sure we basically feel the same way for each other anyway.
context: Why would I spring something before we feel the same way about each other?\Really?\Go home!\Right now, I want to focus on the competition!\Was it the Japan Snack Competition?\The C'est Nouveau Patissier Competition!\So you won't do anything?\Well, I'm sure we basically feel the same way for each other anyway. response:	Of course not.
context: Really?\Go home!\Right now, I want to focus on the competition!\Was it the Japan Snack Competition?\The C'est Nouveau Patissier Competition!\So you won't do anything?\Well, I'm sure we basically feel the same way for each other anyway.\Of course not. response:	I'll take the proper steps.
context: Go home!\Right now, I want to focus on the competition!\Was it the Japan Snack Competition?\The C'est Nouveau Patissier Competition!\So you won't do anything?\Well, I'm sure we basically feel the same way for each other anyway.\Of course not.\I'll take the proper steps. response:	No, you won't! I kind of guessed what you were thinking!!
context: Right now, I want to focus on the competition!\Was it the Japan Snack Competition?\The C'est Nouveau Patissier Competition!\So you won't do anything?\Well, I'm sure we basically feel the same way for each other anyway.\Of course not.\I'll take the proper steps.\No, you won't! I kind of guessed what you were thinking!! response:	All right.
context: Was it the Japan Snack Competition?\The C'est Nouveau Patissier Competition!\So you won't do anything?\Well, I'm sure we basically feel the same way for each other anyway.\Of course not.\I'll take the proper steps.\No, you won't! I kind of guessed what you were thinking!!\All right. response:	I trust you.
context: The C'est Nouveau Patissier Competition!\So you won't do anything?\Well, I'm sure we basically feel the same way for each other anyway.\Of course not.\I'll take the proper steps.\No, you won't! I kind of guessed what you were thinking!!\All right.\I trust you. response:	I'll get the gold medal in this competition.
context: So you won't do anything?\Well, I'm sure we basically feel the same way for each other anyway.\Of course not.\I'll take the proper steps.\No, you won't! I kind of guessed what you were thinking!!\All right.\I trust you.\I'll get the gold medal in this competition. response:	I'll win it, and tell Rinko how I feel about her.
context: Well, I'm sure we basically feel the same way for each other anyway.\Of course not.\I'll take the proper steps.\No, you won't! I kind of guessed what you were thinking!!\All right.\I trust you.\I'll get the gold medal in this competition.\I'll win it, and tell Rinko how I feel about her. response:	Ever since she came, things have been looking up for me.
context: Of course not.\I'll take the proper steps.\No, you won't! I kind of guessed what you were thinking!!\All right.\I trust you.\I'll get the gold medal in this competition.\I'll win it, and tell Rinko how I feel about her.\Ever since she came, things have been looking up for me. response:	My whole world's begun to change.
context: I'll take the proper steps.\No, you won't! I kind of guessed what you were thinking!!\All right.\I trust you.\I'll get the gold medal in this competition.\I'll win it, and tell Rinko how I feel about her.\Ever since she came, things have been looking up for me.\My whole world's begun to change. response:	I don't expect you to understand,
context: No, you won't! I kind of guessed what you were thinking!!\All right.\I trust you.\I'll get the gold medal in this competition.\I'll win it, and tell Rinko how I feel about her.\Ever since she came, things have been looking up for me.\My whole world's begun to change.\I don't expect you to understand, response:	but Rinko is destined to be my muse.
context: All right.\I trust you.\I'll get the gold medal in this competition.\I'll win it, and tell Rinko how I feel about her.\Ever since she came, things have been looking up for me.\My whole world's begun to change.\I don't expect you to understand,\but Rinko is destined to be my muse. response:	When I open my own store in the future,
context: I trust you.\I'll get the gold medal in this competition.\I'll win it, and tell Rinko how I feel about her.\Ever since she came, things have been looking up for me.\My whole world's begun to change.\I don't expect you to understand,\but Rinko is destined to be my muse.\When I open my own store in the future, response:	I want her to be there, as my muse.
context: I'll get the gold medal in this competition.\I'll win it, and tell Rinko how I feel about her.\Ever since she came, things have been looking up for me.\My whole world's begun to change.\I don't expect you to understand,\but Rinko is destined to be my muse.\When I open my own store in the future,\I want her to be there, as my muse. response:	That's a grand vision you've got.
context: I'll win it, and tell Rinko how I feel about her.\Ever since she came, things have been looking up for me.\My whole world's begun to change.\I don't expect you to understand,\but Rinko is destined to be my muse.\When I open my own store in the future,\I want her to be there, as my muse.\That's a grand vision you've got. response:	I'll prove it to you by winning the gold medal.
context: Ever since she came, things have been looking up for me.\My whole world's begun to change.\I don't expect you to understand,\but Rinko is destined to be my muse.\When I open my own store in the future,\I want her to be there, as my muse.\That's a grand vision you've got.\I'll prove it to you by winning the gold medal. response:	The day of the competition
context: My whole world's begun to change.\I don't expect you to understand,\but Rinko is destined to be my muse.\When I open my own store in the future,\I want her to be there, as my muse.\That's a grand vision you've got.\I'll prove it to you by winning the gold medal.\The day of the competition response:	I won't let you have Rinko.
context: I don't expect you to understand,\but Rinko is destined to be my muse.\When I open my own store in the future,\I want her to be there, as my muse.\That's a grand vision you've got.\I'll prove it to you by winning the gold medal.\The day of the competition\I won't let you have Rinko. response:	is the last day you'll be her boyfriend.
context: but Rinko is destined to be my muse.\When I open my own store in the future,\I want her to be there, as my muse.\That's a grand vision you've got.\I'll prove it to you by winning the gold medal.\The day of the competition\I won't let you have Rinko.\is the last day you'll be her boyfriend. response:	Good luck at the competition.
context: When I open my own store in the future,\I want her to be there, as my muse.\That's a grand vision you've got.\I'll prove it to you by winning the gold medal.\The day of the competition\I won't let you have Rinko.\is the last day you'll be her boyfriend.\Good luck at the competition. response:	Hmph, acting tough, I see.
context: I want her to be there, as my muse.\That's a grand vision you've got.\I'll prove it to you by winning the gold medal.\The day of the competition\I won't let you have Rinko.\is the last day you'll be her boyfriend.\Good luck at the competition.\Hmph, acting tough, I see. response:	What was that? Wishing him luck?
context: That's a grand vision you've got.\I'll prove it to you by winning the gold medal.\The day of the competition\I won't let you have Rinko.\is the last day you'll be her boyfriend.\Good luck at the competition.\Hmph, acting tough, I see.\What was that? Wishing him luck? response:	He's been working hard every day, even on his days off.
context: I'll prove it to you by winning the gold medal.\The day of the competition\I won't let you have Rinko.\is the last day you'll be her boyfriend.\Good luck at the competition.\Hmph, acting tough, I see.\What was that? Wishing him luck?\He's been working hard every day, even on his days off. response:	His career depends on it, too.
context: The day of the competition\I won't let you have Rinko.\is the last day you'll be her boyfriend.\Good luck at the competition.\Hmph, acting tough, I see.\What was that? Wishing him luck?\He's been working hard every day, even on his days off.\His career depends on it, too. response:	I'd like him to win the gold medal.
context: I won't let you have Rinko.\is the last day you'll be her boyfriend.\Good luck at the competition.\Hmph, acting tough, I see.\What was that? Wishing him luck?\He's been working hard every day, even on his days off.\His career depends on it, too.\I'd like him to win the gold medal. response:	I have to work hard, too.
context: is the last day you'll be her boyfriend.\Good luck at the competition.\Hmph, acting tough, I see.\What was that? Wishing him luck?\He's been working hard every day, even on his days off.\His career depends on it, too.\I'd like him to win the gold medal.\I have to work hard, too. response:	On what? Winning a gold medal?
context: Good luck at the competition.\Hmph, acting tough, I see.\What was that? Wishing him luck?\He's been working hard every day, even on his days off.\His career depends on it, too.\I'd like him to win the gold medal.\I have to work hard, too.\On what? Winning a gold medal? response:	On calling her by first name and stuff.
context: Hmph, acting tough, I see.\What was that? Wishing him luck?\He's been working hard every day, even on his days off.\His career depends on it, too.\I'd like him to win the gold medal.\I have to work hard, too.\On what? Winning a gold medal?\On calling her by first name and stuff. response:	Why are you laughing?
context: What was that? Wishing him luck?\He's been working hard every day, even on his days off.\His career depends on it, too.\I'd like him to win the gold medal.\I have to work hard, too.\On what? Winning a gold medal?\On calling her by first name and stuff.\Why are you laughing? response:	Nothing, good luck.
context: He's been working hard every day, even on his days off.\His career depends on it, too.\I'd like him to win the gold medal.\I have to work hard, too.\On what? Winning a gold medal?\On calling her by first name and stuff.\Why are you laughing?\Nothing, good luck. response:	By the way, what's a muse?
context: His career depends on it, too.\I'd like him to win the gold medal.\I have to work hard, too.\On what? Winning a gold medal?\On calling her by first name and stuff.\Why are you laughing?\Nothing, good luck.\By the way, what's a muse? response:	You look like you're having fun.
context: I'd like him to win the gold medal.\I have to work hard, too.\On what? Winning a gold medal?\On calling her by first name and stuff.\Why are you laughing?\Nothing, good luck.\By the way, what's a muse?\You look like you're having fun. response:	Let me try.
context: I have to work hard, too.\On what? Winning a gold medal?\On calling her by first name and stuff.\Why are you laughing?\Nothing, good luck.\By the way, what's a muse?\You look like you're having fun.\Let me try. response:	Th-These are meringues, too?
context: On what? Winning a gold medal?\On calling her by first name and stuff.\Why are you laughing?\Nothing, good luck.\By the way, what's a muse?\You look like you're having fun.\Let me try.\Th-These are meringues, too? response:	They're so wonderful!
context: On calling her by first name and stuff.\Why are you laughing?\Nothing, good luck.\By the way, what's a muse?\You look like you're having fun.\Let me try.\Th-These are meringues, too?\They're so wonderful! response:	Rinko...
context: Why are you laughing?\Nothing, good luck.\By the way, what's a muse?\You look like you're having fun.\Let me try.\Th-These are meringues, too?\They're so wonderful!\Rinko... response:	Before I met you, I was alone.
context: Nothing, good luck.\By the way, what's a muse?\You look like you're having fun.\Let me try.\Th-These are meringues, too?\They're so wonderful!\Rinko...\Before I met you, I was alone. response:	I always felt misunderstood.
context: By the way, what's a muse?\You look like you're having fun.\Let me try.\Th-These are meringues, too?\They're so wonderful!\Rinko...\Before I met you, I was alone.\I always felt misunderstood. response:	I was obsessing about how my creations didn't sell out that one time,
context: You look like you're having fun.\Let me try.\Th-These are meringues, too?\They're so wonderful!\Rinko...\Before I met you, I was alone.\I always felt misunderstood.\I was obsessing about how my creations didn't sell out that one time, response:	and I was being stubborn.
context: Let me try.\Th-These are meringues, too?\They're so wonderful!\Rinko...\Before I met you, I was alone.\I always felt misunderstood.\I was obsessing about how my creations didn't sell out that one time,\and I was being stubborn. response:	How it feels to see a great cake and wanting to make one yourself...
context: Th-These are meringues, too?\They're so wonderful!\Rinko...\Before I met you, I was alone.\I always felt misunderstood.\I was obsessing about how my creations didn't sell out that one time,\and I was being stubborn.\How it feels to see a great cake and wanting to make one yourself... response:	How good it feels to have someone buy your cake...
context: They're so wonderful!\Rinko...\Before I met you, I was alone.\I always felt misunderstood.\I was obsessing about how my creations didn't sell out that one time,\and I was being stubborn.\How it feels to see a great cake and wanting to make one yourself...\How good it feels to have someone buy your cake... response:	You're the one who made me remember that...
context: Rinko...\Before I met you, I was alone.\I always felt misunderstood.\I was obsessing about how my creations didn't sell out that one time,\and I was being stubborn.\How it feels to see a great cake and wanting to make one yourself...\How good it feels to have someone buy your cake...\You're the one who made me remember that... response:	Remember how important that is, Rinko.
context: Before I met you, I was alone.\I always felt misunderstood.\I was obsessing about how my creations didn't sell out that one time,\and I was being stubborn.\How it feels to see a great cake and wanting to make one yourself...\How good it feels to have someone buy your cake...\You're the one who made me remember that...\Remember how important that is, Rinko. response:	You're my muse.
context: I always felt misunderstood.\I was obsessing about how my creations didn't sell out that one time,\and I was being stubborn.\How it feels to see a great cake and wanting to make one yourself...\How good it feels to have someone buy your cake...\You're the one who made me remember that...\Remember how important that is, Rinko.\You're my muse. response:	Huh? What?
context: I was obsessing about how my creations didn't sell out that one time,\and I was being stubborn.\How it feels to see a great cake and wanting to make one yourself...\How good it feels to have someone buy your cake...\You're the one who made me remember that...\Remember how important that is, Rinko.\You're my muse.\Huh? What? response:	Not at all!! I'm so not!!
context: and I was being stubborn.\How it feels to see a great cake and wanting to make one yourself...\How good it feels to have someone buy your cake...\You're the one who made me remember that...\Remember how important that is, Rinko.\You're my muse.\Huh? What?\Not at all!! I'm so not!! response:	Don't do anything to her!!
context: How it feels to see a great cake and wanting to make one yourself...\How good it feels to have someone buy your cake...\You're the one who made me remember that...\Remember how important that is, Rinko.\You're my muse.\Huh? What?\Not at all!! I'm so not!!\Don't do anything to her!! response:	Damn.
context: How good it feels to have someone buy your cake...\You're the one who made me remember that...\Remember how important that is, Rinko.\You're my muse.\Huh? What?\Not at all!! I'm so not!!\Don't do anything to her!!\Damn. response:	Takeo-kun says...
context: You're the one who made me remember that...\Remember how important that is, Rinko.\You're my muse.\Huh? What?\Not at all!! I'm so not!!\Don't do anything to her!!\Damn.\Takeo-kun says... response:	Um, he's my boyfriend, but...
context: Remember how important that is, Rinko.\You're my muse.\Huh? What?\Not at all!! I'm so not!!\Don't do anything to her!!\Damn.\Takeo-kun says...\Um, he's my boyfriend, but... response:	He says they look like they're plastic.
context: You're my muse.\Huh? What?\Not at all!! I'm so not!!\Don't do anything to her!!\Damn.\Takeo-kun says...\Um, he's my boyfriend, but...\He says they look like they're plastic. response:	Is she complaining?
context: Huh? What?\Not at all!! I'm so not!!\Don't do anything to her!!\Damn.\Takeo-kun says...\Um, he's my boyfriend, but...\He says they look like they're plastic.\Is she complaining? response:	His cookies are really assertive, too.
context: Not at all!! I'm so not!!\Don't do anything to her!!\Damn.\Takeo-kun says...\Um, he's my boyfriend, but...\He says they look like they're plastic.\Is she complaining?\His cookies are really assertive, too. response:	I bet she is.
context: Don't do anything to her!!\Damn.\Takeo-kun says...\Um, he's my boyfriend, but...\He says they look like they're plastic.\Is she complaining?\His cookies are really assertive, too.\I bet she is. response:	They were just like him.
context: Damn.\Takeo-kun says...\Um, he's my boyfriend, but...\He says they look like they're plastic.\Is she complaining?\His cookies are really assertive, too.\I bet she is.\They were just like him. response:	I want to eat them again.
context: Takeo-kun says...\Um, he's my boyfriend, but...\He says they look like they're plastic.\Is she complaining?\His cookies are really assertive, too.\I bet she is.\They were just like him.\I want to eat them again. response:	They made a big impression.
context: Um, he's my boyfriend, but...\He says they look like they're plastic.\Is she complaining?\His cookies are really assertive, too.\I bet she is.\They were just like him.\I want to eat them again.\They made a big impression. response:	I get it... They were grotesque.
context: He says they look like they're plastic.\Is she complaining?\His cookies are really assertive, too.\I bet she is.\They were just like him.\I want to eat them again.\They made a big impression.\I get it... They were grotesque. response:	That's it, Rinko!
context: Is she complaining?\His cookies are really assertive, too.\I bet she is.\They were just like him.\I want to eat them again.\They made a big impression.\I get it... They were grotesque.\That's it, Rinko! response:	Individualism! But a taste you want again and again.
context: His cookies are really assertive, too.\I bet she is.\They were just like him.\I want to eat them again.\They made a big impression.\I get it... They were grotesque.\That's it, Rinko!\Individualism! But a taste you want again and again. response:	An unforgettable impression...
context: I bet she is.\They were just like him.\I want to eat them again.\They made a big impression.\I get it... They were grotesque.\That's it, Rinko!\Individualism! But a taste you want again and again.\An unforgettable impression... response:	I think I have an idea! I think it'll work!
context: They were just like him.\I want to eat them again.\They made a big impression.\I get it... They were grotesque.\That's it, Rinko!\Individualism! But a taste you want again and again.\An unforgettable impression...\I think I have an idea! I think it'll work! response:	Yes!
context: I want to eat them again.\They made a big impression.\I get it... They were grotesque.\That's it, Rinko!\Individualism! But a taste you want again and again.\An unforgettable impression...\I think I have an idea! I think it'll work!\Yes! response:	Oh, it's getting late.
context: They made a big impression.\I get it... They were grotesque.\That's it, Rinko!\Individualism! But a taste you want again and again.\An unforgettable impression...\I think I have an idea! I think it'll work!\Yes!\Oh, it's getting late. response:	Rinko, you go on ahead.
context: I get it... They were grotesque.\That's it, Rinko!\Individualism! But a taste you want again and again.\An unforgettable impression...\I think I have an idea! I think it'll work!\Yes!\Oh, it's getting late.\Rinko, you go on ahead. response:	I'll work to make my idea into reality.
context: That's it, Rinko!\Individualism! But a taste you want again and again.\An unforgettable impression...\I think I have an idea! I think it'll work!\Yes!\Oh, it's getting late.\Rinko, you go on ahead.\I'll work to make my idea into reality. response:	Excuse me.
context: Individualism! But a taste you want again and again.\An unforgettable impression...\I think I have an idea! I think it'll work!\Yes!\Oh, it's getting late.\Rinko, you go on ahead.\I'll work to make my idea into reality.\Excuse me. response:	Rinko, once the competition's over, I want to tell you something.
context: An unforgettable impression...\I think I have an idea! I think it'll work!\Yes!\Oh, it's getting late.\Rinko, you go on ahead.\I'll work to make my idea into reality.\Excuse me.\Rinko, once the competition's over, I want to tell you something. response:	Okay, good luck.
context: I think I have an idea! I think it'll work!\Yes!\Oh, it's getting late.\Rinko, you go on ahead.\I'll work to make my idea into reality.\Excuse me.\Rinko, once the competition's over, I want to tell you something.\Okay, good luck. response:	I bet we feel the same way about each other now.
context: Yes!\Oh, it's getting late.\Rinko, you go on ahead.\I'll work to make my idea into reality.\Excuse me.\Rinko, once the competition's over, I want to tell you something.\Okay, good luck.\I bet we feel the same way about each other now. response:	It's done!
context: Oh, it's getting late.\Rinko, you go on ahead.\I'll work to make my idea into reality.\Excuse me.\Rinko, once the competition's over, I want to tell you something.\Okay, good luck.\I bet we feel the same way about each other now.\It's done! response:	Yeah.
context: Rinko, you go on ahead.\I'll work to make my idea into reality.\Excuse me.\Rinko, once the competition's over, I want to tell you something.\Okay, good luck.\I bet we feel the same way about each other now.\It's done!\Yeah. response:	It's beautiful! It's all sparkly!
context: I'll work to make my idea into reality.\Excuse me.\Rinko, once the competition's over, I want to tell you something.\Okay, good luck.\I bet we feel the same way about each other now.\It's done!\Yeah.\It's beautiful! It's all sparkly! response:	I want to try it! But it'd be such a waste.
context: Excuse me.\Rinko, once the competition's over, I want to tell you something.\Okay, good luck.\I bet we feel the same way about each other now.\It's done!\Yeah.\It's beautiful! It's all sparkly!\I want to try it! But it'd be such a waste. response:	I'll win the gold medal.
context: Rinko, once the competition's over, I want to tell you something.\Okay, good luck.\I bet we feel the same way about each other now.\It's done!\Yeah.\It's beautiful! It's all sparkly!\I want to try it! But it'd be such a waste.\I'll win the gold medal. response:	I'm sure of it.
context: Okay, good luck.\I bet we feel the same way about each other now.\It's done!\Yeah.\It's beautiful! It's all sparkly!\I want to try it! But it'd be such a waste.\I'll win the gold medal.\I'm sure of it. response:	I believe that, too.
context: I bet we feel the same way about each other now.\It's done!\Yeah.\It's beautiful! It's all sparkly!\I want to try it! But it'd be such a waste.\I'll win the gold medal.\I'm sure of it.\I believe that, too. response:	I have you as my muse, Rinko.
context: It's done!\Yeah.\It's beautiful! It's all sparkly!\I want to try it! But it'd be such a waste.\I'll win the gold medal.\I'm sure of it.\I believe that, too.\I have you as my muse, Rinko. response:	The day of the competition, you won't be able to help me.
context: Yeah.\It's beautiful! It's all sparkly!\I want to try it! But it'd be such a waste.\I'll win the gold medal.\I'm sure of it.\I believe that, too.\I have you as my muse, Rinko.\The day of the competition, you won't be able to help me. response:	But can you come to the competition?
context: It's beautiful! It's all sparkly!\I want to try it! But it'd be such a waste.\I'll win the gold medal.\I'm sure of it.\I believe that, too.\I have you as my muse, Rinko.\The day of the competition, you won't be able to help me.\But can you come to the competition? response:	Sure! I'll definitely come.
context: I want to try it! But it'd be such a waste.\I'll win the gold medal.\I'm sure of it.\I believe that, too.\I have you as my muse, Rinko.\The day of the competition, you won't be able to help me.\But can you come to the competition?\Sure! I'll definitely come. response:	Maki, you're amazing.
context: I'll win the gold medal.\I'm sure of it.\I believe that, too.\I have you as my muse, Rinko.\The day of the competition, you won't be able to help me.\But can you come to the competition?\Sure! I'll definitely come.\Maki, you're amazing. response:	This is the day of the snack competition.
context: I'm sure of it.\I believe that, too.\I have you as my muse, Rinko.\The day of the competition, you won't be able to help me.\But can you come to the competition?\Sure! I'll definitely come.\Maki, you're amazing.\This is the day of the snack competition. response:	If his words sway her, I'll...
context: I believe that, too.\I have you as my muse, Rinko.\The day of the competition, you won't be able to help me.\But can you come to the competition?\Sure! I'll definitely come.\Maki, you're amazing.\This is the day of the snack competition.\If his words sway her, I'll... response:	Take, can you get that?
context: I have you as my muse, Rinko.\The day of the competition, you won't be able to help me.\But can you come to the competition?\Sure! I'll definitely come.\Maki, you're amazing.\This is the day of the snack competition.\If his words sway her, I'll...\Take, can you get that? response:	Oh, good morning.
context: The day of the competition, you won't be able to help me.\But can you come to the competition?\Sure! I'll definitely come.\Maki, you're amazing.\This is the day of the snack competition.\If his words sway her, I'll...\Take, can you get that?\Oh, good morning. response:	Sorry, I'm here way too early.
context: But can you come to the competition?\Sure! I'll definitely come.\Maki, you're amazing.\This is the day of the snack competition.\If his words sway her, I'll...\Take, can you get that?\Oh, good morning.\Sorry, I'm here way too early. response:	Not a problem.
context: Sure! I'll definitely come.\Maki, you're amazing.\This is the day of the snack competition.\If his words sway her, I'll...\Take, can you get that?\Oh, good morning.\Sorry, I'm here way too early.\Not a problem. response:	We're all early risers.
context: Maki, you're amazing.\This is the day of the snack competition.\If his words sway her, I'll...\Take, can you get that?\Oh, good morning.\Sorry, I'm here way too early.\Not a problem.\We're all early risers. response:	I texted you, but I didn't get a response.
context: This is the day of the snack competition.\If his words sway her, I'll...\Take, can you get that?\Oh, good morning.\Sorry, I'm here way too early.\Not a problem.\We're all early risers.\I texted you, but I didn't get a response. response:	Sorry, I left my cell somewhere.
context: If his words sway her, I'll...\Take, can you get that?\Oh, good morning.\Sorry, I'm here way too early.\Not a problem.\We're all early risers.\I texted you, but I didn't get a response.\Sorry, I left my cell somewhere. response:	What's wrong?
context: Take, can you get that?\Oh, good morning.\Sorry, I'm here way too early.\Not a problem.\We're all early risers.\I texted you, but I didn't get a response.\Sorry, I left my cell somewhere.\What's wrong? response:	Ichinose-san has his competition today,
context: Oh, good morning.\Sorry, I'm here way too early.\Not a problem.\We're all early risers.\I texted you, but I didn't get a response.\Sorry, I left my cell somewhere.\What's wrong?\Ichinose-san has his competition today, response:	but he said he had something to tell me afterward.
context: Sorry, I'm here way too early.\Not a problem.\We're all early risers.\I texted you, but I didn't get a response.\Sorry, I left my cell somewhere.\What's wrong?\Ichinose-san has his competition today,\but he said he had something to tell me afterward. response:	I wonder if he's going to ask me if I want to be a full-time employee.
context: Not a problem.\We're all early risers.\I texted you, but I didn't get a response.\Sorry, I left my cell somewhere.\What's wrong?\Ichinose-san has his competition today,\but he said he had something to tell me afterward.\I wonder if he's going to ask me if I want to be a full-time employee. response:	It'd be so tempting, but I don't know what to do!
context: We're all early risers.\I texted you, but I didn't get a response.\Sorry, I left my cell somewhere.\What's wrong?\Ichinose-san has his competition today,\but he said he had something to tell me afterward.\I wonder if he's going to ask me if I want to be a full-time employee.\It'd be so tempting, but I don't know what to do! response:	I know I'm dense,
