context: Misawa Batting Center response:	The Year Draws To A Close
context: He was asking how you've been,\since you haven't dropped by.\You haven't visited in a while, huh?\W-Well, there's...\no particular reason.\Isn't that because you're in love with him?\It's only harder after Sasayan-kun said that.\Why? response:	What's that?
context: since you haven't dropped by.\You haven't visited in a while, huh?\W-Well, there's...\no particular reason.\Isn't that because you're in love with him?\It's only harder after Sasayan-kun said that.\Why?\What's that? response:	Well, if I had to guess...
context: You haven't visited in a while, huh?\W-Well, there's...\no particular reason.\Isn't that because you're in love with him?\It's only harder after Sasayan-kun said that.\Why?\What's that?\Well, if I had to guess... response:	It's because the restroom reeks of milk.
context: W-Well, there's...\no particular reason.\Isn't that because you're in love with him?\It's only harder after Sasayan-kun said that.\Why?\What's that?\Well, if I had to guess...\It's because the restroom reeks of milk. response:	That's not true. The restroom is handy and clean.
context: no particular reason.\Isn't that because you're in love with him?\It's only harder after Sasayan-kun said that.\Why?\What's that?\Well, if I had to guess...\It's because the restroom reeks of milk.\That's not true. The restroom is handy and clean. response:	There's no real reason.
context: Isn't that because you're in love with him?\It's only harder after Sasayan-kun said that.\Why?\What's that?\Well, if I had to guess...\It's because the restroom reeks of milk.\That's not true. The restroom is handy and clean.\There's no real reason. response:	Really?
context: It's only harder after Sasayan-kun said that.\Why?\What's that?\Well, if I had to guess...\It's because the restroom reeks of milk.\That's not true. The restroom is handy and clean.\There's no real reason.\Really? response:	Bye!
context: Why?\What's that?\Well, if I had to guess...\It's because the restroom reeks of milk.\That's not true. The restroom is handy and clean.\There's no real reason.\Really?\Bye! response:	I won't see them again until next year...
context: What's that?\Well, if I had to guess...\It's because the restroom reeks of milk.\That's not true. The restroom is handy and clean.\There's no real reason.\Really?\Bye!\I won't see them again until next year... response:	Christmas Eve
context: Well, if I had to guess...\It's because the restroom reeks of milk.\That's not true. The restroom is handy and clean.\There's no real reason.\Really?\Bye!\I won't see them again until next year...\Christmas Eve response:	Calendar
context: It's because the restroom reeks of milk.\That's not true. The restroom is handy and clean.\There's no real reason.\Really?\Bye!\I won't see them again until next year...\Christmas Eve\Calendar response:	Christmas Eve
context: That's not true. The restroom is handy and clean.\There's no real reason.\Really?\Bye!\I won't see them again until next year...\Christmas Eve\Calendar\Christmas Eve response:	Hello?
context: There's no real reason.\Really?\Bye!\I won't see them again until next year...\Christmas Eve\Calendar\Christmas Eve\Hello? response:	Oh, Natsume-san?
context: Really?\Bye!\I won't see them again until next year...\Christmas Eve\Calendar\Christmas Eve\Hello?\Oh, Natsume-san? response:	Sorry about calling you on New Year's Eve.
context: Bye!\I won't see them again until next year...\Christmas Eve\Calendar\Christmas Eve\Hello?\Oh, Natsume-san?\Sorry about calling you on New Year's Eve. response:	Do you know how to program a TV recording?
context: I won't see them again until next year...\Christmas Eve\Calendar\Christmas Eve\Hello?\Oh, Natsume-san?\Sorry about calling you on New Year's Eve.\Do you know how to program a TV recording? response:	My little brother asked me to record the New Year's special,
context: Christmas Eve\Calendar\Christmas Eve\Hello?\Oh, Natsume-san?\Sorry about calling you on New Year's Eve.\Do you know how to program a TV recording?\My little brother asked me to record the New Year's special, response:	but I can't find the instruction manual.
context: Calendar\Christmas Eve\Hello?\Oh, Natsume-san?\Sorry about calling you on New Year's Eve.\Do you know how to program a TV recording?\My little brother asked me to record the New Year's special,\but I can't find the instruction manual. response:	Natsume-san, can you hear me?
context: Christmas Eve\Hello?\Oh, Natsume-san?\Sorry about calling you on New Year's Eve.\Do you know how to program a TV recording?\My little brother asked me to record the New Year's special,\but I can't find the instruction manual.\Natsume-san, can you hear me? response:	Oh, you want to program a recording?
context: Hello?\Oh, Natsume-san?\Sorry about calling you on New Year's Eve.\Do you know how to program a TV recording?\My little brother asked me to record the New Year's special,\but I can't find the instruction manual.\Natsume-san, can you hear me?\Oh, you want to program a recording? response:	I can help.
context: Oh, Natsume-san?\Sorry about calling you on New Year's Eve.\Do you know how to program a TV recording?\My little brother asked me to record the New Year's special,\but I can't find the instruction manual.\Natsume-san, can you hear me?\Oh, you want to program a recording?\I can help. response:	Um, what brand is your machine?
context: Sorry about calling you on New Year's Eve.\Do you know how to program a TV recording?\My little brother asked me to record the New Year's special,\but I can't find the instruction manual.\Natsume-san, can you hear me?\Oh, you want to program a recording?\I can help.\Um, what brand is your machine? response:	Um...
context: Do you know how to program a TV recording?\My little brother asked me to record the New Year's special,\but I can't find the instruction manual.\Natsume-san, can you hear me?\Oh, you want to program a recording?\I can help.\Um, what brand is your machine?\Um... response:	Ba-Banasonic?
context: My little brother asked me to record the New Year's special,\but I can't find the instruction manual.\Natsume-san, can you hear me?\Oh, you want to program a recording?\I can help.\Um, what brand is your machine?\Um...\Ba-Banasonic? response:	Oh, okay.
context: but I can't find the instruction manual.\Natsume-san, can you hear me?\Oh, you want to program a recording?\I can help.\Um, what brand is your machine?\Um...\Ba-Banasonic?\Oh, okay. response:	Yep, that should do it.
context: Natsume-san, can you hear me?\Oh, you want to program a recording?\I can help.\Um, what brand is your machine?\Um...\Ba-Banasonic?\Oh, okay.\Yep, that should do it. response:	Got it. I'll give it a shot.
context: Oh, you want to program a recording?\I can help.\Um, what brand is your machine?\Um...\Ba-Banasonic?\Oh, okay.\Yep, that should do it.\Got it. I'll give it a shot. response:	Thank you. Bye.
context: I can help.\Um, what brand is your machine?\Um...\Ba-Banasonic?\Oh, okay.\Yep, that should do it.\Got it. I'll give it a shot.\Thank you. Bye. response:	What?
context: Um, what brand is your machine?\Um...\Ba-Banasonic?\Oh, okay.\Yep, that should do it.\Got it. I'll give it a shot.\Thank you. Bye.\What? response:	I'm...
context: Um...\Ba-Banasonic?\Oh, okay.\Yep, that should do it.\Got it. I'll give it a shot.\Thank you. Bye.\What?\I'm... response:	I'm so lonely!
context: Ba-Banasonic?\Oh, okay.\Yep, that should do it.\Got it. I'll give it a shot.\Thank you. Bye.\What?\I'm...\I'm so lonely! response:	Huh?
context: Oh, okay.\Yep, that should do it.\Got it. I'll give it a shot.\Thank you. Bye.\What?\I'm...\I'm so lonely!\Huh? response:	Why is Haru here?
context: Yep, that should do it.\Got it. I'll give it a shot.\Thank you. Bye.\What?\I'm...\I'm so lonely!\Huh?\Why is Haru here? response:	Natsume called me.
context: Got it. I'll give it a shot.\Thank you. Bye.\What?\I'm...\I'm so lonely!\Huh?\Why is Haru here?\Natsume called me. response:	Yep, need something recorded?
context: Thank you. Bye.\What?\I'm...\I'm so lonely!\Huh?\Why is Haru here?\Natsume called me.\Yep, need something recorded? response:	I got you covered.
context: What?\I'm...\I'm so lonely!\Huh?\Why is Haru here?\Natsume called me.\Yep, need something recorded?\I got you covered. response:	The Paranormal at Midnight!
context: I'm...\I'm so lonely!\Huh?\Why is Haru here?\Natsume called me.\Yep, need something recorded?\I got you covered.\The Paranormal at Midnight! response:	Lock on!
context: I'm so lonely!\Huh?\Why is Haru here?\Natsume called me.\Yep, need something recorded?\I got you covered.\The Paranormal at Midnight!\Lock on! response:	Where's your family?
context: Huh?\Why is Haru here?\Natsume called me.\Yep, need something recorded?\I got you covered.\The Paranormal at Midnight!\Lock on!\Where's your family? response:	Ooh, an excellent choice!
context: Why is Haru here?\Natsume called me.\Yep, need something recorded?\I got you covered.\The Paranormal at Midnight!\Lock on!\Where's your family?\Ooh, an excellent choice! response:	They went to my Grandma's yesterday.
context: Natsume called me.\Yep, need something recorded?\I got you covered.\The Paranormal at Midnight!\Lock on!\Where's your family?\Ooh, an excellent choice!\They went to my Grandma's yesterday. response:	He's definitely your brother.
context: Yep, need something recorded?\I got you covered.\The Paranormal at Midnight!\Lock on!\Where's your family?\Ooh, an excellent choice!\They went to my Grandma's yesterday.\He's definitely your brother. response:	Yep, this is perfect.
context: I got you covered.\The Paranormal at Midnight!\Lock on!\Where's your family?\Ooh, an excellent choice!\They went to my Grandma's yesterday.\He's definitely your brother.\Yep, this is perfect. response:	I was feeling really lonely,
context: The Paranormal at Midnight!\Lock on!\Where's your family?\Ooh, an excellent choice!\They went to my Grandma's yesterday.\He's definitely your brother.\Yep, this is perfect.\I was feeling really lonely, response:	and it only got worse when I lied online about
context: Lock on!\Where's your family?\Ooh, an excellent choice!\They went to my Grandma's yesterday.\He's definitely your brother.\Yep, this is perfect.\I was feeling really lonely,\and it only got worse when I lied online about response:	doing lots of fun stuff.
context: Where's your family?\Ooh, an excellent choice!\They went to my Grandma's yesterday.\He's definitely your brother.\Yep, this is perfect.\I was feeling really lonely,\and it only got worse when I lied online about\doing lots of fun stuff. response:	Are you really planning on staying the night?
context: Ooh, an excellent choice!\They went to my Grandma's yesterday.\He's definitely your brother.\Yep, this is perfect.\I was feeling really lonely,\and it only got worse when I lied online about\doing lots of fun stuff.\Are you really planning on staying the night? response:	Yes, I can take care of myself, so don't mind me.
context: They went to my Grandma's yesterday.\He's definitely your brother.\Yep, this is perfect.\I was feeling really lonely,\and it only got worse when I lied online about\doing lots of fun stuff.\Are you really planning on staying the night?\Yes, I can take care of myself, so don't mind me. response:	Oh, this is from my mother.
context: He's definitely your brother.\Yep, this is perfect.\I was feeling really lonely,\and it only got worse when I lied online about\doing lots of fun stuff.\Are you really planning on staying the night?\Yes, I can take care of myself, so don't mind me.\Oh, this is from my mother. response:	I don't get it.
context: Yep, this is perfect.\I was feeling really lonely,\and it only got worse when I lied online about\doing lots of fun stuff.\Are you really planning on staying the night?\Yes, I can take care of myself, so don't mind me.\Oh, this is from my mother.\I don't get it. response:	She's being really pushy for someone who's timid.
context: I was feeling really lonely,\and it only got worse when I lied online about\doing lots of fun stuff.\Are you really planning on staying the night?\Yes, I can take care of myself, so don't mind me.\Oh, this is from my mother.\I don't get it.\She's being really pushy for someone who's timid. response:	Well, at least she helped me record the show.
context: and it only got worse when I lied online about\doing lots of fun stuff.\Are you really planning on staying the night?\Yes, I can take care of myself, so don't mind me.\Oh, this is from my mother.\I don't get it.\She's being really pushy for someone who's timid.\Well, at least she helped me record the show. response:	What did you do for Christmas?
context: doing lots of fun stuff.\Are you really planning on staying the night?\Yes, I can take care of myself, so don't mind me.\Oh, this is from my mother.\I don't get it.\She's being really pushy for someone who's timid.\Well, at least she helped me record the show.\What did you do for Christmas? response:	I read books.
context: Are you really planning on staying the night?\Yes, I can take care of myself, so don't mind me.\Oh, this is from my mother.\I don't get it.\She's being really pushy for someone who's timid.\Well, at least she helped me record the show.\What did you do for Christmas?\I read books. response:	Gorillas are awesome.
context: Yes, I can take care of myself, so don't mind me.\Oh, this is from my mother.\I don't get it.\She's being really pushy for someone who's timid.\Well, at least she helped me record the show.\What did you do for Christmas?\I read books.\Gorillas are awesome. response:	Oh...
context: Oh, this is from my mother.\I don't get it.\She's being really pushy for someone who's timid.\Well, at least she helped me record the show.\What did you do for Christmas?\I read books.\Gorillas are awesome.\Oh... response:	Mind if dinner is something random?
context: I don't get it.\She's being really pushy for someone who's timid.\Well, at least she helped me record the show.\What did you do for Christmas?\I read books.\Gorillas are awesome.\Oh...\Mind if dinner is something random? response:	I don't have anything prepared.
context: She's being really pushy for someone who's timid.\Well, at least she helped me record the show.\What did you do for Christmas?\I read books.\Gorillas are awesome.\Oh...\Mind if dinner is something random?\I don't have anything prepared. response:	Don't worry about us.
context: Well, at least she helped me record the show.\What did you do for Christmas?\I read books.\Gorillas are awesome.\Oh...\Mind if dinner is something random?\I don't have anything prepared.\Don't worry about us. response:	Sure.
context: What did you do for Christmas?\I read books.\Gorillas are awesome.\Oh...\Mind if dinner is something random?\I don't have anything prepared.\Don't worry about us.\Sure. response:	This is really nice.
context: I read books.\Gorillas are awesome.\Oh...\Mind if dinner is something random?\I don't have anything prepared.\Don't worry about us.\Sure.\This is really nice. response:	Natsume.
context: Gorillas are awesome.\Oh...\Mind if dinner is something random?\I don't have anything prepared.\Don't worry about us.\Sure.\This is really nice.\Natsume. response:	There's no reason for you to be lonely.
context: Oh...\Mind if dinner is something random?\I don't have anything prepared.\Don't worry about us.\Sure.\This is really nice.\Natsume.\There's no reason for you to be lonely. response:	You can drop by whenever you want.
context: Mind if dinner is something random?\I don't have anything prepared.\Don't worry about us.\Sure.\This is really nice.\Natsume.\There's no reason for you to be lonely.\You can drop by whenever you want. response:	A hot pot?
context: I don't have anything prepared.\Don't worry about us.\Sure.\This is really nice.\Natsume.\There's no reason for you to be lonely.\You can drop by whenever you want.\A hot pot? response:	Carry that over, Haru.
context: Don't worry about us.\Sure.\This is really nice.\Natsume.\There's no reason for you to be lonely.\You can drop by whenever you want.\A hot pot?\Carry that over, Haru. response:	So did you ever see Yamaken outside of class?
context: Sure.\This is really nice.\Natsume.\There's no reason for you to be lonely.\You can drop by whenever you want.\A hot pot?\Carry that over, Haru.\So did you ever see Yamaken outside of class? response:	Huh?
context: This is really nice.\Natsume.\There's no reason for you to be lonely.\You can drop by whenever you want.\A hot pot?\Carry that over, Haru.\So did you ever see Yamaken outside of class?\Huh? response:	If they become a couple,
context: Natsume.\There's no reason for you to be lonely.\You can drop by whenever you want.\A hot pot?\Carry that over, Haru.\So did you ever see Yamaken outside of class?\Huh?\If they become a couple, response:	will I still get to spend time with them?
context: There's no reason for you to be lonely.\You can drop by whenever you want.\A hot pot?\Carry that over, Haru.\So did you ever see Yamaken outside of class?\Huh?\If they become a couple,\will I still get to spend time with them? response:	Sorry, Haru-kun.
context: You can drop by whenever you want.\A hot pot?\Carry that over, Haru.\So did you ever see Yamaken outside of class?\Huh?\If they become a couple,\will I still get to spend time with them?\Sorry, Haru-kun. response:	Huh?
context: A hot pot?\Carry that over, Haru.\So did you ever see Yamaken outside of class?\Huh?\If they become a couple,\will I still get to spend time with them?\Sorry, Haru-kun.\Huh? response:	I have to focus on...
context: Carry that over, Haru.\So did you ever see Yamaken outside of class?\Huh?\If they become a couple,\will I still get to spend time with them?\Sorry, Haru-kun.\Huh?\I have to focus on... response:	Carrot flowers!
context: So did you ever see Yamaken outside of class?\Huh?\If they become a couple,\will I still get to spend time with them?\Sorry, Haru-kun.\Huh?\I have to focus on...\Carrot flowers! response:	Not yet! I have to skim all the foam!
context: Huh?\If they become a couple,\will I still get to spend time with them?\Sorry, Haru-kun.\Huh?\I have to focus on...\Carrot flowers!\Not yet! I have to skim all the foam! response:	Oh, oops...
context: If they become a couple,\will I still get to spend time with them?\Sorry, Haru-kun.\Huh?\I have to focus on...\Carrot flowers!\Not yet! I have to skim all the foam!\Oh, oops... response:	I fell asleep.
context: will I still get to spend time with them?\Sorry, Haru-kun.\Huh?\I have to focus on...\Carrot flowers!\Not yet! I have to skim all the foam!\Oh, oops...\I fell asleep. response:	Ha-Haru! Wake up!
context: Sorry, Haru-kun.\Huh?\I have to focus on...\Carrot flowers!\Not yet! I have to skim all the foam!\Oh, oops...\I fell asleep.\Ha-Haru! Wake up! response:	It's already past one!
context: Huh?\I have to focus on...\Carrot flowers!\Not yet! I have to skim all the foam!\Oh, oops...\I fell asleep.\Ha-Haru! Wake up!\It's already past one! response:	Go home!
context: I have to focus on...\Carrot flowers!\Not yet! I have to skim all the foam!\Oh, oops...\I fell asleep.\Ha-Haru! Wake up!\It's already past one!\Go home! response:	Hey, Natsume-san?
context: Carrot flowers!\Not yet! I have to skim all the foam!\Oh, oops...\I fell asleep.\Ha-Haru! Wake up!\It's already past one!\Go home!\Hey, Natsume-san? response:	Happy New Year!
context: Not yet! I have to skim all the foam!\Oh, oops...\I fell asleep.\Ha-Haru! Wake up!\It's already past one!\Go home!\Hey, Natsume-san?\Happy New Year! response:	Huh?
context: Oh, oops...\I fell asleep.\Ha-Haru! Wake up!\It's already past one!\Go home!\Hey, Natsume-san?\Happy New Year!\Huh? response:	Er, Sasayan-kun?
context: I fell asleep.\Ha-Haru! Wake up!\It's already past one!\Go home!\Hey, Natsume-san?\Happy New Year!\Huh?\Er, Sasayan-kun? response:	Oh.
context: Ha-Haru! Wake up!\It's already past one!\Go home!\Hey, Natsume-san?\Happy New Year!\Huh?\Er, Sasayan-kun?\Oh. response:	You're with Mizutani-san and Yoshida?
context: It's already past one!\Go home!\Hey, Natsume-san?\Happy New Year!\Huh?\Er, Sasayan-kun?\Oh.\You're with Mizutani-san and Yoshida? response:	Aren't you coming down to the shrine?
context: Go home!\Hey, Natsume-san?\Happy New Year!\Huh?\Er, Sasayan-kun?\Oh.\You're with Mizutani-san and Yoshida?\Aren't you coming down to the shrine? response:	It's packed.
context: Hey, Natsume-san?\Happy New Year!\Huh?\Er, Sasayan-kun?\Oh.\You're with Mizutani-san and Yoshida?\Aren't you coming down to the shrine?\It's packed. response:	C-Crazy!
context: Happy New Year!\Huh?\Er, Sasayan-kun?\Oh.\You're with Mizutani-san and Yoshida?\Aren't you coming down to the shrine?\It's packed.\C-Crazy! response:	There's a crazy crowd!
context: Huh?\Er, Sasayan-kun?\Oh.\You're with Mizutani-san and Yoshida?\Aren't you coming down to the shrine?\It's packed.\C-Crazy!\There's a crazy crowd! response:	Now that we're here, we have to watch the sun rise together!
context: Er, Sasayan-kun?\Oh.\You're with Mizutani-san and Yoshida?\Aren't you coming down to the shrine?\It's packed.\C-Crazy!\There's a crazy crowd!\Now that we're here, we have to watch the sun rise together! response:	Aren't we breaking curfew?
context: Oh.\You're with Mizutani-san and Yoshida?\Aren't you coming down to the shrine?\It's packed.\C-Crazy!\There's a crazy crowd!\Now that we're here, we have to watch the sun rise together!\Aren't we breaking curfew? response:	It's okay!
context: You're with Mizutani-san and Yoshida?\Aren't you coming down to the shrine?\It's packed.\C-Crazy!\There's a crazy crowd!\Now that we're here, we have to watch the sun rise together!\Aren't we breaking curfew?\It's okay! response:	This is a Japanese tradition!
context: Aren't you coming down to the shrine?\It's packed.\C-Crazy!\There's a crazy crowd!\Now that we're here, we have to watch the sun rise together!\Aren't we breaking curfew?\It's okay!\This is a Japanese tradition! response:	O-Oh...
context: It's packed.\C-Crazy!\There's a crazy crowd!\Now that we're here, we have to watch the sun rise together!\Aren't we breaking curfew?\It's okay!\This is a Japanese tradition!\O-Oh... response:	Okay, Haru-kun!
context: C-Crazy!\There's a crazy crowd!\Now that we're here, we have to watch the sun rise together!\Aren't we breaking curfew?\It's okay!\This is a Japanese tradition!\O-Oh...\Okay, Haru-kun! response:	Where's Sasayan-kun?
context: There's a crazy crowd!\Now that we're here, we have to watch the sun rise together!\Aren't we breaking curfew?\It's okay!\This is a Japanese tradition!\O-Oh...\Okay, Haru-kun!\Where's Sasayan-kun? response:	Crazy!
context: Now that we're here, we have to watch the sun rise together!\Aren't we breaking curfew?\It's okay!\This is a Japanese tradition!\O-Oh...\Okay, Haru-kun!\Where's Sasayan-kun?\Crazy! response:	I can't get any reception because of all the people!
context: Aren't we breaking curfew?\It's okay!\This is a Japanese tradition!\O-Oh...\Okay, Haru-kun!\Where's Sasayan-kun?\Crazy!\I can't get any reception because of all the people! response:	Well, we'll run into him eventually.
context: It's okay!\This is a Japanese tradition!\O-Oh...\Okay, Haru-kun!\Where's Sasayan-kun?\Crazy!\I can't get any reception because of all the people!\Well, we'll run into him eventually. response:	Huh? What was that?
context: This is a Japanese tradition!\O-Oh...\Okay, Haru-kun!\Where's Sasayan-kun?\Crazy!\I can't get any reception because of all the people!\Well, we'll run into him eventually.\Huh? What was that? response:	Why don't you say that again, huh?
context: O-Oh...\Okay, Haru-kun!\Where's Sasayan-kun?\Crazy!\I can't get any reception because of all the people!\Well, we'll run into him eventually.\Huh? What was that?\Why don't you say that again, huh? response:	Stop yapping in my ear.
context: Okay, Haru-kun!\Where's Sasayan-kun?\Crazy!\I can't get any reception because of all the people!\Well, we'll run into him eventually.\Huh? What was that?\Why don't you say that again, huh?\Stop yapping in my ear. response:	I'm in a bad mood.
context: Where's Sasayan-kun?\Crazy!\I can't get any reception because of all the people!\Well, we'll run into him eventually.\Huh? What was that?\Why don't you say that again, huh?\Stop yapping in my ear.\I'm in a bad mood. response:	Get lost.
context: Crazy!\I can't get any reception because of all the people!\Well, we'll run into him eventually.\Huh? What was that?\Why don't you say that again, huh?\Stop yapping in my ear.\I'm in a bad mood.\Get lost. response:	Huh?
context: I can't get any reception because of all the people!\Well, we'll run into him eventually.\Huh? What was that?\Why don't you say that again, huh?\Stop yapping in my ear.\I'm in a bad mood.\Get lost.\Huh? response:	Uh, Yamaken?
context: Well, we'll run into him eventually.\Huh? What was that?\Why don't you say that again, huh?\Stop yapping in my ear.\I'm in a bad mood.\Get lost.\Huh?\Uh, Yamaken? response:	He told ya to get lost!
context: Huh? What was that?\Why don't you say that again, huh?\Stop yapping in my ear.\I'm in a bad mood.\Get lost.\Huh?\Uh, Yamaken?\He told ya to get lost! response:	Why are you so cocky when you suck at fighting?
context: Why don't you say that again, huh?\Stop yapping in my ear.\I'm in a bad mood.\Get lost.\Huh?\Uh, Yamaken?\He told ya to get lost!\Why are you so cocky when you suck at fighting? response:	You're the ones who keep starting fights.
context: Stop yapping in my ear.\I'm in a bad mood.\Get lost.\Huh?\Uh, Yamaken?\He told ya to get lost!\Why are you so cocky when you suck at fighting?\You're the ones who keep starting fights. response:	I don't like pain.
context: I'm in a bad mood.\Get lost.\Huh?\Uh, Yamaken?\He told ya to get lost!\Why are you so cocky when you suck at fighting?\You're the ones who keep starting fights.\I don't like pain. response:	Bring it, brats!
context: Get lost.\Huh?\Uh, Yamaken?\He told ya to get lost!\Why are you so cocky when you suck at fighting?\You're the ones who keep starting fights.\I don't like pain.\Bring it, brats! response:	Yeah, let's do this!
context: Huh?\Uh, Yamaken?\He told ya to get lost!\Why are you so cocky when you suck at fighting?\You're the ones who keep starting fights.\I don't like pain.\Bring it, brats!\Yeah, let's do this! response:	Yo!
context: Uh, Yamaken?\He told ya to get lost!\Why are you so cocky when you suck at fighting?\You're the ones who keep starting fights.\I don't like pain.\Bring it, brats!\Yeah, let's do this!\Yo! response:	Ha-Haru!
context: He told ya to get lost!\Why are you so cocky when you suck at fighting?\You're the ones who keep starting fights.\I don't like pain.\Bring it, brats!\Yeah, let's do this!\Yo!\Ha-Haru! response:	You guys are fighting again?
context: Why are you so cocky when you suck at fighting?\You're the ones who keep starting fights.\I don't like pain.\Bring it, brats!\Yeah, let's do this!\Yo!\Ha-Haru!\You guys are fighting again? response:	You shouldn't fight.
context: You're the ones who keep starting fights.\I don't like pain.\Bring it, brats!\Yeah, let's do this!\Yo!\Ha-Haru!\You guys are fighting again?\You shouldn't fight. response:	That hurt, stupid!
context: I don't like pain.\Bring it, brats!\Yeah, let's do this!\Yo!\Ha-Haru!\You guys are fighting again?\You shouldn't fight.\That hurt, stupid! response:	Why did you kick me?!
context: Bring it, brats!\Yeah, let's do this!\Yo!\Ha-Haru!\You guys are fighting again?\You shouldn't fight.\That hurt, stupid!\Why did you kick me?! response:	Who is this guy?
context: Yeah, let's do this!\Yo!\Ha-Haru!\You guys are fighting again?\You shouldn't fight.\That hurt, stupid!\Why did you kick me?!\Who is this guy? response:	Hey, brat. This ain't none of your business, so scram.
context: Yo!\Ha-Haru!\You guys are fighting again?\You shouldn't fight.\That hurt, stupid!\Why did you kick me?!\Who is this guy?\Hey, brat. This ain't none of your business, so scram. response:	Huh?
context: Ha-Haru!\You guys are fighting again?\You shouldn't fight.\That hurt, stupid!\Why did you kick me?!\Who is this guy?\Hey, brat. This ain't none of your business, so scram.\Huh? response:	Okay, Haru! These guys are bad people!
context: You guys are fighting again?\You shouldn't fight.\That hurt, stupid!\Why did you kick me?!\Who is this guy?\Hey, brat. This ain't none of your business, so scram.\Huh?\Okay, Haru! These guys are bad people! response:	Let's get'em!
context: You shouldn't fight.\That hurt, stupid!\Why did you kick me?!\Who is this guy?\Hey, brat. This ain't none of your business, so scram.\Huh?\Okay, Haru! These guys are bad people!\Let's get'em! response:	Haru's here.
context: That hurt, stupid!\Why did you kick me?!\Who is this guy?\Hey, brat. This ain't none of your business, so scram.\Huh?\Okay, Haru! These guys are bad people!\Let's get'em!\Haru's here. response:	That means...
context: Why did you kick me?!\Who is this guy?\Hey, brat. This ain't none of your business, so scram.\Huh?\Okay, Haru! These guys are bad people!\Let's get'em!\Haru's here.\That means... response:	Oh, Yamaken-kun.
context: Who is this guy?\Hey, brat. This ain't none of your business, so scram.\Huh?\Okay, Haru! These guys are bad people!\Let's get'em!\Haru's here.\That means...\Oh, Yamaken-kun. response:	Happy New Year.
context: Hey, brat. This ain't none of your business, so scram.\Huh?\Okay, Haru! These guys are bad people!\Let's get'em!\Haru's here.\That means...\Oh, Yamaken-kun.\Happy New Year. response:	I was wondering why Haru suddenly ran off.
context: Huh?\Okay, Haru! These guys are bad people!\Let's get'em!\Haru's here.\That means...\Oh, Yamaken-kun.\Happy New Year.\I was wondering why Haru suddenly ran off. response:	So that fight earlier was you guys.
context: Okay, Haru! These guys are bad people!\Let's get'em!\Haru's here.\That means...\Oh, Yamaken-kun.\Happy New Year.\I was wondering why Haru suddenly ran off.\So that fight earlier was you guys. response:	Why are you standing over here while your buddy's fighting?
context: Let's get'em!\Haru's here.\That means...\Oh, Yamaken-kun.\Happy New Year.\I was wondering why Haru suddenly ran off.\So that fight earlier was you guys.\Why are you standing over here while your buddy's fighting? response:	I could ask you the same thing.
context: Haru's here.\That means...\Oh, Yamaken-kun.\Happy New Year.\I was wondering why Haru suddenly ran off.\So that fight earlier was you guys.\Why are you standing over here while your buddy's fighting?\I could ask you the same thing. response:	Next, please!
context: That means...\Oh, Yamaken-kun.\Happy New Year.\I was wondering why Haru suddenly ran off.\So that fight earlier was you guys.\Why are you standing over here while your buddy's fighting?\I could ask you the same thing.\Next, please! response:	I'll take two.
context: Oh, Yamaken-kun.\Happy New Year.\I was wondering why Haru suddenly ran off.\So that fight earlier was you guys.\Why are you standing over here while your buddy's fighting?\I could ask you the same thing.\Next, please!\I'll take two. response:	Here you go!
context: Happy New Year.\I was wondering why Haru suddenly ran off.\So that fight earlier was you guys.\Why are you standing over here while your buddy's fighting?\I could ask you the same thing.\Next, please!\I'll take two.\Here you go! response:	Yamaken-kun, I'll pay for mine.
context: I was wondering why Haru suddenly ran off.\So that fight earlier was you guys.\Why are you standing over here while your buddy's fighting?\I could ask you the same thing.\Next, please!\I'll take two.\Here you go!\Yamaken-kun, I'll pay for mine. response:	Don't bother. I was hungry anyway.
context: So that fight earlier was you guys.\Why are you standing over here while your buddy's fighting?\I could ask you the same thing.\Next, please!\I'll take two.\Here you go!\Yamaken-kun, I'll pay for mine.\Don't bother. I was hungry anyway. response:	Okay.
context: Why are you standing over here while your buddy's fighting?\I could ask you the same thing.\Next, please!\I'll take two.\Here you go!\Yamaken-kun, I'll pay for mine.\Don't bother. I was hungry anyway.\Okay. response:	Then you shouldn't cut in line.
context: I could ask you the same thing.\Next, please!\I'll take two.\Here you go!\Yamaken-kun, I'll pay for mine.\Don't bother. I was hungry anyway.\Okay.\Then you shouldn't cut in line. response:	Mitty!
context: Next, please!\I'll take two.\Here you go!\Yamaken-kun, I'll pay for mine.\Don't bother. I was hungry anyway.\Okay.\Then you shouldn't cut in line.\Mitty! response:	Haru-kun's fighting over there!
context: I'll take two.\Here you go!\Yamaken-kun, I'll pay for mine.\Don't bother. I was hungry anyway.\Okay.\Then you shouldn't cut in line.\Mitty!\Haru-kun's fighting over there! response:	Natsume-san, were the restrooms crowded?
context: Here you go!\Yamaken-kun, I'll pay for mine.\Don't bother. I was hungry anyway.\Okay.\Then you shouldn't cut in line.\Mitty!\Haru-kun's fighting over there!\Natsume-san, were the restrooms crowded? response:	There's no time for that! You have to stop him!
context: Yamaken-kun, I'll pay for mine.\Don't bother. I was hungry anyway.\Okay.\Then you shouldn't cut in line.\Mitty!\Haru-kun's fighting over there!\Natsume-san, were the restrooms crowded?\There's no time for that! You have to stop him! response:	Damn...
