context: As I watched the ice guy, response:	I thought, I can't beat him!
context: Hey!\Stop screwing around!\Didn't I tell you that there was no point, damn it?!\To get first place like this! Like this?!\Like...\Todoroki is out of bounds!\Which means, Bakugo wins!\Katsuki Bakugo response:	And now, all of the events have been completed!
context: Stop screwing around!\Didn't I tell you that there was no point, damn it?!\To get first place like this! Like this?!\Like...\Todoroki is out of bounds!\Which means, Bakugo wins!\Katsuki Bakugo\And now, all of the events have been completed! response:	The winner of this year's first-year U.A. sports festival is...
context: Didn't I tell you that there was no point, damn it?!\To get first place like this! Like this?!\Like...\Todoroki is out of bounds!\Which means, Bakugo wins!\Katsuki Bakugo\And now, all of the events have been completed!\The winner of this year's first-year U.A. sports festival is... response:	All of the first-year events for this year's U.A. sports festival have been completed.
context: To get first place like this! Like this?!\Like...\Todoroki is out of bounds!\Which means, Bakugo wins!\Katsuki Bakugo\And now, all of the events have been completed!\The winner of this year's first-year U.A. sports festival is...\All of the first-year events for this year's U.A. sports festival have been completed. response:	And now, we will begin the award ceremony!
context: Like...\Todoroki is out of bounds!\Which means, Bakugo wins!\Katsuki Bakugo\And now, all of the events have been completed!\The winner of this year's first-year U.A. sports festival is...\All of the first-year events for this year's U.A. sports festival have been completed.\And now, we will begin the award ceremony! response:	Wow...
context: Todoroki is out of bounds!\Which means, Bakugo wins!\Katsuki Bakugo\And now, all of the events have been completed!\The winner of this year's first-year U.A. sports festival is...\All of the first-year events for this year's U.A. sports festival have been completed.\And now, we will begin the award ceremony!\Wow... response:	What the heck?
context: Which means, Bakugo wins!\Katsuki Bakugo\And now, all of the events have been completed!\The winner of this year's first-year U.A. sports festival is...\All of the first-year events for this year's U.A. sports festival have been completed.\And now, we will begin the award ceremony!\Wow...\What the heck? response:	He's been struggling ever since waking up.
context: Katsuki Bakugo\And now, all of the events have been completed!\The winner of this year's first-year U.A. sports festival is...\All of the first-year events for this year's U.A. sports festival have been completed.\And now, we will begin the award ceremony!\Wow...\What the heck?\He's been struggling ever since waking up. response:	But man...
context: And now, all of the events have been completed!\The winner of this year's first-year U.A. sports festival is...\All of the first-year events for this year's U.A. sports festival have been completed.\And now, we will begin the award ceremony!\Wow...\What the heck?\He's been struggling ever since waking up.\But man... response:	That first place is all over the place.
context: The winner of this year's first-year U.A. sports festival is...\All of the first-year events for this year's U.A. sports festival have been completed.\And now, we will begin the award ceremony!\Wow...\What the heck?\He's been struggling ever since waking up.\But man...\That first place is all over the place. response:	He is like a man-eating fiend.
context: All of the first-year events for this year's U.A. sports festival have been completed.\And now, we will begin the award ceremony!\Wow...\What the heck?\He's been struggling ever since waking up.\But man...\That first place is all over the place.\He is like a man-eating fiend. response:	In addition to Tokoyami, there is also Iida in third place,
context: And now, we will begin the award ceremony!\Wow...\What the heck?\He's been struggling ever since waking up.\But man...\That first place is all over the place.\He is like a man-eating fiend.\In addition to Tokoyami, there is also Iida in third place, response:	but he left early for family reasons. Thank you for your understanding!
context: Wow...\What the heck?\He's been struggling ever since waking up.\But man...\That first place is all over the place.\He is like a man-eating fiend.\In addition to Tokoyami, there is also Iida in third place,\but he left early for family reasons. Thank you for your understanding! response:	Was that for the media?
context: What the heck?\He's been struggling ever since waking up.\But man...\That first place is all over the place.\He is like a man-eating fiend.\In addition to Tokoyami, there is also Iida in third place,\but he left early for family reasons. Thank you for your understanding!\Was that for the media? response:	That's too bad. Iida was really into it.
context: He's been struggling ever since waking up.\But man...\That first place is all over the place.\He is like a man-eating fiend.\In addition to Tokoyami, there is also Iida in third place,\but he left early for family reasons. Thank you for your understanding!\Was that for the media?\That's too bad. Iida was really into it. response:	Yeah.
context: But man...\That first place is all over the place.\He is like a man-eating fiend.\In addition to Tokoyami, there is also Iida in third place,\but he left early for family reasons. Thank you for your understanding!\Was that for the media?\That's too bad. Iida was really into it.\Yeah. response:	Uraraka, Midoriya.
context: That first place is all over the place.\He is like a man-eating fiend.\In addition to Tokoyami, there is also Iida in third place,\but he left early for family reasons. Thank you for your understanding!\Was that for the media?\That's too bad. Iida was really into it.\Yeah.\Uraraka, Midoriya. response:	This is sudden, but I must leave early.
context: He is like a man-eating fiend.\In addition to Tokoyami, there is also Iida in third place,\but he left early for family reasons. Thank you for your understanding!\Was that for the media?\That's too bad. Iida was really into it.\Yeah.\Uraraka, Midoriya.\This is sudden, but I must leave early. response:	A villain got my older brother.
context: In addition to Tokoyami, there is also Iida in third place,\but he left early for family reasons. Thank you for your understanding!\Was that for the media?\That's too bad. Iida was really into it.\Yeah.\Uraraka, Midoriya.\This is sudden, but I must leave early.\A villain got my older brother. response:	Your brother? You mean Ingenium?!
context: but he left early for family reasons. Thank you for your understanding!\Was that for the media?\That's too bad. Iida was really into it.\Yeah.\Uraraka, Midoriya.\This is sudden, but I must leave early.\A villain got my older brother.\Your brother? You mean Ingenium?! response:	Yeah.
context: Was that for the media?\That's too bad. Iida was really into it.\Yeah.\Uraraka, Midoriya.\This is sudden, but I must leave early.\A villain got my older brother.\Your brother? You mean Ingenium?!\Yeah. response:	How's he doing?
context: That's too bad. Iida was really into it.\Yeah.\Uraraka, Midoriya.\This is sudden, but I must leave early.\A villain got my older brother.\Your brother? You mean Ingenium?!\Yeah.\How's he doing? response:	I don't know the details.
context: Yeah.\Uraraka, Midoriya.\This is sudden, but I must leave early.\A villain got my older brother.\Your brother? You mean Ingenium?!\Yeah.\How's he doing?\I don't know the details. response:	So I'm going to go visit him directly to see.
context: Uraraka, Midoriya.\This is sudden, but I must leave early.\A villain got my older brother.\Your brother? You mean Ingenium?!\Yeah.\How's he doing?\I don't know the details.\So I'm going to go visit him directly to see. response:	He is a likable hero who honors the rules and leads people.
context: This is sudden, but I must leave early.\A villain got my older brother.\Your brother? You mean Ingenium?!\Yeah.\How's he doing?\I don't know the details.\So I'm going to go visit him directly to see.\He is a likable hero who honors the rules and leads people. response:	I set my sights on being a hero because I want to be like my brother.
context: A villain got my older brother.\Your brother? You mean Ingenium?!\Yeah.\How's he doing?\I don't know the details.\So I'm going to go visit him directly to see.\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother. response:	Ingenium...
context: Your brother? You mean Ingenium?!\Yeah.\How's he doing?\I don't know the details.\So I'm going to go visit him directly to see.\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Ingenium... response:	For Iida's sake, too, I hope that you're okay.
context: Yeah.\How's he doing?\I don't know the details.\So I'm going to go visit him directly to see.\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Ingenium...\For Iida's sake, too, I hope that you're okay. response:	Now, we will award the medals!
context: How's he doing?\I don't know the details.\So I'm going to go visit him directly to see.\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Ingenium...\For Iida's sake, too, I hope that you're okay.\Now, we will award the medals! response:	The presentation of the medals will, of course, be by this man-
context: I don't know the details.\So I'm going to go visit him directly to see.\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Ingenium...\For Iida's sake, too, I hope that you're okay.\Now, we will award the medals!\The presentation of the medals will, of course, be by this man- response:	It's All Might!
context: So I'm going to go visit him directly to see.\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Ingenium...\For Iida's sake, too, I hope that you're okay.\Now, we will award the medals!\The presentation of the medals will, of course, be by this man-\It's All Might! response:	-Our very own hero, All Might! -I have brought the medals here!
context: He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Ingenium...\For Iida's sake, too, I hope that you're okay.\Now, we will award the medals!\The presentation of the medals will, of course, be by this man-\It's All Might!\-Our very own hero, All Might! -I have brought the medals here! response:	I talked over you...
context: I set my sights on being a hero because I want to be like my brother.\Ingenium...\For Iida's sake, too, I hope that you're okay.\Now, we will award the medals!\The presentation of the medals will, of course, be by this man-\It's All Might!\-Our very own hero, All Might! -I have brought the medals here!\I talked over you... response:	This year's first years are so lucky.
context: Ingenium...\For Iida's sake, too, I hope that you're okay.\Now, we will award the medals!\The presentation of the medals will, of course, be by this man-\It's All Might!\-Our very own hero, All Might! -I have brought the medals here!\I talked over you...\This year's first years are so lucky. response:	They've got the number one hero watching them!
context: For Iida's sake, too, I hope that you're okay.\Now, we will award the medals!\The presentation of the medals will, of course, be by this man-\It's All Might!\-Our very own hero, All Might! -I have brought the medals here!\I talked over you...\This year's first years are so lucky.\They've got the number one hero watching them! response:	Now then, All Might, please present the medals, starting with third place.
context: Now, we will award the medals!\The presentation of the medals will, of course, be by this man-\It's All Might!\-Our very own hero, All Might! -I have brought the medals here!\I talked over you...\This year's first years are so lucky.\They've got the number one hero watching them!\Now then, All Might, please present the medals, starting with third place. response:	Young Tokoyami, congratulations.
context: The presentation of the medals will, of course, be by this man-\It's All Might!\-Our very own hero, All Might! -I have brought the medals here!\I talked over you...\This year's first years are so lucky.\They've got the number one hero watching them!\Now then, All Might, please present the medals, starting with third place.\Young Tokoyami, congratulations. response:	You sure are strong.
context: It's All Might!\-Our very own hero, All Might! -I have brought the medals here!\I talked over you...\This year's first years are so lucky.\They've got the number one hero watching them!\Now then, All Might, please present the medals, starting with third place.\Young Tokoyami, congratulations.\You sure are strong. response:	You are too kind.
context: -Our very own hero, All Might! -I have brought the medals here!\I talked over you...\This year's first years are so lucky.\They've got the number one hero watching them!\Now then, All Might, please present the medals, starting with third place.\Young Tokoyami, congratulations.\You sure are strong.\You are too kind. response:	However, in order to fight well against different types,
context: I talked over you...\This year's first years are so lucky.\They've got the number one hero watching them!\Now then, All Might, please present the medals, starting with third place.\Young Tokoyami, congratulations.\You sure are strong.\You are too kind.\However, in order to fight well against different types, response:	you must not rely only on your Quirk.
context: This year's first years are so lucky.\They've got the number one hero watching them!\Now then, All Might, please present the medals, starting with third place.\Young Tokoyami, congratulations.\You sure are strong.\You are too kind.\However, in order to fight well against different types,\you must not rely only on your Quirk. response:	If you train your own strength more, then you'll have more options when you fight.
context: They've got the number one hero watching them!\Now then, All Might, please present the medals, starting with third place.\Young Tokoyami, congratulations.\You sure are strong.\You are too kind.\However, in order to fight well against different types,\you must not rely only on your Quirk.\If you train your own strength more, then you'll have more options when you fight. response:	Yes, sir.
context: Now then, All Might, please present the medals, starting with third place.\Young Tokoyami, congratulations.\You sure are strong.\You are too kind.\However, in order to fight well against different types,\you must not rely only on your Quirk.\If you train your own strength more, then you'll have more options when you fight.\Yes, sir. response:	Young Todoroki,
context: Young Tokoyami, congratulations.\You sure are strong.\You are too kind.\However, in order to fight well against different types,\you must not rely only on your Quirk.\If you train your own strength more, then you'll have more options when you fight.\Yes, sir.\Young Todoroki, response:	congratulations.
context: You sure are strong.\You are too kind.\However, in order to fight well against different types,\you must not rely only on your Quirk.\If you train your own strength more, then you'll have more options when you fight.\Yes, sir.\Young Todoroki,\congratulations. response:	I assume there is a reason you did not use your left side in the final?
context: You are too kind.\However, in order to fight well against different types,\you must not rely only on your Quirk.\If you train your own strength more, then you'll have more options when you fight.\Yes, sir.\Young Todoroki,\congratulations.\I assume there is a reason you did not use your left side in the final? response:	I had an opportunity during my match with Midoriya,
context: However, in order to fight well against different types,\you must not rely only on your Quirk.\If you train your own strength more, then you'll have more options when you fight.\Yes, sir.\Young Todoroki,\congratulations.\I assume there is a reason you did not use your left side in the final?\I had an opportunity during my match with Midoriya, response:	but then I became unsure of myself.
context: you must not rely only on your Quirk.\If you train your own strength more, then you'll have more options when you fight.\Yes, sir.\Young Todoroki,\congratulations.\I assume there is a reason you did not use your left side in the final?\I had an opportunity during my match with Midoriya,\but then I became unsure of myself. response:	I think I understand a little of why you are interested in him.
context: If you train your own strength more, then you'll have more options when you fight.\Yes, sir.\Young Todoroki,\congratulations.\I assume there is a reason you did not use your left side in the final?\I had an opportunity during my match with Midoriya,\but then I became unsure of myself.\I think I understand a little of why you are interested in him. response:	I wanted to become a hero like you.
context: Yes, sir.\Young Todoroki,\congratulations.\I assume there is a reason you did not use your left side in the final?\I had an opportunity during my match with Midoriya,\but then I became unsure of myself.\I think I understand a little of why you are interested in him.\I wanted to become a hero like you. response:	But I didn't think it would be right for me to be the only one to break away.
context: Young Todoroki,\congratulations.\I assume there is a reason you did not use your left side in the final?\I had an opportunity during my match with Midoriya,\but then I became unsure of myself.\I think I understand a little of why you are interested in him.\I wanted to become a hero like you.\But I didn't think it would be right for me to be the only one to break away. response:	There is still something I must settle.
context: congratulations.\I assume there is a reason you did not use your left side in the final?\I had an opportunity during my match with Midoriya,\but then I became unsure of myself.\I think I understand a little of why you are interested in him.\I wanted to become a hero like you.\But I didn't think it would be right for me to be the only one to break away.\There is still something I must settle. response:	The look on your face is completely different from before.
context: I assume there is a reason you did not use your left side in the final?\I had an opportunity during my match with Midoriya,\but then I became unsure of myself.\I think I understand a little of why you are interested in him.\I wanted to become a hero like you.\But I didn't think it would be right for me to be the only one to break away.\There is still something I must settle.\The look on your face is completely different from before. response:	I won't ask about the details.
context: I had an opportunity during my match with Midoriya,\but then I became unsure of myself.\I think I understand a little of why you are interested in him.\I wanted to become a hero like you.\But I didn't think it would be right for me to be the only one to break away.\There is still something I must settle.\The look on your face is completely different from before.\I won't ask about the details. response:	I'm sure that you will be able to do what you need to do.
context: but then I became unsure of myself.\I think I understand a little of why you are interested in him.\I wanted to become a hero like you.\But I didn't think it would be right for me to be the only one to break away.\There is still something I must settle.\The look on your face is completely different from before.\I won't ask about the details.\I'm sure that you will be able to do what you need to do. response:	Yes.
context: I think I understand a little of why you are interested in him.\I wanted to become a hero like you.\But I didn't think it would be right for me to be the only one to break away.\There is still something I must settle.\The look on your face is completely different from before.\I won't ask about the details.\I'm sure that you will be able to do what you need to do.\Yes. response:	Now then, Young Bakugo!
context: I wanted to become a hero like you.\But I didn't think it would be right for me to be the only one to break away.\There is still something I must settle.\The look on your face is completely different from before.\I won't ask about the details.\I'm sure that you will be able to do what you need to do.\Yes.\Now then, Young Bakugo! response:	This is too much.
context: But I didn't think it would be right for me to be the only one to break away.\There is still something I must settle.\The look on your face is completely different from before.\I won't ask about the details.\I'm sure that you will be able to do what you need to do.\Yes.\Now then, Young Bakugo!\This is too much. response:	Good job doing what you said you would during the player pledge!
context: There is still something I must settle.\The look on your face is completely different from before.\I won't ask about the details.\I'm sure that you will be able to do what you need to do.\Yes.\Now then, Young Bakugo!\This is too much.\Good job doing what you said you would during the player pledge! response:	All Might...
context: The look on your face is completely different from before.\I won't ask about the details.\I'm sure that you will be able to do what you need to do.\Yes.\Now then, Young Bakugo!\This is too much.\Good job doing what you said you would during the player pledge!\All Might... response:	First place like this...
context: I won't ask about the details.\I'm sure that you will be able to do what you need to do.\Yes.\Now then, Young Bakugo!\This is too much.\Good job doing what you said you would during the player pledge!\All Might...\First place like this... response:	angry angry angry angry
context: I'm sure that you will be able to do what you need to do.\Yes.\Now then, Young Bakugo!\This is too much.\Good job doing what you said you would during the player pledge!\All Might...\First place like this...\angry angry angry angry response:	Even if the world recognizes it, if I don't recognize it myself, then it's trash!
context: Yes.\Now then, Young Bakugo!\This is too much.\Good job doing what you said you would during the player pledge!\All Might...\First place like this...\angry angry angry angry\Even if the world recognizes it, if I don't recognize it myself, then it's trash! response:	His face is amazing...
context: Now then, Young Bakugo!\This is too much.\Good job doing what you said you would during the player pledge!\All Might...\First place like this...\angry angry angry angry\Even if the world recognizes it, if I don't recognize it myself, then it's trash!\His face is amazing... response:	Right.
context: This is too much.\Good job doing what you said you would during the player pledge!\All Might...\First place like this...\angry angry angry angry\Even if the world recognizes it, if I don't recognize it myself, then it's trash!\His face is amazing...\Right. response:	In this world where people are constantly being compared publicly,
context: Good job doing what you said you would during the player pledge!\All Might...\First place like this...\angry angry angry angry\Even if the world recognizes it, if I don't recognize it myself, then it's trash!\His face is amazing...\Right.\In this world where people are constantly being compared publicly, response:	there are not many who can keep aiming for the top of an unchanging scale.
context: All Might...\First place like this...\angry angry angry angry\Even if the world recognizes it, if I don't recognize it myself, then it's trash!\His face is amazing...\Right.\In this world where people are constantly being compared publicly,\there are not many who can keep aiming for the top of an unchanging scale. response:	His face is amazing...
context: First place like this...\angry angry angry angry\Even if the world recognizes it, if I don't recognize it myself, then it's trash!\His face is amazing...\Right.\In this world where people are constantly being compared publicly,\there are not many who can keep aiming for the top of an unchanging scale.\His face is amazing... response:	Take this medal, okay?
context: angry angry angry angry\Even if the world recognizes it, if I don't recognize it myself, then it's trash!\His face is amazing...\Right.\In this world where people are constantly being compared publicly,\there are not many who can keep aiming for the top of an unchanging scale.\His face is amazing...\Take this medal, okay? response:	Think of it as a wound, so you never forget!
context: Even if the world recognizes it, if I don't recognize it myself, then it's trash!\His face is amazing...\Right.\In this world where people are constantly being compared publicly,\there are not many who can keep aiming for the top of an unchanging scale.\His face is amazing...\Take this medal, okay?\Think of it as a wound, so you never forget! response:	I said I didn't want it!
context: His face is amazing...\Right.\In this world where people are constantly being compared publicly,\there are not many who can keep aiming for the top of an unchanging scale.\His face is amazing...\Take this medal, okay?\Think of it as a wound, so you never forget!\I said I didn't want it! response:	Now, now.
context: Right.\In this world where people are constantly being compared publicly,\there are not many who can keep aiming for the top of an unchanging scale.\His face is amazing...\Take this medal, okay?\Think of it as a wound, so you never forget!\I said I didn't want it!\Now, now. response:	I told you, I don't want it!
context: In this world where people are constantly being compared publicly,\there are not many who can keep aiming for the top of an unchanging scale.\His face is amazing...\Take this medal, okay?\Think of it as a wound, so you never forget!\I said I didn't want it!\Now, now.\I told you, I don't want it! response:	Here.
context: there are not many who can keep aiming for the top of an unchanging scale.\His face is amazing...\Take this medal, okay?\Think of it as a wound, so you never forget!\I said I didn't want it!\Now, now.\I told you, I don't want it!\Here. response:	Well, they were the winners this time!
context: His face is amazing...\Take this medal, okay?\Think of it as a wound, so you never forget!\I said I didn't want it!\Now, now.\I told you, I don't want it!\Here.\Well, they were the winners this time! response:	But listen here!
context: Take this medal, okay?\Think of it as a wound, so you never forget!\I said I didn't want it!\Now, now.\I told you, I don't want it!\Here.\Well, they were the winners this time!\But listen here! response:	Anyone here could have ended up on these podiums.
context: Think of it as a wound, so you never forget!\I said I didn't want it!\Now, now.\I told you, I don't want it!\Here.\Well, they were the winners this time!\But listen here!\Anyone here could have ended up on these podiums. response:	It's just as you saw-
context: I said I didn't want it!\Now, now.\I told you, I don't want it!\Here.\Well, they were the winners this time!\But listen here!\Anyone here could have ended up on these podiums.\It's just as you saw- response:	Competing! Improving each other! And climbing even further!
context: Now, now.\I told you, I don't want it!\Here.\Well, they were the winners this time!\But listen here!\Anyone here could have ended up on these podiums.\It's just as you saw-\Competing! Improving each other! And climbing even further! response:	The next generation of heroes is definitely sprouting!
context: I told you, I don't want it!\Here.\Well, they were the winners this time!\But listen here!\Anyone here could have ended up on these podiums.\It's just as you saw-\Competing! Improving each other! And climbing even further!\The next generation of heroes is definitely sprouting! response:	So, I have just one more thing to say!
context: Here.\Well, they were the winners this time!\But listen here!\Anyone here could have ended up on these podiums.\It's just as you saw-\Competing! Improving each other! And climbing even further!\The next generation of heroes is definitely sprouting!\So, I have just one more thing to say! response:	Everyone, please say it with me!
context: Well, they were the winners this time!\But listen here!\Anyone here could have ended up on these podiums.\It's just as you saw-\Competing! Improving each other! And climbing even further!\The next generation of heroes is definitely sprouting!\So, I have just one more thing to say!\Everyone, please say it with me! response:	Ready, go-
context: But listen here!\Anyone here could have ended up on these podiums.\It's just as you saw-\Competing! Improving each other! And climbing even further!\The next generation of heroes is definitely sprouting!\So, I have just one more thing to say!\Everyone, please say it with me!\Ready, go- response:	-Thanks for your hard work! -Plus Ultra!
context: Anyone here could have ended up on these podiums.\It's just as you saw-\Competing! Improving each other! And climbing even further!\The next generation of heroes is definitely sprouting!\So, I have just one more thing to say!\Everyone, please say it with me!\Ready, go-\-Thanks for your hard work! -Plus Ultra! response:	What?! It should've been Plus Ultra! there, All Might!
context: It's just as you saw-\Competing! Improving each other! And climbing even further!\The next generation of heroes is definitely sprouting!\So, I have just one more thing to say!\Everyone, please say it with me!\Ready, go-\-Thanks for your hard work! -Plus Ultra!\What?! It should've been Plus Ultra! there, All Might! response:	Well, I thought everyone worked hard...
context: Competing! Improving each other! And climbing even further!\The next generation of heroes is definitely sprouting!\So, I have just one more thing to say!\Everyone, please say it with me!\Ready, go-\-Thanks for your hard work! -Plus Ultra!\What?! It should've been Plus Ultra! there, All Might!\Well, I thought everyone worked hard... response:	The phrase worthy opponent can also mean friend.
context: The next generation of heroes is definitely sprouting!\So, I have just one more thing to say!\Everyone, please say it with me!\Ready, go-\-Thanks for your hard work! -Plus Ultra!\What?! It should've been Plus Ultra! there, All Might!\Well, I thought everyone worked hard...\The phrase worthy opponent can also mean friend. response:	It might set my teeth on edge,
context: So, I have just one more thing to say!\Everyone, please say it with me!\Ready, go-\-Thanks for your hard work! -Plus Ultra!\What?! It should've been Plus Ultra! there, All Might!\Well, I thought everyone worked hard...\The phrase worthy opponent can also mean friend.\It might set my teeth on edge, response:	but it was a day where we had no choice but to feel it.
context: Everyone, please say it with me!\Ready, go-\-Thanks for your hard work! -Plus Ultra!\What?! It should've been Plus Ultra! there, All Might!\Well, I thought everyone worked hard...\The phrase worthy opponent can also mean friend.\It might set my teeth on edge,\but it was a day where we had no choice but to feel it. response:	Good work.
context: Ready, go-\-Thanks for your hard work! -Plus Ultra!\What?! It should've been Plus Ultra! there, All Might!\Well, I thought everyone worked hard...\The phrase worthy opponent can also mean friend.\It might set my teeth on edge,\but it was a day where we had no choice but to feel it.\Good work. response:	So there will be no school tomorrow or the day after.
context: -Thanks for your hard work! -Plus Ultra!\What?! It should've been Plus Ultra! there, All Might!\Well, I thought everyone worked hard...\The phrase worthy opponent can also mean friend.\It might set my teeth on edge,\but it was a day where we had no choice but to feel it.\Good work.\So there will be no school tomorrow or the day after. response:	I'm sure the pro heroes who watched the sports festival will want to recruit you,
context: What?! It should've been Plus Ultra! there, All Might!\Well, I thought everyone worked hard...\The phrase worthy opponent can also mean friend.\It might set my teeth on edge,\but it was a day where we had no choice but to feel it.\Good work.\So there will be no school tomorrow or the day after.\I'm sure the pro heroes who watched the sports festival will want to recruit you, response:	but we'll consolidate everything and announce it when you get back.
context: Well, I thought everyone worked hard...\The phrase worthy opponent can also mean friend.\It might set my teeth on edge,\but it was a day where we had no choice but to feel it.\Good work.\So there will be no school tomorrow or the day after.\I'm sure the pro heroes who watched the sports festival will want to recruit you,\but we'll consolidate everything and announce it when you get back. response:	So rest well, and look forward to that.
context: The phrase worthy opponent can also mean friend.\It might set my teeth on edge,\but it was a day where we had no choice but to feel it.\Good work.\So there will be no school tomorrow or the day after.\I'm sure the pro heroes who watched the sports festival will want to recruit you,\but we'll consolidate everything and announce it when you get back.\So rest well, and look forward to that. response:	Yes, sir!
context: It might set my teeth on edge,\but it was a day where we had no choice but to feel it.\Good work.\So there will be no school tomorrow or the day after.\I'm sure the pro heroes who watched the sports festival will want to recruit you,\but we'll consolidate everything and announce it when you get back.\So rest well, and look forward to that.\Yes, sir! response:	And then, the environment we were in started to change gradually.
context: but it was a day where we had no choice but to feel it.\Good work.\So there will be no school tomorrow or the day after.\I'm sure the pro heroes who watched the sports festival will want to recruit you,\but we'll consolidate everything and announce it when you get back.\So rest well, and look forward to that.\Yes, sir!\And then, the environment we were in started to change gradually. response:	Hosu General Hospital
context: Good work.\So there will be no school tomorrow or the day after.\I'm sure the pro heroes who watched the sports festival will want to recruit you,\but we'll consolidate everything and announce it when you get back.\So rest well, and look forward to that.\Yes, sir!\And then, the environment we were in started to change gradually.\Hosu General Hospital response:	Please do not run in the halls!
context: So there will be no school tomorrow or the day after.\I'm sure the pro heroes who watched the sports festival will want to recruit you,\but we'll consolidate everything and announce it when you get back.\So rest well, and look forward to that.\Yes, sir!\And then, the environment we were in started to change gradually.\Hosu General Hospital\Please do not run in the halls! response:	Mother!
context: I'm sure the pro heroes who watched the sports festival will want to recruit you,\but we'll consolidate everything and announce it when you get back.\So rest well, and look forward to that.\Yes, sir!\And then, the environment we were in started to change gradually.\Hosu General Hospital\Please do not run in the halls!\Mother! response:	Tenya!
context: but we'll consolidate everything and announce it when you get back.\So rest well, and look forward to that.\Yes, sir!\And then, the environment we were in started to change gradually.\Hosu General Hospital\Please do not run in the halls!\Mother!\Tenya! response:	How is Tensei doing?
context: So rest well, and look forward to that.\Yes, sir!\And then, the environment we were in started to change gradually.\Hosu General Hospital\Please do not run in the halls!\Mother!\Tenya!\How is Tensei doing? response:	Tensei!
context: Yes, sir!\And then, the environment we were in started to change gradually.\Hosu General Hospital\Please do not run in the halls!\Mother!\Tenya!\How is Tensei doing?\Tensei! response:	Tenya, keep your voice down and put on a mask...
context: And then, the environment we were in started to change gradually.\Hosu General Hospital\Please do not run in the halls!\Mother!\Tenya!\How is Tensei doing?\Tensei!\Tenya, keep your voice down and put on a mask... response:	The anesthetic wore off earlier, and he regained consciousness.
context: Hosu General Hospital\Please do not run in the halls!\Mother!\Tenya!\How is Tensei doing?\Tensei!\Tenya, keep your voice down and put on a mask...\The anesthetic wore off earlier, and he regained consciousness. response:	He is still in a haze.
context: Please do not run in the halls!\Mother!\Tenya!\How is Tensei doing?\Tensei!\Tenya, keep your voice down and put on a mask...\The anesthetic wore off earlier, and he regained consciousness.\He is still in a haze. response:	If he had come into surgery two minutes later, it would have been too late.
context: Mother!\Tenya!\How is Tensei doing?\Tensei!\Tenya, keep your voice down and put on a mask...\The anesthetic wore off earlier, and he regained consciousness.\He is still in a haze.\If he had come into surgery two minutes later, it would have been too late. response:	Tenya... Mother...
context: Tenya!\How is Tensei doing?\Tensei!\Tenya, keep your voice down and put on a mask...\The anesthetic wore off earlier, and he regained consciousness.\He is still in a haze.\If he had come into surgery two minutes later, it would have been too late.\Tenya... Mother... response:	Tensei! Big Brother Tensei!
context: How is Tensei doing?\Tensei!\Tenya, keep your voice down and put on a mask...\The anesthetic wore off earlier, and he regained consciousness.\He is still in a haze.\If he had come into surgery two minutes later, it would have been too late.\Tenya... Mother...\Tensei! Big Brother Tensei! response:	Even though... such an accomplished younger brother... like you... looks up to me...
context: Tensei!\Tenya, keep your voice down and put on a mask...\The anesthetic wore off earlier, and he regained consciousness.\He is still in a haze.\If he had come into surgery two minutes later, it would have been too late.\Tenya... Mother...\Tensei! Big Brother Tensei!\Even though... such an accomplished younger brother... like you... looks up to me... response:	I'm sorry... Tenya...
context: Tenya, keep your voice down and put on a mask...\The anesthetic wore off earlier, and he regained consciousness.\He is still in a haze.\If he had come into surgery two minutes later, it would have been too late.\Tenya... Mother...\Tensei! Big Brother Tensei!\Even though... such an accomplished younger brother... like you... looks up to me...\I'm sorry... Tenya... response:	Your big brother... lost...
context: The anesthetic wore off earlier, and he regained consciousness.\He is still in a haze.\If he had come into surgery two minutes later, it would have been too late.\Tenya... Mother...\Tensei! Big Brother Tensei!\Even though... such an accomplished younger brother... like you... looks up to me...\I'm sorry... Tenya...\Your big brother... lost... response:	Tensei...!
context: He is still in a haze.\If he had come into surgery two minutes later, it would have been too late.\Tenya... Mother...\Tensei! Big Brother Tensei!\Even though... such an accomplished younger brother... like you... looks up to me...\I'm sorry... Tenya...\Your big brother... lost...\Tensei...! response:	Shoto, where are you going?
context: If he had come into surgery two minutes later, it would have been too late.\Tenya... Mother...\Tensei! Big Brother Tensei!\Even though... such an accomplished younger brother... like you... looks up to me...\I'm sorry... Tenya...\Your big brother... lost...\Tensei...!\Shoto, where are you going? response:	The hospital.
context: Tenya... Mother...\Tensei! Big Brother Tensei!\Even though... such an accomplished younger brother... like you... looks up to me...\I'm sorry... Tenya...\Your big brother... lost...\Tensei...!\Shoto, where are you going?\The hospital. response:	What? All of a sudden? Why?
