context: Oh, no! Nirvana's started to move! response:	Plus, Natsu and I are rockin' matching outfits for some reason.
context: Hot Eye... You betrayed my father?\No, I did not.\I merely realized that Brain is wrong.\What?\You say my father is wrong?\When did he...\Wait, what do you mean, father?\It's a father-son Dark Guild? response:	People's hearts are not meant to be twisted around by magic.
context: No, I did not.\I merely realized that Brain is wrong.\What?\You say my father is wrong?\When did he...\Wait, what do you mean, father?\It's a father-son Dark Guild?\People's hearts are not meant to be twisted around by magic. response:	Even those with weak hearts, we can raise to become strong!
context: I merely realized that Brain is wrong.\What?\You say my father is wrong?\When did he...\Wait, what do you mean, father?\It's a father-son Dark Guild?\People's hearts are not meant to be twisted around by magic.\Even those with weak hearts, we can raise to become strong! response:	What just happened?
context: What?\You say my father is wrong?\When did he...\Wait, what do you mean, father?\It's a father-son Dark Guild?\People's hearts are not meant to be twisted around by magic.\Even those with weak hearts, we can raise to become strong!\What just happened? response:	Hot Eye-dono caused the ground to collapse!
context: You say my father is wrong?\When did he...\Wait, what do you mean, father?\It's a father-son Dark Guild?\People's hearts are not meant to be twisted around by magic.\Even those with weak hearts, we can raise to become strong!\What just happened?\Hot Eye-dono caused the ground to collapse! response:	He saved us!
context: When did he...\Wait, what do you mean, father?\It's a father-son Dark Guild?\People's hearts are not meant to be twisted around by magic.\Even those with weak hearts, we can raise to become strong!\What just happened?\Hot Eye-dono caused the ground to collapse!\He saved us! response:	You all should go to the King's Summit.
context: Wait, what do you mean, father?\It's a father-son Dark Guild?\People's hearts are not meant to be twisted around by magic.\Even those with weak hearts, we can raise to become strong!\What just happened?\Hot Eye-dono caused the ground to collapse!\He saved us!\You all should go to the King's Summit. response:	The Six General's strength is well matched. Leave Midnight to me.
context: It's a father-son Dark Guild?\People's hearts are not meant to be twisted around by magic.\Even those with weak hearts, we can raise to become strong!\What just happened?\Hot Eye-dono caused the ground to collapse!\He saved us!\You all should go to the King's Summit.\The Six General's strength is well matched. Leave Midnight to me. response:	You and I, fight?
context: People's hearts are not meant to be twisted around by magic.\Even those with weak hearts, we can raise to become strong!\What just happened?\Hot Eye-dono caused the ground to collapse!\He saved us!\You all should go to the King's Summit.\The Six General's strength is well matched. Leave Midnight to me.\You and I, fight? response:	Liquid Ground!
context: Even those with weak hearts, we can raise to become strong!\What just happened?\Hot Eye-dono caused the ground to collapse!\He saved us!\You all should go to the King's Summit.\The Six General's strength is well matched. Leave Midnight to me.\You and I, fight?\Liquid Ground! response:	Oracion Seis are gonna crush each other?
context: What just happened?\Hot Eye-dono caused the ground to collapse!\He saved us!\You all should go to the King's Summit.\The Six General's strength is well matched. Leave Midnight to me.\You and I, fight?\Liquid Ground!\Oracion Seis are gonna crush each other? response:	This is really quite the development.
context: Hot Eye-dono caused the ground to collapse!\He saved us!\You all should go to the King's Summit.\The Six General's strength is well matched. Leave Midnight to me.\You and I, fight?\Liquid Ground!\Oracion Seis are gonna crush each other?\This is really quite the development. response:	Hot Eye-dono...
context: He saved us!\You all should go to the King's Summit.\The Six General's strength is well matched. Leave Midnight to me.\You and I, fight?\Liquid Ground!\Oracion Seis are gonna crush each other?\This is really quite the development.\Hot Eye-dono... response:	Now, hurry and go!
context: You all should go to the King's Summit.\The Six General's strength is well matched. Leave Midnight to me.\You and I, fight?\Liquid Ground!\Oracion Seis are gonna crush each other?\This is really quite the development.\Hot Eye-dono...\Now, hurry and go! response:	And also...
context: The Six General's strength is well matched. Leave Midnight to me.\You and I, fight?\Liquid Ground!\Oracion Seis are gonna crush each other?\This is really quite the development.\Hot Eye-dono...\Now, hurry and go!\And also... response:	My real name is... Richard! Yes...
context: You and I, fight?\Liquid Ground!\Oracion Seis are gonna crush each other?\This is really quite the development.\Hot Eye-dono...\Now, hurry and go!\And also...\My real name is... Richard! Yes... response:	Richard-dono...
context: Liquid Ground!\Oracion Seis are gonna crush each other?\This is really quite the development.\Hot Eye-dono...\Now, hurry and go!\And also...\My real name is... Richard! Yes...\Richard-dono... response:	Telling your real name to the enemy...
context: Oracion Seis are gonna crush each other?\This is really quite the development.\Hot Eye-dono...\Now, hurry and go!\And also...\My real name is... Richard! Yes...\Richard-dono...\Telling your real name to the enemy... response:	You really have fallen, Hot Eye.
context: This is really quite the development.\Hot Eye-dono...\Now, hurry and go!\And also...\My real name is... Richard! Yes...\Richard-dono...\Telling your real name to the enemy...\You really have fallen, Hot Eye. response:	I have been awakened by love! I have no need for codenames!
context: Hot Eye-dono...\Now, hurry and go!\And also...\My real name is... Richard! Yes...\Richard-dono...\Telling your real name to the enemy...\You really have fallen, Hot Eye.\I have been awakened by love! I have no need for codenames! response:	Prepare yourself!
context: Now, hurry and go!\And also...\My real name is... Richard! Yes...\Richard-dono...\Telling your real name to the enemy...\You really have fallen, Hot Eye.\I have been awakened by love! I have no need for codenames!\Prepare yourself! response:	He dodged again!
context: And also...\My real name is... Richard! Yes...\Richard-dono...\Telling your real name to the enemy...\You really have fallen, Hot Eye.\I have been awakened by love! I have no need for codenames!\Prepare yourself!\He dodged again! response:	You never learn, do you?
context: My real name is... Richard! Yes...\Richard-dono...\Telling your real name to the enemy...\You really have fallen, Hot Eye.\I have been awakened by love! I have no need for codenames!\Prepare yourself!\He dodged again!\You never learn, do you? response:	Damn it! Nothing I've thrown at him connects!
context: Richard-dono...\Telling your real name to the enemy...\You really have fallen, Hot Eye.\I have been awakened by love! I have no need for codenames!\Prepare yourself!\He dodged again!\You never learn, do you?\Damn it! Nothing I've thrown at him connects! response:	I wonder if he has some magic that lets him read our movements?
context: Telling your real name to the enemy...\You really have fallen, Hot Eye.\I have been awakened by love! I have no need for codenames!\Prepare yourself!\He dodged again!\You never learn, do you?\Damn it! Nothing I've thrown at him connects!\I wonder if he has some magic that lets him read our movements? response:	No, it lets me hear them!
context: You really have fallen, Hot Eye.\I have been awakened by love! I have no need for codenames!\Prepare yourself!\He dodged again!\You never learn, do you?\Damn it! Nothing I've thrown at him connects!\I wonder if he has some magic that lets him read our movements?\No, it lets me hear them! response:	I can hear your mind's thoughts, and tell your movements.
context: I have been awakened by love! I have no need for codenames!\Prepare yourself!\He dodged again!\You never learn, do you?\Damn it! Nothing I've thrown at him connects!\I wonder if he has some magic that lets him read our movements?\No, it lets me hear them!\I can hear your mind's thoughts, and tell your movements. response:	My thoughts?
context: Prepare yourself!\He dodged again!\You never learn, do you?\Damn it! Nothing I've thrown at him connects!\I wonder if he has some magic that lets him read our movements?\No, it lets me hear them!\I can hear your mind's thoughts, and tell your movements.\My thoughts? response:	In that case...
context: He dodged again!\You never learn, do you?\Damn it! Nothing I've thrown at him connects!\I wonder if he has some magic that lets him read our movements?\No, it lets me hear them!\I can hear your mind's thoughts, and tell your movements.\My thoughts?\In that case... response:	Can you hear this?
context: You never learn, do you?\Damn it! Nothing I've thrown at him connects!\I wonder if he has some magic that lets him read our movements?\No, it lets me hear them!\I can hear your mind's thoughts, and tell your movements.\My thoughts?\In that case...\Can you hear this? response:	I'm well aware that you like fish.
context: Damn it! Nothing I've thrown at him connects!\I wonder if he has some magic that lets him read our movements?\No, it lets me hear them!\I can hear your mind's thoughts, and tell your movements.\My thoughts?\In that case...\Can you hear this?\I'm well aware that you like fish. response:	He can really hear them!
context: I wonder if he has some magic that lets him read our movements?\No, it lets me hear them!\I can hear your mind's thoughts, and tell your movements.\My thoughts?\In that case...\Can you hear this?\I'm well aware that you like fish.\He can really hear them! response:	I cleared my mind of everything except for fish!
context: No, it lets me hear them!\I can hear your mind's thoughts, and tell your movements.\My thoughts?\In that case...\Can you hear this?\I'm well aware that you like fish.\He can really hear them!\I cleared my mind of everything except for fish! response:	Ooh! Me next!
context: I can hear your mind's thoughts, and tell your movements.\My thoughts?\In that case...\Can you hear this?\I'm well aware that you like fish.\He can really hear them!\I cleared my mind of everything except for fish!\Ooh! Me next! response:	He's totally spot on!
context: My thoughts?\In that case...\Can you hear this?\I'm well aware that you like fish.\He can really hear them!\I cleared my mind of everything except for fish!\Ooh! Me next!\He's totally spot on! response:	They think my magic's some sideshow?
context: In that case...\Can you hear this?\I'm well aware that you like fish.\He can really hear them!\I cleared my mind of everything except for fish!\Ooh! Me next!\He's totally spot on!\They think my magic's some sideshow? response:	Damn it... That was a pretty funny one, I'll admit it.
context: Can you hear this?\I'm well aware that you like fish.\He can really hear them!\I cleared my mind of everything except for fish!\Ooh! Me next!\He's totally spot on!\They think my magic's some sideshow?\Damn it... That was a pretty funny one, I'll admit it. response:	All right, I killed!
context: I'm well aware that you like fish.\He can really hear them!\I cleared my mind of everything except for fish!\Ooh! Me next!\He's totally spot on!\They think my magic's some sideshow?\Damn it... That was a pretty funny one, I'll admit it.\All right, I killed! response:	But yeah, he can totally hear them.
context: He can really hear them!\I cleared my mind of everything except for fish!\Ooh! Me next!\He's totally spot on!\They think my magic's some sideshow?\Damn it... That was a pretty funny one, I'll admit it.\All right, I killed!\But yeah, he can totally hear them. response:	What were you thinking?
context: I cleared my mind of everything except for fish!\Ooh! Me next!\He's totally spot on!\They think my magic's some sideshow?\Damn it... That was a pretty funny one, I'll admit it.\All right, I killed!\But yeah, he can totally hear them.\What were you thinking? response:	I'm really curious.
context: Ooh! Me next!\He's totally spot on!\They think my magic's some sideshow?\Damn it... That was a pretty funny one, I'll admit it.\All right, I killed!\But yeah, he can totally hear them.\What were you thinking?\I'm really curious. response:	I'll tell you later.
context: He's totally spot on!\They think my magic's some sideshow?\Damn it... That was a pretty funny one, I'll admit it.\All right, I killed!\But yeah, he can totally hear them.\What were you thinking?\I'm really curious.\I'll tell you later. response:	But this is gonna be tricky...
context: They think my magic's some sideshow?\Damn it... That was a pretty funny one, I'll admit it.\All right, I killed!\But yeah, he can totally hear them.\What were you thinking?\I'm really curious.\I'll tell you later.\But this is gonna be tricky... response:	I have a good idea, but I think he can hear it.
context: Damn it... That was a pretty funny one, I'll admit it.\All right, I killed!\But yeah, he can totally hear them.\What were you thinking?\I'm really curious.\I'll tell you later.\But this is gonna be tricky...\I have a good idea, but I think he can hear it. response:	Think right but attack from the left.
context: All right, I killed!\But yeah, he can totally hear them.\What were you thinking?\I'm really curious.\I'll tell you later.\But this is gonna be tricky...\I have a good idea, but I think he can hear it.\Think right but attack from the left. response:	Not going to work.
context: But yeah, he can totally hear them.\What were you thinking?\I'm really curious.\I'll tell you later.\But this is gonna be tricky...\I have a good idea, but I think he can hear it.\Think right but attack from the left.\Not going to work. response:	I can hear you planning it out.
context: What were you thinking?\I'm really curious.\I'll tell you later.\But this is gonna be tricky...\I have a good idea, but I think he can hear it.\Think right but attack from the left.\Not going to work.\I can hear you planning it out. response:	You punks have no way to win.
context: I'm really curious.\I'll tell you later.\But this is gonna be tricky...\I have a good idea, but I think he can hear it.\Think right but attack from the left.\Not going to work.\I can hear you planning it out.\You punks have no way to win. response:	Oh, I see.
context: I'll tell you later.\But this is gonna be tricky...\I have a good idea, but I think he can hear it.\Think right but attack from the left.\Not going to work.\I can hear you planning it out.\You punks have no way to win.\Oh, I see. response:	I hear you. You thought about quite a lot.
context: But this is gonna be tricky...\I have a good idea, but I think he can hear it.\Think right but attack from the left.\Not going to work.\I can hear you planning it out.\You punks have no way to win.\Oh, I see.\I hear you. You thought about quite a lot. response:	You have three or four decent plans.
context: I have a good idea, but I think he can hear it.\Think right but attack from the left.\Not going to work.\I can hear you planning it out.\You punks have no way to win.\Oh, I see.\I hear you. You thought about quite a lot.\You have three or four decent plans. response:	I heard them all!
context: Think right but attack from the left.\Not going to work.\I can hear you planning it out.\You punks have no way to win.\Oh, I see.\I hear you. You thought about quite a lot.\You have three or four decent plans.\I heard them all! response:	That is so cheating!
context: Not going to work.\I can hear you planning it out.\You punks have no way to win.\Oh, I see.\I hear you. You thought about quite a lot.\You have three or four decent plans.\I heard them all!\That is so cheating! response:	I guess we got no choice but to head straight in!
context: I can hear you planning it out.\You punks have no way to win.\Oh, I see.\I hear you. You thought about quite a lot.\You have three or four decent plans.\I heard them all!\That is so cheating!\I guess we got no choice but to head straight in! response:	Aye, sir!
context: You punks have no way to win.\Oh, I see.\I hear you. You thought about quite a lot.\You have three or four decent plans.\I heard them all!\That is so cheating!\I guess we got no choice but to head straight in!\Aye, sir! response:	Plan C!
context: Oh, I see.\I hear you. You thought about quite a lot.\You have three or four decent plans.\I heard them all!\That is so cheating!\I guess we got no choice but to head straight in!\Aye, sir!\Plan C! response:	Charge!
context: I hear you. You thought about quite a lot.\You have three or four decent plans.\I heard them all!\That is so cheating!\I guess we got no choice but to head straight in!\Aye, sir!\Plan C!\Charge! response:	Right hook.
context: You have three or four decent plans.\I heard them all!\That is so cheating!\I guess we got no choice but to head straight in!\Aye, sir!\Plan C!\Charge!\Right hook. response:	Left kick.
context: I heard them all!\That is so cheating!\I guess we got no choice but to head straight in!\Aye, sir!\Plan C!\Charge!\Right hook.\Left kick. response:	Followed by a right roundhouse kick, and a comeback straight right!
context: That is so cheating!\I guess we got no choice but to head straight in!\Aye, sir!\Plan C!\Charge!\Right hook.\Left kick.\Followed by a right roundhouse kick, and a comeback straight right! response:	What? Impossible...
context: I guess we got no choice but to head straight in!\Aye, sir!\Plan C!\Charge!\Right hook.\Left kick.\Followed by a right roundhouse kick, and a comeback straight right!\What? Impossible... response:	I can hear it... He's... not thinking anything!
context: Aye, sir!\Plan C!\Charge!\Right hook.\Left kick.\Followed by a right roundhouse kick, and a comeback straight right!\What? Impossible...\I can hear it... He's... not thinking anything! response:	I don't know whether he's stupid or a genius!
context: Plan C!\Charge!\Right hook.\Left kick.\Followed by a right roundhouse kick, and a comeback straight right!\What? Impossible...\I can hear it... He's... not thinking anything!\I don't know whether he's stupid or a genius! response:	But I never faced someone like him before.
context: Charge!\Right hook.\Left kick.\Followed by a right roundhouse kick, and a comeback straight right!\What? Impossible...\I can hear it... He's... not thinking anything!\I don't know whether he's stupid or a genius!\But I never faced someone like him before. response:	I see. Little tricks ain't working for you, eh?
context: Right hook.\Left kick.\Followed by a right roundhouse kick, and a comeback straight right!\What? Impossible...\I can hear it... He's... not thinking anything!\I don't know whether he's stupid or a genius!\But I never faced someone like him before.\I see. Little tricks ain't working for you, eh? response:	M-My hand...
context: Left kick.\Followed by a right roundhouse kick, and a comeback straight right!\What? Impossible...\I can hear it... He's... not thinking anything!\I don't know whether he's stupid or a genius!\But I never faced someone like him before.\I see. Little tricks ain't working for you, eh?\M-My hand... response:	Natsu, what's the matter?
context: Followed by a right roundhouse kick, and a comeback straight right!\What? Impossible...\I can hear it... He's... not thinking anything!\I don't know whether he's stupid or a genius!\But I never faced someone like him before.\I see. Little tricks ain't working for you, eh?\M-My hand...\Natsu, what's the matter? response:	Poison Dragon Cobra... It's time I got serious.
context: What? Impossible...\I can hear it... He's... not thinking anything!\I don't know whether he's stupid or a genius!\But I never faced someone like him before.\I see. Little tricks ain't working for you, eh?\M-My hand...\Natsu, what's the matter?\Poison Dragon Cobra... It's time I got serious. response:	N-No way...
context: I can hear it... He's... not thinking anything!\I don't know whether he's stupid or a genius!\But I never faced someone like him before.\I see. Little tricks ain't working for you, eh?\M-My hand...\Natsu, what's the matter?\Poison Dragon Cobra... It's time I got serious.\N-No way... response:	Is this guy a...
context: I don't know whether he's stupid or a genius!\But I never faced someone like him before.\I see. Little tricks ain't working for you, eh?\M-My hand...\Natsu, what's the matter?\Poison Dragon Cobra... It's time I got serious.\N-No way...\Is this guy a... response:	Are you okay?
context: But I never faced someone like him before.\I see. Little tricks ain't working for you, eh?\M-My hand...\Natsu, what's the matter?\Poison Dragon Cobra... It's time I got serious.\N-No way...\Is this guy a...\Are you okay? response:	Damn it... What's with these attacks?
context: I see. Little tricks ain't working for you, eh?\M-My hand...\Natsu, what's the matter?\Poison Dragon Cobra... It's time I got serious.\N-No way...\Is this guy a...\Are you okay?\Damn it... What's with these attacks? response:	Each time they hit, I get more numb!
context: M-My hand...\Natsu, what's the matter?\Poison Dragon Cobra... It's time I got serious.\N-No way...\Is this guy a...\Are you okay?\Damn it... What's with these attacks?\Each time they hit, I get more numb! response:	I can hear your pain!
context: Natsu, what's the matter?\Poison Dragon Cobra... It's time I got serious.\N-No way...\Is this guy a...\Are you okay?\Damn it... What's with these attacks?\Each time they hit, I get more numb!\I can hear your pain! response:	The attacks of a poison dragon can infect and destroy anything!
context: Poison Dragon Cobra... It's time I got serious.\N-No way...\Is this guy a...\Are you okay?\Damn it... What's with these attacks?\Each time they hit, I get more numb!\I can hear your pain!\The attacks of a poison dragon can infect and destroy anything! response:	Is that so? I'll just burn that poison right up!
context: N-No way...\Is this guy a...\Are you okay?\Damn it... What's with these attacks?\Each time they hit, I get more numb!\I can hear your pain!\The attacks of a poison dragon can infect and destroy anything!\Is that so? I'll just burn that poison right up! response:	Let's go!
context: Is this guy a...\Are you okay?\Damn it... What's with these attacks?\Each time they hit, I get more numb!\I can hear your pain!\The attacks of a poison dragon can infect and destroy anything!\Is that so? I'll just burn that poison right up!\Let's go! response:	Aye, sir!
context: Are you okay?\Damn it... What's with these attacks?\Each time they hit, I get more numb!\I can hear your pain!\The attacks of a poison dragon can infect and destroy anything!\Is that so? I'll just burn that poison right up!\Let's go!\Aye, sir! response:	Iron Fist of the Fire Dragon!
context: Damn it... What's with these attacks?\Each time they hit, I get more numb!\I can hear your pain!\The attacks of a poison dragon can infect and destroy anything!\Is that so? I'll just burn that poison right up!\Let's go!\Aye, sir!\Iron Fist of the Fire Dragon! response:	Fall and rot!
context: Each time they hit, I get more numb!\I can hear your pain!\The attacks of a poison dragon can infect and destroy anything!\Is that so? I'll just burn that poison right up!\Let's go!\Aye, sir!\Iron Fist of the Fire Dragon!\Fall and rot! response:	Fang Thrust of the Poison Dragon!
context: I can hear your pain!\The attacks of a poison dragon can infect and destroy anything!\Is that so? I'll just burn that poison right up!\Let's go!\Aye, sir!\Iron Fist of the Fire Dragon!\Fall and rot!\Fang Thrust of the Poison Dragon! response:	Oops! I dropped'im!
context: The attacks of a poison dragon can infect and destroy anything!\Is that so? I'll just burn that poison right up!\Let's go!\Aye, sir!\Iron Fist of the Fire Dragon!\Fall and rot!\Fang Thrust of the Poison Dragon!\Oops! I dropped'im! response:	You're nauseous already? That was quick, Natsu.
context: Is that so? I'll just burn that poison right up!\Let's go!\Aye, sir!\Iron Fist of the Fire Dragon!\Fall and rot!\Fang Thrust of the Poison Dragon!\Oops! I dropped'im!\You're nauseous already? That was quick, Natsu. response:	Come on, snap out of it.
context: Let's go!\Aye, sir!\Iron Fist of the Fire Dragon!\Fall and rot!\Fang Thrust of the Poison Dragon!\Oops! I dropped'im!\You're nauseous already? That was quick, Natsu.\Come on, snap out of it. response:	I'm sorry I dropped you.
context: Aye, sir!\Iron Fist of the Fire Dragon!\Fall and rot!\Fang Thrust of the Poison Dragon!\Oops! I dropped'im!\You're nauseous already? That was quick, Natsu.\Come on, snap out of it.\I'm sorry I dropped you. response:	I-I'm fine...
context: Iron Fist of the Fire Dragon!\Fall and rot!\Fang Thrust of the Poison Dragon!\Oops! I dropped'im!\You're nauseous already? That was quick, Natsu.\Come on, snap out of it.\I'm sorry I dropped you.\I-I'm fine... response:	He don't know when to quit, do he, Cubellios?
context: Fall and rot!\Fang Thrust of the Poison Dragon!\Oops! I dropped'im!\You're nauseous already? That was quick, Natsu.\Come on, snap out of it.\I'm sorry I dropped you.\I-I'm fine...\He don't know when to quit, do he, Cubellios? response:	Say that again!
context: Fang Thrust of the Poison Dragon!\Oops! I dropped'im!\You're nauseous already? That was quick, Natsu.\Come on, snap out of it.\I'm sorry I dropped you.\I-I'm fine...\He don't know when to quit, do he, Cubellios?\Say that again! response:	Yeah!
context: Oops! I dropped'im!\You're nauseous already? That was quick, Natsu.\Come on, snap out of it.\I'm sorry I dropped you.\I-I'm fine...\He don't know when to quit, do he, Cubellios?\Say that again!\Yeah! response:	Time to kick ass!
context: You're nauseous already? That was quick, Natsu.\Come on, snap out of it.\I'm sorry I dropped you.\I-I'm fine...\He don't know when to quit, do he, Cubellios?\Say that again!\Yeah!\Time to kick ass! response:	I can hear everything...
context: Come on, snap out of it.\I'm sorry I dropped you.\I-I'm fine...\He don't know when to quit, do he, Cubellios?\Say that again!\Yeah!\Time to kick ass!\I can hear everything... response:	Not just your thoughts, but the movement of your muscles, even your breathing!
context: I'm sorry I dropped you.\I-I'm fine...\He don't know when to quit, do he, Cubellios?\Say that again!\Yeah!\Time to kick ass!\I can hear everything...\Not just your thoughts, but the movement of your muscles, even your breathing! response:	Crap!
context: I-I'm fine...\He don't know when to quit, do he, Cubellios?\Say that again!\Yeah!\Time to kick ass!\I can hear everything...\Not just your thoughts, but the movement of your muscles, even your breathing!\Crap! response:	Our attacks aren't hitting again!
context: He don't know when to quit, do he, Cubellios?\Say that again!\Yeah!\Time to kick ass!\I can hear everything...\Not just your thoughts, but the movement of your muscles, even your breathing!\Crap!\Our attacks aren't hitting again! response:	Weren't you not thinking?
context: Say that again!\Yeah!\Time to kick ass!\I can hear everything...\Not just your thoughts, but the movement of your muscles, even your breathing!\Crap!\Our attacks aren't hitting again!\Weren't you not thinking? response:	Ever since I realized he was a dragon slayer, it hasn't gone so well...
context: Yeah!\Time to kick ass!\I can hear everything...\Not just your thoughts, but the movement of your muscles, even your breathing!\Crap!\Our attacks aren't hitting again!\Weren't you not thinking?\Ever since I realized he was a dragon slayer, it hasn't gone so well... response:	Are you saying he's gotten to you?
context: Time to kick ass!\I can hear everything...\Not just your thoughts, but the movement of your muscles, even your breathing!\Crap!\Our attacks aren't hitting again!\Weren't you not thinking?\Ever since I realized he was a dragon slayer, it hasn't gone so well...\Are you saying he's gotten to you? response:	Come on, clear your mind!
context: I can hear everything...\Not just your thoughts, but the movement of your muscles, even your breathing!\Crap!\Our attacks aren't hitting again!\Weren't you not thinking?\Ever since I realized he was a dragon slayer, it hasn't gone so well...\Are you saying he's gotten to you?\Come on, clear your mind! response:	Thinking isn't like you, Natsu! Don't do it!
context: Not just your thoughts, but the movement of your muscles, even your breathing!\Crap!\Our attacks aren't hitting again!\Weren't you not thinking?\Ever since I realized he was a dragon slayer, it hasn't gone so well...\Are you saying he's gotten to you?\Come on, clear your mind!\Thinking isn't like you, Natsu! Don't do it! response:	What's that supposed to mean, damn you?
context: Crap!\Our attacks aren't hitting again!\Weren't you not thinking?\Ever since I realized he was a dragon slayer, it hasn't gone so well...\Are you saying he's gotten to you?\Come on, clear your mind!\Thinking isn't like you, Natsu! Don't do it!\What's that supposed to mean, damn you? response:	You makin' fun of me?
context: Our attacks aren't hitting again!\Weren't you not thinking?\Ever since I realized he was a dragon slayer, it hasn't gone so well...\Are you saying he's gotten to you?\Come on, clear your mind!\Thinking isn't like you, Natsu! Don't do it!\What's that supposed to mean, damn you?\You makin' fun of me? response:	No!
context: Weren't you not thinking?\Ever since I realized he was a dragon slayer, it hasn't gone so well...\Are you saying he's gotten to you?\Come on, clear your mind!\Thinking isn't like you, Natsu! Don't do it!\What's that supposed to mean, damn you?\You makin' fun of me?\No! response:	I said that you work better when you don't think!
context: Ever since I realized he was a dragon slayer, it hasn't gone so well...\Are you saying he's gotten to you?\Come on, clear your mind!\Thinking isn't like you, Natsu! Don't do it!\What's that supposed to mean, damn you?\You makin' fun of me?\No!\I said that you work better when you don't think! response:	Don't. Think.
context: Are you saying he's gotten to you?\Come on, clear your mind!\Thinking isn't like you, Natsu! Don't do it!\What's that supposed to mean, damn you?\You makin' fun of me?\No!\I said that you work better when you don't think!\Don't. Think. response:	You don't have to say it twice!
context: Come on, clear your mind!\Thinking isn't like you, Natsu! Don't do it!\What's that supposed to mean, damn you?\You makin' fun of me?\No!\I said that you work better when you don't think!\Don't. Think.\You don't have to say it twice! response:	And you're makin' fun of me, damn it!
context: Thinking isn't like you, Natsu! Don't do it!\What's that supposed to mean, damn you?\You makin' fun of me?\No!\I said that you work better when you don't think!\Don't. Think.\You don't have to say it twice!\And you're makin' fun of me, damn it! response:	No, I'm not!
context: What's that supposed to mean, damn you?\You makin' fun of me?\No!\I said that you work better when you don't think!\Don't. Think.\You don't have to say it twice!\And you're makin' fun of me, damn it!\No, I'm not! response:	What do you mean I think...?
context: You makin' fun of me?\No!\I said that you work better when you don't think!\Don't. Think.\You don't have to say it twice!\And you're makin' fun of me, damn it!\No, I'm not!\What do you mean I think...? response:	You totally made fun of me!
context: No!\I said that you work better when you don't think!\Don't. Think.\You don't have to say it twice!\And you're makin' fun of me, damn it!\No, I'm not!\What do you mean I think...?\You totally made fun of me! response:	Anyway, just concentrate on Cobra!
context: I said that you work better when you don't think!\Don't. Think.\You don't have to say it twice!\And you're makin' fun of me, damn it!\No, I'm not!\What do you mean I think...?\You totally made fun of me!\Anyway, just concentrate on Cobra! response:	Here we go!
context: Don't. Think.\You don't have to say it twice!\And you're makin' fun of me, damn it!\No, I'm not!\What do you mean I think...?\You totally made fun of me!\Anyway, just concentrate on Cobra!\Here we go! response:	Aye, sir!
context: You don't have to say it twice!\And you're makin' fun of me, damn it!\No, I'm not!\What do you mean I think...?\You totally made fun of me!\Anyway, just concentrate on Cobra!\Here we go!\Aye, sir! response:	Talons of the Fire Dragon!
context: And you're makin' fun of me, damn it!\No, I'm not!\What do you mean I think...?\You totally made fun of me!\Anyway, just concentrate on Cobra!\Here we go!\Aye, sir!\Talons of the Fire Dragon! response:	Spiral Jaw of the Poison Dragon!
context: No, I'm not!\What do you mean I think...?\You totally made fun of me!\Anyway, just concentrate on Cobra!\Here we go!\Aye, sir!\Talons of the Fire Dragon!\Spiral Jaw of the Poison Dragon! response:	This is no time to get queasy!
context: What do you mean I think...?\You totally made fun of me!\Anyway, just concentrate on Cobra!\Here we go!\Aye, sir!\Talons of the Fire Dragon!\Spiral Jaw of the Poison Dragon!\This is no time to get queasy! response:	Natsu!
context: You totally made fun of me!\Anyway, just concentrate on Cobra!\Here we go!\Aye, sir!\Talons of the Fire Dragon!\Spiral Jaw of the Poison Dragon!\This is no time to get queasy!\Natsu! response:	An explosion?
context: Anyway, just concentrate on Cobra!\Here we go!\Aye, sir!\Talons of the Fire Dragon!\Spiral Jaw of the Poison Dragon!\This is no time to get queasy!\Natsu!\An explosion? response:	Somebody is fighting!
context: Here we go!\Aye, sir!\Talons of the Fire Dragon!\Spiral Jaw of the Poison Dragon!\This is no time to get queasy!\Natsu!\An explosion?\Somebody is fighting! response:	That's pretty impressive...
context: Aye, sir!\Talons of the Fire Dragon!\Spiral Jaw of the Poison Dragon!\This is no time to get queasy!\Natsu!\An explosion?\Somebody is fighting!\That's pretty impressive... response:	Which means it's...
context: Talons of the Fire Dragon!\Spiral Jaw of the Poison Dragon!\This is no time to get queasy!\Natsu!\An explosion?\Somebody is fighting!\That's pretty impressive...\Which means it's... response:	Yup!
context: Spiral Jaw of the Poison Dragon!\This is no time to get queasy!\Natsu!\An explosion?\Somebody is fighting!\That's pretty impressive...\Which means it's...\Yup! response:	Did he turn to ash?
context: This is no time to get queasy!\Natsu!\An explosion?\Somebody is fighting!\That's pretty impressive...\Which means it's...\Yup!\Did he turn to ash? response:	No, something's strange... What is this sound?
context: Natsu!\An explosion?\Somebody is fighting!\That's pretty impressive...\Which means it's...\Yup!\Did he turn to ash?\No, something's strange... What is this sound? response:	He's eating the flames?
context: An explosion?\Somebody is fighting!\That's pretty impressive...\Which means it's...\Yup!\Did he turn to ash?\No, something's strange... What is this sound?\He's eating the flames? response:	Well, don't see that every day, Cubellios.
context: Somebody is fighting!\That's pretty impressive...\Which means it's...\Yup!\Did he turn to ash?\No, something's strange... What is this sound?\He's eating the flames?\Well, don't see that every day, Cubellios. response:	Now that I've eaten, I'm all revved up!
