context: This arrow is very precious. It's the only one there is. response:	It's my precious objective.
context: Okuyasu, you bastard!\Josuke!\Gyaon\Koichi just...\Because I'm stupid, I just act on what's in my heart.\Just once, just this once, I'll repay my debt to you.\I won't do anything else.\I won't help out my Bro, or do anything to you, either. response:	This is it.
context: Josuke!\Gyaon\Koichi just...\Because I'm stupid, I just act on what's in my heart.\Just once, just this once, I'll repay my debt to you.\I won't do anything else.\I won't help out my Bro, or do anything to you, either.\This is it. response:	That's just great, Okuyasu.
context: Gyaon\Koichi just...\Because I'm stupid, I just act on what's in my heart.\Just once, just this once, I'll repay my debt to you.\I won't do anything else.\I won't help out my Bro, or do anything to you, either.\This is it.\That's just great, Okuyasu. response:	Hey, you were in great danger, Koichi.
context: Koichi just...\Because I'm stupid, I just act on what's in my heart.\Just once, just this once, I'll repay my debt to you.\I won't do anything else.\I won't help out my Bro, or do anything to you, either.\This is it.\That's just great, Okuyasu.\Hey, you were in great danger, Koichi. response:	I'm glad you came to.
context: Because I'm stupid, I just act on what's in my heart.\Just once, just this once, I'll repay my debt to you.\I won't do anything else.\I won't help out my Bro, or do anything to you, either.\This is it.\That's just great, Okuyasu.\Hey, you were in great danger, Koichi.\I'm glad you came to. response:	How many fingers am I holding up?
context: Just once, just this once, I'll repay my debt to you.\I won't do anything else.\I won't help out my Bro, or do anything to you, either.\This is it.\That's just great, Okuyasu.\Hey, you were in great danger, Koichi.\I'm glad you came to.\How many fingers am I holding up? response:	Five...
context: I won't do anything else.\I won't help out my Bro, or do anything to you, either.\This is it.\That's just great, Okuyasu.\Hey, you were in great danger, Koichi.\I'm glad you came to.\How many fingers am I holding up?\Five... response:	I-I got my head trapped between the gates,
context: I won't help out my Bro, or do anything to you, either.\This is it.\That's just great, Okuyasu.\Hey, you were in great danger, Koichi.\I'm glad you came to.\How many fingers am I holding up?\Five...\I-I got my head trapped between the gates, response:	and then, uh... um...
context: This is it.\That's just great, Okuyasu.\Hey, you were in great danger, Koichi.\I'm glad you came to.\How many fingers am I holding up?\Five...\I-I got my head trapped between the gates,\and then, uh... um... response:	Wh-Where are we?
context: That's just great, Okuyasu.\Hey, you were in great danger, Koichi.\I'm glad you came to.\How many fingers am I holding up?\Five...\I-I got my head trapped between the gates,\and then, uh... um...\Wh-Where are we? response:	That dangerous situation we were in earlier isn't over yet, Koichi.
context: Hey, you were in great danger, Koichi.\I'm glad you came to.\How many fingers am I holding up?\Five...\I-I got my head trapped between the gates,\and then, uh... um...\Wh-Where are we?\That dangerous situation we were in earlier isn't over yet, Koichi. response:	I want to go down those stairs and go outside,
context: I'm glad you came to.\How many fingers am I holding up?\Five...\I-I got my head trapped between the gates,\and then, uh... um...\Wh-Where are we?\That dangerous situation we were in earlier isn't over yet, Koichi.\I want to go down those stairs and go outside, response:	but I wonder if Okuyasu's brother will let us do that safely...
context: How many fingers am I holding up?\Five...\I-I got my head trapped between the gates,\and then, uh... um...\Wh-Where are we?\That dangerous situation we were in earlier isn't over yet, Koichi.\I want to go down those stairs and go outside,\but I wonder if Okuyasu's brother will let us do that safely... response:	There's definitely something up there.
context: Five...\I-I got my head trapped between the gates,\and then, uh... um...\Wh-Where are we?\That dangerous situation we were in earlier isn't over yet, Koichi.\I want to go down those stairs and go outside,\but I wonder if Okuyasu's brother will let us do that safely...\There's definitely something up there. response:	Something's lurking in the shadows of the ceiling.
context: I-I got my head trapped between the gates,\and then, uh... um...\Wh-Where are we?\That dangerous situation we were in earlier isn't over yet, Koichi.\I want to go down those stairs and go outside,\but I wonder if Okuyasu's brother will let us do that safely...\There's definitely something up there.\Something's lurking in the shadows of the ceiling. response:	What's that?
context: and then, uh... um...\Wh-Where are we?\That dangerous situation we were in earlier isn't over yet, Koichi.\I want to go down those stairs and go outside,\but I wonder if Okuyasu's brother will let us do that safely...\There's definitely something up there.\Something's lurking in the shadows of the ceiling.\What's that? response:	Something really fast just went by.
context: Wh-Where are we?\That dangerous situation we were in earlier isn't over yet, Koichi.\I want to go down those stairs and go outside,\but I wonder if Okuyasu's brother will let us do that safely...\There's definitely something up there.\Something's lurking in the shadows of the ceiling.\What's that?\Something really fast just went by. response:	Josuke, what's going on?
context: That dangerous situation we were in earlier isn't over yet, Koichi.\I want to go down those stairs and go outside,\but I wonder if Okuyasu's brother will let us do that safely...\There's definitely something up there.\Something's lurking in the shadows of the ceiling.\What's that?\Something really fast just went by.\Josuke, what's going on? response:	Koichi, I'm sure you have no idea what's going on right now.
context: I want to go down those stairs and go outside,\but I wonder if Okuyasu's brother will let us do that safely...\There's definitely something up there.\Something's lurking in the shadows of the ceiling.\What's that?\Something really fast just went by.\Josuke, what's going on?\Koichi, I'm sure you have no idea what's going on right now. response:	For now, don't ask any questions, and get closer to me.
context: but I wonder if Okuyasu's brother will let us do that safely...\There's definitely something up there.\Something's lurking in the shadows of the ceiling.\What's that?\Something really fast just went by.\Josuke, what's going on?\Koichi, I'm sure you have no idea what's going on right now.\For now, don't ask any questions, and get closer to me. response:	Earlier, it was creepy because I couldn't see it,
context: There's definitely something up there.\Something's lurking in the shadows of the ceiling.\What's that?\Something really fast just went by.\Josuke, what's going on?\Koichi, I'm sure you have no idea what's going on right now.\For now, don't ask any questions, and get closer to me.\Earlier, it was creepy because I couldn't see it, response:	but I feel a bit more at ease now that I've seen it.
context: Something's lurking in the shadows of the ceiling.\What's that?\Something really fast just went by.\Josuke, what's going on?\Koichi, I'm sure you have no idea what's going on right now.\For now, don't ask any questions, and get closer to me.\Earlier, it was creepy because I couldn't see it,\but I feel a bit more at ease now that I've seen it. response:	It just looks like a shrimp with very little power.
context: What's that?\Something really fast just went by.\Josuke, what's going on?\Koichi, I'm sure you have no idea what's going on right now.\For now, don't ask any questions, and get closer to me.\Earlier, it was creepy because I couldn't see it,\but I feel a bit more at ease now that I've seen it.\It just looks like a shrimp with very little power. response:	This battle's gonna end with me sending Shining Diamond
context: Something really fast just went by.\Josuke, what's going on?\Koichi, I'm sure you have no idea what's going on right now.\For now, don't ask any questions, and get closer to me.\Earlier, it was creepy because I couldn't see it,\but I feel a bit more at ease now that I've seen it.\It just looks like a shrimp with very little power.\This battle's gonna end with me sending Shining Diamond response:	after that shrimp the next time it pops up.
context: Josuke, what's going on?\Koichi, I'm sure you have no idea what's going on right now.\For now, don't ask any questions, and get closer to me.\Earlier, it was creepy because I couldn't see it,\but I feel a bit more at ease now that I've seen it.\It just looks like a shrimp with very little power.\This battle's gonna end with me sending Shining Diamond\after that shrimp the next time it pops up. response:	There you are!
context: Koichi, I'm sure you have no idea what's going on right now.\For now, don't ask any questions, and get closer to me.\Earlier, it was creepy because I couldn't see it,\but I feel a bit more at ease now that I've seen it.\It just looks like a shrimp with very little power.\This battle's gonna end with me sending Shining Diamond\after that shrimp the next time it pops up.\There you are! response:	What the heck? There's a ton of them!
context: For now, don't ask any questions, and get closer to me.\Earlier, it was creepy because I couldn't see it,\but I feel a bit more at ease now that I've seen it.\It just looks like a shrimp with very little power.\This battle's gonna end with me sending Shining Diamond\after that shrimp the next time it pops up.\There you are!\What the heck? There's a ton of them! response:	And that uniform...
context: Earlier, it was creepy because I couldn't see it,\but I feel a bit more at ease now that I've seen it.\It just looks like a shrimp with very little power.\This battle's gonna end with me sending Shining Diamond\after that shrimp the next time it pops up.\There you are!\What the heck? There's a ton of them!\And that uniform... response:	Burn
context: but I feel a bit more at ease now that I've seen it.\It just looks like a shrimp with very little power.\This battle's gonna end with me sending Shining Diamond\after that shrimp the next time it pops up.\There you are!\What the heck? There's a ton of them!\And that uniform...\Burn response:	Wh-What's...
context: It just looks like a shrimp with very little power.\This battle's gonna end with me sending Shining Diamond\after that shrimp the next time it pops up.\There you are!\What the heck? There's a ton of them!\And that uniform...\Burn\Wh-What's... response:	A bunch of guys that look like toy soldiers are falling...
context: This battle's gonna end with me sending Shining Diamond\after that shrimp the next time it pops up.\There you are!\What the heck? There's a ton of them!\And that uniform...\Burn\Wh-What's...\A bunch of guys that look like toy soldiers are falling... response:	Are these Okuyasu's brother's Stand?
context: after that shrimp the next time it pops up.\There you are!\What the heck? There's a ton of them!\And that uniform...\Burn\Wh-What's...\A bunch of guys that look like toy soldiers are falling...\Are these Okuyasu's brother's Stand? response:	Ow!
context: There you are!\What the heck? There's a ton of them!\And that uniform...\Burn\Wh-What's...\A bunch of guys that look like toy soldiers are falling...\Are these Okuyasu's brother's Stand?\Ow! response:	You bastard!
context: What the heck? There's a ton of them!\And that uniform...\Burn\Wh-What's...\A bunch of guys that look like toy soldiers are falling...\Are these Okuyasu's brother's Stand?\Ow!\You bastard! response:	I guess attacking two or three won't do enough damage.
context: And that uniform...\Burn\Wh-What's...\A bunch of guys that look like toy soldiers are falling...\Are these Okuyasu's brother's Stand?\Ow!\You bastard!\I guess attacking two or three won't do enough damage. response:	And the wounds are small, but their destructive power is the real thing.
context: Burn\Wh-What's...\A bunch of guys that look like toy soldiers are falling...\Are these Okuyasu's brother's Stand?\Ow!\You bastard!\I guess attacking two or three won't do enough damage.\And the wounds are small, but their destructive power is the real thing. response:	We're sure to get seriously hurt if we fight these things.
context: Wh-What's...\A bunch of guys that look like toy soldiers are falling...\Are these Okuyasu's brother's Stand?\Ow!\You bastard!\I guess attacking two or three won't do enough damage.\And the wounds are small, but their destructive power is the real thing.\We're sure to get seriously hurt if we fight these things. response:	Since Okuyasu decided to meddle and save that brat,
context: A bunch of guys that look like toy soldiers are falling...\Are these Okuyasu's brother's Stand?\Ow!\You bastard!\I guess attacking two or three won't do enough damage.\And the wounds are small, but their destructive power is the real thing.\We're sure to get seriously hurt if we fight these things.\Since Okuyasu decided to meddle and save that brat, response:	my plan's been derailed.
context: Are these Okuyasu's brother's Stand?\Ow!\You bastard!\I guess attacking two or three won't do enough damage.\And the wounds are small, but their destructive power is the real thing.\We're sure to get seriously hurt if we fight these things.\Since Okuyasu decided to meddle and save that brat,\my plan's been derailed. response:	But they won't be leaving this house...
context: Ow!\You bastard!\I guess attacking two or three won't do enough damage.\And the wounds are small, but their destructive power is the real thing.\We're sure to get seriously hurt if we fight these things.\Since Okuyasu decided to meddle and save that brat,\my plan's been derailed.\But they won't be leaving this house... response:	Nor will they leave my Stand, Worse Company's, battlefield.
context: You bastard!\I guess attacking two or three won't do enough damage.\And the wounds are small, but their destructive power is the real thing.\We're sure to get seriously hurt if we fight these things.\Since Okuyasu decided to meddle and save that brat,\my plan's been derailed.\But they won't be leaving this house...\Nor will they leave my Stand, Worse Company's, battlefield. response:	Wo
context: I guess attacking two or three won't do enough damage.\And the wounds are small, but their destructive power is the real thing.\We're sure to get seriously hurt if we fight these things.\Since Okuyasu decided to meddle and save that brat,\my plan's been derailed.\But they won't be leaving this house...\Nor will they leave my Stand, Worse Company's, battlefield.\Wo response:	Wor
context: And the wounds are small, but their destructive power is the real thing.\We're sure to get seriously hurt if we fight these things.\Since Okuyasu decided to meddle and save that brat,\my plan's been derailed.\But they won't be leaving this house...\Nor will they leave my Stand, Worse Company's, battlefield.\Wo\Wor response:	Worse
context: We're sure to get seriously hurt if we fight these things.\Since Okuyasu decided to meddle and save that brat,\my plan's been derailed.\But they won't be leaving this house...\Nor will they leave my Stand, Worse Company's, battlefield.\Wo\Wor\Worse response:	Worse Co
context: Since Okuyasu decided to meddle and save that brat,\my plan's been derailed.\But they won't be leaving this house...\Nor will they leave my Stand, Worse Company's, battlefield.\Wo\Wor\Worse\Worse Co response:	Worse Com
context: my plan's been derailed.\But they won't be leaving this house...\Nor will they leave my Stand, Worse Company's, battlefield.\Wo\Wor\Worse\Worse Co\Worse Com response:	Worse Compa
context: But they won't be leaving this house...\Nor will they leave my Stand, Worse Company's, battlefield.\Wo\Wor\Worse\Worse Co\Worse Com\Worse Compa response:	Worse Company
context: Nor will they leave my Stand, Worse Company's, battlefield.\Wo\Wor\Worse\Worse Co\Worse Com\Worse Compa\Worse Company response:	Kei
context: Wo\Wor\Worse\Worse Co\Worse Com\Worse Compa\Worse Company\Kei response:	Keicho
context: Wor\Worse\Worse Co\Worse Com\Worse Compa\Worse Company\Kei\Keicho response:	Keicho Niji
context: Worse\Worse Co\Worse Com\Worse Compa\Worse Company\Kei\Keicho\Keicho Niji response:	Keicho Nijimura
context: Worse Co\Worse Com\Worse Compa\Worse Company\Kei\Keicho\Keicho Niji\Keicho Nijimura response:	Worse Company?
context: Worse Com\Worse Compa\Worse Company\Kei\Keicho\Keicho Niji\Keicho Nijimura\Worse Company? response:	Josuke, wh-what's...
context: Worse Compa\Worse Company\Kei\Keicho\Keicho Niji\Keicho Nijimura\Worse Company?\Josuke, wh-what's... response:	Don't ask questions.
context: Worse Company\Kei\Keicho\Keicho Niji\Keicho Nijimura\Worse Company?\Josuke, wh-what's...\Don't ask questions. response:	I'm sure you don't get it, but just shut up and stay back!
context: Kei\Keicho\Keicho Niji\Keicho Nijimura\Worse Company?\Josuke, wh-what's...\Don't ask questions.\I'm sure you don't get it, but just shut up and stay back! response:	We're in real trouble right now!
context: Keicho\Keicho Niji\Keicho Nijimura\Worse Company?\Josuke, wh-what's...\Don't ask questions.\I'm sure you don't get it, but just shut up and stay back!\We're in real trouble right now! response:	All units, halt!
context: Keicho Niji\Keicho Nijimura\Worse Company?\Josuke, wh-what's...\Don't ask questions.\I'm sure you don't get it, but just shut up and stay back!\We're in real trouble right now!\All units, halt! response:	Ready, aim...
context: Keicho Nijimura\Worse Company?\Josuke, wh-what's...\Don't ask questions.\I'm sure you don't get it, but just shut up and stay back!\We're in real trouble right now!\All units, halt!\Ready, aim... response:	Fire!
context: Worse Company?\Josuke, wh-what's...\Don't ask questions.\I'm sure you don't get it, but just shut up and stay back!\We're in real trouble right now!\All units, halt!\Ready, aim...\Fire! response:	Left face!
context: Josuke, wh-what's...\Don't ask questions.\I'm sure you don't get it, but just shut up and stay back!\We're in real trouble right now!\All units, halt!\Ready, aim...\Fire!\Left face! response:	Fire!
context: Don't ask questions.\I'm sure you don't get it, but just shut up and stay back!\We're in real trouble right now!\All units, halt!\Ready, aim...\Fire!\Left face!\Fire! response:	As I thought, that's enough destructive power to blow off
context: I'm sure you don't get it, but just shut up and stay back!\We're in real trouble right now!\All units, halt!\Ready, aim...\Fire!\Left face!\Fire!\As I thought, that's enough destructive power to blow off response:	our limbs if they hit us head-on!
context: We're in real trouble right now!\All units, halt!\Ready, aim...\Fire!\Left face!\Fire!\As I thought, that's enough destructive power to blow off\our limbs if they hit us head-on! response:	Lucky! There are some windows.
context: All units, halt!\Ready, aim...\Fire!\Left face!\Fire!\As I thought, that's enough destructive power to blow off\our limbs if they hit us head-on!\Lucky! There are some windows. response:	Koichi, this is the second floor,
context: Ready, aim...\Fire!\Left face!\Fire!\As I thought, that's enough destructive power to blow off\our limbs if they hit us head-on!\Lucky! There are some windows.\Koichi, this is the second floor, response:	but we're gonna bust out those windows and dive out.
context: Fire!\Left face!\Fire!\As I thought, that's enough destructive power to blow off\our limbs if they hit us head-on!\Lucky! There are some windows.\Koichi, this is the second floor,\but we're gonna bust out those windows and dive out. response:	I guess I was a bit naIve...
context: Left face!\Fire!\As I thought, that's enough destructive power to blow off\our limbs if they hit us head-on!\Lucky! There are some windows.\Koichi, this is the second floor,\but we're gonna bust out those windows and dive out.\I guess I was a bit naIve... response:	Just great... They have helicopters, too?
context: Fire!\As I thought, that's enough destructive power to blow off\our limbs if they hit us head-on!\Lucky! There are some windows.\Koichi, this is the second floor,\but we're gonna bust out those windows and dive out.\I guess I was a bit naIve...\Just great... They have helicopters, too? response:	Those look like the American army's Apache helicopters.
context: As I thought, that's enough destructive power to blow off\our limbs if they hit us head-on!\Lucky! There are some windows.\Koichi, this is the second floor,\but we're gonna bust out those windows and dive out.\I guess I was a bit naIve...\Just great... They have helicopters, too?\Those look like the American army's Apache helicopters. response:	Look out! There's a tank!
context: our limbs if they hit us head-on!\Lucky! There are some windows.\Koichi, this is the second floor,\but we're gonna bust out those windows and dive out.\I guess I was a bit naIve...\Just great... They have helicopters, too?\Those look like the American army's Apache helicopters.\Look out! There's a tank! response:	You're right. They have tanks, too.
context: Lucky! There are some windows.\Koichi, this is the second floor,\but we're gonna bust out those windows and dive out.\I guess I was a bit naIve...\Just great... They have helicopters, too?\Those look like the American army's Apache helicopters.\Look out! There's a tank!\You're right. They have tanks, too. response:	Koichi, be caref
context: Koichi, this is the second floor,\but we're gonna bust out those windows and dive out.\I guess I was a bit naIve...\Just great... They have helicopters, too?\Those look like the American army's Apache helicopters.\Look out! There's a tank!\You're right. They have tanks, too.\Koichi, be caref response:	What?
context: but we're gonna bust out those windows and dive out.\I guess I was a bit naIve...\Just great... They have helicopters, too?\Those look like the American army's Apache helicopters.\Look out! There's a tank!\You're right. They have tanks, too.\Koichi, be caref\What? response:	Wh-What did you just say, Koichi? Can you see them?
context: I guess I was a bit naIve...\Just great... They have helicopters, too?\Those look like the American army's Apache helicopters.\Look out! There's a tank!\You're right. They have tanks, too.\Koichi, be caref\What?\Wh-What did you just say, Koichi? Can you see them? response:	These soldiers, tanks, and helicopters...
context: Just great... They have helicopters, too?\Those look like the American army's Apache helicopters.\Look out! There's a tank!\You're right. They have tanks, too.\Koichi, be caref\What?\Wh-What did you just say, Koichi? Can you see them?\These soldiers, tanks, and helicopters... response:	You can see them clearly?
context: Those look like the American army's Apache helicopters.\Look out! There's a tank!\You're right. They have tanks, too.\Koichi, be caref\What?\Wh-What did you just say, Koichi? Can you see them?\These soldiers, tanks, and helicopters...\You can see them clearly? response:	Yeah. I'm not sure what's going on, but I can see them.
context: Look out! There's a tank!\You're right. They have tanks, too.\Koichi, be caref\What?\Wh-What did you just say, Koichi? Can you see them?\These soldiers, tanks, and helicopters...\You can see them clearly?\Yeah. I'm not sure what's going on, but I can see them. response:	Could it be that since you were shot by that arrow, you became a Stand user?
context: You're right. They have tanks, too.\Koichi, be caref\What?\Wh-What did you just say, Koichi? Can you see them?\These soldiers, tanks, and helicopters...\You can see them clearly?\Yeah. I'm not sure what's going on, but I can see them.\Could it be that since you were shot by that arrow, you became a Stand user? response:	Oh? So the little shrimp
context: Koichi, be caref\What?\Wh-What did you just say, Koichi? Can you see them?\These soldiers, tanks, and helicopters...\You can see them clearly?\Yeah. I'm not sure what's going on, but I can see them.\Could it be that since you were shot by that arrow, you became a Stand user?\Oh? So the little shrimp response:	has the power to use a Stand now?
context: What?\Wh-What did you just say, Koichi? Can you see them?\These soldiers, tanks, and helicopters...\You can see them clearly?\Yeah. I'm not sure what's going on, but I can see them.\Could it be that since you were shot by that arrow, you became a Stand user?\Oh? So the little shrimp\has the power to use a Stand now? response:	There you are, Okuyasu's big bro.
context: Wh-What did you just say, Koichi? Can you see them?\These soldiers, tanks, and helicopters...\You can see them clearly?\Yeah. I'm not sure what's going on, but I can see them.\Could it be that since you were shot by that arrow, you became a Stand user?\Oh? So the little shrimp\has the power to use a Stand now?\There you are, Okuyasu's big bro. response:	You've got some guts, showing yourself like that!
context: These soldiers, tanks, and helicopters...\You can see them clearly?\Yeah. I'm not sure what's going on, but I can see them.\Could it be that since you were shot by that arrow, you became a Stand user?\Oh? So the little shrimp\has the power to use a Stand now?\There you are, Okuyasu's big bro.\You've got some guts, showing yourself like that! response:	My Stand, Worse Company, has unbreakable defense.
context: You can see them clearly?\Yeah. I'm not sure what's going on, but I can see them.\Could it be that since you were shot by that arrow, you became a Stand user?\Oh? So the little shrimp\has the power to use a Stand now?\There you are, Okuyasu's big bro.\You've got some guts, showing yourself like that!\My Stand, Worse Company, has unbreakable defense. response:	It's an army that won't let any invader leave alive.
context: Yeah. I'm not sure what's going on, but I can see them.\Could it be that since you were shot by that arrow, you became a Stand user?\Oh? So the little shrimp\has the power to use a Stand now?\There you are, Okuyasu's big bro.\You've got some guts, showing yourself like that!\My Stand, Worse Company, has unbreakable defense.\It's an army that won't let any invader leave alive. response:	I'm sure you want to beat me...
context: Could it be that since you were shot by that arrow, you became a Stand user?\Oh? So the little shrimp\has the power to use a Stand now?\There you are, Okuyasu's big bro.\You've got some guts, showing yourself like that!\My Stand, Worse Company, has unbreakable defense.\It's an army that won't let any invader leave alive.\I'm sure you want to beat me... response:	But I can tell you right now that your Shining Diamond's attacks
context: Oh? So the little shrimp\has the power to use a Stand now?\There you are, Okuyasu's big bro.\You've got some guts, showing yourself like that!\My Stand, Worse Company, has unbreakable defense.\It's an army that won't let any invader leave alive.\I'm sure you want to beat me...\But I can tell you right now that your Shining Diamond's attacks response:	will never reach me.
context: has the power to use a Stand now?\There you are, Okuyasu's big bro.\You've got some guts, showing yourself like that!\My Stand, Worse Company, has unbreakable defense.\It's an army that won't let any invader leave alive.\I'm sure you want to beat me...\But I can tell you right now that your Shining Diamond's attacks\will never reach me. response:	Look! Do you see my army's beautiful formation?
context: There you are, Okuyasu's big bro.\You've got some guts, showing yourself like that!\My Stand, Worse Company, has unbreakable defense.\It's an army that won't let any invader leave alive.\I'm sure you want to beat me...\But I can tell you right now that your Shining Diamond's attacks\will never reach me.\Look! Do you see my army's beautiful formation? response:	All units, maintain battle formation! At ease!
context: You've got some guts, showing yourself like that!\My Stand, Worse Company, has unbreakable defense.\It's an army that won't let any invader leave alive.\I'm sure you want to beat me...\But I can tell you right now that your Shining Diamond's attacks\will never reach me.\Look! Do you see my army's beautiful formation?\All units, maintain battle formation! At ease! response:	It feels so good when they're so beautifully together.
context: My Stand, Worse Company, has unbreakable defense.\It's an army that won't let any invader leave alive.\I'm sure you want to beat me...\But I can tell you right now that your Shining Diamond's attacks\will never reach me.\Look! Do you see my army's beautiful formation?\All units, maintain battle formation! At ease!\It feels so good when they're so beautifully together. response:	Though I'm a bit pissed off that their formation is
context: It's an army that won't let any invader leave alive.\I'm sure you want to beat me...\But I can tell you right now that your Shining Diamond's attacks\will never reach me.\Look! Do you see my army's beautiful formation?\All units, maintain battle formation! At ease!\It feels so good when they're so beautifully together.\Though I'm a bit pissed off that their formation is response:	a little off, since you killed two or three of them.
context: I'm sure you want to beat me...\But I can tell you right now that your Shining Diamond's attacks\will never reach me.\Look! Do you see my army's beautiful formation?\All units, maintain battle formation! At ease!\It feels so good when they're so beautifully together.\Though I'm a bit pissed off that their formation is\a little off, since you killed two or three of them. response:	You sure are methodical.
context: But I can tell you right now that your Shining Diamond's attacks\will never reach me.\Look! Do you see my army's beautiful formation?\All units, maintain battle formation! At ease!\It feels so good when they're so beautifully together.\Though I'm a bit pissed off that their formation is\a little off, since you killed two or three of them.\You sure are methodical. response:	You came out here just to explain that?
context: will never reach me.\Look! Do you see my army's beautiful formation?\All units, maintain battle formation! At ease!\It feels so good when they're so beautifully together.\Though I'm a bit pissed off that their formation is\a little off, since you killed two or three of them.\You sure are methodical.\You came out here just to explain that? response:	No, the reason I came out here
context: Look! Do you see my army's beautiful formation?\All units, maintain battle formation! At ease!\It feels so good when they're so beautifully together.\Though I'm a bit pissed off that their formation is\a little off, since you killed two or three of them.\You sure are methodical.\You came out here just to explain that?\No, the reason I came out here response:	is to watch you, brat.
context: All units, maintain battle formation! At ease!\It feels so good when they're so beautifully together.\Though I'm a bit pissed off that their formation is\a little off, since you killed two or three of them.\You sure are methodical.\You came out here just to explain that?\No, the reason I came out here\is to watch you, brat. response:	M-Me?
context: It feels so good when they're so beautifully together.\Though I'm a bit pissed off that their formation is\a little off, since you killed two or three of them.\You sure are methodical.\You came out here just to explain that?\No, the reason I came out here\is to watch you, brat.\M-Me? response:	That's right.
context: Though I'm a bit pissed off that their formation is\a little off, since you killed two or three of them.\You sure are methodical.\You came out here just to explain that?\No, the reason I came out here\is to watch you, brat.\M-Me?\That's right. response:	Koichi, was it?
context: a little off, since you killed two or three of them.\You sure are methodical.\You came out here just to explain that?\No, the reason I came out here\is to watch you, brat.\M-Me?\That's right.\Koichi, was it? response:	It seems, despite my expectations, you had the aptitude to be a Stand user.
context: You sure are methodical.\You came out here just to explain that?\No, the reason I came out here\is to watch you, brat.\M-Me?\That's right.\Koichi, was it?\It seems, despite my expectations, you had the aptitude to be a Stand user. response:	Make your Stand appear right now, and show me what it can do.
context: You came out here just to explain that?\No, the reason I came out here\is to watch you, brat.\M-Me?\That's right.\Koichi, was it?\It seems, despite my expectations, you had the aptitude to be a Stand user.\Make your Stand appear right now, and show me what it can do. response:	You might have the ability that I've been looking for.
context: No, the reason I came out here\is to watch you, brat.\M-Me?\That's right.\Koichi, was it?\It seems, despite my expectations, you had the aptitude to be a Stand user.\Make your Stand appear right now, and show me what it can do.\You might have the ability that I've been looking for. response:	If you have that ability, I'll let you live.
context: is to watch you, brat.\M-Me?\That's right.\Koichi, was it?\It seems, despite my expectations, you had the aptitude to be a Stand user.\Make your Stand appear right now, and show me what it can do.\You might have the ability that I've been looking for.\If you have that ability, I'll let you live. response:	B-But...
context: M-Me?\That's right.\Koichi, was it?\It seems, despite my expectations, you had the aptitude to be a Stand user.\Make your Stand appear right now, and show me what it can do.\You might have the ability that I've been looking for.\If you have that ability, I'll let you live.\B-But... response:	The ability you're looking for?
context: That's right.\Koichi, was it?\It seems, despite my expectations, you had the aptitude to be a Stand user.\Make your Stand appear right now, and show me what it can do.\You might have the ability that I've been looking for.\If you have that ability, I'll let you live.\B-But...\The ability you're looking for? response:	What the hell are you after?
context: Koichi, was it?\It seems, despite my expectations, you had the aptitude to be a Stand user.\Make your Stand appear right now, and show me what it can do.\You might have the ability that I've been looking for.\If you have that ability, I'll let you live.\B-But...\The ability you're looking for?\What the hell are you after? response:	You're in no position to be asking questions, Josuke!
context: It seems, despite my expectations, you had the aptitude to be a Stand user.\Make your Stand appear right now, and show me what it can do.\You might have the ability that I've been looking for.\If you have that ability, I'll let you live.\B-But...\The ability you're looking for?\What the hell are you after?\You're in no position to be asking questions, Josuke! response:	My decision to kill you hasn't changed!
context: Make your Stand appear right now, and show me what it can do.\You might have the ability that I've been looking for.\If you have that ability, I'll let you live.\B-But...\The ability you're looking for?\What the hell are you after?\You're in no position to be asking questions, Josuke!\My decision to kill you hasn't changed! response:	Be thankful that you get to live a bit longer.
context: You might have the ability that I've been looking for.\If you have that ability, I'll let you live.\B-But...\The ability you're looking for?\What the hell are you after?\You're in no position to be asking questions, Josuke!\My decision to kill you hasn't changed!\Be thankful that you get to live a bit longer. response:	That's just great.
context: If you have that ability, I'll let you live.\B-But...\The ability you're looking for?\What the hell are you after?\You're in no position to be asking questions, Josuke!\My decision to kill you hasn't changed!\Be thankful that you get to live a bit longer.\That's just great. response:	Hey, what're you doing?
context: B-But...\The ability you're looking for?\What the hell are you after?\You're in no position to be asking questions, Josuke!\My decision to kill you hasn't changed!\Be thankful that you get to live a bit longer.\That's just great.\Hey, what're you doing? response:	Make your Stand appear, brat!
context: The ability you're looking for?\What the hell are you after?\You're in no position to be asking questions, Josuke!\My decision to kill you hasn't changed!\Be thankful that you get to live a bit longer.\That's just great.\Hey, what're you doing?\Make your Stand appear, brat! response:	S-Stand? I have no idea what's going on...
context: What the hell are you after?\You're in no position to be asking questions, Josuke!\My decision to kill you hasn't changed!\Be thankful that you get to live a bit longer.\That's just great.\Hey, what're you doing?\Make your Stand appear, brat!\S-Stand? I have no idea what's going on... response:	Oh? It's your first time? I see!
context: You're in no position to be asking questions, Josuke!\My decision to kill you hasn't changed!\Be thankful that you get to live a bit longer.\That's just great.\Hey, what're you doing?\Make your Stand appear, brat!\S-Stand? I have no idea what's going on...\Oh? It's your first time? I see! response:	Fine! Josuke, show him how to make a Stand appear!
context: My decision to kill you hasn't changed!\Be thankful that you get to live a bit longer.\That's just great.\Hey, what're you doing?\Make your Stand appear, brat!\S-Stand? I have no idea what's going on...\Oh? It's your first time? I see!\Fine! Josuke, show him how to make a Stand appear! response:	Huh?
