context: We have an update on the Neo Hundred, response:	who are believed to be behind the destruction of
context: I think Tachikawa's gonna be in crisis.\Looks like the destruction of Earth is gonna start in Tachikawa.\I thought that might be your move.\You ready?\You still look like you're having fun.\I am!\I'm bursting with excitement!\Wait! Where are you, Katze-san? response:	Katze-san?
context: Looks like the destruction of Earth is gonna start in Tachikawa.\I thought that might be your move.\You ready?\You still look like you're having fun.\I am!\I'm bursting with excitement!\Wait! Where are you, Katze-san?\Katze-san? response:	Wake up, Newbie!
context: I thought that might be your move.\You ready?\You still look like you're having fun.\I am!\I'm bursting with excitement!\Wait! Where are you, Katze-san?\Katze-san?\Wake up, Newbie! response:	Tachikawa's in serious trouble!
context: You ready?\You still look like you're having fun.\I am!\I'm bursting with excitement!\Wait! Where are you, Katze-san?\Katze-san?\Wake up, Newbie!\Tachikawa's in serious trouble! response:	Uh, oh.
context: You still look like you're having fun.\I am!\I'm bursting with excitement!\Wait! Where are you, Katze-san?\Katze-san?\Wake up, Newbie!\Tachikawa's in serious trouble!\Uh, oh. response:	Here they come.
context: I am!\I'm bursting with excitement!\Wait! Where are you, Katze-san?\Katze-san?\Wake up, Newbie!\Tachikawa's in serious trouble!\Uh, oh.\Here they come. response:	They're after Prime Minister Sugayama!
context: I'm bursting with excitement!\Wait! Where are you, Katze-san?\Katze-san?\Wake up, Newbie!\Tachikawa's in serious trouble!\Uh, oh.\Here they come.\They're after Prime Minister Sugayama! response:	Katze told them where he is.
context: Wait! Where are you, Katze-san?\Katze-san?\Wake up, Newbie!\Tachikawa's in serious trouble!\Uh, oh.\Here they come.\They're after Prime Minister Sugayama!\Katze told them where he is. response:	I see.
context: Katze-san?\Wake up, Newbie!\Tachikawa's in serious trouble!\Uh, oh.\Here they come.\They're after Prime Minister Sugayama!\Katze told them where he is.\I see. response:	Is everyone ready?
context: Wake up, Newbie!\Tachikawa's in serious trouble!\Uh, oh.\Here they come.\They're after Prime Minister Sugayama!\Katze told them where he is.\I see.\Is everyone ready? response:	We have urgent news.
context: Tachikawa's in serious trouble!\Uh, oh.\Here they come.\They're after Prime Minister Sugayama!\Katze told them where he is.\I see.\Is everyone ready?\We have urgent news. response:	The Neo Hundred has just released a declaration.
context: Uh, oh.\Here they come.\They're after Prime Minister Sugayama!\Katze told them where he is.\I see.\Is everyone ready?\We have urgent news.\The Neo Hundred has just released a declaration. response:	We declare to Prime Minister Sugayama
context: Here they come.\They're after Prime Minister Sugayama!\Katze told them where he is.\I see.\Is everyone ready?\We have urgent news.\The Neo Hundred has just released a declaration.\We declare to Prime Minister Sugayama response:	that we, the Neo Hundred,
context: They're after Prime Minister Sugayama!\Katze told them where he is.\I see.\Is everyone ready?\We have urgent news.\The Neo Hundred has just released a declaration.\We declare to Prime Minister Sugayama\that we, the Neo Hundred, response:	will assemble in Tachikawa
context: Katze told them where he is.\I see.\Is everyone ready?\We have urgent news.\The Neo Hundred has just released a declaration.\We declare to Prime Minister Sugayama\that we, the Neo Hundred,\will assemble in Tachikawa response:	in order to take you into custody.
context: I see.\Is everyone ready?\We have urgent news.\The Neo Hundred has just released a declaration.\We declare to Prime Minister Sugayama\that we, the Neo Hundred,\will assemble in Tachikawa\in order to take you into custody. response:	You've got to be kidding me.
context: Is everyone ready?\We have urgent news.\The Neo Hundred has just released a declaration.\We declare to Prime Minister Sugayama\that we, the Neo Hundred,\will assemble in Tachikawa\in order to take you into custody.\You've got to be kidding me. response:	What? What's happening?
context: We have urgent news.\The Neo Hundred has just released a declaration.\We declare to Prime Minister Sugayama\that we, the Neo Hundred,\will assemble in Tachikawa\in order to take you into custody.\You've got to be kidding me.\What? What's happening? response:	The CROWDS are right there.
context: The Neo Hundred has just released a declaration.\We declare to Prime Minister Sugayama\that we, the Neo Hundred,\will assemble in Tachikawa\in order to take you into custody.\You've got to be kidding me.\What? What's happening?\The CROWDS are right there. response:	Mayor.
context: We declare to Prime Minister Sugayama\that we, the Neo Hundred,\will assemble in Tachikawa\in order to take you into custody.\You've got to be kidding me.\What? What's happening?\The CROWDS are right there.\Mayor. response:	Prime Minister!
context: that we, the Neo Hundred,\will assemble in Tachikawa\in order to take you into custody.\You've got to be kidding me.\What? What's happening?\The CROWDS are right there.\Mayor.\Prime Minister! response:	Prime Minister, please issue orders ASAP.
context: will assemble in Tachikawa\in order to take you into custody.\You've got to be kidding me.\What? What's happening?\The CROWDS are right there.\Mayor.\Prime Minister!\Prime Minister, please issue orders ASAP. response:	Orders?
context: in order to take you into custody.\You've got to be kidding me.\What? What's happening?\The CROWDS are right there.\Mayor.\Prime Minister!\Prime Minister, please issue orders ASAP.\Orders? response:	How can I issue orders to attack something invisible?
context: You've got to be kidding me.\What? What's happening?\The CROWDS are right there.\Mayor.\Prime Minister!\Prime Minister, please issue orders ASAP.\Orders?\How can I issue orders to attack something invisible? response:	It'll be fine!
context: What? What's happening?\The CROWDS are right there.\Mayor.\Prime Minister!\Prime Minister, please issue orders ASAP.\Orders?\How can I issue orders to attack something invisible?\It'll be fine! response:	Hajime-chan.
context: The CROWDS are right there.\Mayor.\Prime Minister!\Prime Minister, please issue orders ASAP.\Orders?\How can I issue orders to attack something invisible?\It'll be fine!\Hajime-chan. response:	Hajime-chan.
context: Mayor.\Prime Minister!\Prime Minister, please issue orders ASAP.\Orders?\How can I issue orders to attack something invisible?\It'll be fine!\Hajime-chan.\Hajime-chan. response:	Hajime-chan?
context: Prime Minister!\Prime Minister, please issue orders ASAP.\Orders?\How can I issue orders to attack something invisible?\It'll be fine!\Hajime-chan.\Hajime-chan.\Hajime-chan? response:	Nobu-san.
context: Prime Minister, please issue orders ASAP.\Orders?\How can I issue orders to attack something invisible?\It'll be fine!\Hajime-chan.\Hajime-chan.\Hajime-chan?\Nobu-san. response:	I am the one running GALAX, Ninomiya Rui.
context: Orders?\How can I issue orders to attack something invisible?\It'll be fine!\Hajime-chan.\Hajime-chan.\Hajime-chan?\Nobu-san.\I am the one running GALAX, Ninomiya Rui. response:	So you're Rui-kun.
context: How can I issue orders to attack something invisible?\It'll be fine!\Hajime-chan.\Hajime-chan.\Hajime-chan?\Nobu-san.\I am the one running GALAX, Ninomiya Rui.\So you're Rui-kun. response:	I'll make it possible to see the CROWDS.
context: It'll be fine!\Hajime-chan.\Hajime-chan.\Hajime-chan?\Nobu-san.\I am the one running GALAX, Ninomiya Rui.\So you're Rui-kun.\I'll make it possible to see the CROWDS. response:	Hajime-chan.
context: Hajime-chan.\Hajime-chan.\Hajime-chan?\Nobu-san.\I am the one running GALAX, Ninomiya Rui.\So you're Rui-kun.\I'll make it possible to see the CROWDS.\Hajime-chan. response:	Okay!
context: Hajime-chan.\Hajime-chan?\Nobu-san.\I am the one running GALAX, Ninomiya Rui.\So you're Rui-kun.\I'll make it possible to see the CROWDS.\Hajime-chan.\Okay! response:	Amnesia Remind!
context: Hajime-chan?\Nobu-san.\I am the one running GALAX, Ninomiya Rui.\So you're Rui-kun.\I'll make it possible to see the CROWDS.\Hajime-chan.\Okay!\Amnesia Remind! response:	That's the CROWDS?
context: Nobu-san.\I am the one running GALAX, Ninomiya Rui.\So you're Rui-kun.\I'll make it possible to see the CROWDS.\Hajime-chan.\Okay!\Amnesia Remind!\That's the CROWDS? response:	Yep.
context: I am the one running GALAX, Ninomiya Rui.\So you're Rui-kun.\I'll make it possible to see the CROWDS.\Hajime-chan.\Okay!\Amnesia Remind!\That's the CROWDS?\Yep. response:	Everyone's hearts are going berserk!
context: So you're Rui-kun.\I'll make it possible to see the CROWDS.\Hajime-chan.\Okay!\Amnesia Remind!\That's the CROWDS?\Yep.\Everyone's hearts are going berserk! response:	Hearts?
context: I'll make it possible to see the CROWDS.\Hajime-chan.\Okay!\Amnesia Remind!\That's the CROWDS?\Yep.\Everyone's hearts are going berserk!\Hearts? response:	What is your command, Prime Minister?
context: Hajime-chan.\Okay!\Amnesia Remind!\That's the CROWDS?\Yep.\Everyone's hearts are going berserk!\Hearts?\What is your command, Prime Minister? response:	The CROWDS are controlled by humans, right?
context: Okay!\Amnesia Remind!\That's the CROWDS?\Yep.\Everyone's hearts are going berserk!\Hearts?\What is your command, Prime Minister?\The CROWDS are controlled by humans, right? response:	People will go into a coma if we attack, right?
context: Amnesia Remind!\That's the CROWDS?\Yep.\Everyone's hearts are going berserk!\Hearts?\What is your command, Prime Minister?\The CROWDS are controlled by humans, right?\People will go into a coma if we attack, right? response:	It'll be fine!
context: That's the CROWDS?\Yep.\Everyone's hearts are going berserk!\Hearts?\What is your command, Prime Minister?\The CROWDS are controlled by humans, right?\People will go into a coma if we attack, right?\It'll be fine! response:	We'll catch them alive without hurting them!
context: Yep.\Everyone's hearts are going berserk!\Hearts?\What is your command, Prime Minister?\The CROWDS are controlled by humans, right?\People will go into a coma if we attack, right?\It'll be fine!\We'll catch them alive without hurting them! response:	Delivering a certain amount of shock to the CROWDS will freeze them.
context: Everyone's hearts are going berserk!\Hearts?\What is your command, Prime Minister?\The CROWDS are controlled by humans, right?\People will go into a coma if we attack, right?\It'll be fine!\We'll catch them alive without hurting them!\Delivering a certain amount of shock to the CROWDS will freeze them. response:	This should minimize harm to its human users.
context: Hearts?\What is your command, Prime Minister?\The CROWDS are controlled by humans, right?\People will go into a coma if we attack, right?\It'll be fine!\We'll catch them alive without hurting them!\Delivering a certain amount of shock to the CROWDS will freeze them.\This should minimize harm to its human users. response:	Reveal your names!
context: What is your command, Prime Minister?\The CROWDS are controlled by humans, right?\People will go into a coma if we attack, right?\It'll be fine!\We'll catch them alive without hurting them!\Delivering a certain amount of shock to the CROWDS will freeze them.\This should minimize harm to its human users.\Reveal your names! response:	If you will not, then listen!
context: The CROWDS are controlled by humans, right?\People will go into a coma if we attack, right?\It'll be fine!\We'll catch them alive without hurting them!\Delivering a certain amount of shock to the CROWDS will freeze them.\This should minimize harm to its human users.\Reveal your names!\If you will not, then listen! response:	Who are they?
context: People will go into a coma if we attack, right?\It'll be fine!\We'll catch them alive without hurting them!\Delivering a certain amount of shock to the CROWDS will freeze them.\This should minimize harm to its human users.\Reveal your names!\If you will not, then listen!\Who are they? response:	Could they be...
context: It'll be fine!\We'll catch them alive without hurting them!\Delivering a certain amount of shock to the CROWDS will freeze them.\This should minimize harm to its human users.\Reveal your names!\If you will not, then listen!\Who are they?\Could they be... response:	We are...
context: We'll catch them alive without hurting them!\Delivering a certain amount of shock to the CROWDS will freeze them.\This should minimize harm to its human users.\Reveal your names!\If you will not, then listen!\Who are they?\Could they be...\We are... response:	the wings that protect this planet!
context: Delivering a certain amount of shock to the CROWDS will freeze them.\This should minimize harm to its human users.\Reveal your names!\If you will not, then listen!\Who are they?\Could they be...\We are...\the wings that protect this planet! response:	We're the Gatchaman!
context: This should minimize harm to its human users.\Reveal your names!\If you will not, then listen!\Who are they?\Could they be...\We are...\the wings that protect this planet!\We're the Gatchaman! response:	Rending Gale Blade!
context: Reveal your names!\If you will not, then listen!\Who are they?\Could they be...\We are...\the wings that protect this planet!\We're the Gatchaman!\Rending Gale Blade! response:	Awesome, Senpai!
context: If you will not, then listen!\Who are they?\Could they be...\We are...\the wings that protect this planet!\We're the Gatchaman!\Rending Gale Blade!\Awesome, Senpai! response:	I guess I should get going, too!
context: Who are they?\Could they be...\We are...\the wings that protect this planet!\We're the Gatchaman!\Rending Gale Blade!\Awesome, Senpai!\I guess I should get going, too! response:	Go, Bird!
context: Could they be...\We are...\the wings that protect this planet!\We're the Gatchaman!\Rending Gale Blade!\Awesome, Senpai!\I guess I should get going, too!\Go, Bird! response:	Petits Ciseaux!
context: We are...\the wings that protect this planet!\We're the Gatchaman!\Rending Gale Blade!\Awesome, Senpai!\I guess I should get going, too!\Go, Bird!\Petits Ciseaux! response:	Gatchaman really exist?
context: the wings that protect this planet!\We're the Gatchaman!\Rending Gale Blade!\Awesome, Senpai!\I guess I should get going, too!\Go, Bird!\Petits Ciseaux!\Gatchaman really exist? response:	The CROWDS!
context: We're the Gatchaman!\Rending Gale Blade!\Awesome, Senpai!\I guess I should get going, too!\Go, Bird!\Petits Ciseaux!\Gatchaman really exist?\The CROWDS! response:	O-Over here, too!
context: Rending Gale Blade!\Awesome, Senpai!\I guess I should get going, too!\Go, Bird!\Petits Ciseaux!\Gatchaman really exist?\The CROWDS!\O-Over here, too! response:	What should we do, Commander?
context: Awesome, Senpai!\I guess I should get going, too!\Go, Bird!\Petits Ciseaux!\Gatchaman really exist?\The CROWDS!\O-Over here, too!\What should we do, Commander? response:	Go, Bird!
context: I guess I should get going, too!\Go, Bird!\Petits Ciseaux!\Gatchaman really exist?\The CROWDS!\O-Over here, too!\What should we do, Commander?\Go, Bird! response:	Gatcha here!
context: Go, Bird!\Petits Ciseaux!\Gatchaman really exist?\The CROWDS!\O-Over here, too!\What should we do, Commander?\Go, Bird!\Gatcha here! response:	We can win.
context: Petits Ciseaux!\Gatchaman really exist?\The CROWDS!\O-Over here, too!\What should we do, Commander?\Go, Bird!\Gatcha here!\We can win. response:	CROWDS are approaching in massive numbers from the south!
context: Gatchaman really exist?\The CROWDS!\O-Over here, too!\What should we do, Commander?\Go, Bird!\Gatcha here!\We can win.\CROWDS are approaching in massive numbers from the south! response:	We must do something.
context: The CROWDS!\O-Over here, too!\What should we do, Commander?\Go, Bird!\Gatcha here!\We can win.\CROWDS are approaching in massive numbers from the south!\We must do something. response:	Evacuating the citizens from the city
context: O-Over here, too!\What should we do, Commander?\Go, Bird!\Gatcha here!\We can win.\CROWDS are approaching in massive numbers from the south!\We must do something.\Evacuating the citizens from the city response:	at this stage carries too great a risk.
context: What should we do, Commander?\Go, Bird!\Gatcha here!\We can win.\CROWDS are approaching in massive numbers from the south!\We must do something.\Evacuating the citizens from the city\at this stage carries too great a risk. response:	First, let's evacuate them to areas within the city first.
context: Go, Bird!\Gatcha here!\We can win.\CROWDS are approaching in massive numbers from the south!\We must do something.\Evacuating the citizens from the city\at this stage carries too great a risk.\First, let's evacuate them to areas within the city first. response:	Then use GALAX to issue evacuation orders.
context: Gatcha here!\We can win.\CROWDS are approaching in massive numbers from the south!\We must do something.\Evacuating the citizens from the city\at this stage carries too great a risk.\First, let's evacuate them to areas within the city first.\Then use GALAX to issue evacuation orders. response:	Wait.
context: We can win.\CROWDS are approaching in massive numbers from the south!\We must do something.\Evacuating the citizens from the city\at this stage carries too great a risk.\First, let's evacuate them to areas within the city first.\Then use GALAX to issue evacuation orders.\Wait. response:	GALAX is still under Katze's control.
context: CROWDS are approaching in massive numbers from the south!\We must do something.\Evacuating the citizens from the city\at this stage carries too great a risk.\First, let's evacuate them to areas within the city first.\Then use GALAX to issue evacuation orders.\Wait.\GALAX is still under Katze's control. response:	The internet is too dangerous.
context: We must do something.\Evacuating the citizens from the city\at this stage carries too great a risk.\First, let's evacuate them to areas within the city first.\Then use GALAX to issue evacuation orders.\Wait.\GALAX is still under Katze's control.\The internet is too dangerous. response:	Please refrain from using it, for the time being.
context: Evacuating the citizens from the city\at this stage carries too great a risk.\First, let's evacuate them to areas within the city first.\Then use GALAX to issue evacuation orders.\Wait.\GALAX is still under Katze's control.\The internet is too dangerous.\Please refrain from using it, for the time being. response:	Tell people to stop using the internet
context: at this stage carries too great a risk.\First, let's evacuate them to areas within the city first.\Then use GALAX to issue evacuation orders.\Wait.\GALAX is still under Katze's control.\The internet is too dangerous.\Please refrain from using it, for the time being.\Tell people to stop using the internet response:	through the Disaster Prevention and Community Safety divisions.
context: First, let's evacuate them to areas within the city first.\Then use GALAX to issue evacuation orders.\Wait.\GALAX is still under Katze's control.\The internet is too dangerous.\Please refrain from using it, for the time being.\Tell people to stop using the internet\through the Disaster Prevention and Community Safety divisions. response:	Roger!
context: Then use GALAX to issue evacuation orders.\Wait.\GALAX is still under Katze's control.\The internet is too dangerous.\Please refrain from using it, for the time being.\Tell people to stop using the internet\through the Disaster Prevention and Community Safety divisions.\Roger! response:	I'm so sorry!
context: Wait.\GALAX is still under Katze's control.\The internet is too dangerous.\Please refrain from using it, for the time being.\Tell people to stop using the internet\through the Disaster Prevention and Community Safety divisions.\Roger!\I'm so sorry! response:	I swear I will take Director X back from Katze.
context: GALAX is still under Katze's control.\The internet is too dangerous.\Please refrain from using it, for the time being.\Tell people to stop using the internet\through the Disaster Prevention and Community Safety divisions.\Roger!\I'm so sorry!\I swear I will take Director X back from Katze. response:	When you do, Rui-kun, we'll follow your lead.
context: The internet is too dangerous.\Please refrain from using it, for the time being.\Tell people to stop using the internet\through the Disaster Prevention and Community Safety divisions.\Roger!\I'm so sorry!\I swear I will take Director X back from Katze.\When you do, Rui-kun, we'll follow your lead. response:	Why would they listen to that brat?
context: Please refrain from using it, for the time being.\Tell people to stop using the internet\through the Disaster Prevention and Community Safety divisions.\Roger!\I'm so sorry!\I swear I will take Director X back from Katze.\When you do, Rui-kun, we'll follow your lead.\Why would they listen to that brat? response:	We'll be running point defense!
context: Tell people to stop using the internet\through the Disaster Prevention and Community Safety divisions.\Roger!\I'm so sorry!\I swear I will take Director X back from Katze.\When you do, Rui-kun, we'll follow your lead.\Why would they listen to that brat?\We'll be running point defense! response:	Assign all Tachikawa citizens
context: through the Disaster Prevention and Community Safety divisions.\Roger!\I'm so sorry!\I swear I will take Director X back from Katze.\When you do, Rui-kun, we'll follow your lead.\Why would they listen to that brat?\We'll be running point defense!\Assign all Tachikawa citizens response:	to strategically defensible locations and evacuate them!
context: Roger!\I'm so sorry!\I swear I will take Director X back from Katze.\When you do, Rui-kun, we'll follow your lead.\Why would they listen to that brat?\We'll be running point defense!\Assign all Tachikawa citizens\to strategically defensible locations and evacuate them! response:	Whoa!
context: I'm so sorry!\I swear I will take Director X back from Katze.\When you do, Rui-kun, we'll follow your lead.\Why would they listen to that brat?\We'll be running point defense!\Assign all Tachikawa citizens\to strategically defensible locations and evacuate them!\Whoa! response:	Use the local schools,
context: I swear I will take Director X back from Katze.\When you do, Rui-kun, we'll follow your lead.\Why would they listen to that brat?\We'll be running point defense!\Assign all Tachikawa citizens\to strategically defensible locations and evacuate them!\Whoa!\Use the local schools, response:	Huh?
context: When you do, Rui-kun, we'll follow your lead.\Why would they listen to that brat?\We'll be running point defense!\Assign all Tachikawa citizens\to strategically defensible locations and evacuate them!\Whoa!\Use the local schools,\Huh? response:	the Tama River area, and Hanamidori Park!
context: Why would they listen to that brat?\We'll be running point defense!\Assign all Tachikawa citizens\to strategically defensible locations and evacuate them!\Whoa!\Use the local schools,\Huh?\the Tama River area, and Hanamidori Park! response:	What?
context: We'll be running point defense!\Assign all Tachikawa citizens\to strategically defensible locations and evacuate them!\Whoa!\Use the local schools,\Huh?\the Tama River area, and Hanamidori Park!\What? response:	Police and riot police, evacuate the citizens ASAP!
context: Assign all Tachikawa citizens\to strategically defensible locations and evacuate them!\Whoa!\Use the local schools,\Huh?\the Tama River area, and Hanamidori Park!\What?\Police and riot police, evacuate the citizens ASAP! response:	Hey...
context: to strategically defensible locations and evacuate them!\Whoa!\Use the local schools,\Huh?\the Tama River area, and Hanamidori Park!\What?\Police and riot police, evacuate the citizens ASAP!\Hey... response:	Roger!
context: Whoa!\Use the local schools,\Huh?\the Tama River area, and Hanamidori Park!\What?\Police and riot police, evacuate the citizens ASAP!\Hey...\Roger! response:	Firefighting squads, assist them!
context: Use the local schools,\Huh?\the Tama River area, and Hanamidori Park!\What?\Police and riot police, evacuate the citizens ASAP!\Hey...\Roger!\Firefighting squads, assist them! response:	Hey.
context: Huh?\the Tama River area, and Hanamidori Park!\What?\Police and riot police, evacuate the citizens ASAP!\Hey...\Roger!\Firefighting squads, assist them!\Hey. response:	Roger.
context: the Tama River area, and Hanamidori Park!\What?\Police and riot police, evacuate the citizens ASAP!\Hey...\Roger!\Firefighting squads, assist them!\Hey.\Roger. response:	The disaster prevention division will go with them, too!
context: What?\Police and riot police, evacuate the citizens ASAP!\Hey...\Roger!\Firefighting squads, assist them!\Hey.\Roger.\The disaster prevention division will go with them, too! response:	All right!
context: Police and riot police, evacuate the citizens ASAP!\Hey...\Roger!\Firefighting squads, assist them!\Hey.\Roger.\The disaster prevention division will go with them, too!\All right! response:	Coordinate your efforts to deal with anything that may happen!
context: Hey...\Roger!\Firefighting squads, assist them!\Hey.\Roger.\The disaster prevention division will go with them, too!\All right!\Coordinate your efforts to deal with anything that may happen! response:	Roger!
context: Roger!\Firefighting squads, assist them!\Hey.\Roger.\The disaster prevention division will go with them, too!\All right!\Coordinate your efforts to deal with anything that may happen!\Roger! response:	Hey.
context: Firefighting squads, assist them!\Hey.\Roger.\The disaster prevention division will go with them, too!\All right!\Coordinate your efforts to deal with anything that may happen!\Roger!\Hey. response:	Self-Defense Force, deploy a chopper and scout the CROWDS' location!
context: Hey.\Roger.\The disaster prevention division will go with them, too!\All right!\Coordinate your efforts to deal with anything that may happen!\Roger!\Hey.\Self-Defense Force, deploy a chopper and scout the CROWDS' location! response:	Help defend the citizens!
context: Roger.\The disaster prevention division will go with them, too!\All right!\Coordinate your efforts to deal with anything that may happen!\Roger!\Hey.\Self-Defense Force, deploy a chopper and scout the CROWDS' location!\Help defend the citizens! response:	Roger!
context: The disaster prevention division will go with them, too!\All right!\Coordinate your efforts to deal with anything that may happen!\Roger!\Hey.\Self-Defense Force, deploy a chopper and scout the CROWDS' location!\Help defend the citizens!\Roger! response:	Hey, wait!
context: All right!\Coordinate your efforts to deal with anything that may happen!\Roger!\Hey.\Self-Defense Force, deploy a chopper and scout the CROWDS' location!\Help defend the citizens!\Roger!\Hey, wait! response:	The Self-Defense Force? Who gave permission?
context: Coordinate your efforts to deal with anything that may happen!\Roger!\Hey.\Self-Defense Force, deploy a chopper and scout the CROWDS' location!\Help defend the citizens!\Roger!\Hey, wait!\The Self-Defense Force? Who gave permission? response:	Did you go through the proper channels?
context: Roger!\Hey.\Self-Defense Force, deploy a chopper and scout the CROWDS' location!\Help defend the citizens!\Roger!\Hey, wait!\The Self-Defense Force? Who gave permission?\Did you go through the proper channels? response:	Now's not the time for that!
context: Hey.\Self-Defense Force, deploy a chopper and scout the CROWDS' location!\Help defend the citizens!\Roger!\Hey, wait!\The Self-Defense Force? Who gave permission?\Did you go through the proper channels?\Now's not the time for that! response:	What? Who do you think you are?!
context: Self-Defense Force, deploy a chopper and scout the CROWDS' location!\Help defend the citizens!\Roger!\Hey, wait!\The Self-Defense Force? Who gave permission?\Did you go through the proper channels?\Now's not the time for that!\What? Who do you think you are?! response:	A situation is already underway.
context: Help defend the citizens!\Roger!\Hey, wait!\The Self-Defense Force? Who gave permission?\Did you go through the proper channels?\Now's not the time for that!\What? Who do you think you are?!\A situation is already underway. response:	Now's not the time to be worrying about regulations and protocol!
context: Roger!\Hey, wait!\The Self-Defense Force? Who gave permission?\Did you go through the proper channels?\Now's not the time for that!\What? Who do you think you are?!\A situation is already underway.\Now's not the time to be worrying about regulations and protocol! response:	Open your eyes and think about
context: Hey, wait!\The Self-Defense Force? Who gave permission?\Did you go through the proper channels?\Now's not the time for that!\What? Who do you think you are?!\A situation is already underway.\Now's not the time to be worrying about regulations and protocol!\Open your eyes and think about response:	the appropriate course of action for what's happening here!
context: The Self-Defense Force? Who gave permission?\Did you go through the proper channels?\Now's not the time for that!\What? Who do you think you are?!\A situation is already underway.\Now's not the time to be worrying about regulations and protocol!\Open your eyes and think about\the appropriate course of action for what's happening here! response:	How dare you speak to me like that?
context: Did you go through the proper channels?\Now's not the time for that!\What? Who do you think you are?!\A situation is already underway.\Now's not the time to be worrying about regulations and protocol!\Open your eyes and think about\the appropriate course of action for what's happening here!\How dare you speak to me like that? response:	It was you GALAXters acting up
context: Now's not the time for that!\What? Who do you think you are?!\A situation is already underway.\Now's not the time to be worrying about regulations and protocol!\Open your eyes and think about\the appropriate course of action for what's happening here!\How dare you speak to me like that?\It was you GALAXters acting up response:	that led to this in the first place.
context: What? Who do you think you are?!\A situation is already underway.\Now's not the time to be worrying about regulations and protocol!\Open your eyes and think about\the appropriate course of action for what's happening here!\How dare you speak to me like that?\It was you GALAXters acting up\that led to this in the first place. response:	Do you get that?
context: A situation is already underway.\Now's not the time to be worrying about regulations and protocol!\Open your eyes and think about\the appropriate course of action for what's happening here!\How dare you speak to me like that?\It was you GALAXters acting up\that led to this in the first place.\Do you get that? response:	Don't put us on the same level as an online hack job!
context: Now's not the time to be worrying about regulations and protocol!\Open your eyes and think about\the appropriate course of action for what's happening here!\How dare you speak to me like that?\It was you GALAXters acting up\that led to this in the first place.\Do you get that?\Don't put us on the same level as an online hack job! response:	No Self-Defense Force!
context: Open your eyes and think about\the appropriate course of action for what's happening here!\How dare you speak to me like that?\It was you GALAXters acting up\that led to this in the first place.\Do you get that?\Don't put us on the same level as an online hack job!\No Self-Defense Force! response:	That's an order from the Prime Minister!
context: the appropriate course of action for what's happening here!\How dare you speak to me like that?\It was you GALAXters acting up\that led to this in the first place.\Do you get that?\Don't put us on the same level as an online hack job!\No Self-Defense Force!\That's an order from the Prime Minister! response:	Please, let us go, Prime Minister!
context: How dare you speak to me like that?\It was you GALAXters acting up\that led to this in the first place.\Do you get that?\Don't put us on the same level as an online hack job!\No Self-Defense Force!\That's an order from the Prime Minister!\Please, let us go, Prime Minister! response:	The Self-Defense Force has a duty to protect the people.
context: It was you GALAXters acting up\that led to this in the first place.\Do you get that?\Don't put us on the same level as an online hack job!\No Self-Defense Force!\That's an order from the Prime Minister!\Please, let us go, Prime Minister!\The Self-Defense Force has a duty to protect the people. response:	We can't just stand by and watch as a tragedy unfolds!
context: that led to this in the first place.\Do you get that?\Don't put us on the same level as an online hack job!\No Self-Defense Force!\That's an order from the Prime Minister!\Please, let us go, Prime Minister!\The Self-Defense Force has a duty to protect the people.\We can't just stand by and watch as a tragedy unfolds! response:	Prime Minister, Tachikawa is capable of functioning as a second capital.
context: Do you get that?\Don't put us on the same level as an online hack job!\No Self-Defense Force!\That's an order from the Prime Minister!\Please, let us go, Prime Minister!\The Self-Defense Force has a duty to protect the people.\We can't just stand by and watch as a tragedy unfolds!\Prime Minister, Tachikawa is capable of functioning as a second capital. response:	All of us here have undertaken our responsibilities
context: Don't put us on the same level as an online hack job!\No Self-Defense Force!\That's an order from the Prime Minister!\Please, let us go, Prime Minister!\The Self-Defense Force has a duty to protect the people.\We can't just stand by and watch as a tragedy unfolds!\Prime Minister, Tachikawa is capable of functioning as a second capital.\All of us here have undertaken our responsibilities response:	with great pride, until now.
context: No Self-Defense Force!\That's an order from the Prime Minister!\Please, let us go, Prime Minister!\The Self-Defense Force has a duty to protect the people.\We can't just stand by and watch as a tragedy unfolds!\Prime Minister, Tachikawa is capable of functioning as a second capital.\All of us here have undertaken our responsibilities\with great pride, until now. response:	Please believe in us.
context: That's an order from the Prime Minister!\Please, let us go, Prime Minister!\The Self-Defense Force has a duty to protect the people.\We can't just stand by and watch as a tragedy unfolds!\Prime Minister, Tachikawa is capable of functioning as a second capital.\All of us here have undertaken our responsibilities\with great pride, until now.\Please believe in us. response:	We will protect the citizens, without fail!
context: Please, let us go, Prime Minister!\The Self-Defense Force has a duty to protect the people.\We can't just stand by and watch as a tragedy unfolds!\Prime Minister, Tachikawa is capable of functioning as a second capital.\All of us here have undertaken our responsibilities\with great pride, until now.\Please believe in us.\We will protect the citizens, without fail! response:	I approve the deployment.
context: The Self-Defense Force has a duty to protect the people.\We can't just stand by and watch as a tragedy unfolds!\Prime Minister, Tachikawa is capable of functioning as a second capital.\All of us here have undertaken our responsibilities\with great pride, until now.\Please believe in us.\We will protect the citizens, without fail!\I approve the deployment. response:	However, I am accountable, as well.
context: We can't just stand by and watch as a tragedy unfolds!\Prime Minister, Tachikawa is capable of functioning as a second capital.\All of us here have undertaken our responsibilities\with great pride, until now.\Please believe in us.\We will protect the citizens, without fail!\I approve the deployment.\However, I am accountable, as well. response:	I do not condone an attack of any sort!
