context: What's going on? response:	W-Who are you?!
context: I'll let you owe me one for today.\Akitsu!\Wait!\I brought him to my room on impulse...\What should I do?\Man, though, he really is cute...\A small face!\Slender hips! response:	And even more, he's wearing short pants!
context: Akitsu!\Wait!\I brought him to my room on impulse...\What should I do?\Man, though, he really is cute...\A small face!\Slender hips!\And even more, he's wearing short pants! response:	Um...
context: Wait!\I brought him to my room on impulse...\What should I do?\Man, though, he really is cute...\A small face!\Slender hips!\And even more, he's wearing short pants!\Um... response:	Yes?!
context: I brought him to my room on impulse...\What should I do?\Man, though, he really is cute...\A small face!\Slender hips!\And even more, he's wearing short pants!\Um...\Yes?! response:	I'm sure... I'm your Sekirei.
context: What should I do?\Man, though, he really is cute...\A small face!\Slender hips!\And even more, he's wearing short pants!\Um...\Yes?!\I'm sure... I'm your Sekirei. response:	Please give me your... seal.
context: Man, though, he really is cute...\A small face!\Slender hips!\And even more, he's wearing short pants!\Um...\Yes?!\I'm sure... I'm your Sekirei.\Please give me your... seal. response:	I used my full power only for a short time... Damn this body!
context: A small face!\Slender hips!\And even more, he's wearing short pants!\Um...\Yes?!\I'm sure... I'm your Sekirei.\Please give me your... seal.\I used my full power only for a short time... Damn this body! response:	Well, there's no help for it. I gotta ask Takami-san to retrieve me...
context: Slender hips!\And even more, he's wearing short pants!\Um...\Yes?!\I'm sure... I'm your Sekirei.\Please give me your... seal.\I used my full power only for a short time... Damn this body!\Well, there's no help for it. I gotta ask Takami-san to retrieve me... response:	If this goes on, maybe I'll be all ash in the morning...
context: And even more, he's wearing short pants!\Um...\Yes?!\I'm sure... I'm your Sekirei.\Please give me your... seal.\I used my full power only for a short time... Damn this body!\Well, there's no help for it. I gotta ask Takami-san to retrieve me...\If this goes on, maybe I'll be all ash in the morning... response:	Self-cremation, huh? I don't like that...
context: Um...\Yes?!\I'm sure... I'm your Sekirei.\Please give me your... seal.\I used my full power only for a short time... Damn this body!\Well, there's no help for it. I gotta ask Takami-san to retrieve me...\If this goes on, maybe I'll be all ash in the morning...\Self-cremation, huh? I don't like that... response:	For shame, Homura!
context: Yes?!\I'm sure... I'm your Sekirei.\Please give me your... seal.\I used my full power only for a short time... Damn this body!\Well, there's no help for it. I gotta ask Takami-san to retrieve me...\If this goes on, maybe I'll be all ash in the morning...\Self-cremation, huh? I don't like that...\For shame, Homura! response:	Tsukiumi...
context: I'm sure... I'm your Sekirei.\Please give me your... seal.\I used my full power only for a short time... Damn this body!\Well, there's no help for it. I gotta ask Takami-san to retrieve me...\If this goes on, maybe I'll be all ash in the morning...\Self-cremation, huh? I don't like that...\For shame, Homura!\Tsukiumi... response:	Thou shalt be defeated by me.
context: Please give me your... seal.\I used my full power only for a short time... Damn this body!\Well, there's no help for it. I gotta ask Takami-san to retrieve me...\If this goes on, maybe I'll be all ash in the morning...\Self-cremation, huh? I don't like that...\For shame, Homura!\Tsukiumi...\Thou shalt be defeated by me. response:	I shall not permit thee to die thyself.
context: I used my full power only for a short time... Damn this body!\Well, there's no help for it. I gotta ask Takami-san to retrieve me...\If this goes on, maybe I'll be all ash in the morning...\Self-cremation, huh? I don't like that...\For shame, Homura!\Tsukiumi...\Thou shalt be defeated by me.\I shall not permit thee to die thyself. response:	You are so cool, Tsukiumi.
context: Well, there's no help for it. I gotta ask Takami-san to retrieve me...\If this goes on, maybe I'll be all ash in the morning...\Self-cremation, huh? I don't like that...\For shame, Homura!\Tsukiumi...\Thou shalt be defeated by me.\I shall not permit thee to die thyself.\You are so cool, Tsukiumi. response:	But you're showing off your panties.
context: If this goes on, maybe I'll be all ash in the morning...\Self-cremation, huh? I don't like that...\For shame, Homura!\Tsukiumi...\Thou shalt be defeated by me.\I shall not permit thee to die thyself.\You are so cool, Tsukiumi.\But you're showing off your panties. response:	Bastard! How dare thee!
context: Self-cremation, huh? I don't like that...\For shame, Homura!\Tsukiumi...\Thou shalt be defeated by me.\I shall not permit thee to die thyself.\You are so cool, Tsukiumi.\But you're showing off your panties.\Bastard! How dare thee! response:	Sekireis can bring out their true powers only when emerged.
context: For shame, Homura!\Tsukiumi...\Thou shalt be defeated by me.\I shall not permit thee to die thyself.\You are so cool, Tsukiumi.\But you're showing off your panties.\Bastard! How dare thee!\Sekireis can bring out their true powers only when emerged. response:	Why don't you get emerged?
context: Tsukiumi...\Thou shalt be defeated by me.\I shall not permit thee to die thyself.\You are so cool, Tsukiumi.\But you're showing off your panties.\Bastard! How dare thee!\Sekireis can bring out their true powers only when emerged.\Why don't you get emerged? response:	Never mind me, what about thyself?
context: Thou shalt be defeated by me.\I shall not permit thee to die thyself.\You are so cool, Tsukiumi.\But you're showing off your panties.\Bastard! How dare thee!\Sekireis can bring out their true powers only when emerged.\Why don't you get emerged?\Never mind me, what about thyself? response:	Ah, I'm defective...
context: I shall not permit thee to die thyself.\You are so cool, Tsukiumi.\But you're showing off your panties.\Bastard! How dare thee!\Sekireis can bring out their true powers only when emerged.\Why don't you get emerged?\Never mind me, what about thyself?\Ah, I'm defective... response:	Ever since the ages of myth,
context: You are so cool, Tsukiumi.\But you're showing off your panties.\Bastard! How dare thee!\Sekireis can bring out their true powers only when emerged.\Why don't you get emerged?\Never mind me, what about thyself?\Ah, I'm defective...\Ever since the ages of myth, response:	those who belong to fire have been abhorrent to the gods.
context: But you're showing off your panties.\Bastard! How dare thee!\Sekireis can bring out their true powers only when emerged.\Why don't you get emerged?\Never mind me, what about thyself?\Ah, I'm defective...\Ever since the ages of myth,\those who belong to fire have been abhorrent to the gods. response:	You are trying to be the strongest, aren't you?
context: Bastard! How dare thee!\Sekireis can bring out their true powers only when emerged.\Why don't you get emerged?\Never mind me, what about thyself?\Ah, I'm defective...\Ever since the ages of myth,\those who belong to fire have been abhorrent to the gods.\You are trying to be the strongest, aren't you? response:	Then, you'd better find your Ashikabi soon, and...
context: Sekireis can bring out their true powers only when emerged.\Why don't you get emerged?\Never mind me, what about thyself?\Ah, I'm defective...\Ever since the ages of myth,\those who belong to fire have been abhorrent to the gods.\You are trying to be the strongest, aren't you?\Then, you'd better find your Ashikabi soon, and... response:	Don't say such absurd things!
context: Why don't you get emerged?\Never mind me, what about thyself?\Ah, I'm defective...\Ever since the ages of myth,\those who belong to fire have been abhorrent to the gods.\You are trying to be the strongest, aren't you?\Then, you'd better find your Ashikabi soon, and...\Don't say such absurd things! response:	Ashikabis are only lowly monkeys!
context: Never mind me, what about thyself?\Ah, I'm defective...\Ever since the ages of myth,\those who belong to fire have been abhorrent to the gods.\You are trying to be the strongest, aren't you?\Then, you'd better find your Ashikabi soon, and...\Don't say such absurd things!\Ashikabis are only lowly monkeys! response:	For such a thing to co... co...
context: Ah, I'm defective...\Ever since the ages of myth,\those who belong to fire have been abhorrent to the gods.\You are trying to be the strongest, aren't you?\Then, you'd better find your Ashikabi soon, and...\Don't say such absurd things!\Ashikabis are only lowly monkeys!\For such a thing to co... co... response:	Co?
context: Ever since the ages of myth,\those who belong to fire have been abhorrent to the gods.\You are trying to be the strongest, aren't you?\Then, you'd better find your Ashikabi soon, and...\Don't say such absurd things!\Ashikabis are only lowly monkeys!\For such a thing to co... co...\Co? response:	Couple with me! I won't accept it! I will never ever accept that!
context: those who belong to fire have been abhorrent to the gods.\You are trying to be the strongest, aren't you?\Then, you'd better find your Ashikabi soon, and...\Don't say such absurd things!\Ashikabis are only lowly monkeys!\For such a thing to co... co...\Co?\Couple with me! I won't accept it! I will never ever accept that! response:	But... I feel a bit strange lately.
context: You are trying to be the strongest, aren't you?\Then, you'd better find your Ashikabi soon, and...\Don't say such absurd things!\Ashikabis are only lowly monkeys!\For such a thing to co... co...\Co?\Couple with me! I won't accept it! I will never ever accept that!\But... I feel a bit strange lately. response:	I keep having a blazing feeling deep in my chest.
context: Then, you'd better find your Ashikabi soon, and...\Don't say such absurd things!\Ashikabis are only lowly monkeys!\For such a thing to co... co...\Co?\Couple with me! I won't accept it! I will never ever accept that!\But... I feel a bit strange lately.\I keep having a blazing feeling deep in my chest. response:	- That is... - I know!
context: Don't say such absurd things!\Ashikabis are only lowly monkeys!\For such a thing to co... co...\Co?\Couple with me! I won't accept it! I will never ever accept that!\But... I feel a bit strange lately.\I keep having a blazing feeling deep in my chest.\- That is... - I know! response:	If this is a reaction toward an Ashikabi, it's opportune.
context: Ashikabis are only lowly monkeys!\For such a thing to co... co...\Co?\Couple with me! I won't accept it! I will never ever accept that!\But... I feel a bit strange lately.\I keep having a blazing feeling deep in my chest.\- That is... - I know!\If this is a reaction toward an Ashikabi, it's opportune. response:	I will find that human, and execute him by my own hand!
context: For such a thing to co... co...\Co?\Couple with me! I won't accept it! I will never ever accept that!\But... I feel a bit strange lately.\I keep having a blazing feeling deep in my chest.\- That is... - I know!\If this is a reaction toward an Ashikabi, it's opportune.\I will find that human, and execute him by my own hand! response:	That's definitely what she said.
context: Co?\Couple with me! I won't accept it! I will never ever accept that!\But... I feel a bit strange lately.\I keep having a blazing feeling deep in my chest.\- That is... - I know!\If this is a reaction toward an Ashikabi, it's opportune.\I will find that human, and execute him by my own hand!\That's definitely what she said. response:	Who is it?
context: Couple with me! I won't accept it! I will never ever accept that!\But... I feel a bit strange lately.\I keep having a blazing feeling deep in my chest.\- That is... - I know!\If this is a reaction toward an Ashikabi, it's opportune.\I will find that human, and execute him by my own hand!\That's definitely what she said.\Who is it? response:	Ku-chan?
context: But... I feel a bit strange lately.\I keep having a blazing feeling deep in my chest.\- That is... - I know!\If this is a reaction toward an Ashikabi, it's opportune.\I will find that human, and execute him by my own hand!\That's definitely what she said.\Who is it?\Ku-chan? response:	Whoa! You again?!
context: I keep having a blazing feeling deep in my chest.\- That is... - I know!\If this is a reaction toward an Ashikabi, it's opportune.\I will find that human, and execute him by my own hand!\That's definitely what she said.\Who is it?\Ku-chan?\Whoa! You again?! response:	I made a blunder... I forgot about the... important ceremony...
context: - That is... - I know!\If this is a reaction toward an Ashikabi, it's opportune.\I will find that human, and execute him by my own hand!\That's definitely what she said.\Who is it?\Ku-chan?\Whoa! You again?!\I made a blunder... I forgot about the... important ceremony... response:	Next time, please let me experiment on you properly.
context: If this is a reaction toward an Ashikabi, it's opportune.\I will find that human, and execute him by my own hand!\That's definitely what she said.\Who is it?\Ku-chan?\Whoa! You again?!\I made a blunder... I forgot about the... important ceremony...\Next time, please let me experiment on you properly. response:	For many years to come...
context: I will find that human, and execute him by my own hand!\That's definitely what she said.\Who is it?\Ku-chan?\Whoa! You again?!\I made a blunder... I forgot about the... important ceremony...\Next time, please let me experiment on you properly.\For many years to come... response:	Night crawling is also prohibited in Maison Izumo!
context: That's definitely what she said.\Who is it?\Ku-chan?\Whoa! You again?!\I made a blunder... I forgot about the... important ceremony...\Next time, please let me experiment on you properly.\For many years to come...\Night crawling is also prohibited in Maison Izumo! response:	As a penalty, no breakfast for Matsu-san.
context: Who is it?\Ku-chan?\Whoa! You again?!\I made a blunder... I forgot about the... important ceremony...\Next time, please let me experiment on you properly.\For many years to come...\Night crawling is also prohibited in Maison Izumo!\As a penalty, no breakfast for Matsu-san. response:	Eh?! Miya-tan, please forgive me!
context: Ku-chan?\Whoa! You again?!\I made a blunder... I forgot about the... important ceremony...\Next time, please let me experiment on you properly.\For many years to come...\Night crawling is also prohibited in Maison Izumo!\As a penalty, no breakfast for Matsu-san.\Eh?! Miya-tan, please forgive me! response:	Or for you, Sahashi-san.
context: Whoa! You again?!\I made a blunder... I forgot about the... important ceremony...\Next time, please let me experiment on you properly.\For many years to come...\Night crawling is also prohibited in Maison Izumo!\As a penalty, no breakfast for Matsu-san.\Eh?! Miya-tan, please forgive me!\Or for you, Sahashi-san. response:	Wh-Why me, too?
context: I made a blunder... I forgot about the... important ceremony...\Next time, please let me experiment on you properly.\For many years to come...\Night crawling is also prohibited in Maison Izumo!\As a penalty, no breakfast for Matsu-san.\Eh?! Miya-tan, please forgive me!\Or for you, Sahashi-san.\Wh-Why me, too? response:	The treatment of the arboretum was handled very well by number 107,
context: Next time, please let me experiment on you properly.\For many years to come...\Night crawling is also prohibited in Maison Izumo!\As a penalty, no breakfast for Matsu-san.\Eh?! Miya-tan, please forgive me!\Or for you, Sahashi-san.\Wh-Why me, too?\The treatment of the arboretum was handled very well by number 107, response:	whom we just released.
context: For many years to come...\Night crawling is also prohibited in Maison Izumo!\As a penalty, no breakfast for Matsu-san.\Eh?! Miya-tan, please forgive me!\Or for you, Sahashi-san.\Wh-Why me, too?\The treatment of the arboretum was handled very well by number 107,\whom we just released. response:	The event I prepared ended more plainly than I expected.
context: Night crawling is also prohibited in Maison Izumo!\As a penalty, no breakfast for Matsu-san.\Eh?! Miya-tan, please forgive me!\Or for you, Sahashi-san.\Wh-Why me, too?\The treatment of the arboretum was handled very well by number 107,\whom we just released.\The event I prepared ended more plainly than I expected. response:	I was expecting... more of a fierce battle to the death.
context: As a penalty, no breakfast for Matsu-san.\Eh?! Miya-tan, please forgive me!\Or for you, Sahashi-san.\Wh-Why me, too?\The treatment of the arboretum was handled very well by number 107,\whom we just released.\The event I prepared ended more plainly than I expected.\I was expecting... more of a fierce battle to the death. response:	It seems like over 90 of Sekireis have emerged.
context: Eh?! Miya-tan, please forgive me!\Or for you, Sahashi-san.\Wh-Why me, too?\The treatment of the arboretum was handled very well by number 107,\whom we just released.\The event I prepared ended more plainly than I expected.\I was expecting... more of a fierce battle to the death.\It seems like over 90 of Sekireis have emerged. response:	It's the time.
context: Or for you, Sahashi-san.\Wh-Why me, too?\The treatment of the arboretum was handled very well by number 107,\whom we just released.\The event I prepared ended more plainly than I expected.\I was expecting... more of a fierce battle to the death.\It seems like over 90 of Sekireis have emerged.\It's the time. response:	Minaka, you bastard! You seriously mean to make this capital into...
context: Wh-Why me, too?\The treatment of the arboretum was handled very well by number 107,\whom we just released.\The event I prepared ended more plainly than I expected.\I was expecting... more of a fierce battle to the death.\It seems like over 90 of Sekireis have emerged.\It's the time.\Minaka, you bastard! You seriously mean to make this capital into... response:	Now, how will the pages of the next myth begin?
context: The treatment of the arboretum was handled very well by number 107,\whom we just released.\The event I prepared ended more plainly than I expected.\I was expecting... more of a fierce battle to the death.\It seems like over 90 of Sekireis have emerged.\It's the time.\Minaka, you bastard! You seriously mean to make this capital into...\Now, how will the pages of the next myth begin? response:	Let's look forward to that with keen interest!
context: whom we just released.\The event I prepared ended more plainly than I expected.\I was expecting... more of a fierce battle to the death.\It seems like over 90 of Sekireis have emerged.\It's the time.\Minaka, you bastard! You seriously mean to make this capital into...\Now, how will the pages of the next myth begin?\Let's look forward to that with keen interest! response:	Boing
context: The event I prepared ended more plainly than I expected.\I was expecting... more of a fierce battle to the death.\It seems like over 90 of Sekireis have emerged.\It's the time.\Minaka, you bastard! You seriously mean to make this capital into...\Now, how will the pages of the next myth begin?\Let's look forward to that with keen interest!\Boing response:	Jiggle
context: I was expecting... more of a fierce battle to the death.\It seems like over 90 of Sekireis have emerged.\It's the time.\Minaka, you bastard! You seriously mean to make this capital into...\Now, how will the pages of the next myth begin?\Let's look forward to that with keen interest!\Boing\Jiggle response:	I will die...
context: It seems like over 90 of Sekireis have emerged.\It's the time.\Minaka, you bastard! You seriously mean to make this capital into...\Now, how will the pages of the next myth begin?\Let's look forward to that with keen interest!\Boing\Jiggle\I will die... response:	If I have more Sekireis, I will die!
context: It's the time.\Minaka, you bastard! You seriously mean to make this capital into...\Now, how will the pages of the next myth begin?\Let's look forward to that with keen interest!\Boing\Jiggle\I will die...\If I have more Sekireis, I will die! response:	Smirk If I have more Sekireis, I will die!
context: Minaka, you bastard! You seriously mean to make this capital into...\Now, how will the pages of the next myth begin?\Let's look forward to that with keen interest!\Boing\Jiggle\I will die...\If I have more Sekireis, I will die!\Smirk If I have more Sekireis, I will die! response:	Smirk
context: Now, how will the pages of the next myth begin?\Let's look forward to that with keen interest!\Boing\Jiggle\I will die...\If I have more Sekireis, I will die!\Smirk If I have more Sekireis, I will die!\Smirk response:	Good morning, Mi-na-to.
context: Let's look forward to that with keen interest!\Boing\Jiggle\I will die...\If I have more Sekireis, I will die!\Smirk If I have more Sekireis, I will die!\Smirk\Good morning, Mi-na-to. response:	Now, for a morning kiss...
context: Boing\Jiggle\I will die...\If I have more Sekireis, I will die!\Smirk If I have more Sekireis, I will die!\Smirk\Good morning, Mi-na-to.\Now, for a morning kiss... response:	This isn't Minato-san...
context: Jiggle\I will die...\If I have more Sekireis, I will die!\Smirk If I have more Sekireis, I will die!\Smirk\Good morning, Mi-na-to.\Now, for a morning kiss...\This isn't Minato-san... response:	Good morning.
context: I will die...\If I have more Sekireis, I will die!\Smirk If I have more Sekireis, I will die!\Smirk\Good morning, Mi-na-to.\Now, for a morning kiss...\This isn't Minato-san...\Good morning. response:	What would happen if Sekireis paired with each other?
context: If I have more Sekireis, I will die!\Smirk If I have more Sekireis, I will die!\Smirk\Good morning, Mi-na-to.\Now, for a morning kiss...\This isn't Minato-san...\Good morning.\What would happen if Sekireis paired with each other? response:	She's a pervert...
context: Smirk If I have more Sekireis, I will die!\Smirk\Good morning, Mi-na-to.\Now, for a morning kiss...\This isn't Minato-san...\Good morning.\What would happen if Sekireis paired with each other?\She's a pervert... response:	I no longer need to eat in hiding.
context: Smirk\Good morning, Mi-na-to.\Now, for a morning kiss...\This isn't Minato-san...\Good morning.\What would happen if Sekireis paired with each other?\She's a pervert...\I no longer need to eat in hiding. response:	Having breakfast with everyone is the best.
context: Good morning, Mi-na-to.\Now, for a morning kiss...\This isn't Minato-san...\Good morning.\What would happen if Sekireis paired with each other?\She's a pervert...\I no longer need to eat in hiding.\Having breakfast with everyone is the best. response:	Huh? Where's Uzume-san?
context: Now, for a morning kiss...\This isn't Minato-san...\Good morning.\What would happen if Sekireis paired with each other?\She's a pervert...\I no longer need to eat in hiding.\Having breakfast with everyone is the best.\Huh? Where's Uzume-san? response:	She's still asleep.
context: This isn't Minato-san...\Good morning.\What would happen if Sekireis paired with each other?\She's a pervert...\I no longer need to eat in hiding.\Having breakfast with everyone is the best.\Huh? Where's Uzume-san?\She's still asleep. response:	She often comes home late these days.
context: Good morning.\What would happen if Sekireis paired with each other?\She's a pervert...\I no longer need to eat in hiding.\Having breakfast with everyone is the best.\Huh? Where's Uzume-san?\She's still asleep.\She often comes home late these days. response:	Is she working?
context: What would happen if Sekireis paired with each other?\She's a pervert...\I no longer need to eat in hiding.\Having breakfast with everyone is the best.\Huh? Where's Uzume-san?\She's still asleep.\She often comes home late these days.\Is she working? response:	Here, open your mouth.
context: She's a pervert...\I no longer need to eat in hiding.\Having breakfast with everyone is the best.\Huh? Where's Uzume-san?\She's still asleep.\She often comes home late these days.\Is she working?\Here, open your mouth. response:	I can do it by myself.
context: I no longer need to eat in hiding.\Having breakfast with everyone is the best.\Huh? Where's Uzume-san?\She's still asleep.\She often comes home late these days.\Is she working?\Here, open your mouth.\I can do it by myself. response:	You can't hold chopsticks, can you?
context: Having breakfast with everyone is the best.\Huh? Where's Uzume-san?\She's still asleep.\She often comes home late these days.\Is she working?\Here, open your mouth.\I can do it by myself.\You can't hold chopsticks, can you? response:	Here.
context: Huh? Where's Uzume-san?\She's still asleep.\She often comes home late these days.\Is she working?\Here, open your mouth.\I can do it by myself.\You can't hold chopsticks, can you?\Here. response:	M-Miya, I told you I don't like spinach...
context: She's still asleep.\She often comes home late these days.\Is she working?\Here, open your mouth.\I can do it by myself.\You can't hold chopsticks, can you?\Here.\M-Miya, I told you I don't like spinach... response:	Kagari-san, what happened to your hands?
context: She often comes home late these days.\Is she working?\Here, open your mouth.\I can do it by myself.\You can't hold chopsticks, can you?\Here.\M-Miya, I told you I don't like spinach...\Kagari-san, what happened to your hands? response:	Well... it's more like whole body...
context: Is she working?\Here, open your mouth.\I can do it by myself.\You can't hold chopsticks, can you?\Here.\M-Miya, I told you I don't like spinach...\Kagari-san, what happened to your hands?\Well... it's more like whole body... response:	I just got a little burned.
context: Here, open your mouth.\I can do it by myself.\You can't hold chopsticks, can you?\Here.\M-Miya, I told you I don't like spinach...\Kagari-san, what happened to your hands?\Well... it's more like whole body...\I just got a little burned. response:	Looks like you can't read my moves yet.
context: I can do it by myself.\You can't hold chopsticks, can you?\Here.\M-Miya, I told you I don't like spinach...\Kagari-san, what happened to your hands?\Well... it's more like whole body...\I just got a little burned.\Looks like you can't read my moves yet. response:	That was interesting.
context: You can't hold chopsticks, can you?\Here.\M-Miya, I told you I don't like spinach...\Kagari-san, what happened to your hands?\Well... it's more like whole body...\I just got a little burned.\Looks like you can't read my moves yet.\That was interesting. response:	Do it again, please!
context: Here.\M-Miya, I told you I don't like spinach...\Kagari-san, what happened to your hands?\Well... it's more like whole body...\I just got a little burned.\Looks like you can't read my moves yet.\That was interesting.\Do it again, please! response:	Yes.
context: M-Miya, I told you I don't like spinach...\Kagari-san, what happened to your hands?\Well... it's more like whole body...\I just got a little burned.\Looks like you can't read my moves yet.\That was interesting.\Do it again, please!\Yes. response:	Who?
context: Kagari-san, what happened to your hands?\Well... it's more like whole body...\I just got a little burned.\Looks like you can't read my moves yet.\That was interesting.\Do it again, please!\Yes.\Who? response:	Who are you?
context: Well... it's more like whole body...\I just got a little burned.\Looks like you can't read my moves yet.\That was interesting.\Do it again, please!\Yes.\Who?\Who are you? response:	I have, at last, found thee.
context: I just got a little burned.\Looks like you can't read my moves yet.\That was interesting.\Do it again, please!\Yes.\Who?\Who are you?\I have, at last, found thee. response:	I shall kill thee!
context: Looks like you can't read my moves yet.\That was interesting.\Do it again, please!\Yes.\Who?\Who are you?\I have, at last, found thee.\I shall kill thee! response:	A dream...
context: That was interesting.\Do it again, please!\Yes.\Who?\Who are you?\I have, at last, found thee.\I shall kill thee!\A dream... response:	Ah, I'm sorry. I woke you up.
context: Do it again, please!\Yes.\Who?\Who are you?\I have, at last, found thee.\I shall kill thee!\A dream...\Ah, I'm sorry. I woke you up. response:	You've got mail
context: Yes.\Who?\Who are you?\I have, at last, found thee.\I shall kill thee!\A dream...\Ah, I'm sorry. I woke you up.\You've got mail response:	Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of
context: Who?\Who are you?\I have, at last, found thee.\I shall kill thee!\A dream...\Ah, I'm sorry. I woke you up.\You've got mail\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of response:	Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of It's just Yukari.
context: Who are you?\I have, at last, found thee.\I shall kill thee!\A dream...\Ah, I'm sorry. I woke you up.\You've got mail\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of It's just Yukari. response:	It's just Yukari.
context: I have, at last, found thee.\I shall kill thee!\A dream...\Ah, I'm sorry. I woke you up.\You've got mail\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of It's just Yukari.\It's just Yukari. response:	I have some stuff to take care of so I may visit you later than I thought...
context: I shall kill thee!\A dream...\Ah, I'm sorry. I woke you up.\You've got mail\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of It's just Yukari.\It's just Yukari.\I have some stuff to take care of so I may visit you later than I thought... response:	I'll write you again soon. Say hi to Musubi-chan!
context: A dream...\Ah, I'm sorry. I woke you up.\You've got mail\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of It's just Yukari.\It's just Yukari.\I have some stuff to take care of so I may visit you later than I thought...\I'll write you again soon. Say hi to Musubi-chan! response:	She never changes...
context: Ah, I'm sorry. I woke you up.\You've got mail\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of It's just Yukari.\It's just Yukari.\I have some stuff to take care of so I may visit you later than I thought...\I'll write you again soon. Say hi to Musubi-chan!\She never changes... response:	Anyway, that dream I had...
context: You've got mail\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of It's just Yukari.\It's just Yukari.\I have some stuff to take care of so I may visit you later than I thought...\I'll write you again soon. Say hi to Musubi-chan!\She never changes...\Anyway, that dream I had... response:	It was the same feeling I had when I met Ku-chan...
context: Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of\Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of It's just Yukari.\It's just Yukari.\I have some stuff to take care of so I may visit you later than I thought...\I'll write you again soon. Say hi to Musubi-chan!\She never changes...\Anyway, that dream I had...\It was the same feeling I had when I met Ku-chan... response:	Right! Matsu-san might know something.
context: Inbox/ One New Mail 14:35 From: Yukari Subject: None I have some stuff to take care of It's just Yukari.\It's just Yukari.\I have some stuff to take care of so I may visit you later than I thought...\I'll write you again soon. Say hi to Musubi-chan!\She never changes...\Anyway, that dream I had...\It was the same feeling I had when I met Ku-chan...\Right! Matsu-san might know something. response:	I have many more questions I want to ask her... like about the Sekirei Plan.
context: It's just Yukari.\I have some stuff to take care of so I may visit you later than I thought...\I'll write you again soon. Say hi to Musubi-chan!\She never changes...\Anyway, that dream I had...\It was the same feeling I had when I met Ku-chan...\Right! Matsu-san might know something.\I have many more questions I want to ask her... like about the Sekirei Plan. response:	The Sekirei Plan.
context: I have some stuff to take care of so I may visit you later than I thought...\I'll write you again soon. Say hi to Musubi-chan!\She never changes...\Anyway, that dream I had...\It was the same feeling I had when I met Ku-chan...\Right! Matsu-san might know something.\I have many more questions I want to ask her... like about the Sekirei Plan.\The Sekirei Plan. response:	That's the game that releases 108 Sekireis into the capital
context: I'll write you again soon. Say hi to Musubi-chan!\She never changes...\Anyway, that dream I had...\It was the same feeling I had when I met Ku-chan...\Right! Matsu-san might know something.\I have many more questions I want to ask her... like about the Sekirei Plan.\The Sekirei Plan.\That's the game that releases 108 Sekireis into the capital response:	and lets them fight with their chosen Ashikabis until there is only one left.
context: She never changes...\Anyway, that dream I had...\It was the same feeling I had when I met Ku-chan...\Right! Matsu-san might know something.\I have many more questions I want to ask her... like about the Sekirei Plan.\The Sekirei Plan.\That's the game that releases 108 Sekireis into the capital\and lets them fight with their chosen Ashikabis until there is only one left. response:	The game master is Hiroto Minaka,
context: Anyway, that dream I had...\It was the same feeling I had when I met Ku-chan...\Right! Matsu-san might know something.\I have many more questions I want to ask her... like about the Sekirei Plan.\The Sekirei Plan.\That's the game that releases 108 Sekireis into the capital\and lets them fight with their chosen Ashikabis until there is only one left.\The game master is Hiroto Minaka, response:	a monster who rules the giant global conglomerate MBI.
context: It was the same feeling I had when I met Ku-chan...\Right! Matsu-san might know something.\I have many more questions I want to ask her... like about the Sekirei Plan.\The Sekirei Plan.\That's the game that releases 108 Sekireis into the capital\and lets them fight with their chosen Ashikabis until there is only one left.\The game master is Hiroto Minaka,\a monster who rules the giant global conglomerate MBI. response:	As long as we stay in here, Shintou Teito, which is MBI's stronghold,
context: Right! Matsu-san might know something.\I have many more questions I want to ask her... like about the Sekirei Plan.\The Sekirei Plan.\That's the game that releases 108 Sekireis into the capital\and lets them fight with their chosen Ashikabis until there is only one left.\The game master is Hiroto Minaka,\a monster who rules the giant global conglomerate MBI.\As long as we stay in here, Shintou Teito, which is MBI's stronghold, response:	Sekireis and their Ashikabis cannot escape from the Sekirei Plan's system.
