context: He's taken a real turn for the worse since this morning. response:	I've taken him to a number of doctors, but the cause is still unknown.
context: Look, it's done!\My special Netherworld Stew!\Go on and try some.\Here!\It looks like sticky... mud...\This... was made with the ingredients I collected, correct?\Don't worry about, um, how it looks.\It has an oddly fishy scent... response:	What the heck kinda smell is that anyway?
context: My special Netherworld Stew!\Go on and try some.\Here!\It looks like sticky... mud...\This... was made with the ingredients I collected, correct?\Don't worry about, um, how it looks.\It has an oddly fishy scent...\What the heck kinda smell is that anyway? response:	I'm going to take some for you too, Mitty, so you can munch on it later.
context: Go on and try some.\Here!\It looks like sticky... mud...\This... was made with the ingredients I collected, correct?\Don't worry about, um, how it looks.\It has an oddly fishy scent...\What the heck kinda smell is that anyway?\I'm going to take some for you too, Mitty, so you can munch on it later. response:	Some kind of discharge?!
context: Here!\It looks like sticky... mud...\This... was made with the ingredients I collected, correct?\Don't worry about, um, how it looks.\It has an oddly fishy scent...\What the heck kinda smell is that anyway?\I'm going to take some for you too, Mitty, so you can munch on it later.\Some kind of discharge?! response:	What the heck is this?
context: It looks like sticky... mud...\This... was made with the ingredients I collected, correct?\Don't worry about, um, how it looks.\It has an oddly fishy scent...\What the heck kinda smell is that anyway?\I'm going to take some for you too, Mitty, so you can munch on it later.\Some kind of discharge?!\What the heck is this? response:	Was this truly made using those ingredients?
context: This... was made with the ingredients I collected, correct?\Don't worry about, um, how it looks.\It has an oddly fishy scent...\What the heck kinda smell is that anyway?\I'm going to take some for you too, Mitty, so you can munch on it later.\Some kind of discharge?!\What the heck is this?\Was this truly made using those ingredients? response:	Huh?
context: Don't worry about, um, how it looks.\It has an oddly fishy scent...\What the heck kinda smell is that anyway?\I'm going to take some for you too, Mitty, so you can munch on it later.\Some kind of discharge?!\What the heck is this?\Was this truly made using those ingredients?\Huh? response:	You... think it's bad?
context: It has an oddly fishy scent...\What the heck kinda smell is that anyway?\I'm going to take some for you too, Mitty, so you can munch on it later.\Some kind of discharge?!\What the heck is this?\Was this truly made using those ingredients?\Huh?\You... think it's bad? response:	Nanachi, you normally eat this stuff?
context: What the heck kinda smell is that anyway?\I'm going to take some for you too, Mitty, so you can munch on it later.\Some kind of discharge?!\What the heck is this?\Was this truly made using those ingredients?\Huh?\You... think it's bad?\Nanachi, you normally eat this stuff? response:	W-well...
context: I'm going to take some for you too, Mitty, so you can munch on it later.\Some kind of discharge?!\What the heck is this?\Was this truly made using those ingredients?\Huh?\You... think it's bad?\Nanachi, you normally eat this stuff?\W-well... response:	Come on, don't look at me like that...
context: Some kind of discharge?!\What the heck is this?\Was this truly made using those ingredients?\Huh?\You... think it's bad?\Nanachi, you normally eat this stuff?\W-well...\Come on, don't look at me like that... response:	If Riko wakes up and eats this...
context: What the heck is this?\Was this truly made using those ingredients?\Huh?\You... think it's bad?\Nanachi, you normally eat this stuff?\W-well...\Come on, don't look at me like that...\If Riko wakes up and eats this... response:	this time she's really going to die.
context: Was this truly made using those ingredients?\Huh?\You... think it's bad?\Nanachi, you normally eat this stuff?\W-well...\Come on, don't look at me like that...\If Riko wakes up and eats this...\this time she's really going to die. response:	I've got no choice! I have to cook myself!
context: Huh?\You... think it's bad?\Nanachi, you normally eat this stuff?\W-well...\Come on, don't look at me like that...\If Riko wakes up and eats this...\this time she's really going to die.\I've got no choice! I have to cook myself! response:	Well... if you don't like it, don't eat it.
context: You... think it's bad?\Nanachi, you normally eat this stuff?\W-well...\Come on, don't look at me like that...\If Riko wakes up and eats this...\this time she's really going to die.\I've got no choice! I have to cook myself!\Well... if you don't like it, don't eat it. response:	Oh, I see...
context: Nanachi, you normally eat this stuff?\W-well...\Come on, don't look at me like that...\If Riko wakes up and eats this...\this time she's really going to die.\I've got no choice! I have to cook myself!\Well... if you don't like it, don't eat it.\Oh, I see... response:	So she's looking for her mother who descended to the bottom of the netherworld, huh?
context: W-well...\Come on, don't look at me like that...\If Riko wakes up and eats this...\this time she's really going to die.\I've got no choice! I have to cook myself!\Well... if you don't like it, don't eat it.\Oh, I see...\So she's looking for her mother who descended to the bottom of the netherworld, huh? response:	Still, we're talking about a girl with an insatiable curiosity
context: Come on, don't look at me like that...\If Riko wakes up and eats this...\this time she's really going to die.\I've got no choice! I have to cook myself!\Well... if you don't like it, don't eat it.\Oh, I see...\So she's looking for her mother who descended to the bottom of the netherworld, huh?\Still, we're talking about a girl with an insatiable curiosity response:	and a piece of junk who can't regain even one of his important memories...
context: If Riko wakes up and eats this...\this time she's really going to die.\I've got no choice! I have to cook myself!\Well... if you don't like it, don't eat it.\Oh, I see...\So she's looking for her mother who descended to the bottom of the netherworld, huh?\Still, we're talking about a girl with an insatiable curiosity\and a piece of junk who can't regain even one of his important memories... response:	You did well just making it this far.
context: this time she's really going to die.\I've got no choice! I have to cook myself!\Well... if you don't like it, don't eat it.\Oh, I see...\So she's looking for her mother who descended to the bottom of the netherworld, huh?\Still, we're talking about a girl with an insatiable curiosity\and a piece of junk who can't regain even one of his important memories...\You did well just making it this far. response:	Or should I say, it was actually quite hopeless...
context: I've got no choice! I have to cook myself!\Well... if you don't like it, don't eat it.\Oh, I see...\So she's looking for her mother who descended to the bottom of the netherworld, huh?\Still, we're talking about a girl with an insatiable curiosity\and a piece of junk who can't regain even one of his important memories...\You did well just making it this far.\Or should I say, it was actually quite hopeless... response:	Nanachi, please tell me...
context: Well... if you don't like it, don't eat it.\Oh, I see...\So she's looking for her mother who descended to the bottom of the netherworld, huh?\Still, we're talking about a girl with an insatiable curiosity\and a piece of junk who can't regain even one of his important memories...\You did well just making it this far.\Or should I say, it was actually quite hopeless...\Nanachi, please tell me... response:	You...
context: Oh, I see...\So she's looking for her mother who descended to the bottom of the netherworld, huh?\Still, we're talking about a girl with an insatiable curiosity\and a piece of junk who can't regain even one of his important memories...\You did well just making it this far.\Or should I say, it was actually quite hopeless...\Nanachi, please tell me...\You... response:	You know of a way to evade the Curse of the Abyss, don't you?
context: So she's looking for her mother who descended to the bottom of the netherworld, huh?\Still, we're talking about a girl with an insatiable curiosity\and a piece of junk who can't regain even one of his important memories...\You did well just making it this far.\Or should I say, it was actually quite hopeless...\Nanachi, please tell me...\You...\You know of a way to evade the Curse of the Abyss, don't you? response:	Well...
context: Still, we're talking about a girl with an insatiable curiosity\and a piece of junk who can't regain even one of his important memories...\You did well just making it this far.\Or should I say, it was actually quite hopeless...\Nanachi, please tell me...\You...\You know of a way to evade the Curse of the Abyss, don't you?\Well... response:	even if I was to explain it to someone like you who can't see it...
context: and a piece of junk who can't regain even one of his important memories...\You did well just making it this far.\Or should I say, it was actually quite hopeless...\Nanachi, please tell me...\You...\You know of a way to evade the Curse of the Abyss, don't you?\Well...\even if I was to explain it to someone like you who can't see it... response:	Besides, it's also my personal secret.
context: You did well just making it this far.\Or should I say, it was actually quite hopeless...\Nanachi, please tell me...\You...\You know of a way to evade the Curse of the Abyss, don't you?\Well...\even if I was to explain it to someone like you who can't see it...\Besides, it's also my personal secret. response:	I beg you! We need to know!
context: Or should I say, it was actually quite hopeless...\Nanachi, please tell me...\You...\You know of a way to evade the Curse of the Abyss, don't you?\Well...\even if I was to explain it to someone like you who can't see it...\Besides, it's also my personal secret.\I beg you! We need to know! response:	Even so...
context: Nanachi, please tell me...\You...\You know of a way to evade the Curse of the Abyss, don't you?\Well...\even if I was to explain it to someone like you who can't see it...\Besides, it's also my personal secret.\I beg you! We need to know!\Even so... response:	If it's in my power, I'll do whatever you want in return!
context: You...\You know of a way to evade the Curse of the Abyss, don't you?\Well...\even if I was to explain it to someone like you who can't see it...\Besides, it's also my personal secret.\I beg you! We need to know!\Even so...\If it's in my power, I'll do whatever you want in return! response:	So, please!
context: You know of a way to evade the Curse of the Abyss, don't you?\Well...\even if I was to explain it to someone like you who can't see it...\Besides, it's also my personal secret.\I beg you! We need to know!\Even so...\If it's in my power, I'll do whatever you want in return!\So, please! response:	Hey, don't get so close!
context: Well...\even if I was to explain it to someone like you who can't see it...\Besides, it's also my personal secret.\I beg you! We need to know!\Even so...\If it's in my power, I'll do whatever you want in return!\So, please!\Hey, don't get so close! response:	Alright then...
context: even if I was to explain it to someone like you who can't see it...\Besides, it's also my personal secret.\I beg you! We need to know!\Even so...\If it's in my power, I'll do whatever you want in return!\So, please!\Hey, don't get so close!\Alright then... response:	let's give it a shot.
context: Besides, it's also my personal secret.\I beg you! We need to know!\Even so...\If it's in my power, I'll do whatever you want in return!\So, please!\Hey, don't get so close!\Alright then...\let's give it a shot. response:	If you insist...
context: I beg you! We need to know!\Even so...\If it's in my power, I'll do whatever you want in return!\So, please!\Hey, don't get so close!\Alright then...\let's give it a shot.\If you insist... response:	I'll make an exception and let you experience it yourself.
context: Even so...\If it's in my power, I'll do whatever you want in return!\So, please!\Hey, don't get so close!\Alright then...\let's give it a shot.\If you insist...\I'll make an exception and let you experience it yourself. response:	Alright...
context: If it's in my power, I'll do whatever you want in return!\So, please!\Hey, don't get so close!\Alright then...\let's give it a shot.\If you insist...\I'll make an exception and let you experience it yourself.\Alright... response:	Hey, you get under here, too.
context: So, please!\Hey, don't get so close!\Alright then...\let's give it a shot.\If you insist...\I'll make an exception and let you experience it yourself.\Alright...\Hey, you get under here, too. response:	What is this thing?
context: Hey, don't get so close!\Alright then...\let's give it a shot.\If you insist...\I'll make an exception and let you experience it yourself.\Alright...\Hey, you get under here, too.\What is this thing? response:	Fog Weave, a grade-3 Relic.
context: Alright then...\let's give it a shot.\If you insist...\I'll make an exception and let you experience it yourself.\Alright...\Hey, you get under here, too.\What is this thing?\Fog Weave, a grade-3 Relic. response:	Well, it's basically a super thin piece of cloth.
context: let's give it a shot.\If you insist...\I'll make an exception and let you experience it yourself.\Alright...\Hey, you get under here, too.\What is this thing?\Fog Weave, a grade-3 Relic.\Well, it's basically a super thin piece of cloth. response:	It's just like this, I suppose.
context: If you insist...\I'll make an exception and let you experience it yourself.\Alright...\Hey, you get under here, too.\What is this thing?\Fog Weave, a grade-3 Relic.\Well, it's basically a super thin piece of cloth.\It's just like this, I suppose. response:	What is?
context: I'll make an exception and let you experience it yourself.\Alright...\Hey, you get under here, too.\What is this thing?\Fog Weave, a grade-3 Relic.\Well, it's basically a super thin piece of cloth.\It's just like this, I suppose.\What is? response:	The true nature of the Curse of the Abyss.
context: Alright...\Hey, you get under here, too.\What is this thing?\Fog Weave, a grade-3 Relic.\Well, it's basically a super thin piece of cloth.\It's just like this, I suppose.\What is?\The true nature of the Curse of the Abyss. response:	What?!
context: Hey, you get under here, too.\What is this thing?\Fog Weave, a grade-3 Relic.\Well, it's basically a super thin piece of cloth.\It's just like this, I suppose.\What is?\The true nature of the Curse of the Abyss.\What?! response:	It's floaty in the same kind of way.
context: What is this thing?\Fog Weave, a grade-3 Relic.\Well, it's basically a super thin piece of cloth.\It's just like this, I suppose.\What is?\The true nature of the Curse of the Abyss.\What?!\It's floaty in the same kind of way. response:	With layer piled upon layer, it blankets us!
context: Fog Weave, a grade-3 Relic.\Well, it's basically a super thin piece of cloth.\It's just like this, I suppose.\What is?\The true nature of the Curse of the Abyss.\What?!\It's floaty in the same kind of way.\With layer piled upon layer, it blankets us! response:	Even if you touch it, you won't feel it, nor can you see it...
context: Well, it's basically a super thin piece of cloth.\It's just like this, I suppose.\What is?\The true nature of the Curse of the Abyss.\What?!\It's floaty in the same kind of way.\With layer piled upon layer, it blankets us!\Even if you touch it, you won't feel it, nor can you see it... response:	When we move, it moves along with us.
context: It's just like this, I suppose.\What is?\The true nature of the Curse of the Abyss.\What?!\It's floaty in the same kind of way.\With layer piled upon layer, it blankets us!\Even if you touch it, you won't feel it, nor can you see it...\When we move, it moves along with us. response:	Simply breathing is enough to alter its flow.
context: What is?\The true nature of the Curse of the Abyss.\What?!\It's floaty in the same kind of way.\With layer piled upon layer, it blankets us!\Even if you touch it, you won't feel it, nor can you see it...\When we move, it moves along with us.\Simply breathing is enough to alter its flow. response:	S-so when you touch it, that's when you're hit by the Curse of the Abyss?
context: The true nature of the Curse of the Abyss.\What?!\It's floaty in the same kind of way.\With layer piled upon layer, it blankets us!\Even if you touch it, you won't feel it, nor can you see it...\When we move, it moves along with us.\Simply breathing is enough to alter its flow.\S-so when you touch it, that's when you're hit by the Curse of the Abyss? response:	It's not like that.
context: What?!\It's floaty in the same kind of way.\With layer piled upon layer, it blankets us!\Even if you touch it, you won't feel it, nor can you see it...\When we move, it moves along with us.\Simply breathing is enough to alter its flow.\S-so when you touch it, that's when you're hit by the Curse of the Abyss?\It's not like that. response:	Huh?
context: It's floaty in the same kind of way.\With layer piled upon layer, it blankets us!\Even if you touch it, you won't feel it, nor can you see it...\When we move, it moves along with us.\Simply breathing is enough to alter its flow.\S-so when you touch it, that's when you're hit by the Curse of the Abyss?\It's not like that.\Huh? response:	When you touch it, it simply warps...
context: With layer piled upon layer, it blankets us!\Even if you touch it, you won't feel it, nor can you see it...\When we move, it moves along with us.\Simply breathing is enough to alter its flow.\S-so when you touch it, that's when you're hit by the Curse of the Abyss?\It's not like that.\Huh?\When you touch it, it simply warps... response:	Just like this cloth.
context: Even if you touch it, you won't feel it, nor can you see it...\When we move, it moves along with us.\Simply breathing is enough to alter its flow.\S-so when you touch it, that's when you're hit by the Curse of the Abyss?\It's not like that.\Huh?\When you touch it, it simply warps...\Just like this cloth. response:	So then...
context: When we move, it moves along with us.\Simply breathing is enough to alter its flow.\S-so when you touch it, that's when you're hit by the Curse of the Abyss?\It's not like that.\Huh?\When you touch it, it simply warps...\Just like this cloth.\So then... response:	So then what makes you get hit with the Curse?
context: Simply breathing is enough to alter its flow.\S-so when you touch it, that's when you're hit by the Curse of the Abyss?\It's not like that.\Huh?\When you touch it, it simply warps...\Just like this cloth.\So then...\So then what makes you get hit with the Curse? response:	That would be... doing this...
context: S-so when you touch it, that's when you're hit by the Curse of the Abyss?\It's not like that.\Huh?\When you touch it, it simply warps...\Just like this cloth.\So then...\So then what makes you get hit with the Curse?\That would be... doing this... response:	Kinda like... this.
context: It's not like that.\Huh?\When you touch it, it simply warps...\Just like this cloth.\So then...\So then what makes you get hit with the Curse?\That would be... doing this...\Kinda like... this. response:	Once you break through, the symptoms hit you all at once.
context: Huh?\When you touch it, it simply warps...\Just like this cloth.\So then...\So then what makes you get hit with the Curse?\That would be... doing this...\Kinda like... this.\Once you break through, the symptoms hit you all at once. response:	If it's just something like your fingertips, you'll hardly be affected...
context: When you touch it, it simply warps...\Just like this cloth.\So then...\So then what makes you get hit with the Curse?\That would be... doing this...\Kinda like... this.\Once you break through, the symptoms hit you all at once.\If it's just something like your fingertips, you'll hardly be affected... response:	But when it comes to your head or chest...
context: Just like this cloth.\So then...\So then what makes you get hit with the Curse?\That would be... doing this...\Kinda like... this.\Once you break through, the symptoms hit you all at once.\If it's just something like your fingertips, you'll hardly be affected...\But when it comes to your head or chest... response:	If any part of you that's vital to life passes through, then...
context: So then...\So then what makes you get hit with the Curse?\That would be... doing this...\Kinda like... this.\Once you break through, the symptoms hit you all at once.\If it's just something like your fingertips, you'll hardly be affected...\But when it comes to your head or chest...\If any part of you that's vital to life passes through, then... response:	Well, as you've seen, something seriously not good will end up happening...
context: So then what makes you get hit with the Curse?\That would be... doing this...\Kinda like... this.\Once you break through, the symptoms hit you all at once.\If it's just something like your fingertips, you'll hardly be affected...\But when it comes to your head or chest...\If any part of you that's vital to life passes through, then...\Well, as you've seen, something seriously not good will end up happening... response:	Wh-what happens when you descend?
context: That would be... doing this...\Kinda like... this.\Once you break through, the symptoms hit you all at once.\If it's just something like your fingertips, you'll hardly be affected...\But when it comes to your head or chest...\If any part of you that's vital to life passes through, then...\Well, as you've seen, something seriously not good will end up happening...\Wh-what happens when you descend? response:	Well, passing on through from above is nice and smooth.
context: Kinda like... this.\Once you break through, the symptoms hit you all at once.\If it's just something like your fingertips, you'll hardly be affected...\But when it comes to your head or chest...\If any part of you that's vital to life passes through, then...\Well, as you've seen, something seriously not good will end up happening...\Wh-what happens when you descend?\Well, passing on through from above is nice and smooth. response:	It's got a flow to it similar to inverted thorns, making it so you can't get out once you've entered.
context: Once you break through, the symptoms hit you all at once.\If it's just something like your fingertips, you'll hardly be affected...\But when it comes to your head or chest...\If any part of you that's vital to life passes through, then...\Well, as you've seen, something seriously not good will end up happening...\Wh-what happens when you descend?\Well, passing on through from above is nice and smooth.\It's got a flow to it similar to inverted thorns, making it so you can't get out once you've entered. response:	Look. It's something like this.
context: If it's just something like your fingertips, you'll hardly be affected...\But when it comes to your head or chest...\If any part of you that's vital to life passes through, then...\Well, as you've seen, something seriously not good will end up happening...\Wh-what happens when you descend?\Well, passing on through from above is nice and smooth.\It's got a flow to it similar to inverted thorns, making it so you can't get out once you've entered.\Look. It's something like this. response:	It's just like a trap for catching prey.
context: But when it comes to your head or chest...\If any part of you that's vital to life passes through, then...\Well, as you've seen, something seriously not good will end up happening...\Wh-what happens when you descend?\Well, passing on through from above is nice and smooth.\It's got a flow to it similar to inverted thorns, making it so you can't get out once you've entered.\Look. It's something like this.\It's just like a trap for catching prey. response:	What exactly is it?
context: If any part of you that's vital to life passes through, then...\Well, as you've seen, something seriously not good will end up happening...\Wh-what happens when you descend?\Well, passing on through from above is nice and smooth.\It's got a flow to it similar to inverted thorns, making it so you can't get out once you've entered.\Look. It's something like this.\It's just like a trap for catching prey.\What exactly is it? response:	That malice-filled floaty thing, I mean.
context: Well, as you've seen, something seriously not good will end up happening...\Wh-what happens when you descend?\Well, passing on through from above is nice and smooth.\It's got a flow to it similar to inverted thorns, making it so you can't get out once you've entered.\Look. It's something like this.\It's just like a trap for catching prey.\What exactly is it?\That malice-filled floaty thing, I mean. response:	Still don't get it?
context: Wh-what happens when you descend?\Well, passing on through from above is nice and smooth.\It's got a flow to it similar to inverted thorns, making it so you can't get out once you've entered.\Look. It's something like this.\It's just like a trap for catching prey.\What exactly is it?\That malice-filled floaty thing, I mean.\Still don't get it? response:	It's the force field.
context: Well, passing on through from above is nice and smooth.\It's got a flow to it similar to inverted thorns, making it so you can't get out once you've entered.\Look. It's something like this.\It's just like a trap for catching prey.\What exactly is it?\That malice-filled floaty thing, I mean.\Still don't get it?\It's the force field. response:	The one that carries light to the subterranean world while at the same time obstructing observation of it...
context: It's got a flow to it similar to inverted thorns, making it so you can't get out once you've entered.\Look. It's something like this.\It's just like a trap for catching prey.\What exactly is it?\That malice-filled floaty thing, I mean.\Still don't get it?\It's the force field.\The one that carries light to the subterranean world while at the same time obstructing observation of it... response:	The one that continues to stubbornly guard the netherworld's true nature and the order within it...
context: Look. It's something like this.\It's just like a trap for catching prey.\What exactly is it?\That malice-filled floaty thing, I mean.\Still don't get it?\It's the force field.\The one that carries light to the subterranean world while at the same time obstructing observation of it...\The one that continues to stubbornly guard the netherworld's true nature and the order within it... response:	That's the mysterious force field I speak of.
context: It's just like a trap for catching prey.\What exactly is it?\That malice-filled floaty thing, I mean.\Still don't get it?\It's the force field.\The one that carries light to the subterranean world while at the same time obstructing observation of it...\The one that continues to stubbornly guard the netherworld's true nature and the order within it...\That's the mysterious force field I speak of. response:	Filling every corner of this pit, it's the very blood of the Abyss, so to speak.
context: What exactly is it?\That malice-filled floaty thing, I mean.\Still don't get it?\It's the force field.\The one that carries light to the subterranean world while at the same time obstructing observation of it...\The one that continues to stubbornly guard the netherworld's true nature and the order within it...\That's the mysterious force field I speak of.\Filling every corner of this pit, it's the very blood of the Abyss, so to speak. response:	And that is the true nature of the Curse of the Abyss...
context: That malice-filled floaty thing, I mean.\Still don't get it?\It's the force field.\The one that carries light to the subterranean world while at the same time obstructing observation of it...\The one that continues to stubbornly guard the netherworld's true nature and the order within it...\That's the mysterious force field I speak of.\Filling every corner of this pit, it's the very blood of the Abyss, so to speak.\And that is the true nature of the Curse of the Abyss... response:	There's nowhere to escape from it.
context: Still don't get it?\It's the force field.\The one that carries light to the subterranean world while at the same time obstructing observation of it...\The one that continues to stubbornly guard the netherworld's true nature and the order within it...\That's the mysterious force field I speak of.\Filling every corner of this pit, it's the very blood of the Abyss, so to speak.\And that is the true nature of the Curse of the Abyss...\There's nowhere to escape from it. response:	B-but, Nanachi, didn't you say the Curse wasn't present around your hideout?!
context: It's the force field.\The one that carries light to the subterranean world while at the same time obstructing observation of it...\The one that continues to stubbornly guard the netherworld's true nature and the order within it...\That's the mysterious force field I speak of.\Filling every corner of this pit, it's the very blood of the Abyss, so to speak.\And that is the true nature of the Curse of the Abyss...\There's nowhere to escape from it.\B-but, Nanachi, didn't you say the Curse wasn't present around your hideout?! response:	Well...
context: The one that carries light to the subterranean world while at the same time obstructing observation of it...\The one that continues to stubbornly guard the netherworld's true nature and the order within it...\That's the mysterious force field I speak of.\Filling every corner of this pit, it's the very blood of the Abyss, so to speak.\And that is the true nature of the Curse of the Abyss...\There's nowhere to escape from it.\B-but, Nanachi, didn't you say the Curse wasn't present around your hideout?!\Well... response:	I took great pains to find this place.
context: The one that continues to stubbornly guard the netherworld's true nature and the order within it...\That's the mysterious force field I speak of.\Filling every corner of this pit, it's the very blood of the Abyss, so to speak.\And that is the true nature of the Curse of the Abyss...\There's nowhere to escape from it.\B-but, Nanachi, didn't you say the Curse wasn't present around your hideout?!\Well...\I took great pains to find this place. response:	The force field gets weaker the farther away you get from the vertical shaft.
context: That's the mysterious force field I speak of.\Filling every corner of this pit, it's the very blood of the Abyss, so to speak.\And that is the true nature of the Curse of the Abyss...\There's nowhere to escape from it.\B-but, Nanachi, didn't you say the Curse wasn't present around your hideout?!\Well...\I took great pains to find this place.\The force field gets weaker the farther away you get from the vertical shaft. response:	I-is that so?
context: Filling every corner of this pit, it's the very blood of the Abyss, so to speak.\And that is the true nature of the Curse of the Abyss...\There's nowhere to escape from it.\B-but, Nanachi, didn't you say the Curse wasn't present around your hideout?!\Well...\I took great pains to find this place.\The force field gets weaker the farther away you get from the vertical shaft.\I-is that so? response:	After descending this far, don't you have somewhat of a feel for it?
context: And that is the true nature of the Curse of the Abyss...\There's nowhere to escape from it.\B-but, Nanachi, didn't you say the Curse wasn't present around your hideout?!\Well...\I took great pains to find this place.\The force field gets weaker the farther away you get from the vertical shaft.\I-is that so?\After descending this far, don't you have somewhat of a feel for it? response:	Well, I suppose there aren't many places as stable as this one.
context: There's nowhere to escape from it.\B-but, Nanachi, didn't you say the Curse wasn't present around your hideout?!\Well...\I took great pains to find this place.\The force field gets weaker the farther away you get from the vertical shaft.\I-is that so?\After descending this far, don't you have somewhat of a feel for it?\Well, I suppose there aren't many places as stable as this one. response:	That area around the Seeker Camp also...
context: B-but, Nanachi, didn't you say the Curse wasn't present around your hideout?!\Well...\I took great pains to find this place.\The force field gets weaker the farther away you get from the vertical shaft.\I-is that so?\After descending this far, don't you have somewhat of a feel for it?\Well, I suppose there aren't many places as stable as this one.\That area around the Seeker Camp also... response:	I get it now...
context: Well...\I took great pains to find this place.\The force field gets weaker the farther away you get from the vertical shaft.\I-is that so?\After descending this far, don't you have somewhat of a feel for it?\Well, I suppose there aren't many places as stable as this one.\That area around the Seeker Camp also...\I get it now... response:	Also, the force field is sensitive to the movements of living things.
context: I took great pains to find this place.\The force field gets weaker the farther away you get from the vertical shaft.\I-is that so?\After descending this far, don't you have somewhat of a feel for it?\Well, I suppose there aren't many places as stable as this one.\That area around the Seeker Camp also...\I get it now...\Also, the force field is sensitive to the movements of living things. response:	It even responds to their very consciousnesses and alters its flow.
context: The force field gets weaker the farther away you get from the vertical shaft.\I-is that so?\After descending this far, don't you have somewhat of a feel for it?\Well, I suppose there aren't many places as stable as this one.\That area around the Seeker Camp also...\I get it now...\Also, the force field is sensitive to the movements of living things.\It even responds to their very consciousnesses and alters its flow. response:	Do you get it?
context: I-is that so?\After descending this far, don't you have somewhat of a feel for it?\Well, I suppose there aren't many places as stable as this one.\That area around the Seeker Camp also...\I get it now...\Also, the force field is sensitive to the movements of living things.\It even responds to their very consciousnesses and alters its flow.\Do you get it? response:	If you can read something's consciousness, you can anticipate its movements.
context: After descending this far, don't you have somewhat of a feel for it?\Well, I suppose there aren't many places as stable as this one.\That area around the Seeker Camp also...\I get it now...\Also, the force field is sensitive to the movements of living things.\It even responds to their very consciousnesses and alters its flow.\Do you get it?\If you can read something's consciousness, you can anticipate its movements. response:	Orbed-piercers don't have great intuition...
context: Well, I suppose there aren't many places as stable as this one.\That area around the Seeker Camp also...\I get it now...\Also, the force field is sensitive to the movements of living things.\It even responds to their very consciousnesses and alters its flow.\Do you get it?\If you can read something's consciousness, you can anticipate its movements.\Orbed-piercers don't have great intuition... response:	They can actually predict the future.
context: That area around the Seeker Camp also...\I get it now...\Also, the force field is sensitive to the movements of living things.\It even responds to their very consciousnesses and alters its flow.\Do you get it?\If you can read something's consciousness, you can anticipate its movements.\Orbed-piercers don't have great intuition...\They can actually predict the future. response:	The deeper you go, the denser and stronger the force field becomes.
context: I get it now...\Also, the force field is sensitive to the movements of living things.\It even responds to their very consciousnesses and alters its flow.\Do you get it?\If you can read something's consciousness, you can anticipate its movements.\Orbed-piercers don't have great intuition...\They can actually predict the future.\The deeper you go, the denser and stronger the force field becomes. response:	So challenging the netherworld's bottom means continuing on a path brimming with a deadly curse,
context: Also, the force field is sensitive to the movements of living things.\It even responds to their very consciousnesses and alters its flow.\Do you get it?\If you can read something's consciousness, you can anticipate its movements.\Orbed-piercers don't have great intuition...\They can actually predict the future.\The deeper you go, the denser and stronger the force field becomes.\So challenging the netherworld's bottom means continuing on a path brimming with a deadly curse, response:	while also going up against predators that can predict the future.
context: It even responds to their very consciousnesses and alters its flow.\Do you get it?\If you can read something's consciousness, you can anticipate its movements.\Orbed-piercers don't have great intuition...\They can actually predict the future.\The deeper you go, the denser and stronger the force field becomes.\So challenging the netherworld's bottom means continuing on a path brimming with a deadly curse,\while also going up against predators that can predict the future. response:	Sounds positively delightful, right?
context: Do you get it?\If you can read something's consciousness, you can anticipate its movements.\Orbed-piercers don't have great intuition...\They can actually predict the future.\The deeper you go, the denser and stronger the force field becomes.\So challenging the netherworld's bottom means continuing on a path brimming with a deadly curse,\while also going up against predators that can predict the future.\Sounds positively delightful, right? response:	H-how in the world do cave raiders manage to still press on?
context: If you can read something's consciousness, you can anticipate its movements.\Orbed-piercers don't have great intuition...\They can actually predict the future.\The deeper you go, the denser and stronger the force field becomes.\So challenging the netherworld's bottom means continuing on a path brimming with a deadly curse,\while also going up against predators that can predict the future.\Sounds positively delightful, right?\H-how in the world do cave raiders manage to still press on? response:	Who knows? They aren't even able to see it, so I wonder myself...
context: Orbed-piercers don't have great intuition...\They can actually predict the future.\The deeper you go, the denser and stronger the force field becomes.\So challenging the netherworld's bottom means continuing on a path brimming with a deadly curse,\while also going up against predators that can predict the future.\Sounds positively delightful, right?\H-how in the world do cave raiders manage to still press on?\Who knows? They aren't even able to see it, so I wonder myself... response:	Seriously?!
context: They can actually predict the future.\The deeper you go, the denser and stronger the force field becomes.\So challenging the netherworld's bottom means continuing on a path brimming with a deadly curse,\while also going up against predators that can predict the future.\Sounds positively delightful, right?\H-how in the world do cave raiders manage to still press on?\Who knows? They aren't even able to see it, so I wonder myself...\Seriously?! response:	But, there is one thing I know.
context: The deeper you go, the denser and stronger the force field becomes.\So challenging the netherworld's bottom means continuing on a path brimming with a deadly curse,\while also going up against predators that can predict the future.\Sounds positively delightful, right?\H-how in the world do cave raiders manage to still press on?\Who knows? They aren't even able to see it, so I wonder myself...\Seriously?!\But, there is one thing I know. response:	That's just the way it is. There's no way to stop their longing.
context: So challenging the netherworld's bottom means continuing on a path brimming with a deadly curse,\while also going up against predators that can predict the future.\Sounds positively delightful, right?\H-how in the world do cave raiders manage to still press on?\Who knows? They aren't even able to see it, so I wonder myself...\Seriously?!\But, there is one thing I know.\That's just the way it is. There's no way to stop their longing. response:	Oh, I know. Hand me your helmet.
