context: What is this warm light? response:	Am I the princess? What should I do?
context: He couldn't have...\He's alive!\Really?\But he was taken by our enemy.\By our enemy?\I see.\Everyone, please listen to me!\Now that the princess has awakened, response:	I think it's time to tell you everything.
context: He's alive!\Really?\But he was taken by our enemy.\By our enemy?\I see.\Everyone, please listen to me!\Now that the princess has awakened,\I think it's time to tell you everything. response:	Luna, all your memories came back
context: Really?\But he was taken by our enemy.\By our enemy?\I see.\Everyone, please listen to me!\Now that the princess has awakened,\I think it's time to tell you everything.\Luna, all your memories came back response:	when the princess awoke, too, right?
context: But he was taken by our enemy.\By our enemy?\I see.\Everyone, please listen to me!\Now that the princess has awakened,\I think it's time to tell you everything.\Luna, all your memories came back\when the princess awoke, too, right? response:	Yes, it's all clear now.
context: By our enemy?\I see.\Everyone, please listen to me!\Now that the princess has awakened,\I think it's time to tell you everything.\Luna, all your memories came back\when the princess awoke, too, right?\Yes, it's all clear now. response:	Wait a minute! What are you talking about?
context: I see.\Everyone, please listen to me!\Now that the princess has awakened,\I think it's time to tell you everything.\Luna, all your memories came back\when the princess awoke, too, right?\Yes, it's all clear now.\Wait a minute! What are you talking about? response:	About our previous lives.
context: Everyone, please listen to me!\Now that the princess has awakened,\I think it's time to tell you everything.\Luna, all your memories came back\when the princess awoke, too, right?\Yes, it's all clear now.\Wait a minute! What are you talking about?\About our previous lives. response:	And about the moon kingdom called, Silver Millennium.
context: Now that the princess has awakened,\I think it's time to tell you everything.\Luna, all your memories came back\when the princess awoke, too, right?\Yes, it's all clear now.\Wait a minute! What are you talking about?\About our previous lives.\And about the moon kingdom called, Silver Millennium. response:	Long, long ago,
context: I think it's time to tell you everything.\Luna, all your memories came back\when the princess awoke, too, right?\Yes, it's all clear now.\Wait a minute! What are you talking about?\About our previous lives.\And about the moon kingdom called, Silver Millennium.\Long, long ago, response:	there was a kingdom on the moon called, Silver Millennium.
context: Luna, all your memories came back\when the princess awoke, too, right?\Yes, it's all clear now.\Wait a minute! What are you talking about?\About our previous lives.\And about the moon kingdom called, Silver Millennium.\Long, long ago,\there was a kingdom on the moon called, Silver Millennium. response:	It was a very peaceful paradise.
context: when the princess awoke, too, right?\Yes, it's all clear now.\Wait a minute! What are you talking about?\About our previous lives.\And about the moon kingdom called, Silver Millennium.\Long, long ago,\there was a kingdom on the moon called, Silver Millennium.\It was a very peaceful paradise. response:	Around that time, the Earth was taken over by an evil spirit!
context: Yes, it's all clear now.\Wait a minute! What are you talking about?\About our previous lives.\And about the moon kingdom called, Silver Millennium.\Long, long ago,\there was a kingdom on the moon called, Silver Millennium.\It was a very peaceful paradise.\Around that time, the Earth was taken over by an evil spirit! response:	It invaded Silver Millennium in order to try and obtain
context: Wait a minute! What are you talking about?\About our previous lives.\And about the moon kingdom called, Silver Millennium.\Long, long ago,\there was a kingdom on the moon called, Silver Millennium.\It was a very peaceful paradise.\Around that time, the Earth was taken over by an evil spirit!\It invaded Silver Millennium in order to try and obtain response:	the enormous power of the Silver Crystal.
context: About our previous lives.\And about the moon kingdom called, Silver Millennium.\Long, long ago,\there was a kingdom on the moon called, Silver Millennium.\It was a very peaceful paradise.\Around that time, the Earth was taken over by an evil spirit!\It invaded Silver Millennium in order to try and obtain\the enormous power of the Silver Crystal. response:	The kingdom was destroyed in the fierce war,
context: And about the moon kingdom called, Silver Millennium.\Long, long ago,\there was a kingdom on the moon called, Silver Millennium.\It was a very peaceful paradise.\Around that time, the Earth was taken over by an evil spirit!\It invaded Silver Millennium in order to try and obtain\the enormous power of the Silver Crystal.\The kingdom was destroyed in the fierce war, response:	but with the power of the Silver Crystal,
context: Long, long ago,\there was a kingdom on the moon called, Silver Millennium.\It was a very peaceful paradise.\Around that time, the Earth was taken over by an evil spirit!\It invaded Silver Millennium in order to try and obtain\the enormous power of the Silver Crystal.\The kingdom was destroyed in the fierce war,\but with the power of the Silver Crystal, response:	they sealed away the evil spirit!
context: there was a kingdom on the moon called, Silver Millennium.\It was a very peaceful paradise.\Around that time, the Earth was taken over by an evil spirit!\It invaded Silver Millennium in order to try and obtain\the enormous power of the Silver Crystal.\The kingdom was destroyed in the fierce war,\but with the power of the Silver Crystal,\they sealed away the evil spirit! response:	You are those four warriors who fought back then, now reborn.
context: It was a very peaceful paradise.\Around that time, the Earth was taken over by an evil spirit!\It invaded Silver Millennium in order to try and obtain\the enormous power of the Silver Crystal.\The kingdom was destroyed in the fierce war,\but with the power of the Silver Crystal,\they sealed away the evil spirit!\You are those four warriors who fought back then, now reborn. response:	Then, are we people of the moon?
context: Around that time, the Earth was taken over by an evil spirit!\It invaded Silver Millennium in order to try and obtain\the enormous power of the Silver Crystal.\The kingdom was destroyed in the fierce war,\but with the power of the Silver Crystal,\they sealed away the evil spirit!\You are those four warriors who fought back then, now reborn.\Then, are we people of the moon? response:	No, we're all genuine Earth humans.
context: It invaded Silver Millennium in order to try and obtain\the enormous power of the Silver Crystal.\The kingdom was destroyed in the fierce war,\but with the power of the Silver Crystal,\they sealed away the evil spirit!\You are those four warriors who fought back then, now reborn.\Then, are we people of the moon?\No, we're all genuine Earth humans. response:	So your parents are really your parents.
context: the enormous power of the Silver Crystal.\The kingdom was destroyed in the fierce war,\but with the power of the Silver Crystal,\they sealed away the evil spirit!\You are those four warriors who fought back then, now reborn.\Then, are we people of the moon?\No, we're all genuine Earth humans.\So your parents are really your parents. response:	You see, the queen of the moon
context: The kingdom was destroyed in the fierce war,\but with the power of the Silver Crystal,\they sealed away the evil spirit!\You are those four warriors who fought back then, now reborn.\Then, are we people of the moon?\No, we're all genuine Earth humans.\So your parents are really your parents.\You see, the queen of the moon response:	wanted the princess and the rest of you
context: but with the power of the Silver Crystal,\they sealed away the evil spirit!\You are those four warriors who fought back then, now reborn.\Then, are we people of the moon?\No, we're all genuine Earth humans.\So your parents are really your parents.\You see, the queen of the moon\wanted the princess and the rest of you response:	to live happily as normal girls,
context: they sealed away the evil spirit!\You are those four warriors who fought back then, now reborn.\Then, are we people of the moon?\No, we're all genuine Earth humans.\So your parents are really your parents.\You see, the queen of the moon\wanted the princess and the rest of you\to live happily as normal girls, response:	so she transmigrated you to this most peaceful era.
context: You are those four warriors who fought back then, now reborn.\Then, are we people of the moon?\No, we're all genuine Earth humans.\So your parents are really your parents.\You see, the queen of the moon\wanted the princess and the rest of you\to live happily as normal girls,\so she transmigrated you to this most peaceful era. response:	But even in this era,
context: Then, are we people of the moon?\No, we're all genuine Earth humans.\So your parents are really your parents.\You see, the queen of the moon\wanted the princess and the rest of you\to live happily as normal girls,\so she transmigrated you to this most peaceful era.\But even in this era, response:	someone unraveled the seal on the evil spirit.
context: No, we're all genuine Earth humans.\So your parents are really your parents.\You see, the queen of the moon\wanted the princess and the rest of you\to live happily as normal girls,\so she transmigrated you to this most peaceful era.\But even in this era,\someone unraveled the seal on the evil spirit. response:	So, that evil spirit is the leader of the Dark Kingdom?
context: So your parents are really your parents.\You see, the queen of the moon\wanted the princess and the rest of you\to live happily as normal girls,\so she transmigrated you to this most peaceful era.\But even in this era,\someone unraveled the seal on the evil spirit.\So, that evil spirit is the leader of the Dark Kingdom? response:	That's right. If none of this had happened,
context: You see, the queen of the moon\wanted the princess and the rest of you\to live happily as normal girls,\so she transmigrated you to this most peaceful era.\But even in this era,\someone unraveled the seal on the evil spirit.\So, that evil spirit is the leader of the Dark Kingdom?\That's right. If none of this had happened, response:	all of you would be living happily as normal girls.
context: wanted the princess and the rest of you\to live happily as normal girls,\so she transmigrated you to this most peaceful era.\But even in this era,\someone unraveled the seal on the evil spirit.\So, that evil spirit is the leader of the Dark Kingdom?\That's right. If none of this had happened,\all of you would be living happily as normal girls. response:	But if we don't protect the Silver Crystal and defeat our enemy,
context: to live happily as normal girls,\so she transmigrated you to this most peaceful era.\But even in this era,\someone unraveled the seal on the evil spirit.\So, that evil spirit is the leader of the Dark Kingdom?\That's right. If none of this had happened,\all of you would be living happily as normal girls.\But if we don't protect the Silver Crystal and defeat our enemy, response:	we cannot have a peaceful world.
context: so she transmigrated you to this most peaceful era.\But even in this era,\someone unraveled the seal on the evil spirit.\So, that evil spirit is the leader of the Dark Kingdom?\That's right. If none of this had happened,\all of you would be living happily as normal girls.\But if we don't protect the Silver Crystal and defeat our enemy,\we cannot have a peaceful world. response:	And our duty is to fight for that cause!
context: But even in this era,\someone unraveled the seal on the evil spirit.\So, that evil spirit is the leader of the Dark Kingdom?\That's right. If none of this had happened,\all of you would be living happily as normal girls.\But if we don't protect the Silver Crystal and defeat our enemy,\we cannot have a peaceful world.\And our duty is to fight for that cause! response:	You understand, don't you?
context: someone unraveled the seal on the evil spirit.\So, that evil spirit is the leader of the Dark Kingdom?\That's right. If none of this had happened,\all of you would be living happily as normal girls.\But if we don't protect the Silver Crystal and defeat our enemy,\we cannot have a peaceful world.\And our duty is to fight for that cause!\You understand, don't you? response:	We have to work together and fight
context: So, that evil spirit is the leader of the Dark Kingdom?\That's right. If none of this had happened,\all of you would be living happily as normal girls.\But if we don't protect the Silver Crystal and defeat our enemy,\we cannot have a peaceful world.\And our duty is to fight for that cause!\You understand, don't you?\We have to work together and fight response:	so we don't repeat the tragedy of the past again.
context: That's right. If none of this had happened,\all of you would be living happily as normal girls.\But if we don't protect the Silver Crystal and defeat our enemy,\we cannot have a peaceful world.\And our duty is to fight for that cause!\You understand, don't you?\We have to work together and fight\so we don't repeat the tragedy of the past again. response:	I understand.
context: all of you would be living happily as normal girls.\But if we don't protect the Silver Crystal and defeat our enemy,\we cannot have a peaceful world.\And our duty is to fight for that cause!\You understand, don't you?\We have to work together and fight\so we don't repeat the tragedy of the past again.\I understand. response:	Yes, let's fight together!
context: But if we don't protect the Silver Crystal and defeat our enemy,\we cannot have a peaceful world.\And our duty is to fight for that cause!\You understand, don't you?\We have to work together and fight\so we don't repeat the tragedy of the past again.\I understand.\Yes, let's fight together! response:	I don't want to.
context: we cannot have a peaceful world.\And our duty is to fight for that cause!\You understand, don't you?\We have to work together and fight\so we don't repeat the tragedy of the past again.\I understand.\Yes, let's fight together!\I don't want to. response:	Sailor Moon...
context: And our duty is to fight for that cause!\You understand, don't you?\We have to work together and fight\so we don't repeat the tragedy of the past again.\I understand.\Yes, let's fight together!\I don't want to.\Sailor Moon... response:	I just don't want to fight anymore.
context: You understand, don't you?\We have to work together and fight\so we don't repeat the tragedy of the past again.\I understand.\Yes, let's fight together!\I don't want to.\Sailor Moon...\I just don't want to fight anymore. response:	Are you serious?
context: We have to work together and fight\so we don't repeat the tragedy of the past again.\I understand.\Yes, let's fight together!\I don't want to.\Sailor Moon...\I just don't want to fight anymore.\Are you serious? response:	But I just don't want to!
context: so we don't repeat the tragedy of the past again.\I understand.\Yes, let's fight together!\I don't want to.\Sailor Moon...\I just don't want to fight anymore.\Are you serious?\But I just don't want to! response:	You're the princess! How could you say that?!
context: I understand.\Yes, let's fight together!\I don't want to.\Sailor Moon...\I just don't want to fight anymore.\Are you serious?\But I just don't want to!\You're the princess! How could you say that?! response:	Being told I'm the princess doesn't make me feel like one,
context: Yes, let's fight together!\I don't want to.\Sailor Moon...\I just don't want to fight anymore.\Are you serious?\But I just don't want to!\You're the princess! How could you say that?!\Being told I'm the princess doesn't make me feel like one, response:	and it doesn't make me happy at all!
context: I don't want to.\Sailor Moon...\I just don't want to fight anymore.\Are you serious?\But I just don't want to!\You're the princess! How could you say that?!\Being told I'm the princess doesn't make me feel like one,\and it doesn't make me happy at all! response:	I'm just Usagi Tsukino.
context: Sailor Moon...\I just don't want to fight anymore.\Are you serious?\But I just don't want to!\You're the princess! How could you say that?!\Being told I'm the princess doesn't make me feel like one,\and it doesn't make me happy at all!\I'm just Usagi Tsukino. response:	Usagi, don't you understand what your mission is?!
context: I just don't want to fight anymore.\Are you serious?\But I just don't want to!\You're the princess! How could you say that?!\Being told I'm the princess doesn't make me feel like one,\and it doesn't make me happy at all!\I'm just Usagi Tsukino.\Usagi, don't you understand what your mission is?! response:	I don't care about any mission anymore!
context: Are you serious?\But I just don't want to!\You're the princess! How could you say that?!\Being told I'm the princess doesn't make me feel like one,\and it doesn't make me happy at all!\I'm just Usagi Tsukino.\Usagi, don't you understand what your mission is?!\I don't care about any mission anymore! response:	So what about my previous life?!
context: But I just don't want to!\You're the princess! How could you say that?!\Being told I'm the princess doesn't make me feel like one,\and it doesn't make me happy at all!\I'm just Usagi Tsukino.\Usagi, don't you understand what your mission is?!\I don't care about any mission anymore!\So what about my previous life?! response:	It has nothing to do with me!
context: You're the princess! How could you say that?!\Being told I'm the princess doesn't make me feel like one,\and it doesn't make me happy at all!\I'm just Usagi Tsukino.\Usagi, don't you understand what your mission is?!\I don't care about any mission anymore!\So what about my previous life?!\It has nothing to do with me! response:	What's with all of you?! I just don't want to fight anymore!
context: Being told I'm the princess doesn't make me feel like one,\and it doesn't make me happy at all!\I'm just Usagi Tsukino.\Usagi, don't you understand what your mission is?!\I don't care about any mission anymore!\So what about my previous life?!\It has nothing to do with me!\What's with all of you?! I just don't want to fight anymore! response:	If everyone...
context: and it doesn't make me happy at all!\I'm just Usagi Tsukino.\Usagi, don't you understand what your mission is?!\I don't care about any mission anymore!\So what about my previous life?!\It has nothing to do with me!\What's with all of you?! I just don't want to fight anymore!\If everyone... response:	If everyone ends up like Mamoru...
context: I'm just Usagi Tsukino.\Usagi, don't you understand what your mission is?!\I don't care about any mission anymore!\So what about my previous life?!\It has nothing to do with me!\What's with all of you?! I just don't want to fight anymore!\If everyone...\If everyone ends up like Mamoru... response:	I don't want to see that! It's too sad! I don't want this!
context: Usagi, don't you understand what your mission is?!\I don't care about any mission anymore!\So what about my previous life?!\It has nothing to do with me!\What's with all of you?! I just don't want to fight anymore!\If everyone...\If everyone ends up like Mamoru...\I don't want to see that! It's too sad! I don't want this! response:	Ouch...
context: I don't care about any mission anymore!\So what about my previous life?!\It has nothing to do with me!\What's with all of you?! I just don't want to fight anymore!\If everyone...\If everyone ends up like Mamoru...\I don't want to see that! It's too sad! I don't want this!\Ouch... response:	You're a coward... A coward! You're a coward!
context: So what about my previous life?!\It has nothing to do with me!\What's with all of you?! I just don't want to fight anymore!\If everyone...\If everyone ends up like Mamoru...\I don't want to see that! It's too sad! I don't want this!\Ouch...\You're a coward... A coward! You're a coward! response:	Yes, I'm a coward. I'm not strong like you are, Rei!
context: It has nothing to do with me!\What's with all of you?! I just don't want to fight anymore!\If everyone...\If everyone ends up like Mamoru...\I don't want to see that! It's too sad! I don't want this!\Ouch...\You're a coward... A coward! You're a coward!\Yes, I'm a coward. I'm not strong like you are, Rei! response:	Rei...
context: What's with all of you?! I just don't want to fight anymore!\If everyone...\If everyone ends up like Mamoru...\I don't want to see that! It's too sad! I don't want this!\Ouch...\You're a coward... A coward! You're a coward!\Yes, I'm a coward. I'm not strong like you are, Rei!\Rei... response:	Mamoru did all that just to protect a coward like you...
context: If everyone...\If everyone ends up like Mamoru...\I don't want to see that! It's too sad! I don't want this!\Ouch...\You're a coward... A coward! You're a coward!\Yes, I'm a coward. I'm not strong like you are, Rei!\Rei...\Mamoru did all that just to protect a coward like you... response:	Sailor Moon still needs some more time.
context: If everyone ends up like Mamoru...\I don't want to see that! It's too sad! I don't want this!\Ouch...\You're a coward... A coward! You're a coward!\Yes, I'm a coward. I'm not strong like you are, Rei!\Rei...\Mamoru did all that just to protect a coward like you...\Sailor Moon still needs some more time. response:	But...
context: I don't want to see that! It's too sad! I don't want this!\Ouch...\You're a coward... A coward! You're a coward!\Yes, I'm a coward. I'm not strong like you are, Rei!\Rei...\Mamoru did all that just to protect a coward like you...\Sailor Moon still needs some more time.\But... response:	She'll go back to being the same old Usagi in a while.
context: Ouch...\You're a coward... A coward! You're a coward!\Yes, I'm a coward. I'm not strong like you are, Rei!\Rei...\Mamoru did all that just to protect a coward like you...\Sailor Moon still needs some more time.\But...\She'll go back to being the same old Usagi in a while. response:	Until then, let's all watch over her.
context: You're a coward... A coward! You're a coward!\Yes, I'm a coward. I'm not strong like you are, Rei!\Rei...\Mamoru did all that just to protect a coward like you...\Sailor Moon still needs some more time.\But...\She'll go back to being the same old Usagi in a while.\Until then, let's all watch over her. response:	By the way, Luna, I found the exit!
context: Yes, I'm a coward. I'm not strong like you are, Rei!\Rei...\Mamoru did all that just to protect a coward like you...\Sailor Moon still needs some more time.\But...\She'll go back to being the same old Usagi in a while.\Until then, let's all watch over her.\By the way, Luna, I found the exit! response:	Good! Then, I know we're still not done talking,
context: Rei...\Mamoru did all that just to protect a coward like you...\Sailor Moon still needs some more time.\But...\She'll go back to being the same old Usagi in a while.\Until then, let's all watch over her.\By the way, Luna, I found the exit!\Good! Then, I know we're still not done talking, response:	but let's get out of here first!
context: Mamoru did all that just to protect a coward like you...\Sailor Moon still needs some more time.\But...\She'll go back to being the same old Usagi in a while.\Until then, let's all watch over her.\By the way, Luna, I found the exit!\Good! Then, I know we're still not done talking,\but let's get out of here first! response:	Come on, let's go!
context: Sailor Moon still needs some more time.\But...\She'll go back to being the same old Usagi in a while.\Until then, let's all watch over her.\By the way, Luna, I found the exit!\Good! Then, I know we're still not done talking,\but let's get out of here first!\Come on, let's go! response:	I am surprised you found the exit.
context: But...\She'll go back to being the same old Usagi in a while.\Until then, let's all watch over her.\By the way, Luna, I found the exit!\Good! Then, I know we're still not done talking,\but let's get out of here first!\Come on, let's go!\I am surprised you found the exit. response:	Luna, Artemis, find someplace safe!
context: She'll go back to being the same old Usagi in a while.\Until then, let's all watch over her.\By the way, Luna, I found the exit!\Good! Then, I know we're still not done talking,\but let's get out of here first!\Come on, let's go!\I am surprised you found the exit.\Luna, Artemis, find someplace safe! response:	Okay!
context: Until then, let's all watch over her.\By the way, Luna, I found the exit!\Good! Then, I know we're still not done talking,\but let's get out of here first!\Come on, let's go!\I am surprised you found the exit.\Luna, Artemis, find someplace safe!\Okay! response:	Be careful, Venus!
context: By the way, Luna, I found the exit!\Good! Then, I know we're still not done talking,\but let's get out of here first!\Come on, let's go!\I am surprised you found the exit.\Luna, Artemis, find someplace safe!\Okay!\Be careful, Venus! response:	Everyone, take care of the princess!
context: Good! Then, I know we're still not done talking,\but let's get out of here first!\Come on, let's go!\I am surprised you found the exit.\Luna, Artemis, find someplace safe!\Okay!\Be careful, Venus!\Everyone, take care of the princess! response:	I'm going to fight with you!
context: but let's get out of here first!\Come on, let's go!\I am surprised you found the exit.\Luna, Artemis, find someplace safe!\Okay!\Be careful, Venus!\Everyone, take care of the princess!\I'm going to fight with you! response:	Thank you.
context: Come on, let's go!\I am surprised you found the exit.\Luna, Artemis, find someplace safe!\Okay!\Be careful, Venus!\Everyone, take care of the princess!\I'm going to fight with you!\Thank you. response:	You are wasting your time.
context: I am surprised you found the exit.\Luna, Artemis, find someplace safe!\Okay!\Be careful, Venus!\Everyone, take care of the princess!\I'm going to fight with you!\Thank you.\You are wasting your time. response:	Don't underestimate me!
context: Luna, Artemis, find someplace safe!\Okay!\Be careful, Venus!\Everyone, take care of the princess!\I'm going to fight with you!\Thank you.\You are wasting your time.\Don't underestimate me! response:	Supreme
context: Okay!\Be careful, Venus!\Everyone, take care of the princess!\I'm going to fight with you!\Thank you.\You are wasting your time.\Don't underestimate me!\Supreme response:	Thunder!
context: Be careful, Venus!\Everyone, take care of the princess!\I'm going to fight with you!\Thank you.\You are wasting your time.\Don't underestimate me!\Supreme\Thunder! response:	No way! He's absorbing the energy!
context: Everyone, take care of the princess!\I'm going to fight with you!\Thank you.\You are wasting your time.\Don't underestimate me!\Supreme\Thunder!\No way! He's absorbing the energy! response:	How about this?!
context: I'm going to fight with you!\Thank you.\You are wasting your time.\Don't underestimate me!\Supreme\Thunder!\No way! He's absorbing the energy!\How about this?! response:	Crescent Beam!
context: Thank you.\You are wasting your time.\Don't underestimate me!\Supreme\Thunder!\No way! He's absorbing the energy!\How about this?!\Crescent Beam! response:	It's not working.
context: You are wasting your time.\Don't underestimate me!\Supreme\Thunder!\No way! He's absorbing the energy!\How about this?!\Crescent Beam!\It's not working. response:	In this dimension, he'll absorb all the energy!
context: Don't underestimate me!\Supreme\Thunder!\No way! He's absorbing the energy!\How about this?!\Crescent Beam!\It's not working.\In this dimension, he'll absorb all the energy! response:	Then, what should we do?!
context: Supreme\Thunder!\No way! He's absorbing the energy!\How about this?!\Crescent Beam!\It's not working.\In this dimension, he'll absorb all the energy!\Then, what should we do?! response:	That's not enough...
context: Thunder!\No way! He's absorbing the energy!\How about this?!\Crescent Beam!\It's not working.\In this dimension, he'll absorb all the energy!\Then, what should we do?!\That's not enough... response:	Then, die!
context: No way! He's absorbing the energy!\How about this?!\Crescent Beam!\It's not working.\In this dimension, he'll absorb all the energy!\Then, what should we do?!\That's not enough...\Then, die! response:	Watch out!
context: How about this?!\Crescent Beam!\It's not working.\In this dimension, he'll absorb all the energy!\Then, what should we do?!\That's not enough...\Then, die!\Watch out! response:	Take care of the rest, Mercury!
context: Crescent Beam!\It's not working.\In this dimension, he'll absorb all the energy!\Then, what should we do?!\That's not enough...\Then, die!\Watch out!\Take care of the rest, Mercury! response:	Usagi, wake up.
context: It's not working.\In this dimension, he'll absorb all the energy!\Then, what should we do?!\That's not enough...\Then, die!\Watch out!\Take care of the rest, Mercury!\Usagi, wake up. response:	You will be fine, I know it!
context: In this dimension, he'll absorb all the energy!\Then, what should we do?!\That's not enough...\Then, die!\Watch out!\Take care of the rest, Mercury!\Usagi, wake up.\You will be fine, I know it! response:	Are you ready?
context: Then, what should we do?!\That's not enough...\Then, die!\Watch out!\Take care of the rest, Mercury!\Usagi, wake up.\You will be fine, I know it!\Are you ready? response:	Fire
context: That's not enough...\Then, die!\Watch out!\Take care of the rest, Mercury!\Usagi, wake up.\You will be fine, I know it!\Are you ready?\Fire response:	Soul!
context: Then, die!\Watch out!\Take care of the rest, Mercury!\Usagi, wake up.\You will be fine, I know it!\Are you ready?\Fire\Soul! response:	Fool!
context: Watch out!\Take care of the rest, Mercury!\Usagi, wake up.\You will be fine, I know it!\Are you ready?\Fire\Soul!\Fool! response:	Are you ready, Princess?
context: Take care of the rest, Mercury!\Usagi, wake up.\You will be fine, I know it!\Are you ready?\Fire\Soul!\Fool!\Are you ready, Princess? response:	I am your opponent!
context: Usagi, wake up.\You will be fine, I know it!\Are you ready?\Fire\Soul!\Fool!\Are you ready, Princess?\I am your opponent! response:	Do not interfere!
context: You will be fine, I know it!\Are you ready?\Fire\Soul!\Fool!\Are you ready, Princess?\I am your opponent!\Do not interfere! response:	Tenacious fool!
context: Are you ready?\Fire\Soul!\Fool!\Are you ready, Princess?\I am your opponent!\Do not interfere!\Tenacious fool! response:	Ami, hang in there!
context: Fire\Soul!\Fool!\Are you ready, Princess?\I am your opponent!\Do not interfere!\Tenacious fool!\Ami, hang in there! response:	Usagi, be brave!
context: Soul!\Fool!\Are you ready, Princess?\I am your opponent!\Do not interfere!\Tenacious fool!\Ami, hang in there!\Usagi, be brave! response:	Ami...
context: Fool!\Are you ready, Princess?\I am your opponent!\Do not interfere!\Tenacious fool!\Ami, hang in there!\Usagi, be brave!\Ami... response:	Usagi, be strong.
context: Are you ready, Princess?\I am your opponent!\Do not interfere!\Tenacious fool!\Ami, hang in there!\Usagi, be brave!\Ami...\Usagi, be strong. response:	Usagi...
context: I am your opponent!\Do not interfere!\Tenacious fool!\Ami, hang in there!\Usagi, be brave!\Ami...\Usagi, be strong.\Usagi... response:	Usagi...
context: Do not interfere!\Tenacious fool!\Ami, hang in there!\Usagi, be brave!\Ami...\Usagi, be strong.\Usagi...\Usagi... response:	Everyone... Everyone...
context: Tenacious fool!\Ami, hang in there!\Usagi, be brave!\Ami...\Usagi, be strong.\Usagi...\Usagi...\Everyone... Everyone... response:	Everyone...
context: Ami, hang in there!\Usagi, be brave!\Ami...\Usagi, be strong.\Usagi...\Usagi...\Everyone... Everyone...\Everyone... response:	Tuxedo Mask, please lend me your power.
context: Usagi, be brave!\Ami...\Usagi, be strong.\Usagi...\Usagi...\Everyone... Everyone...\Everyone...\Tuxedo Mask, please lend me your power. response:	Sailor Moon...
context: Ami...\Usagi, be strong.\Usagi...\Usagi...\Everyone... Everyone...\Everyone...\Tuxedo Mask, please lend me your power.\Sailor Moon... response:	Tuxedo Mask?
context: Usagi, be strong.\Usagi...\Usagi...\Everyone... Everyone...\Everyone...\Tuxedo Mask, please lend me your power.\Sailor Moon...\Tuxedo Mask? response:	Fight, Sailor Moon! The Silver Crystal...
context: Usagi...\Usagi...\Everyone... Everyone...\Everyone...\Tuxedo Mask, please lend me your power.\Sailor Moon...\Tuxedo Mask?\Fight, Sailor Moon! The Silver Crystal... response:	Raise the Silver Crystal!
context: Usagi...\Everyone... Everyone...\Everyone...\Tuxedo Mask, please lend me your power.\Sailor Moon...\Tuxedo Mask?\Fight, Sailor Moon! The Silver Crystal...\Raise the Silver Crystal! response:	Yes!
context: Everyone... Everyone...\Everyone...\Tuxedo Mask, please lend me your power.\Sailor Moon...\Tuxedo Mask?\Fight, Sailor Moon! The Silver Crystal...\Raise the Silver Crystal!\Yes! response:	Do you mean to step into Hell voluntarily, Princess?
context: Everyone...\Tuxedo Mask, please lend me your power.\Sailor Moon...\Tuxedo Mask?\Fight, Sailor Moon! The Silver Crystal...\Raise the Silver Crystal!\Yes!\Do you mean to step into Hell voluntarily, Princess? response:	Fine, then.
context: Tuxedo Mask, please lend me your power.\Sailor Moon...\Tuxedo Mask?\Fight, Sailor Moon! The Silver Crystal...\Raise the Silver Crystal!\Yes!\Do you mean to step into Hell voluntarily, Princess?\Fine, then. response:	I will take revenge for Zoisite!
context: Sailor Moon...\Tuxedo Mask?\Fight, Sailor Moon! The Silver Crystal...\Raise the Silver Crystal!\Yes!\Do you mean to step into Hell voluntarily, Princess?\Fine, then.\I will take revenge for Zoisite! response:	Please...
context: Tuxedo Mask?\Fight, Sailor Moon! The Silver Crystal...\Raise the Silver Crystal!\Yes!\Do you mean to step into Hell voluntarily, Princess?\Fine, then.\I will take revenge for Zoisite!\Please... response:	Please, Silver Crystal!
context: Fight, Sailor Moon! The Silver Crystal...\Raise the Silver Crystal!\Yes!\Do you mean to step into Hell voluntarily, Princess?\Fine, then.\I will take revenge for Zoisite!\Please...\Please, Silver Crystal! response:	What?!
context: Raise the Silver Crystal!\Yes!\Do you mean to step into Hell voluntarily, Princess?\Fine, then.\I will take revenge for Zoisite!\Please...\Please, Silver Crystal!\What?! response:	That girl...
context: Yes!\Do you mean to step into Hell voluntarily, Princess?\Fine, then.\I will take revenge for Zoisite!\Please...\Please, Silver Crystal!\What?!\That girl... response:	So, she has learned to use some of the Silver Crystal's power.
context: Do you mean to step into Hell voluntarily, Princess?\Fine, then.\I will take revenge for Zoisite!\Please...\Please, Silver Crystal!\What?!\That girl...\So, she has learned to use some of the Silver Crystal's power. response:	Serenity...
context: Fine, then.\I will take revenge for Zoisite!\Please...\Please, Silver Crystal!\What?!\That girl...\So, she has learned to use some of the Silver Crystal's power.\Serenity... response:	Endymion, can you still not forget about her?
context: I will take revenge for Zoisite!\Please...\Please, Silver Crystal!\What?!\That girl...\So, she has learned to use some of the Silver Crystal's power.\Serenity...\Endymion, can you still not forget about her? response:	Even though it will be forever unrequited,
context: Please...\Please, Silver Crystal!\What?!\That girl...\So, she has learned to use some of the Silver Crystal's power.\Serenity...\Endymion, can you still not forget about her?\Even though it will be forever unrequited, response:	no matter how much you love Serenity.
context: Please, Silver Crystal!\What?!\That girl...\So, she has learned to use some of the Silver Crystal's power.\Serenity...\Endymion, can you still not forget about her?\Even though it will be forever unrequited,\no matter how much you love Serenity. response:	Thank you, Tuxedo Mask.
context: What?!\That girl...\So, she has learned to use some of the Silver Crystal's power.\Serenity...\Endymion, can you still not forget about her?\Even though it will be forever unrequited,\no matter how much you love Serenity.\Thank you, Tuxedo Mask. response:	You saved us.
