context: What's that? response:	A tatami?
context: As you already know,\the Ogura Hundred Poets lived during the Kamakura period.\Fujiwara no Teika\compiled them by taking one poem each from 100 of the best poets,\in chronological order from Emperor Tenji to the Retired Emperor Juntoku\to decorate the sliding doors at the Ogura mountain villa,\the summer home of the general and poet Utsunomiya Yoritsuna.\I love the backstory. response:	Many of the selected poems were ornamental in nature,
context: the Ogura Hundred Poets lived during the Kamakura period.\Fujiwara no Teika\compiled them by taking one poem each from 100 of the best poets,\in chronological order from Emperor Tenji to the Retired Emperor Juntoku\to decorate the sliding doors at the Ogura mountain villa,\the summer home of the general and poet Utsunomiya Yoritsuna.\I love the backstory.\Many of the selected poems were ornamental in nature, response:	because they were meant to be used as decoration.
context: Fujiwara no Teika\compiled them by taking one poem each from 100 of the best poets,\in chronological order from Emperor Tenji to the Retired Emperor Juntoku\to decorate the sliding doors at the Ogura mountain villa,\the summer home of the general and poet Utsunomiya Yoritsuna.\I love the backstory.\Many of the selected poems were ornamental in nature,\because they were meant to be used as decoration. response:	His judgment was wonderful!
context: compiled them by taking one poem each from 100 of the best poets,\in chronological order from Emperor Tenji to the Retired Emperor Juntoku\to decorate the sliding doors at the Ogura mountain villa,\the summer home of the general and poet Utsunomiya Yoritsuna.\I love the backstory.\Many of the selected poems were ornamental in nature,\because they were meant to be used as decoration.\His judgment was wonderful! response:	Seventy-nine male poets!
context: in chronological order from Emperor Tenji to the Retired Emperor Juntoku\to decorate the sliding doors at the Ogura mountain villa,\the summer home of the general and poet Utsunomiya Yoritsuna.\I love the backstory.\Many of the selected poems were ornamental in nature,\because they were meant to be used as decoration.\His judgment was wonderful!\Seventy-nine male poets! response:	Twenty-one female poets!
context: to decorate the sliding doors at the Ogura mountain villa,\the summer home of the general and poet Utsunomiya Yoritsuna.\I love the backstory.\Many of the selected poems were ornamental in nature,\because they were meant to be used as decoration.\His judgment was wonderful!\Seventy-nine male poets!\Twenty-one female poets! response:	I paid particular attention to the poems by the women!
context: the summer home of the general and poet Utsunomiya Yoritsuna.\I love the backstory.\Many of the selected poems were ornamental in nature,\because they were meant to be used as decoration.\His judgment was wonderful!\Seventy-nine male poets!\Twenty-one female poets!\I paid particular attention to the poems by the women! response:	You can feel the seasons and modesty in a way
context: I love the backstory.\Many of the selected poems were ornamental in nature,\because they were meant to be used as decoration.\His judgment was wonderful!\Seventy-nine male poets!\Twenty-one female poets!\I paid particular attention to the poems by the women!\You can feel the seasons and modesty in a way response:	that can't be found in modern poetry!
context: Many of the selected poems were ornamental in nature,\because they were meant to be used as decoration.\His judgment was wonderful!\Seventy-nine male poets!\Twenty-one female poets!\I paid particular attention to the poems by the women!\You can feel the seasons and modesty in a way\that can't be found in modern poetry! response:	The beauty in each word
context: because they were meant to be used as decoration.\His judgment was wonderful!\Seventy-nine male poets!\Twenty-one female poets!\I paid particular attention to the poems by the women!\You can feel the seasons and modesty in a way\that can't be found in modern poetry!\The beauty in each word response:	is just as fresh as it was a thousand years ago!
context: His judgment was wonderful!\Seventy-nine male poets!\Twenty-one female poets!\I paid particular attention to the poems by the women!\You can feel the seasons and modesty in a way\that can't be found in modern poetry!\The beauty in each word\is just as fresh as it was a thousand years ago! response:	I still haven't found the words
context: Seventy-nine male poets!\Twenty-one female poets!\I paid particular attention to the poems by the women!\You can feel the seasons and modesty in a way\that can't be found in modern poetry!\The beauty in each word\is just as fresh as it was a thousand years ago!\I still haven't found the words response:	to express the rush of emotion they bring me!
context: Twenty-one female poets!\I paid particular attention to the poems by the women!\You can feel the seasons and modesty in a way\that can't be found in modern poetry!\The beauty in each word\is just as fresh as it was a thousand years ago!\I still haven't found the words\to express the rush of emotion they bring me! response:	R-Right!
context: I paid particular attention to the poems by the women!\You can feel the seasons and modesty in a way\that can't be found in modern poetry!\The beauty in each word\is just as fresh as it was a thousand years ago!\I still haven't found the words\to express the rush of emotion they bring me!\R-Right! response:	So!
context: You can feel the seasons and modesty in a way\that can't be found in modern poetry!\The beauty in each word\is just as fresh as it was a thousand years ago!\I still haven't found the words\to express the rush of emotion they bring me!\R-Right!\So! response:	Do you like competitive karuta?
context: that can't be found in modern poetry!\The beauty in each word\is just as fresh as it was a thousand years ago!\I still haven't found the words\to express the rush of emotion they bring me!\R-Right!\So!\Do you like competitive karuta? response:	Do you wear hakama?
context: The beauty in each word\is just as fresh as it was a thousand years ago!\I still haven't found the words\to express the rush of emotion they bring me!\R-Right!\So!\Do you like competitive karuta?\Do you wear hakama? response:	Hakama?
context: is just as fresh as it was a thousand years ago!\I still haven't found the words\to express the rush of emotion they bring me!\R-Right!\So!\Do you like competitive karuta?\Do you wear hakama?\Hakama? response:	I've never worn one before.
context: I still haven't found the words\to express the rush of emotion they bring me!\R-Right!\So!\Do you like competitive karuta?\Do you wear hakama?\Hakama?\I've never worn one before. response:	You haven't either, Taichi?
context: to express the rush of emotion they bring me!\R-Right!\So!\Do you like competitive karuta?\Do you wear hakama?\Hakama?\I've never worn one before.\You haven't either, Taichi? response:	Huh? Yeah...
context: R-Right!\So!\Do you like competitive karuta?\Do you wear hakama?\Hakama?\I've never worn one before.\You haven't either, Taichi?\Huh? Yeah... response:	Most people don't wear them.
context: So!\Do you like competitive karuta?\Do you wear hakama?\Hakama?\I've never worn one before.\You haven't either, Taichi?\Huh? Yeah...\Most people don't wear them. response:	Why?!
context: Do you like competitive karuta?\Do you wear hakama?\Hakama?\I've never worn one before.\You haven't either, Taichi?\Huh? Yeah...\Most people don't wear them.\Why?! response:	Only members of the imperial court dabble in poetry!
context: Do you wear hakama?\Hakama?\I've never worn one before.\You haven't either, Taichi?\Huh? Yeah...\Most people don't wear them.\Why?!\Only members of the imperial court dabble in poetry! response:	I wouldn't expect you to wear junihitoe,
context: Hakama?\I've never worn one before.\You haven't either, Taichi?\Huh? Yeah...\Most people don't wear them.\Why?!\Only members of the imperial court dabble in poetry!\I wouldn't expect you to wear junihitoe, response:	but you should at least wear a hakama!
context: I've never worn one before.\You haven't either, Taichi?\Huh? Yeah...\Most people don't wear them.\Why?!\Only members of the imperial court dabble in poetry!\I wouldn't expect you to wear junihitoe,\but you should at least wear a hakama! response:	The kendo club and archery club require hakama!
context: You haven't either, Taichi?\Huh? Yeah...\Most people don't wear them.\Why?!\Only members of the imperial court dabble in poetry!\I wouldn't expect you to wear junihitoe,\but you should at least wear a hakama!\The kendo club and archery club require hakama! response:	Wh
context: Huh? Yeah...\Most people don't wear them.\Why?!\Only members of the imperial court dabble in poetry!\I wouldn't expect you to wear junihitoe,\but you should at least wear a hakama!\The kendo club and archery club require hakama!\Wh response:	Why don't we wear them?
context: Most people don't wear them.\Why?!\Only members of the imperial court dabble in poetry!\I wouldn't expect you to wear junihitoe,\but you should at least wear a hakama!\The kendo club and archery club require hakama!\Wh\Why don't we wear them? response:	Because they're expensive?
context: Why?!\Only members of the imperial court dabble in poetry!\I wouldn't expect you to wear junihitoe,\but you should at least wear a hakama!\The kendo club and archery club require hakama!\Wh\Why don't we wear them?\Because they're expensive? response:	It's a lot of effort to wear one.
context: Only members of the imperial court dabble in poetry!\I wouldn't expect you to wear junihitoe,\but you should at least wear a hakama!\The kendo club and archery club require hakama!\Wh\Why don't we wear them?\Because they're expensive?\It's a lot of effort to wear one. response:	My family has owned a traditional clothing shop for many generations.
context: I wouldn't expect you to wear junihitoe,\but you should at least wear a hakama!\The kendo club and archery club require hakama!\Wh\Why don't we wear them?\Because they're expensive?\It's a lot of effort to wear one.\My family has owned a traditional clothing shop for many generations. response:	I love kimono.
context: but you should at least wear a hakama!\The kendo club and archery club require hakama!\Wh\Why don't we wear them?\Because they're expensive?\It's a lot of effort to wear one.\My family has owned a traditional clothing shop for many generations.\I love kimono. response:	I want everyone to understand how wonderful they are,
context: The kendo club and archery club require hakama!\Wh\Why don't we wear them?\Because they're expensive?\It's a lot of effort to wear one.\My family has owned a traditional clothing shop for many generations.\I love kimono.\I want everyone to understand how wonderful they are, response:	but we can only sell cheap yukatas...
context: Wh\Why don't we wear them?\Because they're expensive?\It's a lot of effort to wear one.\My family has owned a traditional clothing shop for many generations.\I love kimono.\I want everyone to understand how wonderful they are,\but we can only sell cheap yukatas... response:	Our business is so bad that
context: Why don't we wear them?\Because they're expensive?\It's a lot of effort to wear one.\My family has owned a traditional clothing shop for many generations.\I love kimono.\I want everyone to understand how wonderful they are,\but we can only sell cheap yukatas...\Our business is so bad that response:	we can't even afford a model for next year's catalog!
context: Because they're expensive?\It's a lot of effort to wear one.\My family has owned a traditional clothing shop for many generations.\I love kimono.\I want everyone to understand how wonderful they are,\but we can only sell cheap yukatas...\Our business is so bad that\we can't even afford a model for next year's catalog! response:	If I won't be able to wear a hakama,
context: It's a lot of effort to wear one.\My family has owned a traditional clothing shop for many generations.\I love kimono.\I want everyone to understand how wonderful they are,\but we can only sell cheap yukatas...\Our business is so bad that\we can't even afford a model for next year's catalog!\If I won't be able to wear a hakama, response:	I might as well stay in the archery club.
context: My family has owned a traditional clothing shop for many generations.\I love kimono.\I want everyone to understand how wonderful they are,\but we can only sell cheap yukatas...\Our business is so bad that\we can't even afford a model for next year's catalog!\If I won't be able to wear a hakama,\I might as well stay in the archery club. response:	I apologize for interrupting you.
context: I love kimono.\I want everyone to understand how wonderful they are,\but we can only sell cheap yukatas...\Our business is so bad that\we can't even afford a model for next year's catalog!\If I won't be able to wear a hakama,\I might as well stay in the archery club.\I apologize for interrupting you. response:	Her love of karuta is completely different.
context: I want everyone to understand how wonderful they are,\but we can only sell cheap yukatas...\Our business is so bad that\we can't even afford a model for next year's catalog!\If I won't be able to wear a hakama,\I might as well stay in the archery club.\I apologize for interrupting you.\Her love of karuta is completely different. response:	We don't even pay any attention to the poems anymore.
context: but we can only sell cheap yukatas...\Our business is so bad that\we can't even afford a model for next year's catalog!\If I won't be able to wear a hakama,\I might as well stay in the archery club.\I apologize for interrupting you.\Her love of karuta is completely different.\We don't even pay any attention to the poems anymore. response:	You probably don't know the meaning of most of them.
context: Our business is so bad that\we can't even afford a model for next year's catalog!\If I won't be able to wear a hakama,\I might as well stay in the archery club.\I apologize for interrupting you.\Her love of karuta is completely different.\We don't even pay any attention to the poems anymore.\You probably don't know the meaning of most of them. response:	She isn't cut out to play competitive karuta.
context: we can't even afford a model for next year's catalog!\If I won't be able to wear a hakama,\I might as well stay in the archery club.\I apologize for interrupting you.\Her love of karuta is completely different.\We don't even pay any attention to the poems anymore.\You probably don't know the meaning of most of them.\She isn't cut out to play competitive karuta. response:	She's so adorable.
context: If I won't be able to wear a hakama,\I might as well stay in the archery club.\I apologize for interrupting you.\Her love of karuta is completely different.\We don't even pay any attention to the poems anymore.\You probably don't know the meaning of most of them.\She isn't cut out to play competitive karuta.\She's so adorable. response:	Hey, look.
context: I might as well stay in the archery club.\I apologize for interrupting you.\Her love of karuta is completely different.\We don't even pay any attention to the poems anymore.\You probably don't know the meaning of most of them.\She isn't cut out to play competitive karuta.\She's so adorable.\Hey, look. response:	There she is!
context: I apologize for interrupting you.\Her love of karuta is completely different.\We don't even pay any attention to the poems anymore.\You probably don't know the meaning of most of them.\She isn't cut out to play competitive karuta.\She's so adorable.\Hey, look.\There she is! response:	Wow, you read really hard books.
context: Her love of karuta is completely different.\We don't even pay any attention to the poems anymore.\You probably don't know the meaning of most of them.\She isn't cut out to play competitive karuta.\She's so adorable.\Hey, look.\There she is!\Wow, you read really hard books. response:	A-Ayase-san!
context: We don't even pay any attention to the poems anymore.\You probably don't know the meaning of most of them.\She isn't cut out to play competitive karuta.\She's so adorable.\Hey, look.\There she is!\Wow, you read really hard books.\A-Ayase-san! response:	I asked one of the girls in the archery club.
context: You probably don't know the meaning of most of them.\She isn't cut out to play competitive karuta.\She's so adorable.\Hey, look.\There she is!\Wow, you read really hard books.\A-Ayase-san!\I asked one of the girls in the archery club. response:	Your name is Oe Kanade, right?
context: She isn't cut out to play competitive karuta.\She's so adorable.\Hey, look.\There she is!\Wow, you read really hard books.\A-Ayase-san!\I asked one of the girls in the archery club.\Your name is Oe Kanade, right? response:	So you're Kana.
context: She's so adorable.\Hey, look.\There she is!\Wow, you read really hard books.\A-Ayase-san!\I asked one of the girls in the archery club.\Your name is Oe Kanade, right?\So you're Kana. response:	You like karuta, right?
context: Hey, look.\There she is!\Wow, you read really hard books.\A-Ayase-san!\I asked one of the girls in the archery club.\Your name is Oe Kanade, right?\So you're Kana.\You like karuta, right? response:	Let's play karuta together.
context: There she is!\Wow, you read really hard books.\A-Ayase-san!\I asked one of the girls in the archery club.\Your name is Oe Kanade, right?\So you're Kana.\You like karuta, right?\Let's play karuta together. response:	Yamamori Masao Higashiyama Culture and Modern Japan
context: Wow, you read really hard books.\A-Ayase-san!\I asked one of the girls in the archery club.\Your name is Oe Kanade, right?\So you're Kana.\You like karuta, right?\Let's play karuta together.\Yamamori Masao Higashiyama Culture and Modern Japan response:	My love for karuta is fundamentally different from yours.
context: A-Ayase-san!\I asked one of the girls in the archery club.\Your name is Oe Kanade, right?\So you're Kana.\You like karuta, right?\Let's play karuta together.\Yamamori Masao Higashiyama Culture and Modern Japan\My love for karuta is fundamentally different from yours. response:	I'm not interested in a sport with no emotion.
context: I asked one of the girls in the archery club.\Your name is Oe Kanade, right?\So you're Kana.\You like karuta, right?\Let's play karuta together.\Yamamori Masao Higashiyama Culture and Modern Japan\My love for karuta is fundamentally different from yours.\I'm not interested in a sport with no emotion. response:	But Kana-chan, I'm also...
context: Your name is Oe Kanade, right?\So you're Kana.\You like karuta, right?\Let's play karuta together.\Yamamori Masao Higashiyama Culture and Modern Japan\My love for karuta is fundamentally different from yours.\I'm not interested in a sport with no emotion.\But Kana-chan, I'm also... response:	If you'll excuse me...
context: So you're Kana.\You like karuta, right?\Let's play karuta together.\Yamamori Masao Higashiyama Culture and Modern Japan\My love for karuta is fundamentally different from yours.\I'm not interested in a sport with no emotion.\But Kana-chan, I'm also...\If you'll excuse me... response:	Huh?
context: You like karuta, right?\Let's play karuta together.\Yamamori Masao Higashiyama Culture and Modern Japan\My love for karuta is fundamentally different from yours.\I'm not interested in a sport with no emotion.\But Kana-chan, I'm also...\If you'll excuse me...\Huh? response:	Kana-chan?
context: Let's play karuta together.\Yamamori Masao Higashiyama Culture and Modern Japan\My love for karuta is fundamentally different from yours.\I'm not interested in a sport with no emotion.\But Kana-chan, I'm also...\If you'll excuse me...\Huh?\Kana-chan? response:	The first collection of laws,
context: Yamamori Masao Higashiyama Culture and Modern Japan\My love for karuta is fundamentally different from yours.\I'm not interested in a sport with no emotion.\But Kana-chan, I'm also...\If you'll excuse me...\Huh?\Kana-chan?\The first collection of laws, response:	the Omi code, was created at the order of Emperor Tenji.
context: My love for karuta is fundamentally different from yours.\I'm not interested in a sport with no emotion.\But Kana-chan, I'm also...\If you'll excuse me...\Huh?\Kana-chan?\The first collection of laws,\the Omi code, was created at the order of Emperor Tenji. response:	In 670, there was a national census released as the Kogo...
context: I'm not interested in a sport with no emotion.\But Kana-chan, I'm also...\If you'll excuse me...\Huh?\Kana-chan?\The first collection of laws,\the Omi code, was created at the order of Emperor Tenji.\In 670, there was a national census released as the Kogo... response:	Kana-chan!
context: But Kana-chan, I'm also...\If you'll excuse me...\Huh?\Kana-chan?\The first collection of laws,\the Omi code, was created at the order of Emperor Tenji.\In 670, there was a national census released as the Kogo...\Kana-chan! response:	Hey, why don't you come watch us play?
context: If you'll excuse me...\Huh?\Kana-chan?\The first collection of laws,\the Omi code, was created at the order of Emperor Tenji.\In 670, there was a national census released as the Kogo...\Kana-chan!\Hey, why don't you come watch us play? response:	I have archery practice.
context: Huh?\Kana-chan?\The first collection of laws,\the Omi code, was created at the order of Emperor Tenji.\In 670, there was a national census released as the Kogo...\Kana-chan!\Hey, why don't you come watch us play?\I have archery practice. response:	Wait, Kana-chan!
context: Kana-chan?\The first collection of laws,\the Omi code, was created at the order of Emperor Tenji.\In 670, there was a national census released as the Kogo...\Kana-chan!\Hey, why don't you come watch us play?\I have archery practice.\Wait, Kana-chan! response:	Taichi...
context: The first collection of laws,\the Omi code, was created at the order of Emperor Tenji.\In 670, there was a national census released as the Kogo...\Kana-chan!\Hey, why don't you come watch us play?\I have archery practice.\Wait, Kana-chan!\Taichi... response:	There's no point in pestering someone who doesn't want to join.
context: the Omi code, was created at the order of Emperor Tenji.\In 670, there was a national census released as the Kogo...\Kana-chan!\Hey, why don't you come watch us play?\I have archery practice.\Wait, Kana-chan!\Taichi...\There's no point in pestering someone who doesn't want to join. response:	But she loves karuta so much...
context: In 670, there was a national census released as the Kogo...\Kana-chan!\Hey, why don't you come watch us play?\I have archery practice.\Wait, Kana-chan!\Taichi...\There's no point in pestering someone who doesn't want to join.\But she loves karuta so much... response:	Like I said yesterday,
context: Kana-chan!\Hey, why don't you come watch us play?\I have archery practice.\Wait, Kana-chan!\Taichi...\There's no point in pestering someone who doesn't want to join.\But she loves karuta so much...\Like I said yesterday, response:	she's not cut out for it.
context: Hey, why don't you come watch us play?\I have archery practice.\Wait, Kana-chan!\Taichi...\There's no point in pestering someone who doesn't want to join.\But she loves karuta so much...\Like I said yesterday,\she's not cut out for it. response:	Oe Traditional Clothing
context: I have archery practice.\Wait, Kana-chan!\Taichi...\There's no point in pestering someone who doesn't want to join.\But she loves karuta so much...\Like I said yesterday,\she's not cut out for it.\Oe Traditional Clothing response:	Kanade, I'm going to a neighborhood meeting,
context: Wait, Kana-chan!\Taichi...\There's no point in pestering someone who doesn't want to join.\But she loves karuta so much...\Like I said yesterday,\she's not cut out for it.\Oe Traditional Clothing\Kanade, I'm going to a neighborhood meeting, response:	so watch the store for me.
context: Taichi...\There's no point in pestering someone who doesn't want to join.\But she loves karuta so much...\Like I said yesterday,\she's not cut out for it.\Oe Traditional Clothing\Kanade, I'm going to a neighborhood meeting,\so watch the store for me. response:	Okay!
context: There's no point in pestering someone who doesn't want to join.\But she loves karuta so much...\Like I said yesterday,\she's not cut out for it.\Oe Traditional Clothing\Kanade, I'm going to a neighborhood meeting,\so watch the store for me.\Okay! response:	Explanation for Ogura Hundred Poets
context: But she loves karuta so much...\Like I said yesterday,\she's not cut out for it.\Oe Traditional Clothing\Kanade, I'm going to a neighborhood meeting,\so watch the store for me.\Okay!\Explanation for Ogura Hundred Poets response:	Would the mountain cherry blossoms return my affection,
context: Like I said yesterday,\she's not cut out for it.\Oe Traditional Clothing\Kanade, I'm going to a neighborhood meeting,\so watch the store for me.\Okay!\Explanation for Ogura Hundred Poets\Would the mountain cherry blossoms return my affection, response:	for there is no one else out here
context: she's not cut out for it.\Oe Traditional Clothing\Kanade, I'm going to a neighborhood meeting,\so watch the store for me.\Okay!\Explanation for Ogura Hundred Poets\Would the mountain cherry blossoms return my affection,\for there is no one else out here response:	Ayase-san.
context: Oe Traditional Clothing\Kanade, I'm going to a neighborhood meeting,\so watch the store for me.\Okay!\Explanation for Ogura Hundred Poets\Would the mountain cherry blossoms return my affection,\for there is no one else out here\Ayase-san. response:	It's beautiful.
context: Kanade, I'm going to a neighborhood meeting,\so watch the store for me.\Okay!\Explanation for Ogura Hundred Poets\Would the mountain cherry blossoms return my affection,\for there is no one else out here\Ayase-san.\It's beautiful. response:	I'm starting to understand why you like kimono.
context: so watch the store for me.\Okay!\Explanation for Ogura Hundred Poets\Would the mountain cherry blossoms return my affection,\for there is no one else out here\Ayase-san.\It's beautiful.\I'm starting to understand why you like kimono. response:	Is this about the karuta club again?
context: Okay!\Explanation for Ogura Hundred Poets\Would the mountain cherry blossoms return my affection,\for there is no one else out here\Ayase-san.\It's beautiful.\I'm starting to understand why you like kimono.\Is this about the karuta club again? response:	Hmm?
context: Explanation for Ogura Hundred Poets\Would the mountain cherry blossoms return my affection,\for there is no one else out here\Ayase-san.\It's beautiful.\I'm starting to understand why you like kimono.\Is this about the karuta club again?\Hmm? response:	Well, you seem to like karuta.
context: Would the mountain cherry blossoms return my affection,\for there is no one else out here\Ayase-san.\It's beautiful.\I'm starting to understand why you like kimono.\Is this about the karuta club again?\Hmm?\Well, you seem to like karuta. response:	As I said earlier,
context: for there is no one else out here\Ayase-san.\It's beautiful.\I'm starting to understand why you like kimono.\Is this about the karuta club again?\Hmm?\Well, you seem to like karuta.\As I said earlier, response:	my love is fundamentally different from yours.
context: Ayase-san.\It's beautiful.\I'm starting to understand why you like kimono.\Is this about the karuta club again?\Hmm?\Well, you seem to like karuta.\As I said earlier,\my love is fundamentally different from yours. response:	But I also have a poem I really love.
context: It's beautiful.\I'm starting to understand why you like kimono.\Is this about the karuta club again?\Hmm?\Well, you seem to like karuta.\As I said earlier,\my love is fundamentally different from yours.\But I also have a poem I really love. response:	Impassionate gods have never seen
context: I'm starting to understand why you like kimono.\Is this about the karuta club again?\Hmm?\Well, you seem to like karuta.\As I said earlier,\my love is fundamentally different from yours.\But I also have a poem I really love.\Impassionate gods have never seen response:	the red that is the Tatsuta River
context: Is this about the karuta club again?\Hmm?\Well, you seem to like karuta.\As I said earlier,\my love is fundamentally different from yours.\But I also have a poem I really love.\Impassionate gods have never seen\the red that is the Tatsuta River response:	I even know what it means.
context: Hmm?\Well, you seem to like karuta.\As I said earlier,\my love is fundamentally different from yours.\But I also have a poem I really love.\Impassionate gods have never seen\the red that is the Tatsuta River\I even know what it means. response:	It's talking about how the Tatsuta River is so beautiful
context: Well, you seem to like karuta.\As I said earlier,\my love is fundamentally different from yours.\But I also have a poem I really love.\Impassionate gods have never seen\the red that is the Tatsuta River\I even know what it means.\It's talking about how the Tatsuta River is so beautiful response:	when it's completely red.
context: As I said earlier,\my love is fundamentally different from yours.\But I also have a poem I really love.\Impassionate gods have never seen\the red that is the Tatsuta River\I even know what it means.\It's talking about how the Tatsuta River is so beautiful\when it's completely red. response:	I read it in a book.
context: my love is fundamentally different from yours.\But I also have a poem I really love.\Impassionate gods have never seen\the red that is the Tatsuta River\I even know what it means.\It's talking about how the Tatsuta River is so beautiful\when it's completely red.\I read it in a book. response:	It must look something like this.
context: But I also have a poem I really love.\Impassionate gods have never seen\the red that is the Tatsuta River\I even know what it means.\It's talking about how the Tatsuta River is so beautiful\when it's completely red.\I read it in a book.\It must look something like this. response:	Classic poetry becomes fascinating when
context: Impassionate gods have never seen\the red that is the Tatsuta River\I even know what it means.\It's talking about how the Tatsuta River is so beautiful\when it's completely red.\I read it in a book.\It must look something like this.\Classic poetry becomes fascinating when response:	you know the history behind each poem.
context: the red that is the Tatsuta River\I even know what it means.\It's talking about how the Tatsuta River is so beautiful\when it's completely red.\I read it in a book.\It must look something like this.\Classic poetry becomes fascinating when\you know the history behind each poem. response:	Huh?
context: I even know what it means.\It's talking about how the Tatsuta River is so beautiful\when it's completely red.\I read it in a book.\It must look something like this.\Classic poetry becomes fascinating when\you know the history behind each poem.\Huh? response:	I believe that this poem is about passionate love.
context: It's talking about how the Tatsuta River is so beautiful\when it's completely red.\I read it in a book.\It must look something like this.\Classic poetry becomes fascinating when\you know the history behind each poem.\Huh?\I believe that this poem is about passionate love. response:	Huh? Love?
context: when it's completely red.\I read it in a book.\It must look something like this.\Classic poetry becomes fascinating when\you know the history behind each poem.\Huh?\I believe that this poem is about passionate love.\Huh? Love? response:	It's not about scenery?!
context: I read it in a book.\It must look something like this.\Classic poetry becomes fascinating when\you know the history behind each poem.\Huh?\I believe that this poem is about passionate love.\Huh? Love?\It's not about scenery?! response:	That would be the universal interpretation,
context: It must look something like this.\Classic poetry becomes fascinating when\you know the history behind each poem.\Huh?\I believe that this poem is about passionate love.\Huh? Love?\It's not about scenery?!\That would be the universal interpretation, response:	but did you know that Nijo no Kisaki was in love
context: Classic poetry becomes fascinating when\you know the history behind each poem.\Huh?\I believe that this poem is about passionate love.\Huh? Love?\It's not about scenery?!\That would be the universal interpretation,\but did you know that Nijo no Kisaki was in love response:	with Ariwara no Narihira before she married the emperor?
context: you know the history behind each poem.\Huh?\I believe that this poem is about passionate love.\Huh? Love?\It's not about scenery?!\That would be the universal interpretation,\but did you know that Nijo no Kisaki was in love\with Ariwara no Narihira before she married the emperor? response:	This is a very famous story.
context: Huh?\I believe that this poem is about passionate love.\Huh? Love?\It's not about scenery?!\That would be the universal interpretation,\but did you know that Nijo no Kisaki was in love\with Ariwara no Narihira before she married the emperor?\This is a very famous story. response:	N-No...
context: I believe that this poem is about passionate love.\Huh? Love?\It's not about scenery?!\That would be the universal interpretation,\but did you know that Nijo no Kisaki was in love\with Ariwara no Narihira before she married the emperor?\This is a very famous story.\N-No... response:	This poem was displayed on a folding screen in the palace.
context: Huh? Love?\It's not about scenery?!\That would be the universal interpretation,\but did you know that Nijo no Kisaki was in love\with Ariwara no Narihira before she married the emperor?\This is a very famous story.\N-No...\This poem was displayed on a folding screen in the palace. response:	Some accounts say that Nijo no Kisaki was the one who requested the poem.
context: It's not about scenery?!\That would be the universal interpretation,\but did you know that Nijo no Kisaki was in love\with Ariwara no Narihira before she married the emperor?\This is a very famous story.\N-No...\This poem was displayed on a folding screen in the palace.\Some accounts say that Nijo no Kisaki was the one who requested the poem. response:	I like how Narihira concealed his passion for her in a scenic rendering
context: That would be the universal interpretation,\but did you know that Nijo no Kisaki was in love\with Ariwara no Narihira before she married the emperor?\This is a very famous story.\N-No...\This poem was displayed on a folding screen in the palace.\Some accounts say that Nijo no Kisaki was the one who requested the poem.\I like how Narihira concealed his passion for her in a scenic rendering response:	since he wasn't able to forget about her.
context: but did you know that Nijo no Kisaki was in love\with Ariwara no Narihira before she married the emperor?\This is a very famous story.\N-No...\This poem was displayed on a folding screen in the palace.\Some accounts say that Nijo no Kisaki was the one who requested the poem.\I like how Narihira concealed his passion for her in a scenic rendering\since he wasn't able to forget about her. response:	Impassionate is a decorative word for gods that implies great force.
context: with Ariwara no Narihira before she married the emperor?\This is a very famous story.\N-No...\This poem was displayed on a folding screen in the palace.\Some accounts say that Nijo no Kisaki was the one who requested the poem.\I like how Narihira concealed his passion for her in a scenic rendering\since he wasn't able to forget about her.\Impassionate is a decorative word for gods that implies great force. response:	The red river can be interpreted as an autumn scene or a suicide,
context: This is a very famous story.\N-No...\This poem was displayed on a folding screen in the palace.\Some accounts say that Nijo no Kisaki was the one who requested the poem.\I like how Narihira concealed his passion for her in a scenic rendering\since he wasn't able to forget about her.\Impassionate is a decorative word for gods that implies great force.\The red river can be interpreted as an autumn scene or a suicide, response:	but I believe that the crimson leaves represent a love that never faded.
context: N-No...\This poem was displayed on a folding screen in the palace.\Some accounts say that Nijo no Kisaki was the one who requested the poem.\I like how Narihira concealed his passion for her in a scenic rendering\since he wasn't able to forget about her.\Impassionate is a decorative word for gods that implies great force.\The red river can be interpreted as an autumn scene or a suicide,\but I believe that the crimson leaves represent a love that never faded. response:	the red that is the Tatsuta River
context: This poem was displayed on a folding screen in the palace.\Some accounts say that Nijo no Kisaki was the one who requested the poem.\I like how Narihira concealed his passion for her in a scenic rendering\since he wasn't able to forget about her.\Impassionate is a decorative word for gods that implies great force.\The red river can be interpreted as an autumn scene or a suicide,\but I believe that the crimson leaves represent a love that never faded.\the red that is the Tatsuta River response:	When you look at it that way, the card with its black letters
context: Some accounts say that Nijo no Kisaki was the one who requested the poem.\I like how Narihira concealed his passion for her in a scenic rendering\since he wasn't able to forget about her.\Impassionate is a decorative word for gods that implies great force.\The red river can be interpreted as an autumn scene or a suicide,\but I believe that the crimson leaves represent a love that never faded.\the red that is the Tatsuta River\When you look at it that way, the card with its black letters response:	becomes deep red, don't you think?
context: I like how Narihira concealed his passion for her in a scenic rendering\since he wasn't able to forget about her.\Impassionate is a decorative word for gods that implies great force.\The red river can be interpreted as an autumn scene or a suicide,\but I believe that the crimson leaves represent a love that never faded.\the red that is the Tatsuta River\When you look at it that way, the card with its black letters\becomes deep red, don't you think? response:	Incredible...
