context: I was reunited with the young man at my friend's residence. response:	His soul, which does not know what it means to love another,
context: To tell you the truth, I'm amazed that they would act as guarantor for an individual.\They are the largest banking firm in Eastern Space.\Indeed they are. However, there is one item in this contract that concerns me.\That concerns you?\According to this, no upper limit has been set to your line of credit.\In short, it could be interpreted that my bank...\And does that present a problem?\This is a bit of an awkward situation. response:	You say it as if it were nothing, but such lopsided deals don't exist in this world.
context: They are the largest banking firm in Eastern Space.\Indeed they are. However, there is one item in this contract that concerns me.\That concerns you?\According to this, no upper limit has been set to your line of credit.\In short, it could be interpreted that my bank...\And does that present a problem?\This is a bit of an awkward situation.\You say it as if it were nothing, but such lopsided deals don't exist in this world. response:	Be that as it may, the firm of Thomson French have judged that in my case, they do.
context: Indeed they are. However, there is one item in this contract that concerns me.\That concerns you?\According to this, no upper limit has been set to your line of credit.\In short, it could be interpreted that my bank...\And does that present a problem?\This is a bit of an awkward situation.\You say it as if it were nothing, but such lopsided deals don't exist in this world.\Be that as it may, the firm of Thomson French have judged that in my case, they do. response:	Surely you don't doubt the validity of this contract?
context: That concerns you?\According to this, no upper limit has been set to your line of credit.\In short, it could be interpreted that my bank...\And does that present a problem?\This is a bit of an awkward situation.\You say it as if it were nothing, but such lopsided deals don't exist in this world.\Be that as it may, the firm of Thomson French have judged that in my case, they do.\Surely you don't doubt the validity of this contract? response:	Not at all, its authenticity has already been verified. This contract is genuine.
context: According to this, no upper limit has been set to your line of credit.\In short, it could be interpreted that my bank...\And does that present a problem?\This is a bit of an awkward situation.\You say it as if it were nothing, but such lopsided deals don't exist in this world.\Be that as it may, the firm of Thomson French have judged that in my case, they do.\Surely you don't doubt the validity of this contract?\Not at all, its authenticity has already been verified. This contract is genuine. response:	Oh, I see. In which case, you are saying...
context: In short, it could be interpreted that my bank...\And does that present a problem?\This is a bit of an awkward situation.\You say it as if it were nothing, but such lopsided deals don't exist in this world.\Be that as it may, the firm of Thomson French have judged that in my case, they do.\Surely you don't doubt the validity of this contract?\Not at all, its authenticity has already been verified. This contract is genuine.\Oh, I see. In which case, you are saying... response:	I got tickets to tonight's opera from the Count.
context: And does that present a problem?\This is a bit of an awkward situation.\You say it as if it were nothing, but such lopsided deals don't exist in this world.\Be that as it may, the firm of Thomson French have judged that in my case, they do.\Surely you don't doubt the validity of this contract?\Not at all, its authenticity has already been verified. This contract is genuine.\Oh, I see. In which case, you are saying...\I got tickets to tonight's opera from the Count. response:	About that Count of Monte Cristo fellow...
context: This is a bit of an awkward situation.\You say it as if it were nothing, but such lopsided deals don't exist in this world.\Be that as it may, the firm of Thomson French have judged that in my case, they do.\Surely you don't doubt the validity of this contract?\Not at all, its authenticity has already been verified. This contract is genuine.\Oh, I see. In which case, you are saying...\I got tickets to tonight's opera from the Count.\About that Count of Monte Cristo fellow... response:	Apparently, he managed to secure a box at the opera house.
context: You say it as if it were nothing, but such lopsided deals don't exist in this world.\Be that as it may, the firm of Thomson French have judged that in my case, they do.\Surely you don't doubt the validity of this contract?\Not at all, its authenticity has already been verified. This contract is genuine.\Oh, I see. In which case, you are saying...\I got tickets to tonight's opera from the Count.\About that Count of Monte Cristo fellow...\Apparently, he managed to secure a box at the opera house. response:	He's quite a skilled player.
context: Be that as it may, the firm of Thomson French have judged that in my case, they do.\Surely you don't doubt the validity of this contract?\Not at all, its authenticity has already been verified. This contract is genuine.\Oh, I see. In which case, you are saying...\I got tickets to tonight's opera from the Count.\About that Count of Monte Cristo fellow...\Apparently, he managed to secure a box at the opera house.\He's quite a skilled player. response:	So it would seem.
context: Surely you don't doubt the validity of this contract?\Not at all, its authenticity has already been verified. This contract is genuine.\Oh, I see. In which case, you are saying...\I got tickets to tonight's opera from the Count.\About that Count of Monte Cristo fellow...\Apparently, he managed to secure a box at the opera house.\He's quite a skilled player.\So it would seem. response:	Why don't we go pay our respects during intermission tonight?
context: Not at all, its authenticity has already been verified. This contract is genuine.\Oh, I see. In which case, you are saying...\I got tickets to tonight's opera from the Count.\About that Count of Monte Cristo fellow...\Apparently, he managed to secure a box at the opera house.\He's quite a skilled player.\So it would seem.\Why don't we go pay our respects during intermission tonight? response:	One, two, three...
context: Oh, I see. In which case, you are saying...\I got tickets to tonight's opera from the Count.\About that Count of Monte Cristo fellow...\Apparently, he managed to secure a box at the opera house.\He's quite a skilled player.\So it would seem.\Why don't we go pay our respects during intermission tonight?\One, two, three... response:	Five?
context: I got tickets to tonight's opera from the Count.\About that Count of Monte Cristo fellow...\Apparently, he managed to secure a box at the opera house.\He's quite a skilled player.\So it would seem.\Why don't we go pay our respects during intermission tonight?\One, two, three...\Five? response:	F-Five hundred million?!
context: About that Count of Monte Cristo fellow...\Apparently, he managed to secure a box at the opera house.\He's quite a skilled player.\So it would seem.\Why don't we go pay our respects during intermission tonight?\One, two, three...\Five?\F-Five hundred million?! response:	I had planned to open an account today and deposit these.
context: Apparently, he managed to secure a box at the opera house.\He's quite a skilled player.\So it would seem.\Why don't we go pay our respects during intermission tonight?\One, two, three...\Five?\F-Five hundred million?!\I had planned to open an account today and deposit these. response:	My intent was to let the interest from the deposit accrue in the account.
context: He's quite a skilled player.\So it would seem.\Why don't we go pay our respects during intermission tonight?\One, two, three...\Five?\F-Five hundred million?!\I had planned to open an account today and deposit these.\My intent was to let the interest from the deposit accrue in the account. response:	But I see that you are not interested.
context: So it would seem.\Why don't we go pay our respects during intermission tonight?\One, two, three...\Five?\F-Five hundred million?!\I had planned to open an account today and deposit these.\My intent was to let the interest from the deposit accrue in the account.\But I see that you are not interested. response:	N-Not at all...
context: Why don't we go pay our respects during intermission tonight?\One, two, three...\Five?\F-Five hundred million?!\I had planned to open an account today and deposit these.\My intent was to let the interest from the deposit accrue in the account.\But I see that you are not interested.\N-Not at all... response:	You leave me no choice, then. I shall try another bank.
context: One, two, three...\Five?\F-Five hundred million?!\I had planned to open an account today and deposit these.\My intent was to let the interest from the deposit accrue in the account.\But I see that you are not interested.\N-Not at all...\You leave me no choice, then. I shall try another bank. response:	Please! W-Wait!
context: Five?\F-Five hundred million?!\I had planned to open an account today and deposit these.\My intent was to let the interest from the deposit accrue in the account.\But I see that you are not interested.\N-Not at all...\You leave me no choice, then. I shall try another bank.\Please! W-Wait! response:	Wait...
context: F-Five hundred million?!\I had planned to open an account today and deposit these.\My intent was to let the interest from the deposit accrue in the account.\But I see that you are not interested.\N-Not at all...\You leave me no choice, then. I shall try another bank.\Please! W-Wait!\Wait... response:	Lucien sure is a go-getter, coming over to talk business with your father so early in the day.
context: I had planned to open an account today and deposit these.\My intent was to let the interest from the deposit accrue in the account.\But I see that you are not interested.\N-Not at all...\You leave me no choice, then. I shall try another bank.\Please! W-Wait!\Wait...\Lucien sure is a go-getter, coming over to talk business with your father so early in the day. response:	You really are a child, aren't you?
context: My intent was to let the interest from the deposit accrue in the account.\But I see that you are not interested.\N-Not at all...\You leave me no choice, then. I shall try another bank.\Please! W-Wait!\Wait...\Lucien sure is a go-getter, coming over to talk business with your father so early in the day.\You really are a child, aren't you? response:	I can't believe you actually admire a guy like him.
context: But I see that you are not interested.\N-Not at all...\You leave me no choice, then. I shall try another bank.\Please! W-Wait!\Wait...\Lucien sure is a go-getter, coming over to talk business with your father so early in the day.\You really are a child, aren't you?\I can't believe you actually admire a guy like him. response:	A guy like him? He's our friend!
context: N-Not at all...\You leave me no choice, then. I shall try another bank.\Please! W-Wait!\Wait...\Lucien sure is a go-getter, coming over to talk business with your father so early in the day.\You really are a child, aren't you?\I can't believe you actually admire a guy like him.\A guy like him? He's our friend! response:	I've never thought of him as a friend.
context: You leave me no choice, then. I shall try another bank.\Please! W-Wait!\Wait...\Lucien sure is a go-getter, coming over to talk business with your father so early in the day.\You really are a child, aren't you?\I can't believe you actually admire a guy like him.\A guy like him? He's our friend!\I've never thought of him as a friend. response:	We've been together since we were kids!
context: Please! W-Wait!\Wait...\Lucien sure is a go-getter, coming over to talk business with your father so early in the day.\You really are a child, aren't you?\I can't believe you actually admire a guy like him.\A guy like him? He's our friend!\I've never thought of him as a friend.\We've been together since we were kids! response:	That friend of ours is sleeping with my mother.
context: Wait...\Lucien sure is a go-getter, coming over to talk business with your father so early in the day.\You really are a child, aren't you?\I can't believe you actually admire a guy like him.\A guy like him? He's our friend!\I've never thought of him as a friend.\We've been together since we were kids!\That friend of ours is sleeping with my mother. response:	We are agreed, then. I will deposit these in your account right away.
context: Lucien sure is a go-getter, coming over to talk business with your father so early in the day.\You really are a child, aren't you?\I can't believe you actually admire a guy like him.\A guy like him? He's our friend!\I've never thought of him as a friend.\We've been together since we were kids!\That friend of ours is sleeping with my mother.\We are agreed, then. I will deposit these in your account right away. response:	I shall send over a servant later to pick up my first loan.
context: You really are a child, aren't you?\I can't believe you actually admire a guy like him.\A guy like him? He's our friend!\I've never thought of him as a friend.\We've been together since we were kids!\That friend of ours is sleeping with my mother.\We are agreed, then. I will deposit these in your account right away.\I shall send over a servant later to pick up my first loan. response:	Very well.
context: I can't believe you actually admire a guy like him.\A guy like him? He's our friend!\I've never thought of him as a friend.\We've been together since we were kids!\That friend of ours is sleeping with my mother.\We are agreed, then. I will deposit these in your account right away.\I shall send over a servant later to pick up my first loan.\Very well. response:	Incidentally, it has recently come to my attention...
context: A guy like him? He's our friend!\I've never thought of him as a friend.\We've been together since we were kids!\That friend of ours is sleeping with my mother.\We are agreed, then. I will deposit these in your account right away.\I shall send over a servant later to pick up my first loan.\Very well.\Incidentally, it has recently come to my attention... response:	Oh, you have an interest in horses, Count?
context: I've never thought of him as a friend.\We've been together since we were kids!\That friend of ours is sleeping with my mother.\We are agreed, then. I will deposit these in your account right away.\I shall send over a servant later to pick up my first loan.\Very well.\Incidentally, it has recently come to my attention...\Oh, you have an interest in horses, Count? response:	English thoroughbreds in particular.
context: We've been together since we were kids!\That friend of ours is sleeping with my mother.\We are agreed, then. I will deposit these in your account right away.\I shall send over a servant later to pick up my first loan.\Very well.\Incidentally, it has recently come to my attention...\Oh, you have an interest in horses, Count?\English thoroughbreds in particular. response:	The thought had occurred to me to purchase it from you.
context: That friend of ours is sleeping with my mother.\We are agreed, then. I will deposit these in your account right away.\I shall send over a servant later to pick up my first loan.\Very well.\Incidentally, it has recently come to my attention...\Oh, you have an interest in horses, Count?\English thoroughbreds in particular.\The thought had occurred to me to purchase it from you. response:	Name your price.
context: We are agreed, then. I will deposit these in your account right away.\I shall send over a servant later to pick up my first loan.\Very well.\Incidentally, it has recently come to my attention...\Oh, you have an interest in horses, Count?\English thoroughbreds in particular.\The thought had occurred to me to purchase it from you.\Name your price. response:	Surely you joke!
context: I shall send over a servant later to pick up my first loan.\Very well.\Incidentally, it has recently come to my attention...\Oh, you have an interest in horses, Count?\English thoroughbreds in particular.\The thought had occurred to me to purchase it from you.\Name your price.\Surely you joke! response:	That horse belongs to my wife. I have no intention of selling it.
context: Very well.\Incidentally, it has recently come to my attention...\Oh, you have an interest in horses, Count?\English thoroughbreds in particular.\The thought had occurred to me to purchase it from you.\Name your price.\Surely you joke!\That horse belongs to my wife. I have no intention of selling it. response:	For the right price, everything is for sale.
context: Incidentally, it has recently come to my attention...\Oh, you have an interest in horses, Count?\English thoroughbreds in particular.\The thought had occurred to me to purchase it from you.\Name your price.\Surely you joke!\That horse belongs to my wife. I have no intention of selling it.\For the right price, everything is for sale. response:	I should think that you would know that better than anyone, Baron.
context: Oh, you have an interest in horses, Count?\English thoroughbreds in particular.\The thought had occurred to me to purchase it from you.\Name your price.\Surely you joke!\That horse belongs to my wife. I have no intention of selling it.\For the right price, everything is for sale.\I should think that you would know that better than anyone, Baron. response:	This is terrible! Monsieur Danglars has sold Madame's horse!
context: English thoroughbreds in particular.\The thought had occurred to me to purchase it from you.\Name your price.\Surely you joke!\That horse belongs to my wife. I have no intention of selling it.\For the right price, everything is for sale.\I should think that you would know that better than anyone, Baron.\This is terrible! Monsieur Danglars has sold Madame's horse! response:	He sold Eclipse?
context: The thought had occurred to me to purchase it from you.\Name your price.\Surely you joke!\That horse belongs to my wife. I have no intention of selling it.\For the right price, everything is for sale.\I should think that you would know that better than anyone, Baron.\This is terrible! Monsieur Danglars has sold Madame's horse!\He sold Eclipse? response:	Yes, Mademoiselle! Just now!
context: Name your price.\Surely you joke!\That horse belongs to my wife. I have no intention of selling it.\For the right price, everything is for sale.\I should think that you would know that better than anyone, Baron.\This is terrible! Monsieur Danglars has sold Madame's horse!\He sold Eclipse?\Yes, Mademoiselle! Just now! response:	They're going to fight again...
context: Surely you joke!\That horse belongs to my wife. I have no intention of selling it.\For the right price, everything is for sale.\I should think that you would know that better than anyone, Baron.\This is terrible! Monsieur Danglars has sold Madame's horse!\He sold Eclipse?\Yes, Mademoiselle! Just now!\They're going to fight again... response:	Monsieur Danglars said that he was offered a huge sum. He seemed very excited.
context: That horse belongs to my wife. I have no intention of selling it.\For the right price, everything is for sale.\I should think that you would know that better than anyone, Baron.\This is terrible! Monsieur Danglars has sold Madame's horse!\He sold Eclipse?\Yes, Mademoiselle! Just now!\They're going to fight again...\Monsieur Danglars said that he was offered a huge sum. He seemed very excited. response:	It was the Count...
context: For the right price, everything is for sale.\I should think that you would know that better than anyone, Baron.\This is terrible! Monsieur Danglars has sold Madame's horse!\He sold Eclipse?\Yes, Mademoiselle! Just now!\They're going to fight again...\Monsieur Danglars said that he was offered a huge sum. He seemed very excited.\It was the Count... response:	What is it? You're interrupting us.
context: I should think that you would know that better than anyone, Baron.\This is terrible! Monsieur Danglars has sold Madame's horse!\He sold Eclipse?\Yes, Mademoiselle! Just now!\They're going to fight again...\Monsieur Danglars said that he was offered a huge sum. He seemed very excited.\It was the Count...\What is it? You're interrupting us. response:	I'm terribly sorry, Count. This is my wife.
context: This is terrible! Monsieur Danglars has sold Madame's horse!\He sold Eclipse?\Yes, Mademoiselle! Just now!\They're going to fight again...\Monsieur Danglars said that he was offered a huge sum. He seemed very excited.\It was the Count...\What is it? You're interrupting us.\I'm terribly sorry, Count. This is my wife. response:	This is the Count of Monte Cristo.
context: He sold Eclipse?\Yes, Mademoiselle! Just now!\They're going to fight again...\Monsieur Danglars said that he was offered a huge sum. He seemed very excited.\It was the Count...\What is it? You're interrupting us.\I'm terribly sorry, Count. This is my wife.\This is the Count of Monte Cristo. response:	Where is my horse! Where is my Eclipse?!
context: Yes, Mademoiselle! Just now!\They're going to fight again...\Monsieur Danglars said that he was offered a huge sum. He seemed very excited.\It was the Count...\What is it? You're interrupting us.\I'm terribly sorry, Count. This is my wife.\This is the Count of Monte Cristo.\Where is my horse! Where is my Eclipse?! response:	I was going to discuss this with you later.
context: They're going to fight again...\Monsieur Danglars said that he was offered a huge sum. He seemed very excited.\It was the Count...\What is it? You're interrupting us.\I'm terribly sorry, Count. This is my wife.\This is the Count of Monte Cristo.\Where is my horse! Where is my Eclipse?!\I was going to discuss this with you later. response:	Count, if you would kindly excuse us for a moment.
context: Monsieur Danglars said that he was offered a huge sum. He seemed very excited.\It was the Count...\What is it? You're interrupting us.\I'm terribly sorry, Count. This is my wife.\This is the Count of Monte Cristo.\Where is my horse! Where is my Eclipse?!\I was going to discuss this with you later.\Count, if you would kindly excuse us for a moment. response:	You sold Eclipse?!
context: It was the Count...\What is it? You're interrupting us.\I'm terribly sorry, Count. This is my wife.\This is the Count of Monte Cristo.\Where is my horse! Where is my Eclipse?!\I was going to discuss this with you later.\Count, if you would kindly excuse us for a moment.\You sold Eclipse?! response:	Keep your voice down! Look, don't let this shock you...
context: What is it? You're interrupting us.\I'm terribly sorry, Count. This is my wife.\This is the Count of Monte Cristo.\Where is my horse! Where is my Eclipse?!\I was going to discuss this with you later.\Count, if you would kindly excuse us for a moment.\You sold Eclipse?!\Keep your voice down! Look, don't let this shock you... response:	That horse was worth 5.8 million Francs, and the Count bought him for 20 million!
context: I'm terribly sorry, Count. This is my wife.\This is the Count of Monte Cristo.\Where is my horse! Where is my Eclipse?!\I was going to discuss this with you later.\Count, if you would kindly excuse us for a moment.\You sold Eclipse?!\Keep your voice down! Look, don't let this shock you...\That horse was worth 5.8 million Francs, and the Count bought him for 20 million! response:	Eclipse was my horse!
context: This is the Count of Monte Cristo.\Where is my horse! Where is my Eclipse?!\I was going to discuss this with you later.\Count, if you would kindly excuse us for a moment.\You sold Eclipse?!\Keep your voice down! Look, don't let this shock you...\That horse was worth 5.8 million Francs, and the Count bought him for 20 million!\Eclipse was my horse! response:	Look, that horse was worth...
context: Where is my horse! Where is my Eclipse?!\I was going to discuss this with you later.\Count, if you would kindly excuse us for a moment.\You sold Eclipse?!\Keep your voice down! Look, don't let this shock you...\That horse was worth 5.8 million Francs, and the Count bought him for 20 million!\Eclipse was my horse!\Look, that horse was worth... response:	This isn't about the money!
context: I was going to discuss this with you later.\Count, if you would kindly excuse us for a moment.\You sold Eclipse?!\Keep your voice down! Look, don't let this shock you...\That horse was worth 5.8 million Francs, and the Count bought him for 20 million!\Eclipse was my horse!\Look, that horse was worth...\This isn't about the money! response:	I promised Madame Villefort that she could use him tomorrow!
context: Count, if you would kindly excuse us for a moment.\You sold Eclipse?!\Keep your voice down! Look, don't let this shock you...\That horse was worth 5.8 million Francs, and the Count bought him for 20 million!\Eclipse was my horse!\Look, that horse was worth...\This isn't about the money!\I promised Madame Villefort that she could use him tomorrow! response:	You have lots of other horses!
context: You sold Eclipse?!\Keep your voice down! Look, don't let this shock you...\That horse was worth 5.8 million Francs, and the Count bought him for 20 million!\Eclipse was my horse!\Look, that horse was worth...\This isn't about the money!\I promised Madame Villefort that she could use him tomorrow!\You have lots of other horses! response:	I refuse to use any horse but Eclipse!
context: Keep your voice down! Look, don't let this shock you...\That horse was worth 5.8 million Francs, and the Count bought him for 20 million!\Eclipse was my horse!\Look, that horse was worth...\This isn't about the money!\I promised Madame Villefort that she could use him tomorrow!\You have lots of other horses!\I refuse to use any horse but Eclipse! response:	Get in there and cancel the deal this instant!
context: That horse was worth 5.8 million Francs, and the Count bought him for 20 million!\Eclipse was my horse!\Look, that horse was worth...\This isn't about the money!\I promised Madame Villefort that she could use him tomorrow!\You have lots of other horses!\I refuse to use any horse but Eclipse!\Get in there and cancel the deal this instant! response:	What's this nonsense?
context: Eclipse was my horse!\Look, that horse was worth...\This isn't about the money!\I promised Madame Villefort that she could use him tomorrow!\You have lots of other horses!\I refuse to use any horse but Eclipse!\Get in there and cancel the deal this instant!\What's this nonsense? response:	You had no right to sell my horse!
context: Look, that horse was worth...\This isn't about the money!\I promised Madame Villefort that she could use him tomorrow!\You have lots of other horses!\I refuse to use any horse but Eclipse!\Get in there and cancel the deal this instant!\What's this nonsense?\You had no right to sell my horse! response:	My good Baroness, if I have upset a beautiful lady such as yourself, I must apologize.
context: This isn't about the money!\I promised Madame Villefort that she could use him tomorrow!\You have lots of other horses!\I refuse to use any horse but Eclipse!\Get in there and cancel the deal this instant!\What's this nonsense?\You had no right to sell my horse!\My good Baroness, if I have upset a beautiful lady such as yourself, I must apologize. response:	I had thought that if I offered 60 million, you would find the amount satisfactory.
context: I promised Madame Villefort that she could use him tomorrow!\You have lots of other horses!\I refuse to use any horse but Eclipse!\Get in there and cancel the deal this instant!\What's this nonsense?\You had no right to sell my horse!\My good Baroness, if I have upset a beautiful lady such as yourself, I must apologize.\I had thought that if I offered 60 million, you would find the amount satisfactory. response:	But we each have things that are so precious to us that a price cannot be put upon them.
context: You have lots of other horses!\I refuse to use any horse but Eclipse!\Get in there and cancel the deal this instant!\What's this nonsense?\You had no right to sell my horse!\My good Baroness, if I have upset a beautiful lady such as yourself, I must apologize.\I had thought that if I offered 60 million, you would find the amount satisfactory.\But we each have things that are so precious to us that a price cannot be put upon them. response:	Please pardon my ineptitude at failing to take that into consideration.
context: I refuse to use any horse but Eclipse!\Get in there and cancel the deal this instant!\What's this nonsense?\You had no right to sell my horse!\My good Baroness, if I have upset a beautiful lady such as yourself, I must apologize.\I had thought that if I offered 60 million, you would find the amount satisfactory.\But we each have things that are so precious to us that a price cannot be put upon them.\Please pardon my ineptitude at failing to take that into consideration. response:	Oh, my... That's quite all right.
context: Get in there and cancel the deal this instant!\What's this nonsense?\You had no right to sell my horse!\My good Baroness, if I have upset a beautiful lady such as yourself, I must apologize.\I had thought that if I offered 60 million, you would find the amount satisfactory.\But we each have things that are so precious to us that a price cannot be put upon them.\Please pardon my ineptitude at failing to take that into consideration.\Oh, my... That's quite all right. response:	But just a moment... Did I hear you say 60 million just now?
context: What's this nonsense?\You had no right to sell my horse!\My good Baroness, if I have upset a beautiful lady such as yourself, I must apologize.\I had thought that if I offered 60 million, you would find the amount satisfactory.\But we each have things that are so precious to us that a price cannot be put upon them.\Please pardon my ineptitude at failing to take that into consideration.\Oh, my... That's quite all right.\But just a moment... Did I hear you say 60 million just now? response:	Indeed, Madame. I offered to pay 60 million in gold.
context: You had no right to sell my horse!\My good Baroness, if I have upset a beautiful lady such as yourself, I must apologize.\I had thought that if I offered 60 million, you would find the amount satisfactory.\But we each have things that are so precious to us that a price cannot be put upon them.\Please pardon my ineptitude at failing to take that into consideration.\Oh, my... That's quite all right.\But just a moment... Did I hear you say 60 million just now?\Indeed, Madame. I offered to pay 60 million in gold. response:	Oh, I see. Please pardon my silly question.
context: My good Baroness, if I have upset a beautiful lady such as yourself, I must apologize.\I had thought that if I offered 60 million, you would find the amount satisfactory.\But we each have things that are so precious to us that a price cannot be put upon them.\Please pardon my ineptitude at failing to take that into consideration.\Oh, my... That's quite all right.\But just a moment... Did I hear you say 60 million just now?\Indeed, Madame. I offered to pay 60 million in gold.\Oh, I see. Please pardon my silly question. response:	In that case, I will take my leave now.
context: I had thought that if I offered 60 million, you would find the amount satisfactory.\But we each have things that are so precious to us that a price cannot be put upon them.\Please pardon my ineptitude at failing to take that into consideration.\Oh, my... That's quite all right.\But just a moment... Did I hear you say 60 million just now?\Indeed, Madame. I offered to pay 60 million in gold.\Oh, I see. Please pardon my silly question.\In that case, I will take my leave now. response:	I shall respect Madame's wishes and do my utmost to remedy the situation.
context: But we each have things that are so precious to us that a price cannot be put upon them.\Please pardon my ineptitude at failing to take that into consideration.\Oh, my... That's quite all right.\But just a moment... Did I hear you say 60 million just now?\Indeed, Madame. I offered to pay 60 million in gold.\Oh, I see. Please pardon my silly question.\In that case, I will take my leave now.\I shall respect Madame's wishes and do my utmost to remedy the situation. response:	Count...
context: Please pardon my ineptitude at failing to take that into consideration.\Oh, my... That's quite all right.\But just a moment... Did I hear you say 60 million just now?\Indeed, Madame. I offered to pay 60 million in gold.\Oh, I see. Please pardon my silly question.\In that case, I will take my leave now.\I shall respect Madame's wishes and do my utmost to remedy the situation.\Count... response:	Monsieur, were you planning to pocket a percentage of the profits, even from me?!
context: Oh, my... That's quite all right.\But just a moment... Did I hear you say 60 million just now?\Indeed, Madame. I offered to pay 60 million in gold.\Oh, I see. Please pardon my silly question.\In that case, I will take my leave now.\I shall respect Madame's wishes and do my utmost to remedy the situation.\Count...\Monsieur, were you planning to pocket a percentage of the profits, even from me?! response:	You've got it all wrong!
context: But just a moment... Did I hear you say 60 million just now?\Indeed, Madame. I offered to pay 60 million in gold.\Oh, I see. Please pardon my silly question.\In that case, I will take my leave now.\I shall respect Madame's wishes and do my utmost to remedy the situation.\Count...\Monsieur, were you planning to pocket a percentage of the profits, even from me?!\You've got it all wrong! response:	You and your filthy lies!
context: Indeed, Madame. I offered to pay 60 million in gold.\Oh, I see. Please pardon my silly question.\In that case, I will take my leave now.\I shall respect Madame's wishes and do my utmost to remedy the situation.\Count...\Monsieur, were you planning to pocket a percentage of the profits, even from me?!\You've got it all wrong!\You and your filthy lies! response:	Come to my room later!
context: Oh, I see. Please pardon my silly question.\In that case, I will take my leave now.\I shall respect Madame's wishes and do my utmost to remedy the situation.\Count...\Monsieur, were you planning to pocket a percentage of the profits, even from me?!\You've got it all wrong!\You and your filthy lies!\Come to my room later! response:	Come on, Albert, let's go somewhere.
context: In that case, I will take my leave now.\I shall respect Madame's wishes and do my utmost to remedy the situation.\Count...\Monsieur, were you planning to pocket a percentage of the profits, even from me?!\You've got it all wrong!\You and your filthy lies!\Come to my room later!\Come on, Albert, let's go somewhere. response:	Shouldn't we do something?
context: I shall respect Madame's wishes and do my utmost to remedy the situation.\Count...\Monsieur, were you planning to pocket a percentage of the profits, even from me?!\You've got it all wrong!\You and your filthy lies!\Come to my room later!\Come on, Albert, let's go somewhere.\Shouldn't we do something? response:	They're always like this.
context: Count...\Monsieur, were you planning to pocket a percentage of the profits, even from me?!\You've got it all wrong!\You and your filthy lies!\Come to my room later!\Come on, Albert, let's go somewhere.\Shouldn't we do something?\They're always like this. response:	Go faster.
context: Monsieur, were you planning to pocket a percentage of the profits, even from me?!\You've got it all wrong!\You and your filthy lies!\Come to my room later!\Come on, Albert, let's go somewhere.\Shouldn't we do something?\They're always like this.\Go faster. response:	I can't go any faster.
context: You've got it all wrong!\You and your filthy lies!\Come to my room later!\Come on, Albert, let's go somewhere.\Shouldn't we do something?\They're always like this.\Go faster.\I can't go any faster. response:	They're the worst...
context: You and your filthy lies!\Come to my room later!\Come on, Albert, let's go somewhere.\Shouldn't we do something?\They're always like this.\Go faster.\I can't go any faster.\They're the worst... response:	The worst family, and the worst father...
context: Come to my room later!\Come on, Albert, let's go somewhere.\Shouldn't we do something?\They're always like this.\Go faster.\I can't go any faster.\They're the worst...\The worst family, and the worst father... response:	You mean the world to the Baron.
context: Come on, Albert, let's go somewhere.\Shouldn't we do something?\They're always like this.\Go faster.\I can't go any faster.\They're the worst...\The worst family, and the worst father...\You mean the world to the Baron. response:	You don't know him at all, do you?
context: Shouldn't we do something?\They're always like this.\Go faster.\I can't go any faster.\They're the worst...\The worst family, and the worst father...\You mean the world to the Baron.\You don't know him at all, do you? response:	If the price was right, he'd sell me off without giving it a second thought.
context: They're always like this.\Go faster.\I can't go any faster.\They're the worst...\The worst family, and the worst father...\You mean the world to the Baron.\You don't know him at all, do you?\If the price was right, he'd sell me off without giving it a second thought. response:	As long as we stay here, we'll never be able to get out from under our parents' thumbs.
context: Go faster.\I can't go any faster.\They're the worst...\The worst family, and the worst father...\You mean the world to the Baron.\You don't know him at all, do you?\If the price was right, he'd sell me off without giving it a second thought.\As long as we stay here, we'll never be able to get out from under our parents' thumbs. response:	I want to live more freely.
context: I can't go any faster.\They're the worst...\The worst family, and the worst father...\You mean the world to the Baron.\You don't know him at all, do you?\If the price was right, he'd sell me off without giving it a second thought.\As long as we stay here, we'll never be able to get out from under our parents' thumbs.\I want to live more freely. response:	I love the piano. I want to play all over the world.
context: They're the worst...\The worst family, and the worst father...\You mean the world to the Baron.\You don't know him at all, do you?\If the price was right, he'd sell me off without giving it a second thought.\As long as we stay here, we'll never be able to get out from under our parents' thumbs.\I want to live more freely.\I love the piano. I want to play all over the world. response:	Eugenie...
context: The worst family, and the worst father...\You mean the world to the Baron.\You don't know him at all, do you?\If the price was right, he'd sell me off without giving it a second thought.\As long as we stay here, we'll never be able to get out from under our parents' thumbs.\I want to live more freely.\I love the piano. I want to play all over the world.\Eugenie... response:	I want to live somewhere far away. Somewhere that my parents can't reach me.
context: You mean the world to the Baron.\You don't know him at all, do you?\If the price was right, he'd sell me off without giving it a second thought.\As long as we stay here, we'll never be able to get out from under our parents' thumbs.\I want to live more freely.\I love the piano. I want to play all over the world.\Eugenie...\I want to live somewhere far away. Somewhere that my parents can't reach me. response:	Then let's go.
context: You don't know him at all, do you?\If the price was right, he'd sell me off without giving it a second thought.\As long as we stay here, we'll never be able to get out from under our parents' thumbs.\I want to live more freely.\I love the piano. I want to play all over the world.\Eugenie...\I want to live somewhere far away. Somewhere that my parents can't reach me.\Then let's go. response:	You and me. Let's leave home.
