context: Signs response:	Are you looking for something, Ivica?
context: This may have been an ugly mess all along.\I'm already done with today's data...\Sorry, it's time to scramble.\Why can't you call on another team?\We should let the kids rest.\There was a Scub Coral signal.\That happens all the time, Rebecka!\That's true, but take a look at the location. response:	The Scub Coral signal that we detected 30 minutes ago
context: I'm already done with today's data...\Sorry, it's time to scramble.\Why can't you call on another team?\We should let the kids rest.\There was a Scub Coral signal.\That happens all the time, Rebecka!\That's true, but take a look at the location.\The Scub Coral signal that we detected 30 minutes ago response:	grew rapidly in the past five minutes.
context: Sorry, it's time to scramble.\Why can't you call on another team?\We should let the kids rest.\There was a Scub Coral signal.\That happens all the time, Rebecka!\That's true, but take a look at the location.\The Scub Coral signal that we detected 30 minutes ago\grew rapidly in the past five minutes. response:	We're still analyzing the data,
context: Why can't you call on another team?\We should let the kids rest.\There was a Scub Coral signal.\That happens all the time, Rebecka!\That's true, but take a look at the location.\The Scub Coral signal that we detected 30 minutes ago\grew rapidly in the past five minutes.\We're still analyzing the data, response:	but it's telling us that the probability of a Secret emerging is 98.
context: We should let the kids rest.\There was a Scub Coral signal.\That happens all the time, Rebecka!\That's true, but take a look at the location.\The Scub Coral signal that we detected 30 minutes ago\grew rapidly in the past five minutes.\We're still analyzing the data,\but it's telling us that the probability of a Secret emerging is 98. response:	And this is probably where it will appear.
context: There was a Scub Coral signal.\That happens all the time, Rebecka!\That's true, but take a look at the location.\The Scub Coral signal that we detected 30 minutes ago\grew rapidly in the past five minutes.\We're still analyzing the data,\but it's telling us that the probability of a Secret emerging is 98.\And this is probably where it will appear. response:	Don't tell me...
context: That happens all the time, Rebecka!\That's true, but take a look at the location.\The Scub Coral signal that we detected 30 minutes ago\grew rapidly in the past five minutes.\We're still analyzing the data,\but it's telling us that the probability of a Secret emerging is 98.\And this is probably where it will appear.\Don't tell me... response:	Oh, yes. An area claimed by both the United Okinawan Archipelago and China-Japan.
context: That's true, but take a look at the location.\The Scub Coral signal that we detected 30 minutes ago\grew rapidly in the past five minutes.\We're still analyzing the data,\but it's telling us that the probability of a Secret emerging is 98.\And this is probably where it will appear.\Don't tell me...\Oh, yes. An area claimed by both the United Okinawan Archipelago and China-Japan. response:	A problematic place.
context: The Scub Coral signal that we detected 30 minutes ago\grew rapidly in the past five minutes.\We're still analyzing the data,\but it's telling us that the probability of a Secret emerging is 98.\And this is probably where it will appear.\Don't tell me...\Oh, yes. An area claimed by both the United Okinawan Archipelago and China-Japan.\A problematic place. response:	You understand now? Will you go if there's a dispatch order?
context: grew rapidly in the past five minutes.\We're still analyzing the data,\but it's telling us that the probability of a Secret emerging is 98.\And this is probably where it will appear.\Don't tell me...\Oh, yes. An area claimed by both the United Okinawan Archipelago and China-Japan.\A problematic place.\You understand now? Will you go if there's a dispatch order? response:	Naru!
context: We're still analyzing the data,\but it's telling us that the probability of a Secret emerging is 98.\And this is probably where it will appear.\Don't tell me...\Oh, yes. An area claimed by both the United Okinawan Archipelago and China-Japan.\A problematic place.\You understand now? Will you go if there's a dispatch order?\Naru! response:	Naru!
context: but it's telling us that the probability of a Secret emerging is 98.\And this is probably where it will appear.\Don't tell me...\Oh, yes. An area claimed by both the United Okinawan Archipelago and China-Japan.\A problematic place.\You understand now? Will you go if there's a dispatch order?\Naru!\Naru! response:	Naru!
context: And this is probably where it will appear.\Don't tell me...\Oh, yes. An area claimed by both the United Okinawan Archipelago and China-Japan.\A problematic place.\You understand now? Will you go if there's a dispatch order?\Naru!\Naru!\Naru! response:	Get a hold of yourself, Naru!
context: Don't tell me...\Oh, yes. An area claimed by both the United Okinawan Archipelago and China-Japan.\A problematic place.\You understand now? Will you go if there's a dispatch order?\Naru!\Naru!\Naru!\Get a hold of yourself, Naru! response:	Tell me everything's fine...
context: Oh, yes. An area claimed by both the United Okinawan Archipelago and China-Japan.\A problematic place.\You understand now? Will you go if there's a dispatch order?\Naru!\Naru!\Naru!\Get a hold of yourself, Naru!\Tell me everything's fine... response:	Tell me I'm all right!
context: A problematic place.\You understand now? Will you go if there's a dispatch order?\Naru!\Naru!\Naru!\Get a hold of yourself, Naru!\Tell me everything's fine...\Tell me I'm all right! response:	Calm down, Naru!
context: You understand now? Will you go if there's a dispatch order?\Naru!\Naru!\Naru!\Get a hold of yourself, Naru!\Tell me everything's fine...\Tell me I'm all right!\Calm down, Naru! response:	That's... the Scub Coral.
context: Naru!\Naru!\Naru!\Get a hold of yourself, Naru!\Tell me everything's fine...\Tell me I'm all right!\Calm down, Naru!\That's... the Scub Coral. response:	We should hurry while we can!
context: Naru!\Naru!\Get a hold of yourself, Naru!\Tell me everything's fine...\Tell me I'm all right!\Calm down, Naru!\That's... the Scub Coral.\We should hurry while we can! response:	We won't be able to meet up with the Japanese army if we get caught up in this!
context: Naru!\Get a hold of yourself, Naru!\Tell me everything's fine...\Tell me I'm all right!\Calm down, Naru!\That's... the Scub Coral.\We should hurry while we can!\We won't be able to meet up with the Japanese army if we get caught up in this! response:	I'm afraid that light was emitted by a Scub emergence.
context: Get a hold of yourself, Naru!\Tell me everything's fine...\Tell me I'm all right!\Calm down, Naru!\That's... the Scub Coral.\We should hurry while we can!\We won't be able to meet up with the Japanese army if we get caught up in this!\I'm afraid that light was emitted by a Scub emergence. response:	What should we do?
context: Tell me everything's fine...\Tell me I'm all right!\Calm down, Naru!\That's... the Scub Coral.\We should hurry while we can!\We won't be able to meet up with the Japanese army if we get caught up in this!\I'm afraid that light was emitted by a Scub emergence.\What should we do? response:	We should withdraw for now.
context: Tell me I'm all right!\Calm down, Naru!\That's... the Scub Coral.\We should hurry while we can!\We won't be able to meet up with the Japanese army if we get caught up in this!\I'm afraid that light was emitted by a Scub emergence.\What should we do?\We should withdraw for now. response:	We should wait.
context: Calm down, Naru!\That's... the Scub Coral.\We should hurry while we can!\We won't be able to meet up with the Japanese army if we get caught up in this!\I'm afraid that light was emitted by a Scub emergence.\What should we do?\We should withdraw for now.\We should wait. response:	But...
context: That's... the Scub Coral.\We should hurry while we can!\We won't be able to meet up with the Japanese army if we get caught up in this!\I'm afraid that light was emitted by a Scub emergence.\What should we do?\We should withdraw for now.\We should wait.\But... response:	I understand the risk.
context: We should hurry while we can!\We won't be able to meet up with the Japanese army if we get caught up in this!\I'm afraid that light was emitted by a Scub emergence.\What should we do?\We should withdraw for now.\We should wait.\But...\I understand the risk. response:	But who would be happy with a giant that can't be used?
context: We won't be able to meet up with the Japanese army if we get caught up in this!\I'm afraid that light was emitted by a Scub emergence.\What should we do?\We should withdraw for now.\We should wait.\But...\I understand the risk.\But who would be happy with a giant that can't be used? response:	We should believe in the people of Okinawa.
context: I'm afraid that light was emitted by a Scub emergence.\What should we do?\We should withdraw for now.\We should wait.\But...\I understand the risk.\But who would be happy with a giant that can't be used?\We should believe in the people of Okinawa. response:	We have no choice but to wait.
context: What should we do?\We should withdraw for now.\We should wait.\But...\I understand the risk.\But who would be happy with a giant that can't be used?\We should believe in the people of Okinawa.\We have no choice but to wait. response:	Hang on tight!
context: We should withdraw for now.\We should wait.\But...\I understand the risk.\But who would be happy with a giant that can't be used?\We should believe in the people of Okinawa.\We have no choice but to wait.\Hang on tight! response:	What the heck was that?
context: We should wait.\But...\I understand the risk.\But who would be happy with a giant that can't be used?\We should believe in the people of Okinawa.\We have no choice but to wait.\Hang on tight!\What the heck was that? response:	Naru, pull yourself together.
context: But...\I understand the risk.\But who would be happy with a giant that can't be used?\We should believe in the people of Okinawa.\We have no choice but to wait.\Hang on tight!\What the heck was that?\Naru, pull yourself together. response:	Ao...
context: I understand the risk.\But who would be happy with a giant that can't be used?\We should believe in the people of Okinawa.\We have no choice but to wait.\Hang on tight!\What the heck was that?\Naru, pull yourself together.\Ao... response:	Where's Noah?
context: But who would be happy with a giant that can't be used?\We should believe in the people of Okinawa.\We have no choice but to wait.\Hang on tight!\What the heck was that?\Naru, pull yourself together.\Ao...\Where's Noah? response:	I'm glad!
context: We should believe in the people of Okinawa.\We have no choice but to wait.\Hang on tight!\What the heck was that?\Naru, pull yourself together.\Ao...\Where's Noah?\I'm glad! response:	Ao, what's going on?
context: We have no choice but to wait.\Hang on tight!\What the heck was that?\Naru, pull yourself together.\Ao...\Where's Noah?\I'm glad!\Ao, what's going on? response:	I don't know.
context: Hang on tight!\What the heck was that?\Naru, pull yourself together.\Ao...\Where's Noah?\I'm glad!\Ao, what's going on?\I don't know. response:	But a feeling of sadness is plaguing me.
context: What the heck was that?\Naru, pull yourself together.\Ao...\Where's Noah?\I'm glad!\Ao, what's going on?\I don't know.\But a feeling of sadness is plaguing me. response:	I repeat. All residents in the Osaki area of Iwato Island must evacuate immediately.
context: Naru, pull yourself together.\Ao...\Where's Noah?\I'm glad!\Ao, what's going on?\I don't know.\But a feeling of sadness is plaguing me.\I repeat. All residents in the Osaki area of Iwato Island must evacuate immediately. response:	Stay tuned for further updates.
context: Ao...\Where's Noah?\I'm glad!\Ao, what's going on?\I don't know.\But a feeling of sadness is plaguing me.\I repeat. All residents in the Osaki area of Iwato Island must evacuate immediately.\Stay tuned for further updates. response:	So that thing earlier was really a G-Monster?
context: Where's Noah?\I'm glad!\Ao, what's going on?\I don't know.\But a feeling of sadness is plaguing me.\I repeat. All residents in the Osaki area of Iwato Island must evacuate immediately.\Stay tuned for further updates.\So that thing earlier was really a G-Monster? response:	This is bad. What should I tell Grandpa?
context: I'm glad!\Ao, what's going on?\I don't know.\But a feeling of sadness is plaguing me.\I repeat. All residents in the Osaki area of Iwato Island must evacuate immediately.\Stay tuned for further updates.\So that thing earlier was really a G-Monster?\This is bad. What should I tell Grandpa? response:	You're late.
context: Ao, what's going on?\I don't know.\But a feeling of sadness is plaguing me.\I repeat. All residents in the Osaki area of Iwato Island must evacuate immediately.\Stay tuned for further updates.\So that thing earlier was really a G-Monster?\This is bad. What should I tell Grandpa?\You're late. response:	I'm back.
context: I don't know.\But a feeling of sadness is plaguing me.\I repeat. All residents in the Osaki area of Iwato Island must evacuate immediately.\Stay tuned for further updates.\So that thing earlier was really a G-Monster?\This is bad. What should I tell Grandpa?\You're late.\I'm back. response:	The Central Hospital called. I have to go.
context: But a feeling of sadness is plaguing me.\I repeat. All residents in the Osaki area of Iwato Island must evacuate immediately.\Stay tuned for further updates.\So that thing earlier was really a G-Monster?\This is bad. What should I tell Grandpa?\You're late.\I'm back.\The Central Hospital called. I have to go. response:	I won't be back until tomorrow morning, so go to sleep.
context: I repeat. All residents in the Osaki area of Iwato Island must evacuate immediately.\Stay tuned for further updates.\So that thing earlier was really a G-Monster?\This is bad. What should I tell Grandpa?\You're late.\I'm back.\The Central Hospital called. I have to go.\I won't be back until tomorrow morning, so go to sleep. response:	Tomorrow is your entrance ceremony.
context: Stay tuned for further updates.\So that thing earlier was really a G-Monster?\This is bad. What should I tell Grandpa?\You're late.\I'm back.\The Central Hospital called. I have to go.\I won't be back until tomorrow morning, so go to sleep.\Tomorrow is your entrance ceremony. response:	So that's all?
context: So that thing earlier was really a G-Monster?\This is bad. What should I tell Grandpa?\You're late.\I'm back.\The Central Hospital called. I have to go.\I won't be back until tomorrow morning, so go to sleep.\Tomorrow is your entrance ceremony.\So that's all? response:	You don't have to take care of me.
context: This is bad. What should I tell Grandpa?\You're late.\I'm back.\The Central Hospital called. I have to go.\I won't be back until tomorrow morning, so go to sleep.\Tomorrow is your entrance ceremony.\So that's all?\You don't have to take care of me. response:	I can work too.
context: You're late.\I'm back.\The Central Hospital called. I have to go.\I won't be back until tomorrow morning, so go to sleep.\Tomorrow is your entrance ceremony.\So that's all?\You don't have to take care of me.\I can work too. response:	Don't be foolish.
context: I'm back.\The Central Hospital called. I have to go.\I won't be back until tomorrow morning, so go to sleep.\Tomorrow is your entrance ceremony.\So that's all?\You don't have to take care of me.\I can work too.\Don't be foolish. response:	It's the responsibility of a parent to send their children to school.
context: The Central Hospital called. I have to go.\I won't be back until tomorrow morning, so go to sleep.\Tomorrow is your entrance ceremony.\So that's all?\You don't have to take care of me.\I can work too.\Don't be foolish.\It's the responsibility of a parent to send their children to school. response:	Even if they are not bound by blood.
context: I won't be back until tomorrow morning, so go to sleep.\Tomorrow is your entrance ceremony.\So that's all?\You don't have to take care of me.\I can work too.\Don't be foolish.\It's the responsibility of a parent to send their children to school.\Even if they are not bound by blood. response:	Gramps, will you take my FP?
context: Tomorrow is your entrance ceremony.\So that's all?\You don't have to take care of me.\I can work too.\Don't be foolish.\It's the responsibility of a parent to send their children to school.\Even if they are not bound by blood.\Gramps, will you take my FP? response:	How is an old man like me going to drive that thing?
context: So that's all?\You don't have to take care of me.\I can work too.\Don't be foolish.\It's the responsibility of a parent to send their children to school.\Even if they are not bound by blood.\Gramps, will you take my FP?\How is an old man like me going to drive that thing? response:	It turned into a real mess, so I was worried.
context: You don't have to take care of me.\I can work too.\Don't be foolish.\It's the responsibility of a parent to send their children to school.\Even if they are not bound by blood.\Gramps, will you take my FP?\How is an old man like me going to drive that thing?\It turned into a real mess, so I was worried. response:	We believed you will deliver it as agreed.
context: I can work too.\Don't be foolish.\It's the responsibility of a parent to send their children to school.\Even if they are not bound by blood.\Gramps, will you take my FP?\How is an old man like me going to drive that thing?\It turned into a real mess, so I was worried.\We believed you will deliver it as agreed. response:	Of course.
context: Don't be foolish.\It's the responsibility of a parent to send their children to school.\Even if they are not bound by blood.\Gramps, will you take my FP?\How is an old man like me going to drive that thing?\It turned into a real mess, so I was worried.\We believed you will deliver it as agreed.\Of course. response:	Unlike Japs, we keep our words.
context: It's the responsibility of a parent to send their children to school.\Even if they are not bound by blood.\Gramps, will you take my FP?\How is an old man like me going to drive that thing?\It turned into a real mess, so I was worried.\We believed you will deliver it as agreed.\Of course.\Unlike Japs, we keep our words. response:	Your prickly words.
context: Even if they are not bound by blood.\Gramps, will you take my FP?\How is an old man like me going to drive that thing?\It turned into a real mess, so I was worried.\We believed you will deliver it as agreed.\Of course.\Unlike Japs, we keep our words.\Your prickly words. response:	By the way, there seems to be something missing.
context: Gramps, will you take my FP?\How is an old man like me going to drive that thing?\It turned into a real mess, so I was worried.\We believed you will deliver it as agreed.\Of course.\Unlike Japs, we keep our words.\Your prickly words.\By the way, there seems to be something missing. response:	Whatever.
context: How is an old man like me going to drive that thing?\It turned into a real mess, so I was worried.\We believed you will deliver it as agreed.\Of course.\Unlike Japs, we keep our words.\Your prickly words.\By the way, there seems to be something missing.\Whatever. response:	Come on, this is stuff you'd eat at a bar.
context: It turned into a real mess, so I was worried.\We believed you will deliver it as agreed.\Of course.\Unlike Japs, we keep our words.\Your prickly words.\By the way, there seems to be something missing.\Whatever.\Come on, this is stuff you'd eat at a bar. response:	All that's changing about me is this uniform...
context: We believed you will deliver it as agreed.\Of course.\Unlike Japs, we keep our words.\Your prickly words.\By the way, there seems to be something missing.\Whatever.\Come on, this is stuff you'd eat at a bar.\All that's changing about me is this uniform... response:	So why does it feel like something is coming to an end?
context: Of course.\Unlike Japs, we keep our words.\Your prickly words.\By the way, there seems to be something missing.\Whatever.\Come on, this is stuff you'd eat at a bar.\All that's changing about me is this uniform...\So why does it feel like something is coming to an end? response:	You're not going to eat your words, right?
context: Unlike Japs, we keep our words.\Your prickly words.\By the way, there seems to be something missing.\Whatever.\Come on, this is stuff you'd eat at a bar.\All that's changing about me is this uniform...\So why does it feel like something is coming to an end?\You're not going to eat your words, right? response:	If we get back within six hours, the money's ours!
context: Your prickly words.\By the way, there seems to be something missing.\Whatever.\Come on, this is stuff you'd eat at a bar.\All that's changing about me is this uniform...\So why does it feel like something is coming to an end?\You're not going to eat your words, right?\If we get back within six hours, the money's ours! response:	We never lie!
context: By the way, there seems to be something missing.\Whatever.\Come on, this is stuff you'd eat at a bar.\All that's changing about me is this uniform...\So why does it feel like something is coming to an end?\You're not going to eat your words, right?\If we get back within six hours, the money's ours!\We never lie! response:	Yeah, right.
context: Whatever.\Come on, this is stuff you'd eat at a bar.\All that's changing about me is this uniform...\So why does it feel like something is coming to an end?\You're not going to eat your words, right?\If we get back within six hours, the money's ours!\We never lie!\Yeah, right. response:	Oh? You sound like you're fine.
context: Come on, this is stuff you'd eat at a bar.\All that's changing about me is this uniform...\So why does it feel like something is coming to an end?\You're not going to eat your words, right?\If we get back within six hours, the money's ours!\We never lie!\Yeah, right.\Oh? You sound like you're fine. response:	You should've nursed me yourself if you were so worried.
context: All that's changing about me is this uniform...\So why does it feel like something is coming to an end?\You're not going to eat your words, right?\If we get back within six hours, the money's ours!\We never lie!\Yeah, right.\Oh? You sound like you're fine.\You should've nursed me yourself if you were so worried. response:	Shut up.
context: So why does it feel like something is coming to an end?\You're not going to eat your words, right?\If we get back within six hours, the money's ours!\We never lie!\Yeah, right.\Oh? You sound like you're fine.\You should've nursed me yourself if you were so worried.\Shut up. response:	Your old man wouldn't give me a break if I went over to your place.
context: You're not going to eat your words, right?\If we get back within six hours, the money's ours!\We never lie!\Yeah, right.\Oh? You sound like you're fine.\You should've nursed me yourself if you were so worried.\Shut up.\Your old man wouldn't give me a break if I went over to your place. response:	That's always your excuse.
context: If we get back within six hours, the money's ours!\We never lie!\Yeah, right.\Oh? You sound like you're fine.\You should've nursed me yourself if you were so worried.\Shut up.\Your old man wouldn't give me a break if I went over to your place.\That's always your excuse. response:	I don't know what your mom did,
context: We never lie!\Yeah, right.\Oh? You sound like you're fine.\You should've nursed me yourself if you were so worried.\Shut up.\Your old man wouldn't give me a break if I went over to your place.\That's always your excuse.\I don't know what your mom did, response:	but it has nothing to do with you.
context: Yeah, right.\Oh? You sound like you're fine.\You should've nursed me yourself if you were so worried.\Shut up.\Your old man wouldn't give me a break if I went over to your place.\That's always your excuse.\I don't know what your mom did,\but it has nothing to do with you. response:	You're Ao. It's pointless to worry about all that stuff.
context: Oh? You sound like you're fine.\You should've nursed me yourself if you were so worried.\Shut up.\Your old man wouldn't give me a break if I went over to your place.\That's always your excuse.\I don't know what your mom did,\but it has nothing to do with you.\You're Ao. It's pointless to worry about all that stuff. response:	But I'm different...
context: You should've nursed me yourself if you were so worried.\Shut up.\Your old man wouldn't give me a break if I went over to your place.\That's always your excuse.\I don't know what your mom did,\but it has nothing to do with you.\You're Ao. It's pointless to worry about all that stuff.\But I'm different... response:	Sure, you're a foreigner, but nobody's going to die because of that.
context: Shut up.\Your old man wouldn't give me a break if I went over to your place.\That's always your excuse.\I don't know what your mom did,\but it has nothing to do with you.\You're Ao. It's pointless to worry about all that stuff.\But I'm different...\Sure, you're a foreigner, but nobody's going to die because of that. response:	That's true...
context: Your old man wouldn't give me a break if I went over to your place.\That's always your excuse.\I don't know what your mom did,\but it has nothing to do with you.\You're Ao. It's pointless to worry about all that stuff.\But I'm different...\Sure, you're a foreigner, but nobody's going to die because of that.\That's true... response:	Just think about how much better you are compared to me.
context: That's always your excuse.\I don't know what your mom did,\but it has nothing to do with you.\You're Ao. It's pointless to worry about all that stuff.\But I'm different...\Sure, you're a foreigner, but nobody's going to die because of that.\That's true...\Just think about how much better you are compared to me. response:	But...
context: I don't know what your mom did,\but it has nothing to do with you.\You're Ao. It's pointless to worry about all that stuff.\But I'm different...\Sure, you're a foreigner, but nobody's going to die because of that.\That's true...\Just think about how much better you are compared to me.\But... response:	No buts.
context: but it has nothing to do with you.\You're Ao. It's pointless to worry about all that stuff.\But I'm different...\Sure, you're a foreigner, but nobody's going to die because of that.\That's true...\Just think about how much better you are compared to me.\But...\No buts. response:	I've had enough. I'm going to bed.
context: You're Ao. It's pointless to worry about all that stuff.\But I'm different...\Sure, you're a foreigner, but nobody's going to die because of that.\That's true...\Just think about how much better you are compared to me.\But...\No buts.\I've had enough. I'm going to bed. response:	Naru?
context: But I'm different...\Sure, you're a foreigner, but nobody's going to die because of that.\That's true...\Just think about how much better you are compared to me.\But...\No buts.\I've had enough. I'm going to bed.\Naru? response:	Good night!
context: Sure, you're a foreigner, but nobody's going to die because of that.\That's true...\Just think about how much better you are compared to me.\But...\No buts.\I've had enough. I'm going to bed.\Naru?\Good night! response:	Oh, please. I can never win an argument against her since she's sick.
context: That's true...\Just think about how much better you are compared to me.\But...\No buts.\I've had enough. I'm going to bed.\Naru?\Good night!\Oh, please. I can never win an argument against her since she's sick. response:	I hope she'll cheer up when I give her this tomorrow.
context: Just think about how much better you are compared to me.\But...\No buts.\I've had enough. I'm going to bed.\Naru?\Good night!\Oh, please. I can never win an argument against her since she's sick.\I hope she'll cheer up when I give her this tomorrow. response:	So? What are we gonna do?
context: But...\No buts.\I've had enough. I'm going to bed.\Naru?\Good night!\Oh, please. I can never win an argument against her since she's sick.\I hope she'll cheer up when I give her this tomorrow.\So? What are we gonna do? response:	It's not like we have much of a chance.
context: No buts.\I've had enough. I'm going to bed.\Naru?\Good night!\Oh, please. I can never win an argument against her since she's sick.\I hope she'll cheer up when I give her this tomorrow.\So? What are we gonna do?\It's not like we have much of a chance. response:	There's a freaking huge hole in the ground where it's supposed to be.
context: I've had enough. I'm going to bed.\Naru?\Good night!\Oh, please. I can never win an argument against her since she's sick.\I hope she'll cheer up when I give her this tomorrow.\So? What are we gonna do?\It's not like we have much of a chance.\There's a freaking huge hole in the ground where it's supposed to be. response:	That reminds me.
context: Naru?\Good night!\Oh, please. I can never win an argument against her since she's sick.\I hope she'll cheer up when I give her this tomorrow.\So? What are we gonna do?\It's not like we have much of a chance.\There's a freaking huge hole in the ground where it's supposed to be.\That reminds me. response:	The kid was here, right? Fukai's kid.
context: Good night!\Oh, please. I can never win an argument against her since she's sick.\I hope she'll cheer up when I give her this tomorrow.\So? What are we gonna do?\It's not like we have much of a chance.\There's a freaking huge hole in the ground where it's supposed to be.\That reminds me.\The kid was here, right? Fukai's kid. response:	That's right.
context: Oh, please. I can never win an argument against her since she's sick.\I hope she'll cheer up when I give her this tomorrow.\So? What are we gonna do?\It's not like we have much of a chance.\There's a freaking huge hole in the ground where it's supposed to be.\That reminds me.\The kid was here, right? Fukai's kid.\That's right. response:	What if that foreigner kid picked it up?
context: I hope she'll cheer up when I give her this tomorrow.\So? What are we gonna do?\It's not like we have much of a chance.\There's a freaking huge hole in the ground where it's supposed to be.\That reminds me.\The kid was here, right? Fukai's kid.\That's right.\What if that foreigner kid picked it up? response:	Should we check it out?
context: So? What are we gonna do?\It's not like we have much of a chance.\There's a freaking huge hole in the ground where it's supposed to be.\That reminds me.\The kid was here, right? Fukai's kid.\That's right.\What if that foreigner kid picked it up?\Should we check it out? response:	This is really weird.
context: It's not like we have much of a chance.\There's a freaking huge hole in the ground where it's supposed to be.\That reminds me.\The kid was here, right? Fukai's kid.\That's right.\What if that foreigner kid picked it up?\Should we check it out?\This is really weird. response:	Something's off.
context: There's a freaking huge hole in the ground where it's supposed to be.\That reminds me.\The kid was here, right? Fukai's kid.\That's right.\What if that foreigner kid picked it up?\Should we check it out?\This is really weird.\Something's off. response:	What's gotten into you?
context: That reminds me.\The kid was here, right? Fukai's kid.\That's right.\What if that foreigner kid picked it up?\Should we check it out?\This is really weird.\Something's off.\What's gotten into you? response:	We were delivering the cargo. Nothing more.
context: The kid was here, right? Fukai's kid.\That's right.\What if that foreigner kid picked it up?\Should we check it out?\This is really weird.\Something's off.\What's gotten into you?\We were delivering the cargo. Nothing more. response:	But then the Scub popped up along with a G-Monster.
context: That's right.\What if that foreigner kid picked it up?\Should we check it out?\This is really weird.\Something's off.\What's gotten into you?\We were delivering the cargo. Nothing more.\But then the Scub popped up along with a G-Monster. response:	Now the Japs deployed their army FPs.
context: What if that foreigner kid picked it up?\Should we check it out?\This is really weird.\Something's off.\What's gotten into you?\We were delivering the cargo. Nothing more.\But then the Scub popped up along with a G-Monster.\Now the Japs deployed their army FPs. response:	What are you talking about?
context: Should we check it out?\This is really weird.\Something's off.\What's gotten into you?\We were delivering the cargo. Nothing more.\But then the Scub popped up along with a G-Monster.\Now the Japs deployed their army FPs.\What are you talking about? response:	I think we got up caught in something big.
context: This is really weird.\Something's off.\What's gotten into you?\We were delivering the cargo. Nothing more.\But then the Scub popped up along with a G-Monster.\Now the Japs deployed their army FPs.\What are you talking about?\I think we got up caught in something big. response:	Yeah, right.
context: Something's off.\What's gotten into you?\We were delivering the cargo. Nothing more.\But then the Scub popped up along with a G-Monster.\Now the Japs deployed their army FPs.\What are you talking about?\I think we got up caught in something big.\Yeah, right. response:	I hope so.
context: What's gotten into you?\We were delivering the cargo. Nothing more.\But then the Scub popped up along with a G-Monster.\Now the Japs deployed their army FPs.\What are you talking about?\I think we got up caught in something big.\Yeah, right.\I hope so. response:	Try listening to the sounds around us.
context: We were delivering the cargo. Nothing more.\But then the Scub popped up along with a G-Monster.\Now the Japs deployed their army FPs.\What are you talking about?\I think we got up caught in something big.\Yeah, right.\I hope so.\Try listening to the sounds around us. response:	You can't hear a single bird or even a bug.
context: But then the Scub popped up along with a G-Monster.\Now the Japs deployed their army FPs.\What are you talking about?\I think we got up caught in something big.\Yeah, right.\I hope so.\Try listening to the sounds around us.\You can't hear a single bird or even a bug. response:	Yeah, like that! Everyone smile!
context: Now the Japs deployed their army FPs.\What are you talking about?\I think we got up caught in something big.\Yeah, right.\I hope so.\Try listening to the sounds around us.\You can't hear a single bird or even a bug.\Yeah, like that! Everyone smile! response:	Hey, Naru! What's that?
context: What are you talking about?\I think we got up caught in something big.\Yeah, right.\I hope so.\Try listening to the sounds around us.\You can't hear a single bird or even a bug.\Yeah, like that! Everyone smile!\Hey, Naru! What's that? response:	Look, what's that?
context: I think we got up caught in something big.\Yeah, right.\I hope so.\Try listening to the sounds around us.\You can't hear a single bird or even a bug.\Yeah, like that! Everyone smile!\Hey, Naru! What's that?\Look, what's that? response:	Yuu, be a good girl and look at the camera!
context: Yeah, right.\I hope so.\Try listening to the sounds around us.\You can't hear a single bird or even a bug.\Yeah, like that! Everyone smile!\Hey, Naru! What's that?\Look, what's that?\Yuu, be a good girl and look at the camera! response:	What?
context: I hope so.\Try listening to the sounds around us.\You can't hear a single bird or even a bug.\Yeah, like that! Everyone smile!\Hey, Naru! What's that?\Look, what's that?\Yuu, be a good girl and look at the camera!\What? response:	The same thing happened yesterday!
context: Try listening to the sounds around us.\You can't hear a single bird or even a bug.\Yeah, like that! Everyone smile!\Hey, Naru! What's that?\Look, what's that?\Yuu, be a good girl and look at the camera!\What?\The same thing happened yesterday! response:	No way!
context: You can't hear a single bird or even a bug.\Yeah, like that! Everyone smile!\Hey, Naru! What's that?\Look, what's that?\Yuu, be a good girl and look at the camera!\What?\The same thing happened yesterday!\No way! response:	The Scub shouldn't show up twice at the same place!
context: Yeah, like that! Everyone smile!\Hey, Naru! What's that?\Look, what's that?\Yuu, be a good girl and look at the camera!\What?\The same thing happened yesterday!\No way!\The Scub shouldn't show up twice at the same place! response:	Wait, look!
context: Hey, Naru! What's that?\Look, what's that?\Yuu, be a good girl and look at the camera!\What?\The same thing happened yesterday!\No way!\The Scub shouldn't show up twice at the same place!\Wait, look! response:	There's more than one pillar!
context: Look, what's that?\Yuu, be a good girl and look at the camera!\What?\The same thing happened yesterday!\No way!\The Scub shouldn't show up twice at the same place!\Wait, look!\There's more than one pillar! response:	This is why I told you to leave the first one alone.
context: Yuu, be a good girl and look at the camera!\What?\The same thing happened yesterday!\No way!\The Scub shouldn't show up twice at the same place!\Wait, look!\There's more than one pillar!\This is why I told you to leave the first one alone. response:	This was most certainly unexpected.
context: What?\The same thing happened yesterday!\No way!\The Scub shouldn't show up twice at the same place!\Wait, look!\There's more than one pillar!\This is why I told you to leave the first one alone.\This was most certainly unexpected. response:	I don't mind.
context: The same thing happened yesterday!\No way!\The Scub shouldn't show up twice at the same place!\Wait, look!\There's more than one pillar!\This is why I told you to leave the first one alone.\This was most certainly unexpected.\I don't mind. response:	Protecting mankind from emerging unknown creatures
