context: This is Earthland, in the outskirts of Magnolia. response:	We're back!
context: But, why do I have the same power you do?\G-Good question...\I'm hungry...\Nice weather we're having...\They're acting weird...\Hey, Mister.\Yeah?\Don't you think the Queen and Carla look kinda similar? response:	You think?
context: G-Good question...\I'm hungry...\Nice weather we're having...\They're acting weird...\Hey, Mister.\Yeah?\Don't you think the Queen and Carla look kinda similar?\You think? response:	Aye! You know, like how they move.
context: I'm hungry...\Nice weather we're having...\They're acting weird...\Hey, Mister.\Yeah?\Don't you think the Queen and Carla look kinda similar?\You think?\Aye! You know, like how they move. response:	How they move?
context: Nice weather we're having...\They're acting weird...\Hey, Mister.\Yeah?\Don't you think the Queen and Carla look kinda similar?\You think?\Aye! You know, like how they move.\How they move? response:	See, like that part!
context: They're acting weird...\Hey, Mister.\Yeah?\Don't you think the Queen and Carla look kinda similar?\You think?\Aye! You know, like how they move.\How they move?\See, like that part! response:	What part is that?
context: Hey, Mister.\Yeah?\Don't you think the Queen and Carla look kinda similar?\You think?\Aye! You know, like how they move.\How they move?\See, like that part!\What part is that? response:	Well, I'm just glad that ended with everyone safe and sound.
context: Yeah?\Don't you think the Queen and Carla look kinda similar?\You think?\Aye! You know, like how they move.\How they move?\See, like that part!\What part is that?\Well, I'm just glad that ended with everyone safe and sound. response:	Yes!
context: Don't you think the Queen and Carla look kinda similar?\You think?\Aye! You know, like how they move.\How they move?\See, like that part!\What part is that?\Well, I'm just glad that ended with everyone safe and sound.\Yes! response:	Hey, it looks like you caught it from him, Natsu!
context: You think?\Aye! You know, like how they move.\How they move?\See, like that part!\What part is that?\Well, I'm just glad that ended with everyone safe and sound.\Yes!\Hey, it looks like you caught it from him, Natsu! response:	So did you.
context: Aye! You know, like how they move.\How they move?\See, like that part!\What part is that?\Well, I'm just glad that ended with everyone safe and sound.\Yes!\Hey, it looks like you caught it from him, Natsu!\So did you. response:	Wait a moment, what beauty!
context: How they move?\See, like that part!\What part is that?\Well, I'm just glad that ended with everyone safe and sound.\Yes!\Hey, it looks like you caught it from him, Natsu!\So did you.\Wait a moment, what beauty! response:	Yes, a lovely parfum!
context: See, like that part!\What part is that?\Well, I'm just glad that ended with everyone safe and sound.\Yes!\Hey, it looks like you caught it from him, Natsu!\So did you.\Wait a moment, what beauty!\Yes, a lovely parfum! response:	This guy's...
context: What part is that?\Well, I'm just glad that ended with everyone safe and sound.\Yes!\Hey, it looks like you caught it from him, Natsu!\So did you.\Wait a moment, what beauty!\Yes, a lovely parfum!\This guy's... response:	More...
context: Well, I'm just glad that ended with everyone safe and sound.\Yes!\Hey, it looks like you caught it from him, Natsu!\So did you.\Wait a moment, what beauty!\Yes, a lovely parfum!\This guy's...\More... response:	I want to smell more of your parfum!
context: Yes!\Hey, it looks like you caught it from him, Natsu!\So did you.\Wait a moment, what beauty!\Yes, a lovely parfum!\This guy's...\More...\I want to smell more of your parfum! response:	Cut it out, you!
context: Hey, it looks like you caught it from him, Natsu!\So did you.\Wait a moment, what beauty!\Yes, a lovely parfum!\This guy's...\More...\I want to smell more of your parfum!\Cut it out, you! response:	H-How cruel... And after all I...
context: So did you.\Wait a moment, what beauty!\Yes, a lovely parfum!\This guy's...\More...\I want to smell more of your parfum!\Cut it out, you!\H-How cruel... And after all I... response:	Sorry... You reminded me of someone I know.
context: Wait a moment, what beauty!\Yes, a lovely parfum!\This guy's...\More...\I want to smell more of your parfum!\Cut it out, you!\H-How cruel... And after all I...\Sorry... You reminded me of someone I know. response:	For now, we'll live near here.
context: Yes, a lovely parfum!\This guy's...\More...\I want to smell more of your parfum!\Cut it out, you!\H-How cruel... And after all I...\Sorry... You reminded me of someone I know.\For now, we'll live near here. response:	We can see each other any time!
context: This guy's...\More...\I want to smell more of your parfum!\Cut it out, you!\H-How cruel... And after all I...\Sorry... You reminded me of someone I know.\For now, we'll live near here.\We can see each other any time! response:	Why're you so happy about that?
context: More...\I want to smell more of your parfum!\Cut it out, you!\H-How cruel... And after all I...\Sorry... You reminded me of someone I know.\For now, we'll live near here.\We can see each other any time!\Why're you so happy about that? response:	Yes...
context: I want to smell more of your parfum!\Cut it out, you!\H-How cruel... And after all I...\Sorry... You reminded me of someone I know.\For now, we'll live near here.\We can see each other any time!\Why're you so happy about that?\Yes... response:	We can see each other whenever we want, Carla!
context: Cut it out, you!\H-How cruel... And after all I...\Sorry... You reminded me of someone I know.\For now, we'll live near here.\We can see each other any time!\Why're you so happy about that?\Yes...\We can see each other whenever we want, Carla! response:	Qu...
context: H-How cruel... And after all I...\Sorry... You reminded me of someone I know.\For now, we'll live near here.\We can see each other any time!\Why're you so happy about that?\Yes...\We can see each other whenever we want, Carla!\Qu... response:	So warm...
context: Sorry... You reminded me of someone I know.\For now, we'll live near here.\We can see each other any time!\Why're you so happy about that?\Yes...\We can see each other whenever we want, Carla!\Qu...\So warm... response:	Come over and play whenever you'd like, Happy.
context: For now, we'll live near here.\We can see each other any time!\Why're you so happy about that?\Yes...\We can see each other whenever we want, Carla!\Qu...\So warm...\Come over and play whenever you'd like, Happy. response:	Aye!
context: We can see each other any time!\Why're you so happy about that?\Yes...\We can see each other whenever we want, Carla!\Qu...\So warm...\Come over and play whenever you'd like, Happy.\Aye! response:	Not like I'm expectin' ya to, or anythin'!
context: Why're you so happy about that?\Yes...\We can see each other whenever we want, Carla!\Qu...\So warm...\Come over and play whenever you'd like, Happy.\Aye!\Not like I'm expectin' ya to, or anythin'! response:	I like the way you two smell.
context: Yes...\We can see each other whenever we want, Carla!\Qu...\So warm...\Come over and play whenever you'd like, Happy.\Aye!\Not like I'm expectin' ya to, or anythin'!\I like the way you two smell. response:	I wonder why that is?
context: We can see each other whenever we want, Carla!\Qu...\So warm...\Come over and play whenever you'd like, Happy.\Aye!\Not like I'm expectin' ya to, or anythin'!\I like the way you two smell.\I wonder why that is? response:	You're a hundred years too young to start smelling me, buddy!
context: Qu...\So warm...\Come over and play whenever you'd like, Happy.\Aye!\Not like I'm expectin' ya to, or anythin'!\I like the way you two smell.\I wonder why that is?\You're a hundred years too young to start smelling me, buddy! response:	Later!
context: So warm...\Come over and play whenever you'd like, Happy.\Aye!\Not like I'm expectin' ya to, or anythin'!\I like the way you two smell.\I wonder why that is?\You're a hundred years too young to start smelling me, buddy!\Later! response:	Stay well!
context: Come over and play whenever you'd like, Happy.\Aye!\Not like I'm expectin' ya to, or anythin'!\I like the way you two smell.\I wonder why that is?\You're a hundred years too young to start smelling me, buddy!\Later!\Stay well! response:	Yeah! See ya!
context: Aye!\Not like I'm expectin' ya to, or anythin'!\I like the way you two smell.\I wonder why that is?\You're a hundred years too young to start smelling me, buddy!\Later!\Stay well!\Yeah! See ya! response:	Later!
context: Not like I'm expectin' ya to, or anythin'!\I like the way you two smell.\I wonder why that is?\You're a hundred years too young to start smelling me, buddy!\Later!\Stay well!\Yeah! See ya!\Later! response:	Bye-bye for now!
context: I like the way you two smell.\I wonder why that is?\You're a hundred years too young to start smelling me, buddy!\Later!\Stay well!\Yeah! See ya!\Later!\Bye-bye for now! response:	Thank you so much, everyone...
context: I wonder why that is?\You're a hundred years too young to start smelling me, buddy!\Later!\Stay well!\Yeah! See ya!\Later!\Bye-bye for now!\Thank you so much, everyone... response:	I hate these depressin' farewells.
context: You're a hundred years too young to start smelling me, buddy!\Later!\Stay well!\Yeah! See ya!\Later!\Bye-bye for now!\Thank you so much, everyone...\I hate these depressin' farewells. response:	Oh, Dear...
context: Later!\Stay well!\Yeah! See ya!\Later!\Bye-bye for now!\Thank you so much, everyone...\I hate these depressin' farewells.\Oh, Dear... response:	Come play anytime!
context: Stay well!\Yeah! See ya!\Later!\Bye-bye for now!\Thank you so much, everyone...\I hate these depressin' farewells.\Oh, Dear...\Come play anytime! response:	Until next time!
context: Yeah! See ya!\Later!\Bye-bye for now!\Thank you so much, everyone...\I hate these depressin' farewells.\Oh, Dear...\Come play anytime!\Until next time! response:	Bye-bye!
context: Later!\Bye-bye for now!\Thank you so much, everyone...\I hate these depressin' farewells.\Oh, Dear...\Come play anytime!\Until next time!\Bye-bye! response:	Lovely parfum!
context: Bye-bye for now!\Thank you so much, everyone...\I hate these depressin' farewells.\Oh, Dear...\Come play anytime!\Until next time!\Bye-bye!\Lovely parfum! response:	See you later!
context: Thank you so much, everyone...\I hate these depressin' farewells.\Oh, Dear...\Come play anytime!\Until next time!\Bye-bye!\Lovely parfum!\See you later! response:	Why didn't you tell her you're her mother?
context: I hate these depressin' farewells.\Oh, Dear...\Come play anytime!\Until next time!\Bye-bye!\Lovely parfum!\See you later!\Why didn't you tell her you're her mother? response:	Until every child I sent to be evacuated 6 years ago is found,
context: Oh, Dear...\Come play anytime!\Until next time!\Bye-bye!\Lovely parfum!\See you later!\Why didn't you tell her you're her mother?\Until every child I sent to be evacuated 6 years ago is found, response:	I have no right to claim that name.
context: Come play anytime!\Until next time!\Bye-bye!\Lovely parfum!\See you later!\Why didn't you tell her you're her mother?\Until every child I sent to be evacuated 6 years ago is found,\I have no right to claim that name. response:	And what about you?
context: Until next time!\Bye-bye!\Lovely parfum!\See you later!\Why didn't you tell her you're her mother?\Until every child I sent to be evacuated 6 years ago is found,\I have no right to claim that name.\And what about you? response:	A greenhorn like that ain't no son-o-mine!
context: Bye-bye!\Lovely parfum!\See you later!\Why didn't you tell her you're her mother?\Until every child I sent to be evacuated 6 years ago is found,\I have no right to claim that name.\And what about you?\A greenhorn like that ain't no son-o-mine! response:	You can see him whenever you'd like now, though...
context: Lovely parfum!\See you later!\Why didn't you tell her you're her mother?\Until every child I sent to be evacuated 6 years ago is found,\I have no right to claim that name.\And what about you?\A greenhorn like that ain't no son-o-mine!\You can see him whenever you'd like now, though... response:	It's just...
context: See you later!\Why didn't you tell her you're her mother?\Until every child I sent to be evacuated 6 years ago is found,\I have no right to claim that name.\And what about you?\A greenhorn like that ain't no son-o-mine!\You can see him whenever you'd like now, though...\It's just... response:	I didn't know your own daughter was in one of those eggs.
context: Why didn't you tell her you're her mother?\Until every child I sent to be evacuated 6 years ago is found,\I have no right to claim that name.\And what about you?\A greenhorn like that ain't no son-o-mine!\You can see him whenever you'd like now, though...\It's just...\I didn't know your own daughter was in one of those eggs. response:	I was just Queen in name only.
context: Until every child I sent to be evacuated 6 years ago is found,\I have no right to claim that name.\And what about you?\A greenhorn like that ain't no son-o-mine!\You can see him whenever you'd like now, though...\It's just...\I didn't know your own daughter was in one of those eggs.\I was just Queen in name only. response:	For a parent, one's child is always the most precious.
context: I have no right to claim that name.\And what about you?\A greenhorn like that ain't no son-o-mine!\You can see him whenever you'd like now, though...\It's just...\I didn't know your own daughter was in one of those eggs.\I was just Queen in name only.\For a parent, one's child is always the most precious. response:	Can't argue with that!
context: And what about you?\A greenhorn like that ain't no son-o-mine!\You can see him whenever you'd like now, though...\It's just...\I didn't know your own daughter was in one of those eggs.\I was just Queen in name only.\For a parent, one's child is always the most precious.\Can't argue with that! response:	Okay!
context: A greenhorn like that ain't no son-o-mine!\You can see him whenever you'd like now, though...\It's just...\I didn't know your own daughter was in one of those eggs.\I was just Queen in name only.\For a parent, one's child is always the most precious.\Can't argue with that!\Okay! response:	Let's return to our guild.
context: You can see him whenever you'd like now, though...\It's just...\I didn't know your own daughter was in one of those eggs.\I was just Queen in name only.\For a parent, one's child is always the most precious.\Can't argue with that!\Okay!\Let's return to our guild. response:	How should we report this to everyone?
context: It's just...\I didn't know your own daughter was in one of those eggs.\I was just Queen in name only.\For a parent, one's child is always the most precious.\Can't argue with that!\Okay!\Let's return to our guild.\How should we report this to everyone? response:	But, no one noticed what happened, right?
context: I didn't know your own daughter was in one of those eggs.\I was just Queen in name only.\For a parent, one's child is always the most precious.\Can't argue with that!\Okay!\Let's return to our guild.\How should we report this to everyone?\But, no one noticed what happened, right? response:	But we can't keep quiet about what happened to Mystogan.
context: I was just Queen in name only.\For a parent, one's child is always the most precious.\Can't argue with that!\Okay!\Let's return to our guild.\How should we report this to everyone?\But, no one noticed what happened, right?\But we can't keep quiet about what happened to Mystogan. response:	Everyone... Your hands...
context: For a parent, one's child is always the most precious.\Can't argue with that!\Okay!\Let's return to our guild.\How should we report this to everyone?\But, no one noticed what happened, right?\But we can't keep quiet about what happened to Mystogan.\Everyone... Your hands... response:	Hold it a sec!
context: Can't argue with that!\Okay!\Let's return to our guild.\How should we report this to everyone?\But, no one noticed what happened, right?\But we can't keep quiet about what happened to Mystogan.\Everyone... Your hands...\Hold it a sec! response:	Wait, Gajeel? You wanna do it, too?
context: Okay!\Let's return to our guild.\How should we report this to everyone?\But, no one noticed what happened, right?\But we can't keep quiet about what happened to Mystogan.\Everyone... Your hands...\Hold it a sec!\Wait, Gajeel? You wanna do it, too? response:	It's fun!
context: Let's return to our guild.\How should we report this to everyone?\But, no one noticed what happened, right?\But we can't keep quiet about what happened to Mystogan.\Everyone... Your hands...\Hold it a sec!\Wait, Gajeel? You wanna do it, too?\It's fun! response:	If there was a point to it!
context: How should we report this to everyone?\But, no one noticed what happened, right?\But we can't keep quiet about what happened to Mystogan.\Everyone... Your hands...\Hold it a sec!\Wait, Gajeel? You wanna do it, too?\It's fun!\If there was a point to it! response:	Where's Lily?
context: But, no one noticed what happened, right?\But we can't keep quiet about what happened to Mystogan.\Everyone... Your hands...\Hold it a sec!\Wait, Gajeel? You wanna do it, too?\It's fun!\If there was a point to it!\Where's Lily? response:	I ain't seen Panther Lily around anywhere!
context: But we can't keep quiet about what happened to Mystogan.\Everyone... Your hands...\Hold it a sec!\Wait, Gajeel? You wanna do it, too?\It's fun!\If there was a point to it!\Where's Lily?\I ain't seen Panther Lily around anywhere! response:	Lily?
context: Everyone... Your hands...\Hold it a sec!\Wait, Gajeel? You wanna do it, too?\It's fun!\If there was a point to it!\Where's Lily?\I ain't seen Panther Lily around anywhere!\Lily? response:	That super-strong Exceed.
context: Hold it a sec!\Wait, Gajeel? You wanna do it, too?\It's fun!\If there was a point to it!\Where's Lily?\I ain't seen Panther Lily around anywhere!\Lily?\That super-strong Exceed. response:	If you want me, I'm right here.
context: Wait, Gajeel? You wanna do it, too?\It's fun!\If there was a point to it!\Where's Lily?\I ain't seen Panther Lily around anywhere!\Lily?\That super-strong Exceed.\If you want me, I'm right here. response:	Dinky!
context: It's fun!\If there was a point to it!\Where's Lily?\I ain't seen Panther Lily around anywhere!\Lily?\That super-strong Exceed.\If you want me, I'm right here.\Dinky! response:	Dinky!
context: If there was a point to it!\Where's Lily?\I ain't seen Panther Lily around anywhere!\Lily?\That super-strong Exceed.\If you want me, I'm right here.\Dinky!\Dinky! response:	You sure got cutesy.
context: Where's Lily?\I ain't seen Panther Lily around anywhere!\Lily?\That super-strong Exceed.\If you want me, I'm right here.\Dinky!\Dinky!\You sure got cutesy. response:	It seems as if Earthland does not match well with my constitution.
context: I ain't seen Panther Lily around anywhere!\Lily?\That super-strong Exceed.\If you want me, I'm right here.\Dinky!\Dinky!\You sure got cutesy.\It seems as if Earthland does not match well with my constitution. response:	Are you sure you're okay there?
context: Lily?\That super-strong Exceed.\If you want me, I'm right here.\Dinky!\Dinky!\You sure got cutesy.\It seems as if Earthland does not match well with my constitution.\Are you sure you're okay there? response:	Right now, I want to join this guild that took care of the Prince.
context: That super-strong Exceed.\If you want me, I'm right here.\Dinky!\Dinky!\You sure got cutesy.\It seems as if Earthland does not match well with my constitution.\Are you sure you're okay there?\Right now, I want to join this guild that took care of the Prince. response:	You'll keep your promise and get me in? Right, Gajeel?
context: If you want me, I'm right here.\Dinky!\Dinky!\You sure got cutesy.\It seems as if Earthland does not match well with my constitution.\Are you sure you're okay there?\Right now, I want to join this guild that took care of the Prince.\You'll keep your promise and get me in? Right, Gajeel? response:	Of course I will, partner!
context: Dinky!\Dinky!\You sure got cutesy.\It seems as if Earthland does not match well with my constitution.\Are you sure you're okay there?\Right now, I want to join this guild that took care of the Prince.\You'll keep your promise and get me in? Right, Gajeel?\Of course I will, partner! response:	He's crying!
context: Dinky!\You sure got cutesy.\It seems as if Earthland does not match well with my constitution.\Are you sure you're okay there?\Right now, I want to join this guild that took care of the Prince.\You'll keep your promise and get me in? Right, Gajeel?\Of course I will, partner!\He's crying! response:	Now, about another matter... I caught someone suspicious.
context: You sure got cutesy.\It seems as if Earthland does not match well with my constitution.\Are you sure you're okay there?\Right now, I want to join this guild that took care of the Prince.\You'll keep your promise and get me in? Right, Gajeel?\Of course I will, partner!\He's crying!\Now, about another matter... I caught someone suspicious. response:	A big catch right off the bat!
context: It seems as if Earthland does not match well with my constitution.\Are you sure you're okay there?\Right now, I want to join this guild that took care of the Prince.\You'll keep your promise and get me in? Right, Gajeel?\Of course I will, partner!\He's crying!\Now, about another matter... I caught someone suspicious.\A big catch right off the bat! response:	That's my cat for ya!
context: Are you sure you're okay there?\Right now, I want to join this guild that took care of the Prince.\You'll keep your promise and get me in? Right, Gajeel?\Of course I will, partner!\He's crying!\Now, about another matter... I caught someone suspicious.\A big catch right off the bat!\That's my cat for ya! response:	Come here!
context: Right now, I want to join this guild that took care of the Prince.\You'll keep your promise and get me in? Right, Gajeel?\Of course I will, partner!\He's crying!\Now, about another matter... I caught someone suspicious.\A big catch right off the bat!\That's my cat for ya!\Come here! response:	W-Wait!
context: You'll keep your promise and get me in? Right, Gajeel?\Of course I will, partner!\He's crying!\Now, about another matter... I caught someone suspicious.\A big catch right off the bat!\That's my cat for ya!\Come here!\W-Wait! response:	I-I'm not... anyone... suspicious...
context: Of course I will, partner!\He's crying!\Now, about another matter... I caught someone suspicious.\A big catch right off the bat!\That's my cat for ya!\Come here!\W-Wait!\I-I'm not... anyone... suspicious... response:	Hey!
context: He's crying!\Now, about another matter... I caught someone suspicious.\A big catch right off the bat!\That's my cat for ya!\Come here!\W-Wait!\I-I'm not... anyone... suspicious...\Hey! response:	I'm a member of Fairy Tail, too...
context: Now, about another matter... I caught someone suspicious.\A big catch right off the bat!\That's my cat for ya!\Come here!\W-Wait!\I-I'm not... anyone... suspicious...\Hey!\I'm a member of Fairy Tail, too... response:	Lisanna...
context: A big catch right off the bat!\That's my cat for ya!\Come here!\W-Wait!\I-I'm not... anyone... suspicious...\Hey!\I'm a member of Fairy Tail, too...\Lisanna... response:	What's with this cat? Are you an Exceed?
context: That's my cat for ya!\Come here!\W-Wait!\I-I'm not... anyone... suspicious...\Hey!\I'm a member of Fairy Tail, too...\Lisanna...\What's with this cat? Are you an Exceed? response:	I am Panther Lily.
context: Come here!\W-Wait!\I-I'm not... anyone... suspicious...\Hey!\I'm a member of Fairy Tail, too...\Lisanna...\What's with this cat? Are you an Exceed?\I am Panther Lily. response:	What's yer problem? You talkin' crap'bout my cat?!
context: W-Wait!\I-I'm not... anyone... suspicious...\Hey!\I'm a member of Fairy Tail, too...\Lisanna...\What's with this cat? Are you an Exceed?\I am Panther Lily.\What's yer problem? You talkin' crap'bout my cat?! response:	But that's impossible...
context: I-I'm not... anyone... suspicious...\Hey!\I'm a member of Fairy Tail, too...\Lisanna...\What's with this cat? Are you an Exceed?\I am Panther Lily.\What's yer problem? You talkin' crap'bout my cat?!\But that's impossible... response:	Lisanna!
context: Hey!\I'm a member of Fairy Tail, too...\Lisanna...\What's with this cat? Are you an Exceed?\I am Panther Lily.\What's yer problem? You talkin' crap'bout my cat?!\But that's impossible...\Lisanna! response:	My... Somehow Edolas's Lisanna...
context: I'm a member of Fairy Tail, too...\Lisanna...\What's with this cat? Are you an Exceed?\I am Panther Lily.\What's yer problem? You talkin' crap'bout my cat?!\But that's impossible...\Lisanna!\My... Somehow Edolas's Lisanna... response:	What'll we do?
context: Lisanna...\What's with this cat? Are you an Exceed?\I am Panther Lily.\What's yer problem? You talkin' crap'bout my cat?!\But that's impossible...\Lisanna!\My... Somehow Edolas's Lisanna...\What'll we do? response:	Natsu!
context: What's with this cat? Are you an Exceed?\I am Panther Lily.\What's yer problem? You talkin' crap'bout my cat?!\But that's impossible...\Lisanna!\My... Somehow Edolas's Lisanna...\What'll we do?\Natsu! response:	Finally, I get to see you...
context: I am Panther Lily.\What's yer problem? You talkin' crap'bout my cat?!\But that's impossible...\Lisanna!\My... Somehow Edolas's Lisanna...\What'll we do?\Natsu!\Finally, I get to see you... response:	I get to see the real Natsu...
context: What's yer problem? You talkin' crap'bout my cat?!\But that's impossible...\Lisanna!\My... Somehow Edolas's Lisanna...\What'll we do?\Natsu!\Finally, I get to see you...\I get to see the real Natsu... response:	Happy!
context: But that's impossible...\Lisanna!\My... Somehow Edolas's Lisanna...\What'll we do?\Natsu!\Finally, I get to see you...\I get to see the real Natsu...\Happy! response:	It's me, Lisanna!
context: Lisanna!\My... Somehow Edolas's Lisanna...\What'll we do?\Natsu!\Finally, I get to see you...\I get to see the real Natsu...\Happy!\It's me, Lisanna! response:	And Gray, Erza... How long has it been?
context: My... Somehow Edolas's Lisanna...\What'll we do?\Natsu!\Finally, I get to see you...\I get to see the real Natsu...\Happy!\It's me, Lisanna!\And Gray, Erza... How long has it been? response:	Wow, this brings back so much!
context: What'll we do?\Natsu!\Finally, I get to see you...\I get to see the real Natsu...\Happy!\It's me, Lisanna!\And Gray, Erza... How long has it been?\Wow, this brings back so much! response:	These are new guild members, I gather?
context: Natsu!\Finally, I get to see you...\I get to see the real Natsu...\Happy!\It's me, Lisanna!\And Gray, Erza... How long has it been?\Wow, this brings back so much!\These are new guild members, I gather? response:	A little Wendy...
context: Finally, I get to see you...\I get to see the real Natsu...\Happy!\It's me, Lisanna!\And Gray, Erza... How long has it been?\Wow, this brings back so much!\These are new guild members, I gather?\A little Wendy... response:	And Lucy?
context: I get to see the real Natsu...\Happy!\It's me, Lisanna!\And Gray, Erza... How long has it been?\Wow, this brings back so much!\These are new guild members, I gather?\A little Wendy...\And Lucy? response:	Hold on a sec... Don't tell me you're...
context: Happy!\It's me, Lisanna!\And Gray, Erza... How long has it been?\Wow, this brings back so much!\These are new guild members, I gather?\A little Wendy...\And Lucy?\Hold on a sec... Don't tell me you're... response:	Yeah.
context: It's me, Lisanna!\And Gray, Erza... How long has it been?\Wow, this brings back so much!\These are new guild members, I gather?\A little Wendy...\And Lucy?\Hold on a sec... Don't tell me you're...\Yeah. response:	No way!
context: And Gray, Erza... How long has it been?\Wow, this brings back so much!\These are new guild members, I gather?\A little Wendy...\And Lucy?\Hold on a sec... Don't tell me you're...\Yeah.\No way! response:	You came back from the dead?!
context: Wow, this brings back so much!\These are new guild members, I gather?\A little Wendy...\And Lucy?\Hold on a sec... Don't tell me you're...\Yeah.\No way!\You came back from the dead?! response:	Hold it!
context: These are new guild members, I gather?\A little Wendy...\And Lucy?\Hold on a sec... Don't tell me you're...\Yeah.\No way!\You came back from the dead?!\Hold it! response:	We all thought you died two years ago.
context: A little Wendy...\And Lucy?\Hold on a sec... Don't tell me you're...\Yeah.\No way!\You came back from the dead?!\Hold it!\We all thought you died two years ago. response:	I can't believe you've come back from the dead.
context: And Lucy?\Hold on a sec... Don't tell me you're...\Yeah.\No way!\You came back from the dead?!\Hold it!\We all thought you died two years ago.\I can't believe you've come back from the dead. response:	I never died.
context: Hold on a sec... Don't tell me you're...\Yeah.\No way!\You came back from the dead?!\Hold it!\We all thought you died two years ago.\I can't believe you've come back from the dead.\I never died. response:	Two years ago...
context: Yeah.\No way!\You came back from the dead?!\Hold it!\We all thought you died two years ago.\I can't believe you've come back from the dead.\I never died.\Two years ago... response:	Lisanna, open your eyes, Lisanna!
context: No way!\You came back from the dead?!\Hold it!\We all thought you died two years ago.\I can't believe you've come back from the dead.\I never died.\Two years ago...\Lisanna, open your eyes, Lisanna! response:	What the...
context: You came back from the dead?!\Hold it!\We all thought you died two years ago.\I can't believe you've come back from the dead.\I never died.\Two years ago...\Lisanna, open your eyes, Lisanna!\What the... response:	What's happening? Stop it!
context: Hold it!\We all thought you died two years ago.\I can't believe you've come back from the dead.\I never died.\Two years ago...\Lisanna, open your eyes, Lisanna!\What the...\What's happening? Stop it! response:	Lisanna, why?!
context: We all thought you died two years ago.\I can't believe you've come back from the dead.\I never died.\Two years ago...\Lisanna, open your eyes, Lisanna!\What the...\What's happening? Stop it!\Lisanna, why?! response:	Wait!
context: I can't believe you've come back from the dead.\I never died.\Two years ago...\Lisanna, open your eyes, Lisanna!\What the...\What's happening? Stop it!\Lisanna, why?!\Wait! response:	Don't leave me alone!
context: I never died.\Two years ago...\Lisanna, open your eyes, Lisanna!\What the...\What's happening? Stop it!\Lisanna, why?!\Wait!\Don't leave me alone! response:	You can't disappear!
context: Two years ago...\Lisanna, open your eyes, Lisanna!\What the...\What's happening? Stop it!\Lisanna, why?!\Wait!\Don't leave me alone!\You can't disappear! response:	No, please!
context: Lisanna, open your eyes, Lisanna!\What the...\What's happening? Stop it!\Lisanna, why?!\Wait!\Don't leave me alone!\You can't disappear!\No, please! response:	I suspect that I was sucked into an Anima then...
context: What the...\What's happening? Stop it!\Lisanna, why?!\Wait!\Don't leave me alone!\You can't disappear!\No, please!\I suspect that I was sucked into an Anima then... response:	At the time, there should have been a lot of small Anima around Earthland, I bet.
context: What's happening? Stop it!\Lisanna, why?!\Wait!\Don't leave me alone!\You can't disappear!\No, please!\I suspect that I was sucked into an Anima then...\At the time, there should have been a lot of small Anima around Earthland, I bet. response:	When I came to in Edolas, I was shocked.
context: Lisanna, why?!\Wait!\Don't leave me alone!\You can't disappear!\No, please!\I suspect that I was sucked into an Anima then...\At the time, there should have been a lot of small Anima around Earthland, I bet.\When I came to in Edolas, I was shocked. response:	A guild?
context: Wait!\Don't leave me alone!\You can't disappear!\No, please!\I suspect that I was sucked into an Anima then...\At the time, there should have been a lot of small Anima around Earthland, I bet.\When I came to in Edolas, I was shocked.\A guild? response:	Everyone was a little different, but there were familiar faces right there.
context: Don't leave me alone!\You can't disappear!\No, please!\I suspect that I was sucked into an Anima then...\At the time, there should have been a lot of small Anima around Earthland, I bet.\When I came to in Edolas, I was shocked.\A guild?\Everyone was a little different, but there were familiar faces right there. response:	Plus, everyone assumed I was Edolas's Lisanna.
context: You can't disappear!\No, please!\I suspect that I was sucked into an Anima then...\At the time, there should have been a lot of small Anima around Earthland, I bet.\When I came to in Edolas, I was shocked.\A guild?\Everyone was a little different, but there were familiar faces right there.\Plus, everyone assumed I was Edolas's Lisanna. response:	I figured that Edolas's Lisanna had already died.
context: No, please!\I suspect that I was sucked into an Anima then...\At the time, there should have been a lot of small Anima around Earthland, I bet.\When I came to in Edolas, I was shocked.\A guild?\Everyone was a little different, but there were familiar faces right there.\Plus, everyone assumed I was Edolas's Lisanna.\I figured that Edolas's Lisanna had already died. response:	I could tell from the way the guild treated me.
context: I suspect that I was sucked into an Anima then...\At the time, there should have been a lot of small Anima around Earthland, I bet.\When I came to in Edolas, I was shocked.\A guild?\Everyone was a little different, but there were familiar faces right there.\Plus, everyone assumed I was Edolas's Lisanna.\I figured that Edolas's Lisanna had already died.\I could tell from the way the guild treated me. response:	Lisanna's alive, Nee-chan!
context: At the time, there should have been a lot of small Anima around Earthland, I bet.\When I came to in Edolas, I was shocked.\A guild?\Everyone was a little different, but there were familiar faces right there.\Plus, everyone assumed I was Edolas's Lisanna.\I figured that Edolas's Lisanna had already died.\I could tell from the way the guild treated me.\Lisanna's alive, Nee-chan! response:	When you fell from so high up... I thought you were done for!
context: When I came to in Edolas, I was shocked.\A guild?\Everyone was a little different, but there were familiar faces right there.\Plus, everyone assumed I was Edolas's Lisanna.\I figured that Edolas's Lisanna had already died.\I could tell from the way the guild treated me.\Lisanna's alive, Nee-chan!\When you fell from so high up... I thought you were done for! response:	I didn't understand at the time, but when I think about it now,
