context: I haven't seen you before. response:	What is a woman doing here so early in the morning?
context: If it comes for us now, we're finished.\Crusch-san!\I'll buy us time.\Have everyone regroup!\What?\Rem, sorry, but I need you to accompany me to the most dangerous place here!\Of course. Anywhere.\Wait, Natsuki Subaru! response:	In this fog...
context: Crusch-san!\I'll buy us time.\Have everyone regroup!\What?\Rem, sorry, but I need you to accompany me to the most dangerous place here!\Of course. Anywhere.\Wait, Natsuki Subaru!\In this fog... response:	Anyone who can hear me, listen up!
context: I'll buy us time.\Have everyone regroup!\What?\Rem, sorry, but I need you to accompany me to the most dangerous place here!\Of course. Anywhere.\Wait, Natsuki Subaru!\In this fog...\Anyone who can hear me, listen up! response:	Anyone who can't, stay where you are!
context: Have everyone regroup!\What?\Rem, sorry, but I need you to accompany me to the most dangerous place here!\Of course. Anywhere.\Wait, Natsuki Subaru!\In this fog...\Anyone who can hear me, listen up!\Anyone who can't, stay where you are! response:	I'll Return by Death to
context: What?\Rem, sorry, but I need you to accompany me to the most dangerous place here!\Of course. Anywhere.\Wait, Natsuki Subaru!\In this fog...\Anyone who can hear me, listen up!\Anyone who can't, stay where you are!\I'll Return by Death to response:	I'm back...
context: Rem, sorry, but I need you to accompany me to the most dangerous place here!\Of course. Anywhere.\Wait, Natsuki Subaru!\In this fog...\Anyone who can hear me, listen up!\Anyone who can't, stay where you are!\I'll Return by Death to\I'm back... response:	Well, Rem?
context: Of course. Anywhere.\Wait, Natsuki Subaru!\In this fog...\Anyone who can hear me, listen up!\Anyone who can't, stay where you are!\I'll Return by Death to\I'm back...\Well, Rem? response:	Do I smell like the Witch?
context: Wait, Natsuki Subaru!\In this fog...\Anyone who can hear me, listen up!\Anyone who can't, stay where you are!\I'll Return by Death to\I'm back...\Well, Rem?\Do I smell like the Witch? response:	Yes, you reek!
context: In this fog...\Anyone who can hear me, listen up!\Anyone who can't, stay where you are!\I'll Return by Death to\I'm back...\Well, Rem?\Do I smell like the Witch?\Yes, you reek! response:	That's what I wanted, but did you have to say it that way?
context: Anyone who can hear me, listen up!\Anyone who can't, stay where you are!\I'll Return by Death to\I'm back...\Well, Rem?\Do I smell like the Witch?\Yes, you reek!\That's what I wanted, but did you have to say it that way? response:	Those who can move, get the injured to the foot of the tree!
context: Anyone who can't, stay where you are!\I'll Return by Death to\I'm back...\Well, Rem?\Do I smell like the Witch?\Yes, you reek!\That's what I wanted, but did you have to say it that way?\Those who can move, get the injured to the foot of the tree! response:	We'll have to use a bit of force.
context: I'll Return by Death to\I'm back...\Well, Rem?\Do I smell like the Witch?\Yes, you reek!\That's what I wanted, but did you have to say it that way?\Those who can move, get the injured to the foot of the tree!\We'll have to use a bit of force. response:	With the ulgarm,
context: I'm back...\Well, Rem?\Do I smell like the Witch?\Yes, you reek!\That's what I wanted, but did you have to say it that way?\Those who can move, get the injured to the foot of the tree!\We'll have to use a bit of force.\With the ulgarm, response:	it was effective enough to cover the whole forest.
context: Well, Rem?\Do I smell like the Witch?\Yes, you reek!\That's what I wanted, but did you have to say it that way?\Those who can move, get the injured to the foot of the tree!\We'll have to use a bit of force.\With the ulgarm,\it was effective enough to cover the whole forest. response:	What will it do this time?
context: Do I smell like the Witch?\Yes, you reek!\That's what I wanted, but did you have to say it that way?\Those who can move, get the injured to the foot of the tree!\We'll have to use a bit of force.\With the ulgarm,\it was effective enough to cover the whole forest.\What will it do this time? response:	Honestly, it's an unknown quantity...
context: Yes, you reek!\That's what I wanted, but did you have to say it that way?\Those who can move, get the injured to the foot of the tree!\We'll have to use a bit of force.\With the ulgarm,\it was effective enough to cover the whole forest.\What will it do this time?\Honestly, it's an unknown quantity... response:	No, it's working.
context: That's what I wanted, but did you have to say it that way?\Those who can move, get the injured to the foot of the tree!\We'll have to use a bit of force.\With the ulgarm,\it was effective enough to cover the whole forest.\What will it do this time?\Honestly, it's an unknown quantity...\No, it's working. response:	It's coming.
context: Those who can move, get the injured to the foot of the tree!\We'll have to use a bit of force.\With the ulgarm,\it was effective enough to cover the whole forest.\What will it do this time?\Honestly, it's an unknown quantity...\No, it's working.\It's coming. response:	I-It's coming!
context: We'll have to use a bit of force.\With the ulgarm,\it was effective enough to cover the whole forest.\What will it do this time?\Honestly, it's an unknown quantity...\No, it's working.\It's coming.\I-It's coming! response:	Ul Huma!
context: With the ulgarm,\it was effective enough to cover the whole forest.\What will it do this time?\Honestly, it's an unknown quantity...\No, it's working.\It's coming.\I-It's coming!\Ul Huma! response:	How?
context: it was effective enough to cover the whole forest.\What will it do this time?\Honestly, it's an unknown quantity...\No, it's working.\It's coming.\I-It's coming!\Ul Huma!\How? response:	Sis! Together!
context: What will it do this time?\Honestly, it's an unknown quantity...\No, it's working.\It's coming.\I-It's coming!\Ul Huma!\How?\Sis! Together! response:	Captain!
context: Honestly, it's an unknown quantity...\No, it's working.\It's coming.\I-It's coming!\Ul Huma!\How?\Sis! Together!\Captain! response:	I got this!
context: No, it's working.\It's coming.\I-It's coming!\Ul Huma!\How?\Sis! Together!\Captain!\I got this! response:	Rem!
context: It's coming.\I-It's coming!\Ul Huma!\How?\Sis! Together!\Captain!\I got this!\Rem! response:	Looking away from me? How unfriendly.
context: I-It's coming!\Ul Huma!\How?\Sis! Together!\Captain!\I got this!\Rem!\Looking away from me? How unfriendly. response:	And after I have spent the past fourteen years utterly mad for you!
context: Ul Huma!\How?\Sis! Together!\Captain!\I got this!\Rem!\Looking away from me? How unfriendly.\And after I have spent the past fourteen years utterly mad for you! response:	This is startin' to get fun.
context: How?\Sis! Together!\Captain!\I got this!\Rem!\Looking away from me? How unfriendly.\And after I have spent the past fourteen years utterly mad for you!\This is startin' to get fun. response:	It's more sturdy than expected, but not all that strong!
context: Sis! Together!\Captain!\I got this!\Rem!\Looking away from me? How unfriendly.\And after I have spent the past fourteen years utterly mad for you!\This is startin' to get fun.\It's more sturdy than expected, but not all that strong! response:	No, it's putting up less of a fight than it should.
context: Captain!\I got this!\Rem!\Looking away from me? How unfriendly.\And after I have spent the past fourteen years utterly mad for you!\This is startin' to get fun.\It's more sturdy than expected, but not all that strong!\No, it's putting up less of a fight than it should. response:	I find it hard to believe this mabeast
context: I got this!\Rem!\Looking away from me? How unfriendly.\And after I have spent the past fourteen years utterly mad for you!\This is startin' to get fun.\It's more sturdy than expected, but not all that strong!\No, it's putting up less of a fight than it should.\I find it hard to believe this mabeast response:	got the better of my wife, a Master Swordsman.
context: Rem!\Looking away from me? How unfriendly.\And after I have spent the past fourteen years utterly mad for you!\This is startin' to get fun.\It's more sturdy than expected, but not all that strong!\No, it's putting up less of a fight than it should.\I find it hard to believe this mabeast\got the better of my wife, a Master Swordsman. response:	The fact that we got the jump on it,
context: Looking away from me? How unfriendly.\And after I have spent the past fourteen years utterly mad for you!\This is startin' to get fun.\It's more sturdy than expected, but not all that strong!\No, it's putting up less of a fight than it should.\I find it hard to believe this mabeast\got the better of my wife, a Master Swordsman.\The fact that we got the jump on it, response:	and that it didn't use its fog to divide our forces to start with
context: And after I have spent the past fourteen years utterly mad for you!\This is startin' to get fun.\It's more sturdy than expected, but not all that strong!\No, it's putting up less of a fight than it should.\I find it hard to believe this mabeast\got the better of my wife, a Master Swordsman.\The fact that we got the jump on it,\and that it didn't use its fog to divide our forces to start with response:	I'll take one more thing before I leave!
context: This is startin' to get fun.\It's more sturdy than expected, but not all that strong!\No, it's putting up less of a fight than it should.\I find it hard to believe this mabeast\got the better of my wife, a Master Swordsman.\The fact that we got the jump on it,\and that it didn't use its fog to divide our forces to start with\I'll take one more thing before I leave! response:	Wilhelm-san!
context: It's more sturdy than expected, but not all that strong!\No, it's putting up less of a fight than it should.\I find it hard to believe this mabeast\got the better of my wife, a Master Swordsman.\The fact that we got the jump on it,\and that it didn't use its fog to divide our forces to start with\I'll take one more thing before I leave!\Wilhelm-san! response:	Be alert!
context: No, it's putting up less of a fight than it should.\I find it hard to believe this mabeast\got the better of my wife, a Master Swordsman.\The fact that we got the jump on it,\and that it didn't use its fog to divide our forces to start with\I'll take one more thing before I leave!\Wilhelm-san!\Be alert! response:	We don't know whence it will come.
context: I find it hard to believe this mabeast\got the better of my wife, a Master Swordsman.\The fact that we got the jump on it,\and that it didn't use its fog to divide our forces to start with\I'll take one more thing before I leave!\Wilhelm-san!\Be alert!\We don't know whence it will come. response:	What's up?
context: got the better of my wife, a Master Swordsman.\The fact that we got the jump on it,\and that it didn't use its fog to divide our forces to start with\I'll take one more thing before I leave!\Wilhelm-san!\Be alert!\We don't know whence it will come.\What's up? response:	It ain't gonna follow?
context: The fact that we got the jump on it,\and that it didn't use its fog to divide our forces to start with\I'll take one more thing before I leave!\Wilhelm-san!\Be alert!\We don't know whence it will come.\What's up?\It ain't gonna follow? response:	It comes.
context: and that it didn't use its fog to divide our forces to start with\I'll take one more thing before I leave!\Wilhelm-san!\Be alert!\We don't know whence it will come.\What's up?\It ain't gonna follow?\It comes. response:	The fog's coming down!
context: I'll take one more thing before I leave!\Wilhelm-san!\Be alert!\We don't know whence it will come.\What's up?\It ain't gonna follow?\It comes.\The fog's coming down! response:	Run!
context: Wilhelm-san!\Be alert!\We don't know whence it will come.\What's up?\It ain't gonna follow?\It comes.\The fog's coming down!\Run! response:	Hey, have you grown to like flowers?
context: Be alert!\We don't know whence it will come.\What's up?\It ain't gonna follow?\It comes.\The fog's coming down!\Run!\Hey, have you grown to like flowers? response:	What is it?
context: We don't know whence it will come.\What's up?\It ain't gonna follow?\It comes.\The fog's coming down!\Run!\Hey, have you grown to like flowers?\What is it? response:	There was talk of conferral,
context: What's up?\It ain't gonna follow?\It comes.\The fog's coming down!\Run!\Hey, have you grown to like flowers?\What is it?\There was talk of conferral, response:	and I became a knight.
context: It ain't gonna follow?\It comes.\The fog's coming down!\Run!\Hey, have you grown to like flowers?\What is it?\There was talk of conferral,\and I became a knight. response:	Well, congratulations.
context: It comes.\The fog's coming down!\Run!\Hey, have you grown to like flowers?\What is it?\There was talk of conferral,\and I became a knight.\Well, congratulations. response:	Then you're one step closer to your dream.
context: The fog's coming down!\Run!\Hey, have you grown to like flowers?\What is it?\There was talk of conferral,\and I became a knight.\Well, congratulations.\Then you're one step closer to your dream. response:	My dream?
context: Run!\Hey, have you grown to like flowers?\What is it?\There was talk of conferral,\and I became a knight.\Well, congratulations.\Then you're one step closer to your dream.\My dream? response:	Don't you wield a sword to protect?
context: Hey, have you grown to like flowers?\What is it?\There was talk of conferral,\and I became a knight.\Well, congratulations.\Then you're one step closer to your dream.\My dream?\Don't you wield a sword to protect? response:	A knight is someone who protects another.
context: What is it?\There was talk of conferral,\and I became a knight.\Well, congratulations.\Then you're one step closer to your dream.\My dream?\Don't you wield a sword to protect?\A knight is someone who protects another. response:	I don't want... to die...
context: There was talk of conferral,\and I became a knight.\Well, congratulations.\Then you're one step closer to your dream.\My dream?\Don't you wield a sword to protect?\A knight is someone who protects another.\I don't want... to die... response:	It's humiliating!
context: and I became a knight.\Well, congratulations.\Then you're one step closer to your dream.\My dream?\Don't you wield a sword to protect?\A knight is someone who protects another.\I don't want... to die...\It's humiliating! response:	I see.
context: Well, congratulations.\Then you're one step closer to your dream.\My dream?\Don't you wield a sword to protect?\A knight is someone who protects another.\I don't want... to die...\It's humiliating!\I see. response:	Were you laughing at me?!
context: Then you're one step closer to your dream.\My dream?\Don't you wield a sword to protect?\A knight is someone who protects another.\I don't want... to die...\It's humiliating!\I see.\Were you laughing at me?! response:	Answer me, Theresia!
context: My dream?\Don't you wield a sword to protect?\A knight is someone who protects another.\I don't want... to die...\It's humiliating!\I see.\Were you laughing at me?!\Answer me, Theresia! response:	No...
context: Don't you wield a sword to protect?\A knight is someone who protects another.\I don't want... to die...\It's humiliating!\I see.\Were you laughing at me?!\Answer me, Theresia!\No... response:	Master Swordsman Theresia van Astrea!
context: A knight is someone who protects another.\I don't want... to die...\It's humiliating!\I see.\Were you laughing at me?!\Answer me, Theresia!\No...\Master Swordsman Theresia van Astrea! response:	I won't... come here again.
context: I don't want... to die...\It's humiliating!\I see.\Were you laughing at me?!\Answer me, Theresia!\No...\Master Swordsman Theresia van Astrea!\I won't... come here again. response:	With a face like that,
context: It's humiliating!\I see.\Were you laughing at me?!\Answer me, Theresia!\No...\Master Swordsman Theresia van Astrea!\I won't... come here again.\With a face like that, response:	you shouldn't be holding a sword!
context: I see.\Were you laughing at me?!\Answer me, Theresia!\No...\Master Swordsman Theresia van Astrea!\I won't... come here again.\With a face like that,\you shouldn't be holding a sword! response:	I am the Master Swordsman.
context: Were you laughing at me?!\Answer me, Theresia!\No...\Master Swordsman Theresia van Astrea!\I won't... come here again.\With a face like that,\you shouldn't be holding a sword!\I am the Master Swordsman. response:	I didn't understand the reason why,
context: Answer me, Theresia!\No...\Master Swordsman Theresia van Astrea!\I won't... come here again.\With a face like that,\you shouldn't be holding a sword!\I am the Master Swordsman.\I didn't understand the reason why, response:	but I do now.
context: No...\Master Swordsman Theresia van Astrea!\I won't... come here again.\With a face like that,\you shouldn't be holding a sword!\I am the Master Swordsman.\I didn't understand the reason why,\but I do now. response:	The reason...
context: Master Swordsman Theresia van Astrea!\I won't... come here again.\With a face like that,\you shouldn't be holding a sword!\I am the Master Swordsman.\I didn't understand the reason why,\but I do now.\The reason... response:	Wielding a sword to protect someone.
context: I won't... come here again.\With a face like that,\you shouldn't be holding a sword!\I am the Master Swordsman.\I didn't understand the reason why,\but I do now.\The reason...\Wielding a sword to protect someone. response:	That sounds nice to me, too.
context: With a face like that,\you shouldn't be holding a sword!\I am the Master Swordsman.\I didn't understand the reason why,\but I do now.\The reason...\Wielding a sword to protect someone.\That sounds nice to me, too. response:	Wait, Theresia...
context: you shouldn't be holding a sword!\I am the Master Swordsman.\I didn't understand the reason why,\but I do now.\The reason...\Wielding a sword to protect someone.\That sounds nice to me, too.\Wait, Theresia... response:	I will take your sword from you!
context: I am the Master Swordsman.\I didn't understand the reason why,\but I do now.\The reason...\Wielding a sword to protect someone.\That sounds nice to me, too.\Wait, Theresia...\I will take your sword from you! response:	I don't care about the role bestowed upon the Master Swordsman!
context: I didn't understand the reason why,\but I do now.\The reason...\Wielding a sword to protect someone.\That sounds nice to me, too.\Wait, Theresia...\I will take your sword from you!\I don't care about the role bestowed upon the Master Swordsman! response:	Wielding a sword...
context: but I do now.\The reason...\Wielding a sword to protect someone.\That sounds nice to me, too.\Wait, Theresia...\I will take your sword from you!\I don't care about the role bestowed upon the Master Swordsman!\Wielding a sword... response:	The beauty of a steel blade... Don't look down on them,
context: The reason...\Wielding a sword to protect someone.\That sounds nice to me, too.\Wait, Theresia...\I will take your sword from you!\I don't care about the role bestowed upon the Master Swordsman!\Wielding a sword...\The beauty of a steel blade... Don't look down on them, response:	Master Swordsman!
context: Wielding a sword to protect someone.\That sounds nice to me, too.\Wait, Theresia...\I will take your sword from you!\I don't care about the role bestowed upon the Master Swordsman!\Wielding a sword...\The beauty of a steel blade... Don't look down on them,\Master Swordsman! response:	We have trouble!
context: That sounds nice to me, too.\Wait, Theresia...\I will take your sword from you!\I don't care about the role bestowed upon the Master Swordsman!\Wielding a sword...\The beauty of a steel blade... Don't look down on them,\Master Swordsman!\We have trouble! response:	You're kidding me...
context: Wait, Theresia...\I will take your sword from you!\I don't care about the role bestowed upon the Master Swordsman!\Wielding a sword...\The beauty of a steel blade... Don't look down on them,\Master Swordsman!\We have trouble!\You're kidding me... response:	Wilhelm van Astrea
