context: Ladies and gentlemen, good evening. response:	The girl sleeping in the house of the poisoner...
context: Well, whatever you might say about it, it looks like you really do care about Albert.\Oh, geez... Is it that obvious?\No one can hide it when they're pining away for someone.\Maybe the reason your piano performance that night at Auteuil was so great...\No way...\The feelings you have for someone manifest themselves in your art.\Isn't that right?\Yeah, he wouldn't be here... response:	After all, we're still fighting...
context: Oh, geez... Is it that obvious?\No one can hide it when they're pining away for someone.\Maybe the reason your piano performance that night at Auteuil was so great...\No way...\The feelings you have for someone manifest themselves in your art.\Isn't that right?\Yeah, he wouldn't be here...\After all, we're still fighting... response:	Yeah, he wouldn't be here...
context: No one can hide it when they're pining away for someone.\Maybe the reason your piano performance that night at Auteuil was so great...\No way...\The feelings you have for someone manifest themselves in your art.\Isn't that right?\Yeah, he wouldn't be here...\After all, we're still fighting...\Yeah, he wouldn't be here... response:	What's keeping her? Isn't Eugenie ready yet?!
context: Maybe the reason your piano performance that night at Auteuil was so great...\No way...\The feelings you have for someone manifest themselves in your art.\Isn't that right?\Yeah, he wouldn't be here...\After all, we're still fighting...\Yeah, he wouldn't be here...\What's keeping her? Isn't Eugenie ready yet?! response:	She is still getting ready.
context: No way...\The feelings you have for someone manifest themselves in your art.\Isn't that right?\Yeah, he wouldn't be here...\After all, we're still fighting...\Yeah, he wouldn't be here...\What's keeping her? Isn't Eugenie ready yet?!\She is still getting ready. response:	Are you sure you're feeling well, Mademoiselle?
context: The feelings you have for someone manifest themselves in your art.\Isn't that right?\Yeah, he wouldn't be here...\After all, we're still fighting...\Yeah, he wouldn't be here...\What's keeping her? Isn't Eugenie ready yet?!\She is still getting ready.\Are you sure you're feeling well, Mademoiselle? response:	I'm fine. This is the opera house performance that I've always dreamed of.
context: Isn't that right?\Yeah, he wouldn't be here...\After all, we're still fighting...\Yeah, he wouldn't be here...\What's keeping her? Isn't Eugenie ready yet?!\She is still getting ready.\Are you sure you're feeling well, Mademoiselle?\I'm fine. This is the opera house performance that I've always dreamed of. response:	It's the strangest thing.
context: Yeah, he wouldn't be here...\After all, we're still fighting...\Yeah, he wouldn't be here...\What's keeping her? Isn't Eugenie ready yet?!\She is still getting ready.\Are you sure you're feeling well, Mademoiselle?\I'm fine. This is the opera house performance that I've always dreamed of.\It's the strangest thing. response:	Unlike the way it is outside the city walls,
context: After all, we're still fighting...\Yeah, he wouldn't be here...\What's keeping her? Isn't Eugenie ready yet?!\She is still getting ready.\Are you sure you're feeling well, Mademoiselle?\I'm fine. This is the opera house performance that I've always dreamed of.\It's the strangest thing.\Unlike the way it is outside the city walls, response:	What is it?
context: Yeah, he wouldn't be here...\What's keeping her? Isn't Eugenie ready yet?!\She is still getting ready.\Are you sure you're feeling well, Mademoiselle?\I'm fine. This is the opera house performance that I've always dreamed of.\It's the strangest thing.\Unlike the way it is outside the city walls,\What is it? response:	Albert, you should always listen to your feelings.
context: What's keeping her? Isn't Eugenie ready yet?!\She is still getting ready.\Are you sure you're feeling well, Mademoiselle?\I'm fine. This is the opera house performance that I've always dreamed of.\It's the strangest thing.\Unlike the way it is outside the city walls,\What is it?\Albert, you should always listen to your feelings. response:	You can't lie to yourself about how you really feel.
context: She is still getting ready.\Are you sure you're feeling well, Mademoiselle?\I'm fine. This is the opera house performance that I've always dreamed of.\It's the strangest thing.\Unlike the way it is outside the city walls,\What is it?\Albert, you should always listen to your feelings.\You can't lie to yourself about how you really feel. response:	Have you always been true to yourself, Mother?
context: Are you sure you're feeling well, Mademoiselle?\I'm fine. This is the opera house performance that I've always dreamed of.\It's the strangest thing.\Unlike the way it is outside the city walls,\What is it?\Albert, you should always listen to your feelings.\You can't lie to yourself about how you really feel.\Have you always been true to yourself, Mother? response:	This is Paris.
context: I'm fine. This is the opera house performance that I've always dreamed of.\It's the strangest thing.\Unlike the way it is outside the city walls,\What is it?\Albert, you should always listen to your feelings.\You can't lie to yourself about how you really feel.\Have you always been true to yourself, Mother?\This is Paris. response:	Perhaps it truly is a paradise where you can find...
context: It's the strangest thing.\Unlike the way it is outside the city walls,\What is it?\Albert, you should always listen to your feelings.\You can't lie to yourself about how you really feel.\Have you always been true to yourself, Mother?\This is Paris.\Perhaps it truly is a paradise where you can find... response:	But if you lose your courage, you'll simply be swept along on the currents.
context: Unlike the way it is outside the city walls,\What is it?\Albert, you should always listen to your feelings.\You can't lie to yourself about how you really feel.\Have you always been true to yourself, Mother?\This is Paris.\Perhaps it truly is a paradise where you can find...\But if you lose your courage, you'll simply be swept along on the currents. response:	You're not going to show up, Albert?
context: What is it?\Albert, you should always listen to your feelings.\You can't lie to yourself about how you really feel.\Have you always been true to yourself, Mother?\This is Paris.\Perhaps it truly is a paradise where you can find...\But if you lose your courage, you'll simply be swept along on the currents.\You're not going to show up, Albert? response:	Are you looking for someone?
context: Albert, you should always listen to your feelings.\You can't lie to yourself about how you really feel.\Have you always been true to yourself, Mother?\This is Paris.\Perhaps it truly is a paradise where you can find...\But if you lose your courage, you'll simply be swept along on the currents.\You're not going to show up, Albert?\Are you looking for someone? response:	Lucien!
context: You can't lie to yourself about how you really feel.\Have you always been true to yourself, Mother?\This is Paris.\Perhaps it truly is a paradise where you can find...\But if you lose your courage, you'll simply be swept along on the currents.\You're not going to show up, Albert?\Are you looking for someone?\Lucien! response:	Oh, I get it. Mother invited you, didn't she?
context: Have you always been true to yourself, Mother?\This is Paris.\Perhaps it truly is a paradise where you can find...\But if you lose your courage, you'll simply be swept along on the currents.\You're not going to show up, Albert?\Are you looking for someone?\Lucien!\Oh, I get it. Mother invited you, didn't she? response:	Thanks to her kind influence.
context: This is Paris.\Perhaps it truly is a paradise where you can find...\But if you lose your courage, you'll simply be swept along on the currents.\You're not going to show up, Albert?\Are you looking for someone?\Lucien!\Oh, I get it. Mother invited you, didn't she?\Thanks to her kind influence. response:	I'm dedicating my performance tonight to lovers.
context: Perhaps it truly is a paradise where you can find...\But if you lose your courage, you'll simply be swept along on the currents.\You're not going to show up, Albert?\Are you looking for someone?\Lucien!\Oh, I get it. Mother invited you, didn't she?\Thanks to her kind influence.\I'm dedicating my performance tonight to lovers. response:	I hope you two enjoy it.
context: But if you lose your courage, you'll simply be swept along on the currents.\You're not going to show up, Albert?\Are you looking for someone?\Lucien!\Oh, I get it. Mother invited you, didn't she?\Thanks to her kind influence.\I'm dedicating my performance tonight to lovers.\I hope you two enjoy it. response:	No. For tonight, you should play for yourself and for the person that you love.
context: You're not going to show up, Albert?\Are you looking for someone?\Lucien!\Oh, I get it. Mother invited you, didn't she?\Thanks to her kind influence.\I'm dedicating my performance tonight to lovers.\I hope you two enjoy it.\No. For tonight, you should play for yourself and for the person that you love. response:	Pianists are allowed to do that.
context: Are you looking for someone?\Lucien!\Oh, I get it. Mother invited you, didn't she?\Thanks to her kind influence.\I'm dedicating my performance tonight to lovers.\I hope you two enjoy it.\No. For tonight, you should play for yourself and for the person that you love.\Pianists are allowed to do that. response:	That's easy for you to say...
context: Lucien!\Oh, I get it. Mother invited you, didn't she?\Thanks to her kind influence.\I'm dedicating my performance tonight to lovers.\I hope you two enjoy it.\No. For tonight, you should play for yourself and for the person that you love.\Pianists are allowed to do that.\That's easy for you to say... response:	I suppose it is.
context: Oh, I get it. Mother invited you, didn't she?\Thanks to her kind influence.\I'm dedicating my performance tonight to lovers.\I hope you two enjoy it.\No. For tonight, you should play for yourself and for the person that you love.\Pianists are allowed to do that.\That's easy for you to say...\I suppose it is. response:	Albert, my boy, I'm sorry, but the hall is already filled with invited guests.
context: Thanks to her kind influence.\I'm dedicating my performance tonight to lovers.\I hope you two enjoy it.\No. For tonight, you should play for yourself and for the person that you love.\Pianists are allowed to do that.\That's easy for you to say...\I suppose it is.\Albert, my boy, I'm sorry, but the hall is already filled with invited guests. response:	I have an invitation. Eugenie gave it to me.
context: I'm dedicating my performance tonight to lovers.\I hope you two enjoy it.\No. For tonight, you should play for yourself and for the person that you love.\Pianists are allowed to do that.\That's easy for you to say...\I suppose it is.\Albert, my boy, I'm sorry, but the hall is already filled with invited guests.\I have an invitation. Eugenie gave it to me. response:	The past is the past. Let's pretend it never happened.
context: I hope you two enjoy it.\No. For tonight, you should play for yourself and for the person that you love.\Pianists are allowed to do that.\That's easy for you to say...\I suppose it is.\Albert, my boy, I'm sorry, but the hall is already filled with invited guests.\I have an invitation. Eugenie gave it to me.\The past is the past. Let's pretend it never happened. response:	I was invited by Eugenie! You have no right to turn me away!
context: No. For tonight, you should play for yourself and for the person that you love.\Pianists are allowed to do that.\That's easy for you to say...\I suppose it is.\Albert, my boy, I'm sorry, but the hall is already filled with invited guests.\I have an invitation. Eugenie gave it to me.\The past is the past. Let's pretend it never happened.\I was invited by Eugenie! You have no right to turn me away! response:	Did you get that hot temper of yours from your father?
context: Pianists are allowed to do that.\That's easy for you to say...\I suppose it is.\Albert, my boy, I'm sorry, but the hall is already filled with invited guests.\I have an invitation. Eugenie gave it to me.\The past is the past. Let's pretend it never happened.\I was invited by Eugenie! You have no right to turn me away!\Did you get that hot temper of yours from your father? response:	This has nothing to do with my father! I'm my own man!
context: That's easy for you to say...\I suppose it is.\Albert, my boy, I'm sorry, but the hall is already filled with invited guests.\I have an invitation. Eugenie gave it to me.\The past is the past. Let's pretend it never happened.\I was invited by Eugenie! You have no right to turn me away!\Did you get that hot temper of yours from your father?\This has nothing to do with my father! I'm my own man! response:	You're going to let me pass!
context: I suppose it is.\Albert, my boy, I'm sorry, but the hall is already filled with invited guests.\I have an invitation. Eugenie gave it to me.\The past is the past. Let's pretend it never happened.\I was invited by Eugenie! You have no right to turn me away!\Did you get that hot temper of yours from your father?\This has nothing to do with my father! I'm my own man!\You're going to let me pass! response:	And just what are you going to do about it?
context: Albert, my boy, I'm sorry, but the hall is already filled with invited guests.\I have an invitation. Eugenie gave it to me.\The past is the past. Let's pretend it never happened.\I was invited by Eugenie! You have no right to turn me away!\Did you get that hot temper of yours from your father?\This has nothing to do with my father! I'm my own man!\You're going to let me pass!\And just what are you going to do about it? response:	You have no power. You have no money.
context: I have an invitation. Eugenie gave it to me.\The past is the past. Let's pretend it never happened.\I was invited by Eugenie! You have no right to turn me away!\Did you get that hot temper of yours from your father?\This has nothing to do with my father! I'm my own man!\You're going to let me pass!\And just what are you going to do about it?\You have no power. You have no money. response:	You're nothing but a spoiled brat!
context: The past is the past. Let's pretend it never happened.\I was invited by Eugenie! You have no right to turn me away!\Did you get that hot temper of yours from your father?\This has nothing to do with my father! I'm my own man!\You're going to let me pass!\And just what are you going to do about it?\You have no power. You have no money.\You're nothing but a spoiled brat! response:	Shut up!
context: I was invited by Eugenie! You have no right to turn me away!\Did you get that hot temper of yours from your father?\This has nothing to do with my father! I'm my own man!\You're going to let me pass!\And just what are you going to do about it?\You have no power. You have no money.\You're nothing but a spoiled brat!\Shut up! response:	Maybe so, but I still... Damn it! Let me go!
context: Did you get that hot temper of yours from your father?\This has nothing to do with my father! I'm my own man!\You're going to let me pass!\And just what are you going to do about it?\You have no power. You have no money.\You're nothing but a spoiled brat!\Shut up!\Maybe so, but I still... Damn it! Let me go! response:	What's this commotion? This is supposed to be an auspicious occasion.
context: This has nothing to do with my father! I'm my own man!\You're going to let me pass!\And just what are you going to do about it?\You have no power. You have no money.\You're nothing but a spoiled brat!\Shut up!\Maybe so, but I still... Damn it! Let me go!\What's this commotion? This is supposed to be an auspicious occasion. response:	Oh, you were invited, too?
context: You're going to let me pass!\And just what are you going to do about it?\You have no power. You have no money.\You're nothing but a spoiled brat!\Shut up!\Maybe so, but I still... Damn it! Let me go!\What's this commotion? This is supposed to be an auspicious occasion.\Oh, you were invited, too? response:	Yes, by Madame.
context: And just what are you going to do about it?\You have no power. You have no money.\You're nothing but a spoiled brat!\Shut up!\Maybe so, but I still... Damn it! Let me go!\What's this commotion? This is supposed to be an auspicious occasion.\Oh, you were invited, too?\Yes, by Madame. response:	My wife seems to be feeling a little out of sorts. Would you mind keeping her company for me?
context: You have no power. You have no money.\You're nothing but a spoiled brat!\Shut up!\Maybe so, but I still... Damn it! Let me go!\What's this commotion? This is supposed to be an auspicious occasion.\Oh, you were invited, too?\Yes, by Madame.\My wife seems to be feeling a little out of sorts. Would you mind keeping her company for me? response:	I'm sorry, but I'm not in the mood today. Excuse me.
context: You're nothing but a spoiled brat!\Shut up!\Maybe so, but I still... Damn it! Let me go!\What's this commotion? This is supposed to be an auspicious occasion.\Oh, you were invited, too?\Yes, by Madame.\My wife seems to be feeling a little out of sorts. Would you mind keeping her company for me?\I'm sorry, but I'm not in the mood today. Excuse me. response:	Cut it out, Lucien!
context: Shut up!\Maybe so, but I still... Damn it! Let me go!\What's this commotion? This is supposed to be an auspicious occasion.\Oh, you were invited, too?\Yes, by Madame.\My wife seems to be feeling a little out of sorts. Would you mind keeping her company for me?\I'm sorry, but I'm not in the mood today. Excuse me.\Cut it out, Lucien! response:	Use your head, then! You'll never get in through the front door.
context: Maybe so, but I still... Damn it! Let me go!\What's this commotion? This is supposed to be an auspicious occasion.\Oh, you were invited, too?\Yes, by Madame.\My wife seems to be feeling a little out of sorts. Would you mind keeping her company for me?\I'm sorry, but I'm not in the mood today. Excuse me.\Cut it out, Lucien!\Use your head, then! You'll never get in through the front door. response:	Crap...
context: What's this commotion? This is supposed to be an auspicious occasion.\Oh, you were invited, too?\Yes, by Madame.\My wife seems to be feeling a little out of sorts. Would you mind keeping her company for me?\I'm sorry, but I'm not in the mood today. Excuse me.\Cut it out, Lucien!\Use your head, then! You'll never get in through the front door.\Crap... response:	I don't owe you any favors or anything,
context: Oh, you were invited, too?\Yes, by Madame.\My wife seems to be feeling a little out of sorts. Would you mind keeping her company for me?\I'm sorry, but I'm not in the mood today. Excuse me.\Cut it out, Lucien!\Use your head, then! You'll never get in through the front door.\Crap...\I don't owe you any favors or anything, response:	Are you really sleeping with Eugenie's mother?
context: Yes, by Madame.\My wife seems to be feeling a little out of sorts. Would you mind keeping her company for me?\I'm sorry, but I'm not in the mood today. Excuse me.\Cut it out, Lucien!\Use your head, then! You'll never get in through the front door.\Crap...\I don't owe you any favors or anything,\Are you really sleeping with Eugenie's mother? response:	It's all part of my job.
context: My wife seems to be feeling a little out of sorts. Would you mind keeping her company for me?\I'm sorry, but I'm not in the mood today. Excuse me.\Cut it out, Lucien!\Use your head, then! You'll never get in through the front door.\Crap...\I don't owe you any favors or anything,\Are you really sleeping with Eugenie's mother?\It's all part of my job. response:	You'll never understand your whole life, and you don't have any need to.
context: I'm sorry, but I'm not in the mood today. Excuse me.\Cut it out, Lucien!\Use your head, then! You'll never get in through the front door.\Crap...\I don't owe you any favors or anything,\Are you really sleeping with Eugenie's mother?\It's all part of my job.\You'll never understand your whole life, and you don't have any need to. response:	Anyway, be there for her and listen to her performance.
context: Cut it out, Lucien!\Use your head, then! You'll never get in through the front door.\Crap...\I don't owe you any favors or anything,\Are you really sleeping with Eugenie's mother?\It's all part of my job.\You'll never understand your whole life, and you don't have any need to.\Anyway, be there for her and listen to her performance. response:	You love Eugenie, don't you?
context: Use your head, then! You'll never get in through the front door.\Crap...\I don't owe you any favors or anything,\Are you really sleeping with Eugenie's mother?\It's all part of my job.\You'll never understand your whole life, and you don't have any need to.\Anyway, be there for her and listen to her performance.\You love Eugenie, don't you? response:	Let's go.
context: Crap...\I don't owe you any favors or anything,\Are you really sleeping with Eugenie's mother?\It's all part of my job.\You'll never understand your whole life, and you don't have any need to.\Anyway, be there for her and listen to her performance.\You love Eugenie, don't you?\Let's go. response:	Albert? Is that you?
context: I don't owe you any favors or anything,\Are you really sleeping with Eugenie's mother?\It's all part of my job.\You'll never understand your whole life, and you don't have any need to.\Anyway, be there for her and listen to her performance.\You love Eugenie, don't you?\Let's go.\Albert? Is that you? response:	You're a little late, don't you think?!
context: Are you really sleeping with Eugenie's mother?\It's all part of my job.\You'll never understand your whole life, and you don't have any need to.\Anyway, be there for her and listen to her performance.\You love Eugenie, don't you?\Let's go.\Albert? Is that you?\You're a little late, don't you think?! response:	I was right here the whole time. I had a little trouble getting in.
context: It's all part of my job.\You'll never understand your whole life, and you don't have any need to.\Anyway, be there for her and listen to her performance.\You love Eugenie, don't you?\Let's go.\Albert? Is that you?\You're a little late, don't you think?!\I was right here the whole time. I had a little trouble getting in. response:	You don't mean my father, do you?
context: You'll never understand your whole life, and you don't have any need to.\Anyway, be there for her and listen to her performance.\You love Eugenie, don't you?\Let's go.\Albert? Is that you?\You're a little late, don't you think?!\I was right here the whole time. I had a little trouble getting in.\You don't mean my father, do you? response:	It's all right, I heard you play just fine.
context: Anyway, be there for her and listen to her performance.\You love Eugenie, don't you?\Let's go.\Albert? Is that you?\You're a little late, don't you think?!\I was right here the whole time. I had a little trouble getting in.\You don't mean my father, do you?\It's all right, I heard you play just fine. response:	It was really great.
context: You love Eugenie, don't you?\Let's go.\Albert? Is that you?\You're a little late, don't you think?!\I was right here the whole time. I had a little trouble getting in.\You don't mean my father, do you?\It's all right, I heard you play just fine.\It was really great. response:	You were radiant out there. My heart was pounding!
context: Let's go.\Albert? Is that you?\You're a little late, don't you think?!\I was right here the whole time. I had a little trouble getting in.\You don't mean my father, do you?\It's all right, I heard you play just fine.\It was really great.\You were radiant out there. My heart was pounding! response:	Idiot. If I'd known you were here, I would've been able to play even better.
context: Albert? Is that you?\You're a little late, don't you think?!\I was right here the whole time. I had a little trouble getting in.\You don't mean my father, do you?\It's all right, I heard you play just fine.\It was really great.\You were radiant out there. My heart was pounding!\Idiot. If I'd known you were here, I would've been able to play even better. response:	I would've been playing for you.
context: You're a little late, don't you think?!\I was right here the whole time. I had a little trouble getting in.\You don't mean my father, do you?\It's all right, I heard you play just fine.\It was really great.\You were radiant out there. My heart was pounding!\Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you. response:	Eugenie...
context: I was right here the whole time. I had a little trouble getting in.\You don't mean my father, do you?\It's all right, I heard you play just fine.\It was really great.\You were radiant out there. My heart was pounding!\Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you.\Eugenie... response:	I'm sorry. I know I'm not your fiancee anymore.
context: You don't mean my father, do you?\It's all right, I heard you play just fine.\It was really great.\You were radiant out there. My heart was pounding!\Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you.\Eugenie...\I'm sorry. I know I'm not your fiancee anymore. response:	That doesn't matter. I don't care.
context: It's all right, I heard you play just fine.\It was really great.\You were radiant out there. My heart was pounding!\Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you.\Eugenie...\I'm sorry. I know I'm not your fiancee anymore.\That doesn't matter. I don't care. response:	Oh! Here.
context: It was really great.\You were radiant out there. My heart was pounding!\Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you.\Eugenie...\I'm sorry. I know I'm not your fiancee anymore.\That doesn't matter. I don't care.\Oh! Here. response:	What?
context: You were radiant out there. My heart was pounding!\Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you.\Eugenie...\I'm sorry. I know I'm not your fiancee anymore.\That doesn't matter. I don't care.\Oh! Here.\What? response:	You like these, don't you?
context: Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you.\Eugenie...\I'm sorry. I know I'm not your fiancee anymore.\That doesn't matter. I don't care.\Oh! Here.\What?\You like these, don't you? response:	Well, sure, but you're supposed to bring a bouquet of flowers.
context: I would've been playing for you.\Eugenie...\I'm sorry. I know I'm not your fiancee anymore.\That doesn't matter. I don't care.\Oh! Here.\What?\You like these, don't you?\Well, sure, but you're supposed to bring a bouquet of flowers. response:	Oh, right. I guess flowers would've been better...
context: Eugenie...\I'm sorry. I know I'm not your fiancee anymore.\That doesn't matter. I don't care.\Oh! Here.\What?\You like these, don't you?\Well, sure, but you're supposed to bring a bouquet of flowers.\Oh, right. I guess flowers would've been better... response:	You're such a fool. You haven't changed one bit since we were kids.
context: I'm sorry. I know I'm not your fiancee anymore.\That doesn't matter. I don't care.\Oh! Here.\What?\You like these, don't you?\Well, sure, but you're supposed to bring a bouquet of flowers.\Oh, right. I guess flowers would've been better...\You're such a fool. You haven't changed one bit since we were kids. response:	Out in the meadow, I wanted you to pick flowers for me,
context: That doesn't matter. I don't care.\Oh! Here.\What?\You like these, don't you?\Well, sure, but you're supposed to bring a bouquet of flowers.\Oh, right. I guess flowers would've been better...\You're such a fool. You haven't changed one bit since we were kids.\Out in the meadow, I wanted you to pick flowers for me, response:	They were delicious, though.
context: Oh! Here.\What?\You like these, don't you?\Well, sure, but you're supposed to bring a bouquet of flowers.\Oh, right. I guess flowers would've been better...\You're such a fool. You haven't changed one bit since we were kids.\Out in the meadow, I wanted you to pick flowers for me,\They were delicious, though. response:	Mademoiselle Eugenie!
context: What?\You like these, don't you?\Well, sure, but you're supposed to bring a bouquet of flowers.\Oh, right. I guess flowers would've been better...\You're such a fool. You haven't changed one bit since we were kids.\Out in the meadow, I wanted you to pick flowers for me,\They were delicious, though.\Mademoiselle Eugenie! response:	It won't do to keep your audience waiting.
context: You like these, don't you?\Well, sure, but you're supposed to bring a bouquet of flowers.\Oh, right. I guess flowers would've been better...\You're such a fool. You haven't changed one bit since we were kids.\Out in the meadow, I wanted you to pick flowers for me,\They were delicious, though.\Mademoiselle Eugenie!\It won't do to keep your audience waiting. response:	You!
context: Well, sure, but you're supposed to bring a bouquet of flowers.\Oh, right. I guess flowers would've been better...\You're such a fool. You haven't changed one bit since we were kids.\Out in the meadow, I wanted you to pick flowers for me,\They were delicious, though.\Mademoiselle Eugenie!\It won't do to keep your audience waiting.\You! response:	Wait, Albert!
context: Oh, right. I guess flowers would've been better...\You're such a fool. You haven't changed one bit since we were kids.\Out in the meadow, I wanted you to pick flowers for me,\They were delicious, though.\Mademoiselle Eugenie!\It won't do to keep your audience waiting.\You!\Wait, Albert! response:	Listen to one more song. I'll be playing it just for you.
context: You're such a fool. You haven't changed one bit since we were kids.\Out in the meadow, I wanted you to pick flowers for me,\They were delicious, though.\Mademoiselle Eugenie!\It won't do to keep your audience waiting.\You!\Wait, Albert!\Listen to one more song. I'll be playing it just for you. response:	It looks like you've been shut out.
context: Out in the meadow, I wanted you to pick flowers for me,\They were delicious, though.\Mademoiselle Eugenie!\It won't do to keep your audience waiting.\You!\Wait, Albert!\Listen to one more song. I'll be playing it just for you.\It looks like you've been shut out. response:	I wouldn't be so sure about that.
context: They were delicious, though.\Mademoiselle Eugenie!\It won't do to keep your audience waiting.\You!\Wait, Albert!\Listen to one more song. I'll be playing it just for you.\It looks like you've been shut out.\I wouldn't be so sure about that. response:	Ladies and gentlemen! Let's have a warm round of applause for Mademoiselle Eugenie!
context: Mademoiselle Eugenie!\It won't do to keep your audience waiting.\You!\Wait, Albert!\Listen to one more song. I'll be playing it just for you.\It looks like you've been shut out.\I wouldn't be so sure about that.\Ladies and gentlemen! Let's have a warm round of applause for Mademoiselle Eugenie! response:	What do you think you're doing?! This is my performance!
context: It won't do to keep your audience waiting.\You!\Wait, Albert!\Listen to one more song. I'll be playing it just for you.\It looks like you've been shut out.\I wouldn't be so sure about that.\Ladies and gentlemen! Let's have a warm round of applause for Mademoiselle Eugenie!\What do you think you're doing?! This is my performance! response:	Yes, one that I arranged.
context: You!\Wait, Albert!\Listen to one more song. I'll be playing it just for you.\It looks like you've been shut out.\I wouldn't be so sure about that.\Ladies and gentlemen! Let's have a warm round of applause for Mademoiselle Eugenie!\What do you think you're doing?! This is my performance!\Yes, one that I arranged. response:	That jerk!
context: Wait, Albert!\Listen to one more song. I'll be playing it just for you.\It looks like you've been shut out.\I wouldn't be so sure about that.\Ladies and gentlemen! Let's have a warm round of applause for Mademoiselle Eugenie!\What do you think you're doing?! This is my performance!\Yes, one that I arranged.\That jerk! response:	You don't know when to quit!
context: Listen to one more song. I'll be playing it just for you.\It looks like you've been shut out.\I wouldn't be so sure about that.\Ladies and gentlemen! Let's have a warm round of applause for Mademoiselle Eugenie!\What do you think you're doing?! This is my performance!\Yes, one that I arranged.\That jerk!\You don't know when to quit! response:	My daughter has set out on the road to a bright future! Don't ruin it for her!
context: It looks like you've been shut out.\I wouldn't be so sure about that.\Ladies and gentlemen! Let's have a warm round of applause for Mademoiselle Eugenie!\What do you think you're doing?! This is my performance!\Yes, one that I arranged.\That jerk!\You don't know when to quit!\My daughter has set out on the road to a bright future! Don't ruin it for her! response:	You don't have any right to be here!
context: I wouldn't be so sure about that.\Ladies and gentlemen! Let's have a warm round of applause for Mademoiselle Eugenie!\What do you think you're doing?! This is my performance!\Yes, one that I arranged.\That jerk!\You don't know when to quit!\My daughter has set out on the road to a bright future! Don't ruin it for her!\You don't have any right to be here! response:	All the seats for tonight's performance were bought out by Marquis Cavalcanti!
context: Ladies and gentlemen! Let's have a warm round of applause for Mademoiselle Eugenie!\What do you think you're doing?! This is my performance!\Yes, one that I arranged.\That jerk!\You don't know when to quit!\My daughter has set out on the road to a bright future! Don't ruin it for her!\You don't have any right to be here!\All the seats for tonight's performance were bought out by Marquis Cavalcanti! response:	You've lost, so go away!
context: What do you think you're doing?! This is my performance!\Yes, one that I arranged.\That jerk!\You don't know when to quit!\My daughter has set out on the road to a bright future! Don't ruin it for her!\You don't have any right to be here!\All the seats for tonight's performance were bought out by Marquis Cavalcanti!\You've lost, so go away! response:	Count...
context: Yes, one that I arranged.\That jerk!\You don't know when to quit!\My daughter has set out on the road to a bright future! Don't ruin it for her!\You don't have any right to be here!\All the seats for tonight's performance were bought out by Marquis Cavalcanti!\You've lost, so go away!\Count... response:	Why, whatever is the matter?
context: That jerk!\You don't know when to quit!\My daughter has set out on the road to a bright future! Don't ruin it for her!\You don't have any right to be here!\All the seats for tonight's performance were bought out by Marquis Cavalcanti!\You've lost, so go away!\Count...\Why, whatever is the matter? response:	You're not looking well at all.
context: You don't know when to quit!\My daughter has set out on the road to a bright future! Don't ruin it for her!\You don't have any right to be here!\All the seats for tonight's performance were bought out by Marquis Cavalcanti!\You've lost, so go away!\Count...\Why, whatever is the matter?\You're not looking well at all. response:	Count!
context: My daughter has set out on the road to a bright future! Don't ruin it for her!\You don't have any right to be here!\All the seats for tonight's performance were bought out by Marquis Cavalcanti!\You've lost, so go away!\Count...\Why, whatever is the matter?\You're not looking well at all.\Count! response:	Albert?
context: You don't have any right to be here!\All the seats for tonight's performance were bought out by Marquis Cavalcanti!\You've lost, so go away!\Count...\Why, whatever is the matter?\You're not looking well at all.\Count!\Albert? response:	I'm... so frustrated...
context: All the seats for tonight's performance were bought out by Marquis Cavalcanti!\You've lost, so go away!\Count...\Why, whatever is the matter?\You're not looking well at all.\Count!\Albert?\I'm... so frustrated... response:	At how weak and pathetic I am...
context: You've lost, so go away!\Count...\Why, whatever is the matter?\You're not looking well at all.\Count!\Albert?\I'm... so frustrated...\At how weak and pathetic I am... response:	Count of Monte Cristo!
context: Count...\Why, whatever is the matter?\You're not looking well at all.\Count!\Albert?\I'm... so frustrated...\At how weak and pathetic I am...\Count of Monte Cristo! response:	You are under suspicion of criminal activity.
context: Why, whatever is the matter?\You're not looking well at all.\Count!\Albert?\I'm... so frustrated...\At how weak and pathetic I am...\Count of Monte Cristo!\You are under suspicion of criminal activity. response:	I will have to ask you to come with me to the station as the prime suspect...
context: You're not looking well at all.\Count!\Albert?\I'm... so frustrated...\At how weak and pathetic I am...\Count of Monte Cristo!\You are under suspicion of criminal activity.\I will have to ask you to come with me to the station as the prime suspect... response:	Monsieur Villefort...
context: Count!\Albert?\I'm... so frustrated...\At how weak and pathetic I am...\Count of Monte Cristo!\You are under suspicion of criminal activity.\I will have to ask you to come with me to the station as the prime suspect...\Monsieur Villefort... response:	Villefort's investigation is relentless.
context: Albert?\I'm... so frustrated...\At how weak and pathetic I am...\Count of Monte Cristo!\You are under suspicion of criminal activity.\I will have to ask you to come with me to the station as the prime suspect...\Monsieur Villefort...\Villefort's investigation is relentless. response:	Why?
