context: It's something very precious to me. response:	Serinuma-san, I like you.
context: This isn't good!\Eep!\A telegram?!\And all it said was, I like you.\W-Well, we've gotten this far!\It's going well.\Hopefully he'll eventually give up.\Where the heck is he going? response:	I won't let you make it to Serinuma-senpai!
context: Eep!\A telegram?!\And all it said was, I like you.\W-Well, we've gotten this far!\It's going well.\Hopefully he'll eventually give up.\Where the heck is he going?\I won't let you make it to Serinuma-senpai! response:	Oh, just the bathroom?
context: A telegram?!\And all it said was, I like you.\W-Well, we've gotten this far!\It's going well.\Hopefully he'll eventually give up.\Where the heck is he going?\I won't let you make it to Serinuma-senpai!\Oh, just the bathroom? response:	He's taking a while.
context: And all it said was, I like you.\W-Well, we've gotten this far!\It's going well.\Hopefully he'll eventually give up.\Where the heck is he going?\I won't let you make it to Serinuma-senpai!\Oh, just the bathroom?\He's taking a while. response:	Don't tell me
context: W-Well, we've gotten this far!\It's going well.\Hopefully he'll eventually give up.\Where the heck is he going?\I won't let you make it to Serinuma-senpai!\Oh, just the bathroom?\He's taking a while.\Don't tell me response:	He actually escaped out the window?!
context: It's going well.\Hopefully he'll eventually give up.\Where the heck is he going?\I won't let you make it to Serinuma-senpai!\Oh, just the bathroom?\He's taking a while.\Don't tell me\He actually escaped out the window?! response:	He got me! And this is the second floor!
context: Hopefully he'll eventually give up.\Where the heck is he going?\I won't let you make it to Serinuma-senpai!\Oh, just the bathroom?\He's taking a while.\Don't tell me\He actually escaped out the window?!\He got me! And this is the second floor! response:	What is it, Shino?
context: Where the heck is he going?\I won't let you make it to Serinuma-senpai!\Oh, just the bathroom?\He's taking a while.\Don't tell me\He actually escaped out the window?!\He got me! And this is the second floor!\What is it, Shino? response:	I'm sorry, he got me!
context: I won't let you make it to Serinuma-senpai!\Oh, just the bathroom?\He's taking a while.\Don't tell me\He actually escaped out the window?!\He got me! And this is the second floor!\What is it, Shino?\I'm sorry, he got me! response:	I lost track of him!
context: Oh, just the bathroom?\He's taking a while.\Don't tell me\He actually escaped out the window?!\He got me! And this is the second floor!\What is it, Shino?\I'm sorry, he got me!\I lost track of him! response:	Wha
context: He's taking a while.\Don't tell me\He actually escaped out the window?!\He got me! And this is the second floor!\What is it, Shino?\I'm sorry, he got me!\I lost track of him!\Wha response:	Where could he have gone?!
context: Don't tell me\He actually escaped out the window?!\He got me! And this is the second floor!\What is it, Shino?\I'm sorry, he got me!\I lost track of him!\Wha\Where could he have gone?! response:	Serinuma Kae-san from Class 2-A.
context: He actually escaped out the window?!\He got me! And this is the second floor!\What is it, Shino?\I'm sorry, he got me!\I lost track of him!\Wha\Where could he have gone?!\Serinuma Kae-san from Class 2-A. response:	This is Mutsumi Asuma.
context: He got me! And this is the second floor!\What is it, Shino?\I'm sorry, he got me!\I lost track of him!\Wha\Where could he have gone?!\Serinuma Kae-san from Class 2-A.\This is Mutsumi Asuma. response:	I need to talk to you.
context: What is it, Shino?\I'm sorry, he got me!\I lost track of him!\Wha\Where could he have gone?!\Serinuma Kae-san from Class 2-A.\This is Mutsumi Asuma.\I need to talk to you. response:	Please meet me on the roof today after school.
context: I'm sorry, he got me!\I lost track of him!\Wha\Where could he have gone?!\Serinuma Kae-san from Class 2-A.\This is Mutsumi Asuma.\I need to talk to you.\Please meet me on the roof today after school. response:	Mutsumi-senpai?
context: I lost track of him!\Wha\Where could he have gone?!\Serinuma Kae-san from Class 2-A.\This is Mutsumi Asuma.\I need to talk to you.\Please meet me on the roof today after school.\Mutsumi-senpai? response:	H-He's done it!
context: Wha\Where could he have gone?!\Serinuma Kae-san from Class 2-A.\This is Mutsumi Asuma.\I need to talk to you.\Please meet me on the roof today after school.\Mutsumi-senpai?\H-He's done it! response:	He's just like his brother!
context: Where could he have gone?!\Serinuma Kae-san from Class 2-A.\This is Mutsumi Asuma.\I need to talk to you.\Please meet me on the roof today after school.\Mutsumi-senpai?\H-He's done it!\He's just like his brother! response:	Nothing less from siblings.
context: Serinuma Kae-san from Class 2-A.\This is Mutsumi Asuma.\I need to talk to you.\Please meet me on the roof today after school.\Mutsumi-senpai?\H-He's done it!\He's just like his brother!\Nothing less from siblings. response:	Damn!
context: This is Mutsumi Asuma.\I need to talk to you.\Please meet me on the roof today after school.\Mutsumi-senpai?\H-He's done it!\He's just like his brother!\Nothing less from siblings.\Damn! response:	This concludes this broadcast.
context: I need to talk to you.\Please meet me on the roof today after school.\Mutsumi-senpai?\H-He's done it!\He's just like his brother!\Nothing less from siblings.\Damn!\This concludes this broadcast. response:	Senpai!
context: Please meet me on the roof today after school.\Mutsumi-senpai?\H-He's done it!\He's just like his brother!\Nothing less from siblings.\Damn!\This concludes this broadcast.\Senpai! response:	How could you be so bold?
context: Mutsumi-senpai?\H-He's done it!\He's just like his brother!\Nothing less from siblings.\Damn!\This concludes this broadcast.\Senpai!\How could you be so bold? response:	We won't let you make a move!
context: H-He's done it!\He's just like his brother!\Nothing less from siblings.\Damn!\This concludes this broadcast.\Senpai!\How could you be so bold?\We won't let you make a move! response:	Tell me,
context: He's just like his brother!\Nothing less from siblings.\Damn!\This concludes this broadcast.\Senpai!\How could you be so bold?\We won't let you make a move!\Tell me, response:	why are you trying so hard to stop me?
context: Nothing less from siblings.\Damn!\This concludes this broadcast.\Senpai!\How could you be so bold?\We won't let you make a move!\Tell me,\why are you trying so hard to stop me? response:	I think you're all free to tell her how you feel.
context: Damn!\This concludes this broadcast.\Senpai!\How could you be so bold?\We won't let you make a move!\Tell me,\why are you trying so hard to stop me?\I think you're all free to tell her how you feel. response:	Didn't I say so?
context: This concludes this broadcast.\Senpai!\How could you be so bold?\We won't let you make a move!\Tell me,\why are you trying so hard to stop me?\I think you're all free to tell her how you feel.\Didn't I say so? response:	So I won't stop you.
context: Senpai!\How could you be so bold?\We won't let you make a move!\Tell me,\why are you trying so hard to stop me?\I think you're all free to tell her how you feel.\Didn't I say so?\So I won't stop you. response:	Those who want to tell her can come to the roof.
context: How could you be so bold?\We won't let you make a move!\Tell me,\why are you trying so hard to stop me?\I think you're all free to tell her how you feel.\Didn't I say so?\So I won't stop you.\Those who want to tell her can come to the roof. response:	I'll see you after school.
context: We won't let you make a move!\Tell me,\why are you trying so hard to stop me?\I think you're all free to tell her how you feel.\Didn't I say so?\So I won't stop you.\Those who want to tell her can come to the roof.\I'll see you after school. response:	And so, in this case, you use the formula to...
context: Tell me,\why are you trying so hard to stop me?\I think you're all free to tell her how you feel.\Didn't I say so?\So I won't stop you.\Those who want to tell her can come to the roof.\I'll see you after school.\And so, in this case, you use the formula to... response:	What Mutsumi-san said makes sense.
context: why are you trying so hard to stop me?\I think you're all free to tell her how you feel.\Didn't I say so?\So I won't stop you.\Those who want to tell her can come to the roof.\I'll see you after school.\And so, in this case, you use the formula to...\What Mutsumi-san said makes sense. response:	It's not like she'll just return my feelings if I get in someone else's way.
context: I think you're all free to tell her how you feel.\Didn't I say so?\So I won't stop you.\Those who want to tell her can come to the roof.\I'll see you after school.\And so, in this case, you use the formula to...\What Mutsumi-san said makes sense.\It's not like she'll just return my feelings if I get in someone else's way. response:	I have to tell her, or nothing will happen.
context: Didn't I say so?\So I won't stop you.\Those who want to tell her can come to the roof.\I'll see you after school.\And so, in this case, you use the formula to...\What Mutsumi-san said makes sense.\It's not like she'll just return my feelings if I get in someone else's way.\I have to tell her, or nothing will happen. response:	But, if I do tell her,
context: So I won't stop you.\Those who want to tell her can come to the roof.\I'll see you after school.\And so, in this case, you use the formula to...\What Mutsumi-san said makes sense.\It's not like she'll just return my feelings if I get in someone else's way.\I have to tell her, or nothing will happen.\But, if I do tell her, response:	will she still smile the same way she does now?
context: Those who want to tell her can come to the roof.\I'll see you after school.\And so, in this case, you use the formula to...\What Mutsumi-san said makes sense.\It's not like she'll just return my feelings if I get in someone else's way.\I have to tell her, or nothing will happen.\But, if I do tell her,\will she still smile the same way she does now? response:	Squeeze
context: I'll see you after school.\And so, in this case, you use the formula to...\What Mutsumi-san said makes sense.\It's not like she'll just return my feelings if I get in someone else's way.\I have to tell her, or nothing will happen.\But, if I do tell her,\will she still smile the same way she does now?\Squeeze response:	If her heart does belong to one person,
context: And so, in this case, you use the formula to...\What Mutsumi-san said makes sense.\It's not like she'll just return my feelings if I get in someone else's way.\I have to tell her, or nothing will happen.\But, if I do tell her,\will she still smile the same way she does now?\Squeeze\If her heart does belong to one person, response:	what happens if I'm not that person?
context: What Mutsumi-san said makes sense.\It's not like she'll just return my feelings if I get in someone else's way.\I have to tell her, or nothing will happen.\But, if I do tell her,\will she still smile the same way she does now?\Squeeze\If her heart does belong to one person,\what happens if I'm not that person? response:	Still, the thing I'm hoping for most
context: It's not like she'll just return my feelings if I get in someone else's way.\I have to tell her, or nothing will happen.\But, if I do tell her,\will she still smile the same way she does now?\Squeeze\If her heart does belong to one person,\what happens if I'm not that person?\Still, the thing I'm hoping for most response:	is that I'm...
context: I have to tell her, or nothing will happen.\But, if I do tell her,\will she still smile the same way she does now?\Squeeze\If her heart does belong to one person,\what happens if I'm not that person?\Still, the thing I'm hoping for most\is that I'm... response:	Senpai?
context: But, if I do tell her,\will she still smile the same way she does now?\Squeeze\If her heart does belong to one person,\what happens if I'm not that person?\Still, the thing I'm hoping for most\is that I'm...\Senpai? response:	Serinuma-san, thanks for coming.
context: will she still smile the same way she does now?\Squeeze\If her heart does belong to one person,\what happens if I'm not that person?\Still, the thing I'm hoping for most\is that I'm...\Senpai?\Serinuma-san, thanks for coming. response:	U-Um, what did you want to talk about?
context: Squeeze\If her heart does belong to one person,\what happens if I'm not that person?\Still, the thing I'm hoping for most\is that I'm...\Senpai?\Serinuma-san, thanks for coming.\U-Um, what did you want to talk about? response:	Or more like, why is everyone here? What's going on?
context: If her heart does belong to one person,\what happens if I'm not that person?\Still, the thing I'm hoping for most\is that I'm...\Senpai?\Serinuma-san, thanks for coming.\U-Um, what did you want to talk about?\Or more like, why is everyone here? What's going on? response:	I wanted you to come so I could tell you how I feel about you,
context: what happens if I'm not that person?\Still, the thing I'm hoping for most\is that I'm...\Senpai?\Serinuma-san, thanks for coming.\U-Um, what did you want to talk about?\Or more like, why is everyone here? What's going on?\I wanted you to come so I could tell you how I feel about you, response:	but it looks like I'm not alone.
context: Still, the thing I'm hoping for most\is that I'm...\Senpai?\Serinuma-san, thanks for coming.\U-Um, what did you want to talk about?\Or more like, why is everyone here? What's going on?\I wanted you to come so I could tell you how I feel about you,\but it looks like I'm not alone. response:	Right?
context: is that I'm...\Senpai?\Serinuma-san, thanks for coming.\U-Um, what did you want to talk about?\Or more like, why is everyone here? What's going on?\I wanted you to come so I could tell you how I feel about you,\but it looks like I'm not alone.\Right? response:	Serinuma-san.
context: Senpai?\Serinuma-san, thanks for coming.\U-Um, what did you want to talk about?\Or more like, why is everyone here? What's going on?\I wanted you to come so I could tell you how I feel about you,\but it looks like I'm not alone.\Right?\Serinuma-san. response:	I like you.
context: Serinuma-san, thanks for coming.\U-Um, what did you want to talk about?\Or more like, why is everyone here? What's going on?\I wanted you to come so I could tell you how I feel about you,\but it looks like I'm not alone.\Right?\Serinuma-san.\I like you. response:	I like you.
context: U-Um, what did you want to talk about?\Or more like, why is everyone here? What's going on?\I wanted you to come so I could tell you how I feel about you,\but it looks like I'm not alone.\Right?\Serinuma-san.\I like you.\I like you. response:	I-I like you.
context: Or more like, why is everyone here? What's going on?\I wanted you to come so I could tell you how I feel about you,\but it looks like I'm not alone.\Right?\Serinuma-san.\I like you.\I like you.\I-I like you. response:	I like you so much.
context: I wanted you to come so I could tell you how I feel about you,\but it looks like I'm not alone.\Right?\Serinuma-san.\I like you.\I like you.\I-I like you.\I like you so much. response:	Serinuma-san, I really do like you.
context: but it looks like I'm not alone.\Right?\Serinuma-san.\I like you.\I like you.\I-I like you.\I like you so much.\Serinuma-san, I really do like you. response:	Will you go out with me?
context: Right?\Serinuma-san.\I like you.\I like you.\I-I like you.\I like you so much.\Serinuma-san, I really do like you.\Will you go out with me? response:	Nakano
context: Serinuma-san.\I like you.\I like you.\I-I like you.\I like you so much.\Serinuma-san, I really do like you.\Will you go out with me?\Nakano response:	Oh gosh, Mikkun, you're such a meanie!
context: I like you.\I like you.\I-I like you.\I like you so much.\Serinuma-san, I really do like you.\Will you go out with me?\Nakano\Oh gosh, Mikkun, you're such a meanie! response:	Just kidding, I'm totally fine with it!
context: I like you.\I-I like you.\I like you so much.\Serinuma-san, I really do like you.\Will you go out with me?\Nakano\Oh gosh, Mikkun, you're such a meanie!\Just kidding, I'm totally fine with it! response:	Sorry, someone's at the door.
context: I-I like you.\I like you so much.\Serinuma-san, I really do like you.\Will you go out with me?\Nakano\Oh gosh, Mikkun, you're such a meanie!\Just kidding, I'm totally fine with it!\Sorry, someone's at the door. response:	Oh, you don't need to hang up, just hold on.
context: I like you so much.\Serinuma-san, I really do like you.\Will you go out with me?\Nakano\Oh gosh, Mikkun, you're such a meanie!\Just kidding, I'm totally fine with it!\Sorry, someone's at the door.\Oh, you don't need to hang up, just hold on. response:	I'm sure this will just take a
context: Serinuma-san, I really do like you.\Will you go out with me?\Nakano\Oh gosh, Mikkun, you're such a meanie!\Just kidding, I'm totally fine with it!\Sorry, someone's at the door.\Oh, you don't need to hang up, just hold on.\I'm sure this will just take a response:	A-chan!
context: Will you go out with me?\Nakano\Oh gosh, Mikkun, you're such a meanie!\Just kidding, I'm totally fine with it!\Sorry, someone's at the door.\Oh, you don't need to hang up, just hold on.\I'm sure this will just take a\A-chan! response:	They all asked you out?!
context: Nakano\Oh gosh, Mikkun, you're such a meanie!\Just kidding, I'm totally fine with it!\Sorry, someone's at the door.\Oh, you don't need to hang up, just hold on.\I'm sure this will just take a\A-chan!\They all asked you out?! response:	Yeah.
context: Oh gosh, Mikkun, you're such a meanie!\Just kidding, I'm totally fine with it!\Sorry, someone's at the door.\Oh, you don't need to hang up, just hold on.\I'm sure this will just take a\A-chan!\They all asked you out?!\Yeah. response:	They were all very earnest, and want me to go out with them.
context: Just kidding, I'm totally fine with it!\Sorry, someone's at the door.\Oh, you don't need to hang up, just hold on.\I'm sure this will just take a\A-chan!\They all asked you out?!\Yeah.\They were all very earnest, and want me to go out with them. response:	Th-That's amazing. So, what happened? What did you say?
context: Sorry, someone's at the door.\Oh, you don't need to hang up, just hold on.\I'm sure this will just take a\A-chan!\They all asked you out?!\Yeah.\They were all very earnest, and want me to go out with them.\Th-That's amazing. So, what happened? What did you say? response:	Well, you see...
context: Oh, you don't need to hang up, just hold on.\I'm sure this will just take a\A-chan!\They all asked you out?!\Yeah.\They were all very earnest, and want me to go out with them.\Th-That's amazing. So, what happened? What did you say?\Well, you see... response:	We don't need an answer right away.
context: I'm sure this will just take a\A-chan!\They all asked you out?!\Yeah.\They were all very earnest, and want me to go out with them.\Th-That's amazing. So, what happened? What did you say?\Well, you see...\We don't need an answer right away. response:	We just wanted you to know how we felt.
context: A-chan!\They all asked you out?!\Yeah.\They were all very earnest, and want me to go out with them.\Th-That's amazing. So, what happened? What did you say?\Well, you see...\We don't need an answer right away.\We just wanted you to know how we felt. response:	I'm sure this came as a shock to you. Sorry.
context: They all asked you out?!\Yeah.\They were all very earnest, and want me to go out with them.\Th-That's amazing. So, what happened? What did you say?\Well, you see...\We don't need an answer right away.\We just wanted you to know how we felt.\I'm sure this came as a shock to you. Sorry. response:	Huh? Um...
context: Yeah.\They were all very earnest, and want me to go out with them.\Th-That's amazing. So, what happened? What did you say?\Well, you see...\We don't need an answer right away.\We just wanted you to know how we felt.\I'm sure this came as a shock to you. Sorry.\Huh? Um... response:	We just wanted to make sure you knew.
context: They were all very earnest, and want me to go out with them.\Th-That's amazing. So, what happened? What did you say?\Well, you see...\We don't need an answer right away.\We just wanted you to know how we felt.\I'm sure this came as a shock to you. Sorry.\Huh? Um...\We just wanted to make sure you knew. response:	This isn't a lie or a joke. This is how we really feel.
context: Th-That's amazing. So, what happened? What did you say?\Well, you see...\We don't need an answer right away.\We just wanted you to know how we felt.\I'm sure this came as a shock to you. Sorry.\Huh? Um...\We just wanted to make sure you knew.\This isn't a lie or a joke. This is how we really feel. response:	Oh, come on. If they don't need an answer, what's the rush?
context: Well, you see...\We don't need an answer right away.\We just wanted you to know how we felt.\I'm sure this came as a shock to you. Sorry.\Huh? Um...\We just wanted to make sure you knew.\This isn't a lie or a joke. This is how we really feel.\Oh, come on. If they don't need an answer, what's the rush? response:	No, they all looked very serious.
context: We don't need an answer right away.\We just wanted you to know how we felt.\I'm sure this came as a shock to you. Sorry.\Huh? Um...\We just wanted to make sure you knew.\This isn't a lie or a joke. This is how we really feel.\Oh, come on. If they don't need an answer, what's the rush?\No, they all looked very serious. response:	That's why I've got to take this seriously, too.
context: We just wanted you to know how we felt.\I'm sure this came as a shock to you. Sorry.\Huh? Um...\We just wanted to make sure you knew.\This isn't a lie or a joke. This is how we really feel.\Oh, come on. If they don't need an answer, what's the rush?\No, they all looked very serious.\That's why I've got to take this seriously, too. response:	Which means accepting their feelings,
context: I'm sure this came as a shock to you. Sorry.\Huh? Um...\We just wanted to make sure you knew.\This isn't a lie or a joke. This is how we really feel.\Oh, come on. If they don't need an answer, what's the rush?\No, they all looked very serious.\That's why I've got to take this seriously, too.\Which means accepting their feelings, response:	thinking about them, and then giving them an answer.
context: Huh? Um...\We just wanted to make sure you knew.\This isn't a lie or a joke. This is how we really feel.\Oh, come on. If they don't need an answer, what's the rush?\No, they all looked very serious.\That's why I've got to take this seriously, too.\Which means accepting their feelings,\thinking about them, and then giving them an answer. response:	Or, that's what I thought.
context: We just wanted to make sure you knew.\This isn't a lie or a joke. This is how we really feel.\Oh, come on. If they don't need an answer, what's the rush?\No, they all looked very serious.\That's why I've got to take this seriously, too.\Which means accepting their feelings,\thinking about them, and then giving them an answer.\Or, that's what I thought. response:	Kae-chan...
context: This isn't a lie or a joke. This is how we really feel.\Oh, come on. If they don't need an answer, what's the rush?\No, they all looked very serious.\That's why I've got to take this seriously, too.\Which means accepting their feelings,\thinking about them, and then giving them an answer.\Or, that's what I thought.\Kae-chan... response:	She's finally grown up!
context: Oh, come on. If they don't need an answer, what's the rush?\No, they all looked very serious.\That's why I've got to take this seriously, too.\Which means accepting their feelings,\thinking about them, and then giving them an answer.\Or, that's what I thought.\Kae-chan...\She's finally grown up! response:	So, what are you gonna do?
context: No, they all looked very serious.\That's why I've got to take this seriously, too.\Which means accepting their feelings,\thinking about them, and then giving them an answer.\Or, that's what I thought.\Kae-chan...\She's finally grown up!\So, what are you gonna do? response:	Huh?
context: That's why I've got to take this seriously, too.\Which means accepting their feelings,\thinking about them, and then giving them an answer.\Or, that's what I thought.\Kae-chan...\She's finally grown up!\So, what are you gonna do?\Huh? response:	Who are you going to choose? What do you think of each of them, in summary?
context: Which means accepting their feelings,\thinking about them, and then giving them an answer.\Or, that's what I thought.\Kae-chan...\She's finally grown up!\So, what are you gonna do?\Huh?\Who are you going to choose? What do you think of each of them, in summary? response:	Um...
context: thinking about them, and then giving them an answer.\Or, that's what I thought.\Kae-chan...\She's finally grown up!\So, what are you gonna do?\Huh?\Who are you going to choose? What do you think of each of them, in summary?\Um... response:	Igarashi?
context: Or, that's what I thought.\Kae-chan...\She's finally grown up!\So, what are you gonna do?\Huh?\Who are you going to choose? What do you think of each of them, in summary?\Um...\Igarashi? response:	5x7!
context: Kae-chan...\She's finally grown up!\So, what are you gonna do?\Huh?\Who are you going to choose? What do you think of each of them, in summary?\Um...\Igarashi?\5x7! response:	Nanashima?
context: She's finally grown up!\So, what are you gonna do?\Huh?\Who are you going to choose? What do you think of each of them, in summary?\Um...\Igarashi?\5x7!\Nanashima? response:	5x7!
context: So, what are you gonna do?\Huh?\Who are you going to choose? What do you think of each of them, in summary?\Um...\Igarashi?\5x7!\Nanashima?\5x7! response:	Mutsumi-senpai?
context: Huh?\Who are you going to choose? What do you think of each of them, in summary?\Um...\Igarashi?\5x7!\Nanashima?\5x7!\Mutsumi-senpai? response:	He's got that soothing presence that makes him the perfect top!
context: Who are you going to choose? What do you think of each of them, in summary?\Um...\Igarashi?\5x7!\Nanashima?\5x7!\Mutsumi-senpai?\He's got that soothing presence that makes him the perfect top! response:	Shinomiya-kun?
context: Um...\Igarashi?\5x7!\Nanashima?\5x7!\Mutsumi-senpai?\He's got that soothing presence that makes him the perfect top!\Shinomiya-kun? response:	He's such a klutz, and a definite bottom.
context: Igarashi?\5x7!\Nanashima?\5x7!\Mutsumi-senpai?\He's got that soothing presence that makes him the perfect top!\Shinomiya-kun?\He's such a klutz, and a definite bottom. response:	But depending on his development, I think he could switch to a top!
context: 5x7!\Nanashima?\5x7!\Mutsumi-senpai?\He's got that soothing presence that makes him the perfect top!\Shinomiya-kun?\He's such a klutz, and a definite bottom.\But depending on his development, I think he could switch to a top! response:	And Nishina-san?
context: Nanashima?\5x7!\Mutsumi-senpai?\He's got that soothing presence that makes him the perfect top!\Shinomiya-kun?\He's such a klutz, and a definite bottom.\But depending on his development, I think he could switch to a top!\And Nishina-san? response:	Yokoshima-sensei! A god!
context: 5x7!\Mutsumi-senpai?\He's got that soothing presence that makes him the perfect top!\Shinomiya-kun?\He's such a klutz, and a definite bottom.\But depending on his development, I think he could switch to a top!\And Nishina-san?\Yokoshima-sensei! A god! response:	Oh, but, Akane-chan is definitely a bottom!
context: Mutsumi-senpai?\He's got that soothing presence that makes him the perfect top!\Shinomiya-kun?\He's such a klutz, and a definite bottom.\But depending on his development, I think he could switch to a top!\And Nishina-san?\Yokoshima-sensei! A god!\Oh, but, Akane-chan is definitely a bottom! response:	Enough with the fujoshi talk!
context: He's got that soothing presence that makes him the perfect top!\Shinomiya-kun?\He's such a klutz, and a definite bottom.\But depending on his development, I think he could switch to a top!\And Nishina-san?\Yokoshima-sensei! A god!\Oh, but, Akane-chan is definitely a bottom!\Enough with the fujoshi talk! response:	Why do you seem like you haven't made any progress at all?!
context: Shinomiya-kun?\He's such a klutz, and a definite bottom.\But depending on his development, I think he could switch to a top!\And Nishina-san?\Yokoshima-sensei! A god!\Oh, but, Akane-chan is definitely a bottom!\Enough with the fujoshi talk!\Why do you seem like you haven't made any progress at all?! response:	I'm s-sorry!
context: He's such a klutz, and a definite bottom.\But depending on his development, I think he could switch to a top!\And Nishina-san?\Yokoshima-sensei! A god!\Oh, but, Akane-chan is definitely a bottom!\Enough with the fujoshi talk!\Why do you seem like you haven't made any progress at all?!\I'm s-sorry! response:	B-But, honestly, I've never looked at them in any other way.
context: But depending on his development, I think he could switch to a top!\And Nishina-san?\Yokoshima-sensei! A god!\Oh, but, Akane-chan is definitely a bottom!\Enough with the fujoshi talk!\Why do you seem like you haven't made any progress at all?!\I'm s-sorry!\B-But, honestly, I've never looked at them in any other way. response:	I definitely feel for them. That goes beyond cruel.
context: And Nishina-san?\Yokoshima-sensei! A god!\Oh, but, Akane-chan is definitely a bottom!\Enough with the fujoshi talk!\Why do you seem like you haven't made any progress at all?!\I'm s-sorry!\B-But, honestly, I've never looked at them in any other way.\I definitely feel for them. That goes beyond cruel. response:	What should I do? What can I do to get to know them all better?
context: Yokoshima-sensei! A god!\Oh, but, Akane-chan is definitely a bottom!\Enough with the fujoshi talk!\Why do you seem like you haven't made any progress at all?!\I'm s-sorry!\B-But, honestly, I've never looked at them in any other way.\I definitely feel for them. That goes beyond cruel.\What should I do? What can I do to get to know them all better? response:	Hmm, if it were an otome game, you could just follow their character routes.
context: Oh, but, Akane-chan is definitely a bottom!\Enough with the fujoshi talk!\Why do you seem like you haven't made any progress at all?!\I'm s-sorry!\B-But, honestly, I've never looked at them in any other way.\I definitely feel for them. That goes beyond cruel.\What should I do? What can I do to get to know them all better?\Hmm, if it were an otome game, you could just follow their character routes. response:	That's it!
context: Enough with the fujoshi talk!\Why do you seem like you haven't made any progress at all?!\I'm s-sorry!\B-But, honestly, I've never looked at them in any other way.\I definitely feel for them. That goes beyond cruel.\What should I do? What can I do to get to know them all better?\Hmm, if it were an otome game, you could just follow their character routes.\That's it! response:	Huh?!
context: Why do you seem like you haven't made any progress at all?!\I'm s-sorry!\B-But, honestly, I've never looked at them in any other way.\I definitely feel for them. That goes beyond cruel.\What should I do? What can I do to get to know them all better?\Hmm, if it were an otome game, you could just follow their character routes.\That's it!\Huh?! response:	Bam
context: I'm s-sorry!\B-But, honestly, I've never looked at them in any other way.\I definitely feel for them. That goes beyond cruel.\What should I do? What can I do to get to know them all better?\Hmm, if it were an otome game, you could just follow their character routes.\That's it!\Huh?!\Bam response:	And so, for each day of the holiday next week, I'd like to
context: B-But, honestly, I've never looked at them in any other way.\I definitely feel for them. That goes beyond cruel.\What should I do? What can I do to get to know them all better?\Hmm, if it were an otome game, you could just follow their character routes.\That's it!\Huh?!\Bam\And so, for each day of the holiday next week, I'd like to response:	go on a date with each one of you!
context: I definitely feel for them. That goes beyond cruel.\What should I do? What can I do to get to know them all better?\Hmm, if it were an otome game, you could just follow their character routes.\That's it!\Huh?!\Bam\And so, for each day of the holiday next week, I'd like to\go on a date with each one of you! response:	What?
context: What should I do? What can I do to get to know them all better?\Hmm, if it were an otome game, you could just follow their character routes.\That's it!\Huh?!\Bam\And so, for each day of the holiday next week, I'd like to\go on a date with each one of you!\What? response:	Huh?
context: Hmm, if it were an otome game, you could just follow their character routes.\That's it!\Huh?!\Bam\And so, for each day of the holiday next week, I'd like to\go on a date with each one of you!\What?\Huh? response:	And then, at the end of the holidays,
context: That's it!\Huh?!\Bam\And so, for each day of the holiday next week, I'd like to\go on a date with each one of you!\What?\Huh?\And then, at the end of the holidays, response:	I'd like to give my answers to the offers you each graciously made me the other day.
context: Huh?!\Bam\And so, for each day of the holiday next week, I'd like to\go on a date with each one of you!\What?\Huh?\And then, at the end of the holidays,\I'd like to give my answers to the offers you each graciously made me the other day. response:	I thank you for your patience!
context: Bam\And so, for each day of the holiday next week, I'd like to\go on a date with each one of you!\What?\Huh?\And then, at the end of the holidays,\I'd like to give my answers to the offers you each graciously made me the other day.\I thank you for your patience! response:	Bye!
context: And so, for each day of the holiday next week, I'd like to\go on a date with each one of you!\What?\Huh?\And then, at the end of the holidays,\I'd like to give my answers to the offers you each graciously made me the other day.\I thank you for your patience!\Bye! response:	Huh? Wai
context: go on a date with each one of you!\What?\Huh?\And then, at the end of the holidays,\I'd like to give my answers to the offers you each graciously made me the other day.\I thank you for your patience!\Bye!\Huh? Wai response:	What's the meaning of this?
context: What?\Huh?\And then, at the end of the holidays,\I'd like to give my answers to the offers you each graciously made me the other day.\I thank you for your patience!\Bye!\Huh? Wai\What's the meaning of this? response:	The offers we made the other day? She means when we asked her out, right?
context: Huh?\And then, at the end of the holidays,\I'd like to give my answers to the offers you each graciously made me the other day.\I thank you for your patience!\Bye!\Huh? Wai\What's the meaning of this?\The offers we made the other day? She means when we asked her out, right? response:	And if she gives us an answer after the dates, then...
context: And then, at the end of the holidays,\I'd like to give my answers to the offers you each graciously made me the other day.\I thank you for your patience!\Bye!\Huh? Wai\What's the meaning of this?\The offers we made the other day? She means when we asked her out, right?\And if she gives us an answer after the dates, then... response:	The dates will decide who wins the fight.
context: I'd like to give my answers to the offers you each graciously made me the other day.\I thank you for your patience!\Bye!\Huh? Wai\What's the meaning of this?\The offers we made the other day? She means when we asked her out, right?\And if she gives us an answer after the dates, then...\The dates will decide who wins the fight. response:	Day 1
context: I thank you for your patience!\Bye!\Huh? Wai\What's the meaning of this?\The offers we made the other day? She means when we asked her out, right?\And if she gives us an answer after the dates, then...\The dates will decide who wins the fight.\Day 1 response:	Igarashi Yusuke
context: Bye!\Huh? Wai\What's the meaning of this?\The offers we made the other day? She means when we asked her out, right?\And if she gives us an answer after the dates, then...\The dates will decide who wins the fight.\Day 1\Igarashi Yusuke response:	Wanna go to the aquarium?
