context: Is that what the king has been up to? response:	Malty-sama must've talked him into it.
context: It's free, as thanks for helping my grandkid.\I actually would've loved to give you a crystal ball instead.\Huh?\Don't you know?\If you use a crystal ball, you can learn one of the magics sealed in it.\First I've heard of that.\But I heard the royal court ordered a bunch of them for the heroes.\I bet they handed them out to every hero but me. response:	Learning magic from a grimoire is hard,
context: I actually would've loved to give you a crystal ball instead.\Huh?\Don't you know?\If you use a crystal ball, you can learn one of the magics sealed in it.\First I've heard of that.\But I heard the royal court ordered a bunch of them for the heroes.\I bet they handed them out to every hero but me.\Learning magic from a grimoire is hard, response:	but if you keep at it, you can learn as many spells as you want!
context: Huh?\Don't you know?\If you use a crystal ball, you can learn one of the magics sealed in it.\First I've heard of that.\But I heard the royal court ordered a bunch of them for the heroes.\I bet they handed them out to every hero but me.\Learning magic from a grimoire is hard,\but if you keep at it, you can learn as many spells as you want! response:	Do your best!
context: Don't you know?\If you use a crystal ball, you can learn one of the magics sealed in it.\First I've heard of that.\But I heard the royal court ordered a bunch of them for the heroes.\I bet they handed them out to every hero but me.\Learning magic from a grimoire is hard,\but if you keep at it, you can learn as many spells as you want!\Do your best! response:	Thank you.
context: If you use a crystal ball, you can learn one of the magics sealed in it.\First I've heard of that.\But I heard the royal court ordered a bunch of them for the heroes.\I bet they handed them out to every hero but me.\Learning magic from a grimoire is hard,\but if you keep at it, you can learn as many spells as you want!\Do your best!\Thank you. response:	Thank you, huh?
context: First I've heard of that.\But I heard the royal court ordered a bunch of them for the heroes.\I bet they handed them out to every hero but me.\Learning magic from a grimoire is hard,\but if you keep at it, you can learn as many spells as you want!\Do your best!\Thank you.\Thank you, huh? response:	I really can't read it.
context: But I heard the royal court ordered a bunch of them for the heroes.\I bet they handed them out to every hero but me.\Learning magic from a grimoire is hard,\but if you keep at it, you can learn as many spells as you want!\Do your best!\Thank you.\Thank you, huh?\I really can't read it. response:	I wish there was a skill that'd translate books for me.
context: I bet they handed them out to every hero but me.\Learning magic from a grimoire is hard,\but if you keep at it, you can learn as many spells as you want!\Do your best!\Thank you.\Thank you, huh?\I really can't read it.\I wish there was a skill that'd translate books for me. response:	Let's learn together, then.
context: Learning magic from a grimoire is hard,\but if you keep at it, you can learn as many spells as you want!\Do your best!\Thank you.\Thank you, huh?\I really can't read it.\I wish there was a skill that'd translate books for me.\Let's learn together, then. response:	What? The language and magic?
context: but if you keep at it, you can learn as many spells as you want!\Do your best!\Thank you.\Thank you, huh?\I really can't read it.\I wish there was a skill that'd translate books for me.\Let's learn together, then.\What? The language and magic? response:	Well, yes.
context: Do your best!\Thank you.\Thank you, huh?\I really can't read it.\I wish there was a skill that'd translate books for me.\Let's learn together, then.\What? The language and magic?\Well, yes. response:	But the key word there is together.
context: Thank you.\Thank you, huh?\I really can't read it.\I wish there was a skill that'd translate books for me.\Let's learn together, then.\What? The language and magic?\Well, yes.\But the key word there is together. response:	There's more than a month until the next Wave,
context: Thank you, huh?\I really can't read it.\I wish there was a skill that'd translate books for me.\Let's learn together, then.\What? The language and magic?\Well, yes.\But the key word there is together.\There's more than a month until the next Wave, response:	so I guess there's no better plan.
context: I really can't read it.\I wish there was a skill that'd translate books for me.\Let's learn together, then.\What? The language and magic?\Well, yes.\But the key word there is together.\There's more than a month until the next Wave,\so I guess there's no better plan. response:	Let's spend the night in Lute Village.
context: I wish there was a skill that'd translate books for me.\Let's learn together, then.\What? The language and magic?\Well, yes.\But the key word there is together.\There's more than a month until the next Wave,\so I guess there's no better plan.\Let's spend the night in Lute Village. response:	And tomorrow, we can go grind some levels after breakfast.
context: Let's learn together, then.\What? The language and magic?\Well, yes.\But the key word there is together.\There's more than a month until the next Wave,\so I guess there's no better plan.\Let's spend the night in Lute Village.\And tomorrow, we can go grind some levels after breakfast. response:	Sure!
context: What? The language and magic?\Well, yes.\But the key word there is together.\There's more than a month until the next Wave,\so I guess there's no better plan.\Let's spend the night in Lute Village.\And tomorrow, we can go grind some levels after breakfast.\Sure! response:	Hey, wake up!
context: Well, yes.\But the key word there is together.\There's more than a month until the next Wave,\so I guess there's no better plan.\Let's spend the night in Lute Village.\And tomorrow, we can go grind some levels after breakfast.\Sure!\Hey, wake up! response:	Raphtalia!
context: But the key word there is together.\There's more than a month until the next Wave,\so I guess there's no better plan.\Let's spend the night in Lute Village.\And tomorrow, we can go grind some levels after breakfast.\Sure!\Hey, wake up!\Raphtalia! response:	It's so cute, Naofumi-sama!
context: There's more than a month until the next Wave,\so I guess there's no better plan.\Let's spend the night in Lute Village.\And tomorrow, we can go grind some levels after breakfast.\Sure!\Hey, wake up!\Raphtalia!\It's so cute, Naofumi-sama! response:	It must think you're its mother.
context: so I guess there's no better plan.\Let's spend the night in Lute Village.\And tomorrow, we can go grind some levels after breakfast.\Sure!\Hey, wake up!\Raphtalia!\It's so cute, Naofumi-sama!\It must think you're its mother. response:	Imprinting, huh?
context: Let's spend the night in Lute Village.\And tomorrow, we can go grind some levels after breakfast.\Sure!\Hey, wake up!\Raphtalia!\It's so cute, Naofumi-sama!\It must think you're its mother.\Imprinting, huh? response:	We should think of a good name for it.
context: And tomorrow, we can go grind some levels after breakfast.\Sure!\Hey, wake up!\Raphtalia!\It's so cute, Naofumi-sama!\It must think you're its mother.\Imprinting, huh?\We should think of a good name for it. response:	Yeah...
context: Sure!\Hey, wake up!\Raphtalia!\It's so cute, Naofumi-sama!\It must think you're its mother.\Imprinting, huh?\We should think of a good name for it.\Yeah... response:	I can't believe she grew so much in just two days!
context: Hey, wake up!\Raphtalia!\It's so cute, Naofumi-sama!\It must think you're its mother.\Imprinting, huh?\We should think of a good name for it.\Yeah...\I can't believe she grew so much in just two days! response:	My Growth Boost skill probably helped.
context: Raphtalia!\It's so cute, Naofumi-sama!\It must think you're its mother.\Imprinting, huh?\We should think of a good name for it.\Yeah...\I can't believe she grew so much in just two days!\My Growth Boost skill probably helped. response:	Mon
context: It's so cute, Naofumi-sama!\It must think you're its mother.\Imprinting, huh?\We should think of a good name for it.\Yeah...\I can't believe she grew so much in just two days!\My Growth Boost skill probably helped.\Mon response:	Monster
context: It must think you're its mother.\Imprinting, huh?\We should think of a good name for it.\Yeah...\I can't believe she grew so much in just two days!\My Growth Boost skill probably helped.\Mon\Monster response:	Monster Tam
context: Imprinting, huh?\We should think of a good name for it.\Yeah...\I can't believe she grew so much in just two days!\My Growth Boost skill probably helped.\Mon\Monster\Monster Tam response:	Monster Tamer's
context: We should think of a good name for it.\Yeah...\I can't believe she grew so much in just two days!\My Growth Boost skill probably helped.\Mon\Monster\Monster Tam\Monster Tamer's response:	Monster Tamer's Shield
context: Yeah...\I can't believe she grew so much in just two days!\My Growth Boost skill probably helped.\Mon\Monster\Monster Tam\Monster Tamer's\Monster Tamer's Shield response:	Right, Filo?
context: I can't believe she grew so much in just two days!\My Growth Boost skill probably helped.\Mon\Monster\Monster Tam\Monster Tamer's\Monster Tamer's Shield\Right, Filo? response:	Monster Tamer's Shield III
context: My Growth Boost skill probably helped.\Mon\Monster\Monster Tam\Monster Tamer's\Monster Tamer's Shield\Right, Filo?\Monster Tamer's Shield III response:	You named her Filo? As in filolial?
context: Mon\Monster\Monster Tam\Monster Tamer's\Monster Tamer's Shield\Right, Filo?\Monster Tamer's Shield III\You named her Filo? As in filolial? response:	Don't you think that's a bit lazy?
context: Monster\Monster Tam\Monster Tamer's\Monster Tamer's Shield\Right, Filo?\Monster Tamer's Shield III\You named her Filo? As in filolial?\Don't you think that's a bit lazy? response:	She seems to like it, though.
context: Monster Tam\Monster Tamer's\Monster Tamer's Shield\Right, Filo?\Monster Tamer's Shield III\You named her Filo? As in filolial?\Don't you think that's a bit lazy?\She seems to like it, though. response:	Hey, look.
context: Monster Tamer's\Monster Tamer's Shield\Right, Filo?\Monster Tamer's Shield III\You named her Filo? As in filolial?\Don't you think that's a bit lazy?\She seems to like it, though.\Hey, look. response:	Why are the knights here?
context: Monster Tamer's Shield\Right, Filo?\Monster Tamer's Shield III\You named her Filo? As in filolial?\Don't you think that's a bit lazy?\She seems to like it, though.\Hey, look.\Why are the knights here? response:	In light of his exploits during the last Wave, the Spear Hero, Motoyasu-sama,
context: Right, Filo?\Monster Tamer's Shield III\You named her Filo? As in filolial?\Don't you think that's a bit lazy?\She seems to like it, though.\Hey, look.\Why are the knights here?\In light of his exploits during the last Wave, the Spear Hero, Motoyasu-sama, response:	has been appointed ruling lord of this region.
context: Monster Tamer's Shield III\You named her Filo? As in filolial?\Don't you think that's a bit lazy?\She seems to like it, though.\Hey, look.\Why are the knights here?\In light of his exploits during the last Wave, the Spear Hero, Motoyasu-sama,\has been appointed ruling lord of this region. response:	To help the rebuilding efforts, we've decided to levy a toll.
context: You named her Filo? As in filolial?\Don't you think that's a bit lazy?\She seems to like it, though.\Hey, look.\Why are the knights here?\In light of his exploits during the last Wave, the Spear Hero, Motoyasu-sama,\has been appointed ruling lord of this region.\To help the rebuilding efforts, we've decided to levy a toll. response:	Fifty silvers to enter the village, and fifty to exit.
context: Don't you think that's a bit lazy?\She seems to like it, though.\Hey, look.\Why are the knights here?\In light of his exploits during the last Wave, the Spear Hero, Motoyasu-sama,\has been appointed ruling lord of this region.\To help the rebuilding efforts, we've decided to levy a toll.\Fifty silvers to enter the village, and fifty to exit. response:	That's absurd!
context: She seems to like it, though.\Hey, look.\Why are the knights here?\In light of his exploits during the last Wave, the Spear Hero, Motoyasu-sama,\has been appointed ruling lord of this region.\To help the rebuilding efforts, we've decided to levy a toll.\Fifty silvers to enter the village, and fifty to exit.\That's absurd! response:	We won't even have anything to eat tomorrow!
context: Hey, look.\Why are the knights here?\In light of his exploits during the last Wave, the Spear Hero, Motoyasu-sama,\has been appointed ruling lord of this region.\To help the rebuilding efforts, we've decided to levy a toll.\Fifty silvers to enter the village, and fifty to exit.\That's absurd!\We won't even have anything to eat tomorrow! response:	You wish to defy your lord's orders?
context: Why are the knights here?\In light of his exploits during the last Wave, the Spear Hero, Motoyasu-sama,\has been appointed ruling lord of this region.\To help the rebuilding efforts, we've decided to levy a toll.\Fifty silvers to enter the village, and fifty to exit.\That's absurd!\We won't even have anything to eat tomorrow!\You wish to defy your lord's orders? response:	Well, duh!
context: In light of his exploits during the last Wave, the Spear Hero, Motoyasu-sama,\has been appointed ruling lord of this region.\To help the rebuilding efforts, we've decided to levy a toll.\Fifty silvers to enter the village, and fifty to exit.\That's absurd!\We won't even have anything to eat tomorrow!\You wish to defy your lord's orders?\Well, duh! response:	The Shield Hero?
context: has been appointed ruling lord of this region.\To help the rebuilding efforts, we've decided to levy a toll.\Fifty silvers to enter the village, and fifty to exit.\That's absurd!\We won't even have anything to eat tomorrow!\You wish to defy your lord's orders?\Well, duh!\The Shield Hero? response:	You were still here?
context: To help the rebuilding efforts, we've decided to levy a toll.\Fifty silvers to enter the village, and fifty to exit.\That's absurd!\We won't even have anything to eat tomorrow!\You wish to defy your lord's orders?\Well, duh!\The Shield Hero?\You were still here? response:	This is Motoyasu-sama's domain now.
context: Fifty silvers to enter the village, and fifty to exit.\That's absurd!\We won't even have anything to eat tomorrow!\You wish to defy your lord's orders?\Well, duh!\The Shield Hero?\You were still here?\This is Motoyasu-sama's domain now. response:	You have no right to question him.
context: That's absurd!\We won't even have anything to eat tomorrow!\You wish to defy your lord's orders?\Well, duh!\The Shield Hero?\You were still here?\This is Motoyasu-sama's domain now.\You have no right to question him. response:	In fact, get out this instant, criminal scum!
context: We won't even have anything to eat tomorrow!\You wish to defy your lord's orders?\Well, duh!\The Shield Hero?\You were still here?\This is Motoyasu-sama's domain now.\You have no right to question him.\In fact, get out this instant, criminal scum! response:	I don't mind leaving, but I don't think the villagers are gonna accept this.
context: You wish to defy your lord's orders?\Well, duh!\The Shield Hero?\You were still here?\This is Motoyasu-sama's domain now.\You have no right to question him.\In fact, get out this instant, criminal scum!\I don't mind leaving, but I don't think the villagers are gonna accept this. response:	Motoyasu, do you know how much it costs to spend a night at the inn here?
context: Well, duh!\The Shield Hero?\You were still here?\This is Motoyasu-sama's domain now.\You have no right to question him.\In fact, get out this instant, criminal scum!\I don't mind leaving, but I don't think the villagers are gonna accept this.\Motoyasu, do you know how much it costs to spend a night at the inn here? response:	U-Uh...
context: The Shield Hero?\You were still here?\This is Motoyasu-sama's domain now.\You have no right to question him.\In fact, get out this instant, criminal scum!\I don't mind leaving, but I don't think the villagers are gonna accept this.\Motoyasu, do you know how much it costs to spend a night at the inn here?\U-Uh... response:	It's one silver a night, food included.
context: You were still here?\This is Motoyasu-sama's domain now.\You have no right to question him.\In fact, get out this instant, criminal scum!\I don't mind leaving, but I don't think the villagers are gonna accept this.\Motoyasu, do you know how much it costs to spend a night at the inn here?\U-Uh...\It's one silver a night, food included. response:	You're charging a hundred nights' worth of money just to enter and exit the village!
context: This is Motoyasu-sama's domain now.\You have no right to question him.\In fact, get out this instant, criminal scum!\I don't mind leaving, but I don't think the villagers are gonna accept this.\Motoyasu, do you know how much it costs to spend a night at the inn here?\U-Uh...\It's one silver a night, food included.\You're charging a hundred nights' worth of money just to enter and exit the village! response:	Yeah, yeah!
context: You have no right to question him.\In fact, get out this instant, criminal scum!\I don't mind leaving, but I don't think the villagers are gonna accept this.\Motoyasu, do you know how much it costs to spend a night at the inn here?\U-Uh...\It's one silver a night, food included.\You're charging a hundred nights' worth of money just to enter and exit the village!\Yeah, yeah! response:	He's right!
context: In fact, get out this instant, criminal scum!\I don't mind leaving, but I don't think the villagers are gonna accept this.\Motoyasu, do you know how much it costs to spend a night at the inn here?\U-Uh...\It's one silver a night, food included.\You're charging a hundred nights' worth of money just to enter and exit the village!\Yeah, yeah!\He's right! response:	Besides, you can't just show up and call yourself our lord.
context: I don't mind leaving, but I don't think the villagers are gonna accept this.\Motoyasu, do you know how much it costs to spend a night at the inn here?\U-Uh...\It's one silver a night, food included.\You're charging a hundred nights' worth of money just to enter and exit the village!\Yeah, yeah!\He's right!\Besides, you can't just show up and call yourself our lord. response:	And it was the Shield Hero who defended this village during the Wave!
context: Motoyasu, do you know how much it costs to spend a night at the inn here?\U-Uh...\It's one silver a night, food included.\You're charging a hundred nights' worth of money just to enter and exit the village!\Yeah, yeah!\He's right!\Besides, you can't just show up and call yourself our lord.\And it was the Shield Hero who defended this village during the Wave! response:	You dare complain about a royal decree?
context: U-Uh...\It's one silver a night, food included.\You're charging a hundred nights' worth of money just to enter and exit the village!\Yeah, yeah!\He's right!\Besides, you can't just show up and call yourself our lord.\And it was the Shield Hero who defended this village during the Wave!\You dare complain about a royal decree? response:	You people had better knock it off!
context: It's one silver a night, food included.\You're charging a hundred nights' worth of money just to enter and exit the village!\Yeah, yeah!\He's right!\Besides, you can't just show up and call yourself our lord.\And it was the Shield Hero who defended this village during the Wave!\You dare complain about a royal decree?\You people had better knock it off! response:	I trust you know who we are, Malty-sama.
context: You're charging a hundred nights' worth of money just to enter and exit the village!\Yeah, yeah!\He's right!\Besides, you can't just show up and call yourself our lord.\And it was the Shield Hero who defended this village during the Wave!\You dare complain about a royal decree?\You people had better knock it off!\I trust you know who we are, Malty-sama. response:	Why are you people here?
context: Yeah, yeah!\He's right!\Besides, you can't just show up and call yourself our lord.\And it was the Shield Hero who defended this village during the Wave!\You dare complain about a royal decree?\You people had better knock it off!\I trust you know who we are, Malty-sama.\Why are you people here? response:	For you.
context: He's right!\Besides, you can't just show up and call yourself our lord.\And it was the Shield Hero who defended this village during the Wave!\You dare complain about a royal decree?\You people had better knock it off!\I trust you know who we are, Malty-sama.\Why are you people here?\For you. response:	Who are they, Naofumi-sama?
context: Besides, you can't just show up and call yourself our lord.\And it was the Shield Hero who defended this village during the Wave!\You dare complain about a royal decree?\You people had better knock it off!\I trust you know who we are, Malty-sama.\Why are you people here?\For you.\Who are they, Naofumi-sama? response:	No idea, but I can tell they're important.
context: And it was the Shield Hero who defended this village during the Wave!\You dare complain about a royal decree?\You people had better knock it off!\I trust you know who we are, Malty-sama.\Why are you people here?\For you.\Who are they, Naofumi-sama?\No idea, but I can tell they're important. response:	How could this be?
context: You dare complain about a royal decree?\You people had better knock it off!\I trust you know who we are, Malty-sama.\Why are you people here?\For you.\Who are they, Naofumi-sama?\No idea, but I can tell they're important.\How could this be? response:	Shield Hero!
context: You people had better knock it off!\I trust you know who we are, Malty-sama.\Why are you people here?\For you.\Who are they, Naofumi-sama?\No idea, but I can tell they're important.\How could this be?\Shield Hero! response:	Fight us for the right to rule this village!
context: I trust you know who we are, Malty-sama.\Why are you people here?\For you.\Who are they, Naofumi-sama?\No idea, but I can tell they're important.\How could this be?\Shield Hero!\Fight us for the right to rule this village! response:	I refuse!
context: Why are you people here?\For you.\Who are they, Naofumi-sama?\No idea, but I can tell they're important.\How could this be?\Shield Hero!\Fight us for the right to rule this village!\I refuse! response:	But if we lose this, the village will fall into the Spear Hero's hands!
context: For you.\Who are they, Naofumi-sama?\No idea, but I can tell they're important.\How could this be?\Shield Hero!\Fight us for the right to rule this village!\I refuse!\But if we lose this, the village will fall into the Spear Hero's hands! response:	As the current lord, even I cannot accept further taxation at this time!
context: Who are they, Naofumi-sama?\No idea, but I can tell they're important.\How could this be?\Shield Hero!\Fight us for the right to rule this village!\I refuse!\But if we lose this, the village will fall into the Spear Hero's hands!\As the current lord, even I cannot accept further taxation at this time! response:	But why does that mean I have to take part in a dragon race? It sounds like a pain.
context: No idea, but I can tell they're important.\How could this be?\Shield Hero!\Fight us for the right to rule this village!\I refuse!\But if we lose this, the village will fall into the Spear Hero's hands!\As the current lord, even I cannot accept further taxation at this time!\But why does that mean I have to take part in a dragon race? It sounds like a pain. response:	They've asked for you.
context: How could this be?\Shield Hero!\Fight us for the right to rule this village!\I refuse!\But if we lose this, the village will fall into the Spear Hero's hands!\As the current lord, even I cannot accept further taxation at this time!\But why does that mean I have to take part in a dragon race? It sounds like a pain.\They've asked for you. response:	And besides, we don't have the right to challenge a Hero.
context: Shield Hero!\Fight us for the right to rule this village!\I refuse!\But if we lose this, the village will fall into the Spear Hero's hands!\As the current lord, even I cannot accept further taxation at this time!\But why does that mean I have to take part in a dragon race? It sounds like a pain.\They've asked for you.\And besides, we don't have the right to challenge a Hero. response:	That letter probably said something Myne didn't like.
context: Fight us for the right to rule this village!\I refuse!\But if we lose this, the village will fall into the Spear Hero's hands!\As the current lord, even I cannot accept further taxation at this time!\But why does that mean I have to take part in a dragon race? It sounds like a pain.\They've asked for you.\And besides, we don't have the right to challenge a Hero.\That letter probably said something Myne didn't like. response:	So she challenged you to take it out on you?
context: I refuse!\But if we lose this, the village will fall into the Spear Hero's hands!\As the current lord, even I cannot accept further taxation at this time!\But why does that mean I have to take part in a dragon race? It sounds like a pain.\They've asked for you.\And besides, we don't have the right to challenge a Hero.\That letter probably said something Myne didn't like.\So she challenged you to take it out on you? response:	Your filolial seems to be up for it.
context: But if we lose this, the village will fall into the Spear Hero's hands!\As the current lord, even I cannot accept further taxation at this time!\But why does that mean I have to take part in a dragon race? It sounds like a pain.\They've asked for you.\And besides, we don't have the right to challenge a Hero.\That letter probably said something Myne didn't like.\So she challenged you to take it out on you?\Your filolial seems to be up for it. response:	What's wrong with her?
context: As the current lord, even I cannot accept further taxation at this time!\But why does that mean I have to take part in a dragon race? It sounds like a pain.\They've asked for you.\And besides, we don't have the right to challenge a Hero.\That letter probably said something Myne didn't like.\So she challenged you to take it out on you?\Your filolial seems to be up for it.\What's wrong with her? response:	So it's true that filolials and dragons don't get along.
context: But why does that mean I have to take part in a dragon race? It sounds like a pain.\They've asked for you.\And besides, we don't have the right to challenge a Hero.\That letter probably said something Myne didn't like.\So she challenged you to take it out on you?\Your filolial seems to be up for it.\What's wrong with her?\So it's true that filolials and dragons don't get along. response:	Please, we beg you!
context: They've asked for you.\And besides, we don't have the right to challenge a Hero.\That letter probably said something Myne didn't like.\So she challenged you to take it out on you?\Your filolial seems to be up for it.\What's wrong with her?\So it's true that filolials and dragons don't get along.\Please, we beg you! response:	We promise you a reward for winning!
context: And besides, we don't have the right to challenge a Hero.\That letter probably said something Myne didn't like.\So she challenged you to take it out on you?\Your filolial seems to be up for it.\What's wrong with her?\So it's true that filolials and dragons don't get along.\Please, we beg you!\We promise you a reward for winning! response:	I'm not responsible for what happens if I lose, okay?
context: That letter probably said something Myne didn't like.\So she challenged you to take it out on you?\Your filolial seems to be up for it.\What's wrong with her?\So it's true that filolials and dragons don't get along.\Please, we beg you!\We promise you a reward for winning!\I'm not responsible for what happens if I lose, okay? response:	So lame.
context: So she challenged you to take it out on you?\Your filolial seems to be up for it.\What's wrong with her?\So it's true that filolials and dragons don't get along.\Please, we beg you!\We promise you a reward for winning!\I'm not responsible for what happens if I lose, okay?\So lame. response:	And it's a bird, not a dragon.
context: Your filolial seems to be up for it.\What's wrong with her?\So it's true that filolials and dragons don't get along.\Please, we beg you!\We promise you a reward for winning!\I'm not responsible for what happens if I lose, okay?\So lame.\And it's a bird, not a dragon. response:	How are you gonna race my dragon with this?
context: What's wrong with her?\So it's true that filolials and dragons don't get along.\Please, we beg you!\We promise you a reward for winning!\I'm not responsible for what happens if I lose, okay?\So lame.\And it's a bird, not a dragon.\How are you gonna race my dragon with this? response:	Motoyasu-sama!
context: So it's true that filolials and dragons don't get along.\Please, we beg you!\We promise you a reward for winning!\I'm not responsible for what happens if I lose, okay?\So lame.\And it's a bird, not a dragon.\How are you gonna race my dragon with this?\Motoyasu-sama! response:	Motoyasu-sama!
context: Please, we beg you!\We promise you a reward for winning!\I'm not responsible for what happens if I lose, okay?\So lame.\And it's a bird, not a dragon.\How are you gonna race my dragon with this?\Motoyasu-sama!\Motoyasu-sama! response:	Healing magic! Hurry!
context: We promise you a reward for winning!\I'm not responsible for what happens if I lose, okay?\So lame.\And it's a bird, not a dragon.\How are you gonna race my dragon with this?\Motoyasu-sama!\Motoyasu-sama!\Healing magic! Hurry! response:	Th-This is definitely going to bruise...
context: I'm not responsible for what happens if I lose, okay?\So lame.\And it's a bird, not a dragon.\How are you gonna race my dragon with this?\Motoyasu-sama!\Motoyasu-sama!\Healing magic! Hurry!\Th-This is definitely going to bruise... response:	Right away!
context: So lame.\And it's a bird, not a dragon.\How are you gonna race my dragon with this?\Motoyasu-sama!\Motoyasu-sama!\Healing magic! Hurry!\Th-This is definitely going to bruise...\Right away! response:	You cheater!
context: And it's a bird, not a dragon.\How are you gonna race my dragon with this?\Motoyasu-sama!\Motoyasu-sama!\Healing magic! Hurry!\Th-This is definitely going to bruise...\Right away!\You cheater! response:	It's his fault for getting too close.
context: How are you gonna race my dragon with this?\Motoyasu-sama!\Motoyasu-sama!\Healing magic! Hurry!\Th-This is definitely going to bruise...\Right away!\You cheater!\It's his fault for getting too close. response:	I've never seen Naofumi-sama smile so much before.
context: Motoyasu-sama!\Motoyasu-sama!\Healing magic! Hurry!\Th-This is definitely going to bruise...\Right away!\You cheater!\It's his fault for getting too close.\I've never seen Naofumi-sama smile so much before. response:	The course will be three laps around the outskirts of this village.
context: Motoyasu-sama!\Healing magic! Hurry!\Th-This is definitely going to bruise...\Right away!\You cheater!\It's his fault for getting too close.\I've never seen Naofumi-sama smile so much before.\The course will be three laps around the outskirts of this village. response:	Whoever reaches this gate first will be declared the winner.
context: Healing magic! Hurry!\Th-This is definitely going to bruise...\Right away!\You cheater!\It's his fault for getting too close.\I've never seen Naofumi-sama smile so much before.\The course will be three laps around the outskirts of this village.\Whoever reaches this gate first will be declared the winner. response:	Motoyasu-sama!
context: Th-This is definitely going to bruise...\Right away!\You cheater!\It's his fault for getting too close.\I've never seen Naofumi-sama smile so much before.\The course will be three laps around the outskirts of this village.\Whoever reaches this gate first will be declared the winner.\Motoyasu-sama! response:	Good luck, Naofumi-sama!
context: Right away!\You cheater!\It's his fault for getting too close.\I've never seen Naofumi-sama smile so much before.\The course will be three laps around the outskirts of this village.\Whoever reaches this gate first will be declared the winner.\Motoyasu-sama!\Good luck, Naofumi-sama! response:	On your marks...
context: You cheater!\It's his fault for getting too close.\I've never seen Naofumi-sama smile so much before.\The course will be three laps around the outskirts of this village.\Whoever reaches this gate first will be declared the winner.\Motoyasu-sama!\Good luck, Naofumi-sama!\On your marks... response:	Start!
context: It's his fault for getting too close.\I've never seen Naofumi-sama smile so much before.\The course will be three laps around the outskirts of this village.\Whoever reaches this gate first will be declared the winner.\Motoyasu-sama!\Good luck, Naofumi-sama!\On your marks...\Start! response:	Piece of cake.
context: I've never seen Naofumi-sama smile so much before.\The course will be three laps around the outskirts of this village.\Whoever reaches this gate first will be declared the winner.\Motoyasu-sama!\Good luck, Naofumi-sama!\On your marks...\Start!\Piece of cake. response:	As source of thy power, I order thee.
context: The course will be three laps around the outskirts of this village.\Whoever reaches this gate first will be declared the winner.\Motoyasu-sama!\Good luck, Naofumi-sama!\On your marks...\Start!\Piece of cake.\As source of thy power, I order thee. response:	Decipher the laws of nature and create a pit in front of me.
context: Whoever reaches this gate first will be declared the winner.\Motoyasu-sama!\Good luck, Naofumi-sama!\On your marks...\Start!\Piece of cake.\As source of thy power, I order thee.\Decipher the laws of nature and create a pit in front of me. response:	Earth Hole!
context: Motoyasu-sama!\Good luck, Naofumi-sama!\On your marks...\Start!\Piece of cake.\As source of thy power, I order thee.\Decipher the laws of nature and create a pit in front of me.\Earth Hole! response:	No! The Shield Hero!
context: Good luck, Naofumi-sama!\On your marks...\Start!\Piece of cake.\As source of thy power, I order thee.\Decipher the laws of nature and create a pit in front of me.\Earth Hole!\No! The Shield Hero! response:	Filo!
context: On your marks...\Start!\Piece of cake.\As source of thy power, I order thee.\Decipher the laws of nature and create a pit in front of me.\Earth Hole!\No! The Shield Hero!\Filo! response:	Motoyasu-sama!
context: Start!\Piece of cake.\As source of thy power, I order thee.\Decipher the laws of nature and create a pit in front of me.\Earth Hole!\No! The Shield Hero!\Filo!\Motoyasu-sama! response:	Keep it up!
context: Piece of cake.\As source of thy power, I order thee.\Decipher the laws of nature and create a pit in front of me.\Earth Hole!\No! The Shield Hero!\Filo!\Motoyasu-sama!\Keep it up! response:	As source of thy power, I order thee.
context: As source of thy power, I order thee.\Decipher the laws of nature and create a pit in front of me.\Earth Hole!\No! The Shield Hero!\Filo!\Motoyasu-sama!\Keep it up!\As source of thy power, I order thee. response:	Decipher the laws of nature and slow my target.
context: Decipher the laws of nature and create a pit in front of me.\Earth Hole!\No! The Shield Hero!\Filo!\Motoyasu-sama!\Keep it up!\As source of thy power, I order thee.\Decipher the laws of nature and slow my target. response:	Speed Down!
context: Earth Hole!\No! The Shield Hero!\Filo!\Motoyasu-sama!\Keep it up!\As source of thy power, I order thee.\Decipher the laws of nature and slow my target.\Speed Down! response:	Here's my chance!
context: No! The Shield Hero!\Filo!\Motoyasu-sama!\Keep it up!\As source of thy power, I order thee.\Decipher the laws of nature and slow my target.\Speed Down!\Here's my chance! response:	Damn it!
context: Filo!\Motoyasu-sama!\Keep it up!\As source of thy power, I order thee.\Decipher the laws of nature and slow my target.\Speed Down!\Here's my chance!\Damn it! response:	What are you doing? Run faster!
context: Motoyasu-sama!\Keep it up!\As source of thy power, I order thee.\Decipher the laws of nature and slow my target.\Speed Down!\Here's my chance!\Damn it!\What are you doing? Run faster! response:	Filo! One last lap!
context: Keep it up!\As source of thy power, I order thee.\Decipher the laws of nature and slow my target.\Speed Down!\Here's my chance!\Damn it!\What are you doing? Run faster!\Filo! One last lap! response:	Accursed beast!
context: As source of thy power, I order thee.\Decipher the laws of nature and slow my target.\Speed Down!\Here's my chance!\Damn it!\What are you doing? Run faster!\Filo! One last lap!\Accursed beast! response:	Decipher the laws of nature and hasten my target.
context: Decipher the laws of nature and slow my target.\Speed Down!\Here's my chance!\Damn it!\What are you doing? Run faster!\Filo! One last lap!\Accursed beast!\Decipher the laws of nature and hasten my target. response:	Fast Speed!
