context: It's a pleasant Sunday. response:	I hope you're having a good time.
context: Ugh.\Well? Did I get your heart racing a bit?\What are you all doing here?\Let's go, Ichika.\Sorry, I got a call.\Yes.\What? Tonight?\And you know... response:	It was supposed to be just the five of us here for the fireworks.
context: Well? Did I get your heart racing a bit?\What are you all doing here?\Let's go, Ichika.\Sorry, I got a call.\Yes.\What? Tonight?\And you know...\It was supposed to be just the five of us here for the fireworks. response:	Why are you here?
context: What are you all doing here?\Let's go, Ichika.\Sorry, I got a call.\Yes.\What? Tonight?\And you know...\It was supposed to be just the five of us here for the fireworks.\Why are you here? response:	I'm just here with my sister.
context: Let's go, Ichika.\Sorry, I got a call.\Yes.\What? Tonight?\And you know...\It was supposed to be just the five of us here for the fireworks.\Why are you here?\I'm just here with my sister. response:	Onii-chan.
context: Sorry, I got a call.\Yes.\What? Tonight?\And you know...\It was supposed to be just the five of us here for the fireworks.\Why are you here?\I'm just here with my sister.\Onii-chan. response:	Look, look.
context: Yes.\What? Tonight?\And you know...\It was supposed to be just the five of us here for the fireworks.\Why are you here?\I'm just here with my sister.\Onii-chan.\Look, look. response:	Yotsuba-san caught all these for me.
context: What? Tonight?\And you know...\It was supposed to be just the five of us here for the fireworks.\Why are you here?\I'm just here with my sister.\Onii-chan.\Look, look.\Yotsuba-san caught all these for me. response:	Couldn't you have held back a little?
context: And you know...\It was supposed to be just the five of us here for the fireworks.\Why are you here?\I'm just here with my sister.\Onii-chan.\Look, look.\Yotsuba-san caught all these for me.\Couldn't you have held back a little? response:	Seeing Raiha-chan, I couldn't help but want to get her a gift.
context: It was supposed to be just the five of us here for the fireworks.\Why are you here?\I'm just here with my sister.\Onii-chan.\Look, look.\Yotsuba-san caught all these for me.\Couldn't you have held back a little?\Seeing Raiha-chan, I couldn't help but want to get her a gift. response:	She bought me this, too.
context: Why are you here?\I'm just here with my sister.\Onii-chan.\Look, look.\Yotsuba-san caught all these for me.\Couldn't you have held back a little?\Seeing Raiha-chan, I couldn't help but want to get her a gift.\She bought me this, too. response:	Super Fireworks Set
context: I'm just here with my sister.\Onii-chan.\Look, look.\Yotsuba-san caught all these for me.\Couldn't you have held back a little?\Seeing Raiha-chan, I couldn't help but want to get her a gift.\She bought me this, too.\Super Fireworks Set response:	That's the last thing we need today!
context: Onii-chan.\Look, look.\Yotsuba-san caught all these for me.\Couldn't you have held back a little?\Seeing Raiha-chan, I couldn't help but want to get her a gift.\She bought me this, too.\Super Fireworks Set\That's the last thing we need today! response:	I just couldn't wait.
context: Look, look.\Yotsuba-san caught all these for me.\Couldn't you have held back a little?\Seeing Raiha-chan, I couldn't help but want to get her a gift.\She bought me this, too.\Super Fireworks Set\That's the last thing we need today!\I just couldn't wait. response:	Did you say thank you to Yotsuba?
context: Yotsuba-san caught all these for me.\Couldn't you have held back a little?\Seeing Raiha-chan, I couldn't help but want to get her a gift.\She bought me this, too.\Super Fireworks Set\That's the last thing we need today!\I just couldn't wait.\Did you say thank you to Yotsuba? response:	Thank you, Yotsuba-san.
context: Couldn't you have held back a little?\Seeing Raiha-chan, I couldn't help but want to get her a gift.\She bought me this, too.\Super Fireworks Set\That's the last thing we need today!\I just couldn't wait.\Did you say thank you to Yotsuba?\Thank you, Yotsuba-san. response:	I love you.
context: Seeing Raiha-chan, I couldn't help but want to get her a gift.\She bought me this, too.\Super Fireworks Set\That's the last thing we need today!\I just couldn't wait.\Did you say thank you to Yotsuba?\Thank you, Yotsuba-san.\I love you. response:	Hnnngh
context: She bought me this, too.\Super Fireworks Set\That's the last thing we need today!\I just couldn't wait.\Did you say thank you to Yotsuba?\Thank you, Yotsuba-san.\I love you.\Hnnngh response:	You're so cute, Raiha-chan!
context: Super Fireworks Set\That's the last thing we need today!\I just couldn't wait.\Did you say thank you to Yotsuba?\Thank you, Yotsuba-san.\I love you.\Hnnngh\You're so cute, Raiha-chan! response:	I want to make you my sister!
context: That's the last thing we need today!\I just couldn't wait.\Did you say thank you to Yotsuba?\Thank you, Yotsuba-san.\I love you.\Hnnngh\You're so cute, Raiha-chan!\I want to make you my sister! response:	Wait a second.
context: I just couldn't wait.\Did you say thank you to Yotsuba?\Thank you, Yotsuba-san.\I love you.\Hnnngh\You're so cute, Raiha-chan!\I want to make you my sister!\Wait a second. response:	If I married Uesugi-san, we'd legally be sisters.
context: Did you say thank you to Yotsuba?\Thank you, Yotsuba-san.\I love you.\Hnnngh\You're so cute, Raiha-chan!\I want to make you my sister!\Wait a second.\If I married Uesugi-san, we'd legally be sisters. response:	Do you realize what you're saying?
context: Thank you, Yotsuba-san.\I love you.\Hnnngh\You're so cute, Raiha-chan!\I want to make you my sister!\Wait a second.\If I married Uesugi-san, we'd legally be sisters.\Do you realize what you're saying? response:	And you better not get any weird ideas about Yotsuba!
context: I love you.\Hnnngh\You're so cute, Raiha-chan!\I want to make you my sister!\Wait a second.\If I married Uesugi-san, we'd legally be sisters.\Do you realize what you're saying?\And you better not get any weird ideas about Yotsuba! response:	I have none!
context: Hnnngh\You're so cute, Raiha-chan!\I want to make you my sister!\Wait a second.\If I married Uesugi-san, we'd legally be sisters.\Do you realize what you're saying?\And you better not get any weird ideas about Yotsuba!\I have none! response:	Sorry!
context: You're so cute, Raiha-chan!\I want to make you my sister!\Wait a second.\If I married Uesugi-san, we'd legally be sisters.\Do you realize what you're saying?\And you better not get any weird ideas about Yotsuba!\I have none!\Sorry! response:	I-It's fine.
context: I want to make you my sister!\Wait a second.\If I married Uesugi-san, we'd legally be sisters.\Do you realize what you're saying?\And you better not get any weird ideas about Yotsuba!\I have none!\Sorry!\I-It's fine. response:	Thanks for waiting.
context: Wait a second.\If I married Uesugi-san, we'd legally be sisters.\Do you realize what you're saying?\And you better not get any weird ideas about Yotsuba!\I have none!\Sorry!\I-It's fine.\Thanks for waiting. response:	Okay, let's go.
context: If I married Uesugi-san, we'd legally be sisters.\Do you realize what you're saying?\And you better not get any weird ideas about Yotsuba!\I have none!\Sorry!\I-It's fine.\Thanks for waiting.\Okay, let's go. response:	Are you going somewhere?
context: Do you realize what you're saying?\And you better not get any weird ideas about Yotsuba!\I have none!\Sorry!\I-It's fine.\Thanks for waiting.\Okay, let's go.\Are you going somewhere? response:	Nino rented out a shop's rooftop.
context: And you better not get any weird ideas about Yotsuba!\I have none!\Sorry!\I-It's fine.\Thanks for waiting.\Okay, let's go.\Are you going somewhere?\Nino rented out a shop's rooftop. response:	Rented out? What are you, the bourgeoisie?!
context: I have none!\Sorry!\I-It's fine.\Thanks for waiting.\Okay, let's go.\Are you going somewhere?\Nino rented out a shop's rooftop.\Rented out? What are you, the bourgeoisie?! response:	Hang on a second.
context: Sorry!\I-It's fine.\Thanks for waiting.\Okay, let's go.\Are you going somewhere?\Nino rented out a shop's rooftop.\Rented out? What are you, the bourgeoisie?!\Hang on a second. response:	We've come out to a festival,
context: I-It's fine.\Thanks for waiting.\Okay, let's go.\Are you going somewhere?\Nino rented out a shop's rooftop.\Rented out? What are you, the bourgeoisie?!\Hang on a second.\We've come out to a festival, response:	and we aren't going to buy the thing?
context: Thanks for waiting.\Okay, let's go.\Are you going somewhere?\Nino rented out a shop's rooftop.\Rented out? What are you, the bourgeoisie?!\Hang on a second.\We've come out to a festival,\and we aren't going to buy the thing? response:	Yakitori
context: Okay, let's go.\Are you going somewhere?\Nino rented out a shop's rooftop.\Rented out? What are you, the bourgeoisie?!\Hang on a second.\We've come out to a festival,\and we aren't going to buy the thing?\Yakitori response:	Takoyaki
context: Are you going somewhere?\Nino rented out a shop's rooftop.\Rented out? What are you, the bourgeoisie?!\Hang on a second.\We've come out to a festival,\and we aren't going to buy the thing?\Yakitori\Takoyaki response:	Okonomiyaki
context: Nino rented out a shop's rooftop.\Rented out? What are you, the bourgeoisie?!\Hang on a second.\We've come out to a festival,\and we aren't going to buy the thing?\Yakitori\Takoyaki\Okonomiyaki response:	She's right. We haven't bought the thing.
context: Rented out? What are you, the bourgeoisie?!\Hang on a second.\We've come out to a festival,\and we aren't going to buy the thing?\Yakitori\Takoyaki\Okonomiyaki\She's right. We haven't bought the thing. response:	Are you talking about the thing?
context: Hang on a second.\We've come out to a festival,\and we aren't going to buy the thing?\Yakitori\Takoyaki\Okonomiyaki\She's right. We haven't bought the thing.\Are you talking about the thing? response:	Was there a food stand selling the thing?
context: We've come out to a festival,\and we aren't going to buy the thing?\Yakitori\Takoyaki\Okonomiyaki\She's right. We haven't bought the thing.\Are you talking about the thing?\Was there a food stand selling the thing? response:	I can't wait to have the thing!
context: and we aren't going to buy the thing?\Yakitori\Takoyaki\Okonomiyaki\She's right. We haven't bought the thing.\Are you talking about the thing?\Was there a food stand selling the thing?\I can't wait to have the thing! response:	What's the thing?
context: Yakitori\Takoyaki\Okonomiyaki\She's right. We haven't bought the thing.\Are you talking about the thing?\Was there a food stand selling the thing?\I can't wait to have the thing!\What's the thing? response:	Ready, and...
context: Takoyaki\Okonomiyaki\She's right. We haven't bought the thing.\Are you talking about the thing?\Was there a food stand selling the thing?\I can't wait to have the thing!\What's the thing?\Ready, and... response:	Candy apples!
context: Okonomiyaki\She's right. We haven't bought the thing.\Are you talking about the thing?\Was there a food stand selling the thing?\I can't wait to have the thing!\What's the thing?\Ready, and...\Candy apples! response:	Chocolate bananas!
context: She's right. We haven't bought the thing.\Are you talking about the thing?\Was there a food stand selling the thing?\I can't wait to have the thing!\What's the thing?\Ready, and...\Candy apples!\Chocolate bananas! response:	Yakisoba!
context: Are you talking about the thing?\Was there a food stand selling the thing?\I can't wait to have the thing!\What's the thing?\Ready, and...\Candy apples!\Chocolate bananas!\Yakisoba! response:	Ningyouyaki!
context: Was there a food stand selling the thing?\I can't wait to have the thing!\What's the thing?\Ready, and...\Candy apples!\Chocolate bananas!\Yakisoba!\Ningyouyaki! response:	Shaved ice!
context: I can't wait to have the thing!\What's the thing?\Ready, and...\Candy apples!\Chocolate bananas!\Yakisoba!\Ningyouyaki!\Shaved ice! response:	Let's go buy it all!
context: What's the thing?\Ready, and...\Candy apples!\Chocolate bananas!\Yakisoba!\Ningyouyaki!\Shaved ice!\Let's go buy it all! response:	I'm starting to wonder if you're really quintuplets.
context: Ready, and...\Candy apples!\Chocolate bananas!\Yakisoba!\Ningyouyaki!\Shaved ice!\Let's go buy it all!\I'm starting to wonder if you're really quintuplets. response:	Raiha, stay close, or you'll get lost.
context: Candy apples!\Chocolate bananas!\Yakisoba!\Ningyouyaki!\Shaved ice!\Let's go buy it all!\I'm starting to wonder if you're really quintuplets.\Raiha, stay close, or you'll get lost. response:	Hold on here.
context: Chocolate bananas!\Yakisoba!\Ningyouyaki!\Shaved ice!\Let's go buy it all!\I'm starting to wonder if you're really quintuplets.\Raiha, stay close, or you'll get lost.\Hold on here. response:	Okay.
context: Yakisoba!\Ningyouyaki!\Shaved ice!\Let's go buy it all!\I'm starting to wonder if you're really quintuplets.\Raiha, stay close, or you'll get lost.\Hold on here.\Okay. response:	That shop owner... I don't like him.
context: Ningyouyaki!\Shaved ice!\Let's go buy it all!\I'm starting to wonder if you're really quintuplets.\Raiha, stay close, or you'll get lost.\Hold on here.\Okay.\That shop owner... I don't like him. response:	I'll give ya some freebies, pretty lady.
context: Shaved ice!\Let's go buy it all!\I'm starting to wonder if you're really quintuplets.\Raiha, stay close, or you'll get lost.\Hold on here.\Okay.\That shop owner... I don't like him.\I'll give ya some freebies, pretty lady. response:	What was that about?!
context: Let's go buy it all!\I'm starting to wonder if you're really quintuplets.\Raiha, stay close, or you'll get lost.\Hold on here.\Okay.\That shop owner... I don't like him.\I'll give ya some freebies, pretty lady.\What was that about?! response:	We're identical!
context: I'm starting to wonder if you're really quintuplets.\Raiha, stay close, or you'll get lost.\Hold on here.\Okay.\That shop owner... I don't like him.\I'll give ya some freebies, pretty lady.\What was that about?!\We're identical! response:	Being quints is complicated.
context: Raiha, stay close, or you'll get lost.\Hold on here.\Okay.\That shop owner... I don't like him.\I'll give ya some freebies, pretty lady.\What was that about?!\We're identical!\Being quints is complicated. response:	Raiha-chan.
context: Hold on here.\Okay.\That shop owner... I don't like him.\I'll give ya some freebies, pretty lady.\What was that about?!\We're identical!\Being quints is complicated.\Raiha-chan. response:	Want to go play ring toss?
context: Okay.\That shop owner... I don't like him.\I'll give ya some freebies, pretty lady.\What was that about?!\We're identical!\Being quints is complicated.\Raiha-chan.\Want to go play ring toss? response:	I do!
context: That shop owner... I don't like him.\I'll give ya some freebies, pretty lady.\What was that about?!\We're identical!\Being quints is complicated.\Raiha-chan.\Want to go play ring toss?\I do! response:	Don't get lost.
context: I'll give ya some freebies, pretty lady.\What was that about?!\We're identical!\Being quints is complicated.\Raiha-chan.\Want to go play ring toss?\I do!\Don't get lost. response:	Yakisoba, yakisoba!
context: What was that about?!\We're identical!\Being quints is complicated.\Raiha-chan.\Want to go play ring toss?\I do!\Don't get lost.\Yakisoba, yakisoba! response:	Hurry up, guys!
context: We're identical!\Being quints is complicated.\Raiha-chan.\Want to go play ring toss?\I do!\Don't get lost.\Yakisoba, yakisoba!\Hurry up, guys! response:	Nino's pumped.
context: Being quints is complicated.\Raiha-chan.\Want to go play ring toss?\I do!\Don't get lost.\Yakisoba, yakisoba!\Hurry up, guys!\Nino's pumped. response:	Takoyaki
context: Raiha-chan.\Want to go play ring toss?\I do!\Don't get lost.\Yakisoba, yakisoba!\Hurry up, guys!\Nino's pumped.\Takoyaki response:	You all seem pretty excited, too.
context: Want to go play ring toss?\I do!\Don't get lost.\Yakisoba, yakisoba!\Hurry up, guys!\Nino's pumped.\Takoyaki\You all seem pretty excited, too. response:	Why? Fireworks shows happen every year.
context: I do!\Don't get lost.\Yakisoba, yakisoba!\Hurry up, guys!\Nino's pumped.\Takoyaki\You all seem pretty excited, too.\Why? Fireworks shows happen every year. response:	Fireworks were a big part of memories we shared with our mom.
context: Don't get lost.\Yakisoba, yakisoba!\Hurry up, guys!\Nino's pumped.\Takoyaki\You all seem pretty excited, too.\Why? Fireworks shows happen every year.\Fireworks were a big part of memories we shared with our mom. response:	She loved the fireworks, so we all went together every year.
context: Yakisoba, yakisoba!\Hurry up, guys!\Nino's pumped.\Takoyaki\You all seem pretty excited, too.\Why? Fireworks shows happen every year.\Fireworks were a big part of memories we shared with our mom.\She loved the fireworks, so we all went together every year. response:	Every year, even after Mom went away.
context: Hurry up, guys!\Nino's pumped.\Takoyaki\You all seem pretty excited, too.\Why? Fireworks shows happen every year.\Fireworks were a big part of memories we shared with our mom.\She loved the fireworks, so we all went together every year.\Every year, even after Mom went away. response:	For us, fireworks are special.
context: Nino's pumped.\Takoyaki\You all seem pretty excited, too.\Why? Fireworks shows happen every year.\Fireworks were a big part of memories we shared with our mom.\She loved the fireworks, so we all went together every year.\Every year, even after Mom went away.\For us, fireworks are special. response:	I see.
context: Takoyaki\You all seem pretty excited, too.\Why? Fireworks shows happen every year.\Fireworks were a big part of memories we shared with our mom.\She loved the fireworks, so we all went together every year.\Every year, even after Mom went away.\For us, fireworks are special.\I see. response:	No wonder she's so gung-ho.
context: You all seem pretty excited, too.\Why? Fireworks shows happen every year.\Fireworks were a big part of memories we shared with our mom.\She loved the fireworks, so we all went together every year.\Every year, even after Mom went away.\For us, fireworks are special.\I see.\No wonder she's so gung-ho. response:	Thank you all for waiting.
context: Why? Fireworks shows happen every year.\Fireworks were a big part of memories we shared with our mom.\She loved the fireworks, so we all went together every year.\Every year, even after Mom went away.\For us, fireworks are special.\I see.\No wonder she's so gung-ho.\Thank you all for waiting. response:	The fireworks are about to begin.
context: Fireworks were a big part of memories we shared with our mom.\She loved the fireworks, so we all went together every year.\Every year, even after Mom went away.\For us, fireworks are special.\I see.\No wonder she's so gung-ho.\Thank you all for waiting.\The fireworks are about to begin. response:	Guys...
context: She loved the fireworks, so we all went together every year.\Every year, even after Mom went away.\For us, fireworks are special.\I see.\No wonder she's so gung-ho.\Thank you all for waiting.\The fireworks are about to begin.\Guys... response:	The fireworks are starting.
context: Every year, even after Mom went away.\For us, fireworks are special.\I see.\No wonder she's so gung-ho.\Thank you all for waiting.\The fireworks are about to begin.\Guys...\The fireworks are starting. response:	Hurry.
context: For us, fireworks are special.\I see.\No wonder she's so gung-ho.\Thank you all for waiting.\The fireworks are about to begin.\Guys...\The fireworks are starting.\Hurry. response:	Wait, where'd everyone go?
context: I see.\No wonder she's so gung-ho.\Thank you all for waiting.\The fireworks are about to begin.\Guys...\The fireworks are starting.\Hurry.\Wait, where'd everyone go? response:	Ow.
context: No wonder she's so gung-ho.\Thank you all for waiting.\The fireworks are about to begin.\Guys...\The fireworks are starting.\Hurry.\Wait, where'd everyone go?\Ow. response:	Who stepped on my foot?
context: Thank you all for waiting.\The fireworks are about to begin.\Guys...\The fireworks are starting.\Hurry.\Wait, where'd everyone go?\Ow.\Who stepped on my foot? response:	Yotsuba!
context: The fireworks are about to begin.\Guys...\The fireworks are starting.\Hurry.\Wait, where'd everyone go?\Ow.\Who stepped on my foot?\Yotsuba! response:	Ichika!
context: Guys...\The fireworks are starting.\Hurry.\Wait, where'd everyone go?\Ow.\Who stepped on my foot?\Yotsuba!\Ichika! response:	Itsuki!
context: The fireworks are starting.\Hurry.\Wait, where'd everyone go?\Ow.\Who stepped on my foot?\Yotsuba!\Ichika!\Itsuki! response:	Miku!
context: Hurry.\Wait, where'd everyone go?\Ow.\Who stepped on my foot?\Yotsuba!\Ichika!\Itsuki!\Miku! response:	Grab on.
context: Wait, where'd everyone go?\Ow.\Who stepped on my foot?\Yotsuba!\Ichika!\Itsuki!\Miku!\Grab on. response:	Wh-What?
context: Ow.\Who stepped on my foot?\Yotsuba!\Ichika!\Itsuki!\Miku!\Grab on.\Wh-What? response:	We'll never get anywhere standing here.
context: Who stepped on my foot?\Yotsuba!\Ichika!\Itsuki!\Miku!\Grab on.\Wh-What?\We'll never get anywhere standing here. response:	Take me to the shop you rented out.
context: Yotsuba!\Ichika!\Itsuki!\Miku!\Grab on.\Wh-What?\We'll never get anywhere standing here.\Take me to the shop you rented out. response:	Just so you know, you're not invited.
context: Ichika!\Itsuki!\Miku!\Grab on.\Wh-What?\We'll never get anywhere standing here.\Take me to the shop you rented out.\Just so you know, you're not invited. response:	I know, I know. Let's go.
context: Itsuki!\Miku!\Grab on.\Wh-What?\We'll never get anywhere standing here.\Take me to the shop you rented out.\Just so you know, you're not invited.\I know, I know. Let's go. response:	Aren't the five of you going to watch the fireworks together?
context: Miku!\Grab on.\Wh-What?\We'll never get anywhere standing here.\Take me to the shop you rented out.\Just so you know, you're not invited.\I know, I know. Let's go.\Aren't the five of you going to watch the fireworks together? response:	Here?
context: Grab on.\Wh-What?\We'll never get anywhere standing here.\Take me to the shop you rented out.\Just so you know, you're not invited.\I know, I know. Let's go.\Aren't the five of you going to watch the fireworks together?\Here? response:	Yeah.
context: Wh-What?\We'll never get anywhere standing here.\Take me to the shop you rented out.\Just so you know, you're not invited.\I know, I know. Let's go.\Aren't the five of you going to watch the fireworks together?\Here?\Yeah. response:	On the roof of this building.
context: We'll never get anywhere standing here.\Take me to the shop you rented out.\Just so you know, you're not invited.\I know, I know. Let's go.\Aren't the five of you going to watch the fireworks together?\Here?\Yeah.\On the roof of this building. response:	Everyone must be here already.
context: Take me to the shop you rented out.\Just so you know, you're not invited.\I know, I know. Let's go.\Aren't the five of you going to watch the fireworks together?\Here?\Yeah.\On the roof of this building.\Everyone must be here already. response:	Oh, shoot.
context: Just so you know, you're not invited.\I know, I know. Let's go.\Aren't the five of you going to watch the fireworks together?\Here?\Yeah.\On the roof of this building.\Everyone must be here already.\Oh, shoot. response:	Come to think of it, I'm the only one who knows where the shop is.
context: I know, I know. Let's go.\Aren't the five of you going to watch the fireworks together?\Here?\Yeah.\On the roof of this building.\Everyone must be here already.\Oh, shoot.\Come to think of it, I'm the only one who knows where the shop is. response:	Fireworks Show Ends In
context: Aren't the five of you going to watch the fireworks together?\Here?\Yeah.\On the roof of this building.\Everyone must be here already.\Oh, shoot.\Come to think of it, I'm the only one who knows where the shop is.\Fireworks Show Ends In response:	There's a theory that Tokugawa Ieyasu was the first to see fireworks in Japan.
context: Here?\Yeah.\On the roof of this building.\Everyone must be here already.\Oh, shoot.\Come to think of it, I'm the only one who knows where the shop is.\Fireworks Show Ends In\There's a theory that Tokugawa Ieyasu was the first to see fireworks in Japan. response:	Fireworks were invented in China, but they went through Europe
context: Yeah.\On the roof of this building.\Everyone must be here already.\Oh, shoot.\Come to think of it, I'm the only one who knows where the shop is.\Fireworks Show Ends In\There's a theory that Tokugawa Ieyasu was the first to see fireworks in Japan.\Fireworks were invented in China, but they went through Europe response:	and arrived in Japan's Tanegashima along with firearms.
context: On the roof of this building.\Everyone must be here already.\Oh, shoot.\Come to think of it, I'm the only one who knows where the shop is.\Fireworks Show Ends In\There's a theory that Tokugawa Ieyasu was the first to see fireworks in Japan.\Fireworks were invented in China, but they went through Europe\and arrived in Japan's Tanegashima along with firearms. response:	This is utterly boring.
context: Everyone must be here already.\Oh, shoot.\Come to think of it, I'm the only one who knows where the shop is.\Fireworks Show Ends In\There's a theory that Tokugawa Ieyasu was the first to see fireworks in Japan.\Fireworks were invented in China, but they went through Europe\and arrived in Japan's Tanegashima along with firearms.\This is utterly boring. response:	What did I do to deserve having to watch the fireworks with you?
context: Oh, shoot.\Come to think of it, I'm the only one who knows where the shop is.\Fireworks Show Ends In\There's a theory that Tokugawa Ieyasu was the first to see fireworks in Japan.\Fireworks were invented in China, but they went through Europe\and arrived in Japan's Tanegashima along with firearms.\This is utterly boring.\What did I do to deserve having to watch the fireworks with you? response:	It's your fault!
context: Come to think of it, I'm the only one who knows where the shop is.\Fireworks Show Ends In\There's a theory that Tokugawa Ieyasu was the first to see fireworks in Japan.\Fireworks were invented in China, but they went through Europe\and arrived in Japan's Tanegashima along with firearms.\This is utterly boring.\What did I do to deserve having to watch the fireworks with you?\It's your fault! response:	I can't get a hold of them on their phones, either.
context: Fireworks Show Ends In\There's a theory that Tokugawa Ieyasu was the first to see fireworks in Japan.\Fireworks were invented in China, but they went through Europe\and arrived in Japan's Tanegashima along with firearms.\This is utterly boring.\What did I do to deserve having to watch the fireworks with you?\It's your fault!\I can't get a hold of them on their phones, either. response:	I worked so hard to finish my homework, too.
context: There's a theory that Tokugawa Ieyasu was the first to see fireworks in Japan.\Fireworks were invented in China, but they went through Europe\and arrived in Japan's Tanegashima along with firearms.\This is utterly boring.\What did I do to deserve having to watch the fireworks with you?\It's your fault!\I can't get a hold of them on their phones, either.\I worked so hard to finish my homework, too. response:	Why is this happening?
context: Fireworks were invented in China, but they went through Europe\and arrived in Japan's Tanegashima along with firearms.\This is utterly boring.\What did I do to deserve having to watch the fireworks with you?\It's your fault!\I can't get a hold of them on their phones, either.\I worked so hard to finish my homework, too.\Why is this happening? response:	Yotsuba
context: and arrived in Japan's Tanegashima along with firearms.\This is utterly boring.\What did I do to deserve having to watch the fireworks with you?\It's your fault!\I can't get a hold of them on their phones, either.\I worked so hard to finish my homework, too.\Why is this happening?\Yotsuba response:	Incoming call
context: This is utterly boring.\What did I do to deserve having to watch the fireworks with you?\It's your fault!\I can't get a hold of them on their phones, either.\I worked so hard to finish my homework, too.\Why is this happening?\Yotsuba\Incoming call response:	Yotsuba?
context: What did I do to deserve having to watch the fireworks with you?\It's your fault!\I can't get a hold of them on their phones, either.\I worked so hard to finish my homework, too.\Why is this happening?\Yotsuba\Incoming call\Yotsuba? response:	Where are you?
context: It's your fault!\I can't get a hold of them on their phones, either.\I worked so hard to finish my homework, too.\Why is this happening?\Yotsuba\Incoming call\Yotsuba?\Where are you? response:	The clock tower?
context: I can't get a hold of them on their phones, either.\I worked so hard to finish my homework, too.\Why is this happening?\Yotsuba\Incoming call\Yotsuba?\Where are you?\The clock tower? response:	Yeah. Got it.
context: I worked so hard to finish my homework, too.\Why is this happening?\Yotsuba\Incoming call\Yotsuba?\Where are you?\The clock tower?\Yeah. Got it. response:	I'll come get you. Stay there.
context: Why is this happening?\Yotsuba\Incoming call\Yotsuba?\Where are you?\The clock tower?\Yeah. Got it.\I'll come get you. Stay there. response:	Jeez!
context: Yotsuba\Incoming call\Yotsuba?\Where are you?\The clock tower?\Yeah. Got it.\I'll come get you. Stay there.\Jeez! response:	Your sister's fine.
context: Incoming call\Yotsuba?\Where are you?\The clock tower?\Yeah. Got it.\I'll come get you. Stay there.\Jeez!\Your sister's fine. response:	She's with Yotsuba.
context: Yotsuba?\Where are you?\The clock tower?\Yeah. Got it.\I'll come get you. Stay there.\Jeez!\Your sister's fine.\She's with Yotsuba. response:	Okay.
context: Where are you?\The clock tower?\Yeah. Got it.\I'll come get you. Stay there.\Jeez!\Your sister's fine.\She's with Yotsuba.\Okay. response:	Don't just stand there. Call them!
context: The clock tower?\Yeah. Got it.\I'll come get you. Stay there.\Jeez!\Your sister's fine.\She's with Yotsuba.\Okay.\Don't just stand there. Call them! response:	Right.
context: Yeah. Got it.\I'll come get you. Stay there.\Jeez!\Your sister's fine.\She's with Yotsuba.\Okay.\Don't just stand there. Call them!\Right. response:	Uesugi Raiha
context: I'll come get you. Stay there.\Jeez!\Your sister's fine.\She's with Yotsuba.\Okay.\Don't just stand there. Call them!\Right.\Uesugi Raiha response:	Dad
context: Jeez!\Your sister's fine.\She's with Yotsuba.\Okay.\Don't just stand there. Call them!\Right.\Uesugi Raiha\Dad response:	Nope! This phone's useless!
context: Your sister's fine.\She's with Yotsuba.\Okay.\Don't just stand there. Call them!\Right.\Uesugi Raiha\Dad\Nope! This phone's useless! response:	You're useless!
context: She's with Yotsuba.\Okay.\Don't just stand there. Call them!\Right.\Uesugi Raiha\Dad\Nope! This phone's useless!\You're useless! response:	Huh?
context: Okay.\Don't just stand there. Call them!\Right.\Uesugi Raiha\Dad\Nope! This phone's useless!\You're useless!\Huh? response:	Isn't that Ichika?
context: Don't just stand there. Call them!\Right.\Uesugi Raiha\Dad\Nope! This phone's useless!\You're useless!\Huh?\Isn't that Ichika? response:	You're right.
context: Right.\Uesugi Raiha\Dad\Nope! This phone's useless!\You're useless!\Huh?\Isn't that Ichika?\You're right. response:	Why? The network's acting up again.
context: Uesugi Raiha\Dad\Nope! This phone's useless!\You're useless!\Huh?\Isn't that Ichika?\You're right.\Why? The network's acting up again. response:	Fireworks were a big part of memories we shared with our mom.
context: Dad\Nope! This phone's useless!\You're useless!\Huh?\Isn't that Ichika?\You're right.\Why? The network's acting up again.\Fireworks were a big part of memories we shared with our mom. response:	Wait here.
context: Nope! This phone's useless!\You're useless!\Huh?\Isn't that Ichika?\You're right.\Why? The network's acting up again.\Fireworks were a big part of memories we shared with our mom.\Wait here. response:	I'll go get everyone.
context: You're useless!\Huh?\Isn't that Ichika?\You're right.\Why? The network's acting up again.\Fireworks were a big part of memories we shared with our mom.\Wait here.\I'll go get everyone. response:	I don't want to be alone with you anyway.
context: Huh?\Isn't that Ichika?\You're right.\Why? The network's acting up again.\Fireworks were a big part of memories we shared with our mom.\Wait here.\I'll go get everyone.\I don't want to be alone with you anyway. response:	Neither do I.
context: Isn't that Ichika?\You're right.\Why? The network's acting up again.\Fireworks were a big part of memories we shared with our mom.\Wait here.\I'll go get everyone.\I don't want to be alone with you anyway.\Neither do I. response:	Never mind.
context: You're right.\Why? The network's acting up again.\Fireworks were a big part of memories we shared with our mom.\Wait here.\I'll go get everyone.\I don't want to be alone with you anyway.\Neither do I.\Never mind. response:	Go get them for me.
context: Why? The network's acting up again.\Fireworks were a big part of memories we shared with our mom.\Wait here.\I'll go get everyone.\I don't want to be alone with you anyway.\Neither do I.\Never mind.\Go get them for me. response:	Ichika!
context: Fireworks were a big part of memories we shared with our mom.\Wait here.\I'll go get everyone.\I don't want to be alone with you anyway.\Neither do I.\Never mind.\Go get them for me.\Ichika! response:	Good.
