context: There we go... response:	Make sure you listen to your uncle.
context: Incredibly amazing! So what did you think I was?\Gin, are you a No-Face or something?\Why do you wear a mask?\No particular reason.\Never mind me.\Tell me about yourself.\Are you curious?\That's why I waited for you. response:	The next day and the day after that, I went back to the forest.
context: Gin, are you a No-Face or something?\Why do you wear a mask?\No particular reason.\Never mind me.\Tell me about yourself.\Are you curious?\That's why I waited for you.\The next day and the day after that, I went back to the forest. response:	Those summer days, I ran and played all around the mountain.
context: Why do you wear a mask?\No particular reason.\Never mind me.\Tell me about yourself.\Are you curious?\That's why I waited for you.\The next day and the day after that, I went back to the forest.\Those summer days, I ran and played all around the mountain. response:	Over here, over here!
context: No particular reason.\Never mind me.\Tell me about yourself.\Are you curious?\That's why I waited for you.\The next day and the day after that, I went back to the forest.\Those summer days, I ran and played all around the mountain.\Over here, over here! response:	It's better over there.
context: Never mind me.\Tell me about yourself.\Are you curious?\That's why I waited for you.\The next day and the day after that, I went back to the forest.\Those summer days, I ran and played all around the mountain.\Over here, over here!\It's better over there. response:	There.
context: Tell me about yourself.\Are you curious?\That's why I waited for you.\The next day and the day after that, I went back to the forest.\Those summer days, I ran and played all around the mountain.\Over here, over here!\It's better over there.\There. response:	Thank you!
context: Are you curious?\That's why I waited for you.\The next day and the day after that, I went back to the forest.\Those summer days, I ran and played all around the mountain.\Over here, over here!\It's better over there.\There.\Thank you! response:	Even though it was silly,
context: That's why I waited for you.\The next day and the day after that, I went back to the forest.\Those summer days, I ran and played all around the mountain.\Over here, over here!\It's better over there.\There.\Thank you!\Even though it was silly, response:	it was so much fun.
context: The next day and the day after that, I went back to the forest.\Those summer days, I ran and played all around the mountain.\Over here, over here!\It's better over there.\There.\Thank you!\Even though it was silly,\it was so much fun. response:	Did Gin fall asleep?
context: Those summer days, I ran and played all around the mountain.\Over here, over here!\It's better over there.\There.\Thank you!\Even though it was silly,\it was so much fun.\Did Gin fall asleep? response:	It's fine if I touch his mask, right?
context: Over here, over here!\It's better over there.\There.\Thank you!\Even though it was silly,\it was so much fun.\Did Gin fall asleep?\It's fine if I touch his mask, right? response:	Ah, sorry!
context: It's better over there.\There.\Thank you!\Even though it was silly,\it was so much fun.\Did Gin fall asleep?\It's fine if I touch his mask, right?\Ah, sorry! response:	Ouch!
context: There.\Thank you!\Even though it was silly,\it was so much fun.\Did Gin fall asleep?\It's fine if I touch his mask, right?\Ah, sorry!\Ouch! response:	Attacking someone while they're asleep...
context: Thank you!\Even though it was silly,\it was so much fun.\Did Gin fall asleep?\It's fine if I touch his mask, right?\Ah, sorry!\Ouch!\Attacking someone while they're asleep... response:	You sure are a scary little lady.
context: Even though it was silly,\it was so much fun.\Did Gin fall asleep?\It's fine if I touch his mask, right?\Ah, sorry!\Ouch!\Attacking someone while they're asleep...\You sure are a scary little lady. response:	I'm sorry, but
context: it was so much fun.\Did Gin fall asleep?\It's fine if I touch his mask, right?\Ah, sorry!\Ouch!\Attacking someone while they're asleep...\You sure are a scary little lady.\I'm sorry, but response:	you were pretending to sleep, weren't you?
context: Did Gin fall asleep?\It's fine if I touch his mask, right?\Ah, sorry!\Ouch!\Attacking someone while they're asleep...\You sure are a scary little lady.\I'm sorry, but\you were pretending to sleep, weren't you? response:	I looked normal, didn't I?
context: It's fine if I touch his mask, right?\Ah, sorry!\Ouch!\Attacking someone while they're asleep...\You sure are a scary little lady.\I'm sorry, but\you were pretending to sleep, weren't you?\I looked normal, didn't I? response:	Why are you wearing that mask?
context: Ah, sorry!\Ouch!\Attacking someone while they're asleep...\You sure are a scary little lady.\I'm sorry, but\you were pretending to sleep, weren't you?\I looked normal, didn't I?\Why are you wearing that mask? response:	If I don't wear this mask,
context: Ouch!\Attacking someone while they're asleep...\You sure are a scary little lady.\I'm sorry, but\you were pretending to sleep, weren't you?\I looked normal, didn't I?\Why are you wearing that mask?\If I don't wear this mask, response:	I don't look like a spirit, do I?
context: Attacking someone while they're asleep...\You sure are a scary little lady.\I'm sorry, but\you were pretending to sleep, weren't you?\I looked normal, didn't I?\Why are you wearing that mask?\If I don't wear this mask,\I don't look like a spirit, do I? response:	You're weird.
context: You sure are a scary little lady.\I'm sorry, but\you were pretending to sleep, weren't you?\I looked normal, didn't I?\Why are you wearing that mask?\If I don't wear this mask,\I don't look like a spirit, do I?\You're weird. response:	Um, Gin.
context: I'm sorry, but\you were pretending to sleep, weren't you?\I looked normal, didn't I?\Why are you wearing that mask?\If I don't wear this mask,\I don't look like a spirit, do I?\You're weird.\Um, Gin. response:	I won't be able
context: you were pretending to sleep, weren't you?\I looked normal, didn't I?\Why are you wearing that mask?\If I don't wear this mask,\I don't look like a spirit, do I?\You're weird.\Um, Gin.\I won't be able response:	to come here tomorrow.
context: I looked normal, didn't I?\Why are you wearing that mask?\If I don't wear this mask,\I don't look like a spirit, do I?\You're weird.\Um, Gin.\I won't be able\to come here tomorrow. response:	I told you about it before, right?
context: Why are you wearing that mask?\If I don't wear this mask,\I don't look like a spirit, do I?\You're weird.\Um, Gin.\I won't be able\to come here tomorrow.\I told you about it before, right? response:	That I'm just staying at my uncle's place for the summer?
context: If I don't wear this mask,\I don't look like a spirit, do I?\You're weird.\Um, Gin.\I won't be able\to come here tomorrow.\I told you about it before, right?\That I'm just staying at my uncle's place for the summer? response:	So I have to go home tomorrow.
context: I don't look like a spirit, do I?\You're weird.\Um, Gin.\I won't be able\to come here tomorrow.\I told you about it before, right?\That I'm just staying at my uncle's place for the summer?\So I have to go home tomorrow. response:	Will you be able to come again next year?
context: You're weird.\Um, Gin.\I won't be able\to come here tomorrow.\I told you about it before, right?\That I'm just staying at my uncle's place for the summer?\So I have to go home tomorrow.\Will you be able to come again next year? response:	Yeah!
context: Um, Gin.\I won't be able\to come here tomorrow.\I told you about it before, right?\That I'm just staying at my uncle's place for the summer?\So I have to go home tomorrow.\Will you be able to come again next year?\Yeah! response:	This is how summer
context: I won't be able\to come here tomorrow.\I told you about it before, right?\That I'm just staying at my uncle's place for the summer?\So I have to go home tomorrow.\Will you be able to come again next year?\Yeah!\This is how summer response:	became something I looked forward to.
context: to come here tomorrow.\I told you about it before, right?\That I'm just staying at my uncle's place for the summer?\So I have to go home tomorrow.\Will you be able to come again next year?\Yeah!\This is how summer\became something I looked forward to. response:	Gin waited for our promised summer.
context: I told you about it before, right?\That I'm just staying at my uncle's place for the summer?\So I have to go home tomorrow.\Will you be able to come again next year?\Yeah!\This is how summer\became something I looked forward to.\Gin waited for our promised summer. response:	It's cold!
context: That I'm just staying at my uncle's place for the summer?\So I have to go home tomorrow.\Will you be able to come again next year?\Yeah!\This is how summer\became something I looked forward to.\Gin waited for our promised summer.\It's cold! response:	You're weird.
context: So I have to go home tomorrow.\Will you be able to come again next year?\Yeah!\This is how summer\became something I looked forward to.\Gin waited for our promised summer.\It's cold!\You're weird. response:	Of course the water is cold.
context: Will you be able to come again next year?\Yeah!\This is how summer\became something I looked forward to.\Gin waited for our promised summer.\It's cold!\You're weird.\Of course the water is cold. response:	Gin!
context: Yeah!\This is how summer\became something I looked forward to.\Gin waited for our promised summer.\It's cold!\You're weird.\Of course the water is cold.\Gin! response:	Gin!
context: This is how summer\became something I looked forward to.\Gin waited for our promised summer.\It's cold!\You're weird.\Of course the water is cold.\Gin!\Gin! response:	It's dangerous, Gin.
context: became something I looked forward to.\Gin waited for our promised summer.\It's cold!\You're weird.\Of course the water is cold.\Gin!\Gin!\It's dangerous, Gin. response:	That's a human child.
context: Gin waited for our promised summer.\It's cold!\You're weird.\Of course the water is cold.\Gin!\Gin!\It's dangerous, Gin.\That's a human child. response:	If she touches you, you'll disappear.
context: It's cold!\You're weird.\Of course the water is cold.\Gin!\Gin!\It's dangerous, Gin.\That's a human child.\If she touches you, you'll disappear. response:	Thank you.
context: You're weird.\Of course the water is cold.\Gin!\Gin!\It's dangerous, Gin.\That's a human child.\If she touches you, you'll disappear.\Thank you. response:	I'm fine.
context: Of course the water is cold.\Gin!\Gin!\It's dangerous, Gin.\That's a human child.\If she touches you, you'll disappear.\Thank you.\I'm fine. response:	Please don't touch him, human child.
context: Gin!\Gin!\It's dangerous, Gin.\That's a human child.\If she touches you, you'll disappear.\Thank you.\I'm fine.\Please don't touch him, human child. response:	Yes.
context: Gin!\It's dangerous, Gin.\That's a human child.\If she touches you, you'll disappear.\Thank you.\I'm fine.\Please don't touch him, human child.\Yes. response:	Gin.
context: It's dangerous, Gin.\That's a human child.\If she touches you, you'll disappear.\Thank you.\I'm fine.\Please don't touch him, human child.\Yes.\Gin. response:	Be careful.
context: That's a human child.\If she touches you, you'll disappear.\Thank you.\I'm fine.\Please don't touch him, human child.\Yes.\Gin.\Be careful. response:	The spirits can touch him, right?
context: If she touches you, you'll disappear.\Thank you.\I'm fine.\Please don't touch him, human child.\Yes.\Gin.\Be careful.\The spirits can touch him, right? response:	Two summers passed.
context: Thank you.\I'm fine.\Please don't touch him, human child.\Yes.\Gin.\Be careful.\The spirits can touch him, right?\Two summers passed. response:	Then three.
context: I'm fine.\Please don't touch him, human child.\Yes.\Gin.\Be careful.\The spirits can touch him, right?\Two summers passed.\Then three. response:	Hotaru!
context: Please don't touch him, human child.\Yes.\Gin.\Be careful.\The spirits can touch him, right?\Two summers passed.\Then three.\Hotaru! response:	Where are you?
context: Yes.\Gin.\Be careful.\The spirits can touch him, right?\Two summers passed.\Then three.\Hotaru!\Where are you? response:	Hotaru.
context: Gin.\Be careful.\The spirits can touch him, right?\Two summers passed.\Then three.\Hotaru!\Where are you?\Hotaru. response:	Hota-
context: Be careful.\The spirits can touch him, right?\Two summers passed.\Then three.\Hotaru!\Where are you?\Hotaru.\Hota- response:	What're you doing?
context: The spirits can touch him, right?\Two summers passed.\Then three.\Hotaru!\Where are you?\Hotaru.\Hota-\What're you doing? response:	I wanted to see your startled face, but...
context: Two summers passed.\Then three.\Hotaru!\Where are you?\Hotaru.\Hota-\What're you doing?\I wanted to see your startled face, but... response:	At least when I'm around,
context: Then three.\Hotaru!\Where are you?\Hotaru.\Hota-\What're you doing?\I wanted to see your startled face, but...\At least when I'm around, response:	can you take off your mask every once in a while?
context: Hotaru!\Where are you?\Hotaru.\Hota-\What're you doing?\I wanted to see your startled face, but...\At least when I'm around,\can you take off your mask every once in a while? response:	That's fine,
context: Where are you?\Hotaru.\Hota-\What're you doing?\I wanted to see your startled face, but...\At least when I'm around,\can you take off your mask every once in a while?\That's fine, response:	but is there a reason?
context: Hotaru.\Hota-\What're you doing?\I wanted to see your startled face, but...\At least when I'm around,\can you take off your mask every once in a while?\That's fine,\but is there a reason? response:	Not really, but-
context: Hota-\What're you doing?\I wanted to see your startled face, but...\At least when I'm around,\can you take off your mask every once in a while?\That's fine,\but is there a reason?\Not really, but- response:	Watch out, Hota-
context: What're you doing?\I wanted to see your startled face, but...\At least when I'm around,\can you take off your mask every once in a while?\That's fine,\but is there a reason?\Not really, but-\Watch out, Hota- response:	That was close.
context: I wanted to see your startled face, but...\At least when I'm around,\can you take off your mask every once in a while?\That's fine,\but is there a reason?\Not really, but-\Watch out, Hota-\That was close. response:	Yeah...
context: At least when I'm around,\can you take off your mask every once in a while?\That's fine,\but is there a reason?\Not really, but-\Watch out, Hota-\That was close.\Yeah... response:	I'm sorry, Hotaru.
context: can you take off your mask every once in a while?\That's fine,\but is there a reason?\Not really, but-\Watch out, Hota-\That was close.\Yeah...\I'm sorry, Hotaru. response:	Are you okay?
context: That's fine,\but is there a reason?\Not really, but-\Watch out, Hota-\That was close.\Yeah...\I'm sorry, Hotaru.\Are you okay? response:	Thank goodness.
context: but is there a reason?\Not really, but-\Watch out, Hota-\That was close.\Yeah...\I'm sorry, Hotaru.\Are you okay?\Thank goodness. response:	Hey, Gin.
context: Not really, but-\Watch out, Hota-\That was close.\Yeah...\I'm sorry, Hotaru.\Are you okay?\Thank goodness.\Hey, Gin. response:	No matter what, don't ever touch me, okay?
context: Watch out, Hota-\That was close.\Yeah...\I'm sorry, Hotaru.\Are you okay?\Thank goodness.\Hey, Gin.\No matter what, don't ever touch me, okay? response:	Okay?
context: That was close.\Yeah...\I'm sorry, Hotaru.\Are you okay?\Thank goodness.\Hey, Gin.\No matter what, don't ever touch me, okay?\Okay? response:	No matter what!
context: Yeah...\I'm sorry, Hotaru.\Are you okay?\Thank goodness.\Hey, Gin.\No matter what, don't ever touch me, okay?\Okay?\No matter what! response:	The next summer and the summer after that
context: I'm sorry, Hotaru.\Are you okay?\Thank goodness.\Hey, Gin.\No matter what, don't ever touch me, okay?\Okay?\No matter what!\The next summer and the summer after that response:	I visited the forest.
context: Are you okay?\Thank goodness.\Hey, Gin.\No matter what, don't ever touch me, okay?\Okay?\No matter what!\The next summer and the summer after that\I visited the forest. response:	I'm leaving!
context: Thank goodness.\Hey, Gin.\No matter what, don't ever touch me, okay?\Okay?\No matter what!\The next summer and the summer after that\I visited the forest.\I'm leaving! response:	Gin!
context: Hey, Gin.\No matter what, don't ever touch me, okay?\Okay?\No matter what!\The next summer and the summer after that\I visited the forest.\I'm leaving!\Gin! response:	I'm here again this year.
context: No matter what, don't ever touch me, okay?\Okay?\No matter what!\The next summer and the summer after that\I visited the forest.\I'm leaving!\Gin!\I'm here again this year. response:	Ta-da!
context: Okay?\No matter what!\The next summer and the summer after that\I visited the forest.\I'm leaving!\Gin!\I'm here again this year.\Ta-da! response:	I've become a fifth grader.
context: No matter what!\The next summer and the summer after that\I visited the forest.\I'm leaving!\Gin!\I'm here again this year.\Ta-da!\I've become a fifth grader. response:	Somehow,
context: The next summer and the summer after that\I visited the forest.\I'm leaving!\Gin!\I'm here again this year.\Ta-da!\I've become a fifth grader.\Somehow, response:	you're starting to look like a woman.
context: I visited the forest.\I'm leaving!\Gin!\I'm here again this year.\Ta-da!\I've become a fifth grader.\Somehow,\you're starting to look like a woman. response:	I am a woman.
context: I'm leaving!\Gin!\I'm here again this year.\Ta-da!\I've become a fifth grader.\Somehow,\you're starting to look like a woman.\I am a woman. response:	Shall we go?
context: Gin!\I'm here again this year.\Ta-da!\I've become a fifth grader.\Somehow,\you're starting to look like a woman.\I am a woman.\Shall we go? response:	Yeah.
context: I'm here again this year.\Ta-da!\I've become a fifth grader.\Somehow,\you're starting to look like a woman.\I am a woman.\Shall we go?\Yeah. response:	Huh?
context: Ta-da!\I've become a fifth grader.\Somehow,\you're starting to look like a woman.\I am a woman.\Shall we go?\Yeah.\Huh? response:	This is...
context: I've become a fifth grader.\Somehow,\you're starting to look like a woman.\I am a woman.\Shall we go?\Yeah.\Huh?\This is... response:	Oh.
context: Somehow,\you're starting to look like a woman.\I am a woman.\Shall we go?\Yeah.\Huh?\This is...\Oh. response:	Huh?
context: you're starting to look like a woman.\I am a woman.\Shall we go?\Yeah.\Huh?\This is...\Oh.\Huh? response:	Nothing.
context: I am a woman.\Shall we go?\Yeah.\Huh?\This is...\Oh.\Huh?\Nothing. response:	Even though I'm in middle school now,
context: Shall we go?\Yeah.\Huh?\This is...\Oh.\Huh?\Nothing.\Even though I'm in middle school now, response:	a lot of my elementary school friends are in the same classes,
context: Yeah.\Huh?\This is...\Oh.\Huh?\Nothing.\Even though I'm in middle school now,\a lot of my elementary school friends are in the same classes, response:	so it doesn't really feel like anything changed.
context: Huh?\This is...\Oh.\Huh?\Nothing.\Even though I'm in middle school now,\a lot of my elementary school friends are in the same classes,\so it doesn't really feel like anything changed. response:	Our ages are gradually getting closer.
context: This is...\Oh.\Huh?\Nothing.\Even though I'm in middle school now,\a lot of my elementary school friends are in the same classes,\so it doesn't really feel like anything changed.\Our ages are gradually getting closer. response:	Somehow,
context: Oh.\Huh?\Nothing.\Even though I'm in middle school now,\a lot of my elementary school friends are in the same classes,\so it doesn't really feel like anything changed.\Our ages are gradually getting closer.\Somehow, response:	Gin ages much more slowly than humans.
context: Huh?\Nothing.\Even though I'm in middle school now,\a lot of my elementary school friends are in the same classes,\so it doesn't really feel like anything changed.\Our ages are gradually getting closer.\Somehow,\Gin ages much more slowly than humans. response:	Like this?
context: Nothing.\Even though I'm in middle school now,\a lot of my elementary school friends are in the same classes,\so it doesn't really feel like anything changed.\Our ages are gradually getting closer.\Somehow,\Gin ages much more slowly than humans.\Like this? response:	Yeah, yeah.
context: Even though I'm in middle school now,\a lot of my elementary school friends are in the same classes,\so it doesn't really feel like anything changed.\Our ages are gradually getting closer.\Somehow,\Gin ages much more slowly than humans.\Like this?\Yeah, yeah. response:	When I start running, let go, okay?
context: a lot of my elementary school friends are in the same classes,\so it doesn't really feel like anything changed.\Our ages are gradually getting closer.\Somehow,\Gin ages much more slowly than humans.\Like this?\Yeah, yeah.\When I start running, let go, okay? response:	Here I go!
context: so it doesn't really feel like anything changed.\Our ages are gradually getting closer.\Somehow,\Gin ages much more slowly than humans.\Like this?\Yeah, yeah.\When I start running, let go, okay?\Here I go! response:	As the years go by, my appearance changes,
context: Our ages are gradually getting closer.\Somehow,\Gin ages much more slowly than humans.\Like this?\Yeah, yeah.\When I start running, let go, okay?\Here I go!\As the years go by, my appearance changes, response:	but Gin is almost the same as the day we met.
context: Somehow,\Gin ages much more slowly than humans.\Like this?\Yeah, yeah.\When I start running, let go, okay?\Here I go!\As the years go by, my appearance changes,\but Gin is almost the same as the day we met. response:	Someday I'll be older than Gin, won't I?
context: Gin ages much more slowly than humans.\Like this?\Yeah, yeah.\When I start running, let go, okay?\Here I go!\As the years go by, my appearance changes,\but Gin is almost the same as the day we met.\Someday I'll be older than Gin, won't I? response:	Oh, Hotaru.
context: Like this?\Yeah, yeah.\When I start running, let go, okay?\Here I go!\As the years go by, my appearance changes,\but Gin is almost the same as the day we met.\Someday I'll be older than Gin, won't I?\Oh, Hotaru. response:	I cut some watermelon.
context: Yeah, yeah.\When I start running, let go, okay?\Here I go!\As the years go by, my appearance changes,\but Gin is almost the same as the day we met.\Someday I'll be older than Gin, won't I?\Oh, Hotaru.\I cut some watermelon. response:	Let's eat.
context: When I start running, let go, okay?\Here I go!\As the years go by, my appearance changes,\but Gin is almost the same as the day we met.\Someday I'll be older than Gin, won't I?\Oh, Hotaru.\I cut some watermelon.\Let's eat. response:	Okay.
context: Here I go!\As the years go by, my appearance changes,\but Gin is almost the same as the day we met.\Someday I'll be older than Gin, won't I?\Oh, Hotaru.\I cut some watermelon.\Let's eat.\Okay. response:	Yay!
context: As the years go by, my appearance changes,\but Gin is almost the same as the day we met.\Someday I'll be older than Gin, won't I?\Oh, Hotaru.\I cut some watermelon.\Let's eat.\Okay.\Yay! response:	Where's Mom?
context: but Gin is almost the same as the day we met.\Someday I'll be older than Gin, won't I?\Oh, Hotaru.\I cut some watermelon.\Let's eat.\Okay.\Yay!\Where's Mom? response:	Out shopping with your aunt.
context: Someday I'll be older than Gin, won't I?\Oh, Hotaru.\I cut some watermelon.\Let's eat.\Okay.\Yay!\Where's Mom?\Out shopping with your aunt. response:	They went to buy gifts for friends in Yokohama.
context: Oh, Hotaru.\I cut some watermelon.\Let's eat.\Okay.\Yay!\Where's Mom?\Out shopping with your aunt.\They went to buy gifts for friends in Yokohama. response:	What time are you taking the bullet train tomorrow?
context: I cut some watermelon.\Let's eat.\Okay.\Yay!\Where's Mom?\Out shopping with your aunt.\They went to buy gifts for friends in Yokohama.\What time are you taking the bullet train tomorrow? response:	I don't know,
context: Let's eat.\Okay.\Yay!\Where's Mom?\Out shopping with your aunt.\They went to buy gifts for friends in Yokohama.\What time are you taking the bullet train tomorrow?\I don't know, response:	but they said I'll still be here until the afternoon.
context: Okay.\Yay!\Where's Mom?\Out shopping with your aunt.\They went to buy gifts for friends in Yokohama.\What time are you taking the bullet train tomorrow?\I don't know,\but they said I'll still be here until the afternoon. response:	Is that so?
context: Yay!\Where's Mom?\Out shopping with your aunt.\They went to buy gifts for friends in Yokohama.\What time are you taking the bullet train tomorrow?\I don't know,\but they said I'll still be here until the afternoon.\Is that so? response:	This summer's weather was good, so the watermelons are sweet.
context: Where's Mom?\Out shopping with your aunt.\They went to buy gifts for friends in Yokohama.\What time are you taking the bullet train tomorrow?\I don't know,\but they said I'll still be here until the afternoon.\Is that so?\This summer's weather was good, so the watermelons are sweet. response:	If it continues like this, then winter will be freezing.
context: Out shopping with your aunt.\They went to buy gifts for friends in Yokohama.\What time are you taking the bullet train tomorrow?\I don't know,\but they said I'll still be here until the afternoon.\Is that so?\This summer's weather was good, so the watermelons are sweet.\If it continues like this, then winter will be freezing. response:	Is it like that?
context: They went to buy gifts for friends in Yokohama.\What time are you taking the bullet train tomorrow?\I don't know,\but they said I'll still be here until the afternoon.\Is that so?\This summer's weather was good, so the watermelons are sweet.\If it continues like this, then winter will be freezing.\Is it like that? response:	It's like that.
context: What time are you taking the bullet train tomorrow?\I don't know,\but they said I'll still be here until the afternoon.\Is that so?\This summer's weather was good, so the watermelons are sweet.\If it continues like this, then winter will be freezing.\Is it like that?\It's like that. response:	Since this area's located between mountains and the ocean's far away,
context: I don't know,\but they said I'll still be here until the afternoon.\Is that so?\This summer's weather was good, so the watermelons are sweet.\If it continues like this, then winter will be freezing.\Is it like that?\It's like that.\Since this area's located between mountains and the ocean's far away, response:	the temperature difference between summer and winter is huge.
context: but they said I'll still be here until the afternoon.\Is that so?\This summer's weather was good, so the watermelons are sweet.\If it continues like this, then winter will be freezing.\Is it like that?\It's like that.\Since this area's located between mountains and the ocean's far away,\the temperature difference between summer and winter is huge. response:	The cold of a winter that follows an especially hot summer
context: Is that so?\This summer's weather was good, so the watermelons are sweet.\If it continues like this, then winter will be freezing.\Is it like that?\It's like that.\Since this area's located between mountains and the ocean's far away,\the temperature difference between summer and winter is huge.\The cold of a winter that follows an especially hot summer response:	could probably freeze the mountain god himself.
context: This summer's weather was good, so the watermelons are sweet.\If it continues like this, then winter will be freezing.\Is it like that?\It's like that.\Since this area's located between mountains and the ocean's far away,\the temperature difference between summer and winter is huge.\The cold of a winter that follows an especially hot summer\could probably freeze the mountain god himself. response:	Um, Uncle...
context: If it continues like this, then winter will be freezing.\Is it like that?\It's like that.\Since this area's located between mountains and the ocean's far away,\the temperature difference between summer and winter is huge.\The cold of a winter that follows an especially hot summer\could probably freeze the mountain god himself.\Um, Uncle... response:	A scarf?
context: Is it like that?\It's like that.\Since this area's located between mountains and the ocean's far away,\the temperature difference between summer and winter is huge.\The cold of a winter that follows an especially hot summer\could probably freeze the mountain god himself.\Um, Uncle...\A scarf? response:	Yep!
context: It's like that.\Since this area's located between mountains and the ocean's far away,\the temperature difference between summer and winter is huge.\The cold of a winter that follows an especially hot summer\could probably freeze the mountain god himself.\Um, Uncle...\A scarf?\Yep! response:	Please use it in the winter, okay?
context: Since this area's located between mountains and the ocean's far away,\the temperature difference between summer and winter is huge.\The cold of a winter that follows an especially hot summer\could probably freeze the mountain god himself.\Um, Uncle...\A scarf?\Yep!\Please use it in the winter, okay? response:	Bye!
context: the temperature difference between summer and winter is huge.\The cold of a winter that follows an especially hot summer\could probably freeze the mountain god himself.\Um, Uncle...\A scarf?\Yep!\Please use it in the winter, okay?\Bye! response:	Okay.
context: The cold of a winter that follows an especially hot summer\could probably freeze the mountain god himself.\Um, Uncle...\A scarf?\Yep!\Please use it in the winter, okay?\Bye!\Okay. response:	See you next year!
context: could probably freeze the mountain god himself.\Um, Uncle...\A scarf?\Yep!\Please use it in the winter, okay?\Bye!\Okay.\See you next year! response:	Takegawa?
context: Um, Uncle...\A scarf?\Yep!\Please use it in the winter, okay?\Bye!\Okay.\See you next year!\Takegawa? response:	Shouldn't you be heading to your next class soon?
context: A scarf?\Yep!\Please use it in the winter, okay?\Bye!\Okay.\See you next year!\Takegawa?\Shouldn't you be heading to your next class soon? response:	Ah, you're right!
context: Yep!\Please use it in the winter, okay?\Bye!\Okay.\See you next year!\Takegawa?\Shouldn't you be heading to your next class soon?\Ah, you're right! response:	Everyone left already.
context: Please use it in the winter, okay?\Bye!\Okay.\See you next year!\Takegawa?\Shouldn't you be heading to your next class soon?\Ah, you're right!\Everyone left already. response:	I'll see you later.
context: Bye!\Okay.\See you next year!\Takegawa?\Shouldn't you be heading to your next class soon?\Ah, you're right!\Everyone left already.\I'll see you later. response:	Okay!
context: Okay.\See you next year!\Takegawa?\Shouldn't you be heading to your next class soon?\Ah, you're right!\Everyone left already.\I'll see you later.\Okay! response:	Thanks.
context: See you next year!\Takegawa?\Shouldn't you be heading to your next class soon?\Ah, you're right!\Everyone left already.\I'll see you later.\Okay!\Thanks. response:	Thank you for the food.
context: Takegawa?\Shouldn't you be heading to your next class soon?\Ah, you're right!\Everyone left already.\I'll see you later.\Okay!\Thanks.\Thank you for the food. response:	What?
context: Shouldn't you be heading to your next class soon?\Ah, you're right!\Everyone left already.\I'll see you later.\Okay!\Thanks.\Thank you for the food.\What? response:	You're done?
context: Ah, you're right!\Everyone left already.\I'll see you later.\Okay!\Thanks.\Thank you for the food.\What?\You're done? response:	Ah, you probably ate before dinner, didn't you?
context: Everyone left already.\I'll see you later.\Okay!\Thanks.\Thank you for the food.\What?\You're done?\Ah, you probably ate before dinner, didn't you? response:	If you snack, you'll gain weight.
context: I'll see you later.\Okay!\Thanks.\Thank you for the food.\What?\You're done?\Ah, you probably ate before dinner, didn't you?\If you snack, you'll gain weight. response:	I didn't eat anything!
context: Okay!\Thanks.\Thank you for the food.\What?\You're done?\Ah, you probably ate before dinner, didn't you?\If you snack, you'll gain weight.\I didn't eat anything! response:	Jeez.
context: Thanks.\Thank you for the food.\What?\You're done?\Ah, you probably ate before dinner, didn't you?\If you snack, you'll gain weight.\I didn't eat anything!\Jeez. response:	I'm gonna take a bath!
context: Thank you for the food.\What?\You're done?\Ah, you probably ate before dinner, didn't you?\If you snack, you'll gain weight.\I didn't eat anything!\Jeez.\I'm gonna take a bath! response:	Takegawa.
context: What?\You're done?\Ah, you probably ate before dinner, didn't you?\If you snack, you'll gain weight.\I didn't eat anything!\Jeez.\I'm gonna take a bath!\Takegawa. response:	Ta-ke-ga-wa.
context: You're done?\Ah, you probably ate before dinner, didn't you?\If you snack, you'll gain weight.\I didn't eat anything!\Jeez.\I'm gonna take a bath!\Takegawa.\Ta-ke-ga-wa. response:	Oh, good morning.
context: Ah, you probably ate before dinner, didn't you?\If you snack, you'll gain weight.\I didn't eat anything!\Jeez.\I'm gonna take a bath!\Takegawa.\Ta-ke-ga-wa.\Oh, good morning. response:	Good morning.
context: If you snack, you'll gain weight.\I didn't eat anything!\Jeez.\I'm gonna take a bath!\Takegawa.\Ta-ke-ga-wa.\Oh, good morning.\Good morning. response:	There, near your feet.
context: I didn't eat anything!\Jeez.\I'm gonna take a bath!\Takegawa.\Ta-ke-ga-wa.\Oh, good morning.\Good morning.\There, near your feet. response:	It's frozen.
context: Jeez.\I'm gonna take a bath!\Takegawa.\Ta-ke-ga-wa.\Oh, good morning.\Good morning.\There, near your feet.\It's frozen. response:	You'll slip.
context: I'm gonna take a bath!\Takegawa.\Ta-ke-ga-wa.\Oh, good morning.\Good morning.\There, near your feet.\It's frozen.\You'll slip. response:	Be careful.
context: Takegawa.\Ta-ke-ga-wa.\Oh, good morning.\Good morning.\There, near your feet.\It's frozen.\You'll slip.\Be careful. response:	Thank you.
context: Ta-ke-ga-wa.\Oh, good morning.\Good morning.\There, near your feet.\It's frozen.\You'll slip.\Be careful.\Thank you. response:	It's cold today.
context: Oh, good morning.\Good morning.\There, near your feet.\It's frozen.\You'll slip.\Be careful.\Thank you.\It's cold today. response:	Haven't you been a little out of it lately?
context: Good morning.\There, near your feet.\It's frozen.\You'll slip.\Be careful.\Thank you.\It's cold today.\Haven't you been a little out of it lately? response:	Actually, you've always been that way, but...
context: There, near your feet.\It's frozen.\You'll slip.\Be careful.\Thank you.\It's cold today.\Haven't you been a little out of it lately?\Actually, you've always been that way, but... response:	I want to
