context: The moon is about to disappear. response:	Huh?! A shooting star!
context: No need to wait for Naraku's orders.\You'd better stop, Kagura.\I hate Naraku's way of stooping to trickery.\I'll kill anyone who has Sacred Jewel shards.\Who needs a plan of action?\It's all in Naraku's hand... life and death.\We are all Naraku's tools.\Who cares? response:	He's not here now.
context: You'd better stop, Kagura.\I hate Naraku's way of stooping to trickery.\I'll kill anyone who has Sacred Jewel shards.\Who needs a plan of action?\It's all in Naraku's hand... life and death.\We are all Naraku's tools.\Who cares?\He's not here now. response:	This is a weird fog.
context: I hate Naraku's way of stooping to trickery.\I'll kill anyone who has Sacred Jewel shards.\Who needs a plan of action?\It's all in Naraku's hand... life and death.\We are all Naraku's tools.\Who cares?\He's not here now.\This is a weird fog. response:	I can't see a thing!
context: I'll kill anyone who has Sacred Jewel shards.\Who needs a plan of action?\It's all in Naraku's hand... life and death.\We are all Naraku's tools.\Who cares?\He's not here now.\This is a weird fog.\I can't see a thing! response:	Damn!
context: Who needs a plan of action?\It's all in Naraku's hand... life and death.\We are all Naraku's tools.\Who cares?\He's not here now.\This is a weird fog.\I can't see a thing!\Damn! response:	The smell is strongest right here.
context: It's all in Naraku's hand... life and death.\We are all Naraku's tools.\Who cares?\He's not here now.\This is a weird fog.\I can't see a thing!\Damn!\The smell is strongest right here. response:	It has to be around here.
context: We are all Naraku's tools.\Who cares?\He's not here now.\This is a weird fog.\I can't see a thing!\Damn!\The smell is strongest right here.\It has to be around here. response:	Koga! Up above!
context: Who cares?\He's not here now.\This is a weird fog.\I can't see a thing!\Damn!\The smell is strongest right here.\It has to be around here.\Koga! Up above! response:	Skeletons with swords?
context: He's not here now.\This is a weird fog.\I can't see a thing!\Damn!\The smell is strongest right here.\It has to be around here.\Koga! Up above!\Skeletons with swords? response:	Yo! Been awhile, Koga.
context: This is a weird fog.\I can't see a thing!\Damn!\The smell is strongest right here.\It has to be around here.\Koga! Up above!\Skeletons with swords?\Yo! Been awhile, Koga. response:	Why, you!
context: I can't see a thing!\Damn!\The smell is strongest right here.\It has to be around here.\Koga! Up above!\Skeletons with swords?\Yo! Been awhile, Koga.\Why, you! response:	W-What's that?! Those skeletons!
context: Damn!\The smell is strongest right here.\It has to be around here.\Koga! Up above!\Skeletons with swords?\Yo! Been awhile, Koga.\Why, you!\W-What's that?! Those skeletons! response:	They're the guards of the castle.
context: The smell is strongest right here.\It has to be around here.\Koga! Up above!\Skeletons with swords?\Yo! Been awhile, Koga.\Why, you!\W-What's that?! Those skeletons!\They're the guards of the castle. response:	There're countless numbers of them.
context: It has to be around here.\Koga! Up above!\Skeletons with swords?\Yo! Been awhile, Koga.\Why, you!\W-What's that?! Those skeletons!\They're the guards of the castle.\There're countless numbers of them. response:	Wind Sorceress Kagura!
context: Koga! Up above!\Skeletons with swords?\Yo! Been awhile, Koga.\Why, you!\W-What's that?! Those skeletons!\They're the guards of the castle.\There're countless numbers of them.\Wind Sorceress Kagura! response:	I haven't forgotten your despicable face, not for one day!
context: Skeletons with swords?\Yo! Been awhile, Koga.\Why, you!\W-What's that?! Those skeletons!\They're the guards of the castle.\There're countless numbers of them.\Wind Sorceress Kagura!\I haven't forgotten your despicable face, not for one day! response:	After all, you're the one who killed my comrades!
context: Yo! Been awhile, Koga.\Why, you!\W-What's that?! Those skeletons!\They're the guards of the castle.\There're countless numbers of them.\Wind Sorceress Kagura!\I haven't forgotten your despicable face, not for one day!\After all, you're the one who killed my comrades! response:	Prepare to die!
context: Why, you!\W-What's that?! Those skeletons!\They're the guards of the castle.\There're countless numbers of them.\Wind Sorceress Kagura!\I haven't forgotten your despicable face, not for one day!\After all, you're the one who killed my comrades!\Prepare to die! response:	It's payback time for all you did!
context: W-What's that?! Those skeletons!\They're the guards of the castle.\There're countless numbers of them.\Wind Sorceress Kagura!\I haven't forgotten your despicable face, not for one day!\After all, you're the one who killed my comrades!\Prepare to die!\It's payback time for all you did! response:	You should talk!
context: They're the guards of the castle.\There're countless numbers of them.\Wind Sorceress Kagura!\I haven't forgotten your despicable face, not for one day!\After all, you're the one who killed my comrades!\Prepare to die!\It's payback time for all you did!\You should talk! response:	I barely missed taking your Sacred Jewel shards.
context: There're countless numbers of them.\Wind Sorceress Kagura!\I haven't forgotten your despicable face, not for one day!\After all, you're the one who killed my comrades!\Prepare to die!\It's payback time for all you did!\You should talk!\I barely missed taking your Sacred Jewel shards. response:	I'll get them this time, for sure.
context: Wind Sorceress Kagura!\I haven't forgotten your despicable face, not for one day!\After all, you're the one who killed my comrades!\Prepare to die!\It's payback time for all you did!\You should talk!\I barely missed taking your Sacred Jewel shards.\I'll get them this time, for sure. response:	It'll be easy shutting down Koga's speed.
context: I haven't forgotten your despicable face, not for one day!\After all, you're the one who killed my comrades!\Prepare to die!\It's payback time for all you did!\You should talk!\I barely missed taking your Sacred Jewel shards.\I'll get them this time, for sure.\It'll be easy shutting down Koga's speed. response:	I'll let him dance for me.
context: After all, you're the one who killed my comrades!\Prepare to die!\It's payback time for all you did!\You should talk!\I barely missed taking your Sacred Jewel shards.\I'll get them this time, for sure.\It'll be easy shutting down Koga's speed.\I'll let him dance for me. response:	Dance of Corpses!
context: Prepare to die!\It's payback time for all you did!\You should talk!\I barely missed taking your Sacred Jewel shards.\I'll get them this time, for sure.\It'll be easy shutting down Koga's speed.\I'll let him dance for me.\Dance of Corpses! response:	Huh?! Still resorting to tricks!
context: It's payback time for all you did!\You should talk!\I barely missed taking your Sacred Jewel shards.\I'll get them this time, for sure.\It'll be easy shutting down Koga's speed.\I'll let him dance for me.\Dance of Corpses!\Huh?! Still resorting to tricks! response:	Dance of Blades!
context: You should talk!\I barely missed taking your Sacred Jewel shards.\I'll get them this time, for sure.\It'll be easy shutting down Koga's speed.\I'll let him dance for me.\Dance of Corpses!\Huh?! Still resorting to tricks!\Dance of Blades! response:	Ridiculous!
context: I barely missed taking your Sacred Jewel shards.\I'll get them this time, for sure.\It'll be easy shutting down Koga's speed.\I'll let him dance for me.\Dance of Corpses!\Huh?! Still resorting to tricks!\Dance of Blades!\Ridiculous! response:	Take that!
context: I'll get them this time, for sure.\It'll be easy shutting down Koga's speed.\I'll let him dance for me.\Dance of Corpses!\Huh?! Still resorting to tricks!\Dance of Blades!\Ridiculous!\Take that! response:	Did it!
context: It'll be easy shutting down Koga's speed.\I'll let him dance for me.\Dance of Corpses!\Huh?! Still resorting to tricks!\Dance of Blades!\Ridiculous!\Take that!\Did it! response:	Fool! I'll cripple you!
context: I'll let him dance for me.\Dance of Corpses!\Huh?! Still resorting to tricks!\Dance of Blades!\Ridiculous!\Take that!\Did it!\Fool! I'll cripple you! response:	Dance of the Dragon!
context: Dance of Corpses!\Huh?! Still resorting to tricks!\Dance of Blades!\Ridiculous!\Take that!\Did it!\Fool! I'll cripple you!\Dance of the Dragon! response:	- W-What?! - A whirlpool of bones!
context: Huh?! Still resorting to tricks!\Dance of Blades!\Ridiculous!\Take that!\Did it!\Fool! I'll cripple you!\Dance of the Dragon!\- W-What?! - A whirlpool of bones! response:	Damn!
context: Dance of Blades!\Ridiculous!\Take that!\Did it!\Fool! I'll cripple you!\Dance of the Dragon!\- W-What?! - A whirlpool of bones!\Damn! response:	Now choose your fate, Koga.
context: Ridiculous!\Take that!\Did it!\Fool! I'll cripple you!\Dance of the Dragon!\- W-What?! - A whirlpool of bones!\Damn!\Now choose your fate, Koga. response:	Let the skeletons in the whirlpool cut you into bits...
context: Take that!\Did it!\Fool! I'll cripple you!\Dance of the Dragon!\- W-What?! - A whirlpool of bones!\Damn!\Now choose your fate, Koga.\Let the skeletons in the whirlpool cut you into bits... response:	Or jump out and be slain by me.
context: Did it!\Fool! I'll cripple you!\Dance of the Dragon!\- W-What?! - A whirlpool of bones!\Damn!\Now choose your fate, Koga.\Let the skeletons in the whirlpool cut you into bits...\Or jump out and be slain by me. response:	It doesn't matter to me.
context: Fool! I'll cripple you!\Dance of the Dragon!\- W-What?! - A whirlpool of bones!\Damn!\Now choose your fate, Koga.\Let the skeletons in the whirlpool cut you into bits...\Or jump out and be slain by me.\It doesn't matter to me. response:	Hey! Even Koga doesn't have a chance in that!
context: Dance of the Dragon!\- W-What?! - A whirlpool of bones!\Damn!\Now choose your fate, Koga.\Let the skeletons in the whirlpool cut you into bits...\Or jump out and be slain by me.\It doesn't matter to me.\Hey! Even Koga doesn't have a chance in that! response:	- W-What'll we do? - But we're not strong enough...
context: - W-What?! - A whirlpool of bones!\Damn!\Now choose your fate, Koga.\Let the skeletons in the whirlpool cut you into bits...\Or jump out and be slain by me.\It doesn't matter to me.\Hey! Even Koga doesn't have a chance in that!\- W-What'll we do? - But we're not strong enough... response:	Why, that bitch! She's enjoying it!
context: Damn!\Now choose your fate, Koga.\Let the skeletons in the whirlpool cut you into bits...\Or jump out and be slain by me.\It doesn't matter to me.\Hey! Even Koga doesn't have a chance in that!\- W-What'll we do? - But we're not strong enough...\Why, that bitch! She's enjoying it! response:	If we can take away that powerful fan of hers...
context: Now choose your fate, Koga.\Let the skeletons in the whirlpool cut you into bits...\Or jump out and be slain by me.\It doesn't matter to me.\Hey! Even Koga doesn't have a chance in that!\- W-What'll we do? - But we're not strong enough...\Why, that bitch! She's enjoying it!\If we can take away that powerful fan of hers... response:	maybe we can win.
context: Let the skeletons in the whirlpool cut you into bits...\Or jump out and be slain by me.\It doesn't matter to me.\Hey! Even Koga doesn't have a chance in that!\- W-What'll we do? - But we're not strong enough...\Why, that bitch! She's enjoying it!\If we can take away that powerful fan of hers...\maybe we can win. response:	Yeah, you're right!
context: Or jump out and be slain by me.\It doesn't matter to me.\Hey! Even Koga doesn't have a chance in that!\- W-What'll we do? - But we're not strong enough...\Why, that bitch! She's enjoying it!\If we can take away that powerful fan of hers...\maybe we can win.\Yeah, you're right! response:	So get up close and steal it away!
context: It doesn't matter to me.\Hey! Even Koga doesn't have a chance in that!\- W-What'll we do? - But we're not strong enough...\Why, that bitch! She's enjoying it!\If we can take away that powerful fan of hers...\maybe we can win.\Yeah, you're right!\So get up close and steal it away! response:	- Who? - You!
context: Hey! Even Koga doesn't have a chance in that!\- W-What'll we do? - But we're not strong enough...\Why, that bitch! She's enjoying it!\If we can take away that powerful fan of hers...\maybe we can win.\Yeah, you're right!\So get up close and steal it away!\- Who? - You! response:	Stupid! She'll notice me before I get close
context: - W-What'll we do? - But we're not strong enough...\Why, that bitch! She's enjoying it!\If we can take away that powerful fan of hers...\maybe we can win.\Yeah, you're right!\So get up close and steal it away!\- Who? - You!\Stupid! She'll notice me before I get close response:	and I'll be cut into bits!
context: Why, that bitch! She's enjoying it!\If we can take away that powerful fan of hers...\maybe we can win.\Yeah, you're right!\So get up close and steal it away!\- Who? - You!\Stupid! She'll notice me before I get close\and I'll be cut into bits! response:	But to fight Kagura and that wind...
context: If we can take away that powerful fan of hers...\maybe we can win.\Yeah, you're right!\So get up close and steal it away!\- Who? - You!\Stupid! She'll notice me before I get close\and I'll be cut into bits!\But to fight Kagura and that wind... response:	Wait a minute!
context: maybe we can win.\Yeah, you're right!\So get up close and steal it away!\- Who? - You!\Stupid! She'll notice me before I get close\and I'll be cut into bits!\But to fight Kagura and that wind...\Wait a minute! response:	Wind! There IS a way!
context: Yeah, you're right!\So get up close and steal it away!\- Who? - You!\Stupid! She'll notice me before I get close\and I'll be cut into bits!\But to fight Kagura and that wind...\Wait a minute!\Wind! There IS a way! response:	Hey, Ginta! Don't be hasty!
context: So get up close and steal it away!\- Who? - You!\Stupid! She'll notice me before I get close\and I'll be cut into bits!\But to fight Kagura and that wind...\Wait a minute!\Wind! There IS a way!\Hey, Ginta! Don't be hasty! response:	Koga's actions are proof that
context: - Who? - You!\Stupid! She'll notice me before I get close\and I'll be cut into bits!\But to fight Kagura and that wind...\Wait a minute!\Wind! There IS a way!\Hey, Ginta! Don't be hasty!\Koga's actions are proof that response:	Naraku's barrier has become weaker.
context: Stupid! She'll notice me before I get close\and I'll be cut into bits!\But to fight Kagura and that wind...\Wait a minute!\Wind! There IS a way!\Hey, Ginta! Don't be hasty!\Koga's actions are proof that\Naraku's barrier has become weaker. response:	I think we should at least verify the castle's whereabouts.
context: and I'll be cut into bits!\But to fight Kagura and that wind...\Wait a minute!\Wind! There IS a way!\Hey, Ginta! Don't be hasty!\Koga's actions are proof that\Naraku's barrier has become weaker.\I think we should at least verify the castle's whereabouts. response:	But we can't take Inuyasha in his state.
context: But to fight Kagura and that wind...\Wait a minute!\Wind! There IS a way!\Hey, Ginta! Don't be hasty!\Koga's actions are proof that\Naraku's barrier has become weaker.\I think we should at least verify the castle's whereabouts.\But we can't take Inuyasha in his state. response:	So Miroku and I can go.
context: Wait a minute!\Wind! There IS a way!\Hey, Ginta! Don't be hasty!\Koga's actions are proof that\Naraku's barrier has become weaker.\I think we should at least verify the castle's whereabouts.\But we can't take Inuyasha in his state.\So Miroku and I can go. response:	And if Inuyasha won't listen,
context: Wind! There IS a way!\Hey, Ginta! Don't be hasty!\Koga's actions are proof that\Naraku's barrier has become weaker.\I think we should at least verify the castle's whereabouts.\But we can't take Inuyasha in his state.\So Miroku and I can go.\And if Inuyasha won't listen, response:	we'll have Kagome make him sit,
context: Hey, Ginta! Don't be hasty!\Koga's actions are proof that\Naraku's barrier has become weaker.\I think we should at least verify the castle's whereabouts.\But we can't take Inuyasha in his state.\So Miroku and I can go.\And if Inuyasha won't listen,\we'll have Kagome make him sit, response:	then we can knock him out to keep him quiet.
context: Koga's actions are proof that\Naraku's barrier has become weaker.\I think we should at least verify the castle's whereabouts.\But we can't take Inuyasha in his state.\So Miroku and I can go.\And if Inuyasha won't listen,\we'll have Kagome make him sit,\then we can knock him out to keep him quiet. response:	Not that again?
context: Naraku's barrier has become weaker.\I think we should at least verify the castle's whereabouts.\But we can't take Inuyasha in his state.\So Miroku and I can go.\And if Inuyasha won't listen,\we'll have Kagome make him sit,\then we can knock him out to keep him quiet.\Not that again? response:	Like I said...
context: I think we should at least verify the castle's whereabouts.\But we can't take Inuyasha in his state.\So Miroku and I can go.\And if Inuyasha won't listen,\we'll have Kagome make him sit,\then we can knock him out to keep him quiet.\Not that again?\Like I said... response:	Koga likes to be complimented.
context: But we can't take Inuyasha in his state.\So Miroku and I can go.\And if Inuyasha won't listen,\we'll have Kagome make him sit,\then we can knock him out to keep him quiet.\Not that again?\Like I said...\Koga likes to be complimented. response:	So l just thought if I flattered him,
context: So Miroku and I can go.\And if Inuyasha won't listen,\we'll have Kagome make him sit,\then we can knock him out to keep him quiet.\Not that again?\Like I said...\Koga likes to be complimented.\So l just thought if I flattered him, response:	he wouldn't become curious about your sense of smell.
context: And if Inuyasha won't listen,\we'll have Kagome make him sit,\then we can knock him out to keep him quiet.\Not that again?\Like I said...\Koga likes to be complimented.\So l just thought if I flattered him,\he wouldn't become curious about your sense of smell. response:	Still, your eyes were all sparkly!
context: we'll have Kagome make him sit,\then we can knock him out to keep him quiet.\Not that again?\Like I said...\Koga likes to be complimented.\So l just thought if I flattered him,\he wouldn't become curious about your sense of smell.\Still, your eyes were all sparkly! response:	You tend to get too chummy with that wild animal.
context: then we can knock him out to keep him quiet.\Not that again?\Like I said...\Koga likes to be complimented.\So l just thought if I flattered him,\he wouldn't become curious about your sense of smell.\Still, your eyes were all sparkly!\You tend to get too chummy with that wild animal. response:	I do not!
context: Not that again?\Like I said...\Koga likes to be complimented.\So l just thought if I flattered him,\he wouldn't become curious about your sense of smell.\Still, your eyes were all sparkly!\You tend to get too chummy with that wild animal.\I do not! response:	You do!
context: Like I said...\Koga likes to be complimented.\So l just thought if I flattered him,\he wouldn't become curious about your sense of smell.\Still, your eyes were all sparkly!\You tend to get too chummy with that wild animal.\I do not!\You do! response:	Inuyasha!
context: Koga likes to be complimented.\So l just thought if I flattered him,\he wouldn't become curious about your sense of smell.\Still, your eyes were all sparkly!\You tend to get too chummy with that wild animal.\I do not!\You do!\Inuyasha! response:	What?
context: So l just thought if I flattered him,\he wouldn't become curious about your sense of smell.\Still, your eyes were all sparkly!\You tend to get too chummy with that wild animal.\I do not!\You do!\Inuyasha!\What? response:	Kagome!
context: he wouldn't become curious about your sense of smell.\Still, your eyes were all sparkly!\You tend to get too chummy with that wild animal.\I do not!\You do!\Inuyasha!\What?\Kagome! response:	That voice!
context: Still, your eyes were all sparkly!\You tend to get too chummy with that wild animal.\I do not!\You do!\Inuyasha!\What?\Kagome!\That voice! response:	Kagome!
context: You tend to get too chummy with that wild animal.\I do not!\You do!\Inuyasha!\What?\Kagome!\That voice!\Kagome! response:	They're Koga's men.
context: I do not!\You do!\Inuyasha!\What?\Kagome!\That voice!\Kagome!\They're Koga's men. response:	Inuyasha, hide!
context: You do!\Inuyasha!\What?\Kagome!\That voice!\Kagome!\They're Koga's men.\Inuyasha, hide! response:	What's the matter?
context: Inuyasha!\What?\Kagome!\That voice!\Kagome!\They're Koga's men.\Inuyasha, hide!\What's the matter? response:	The Wolf Demon Tribe are here again.
context: What?\Kagome!\That voice!\Kagome!\They're Koga's men.\Inuyasha, hide!\What's the matter?\The Wolf Demon Tribe are here again. response:	This is a bad time.
context: Kagome!\That voice!\Kagome!\They're Koga's men.\Inuyasha, hide!\What's the matter?\The Wolf Demon Tribe are here again.\This is a bad time. response:	Kagome!
context: That voice!\Kagome!\They're Koga's men.\Inuyasha, hide!\What's the matter?\The Wolf Demon Tribe are here again.\This is a bad time.\Kagome! response:	Something terrible's happened!
context: Kagome!\They're Koga's men.\Inuyasha, hide!\What's the matter?\The Wolf Demon Tribe are here again.\This is a bad time.\Kagome!\Something terrible's happened! response:	Huh?
context: They're Koga's men.\Inuyasha, hide!\What's the matter?\The Wolf Demon Tribe are here again.\This is a bad time.\Kagome!\Something terrible's happened!\Huh? response:	Koga and Kagura are fighting?!
context: Inuyasha, hide!\What's the matter?\The Wolf Demon Tribe are here again.\This is a bad time.\Kagome!\Something terrible's happened!\Huh?\Koga and Kagura are fighting?! response:	A-And... it doesn't look too good.
context: What's the matter?\The Wolf Demon Tribe are here again.\This is a bad time.\Kagome!\Something terrible's happened!\Huh?\Koga and Kagura are fighting?!\A-And... it doesn't look too good. response:	Inuyasha, you must not show yourself.
context: The Wolf Demon Tribe are here again.\This is a bad time.\Kagome!\Something terrible's happened!\Huh?\Koga and Kagura are fighting?!\A-And... it doesn't look too good.\Inuyasha, you must not show yourself. response:	Damn! Don't worry! I don't intend to go help Koga.
context: This is a bad time.\Kagome!\Something terrible's happened!\Huh?\Koga and Kagura are fighting?!\A-And... it doesn't look too good.\Inuyasha, you must not show yourself.\Damn! Don't worry! I don't intend to go help Koga. response:	Still... if Kagura's appeared,
context: Kagome!\Something terrible's happened!\Huh?\Koga and Kagura are fighting?!\A-And... it doesn't look too good.\Inuyasha, you must not show yourself.\Damn! Don't worry! I don't intend to go help Koga.\Still... if Kagura's appeared, response:	that means Naraku's castle is nearby.
context: Something terrible's happened!\Huh?\Koga and Kagura are fighting?!\A-And... it doesn't look too good.\Inuyasha, you must not show yourself.\Damn! Don't worry! I don't intend to go help Koga.\Still... if Kagura's appeared,\that means Naraku's castle is nearby. response:	But Naraku had put up a barrier to prevent us from getting close.
context: Huh?\Koga and Kagura are fighting?!\A-And... it doesn't look too good.\Inuyasha, you must not show yourself.\Damn! Don't worry! I don't intend to go help Koga.\Still... if Kagura's appeared,\that means Naraku's castle is nearby.\But Naraku had put up a barrier to prevent us from getting close. response:	This bothers me.
context: Koga and Kagura are fighting?!\A-And... it doesn't look too good.\Inuyasha, you must not show yourself.\Damn! Don't worry! I don't intend to go help Koga.\Still... if Kagura's appeared,\that means Naraku's castle is nearby.\But Naraku had put up a barrier to prevent us from getting close.\This bothers me. response:	I guess we have to go and check.
context: A-And... it doesn't look too good.\Inuyasha, you must not show yourself.\Damn! Don't worry! I don't intend to go help Koga.\Still... if Kagura's appeared,\that means Naraku's castle is nearby.\But Naraku had put up a barrier to prevent us from getting close.\This bothers me.\I guess we have to go and check. response:	Sango!
context: Inuyasha, you must not show yourself.\Damn! Don't worry! I don't intend to go help Koga.\Still... if Kagura's appeared,\that means Naraku's castle is nearby.\But Naraku had put up a barrier to prevent us from getting close.\This bothers me.\I guess we have to go and check.\Sango! response:	Inuyasha, you stay with Kagome.
context: Damn! Don't worry! I don't intend to go help Koga.\Still... if Kagura's appeared,\that means Naraku's castle is nearby.\But Naraku had put up a barrier to prevent us from getting close.\This bothers me.\I guess we have to go and check.\Sango!\Inuyasha, you stay with Kagome. response:	You want to keep your mortal state a secret, don't you?
context: Still... if Kagura's appeared,\that means Naraku's castle is nearby.\But Naraku had put up a barrier to prevent us from getting close.\This bothers me.\I guess we have to go and check.\Sango!\Inuyasha, you stay with Kagome.\You want to keep your mortal state a secret, don't you? response:	Damn! No way!
context: that means Naraku's castle is nearby.\But Naraku had put up a barrier to prevent us from getting close.\This bothers me.\I guess we have to go and check.\Sango!\Inuyasha, you stay with Kagome.\You want to keep your mortal state a secret, don't you?\Damn! No way! response:	What're you doing?!
context: But Naraku had put up a barrier to prevent us from getting close.\This bothers me.\I guess we have to go and check.\Sango!\Inuyasha, you stay with Kagome.\You want to keep your mortal state a secret, don't you?\Damn! No way!\What're you doing?! response:	Stupid!
context: This bothers me.\I guess we have to go and check.\Sango!\Inuyasha, you stay with Kagome.\You want to keep your mortal state a secret, don't you?\Damn! No way!\What're you doing?!\Stupid! response:	Now listen here. If you reveal what you see, I'll kill you!
context: I guess we have to go and check.\Sango!\Inuyasha, you stay with Kagome.\You want to keep your mortal state a secret, don't you?\Damn! No way!\What're you doing?!\Stupid!\Now listen here. If you reveal what you see, I'll kill you! response:	O-Okay!
context: Sango!\Inuyasha, you stay with Kagome.\You want to keep your mortal state a secret, don't you?\Damn! No way!\What're you doing?!\Stupid!\Now listen here. If you reveal what you see, I'll kill you!\O-Okay! response:	A-All right.
context: Inuyasha, you stay with Kagome.\You want to keep your mortal state a secret, don't you?\Damn! No way!\What're you doing?!\Stupid!\Now listen here. If you reveal what you see, I'll kill you!\O-Okay!\A-All right. response:	Inuyasha...
context: You want to keep your mortal state a secret, don't you?\Damn! No way!\What're you doing?!\Stupid!\Now listen here. If you reveal what you see, I'll kill you!\O-Okay!\A-All right.\Inuyasha... response:	Well, he shut them up. So shall we go?
context: Damn! No way!\What're you doing?!\Stupid!\Now listen here. If you reveal what you see, I'll kill you!\O-Okay!\A-All right.\Inuyasha...\Well, he shut them up. So shall we go? response:	I can smell blood in the air. Go... twist and turn harder!
context: What're you doing?!\Stupid!\Now listen here. If you reveal what you see, I'll kill you!\O-Okay!\A-All right.\Inuyasha...\Well, he shut them up. So shall we go?\I can smell blood in the air. Go... twist and turn harder! response:	What's the matter, Koga? Too scared to come out?
context: Stupid!\Now listen here. If you reveal what you see, I'll kill you!\O-Okay!\A-All right.\Inuyasha...\Well, he shut them up. So shall we go?\I can smell blood in the air. Go... twist and turn harder!\What's the matter, Koga? Too scared to come out? response:	Or...
context: Now listen here. If you reveal what you see, I'll kill you!\O-Okay!\A-All right.\Inuyasha...\Well, he shut them up. So shall we go?\I can smell blood in the air. Go... twist and turn harder!\What's the matter, Koga? Too scared to come out?\Or... response:	Are you already dead?
context: O-Okay!\A-All right.\Inuyasha...\Well, he shut them up. So shall we go?\I can smell blood in the air. Go... twist and turn harder!\What's the matter, Koga? Too scared to come out?\Or...\Are you already dead? response:	Damn! That bitch!
context: A-All right.\Inuyasha...\Well, he shut them up. So shall we go?\I can smell blood in the air. Go... twist and turn harder!\What's the matter, Koga? Too scared to come out?\Or...\Are you already dead?\Damn! That bitch! response:	It's useless... No matter how many bones I destroy, there're countless more.
context: Inuyasha...\Well, he shut them up. So shall we go?\I can smell blood in the air. Go... twist and turn harder!\What's the matter, Koga? Too scared to come out?\Or...\Are you already dead?\Damn! That bitch!\It's useless... No matter how many bones I destroy, there're countless more. response:	And my strength won't hold up against these blades.
context: Well, he shut them up. So shall we go?\I can smell blood in the air. Go... twist and turn harder!\What's the matter, Koga? Too scared to come out?\Or...\Are you already dead?\Damn! That bitch!\It's useless... No matter how many bones I destroy, there're countless more.\And my strength won't hold up against these blades. response:	What'll I do?!
context: I can smell blood in the air. Go... twist and turn harder!\What's the matter, Koga? Too scared to come out?\Or...\Are you already dead?\Damn! That bitch!\It's useless... No matter how many bones I destroy, there're countless more.\And my strength won't hold up against these blades.\What'll I do?! response:	Hmm... Maybe I'll let him out.
context: What's the matter, Koga? Too scared to come out?\Or...\Are you already dead?\Damn! That bitch!\It's useless... No matter how many bones I destroy, there're countless more.\And my strength won't hold up against these blades.\What'll I do?!\Hmm... Maybe I'll let him out. response:	If he's in too many pieces, I'll have a hard time finding the shards.
context: Or...\Are you already dead?\Damn! That bitch!\It's useless... No matter how many bones I destroy, there're countless more.\And my strength won't hold up against these blades.\What'll I do?!\Hmm... Maybe I'll let him out.\If he's in too many pieces, I'll have a hard time finding the shards. response:	No need to worry about that!
context: Are you already dead?\Damn! That bitch!\It's useless... No matter how many bones I destroy, there're countless more.\And my strength won't hold up against these blades.\What'll I do?!\Hmm... Maybe I'll let him out.\If he's in too many pieces, I'll have a hard time finding the shards.\No need to worry about that! response:	Huh? Above?
context: Damn! That bitch!\It's useless... No matter how many bones I destroy, there're countless more.\And my strength won't hold up against these blades.\What'll I do?!\Hmm... Maybe I'll let him out.\If he's in too many pieces, I'll have a hard time finding the shards.\No need to worry about that!\Huh? Above? response:	Why, you!
context: It's useless... No matter how many bones I destroy, there're countless more.\And my strength won't hold up against these blades.\What'll I do?!\Hmm... Maybe I'll let him out.\If he's in too many pieces, I'll have a hard time finding the shards.\No need to worry about that!\Huh? Above?\Why, you! response:	Pretty persistent. Is what I'd like to say...
context: And my strength won't hold up against these blades.\What'll I do?!\Hmm... Maybe I'll let him out.\If he's in too many pieces, I'll have a hard time finding the shards.\No need to worry about that!\Huh? Above?\Why, you!\Pretty persistent. Is what I'd like to say... response:	Prepare to die!
context: What'll I do?!\Hmm... Maybe I'll let him out.\If he's in too many pieces, I'll have a hard time finding the shards.\No need to worry about that!\Huh? Above?\Why, you!\Pretty persistent. Is what I'd like to say...\Prepare to die! response:	Damn! I can't move!
context: Hmm... Maybe I'll let him out.\If he's in too many pieces, I'll have a hard time finding the shards.\No need to worry about that!\Huh? Above?\Why, you!\Pretty persistent. Is what I'd like to say...\Prepare to die!\Damn! I can't move! response:	Fool! You can jump or run... but you can't escape my wind!
context: If he's in too many pieces, I'll have a hard time finding the shards.\No need to worry about that!\Huh? Above?\Why, you!\Pretty persistent. Is what I'd like to say...\Prepare to die!\Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind! response:	Fujin!
context: No need to worry about that!\Huh? Above?\Why, you!\Pretty persistent. Is what I'd like to say...\Prepare to die!\Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind!\Fujin! response:	My Sacred Jewel shards!
context: Huh? Above?\Why, you!\Pretty persistent. Is what I'd like to say...\Prepare to die!\Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind!\Fujin!\My Sacred Jewel shards! response:	My Sacred Jewel shards!
context: Why, you!\Pretty persistent. Is what I'd like to say...\Prepare to die!\Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind!\Fujin!\My Sacred Jewel shards!\My Sacred Jewel shards! response:	Now then...
context: Pretty persistent. Is what I'd like to say...\Prepare to die!\Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind!\Fujin!\My Sacred Jewel shards!\My Sacred Jewel shards!\Now then... response:	I'm taking the two shards from your legs.
context: Prepare to die!\Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind!\Fujin!\My Sacred Jewel shards!\My Sacred Jewel shards!\Now then...\I'm taking the two shards from your legs. response:	Now you're just an ordinary demon.
