context: Oh, my! response:	Sasamiya's Waldenholt landed a direct hit on RM-C!
context: The swordsmanship is the same, but...\his speed and power are on a whole different level.\I think RM-C might've shared some of her own Manadite with that big lunk.\If that's the case, then he must have some kind of defect.\If there wasn't any problem, they could've just left him the way he was until now.\I see.\Could it be a time limit or too much of a burden on him?\Either way, we don't have enough information. response:	COOLING DOWN
context: his speed and power are on a whole different level.\I think RM-C might've shared some of her own Manadite with that big lunk.\If that's the case, then he must have some kind of defect.\If there wasn't any problem, they could've just left him the way he was until now.\I see.\Could it be a time limit or too much of a burden on him?\Either way, we don't have enough information.\COOLING DOWN response:	Not to mention, he still needs an interval.
context: I think RM-C might've shared some of her own Manadite with that big lunk.\If that's the case, then he must have some kind of defect.\If there wasn't any problem, they could've just left him the way he was until now.\I see.\Could it be a time limit or too much of a burden on him?\Either way, we don't have enough information.\COOLING DOWN\Not to mention, he still needs an interval. response:	Can you buy me some time?
context: If that's the case, then he must have some kind of defect.\If there wasn't any problem, they could've just left him the way he was until now.\I see.\Could it be a time limit or too much of a burden on him?\Either way, we don't have enough information.\COOLING DOWN\Not to mention, he still needs an interval.\Can you buy me some time? response:	I'll try!
context: If there wasn't any problem, they could've just left him the way he was until now.\I see.\Could it be a time limit or too much of a burden on him?\Either way, we don't have enough information.\COOLING DOWN\Not to mention, he still needs an interval.\Can you buy me some time?\I'll try! response:	Looks like your strategy meeting is over.
context: I see.\Could it be a time limit or too much of a burden on him?\Either way, we don't have enough information.\COOLING DOWN\Not to mention, he still needs an interval.\Can you buy me some time?\I'll try!\Looks like your strategy meeting is over. response:	That was masterful. However...
context: Could it be a time limit or too much of a burden on him?\Either way, we don't have enough information.\COOLING DOWN\Not to mention, he still needs an interval.\Can you buy me some time?\I'll try!\Looks like your strategy meeting is over.\That was masterful. However... response:	I'm not done yet!
context: Either way, we don't have enough information.\COOLING DOWN\Not to mention, he still needs an interval.\Can you buy me some time?\I'll try!\Looks like your strategy meeting is over.\That was masterful. However...\I'm not done yet! response:	Kirin!
context: COOLING DOWN\Not to mention, he still needs an interval.\Can you buy me some time?\I'll try!\Looks like your strategy meeting is over.\That was masterful. However...\I'm not done yet!\Kirin! response:	I'm fine! Never mind me...
context: Not to mention, he still needs an interval.\Can you buy me some time?\I'll try!\Looks like your strategy meeting is over.\That was masterful. However...\I'm not done yet!\Kirin!\I'm fine! Never mind me... response:	You two are powerful enemies that have earned my respect.
context: Can you buy me some time?\I'll try!\Looks like your strategy meeting is over.\That was masterful. However...\I'm not done yet!\Kirin!\I'm fine! Never mind me...\You two are powerful enemies that have earned my respect. response:	Therefore, I shall destroy you with every ounce of my power!
context: I'll try!\Looks like your strategy meeting is over.\That was masterful. However...\I'm not done yet!\Kirin!\I'm fine! Never mind me...\You two are powerful enemies that have earned my respect.\Therefore, I shall destroy you with every ounce of my power! response:	Okay, we just might be screwed.
context: Looks like your strategy meeting is over.\That was masterful. However...\I'm not done yet!\Kirin!\I'm fine! Never mind me...\You two are powerful enemies that have earned my respect.\Therefore, I shall destroy you with every ounce of my power!\Okay, we just might be screwed. response:	Can you move?
context: That was masterful. However...\I'm not done yet!\Kirin!\I'm fine! Never mind me...\You two are powerful enemies that have earned my respect.\Therefore, I shall destroy you with every ounce of my power!\Okay, we just might be screwed.\Can you move? response:	Yes.
context: I'm not done yet!\Kirin!\I'm fine! Never mind me...\You two are powerful enemies that have earned my respect.\Therefore, I shall destroy you with every ounce of my power!\Okay, we just might be screwed.\Can you move?\Yes. response:	I'm all right.
context: Kirin!\I'm fine! Never mind me...\You two are powerful enemies that have earned my respect.\Therefore, I shall destroy you with every ounce of my power!\Okay, we just might be screwed.\Can you move?\Yes.\I'm all right. response:	Kirin, get behind me.
context: I'm fine! Never mind me...\You two are powerful enemies that have earned my respect.\Therefore, I shall destroy you with every ounce of my power!\Okay, we just might be screwed.\Can you move?\Yes.\I'm all right.\Kirin, get behind me. response:	B-But if I do that...
context: You two are powerful enemies that have earned my respect.\Therefore, I shall destroy you with every ounce of my power!\Okay, we just might be screwed.\Can you move?\Yes.\I'm all right.\Kirin, get behind me.\B-But if I do that... response:	It's all right.
context: Therefore, I shall destroy you with every ounce of my power!\Okay, we just might be screwed.\Can you move?\Yes.\I'm all right.\Kirin, get behind me.\B-But if I do that...\It's all right. response:	It's so slow to respond.
context: Okay, we just might be screwed.\Can you move?\Yes.\I'm all right.\Kirin, get behind me.\B-But if I do that...\It's all right.\It's so slow to respond. response:	Volnir Hammer...
context: Can you move?\Yes.\I'm all right.\Kirin, get behind me.\B-But if I do that...\It's all right.\It's so slow to respond.\Volnir Hammer... response:	Fire!
context: Yes.\I'm all right.\Kirin, get behind me.\B-But if I do that...\It's all right.\It's so slow to respond.\Volnir Hammer...\Fire! response:	Full burst!
context: I'm all right.\Kirin, get behind me.\B-But if I do that...\It's all right.\It's so slow to respond.\Volnir Hammer...\Fire!\Full burst! response:	I never thought you could withstand that.
context: Kirin, get behind me.\B-But if I do that...\It's all right.\It's so slow to respond.\Volnir Hammer...\Fire!\Full burst!\I never thought you could withstand that. response:	Kirin, can you make it?
context: B-But if I do that...\It's all right.\It's so slow to respond.\Volnir Hammer...\Fire!\Full burst!\I never thought you could withstand that.\Kirin, can you make it? response:	Of course I can!
context: It's all right.\It's so slow to respond.\Volnir Hammer...\Fire!\Full burst!\I never thought you could withstand that.\Kirin, can you make it?\Of course I can! response:	I can't give up now!
context: It's so slow to respond.\Volnir Hammer...\Fire!\Full burst!\I never thought you could withstand that.\Kirin, can you make it?\Of course I can!\I can't give up now! response:	39-type Lux Ray Gun, Wolfdora...
context: Volnir Hammer...\Fire!\Full burst!\I never thought you could withstand that.\Kirin, can you make it?\Of course I can!\I can't give up now!\39-type Lux Ray Gun, Wolfdora... response:	I'm counting on you to back me up, all right?
context: Fire!\Full burst!\I never thought you could withstand that.\Kirin, can you make it?\Of course I can!\I can't give up now!\39-type Lux Ray Gun, Wolfdora...\I'm counting on you to back me up, all right? response:	How curious...
context: Full burst!\I never thought you could withstand that.\Kirin, can you make it?\Of course I can!\I can't give up now!\39-type Lux Ray Gun, Wolfdora...\I'm counting on you to back me up, all right?\How curious... response:	As I was before this match started,
context: I never thought you could withstand that.\Kirin, can you make it?\Of course I can!\I can't give up now!\39-type Lux Ray Gun, Wolfdora...\I'm counting on you to back me up, all right?\How curious...\As I was before this match started, response:	I would've concluded that your actions were futile.
context: Kirin, can you make it?\Of course I can!\I can't give up now!\39-type Lux Ray Gun, Wolfdora...\I'm counting on you to back me up, all right?\How curious...\As I was before this match started,\I would've concluded that your actions were futile. response:	But as I am now, I am actually in awe of you.
context: Of course I can!\I can't give up now!\39-type Lux Ray Gun, Wolfdora...\I'm counting on you to back me up, all right?\How curious...\As I was before this match started,\I would've concluded that your actions were futile.\But as I am now, I am actually in awe of you. response:	Saya! Kirin!
context: I can't give up now!\39-type Lux Ray Gun, Wolfdora...\I'm counting on you to back me up, all right?\How curious...\As I was before this match started,\I would've concluded that your actions were futile.\But as I am now, I am actually in awe of you.\Saya! Kirin! response:	Looks like they did quite a number on you.
context: 39-type Lux Ray Gun, Wolfdora...\I'm counting on you to back me up, all right?\How curious...\As I was before this match started,\I would've concluded that your actions were futile.\But as I am now, I am actually in awe of you.\Saya! Kirin!\Looks like they did quite a number on you. response:	If only our school badges hadn't been smashed,
context: I'm counting on you to back me up, all right?\How curious...\As I was before this match started,\I would've concluded that your actions were futile.\But as I am now, I am actually in awe of you.\Saya! Kirin!\Looks like they did quite a number on you.\If only our school badges hadn't been smashed, response:	we still had a lot left in the tank.
context: How curious...\As I was before this match started,\I would've concluded that your actions were futile.\But as I am now, I am actually in awe of you.\Saya! Kirin!\Looks like they did quite a number on you.\If only our school badges hadn't been smashed,\we still had a lot left in the tank. response:	We're sorry you had to see us at our most pitiful.
context: As I was before this match started,\I would've concluded that your actions were futile.\But as I am now, I am actually in awe of you.\Saya! Kirin!\Looks like they did quite a number on you.\If only our school badges hadn't been smashed,\we still had a lot left in the tank.\We're sorry you had to see us at our most pitiful. response:	PHOENIX FESTA SEMIFINALS SAYA SASAMIYA AND KIRIN TOUDOU DEFEATED
context: I would've concluded that your actions were futile.\But as I am now, I am actually in awe of you.\Saya! Kirin!\Looks like they did quite a number on you.\If only our school badges hadn't been smashed,\we still had a lot left in the tank.\We're sorry you had to see us at our most pitiful.\PHOENIX FESTA SEMIFINALS SAYA SASAMIYA AND KIRIN TOUDOU DEFEATED response:	We don't see it like that at all.
context: But as I am now, I am actually in awe of you.\Saya! Kirin!\Looks like they did quite a number on you.\If only our school badges hadn't been smashed,\we still had a lot left in the tank.\We're sorry you had to see us at our most pitiful.\PHOENIX FESTA SEMIFINALS SAYA SASAMIYA AND KIRIN TOUDOU DEFEATED\We don't see it like that at all. response:	Well, we're going to avenge you in the final,
context: Saya! Kirin!\Looks like they did quite a number on you.\If only our school badges hadn't been smashed,\we still had a lot left in the tank.\We're sorry you had to see us at our most pitiful.\PHOENIX FESTA SEMIFINALS SAYA SASAMIYA AND KIRIN TOUDOU DEFEATED\We don't see it like that at all.\Well, we're going to avenge you in the final, response:	so you can rest easy.
context: Looks like they did quite a number on you.\If only our school badges hadn't been smashed,\we still had a lot left in the tank.\We're sorry you had to see us at our most pitiful.\PHOENIX FESTA SEMIFINALS SAYA SASAMIYA AND KIRIN TOUDOU DEFEATED\We don't see it like that at all.\Well, we're going to avenge you in the final,\so you can rest easy. response:	Right, Ayato?
context: If only our school badges hadn't been smashed,\we still had a lot left in the tank.\We're sorry you had to see us at our most pitiful.\PHOENIX FESTA SEMIFINALS SAYA SASAMIYA AND KIRIN TOUDOU DEFEATED\We don't see it like that at all.\Well, we're going to avenge you in the final,\so you can rest easy.\Right, Ayato? response:	I'd like nothing more than to do that, but...
context: we still had a lot left in the tank.\We're sorry you had to see us at our most pitiful.\PHOENIX FESTA SEMIFINALS SAYA SASAMIYA AND KIRIN TOUDOU DEFEATED\We don't see it like that at all.\Well, we're going to avenge you in the final,\so you can rest easy.\Right, Ayato?\I'd like nothing more than to do that, but... response:	If you can utter such drivel after watching our match,
context: We're sorry you had to see us at our most pitiful.\PHOENIX FESTA SEMIFINALS SAYA SASAMIYA AND KIRIN TOUDOU DEFEATED\We don't see it like that at all.\Well, we're going to avenge you in the final,\so you can rest easy.\Right, Ayato?\I'd like nothing more than to do that, but...\If you can utter such drivel after watching our match, response:	you're either stupid or you actually think you have a chance...
context: PHOENIX FESTA SEMIFINALS SAYA SASAMIYA AND KIRIN TOUDOU DEFEATED\We don't see it like that at all.\Well, we're going to avenge you in the final,\so you can rest easy.\Right, Ayato?\I'd like nothing more than to do that, but...\If you can utter such drivel after watching our match,\you're either stupid or you actually think you have a chance... response:	All right, then, I'm stupid.
context: We don't see it like that at all.\Well, we're going to avenge you in the final,\so you can rest easy.\Right, Ayato?\I'd like nothing more than to do that, but...\If you can utter such drivel after watching our match,\you're either stupid or you actually think you have a chance...\All right, then, I'm stupid. response:	My original goal was to achieve a grand slam, you know?
context: Well, we're going to avenge you in the final,\so you can rest easy.\Right, Ayato?\I'd like nothing more than to do that, but...\If you can utter such drivel after watching our match,\you're either stupid or you actually think you have a chance...\All right, then, I'm stupid.\My original goal was to achieve a grand slam, you know? response:	Who would spin such a fantasy unless she were stupid?
context: so you can rest easy.\Right, Ayato?\I'd like nothing more than to do that, but...\If you can utter such drivel after watching our match,\you're either stupid or you actually think you have a chance...\All right, then, I'm stupid.\My original goal was to achieve a grand slam, you know?\Who would spin such a fantasy unless she were stupid? response:	You got me.
context: Right, Ayato?\I'd like nothing more than to do that, but...\If you can utter such drivel after watching our match,\you're either stupid or you actually think you have a chance...\All right, then, I'm stupid.\My original goal was to achieve a grand slam, you know?\Who would spin such a fantasy unless she were stupid?\You got me. response:	Right?
context: I'd like nothing more than to do that, but...\If you can utter such drivel after watching our match,\you're either stupid or you actually think you have a chance...\All right, then, I'm stupid.\My original goal was to achieve a grand slam, you know?\Who would spin such a fantasy unless she were stupid?\You got me.\Right? response:	I'm counting on you.
context: If you can utter such drivel after watching our match,\you're either stupid or you actually think you have a chance...\All right, then, I'm stupid.\My original goal was to achieve a grand slam, you know?\Who would spin such a fantasy unless she were stupid?\You got me.\Right?\I'm counting on you. response:	Sure, I've got this!
context: you're either stupid or you actually think you have a chance...\All right, then, I'm stupid.\My original goal was to achieve a grand slam, you know?\Who would spin such a fantasy unless she were stupid?\You got me.\Right?\I'm counting on you.\Sure, I've got this! response:	That must be Flora.
context: All right, then, I'm stupid.\My original goal was to achieve a grand slam, you know?\Who would spin such a fantasy unless she were stupid?\You got me.\Right?\I'm counting on you.\Sure, I've got this!\That must be Flora. response:	Please excuse me.
context: My original goal was to achieve a grand slam, you know?\Who would spin such a fantasy unless she were stupid?\You got me.\Right?\I'm counting on you.\Sure, I've got this!\That must be Flora.\Please excuse me. response:	C-Come in...
context: Who would spin such a fantasy unless she were stupid?\You got me.\Right?\I'm counting on you.\Sure, I've got this!\That must be Flora.\Please excuse me.\C-Come in... response:	Sasamiya, Toudou...
context: You got me.\Right?\I'm counting on you.\Sure, I've got this!\That must be Flora.\Please excuse me.\C-Come in...\Sasamiya, Toudou... response:	Today's outcome was very unfortunate.
context: Right?\I'm counting on you.\Sure, I've got this!\That must be Flora.\Please excuse me.\C-Come in...\Sasamiya, Toudou...\Today's outcome was very unfortunate. response:	That said, reaching the semifinals is an achievement you can be proud of.
context: I'm counting on you.\Sure, I've got this!\That must be Flora.\Please excuse me.\C-Come in...\Sasamiya, Toudou...\Today's outcome was very unfortunate.\That said, reaching the semifinals is an achievement you can be proud of. response:	Thanks to you, Seidoukan's future looks much brighter.
context: Sure, I've got this!\That must be Flora.\Please excuse me.\C-Come in...\Sasamiya, Toudou...\Today's outcome was very unfortunate.\That said, reaching the semifinals is an achievement you can be proud of.\Thanks to you, Seidoukan's future looks much brighter. response:	Oh, no, it wasn't anything.
context: That must be Flora.\Please excuse me.\C-Come in...\Sasamiya, Toudou...\Today's outcome was very unfortunate.\That said, reaching the semifinals is an achievement you can be proud of.\Thanks to you, Seidoukan's future looks much brighter.\Oh, no, it wasn't anything. response:	I only did it for myself.
context: Please excuse me.\C-Come in...\Sasamiya, Toudou...\Today's outcome was very unfortunate.\That said, reaching the semifinals is an achievement you can be proud of.\Thanks to you, Seidoukan's future looks much brighter.\Oh, no, it wasn't anything.\I only did it for myself. response:	Flora sure is late, huh?
context: C-Come in...\Sasamiya, Toudou...\Today's outcome was very unfortunate.\That said, reaching the semifinals is an achievement you can be proud of.\Thanks to you, Seidoukan's future looks much brighter.\Oh, no, it wasn't anything.\I only did it for myself.\Flora sure is late, huh? response:	Yes.
context: Sasamiya, Toudou...\Today's outcome was very unfortunate.\That said, reaching the semifinals is an achievement you can be proud of.\Thanks to you, Seidoukan's future looks much brighter.\Oh, no, it wasn't anything.\I only did it for myself.\Flora sure is late, huh?\Yes. response:	We agreed that she'd join us here after the match.
context: Today's outcome was very unfortunate.\That said, reaching the semifinals is an achievement you can be proud of.\Thanks to you, Seidoukan's future looks much brighter.\Oh, no, it wasn't anything.\I only did it for myself.\Flora sure is late, huh?\Yes.\We agreed that she'd join us here after the match. response:	It's me.
context: That said, reaching the semifinals is an achievement you can be proud of.\Thanks to you, Seidoukan's future looks much brighter.\Oh, no, it wasn't anything.\I only did it for myself.\Flora sure is late, huh?\Yes.\We agreed that she'd join us here after the match.\It's me. response:	What did you say?
context: Thanks to you, Seidoukan's future looks much brighter.\Oh, no, it wasn't anything.\I only did it for myself.\Flora sure is late, huh?\Yes.\We agreed that she'd join us here after the match.\It's me.\What did you say? response:	Hang on a second.
context: Oh, no, it wasn't anything.\I only did it for myself.\Flora sure is late, huh?\Yes.\We agreed that she'd join us here after the match.\It's me.\What did you say?\Hang on a second. response:	It's from Dirk Eberwein.
context: I only did it for myself.\Flora sure is late, huh?\Yes.\We agreed that she'd join us here after the match.\It's me.\What did you say?\Hang on a second.\It's from Dirk Eberwein. response:	Oh, yeah? Sure! Put him on.
context: Flora sure is late, huh?\Yes.\We agreed that she'd join us here after the match.\It's me.\What did you say?\Hang on a second.\It's from Dirk Eberwein.\Oh, yeah? Sure! Put him on. response:	Are you Ernesta Kuhne?
context: Yes.\We agreed that she'd join us here after the match.\It's me.\What did you say?\Hang on a second.\It's from Dirk Eberwein.\Oh, yeah? Sure! Put him on.\Are you Ernesta Kuhne? response:	It's a pleasure to meet you, Tyrant!
context: We agreed that she'd join us here after the match.\It's me.\What did you say?\Hang on a second.\It's from Dirk Eberwein.\Oh, yeah? Sure! Put him on.\Are you Ernesta Kuhne?\It's a pleasure to meet you, Tyrant! response:	So what would you want with me?
context: It's me.\What did you say?\Hang on a second.\It's from Dirk Eberwein.\Oh, yeah? Sure! Put him on.\Are you Ernesta Kuhne?\It's a pleasure to meet you, Tyrant!\So what would you want with me? response:	I thought you people were getting on well with the Magnum Opus?
context: What did you say?\Hang on a second.\It's from Dirk Eberwein.\Oh, yeah? Sure! Put him on.\Are you Ernesta Kuhne?\It's a pleasure to meet you, Tyrant!\So what would you want with me?\I thought you people were getting on well with the Magnum Opus? response:	All I did was agree to mutual non-interference with that crazy woman.
context: Hang on a second.\It's from Dirk Eberwein.\Oh, yeah? Sure! Put him on.\Are you Ernesta Kuhne?\It's a pleasure to meet you, Tyrant!\So what would you want with me?\I thought you people were getting on well with the Magnum Opus?\All I did was agree to mutual non-interference with that crazy woman. response:	Well, of course you did!
context: It's from Dirk Eberwein.\Oh, yeah? Sure! Put him on.\Are you Ernesta Kuhne?\It's a pleasure to meet you, Tyrant!\So what would you want with me?\I thought you people were getting on well with the Magnum Opus?\All I did was agree to mutual non-interference with that crazy woman.\Well, of course you did! response:	After all, she'd never forgive you for abducting the Lonely Strega, Erenshkigal,
context: Oh, yeah? Sure! Put him on.\Are you Ernesta Kuhne?\It's a pleasure to meet you, Tyrant!\So what would you want with me?\I thought you people were getting on well with the Magnum Opus?\All I did was agree to mutual non-interference with that crazy woman.\Well, of course you did!\After all, she'd never forgive you for abducting the Lonely Strega, Erenshkigal, response:	right from under her!
context: Are you Ernesta Kuhne?\It's a pleasure to meet you, Tyrant!\So what would you want with me?\I thought you people were getting on well with the Magnum Opus?\All I did was agree to mutual non-interference with that crazy woman.\Well, of course you did!\After all, she'd never forgive you for abducting the Lonely Strega, Erenshkigal,\right from under her! response:	Who cares about any of that?
context: It's a pleasure to meet you, Tyrant!\So what would you want with me?\I thought you people were getting on well with the Magnum Opus?\All I did was agree to mutual non-interference with that crazy woman.\Well, of course you did!\After all, she'd never forgive you for abducting the Lonely Strega, Erenshkigal,\right from under her!\Who cares about any of that? response:	This is what I wanted to discuss...
context: So what would you want with me?\I thought you people were getting on well with the Magnum Opus?\All I did was agree to mutual non-interference with that crazy woman.\Well, of course you did!\After all, she'd never forgive you for abducting the Lonely Strega, Erenshkigal,\right from under her!\Who cares about any of that?\This is what I wanted to discuss... response:	Join forces with us.
context: I thought you people were getting on well with the Magnum Opus?\All I did was agree to mutual non-interference with that crazy woman.\Well, of course you did!\After all, she'd never forgive you for abducting the Lonely Strega, Erenshkigal,\right from under her!\Who cares about any of that?\This is what I wanted to discuss...\Join forces with us. response:	How ludicrous is that?
context: All I did was agree to mutual non-interference with that crazy woman.\Well, of course you did!\After all, she'd never forgive you for abducting the Lonely Strega, Erenshkigal,\right from under her!\Who cares about any of that?\This is what I wanted to discuss...\Join forces with us.\How ludicrous is that? response:	Wouldn't you say that's a bit rude?
context: Well, of course you did!\After all, she'd never forgive you for abducting the Lonely Strega, Erenshkigal,\right from under her!\Who cares about any of that?\This is what I wanted to discuss...\Join forces with us.\How ludicrous is that?\Wouldn't you say that's a bit rude? response:	Shouldn't you be asking this after we've gotten to know each other?
context: After all, she'd never forgive you for abducting the Lonely Strega, Erenshkigal,\right from under her!\Who cares about any of that?\This is what I wanted to discuss...\Join forces with us.\How ludicrous is that?\Wouldn't you say that's a bit rude?\Shouldn't you be asking this after we've gotten to know each other? response:	There's no need for that.
context: right from under her!\Who cares about any of that?\This is what I wanted to discuss...\Join forces with us.\How ludicrous is that?\Wouldn't you say that's a bit rude?\Shouldn't you be asking this after we've gotten to know each other?\There's no need for that. response:	As long as you help me out,
context: Who cares about any of that?\This is what I wanted to discuss...\Join forces with us.\How ludicrous is that?\Wouldn't you say that's a bit rude?\Shouldn't you be asking this after we've gotten to know each other?\There's no need for that.\As long as you help me out, response:	you will get the appropriate profits. That's all.
context: This is what I wanted to discuss...\Join forces with us.\How ludicrous is that?\Wouldn't you say that's a bit rude?\Shouldn't you be asking this after we've gotten to know each other?\There's no need for that.\As long as you help me out,\you will get the appropriate profits. That's all. response:	Profits?
context: Join forces with us.\How ludicrous is that?\Wouldn't you say that's a bit rude?\Shouldn't you be asking this after we've gotten to know each other?\There's no need for that.\As long as you help me out,\you will get the appropriate profits. That's all.\Profits? response:	I have a souvenir for you take home.
context: How ludicrous is that?\Wouldn't you say that's a bit rude?\Shouldn't you be asking this after we've gotten to know each other?\There's no need for that.\As long as you help me out,\you will get the appropriate profits. That's all.\Profits?\I have a souvenir for you take home. response:	You can decide after seeing it.
context: Wouldn't you say that's a bit rude?\Shouldn't you be asking this after we've gotten to know each other?\There's no need for that.\As long as you help me out,\you will get the appropriate profits. That's all.\Profits?\I have a souvenir for you take home.\You can decide after seeing it. response:	It's from Flora!
context: Shouldn't you be asking this after we've gotten to know each other?\There's no need for that.\As long as you help me out,\you will get the appropriate profits. That's all.\Profits?\I have a souvenir for you take home.\You can decide after seeing it.\It's from Flora! response:	Seriously, what's going on with that girl?
context: There's no need for that.\As long as you help me out,\you will get the appropriate profits. That's all.\Profits?\I have a souvenir for you take home.\You can decide after seeing it.\It's from Flora!\Seriously, what's going on with that girl? response:	You're Julis-Alexia von Riessfeld, I take it?
context: As long as you help me out,\you will get the appropriate profits. That's all.\Profits?\I have a souvenir for you take home.\You can decide after seeing it.\It's from Flora!\Seriously, what's going on with that girl?\You're Julis-Alexia von Riessfeld, I take it? response:	Who the hell are you?!
context: you will get the appropriate profits. That's all.\Profits?\I have a souvenir for you take home.\You can decide after seeing it.\It's from Flora!\Seriously, what's going on with that girl?\You're Julis-Alexia von Riessfeld, I take it?\Who the hell are you?! response:	I have the owner of this terminal in my custody.
context: Profits?\I have a souvenir for you take home.\You can decide after seeing it.\It's from Flora!\Seriously, what's going on with that girl?\You're Julis-Alexia von Riessfeld, I take it?\Who the hell are you?!\I have the owner of this terminal in my custody. response:	Is Ayato Amagiri there?
context: I have a souvenir for you take home.\You can decide after seeing it.\It's from Flora!\Seriously, what's going on with that girl?\You're Julis-Alexia von Riessfeld, I take it?\Who the hell are you?!\I have the owner of this terminal in my custody.\Is Ayato Amagiri there? response:	Yeah, that would be me.
context: You can decide after seeing it.\It's from Flora!\Seriously, what's going on with that girl?\You're Julis-Alexia von Riessfeld, I take it?\Who the hell are you?!\I have the owner of this terminal in my custody.\Is Ayato Amagiri there?\Yeah, that would be me. response:	Is Flora safe?
context: It's from Flora!\Seriously, what's going on with that girl?\You're Julis-Alexia von Riessfeld, I take it?\Who the hell are you?!\I have the owner of this terminal in my custody.\Is Ayato Amagiri there?\Yeah, that would be me.\Is Flora safe? response:	Your Highness! Mr. Amagiri!
context: Seriously, what's going on with that girl?\You're Julis-Alexia von Riessfeld, I take it?\Who the hell are you?!\I have the owner of this terminal in my custody.\Is Ayato Amagiri there?\Yeah, that would be me.\Is Flora safe?\Your Highness! Mr. Amagiri! response:	Flora!
context: You're Julis-Alexia von Riessfeld, I take it?\Who the hell are you?!\I have the owner of this terminal in my custody.\Is Ayato Amagiri there?\Yeah, that would be me.\Is Flora safe?\Your Highness! Mr. Amagiri!\Flora! response:	I only knocked her unconscious.
context: Who the hell are you?!\I have the owner of this terminal in my custody.\Is Ayato Amagiri there?\Yeah, that would be me.\Is Flora safe?\Your Highness! Mr. Amagiri!\Flora!\I only knocked her unconscious. response:	If you meet my demands, I'll let her go right away.
context: I have the owner of this terminal in my custody.\Is Ayato Amagiri there?\Yeah, that would be me.\Is Flora safe?\Your Highness! Mr. Amagiri!\Flora!\I only knocked her unconscious.\If you meet my demands, I'll let her go right away. response:	What do you want?!
context: Is Ayato Amagiri there?\Yeah, that would be me.\Is Flora safe?\Your Highness! Mr. Amagiri!\Flora!\I only knocked her unconscious.\If you meet my demands, I'll let her go right away.\What do you want?! response:	Apply for an emergency freeze on the Ser=Versta.
context: Yeah, that would be me.\Is Flora safe?\Your Highness! Mr. Amagiri!\Flora!\I only knocked her unconscious.\If you meet my demands, I'll let her go right away.\What do you want?!\Apply for an emergency freeze on the Ser=Versta. response:	Remember, if you turn to the police or special ops organizations,
context: Is Flora safe?\Your Highness! Mr. Amagiri!\Flora!\I only knocked her unconscious.\If you meet my demands, I'll let her go right away.\What do you want?!\Apply for an emergency freeze on the Ser=Versta.\Remember, if you turn to the police or special ops organizations, response:	or if you withdraw from the Festa, I can't guarantee her safety. That's all.
context: Your Highness! Mr. Amagiri!\Flora!\I only knocked her unconscious.\If you meet my demands, I'll let her go right away.\What do you want?!\Apply for an emergency freeze on the Ser=Versta.\Remember, if you turn to the police or special ops organizations,\or if you withdraw from the Festa, I can't guarantee her safety. That's all. response:	Hey, wait!
context: Flora!\I only knocked her unconscious.\If you meet my demands, I'll let her go right away.\What do you want?!\Apply for an emergency freeze on the Ser=Versta.\Remember, if you turn to the police or special ops organizations,\or if you withdraw from the Festa, I can't guarantee her safety. That's all.\Hey, wait! response:	Flora...
context: I only knocked her unconscious.\If you meet my demands, I'll let her go right away.\What do you want?!\Apply for an emergency freeze on the Ser=Versta.\Remember, if you turn to the police or special ops organizations,\or if you withdraw from the Festa, I can't guarantee her safety. That's all.\Hey, wait!\Flora... response:	Claudia, what did he mean when he demanded an emergency freeze?
context: If you meet my demands, I'll let her go right away.\What do you want?!\Apply for an emergency freeze on the Ser=Versta.\Remember, if you turn to the police or special ops organizations,\or if you withdraw from the Festa, I can't guarantee her safety. That's all.\Hey, wait!\Flora...\Claudia, what did he mean when he demanded an emergency freeze? response:	When its user senses danger, he can have his Ogre Lux forcefully sealed.
context: What do you want?!\Apply for an emergency freeze on the Ser=Versta.\Remember, if you turn to the police or special ops organizations,\or if you withdraw from the Festa, I can't guarantee her safety. That's all.\Hey, wait!\Flora...\Claudia, what did he mean when he demanded an emergency freeze?\When its user senses danger, he can have his Ogre Lux forcefully sealed. response:	Of course, it is possible to disable such a seal...
context: Apply for an emergency freeze on the Ser=Versta.\Remember, if you turn to the police or special ops organizations,\or if you withdraw from the Festa, I can't guarantee her safety. That's all.\Hey, wait!\Flora...\Claudia, what did he mean when he demanded an emergency freeze?\When its user senses danger, he can have his Ogre Lux forcefully sealed.\Of course, it is possible to disable such a seal... response:	But in that event, Ayato, you'd never be able to wield the Ser=Versta again.
context: Remember, if you turn to the police or special ops organizations,\or if you withdraw from the Festa, I can't guarantee her safety. That's all.\Hey, wait!\Flora...\Claudia, what did he mean when he demanded an emergency freeze?\When its user senses danger, he can have his Ogre Lux forcefully sealed.\Of course, it is possible to disable such a seal...\But in that event, Ayato, you'd never be able to wield the Ser=Versta again. response:	But then...
context: or if you withdraw from the Festa, I can't guarantee her safety. That's all.\Hey, wait!\Flora...\Claudia, what did he mean when he demanded an emergency freeze?\When its user senses danger, he can have his Ogre Lux forcefully sealed.\Of course, it is possible to disable such a seal...\But in that event, Ayato, you'd never be able to wield the Ser=Versta again.\But then... response:	It just means that if I were to do that even once, it would never forgive me.
