context: What a hard painting response:	I should have picked an easier one to paint'
context: What's wrong?\Its Clow-san's presence!\I feel the aura of strong magic.\What?\What is that???\Tomoyo-chan, Shao Lan-kun.\Are these the kind of problems you just said?\Watch out! response:	King of thunder descend!!
context: Its Clow-san's presence!\I feel the aura of strong magic.\What?\What is that???\Tomoyo-chan, Shao Lan-kun.\Are these the kind of problems you just said?\Watch out!\King of thunder descend!! response:	' Are you ok?' Yes.
context: I feel the aura of strong magic.\What?\What is that???\Tomoyo-chan, Shao Lan-kun.\Are these the kind of problems you just said?\Watch out!\King of thunder descend!!\' Are you ok?' Yes. response:	King of thunder, descend!
context: What?\What is that???\Tomoyo-chan, Shao Lan-kun.\Are these the kind of problems you just said?\Watch out!\King of thunder descend!!\' Are you ok?' Yes.\King of thunder, descend! response:	Shit!
context: What is that???\Tomoyo-chan, Shao Lan-kun.\Are these the kind of problems you just said?\Watch out!\King of thunder descend!!\' Are you ok?' Yes.\King of thunder, descend!\Shit! response:	Mei Lin! Sakura!
context: Tomoyo-chan, Shao Lan-kun.\Are these the kind of problems you just said?\Watch out!\King of thunder descend!!\' Are you ok?' Yes.\King of thunder, descend!\Shit!\Mei Lin! Sakura! response:	It hurts!
context: Are these the kind of problems you just said?\Watch out!\King of thunder descend!!\' Are you ok?' Yes.\King of thunder, descend!\Shit!\Mei Lin! Sakura!\It hurts! response:	' Are you OK?' Thank you.
context: Watch out!\King of thunder descend!!\' Are you ok?' Yes.\King of thunder, descend!\Shit!\Mei Lin! Sakura!\It hurts!\' Are you OK?' Thank you. response:	I can't fight something that big!
context: King of thunder descend!!\' Are you ok?' Yes.\King of thunder, descend!\Shit!\Mei Lin! Sakura!\It hurts!\' Are you OK?' Thank you.\I can't fight something that big! response:	There's still so many!
context: ' Are you ok?' Yes.\King of thunder, descend!\Shit!\Mei Lin! Sakura!\It hurts!\' Are you OK?' Thank you.\I can't fight something that big!\There's still so many! response:	How are we going to beat this?
context: King of thunder, descend!\Shit!\Mei Lin! Sakura!\It hurts!\' Are you OK?' Thank you.\I can't fight something that big!\There's still so many!\How are we going to beat this? response:	Damn
context: Shit!\Mei Lin! Sakura!\It hurts!\' Are you OK?' Thank you.\I can't fight something that big!\There's still so many!\How are we going to beat this?\Damn response:	if we want to beat them then'
context: Mei Lin! Sakura!\It hurts!\' Are you OK?' Thank you.\I can't fight something that big!\There's still so many!\How are we going to beat this?\Damn\if we want to beat them then' response:	If we use Wood, it won't affect them.
context: It hurts!\' Are you OK?' Thank you.\I can't fight something that big!\There's still so many!\How are we going to beat this?\Damn\if we want to beat them then'\If we use Wood, it won't affect them. response:	If I use Time, I will lose my power and then I won't be able to fight them.
context: ' Are you OK?' Thank you.\I can't fight something that big!\There's still so many!\How are we going to beat this?\Damn\if we want to beat them then'\If we use Wood, it won't affect them.\If I use Time, I will lose my power and then I won't be able to fight them. response:	The weather is so cold how can I think?
context: I can't fight something that big!\There's still so many!\How are we going to beat this?\Damn\if we want to beat them then'\If we use Wood, it won't affect them.\If I use Time, I will lose my power and then I won't be able to fight them.\The weather is so cold how can I think? response:	Use that card!
context: There's still so many!\How are we going to beat this?\Damn\if we want to beat them then'\If we use Wood, it won't affect them.\If I use Time, I will lose my power and then I won't be able to fight them.\The weather is so cold how can I think?\Use that card! response:	Which card?
context: How are we going to beat this?\Damn\if we want to beat them then'\If we use Wood, it won't affect them.\If I use Time, I will lose my power and then I won't be able to fight them.\The weather is so cold how can I think?\Use that card!\Which card? response:	The one where you caught at the skating rink.
context: Damn\if we want to beat them then'\If we use Wood, it won't affect them.\If I use Time, I will lose my power and then I won't be able to fight them.\The weather is so cold how can I think?\Use that card!\Which card?\The one where you caught at the skating rink. response:	When everybody was frozen!
context: if we want to beat them then'\If we use Wood, it won't affect them.\If I use Time, I will lose my power and then I won't be able to fight them.\The weather is so cold how can I think?\Use that card!\Which card?\The one where you caught at the skating rink.\When everybody was frozen! response:	Freeze!
context: If we use Wood, it won't affect them.\If I use Time, I will lose my power and then I won't be able to fight them.\The weather is so cold how can I think?\Use that card!\Which card?\The one where you caught at the skating rink.\When everybody was frozen!\Freeze! response:	O Key which hides the forces of darkness,
context: If I use Time, I will lose my power and then I won't be able to fight them.\The weather is so cold how can I think?\Use that card!\Which card?\The one where you caught at the skating rink.\When everybody was frozen!\Freeze!\O Key which hides the forces of darkness, response:	reveal thy true form before me.
context: The weather is so cold how can I think?\Use that card!\Which card?\The one where you caught at the skating rink.\When everybody was frozen!\Freeze!\O Key which hides the forces of darkness,\reveal thy true form before me. response:	I, Sakura, command thee under contract
context: Use that card!\Which card?\The one where you caught at the skating rink.\When everybody was frozen!\Freeze!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract response:	Release!
context: Which card?\The one where you caught at the skating rink.\When everybody was frozen!\Freeze!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract\Release! response:	O Card created by Clow,
context: The one where you caught at the skating rink.\When everybody was frozen!\Freeze!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract\Release!\O Card created by Clow, response:	discard thine old form and be reborn.
context: When everybody was frozen!\Freeze!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract\Release!\O Card created by Clow,\discard thine old form and be reborn. response:	Under the name of Sakura, thy new Mistress.
context: Freeze!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract\Release!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress. response:	Freeze!
context: O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract\Release!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Freeze! response:	It's coming again! King of Thunder, descend!
context: reveal thy true form before me.\I, Sakura, command thee under contract\Release!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Freeze!\It's coming again! King of Thunder, descend! response:	It worked!
context: I, Sakura, command thee under contract\Release!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Freeze!\It's coming again! King of Thunder, descend!\It worked! response:	This is because of Mei Lin-chan's idea!
context: Release!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Freeze!\It's coming again! King of Thunder, descend!\It worked!\This is because of Mei Lin-chan's idea! response:	Mei Lin, Sakura,
context: O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Freeze!\It's coming again! King of Thunder, descend!\It worked!\This is because of Mei Lin-chan's idea!\Mei Lin, Sakura, response:	are you ok?
context: discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Freeze!\It's coming again! King of Thunder, descend!\It worked!\This is because of Mei Lin-chan's idea!\Mei Lin, Sakura,\are you ok? response:	I'm fine, because Mei Lin-chan helped me.
context: Under the name of Sakura, thy new Mistress.\Freeze!\It's coming again! King of Thunder, descend!\It worked!\This is because of Mei Lin-chan's idea!\Mei Lin, Sakura,\are you ok?\I'm fine, because Mei Lin-chan helped me. response:	' Tomoyo-chan, are you ok?' Yes.
context: Freeze!\It's coming again! King of Thunder, descend!\It worked!\This is because of Mei Lin-chan's idea!\Mei Lin, Sakura,\are you ok?\I'm fine, because Mei Lin-chan helped me.\' Tomoyo-chan, are you ok?' Yes. response:	Right! Mei Lin-chan are you ok?
context: It's coming again! King of Thunder, descend!\It worked!\This is because of Mei Lin-chan's idea!\Mei Lin, Sakura,\are you ok?\I'm fine, because Mei Lin-chan helped me.\' Tomoyo-chan, are you ok?' Yes.\Right! Mei Lin-chan are you ok? response:	Mei Lin-chan, are your hands ok
context: It worked!\This is because of Mei Lin-chan's idea!\Mei Lin, Sakura,\are you ok?\I'm fine, because Mei Lin-chan helped me.\' Tomoyo-chan, are you ok?' Yes.\Right! Mei Lin-chan are you ok?\Mei Lin-chan, are your hands ok response:	No problem, no problem, I'm very good.
context: This is because of Mei Lin-chan's idea!\Mei Lin, Sakura,\are you ok?\I'm fine, because Mei Lin-chan helped me.\' Tomoyo-chan, are you ok?' Yes.\Right! Mei Lin-chan are you ok?\Mei Lin-chan, are your hands ok\No problem, no problem, I'm very good. response:	I'm so glad!
context: Mei Lin, Sakura,\are you ok?\I'm fine, because Mei Lin-chan helped me.\' Tomoyo-chan, are you ok?' Yes.\Right! Mei Lin-chan are you ok?\Mei Lin-chan, are your hands ok\No problem, no problem, I'm very good.\I'm so glad! response:	Today it was because of that girl
context: are you ok?\I'm fine, because Mei Lin-chan helped me.\' Tomoyo-chan, are you ok?' Yes.\Right! Mei Lin-chan are you ok?\Mei Lin-chan, are your hands ok\No problem, no problem, I'm very good.\I'm so glad!\Today it was because of that girl response:	from Hong Kong that helped.
context: I'm fine, because Mei Lin-chan helped me.\' Tomoyo-chan, are you ok?' Yes.\Right! Mei Lin-chan are you ok?\Mei Lin-chan, are your hands ok\No problem, no problem, I'm very good.\I'm so glad!\Today it was because of that girl\from Hong Kong that helped. response:	There's people coming.
context: ' Tomoyo-chan, are you ok?' Yes.\Right! Mei Lin-chan are you ok?\Mei Lin-chan, are your hands ok\No problem, no problem, I'm very good.\I'm so glad!\Today it was because of that girl\from Hong Kong that helped.\There's people coming. response:	Lets go drink some juice.
context: Right! Mei Lin-chan are you ok?\Mei Lin-chan, are your hands ok\No problem, no problem, I'm very good.\I'm so glad!\Today it was because of that girl\from Hong Kong that helped.\There's people coming.\Lets go drink some juice. response:	Yup.
context: Mei Lin-chan, are your hands ok\No problem, no problem, I'm very good.\I'm so glad!\Today it was because of that girl\from Hong Kong that helped.\There's people coming.\Lets go drink some juice.\Yup. response:	But how come when it happened nobody came by?
context: No problem, no problem, I'm very good.\I'm so glad!\Today it was because of that girl\from Hong Kong that helped.\There's people coming.\Lets go drink some juice.\Yup.\But how come when it happened nobody came by? response:	It is a place to jog.
context: I'm so glad!\Today it was because of that girl\from Hong Kong that helped.\There's people coming.\Lets go drink some juice.\Yup.\But how come when it happened nobody came by?\It is a place to jog. response:	Probably there is
context: Today it was because of that girl\from Hong Kong that helped.\There's people coming.\Lets go drink some juice.\Yup.\But how come when it happened nobody came by?\It is a place to jog.\Probably there is response:	something that scares away people.
context: from Hong Kong that helped.\There's people coming.\Lets go drink some juice.\Yup.\But how come when it happened nobody came by?\It is a place to jog.\Probably there is\something that scares away people. response:	Thinking about it,
context: There's people coming.\Lets go drink some juice.\Yup.\But how come when it happened nobody came by?\It is a place to jog.\Probably there is\something that scares away people.\Thinking about it, response:	before there
context: Lets go drink some juice.\Yup.\But how come when it happened nobody came by?\It is a place to jog.\Probably there is\something that scares away people.\Thinking about it,\before there response:	wasn't any people.
context: Yup.\But how come when it happened nobody came by?\It is a place to jog.\Probably there is\something that scares away people.\Thinking about it,\before there\wasn't any people. response:	Can he do that?
context: But how come when it happened nobody came by?\It is a place to jog.\Probably there is\something that scares away people.\Thinking about it,\before there\wasn't any people.\Can he do that? response:	If he has the power to control people then'
context: It is a place to jog.\Probably there is\something that scares away people.\Thinking about it,\before there\wasn't any people.\Can he do that?\If he has the power to control people then' response:	Power that controls people'
context: Probably there is\something that scares away people.\Thinking about it,\before there\wasn't any people.\Can he do that?\If he has the power to control people then'\Power that controls people' response:	Mei Lin-chan,
context: something that scares away people.\Thinking about it,\before there\wasn't any people.\Can he do that?\If he has the power to control people then'\Power that controls people'\Mei Lin-chan, response:	I like you a lot too.
context: Thinking about it,\before there\wasn't any people.\Can he do that?\If he has the power to control people then'\Power that controls people'\Mei Lin-chan,\I like you a lot too. response:	Why do you say that?
context: before there\wasn't any people.\Can he do that?\If he has the power to control people then'\Power that controls people'\Mei Lin-chan,\I like you a lot too.\Why do you say that? response:	Because'
context: wasn't any people.\Can he do that?\If he has the power to control people then'\Power that controls people'\Mei Lin-chan,\I like you a lot too.\Why do you say that?\Because' response:	No matter what the problem you're in,
context: Can he do that?\If he has the power to control people then'\Power that controls people'\Mei Lin-chan,\I like you a lot too.\Why do you say that?\Because'\No matter what the problem you're in, response:	remember me.
context: If he has the power to control people then'\Power that controls people'\Mei Lin-chan,\I like you a lot too.\Why do you say that?\Because'\No matter what the problem you're in,\remember me. response:	Yup.
context: Power that controls people'\Mei Lin-chan,\I like you a lot too.\Why do you say that?\Because'\No matter what the problem you're in,\remember me.\Yup. response:	Mei Lin-chan,
context: Mei Lin-chan,\I like you a lot too.\Why do you say that?\Because'\No matter what the problem you're in,\remember me.\Yup.\Mei Lin-chan, response:	tomorrow, what time will your plane come?
context: I like you a lot too.\Why do you say that?\Because'\No matter what the problem you're in,\remember me.\Yup.\Mei Lin-chan,\tomorrow, what time will your plane come? response:	' 10 A.M.' Really?
context: Why do you say that?\Because'\No matter what the problem you're in,\remember me.\Yup.\Mei Lin-chan,\tomorrow, what time will your plane come?\' 10 A.M.' Really? response:	We have to go to school, we cant send you off.
context: Because'\No matter what the problem you're in,\remember me.\Yup.\Mei Lin-chan,\tomorrow, what time will your plane come?\' 10 A.M.' Really?\We have to go to school, we cant send you off. response:	We'll see each other later.
context: No matter what the problem you're in,\remember me.\Yup.\Mei Lin-chan,\tomorrow, what time will your plane come?\' 10 A.M.' Really?\We have to go to school, we cant send you off.\We'll see each other later. response:	Maybe you can visit
context: remember me.\Yup.\Mei Lin-chan,\tomorrow, what time will your plane come?\' 10 A.M.' Really?\We have to go to school, we cant send you off.\We'll see each other later.\Maybe you can visit response:	Hong Kong over the summer.
context: Yup.\Mei Lin-chan,\tomorrow, what time will your plane come?\' 10 A.M.' Really?\We have to go to school, we cant send you off.\We'll see each other later.\Maybe you can visit\Hong Kong over the summer. response:	Then we can see each other.
context: Mei Lin-chan,\tomorrow, what time will your plane come?\' 10 A.M.' Really?\We have to go to school, we cant send you off.\We'll see each other later.\Maybe you can visit\Hong Kong over the summer.\Then we can see each other. response:	Yes.
context: tomorrow, what time will your plane come?\' 10 A.M.' Really?\We have to go to school, we cant send you off.\We'll see each other later.\Maybe you can visit\Hong Kong over the summer.\Then we can see each other.\Yes. response:	What do you want to talk to me about?
context: ' 10 A.M.' Really?\We have to go to school, we cant send you off.\We'll see each other later.\Maybe you can visit\Hong Kong over the summer.\Then we can see each other.\Yes.\What do you want to talk to me about? response:	If'
context: We have to go to school, we cant send you off.\We'll see each other later.\Maybe you can visit\Hong Kong over the summer.\Then we can see each other.\Yes.\What do you want to talk to me about?\If' response:	I have the person that I like.
context: We'll see each other later.\Maybe you can visit\Hong Kong over the summer.\Then we can see each other.\Yes.\What do you want to talk to me about?\If'\I have the person that I like. response:	I wanted to tell you.
context: Maybe you can visit\Hong Kong over the summer.\Then we can see each other.\Yes.\What do you want to talk to me about?\If'\I have the person that I like.\I wanted to tell you. response:	Someone you like yourself?
context: Hong Kong over the summer.\Then we can see each other.\Yes.\What do you want to talk to me about?\If'\I have the person that I like.\I wanted to tell you.\Someone you like yourself? response:	Yes.
context: Then we can see each other.\Yes.\What do you want to talk to me about?\If'\I have the person that I like.\I wanted to tell you.\Someone you like yourself?\Yes. response:	I see.
context: Yes.\What do you want to talk to me about?\If'\I have the person that I like.\I wanted to tell you.\Someone you like yourself?\Yes.\I see. response:	Is it Kinomoto-san?
context: What do you want to talk to me about?\If'\I have the person that I like.\I wanted to tell you.\Someone you like yourself?\Yes.\I see.\Is it Kinomoto-san? response:	How do you know?
context: If'\I have the person that I like.\I wanted to tell you.\Someone you like yourself?\Yes.\I see.\Is it Kinomoto-san?\How do you know? response:	Because you call her Sakura.
context: I have the person that I like.\I wanted to tell you.\Someone you like yourself?\Yes.\I see.\Is it Kinomoto-san?\How do you know?\Because you call her Sakura. response:	You will call girls by their names
context: I wanted to tell you.\Someone you like yourself?\Yes.\I see.\Is it Kinomoto-san?\How do you know?\Because you call her Sakura.\You will call girls by their names response:	and your sisters will have me.
context: Someone you like yourself?\Yes.\I see.\Is it Kinomoto-san?\How do you know?\Because you call her Sakura.\You will call girls by their names\and your sisters will have me. response:	So our engagement is over.
context: Yes.\I see.\Is it Kinomoto-san?\How do you know?\Because you call her Sakura.\You will call girls by their names\and your sisters will have me.\So our engagement is over. response:	Thanks for the food.
context: I see.\Is it Kinomoto-san?\How do you know?\Because you call her Sakura.\You will call girls by their names\and your sisters will have me.\So our engagement is over.\Thanks for the food. response:	' Where are you going?' Daidoujii-san's house.
context: Is it Kinomoto-san?\How do you know?\Because you call her Sakura.\You will call girls by their names\and your sisters will have me.\So our engagement is over.\Thanks for the food.\' Where are you going?' Daidoujii-san's house. response:	I haven't gotten to talk to her today.
context: How do you know?\Because you call her Sakura.\You will call girls by their names\and your sisters will have me.\So our engagement is over.\Thanks for the food.\' Where are you going?' Daidoujii-san's house.\I haven't gotten to talk to her today. response:	' Your going by yourself?' Shao Lan.
context: Because you call her Sakura.\You will call girls by their names\and your sisters will have me.\So our engagement is over.\Thanks for the food.\' Where are you going?' Daidoujii-san's house.\I haven't gotten to talk to her today.\' Your going by yourself?' Shao Lan. response:	Wait, I'll go with you.
context: You will call girls by their names\and your sisters will have me.\So our engagement is over.\Thanks for the food.\' Where are you going?' Daidoujii-san's house.\I haven't gotten to talk to her today.\' Your going by yourself?' Shao Lan.\Wait, I'll go with you. response:	' You don't need to.' Mei Lin.
context: and your sisters will have me.\So our engagement is over.\Thanks for the food.\' Where are you going?' Daidoujii-san's house.\I haven't gotten to talk to her today.\' Your going by yourself?' Shao Lan.\Wait, I'll go with you.\' You don't need to.' Mei Lin. response:	It'll be ok, I'll take a cab.
context: So our engagement is over.\Thanks for the food.\' Where are you going?' Daidoujii-san's house.\I haven't gotten to talk to her today.\' Your going by yourself?' Shao Lan.\Wait, I'll go with you.\' You don't need to.' Mei Lin.\It'll be ok, I'll take a cab. response:	Tommorow I'll go from Daidouji-san
context: Thanks for the food.\' Where are you going?' Daidoujii-san's house.\I haven't gotten to talk to her today.\' Your going by yourself?' Shao Lan.\Wait, I'll go with you.\' You don't need to.' Mei Lin.\It'll be ok, I'll take a cab.\Tommorow I'll go from Daidouji-san response:	house to the airport.
context: ' Where are you going?' Daidoujii-san's house.\I haven't gotten to talk to her today.\' Your going by yourself?' Shao Lan.\Wait, I'll go with you.\' You don't need to.' Mei Lin.\It'll be ok, I'll take a cab.\Tommorow I'll go from Daidouji-san\house to the airport. response:	See ya.
context: I haven't gotten to talk to her today.\' Your going by yourself?' Shao Lan.\Wait, I'll go with you.\' You don't need to.' Mei Lin.\It'll be ok, I'll take a cab.\Tommorow I'll go from Daidouji-san\house to the airport.\See ya. response:	Let her go by herself.
context: ' Your going by yourself?' Shao Lan.\Wait, I'll go with you.\' You don't need to.' Mei Lin.\It'll be ok, I'll take a cab.\Tommorow I'll go from Daidouji-san\house to the airport.\See ya.\Let her go by herself. response:	It makes me mad to death!
context: Wait, I'll go with you.\' You don't need to.' Mei Lin.\It'll be ok, I'll take a cab.\Tommorow I'll go from Daidouji-san\house to the airport.\See ya.\Let her go by herself.\It makes me mad to death! response:	I was the person who liked Shao Lan the best.
context: ' You don't need to.' Mei Lin.\It'll be ok, I'll take a cab.\Tommorow I'll go from Daidouji-san\house to the airport.\See ya.\Let her go by herself.\It makes me mad to death!\I was the person who liked Shao Lan the best. response:	I wouldn't give him up for any other person.
context: It'll be ok, I'll take a cab.\Tommorow I'll go from Daidouji-san\house to the airport.\See ya.\Let her go by herself.\It makes me mad to death!\I was the person who liked Shao Lan the best.\I wouldn't give him up for any other person. response:	How come it ended up this way
context: Tommorow I'll go from Daidouji-san\house to the airport.\See ya.\Let her go by herself.\It makes me mad to death!\I was the person who liked Shao Lan the best.\I wouldn't give him up for any other person.\How come it ended up this way response:	I'm really mad
context: house to the airport.\See ya.\Let her go by herself.\It makes me mad to death!\I was the person who liked Shao Lan the best.\I wouldn't give him up for any other person.\How come it ended up this way\I'm really mad response:	but I still like Kinomoto-san
context: See ya.\Let her go by herself.\It makes me mad to death!\I was the person who liked Shao Lan the best.\I wouldn't give him up for any other person.\How come it ended up this way\I'm really mad\but I still like Kinomoto-san response:	I also like Kinomoto-san.
context: Let her go by herself.\It makes me mad to death!\I was the person who liked Shao Lan the best.\I wouldn't give him up for any other person.\How come it ended up this way\I'm really mad\but I still like Kinomoto-san\I also like Kinomoto-san. response:	I know that she's a good person.
context: It makes me mad to death!\I was the person who liked Shao Lan the best.\I wouldn't give him up for any other person.\How come it ended up this way\I'm really mad\but I still like Kinomoto-san\I also like Kinomoto-san.\I know that she's a good person. response:	That Shao Lan likes Kinomoto-san isn't a problem.
context: I was the person who liked Shao Lan the best.\I wouldn't give him up for any other person.\How come it ended up this way\I'm really mad\but I still like Kinomoto-san\I also like Kinomoto-san.\I know that she's a good person.\That Shao Lan likes Kinomoto-san isn't a problem. response:	That's how I'm thinking.
context: I wouldn't give him up for any other person.\How come it ended up this way\I'm really mad\but I still like Kinomoto-san\I also like Kinomoto-san.\I know that she's a good person.\That Shao Lan likes Kinomoto-san isn't a problem.\That's how I'm thinking. response:	But I'm crying because of another reason.
context: How come it ended up this way\I'm really mad\but I still like Kinomoto-san\I also like Kinomoto-san.\I know that she's a good person.\That Shao Lan likes Kinomoto-san isn't a problem.\That's how I'm thinking.\But I'm crying because of another reason. response:	Today I'm going to cry until morning.
context: I'm really mad\but I still like Kinomoto-san\I also like Kinomoto-san.\I know that she's a good person.\That Shao Lan likes Kinomoto-san isn't a problem.\That's how I'm thinking.\But I'm crying because of another reason.\Today I'm going to cry until morning. response:	I want to cry until I die. I want to
context: but I still like Kinomoto-san\I also like Kinomoto-san.\I know that she's a good person.\That Shao Lan likes Kinomoto-san isn't a problem.\That's how I'm thinking.\But I'm crying because of another reason.\Today I'm going to cry until morning.\I want to cry until I die. I want to response:	cry until I can't cry for Shao Lan any more.
context: I also like Kinomoto-san.\I know that she's a good person.\That Shao Lan likes Kinomoto-san isn't a problem.\That's how I'm thinking.\But I'm crying because of another reason.\Today I'm going to cry until morning.\I want to cry until I die. I want to\cry until I can't cry for Shao Lan any more. response:	' Are my eyes red?' No,
context: I know that she's a good person.\That Shao Lan likes Kinomoto-san isn't a problem.\That's how I'm thinking.\But I'm crying because of another reason.\Today I'm going to cry until morning.\I want to cry until I die. I want to\cry until I can't cry for Shao Lan any more.\' Are my eyes red?' No, response:	you look fine you look exactly as cute as you are
context: That Shao Lan likes Kinomoto-san isn't a problem.\That's how I'm thinking.\But I'm crying because of another reason.\Today I'm going to cry until morning.\I want to cry until I die. I want to\cry until I can't cry for Shao Lan any more.\' Are my eyes red?' No,\you look fine you look exactly as cute as you are response:	Shao Lan, are you just going to stand there?
context: That's how I'm thinking.\But I'm crying because of another reason.\Today I'm going to cry until morning.\I want to cry until I die. I want to\cry until I can't cry for Shao Lan any more.\' Are my eyes red?' No,\you look fine you look exactly as cute as you are\Shao Lan, are you just going to stand there? response:	No' um'
context: But I'm crying because of another reason.\Today I'm going to cry until morning.\I want to cry until I die. I want to\cry until I can't cry for Shao Lan any more.\' Are my eyes red?' No,\you look fine you look exactly as cute as you are\Shao Lan, are you just going to stand there?\No' um' response:	Come and help me.
context: Today I'm going to cry until morning.\I want to cry until I die. I want to\cry until I can't cry for Shao Lan any more.\' Are my eyes red?' No,\you look fine you look exactly as cute as you are\Shao Lan, are you just going to stand there?\No' um'\Come and help me. response:	Have you told Kinomoto-san
context: I want to cry until I die. I want to\cry until I can't cry for Shao Lan any more.\' Are my eyes red?' No,\you look fine you look exactly as cute as you are\Shao Lan, are you just going to stand there?\No' um'\Come and help me.\Have you told Kinomoto-san response:	that you like her yet?
context: cry until I can't cry for Shao Lan any more.\' Are my eyes red?' No,\you look fine you look exactly as cute as you are\Shao Lan, are you just going to stand there?\No' um'\Come and help me.\Have you told Kinomoto-san\that you like her yet? response:	No'
context: ' Are my eyes red?' No,\you look fine you look exactly as cute as you are\Shao Lan, are you just going to stand there?\No' um'\Come and help me.\Have you told Kinomoto-san\that you like her yet?\No' response:	You still haven't told her?
context: you look fine you look exactly as cute as you are\Shao Lan, are you just going to stand there?\No' um'\Come and help me.\Have you told Kinomoto-san\that you like her yet?\No'\You still haven't told her? response:	Kinomoto-san is that kind of person,
context: Shao Lan, are you just going to stand there?\No' um'\Come and help me.\Have you told Kinomoto-san\that you like her yet?\No'\You still haven't told her?\Kinomoto-san is that kind of person, response:	she won't know unless you tell her.
context: No' um'\Come and help me.\Have you told Kinomoto-san\that you like her yet?\No'\You still haven't told her?\Kinomoto-san is that kind of person,\she won't know unless you tell her. response:	If you weren't so cute
context: Come and help me.\Have you told Kinomoto-san\that you like her yet?\No'\You still haven't told her?\Kinomoto-san is that kind of person,\she won't know unless you tell her.\If you weren't so cute response:	then I wouldn't care about Kinomoto-san.
context: Have you told Kinomoto-san\that you like her yet?\No'\You still haven't told her?\Kinomoto-san is that kind of person,\she won't know unless you tell her.\If you weren't so cute\then I wouldn't care about Kinomoto-san. response:	But if you two don't think about
context: that you like her yet?\No'\You still haven't told her?\Kinomoto-san is that kind of person,\she won't know unless you tell her.\If you weren't so cute\then I wouldn't care about Kinomoto-san.\But if you two don't think about response:	it really good then I will get you!
context: No'\You still haven't told her?\Kinomoto-san is that kind of person,\she won't know unless you tell her.\If you weren't so cute\then I wouldn't care about Kinomoto-san.\But if you two don't think about\it really good then I will get you! response:	Good bye, Shao Lan.
context: You still haven't told her?\Kinomoto-san is that kind of person,\she won't know unless you tell her.\If you weren't so cute\then I wouldn't care about Kinomoto-san.\But if you two don't think about\it really good then I will get you!\Good bye, Shao Lan. response:	' Mei Lin'' Come back to visit on holidays!
context: Kinomoto-san is that kind of person,\she won't know unless you tell her.\If you weren't so cute\then I wouldn't care about Kinomoto-san.\But if you two don't think about\it really good then I will get you!\Good bye, Shao Lan.\' Mei Lin'' Come back to visit on holidays! response:	Mei Lin!
context: she won't know unless you tell her.\If you weren't so cute\then I wouldn't care about Kinomoto-san.\But if you two don't think about\it really good then I will get you!\Good bye, Shao Lan.\' Mei Lin'' Come back to visit on holidays!\Mei Lin! response:	Mei Lin has a really good heart.
context: If you weren't so cute\then I wouldn't care about Kinomoto-san.\But if you two don't think about\it really good then I will get you!\Good bye, Shao Lan.\' Mei Lin'' Come back to visit on holidays!\Mei Lin!\Mei Lin has a really good heart. response:	Yeah.
context: then I wouldn't care about Kinomoto-san.\But if you two don't think about\it really good then I will get you!\Good bye, Shao Lan.\' Mei Lin'' Come back to visit on holidays!\Mei Lin!\Mei Lin has a really good heart.\Yeah. response:	Mei Lin wrote me letters!
context: But if you two don't think about\it really good then I will get you!\Good bye, Shao Lan.\' Mei Lin'' Come back to visit on holidays!\Mei Lin!\Mei Lin has a really good heart.\Yeah.\Mei Lin wrote me letters! response:	I got some too.
context: it really good then I will get you!\Good bye, Shao Lan.\' Mei Lin'' Come back to visit on holidays!\Mei Lin!\Mei Lin has a really good heart.\Yeah.\Mei Lin wrote me letters!\I got some too. response:	What did she write to you?
context: Good bye, Shao Lan.\' Mei Lin'' Come back to visit on holidays!\Mei Lin!\Mei Lin has a really good heart.\Yeah.\Mei Lin wrote me letters!\I got some too.\What did she write to you? response:	She said sorry for making my dress wet.
context: ' Mei Lin'' Come back to visit on holidays!\Mei Lin!\Mei Lin has a really good heart.\Yeah.\Mei Lin wrote me letters!\I got some too.\What did she write to you?\She said sorry for making my dress wet. response:	What did Mei Lin-chan write to you?
context: Mei Lin!\Mei Lin has a really good heart.\Yeah.\Mei Lin wrote me letters!\I got some too.\What did she write to you?\She said sorry for making my dress wet.\What did Mei Lin-chan write to you? response:	She said that I look like a dummy.
context: Mei Lin has a really good heart.\Yeah.\Mei Lin wrote me letters!\I got some too.\What did she write to you?\She said sorry for making my dress wet.\What did Mei Lin-chan write to you?\She said that I look like a dummy. response:	So she wants me to
