context: What are you doing?! response:	You looked cold, so I thought I'd be a blanket for you.
context: I can't afford to move from this spot until I've collected all the treasures.\You're hooked on it.\Takeru attacks!\You've already beaten the game,\It deals 120 damage to Siegfried!\so why not take a little break?\I can keep fighting for tens of thousands of years.\You don't need to worry about me. response:	Tch, another bust.
context: You're hooked on it.\Takeru attacks!\You've already beaten the game,\It deals 120 damage to Siegfried!\so why not take a little break?\I can keep fighting for tens of thousands of years.\You don't need to worry about me.\Tch, another bust. response:	Well, what should I do about this?
context: Takeru attacks!\You've already beaten the game,\It deals 120 damage to Siegfried!\so why not take a little break?\I can keep fighting for tens of thousands of years.\You don't need to worry about me.\Tch, another bust.\Well, what should I do about this? response:	Coming.
context: You've already beaten the game,\It deals 120 damage to Siegfried!\so why not take a little break?\I can keep fighting for tens of thousands of years.\You don't need to worry about me.\Tch, another bust.\Well, what should I do about this?\Coming. response:	Uhh, how do you get Mister Fafnir to listen to you?
context: It deals 120 damage to Siegfried!\so why not take a little break?\I can keep fighting for tens of thousands of years.\You don't need to worry about me.\Tch, another bust.\Well, what should I do about this?\Coming.\Uhh, how do you get Mister Fafnir to listen to you? response:	I figured you might know since you've known him a long time, Tohru-chan.
context: so why not take a little break?\I can keep fighting for tens of thousands of years.\You don't need to worry about me.\Tch, another bust.\Well, what should I do about this?\Coming.\Uhh, how do you get Mister Fafnir to listen to you?\I figured you might know since you've known him a long time, Tohru-chan. response:	Very well.
context: I can keep fighting for tens of thousands of years.\You don't need to worry about me.\Tch, another bust.\Well, what should I do about this?\Coming.\Uhh, how do you get Mister Fafnir to listen to you?\I figured you might know since you've known him a long time, Tohru-chan.\Very well. response:	I do owe you for planning that hot springs trip for us.
context: You don't need to worry about me.\Tch, another bust.\Well, what should I do about this?\Coming.\Uhh, how do you get Mister Fafnir to listen to you?\I figured you might know since you've known him a long time, Tohru-chan.\Very well.\I do owe you for planning that hot springs trip for us. response:	Thank you!
context: Tch, another bust.\Well, what should I do about this?\Coming.\Uhh, how do you get Mister Fafnir to listen to you?\I figured you might know since you've known him a long time, Tohru-chan.\Very well.\I do owe you for planning that hot springs trip for us.\Thank you! response:	So come on, tell me how
context: Well, what should I do about this?\Coming.\Uhh, how do you get Mister Fafnir to listen to you?\I figured you might know since you've known him a long time, Tohru-chan.\Very well.\I do owe you for planning that hot springs trip for us.\Thank you!\So come on, tell me how response:	With force!
context: Coming.\Uhh, how do you get Mister Fafnir to listen to you?\I figured you might know since you've known him a long time, Tohru-chan.\Very well.\I do owe you for planning that hot springs trip for us.\Thank you!\So come on, tell me how\With force! response:	You have to force him to obey you with might!
context: Uhh, how do you get Mister Fafnir to listen to you?\I figured you might know since you've known him a long time, Tohru-chan.\Very well.\I do owe you for planning that hot springs trip for us.\Thank you!\So come on, tell me how\With force!\You have to force him to obey you with might! response:	That's the only way!
context: I figured you might know since you've known him a long time, Tohru-chan.\Very well.\I do owe you for planning that hot springs trip for us.\Thank you!\So come on, tell me how\With force!\You have to force him to obey you with might!\That's the only way! response:	Him? With force?!
context: Very well.\I do owe you for planning that hot springs trip for us.\Thank you!\So come on, tell me how\With force!\You have to force him to obey you with might!\That's the only way!\Him? With force?! response:	You do know that's impossible when you say that, right?
context: I do owe you for planning that hot springs trip for us.\Thank you!\So come on, tell me how\With force!\You have to force him to obey you with might!\That's the only way!\Him? With force?!\You do know that's impossible when you say that, right? response:	Well, that really is the only method I can think of with him.
context: Thank you!\So come on, tell me how\With force!\You have to force him to obey you with might!\That's the only way!\Him? With force?!\You do know that's impossible when you say that, right?\Well, that really is the only method I can think of with him. response:	In Call
context: So come on, tell me how\With force!\You have to force him to obey you with might!\That's the only way!\Him? With force?!\You do know that's impossible when you say that, right?\Well, that really is the only method I can think of with him.\In Call response:	Kobayashi-san
context: With force!\You have to force him to obey you with might!\That's the only way!\Him? With force?!\You do know that's impossible when you say that, right?\Well, that really is the only method I can think of with him.\In Call\Kobayashi-san response:	When I first met him,
context: You have to force him to obey you with might!\That's the only way!\Him? With force?!\You do know that's impossible when you say that, right?\Well, that really is the only method I can think of with him.\In Call\Kobayashi-san\When I first met him, response:	he attacked me for trying to sleep in his cavern and we ended up fighting...
context: That's the only way!\Him? With force?!\You do know that's impossible when you say that, right?\Well, that really is the only method I can think of with him.\In Call\Kobayashi-san\When I first met him,\he attacked me for trying to sleep in his cavern and we ended up fighting... response:	You're not bad.
context: Him? With force?!\You do know that's impossible when you say that, right?\Well, that really is the only method I can think of with him.\In Call\Kobayashi-san\When I first met him,\he attacked me for trying to sleep in his cavern and we ended up fighting...\You're not bad. response:	Neither are you.
context: You do know that's impossible when you say that, right?\Well, that really is the only method I can think of with him.\In Call\Kobayashi-san\When I first met him,\he attacked me for trying to sleep in his cavern and we ended up fighting...\You're not bad.\Neither are you. response:	So, once we recognized each other's strength,
context: Well, that really is the only method I can think of with him.\In Call\Kobayashi-san\When I first met him,\he attacked me for trying to sleep in his cavern and we ended up fighting...\You're not bad.\Neither are you.\So, once we recognized each other's strength, response:	he finally decided to share a little space in the cavern with me.
context: In Call\Kobayashi-san\When I first met him,\he attacked me for trying to sleep in his cavern and we ended up fighting...\You're not bad.\Neither are you.\So, once we recognized each other's strength,\he finally decided to share a little space in the cavern with me. response:	So your first time meeting really was like that.
context: Kobayashi-san\When I first met him,\he attacked me for trying to sleep in his cavern and we ended up fighting...\You're not bad.\Neither are you.\So, once we recognized each other's strength,\he finally decided to share a little space in the cavern with me.\So your first time meeting really was like that. response:	Well, if my advice isn't helpful, why not try asking Miss Lucoa?
context: When I first met him,\he attacked me for trying to sleep in his cavern and we ended up fighting...\You're not bad.\Neither are you.\So, once we recognized each other's strength,\he finally decided to share a little space in the cavern with me.\So your first time meeting really was like that.\Well, if my advice isn't helpful, why not try asking Miss Lucoa? response:	Ahh.
context: he attacked me for trying to sleep in his cavern and we ended up fighting...\You're not bad.\Neither are you.\So, once we recognized each other's strength,\he finally decided to share a little space in the cavern with me.\So your first time meeting really was like that.\Well, if my advice isn't helpful, why not try asking Miss Lucoa?\Ahh. response:	Ahh.
context: You're not bad.\Neither are you.\So, once we recognized each other's strength,\he finally decided to share a little space in the cavern with me.\So your first time meeting really was like that.\Well, if my advice isn't helpful, why not try asking Miss Lucoa?\Ahh.\Ahh. response:	That woman, huh?
context: Neither are you.\So, once we recognized each other's strength,\he finally decided to share a little space in the cavern with me.\So your first time meeting really was like that.\Well, if my advice isn't helpful, why not try asking Miss Lucoa?\Ahh.\Ahh.\That woman, huh? response:	What's her contact info?
context: So, once we recognized each other's strength,\he finally decided to share a little space in the cavern with me.\So your first time meeting really was like that.\Well, if my advice isn't helpful, why not try asking Miss Lucoa?\Ahh.\Ahh.\That woman, huh?\What's her contact info? response:	Hey, Kanna!
context: he finally decided to share a little space in the cavern with me.\So your first time meeting really was like that.\Well, if my advice isn't helpful, why not try asking Miss Lucoa?\Ahh.\Ahh.\That woman, huh?\What's her contact info?\Hey, Kanna! response:	She hung up on me.
context: So your first time meeting really was like that.\Well, if my advice isn't helpful, why not try asking Miss Lucoa?\Ahh.\Ahh.\That woman, huh?\What's her contact info?\Hey, Kanna!\She hung up on me. response:	Do I have any way to contact her?
context: Well, if my advice isn't helpful, why not try asking Miss Lucoa?\Ahh.\Ahh.\That woman, huh?\What's her contact info?\Hey, Kanna!\She hung up on me.\Do I have any way to contact her? response:	I did register Shouta-kun to my friends list last time we played games together.
context: Ahh.\Ahh.\That woman, huh?\What's her contact info?\Hey, Kanna!\She hung up on me.\Do I have any way to contact her?\I did register Shouta-kun to my friends list last time we played games together. response:	Huh? Lucoa?
context: Ahh.\That woman, huh?\What's her contact info?\Hey, Kanna!\She hung up on me.\Do I have any way to contact her?\I did register Shouta-kun to my friends list last time we played games together.\Huh? Lucoa? response:	She said she was going abroad to have fun.
context: That woman, huh?\What's her contact info?\Hey, Kanna!\She hung up on me.\Do I have any way to contact her?\I did register Shouta-kun to my friends list last time we played games together.\Huh? Lucoa?\She said she was going abroad to have fun. response:	She's not here now.
context: What's her contact info?\Hey, Kanna!\She hung up on me.\Do I have any way to contact her?\I did register Shouta-kun to my friends list last time we played games together.\Huh? Lucoa?\She said she was going abroad to have fun.\She's not here now. response:	Shoot.
context: Hey, Kanna!\She hung up on me.\Do I have any way to contact her?\I did register Shouta-kun to my friends list last time we played games together.\Huh? Lucoa?\She said she was going abroad to have fun.\She's not here now.\Shoot. response:	Do you need help with something?
context: She hung up on me.\Do I have any way to contact her?\I did register Shouta-kun to my friends list last time we played games together.\Huh? Lucoa?\She said she was going abroad to have fun.\She's not here now.\Shoot.\Do you need help with something? response:	If I can, I'd be happy to help?
context: Do I have any way to contact her?\I did register Shouta-kun to my friends list last time we played games together.\Huh? Lucoa?\She said she was going abroad to have fun.\She's not here now.\Shoot.\Do you need help with something?\If I can, I'd be happy to help? response:	You would?
context: I did register Shouta-kun to my friends list last time we played games together.\Huh? Lucoa?\She said she was going abroad to have fun.\She's not here now.\Shoot.\Do you need help with something?\If I can, I'd be happy to help?\You would? response:	Yes.
context: Huh? Lucoa?\She said she was going abroad to have fun.\She's not here now.\Shoot.\Do you need help with something?\If I can, I'd be happy to help?\You would?\Yes. response:	I'm constantly improving my skills as a mage every day.
context: She said she was going abroad to have fun.\She's not here now.\Shoot.\Do you need help with something?\If I can, I'd be happy to help?\You would?\Yes.\I'm constantly improving my skills as a mage every day. response:	Helping others out would just be part of my training.
context: She's not here now.\Shoot.\Do you need help with something?\If I can, I'd be happy to help?\You would?\Yes.\I'm constantly improving my skills as a mage every day.\Helping others out would just be part of my training. response:	You're a very responsible boy.
context: Shoot.\Do you need help with something?\If I can, I'd be happy to help?\You would?\Yes.\I'm constantly improving my skills as a mage every day.\Helping others out would just be part of my training.\You're a very responsible boy. response:	Truth is...
context: Do you need help with something?\If I can, I'd be happy to help?\You would?\Yes.\I'm constantly improving my skills as a mage every day.\Helping others out would just be part of my training.\You're a very responsible boy.\Truth is... response:	Impossible.
context: If I can, I'd be happy to help?\You would?\Yes.\I'm constantly improving my skills as a mage every day.\Helping others out would just be part of my training.\You're a very responsible boy.\Truth is...\Impossible. response:	That man's a terrifying dragon, right?
context: You would?\Yes.\I'm constantly improving my skills as a mage every day.\Helping others out would just be part of my training.\You're a very responsible boy.\Truth is...\Impossible.\That man's a terrifying dragon, right? response:	Yeah, I suppose he would be.
context: Yes.\I'm constantly improving my skills as a mage every day.\Helping others out would just be part of my training.\You're a very responsible boy.\Truth is...\Impossible.\That man's a terrifying dragon, right?\Yeah, I suppose he would be. response:	Hmm. I guess it'll be easier to do something about my parents instead of Faf-kun.
context: I'm constantly improving my skills as a mage every day.\Helping others out would just be part of my training.\You're a very responsible boy.\Truth is...\Impossible.\That man's a terrifying dragon, right?\Yeah, I suppose he would be.\Hmm. I guess it'll be easier to do something about my parents instead of Faf-kun. response:	Faf-kun?
context: Helping others out would just be part of my training.\You're a very responsible boy.\Truth is...\Impossible.\That man's a terrifying dragon, right?\Yeah, I suppose he would be.\Hmm. I guess it'll be easier to do something about my parents instead of Faf-kun.\Faf-kun? response:	If I recall, his name is Fafnir, right?
context: You're a very responsible boy.\Truth is...\Impossible.\That man's a terrifying dragon, right?\Yeah, I suppose he would be.\Hmm. I guess it'll be easier to do something about my parents instead of Faf-kun.\Faf-kun?\If I recall, his name is Fafnir, right? response:	Is that a unique nickname you call him by?
context: Truth is...\Impossible.\That man's a terrifying dragon, right?\Yeah, I suppose he would be.\Hmm. I guess it'll be easier to do something about my parents instead of Faf-kun.\Faf-kun?\If I recall, his name is Fafnir, right?\Is that a unique nickname you call him by? response:	Huh? Yeah, it is.
context: Impossible.\That man's a terrifying dragon, right?\Yeah, I suppose he would be.\Hmm. I guess it'll be easier to do something about my parents instead of Faf-kun.\Faf-kun?\If I recall, his name is Fafnir, right?\Is that a unique nickname you call him by?\Huh? Yeah, it is. response:	And he's accepted that nickname as his own, then?
context: That man's a terrifying dragon, right?\Yeah, I suppose he would be.\Hmm. I guess it'll be easier to do something about my parents instead of Faf-kun.\Faf-kun?\If I recall, his name is Fafnir, right?\Is that a unique nickname you call him by?\Huh? Yeah, it is.\And he's accepted that nickname as his own, then? response:	He said he doesn't mind it.
context: Yeah, I suppose he would be.\Hmm. I guess it'll be easier to do something about my parents instead of Faf-kun.\Faf-kun?\If I recall, his name is Fafnir, right?\Is that a unique nickname you call him by?\Huh? Yeah, it is.\And he's accepted that nickname as his own, then?\He said he doesn't mind it. response:	You can form a pact, then.
context: Hmm. I guess it'll be easier to do something about my parents instead of Faf-kun.\Faf-kun?\If I recall, his name is Fafnir, right?\Is that a unique nickname you call him by?\Huh? Yeah, it is.\And he's accepted that nickname as his own, then?\He said he doesn't mind it.\You can form a pact, then. response:	A pact?
context: Faf-kun?\If I recall, his name is Fafnir, right?\Is that a unique nickname you call him by?\Huh? Yeah, it is.\And he's accepted that nickname as his own, then?\He said he doesn't mind it.\You can form a pact, then.\A pact? response:	If you've given him a name and he's accepted it,
context: If I recall, his name is Fafnir, right?\Is that a unique nickname you call him by?\Huh? Yeah, it is.\And he's accepted that nickname as his own, then?\He said he doesn't mind it.\You can form a pact, then.\A pact?\If you've given him a name and he's accepted it, response:	then the preparations to form a pact are nearly complete.
context: Is that a unique nickname you call him by?\Huh? Yeah, it is.\And he's accepted that nickname as his own, then?\He said he doesn't mind it.\You can form a pact, then.\A pact?\If you've given him a name and he's accepted it,\then the preparations to form a pact are nearly complete. response:	Take this.
context: Huh? Yeah, it is.\And he's accepted that nickname as his own, then?\He said he doesn't mind it.\You can form a pact, then.\A pact?\If you've given him a name and he's accepted it,\then the preparations to form a pact are nearly complete.\Take this. response:	What is it?
context: And he's accepted that nickname as his own, then?\He said he doesn't mind it.\You can form a pact, then.\A pact?\If you've given him a name and he's accepted it,\then the preparations to form a pact are nearly complete.\Take this.\What is it? response:	An orb of magic power.
context: He said he doesn't mind it.\You can form a pact, then.\A pact?\If you've given him a name and he's accepted it,\then the preparations to form a pact are nearly complete.\Take this.\What is it?\An orb of magic power. response:	I've poured my own magic power into it.
context: You can form a pact, then.\A pact?\If you've given him a name and he's accepted it,\then the preparations to form a pact are nearly complete.\Take this.\What is it?\An orb of magic power.\I've poured my own magic power into it. response:	This should be enough for even someone without magic power like yourself
context: A pact?\If you've given him a name and he's accepted it,\then the preparations to form a pact are nearly complete.\Take this.\What is it?\An orb of magic power.\I've poured my own magic power into it.\This should be enough for even someone without magic power like yourself response:	to activate the ritual to forge a pact.
context: If you've given him a name and he's accepted it,\then the preparations to form a pact are nearly complete.\Take this.\What is it?\An orb of magic power.\I've poured my own magic power into it.\This should be enough for even someone without magic power like yourself\to activate the ritual to forge a pact. response:	Hmm.
context: then the preparations to form a pact are nearly complete.\Take this.\What is it?\An orb of magic power.\I've poured my own magic power into it.\This should be enough for even someone without magic power like yourself\to activate the ritual to forge a pact.\Hmm. response:	You're incredible, Shouta-kun.
context: Take this.\What is it?\An orb of magic power.\I've poured my own magic power into it.\This should be enough for even someone without magic power like yourself\to activate the ritual to forge a pact.\Hmm.\You're incredible, Shouta-kun. response:	Uhh, so about that...
context: What is it?\An orb of magic power.\I've poured my own magic power into it.\This should be enough for even someone without magic power like yourself\to activate the ritual to forge a pact.\Hmm.\You're incredible, Shouta-kun.\Uhh, so about that... response:	Could I ask you for something in return?
context: An orb of magic power.\I've poured my own magic power into it.\This should be enough for even someone without magic power like yourself\to activate the ritual to forge a pact.\Hmm.\You're incredible, Shouta-kun.\Uhh, so about that...\Could I ask you for something in return? response:	Oh? Like some of my lifespan?
context: I've poured my own magic power into it.\This should be enough for even someone without magic power like yourself\to activate the ritual to forge a pact.\Hmm.\You're incredible, Shouta-kun.\Uhh, so about that...\Could I ask you for something in return?\Oh? Like some of my lifespan? response:	A devil would ask for that.
context: This should be enough for even someone without magic power like yourself\to activate the ritual to forge a pact.\Hmm.\You're incredible, Shouta-kun.\Uhh, so about that...\Could I ask you for something in return?\Oh? Like some of my lifespan?\A devil would ask for that. response:	I was hoping you could teach me
context: to activate the ritual to forge a pact.\Hmm.\You're incredible, Shouta-kun.\Uhh, so about that...\Could I ask you for something in return?\Oh? Like some of my lifespan?\A devil would ask for that.\I was hoping you could teach me response:	how to be a cool adult like you.
context: Hmm.\You're incredible, Shouta-kun.\Uhh, so about that...\Could I ask you for something in return?\Oh? Like some of my lifespan?\A devil would ask for that.\I was hoping you could teach me\how to be a cool adult like you. response:	Huh?!
context: You're incredible, Shouta-kun.\Uhh, so about that...\Could I ask you for something in return?\Oh? Like some of my lifespan?\A devil would ask for that.\I was hoping you could teach me\how to be a cool adult like you.\Huh?! response:	That's a pretty surprising request.
context: Uhh, so about that...\Could I ask you for something in return?\Oh? Like some of my lifespan?\A devil would ask for that.\I was hoping you could teach me\how to be a cool adult like you.\Huh?!\That's a pretty surprising request. response:	I'm not confident I can help.
context: Could I ask you for something in return?\Oh? Like some of my lifespan?\A devil would ask for that.\I was hoping you could teach me\how to be a cool adult like you.\Huh?!\That's a pretty surprising request.\I'm not confident I can help. response:	I'm super pathetic, you know?
context: Oh? Like some of my lifespan?\A devil would ask for that.\I was hoping you could teach me\how to be a cool adult like you.\Huh?!\That's a pretty surprising request.\I'm not confident I can help.\I'm super pathetic, you know? response:	It's a promise!
context: A devil would ask for that.\I was hoping you could teach me\how to be a cool adult like you.\Huh?!\That's a pretty surprising request.\I'm not confident I can help.\I'm super pathetic, you know?\It's a promise! response:	A pact, huh?
context: I was hoping you could teach me\how to be a cool adult like you.\Huh?!\That's a pretty surprising request.\I'm not confident I can help.\I'm super pathetic, you know?\It's a promise!\A pact, huh? response:	I'm home.
context: how to be a cool adult like you.\Huh?!\That's a pretty surprising request.\I'm not confident I can help.\I'm super pathetic, you know?\It's a promise!\A pact, huh?\I'm home. response:	A master-servant pact...
context: Huh?!\That's a pretty surprising request.\I'm not confident I can help.\I'm super pathetic, you know?\It's a promise!\A pact, huh?\I'm home.\A master-servant pact... response:	Faf-kun.
context: That's a pretty surprising request.\I'm not confident I can help.\I'm super pathetic, you know?\It's a promise!\A pact, huh?\I'm home.\A master-servant pact...\Faf-kun. response:	Hmm?
context: I'm not confident I can help.\I'm super pathetic, you know?\It's a promise!\A pact, huh?\I'm home.\A master-servant pact...\Faf-kun.\Hmm? response:	You can have it.
context: I'm super pathetic, you know?\It's a promise!\A pact, huh?\I'm home.\A master-servant pact...\Faf-kun.\Hmm?\You can have it. response:	What?
context: It's a promise!\A pact, huh?\I'm home.\A master-servant pact...\Faf-kun.\Hmm?\You can have it.\What? response:	An orb of magic power?
context: A pact, huh?\I'm home.\A master-servant pact...\Faf-kun.\Hmm?\You can have it.\What?\An orb of magic power? response:	This little thing
context: I'm home.\A master-servant pact...\Faf-kun.\Hmm?\You can have it.\What?\An orb of magic power?\This little thing response:	won't get me to go outside.
context: A master-servant pact...\Faf-kun.\Hmm?\You can have it.\What?\An orb of magic power?\This little thing\won't get me to go outside. response:	Tch, no luck, huh?
context: Faf-kun.\Hmm?\You can have it.\What?\An orb of magic power?\This little thing\won't get me to go outside.\Tch, no luck, huh? response:	At least tell me, then.
context: Hmm?\You can have it.\What?\An orb of magic power?\This little thing\won't get me to go outside.\Tch, no luck, huh?\At least tell me, then. response:	Why did someone as prideful as you
context: You can have it.\What?\An orb of magic power?\This little thing\won't get me to go outside.\Tch, no luck, huh?\At least tell me, then.\Why did someone as prideful as you response:	permit me to give you a nickname?
context: What?\An orb of magic power?\This little thing\won't get me to go outside.\Tch, no luck, huh?\At least tell me, then.\Why did someone as prideful as you\permit me to give you a nickname? response:	I didn't even know there was a risk to that.
context: An orb of magic power?\This little thing\won't get me to go outside.\Tch, no luck, huh?\At least tell me, then.\Why did someone as prideful as you\permit me to give you a nickname?\I didn't even know there was a risk to that. response:	You...
context: This little thing\won't get me to go outside.\Tch, no luck, huh?\At least tell me, then.\Why did someone as prideful as you\permit me to give you a nickname?\I didn't even know there was a risk to that.\You... response:	Hmph.
context: won't get me to go outside.\Tch, no luck, huh?\At least tell me, then.\Why did someone as prideful as you\permit me to give you a nickname?\I didn't even know there was a risk to that.\You...\Hmph. response:	You should be grateful to the brat that gave you that measly orb.
context: Tch, no luck, huh?\At least tell me, then.\Why did someone as prideful as you\permit me to give you a nickname?\I didn't even know there was a risk to that.\You...\Hmph.\You should be grateful to the brat that gave you that measly orb. response:	He gave it to me in return for some advice from an adult.
context: At least tell me, then.\Why did someone as prideful as you\permit me to give you a nickname?\I didn't even know there was a risk to that.\You...\Hmph.\You should be grateful to the brat that gave you that measly orb.\He gave it to me in return for some advice from an adult. response:	Adult, huh?
context: Why did someone as prideful as you\permit me to give you a nickname?\I didn't even know there was a risk to that.\You...\Hmph.\You should be grateful to the brat that gave you that measly orb.\He gave it to me in return for some advice from an adult.\Adult, huh? response:	What do you think the term adult means to a dragon?
context: permit me to give you a nickname?\I didn't even know there was a risk to that.\You...\Hmph.\You should be grateful to the brat that gave you that measly orb.\He gave it to me in return for some advice from an adult.\Adult, huh?\What do you think the term adult means to a dragon? response:	Huh?
context: I didn't even know there was a risk to that.\You...\Hmph.\You should be grateful to the brat that gave you that measly orb.\He gave it to me in return for some advice from an adult.\Adult, huh?\What do you think the term adult means to a dragon?\Huh? response:	Well, it means they've matured out of their immature state?
context: You...\Hmph.\You should be grateful to the brat that gave you that measly orb.\He gave it to me in return for some advice from an adult.\Adult, huh?\What do you think the term adult means to a dragon?\Huh?\Well, it means they've matured out of their immature state? response:	No, it doesn't.
context: Hmph.\You should be grateful to the brat that gave you that measly orb.\He gave it to me in return for some advice from an adult.\Adult, huh?\What do you think the term adult means to a dragon?\Huh?\Well, it means they've matured out of their immature state?\No, it doesn't. response:	That only refers to the physical state of the body.
context: You should be grateful to the brat that gave you that measly orb.\He gave it to me in return for some advice from an adult.\Adult, huh?\What do you think the term adult means to a dragon?\Huh?\Well, it means they've matured out of their immature state?\No, it doesn't.\That only refers to the physical state of the body. response:	There is no concept of adult or child in a dragon's mind.
context: He gave it to me in return for some advice from an adult.\Adult, huh?\What do you think the term adult means to a dragon?\Huh?\Well, it means they've matured out of their immature state?\No, it doesn't.\That only refers to the physical state of the body.\There is no concept of adult or child in a dragon's mind. response:	Only strength exists when you live as a dragon.
context: Adult, huh?\What do you think the term adult means to a dragon?\Huh?\Well, it means they've matured out of their immature state?\No, it doesn't.\That only refers to the physical state of the body.\There is no concept of adult or child in a dragon's mind.\Only strength exists when you live as a dragon. response:	Their state of mind is dependent upon that.
context: What do you think the term adult means to a dragon?\Huh?\Well, it means they've matured out of their immature state?\No, it doesn't.\That only refers to the physical state of the body.\There is no concept of adult or child in a dragon's mind.\Only strength exists when you live as a dragon.\Their state of mind is dependent upon that. response:	Parents don't protect their offspring, either.
context: Huh?\Well, it means they've matured out of their immature state?\No, it doesn't.\That only refers to the physical state of the body.\There is no concept of adult or child in a dragon's mind.\Only strength exists when you live as a dragon.\Their state of mind is dependent upon that.\Parents don't protect their offspring, either. response:	Dragons didn't start talking about adult or child
context: Well, it means they've matured out of their immature state?\No, it doesn't.\That only refers to the physical state of the body.\There is no concept of adult or child in a dragon's mind.\Only strength exists when you live as a dragon.\Their state of mind is dependent upon that.\Parents don't protect their offspring, either.\Dragons didn't start talking about adult or child response:	until after there were more dragons interacting with humans.
context: No, it doesn't.\That only refers to the physical state of the body.\There is no concept of adult or child in a dragon's mind.\Only strength exists when you live as a dragon.\Their state of mind is dependent upon that.\Parents don't protect their offspring, either.\Dragons didn't start talking about adult or child\until after there were more dragons interacting with humans. response:	Do you understand, Takiya?
context: That only refers to the physical state of the body.\There is no concept of adult or child in a dragon's mind.\Only strength exists when you live as a dragon.\Their state of mind is dependent upon that.\Parents don't protect their offspring, either.\Dragons didn't start talking about adult or child\until after there were more dragons interacting with humans.\Do you understand, Takiya? response:	It means dragons are mimicking humans.
context: There is no concept of adult or child in a dragon's mind.\Only strength exists when you live as a dragon.\Their state of mind is dependent upon that.\Parents don't protect their offspring, either.\Dragons didn't start talking about adult or child\until after there were more dragons interacting with humans.\Do you understand, Takiya?\It means dragons are mimicking humans. response:	They know such values will lead to foolishness, but desire them anyway.
context: Only strength exists when you live as a dragon.\Their state of mind is dependent upon that.\Parents don't protect their offspring, either.\Dragons didn't start talking about adult or child\until after there were more dragons interacting with humans.\Do you understand, Takiya?\It means dragons are mimicking humans.\They know such values will lead to foolishness, but desire them anyway. response:	So do the dragons that are here.
context: Their state of mind is dependent upon that.\Parents don't protect their offspring, either.\Dragons didn't start talking about adult or child\until after there were more dragons interacting with humans.\Do you understand, Takiya?\It means dragons are mimicking humans.\They know such values will lead to foolishness, but desire them anyway.\So do the dragons that are here. response:	We're just masquerading as humans.
context: Parents don't protect their offspring, either.\Dragons didn't start talking about adult or child\until after there were more dragons interacting with humans.\Do you understand, Takiya?\It means dragons are mimicking humans.\They know such values will lead to foolishness, but desire them anyway.\So do the dragons that are here.\We're just masquerading as humans. response:	You don't really believe that.
context: Dragons didn't start talking about adult or child\until after there were more dragons interacting with humans.\Do you understand, Takiya?\It means dragons are mimicking humans.\They know such values will lead to foolishness, but desire them anyway.\So do the dragons that are here.\We're just masquerading as humans.\You don't really believe that. response:	I can tell at least that much.
context: until after there were more dragons interacting with humans.\Do you understand, Takiya?\It means dragons are mimicking humans.\They know such values will lead to foolishness, but desire them anyway.\So do the dragons that are here.\We're just masquerading as humans.\You don't really believe that.\I can tell at least that much. response:	Yeah.
context: Do you understand, Takiya?\It means dragons are mimicking humans.\They know such values will lead to foolishness, but desire them anyway.\So do the dragons that are here.\We're just masquerading as humans.\You don't really believe that.\I can tell at least that much.\Yeah. response:	Tohru has firmly declared she won't regret such foolishness.
context: It means dragons are mimicking humans.\They know such values will lead to foolishness, but desire them anyway.\So do the dragons that are here.\We're just masquerading as humans.\You don't really believe that.\I can tell at least that much.\Yeah.\Tohru has firmly declared she won't regret such foolishness. response:	And that human, Kobayashi, drove away the Emperor of Demise.
context: They know such values will lead to foolishness, but desire them anyway.\So do the dragons that are here.\We're just masquerading as humans.\You don't really believe that.\I can tell at least that much.\Yeah.\Tohru has firmly declared she won't regret such foolishness.\And that human, Kobayashi, drove away the Emperor of Demise. response:	I grew curious as to why they would go so far to keep up the act.
context: So do the dragons that are here.\We're just masquerading as humans.\You don't really believe that.\I can tell at least that much.\Yeah.\Tohru has firmly declared she won't regret such foolishness.\And that human, Kobayashi, drove away the Emperor of Demise.\I grew curious as to why they would go so far to keep up the act. response:	So, I decided to try playing the game a bit myself to learn more.
context: We're just masquerading as humans.\You don't really believe that.\I can tell at least that much.\Yeah.\Tohru has firmly declared she won't regret such foolishness.\And that human, Kobayashi, drove away the Emperor of Demise.\I grew curious as to why they would go so far to keep up the act.\So, I decided to try playing the game a bit myself to learn more. response:	That's the only reason I let you give me a nickname.
context: You don't really believe that.\I can tell at least that much.\Yeah.\Tohru has firmly declared she won't regret such foolishness.\And that human, Kobayashi, drove away the Emperor of Demise.\I grew curious as to why they would go so far to keep up the act.\So, I decided to try playing the game a bit myself to learn more.\That's the only reason I let you give me a nickname. response:	Get!! Unique Skill
context: I can tell at least that much.\Yeah.\Tohru has firmly declared she won't regret such foolishness.\And that human, Kobayashi, drove away the Emperor of Demise.\I grew curious as to why they would go so far to keep up the act.\So, I decided to try playing the game a bit myself to learn more.\That's the only reason I let you give me a nickname.\Get!! Unique Skill response:	Siegfried dropped Gram.
context: Yeah.\Tohru has firmly declared she won't regret such foolishness.\And that human, Kobayashi, drove away the Emperor of Demise.\I grew curious as to why they would go so far to keep up the act.\So, I decided to try playing the game a bit myself to learn more.\That's the only reason I let you give me a nickname.\Get!! Unique Skill\Siegfried dropped Gram. response:	Please press any button to
