context: Hey, have you heard? response:	There's a Quiz Competition coming up.
context: Age doesn't seem to matter.\I guess so.\Oh, and speaking of quizzes'\The very first quiz was made by a Greek philosopher, you know?\In morning, I have four legs.\During the day, I have two legs.\And at night I have three legs.\What am I? response:	That was the world's first quiz.
context: I guess so.\Oh, and speaking of quizzes'\The very first quiz was made by a Greek philosopher, you know?\In morning, I have four legs.\During the day, I have two legs.\And at night I have three legs.\What am I?\That was the world's first quiz. response:	Yeah, yeah.
context: Oh, and speaking of quizzes'\The very first quiz was made by a Greek philosopher, you know?\In morning, I have four legs.\During the day, I have two legs.\And at night I have three legs.\What am I?\That was the world's first quiz.\Yeah, yeah. response:	And the one who took that first quiz was'
context: The very first quiz was made by a Greek philosopher, you know?\In morning, I have four legs.\During the day, I have two legs.\And at night I have three legs.\What am I?\That was the world's first quiz.\Yeah, yeah.\And the one who took that first quiz was' response:	Yamazaki,
context: In morning, I have four legs.\During the day, I have two legs.\And at night I have three legs.\What am I?\That was the world's first quiz.\Yeah, yeah.\And the one who took that first quiz was'\Yamazaki, response:	the answer to that quiz'
context: During the day, I have two legs.\And at night I have three legs.\What am I?\That was the world's first quiz.\Yeah, yeah.\And the one who took that first quiz was'\Yamazaki,\the answer to that quiz' response:	Eh?
context: And at night I have three legs.\What am I?\That was the world's first quiz.\Yeah, yeah.\And the one who took that first quiz was'\Yamazaki,\the answer to that quiz'\Eh? response:	A human.
context: What am I?\That was the world's first quiz.\Yeah, yeah.\And the one who took that first quiz was'\Yamazaki,\the answer to that quiz'\Eh?\A human. response:	When you're a baby you crawl,
context: That was the world's first quiz.\Yeah, yeah.\And the one who took that first quiz was'\Yamazaki,\the answer to that quiz'\Eh?\A human.\When you're a baby you crawl, response:	then you walk on two legs'
context: Yeah, yeah.\And the one who took that first quiz was'\Yamazaki,\the answer to that quiz'\Eh?\A human.\When you're a baby you crawl,\then you walk on two legs' response:	'and finally, you use a cane to help you walk.
context: And the one who took that first quiz was'\Yamazaki,\the answer to that quiz'\Eh?\A human.\When you're a baby you crawl,\then you walk on two legs'\'and finally, you use a cane to help you walk. response:	I see.
context: Yamazaki,\the answer to that quiz'\Eh?\A human.\When you're a baby you crawl,\then you walk on two legs'\'and finally, you use a cane to help you walk.\I see. response:	So, the first question.
context: the answer to that quiz'\Eh?\A human.\When you're a baby you crawl,\then you walk on two legs'\'and finally, you use a cane to help you walk.\I see.\So, the first question. response:	Using 10 matches, we've made a star.
context: Eh?\A human.\When you're a baby you crawl,\then you walk on two legs'\'and finally, you use a cane to help you walk.\I see.\So, the first question.\Using 10 matches, we've made a star. response:	Using these same 10 matches,
context: A human.\When you're a baby you crawl,\then you walk on two legs'\'and finally, you use a cane to help you walk.\I see.\So, the first question.\Using 10 matches, we've made a star.\Using these same 10 matches, response:	make a different star.
context: When you're a baby you crawl,\then you walk on two legs'\'and finally, you use a cane to help you walk.\I see.\So, the first question.\Using 10 matches, we've made a star.\Using these same 10 matches,\make a different star. response:	Oh! I don't know.
context: then you walk on two legs'\'and finally, you use a cane to help you walk.\I see.\So, the first question.\Using 10 matches, we've made a star.\Using these same 10 matches,\make a different star.\Oh! I don't know. response:	So if you know the answer, go to that booth
context: 'and finally, you use a cane to help you walk.\I see.\So, the first question.\Using 10 matches, we've made a star.\Using these same 10 matches,\make a different star.\Oh! I don't know.\So if you know the answer, go to that booth response:	and demonstrate it.
context: I see.\So, the first question.\Using 10 matches, we've made a star.\Using these same 10 matches,\make a different star.\Oh! I don't know.\So if you know the answer, go to that booth\and demonstrate it. response:	If you get it right,
context: So, the first question.\Using 10 matches, we've made a star.\Using these same 10 matches,\make a different star.\Oh! I don't know.\So if you know the answer, go to that booth\and demonstrate it.\If you get it right, response:	we'll give you the paper for the next goal.
context: Using 10 matches, we've made a star.\Using these same 10 matches,\make a different star.\Oh! I don't know.\So if you know the answer, go to that booth\and demonstrate it.\If you get it right,\we'll give you the paper for the next goal. response:	I don't get it.
context: Using these same 10 matches,\make a different star.\Oh! I don't know.\So if you know the answer, go to that booth\and demonstrate it.\If you get it right,\we'll give you the paper for the next goal.\I don't get it. response:	All right, let's go.
context: make a different star.\Oh! I don't know.\So if you know the answer, go to that booth\and demonstrate it.\If you get it right,\we'll give you the paper for the next goal.\I don't get it.\All right, let's go. response:	Eh'
context: Oh! I don't know.\So if you know the answer, go to that booth\and demonstrate it.\If you get it right,\we'll give you the paper for the next goal.\I don't get it.\All right, let's go.\Eh' response:	Do you know it?
context: So if you know the answer, go to that booth\and demonstrate it.\If you get it right,\we'll give you the paper for the next goal.\I don't get it.\All right, let's go.\Eh'\Do you know it? response:	I sure hope so.
context: and demonstrate it.\If you get it right,\we'll give you the paper for the next goal.\I don't get it.\All right, let's go.\Eh'\Do you know it?\I sure hope so. response:	Eh?
context: If you get it right,\we'll give you the paper for the next goal.\I don't get it.\All right, let's go.\Eh'\Do you know it?\I sure hope so.\Eh? response:	Brother!
context: we'll give you the paper for the next goal.\I don't get it.\All right, let's go.\Eh'\Do you know it?\I sure hope so.\Eh?\Brother! response:	But' weren't you'
context: I don't get it.\All right, let's go.\Eh'\Do you know it?\I sure hope so.\Eh?\Brother!\But' weren't you' response:	Part-time job.
context: All right, let's go.\Eh'\Do you know it?\I sure hope so.\Eh?\Brother!\But' weren't you'\Part-time job. response:	That's it.
context: Eh'\Do you know it?\I sure hope so.\Eh?\Brother!\But' weren't you'\Part-time job.\That's it. response:	Here.
context: Do you know it?\I sure hope so.\Eh?\Brother!\But' weren't you'\Part-time job.\That's it.\Here. response:	Here!
context: I sure hope so.\Eh?\Brother!\But' weren't you'\Part-time job.\That's it.\Here.\Here! response:	Later, Touya.
context: Eh?\Brother!\But' weren't you'\Part-time job.\That's it.\Here.\Here!\Later, Touya. response:	We're off!
context: Brother!\But' weren't you'\Part-time job.\That's it.\Here.\Here!\Later, Touya.\We're off! response:	Don't make a mistake by hurrying.
context: But' weren't you'\Part-time job.\That's it.\Here.\Here!\Later, Touya.\We're off!\Don't make a mistake by hurrying. response:	We'll be fine.
context: Part-time job.\That's it.\Here.\Here!\Later, Touya.\We're off!\Don't make a mistake by hurrying.\We'll be fine. response:	Cause I'm with Yukito.
context: That's it.\Here.\Here!\Later, Touya.\We're off!\Don't make a mistake by hurrying.\We'll be fine.\Cause I'm with Yukito. response:	Hey, hey!
context: Here.\Here!\Later, Touya.\We're off!\Don't make a mistake by hurrying.\We'll be fine.\Cause I'm with Yukito.\Hey, hey! response:	I got it!
context: Here!\Later, Touya.\We're off!\Don't make a mistake by hurrying.\We'll be fine.\Cause I'm with Yukito.\Hey, hey!\I got it! response:	There!
context: Later, Touya.\We're off!\Don't make a mistake by hurrying.\We'll be fine.\Cause I'm with Yukito.\Hey, hey!\I got it!\There! response:	The matches are like stars in the sky!
context: We're off!\Don't make a mistake by hurrying.\We'll be fine.\Cause I'm with Yukito.\Hey, hey!\I got it!\There!\The matches are like stars in the sky! response:	That's not it.
context: Don't make a mistake by hurrying.\We'll be fine.\Cause I'm with Yukito.\Hey, hey!\I got it!\There!\The matches are like stars in the sky!\That's not it. response:	Why?!
context: We'll be fine.\Cause I'm with Yukito.\Hey, hey!\I got it!\There!\The matches are like stars in the sky!\That's not it.\Why?! response:	Sakura, you're fast.
context: Cause I'm with Yukito.\Hey, hey!\I got it!\There!\The matches are like stars in the sky!\That's not it.\Why?!\Sakura, you're fast. response:	Your store is the next goal?
context: Hey, hey!\I got it!\There!\The matches are like stars in the sky!\That's not it.\Why?!\Sakura, you're fast.\Your store is the next goal? response:	In order to make water into ice, you have to put it in the freezer'
context: I got it!\There!\The matches are like stars in the sky!\That's not it.\Why?!\Sakura, you're fast.\Your store is the next goal?\In order to make water into ice, you have to put it in the freezer' response:	'and wait for a while, right?
context: There!\The matches are like stars in the sky!\That's not it.\Why?!\Sakura, you're fast.\Your store is the next goal?\In order to make water into ice, you have to put it in the freezer'\'and wait for a while, right? response:	But there's a way
context: The matches are like stars in the sky!\That's not it.\Why?!\Sakura, you're fast.\Your store is the next goal?\In order to make water into ice, you have to put it in the freezer'\'and wait for a while, right?\But there's a way response:	to turn ice back into water instantly.
context: That's not it.\Why?!\Sakura, you're fast.\Your store is the next goal?\In order to make water into ice, you have to put it in the freezer'\'and wait for a while, right?\But there's a way\to turn ice back into water instantly. response:	So how would you go about doing that?
context: Why?!\Sakura, you're fast.\Your store is the next goal?\In order to make water into ice, you have to put it in the freezer'\'and wait for a while, right?\But there's a way\to turn ice back into water instantly.\So how would you go about doing that? response:	Umm'
context: Sakura, you're fast.\Your store is the next goal?\In order to make water into ice, you have to put it in the freezer'\'and wait for a while, right?\But there's a way\to turn ice back into water instantly.\So how would you go about doing that?\Umm' response:	How about putting it in a volcano?
context: Your store is the next goal?\In order to make water into ice, you have to put it in the freezer'\'and wait for a while, right?\But there's a way\to turn ice back into water instantly.\So how would you go about doing that?\Umm'\How about putting it in a volcano? response:	Wouldn't that take some time?
context: In order to make water into ice, you have to put it in the freezer'\'and wait for a while, right?\But there's a way\to turn ice back into water instantly.\So how would you go about doing that?\Umm'\How about putting it in a volcano?\Wouldn't that take some time? response:	Then, then'
context: 'and wait for a while, right?\But there's a way\to turn ice back into water instantly.\So how would you go about doing that?\Umm'\How about putting it in a volcano?\Wouldn't that take some time?\Then, then' response:	Putting it in the sun?
context: But there's a way\to turn ice back into water instantly.\So how would you go about doing that?\Umm'\How about putting it in a volcano?\Wouldn't that take some time?\Then, then'\Putting it in the sun? response:	That's not it.
context: to turn ice back into water instantly.\So how would you go about doing that?\Umm'\How about putting it in a volcano?\Wouldn't that take some time?\Then, then'\Putting it in the sun?\That's not it. response:	Eh?
context: So how would you go about doing that?\Umm'\How about putting it in a volcano?\Wouldn't that take some time?\Then, then'\Putting it in the sun?\That's not it.\Eh? response:	Let me try something.
context: Umm'\How about putting it in a volcano?\Wouldn't that take some time?\Then, then'\Putting it in the sun?\That's not it.\Eh?\Let me try something. response:	Here's ice'
context: How about putting it in a volcano?\Wouldn't that take some time?\Then, then'\Putting it in the sun?\That's not it.\Eh?\Let me try something.\Here's ice' response:	Eh?
context: Wouldn't that take some time?\Then, then'\Putting it in the sun?\That's not it.\Eh?\Let me try something.\Here's ice'\Eh? response:	Water.
context: Then, then'\Putting it in the sun?\That's not it.\Eh?\Let me try something.\Here's ice'\Eh?\Water. response:	That's it.
context: Putting it in the sun?\That's not it.\Eh?\Let me try something.\Here's ice'\Eh?\Water.\That's it. response:	That's amazing!
context: That's not it.\Eh?\Let me try something.\Here's ice'\Eh?\Water.\That's it.\That's amazing! response:	It's a field of stars!
context: Eh?\Let me try something.\Here's ice'\Eh?\Water.\That's it.\That's amazing!\It's a field of stars! response:	That's not it.
context: Let me try something.\Here's ice'\Eh?\Water.\That's it.\That's amazing!\It's a field of stars!\That's not it. response:	Why?!
context: Here's ice'\Eh?\Water.\That's it.\That's amazing!\It's a field of stars!\That's not it.\Why?! response:	Looks like we've got just one more.
context: Eh?\Water.\That's it.\That's amazing!\It's a field of stars!\That's not it.\Why?!\Looks like we've got just one more. response:	Right!
context: Water.\That's it.\That's amazing!\It's a field of stars!\That's not it.\Why?!\Looks like we've got just one more.\Right! response:	You got it.
context: That's it.\That's amazing!\It's a field of stars!\That's not it.\Why?!\Looks like we've got just one more.\Right!\You got it. response:	Yamazaki, you're great!
context: That's amazing!\It's a field of stars!\That's not it.\Why?!\Looks like we've got just one more.\Right!\You got it.\Yamazaki, you're great! response:	The answer was pretty obvious.
context: It's a field of stars!\That's not it.\Why?!\Looks like we've got just one more.\Right!\You got it.\Yamazaki, you're great!\The answer was pretty obvious. response:	You like these kinds of puzzles,
context: That's not it.\Why?!\Looks like we've got just one more.\Right!\You got it.\Yamazaki, you're great!\The answer was pretty obvious.\You like these kinds of puzzles, response:	don't you?
context: Why?!\Looks like we've got just one more.\Right!\You got it.\Yamazaki, you're great!\The answer was pretty obvious.\You like these kinds of puzzles,\don't you? response:	Yeah, I like it more
context: Looks like we've got just one more.\Right!\You got it.\Yamazaki, you're great!\The answer was pretty obvious.\You like these kinds of puzzles,\don't you?\Yeah, I like it more response:	when the answers
context: Right!\You got it.\Yamazaki, you're great!\The answer was pretty obvious.\You like these kinds of puzzles,\don't you?\Yeah, I like it more\when the answers response:	just come to me like that.
context: You got it.\Yamazaki, you're great!\The answer was pretty obvious.\You like these kinds of puzzles,\don't you?\Yeah, I like it more\when the answers\just come to me like that. response:	What's that about?
context: Yamazaki, you're great!\The answer was pretty obvious.\You like these kinds of puzzles,\don't you?\Yeah, I like it more\when the answers\just come to me like that.\What's that about? response:	Chiharu.
context: The answer was pretty obvious.\You like these kinds of puzzles,\don't you?\Yeah, I like it more\when the answers\just come to me like that.\What's that about?\Chiharu. response:	Sakura.
context: You like these kinds of puzzles,\don't you?\Yeah, I like it more\when the answers\just come to me like that.\What's that about?\Chiharu.\Sakura. response:	Miss Mizuki, what's going on?
context: don't you?\Yeah, I like it more\when the answers\just come to me like that.\What's that about?\Chiharu.\Sakura.\Miss Mizuki, what's going on? response:	There are a lot of Tomoeda Elementary students participating,
context: Yeah, I like it more\when the answers\just come to me like that.\What's that about?\Chiharu.\Sakura.\Miss Mizuki, what's going on?\There are a lot of Tomoeda Elementary students participating, response:	so I'm helping out.
context: when the answers\just come to me like that.\What's that about?\Chiharu.\Sakura.\Miss Mizuki, what's going on?\There are a lot of Tomoeda Elementary students participating,\so I'm helping out. response:	Hey, Chiharu,
context: just come to me like that.\What's that about?\Chiharu.\Sakura.\Miss Mizuki, what's going on?\There are a lot of Tomoeda Elementary students participating,\so I'm helping out.\Hey, Chiharu, response:	how many stamps do you have?
context: What's that about?\Chiharu.\Sakura.\Miss Mizuki, what's going on?\There are a lot of Tomoeda Elementary students participating,\so I'm helping out.\Hey, Chiharu,\how many stamps do you have? response:	Take a look. We've got all of them!
context: Chiharu.\Sakura.\Miss Mizuki, what's going on?\There are a lot of Tomoeda Elementary students participating,\so I'm helping out.\Hey, Chiharu,\how many stamps do you have?\Take a look. We've got all of them! response:	Looks like Yamazaki's team is the leader.
context: Sakura.\Miss Mizuki, what's going on?\There are a lot of Tomoeda Elementary students participating,\so I'm helping out.\Hey, Chiharu,\how many stamps do you have?\Take a look. We've got all of them!\Looks like Yamazaki's team is the leader. response:	That's great!
context: Miss Mizuki, what's going on?\There are a lot of Tomoeda Elementary students participating,\so I'm helping out.\Hey, Chiharu,\how many stamps do you have?\Take a look. We've got all of them!\Looks like Yamazaki's team is the leader.\That's great! response:	Kinomoto, how many do you have?
context: There are a lot of Tomoeda Elementary students participating,\so I'm helping out.\Hey, Chiharu,\how many stamps do you have?\Take a look. We've got all of them!\Looks like Yamazaki's team is the leader.\That's great!\Kinomoto, how many do you have? response:	Right now, nine.
context: so I'm helping out.\Hey, Chiharu,\how many stamps do you have?\Take a look. We've got all of them!\Looks like Yamazaki's team is the leader.\That's great!\Kinomoto, how many do you have?\Right now, nine. response:	So then this is the last one. Good luck.
context: Hey, Chiharu,\how many stamps do you have?\Take a look. We've got all of them!\Looks like Yamazaki's team is the leader.\That's great!\Kinomoto, how many do you have?\Right now, nine.\So then this is the last one. Good luck. response:	Thanks!
context: how many stamps do you have?\Take a look. We've got all of them!\Looks like Yamazaki's team is the leader.\That's great!\Kinomoto, how many do you have?\Right now, nine.\So then this is the last one. Good luck.\Thanks! response:	See ya!
context: Take a look. We've got all of them!\Looks like Yamazaki's team is the leader.\That's great!\Kinomoto, how many do you have?\Right now, nine.\So then this is the last one. Good luck.\Thanks!\See ya! response:	OK, good luck!
context: Looks like Yamazaki's team is the leader.\That's great!\Kinomoto, how many do you have?\Right now, nine.\So then this is the last one. Good luck.\Thanks!\See ya!\OK, good luck! response:	So, here's the last problem.
context: That's great!\Kinomoto, how many do you have?\Right now, nine.\So then this is the last one. Good luck.\Thanks!\See ya!\OK, good luck!\So, here's the last problem. response:	Without putting your hand inside,
context: Kinomoto, how many do you have?\Right now, nine.\So then this is the last one. Good luck.\Thanks!\See ya!\OK, good luck!\So, here's the last problem.\Without putting your hand inside, response:	without tipping the beaker over' and only using what's on this table,
context: Right now, nine.\So then this is the last one. Good luck.\Thanks!\See ya!\OK, good luck!\So, here's the last problem.\Without putting your hand inside,\without tipping the beaker over' and only using what's on this table, response:	please get the ball out.
context: So then this is the last one. Good luck.\Thanks!\See ya!\OK, good luck!\So, here's the last problem.\Without putting your hand inside,\without tipping the beaker over' and only using what's on this table,\please get the ball out. response:	now, the two of you do'rock-paper-scissors.
context: Thanks!\See ya!\OK, good luck!\So, here's the last problem.\Without putting your hand inside,\without tipping the beaker over' and only using what's on this table,\please get the ball out.\now, the two of you do'rock-paper-scissors. response:	Eh?
context: See ya!\OK, good luck!\So, here's the last problem.\Without putting your hand inside,\without tipping the beaker over' and only using what's on this table,\please get the ball out.\now, the two of you do'rock-paper-scissors.\Eh? response:	Jan-ken-pon!
context: OK, good luck!\So, here's the last problem.\Without putting your hand inside,\without tipping the beaker over' and only using what's on this table,\please get the ball out.\now, the two of you do'rock-paper-scissors.\Eh?\Jan-ken-pon! response:	Aiko-de-sho!
context: So, here's the last problem.\Without putting your hand inside,\without tipping the beaker over' and only using what's on this table,\please get the ball out.\now, the two of you do'rock-paper-scissors.\Eh?\Jan-ken-pon!\Aiko-de-sho! response:	Aiko-de-sho!
context: Without putting your hand inside,\without tipping the beaker over' and only using what's on this table,\please get the ball out.\now, the two of you do'rock-paper-scissors.\Eh?\Jan-ken-pon!\Aiko-de-sho!\Aiko-de-sho! response:	This problem will be solved by the winner.
context: without tipping the beaker over' and only using what's on this table,\please get the ball out.\now, the two of you do'rock-paper-scissors.\Eh?\Jan-ken-pon!\Aiko-de-sho!\Aiko-de-sho!\This problem will be solved by the winner. response:	Don't worry.
context: please get the ball out.\now, the two of you do'rock-paper-scissors.\Eh?\Jan-ken-pon!\Aiko-de-sho!\Aiko-de-sho!\This problem will be solved by the winner.\Don't worry. response:	If you think it over carefully,
context: now, the two of you do'rock-paper-scissors.\Eh?\Jan-ken-pon!\Aiko-de-sho!\Aiko-de-sho!\This problem will be solved by the winner.\Don't worry.\If you think it over carefully, response:	I'm sure you'll figure it out.
context: Eh?\Jan-ken-pon!\Aiko-de-sho!\Aiko-de-sho!\This problem will be solved by the winner.\Don't worry.\If you think it over carefully,\I'm sure you'll figure it out. response:	Um'
context: Jan-ken-pon!\Aiko-de-sho!\Aiko-de-sho!\This problem will be solved by the winner.\Don't worry.\If you think it over carefully,\I'm sure you'll figure it out.\Um' response:	You are'
context: Aiko-de-sho!\Aiko-de-sho!\This problem will be solved by the winner.\Don't worry.\If you think it over carefully,\I'm sure you'll figure it out.\Um'\You are' response:	I'm Tsukishiro Yukito.
context: Aiko-de-sho!\This problem will be solved by the winner.\Don't worry.\If you think it over carefully,\I'm sure you'll figure it out.\Um'\You are'\I'm Tsukishiro Yukito. response:	You helped us out with cleaning before, right?
context: This problem will be solved by the winner.\Don't worry.\If you think it over carefully,\I'm sure you'll figure it out.\Um'\You are'\I'm Tsukishiro Yukito.\You helped us out with cleaning before, right? response:	Yes.
context: Don't worry.\If you think it over carefully,\I'm sure you'll figure it out.\Um'\You are'\I'm Tsukishiro Yukito.\You helped us out with cleaning before, right?\Yes. response:	How long have you lived in Tomoeda?
context: If you think it over carefully,\I'm sure you'll figure it out.\Um'\You are'\I'm Tsukishiro Yukito.\You helped us out with cleaning before, right?\Yes.\How long have you lived in Tomoeda? response:	Since my first year of high school.
context: I'm sure you'll figure it out.\Um'\You are'\I'm Tsukishiro Yukito.\You helped us out with cleaning before, right?\Yes.\How long have you lived in Tomoeda?\Since my first year of high school. response:	You live with your grandfather and grandmother, right?
context: Um'\You are'\I'm Tsukishiro Yukito.\You helped us out with cleaning before, right?\Yes.\How long have you lived in Tomoeda?\Since my first year of high school.\You live with your grandfather and grandmother, right? response:	I love travel pretty much,
context: You are'\I'm Tsukishiro Yukito.\You helped us out with cleaning before, right?\Yes.\How long have you lived in Tomoeda?\Since my first year of high school.\You live with your grandfather and grandmother, right?\I love travel pretty much, response:	but they're hardly ever home.
context: I'm Tsukishiro Yukito.\You helped us out with cleaning before, right?\Yes.\How long have you lived in Tomoeda?\Since my first year of high school.\You live with your grandfather and grandmother, right?\I love travel pretty much,\but they're hardly ever home. response:	I see.
context: You helped us out with cleaning before, right?\Yes.\How long have you lived in Tomoeda?\Since my first year of high school.\You live with your grandfather and grandmother, right?\I love travel pretty much,\but they're hardly ever home.\I see. response:	Yukito, you'
context: Yes.\How long have you lived in Tomoeda?\Since my first year of high school.\You live with your grandfather and grandmother, right?\I love travel pretty much,\but they're hardly ever home.\I see.\Yukito, you' response:	Yes?
context: How long have you lived in Tomoeda?\Since my first year of high school.\You live with your grandfather and grandmother, right?\I love travel pretty much,\but they're hardly ever home.\I see.\Yukito, you'\Yes? response:	I got it!
context: Since my first year of high school.\You live with your grandfather and grandmother, right?\I love travel pretty much,\but they're hardly ever home.\I see.\Yukito, you'\Yes?\I got it! response:	Here, I've got the ball!
context: You live with your grandfather and grandmother, right?\I love travel pretty much,\but they're hardly ever home.\I see.\Yukito, you'\Yes?\I got it!\Here, I've got the ball! response:	Yes, that's it.
context: I love travel pretty much,\but they're hardly ever home.\I see.\Yukito, you'\Yes?\I got it!\Here, I've got the ball!\Yes, that's it. response:	I did it! Yay! Yay!
context: but they're hardly ever home.\I see.\Yukito, you'\Yes?\I got it!\Here, I've got the ball!\Yes, that's it.\I did it! Yay! Yay! response:	That's great, Sakura!
context: I see.\Yukito, you'\Yes?\I got it!\Here, I've got the ball!\Yes, that's it.\I did it! Yay! Yay!\That's great, Sakura! response:	Stamp, please.
context: Yukito, you'\Yes?\I got it!\Here, I've got the ball!\Yes, that's it.\I did it! Yay! Yay!\That's great, Sakura!\Stamp, please. response:	Here you go.
context: Yes?\I got it!\Here, I've got the ball!\Yes, that's it.\I did it! Yay! Yay!\That's great, Sakura!\Stamp, please.\Here you go. response:	Thank you very much!
context: I got it!\Here, I've got the ball!\Yes, that's it.\I did it! Yay! Yay!\That's great, Sakura!\Stamp, please.\Here you go.\Thank you very much! response:	Good luck.
context: Here, I've got the ball!\Yes, that's it.\I did it! Yay! Yay!\That's great, Sakura!\Stamp, please.\Here you go.\Thank you very much!\Good luck. response:	Thanks!
context: Yes, that's it.\I did it! Yay! Yay!\That's great, Sakura!\Stamp, please.\Here you go.\Thank you very much!\Good luck.\Thanks! response:	All right, let's go.
context: I did it! Yay! Yay!\That's great, Sakura!\Stamp, please.\Here you go.\Thank you very much!\Good luck.\Thanks!\All right, let's go. response:	The last goal is'
context: That's great, Sakura!\Stamp, please.\Here you go.\Thank you very much!\Good luck.\Thanks!\All right, let's go.\The last goal is' response:	Kinomoto?
context: Stamp, please.\Here you go.\Thank you very much!\Good luck.\Thanks!\All right, let's go.\The last goal is'\Kinomoto? response:	Eh?
context: Here you go.\Thank you very much!\Good luck.\Thanks!\All right, let's go.\The last goal is'\Kinomoto?\Eh? response:	Be careful.
context: Thank you very much!\Good luck.\Thanks!\All right, let's go.\The last goal is'\Kinomoto?\Eh?\Be careful. response:	Because there's a full moon today.
context: Good luck.\Thanks!\All right, let's go.\The last goal is'\Kinomoto?\Eh?\Be careful.\Because there's a full moon today. response:	Sakura, fight!
context: Thanks!\All right, let's go.\The last goal is'\Kinomoto?\Eh?\Be careful.\Because there's a full moon today.\Sakura, fight! response:	Sakura?
context: All right, let's go.\The last goal is'\Kinomoto?\Eh?\Be careful.\Because there's a full moon today.\Sakura, fight!\Sakura? response:	I'm going for it!
context: The last goal is'\Kinomoto?\Eh?\Be careful.\Because there's a full moon today.\Sakura, fight!\Sakura?\I'm going for it! response:	The last goal is in Penguin Park.
context: Kinomoto?\Eh?\Be careful.\Because there's a full moon today.\Sakura, fight!\Sakura?\I'm going for it!\The last goal is in Penguin Park. response:	The relief is there.
context: Eh?\Be careful.\Because there's a full moon today.\Sakura, fight!\Sakura?\I'm going for it!\The last goal is in Penguin Park.\The relief is there. response:	We're off!
context: Be careful.\Because there's a full moon today.\Sakura, fight!\Sakura?\I'm going for it!\The last goal is in Penguin Park.\The relief is there.\We're off! response:	Later!
context: Because there's a full moon today.\Sakura, fight!\Sakura?\I'm going for it!\The last goal is in Penguin Park.\The relief is there.\We're off!\Later! response:	Let's go.
context: Sakura, fight!\Sakura?\I'm going for it!\The last goal is in Penguin Park.\The relief is there.\We're off!\Later!\Let's go. response:	There's a place like this around here?
context: Sakura?\I'm going for it!\The last goal is in Penguin Park.\The relief is there.\We're off!\Later!\Let's go.\There's a place like this around here? response:	I didn't know,
context: I'm going for it!\The last goal is in Penguin Park.\The relief is there.\We're off!\Later!\Let's go.\There's a place like this around here?\I didn't know, response:	since this isn't near
context: The last goal is in Penguin Park.\The relief is there.\We're off!\Later!\Let's go.\There's a place like this around here?\I didn't know,\since this isn't near response:	one of the playground areas'
context: The relief is there.\We're off!\Later!\Let's go.\There's a place like this around here?\I didn't know,\since this isn't near\one of the playground areas' response:	It says the relief should be right around here, but'
context: We're off!\Later!\Let's go.\There's a place like this around here?\I didn't know,\since this isn't near\one of the playground areas'\It says the relief should be right around here, but' response:	The moon.
context: Later!\Let's go.\There's a place like this around here?\I didn't know,\since this isn't near\one of the playground areas'\It says the relief should be right around here, but'\The moon. response:	Oh yeah, I guess you can still see the moon during the day.
context: Let's go.\There's a place like this around here?\I didn't know,\since this isn't near\one of the playground areas'\It says the relief should be right around here, but'\The moon.\Oh yeah, I guess you can still see the moon during the day. response:	How pretty'
context: There's a place like this around here?\I didn't know,\since this isn't near\one of the playground areas'\It says the relief should be right around here, but'\The moon.\Oh yeah, I guess you can still see the moon during the day.\How pretty' response:	Be careful.
context: I didn't know,\since this isn't near\one of the playground areas'\It says the relief should be right around here, but'\The moon.\Oh yeah, I guess you can still see the moon during the day.\How pretty'\Be careful. response:	Because there's a full moon today.
context: since this isn't near\one of the playground areas'\It says the relief should be right around here, but'\The moon.\Oh yeah, I guess you can still see the moon during the day.\How pretty'\Be careful.\Because there's a full moon today. response:	Sakura!
context: one of the playground areas'\It says the relief should be right around here, but'\The moon.\Oh yeah, I guess you can still see the moon during the day.\How pretty'\Be careful.\Because there's a full moon today.\Sakura! response:	Sakura'
context: It says the relief should be right around here, but'\The moon.\Oh yeah, I guess you can still see the moon during the day.\How pretty'\Be careful.\Because there's a full moon today.\Sakura!\Sakura' response:	Eh!
context: The moon.\Oh yeah, I guess you can still see the moon during the day.\How pretty'\Be careful.\Because there's a full moon today.\Sakura!\Sakura'\Eh! response:	Yukito!
context: Oh yeah, I guess you can still see the moon during the day.\How pretty'\Be careful.\Because there's a full moon today.\Sakura!\Sakura'\Eh!\Yukito! response:	Are you alright?
context: How pretty'\Be careful.\Because there's a full moon today.\Sakura!\Sakura'\Eh!\Yukito!\Are you alright? response:	Does it hurt anywhere?
context: Be careful.\Because there's a full moon today.\Sakura!\Sakura'\Eh!\Yukito!\Are you alright?\Does it hurt anywhere? response:	No'
context: Because there's a full moon today.\Sakura!\Sakura'\Eh!\Yukito!\Are you alright?\Does it hurt anywhere?\No' response:	Good.
context: Sakura!\Sakura'\Eh!\Yukito!\Are you alright?\Does it hurt anywhere?\No'\Good. response:	Your leg'
context: Sakura'\Eh!\Yukito!\Are you alright?\Does it hurt anywhere?\No'\Good.\Your leg' response:	Yukito,
context: Eh!\Yukito!\Are you alright?\Does it hurt anywhere?\No'\Good.\Your leg'\Yukito, response:	I'm so sorry. You're hurt, aren't you?
context: Yukito!\Are you alright?\Does it hurt anywhere?\No'\Good.\Your leg'\Yukito,\I'm so sorry. You're hurt, aren't you? response:	It's because I spaced out'
context: Are you alright?\Does it hurt anywhere?\No'\Good.\Your leg'\Yukito,\I'm so sorry. You're hurt, aren't you?\It's because I spaced out' response:	I'm sorry'
