context: During the two weeks that Nana was gone, response:	I took on extra work, so I'd be busy every day,
context: Your mother, Takumi.\Due to work, you couldn't be here for the ceremony\marking seven years after her passing,\so I prayed that she may warmly protect her careless son\from the wrath of the gods.\Well, thanks for that.\Is your father doing okay? Maybe I should go and say hi.\Don't bother. response:	He's the same as always, drinking from early in the day.
context: Due to work, you couldn't be here for the ceremony\marking seven years after her passing,\so I prayed that she may warmly protect her careless son\from the wrath of the gods.\Well, thanks for that.\Is your father doing okay? Maybe I should go and say hi.\Don't bother.\He's the same as always, drinking from early in the day. response:	That's gotta be tough for your elder sister and her husband.
context: marking seven years after her passing,\so I prayed that she may warmly protect her careless son\from the wrath of the gods.\Well, thanks for that.\Is your father doing okay? Maybe I should go and say hi.\Don't bother.\He's the same as always, drinking from early in the day.\That's gotta be tough for your elder sister and her husband. response:	With a little brother like this on top of it.
context: so I prayed that she may warmly protect her careless son\from the wrath of the gods.\Well, thanks for that.\Is your father doing okay? Maybe I should go and say hi.\Don't bother.\He's the same as always, drinking from early in the day.\That's gotta be tough for your elder sister and her husband.\With a little brother like this on top of it. response:	You know, if you're gonna worry about someone,
context: from the wrath of the gods.\Well, thanks for that.\Is your father doing okay? Maybe I should go and say hi.\Don't bother.\He's the same as always, drinking from early in the day.\That's gotta be tough for your elder sister and her husband.\With a little brother like this on top of it.\You know, if you're gonna worry about someone, response:	worry about your own mother!
context: Well, thanks for that.\Is your father doing okay? Maybe I should go and say hi.\Don't bother.\He's the same as always, drinking from early in the day.\That's gotta be tough for your elder sister and her husband.\With a little brother like this on top of it.\You know, if you're gonna worry about someone,\worry about your own mother! response:	Leaving her alone way out here in the countryside.
context: Is your father doing okay? Maybe I should go and say hi.\Don't bother.\He's the same as always, drinking from early in the day.\That's gotta be tough for your elder sister and her husband.\With a little brother like this on top of it.\You know, if you're gonna worry about someone,\worry about your own mother!\Leaving her alone way out here in the countryside. response:	But she says she doesn't wanna go to Tokyo.
context: Don't bother.\He's the same as always, drinking from early in the day.\That's gotta be tough for your elder sister and her husband.\With a little brother like this on top of it.\You know, if you're gonna worry about someone,\worry about your own mother!\Leaving her alone way out here in the countryside.\But she says she doesn't wanna go to Tokyo. response:	She really likes this place.
context: He's the same as always, drinking from early in the day.\That's gotta be tough for your elder sister and her husband.\With a little brother like this on top of it.\You know, if you're gonna worry about someone,\worry about your own mother!\Leaving her alone way out here in the countryside.\But she says she doesn't wanna go to Tokyo.\She really likes this place. response:	I don't get it.
context: That's gotta be tough for your elder sister and her husband.\With a little brother like this on top of it.\You know, if you're gonna worry about someone,\worry about your own mother!\Leaving her alone way out here in the countryside.\But she says she doesn't wanna go to Tokyo.\She really likes this place.\I don't get it. response:	What's so good about this place way out in the country?
context: With a little brother like this on top of it.\You know, if you're gonna worry about someone,\worry about your own mother!\Leaving her alone way out here in the countryside.\But she says she doesn't wanna go to Tokyo.\She really likes this place.\I don't get it.\What's so good about this place way out in the country? response:	Especially given the fact she lived in New York at one point.
context: You know, if you're gonna worry about someone,\worry about your own mother!\Leaving her alone way out here in the countryside.\But she says she doesn't wanna go to Tokyo.\She really likes this place.\I don't get it.\What's so good about this place way out in the country?\Especially given the fact she lived in New York at one point. response:	Isn't that why? Living abroad didn't suit her at all.
context: worry about your own mother!\Leaving her alone way out here in the countryside.\But she says she doesn't wanna go to Tokyo.\She really likes this place.\I don't get it.\What's so good about this place way out in the country?\Especially given the fact she lived in New York at one point.\Isn't that why? Living abroad didn't suit her at all. response:	I've been telling her Tokyo isn't a foreign country.
context: Leaving her alone way out here in the countryside.\But she says she doesn't wanna go to Tokyo.\She really likes this place.\I don't get it.\What's so good about this place way out in the country?\Especially given the fact she lived in New York at one point.\Isn't that why? Living abroad didn't suit her at all.\I've been telling her Tokyo isn't a foreign country. response:	But I kinda miss New York. It's my birthplace after all.
context: But she says she doesn't wanna go to Tokyo.\She really likes this place.\I don't get it.\What's so good about this place way out in the country?\Especially given the fact she lived in New York at one point.\Isn't that why? Living abroad didn't suit her at all.\I've been telling her Tokyo isn't a foreign country.\But I kinda miss New York. It's my birthplace after all. response:	Why not go there?
context: She really likes this place.\I don't get it.\What's so good about this place way out in the country?\Especially given the fact she lived in New York at one point.\Isn't that why? Living abroad didn't suit her at all.\I've been telling her Tokyo isn't a foreign country.\But I kinda miss New York. It's my birthplace after all.\Why not go there? response:	Though we only have two more days off.
context: I don't get it.\What's so good about this place way out in the country?\Especially given the fact she lived in New York at one point.\Isn't that why? Living abroad didn't suit her at all.\I've been telling her Tokyo isn't a foreign country.\But I kinda miss New York. It's my birthplace after all.\Why not go there?\Though we only have two more days off. response:	You should've gone.
context: What's so good about this place way out in the country?\Especially given the fact she lived in New York at one point.\Isn't that why? Living abroad didn't suit her at all.\I've been telling her Tokyo isn't a foreign country.\But I kinda miss New York. It's my birthplace after all.\Why not go there?\Though we only have two more days off.\You should've gone. response:	Hmm... But I had a number of things to do.
context: Especially given the fact she lived in New York at one point.\Isn't that why? Living abroad didn't suit her at all.\I've been telling her Tokyo isn't a foreign country.\But I kinda miss New York. It's my birthplace after all.\Why not go there?\Though we only have two more days off.\You should've gone.\Hmm... But I had a number of things to do. response:	Besides, we all should pay our respects to our parents once in a while.
context: Isn't that why? Living abroad didn't suit her at all.\I've been telling her Tokyo isn't a foreign country.\But I kinda miss New York. It's my birthplace after all.\Why not go there?\Though we only have two more days off.\You should've gone.\Hmm... But I had a number of things to do.\Besides, we all should pay our respects to our parents once in a while. response:	We came so close on our tour the other day,
context: I've been telling her Tokyo isn't a foreign country.\But I kinda miss New York. It's my birthplace after all.\Why not go there?\Though we only have two more days off.\You should've gone.\Hmm... But I had a number of things to do.\Besides, we all should pay our respects to our parents once in a while.\We came so close on our tour the other day, response:	but I couldn't visit because of our tight schedule.
context: But I kinda miss New York. It's my birthplace after all.\Why not go there?\Though we only have two more days off.\You should've gone.\Hmm... But I had a number of things to do.\Besides, we all should pay our respects to our parents once in a while.\We came so close on our tour the other day,\but I couldn't visit because of our tight schedule. response:	What about you, Takumi?
context: Why not go there?\Though we only have two more days off.\You should've gone.\Hmm... But I had a number of things to do.\Besides, we all should pay our respects to our parents once in a while.\We came so close on our tour the other day,\but I couldn't visit because of our tight schedule.\What about you, Takumi? response:	As long as I stay in Tokyo, I end up working.
context: Though we only have two more days off.\You should've gone.\Hmm... But I had a number of things to do.\Besides, we all should pay our respects to our parents once in a while.\We came so close on our tour the other day,\but I couldn't visit because of our tight schedule.\What about you, Takumi?\As long as I stay in Tokyo, I end up working. response:	So I thought I'd wander off to the country.
context: You should've gone.\Hmm... But I had a number of things to do.\Besides, we all should pay our respects to our parents once in a while.\We came so close on our tour the other day,\but I couldn't visit because of our tight schedule.\What about you, Takumi?\As long as I stay in Tokyo, I end up working.\So I thought I'd wander off to the country. response:	Call it an escape.
context: Hmm... But I had a number of things to do.\Besides, we all should pay our respects to our parents once in a while.\We came so close on our tour the other day,\but I couldn't visit because of our tight schedule.\What about you, Takumi?\As long as I stay in Tokyo, I end up working.\So I thought I'd wander off to the country.\Call it an escape. response:	But I can't keep my mind off work, so I'll be returning now.
context: Besides, we all should pay our respects to our parents once in a while.\We came so close on our tour the other day,\but I couldn't visit because of our tight schedule.\What about you, Takumi?\As long as I stay in Tokyo, I end up working.\So I thought I'd wander off to the country.\Call it an escape.\But I can't keep my mind off work, so I'll be returning now. response:	I just stopped by here for a bit.
context: We came so close on our tour the other day,\but I couldn't visit because of our tight schedule.\What about you, Takumi?\As long as I stay in Tokyo, I end up working.\So I thought I'd wander off to the country.\Call it an escape.\But I can't keep my mind off work, so I'll be returning now.\I just stopped by here for a bit. response:	Huh, you're going back?!
context: but I couldn't visit because of our tight schedule.\What about you, Takumi?\As long as I stay in Tokyo, I end up working.\So I thought I'd wander off to the country.\Call it an escape.\But I can't keep my mind off work, so I'll be returning now.\I just stopped by here for a bit.\Huh, you're going back?! response:	We got to meet here, so why not have some fun together?
context: What about you, Takumi?\As long as I stay in Tokyo, I end up working.\So I thought I'd wander off to the country.\Call it an escape.\But I can't keep my mind off work, so I'll be returning now.\I just stopped by here for a bit.\Huh, you're going back?!\We got to meet here, so why not have some fun together? response:	Give me a break.
context: As long as I stay in Tokyo, I end up working.\So I thought I'd wander off to the country.\Call it an escape.\But I can't keep my mind off work, so I'll be returning now.\I just stopped by here for a bit.\Huh, you're going back?!\We got to meet here, so why not have some fun together?\Give me a break. response:	Give me a chance to be alone on our off days. See ya.
context: So I thought I'd wander off to the country.\Call it an escape.\But I can't keep my mind off work, so I'll be returning now.\I just stopped by here for a bit.\Huh, you're going back?!\We got to meet here, so why not have some fun together?\Give me a break.\Give me a chance to be alone on our off days. See ya. response:	Oh, Reira...
context: Call it an escape.\But I can't keep my mind off work, so I'll be returning now.\I just stopped by here for a bit.\Huh, you're going back?!\We got to meet here, so why not have some fun together?\Give me a break.\Give me a chance to be alone on our off days. See ya.\Oh, Reira... response:	We've got a photo shoot for a magazine next week,
context: But I can't keep my mind off work, so I'll be returning now.\I just stopped by here for a bit.\Huh, you're going back?!\We got to meet here, so why not have some fun together?\Give me a break.\Give me a chance to be alone on our off days. See ya.\Oh, Reira...\We've got a photo shoot for a magazine next week, response:	so don't get tanned.
context: I just stopped by here for a bit.\Huh, you're going back?!\We got to meet here, so why not have some fun together?\Give me a break.\Give me a chance to be alone on our off days. See ya.\Oh, Reira...\We've got a photo shoot for a magazine next week,\so don't get tanned. response:	I'm aware of that, leader.
context: Huh, you're going back?!\We got to meet here, so why not have some fun together?\Give me a break.\Give me a chance to be alone on our off days. See ya.\Oh, Reira...\We've got a photo shoot for a magazine next week,\so don't get tanned.\I'm aware of that, leader. response:	What is that guy doing?
context: We got to meet here, so why not have some fun together?\Give me a break.\Give me a chance to be alone on our off days. See ya.\Oh, Reira...\We've got a photo shoot for a magazine next week,\so don't get tanned.\I'm aware of that, leader.\What is that guy doing? response:	Their free time is coming to an end.
context: Give me a break.\Give me a chance to be alone on our off days. See ya.\Oh, Reira...\We've got a photo shoot for a magazine next week,\so don't get tanned.\I'm aware of that, leader.\What is that guy doing?\Their free time is coming to an end. response:	But I didn't contact him, either.
context: Give me a chance to be alone on our off days. See ya.\Oh, Reira...\We've got a photo shoot for a magazine next week,\so don't get tanned.\I'm aware of that, leader.\What is that guy doing?\Their free time is coming to an end.\But I didn't contact him, either. response:	Why didn't you? You've got no reason to hold back.
context: Oh, Reira...\We've got a photo shoot for a magazine next week,\so don't get tanned.\I'm aware of that, leader.\What is that guy doing?\Their free time is coming to an end.\But I didn't contact him, either.\Why didn't you? You've got no reason to hold back. response:	You should send him a bunch of emails daily and keep his mind on you.
context: We've got a photo shoot for a magazine next week,\so don't get tanned.\I'm aware of that, leader.\What is that guy doing?\Their free time is coming to an end.\But I didn't contact him, either.\Why didn't you? You've got no reason to hold back.\You should send him a bunch of emails daily and keep his mind on you. response:	But I don't wanna contact him only to be ignored.
context: so don't get tanned.\I'm aware of that, leader.\What is that guy doing?\Their free time is coming to an end.\But I didn't contact him, either.\Why didn't you? You've got no reason to hold back.\You should send him a bunch of emails daily and keep his mind on you.\But I don't wanna contact him only to be ignored. response:	He may be in less of a position to contact you
context: I'm aware of that, leader.\What is that guy doing?\Their free time is coming to an end.\But I didn't contact him, either.\Why didn't you? You've got no reason to hold back.\You should send him a bunch of emails daily and keep his mind on you.\But I don't wanna contact him only to be ignored.\He may be in less of a position to contact you response:	once they're back to work.
context: What is that guy doing?\Their free time is coming to an end.\But I didn't contact him, either.\Why didn't you? You've got no reason to hold back.\You should send him a bunch of emails daily and keep his mind on you.\But I don't wanna contact him only to be ignored.\He may be in less of a position to contact you\once they're back to work. response:	Yes. But it's okay if that's how it goes.
context: Their free time is coming to an end.\But I didn't contact him, either.\Why didn't you? You've got no reason to hold back.\You should send him a bunch of emails daily and keep his mind on you.\But I don't wanna contact him only to be ignored.\He may be in less of a position to contact you\once they're back to work.\Yes. But it's okay if that's how it goes. response:	Yasu! Aren't you worried about Hachi?!
context: But I didn't contact him, either.\Why didn't you? You've got no reason to hold back.\You should send him a bunch of emails daily and keep his mind on you.\But I don't wanna contact him only to be ignored.\He may be in less of a position to contact you\once they're back to work.\Yes. But it's okay if that's how it goes.\Yasu! Aren't you worried about Hachi?! response:	Don't you get the urge to call Takumi and give him an earful?!
context: Why didn't you? You've got no reason to hold back.\You should send him a bunch of emails daily and keep his mind on you.\But I don't wanna contact him only to be ignored.\He may be in less of a position to contact you\once they're back to work.\Yes. But it's okay if that's how it goes.\Yasu! Aren't you worried about Hachi?!\Don't you get the urge to call Takumi and give him an earful?! response:	Sure. But I can't get through to him on his cell.
context: You should send him a bunch of emails daily and keep his mind on you.\But I don't wanna contact him only to be ignored.\He may be in less of a position to contact you\once they're back to work.\Yes. But it's okay if that's how it goes.\Yasu! Aren't you worried about Hachi?!\Don't you get the urge to call Takumi and give him an earful?!\Sure. But I can't get through to him on his cell. response:	Nana!
context: But I don't wanna contact him only to be ignored.\He may be in less of a position to contact you\once they're back to work.\Yes. But it's okay if that's how it goes.\Yasu! Aren't you worried about Hachi?!\Don't you get the urge to call Takumi and give him an earful?!\Sure. But I can't get through to him on his cell.\Nana! response:	If he came to see me because someone around him told him to,
context: He may be in less of a position to contact you\once they're back to work.\Yes. But it's okay if that's how it goes.\Yasu! Aren't you worried about Hachi?!\Don't you get the urge to call Takumi and give him an earful?!\Sure. But I can't get through to him on his cell.\Nana!\If he came to see me because someone around him told him to, response:	that's not gonna make me too happy!
context: once they're back to work.\Yes. But it's okay if that's how it goes.\Yasu! Aren't you worried about Hachi?!\Don't you get the urge to call Takumi and give him an earful?!\Sure. But I can't get through to him on his cell.\Nana!\If he came to see me because someone around him told him to,\that's not gonna make me too happy! response:	I really am fine, so don't worry!
context: Yes. But it's okay if that's how it goes.\Yasu! Aren't you worried about Hachi?!\Don't you get the urge to call Takumi and give him an earful?!\Sure. But I can't get through to him on his cell.\Nana!\If he came to see me because someone around him told him to,\that's not gonna make me too happy!\I really am fine, so don't worry! response:	The way I said that...
context: Yasu! Aren't you worried about Hachi?!\Don't you get the urge to call Takumi and give him an earful?!\Sure. But I can't get through to him on his cell.\Nana!\If he came to see me because someone around him told him to,\that's not gonna make me too happy!\I really am fine, so don't worry!\The way I said that... response:	to them it probably sounds like I'm trying to be strong about this.
context: Don't you get the urge to call Takumi and give him an earful?!\Sure. But I can't get through to him on his cell.\Nana!\If he came to see me because someone around him told him to,\that's not gonna make me too happy!\I really am fine, so don't worry!\The way I said that...\to them it probably sounds like I'm trying to be strong about this. response:	But the honest truth is,
context: Sure. But I can't get through to him on his cell.\Nana!\If he came to see me because someone around him told him to,\that's not gonna make me too happy!\I really am fine, so don't worry!\The way I said that...\to them it probably sounds like I'm trying to be strong about this.\But the honest truth is, response:	if Takumi were to never call me again,
context: Nana!\If he came to see me because someone around him told him to,\that's not gonna make me too happy!\I really am fine, so don't worry!\The way I said that...\to them it probably sounds like I'm trying to be strong about this.\But the honest truth is,\if Takumi were to never call me again, response:	I'd be fine with that.
context: If he came to see me because someone around him told him to,\that's not gonna make me too happy!\I really am fine, so don't worry!\The way I said that...\to them it probably sounds like I'm trying to be strong about this.\But the honest truth is,\if Takumi were to never call me again,\I'd be fine with that. response:	Or in fact, it would be better that way.
context: that's not gonna make me too happy!\I really am fine, so don't worry!\The way I said that...\to them it probably sounds like I'm trying to be strong about this.\But the honest truth is,\if Takumi were to never call me again,\I'd be fine with that.\Or in fact, it would be better that way. response:	Hachi! Buy one for me too!
context: I really am fine, so don't worry!\The way I said that...\to them it probably sounds like I'm trying to be strong about this.\But the honest truth is,\if Takumi were to never call me again,\I'd be fine with that.\Or in fact, it would be better that way.\Hachi! Buy one for me too! response:	Buy it yourself.
context: The way I said that...\to them it probably sounds like I'm trying to be strong about this.\But the honest truth is,\if Takumi were to never call me again,\I'd be fine with that.\Or in fact, it would be better that way.\Hachi! Buy one for me too!\Buy it yourself. response:	What should I get?
context: to them it probably sounds like I'm trying to be strong about this.\But the honest truth is,\if Takumi were to never call me again,\I'd be fine with that.\Or in fact, it would be better that way.\Hachi! Buy one for me too!\Buy it yourself.\What should I get? response:	Thank you.
context: But the honest truth is,\if Takumi were to never call me again,\I'd be fine with that.\Or in fact, it would be better that way.\Hachi! Buy one for me too!\Buy it yourself.\What should I get?\Thank you. response:	You know, Nana's singing seems to be improving day by day,
context: if Takumi were to never call me again,\I'd be fine with that.\Or in fact, it would be better that way.\Hachi! Buy one for me too!\Buy it yourself.\What should I get?\Thank you.\You know, Nana's singing seems to be improving day by day, response:	don't you think?
context: I'd be fine with that.\Or in fact, it would be better that way.\Hachi! Buy one for me too!\Buy it yourself.\What should I get?\Thank you.\You know, Nana's singing seems to be improving day by day,\don't you think? response:	Maybe because of the sit-ups.
context: Or in fact, it would be better that way.\Hachi! Buy one for me too!\Buy it yourself.\What should I get?\Thank you.\You know, Nana's singing seems to be improving day by day,\don't you think?\Maybe because of the sit-ups. response:	I'm sure we'd be able to go pro, right?
context: Hachi! Buy one for me too!\Buy it yourself.\What should I get?\Thank you.\You know, Nana's singing seems to be improving day by day,\don't you think?\Maybe because of the sit-ups.\I'm sure we'd be able to go pro, right? response:	Trapnest will be on their break for two more days.
context: Buy it yourself.\What should I get?\Thank you.\You know, Nana's singing seems to be improving day by day,\don't you think?\Maybe because of the sit-ups.\I'm sure we'd be able to go pro, right?\Trapnest will be on their break for two more days. response:	If I don't hear from Takumi again,
context: What should I get?\Thank you.\You know, Nana's singing seems to be improving day by day,\don't you think?\Maybe because of the sit-ups.\I'm sure we'd be able to go pro, right?\Trapnest will be on their break for two more days.\If I don't hear from Takumi again, response:	I can become the poor girl
context: Thank you.\You know, Nana's singing seems to be improving day by day,\don't you think?\Maybe because of the sit-ups.\I'm sure we'd be able to go pro, right?\Trapnest will be on their break for two more days.\If I don't hear from Takumi again,\I can become the poor girl response:	who was tricked and dumped by a nasty guy.
context: You know, Nana's singing seems to be improving day by day,\don't you think?\Maybe because of the sit-ups.\I'm sure we'd be able to go pro, right?\Trapnest will be on their break for two more days.\If I don't hear from Takumi again,\I can become the poor girl\who was tricked and dumped by a nasty guy. response:	I can make it all Takumi's fault, and move on to a new love.
context: don't you think?\Maybe because of the sit-ups.\I'm sure we'd be able to go pro, right?\Trapnest will be on their break for two more days.\If I don't hear from Takumi again,\I can become the poor girl\who was tricked and dumped by a nasty guy.\I can make it all Takumi's fault, and move on to a new love. response:	But if he found out about my cunning thoughts,
context: Maybe because of the sit-ups.\I'm sure we'd be able to go pro, right?\Trapnest will be on their break for two more days.\If I don't hear from Takumi again,\I can become the poor girl\who was tricked and dumped by a nasty guy.\I can make it all Takumi's fault, and move on to a new love.\But if he found out about my cunning thoughts, response:	he'll end up hating me.
context: I'm sure we'd be able to go pro, right?\Trapnest will be on their break for two more days.\If I don't hear from Takumi again,\I can become the poor girl\who was tricked and dumped by a nasty guy.\I can make it all Takumi's fault, and move on to a new love.\But if he found out about my cunning thoughts,\he'll end up hating me. response:	First of all, I'd be dreaming
context: Trapnest will be on their break for two more days.\If I don't hear from Takumi again,\I can become the poor girl\who was tricked and dumped by a nasty guy.\I can make it all Takumi's fault, and move on to a new love.\But if he found out about my cunning thoughts,\he'll end up hating me.\First of all, I'd be dreaming response:	to think someone would make me their girlfriend
context: If I don't hear from Takumi again,\I can become the poor girl\who was tricked and dumped by a nasty guy.\I can make it all Takumi's fault, and move on to a new love.\But if he found out about my cunning thoughts,\he'll end up hating me.\First of all, I'd be dreaming\to think someone would make me their girlfriend response:	because Takumi dumped me.
context: I can become the poor girl\who was tricked and dumped by a nasty guy.\I can make it all Takumi's fault, and move on to a new love.\But if he found out about my cunning thoughts,\he'll end up hating me.\First of all, I'd be dreaming\to think someone would make me their girlfriend\because Takumi dumped me. response:	I don't want Nobu thinking I'm such an easy woman.
context: who was tricked and dumped by a nasty guy.\I can make it all Takumi's fault, and move on to a new love.\But if he found out about my cunning thoughts,\he'll end up hating me.\First of all, I'd be dreaming\to think someone would make me their girlfriend\because Takumi dumped me.\I don't want Nobu thinking I'm such an easy woman. response:	But the fact is, I am that type of woman.
context: I can make it all Takumi's fault, and move on to a new love.\But if he found out about my cunning thoughts,\he'll end up hating me.\First of all, I'd be dreaming\to think someone would make me their girlfriend\because Takumi dumped me.\I don't want Nobu thinking I'm such an easy woman.\But the fact is, I am that type of woman. response:	A black four-wheel drive Mercedes Benz.
context: But if he found out about my cunning thoughts,\he'll end up hating me.\First of all, I'd be dreaming\to think someone would make me their girlfriend\because Takumi dumped me.\I don't want Nobu thinking I'm such an easy woman.\But the fact is, I am that type of woman.\A black four-wheel drive Mercedes Benz. response:	Nobu!
context: he'll end up hating me.\First of all, I'd be dreaming\to think someone would make me their girlfriend\because Takumi dumped me.\I don't want Nobu thinking I'm such an easy woman.\But the fact is, I am that type of woman.\A black four-wheel drive Mercedes Benz.\Nobu! response:	Thank you for walking me home.
context: First of all, I'd be dreaming\to think someone would make me their girlfriend\because Takumi dumped me.\I don't want Nobu thinking I'm such an easy woman.\But the fact is, I am that type of woman.\A black four-wheel drive Mercedes Benz.\Nobu!\Thank you for walking me home. response:	Huh?
context: to think someone would make me their girlfriend\because Takumi dumped me.\I don't want Nobu thinking I'm such an easy woman.\But the fact is, I am that type of woman.\A black four-wheel drive Mercedes Benz.\Nobu!\Thank you for walking me home.\Huh? response:	I'll be fine on my own from here on.
context: because Takumi dumped me.\I don't want Nobu thinking I'm such an easy woman.\But the fact is, I am that type of woman.\A black four-wheel drive Mercedes Benz.\Nobu!\Thank you for walking me home.\Huh?\I'll be fine on my own from here on. response:	I'm almost home.
context: I don't want Nobu thinking I'm such an easy woman.\But the fact is, I am that type of woman.\A black four-wheel drive Mercedes Benz.\Nobu!\Thank you for walking me home.\Huh?\I'll be fine on my own from here on.\I'm almost home. response:	I'm sorry for having you take a longer route home
context: But the fact is, I am that type of woman.\A black four-wheel drive Mercedes Benz.\Nobu!\Thank you for walking me home.\Huh?\I'll be fine on my own from here on.\I'm almost home.\I'm sorry for having you take a longer route home response:	to walk me home every day.
context: A black four-wheel drive Mercedes Benz.\Nobu!\Thank you for walking me home.\Huh?\I'll be fine on my own from here on.\I'm almost home.\I'm sorry for having you take a longer route home\to walk me home every day. response:	No, I don't mind it.
context: Nobu!\Thank you for walking me home.\Huh?\I'll be fine on my own from here on.\I'm almost home.\I'm sorry for having you take a longer route home\to walk me home every day.\No, I don't mind it. response:	If you're bothered by it,
context: Thank you for walking me home.\Huh?\I'll be fine on my own from here on.\I'm almost home.\I'm sorry for having you take a longer route home\to walk me home every day.\No, I don't mind it.\If you're bothered by it, response:	I'll have Shin or Yasu walk you home from tomorrow...
context: Huh?\I'll be fine on my own from here on.\I'm almost home.\I'm sorry for having you take a longer route home\to walk me home every day.\No, I don't mind it.\If you're bothered by it,\I'll have Shin or Yasu walk you home from tomorrow... response:	No, it doesn't bother me.
context: I'll be fine on my own from here on.\I'm almost home.\I'm sorry for having you take a longer route home\to walk me home every day.\No, I don't mind it.\If you're bothered by it,\I'll have Shin or Yasu walk you home from tomorrow...\No, it doesn't bother me. response:	Nana!
context: I'm almost home.\I'm sorry for having you take a longer route home\to walk me home every day.\No, I don't mind it.\If you're bothered by it,\I'll have Shin or Yasu walk you home from tomorrow...\No, it doesn't bother me.\Nana! response:	If he's gonna come at this stage,
context: I'm sorry for having you take a longer route home\to walk me home every day.\No, I don't mind it.\If you're bothered by it,\I'll have Shin or Yasu walk you home from tomorrow...\No, it doesn't bother me.\Nana!\If he's gonna come at this stage, response:	he could've sent me an email ahead of time.
context: to walk me home every day.\No, I don't mind it.\If you're bothered by it,\I'll have Shin or Yasu walk you home from tomorrow...\No, it doesn't bother me.\Nana!\If he's gonna come at this stage,\he could've sent me an email ahead of time. response:	Such a selfish man who makes decisions on a whim.
context: No, I don't mind it.\If you're bothered by it,\I'll have Shin or Yasu walk you home from tomorrow...\No, it doesn't bother me.\Nana!\If he's gonna come at this stage,\he could've sent me an email ahead of time.\Such a selfish man who makes decisions on a whim. response:	Well, well. It's you.
context: If you're bothered by it,\I'll have Shin or Yasu walk you home from tomorrow...\No, it doesn't bother me.\Nana!\If he's gonna come at this stage,\he could've sent me an email ahead of time.\Such a selfish man who makes decisions on a whim.\Well, well. It's you. response:	Where were you this late at night?
context: I'll have Shin or Yasu walk you home from tomorrow...\No, it doesn't bother me.\Nana!\If he's gonna come at this stage,\he could've sent me an email ahead of time.\Such a selfish man who makes decisions on a whim.\Well, well. It's you.\Where were you this late at night? response:	I worry, you know. I've been waiting for an hour.
context: No, it doesn't bother me.\Nana!\If he's gonna come at this stage,\he could've sent me an email ahead of time.\Such a selfish man who makes decisions on a whim.\Well, well. It's you.\Where were you this late at night?\I worry, you know. I've been waiting for an hour. response:	Ah, sorry. I was at the studio to see Nana and her band practice.
context: Nana!\If he's gonna come at this stage,\he could've sent me an email ahead of time.\Such a selfish man who makes decisions on a whim.\Well, well. It's you.\Where were you this late at night?\I worry, you know. I've been waiting for an hour.\Ah, sorry. I was at the studio to see Nana and her band practice. response:	Nana's staying with Ren now,
context: If he's gonna come at this stage,\he could've sent me an email ahead of time.\Such a selfish man who makes decisions on a whim.\Well, well. It's you.\Where were you this late at night?\I worry, you know. I've been waiting for an hour.\Ah, sorry. I was at the studio to see Nana and her band practice.\Nana's staying with Ren now, response:	so Nobu walked me home because I'm afraid to walk home alone.
context: he could've sent me an email ahead of time.\Such a selfish man who makes decisions on a whim.\Well, well. It's you.\Where were you this late at night?\I worry, you know. I've been waiting for an hour.\Ah, sorry. I was at the studio to see Nana and her band practice.\Nana's staying with Ren now,\so Nobu walked me home because I'm afraid to walk home alone. response:	Is that so? Well, thank you very much for that.
context: Such a selfish man who makes decisions on a whim.\Well, well. It's you.\Where were you this late at night?\I worry, you know. I've been waiting for an hour.\Ah, sorry. I was at the studio to see Nana and her band practice.\Nana's staying with Ren now,\so Nobu walked me home because I'm afraid to walk home alone.\Is that so? Well, thank you very much for that. response:	Okay, then. Thank you, Nobu.
context: Well, well. It's you.\Where were you this late at night?\I worry, you know. I've been waiting for an hour.\Ah, sorry. I was at the studio to see Nana and her band practice.\Nana's staying with Ren now,\so Nobu walked me home because I'm afraid to walk home alone.\Is that so? Well, thank you very much for that.\Okay, then. Thank you, Nobu. response:	Good night.
context: Where were you this late at night?\I worry, you know. I've been waiting for an hour.\Ah, sorry. I was at the studio to see Nana and her band practice.\Nana's staying with Ren now,\so Nobu walked me home because I'm afraid to walk home alone.\Is that so? Well, thank you very much for that.\Okay, then. Thank you, Nobu.\Good night. response:	I'm the worst.
context: I worry, you know. I've been waiting for an hour.\Ah, sorry. I was at the studio to see Nana and her band practice.\Nana's staying with Ren now,\so Nobu walked me home because I'm afraid to walk home alone.\Is that so? Well, thank you very much for that.\Okay, then. Thank you, Nobu.\Good night.\I'm the worst. response:	Sorry for coming like this outta the blue.
context: Ah, sorry. I was at the studio to see Nana and her band practice.\Nana's staying with Ren now,\so Nobu walked me home because I'm afraid to walk home alone.\Is that so? Well, thank you very much for that.\Okay, then. Thank you, Nobu.\Good night.\I'm the worst.\Sorry for coming like this outta the blue. response:	I left my place without my cell phone and came here before returning,
context: Nana's staying with Ren now,\so Nobu walked me home because I'm afraid to walk home alone.\Is that so? Well, thank you very much for that.\Okay, then. Thank you, Nobu.\Good night.\I'm the worst.\Sorry for coming like this outta the blue.\I left my place without my cell phone and came here before returning, response:	so I couldn't call you.
context: so Nobu walked me home because I'm afraid to walk home alone.\Is that so? Well, thank you very much for that.\Okay, then. Thank you, Nobu.\Good night.\I'm the worst.\Sorry for coming like this outta the blue.\I left my place without my cell phone and came here before returning,\so I couldn't call you. response:	This is what happens when I think cunning thoughts
