context: Aye! I'm reporting live from E-Land! response:	Can everyone see this?
context: Lucy, take cover!\Your Highness, all the preparations have been completed.\We have reached the final stage of Code ETD.\Farewell, God!\The magic power we extracted from the Dragon Slayers\can be thought of as giant chains enabling you to move the floating islands at will.\Then, once the floating islands are under your control,\all you need to do is simply ram that lacrima into those damn cats' kingdom... response:	Do that, and the magic power will fuse together,
context: Your Highness, all the preparations have been completed.\We have reached the final stage of Code ETD.\Farewell, God!\The magic power we extracted from the Dragon Slayers\can be thought of as giant chains enabling you to move the floating islands at will.\Then, once the floating islands are under your control,\all you need to do is simply ram that lacrima into those damn cats' kingdom...\Do that, and the magic power will fuse together, response:	and an eternity of magic power will rain down on our kingdom.
context: We have reached the final stage of Code ETD.\Farewell, God!\The magic power we extracted from the Dragon Slayers\can be thought of as giant chains enabling you to move the floating islands at will.\Then, once the floating islands are under your control,\all you need to do is simply ram that lacrima into those damn cats' kingdom...\Do that, and the magic power will fuse together,\and an eternity of magic power will rain down on our kingdom. response:	The Edolas magic spell, Dragon Chain Cannon.
context: Farewell, God!\The magic power we extracted from the Dragon Slayers\can be thought of as giant chains enabling you to move the floating islands at will.\Then, once the floating islands are under your control,\all you need to do is simply ram that lacrima into those damn cats' kingdom...\Do that, and the magic power will fuse together,\and an eternity of magic power will rain down on our kingdom.\The Edolas magic spell, Dragon Chain Cannon. response:	A device which utilizes the magic power of dragons.
context: The magic power we extracted from the Dragon Slayers\can be thought of as giant chains enabling you to move the floating islands at will.\Then, once the floating islands are under your control,\all you need to do is simply ram that lacrima into those damn cats' kingdom...\Do that, and the magic power will fuse together,\and an eternity of magic power will rain down on our kingdom.\The Edolas magic spell, Dragon Chain Cannon.\A device which utilizes the magic power of dragons. response:	Presently, it cannot be used as a weapon.
context: can be thought of as giant chains enabling you to move the floating islands at will.\Then, once the floating islands are under your control,\all you need to do is simply ram that lacrima into those damn cats' kingdom...\Do that, and the magic power will fuse together,\and an eternity of magic power will rain down on our kingdom.\The Edolas magic spell, Dragon Chain Cannon.\A device which utilizes the magic power of dragons.\Presently, it cannot be used as a weapon. response:	Now, Your Highness...
context: Then, once the floating islands are under your control,\all you need to do is simply ram that lacrima into those damn cats' kingdom...\Do that, and the magic power will fuse together,\and an eternity of magic power will rain down on our kingdom.\The Edolas magic spell, Dragon Chain Cannon.\A device which utilizes the magic power of dragons.\Presently, it cannot be used as a weapon.\Now, Your Highness... response:	The key to activate the Dragon Chain Cannon...
context: all you need to do is simply ram that lacrima into those damn cats' kingdom...\Do that, and the magic power will fuse together,\and an eternity of magic power will rain down on our kingdom.\The Edolas magic spell, Dragon Chain Cannon.\A device which utilizes the magic power of dragons.\Presently, it cannot be used as a weapon.\Now, Your Highness...\The key to activate the Dragon Chain Cannon... response:	Your Highness!
context: Do that, and the magic power will fuse together,\and an eternity of magic power will rain down on our kingdom.\The Edolas magic spell, Dragon Chain Cannon.\A device which utilizes the magic power of dragons.\Presently, it cannot be used as a weapon.\Now, Your Highness...\The key to activate the Dragon Chain Cannon...\Your Highness! response:	Your Highness, wait!
context: and an eternity of magic power will rain down on our kingdom.\The Edolas magic spell, Dragon Chain Cannon.\A device which utilizes the magic power of dragons.\Presently, it cannot be used as a weapon.\Now, Your Highness...\The key to activate the Dragon Chain Cannon...\Your Highness!\Your Highness, wait! response:	Hey, Coco!
context: The Edolas magic spell, Dragon Chain Cannon.\A device which utilizes the magic power of dragons.\Presently, it cannot be used as a weapon.\Now, Your Highness...\The key to activate the Dragon Chain Cannon...\Your Highness!\Your Highness, wait!\Hey, Coco! response:	How many times have I told you not to run around near the king!
context: A device which utilizes the magic power of dragons.\Presently, it cannot be used as a weapon.\Now, Your Highness...\The key to activate the Dragon Chain Cannon...\Your Highness!\Your Highness, wait!\Hey, Coco!\How many times have I told you not to run around near the king! response:	Please stop this!
context: Presently, it cannot be used as a weapon.\Now, Your Highness...\The key to activate the Dragon Chain Cannon...\Your Highness!\Your Highness, wait!\Hey, Coco!\How many times have I told you not to run around near the king!\Please stop this! response:	Lily is there on that lacrima island!
context: Now, Your Highness...\The key to activate the Dragon Chain Cannon...\Your Highness!\Your Highness, wait!\Hey, Coco!\How many times have I told you not to run around near the king!\Please stop this!\Lily is there on that lacrima island! response:	You ain't bad!
context: The key to activate the Dragon Chain Cannon...\Your Highness!\Your Highness, wait!\Hey, Coco!\How many times have I told you not to run around near the king!\Please stop this!\Lily is there on that lacrima island!\You ain't bad! response:	So this is Earthland magic...
context: Your Highness!\Your Highness, wait!\Hey, Coco!\How many times have I told you not to run around near the king!\Please stop this!\Lily is there on that lacrima island!\You ain't bad!\So this is Earthland magic... response:	It is quite intriguing.
context: Your Highness, wait!\Hey, Coco!\How many times have I told you not to run around near the king!\Please stop this!\Lily is there on that lacrima island!\You ain't bad!\So this is Earthland magic...\It is quite intriguing. response:	This is getting exciting!
context: Hey, Coco!\How many times have I told you not to run around near the king!\Please stop this!\Lily is there on that lacrima island!\You ain't bad!\So this is Earthland magic...\It is quite intriguing.\This is getting exciting! response:	Finally, a guy that's actually near my level!
context: How many times have I told you not to run around near the king!\Please stop this!\Lily is there on that lacrima island!\You ain't bad!\So this is Earthland magic...\It is quite intriguing.\This is getting exciting!\Finally, a guy that's actually near my level! response:	This isn't the time to be enjoying yourself!
context: Please stop this!\Lily is there on that lacrima island!\You ain't bad!\So this is Earthland magic...\It is quite intriguing.\This is getting exciting!\Finally, a guy that's actually near my level!\This isn't the time to be enjoying yourself! response:	And besides, you're heavy, Gajeel!
context: Lily is there on that lacrima island!\You ain't bad!\So this is Earthland magic...\It is quite intriguing.\This is getting exciting!\Finally, a guy that's actually near my level!\This isn't the time to be enjoying yourself!\And besides, you're heavy, Gajeel! response:	Well, not as heavy as Lucy...
context: You ain't bad!\So this is Earthland magic...\It is quite intriguing.\This is getting exciting!\Finally, a guy that's actually near my level!\This isn't the time to be enjoying yourself!\And besides, you're heavy, Gajeel!\Well, not as heavy as Lucy... response:	You sure you should be sayin' that?
context: So this is Earthland magic...\It is quite intriguing.\This is getting exciting!\Finally, a guy that's actually near my level!\This isn't the time to be enjoying yourself!\And besides, you're heavy, Gajeel!\Well, not as heavy as Lucy...\You sure you should be sayin' that? response:	Lucy's gonna pulverize you.
context: It is quite intriguing.\This is getting exciting!\Finally, a guy that's actually near my level!\This isn't the time to be enjoying yourself!\And besides, you're heavy, Gajeel!\Well, not as heavy as Lucy...\You sure you should be sayin' that?\Lucy's gonna pulverize you. response:	I take back what I said!
context: This is getting exciting!\Finally, a guy that's actually near my level!\This isn't the time to be enjoying yourself!\And besides, you're heavy, Gajeel!\Well, not as heavy as Lucy...\You sure you should be sayin' that?\Lucy's gonna pulverize you.\I take back what I said! response:	You can put me down.
context: Finally, a guy that's actually near my level!\This isn't the time to be enjoying yourself!\And besides, you're heavy, Gajeel!\Well, not as heavy as Lucy...\You sure you should be sayin' that?\Lucy's gonna pulverize you.\I take back what I said!\You can put me down. response:	Aye!
context: This isn't the time to be enjoying yourself!\And besides, you're heavy, Gajeel!\Well, not as heavy as Lucy...\You sure you should be sayin' that?\Lucy's gonna pulverize you.\I take back what I said!\You can put me down.\Aye! response:	You're Salamander's cat, yeah...
context: And besides, you're heavy, Gajeel!\Well, not as heavy as Lucy...\You sure you should be sayin' that?\Lucy's gonna pulverize you.\I take back what I said!\You can put me down.\Aye!\You're Salamander's cat, yeah... response:	I'll look forward to fightin' in the air when I find my own cat.
context: Well, not as heavy as Lucy...\You sure you should be sayin' that?\Lucy's gonna pulverize you.\I take back what I said!\You can put me down.\Aye!\You're Salamander's cat, yeah...\I'll look forward to fightin' in the air when I find my own cat. response:	Gajeel...
context: You sure you should be sayin' that?\Lucy's gonna pulverize you.\I take back what I said!\You can put me down.\Aye!\You're Salamander's cat, yeah...\I'll look forward to fightin' in the air when I find my own cat.\Gajeel... response:	Magic Charging Complete.
context: Lucy's gonna pulverize you.\I take back what I said!\You can put me down.\Aye!\You're Salamander's cat, yeah...\I'll look forward to fightin' in the air when I find my own cat.\Gajeel...\Magic Charging Complete. response:	Master Ma'am, reactivate!
context: I take back what I said!\You can put me down.\Aye!\You're Salamander's cat, yeah...\I'll look forward to fightin' in the air when I find my own cat.\Gajeel...\Magic Charging Complete.\Master Ma'am, reactivate! response:	But damn, that's one big sword.
context: You can put me down.\Aye!\You're Salamander's cat, yeah...\I'll look forward to fightin' in the air when I find my own cat.\Gajeel...\Magic Charging Complete.\Master Ma'am, reactivate!\But damn, that's one big sword. response:	Aye!
context: Aye!\You're Salamander's cat, yeah...\I'll look forward to fightin' in the air when I find my own cat.\Gajeel...\Magic Charging Complete.\Master Ma'am, reactivate!\But damn, that's one big sword.\Aye! response:	If we measure it this way, it's 4 Panther Lily's big!
context: You're Salamander's cat, yeah...\I'll look forward to fightin' in the air when I find my own cat.\Gajeel...\Magic Charging Complete.\Master Ma'am, reactivate!\But damn, that's one big sword.\Aye!\If we measure it this way, it's 4 Panther Lily's big! response:	Who gives a crap about it?
context: I'll look forward to fightin' in the air when I find my own cat.\Gajeel...\Magic Charging Complete.\Master Ma'am, reactivate!\But damn, that's one big sword.\Aye!\If we measure it this way, it's 4 Panther Lily's big!\Who gives a crap about it? response:	Chatting during a battle? You are overly confident.
context: Gajeel...\Magic Charging Complete.\Master Ma'am, reactivate!\But damn, that's one big sword.\Aye!\If we measure it this way, it's 4 Panther Lily's big!\Who gives a crap about it?\Chatting during a battle? You are overly confident. response:	He chopped off some of the island!
context: Magic Charging Complete.\Master Ma'am, reactivate!\But damn, that's one big sword.\Aye!\If we measure it this way, it's 4 Panther Lily's big!\Who gives a crap about it?\Chatting during a battle? You are overly confident.\He chopped off some of the island! response:	It ain't just big... The guy who's wielding it is skilled as well.
context: Master Ma'am, reactivate!\But damn, that's one big sword.\Aye!\If we measure it this way, it's 4 Panther Lily's big!\Who gives a crap about it?\Chatting during a battle? You are overly confident.\He chopped off some of the island!\It ain't just big... The guy who's wielding it is skilled as well. response:	I'll make you nothing more than rust on my Great Sword, Master Ma'am!
context: But damn, that's one big sword.\Aye!\If we measure it this way, it's 4 Panther Lily's big!\Who gives a crap about it?\Chatting during a battle? You are overly confident.\He chopped off some of the island!\It ain't just big... The guy who's wielding it is skilled as well.\I'll make you nothing more than rust on my Great Sword, Master Ma'am! response:	Earthland wizard!
context: Aye!\If we measure it this way, it's 4 Panther Lily's big!\Who gives a crap about it?\Chatting during a battle? You are overly confident.\He chopped off some of the island!\It ain't just big... The guy who's wielding it is skilled as well.\I'll make you nothing more than rust on my Great Sword, Master Ma'am!\Earthland wizard! response:	I see. But you know, rust is pretty.
context: If we measure it this way, it's 4 Panther Lily's big!\Who gives a crap about it?\Chatting during a battle? You are overly confident.\He chopped off some of the island!\It ain't just big... The guy who's wielding it is skilled as well.\I'll make you nothing more than rust on my Great Sword, Master Ma'am!\Earthland wizard!\I see. But you know, rust is pretty. response:	Aye! Gajeel's iron, after all!
context: Who gives a crap about it?\Chatting during a battle? You are overly confident.\He chopped off some of the island!\It ain't just big... The guy who's wielding it is skilled as well.\I'll make you nothing more than rust on my Great Sword, Master Ma'am!\Earthland wizard!\I see. But you know, rust is pretty.\Aye! Gajeel's iron, after all! response:	Here I go!
context: Chatting during a battle? You are overly confident.\He chopped off some of the island!\It ain't just big... The guy who's wielding it is skilled as well.\I'll make you nothing more than rust on my Great Sword, Master Ma'am!\Earthland wizard!\I see. But you know, rust is pretty.\Aye! Gajeel's iron, after all!\Here I go! response:	Bring it!
context: He chopped off some of the island!\It ain't just big... The guy who's wielding it is skilled as well.\I'll make you nothing more than rust on my Great Sword, Master Ma'am!\Earthland wizard!\I see. But you know, rust is pretty.\Aye! Gajeel's iron, after all!\Here I go!\Bring it! response:	If you activate the plan now, Lily will be caught up in it!
context: It ain't just big... The guy who's wielding it is skilled as well.\I'll make you nothing more than rust on my Great Sword, Master Ma'am!\Earthland wizard!\I see. But you know, rust is pretty.\Aye! Gajeel's iron, after all!\Here I go!\Bring it!\If you activate the plan now, Lily will be caught up in it! response:	And what about it?
context: I'll make you nothing more than rust on my Great Sword, Master Ma'am!\Earthland wizard!\I see. But you know, rust is pretty.\Aye! Gajeel's iron, after all!\Here I go!\Bring it!\If you activate the plan now, Lily will be caught up in it!\And what about it? response:	He's our ally!
context: Earthland wizard!\I see. But you know, rust is pretty.\Aye! Gajeel's iron, after all!\Here I go!\Bring it!\If you activate the plan now, Lily will be caught up in it!\And what about it?\He's our ally! response:	Coco, he will be a martyr to our great Kingdom's future!
context: I see. But you know, rust is pretty.\Aye! Gajeel's iron, after all!\Here I go!\Bring it!\If you activate the plan now, Lily will be caught up in it!\And what about it?\He's our ally!\Coco, he will be a martyr to our great Kingdom's future! response:	But...
context: Aye! Gajeel's iron, after all!\Here I go!\Bring it!\If you activate the plan now, Lily will be caught up in it!\And what about it?\He's our ally!\Coco, he will be a martyr to our great Kingdom's future!\But... response:	I don't want Lily to die!
context: Here I go!\Bring it!\If you activate the plan now, Lily will be caught up in it!\And what about it?\He's our ally!\Coco, he will be a martyr to our great Kingdom's future!\But...\I don't want Lily to die! response:	Who cares what happens to that damn Exceed?
context: Bring it!\If you activate the plan now, Lily will be caught up in it!\And what about it?\He's our ally!\Coco, he will be a martyr to our great Kingdom's future!\But...\I don't want Lily to die!\Who cares what happens to that damn Exceed? response:	No, no!
context: If you activate the plan now, Lily will be caught up in it!\And what about it?\He's our ally!\Coco, he will be a martyr to our great Kingdom's future!\But...\I don't want Lily to die!\Who cares what happens to that damn Exceed?\No, no! response:	I said no!
context: And what about it?\He's our ally!\Coco, he will be a martyr to our great Kingdom's future!\But...\I don't want Lily to die!\Who cares what happens to that damn Exceed?\No, no!\I said no! response:	What are you...
context: He's our ally!\Coco, he will be a martyr to our great Kingdom's future!\But...\I don't want Lily to die!\Who cares what happens to that damn Exceed?\No, no!\I said no!\What are you... response:	Coco!
context: Coco, he will be a martyr to our great Kingdom's future!\But...\I don't want Lily to die!\Who cares what happens to that damn Exceed?\No, no!\I said no!\What are you...\Coco! response:	You have always loved to run.
context: But...\I don't want Lily to die!\Who cares what happens to that damn Exceed?\No, no!\I said no!\What are you...\Coco!\You have always loved to run. response:	And I loved to watch you run around...
context: I don't want Lily to die!\Who cares what happens to that damn Exceed?\No, no!\I said no!\What are you...\Coco!\You have always loved to run.\And I loved to watch you run around... response:	Hand the key over to me.
context: Who cares what happens to that damn Exceed?\No, no!\I said no!\What are you...\Coco!\You have always loved to run.\And I loved to watch you run around...\Hand the key over to me. response:	Coco!
context: No, no!\I said no!\What are you...\Coco!\You have always loved to run.\And I loved to watch you run around...\Hand the key over to me.\Coco! response:	Bydo, after her! Right now!
context: I said no!\What are you...\Coco!\You have always loved to run.\And I loved to watch you run around...\Hand the key over to me.\Coco!\Bydo, after her! Right now! response:	Y-Yes, sire!
context: What are you...\Coco!\You have always loved to run.\And I loved to watch you run around...\Hand the key over to me.\Coco!\Bydo, after her! Right now!\Y-Yes, sire! response:	It hurts! It hurts!
context: Coco!\You have always loved to run.\And I loved to watch you run around...\Hand the key over to me.\Coco!\Bydo, after her! Right now!\Y-Yes, sire!\It hurts! It hurts! response:	I've never had my feet feel such pain!
context: You have always loved to run.\And I loved to watch you run around...\Hand the key over to me.\Coco!\Bydo, after her! Right now!\Y-Yes, sire!\It hurts! It hurts!\I've never had my feet feel such pain! response:	Even I want everlasting magic power!
context: And I loved to watch you run around...\Hand the key over to me.\Coco!\Bydo, after her! Right now!\Y-Yes, sire!\It hurts! It hurts!\I've never had my feet feel such pain!\Even I want everlasting magic power! response:	But I don't want Lily to die!
context: Hand the key over to me.\Coco!\Bydo, after her! Right now!\Y-Yes, sire!\It hurts! It hurts!\I've never had my feet feel such pain!\Even I want everlasting magic power!\But I don't want Lily to die! response:	What'll I do? What'll I do?
context: Coco!\Bydo, after her! Right now!\Y-Yes, sire!\It hurts! It hurts!\I've never had my feet feel such pain!\Even I want everlasting magic power!\But I don't want Lily to die!\What'll I do? What'll I do? response:	Where am I?
context: Bydo, after her! Right now!\Y-Yes, sire!\It hurts! It hurts!\I've never had my feet feel such pain!\Even I want everlasting magic power!\But I don't want Lily to die!\What'll I do? What'll I do?\Where am I? response:	And hey, where's Lucy?
context: Y-Yes, sire!\It hurts! It hurts!\I've never had my feet feel such pain!\Even I want everlasting magic power!\But I don't want Lily to die!\What'll I do? What'll I do?\Where am I?\And hey, where's Lucy? response:	You okay?
context: It hurts! It hurts!\I've never had my feet feel such pain!\Even I want everlasting magic power!\But I don't want Lily to die!\What'll I do? What'll I do?\Where am I?\And hey, where's Lucy?\You okay? response:	Hey!
context: I've never had my feet feel such pain!\Even I want everlasting magic power!\But I don't want Lily to die!\What'll I do? What'll I do?\Where am I?\And hey, where's Lucy?\You okay?\Hey! response:	Natsu, here! I'm in here!
context: Even I want everlasting magic power!\But I don't want Lily to die!\What'll I do? What'll I do?\Where am I?\And hey, where's Lucy?\You okay?\Hey!\Natsu, here! I'm in here! response:	Get me outta here!
context: But I don't want Lily to die!\What'll I do? What'll I do?\Where am I?\And hey, where's Lucy?\You okay?\Hey!\Natsu, here! I'm in here!\Get me outta here! response:	Why're you in a a place like that?
context: What'll I do? What'll I do?\Where am I?\And hey, where's Lucy?\You okay?\Hey!\Natsu, here! I'm in here!\Get me outta here!\Why're you in a a place like that? response:	How should I know?
context: Where am I?\And hey, where's Lucy?\You okay?\Hey!\Natsu, here! I'm in here!\Get me outta here!\Why're you in a a place like that?\How should I know? response:	Before I realized it, I was in this dark, cramped place and couldn't get out!
context: And hey, where's Lucy?\You okay?\Hey!\Natsu, here! I'm in here!\Get me outta here!\Why're you in a a place like that?\How should I know?\Before I realized it, I was in this dark, cramped place and couldn't get out! response:	What's with the face?
context: You okay?\Hey!\Natsu, here! I'm in here!\Get me outta here!\Why're you in a a place like that?\How should I know?\Before I realized it, I was in this dark, cramped place and couldn't get out!\What's with the face? response:	What're you doing in that outfit?!
context: Hey!\Natsu, here! I'm in here!\Get me outta here!\Why're you in a a place like that?\How should I know?\Before I realized it, I was in this dark, cramped place and couldn't get out!\What's with the face?\What're you doing in that outfit?! response:	Huh?!
context: Natsu, here! I'm in here!\Get me outta here!\Why're you in a a place like that?\How should I know?\Before I realized it, I was in this dark, cramped place and couldn't get out!\What's with the face?\What're you doing in that outfit?!\Huh?! response:	Costume actor box...
context: Get me outta here!\Why're you in a a place like that?\How should I know?\Before I realized it, I was in this dark, cramped place and couldn't get out!\What's with the face?\What're you doing in that outfit?!\Huh?!\Costume actor box... response:	Now, dress up in a wonderful outfit and set forth on your journey to Fairy Tale land!
context: Why're you in a a place like that?\How should I know?\Before I realized it, I was in this dark, cramped place and couldn't get out!\What's with the face?\What're you doing in that outfit?!\Huh?!\Costume actor box...\Now, dress up in a wonderful outfit and set forth on your journey to Fairy Tale land! response:	Fairy Tale?
context: How should I know?\Before I realized it, I was in this dark, cramped place and couldn't get out!\What's with the face?\What're you doing in that outfit?!\Huh?!\Costume actor box...\Now, dress up in a wonderful outfit and set forth on your journey to Fairy Tale land!\Fairy Tale? response:	There's a dial here!
context: Before I realized it, I was in this dark, cramped place and couldn't get out!\What's with the face?\What're you doing in that outfit?!\Huh?!\Costume actor box...\Now, dress up in a wonderful outfit and set forth on your journey to Fairy Tale land!\Fairy Tale?\There's a dial here! response:	Put me back to normal.
context: What's with the face?\What're you doing in that outfit?!\Huh?!\Costume actor box...\Now, dress up in a wonderful outfit and set forth on your journey to Fairy Tale land!\Fairy Tale?\There's a dial here!\Put me back to normal. response:	Righto!
context: What're you doing in that outfit?!\Huh?!\Costume actor box...\Now, dress up in a wonderful outfit and set forth on your journey to Fairy Tale land!\Fairy Tale?\There's a dial here!\Put me back to normal.\Righto! response:	Stop playin' around!
context: Huh?!\Costume actor box...\Now, dress up in a wonderful outfit and set forth on your journey to Fairy Tale land!\Fairy Tale?\There's a dial here!\Put me back to normal.\Righto!\Stop playin' around! response:	W-Wait...
context: Costume actor box...\Now, dress up in a wonderful outfit and set forth on your journey to Fairy Tale land!\Fairy Tale?\There's a dial here!\Put me back to normal.\Righto!\Stop playin' around!\W-Wait... response:	Now, you stop playin' around!
context: Now, dress up in a wonderful outfit and set forth on your journey to Fairy Tale land!\Fairy Tale?\There's a dial here!\Put me back to normal.\Righto!\Stop playin' around!\W-Wait...\Now, you stop playin' around! response:	Where'd you go, Earthland wizards?
context: Fairy Tale?\There's a dial here!\Put me back to normal.\Righto!\Stop playin' around!\W-Wait...\Now, you stop playin' around!\Where'd you go, Earthland wizards? response:	It's him!
context: There's a dial here!\Put me back to normal.\Righto!\Stop playin' around!\W-Wait...\Now, you stop playin' around!\Where'd you go, Earthland wizards?\It's him! response:	Being all hard-boiled in that getup doesn't work at all!
context: Put me back to normal.\Righto!\Stop playin' around!\W-Wait...\Now, you stop playin' around!\Where'd you go, Earthland wizards?\It's him!\Being all hard-boiled in that getup doesn't work at all! response:	Hurry up and change me back already!
context: Righto!\Stop playin' around!\W-Wait...\Now, you stop playin' around!\Where'd you go, Earthland wizards?\It's him!\Being all hard-boiled in that getup doesn't work at all!\Hurry up and change me back already! response:	What?
context: Stop playin' around!\W-Wait...\Now, you stop playin' around!\Where'd you go, Earthland wizards?\It's him!\Being all hard-boiled in that getup doesn't work at all!\Hurry up and change me back already!\What? response:	I just had a great idea...
context: W-Wait...\Now, you stop playin' around!\Where'd you go, Earthland wizards?\It's him!\Being all hard-boiled in that getup doesn't work at all!\Hurry up and change me back already!\What?\I just had a great idea... response:	Whoa, were they blown far away...
context: Now, you stop playin' around!\Where'd you go, Earthland wizards?\It's him!\Being all hard-boiled in that getup doesn't work at all!\Hurry up and change me back already!\What?\I just had a great idea...\Whoa, were they blown far away... response:	Those Earthland wizards talk big and act big, but they ain't...
context: Where'd you go, Earthland wizards?\It's him!\Being all hard-boiled in that getup doesn't work at all!\Hurry up and change me back already!\What?\I just had a great idea...\Whoa, were they blown far away...\Those Earthland wizards talk big and act big, but they ain't... response:	Hi!
context: It's him!\Being all hard-boiled in that getup doesn't work at all!\Hurry up and change me back already!\What?\I just had a great idea...\Whoa, were they blown far away...\Those Earthland wizards talk big and act big, but they ain't...\Hi! response:	Onii-san!
context: Being all hard-boiled in that getup doesn't work at all!\Hurry up and change me back already!\What?\I just had a great idea...\Whoa, were they blown far away...\Those Earthland wizards talk big and act big, but they ain't...\Hi!\Onii-san! response:	My sexy seduction plan was a giant flop!
context: Hurry up and change me back already!\What?\I just had a great idea...\Whoa, were they blown far away...\Those Earthland wizards talk big and act big, but they ain't...\Hi!\Onii-san!\My sexy seduction plan was a giant flop! response:	He didn't go for it!
context: What?\I just had a great idea...\Whoa, were they blown far away...\Those Earthland wizards talk big and act big, but they ain't...\Hi!\Onii-san!\My sexy seduction plan was a giant flop!\He didn't go for it! response:	And what the hell are these monsters?
context: I just had a great idea...\Whoa, were they blown far away...\Those Earthland wizards talk big and act big, but they ain't...\Hi!\Onii-san!\My sexy seduction plan was a giant flop!\He didn't go for it!\And what the hell are these monsters? response:	This is the Monster Academy.
context: Whoa, were they blown far away...\Those Earthland wizards talk big and act big, but they ain't...\Hi!\Onii-san!\My sexy seduction plan was a giant flop!\He didn't go for it!\And what the hell are these monsters?\This is the Monster Academy. response:	It's an attraction that gives you a peek at the school days of monsters!
context: Those Earthland wizards talk big and act big, but they ain't...\Hi!\Onii-san!\My sexy seduction plan was a giant flop!\He didn't go for it!\And what the hell are these monsters?\This is the Monster Academy.\It's an attraction that gives you a peek at the school days of monsters! response:	Whatever, just let me change back into my clothes!
context: Hi!\Onii-san!\My sexy seduction plan was a giant flop!\He didn't go for it!\And what the hell are these monsters?\This is the Monster Academy.\It's an attraction that gives you a peek at the school days of monsters!\Whatever, just let me change back into my clothes! response:	Lucy...
context: Onii-san!\My sexy seduction plan was a giant flop!\He didn't go for it!\And what the hell are these monsters?\This is the Monster Academy.\It's an attraction that gives you a peek at the school days of monsters!\Whatever, just let me change back into my clothes!\Lucy... response:	Natsu, hurry up and save me!
context: My sexy seduction plan was a giant flop!\He didn't go for it!\And what the hell are these monsters?\This is the Monster Academy.\It's an attraction that gives you a peek at the school days of monsters!\Whatever, just let me change back into my clothes!\Lucy...\Natsu, hurry up and save me! response:	Crap! How can you be so incredibly unsexy?!
context: He didn't go for it!\And what the hell are these monsters?\This is the Monster Academy.\It's an attraction that gives you a peek at the school days of monsters!\Whatever, just let me change back into my clothes!\Lucy...\Natsu, hurry up and save me!\Crap! How can you be so incredibly unsexy?! response:	That's what his problem is?
context: And what the hell are these monsters?\This is the Monster Academy.\It's an attraction that gives you a peek at the school days of monsters!\Whatever, just let me change back into my clothes!\Lucy...\Natsu, hurry up and save me!\Crap! How can you be so incredibly unsexy?!\That's what his problem is? response:	And I thought it was such a great idea...
context: This is the Monster Academy.\It's an attraction that gives you a peek at the school days of monsters!\Whatever, just let me change back into my clothes!\Lucy...\Natsu, hurry up and save me!\Crap! How can you be so incredibly unsexy?!\That's what his problem is?\And I thought it was such a great idea... response:	I guess I just gotta go straight at him.
context: It's an attraction that gives you a peek at the school days of monsters!\Whatever, just let me change back into my clothes!\Lucy...\Natsu, hurry up and save me!\Crap! How can you be so incredibly unsexy?!\That's what his problem is?\And I thought it was such a great idea...\I guess I just gotta go straight at him. response:	You really plan on fighting me here in this Monster Academy?
context: Whatever, just let me change back into my clothes!\Lucy...\Natsu, hurry up and save me!\Crap! How can you be so incredibly unsexy?!\That's what his problem is?\And I thought it was such a great idea...\I guess I just gotta go straight at him.\You really plan on fighting me here in this Monster Academy? response:	This is my favorite place, I'll have you know.
context: Lucy...\Natsu, hurry up and save me!\Crap! How can you be so incredibly unsexy?!\That's what his problem is?\And I thought it was such a great idea...\I guess I just gotta go straight at him.\You really plan on fighting me here in this Monster Academy?\This is my favorite place, I'll have you know. response:	Oh, is it? Well, I like this place, too.
context: Natsu, hurry up and save me!\Crap! How can you be so incredibly unsexy?!\That's what his problem is?\And I thought it was such a great idea...\I guess I just gotta go straight at him.\You really plan on fighting me here in this Monster Academy?\This is my favorite place, I'll have you know.\Oh, is it? Well, I like this place, too. response:	Mummy Bandage!
context: Crap! How can you be so incredibly unsexy?!\That's what his problem is?\And I thought it was such a great idea...\I guess I just gotta go straight at him.\You really plan on fighting me here in this Monster Academy?\This is my favorite place, I'll have you know.\Oh, is it? Well, I like this place, too.\Mummy Bandage! response:	Every monster in Monster Academy is my soldier!
context: That's what his problem is?\And I thought it was such a great idea...\I guess I just gotta go straight at him.\You really plan on fighting me here in this Monster Academy?\This is my favorite place, I'll have you know.\Oh, is it? Well, I like this place, too.\Mummy Bandage!\Every monster in Monster Academy is my soldier! response:	Like, whoa, right?
context: And I thought it was such a great idea...\I guess I just gotta go straight at him.\You really plan on fighting me here in this Monster Academy?\This is my favorite place, I'll have you know.\Oh, is it? Well, I like this place, too.\Mummy Bandage!\Every monster in Monster Academy is my soldier!\Like, whoa, right? response:	This ain't nothin'!
context: I guess I just gotta go straight at him.\You really plan on fighting me here in this Monster Academy?\This is my favorite place, I'll have you know.\Oh, is it? Well, I like this place, too.\Mummy Bandage!\Every monster in Monster Academy is my soldier!\Like, whoa, right?\This ain't nothin'! response:	What?!
context: You really plan on fighting me here in this Monster Academy?\This is my favorite place, I'll have you know.\Oh, is it? Well, I like this place, too.\Mummy Bandage!\Every monster in Monster Academy is my soldier!\Like, whoa, right?\This ain't nothin'!\What?! response:	Flames from his entire body?
context: This is my favorite place, I'll have you know.\Oh, is it? Well, I like this place, too.\Mummy Bandage!\Every monster in Monster Academy is my soldier!\Like, whoa, right?\This ain't nothin'!\What?!\Flames from his entire body? response:	Wing Slash of the Fire Dragon!
