context: Jellal Fernandez... response:	I hereby place you under arrest for the crime of high treason against the state.
context: I, Robaul, say job well done.\Thank you.\Nabula!\Thank you!\It was our pleasure, Master Robaul!\The fight with Oracion Seis was one fierce battle after the next!\There was not a single easy battle!\But the bonds between us allies response:	led us on the path to victory!
context: Thank you.\Nabula!\Thank you!\It was our pleasure, Master Robaul!\The fight with Oracion Seis was one fierce battle after the next!\There was not a single easy battle!\But the bonds between us allies\led us on the path to victory! response:	You said it, Sensei!
context: Nabula!\Thank you!\It was our pleasure, Master Robaul!\The fight with Oracion Seis was one fierce battle after the next!\There was not a single easy battle!\But the bonds between us allies\led us on the path to victory!\You said it, Sensei! response:	Men.
context: Thank you!\It was our pleasure, Master Robaul!\The fight with Oracion Seis was one fierce battle after the next!\There was not a single easy battle!\But the bonds between us allies\led us on the path to victory!\You said it, Sensei!\Men. response:	Oh sure, just take all the good parts for yourself.
context: It was our pleasure, Master Robaul!\The fight with Oracion Seis was one fierce battle after the next!\There was not a single easy battle!\But the bonds between us allies\led us on the path to victory!\You said it, Sensei!\Men.\Oh sure, just take all the good parts for yourself. response:	Men.
context: The fight with Oracion Seis was one fierce battle after the next!\There was not a single easy battle!\But the bonds between us allies\led us on the path to victory!\You said it, Sensei!\Men.\Oh sure, just take all the good parts for yourself.\Men. response:	Did he even fight anyone?
context: There was not a single easy battle!\But the bonds between us allies\led us on the path to victory!\You said it, Sensei!\Men.\Oh sure, just take all the good parts for yourself.\Men.\Did he even fight anyone? response:	It's finally over...
context: But the bonds between us allies\led us on the path to victory!\You said it, Sensei!\Men.\Oh sure, just take all the good parts for yourself.\Men.\Did he even fight anyone?\It's finally over... response:	You two did well yourself!
context: led us on the path to victory!\You said it, Sensei!\Men.\Oh sure, just take all the good parts for yourself.\Men.\Did he even fight anyone?\It's finally over...\You two did well yourself! response:	Jura-san...
context: You said it, Sensei!\Men.\Oh sure, just take all the good parts for yourself.\Men.\Did he even fight anyone?\It's finally over...\You two did well yourself!\Jura-san... response:	You're supposed to throw a party now, right?
context: Men.\Oh sure, just take all the good parts for yourself.\Men.\Did he even fight anyone?\It's finally over...\You two did well yourself!\Jura-san...\You're supposed to throw a party now, right? response:	Aye, sir!
context: Oh sure, just take all the good parts for yourself.\Men.\Did he even fight anyone?\It's finally over...\You two did well yourself!\Jura-san...\You're supposed to throw a party now, right?\Aye, sir! response:	Ichiya...
context: Men.\Did he even fight anyone?\It's finally over...\You two did well yourself!\Jura-san...\You're supposed to throw a party now, right?\Aye, sir!\Ichiya... response:	Ichiya...
context: Did he even fight anyone?\It's finally over...\You two did well yourself!\Jura-san...\You're supposed to throw a party now, right?\Aye, sir!\Ichiya...\Ichiya... response:	A party?
context: It's finally over...\You two did well yourself!\Jura-san...\You're supposed to throw a party now, right?\Aye, sir!\Ichiya...\Ichiya...\A party? response:	And off go the clothes!
context: You two did well yourself!\Jura-san...\You're supposed to throw a party now, right?\Aye, sir!\Ichiya...\Ichiya...\A party?\And off go the clothes! response:	You, too!
context: Jura-san...\You're supposed to throw a party now, right?\Aye, sir!\Ichiya...\Ichiya...\A party?\And off go the clothes!\You, too! response:	Now... Everyone from Caitshelter, join in!
context: You're supposed to throw a party now, right?\Aye, sir!\Ichiya...\Ichiya...\A party?\And off go the clothes!\You, too!\Now... Everyone from Caitshelter, join in! response:	Everyone...
context: Aye, sir!\Ichiya...\Ichiya...\A party?\And off go the clothes!\You, too!\Now... Everyone from Caitshelter, join in!\Everyone... response:	I am truly sorry about hiding our legacy as Nirvit.
context: Ichiya...\Ichiya...\A party?\And off go the clothes!\You, too!\Now... Everyone from Caitshelter, join in!\Everyone...\I am truly sorry about hiding our legacy as Nirvit. response:	You ruined the mood to say that?
context: Ichiya...\A party?\And off go the clothes!\You, too!\Now... Everyone from Caitshelter, join in!\Everyone...\I am truly sorry about hiding our legacy as Nirvit.\You ruined the mood to say that? response:	We really don't mind at all.
context: A party?\And off go the clothes!\You, too!\Now... Everyone from Caitshelter, join in!\Everyone...\I am truly sorry about hiding our legacy as Nirvit.\You ruined the mood to say that?\We really don't mind at all. response:	Right?
context: And off go the clothes!\You, too!\Now... Everyone from Caitshelter, join in!\Everyone...\I am truly sorry about hiding our legacy as Nirvit.\You ruined the mood to say that?\We really don't mind at all.\Right? response:	Right!
context: You, too!\Now... Everyone from Caitshelter, join in!\Everyone...\I am truly sorry about hiding our legacy as Nirvit.\You ruined the mood to say that?\We really don't mind at all.\Right?\Right! response:	Master, I don't mind either.
context: Now... Everyone from Caitshelter, join in!\Everyone...\I am truly sorry about hiding our legacy as Nirvit.\You ruined the mood to say that?\We really don't mind at all.\Right?\Right!\Master, I don't mind either. response:	Everyone, please listen carefully to what I am about to say.
context: Everyone...\I am truly sorry about hiding our legacy as Nirvit.\You ruined the mood to say that?\We really don't mind at all.\Right?\Right!\Master, I don't mind either.\Everyone, please listen carefully to what I am about to say. response:	To start, we are not the descendants of the Nirvit.
context: I am truly sorry about hiding our legacy as Nirvit.\You ruined the mood to say that?\We really don't mind at all.\Right?\Right!\Master, I don't mind either.\Everyone, please listen carefully to what I am about to say.\To start, we are not the descendants of the Nirvit. response:	We are the Nirvit themselves!
context: You ruined the mood to say that?\We really don't mind at all.\Right?\Right!\Master, I don't mind either.\Everyone, please listen carefully to what I am about to say.\To start, we are not the descendants of the Nirvit.\We are the Nirvit themselves! response:	400 years ago, it was I who created Nirvana.
context: We really don't mind at all.\Right?\Right!\Master, I don't mind either.\Everyone, please listen carefully to what I am about to say.\To start, we are not the descendants of the Nirvit.\We are the Nirvit themselves!\400 years ago, it was I who created Nirvana. response:	What?
context: Right?\Right!\Master, I don't mind either.\Everyone, please listen carefully to what I am about to say.\To start, we are not the descendants of the Nirvit.\We are the Nirvit themselves!\400 years ago, it was I who created Nirvana.\What? response:	No way!
context: Right!\Master, I don't mind either.\Everyone, please listen carefully to what I am about to say.\To start, we are not the descendants of the Nirvit.\We are the Nirvit themselves!\400 years ago, it was I who created Nirvana.\What?\No way! response:	400 years ago?
context: Master, I don't mind either.\Everyone, please listen carefully to what I am about to say.\To start, we are not the descendants of the Nirvit.\We are the Nirvit themselves!\400 years ago, it was I who created Nirvana.\What?\No way!\400 years ago? response:	400 years ago, in order to stop the war that was raging across the world,
context: Everyone, please listen carefully to what I am about to say.\To start, we are not the descendants of the Nirvit.\We are the Nirvit themselves!\400 years ago, it was I who created Nirvana.\What?\No way!\400 years ago?\400 years ago, in order to stop the war that was raging across the world, response:	I created Nirvana, a magic that inverts light and darkness.
context: To start, we are not the descendants of the Nirvit.\We are the Nirvit themselves!\400 years ago, it was I who created Nirvana.\What?\No way!\400 years ago?\400 years ago, in order to stop the war that was raging across the world,\I created Nirvana, a magic that inverts light and darkness. response:	Nirvana became our country,
context: We are the Nirvit themselves!\400 years ago, it was I who created Nirvana.\What?\No way!\400 years ago?\400 years ago, in order to stop the war that was raging across the world,\I created Nirvana, a magic that inverts light and darkness.\Nirvana became our country, response:	and, for a time, we realized peace.
context: 400 years ago, it was I who created Nirvana.\What?\No way!\400 years ago?\400 years ago, in order to stop the war that was raging across the world,\I created Nirvana, a magic that inverts light and darkness.\Nirvana became our country,\and, for a time, we realized peace. response:	However...
context: What?\No way!\400 years ago?\400 years ago, in order to stop the war that was raging across the world,\I created Nirvana, a magic that inverts light and darkness.\Nirvana became our country,\and, for a time, we realized peace.\However... response:	Great power will, without fail, give rise to a great power opposing it.
context: No way!\400 years ago?\400 years ago, in order to stop the war that was raging across the world,\I created Nirvana, a magic that inverts light and darkness.\Nirvana became our country,\and, for a time, we realized peace.\However...\Great power will, without fail, give rise to a great power opposing it. response:	As much as Nirvana changed darkness for light, Nirvana itself became wrapped in darkness.
context: 400 years ago?\400 years ago, in order to stop the war that was raging across the world,\I created Nirvana, a magic that inverts light and darkness.\Nirvana became our country,\and, for a time, we realized peace.\However...\Great power will, without fail, give rise to a great power opposing it.\As much as Nirvana changed darkness for light, Nirvana itself became wrapped in darkness. response:	It was to maintain balance.
context: 400 years ago, in order to stop the war that was raging across the world,\I created Nirvana, a magic that inverts light and darkness.\Nirvana became our country,\and, for a time, we realized peace.\However...\Great power will, without fail, give rise to a great power opposing it.\As much as Nirvana changed darkness for light, Nirvana itself became wrapped in darkness.\It was to maintain balance. response:	It was impossible to change people's personalities to light without limit.
context: I created Nirvana, a magic that inverts light and darkness.\Nirvana became our country,\and, for a time, we realized peace.\However...\Great power will, without fail, give rise to a great power opposing it.\As much as Nirvana changed darkness for light, Nirvana itself became wrapped in darkness.\It was to maintain balance.\It was impossible to change people's personalities to light without limit. response:	As light rises to oppose the darkness,
context: Nirvana became our country,\and, for a time, we realized peace.\However...\Great power will, without fail, give rise to a great power opposing it.\As much as Nirvana changed darkness for light, Nirvana itself became wrapped in darkness.\It was to maintain balance.\It was impossible to change people's personalities to light without limit.\As light rises to oppose the darkness, response:	so does darkness rise to oppose the light, without fail.
context: and, for a time, we realized peace.\However...\Great power will, without fail, give rise to a great power opposing it.\As much as Nirvana changed darkness for light, Nirvana itself became wrapped in darkness.\It was to maintain balance.\It was impossible to change people's personalities to light without limit.\As light rises to oppose the darkness,\so does darkness rise to oppose the light, without fail. response:	Now that you mention it...
context: However...\Great power will, without fail, give rise to a great power opposing it.\As much as Nirvana changed darkness for light, Nirvana itself became wrapped in darkness.\It was to maintain balance.\It was impossible to change people's personalities to light without limit.\As light rises to oppose the darkness,\so does darkness rise to oppose the light, without fail.\Now that you mention it... response:	The darkness lost from the various peoples came back upon us Nirvit.
context: Great power will, without fail, give rise to a great power opposing it.\As much as Nirvana changed darkness for light, Nirvana itself became wrapped in darkness.\It was to maintain balance.\It was impossible to change people's personalities to light without limit.\As light rises to oppose the darkness,\so does darkness rise to oppose the light, without fail.\Now that you mention it...\The darkness lost from the various peoples came back upon us Nirvit. response:	No...
context: As much as Nirvana changed darkness for light, Nirvana itself became wrapped in darkness.\It was to maintain balance.\It was impossible to change people's personalities to light without limit.\As light rises to oppose the darkness,\so does darkness rise to oppose the light, without fail.\Now that you mention it...\The darkness lost from the various peoples came back upon us Nirvit.\No... response:	It was hell.
context: It was to maintain balance.\It was impossible to change people's personalities to light without limit.\As light rises to oppose the darkness,\so does darkness rise to oppose the light, without fail.\Now that you mention it...\The darkness lost from the various peoples came back upon us Nirvit.\No...\It was hell. response:	We killed each other... Until no one was left.
context: It was impossible to change people's personalities to light without limit.\As light rises to oppose the darkness,\so does darkness rise to oppose the light, without fail.\Now that you mention it...\The darkness lost from the various peoples came back upon us Nirvit.\No...\It was hell.\We killed each other... Until no one was left. response:	I am the only survivor.
context: As light rises to oppose the darkness,\so does darkness rise to oppose the light, without fail.\Now that you mention it...\The darkness lost from the various peoples came back upon us Nirvit.\No...\It was hell.\We killed each other... Until no one was left.\I am the only survivor. response:	Well, at this point, that's not exactly right.
context: so does darkness rise to oppose the light, without fail.\Now that you mention it...\The darkness lost from the various peoples came back upon us Nirvit.\No...\It was hell.\We killed each other... Until no one was left.\I am the only survivor.\Well, at this point, that's not exactly right. response:	My physical body has long perished... I am what you might call a spectral form now.
context: Now that you mention it...\The darkness lost from the various peoples came back upon us Nirvit.\No...\It was hell.\We killed each other... Until no one was left.\I am the only survivor.\Well, at this point, that's not exactly right.\My physical body has long perished... I am what you might call a spectral form now. response:	Or rather, a weak ghost trying to atone for his sins of the past.
context: The darkness lost from the various peoples came back upon us Nirvit.\No...\It was hell.\We killed each other... Until no one was left.\I am the only survivor.\Well, at this point, that's not exactly right.\My physical body has long perished... I am what you might call a spectral form now.\Or rather, a weak ghost trying to atone for his sins of the past. response:	I watched over Nirvana for 400 years until someone appeared who would be able to destroy it.
context: No...\It was hell.\We killed each other... Until no one was left.\I am the only survivor.\Well, at this point, that's not exactly right.\My physical body has long perished... I am what you might call a spectral form now.\Or rather, a weak ghost trying to atone for his sins of the past.\I watched over Nirvana for 400 years until someone appeared who would be able to destroy it. response:	And now...
context: It was hell.\We killed each other... Until no one was left.\I am the only survivor.\Well, at this point, that's not exactly right.\My physical body has long perished... I am what you might call a spectral form now.\Or rather, a weak ghost trying to atone for his sins of the past.\I watched over Nirvana for 400 years until someone appeared who would be able to destroy it.\And now... response:	W-What are you saying...?
context: We killed each other... Until no one was left.\I am the only survivor.\Well, at this point, that's not exactly right.\My physical body has long perished... I am what you might call a spectral form now.\Or rather, a weak ghost trying to atone for his sins of the past.\I watched over Nirvana for 400 years until someone appeared who would be able to destroy it.\And now...\W-What are you saying...? response:	What is this?
context: I am the only survivor.\Well, at this point, that's not exactly right.\My physical body has long perished... I am what you might call a spectral form now.\Or rather, a weak ghost trying to atone for his sins of the past.\I watched over Nirvana for 400 years until someone appeared who would be able to destroy it.\And now...\W-What are you saying...?\What is this? response:	Everyone?
context: Well, at this point, that's not exactly right.\My physical body has long perished... I am what you might call a spectral form now.\Or rather, a weak ghost trying to atone for his sins of the past.\I watched over Nirvana for 400 years until someone appeared who would be able to destroy it.\And now...\W-What are you saying...?\What is this?\Everyone? response:	All of you!
context: My physical body has long perished... I am what you might call a spectral form now.\Or rather, a weak ghost trying to atone for his sins of the past.\I watched over Nirvana for 400 years until someone appeared who would be able to destroy it.\And now...\W-What are you saying...?\What is this?\Everyone?\All of you! response:	Magna! Pepel!
context: Or rather, a weak ghost trying to atone for his sins of the past.\I watched over Nirvana for 400 years until someone appeared who would be able to destroy it.\And now...\W-What are you saying...?\What is this?\Everyone?\All of you!\Magna! Pepel! response:	What's going on here?
context: I watched over Nirvana for 400 years until someone appeared who would be able to destroy it.\And now...\W-What are you saying...?\What is this?\Everyone?\All of you!\Magna! Pepel!\What's going on here? response:	They're all disappearing!
context: And now...\W-What are you saying...?\What is this?\Everyone?\All of you!\Magna! Pepel!\What's going on here?\They're all disappearing! response:	No! Everyone!
context: W-What are you saying...?\What is this?\Everyone?\All of you!\Magna! Pepel!\What's going on here?\They're all disappearing!\No! Everyone! response:	I don't want you to disappear!
context: What is this?\Everyone?\All of you!\Magna! Pepel!\What's going on here?\They're all disappearing!\No! Everyone!\I don't want you to disappear! response:	I apologize for deceiving you...
context: Everyone?\All of you!\Magna! Pepel!\What's going on here?\They're all disappearing!\No! Everyone!\I don't want you to disappear!\I apologize for deceiving you... response:	All the members of the guild are illusions created by me.
context: All of you!\Magna! Pepel!\What's going on here?\They're all disappearing!\No! Everyone!\I don't want you to disappear!\I apologize for deceiving you...\All the members of the guild are illusions created by me. response:	Say what?!
context: Magna! Pepel!\What's going on here?\They're all disappearing!\No! Everyone!\I don't want you to disappear!\I apologize for deceiving you...\All the members of the guild are illusions created by me.\Say what?! response:	Illusions with their own personalities?
context: What's going on here?\They're all disappearing!\No! Everyone!\I don't want you to disappear!\I apologize for deceiving you...\All the members of the guild are illusions created by me.\Say what?!\Illusions with their own personalities? response:	What incredible magic power!
context: They're all disappearing!\No! Everyone!\I don't want you to disappear!\I apologize for deceiving you...\All the members of the guild are illusions created by me.\Say what?!\Illusions with their own personalities?\What incredible magic power! response:	7 years ago, a single boy came here.
context: No! Everyone!\I don't want you to disappear!\I apologize for deceiving you...\All the members of the guild are illusions created by me.\Say what?!\Illusions with their own personalities?\What incredible magic power!\7 years ago, a single boy came here. response:	Please, take care of this girl!
context: I don't want you to disappear!\I apologize for deceiving you...\All the members of the guild are illusions created by me.\Say what?!\Illusions with their own personalities?\What incredible magic power!\7 years ago, a single boy came here.\Please, take care of this girl! response:	I couldn't turn down the request of that boy and his fierce, honest eyes.
context: I apologize for deceiving you...\All the members of the guild are illusions created by me.\Say what?!\Illusions with their own personalities?\What incredible magic power!\7 years ago, a single boy came here.\Please, take care of this girl!\I couldn't turn down the request of that boy and his fierce, honest eyes. response:	Even though I had promised myself I would stay alone...
context: All the members of the guild are illusions created by me.\Say what?!\Illusions with their own personalities?\What incredible magic power!\7 years ago, a single boy came here.\Please, take care of this girl!\I couldn't turn down the request of that boy and his fierce, honest eyes.\Even though I had promised myself I would stay alone... response:	Mister, where am I?
context: Say what?!\Illusions with their own personalities?\What incredible magic power!\7 years ago, a single boy came here.\Please, take care of this girl!\I couldn't turn down the request of that boy and his fierce, honest eyes.\Even though I had promised myself I would stay alone...\Mister, where am I? response:	T-This is...
context: Illusions with their own personalities?\What incredible magic power!\7 years ago, a single boy came here.\Please, take care of this girl!\I couldn't turn down the request of that boy and his fierce, honest eyes.\Even though I had promised myself I would stay alone...\Mister, where am I?\T-This is... response:	Jellal?
context: What incredible magic power!\7 years ago, a single boy came here.\Please, take care of this girl!\I couldn't turn down the request of that boy and his fierce, honest eyes.\Even though I had promised myself I would stay alone...\Mister, where am I?\T-This is...\Jellal? response:	He said he was taking me to a guild...
context: 7 years ago, a single boy came here.\Please, take care of this girl!\I couldn't turn down the request of that boy and his fierce, honest eyes.\Even though I had promised myself I would stay alone...\Mister, where am I?\T-This is...\Jellal?\He said he was taking me to a guild... response:	T-This is a guild!
context: Please, take care of this girl!\I couldn't turn down the request of that boy and his fierce, honest eyes.\Even though I had promised myself I would stay alone...\Mister, where am I?\T-This is...\Jellal?\He said he was taking me to a guild...\T-This is a guild! response:	This is a Wizard's Guild!
context: I couldn't turn down the request of that boy and his fierce, honest eyes.\Even though I had promised myself I would stay alone...\Mister, where am I?\T-This is...\Jellal?\He said he was taking me to a guild...\T-This is a guild!\This is a Wizard's Guild! response:	Really?
context: Even though I had promised myself I would stay alone...\Mister, where am I?\T-This is...\Jellal?\He said he was taking me to a guild...\T-This is a guild!\This is a Wizard's Guild!\Really? response:	Nabula!
context: Mister, where am I?\T-This is...\Jellal?\He said he was taking me to a guild...\T-This is a guild!\This is a Wizard's Guild!\Really?\Nabula! response:	Try going outside!
context: T-This is...\Jellal?\He said he was taking me to a guild...\T-This is a guild!\This is a Wizard's Guild!\Really?\Nabula!\Try going outside! response:	You have friends waiting for you.
context: Jellal?\He said he was taking me to a guild...\T-This is a guild!\This is a Wizard's Guild!\Really?\Nabula!\Try going outside!\You have friends waiting for you. response:	And so I also created an illusory family.
context: He said he was taking me to a guild...\T-This is a guild!\This is a Wizard's Guild!\Really?\Nabula!\Try going outside!\You have friends waiting for you.\And so I also created an illusory family. response:	The guild was created all for Wendy?
context: T-This is a guild!\This is a Wizard's Guild!\Really?\Nabula!\Try going outside!\You have friends waiting for you.\And so I also created an illusory family.\The guild was created all for Wendy? response:	I don't wanna hear that!
context: This is a Wizard's Guild!\Really?\Nabula!\Try going outside!\You have friends waiting for you.\And so I also created an illusory family.\The guild was created all for Wendy?\I don't wanna hear that! response:	Bask, Naoki, don't you disappear too!
context: Really?\Nabula!\Try going outside!\You have friends waiting for you.\And so I also created an illusory family.\The guild was created all for Wendy?\I don't wanna hear that!\Bask, Naoki, don't you disappear too! response:	Wendy, Carla... You no longer need a foster family.
context: Nabula!\Try going outside!\You have friends waiting for you.\And so I also created an illusory family.\The guild was created all for Wendy?\I don't wanna hear that!\Bask, Naoki, don't you disappear too!\Wendy, Carla... You no longer need a foster family. response:	Don't you have real friends now?
context: Try going outside!\You have friends waiting for you.\And so I also created an illusory family.\The guild was created all for Wendy?\I don't wanna hear that!\Bask, Naoki, don't you disappear too!\Wendy, Carla... You no longer need a foster family.\Don't you have real friends now? response:	Your future... has only just begun.
context: You have friends waiting for you.\And so I also created an illusory family.\The guild was created all for Wendy?\I don't wanna hear that!\Bask, Naoki, don't you disappear too!\Wendy, Carla... You no longer need a foster family.\Don't you have real friends now?\Your future... has only just begun. response:	Master!
context: And so I also created an illusory family.\The guild was created all for Wendy?\I don't wanna hear that!\Bask, Naoki, don't you disappear too!\Wendy, Carla... You no longer need a foster family.\Don't you have real friends now?\Your future... has only just begun.\Master! response:	Everyone, truly, thank you.
context: The guild was created all for Wendy?\I don't wanna hear that!\Bask, Naoki, don't you disappear too!\Wendy, Carla... You no longer need a foster family.\Don't you have real friends now?\Your future... has only just begun.\Master!\Everyone, truly, thank you. response:	I leave Wendy and Carla in your hands.
context: I don't wanna hear that!\Bask, Naoki, don't you disappear too!\Wendy, Carla... You no longer need a foster family.\Don't you have real friends now?\Your future... has only just begun.\Master!\Everyone, truly, thank you.\I leave Wendy and Carla in your hands. response:	Master!
context: Bask, Naoki, don't you disappear too!\Wendy, Carla... You no longer need a foster family.\Don't you have real friends now?\Your future... has only just begun.\Master!\Everyone, truly, thank you.\I leave Wendy and Carla in your hands.\Master! response:	Bury the pain of losing your loved ones... into the arms of your friends.
context: Wendy, Carla... You no longer need a foster family.\Don't you have real friends now?\Your future... has only just begun.\Master!\Everyone, truly, thank you.\I leave Wendy and Carla in your hands.\Master!\Bury the pain of losing your loved ones... into the arms of your friends. response:	Come.
context: Don't you have real friends now?\Your future... has only just begun.\Master!\Everyone, truly, thank you.\I leave Wendy and Carla in your hands.\Master!\Bury the pain of losing your loved ones... into the arms of your friends.\Come. response:	To Fairy Tail.
context: Your future... has only just begun.\Master!\Everyone, truly, thank you.\I leave Wendy and Carla in your hands.\Master!\Bury the pain of losing your loved ones... into the arms of your friends.\Come.\To Fairy Tail. response:	It feels like it's been a while since we've been back to the guild.
context: Master!\Everyone, truly, thank you.\I leave Wendy and Carla in your hands.\Master!\Bury the pain of losing your loved ones... into the arms of your friends.\Come.\To Fairy Tail.\It feels like it's been a while since we've been back to the guild. response:	No kidding!
context: Everyone, truly, thank you.\I leave Wendy and Carla in your hands.\Master!\Bury the pain of losing your loved ones... into the arms of your friends.\Come.\To Fairy Tail.\It feels like it's been a while since we've been back to the guild.\No kidding! response:	We can finally take it easy!
context: I leave Wendy and Carla in your hands.\Master!\Bury the pain of losing your loved ones... into the arms of your friends.\Come.\To Fairy Tail.\It feels like it's been a while since we've been back to the guild.\No kidding!\We can finally take it easy! response:	Actually, it doesn't look like we can.
context: Master!\Bury the pain of losing your loved ones... into the arms of your friends.\Come.\To Fairy Tail.\It feels like it's been a while since we've been back to the guild.\No kidding!\We can finally take it easy!\Actually, it doesn't look like we can. response:	I heard there's a person that saw a dragon!
context: Bury the pain of losing your loved ones... into the arms of your friends.\Come.\To Fairy Tail.\It feels like it's been a while since we've been back to the guild.\No kidding!\We can finally take it easy!\Actually, it doesn't look like we can.\I heard there's a person that saw a dragon! response:	Seriously?!
context: Come.\To Fairy Tail.\It feels like it's been a while since we've been back to the guild.\No kidding!\We can finally take it easy!\Actually, it doesn't look like we can.\I heard there's a person that saw a dragon!\Seriously?! response:	Could that dragon be Igneel?
context: To Fairy Tail.\It feels like it's been a while since we've been back to the guild.\No kidding!\We can finally take it easy!\Actually, it doesn't look like we can.\I heard there's a person that saw a dragon!\Seriously?!\Could that dragon be Igneel? response:	Maybe it's the Dragon that Wendy and Carla are looking for!
context: It feels like it's been a while since we've been back to the guild.\No kidding!\We can finally take it easy!\Actually, it doesn't look like we can.\I heard there's a person that saw a dragon!\Seriously?!\Could that dragon be Igneel?\Maybe it's the Dragon that Wendy and Carla are looking for! response:	Next time: Call of the Dragon.
context: No kidding!\We can finally take it easy!\Actually, it doesn't look like we can.\I heard there's a person that saw a dragon!\Seriously?!\Could that dragon be Igneel?\Maybe it's the Dragon that Wendy and Carla are looking for!\Next time: Call of the Dragon. response:	Oh yeah... What was the name of the dragon they were looking for again?
context: We can finally take it easy!\Actually, it doesn't look like we can.\I heard there's a person that saw a dragon!\Seriously?!\Could that dragon be Igneel?\Maybe it's the Dragon that Wendy and Carla are looking for!\Next time: Call of the Dragon.\Oh yeah... What was the name of the dragon they were looking for again? response:	I'm pretty sure it's Wendine.
context: Actually, it doesn't look like we can.\I heard there's a person that saw a dragon!\Seriously?!\Could that dragon be Igneel?\Maybe it's the Dragon that Wendy and Carla are looking for!\Next time: Call of the Dragon.\Oh yeah... What was the name of the dragon they were looking for again?\I'm pretty sure it's Wendine. response:	Uh, I think you're mixed up.
