context: It's huge. response:	When Elder Tale was still a game, we came here a lot, but...
context: Yesterday, it was at level 42...\Why did I pick such a minor, useless subclass?\I should have chosen crafting,\even if it wasn't going to rise for a long time.\Like weaver or artisan...\I'm so bored, I just keep leveling up.\But maybe I'm not a maid...\I'm a housewife?! response:	No way, no way!
context: Why did I pick such a minor, useless subclass?\I should have chosen crafting,\even if it wasn't going to rise for a long time.\Like weaver or artisan...\I'm so bored, I just keep leveling up.\But maybe I'm not a maid...\I'm a housewife?!\No way, no way! response:	Maybe I'm a maiden,
context: I should have chosen crafting,\even if it wasn't going to rise for a long time.\Like weaver or artisan...\I'm so bored, I just keep leveling up.\But maybe I'm not a maid...\I'm a housewife?!\No way, no way!\Maybe I'm a maiden, response:	waiting for my kitty-husband to come home!
context: even if it wasn't going to rise for a long time.\Like weaver or artisan...\I'm so bored, I just keep leveling up.\But maybe I'm not a maid...\I'm a housewife?!\No way, no way!\Maybe I'm a maiden,\waiting for my kitty-husband to come home! response:	Serara...
context: Like weaver or artisan...\I'm so bored, I just keep leveling up.\But maybe I'm not a maid...\I'm a housewife?!\No way, no way!\Maybe I'm a maiden,\waiting for my kitty-husband to come home!\Serara... response:	I'm home.
context: I'm so bored, I just keep leveling up.\But maybe I'm not a maid...\I'm a housewife?!\No way, no way!\Maybe I'm a maiden,\waiting for my kitty-husband to come home!\Serara...\I'm home. response:	Thank you, Serara.
context: But maybe I'm not a maid...\I'm a housewife?!\No way, no way!\Maybe I'm a maiden,\waiting for my kitty-husband to come home!\Serara...\I'm home.\Thank you, Serara. response:	How was town?
context: I'm a housewife?!\No way, no way!\Maybe I'm a maiden,\waiting for my kitty-husband to come home!\Serara...\I'm home.\Thank you, Serara.\How was town? response:	Same as always.
context: No way, no way!\Maybe I'm a maiden,\waiting for my kitty-husband to come home!\Serara...\I'm home.\Thank you, Serara.\How was town?\Same as always. response:	It wasn't good. It wasn't bad.
context: Maybe I'm a maiden,\waiting for my kitty-husband to come home!\Serara...\I'm home.\Thank you, Serara.\How was town?\Same as always.\It wasn't good. It wasn't bad. response:	What's with the cheerful clerk routine?
context: waiting for my kitty-husband to come home!\Serara...\I'm home.\Thank you, Serara.\How was town?\Same as always.\It wasn't good. It wasn't bad.\What's with the cheerful clerk routine? response:	You think you People of the Land can take our money?!
context: Serara...\I'm home.\Thank you, Serara.\How was town?\Same as always.\It wasn't good. It wasn't bad.\What's with the cheerful clerk routine?\You think you People of the Land can take our money?! response:	If you oppose Brigandia, you know what'll happen?
context: I'm home.\Thank you, Serara.\How was town?\Same as always.\It wasn't good. It wasn't bad.\What's with the cheerful clerk routine?\You think you People of the Land can take our money?!\If you oppose Brigandia, you know what'll happen? response:	Oh, that was cool.
context: Thank you, Serara.\How was town?\Same as always.\It wasn't good. It wasn't bad.\What's with the cheerful clerk routine?\You think you People of the Land can take our money?!\If you oppose Brigandia, you know what'll happen?\Oh, that was cool. response:	Sounded like a signature saying.
context: How was town?\Same as always.\It wasn't good. It wasn't bad.\What's with the cheerful clerk routine?\You think you People of the Land can take our money?!\If you oppose Brigandia, you know what'll happen?\Oh, that was cool.\Sounded like a signature saying. response:	Hey, look at this!
context: Same as always.\It wasn't good. It wasn't bad.\What's with the cheerful clerk routine?\You think you People of the Land can take our money?!\If you oppose Brigandia, you know what'll happen?\Oh, that was cool.\Sounded like a signature saying.\Hey, look at this! response:	That's an exclusive from last year's event!
context: It wasn't good. It wasn't bad.\What's with the cheerful clerk routine?\You think you People of the Land can take our money?!\If you oppose Brigandia, you know what'll happen?\Oh, that was cool.\Sounded like a signature saying.\Hey, look at this!\That's an exclusive from last year's event! response:	Finders, keepers!
context: What's with the cheerful clerk routine?\You think you People of the Land can take our money?!\If you oppose Brigandia, you know what'll happen?\Oh, that was cool.\Sounded like a signature saying.\Hey, look at this!\That's an exclusive from last year's event!\Finders, keepers! response:	Anyway, are these really all your ingredients?
context: You think you People of the Land can take our money?!\If you oppose Brigandia, you know what'll happen?\Oh, that was cool.\Sounded like a signature saying.\Hey, look at this!\That's an exclusive from last year's event!\Finders, keepers!\Anyway, are these really all your ingredients? response:	This place sucks...
context: If you oppose Brigandia, you know what'll happen?\Oh, that was cool.\Sounded like a signature saying.\Hey, look at this!\That's an exclusive from last year's event!\Finders, keepers!\Anyway, are these really all your ingredients?\This place sucks... response:	Now, now... Don't think so hard about it.
context: Oh, that was cool.\Sounded like a signature saying.\Hey, look at this!\That's an exclusive from last year's event!\Finders, keepers!\Anyway, are these really all your ingredients?\This place sucks...\Now, now... Don't think so hard about it. response:	If you let it bother you, you'll get depressed.
context: Sounded like a signature saying.\Hey, look at this!\That's an exclusive from last year's event!\Finders, keepers!\Anyway, are these really all your ingredients?\This place sucks...\Now, now... Don't think so hard about it.\If you let it bother you, you'll get depressed. response:	Right.
context: Hey, look at this!\That's an exclusive from last year's event!\Finders, keepers!\Anyway, are these really all your ingredients?\This place sucks...\Now, now... Don't think so hard about it.\If you let it bother you, you'll get depressed.\Right. response:	This house is so clean.
context: That's an exclusive from last year's event!\Finders, keepers!\Anyway, are these really all your ingredients?\This place sucks...\Now, now... Don't think so hard about it.\If you let it bother you, you'll get depressed.\Right.\This house is so clean. response:	I'm sure you'll be a great wife someday.
context: Finders, keepers!\Anyway, are these really all your ingredients?\This place sucks...\Now, now... Don't think so hard about it.\If you let it bother you, you'll get depressed.\Right.\This house is so clean.\I'm sure you'll be a great wife someday. response:	Th-That isn't true... Really.
context: Anyway, are these really all your ingredients?\This place sucks...\Now, now... Don't think so hard about it.\If you let it bother you, you'll get depressed.\Right.\This house is so clean.\I'm sure you'll be a great wife someday.\Th-That isn't true... Really. response:	How are those people who are coming for you doing?
context: This place sucks...\Now, now... Don't think so hard about it.\If you let it bother you, you'll get depressed.\Right.\This house is so clean.\I'm sure you'll be a great wife someday.\Th-That isn't true... Really.\How are those people who are coming for you doing? response:	Oh, yeah.
context: Now, now... Don't think so hard about it.\If you let it bother you, you'll get depressed.\Right.\This house is so clean.\I'm sure you'll be a great wife someday.\Th-That isn't true... Really.\How are those people who are coming for you doing?\Oh, yeah. response:	Marielle, our guild master, contacted me.
context: If you let it bother you, you'll get depressed.\Right.\This house is so clean.\I'm sure you'll be a great wife someday.\Th-That isn't true... Really.\How are those people who are coming for you doing?\Oh, yeah.\Marielle, our guild master, contacted me. response:	She said they'll probably arrive tomorrow, before noon.
context: Right.\This house is so clean.\I'm sure you'll be a great wife someday.\Th-That isn't true... Really.\How are those people who are coming for you doing?\Oh, yeah.\Marielle, our guild master, contacted me.\She said they'll probably arrive tomorrow, before noon. response:	So soon?
context: This house is so clean.\I'm sure you'll be a great wife someday.\Th-That isn't true... Really.\How are those people who are coming for you doing?\Oh, yeah.\Marielle, our guild master, contacted me.\She said they'll probably arrive tomorrow, before noon.\So soon? response:	That's pretty impressive.
context: I'm sure you'll be a great wife someday.\Th-That isn't true... Really.\How are those people who are coming for you doing?\Oh, yeah.\Marielle, our guild master, contacted me.\She said they'll probably arrive tomorrow, before noon.\So soon?\That's pretty impressive. response:	I wonder what these people who are coming for you are like...
context: Th-That isn't true... Really.\How are those people who are coming for you doing?\Oh, yeah.\Marielle, our guild master, contacted me.\She said they'll probably arrive tomorrow, before noon.\So soon?\That's pretty impressive.\I wonder what these people who are coming for you are like... response:	Shiro, thanks... Seriously.
context: How are those people who are coming for you doing?\Oh, yeah.\Marielle, our guild master, contacted me.\She said they'll probably arrive tomorrow, before noon.\So soon?\That's pretty impressive.\I wonder what these people who are coming for you are like...\Shiro, thanks... Seriously. response:	Be careful.
context: Oh, yeah.\Marielle, our guild master, contacted me.\She said they'll probably arrive tomorrow, before noon.\So soon?\That's pretty impressive.\I wonder what these people who are coming for you are like...\Shiro, thanks... Seriously.\Be careful. response:	Yes, talk to you later.
context: Marielle, our guild master, contacted me.\She said they'll probably arrive tomorrow, before noon.\So soon?\That's pretty impressive.\I wonder what these people who are coming for you are like...\Shiro, thanks... Seriously.\Be careful.\Yes, talk to you later. response:	You didn't tell her we're using griffons?
context: She said they'll probably arrive tomorrow, before noon.\So soon?\That's pretty impressive.\I wonder what these people who are coming for you are like...\Shiro, thanks... Seriously.\Be careful.\Yes, talk to you later.\You didn't tell her we're using griffons? response:	Guess not.
context: So soon?\That's pretty impressive.\I wonder what these people who are coming for you are like...\Shiro, thanks... Seriously.\Be careful.\Yes, talk to you later.\You didn't tell her we're using griffons?\Guess not. response:	Right...
context: That's pretty impressive.\I wonder what these people who are coming for you are like...\Shiro, thanks... Seriously.\Be careful.\Yes, talk to you later.\You didn't tell her we're using griffons?\Guess not.\Right... response:	By the way, how do you suppose Shiroe
context: I wonder what these people who are coming for you are like...\Shiro, thanks... Seriously.\Be careful.\Yes, talk to you later.\You didn't tell her we're using griffons?\Guess not.\Right...\By the way, how do you suppose Shiroe response:	and the others plan to cross the channel?
context: Shiro, thanks... Seriously.\Be careful.\Yes, talk to you later.\You didn't tell her we're using griffons?\Guess not.\Right...\By the way, how do you suppose Shiroe\and the others plan to cross the channel? response:	I don't know...
context: Be careful.\Yes, talk to you later.\You didn't tell her we're using griffons?\Guess not.\Right...\By the way, how do you suppose Shiroe\and the others plan to cross the channel?\I don't know... response:	He said something about figuring it out once he got there.
context: Yes, talk to you later.\You didn't tell her we're using griffons?\Guess not.\Right...\By the way, how do you suppose Shiroe\and the others plan to cross the channel?\I don't know...\He said something about figuring it out once he got there. response:	He probably has some special plan.
context: You didn't tell her we're using griffons?\Guess not.\Right...\By the way, how do you suppose Shiroe\and the others plan to cross the channel?\I don't know...\He said something about figuring it out once he got there.\He probably has some special plan. response:	You can tell he was the Tea Party's strategist.
context: Guess not.\Right...\By the way, how do you suppose Shiroe\and the others plan to cross the channel?\I don't know...\He said something about figuring it out once he got there.\He probably has some special plan.\You can tell he was the Tea Party's strategist. response:	But why would someone like that refuse to join a guild?
context: Right...\By the way, how do you suppose Shiroe\and the others plan to cross the channel?\I don't know...\He said something about figuring it out once he got there.\He probably has some special plan.\You can tell he was the Tea Party's strategist.\But why would someone like that refuse to join a guild? response:	I'm sure he has his reasons.
context: By the way, how do you suppose Shiroe\and the others plan to cross the channel?\I don't know...\He said something about figuring it out once he got there.\He probably has some special plan.\You can tell he was the Tea Party's strategist.\But why would someone like that refuse to join a guild?\I'm sure he has his reasons. response:	Um, excuse me.
context: and the others plan to cross the channel?\I don't know...\He said something about figuring it out once he got there.\He probably has some special plan.\You can tell he was the Tea Party's strategist.\But why would someone like that refuse to join a guild?\I'm sure he has his reasons.\Um, excuse me. response:	What is it, Liliana?
context: I don't know...\He said something about figuring it out once he got there.\He probably has some special plan.\You can tell he was the Tea Party's strategist.\But why would someone like that refuse to join a guild?\I'm sure he has his reasons.\Um, excuse me.\What is it, Liliana? response:	Everyone is here.
context: He said something about figuring it out once he got there.\He probably has some special plan.\You can tell he was the Tea Party's strategist.\But why would someone like that refuse to join a guild?\I'm sure he has his reasons.\Um, excuse me.\What is it, Liliana?\Everyone is here. response:	And? Did everyone come?
context: He probably has some special plan.\You can tell he was the Tea Party's strategist.\But why would someone like that refuse to join a guild?\I'm sure he has his reasons.\Um, excuse me.\What is it, Liliana?\Everyone is here.\And? Did everyone come? response:	About sixty percent.
context: You can tell he was the Tea Party's strategist.\But why would someone like that refuse to join a guild?\I'm sure he has his reasons.\Um, excuse me.\What is it, Liliana?\Everyone is here.\And? Did everyone come?\About sixty percent. response:	No reply from ten percent.
context: But why would someone like that refuse to join a guild?\I'm sure he has his reasons.\Um, excuse me.\What is it, Liliana?\Everyone is here.\And? Did everyone come?\About sixty percent.\No reply from ten percent. response:	Thirty percent refused.
context: I'm sure he has his reasons.\Um, excuse me.\What is it, Liliana?\Everyone is here.\And? Did everyone come?\About sixty percent.\No reply from ten percent.\Thirty percent refused. response:	Our guild master will be here soon... Sorry!
context: Um, excuse me.\What is it, Liliana?\Everyone is here.\And? Did everyone come?\About sixty percent.\No reply from ten percent.\Thirty percent refused.\Our guild master will be here soon... Sorry! response:	Just wait a little longer.
context: What is it, Liliana?\Everyone is here.\And? Did everyone come?\About sixty percent.\No reply from ten percent.\Thirty percent refused.\Our guild master will be here soon... Sorry!\Just wait a little longer. response:	Woodstock W, from Grandeur.
context: Everyone is here.\And? Did everyone come?\About sixty percent.\No reply from ten percent.\Thirty percent refused.\Our guild master will be here soon... Sorry!\Just wait a little longer.\Woodstock W, from Grandeur. response:	Ichimonjinosuke Akaneya, from Radio Market.
context: And? Did everyone come?\About sixty percent.\No reply from ten percent.\Thirty percent refused.\Our guild master will be here soon... Sorry!\Just wait a little longer.\Woodstock W, from Grandeur.\Ichimonjinosuke Akaneya, from Radio Market. response:	It seems that they and several masters of the smaller guilds
context: About sixty percent.\No reply from ten percent.\Thirty percent refused.\Our guild master will be here soon... Sorry!\Just wait a little longer.\Woodstock W, from Grandeur.\Ichimonjinosuke Akaneya, from Radio Market.\It seems that they and several masters of the smaller guilds response:	have gathered in the Crescent Moon Alliance's hall.
context: No reply from ten percent.\Thirty percent refused.\Our guild master will be here soon... Sorry!\Just wait a little longer.\Woodstock W, from Grandeur.\Ichimonjinosuke Akaneya, from Radio Market.\It seems that they and several masters of the smaller guilds\have gathered in the Crescent Moon Alliance's hall. response:	Is that so?
context: Thirty percent refused.\Our guild master will be here soon... Sorry!\Just wait a little longer.\Woodstock W, from Grandeur.\Ichimonjinosuke Akaneya, from Radio Market.\It seems that they and several masters of the smaller guilds\have gathered in the Crescent Moon Alliance's hall.\Is that so? response:	Yes.
context: Our guild master will be here soon... Sorry!\Just wait a little longer.\Woodstock W, from Grandeur.\Ichimonjinosuke Akaneya, from Radio Market.\It seems that they and several masters of the smaller guilds\have gathered in the Crescent Moon Alliance's hall.\Is that so?\Yes. response:	And as for Shiroe, formerly of the Debauchery Tea Party...
context: Just wait a little longer.\Woodstock W, from Grandeur.\Ichimonjinosuke Akaneya, from Radio Market.\It seems that they and several masters of the smaller guilds\have gathered in the Crescent Moon Alliance's hall.\Is that so?\Yes.\And as for Shiroe, formerly of the Debauchery Tea Party... response:	He seems to be on his way to Susukino.
context: Woodstock W, from Grandeur.\Ichimonjinosuke Akaneya, from Radio Market.\It seems that they and several masters of the smaller guilds\have gathered in the Crescent Moon Alliance's hall.\Is that so?\Yes.\And as for Shiroe, formerly of the Debauchery Tea Party...\He seems to be on his way to Susukino. response:	Susukino?
context: Ichimonjinosuke Akaneya, from Radio Market.\It seems that they and several masters of the smaller guilds\have gathered in the Crescent Moon Alliance's hall.\Is that so?\Yes.\And as for Shiroe, formerly of the Debauchery Tea Party...\He seems to be on his way to Susukino.\Susukino? response:	Is something wrong?
context: It seems that they and several masters of the smaller guilds\have gathered in the Crescent Moon Alliance's hall.\Is that so?\Yes.\And as for Shiroe, formerly of the Debauchery Tea Party...\He seems to be on his way to Susukino.\Susukino?\Is something wrong? response:	No, nothing.
context: have gathered in the Crescent Moon Alliance's hall.\Is that so?\Yes.\And as for Shiroe, formerly of the Debauchery Tea Party...\He seems to be on his way to Susukino.\Susukino?\Is something wrong?\No, nothing. response:	That was scary!
context: Is that so?\Yes.\And as for Shiroe, formerly of the Debauchery Tea Party...\He seems to be on his way to Susukino.\Susukino?\Is something wrong?\No, nothing.\That was scary! response:	Hey, this bridge was in the game, right?
context: Yes.\And as for Shiroe, formerly of the Debauchery Tea Party...\He seems to be on his way to Susukino.\Susukino?\Is something wrong?\No, nothing.\That was scary!\Hey, this bridge was in the game, right? response:	Yes.
context: And as for Shiroe, formerly of the Debauchery Tea Party...\He seems to be on his way to Susukino.\Susukino?\Is something wrong?\No, nothing.\That was scary!\Hey, this bridge was in the game, right?\Yes. response:	Was it always on the verge of collapse?
context: He seems to be on his way to Susukino.\Susukino?\Is something wrong?\No, nothing.\That was scary!\Hey, this bridge was in the game, right?\Yes.\Was it always on the verge of collapse? response:	Naotsugu! Akatsuki! Stop!
context: Susukino?\Is something wrong?\No, nothing.\That was scary!\Hey, this bridge was in the game, right?\Yes.\Was it always on the verge of collapse?\Naotsugu! Akatsuki! Stop! response:	Come on... Seriously?
context: Is something wrong?\No, nothing.\That was scary!\Hey, this bridge was in the game, right?\Yes.\Was it always on the verge of collapse?\Naotsugu! Akatsuki! Stop!\Come on... Seriously? response:	We'll have to find another route.
context: No, nothing.\That was scary!\Hey, this bridge was in the game, right?\Yes.\Was it always on the verge of collapse?\Naotsugu! Akatsuki! Stop!\Come on... Seriously?\We'll have to find another route. response:	Let's head back!
context: That was scary!\Hey, this bridge was in the game, right?\Yes.\Was it always on the verge of collapse?\Naotsugu! Akatsuki! Stop!\Come on... Seriously?\We'll have to find another route.\Let's head back! response:	We'll go back one at a time
context: Hey, this bridge was in the game, right?\Yes.\Was it always on the verge of collapse?\Naotsugu! Akatsuki! Stop!\Come on... Seriously?\We'll have to find another route.\Let's head back!\We'll go back one at a time response:	Akatsuki!
context: Yes.\Was it always on the verge of collapse?\Naotsugu! Akatsuki! Stop!\Come on... Seriously?\We'll have to find another route.\Let's head back!\We'll go back one at a time\Akatsuki! response:	My lord!
context: Was it always on the verge of collapse?\Naotsugu! Akatsuki! Stop!\Come on... Seriously?\We'll have to find another route.\Let's head back!\We'll go back one at a time\Akatsuki!\My lord! response:	My lord! My lord!
context: Naotsugu! Akatsuki! Stop!\Come on... Seriously?\We'll have to find another route.\Let's head back!\We'll go back one at a time\Akatsuki!\My lord!\My lord! My lord! response:	No...
context: Come on... Seriously?\We'll have to find another route.\Let's head back!\We'll go back one at a time\Akatsuki!\My lord!\My lord! My lord!\No... response:	If I die here,
context: We'll have to find another route.\Let's head back!\We'll go back one at a time\Akatsuki!\My lord!\My lord! My lord!\No...\If I die here, response:	I'll end up back in Akihabara.
context: Let's head back!\We'll go back one at a time\Akatsuki!\My lord!\My lord! My lord!\No...\If I die here,\I'll end up back in Akihabara. response:	My lord!
context: We'll go back one at a time\Akatsuki!\My lord!\My lord! My lord!\No...\If I die here,\I'll end up back in Akihabara.\My lord! response:	Shiro!
context: Akatsuki!\My lord!\My lord! My lord!\No...\If I die here,\I'll end up back in Akihabara.\My lord!\Shiro! response:	My lord!
context: My lord!\My lord! My lord!\No...\If I die here,\I'll end up back in Akihabara.\My lord!\Shiro!\My lord! response:	Shiro!
context: My lord! My lord!\No...\If I die here,\I'll end up back in Akihabara.\My lord!\Shiro!\My lord!\Shiro! response:	I've never been the outgoing type.
context: No...\If I die here,\I'll end up back in Akihabara.\My lord!\Shiro!\My lord!\Shiro!\I've never been the outgoing type. response:	Even when I was with friends, part of me was always alone.
context: If I die here,\I'll end up back in Akihabara.\My lord!\Shiro!\My lord!\Shiro!\I've never been the outgoing type.\Even when I was with friends, part of me was always alone. response:	That's when I started getting into Elder Tale.
context: I'll end up back in Akihabara.\My lord!\Shiro!\My lord!\Shiro!\I've never been the outgoing type.\Even when I was with friends, part of me was always alone.\That's when I started getting into Elder Tale. response:	And then...
context: My lord!\Shiro!\My lord!\Shiro!\I've never been the outgoing type.\Even when I was with friends, part of me was always alone.\That's when I started getting into Elder Tale.\And then... response:	Tarareba Race/ Human Guardian, Lv. 48
context: Shiro!\My lord!\Shiro!\I've never been the outgoing type.\Even when I was with friends, part of me was always alone.\That's when I started getting into Elder Tale.\And then...\Tarareba Race/ Human Guardian, Lv. 48 response:	Shiroe, right?
context: My lord!\Shiro!\I've never been the outgoing type.\Even when I was with friends, part of me was always alone.\That's when I started getting into Elder Tale.\And then...\Tarareba Race/ Human Guardian, Lv. 48\Shiroe, right? response:	I've heard about you...
context: Shiro!\I've never been the outgoing type.\Even when I was with friends, part of me was always alone.\That's when I started getting into Elder Tale.\And then...\Tarareba Race/ Human Guardian, Lv. 48\Shiroe, right?\I've heard about you... response:	They say you're an amazing enchanter.
context: I've never been the outgoing type.\Even when I was with friends, part of me was always alone.\That's when I started getting into Elder Tale.\And then...\Tarareba Race/ Human Guardian, Lv. 48\Shiroe, right?\I've heard about you...\They say you're an amazing enchanter. response:	And the next thing I knew,
context: Even when I was with friends, part of me was always alone.\That's when I started getting into Elder Tale.\And then...\Tarareba Race/ Human Guardian, Lv. 48\Shiroe, right?\I've heard about you...\They say you're an amazing enchanter.\And the next thing I knew, response:	I was recognized as an experienced, knowledgeable veteran.
context: That's when I started getting into Elder Tale.\And then...\Tarareba Race/ Human Guardian, Lv. 48\Shiroe, right?\I've heard about you...\They say you're an amazing enchanter.\And the next thing I knew,\I was recognized as an experienced, knowledgeable veteran. response:	Thanks, man! I did what you said, and I got that item!
context: And then...\Tarareba Race/ Human Guardian, Lv. 48\Shiroe, right?\I've heard about you...\They say you're an amazing enchanter.\And the next thing I knew,\I was recognized as an experienced, knowledgeable veteran.\Thanks, man! I did what you said, and I got that item! response:	I followed the route you told me about and got a rare item!
context: Tarareba Race/ Human Guardian, Lv. 48\Shiroe, right?\I've heard about you...\They say you're an amazing enchanter.\And the next thing I knew,\I was recognized as an experienced, knowledgeable veteran.\Thanks, man! I did what you said, and I got that item!\I followed the route you told me about and got a rare item! response:	Thank you, Shiroe!
context: Shiroe, right?\I've heard about you...\They say you're an amazing enchanter.\And the next thing I knew,\I was recognized as an experienced, knowledgeable veteran.\Thanks, man! I did what you said, and I got that item!\I followed the route you told me about and got a rare item!\Thank you, Shiroe! response:	But...
context: I've heard about you...\They say you're an amazing enchanter.\And the next thing I knew,\I was recognized as an experienced, knowledgeable veteran.\Thanks, man! I did what you said, and I got that item!\I followed the route you told me about and got a rare item!\Thank you, Shiroe!\But... response:	Kaiganjin Race/ Elf Guardian, Lv. 62
context: They say you're an amazing enchanter.\And the next thing I knew,\I was recognized as an experienced, knowledgeable veteran.\Thanks, man! I did what you said, and I got that item!\I followed the route you told me about and got a rare item!\Thank you, Shiroe!\But...\Kaiganjin Race/ Elf Guardian, Lv. 62 response:	Hey, how do I get the Typhon Ring?
context: And the next thing I knew,\I was recognized as an experienced, knowledgeable veteran.\Thanks, man! I did what you said, and I got that item!\I followed the route you told me about and got a rare item!\Thank you, Shiroe!\But...\Kaiganjin Race/ Elf Guardian, Lv. 62\Hey, how do I get the Typhon Ring? response:	Do that new quest in Mogami with me!
context: I was recognized as an experienced, knowledgeable veteran.\Thanks, man! I did what you said, and I got that item!\I followed the route you told me about and got a rare item!\Thank you, Shiroe!\But...\Kaiganjin Race/ Elf Guardian, Lv. 62\Hey, how do I get the Typhon Ring?\Do that new quest in Mogami with me! response:	Tell me, Shiroe!
context: Thanks, man! I did what you said, and I got that item!\I followed the route you told me about and got a rare item!\Thank you, Shiroe!\But...\Kaiganjin Race/ Elf Guardian, Lv. 62\Hey, how do I get the Typhon Ring?\Do that new quest in Mogami with me!\Tell me, Shiroe! response:	Could you take me there?
context: I followed the route you told me about and got a rare item!\Thank you, Shiroe!\But...\Kaiganjin Race/ Elf Guardian, Lv. 62\Hey, how do I get the Typhon Ring?\Do that new quest in Mogami with me!\Tell me, Shiroe!\Could you take me there? response:	Please!
context: Thank you, Shiroe!\But...\Kaiganjin Race/ Elf Guardian, Lv. 62\Hey, how do I get the Typhon Ring?\Do that new quest in Mogami with me!\Tell me, Shiroe!\Could you take me there?\Please! response:	Me, too!
context: But...\Kaiganjin Race/ Elf Guardian, Lv. 62\Hey, how do I get the Typhon Ring?\Do that new quest in Mogami with me!\Tell me, Shiroe!\Could you take me there?\Please!\Me, too! response:	Come on, Shiroe.
context: Kaiganjin Race/ Elf Guardian, Lv. 62\Hey, how do I get the Typhon Ring?\Do that new quest in Mogami with me!\Tell me, Shiroe!\Could you take me there?\Please!\Me, too!\Come on, Shiroe. response:	Pain in the ass.
context: Hey, how do I get the Typhon Ring?\Do that new quest in Mogami with me!\Tell me, Shiroe!\Could you take me there?\Please!\Me, too!\Come on, Shiroe.\Pain in the ass. response:	The best part of adventuring is experiencing new things!
context: Do that new quest in Mogami with me!\Tell me, Shiroe!\Could you take me there?\Please!\Me, too!\Come on, Shiroe.\Pain in the ass.\The best part of adventuring is experiencing new things! response:	New things?
context: Tell me, Shiroe!\Could you take me there?\Please!\Me, too!\Come on, Shiroe.\Pain in the ass.\The best part of adventuring is experiencing new things!\New things? response:	Yup, it's exciting and wonderful!
context: Could you take me there?\Please!\Me, too!\Come on, Shiroe.\Pain in the ass.\The best part of adventuring is experiencing new things!\New things?\Yup, it's exciting and wonderful! response:	Almost as much as panties.
context: Please!\Me, too!\Come on, Shiroe.\Pain in the ass.\The best part of adventuring is experiencing new things!\New things?\Yup, it's exciting and wonderful!\Almost as much as panties. response:	Naotsugu, don't say that stuff in front of the ladies.
context: Me, too!\Come on, Shiroe.\Pain in the ass.\The best part of adventuring is experiencing new things!\New things?\Yup, it's exciting and wonderful!\Almost as much as panties.\Naotsugu, don't say that stuff in front of the ladies. response:	Shut up!
context: Come on, Shiroe.\Pain in the ass.\The best part of adventuring is experiencing new things!\New things?\Yup, it's exciting and wonderful!\Almost as much as panties.\Naotsugu, don't say that stuff in front of the ladies.\Shut up! response:	You're just saying that because the girls all like you!
context: Pain in the ass.\The best part of adventuring is experiencing new things!\New things?\Yup, it's exciting and wonderful!\Almost as much as panties.\Naotsugu, don't say that stuff in front of the ladies.\Shut up!\You're just saying that because the girls all like you! response:	Well, that's true, but...
context: The best part of adventuring is experiencing new things!\New things?\Yup, it's exciting and wonderful!\Almost as much as panties.\Naotsugu, don't say that stuff in front of the ladies.\Shut up!\You're just saying that because the girls all like you!\Well, that's true, but... response:	I'll get you one of these days, Souji.
context: New things?\Yup, it's exciting and wonderful!\Almost as much as panties.\Naotsugu, don't say that stuff in front of the ladies.\Shut up!\You're just saying that because the girls all like you!\Well, that's true, but...\I'll get you one of these days, Souji. response:	Please don't cry...
context: Yup, it's exciting and wonderful!\Almost as much as panties.\Naotsugu, don't say that stuff in front of the ladies.\Shut up!\You're just saying that because the girls all like you!\Well, that's true, but...\I'll get you one of these days, Souji.\Please don't cry... response:	Just look at this gorgeous view.
context: Almost as much as panties.\Naotsugu, don't say that stuff in front of the ladies.\Shut up!\You're just saying that because the girls all like you!\Well, that's true, but...\I'll get you one of these days, Souji.\Please don't cry...\Just look at this gorgeous view. response:	Totally worth the effort!
context: Naotsugu, don't say that stuff in front of the ladies.\Shut up!\You're just saying that because the girls all like you!\Well, that's true, but...\I'll get you one of these days, Souji.\Please don't cry...\Just look at this gorgeous view.\Totally worth the effort! response:	Right, Shiro?
context: Shut up!\You're just saying that because the girls all like you!\Well, that's true, but...\I'll get you one of these days, Souji.\Please don't cry...\Just look at this gorgeous view.\Totally worth the effort!\Right, Shiro? response:	What are you spacing out for?
context: You're just saying that because the girls all like you!\Well, that's true, but...\I'll get you one of these days, Souji.\Please don't cry...\Just look at this gorgeous view.\Totally worth the effort!\Right, Shiro?\What are you spacing out for? response:	Lost in thought again...
context: Well, that's true, but...\I'll get you one of these days, Souji.\Please don't cry...\Just look at this gorgeous view.\Totally worth the effort!\Right, Shiro?\What are you spacing out for?\Lost in thought again... response:	Shiro?
context: I'll get you one of these days, Souji.\Please don't cry...\Just look at this gorgeous view.\Totally worth the effort!\Right, Shiro?\What are you spacing out for?\Lost in thought again...\Shiro? response:	Shiro?
context: Please don't cry...\Just look at this gorgeous view.\Totally worth the effort!\Right, Shiro?\What are you spacing out for?\Lost in thought again...\Shiro?\Shiro? response:	What's wrong, Shiro?
context: Just look at this gorgeous view.\Totally worth the effort!\Right, Shiro?\What are you spacing out for?\Lost in thought again...\Shiro?\Shiro?\What's wrong, Shiro? response:	My lord!
context: Totally worth the effort!\Right, Shiro?\What are you spacing out for?\Lost in thought again...\Shiro?\Shiro?\What's wrong, Shiro?\My lord! response:	Shiro!
context: Right, Shiro?\What are you spacing out for?\Lost in thought again...\Shiro?\Shiro?\What's wrong, Shiro?\My lord!\Shiro! response:	My lord!
