context: Hello, Higurashi residence. response:	Oh, Kagome's grandpa! Hello!
context: Hey! At least deliver the fatal blow!\What's going on?\Inuyasha's wound isn't fully healed.\The enemy is taking advantage of that to attack.\I knew it... He's in danger.\They're here!\I'll teach...\you! response:	Inuyasha...
context: What's going on?\Inuyasha's wound isn't fully healed.\The enemy is taking advantage of that to attack.\I knew it... He's in danger.\They're here!\I'll teach...\you!\Inuyasha... response:	Silly fool! W-why'd you come back?
context: Inuyasha's wound isn't fully healed.\The enemy is taking advantage of that to attack.\I knew it... He's in danger.\They're here!\I'll teach...\you!\Inuyasha...\Silly fool! W-why'd you come back? response:	Inuyasha!
context: The enemy is taking advantage of that to attack.\I knew it... He's in danger.\They're here!\I'll teach...\you!\Inuyasha...\Silly fool! W-why'd you come back?\Inuyasha! response:	I thought you died... because you didn't come for me!
context: I knew it... He's in danger.\They're here!\I'll teach...\you!\Inuyasha...\Silly fool! W-why'd you come back?\Inuyasha!\I thought you died... because you didn't come for me! response:	I told you not to come anymore!
context: They're here!\I'll teach...\you!\Inuyasha...\Silly fool! W-why'd you come back?\Inuyasha!\I thought you died... because you didn't come for me!\I told you not to come anymore! response:	I can't help it! I longed to see you!
context: I'll teach...\you!\Inuyasha...\Silly fool! W-why'd you come back?\Inuyasha!\I thought you died... because you didn't come for me!\I told you not to come anymore!\I can't help it! I longed to see you! response:	Longed to see me? Me?
context: you!\Inuyasha...\Silly fool! W-why'd you come back?\Inuyasha!\I thought you died... because you didn't come for me!\I told you not to come anymore!\I can't help it! I longed to see you!\Longed to see me? Me? response:	I...l...
context: Inuyasha...\Silly fool! W-why'd you come back?\Inuyasha!\I thought you died... because you didn't come for me!\I told you not to come anymore!\I can't help it! I longed to see you!\Longed to see me? Me?\I...l... response:	What's that look?
context: Silly fool! W-why'd you come back?\Inuyasha!\I thought you died... because you didn't come for me!\I told you not to come anymore!\I can't help it! I longed to see you!\Longed to see me? Me?\I...l...\What's that look? response:	Didn't you want to see me, too?
context: Inuyasha!\I thought you died... because you didn't come for me!\I told you not to come anymore!\I can't help it! I longed to see you!\Longed to see me? Me?\I...l...\What's that look?\Didn't you want to see me, too? response:	How dare you?! I was so worried about you... What a fool I was!
context: I thought you died... because you didn't come for me!\I told you not to come anymore!\I can't help it! I longed to see you!\Longed to see me? Me?\I...l...\What's that look?\Didn't you want to see me, too?\How dare you?! I was so worried about you... What a fool I was! response:	You don't understand a thing!
context: I told you not to come anymore!\I can't help it! I longed to see you!\Longed to see me? Me?\I...l...\What's that look?\Didn't you want to see me, too?\How dare you?! I was so worried about you... What a fool I was!\You don't understand a thing! response:	H-hey! Are you crying, Kagome?
context: I can't help it! I longed to see you!\Longed to see me? Me?\I...l...\What's that look?\Didn't you want to see me, too?\How dare you?! I was so worried about you... What a fool I was!\You don't understand a thing!\H-hey! Are you crying, Kagome? response:	Don't cry over such a trifle!
context: Longed to see me? Me?\I...l...\What's that look?\Didn't you want to see me, too?\How dare you?! I was so worried about you... What a fool I was!\You don't understand a thing!\H-hey! Are you crying, Kagome?\Don't cry over such a trifle! response:	I'm not crying out of sadness! It's frustration!
context: I...l...\What's that look?\Didn't you want to see me, too?\How dare you?! I was so worried about you... What a fool I was!\You don't understand a thing!\H-hey! Are you crying, Kagome?\Don't cry over such a trifle!\I'm not crying out of sadness! It's frustration! response:	They fight the minute they set eyes on each other.
context: What's that look?\Didn't you want to see me, too?\How dare you?! I was so worried about you... What a fool I was!\You don't understand a thing!\H-hey! Are you crying, Kagome?\Don't cry over such a trifle!\I'm not crying out of sadness! It's frustration!\They fight the minute they set eyes on each other. response:	But thank goodness it's all over!
context: Didn't you want to see me, too?\How dare you?! I was so worried about you... What a fool I was!\You don't understand a thing!\H-hey! Are you crying, Kagome?\Don't cry over such a trifle!\I'm not crying out of sadness! It's frustration!\They fight the minute they set eyes on each other.\But thank goodness it's all over! response:	Kagome has returned!
context: How dare you?! I was so worried about you... What a fool I was!\You don't understand a thing!\H-hey! Are you crying, Kagome?\Don't cry over such a trifle!\I'm not crying out of sadness! It's frustration!\They fight the minute they set eyes on each other.\But thank goodness it's all over!\Kagome has returned! response:	Priestess Kaede, it's Kagome!
context: You don't understand a thing!\H-hey! Are you crying, Kagome?\Don't cry over such a trifle!\I'm not crying out of sadness! It's frustration!\They fight the minute they set eyes on each other.\But thank goodness it's all over!\Kagome has returned!\Priestess Kaede, it's Kagome! response:	Priestess Kaede?
context: H-hey! Are you crying, Kagome?\Don't cry over such a trifle!\I'm not crying out of sadness! It's frustration!\They fight the minute they set eyes on each other.\But thank goodness it's all over!\Kagome has returned!\Priestess Kaede, it's Kagome!\Priestess Kaede? response:	Monk, don't you think it strange?
context: Don't cry over such a trifle!\I'm not crying out of sadness! It's frustration!\They fight the minute they set eyes on each other.\But thank goodness it's all over!\Kagome has returned!\Priestess Kaede, it's Kagome!\Priestess Kaede?\Monk, don't you think it strange? response:	Yes?
context: I'm not crying out of sadness! It's frustration!\They fight the minute they set eyes on each other.\But thank goodness it's all over!\Kagome has returned!\Priestess Kaede, it's Kagome!\Priestess Kaede?\Monk, don't you think it strange?\Yes? response:	The droves of poison insects have disappeared.
context: They fight the minute they set eyes on each other.\But thank goodness it's all over!\Kagome has returned!\Priestess Kaede, it's Kagome!\Priestess Kaede?\Monk, don't you think it strange?\Yes?\The droves of poison insects have disappeared. response:	You're right.
context: But thank goodness it's all over!\Kagome has returned!\Priestess Kaede, it's Kagome!\Priestess Kaede?\Monk, don't you think it strange?\Yes?\The droves of poison insects have disappeared.\You're right. response:	That girl...
context: Kagome has returned!\Priestess Kaede, it's Kagome!\Priestess Kaede?\Monk, don't you think it strange?\Yes?\The droves of poison insects have disappeared.\You're right.\That girl... response:	Kikyo? No, it can't be.
context: Priestess Kaede, it's Kagome!\Priestess Kaede?\Monk, don't you think it strange?\Yes?\The droves of poison insects have disappeared.\You're right.\That girl...\Kikyo? No, it can't be. response:	Kikyo... That woman died fifty years ago.
context: Priestess Kaede?\Monk, don't you think it strange?\Yes?\The droves of poison insects have disappeared.\You're right.\That girl...\Kikyo? No, it can't be.\Kikyo... That woman died fifty years ago. response:	W- what is this presence?
context: Monk, don't you think it strange?\Yes?\The droves of poison insects have disappeared.\You're right.\That girl...\Kikyo? No, it can't be.\Kikyo... That woman died fifty years ago.\W- what is this presence? response:	Someone's here... who possesses the Sacred Jewel fragment.
context: Yes?\The droves of poison insects have disappeared.\You're right.\That girl...\Kikyo? No, it can't be.\Kikyo... That woman died fifty years ago.\W- what is this presence?\Someone's here... who possesses the Sacred Jewel fragment. response:	Lots of them!
context: The droves of poison insects have disappeared.\You're right.\That girl...\Kikyo? No, it can't be.\Kikyo... That woman died fifty years ago.\W- what is this presence?\Someone's here... who possesses the Sacred Jewel fragment.\Lots of them! response:	I knew you were nearby.
context: You're right.\That girl...\Kikyo? No, it can't be.\Kikyo... That woman died fifty years ago.\W- what is this presence?\Someone's here... who possesses the Sacred Jewel fragment.\Lots of them!\I knew you were nearby. response:	You are Naraku!
context: That girl...\Kikyo? No, it can't be.\Kikyo... That woman died fifty years ago.\W- what is this presence?\Someone's here... who possesses the Sacred Jewel fragment.\Lots of them!\I knew you were nearby.\You are Naraku! response:	I've got you now!
context: Kikyo? No, it can't be.\Kikyo... That woman died fifty years ago.\W- what is this presence?\Someone's here... who possesses the Sacred Jewel fragment.\Lots of them!\I knew you were nearby.\You are Naraku!\I've got you now! response:	So...he is Naraku!
context: Kikyo... That woman died fifty years ago.\W- what is this presence?\Someone's here... who possesses the Sacred Jewel fragment.\Lots of them!\I knew you were nearby.\You are Naraku!\I've got you now!\So...he is Naraku! response:	Before I kill you, I must ask you one thing...
context: W- what is this presence?\Someone's here... who possesses the Sacred Jewel fragment.\Lots of them!\I knew you were nearby.\You are Naraku!\I've got you now!\So...he is Naraku!\Before I kill you, I must ask you one thing... response:	What grudge do you have against me?
context: Someone's here... who possesses the Sacred Jewel fragment.\Lots of them!\I knew you were nearby.\You are Naraku!\I've got you now!\So...he is Naraku!\Before I kill you, I must ask you one thing...\What grudge do you have against me? response:	Grudge, huh?
context: Lots of them!\I knew you were nearby.\You are Naraku!\I've got you now!\So...he is Naraku!\Before I kill you, I must ask you one thing...\What grudge do you have against me?\Grudge, huh? response:	I guess you can't die in peace...
context: I knew you were nearby.\You are Naraku!\I've got you now!\So...he is Naraku!\Before I kill you, I must ask you one thing...\What grudge do you have against me?\Grudge, huh?\I guess you can't die in peace... response:	not knowing why someone hates you so much.
context: You are Naraku!\I've got you now!\So...he is Naraku!\Before I kill you, I must ask you one thing...\What grudge do you have against me?\Grudge, huh?\I guess you can't die in peace...\not knowing why someone hates you so much. response:	You are...
context: I've got you now!\So...he is Naraku!\Before I kill you, I must ask you one thing...\What grudge do you have against me?\Grudge, huh?\I guess you can't die in peace...\not knowing why someone hates you so much.\You are... response:	Huh?
context: So...he is Naraku!\Before I kill you, I must ask you one thing...\What grudge do you have against me?\Grudge, huh?\I guess you can't die in peace...\not knowing why someone hates you so much.\You are...\Huh? response:	Kaede, huh?
context: Before I kill you, I must ask you one thing...\What grudge do you have against me?\Grudge, huh?\I guess you can't die in peace...\not knowing why someone hates you so much.\You are...\Huh?\Kaede, huh? response:	My, my... How old you've grown.
context: What grudge do you have against me?\Grudge, huh?\I guess you can't die in peace...\not knowing why someone hates you so much.\You are...\Huh?\Kaede, huh?\My, my... How old you've grown. response:	You know me?
context: Grudge, huh?\I guess you can't die in peace...\not knowing why someone hates you so much.\You are...\Huh?\Kaede, huh?\My, my... How old you've grown.\You know me? response:	I knew it... You are... Onigumo!
context: I guess you can't die in peace...\not knowing why someone hates you so much.\You are...\Huh?\Kaede, huh?\My, my... How old you've grown.\You know me?\I knew it... You are... Onigumo! response:	Onigumo... Such a nostalgic name.
context: not knowing why someone hates you so much.\You are...\Huh?\Kaede, huh?\My, my... How old you've grown.\You know me?\I knew it... You are... Onigumo!\Onigumo... Such a nostalgic name. response:	I, Naraku, am not Onigumo.
context: You are...\Huh?\Kaede, huh?\My, my... How old you've grown.\You know me?\I knew it... You are... Onigumo!\Onigumo... Such a nostalgic name.\I, Naraku, am not Onigumo. response:	But it is true... that fifty years ago, I was borne out of Onigumo.
context: Huh?\Kaede, huh?\My, my... How old you've grown.\You know me?\I knew it... You are... Onigumo!\Onigumo... Such a nostalgic name.\I, Naraku, am not Onigumo.\But it is true... that fifty years ago, I was borne out of Onigumo. response:	Onigumo was a foolish man.
context: Kaede, huh?\My, my... How old you've grown.\You know me?\I knew it... You are... Onigumo!\Onigumo... Such a nostalgic name.\I, Naraku, am not Onigumo.\But it is true... that fifty years ago, I was borne out of Onigumo.\Onigumo was a foolish man. response:	He began to desire the kind-hearted young priestess who nursed him.
context: My, my... How old you've grown.\You know me?\I knew it... You are... Onigumo!\Onigumo... Such a nostalgic name.\I, Naraku, am not Onigumo.\But it is true... that fifty years ago, I was borne out of Onigumo.\Onigumo was a foolish man.\He began to desire the kind-hearted young priestess who nursed him. response:	He succumbed to his weakness and called forth the demons...
context: You know me?\I knew it... You are... Onigumo!\Onigumo... Such a nostalgic name.\I, Naraku, am not Onigumo.\But it is true... that fifty years ago, I was borne out of Onigumo.\Onigumo was a foolish man.\He began to desire the kind-hearted young priestess who nursed him.\He succumbed to his weakness and called forth the demons... response:	Even my rotting soul is worth something...
context: I knew it... You are... Onigumo!\Onigumo... Such a nostalgic name.\I, Naraku, am not Onigumo.\But it is true... that fifty years ago, I was borne out of Onigumo.\Onigumo was a foolish man.\He began to desire the kind-hearted young priestess who nursed him.\He succumbed to his weakness and called forth the demons...\Even my rotting soul is worth something... response:	Want a taste of me?
context: Onigumo... Such a nostalgic name.\I, Naraku, am not Onigumo.\But it is true... that fifty years ago, I was borne out of Onigumo.\Onigumo was a foolish man.\He began to desire the kind-hearted young priestess who nursed him.\He succumbed to his weakness and called forth the demons...\Even my rotting soul is worth something...\Want a taste of me? response:	Hungry for me, aren't you?
context: I, Naraku, am not Onigumo.\But it is true... that fifty years ago, I was borne out of Onigumo.\Onigumo was a foolish man.\He began to desire the kind-hearted young priestess who nursed him.\He succumbed to his weakness and called forth the demons...\Even my rotting soul is worth something...\Want a taste of me?\Hungry for me, aren't you? response:	I want a body that moves freely...
context: But it is true... that fifty years ago, I was borne out of Onigumo.\Onigumo was a foolish man.\He began to desire the kind-hearted young priestess who nursed him.\He succumbed to his weakness and called forth the demons...\Even my rotting soul is worth something...\Want a taste of me?\Hungry for me, aren't you?\I want a body that moves freely... response:	in order to possess the Sacred Jewel and Kikyo.
context: Onigumo was a foolish man.\He began to desire the kind-hearted young priestess who nursed him.\He succumbed to his weakness and called forth the demons...\Even my rotting soul is worth something...\Want a taste of me?\Hungry for me, aren't you?\I want a body that moves freely...\in order to possess the Sacred Jewel and Kikyo. response:	Now eat me! Devour me!
context: He began to desire the kind-hearted young priestess who nursed him.\He succumbed to his weakness and called forth the demons...\Even my rotting soul is worth something...\Want a taste of me?\Hungry for me, aren't you?\I want a body that moves freely...\in order to possess the Sacred Jewel and Kikyo.\Now eat me! Devour me! response:	And in return, give me power!
context: He succumbed to his weakness and called forth the demons...\Even my rotting soul is worth something...\Want a taste of me?\Hungry for me, aren't you?\I want a body that moves freely...\in order to possess the Sacred Jewel and Kikyo.\Now eat me! Devour me!\And in return, give me power! response:	That is how...many demons became one...into Naraku.
context: Even my rotting soul is worth something...\Want a taste of me?\Hungry for me, aren't you?\I want a body that moves freely...\in order to possess the Sacred Jewel and Kikyo.\Now eat me! Devour me!\And in return, give me power!\That is how...many demons became one...into Naraku. response:	Creating my body took countless demons.
context: Want a taste of me?\Hungry for me, aren't you?\I want a body that moves freely...\in order to possess the Sacred Jewel and Kikyo.\Now eat me! Devour me!\And in return, give me power!\That is how...many demons became one...into Naraku.\Creating my body took countless demons. response:	Because the priestess had been reduced to a powerless girl...
context: Hungry for me, aren't you?\I want a body that moves freely...\in order to possess the Sacred Jewel and Kikyo.\Now eat me! Devour me!\And in return, give me power!\That is how...many demons became one...into Naraku.\Creating my body took countless demons.\Because the priestess had been reduced to a powerless girl... response:	this region teemed with demons.
context: I want a body that moves freely...\in order to possess the Sacred Jewel and Kikyo.\Now eat me! Devour me!\And in return, give me power!\That is how...many demons became one...into Naraku.\Creating my body took countless demons.\Because the priestess had been reduced to a powerless girl...\this region teemed with demons. response:	All because the priestess...Kikyo...
context: in order to possess the Sacred Jewel and Kikyo.\Now eat me! Devour me!\And in return, give me power!\That is how...many demons became one...into Naraku.\Creating my body took countless demons.\Because the priestess had been reduced to a powerless girl...\this region teemed with demons.\All because the priestess...Kikyo... response:	had fallen in love with a worthless half-demon.
context: Now eat me! Devour me!\And in return, give me power!\That is how...many demons became one...into Naraku.\Creating my body took countless demons.\Because the priestess had been reduced to a powerless girl...\this region teemed with demons.\All because the priestess...Kikyo...\had fallen in love with a worthless half-demon. response:	She gave in to childish desires...
context: And in return, give me power!\That is how...many demons became one...into Naraku.\Creating my body took countless demons.\Because the priestess had been reduced to a powerless girl...\this region teemed with demons.\All because the priestess...Kikyo...\had fallen in love with a worthless half-demon.\She gave in to childish desires... response:	tried to use the power of the Sacred Jewel...
context: That is how...many demons became one...into Naraku.\Creating my body took countless demons.\Because the priestess had been reduced to a powerless girl...\this region teemed with demons.\All because the priestess...Kikyo...\had fallen in love with a worthless half-demon.\She gave in to childish desires...\tried to use the power of the Sacred Jewel... response:	and was punished.
context: Creating my body took countless demons.\Because the priestess had been reduced to a powerless girl...\this region teemed with demons.\All because the priestess...Kikyo...\had fallen in love with a worthless half-demon.\She gave in to childish desires...\tried to use the power of the Sacred Jewel...\and was punished. response:	Inuyasha...
context: Because the priestess had been reduced to a powerless girl...\this region teemed with demons.\All because the priestess...Kikyo...\had fallen in love with a worthless half-demon.\She gave in to childish desires...\tried to use the power of the Sacred Jewel...\and was punished.\Inuyasha... response:	you experienced the punishment yourself.
context: this region teemed with demons.\All because the priestess...Kikyo...\had fallen in love with a worthless half-demon.\She gave in to childish desires...\tried to use the power of the Sacred Jewel...\and was punished.\Inuyasha...\you experienced the punishment yourself. response:	Die, Inuyasha!
context: All because the priestess...Kikyo...\had fallen in love with a worthless half-demon.\She gave in to childish desires...\tried to use the power of the Sacred Jewel...\and was punished.\Inuyasha...\you experienced the punishment yourself.\Die, Inuyasha! response:	Stupid fool! I have no desire to become human!
context: had fallen in love with a worthless half-demon.\She gave in to childish desires...\tried to use the power of the Sacred Jewel...\and was punished.\Inuyasha...\you experienced the punishment yourself.\Die, Inuyasha!\Stupid fool! I have no desire to become human! response:	Thanks for the Sacred Jewel!
context: She gave in to childish desires...\tried to use the power of the Sacred Jewel...\and was punished.\Inuyasha...\you experienced the punishment yourself.\Die, Inuyasha!\Stupid fool! I have no desire to become human!\Thanks for the Sacred Jewel! response:	How dare you?!
context: tried to use the power of the Sacred Jewel...\and was punished.\Inuyasha...\you experienced the punishment yourself.\Die, Inuyasha!\Stupid fool! I have no desire to become human!\Thanks for the Sacred Jewel!\How dare you?! response:	You tricked us!
context: and was punished.\Inuyasha...\you experienced the punishment yourself.\Die, Inuyasha!\Stupid fool! I have no desire to become human!\Thanks for the Sacred Jewel!\How dare you?!\You tricked us! response:	You tricked Kikyo and me into trying to kill each other!
context: Inuyasha...\you experienced the punishment yourself.\Die, Inuyasha!\Stupid fool! I have no desire to become human!\Thanks for the Sacred Jewel!\How dare you?!\You tricked us!\You tricked Kikyo and me into trying to kill each other! response:	Then let me ask you...
context: you experienced the punishment yourself.\Die, Inuyasha!\Stupid fool! I have no desire to become human!\Thanks for the Sacred Jewel!\How dare you?!\You tricked us!\You tricked Kikyo and me into trying to kill each other!\Then let me ask you... response:	Was the trust you had in each other so easy to destroy?
context: Die, Inuyasha!\Stupid fool! I have no desire to become human!\Thanks for the Sacred Jewel!\How dare you?!\You tricked us!\You tricked Kikyo and me into trying to kill each other!\Then let me ask you...\Was the trust you had in each other so easy to destroy? response:	W-what?!
context: Stupid fool! I have no desire to become human!\Thanks for the Sacred Jewel!\How dare you?!\You tricked us!\You tricked Kikyo and me into trying to kill each other!\Then let me ask you...\Was the trust you had in each other so easy to destroy?\W-what?! response:	The truth is that anger...
context: Thanks for the Sacred Jewel!\How dare you?!\You tricked us!\You tricked Kikyo and me into trying to kill each other!\Then let me ask you...\Was the trust you had in each other so easy to destroy?\W-what?!\The truth is that anger... response:	Bitter anger set you against each other.
context: How dare you?!\You tricked us!\You tricked Kikyo and me into trying to kill each other!\Then let me ask you...\Was the trust you had in each other so easy to destroy?\W-what?!\The truth is that anger...\Bitter anger set you against each other. response:	That is the true legacy of the trust you had for each other.
context: You tricked us!\You tricked Kikyo and me into trying to kill each other!\Then let me ask you...\Was the trust you had in each other so easy to destroy?\W-what?!\The truth is that anger...\Bitter anger set you against each other.\That is the true legacy of the trust you had for each other. response:	Kikyo could not understand.
context: You tricked Kikyo and me into trying to kill each other!\Then let me ask you...\Was the trust you had in each other so easy to destroy?\W-what?!\The truth is that anger...\Bitter anger set you against each other.\That is the true legacy of the trust you had for each other.\Kikyo could not understand. response:	Instead of choosing death...
context: Then let me ask you...\Was the trust you had in each other so easy to destroy?\W-what?!\The truth is that anger...\Bitter anger set you against each other.\That is the true legacy of the trust you had for each other.\Kikyo could not understand.\Instead of choosing death... response:	she should have clung on to her life...
context: Was the trust you had in each other so easy to destroy?\W-what?!\The truth is that anger...\Bitter anger set you against each other.\That is the true legacy of the trust you had for each other.\Kikyo could not understand.\Instead of choosing death...\she should have clung on to her life... response:	and used the Sacred Jewel.
context: W-what?!\The truth is that anger...\Bitter anger set you against each other.\That is the true legacy of the trust you had for each other.\Kikyo could not understand.\Instead of choosing death...\she should have clung on to her life...\and used the Sacred Jewel. response:	Had she pleaded for her life...
context: The truth is that anger...\Bitter anger set you against each other.\That is the true legacy of the trust you had for each other.\Kikyo could not understand.\Instead of choosing death...\she should have clung on to her life...\and used the Sacred Jewel.\Had she pleaded for her life... response:	her wretched wish would have been easily granted...
context: Bitter anger set you against each other.\That is the true legacy of the trust you had for each other.\Kikyo could not understand.\Instead of choosing death...\she should have clung on to her life...\and used the Sacred Jewel.\Had she pleaded for her life...\her wretched wish would have been easily granted... response:	and she would have understood the ultimate truth of darkness.
context: That is the true legacy of the trust you had for each other.\Kikyo could not understand.\Instead of choosing death...\she should have clung on to her life...\and used the Sacred Jewel.\Had she pleaded for her life...\her wretched wish would have been easily granted...\and she would have understood the ultimate truth of darkness. response:	Such a foolish woman.
context: Kikyo could not understand.\Instead of choosing death...\she should have clung on to her life...\and used the Sacred Jewel.\Had she pleaded for her life...\her wretched wish would have been easily granted...\and she would have understood the ultimate truth of darkness.\Such a foolish woman. response:	The Sacred Jewel grows even more beautiful when it is tainted.
context: Instead of choosing death...\she should have clung on to her life...\and used the Sacred Jewel.\Had she pleaded for her life...\her wretched wish would have been easily granted...\and she would have understood the ultimate truth of darkness.\Such a foolish woman.\The Sacred Jewel grows even more beautiful when it is tainted. response:	Kagome!
context: she should have clung on to her life...\and used the Sacred Jewel.\Had she pleaded for her life...\her wretched wish would have been easily granted...\and she would have understood the ultimate truth of darkness.\Such a foolish woman.\The Sacred Jewel grows even more beautiful when it is tainted.\Kagome! response:	How many fragments do you see inside him?
context: and used the Sacred Jewel.\Had she pleaded for her life...\her wretched wish would have been easily granted...\and she would have understood the ultimate truth of darkness.\Such a foolish woman.\The Sacred Jewel grows even more beautiful when it is tainted.\Kagome!\How many fragments do you see inside him? response:	Sacred Jewel fragments...
context: Had she pleaded for her life...\her wretched wish would have been easily granted...\and she would have understood the ultimate truth of darkness.\Such a foolish woman.\The Sacred Jewel grows even more beautiful when it is tainted.\Kagome!\How many fragments do you see inside him?\Sacred Jewel fragments... response:	Ten... No, twenty...
context: her wretched wish would have been easily granted...\and she would have understood the ultimate truth of darkness.\Such a foolish woman.\The Sacred Jewel grows even more beautiful when it is tainted.\Kagome!\How many fragments do you see inside him?\Sacred Jewel fragments...\Ten... No, twenty... response:	No, much more!
context: and she would have understood the ultimate truth of darkness.\Such a foolish woman.\The Sacred Jewel grows even more beautiful when it is tainted.\Kagome!\How many fragments do you see inside him?\Sacred Jewel fragments...\Ten... No, twenty...\No, much more! response:	Hey, Naraku... I'll show you what tainted is!
context: Such a foolish woman.\The Sacred Jewel grows even more beautiful when it is tainted.\Kagome!\How many fragments do you see inside him?\Sacred Jewel fragments...\Ten... No, twenty...\No, much more!\Hey, Naraku... I'll show you what tainted is! response:	I'll make that tainted blood of yours flow!
context: The Sacred Jewel grows even more beautiful when it is tainted.\Kagome!\How many fragments do you see inside him?\Sacred Jewel fragments...\Ten... No, twenty...\No, much more!\Hey, Naraku... I'll show you what tainted is!\I'll make that tainted blood of yours flow! response:	Iron-Reaver, Soul-Stealer!
context: Kagome!\How many fragments do you see inside him?\Sacred Jewel fragments...\Ten... No, twenty...\No, much more!\Hey, Naraku... I'll show you what tainted is!\I'll make that tainted blood of yours flow!\Iron-Reaver, Soul-Stealer! response:	A miasma! Get away!
context: How many fragments do you see inside him?\Sacred Jewel fragments...\Ten... No, twenty...\No, much more!\Hey, Naraku... I'll show you what tainted is!\I'll make that tainted blood of yours flow!\Iron-Reaver, Soul-Stealer!\A miasma! Get away! response:	Inuyasha!
context: Sacred Jewel fragments...\Ten... No, twenty...\No, much more!\Hey, Naraku... I'll show you what tainted is!\I'll make that tainted blood of yours flow!\Iron-Reaver, Soul-Stealer!\A miasma! Get away!\Inuyasha! response:	So you've sunken into my miasma.
context: Ten... No, twenty...\No, much more!\Hey, Naraku... I'll show you what tainted is!\I'll make that tainted blood of yours flow!\Iron-Reaver, Soul-Stealer!\A miasma! Get away!\Inuyasha!\So you've sunken into my miasma. response:	Tetsusaiga!
context: No, much more!\Hey, Naraku... I'll show you what tainted is!\I'll make that tainted blood of yours flow!\Iron-Reaver, Soul-Stealer!\A miasma! Get away!\Inuyasha!\So you've sunken into my miasma.\Tetsusaiga! response:	You've...
context: Hey, Naraku... I'll show you what tainted is!\I'll make that tainted blood of yours flow!\Iron-Reaver, Soul-Stealer!\A miasma! Get away!\Inuyasha!\So you've sunken into my miasma.\Tetsusaiga!\You've... response:	cut through the miasma!
context: I'll make that tainted blood of yours flow!\Iron-Reaver, Soul-Stealer!\A miasma! Get away!\Inuyasha!\So you've sunken into my miasma.\Tetsusaiga!\You've...\cut through the miasma! response:	He escaped...
context: Iron-Reaver, Soul-Stealer!\A miasma! Get away!\Inuyasha!\So you've sunken into my miasma.\Tetsusaiga!\You've...\cut through the miasma!\He escaped... response:	That damned Naraku got away!
context: A miasma! Get away!\Inuyasha!\So you've sunken into my miasma.\Tetsusaiga!\You've...\cut through the miasma!\He escaped...\That damned Naraku got away! response:	Damn it!
context: Inuyasha!\So you've sunken into my miasma.\Tetsusaiga!\You've...\cut through the miasma!\He escaped...\That damned Naraku got away!\Damn it! response:	Stay and fight!
context: So you've sunken into my miasma.\Tetsusaiga!\You've...\cut through the miasma!\He escaped...\That damned Naraku got away!\Damn it!\Stay and fight! response:	A spider on his back...
context: Tetsusaiga!\You've...\cut through the miasma!\He escaped...\That damned Naraku got away!\Damn it!\Stay and fight!\A spider on his back... response:	Yes. According to Inuyasha...
context: You've...\cut through the miasma!\He escaped...\That damned Naraku got away!\Damn it!\Stay and fight!\A spider on his back...\Yes. According to Inuyasha... response:	a spider-shaped burn mark on his back.
context: cut through the miasma!\He escaped...\That damned Naraku got away!\Damn it!\Stay and fight!\A spider on his back...\Yes. According to Inuyasha...\a spider-shaped burn mark on his back. response:	The robber Onigumo had terrible burns.
context: He escaped...\That damned Naraku got away!\Damn it!\Stay and fight!\A spider on his back...\Yes. According to Inuyasha...\a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns. response:	Perhaps that is proof that it is Onigumo.
context: That damned Naraku got away!\Damn it!\Stay and fight!\A spider on his back...\Yes. According to Inuyasha...\a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns.\Perhaps that is proof that it is Onigumo. response:	A spider on his back...
context: Damn it!\Stay and fight!\A spider on his back...\Yes. According to Inuyasha...\a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns.\Perhaps that is proof that it is Onigumo.\A spider on his back... response:	That will also be the telltale sign of Naraku.
context: Stay and fight!\A spider on his back...\Yes. According to Inuyasha...\a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns.\Perhaps that is proof that it is Onigumo.\A spider on his back...\That will also be the telltale sign of Naraku. response:	We are asked to protect the souls of the dead people at a mansion.
context: A spider on his back...\Yes. According to Inuyasha...\a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns.\Perhaps that is proof that it is Onigumo.\A spider on his back...\That will also be the telltale sign of Naraku.\We are asked to protect the souls of the dead people at a mansion. response:	A demon gathers numbers of souls and carries them away to somewhere.
context: Yes. According to Inuyasha...\a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns.\Perhaps that is proof that it is Onigumo.\A spider on his back...\That will also be the telltale sign of Naraku.\We are asked to protect the souls of the dead people at a mansion.\A demon gathers numbers of souls and carries them away to somewhere. response:	The demon is controlled by a priestess with an awful vengeance.
context: a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns.\Perhaps that is proof that it is Onigumo.\A spider on his back...\That will also be the telltale sign of Naraku.\We are asked to protect the souls of the dead people at a mansion.\A demon gathers numbers of souls and carries them away to somewhere.\The demon is controlled by a priestess with an awful vengeance. response:	A priestess? Could she be?
context: The robber Onigumo had terrible burns.\Perhaps that is proof that it is Onigumo.\A spider on his back...\That will also be the telltale sign of Naraku.\We are asked to protect the souls of the dead people at a mansion.\A demon gathers numbers of souls and carries them away to somewhere.\The demon is controlled by a priestess with an awful vengeance.\A priestess? Could she be? response:	Nobody can sooth her anger and sorrow...
