context: One way or the other. response:	Okay!
context: Asteria?\Ah, there you are.\This Japanese carnival is not as spectacular as I had imagined.\Well, this is a high school arts festival.\Asteria, what are you doing here?\Well...\Lan!\I found you at last! response:	Sachi?
context: Ah, there you are.\This Japanese carnival is not as spectacular as I had imagined.\Well, this is a high school arts festival.\Asteria, what are you doing here?\Well...\Lan!\I found you at last!\Sachi? response:	Our club is in trouble! Please help us!
context: This Japanese carnival is not as spectacular as I had imagined.\Well, this is a high school arts festival.\Asteria, what are you doing here?\Well...\Lan!\I found you at last!\Sachi?\Our club is in trouble! Please help us! response:	Huh? But...
context: Well, this is a high school arts festival.\Asteria, what are you doing here?\Well...\Lan!\I found you at last!\Sachi?\Our club is in trouble! Please help us!\Huh? But... response:	Go, Lan.
context: Asteria, what are you doing here?\Well...\Lan!\I found you at last!\Sachi?\Our club is in trouble! Please help us!\Huh? But...\Go, Lan. response:	This is a way for the Sweats Club to enjoy the Oraga Festival!
context: Well...\Lan!\I found you at last!\Sachi?\Our club is in trouble! Please help us!\Huh? But...\Go, Lan.\This is a way for the Sweats Club to enjoy the Oraga Festival! response:	Okay.
context: Lan!\I found you at last!\Sachi?\Our club is in trouble! Please help us!\Huh? But...\Go, Lan.\This is a way for the Sweats Club to enjoy the Oraga Festival!\Okay. response:	Thanks, Madoka. We owe you one!
context: I found you at last!\Sachi?\Our club is in trouble! Please help us!\Huh? But...\Go, Lan.\This is a way for the Sweats Club to enjoy the Oraga Festival!\Okay.\Thanks, Madoka. We owe you one! response:	Wow, I didn't know Lan and Sachi were such good friends.
context: Sachi?\Our club is in trouble! Please help us!\Huh? But...\Go, Lan.\This is a way for the Sweats Club to enjoy the Oraga Festival!\Okay.\Thanks, Madoka. We owe you one!\Wow, I didn't know Lan and Sachi were such good friends. response:	They are. You didn't know?
context: Our club is in trouble! Please help us!\Huh? But...\Go, Lan.\This is a way for the Sweats Club to enjoy the Oraga Festival!\Okay.\Thanks, Madoka. We owe you one!\Wow, I didn't know Lan and Sachi were such good friends.\They are. You didn't know? response:	Muginami!
context: Huh? But...\Go, Lan.\This is a way for the Sweats Club to enjoy the Oraga Festival!\Okay.\Thanks, Madoka. We owe you one!\Wow, I didn't know Lan and Sachi were such good friends.\They are. You didn't know?\Muginami! response:	Yes?
context: Go, Lan.\This is a way for the Sweats Club to enjoy the Oraga Festival!\Okay.\Thanks, Madoka. We owe you one!\Wow, I didn't know Lan and Sachi were such good friends.\They are. You didn't know?\Muginami!\Yes? response:	Oh Michi, what is it?
context: This is a way for the Sweats Club to enjoy the Oraga Festival!\Okay.\Thanks, Madoka. We owe you one!\Wow, I didn't know Lan and Sachi were such good friends.\They are. You didn't know?\Muginami!\Yes?\Oh Michi, what is it? response:	I'm sorry, but would you mind helping us?
context: Okay.\Thanks, Madoka. We owe you one!\Wow, I didn't know Lan and Sachi were such good friends.\They are. You didn't know?\Muginami!\Yes?\Oh Michi, what is it?\I'm sorry, but would you mind helping us? response:	We're shorthanded at the Astronomy Club's cafe.
context: Thanks, Madoka. We owe you one!\Wow, I didn't know Lan and Sachi were such good friends.\They are. You didn't know?\Muginami!\Yes?\Oh Michi, what is it?\I'm sorry, but would you mind helping us?\We're shorthanded at the Astronomy Club's cafe. response:	They need you, Muginami.
context: Wow, I didn't know Lan and Sachi were such good friends.\They are. You didn't know?\Muginami!\Yes?\Oh Michi, what is it?\I'm sorry, but would you mind helping us?\We're shorthanded at the Astronomy Club's cafe.\They need you, Muginami. response:	Go and help them.
context: They are. You didn't know?\Muginami!\Yes?\Oh Michi, what is it?\I'm sorry, but would you mind helping us?\We're shorthanded at the Astronomy Club's cafe.\They need you, Muginami.\Go and help them. response:	Roger that!
context: Muginami!\Yes?\Oh Michi, what is it?\I'm sorry, but would you mind helping us?\We're shorthanded at the Astronomy Club's cafe.\They need you, Muginami.\Go and help them.\Roger that! response:	Let's go!
context: Yes?\Oh Michi, what is it?\I'm sorry, but would you mind helping us?\We're shorthanded at the Astronomy Club's cafe.\They need you, Muginami.\Go and help them.\Roger that!\Let's go! response:	Thanks, Muginami!
context: Oh Michi, what is it?\I'm sorry, but would you mind helping us?\We're shorthanded at the Astronomy Club's cafe.\They need you, Muginami.\Go and help them.\Roger that!\Let's go!\Thanks, Muginami! response:	Well...
context: I'm sorry, but would you mind helping us?\We're shorthanded at the Astronomy Club's cafe.\They need you, Muginami.\Go and help them.\Roger that!\Let's go!\Thanks, Muginami!\Well... response:	What should we do?
context: We're shorthanded at the Astronomy Club's cafe.\They need you, Muginami.\Go and help them.\Roger that!\Let's go!\Thanks, Muginami!\Well...\What should we do? response:	What is that?
context: They need you, Muginami.\Go and help them.\Roger that!\Let's go!\Thanks, Muginami!\Well...\What should we do?\What is that? response:	It smells good.
context: Go and help them.\Roger that!\Let's go!\Thanks, Muginami!\Well...\What should we do?\What is that?\It smells good. response:	Ah,
context: Roger that!\Let's go!\Thanks, Muginami!\Well...\What should we do?\What is that?\It smells good.\Ah, response:	these are grilled eels.
context: Let's go!\Thanks, Muginami!\Well...\What should we do?\What is that?\It smells good.\Ah,\these are grilled eels. response:	Eels... Did you say eels?!
context: Thanks, Muginami!\Well...\What should we do?\What is that?\It smells good.\Ah,\these are grilled eels.\Eels... Did you say eels?! response:	They're swimming around in there.
context: Well...\What should we do?\What is that?\It smells good.\Ah,\these are grilled eels.\Eels... Did you say eels?!\They're swimming around in there. response:	Th-This is...!
context: What should we do?\What is that?\It smells good.\Ah,\these are grilled eels.\Eels... Did you say eels?!\They're swimming around in there.\Th-This is...! response:	You actually eat those things?
context: What is that?\It smells good.\Ah,\these are grilled eels.\Eels... Did you say eels?!\They're swimming around in there.\Th-This is...!\You actually eat those things? response:	It's so black and thin and long... slimy...
context: It smells good.\Ah,\these are grilled eels.\Eels... Did you say eels?!\They're swimming around in there.\Th-This is...!\You actually eat those things?\It's so black and thin and long... slimy... response:	What is this? It's unforgivable!
context: Ah,\these are grilled eels.\Eels... Did you say eels?!\They're swimming around in there.\Th-This is...!\You actually eat those things?\It's so black and thin and long... slimy...\What is this? It's unforgivable! response:	How can eel taste so good?
context: these are grilled eels.\Eels... Did you say eels?!\They're swimming around in there.\Th-This is...!\You actually eat those things?\It's so black and thin and long... slimy...\What is this? It's unforgivable!\How can eel taste so good? response:	Why was I never informed?!
context: Eels... Did you say eels?!\They're swimming around in there.\Th-This is...!\You actually eat those things?\It's so black and thin and long... slimy...\What is this? It's unforgivable!\How can eel taste so good?\Why was I never informed?! response:	I think you should decide either to be upset or to eat.
context: They're swimming around in there.\Th-This is...!\You actually eat those things?\It's so black and thin and long... slimy...\What is this? It's unforgivable!\How can eel taste so good?\Why was I never informed?!\I think you should decide either to be upset or to eat. response:	Kyono Madoka!
context: Th-This is...!\You actually eat those things?\It's so black and thin and long... slimy...\What is this? It's unforgivable!\How can eel taste so good?\Why was I never informed?!\I think you should decide either to be upset or to eat.\Kyono Madoka! response:	Y-Yes!
context: You actually eat those things?\It's so black and thin and long... slimy...\What is this? It's unforgivable!\How can eel taste so good?\Why was I never informed?!\I think you should decide either to be upset or to eat.\Kyono Madoka!\Y-Yes! response:	Bring me all the cuisine that is being served at this carnival!
context: It's so black and thin and long... slimy...\What is this? It's unforgivable!\How can eel taste so good?\Why was I never informed?!\I think you should decide either to be upset or to eat.\Kyono Madoka!\Y-Yes!\Bring me all the cuisine that is being served at this carnival! response:	What?!
context: What is this? It's unforgivable!\How can eel taste so good?\Why was I never informed?!\I think you should decide either to be upset or to eat.\Kyono Madoka!\Y-Yes!\Bring me all the cuisine that is being served at this carnival!\What?! response:	I swear, why is it that the unhealthier the food looks, the better it tastes?
context: How can eel taste so good?\Why was I never informed?!\I think you should decide either to be upset or to eat.\Kyono Madoka!\Y-Yes!\Bring me all the cuisine that is being served at this carnival!\What?!\I swear, why is it that the unhealthier the food looks, the better it tastes? response:	You're being overdramatic.
context: Why was I never informed?!\I think you should decide either to be upset or to eat.\Kyono Madoka!\Y-Yes!\Bring me all the cuisine that is being served at this carnival!\What?!\I swear, why is it that the unhealthier the food looks, the better it tastes?\You're being overdramatic. response:	Listen carefully, Madoka.
context: I think you should decide either to be upset or to eat.\Kyono Madoka!\Y-Yes!\Bring me all the cuisine that is being served at this carnival!\What?!\I swear, why is it that the unhealthier the food looks, the better it tastes?\You're being overdramatic.\Listen carefully, Madoka. response:	The human body is made up of what you eat.
context: Kyono Madoka!\Y-Yes!\Bring me all the cuisine that is being served at this carnival!\What?!\I swear, why is it that the unhealthier the food looks, the better it tastes?\You're being overdramatic.\Listen carefully, Madoka.\The human body is made up of what you eat. response:	And our hearts and minds cannot work if we don't have a body.
context: Y-Yes!\Bring me all the cuisine that is being served at this carnival!\What?!\I swear, why is it that the unhealthier the food looks, the better it tastes?\You're being overdramatic.\Listen carefully, Madoka.\The human body is made up of what you eat.\And our hearts and minds cannot work if we don't have a body. response:	Okay...?
context: Bring me all the cuisine that is being served at this carnival!\What?!\I swear, why is it that the unhealthier the food looks, the better it tastes?\You're being overdramatic.\Listen carefully, Madoka.\The human body is made up of what you eat.\And our hearts and minds cannot work if we don't have a body.\Okay...? response:	To eat is to live.
context: What?!\I swear, why is it that the unhealthier the food looks, the better it tastes?\You're being overdramatic.\Listen carefully, Madoka.\The human body is made up of what you eat.\And our hearts and minds cannot work if we don't have a body.\Okay...?\To eat is to live. response:	We are connected to the universe by the food we eat,
context: I swear, why is it that the unhealthier the food looks, the better it tastes?\You're being overdramatic.\Listen carefully, Madoka.\The human body is made up of what you eat.\And our hearts and minds cannot work if we don't have a body.\Okay...?\To eat is to live.\We are connected to the universe by the food we eat, response:	the water we drink, and the air we breathe.
context: You're being overdramatic.\Listen carefully, Madoka.\The human body is made up of what you eat.\And our hearts and minds cannot work if we don't have a body.\Okay...?\To eat is to live.\We are connected to the universe by the food we eat,\the water we drink, and the air we breathe. response:	To put something into our mouths means to take the universe into our bodies.
context: Listen carefully, Madoka.\The human body is made up of what you eat.\And our hearts and minds cannot work if we don't have a body.\Okay...?\To eat is to live.\We are connected to the universe by the food we eat,\the water we drink, and the air we breathe.\To put something into our mouths means to take the universe into our bodies. response:	Huh?!
context: The human body is made up of what you eat.\And our hearts and minds cannot work if we don't have a body.\Okay...?\To eat is to live.\We are connected to the universe by the food we eat,\the water we drink, and the air we breathe.\To put something into our mouths means to take the universe into our bodies.\Huh?! response:	Let's go.
context: And our hearts and minds cannot work if we don't have a body.\Okay...?\To eat is to live.\We are connected to the universe by the food we eat,\the water we drink, and the air we breathe.\To put something into our mouths means to take the universe into our bodies.\Huh?!\Let's go. response:	Uh... What? Umm...
context: Okay...?\To eat is to live.\We are connected to the universe by the food we eat,\the water we drink, and the air we breathe.\To put something into our mouths means to take the universe into our bodies.\Huh?!\Let's go.\Uh... What? Umm... response:	Thank you for waiting.
context: To eat is to live.\We are connected to the universe by the food we eat,\the water we drink, and the air we breathe.\To put something into our mouths means to take the universe into our bodies.\Huh?!\Let's go.\Uh... What? Umm...\Thank you for waiting. response:	Our planetarium show is about to start!
context: We are connected to the universe by the food we eat,\the water we drink, and the air we breathe.\To put something into our mouths means to take the universe into our bodies.\Huh?!\Let's go.\Uh... What? Umm...\Thank you for waiting.\Our planetarium show is about to start! response:	The room will darken, so please hang on to your belongings and watch your step.
context: the water we drink, and the air we breathe.\To put something into our mouths means to take the universe into our bodies.\Huh?!\Let's go.\Uh... What? Umm...\Thank you for waiting.\Our planetarium show is about to start!\The room will darken, so please hang on to your belongings and watch your step. response:	Wow!
context: To put something into our mouths means to take the universe into our bodies.\Huh?!\Let's go.\Uh... What? Umm...\Thank you for waiting.\Our planetarium show is about to start!\The room will darken, so please hang on to your belongings and watch your step.\Wow! response:	Wow!
context: Huh?!\Let's go.\Uh... What? Umm...\Thank you for waiting.\Our planetarium show is about to start!\The room will darken, so please hang on to your belongings and watch your step.\Wow!\Wow! response:	It's amazing...
context: Let's go.\Uh... What? Umm...\Thank you for waiting.\Our planetarium show is about to start!\The room will darken, so please hang on to your belongings and watch your step.\Wow!\Wow!\It's amazing... response:	So pretty...
context: Uh... What? Umm...\Thank you for waiting.\Our planetarium show is about to start!\The room will darken, so please hang on to your belongings and watch your step.\Wow!\Wow!\It's amazing...\So pretty... response:	You were a huge help, Muginami.
context: Thank you for waiting.\Our planetarium show is about to start!\The room will darken, so please hang on to your belongings and watch your step.\Wow!\Wow!\It's amazing...\So pretty...\You were a huge help, Muginami. response:	Thank you!
context: Our planetarium show is about to start!\The room will darken, so please hang on to your belongings and watch your step.\Wow!\Wow!\It's amazing...\So pretty...\You were a huge help, Muginami.\Thank you! response:	Yes, coming right away!
context: The room will darken, so please hang on to your belongings and watch your step.\Wow!\Wow!\It's amazing...\So pretty...\You were a huge help, Muginami.\Thank you!\Yes, coming right away! response:	Yes, please wait just a moment!
context: Wow!\Wow!\It's amazing...\So pretty...\You were a huge help, Muginami.\Thank you!\Yes, coming right away!\Yes, please wait just a moment! response:	I know quite a bit about stars.
context: Wow!\It's amazing...\So pretty...\You were a huge help, Muginami.\Thank you!\Yes, coming right away!\Yes, please wait just a moment!\I know quite a bit about stars. response:	Really?
context: It's amazing...\So pretty...\You were a huge help, Muginami.\Thank you!\Yes, coming right away!\Yes, please wait just a moment!\I know quite a bit about stars.\Really? response:	Yeah!
context: So pretty...\You were a huge help, Muginami.\Thank you!\Yes, coming right away!\Yes, please wait just a moment!\I know quite a bit about stars.\Really?\Yeah! response:	Then why don't you join the Astronomy Club, Muginami?
context: You were a huge help, Muginami.\Thank you!\Yes, coming right away!\Yes, please wait just a moment!\I know quite a bit about stars.\Really?\Yeah!\Then why don't you join the Astronomy Club, Muginami? response:	But I'm an alien.
context: Thank you!\Yes, coming right away!\Yes, please wait just a moment!\I know quite a bit about stars.\Really?\Yeah!\Then why don't you join the Astronomy Club, Muginami?\But I'm an alien. response:	We're going to do the Planetarium Cafe again next year.
context: Yes, coming right away!\Yes, please wait just a moment!\I know quite a bit about stars.\Really?\Yeah!\Then why don't you join the Astronomy Club, Muginami?\But I'm an alien.\We're going to do the Planetarium Cafe again next year. response:	So please join!
context: Yes, please wait just a moment!\I know quite a bit about stars.\Really?\Yeah!\Then why don't you join the Astronomy Club, Muginami?\But I'm an alien.\We're going to do the Planetarium Cafe again next year.\So please join! response:	I don't know...
context: I know quite a bit about stars.\Really?\Yeah!\Then why don't you join the Astronomy Club, Muginami?\But I'm an alien.\We're going to do the Planetarium Cafe again next year.\So please join!\I don't know... response:	Aren't you going in?
context: Really?\Yeah!\Then why don't you join the Astronomy Club, Muginami?\But I'm an alien.\We're going to do the Planetarium Cafe again next year.\So please join!\I don't know...\Aren't you going in? response:	They seem busy.
context: Yeah!\Then why don't you join the Astronomy Club, Muginami?\But I'm an alien.\We're going to do the Planetarium Cafe again next year.\So please join!\I don't know...\Aren't you going in?\They seem busy. response:	I'll try later.
context: Then why don't you join the Astronomy Club, Muginami?\But I'm an alien.\We're going to do the Planetarium Cafe again next year.\So please join!\I don't know...\Aren't you going in?\They seem busy.\I'll try later. response:	Even though we used the ultimate weapon,
context: But I'm an alien.\We're going to do the Planetarium Cafe again next year.\So please join!\I don't know...\Aren't you going in?\They seem busy.\I'll try later.\Even though we used the ultimate weapon, response:	we were forsaken by heaven...
context: We're going to do the Planetarium Cafe again next year.\So please join!\I don't know...\Aren't you going in?\They seem busy.\I'll try later.\Even though we used the ultimate weapon,\we were forsaken by heaven... response:	Ultimate weapon?
context: So please join!\I don't know...\Aren't you going in?\They seem busy.\I'll try later.\Even though we used the ultimate weapon,\we were forsaken by heaven...\Ultimate weapon? response:	Is that me?
context: I don't know...\Aren't you going in?\They seem busy.\I'll try later.\Even though we used the ultimate weapon,\we were forsaken by heaven...\Ultimate weapon?\Is that me? response:	That's right!
context: Aren't you going in?\They seem busy.\I'll try later.\Even though we used the ultimate weapon,\we were forsaken by heaven...\Ultimate weapon?\Is that me?\That's right! response:	You may not have noticed, but you're quite popular, Lan.
context: They seem busy.\I'll try later.\Even though we used the ultimate weapon,\we were forsaken by heaven...\Ultimate weapon?\Is that me?\That's right!\You may not have noticed, but you're quite popular, Lan. response:	Popular?
context: I'll try later.\Even though we used the ultimate weapon,\we were forsaken by heaven...\Ultimate weapon?\Is that me?\That's right!\You may not have noticed, but you're quite popular, Lan.\Popular? response:	I was so sure that if you wore a wetsuit, we'd have a flood of customers.
context: Even though we used the ultimate weapon,\we were forsaken by heaven...\Ultimate weapon?\Is that me?\That's right!\You may not have noticed, but you're quite popular, Lan.\Popular?\I was so sure that if you wore a wetsuit, we'd have a flood of customers. response:	I was too optimistic.
context: we were forsaken by heaven...\Ultimate weapon?\Is that me?\That's right!\You may not have noticed, but you're quite popular, Lan.\Popular?\I was so sure that if you wore a wetsuit, we'd have a flood of customers.\I was too optimistic. response:	I can't attract customers when I can't even swim.
context: Ultimate weapon?\Is that me?\That's right!\You may not have noticed, but you're quite popular, Lan.\Popular?\I was so sure that if you wore a wetsuit, we'd have a flood of customers.\I was too optimistic.\I can't attract customers when I can't even swim. response:	What? You were worried about that?
context: Is that me?\That's right!\You may not have noticed, but you're quite popular, Lan.\Popular?\I was so sure that if you wore a wetsuit, we'd have a flood of customers.\I was too optimistic.\I can't attract customers when I can't even swim.\What? You were worried about that? response:	Then I'll teach you how to swim next time.
context: That's right!\You may not have noticed, but you're quite popular, Lan.\Popular?\I was so sure that if you wore a wetsuit, we'd have a flood of customers.\I was too optimistic.\I can't attract customers when I can't even swim.\What? You were worried about that?\Then I'll teach you how to swim next time. response:	Really?
context: You may not have noticed, but you're quite popular, Lan.\Popular?\I was so sure that if you wore a wetsuit, we'd have a flood of customers.\I was too optimistic.\I can't attract customers when I can't even swim.\What? You were worried about that?\Then I'll teach you how to swim next time.\Really? response:	Yeah.
context: Popular?\I was so sure that if you wore a wetsuit, we'd have a flood of customers.\I was too optimistic.\I can't attract customers when I can't even swim.\What? You were worried about that?\Then I'll teach you how to swim next time.\Really?\Yeah. response:	In appreciation for helping me!
context: I was so sure that if you wore a wetsuit, we'd have a flood of customers.\I was too optimistic.\I can't attract customers when I can't even swim.\What? You were worried about that?\Then I'll teach you how to swim next time.\Really?\Yeah.\In appreciation for helping me! response:	Madoka?
context: I was too optimistic.\I can't attract customers when I can't even swim.\What? You were worried about that?\Then I'll teach you how to swim next time.\Really?\Yeah.\In appreciation for helping me!\Madoka? response:	Kyono Madoka?
context: I can't attract customers when I can't even swim.\What? You were worried about that?\Then I'll teach you how to swim next time.\Really?\Yeah.\In appreciation for helping me!\Madoka?\Kyono Madoka? response:	Oh no!
context: What? You were worried about that?\Then I'll teach you how to swim next time.\Really?\Yeah.\In appreciation for helping me!\Madoka?\Kyono Madoka?\Oh no! response:	What's on your mind?
context: Then I'll teach you how to swim next time.\Really?\Yeah.\In appreciation for helping me!\Madoka?\Kyono Madoka?\Oh no!\What's on your mind? response:	Huh?
context: Really?\Yeah.\In appreciation for helping me!\Madoka?\Kyono Madoka?\Oh no!\What's on your mind?\Huh? response:	I should be happy seeing Lan and Muginami
context: Yeah.\In appreciation for helping me!\Madoka?\Kyono Madoka?\Oh no!\What's on your mind?\Huh?\I should be happy seeing Lan and Muginami response:	making new friends and having fun.
context: In appreciation for helping me!\Madoka?\Kyono Madoka?\Oh no!\What's on your mind?\Huh?\I should be happy seeing Lan and Muginami\making new friends and having fun. response:	But instead, I'm feeling a bit depressed.
context: Madoka?\Kyono Madoka?\Oh no!\What's on your mind?\Huh?\I should be happy seeing Lan and Muginami\making new friends and having fun.\But instead, I'm feeling a bit depressed. response:	And I was all by myself at last year's arts festival,
context: Kyono Madoka?\Oh no!\What's on your mind?\Huh?\I should be happy seeing Lan and Muginami\making new friends and having fun.\But instead, I'm feeling a bit depressed.\And I was all by myself at last year's arts festival, response:	so I'm not sure why.
context: Oh no!\What's on your mind?\Huh?\I should be happy seeing Lan and Muginami\making new friends and having fun.\But instead, I'm feeling a bit depressed.\And I was all by myself at last year's arts festival,\so I'm not sure why. response:	I see. Understood.
context: What's on your mind?\Huh?\I should be happy seeing Lan and Muginami\making new friends and having fun.\But instead, I'm feeling a bit depressed.\And I was all by myself at last year's arts festival,\so I'm not sure why.\I see. Understood. response:	That was Tadokoro.
context: Huh?\I should be happy seeing Lan and Muginami\making new friends and having fun.\But instead, I'm feeling a bit depressed.\And I was all by myself at last year's arts festival,\so I'm not sure why.\I see. Understood.\That was Tadokoro. response:	A large number of artificial objects have been spotted
context: I should be happy seeing Lan and Muginami\making new friends and having fun.\But instead, I'm feeling a bit depressed.\And I was all by myself at last year's arts festival,\so I'm not sure why.\I see. Understood.\That was Tadokoro.\A large number of artificial objects have been spotted response:	approaching Earth at a high speed.
context: making new friends and having fun.\But instead, I'm feeling a bit depressed.\And I was all by myself at last year's arts festival,\so I'm not sure why.\I see. Understood.\That was Tadokoro.\A large number of artificial objects have been spotted\approaching Earth at a high speed. response:	Pharos is...
context: But instead, I'm feeling a bit depressed.\And I was all by myself at last year's arts festival,\so I'm not sure why.\I see. Understood.\That was Tadokoro.\A large number of artificial objects have been spotted\approaching Earth at a high speed.\Pharos is... response:	It's moving into battle position
context: And I was all by myself at last year's arts festival,\so I'm not sure why.\I see. Understood.\That was Tadokoro.\A large number of artificial objects have been spotted\approaching Earth at a high speed.\Pharos is...\It's moving into battle position response:	to keep this town out of harm's way.
context: so I'm not sure why.\I see. Understood.\That was Tadokoro.\A large number of artificial objects have been spotted\approaching Earth at a high speed.\Pharos is...\It's moving into battle position\to keep this town out of harm's way. response:	I have to go!
context: I see. Understood.\That was Tadokoro.\A large number of artificial objects have been spotted\approaching Earth at a high speed.\Pharos is...\It's moving into battle position\to keep this town out of harm's way.\I have to go! response:	To do what?
context: That was Tadokoro.\A large number of artificial objects have been spotted\approaching Earth at a high speed.\Pharos is...\It's moving into battle position\to keep this town out of harm's way.\I have to go!\To do what? response:	With Midori, I can...!
context: A large number of artificial objects have been spotted\approaching Earth at a high speed.\Pharos is...\It's moving into battle position\to keep this town out of harm's way.\I have to go!\To do what?\With Midori, I can...! response:	There is nothing you can do.
context: approaching Earth at a high speed.\Pharos is...\It's moving into battle position\to keep this town out of harm's way.\I have to go!\To do what?\With Midori, I can...!\There is nothing you can do. response:	But Lan and Muginami are...
context: Pharos is...\It's moving into battle position\to keep this town out of harm's way.\I have to go!\To do what?\With Midori, I can...!\There is nothing you can do.\But Lan and Muginami are... response:	Those two are already on their way to Pharos.
context: It's moving into battle position\to keep this town out of harm's way.\I have to go!\To do what?\With Midori, I can...!\There is nothing you can do.\But Lan and Muginami are...\Those two are already on their way to Pharos. response:	That's...
context: to keep this town out of harm's way.\I have to go!\To do what?\With Midori, I can...!\There is nothing you can do.\But Lan and Muginami are...\Those two are already on their way to Pharos.\That's... response:	Tadokoro ordered them to keep the assault a secret from you.
context: I have to go!\To do what?\With Midori, I can...!\There is nothing you can do.\But Lan and Muginami are...\Those two are already on their way to Pharos.\That's...\Tadokoro ordered them to keep the assault a secret from you. response:	What?
context: To do what?\With Midori, I can...!\There is nothing you can do.\But Lan and Muginami are...\Those two are already on their way to Pharos.\That's...\Tadokoro ordered them to keep the assault a secret from you.\What? response:	He acted under my orders.
context: With Midori, I can...!\There is nothing you can do.\But Lan and Muginami are...\Those two are already on their way to Pharos.\That's...\Tadokoro ordered them to keep the assault a secret from you.\What?\He acted under my orders. response:	No!
context: There is nothing you can do.\But Lan and Muginami are...\Those two are already on their way to Pharos.\That's...\Tadokoro ordered them to keep the assault a secret from you.\What?\He acted under my orders.\No! response:	That's a lie!
context: But Lan and Muginami are...\Those two are already on their way to Pharos.\That's...\Tadokoro ordered them to keep the assault a secret from you.\What?\He acted under my orders.\No!\That's a lie! response:	We'll be off Lan Muginami
context: Those two are already on their way to Pharos.\That's...\Tadokoro ordered them to keep the assault a secret from you.\What?\He acted under my orders.\No!\That's a lie!\We'll be off Lan Muginami response:	We'll be off Lan Muginami
context: That's...\Tadokoro ordered them to keep the assault a secret from you.\What?\He acted under my orders.\No!\That's a lie!\We'll be off Lan Muginami\We'll be off Lan Muginami response:	We'll be off Lan Muginami
context: Tadokoro ordered them to keep the assault a secret from you.\What?\He acted under my orders.\No!\That's a lie!\We'll be off Lan Muginami\We'll be off Lan Muginami\We'll be off Lan Muginami response:	We'll be off Lan Muginami
context: What?\He acted under my orders.\No!\That's a lie!\We'll be off Lan Muginami\We'll be off Lan Muginami\We'll be off Lan Muginami\We'll be off Lan Muginami response:	Up until now,
context: He acted under my orders.\No!\That's a lie!\We'll be off Lan Muginami\We'll be off Lan Muginami\We'll be off Lan Muginami\We'll be off Lan Muginami\Up until now, response:	you've run the Sweats Club all by yourself.
context: No!\That's a lie!\We'll be off Lan Muginami\We'll be off Lan Muginami\We'll be off Lan Muginami\We'll be off Lan Muginami\Up until now,\you've run the Sweats Club all by yourself. response:	But now you have Lan and Muginami.
context: That's a lie!\We'll be off Lan Muginami\We'll be off Lan Muginami\We'll be off Lan Muginami\We'll be off Lan Muginami\Up until now,\you've run the Sweats Club all by yourself.\But now you have Lan and Muginami. response:	That's why you got upset.
context: We'll be off Lan Muginami\We'll be off Lan Muginami\We'll be off Lan Muginami\We'll be off Lan Muginami\Up until now,\you've run the Sweats Club all by yourself.\But now you have Lan and Muginami.\That's why you got upset. response:	You learned that they had spent some time on their own
context: We'll be off Lan Muginami\We'll be off Lan Muginami\We'll be off Lan Muginami\Up until now,\you've run the Sweats Club all by yourself.\But now you have Lan and Muginami.\That's why you got upset.\You learned that they had spent some time on their own response:	and could experience joy without you.
context: We'll be off Lan Muginami\We'll be off Lan Muginami\Up until now,\you've run the Sweats Club all by yourself.\But now you have Lan and Muginami.\That's why you got upset.\You learned that they had spent some time on their own\and could experience joy without you. response:	You're remembering the fear of losing someone.
context: We'll be off Lan Muginami\Up until now,\you've run the Sweats Club all by yourself.\But now you have Lan and Muginami.\That's why you got upset.\You learned that they had spent some time on their own\and could experience joy without you.\You're remembering the fear of losing someone. response:	Do you think Madoka is mad at us?
context: Up until now,\you've run the Sweats Club all by yourself.\But now you have Lan and Muginami.\That's why you got upset.\You learned that they had spent some time on their own\and could experience joy without you.\You're remembering the fear of losing someone.\Do you think Madoka is mad at us? response:	This was the only way to protect her.
context: you've run the Sweats Club all by yourself.\But now you have Lan and Muginami.\That's why you got upset.\You learned that they had spent some time on their own\and could experience joy without you.\You're remembering the fear of losing someone.\Do you think Madoka is mad at us?\This was the only way to protect her. response:	I guess we can't have Aura act up like the last time.
context: But now you have Lan and Muginami.\That's why you got upset.\You learned that they had spent some time on their own\and could experience joy without you.\You're remembering the fear of losing someone.\Do you think Madoka is mad at us?\This was the only way to protect her.\I guess we can't have Aura act up like the last time. response:	We made our choice.
context: That's why you got upset.\You learned that they had spent some time on their own\and could experience joy without you.\You're remembering the fear of losing someone.\Do you think Madoka is mad at us?\This was the only way to protect her.\I guess we can't have Aura act up like the last time.\We made our choice. response:	To protect Madoka along with this town.
context: You learned that they had spent some time on their own\and could experience joy without you.\You're remembering the fear of losing someone.\Do you think Madoka is mad at us?\This was the only way to protect her.\I guess we can't have Aura act up like the last time.\We made our choice.\To protect Madoka along with this town. response:	Do you mean, protect Kamogawa together with Madoka?
context: and could experience joy without you.\You're remembering the fear of losing someone.\Do you think Madoka is mad at us?\This was the only way to protect her.\I guess we can't have Aura act up like the last time.\We made our choice.\To protect Madoka along with this town.\Do you mean, protect Kamogawa together with Madoka? response:	Or protect both Madoka and this town?
context: You're remembering the fear of losing someone.\Do you think Madoka is mad at us?\This was the only way to protect her.\I guess we can't have Aura act up like the last time.\We made our choice.\To protect Madoka along with this town.\Do you mean, protect Kamogawa together with Madoka?\Or protect both Madoka and this town? response:	Both.
