context: Deal with it. response:	Find him, and bring him here.
context: I wonder what the trouble is that that tattooed kid was talking about.\This is bad. If I don't cut loose soon, I'm gonna bust.\Hey, stop that! Your hand is gonna burn up!\No problem!\See?\Oh, that's amazing, Randy.\It'll be just the thing to entertain with at the party tonight.\I'm sure Firo will be delighted, too. response:	Hey... Pecho, what are you doing?
context: This is bad. If I don't cut loose soon, I'm gonna bust.\Hey, stop that! Your hand is gonna burn up!\No problem!\See?\Oh, that's amazing, Randy.\It'll be just the thing to entertain with at the party tonight.\I'm sure Firo will be delighted, too.\Hey... Pecho, what are you doing? response:	I'm doing it, too.
context: Hey, stop that! Your hand is gonna burn up!\No problem!\See?\Oh, that's amazing, Randy.\It'll be just the thing to entertain with at the party tonight.\I'm sure Firo will be delighted, too.\Hey... Pecho, what are you doing?\I'm doing it, too. response:	Hey, wait! Your gloves are...
context: No problem!\See?\Oh, that's amazing, Randy.\It'll be just the thing to entertain with at the party tonight.\I'm sure Firo will be delighted, too.\Hey... Pecho, what are you doing?\I'm doing it, too.\Hey, wait! Your gloves are... response:	Hey! It's not going out!
context: See?\Oh, that's amazing, Randy.\It'll be just the thing to entertain with at the party tonight.\I'm sure Firo will be delighted, too.\Hey... Pecho, what are you doing?\I'm doing it, too.\Hey, wait! Your gloves are...\Hey! It's not going out! response:	It's gotta be done with leather!
context: Oh, that's amazing, Randy.\It'll be just the thing to entertain with at the party tonight.\I'm sure Firo will be delighted, too.\Hey... Pecho, what are you doing?\I'm doing it, too.\Hey, wait! Your gloves are...\Hey! It's not going out!\It's gotta be done with leather! response:	Now calm down! Take your glove off, right now!
context: It'll be just the thing to entertain with at the party tonight.\I'm sure Firo will be delighted, too.\Hey... Pecho, what are you doing?\I'm doing it, too.\Hey, wait! Your gloves are...\Hey! It's not going out!\It's gotta be done with leather!\Now calm down! Take your glove off, right now! response:	It's hot! It's hot!
context: I'm sure Firo will be delighted, too.\Hey... Pecho, what are you doing?\I'm doing it, too.\Hey, wait! Your gloves are...\Hey! It's not going out!\It's gotta be done with leather!\Now calm down! Take your glove off, right now!\It's hot! It's hot! response:	You okay?
context: Hey... Pecho, what are you doing?\I'm doing it, too.\Hey, wait! Your gloves are...\Hey! It's not going out!\It's gotta be done with leather!\Now calm down! Take your glove off, right now!\It's hot! It's hot!\You okay? response:	I thought I was gonna die!
context: I'm doing it, too.\Hey, wait! Your gloves are...\Hey! It's not going out!\It's gotta be done with leather!\Now calm down! Take your glove off, right now!\It's hot! It's hot!\You okay?\I thought I was gonna die! response:	I'm not about to let myself get burned up over you.
context: Hey, wait! Your gloves are...\Hey! It's not going out!\It's gotta be done with leather!\Now calm down! Take your glove off, right now!\It's hot! It's hot!\You okay?\I thought I was gonna die!\I'm not about to let myself get burned up over you. response:	I'm so embarrassed...
context: Hey! It's not going out!\It's gotta be done with leather!\Now calm down! Take your glove off, right now!\It's hot! It's hot!\You okay?\I thought I was gonna die!\I'm not about to let myself get burned up over you.\I'm so embarrassed... response:	Quates- sama! It's finally perfected!
context: It's gotta be done with leather!\Now calm down! Take your glove off, right now!\It's hot! It's hot!\You okay?\I thought I was gonna die!\I'm not about to let myself get burned up over you.\I'm so embarrassed...\Quates- sama! It's finally perfected! response:	Damn! Why now, of all times?!
context: Now calm down! Take your glove off, right now!\It's hot! It's hot!\You okay?\I thought I was gonna die!\I'm not about to let myself get burned up over you.\I'm so embarrassed...\Quates- sama! It's finally perfected!\Damn! Why now, of all times?! response:	Miss, here it is. The information broker where my kid friend is.
context: It's hot! It's hot!\You okay?\I thought I was gonna die!\I'm not about to let myself get burned up over you.\I'm so embarrassed...\Quates- sama! It's finally perfected!\Damn! Why now, of all times?!\Miss, here it is. The information broker where my kid friend is. response:	Oh, but this is a newspaper, isn't it?
context: You okay?\I thought I was gonna die!\I'm not about to let myself get burned up over you.\I'm so embarrassed...\Quates- sama! It's finally perfected!\Damn! Why now, of all times?!\Miss, here it is. The information broker where my kid friend is.\Oh, but this is a newspaper, isn't it? response:	Hmm, we may be able to place a degree of faith in this place.
context: I thought I was gonna die!\I'm not about to let myself get burned up over you.\I'm so embarrassed...\Quates- sama! It's finally perfected!\Damn! Why now, of all times?!\Miss, here it is. The information broker where my kid friend is.\Oh, but this is a newspaper, isn't it?\Hmm, we may be able to place a degree of faith in this place. response:	You ask'em'bout Master Dallas, or anythin' else, and they'll know it.
context: I'm not about to let myself get burned up over you.\I'm so embarrassed...\Quates- sama! It's finally perfected!\Damn! Why now, of all times?!\Miss, here it is. The information broker where my kid friend is.\Oh, but this is a newspaper, isn't it?\Hmm, we may be able to place a degree of faith in this place.\You ask'em'bout Master Dallas, or anythin' else, and they'll know it. response:	Thanks for coming in!
context: I'm so embarrassed...\Quates- sama! It's finally perfected!\Damn! Why now, of all times?!\Miss, here it is. The information broker where my kid friend is.\Oh, but this is a newspaper, isn't it?\Hmm, we may be able to place a degree of faith in this place.\You ask'em'bout Master Dallas, or anythin' else, and they'll know it.\Thanks for coming in! response:	Amazing!
context: Quates- sama! It's finally perfected!\Damn! Why now, of all times?!\Miss, here it is. The information broker where my kid friend is.\Oh, but this is a newspaper, isn't it?\Hmm, we may be able to place a degree of faith in this place.\You ask'em'bout Master Dallas, or anythin' else, and they'll know it.\Thanks for coming in!\Amazing! response:	Isn't this amazing, Maiza- san?
context: Damn! Why now, of all times?!\Miss, here it is. The information broker where my kid friend is.\Oh, but this is a newspaper, isn't it?\Hmm, we may be able to place a degree of faith in this place.\You ask'em'bout Master Dallas, or anythin' else, and they'll know it.\Thanks for coming in!\Amazing!\Isn't this amazing, Maiza- san? response:	The Martillo Family capos have been choosing their hats here for generations.
context: Miss, here it is. The information broker where my kid friend is.\Oh, but this is a newspaper, isn't it?\Hmm, we may be able to place a degree of faith in this place.\You ask'em'bout Master Dallas, or anythin' else, and they'll know it.\Thanks for coming in!\Amazing!\Isn't this amazing, Maiza- san?\The Martillo Family capos have been choosing their hats here for generations. response:	I bought mine here, too.
context: Oh, but this is a newspaper, isn't it?\Hmm, we may be able to place a degree of faith in this place.\You ask'em'bout Master Dallas, or anythin' else, and they'll know it.\Thanks for coming in!\Amazing!\Isn't this amazing, Maiza- san?\The Martillo Family capos have been choosing their hats here for generations.\I bought mine here, too. response:	A capo, huh? It still doesn't feel like it.
context: Hmm, we may be able to place a degree of faith in this place.\You ask'em'bout Master Dallas, or anythin' else, and they'll know it.\Thanks for coming in!\Amazing!\Isn't this amazing, Maiza- san?\The Martillo Family capos have been choosing their hats here for generations.\I bought mine here, too.\A capo, huh? It still doesn't feel like it. response:	You'll start feeling like it once you've become one.
context: You ask'em'bout Master Dallas, or anythin' else, and they'll know it.\Thanks for coming in!\Amazing!\Isn't this amazing, Maiza- san?\The Martillo Family capos have been choosing their hats here for generations.\I bought mine here, too.\A capo, huh? It still doesn't feel like it.\You'll start feeling like it once you've become one. response:	Are you sure it's okay for me to do this?
context: Thanks for coming in!\Amazing!\Isn't this amazing, Maiza- san?\The Martillo Family capos have been choosing their hats here for generations.\I bought mine here, too.\A capo, huh? It still doesn't feel like it.\You'll start feeling like it once you've become one.\Are you sure it's okay for me to do this? response:	It's okay because it is you, Firo.
context: Amazing!\Isn't this amazing, Maiza- san?\The Martillo Family capos have been choosing their hats here for generations.\I bought mine here, too.\A capo, huh? It still doesn't feel like it.\You'll start feeling like it once you've become one.\Are you sure it's okay for me to do this?\It's okay because it is you, Firo. response:	I like this one, Maiza- san.
context: Isn't this amazing, Maiza- san?\The Martillo Family capos have been choosing their hats here for generations.\I bought mine here, too.\A capo, huh? It still doesn't feel like it.\You'll start feeling like it once you've become one.\Are you sure it's okay for me to do this?\It's okay because it is you, Firo.\I like this one, Maiza- san. response:	It's perfect for me.
context: The Martillo Family capos have been choosing their hats here for generations.\I bought mine here, too.\A capo, huh? It still doesn't feel like it.\You'll start feeling like it once you've become one.\Are you sure it's okay for me to do this?\It's okay because it is you, Firo.\I like this one, Maiza- san.\It's perfect for me. response:	Maiza- san, you're a day too early, aren't you?
context: I bought mine here, too.\A capo, huh? It still doesn't feel like it.\You'll start feeling like it once you've become one.\Are you sure it's okay for me to do this?\It's okay because it is you, Firo.\I like this one, Maiza- san.\It's perfect for me.\Maiza- san, you're a day too early, aren't you? response:	The ceremony has already begun, Firo.
context: A capo, huh? It still doesn't feel like it.\You'll start feeling like it once you've become one.\Are you sure it's okay for me to do this?\It's okay because it is you, Firo.\I like this one, Maiza- san.\It's perfect for me.\Maiza- san, you're a day too early, aren't you?\The ceremony has already begun, Firo. response:	Oops, excuse me.
context: You'll start feeling like it once you've become one.\Are you sure it's okay for me to do this?\It's okay because it is you, Firo.\I like this one, Maiza- san.\It's perfect for me.\Maiza- san, you're a day too early, aren't you?\The ceremony has already begun, Firo.\Oops, excuse me. response:	Hey, watch yourself, will you?
context: Are you sure it's okay for me to do this?\It's okay because it is you, Firo.\I like this one, Maiza- san.\It's perfect for me.\Maiza- san, you're a day too early, aren't you?\The ceremony has already begun, Firo.\Oops, excuse me.\Hey, watch yourself, will you? response:	Watch yourself, will you?
context: It's okay because it is you, Firo.\I like this one, Maiza- san.\It's perfect for me.\Maiza- san, you're a day too early, aren't you?\The ceremony has already begun, Firo.\Oops, excuse me.\Hey, watch yourself, will you?\Watch yourself, will you? response:	Maiza- san, over there.
context: I like this one, Maiza- san.\It's perfect for me.\Maiza- san, you're a day too early, aren't you?\The ceremony has already begun, Firo.\Oops, excuse me.\Hey, watch yourself, will you?\Watch yourself, will you?\Maiza- san, over there. response:	I'm going to go have a little look.
context: It's perfect for me.\Maiza- san, you're a day too early, aren't you?\The ceremony has already begun, Firo.\Oops, excuse me.\Hey, watch yourself, will you?\Watch yourself, will you?\Maiza- san, over there.\I'm going to go have a little look. response:	Firo, don't be a rubbernecker!
context: Maiza- san, you're a day too early, aren't you?\The ceremony has already begun, Firo.\Oops, excuse me.\Hey, watch yourself, will you?\Watch yourself, will you?\Maiza- san, over there.\I'm going to go have a little look.\Firo, don't be a rubbernecker! response:	I'm just concerned!
context: The ceremony has already begun, Firo.\Oops, excuse me.\Hey, watch yourself, will you?\Watch yourself, will you?\Maiza- san, over there.\I'm going to go have a little look.\Firo, don't be a rubbernecker!\I'm just concerned! response:	Are you all right?
context: Oops, excuse me.\Hey, watch yourself, will you?\Watch yourself, will you?\Maiza- san, over there.\I'm going to go have a little look.\Firo, don't be a rubbernecker!\I'm just concerned!\Are you all right? response:	Y-Yeah.
context: Hey, watch yourself, will you?\Watch yourself, will you?\Maiza- san, over there.\I'm going to go have a little look.\Firo, don't be a rubbernecker!\I'm just concerned!\Are you all right?\Y-Yeah. response:	I'm terribly sorry about that.
context: Watch yourself, will you?\Maiza- san, over there.\I'm going to go have a little look.\Firo, don't be a rubbernecker!\I'm just concerned!\Are you all right?\Y-Yeah.\I'm terribly sorry about that. response:	I'm looking for someone, so...
context: Maiza- san, over there.\I'm going to go have a little look.\Firo, don't be a rubbernecker!\I'm just concerned!\Are you all right?\Y-Yeah.\I'm terribly sorry about that.\I'm looking for someone, so... response:	Hey, you!
context: I'm going to go have a little look.\Firo, don't be a rubbernecker!\I'm just concerned!\Are you all right?\Y-Yeah.\I'm terribly sorry about that.\I'm looking for someone, so...\Hey, you! response:	Wait up!
context: Firo, don't be a rubbernecker!\I'm just concerned!\Are you all right?\Y-Yeah.\I'm terribly sorry about that.\I'm looking for someone, so...\Hey, you!\Wait up! response:	Whoa.
context: I'm just concerned!\Are you all right?\Y-Yeah.\I'm terribly sorry about that.\I'm looking for someone, so...\Hey, you!\Wait up!\Whoa. response:	What's the matter, Jacuzzi? What's the rush?
context: Are you all right?\Y-Yeah.\I'm terribly sorry about that.\I'm looking for someone, so...\Hey, you!\Wait up!\Whoa.\What's the matter, Jacuzzi? What's the rush? response:	Oh, it's terrible! This train just might vanish!
context: Y-Yeah.\I'm terribly sorry about that.\I'm looking for someone, so...\Hey, you!\Wait up!\Whoa.\What's the matter, Jacuzzi? What's the rush?\Oh, it's terrible! This train just might vanish! response:	So I have to get to the conductor!
context: I'm terribly sorry about that.\I'm looking for someone, so...\Hey, you!\Wait up!\Whoa.\What's the matter, Jacuzzi? What's the rush?\Oh, it's terrible! This train just might vanish!\So I have to get to the conductor! response:	Oh, just who I was looking for.
context: I'm looking for someone, so...\Hey, you!\Wait up!\Whoa.\What's the matter, Jacuzzi? What's the rush?\Oh, it's terrible! This train just might vanish!\So I have to get to the conductor!\Oh, just who I was looking for. response:	Nice...
context: Hey, you!\Wait up!\Whoa.\What's the matter, Jacuzzi? What's the rush?\Oh, it's terrible! This train just might vanish!\So I have to get to the conductor!\Oh, just who I was looking for.\Nice... response:	Boss...
context: Wait up!\Whoa.\What's the matter, Jacuzzi? What's the rush?\Oh, it's terrible! This train just might vanish!\So I have to get to the conductor!\Oh, just who I was looking for.\Nice...\Boss... response:	Where's Jacuzzi?
context: Whoa.\What's the matter, Jacuzzi? What's the rush?\Oh, it's terrible! This train just might vanish!\So I have to get to the conductor!\Oh, just who I was looking for.\Nice...\Boss...\Where's Jacuzzi? response:	He just came by, saying he was going to see the conductor.
context: What's the matter, Jacuzzi? What's the rush?\Oh, it's terrible! This train just might vanish!\So I have to get to the conductor!\Oh, just who I was looking for.\Nice...\Boss...\Where's Jacuzzi?\He just came by, saying he was going to see the conductor. response:	Donny, please come with me.
context: Oh, it's terrible! This train just might vanish!\So I have to get to the conductor!\Oh, just who I was looking for.\Nice...\Boss...\Where's Jacuzzi?\He just came by, saying he was going to see the conductor.\Donny, please come with me. response:	We're going to check on the freight hold while we bring Jacuzzi back.
context: So I have to get to the conductor!\Oh, just who I was looking for.\Nice...\Boss...\Where's Jacuzzi?\He just came by, saying he was going to see the conductor.\Donny, please come with me.\We're going to check on the freight hold while we bring Jacuzzi back. response:	Nick, you take the dining car, if you please.
context: Oh, just who I was looking for.\Nice...\Boss...\Where's Jacuzzi?\He just came by, saying he was going to see the conductor.\Donny, please come with me.\We're going to check on the freight hold while we bring Jacuzzi back.\Nick, you take the dining car, if you please. response:	What, Boss Nice?
context: Nice...\Boss...\Where's Jacuzzi?\He just came by, saying he was going to see the conductor.\Donny, please come with me.\We're going to check on the freight hold while we bring Jacuzzi back.\Nick, you take the dining car, if you please.\What, Boss Nice? response:	What am I supposed to do with the dining car?
context: Boss...\Where's Jacuzzi?\He just came by, saying he was going to see the conductor.\Donny, please come with me.\We're going to check on the freight hold while we bring Jacuzzi back.\Nick, you take the dining car, if you please.\What, Boss Nice?\What am I supposed to do with the dining car? response:	Nick, you take the dining car, if you please.
context: Where's Jacuzzi?\He just came by, saying he was going to see the conductor.\Donny, please come with me.\We're going to check on the freight hold while we bring Jacuzzi back.\Nick, you take the dining car, if you please.\What, Boss Nice?\What am I supposed to do with the dining car?\Nick, you take the dining car, if you please. response:	Huh... So, does she mean this...
context: He just came by, saying he was going to see the conductor.\Donny, please come with me.\We're going to check on the freight hold while we bring Jacuzzi back.\Nick, you take the dining car, if you please.\What, Boss Nice?\What am I supposed to do with the dining car?\Nick, you take the dining car, if you please.\Huh... So, does she mean this... response:	Nick, while we're taking care of the job,
context: Donny, please come with me.\We're going to check on the freight hold while we bring Jacuzzi back.\Nick, you take the dining car, if you please.\What, Boss Nice?\What am I supposed to do with the dining car?\Nick, you take the dining car, if you please.\Huh... So, does she mean this...\Nick, while we're taking care of the job, response:	please keep watch over the folks in the dining car.
context: We're going to check on the freight hold while we bring Jacuzzi back.\Nick, you take the dining car, if you please.\What, Boss Nice?\What am I supposed to do with the dining car?\Nick, you take the dining car, if you please.\Huh... So, does she mean this...\Nick, while we're taking care of the job,\please keep watch over the folks in the dining car. response:	Hmm... So in other words, does she mean this...
context: Nick, you take the dining car, if you please.\What, Boss Nice?\What am I supposed to do with the dining car?\Nick, you take the dining car, if you please.\Huh... So, does she mean this...\Nick, while we're taking care of the job,\please keep watch over the folks in the dining car.\Hmm... So in other words, does she mean this... response:	While we're doing the robbery,
context: What, Boss Nice?\What am I supposed to do with the dining car?\Nick, you take the dining car, if you please.\Huh... So, does she mean this...\Nick, while we're taking care of the job,\please keep watch over the folks in the dining car.\Hmm... So in other words, does she mean this...\While we're doing the robbery, response:	we can't have anyone finding out about it, causing a scene, and stopping the train.
context: What am I supposed to do with the dining car?\Nick, you take the dining car, if you please.\Huh... So, does she mean this...\Nick, while we're taking care of the job,\please keep watch over the folks in the dining car.\Hmm... So in other words, does she mean this...\While we're doing the robbery,\we can't have anyone finding out about it, causing a scene, and stopping the train. response:	Which is why, Nick, keep the people in the dining car quiet.
context: Nick, you take the dining car, if you please.\Huh... So, does she mean this...\Nick, while we're taking care of the job,\please keep watch over the folks in the dining car.\Hmm... So in other words, does she mean this...\While we're doing the robbery,\we can't have anyone finding out about it, causing a scene, and stopping the train.\Which is why, Nick, keep the people in the dining car quiet. response:	You got it, Boss!
context: Huh... So, does she mean this...\Nick, while we're taking care of the job,\please keep watch over the folks in the dining car.\Hmm... So in other words, does she mean this...\While we're doing the robbery,\we can't have anyone finding out about it, causing a scene, and stopping the train.\Which is why, Nick, keep the people in the dining car quiet.\You got it, Boss! response:	Gentlemen,
context: Nick, while we're taking care of the job,\please keep watch over the folks in the dining car.\Hmm... So in other words, does she mean this...\While we're doing the robbery,\we can't have anyone finding out about it, causing a scene, and stopping the train.\Which is why, Nick, keep the people in the dining car quiet.\You got it, Boss!\Gentlemen, response:	we now commence the rescue of Master Huey.
context: please keep watch over the folks in the dining car.\Hmm... So in other words, does she mean this...\While we're doing the robbery,\we can't have anyone finding out about it, causing a scene, and stopping the train.\Which is why, Nick, keep the people in the dining car quiet.\You got it, Boss!\Gentlemen,\we now commence the rescue of Master Huey. response:	Samantha!
context: Hmm... So in other words, does she mean this...\While we're doing the robbery,\we can't have anyone finding out about it, causing a scene, and stopping the train.\Which is why, Nick, keep the people in the dining car quiet.\You got it, Boss!\Gentlemen,\we now commence the rescue of Master Huey.\Samantha! response:	Elean!
context: While we're doing the robbery,\we can't have anyone finding out about it, causing a scene, and stopping the train.\Which is why, Nick, keep the people in the dining car quiet.\You got it, Boss!\Gentlemen,\we now commence the rescue of Master Huey.\Samantha!\Elean! response:	It's been so long! It's been so long, indeed!
context: we can't have anyone finding out about it, causing a scene, and stopping the train.\Which is why, Nick, keep the people in the dining car quiet.\You got it, Boss!\Gentlemen,\we now commence the rescue of Master Huey.\Samantha!\Elean!\It's been so long! It's been so long, indeed! response:	Dallas Genoard...
context: Which is why, Nick, keep the people in the dining car quiet.\You got it, Boss!\Gentlemen,\we now commence the rescue of Master Huey.\Samantha!\Elean!\It's been so long! It's been so long, indeed!\Dallas Genoard... response:	You know my brother?
context: You got it, Boss!\Gentlemen,\we now commence the rescue of Master Huey.\Samantha!\Elean!\It's been so long! It's been so long, indeed!\Dallas Genoard...\You know my brother? response:	Who do you think I am? Where do you think you are?
context: Gentlemen,\we now commence the rescue of Master Huey.\Samantha!\Elean!\It's been so long! It's been so long, indeed!\Dallas Genoard...\You know my brother?\Who do you think I am? Where do you think you are? response:	The Genoard family's son, who went missing a year ago.
context: we now commence the rescue of Master Huey.\Samantha!\Elean!\It's been so long! It's been so long, indeed!\Dallas Genoard...\You know my brother?\Who do you think I am? Where do you think you are?\The Genoard family's son, who went missing a year ago. response:	The greatest juvenile delinquent of our time, Dallas Genoard.
context: Samantha!\Elean!\It's been so long! It's been so long, indeed!\Dallas Genoard...\You know my brother?\Who do you think I am? Where do you think you are?\The Genoard family's son, who went missing a year ago.\The greatest juvenile delinquent of our time, Dallas Genoard. response:	Suck-up to the mighty, bully to the weak,
context: Elean!\It's been so long! It's been so long, indeed!\Dallas Genoard...\You know my brother?\Who do you think I am? Where do you think you are?\The Genoard family's son, who went missing a year ago.\The greatest juvenile delinquent of our time, Dallas Genoard.\Suck-up to the mighty, bully to the weak, response:	detested by everyone, the lowest scumbag around!
context: It's been so long! It's been so long, indeed!\Dallas Genoard...\You know my brother?\Who do you think I am? Where do you think you are?\The Genoard family's son, who went missing a year ago.\The greatest juvenile delinquent of our time, Dallas Genoard.\Suck-up to the mighty, bully to the weak,\detested by everyone, the lowest scumbag around! response:	My brother was nice to me.
context: Dallas Genoard...\You know my brother?\Who do you think I am? Where do you think you are?\The Genoard family's son, who went missing a year ago.\The greatest juvenile delinquent of our time, Dallas Genoard.\Suck-up to the mighty, bully to the weak,\detested by everyone, the lowest scumbag around!\My brother was nice to me. response:	Sorry, my bad. It just slipped out.
context: You know my brother?\Who do you think I am? Where do you think you are?\The Genoard family's son, who went missing a year ago.\The greatest juvenile delinquent of our time, Dallas Genoard.\Suck-up to the mighty, bully to the weak,\detested by everyone, the lowest scumbag around!\My brother was nice to me.\Sorry, my bad. It just slipped out. response:	Sorry, please forgive me.
context: Who do you think I am? Where do you think you are?\The Genoard family's son, who went missing a year ago.\The greatest juvenile delinquent of our time, Dallas Genoard.\Suck-up to the mighty, bully to the weak,\detested by everyone, the lowest scumbag around!\My brother was nice to me.\Sorry, my bad. It just slipped out.\Sorry, please forgive me. response:	I'm sure we'll find your older brother.
context: The Genoard family's son, who went missing a year ago.\The greatest juvenile delinquent of our time, Dallas Genoard.\Suck-up to the mighty, bully to the weak,\detested by everyone, the lowest scumbag around!\My brother was nice to me.\Sorry, my bad. It just slipped out.\Sorry, please forgive me.\I'm sure we'll find your older brother. response:	We'll find him safe and sound, so don't you worry, okay?
context: The greatest juvenile delinquent of our time, Dallas Genoard.\Suck-up to the mighty, bully to the weak,\detested by everyone, the lowest scumbag around!\My brother was nice to me.\Sorry, my bad. It just slipped out.\Sorry, please forgive me.\I'm sure we'll find your older brother.\We'll find him safe and sound, so don't you worry, okay? response:	You're late! You are late!
context: Suck-up to the mighty, bully to the weak,\detested by everyone, the lowest scumbag around!\My brother was nice to me.\Sorry, my bad. It just slipped out.\Sorry, please forgive me.\I'm sure we'll find your older brother.\We'll find him safe and sound, so don't you worry, okay?\You're late! You are late! response:	Our guests are waiting! They've been waiting too long!
context: detested by everyone, the lowest scumbag around!\My brother was nice to me.\Sorry, my bad. It just slipped out.\Sorry, please forgive me.\I'm sure we'll find your older brother.\We'll find him safe and sound, so don't you worry, okay?\You're late! You are late!\Our guests are waiting! They've been waiting too long! response:	Thanks.
context: My brother was nice to me.\Sorry, my bad. It just slipped out.\Sorry, please forgive me.\I'm sure we'll find your older brother.\We'll find him safe and sound, so don't you worry, okay?\You're late! You are late!\Our guests are waiting! They've been waiting too long!\Thanks. response:	Give me a moment, I'm just going to skim over this.
context: Sorry, my bad. It just slipped out.\Sorry, please forgive me.\I'm sure we'll find your older brother.\We'll find him safe and sound, so don't you worry, okay?\You're late! You are late!\Our guests are waiting! They've been waiting too long!\Thanks.\Give me a moment, I'm just going to skim over this. response:	Well? Where is my brother? Where is Big Brother Dallas?
context: Sorry, please forgive me.\I'm sure we'll find your older brother.\We'll find him safe and sound, so don't you worry, okay?\You're late! You are late!\Our guests are waiting! They've been waiting too long!\Thanks.\Give me a moment, I'm just going to skim over this.\Well? Where is my brother? Where is Big Brother Dallas? response:	Please, tell me!
context: I'm sure we'll find your older brother.\We'll find him safe and sound, so don't you worry, okay?\You're late! You are late!\Our guests are waiting! They've been waiting too long!\Thanks.\Give me a moment, I'm just going to skim over this.\Well? Where is my brother? Where is Big Brother Dallas?\Please, tell me! response:	Y-Yeah, sure thing...
context: We'll find him safe and sound, so don't you worry, okay?\You're late! You are late!\Our guests are waiting! They've been waiting too long!\Thanks.\Give me a moment, I'm just going to skim over this.\Well? Where is my brother? Where is Big Brother Dallas?\Please, tell me!\Y-Yeah, sure thing... response:	Uh, I'm terribly sorry, but we don't know anything.
context: You're late! You are late!\Our guests are waiting! They've been waiting too long!\Thanks.\Give me a moment, I'm just going to skim over this.\Well? Where is my brother? Where is Big Brother Dallas?\Please, tell me!\Y-Yeah, sure thing...\Uh, I'm terribly sorry, but we don't know anything. response:	Even with our firm's information networks,
context: Our guests are waiting! They've been waiting too long!\Thanks.\Give me a moment, I'm just going to skim over this.\Well? Where is my brother? Where is Big Brother Dallas?\Please, tell me!\Y-Yeah, sure thing...\Uh, I'm terribly sorry, but we don't know anything.\Even with our firm's information networks, response:	we don't have the faintest idea where your brother is.
context: Thanks.\Give me a moment, I'm just going to skim over this.\Well? Where is my brother? Where is Big Brother Dallas?\Please, tell me!\Y-Yeah, sure thing...\Uh, I'm terribly sorry, but we don't know anything.\Even with our firm's information networks,\we don't have the faintest idea where your brother is. response:	It's a complete mystery to us. I really am terribly sorry.
context: Give me a moment, I'm just going to skim over this.\Well? Where is my brother? Where is Big Brother Dallas?\Please, tell me!\Y-Yeah, sure thing...\Uh, I'm terribly sorry, but we don't know anything.\Even with our firm's information networks,\we don't have the faintest idea where your brother is.\It's a complete mystery to us. I really am terribly sorry. response:	What's the deal, Gramps? Is that box that important to you?
context: Well? Where is my brother? Where is Big Brother Dallas?\Please, tell me!\Y-Yeah, sure thing...\Uh, I'm terribly sorry, but we don't know anything.\Even with our firm's information networks,\we don't have the faintest idea where your brother is.\It's a complete mystery to us. I really am terribly sorry.\What's the deal, Gramps? Is that box that important to you? response:	Here, let me see it.
context: Please, tell me!\Y-Yeah, sure thing...\Uh, I'm terribly sorry, but we don't know anything.\Even with our firm's information networks,\we don't have the faintest idea where your brother is.\It's a complete mystery to us. I really am terribly sorry.\What's the deal, Gramps? Is that box that important to you?\Here, let me see it. response:	Whoa...
context: Y-Yeah, sure thing...\Uh, I'm terribly sorry, but we don't know anything.\Even with our firm's information networks,\we don't have the faintest idea where your brother is.\It's a complete mystery to us. I really am terribly sorry.\What's the deal, Gramps? Is that box that important to you?\Here, let me see it.\Whoa... response:	Can't be too careful with this one.
context: Uh, I'm terribly sorry, but we don't know anything.\Even with our firm's information networks,\we don't have the faintest idea where your brother is.\It's a complete mystery to us. I really am terribly sorry.\What's the deal, Gramps? Is that box that important to you?\Here, let me see it.\Whoa...\Can't be too careful with this one. response:	You're a determined geezer, huh?
context: Even with our firm's information networks,\we don't have the faintest idea where your brother is.\It's a complete mystery to us. I really am terribly sorry.\What's the deal, Gramps? Is that box that important to you?\Here, let me see it.\Whoa...\Can't be too careful with this one.\You're a determined geezer, huh? response:	What are you looking at, kid?
context: we don't have the faintest idea where your brother is.\It's a complete mystery to us. I really am terribly sorry.\What's the deal, Gramps? Is that box that important to you?\Here, let me see it.\Whoa...\Can't be too careful with this one.\You're a determined geezer, huh?\What are you looking at, kid? response:	Nothing. Just sizing you up to see, if you're going to rob him,
context: It's a complete mystery to us. I really am terribly sorry.\What's the deal, Gramps? Is that box that important to you?\Here, let me see it.\Whoa...\Can't be too careful with this one.\You're a determined geezer, huh?\What are you looking at, kid?\Nothing. Just sizing you up to see, if you're going to rob him, response:	whether you've got the skills and resolve to do so.
context: What's the deal, Gramps? Is that box that important to you?\Here, let me see it.\Whoa...\Can't be too careful with this one.\You're a determined geezer, huh?\What are you looking at, kid?\Nothing. Just sizing you up to see, if you're going to rob him,\whether you've got the skills and resolve to do so. response:	Never you mind, kid. You head on home now, and suck on your mama's tit.
context: Here, let me see it.\Whoa...\Can't be too careful with this one.\You're a determined geezer, huh?\What are you looking at, kid?\Nothing. Just sizing you up to see, if you're going to rob him,\whether you've got the skills and resolve to do so.\Never you mind, kid. You head on home now, and suck on your mama's tit. response:	From where this kid sees it,
context: Whoa...\Can't be too careful with this one.\You're a determined geezer, huh?\What are you looking at, kid?\Nothing. Just sizing you up to see, if you're going to rob him,\whether you've got the skills and resolve to do so.\Never you mind, kid. You head on home now, and suck on your mama's tit.\From where this kid sees it, response:	what you guys are doing is nothing but kid's play, too.
