context: provided as-is, barely edited, feel free to do whatever you want with this response:	TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO
context: Mako!\I found out where we're transferring to!\Rinne High School in Kanagawa!\We'll be going to the same school again!\Hello there, Ryuuko.\Mikisugi?! Why are you in that old getup again?!\Well, it's graduation for Honnoji Academy...\So history teacher Mikisugi Aikurou got invited. response:	Have you gotten used to your new clothes...?
context: I found out where we're transferring to!\Rinne High School in Kanagawa!\We'll be going to the same school again!\Hello there, Ryuuko.\Mikisugi?! Why are you in that old getup again?!\Well, it's graduation for Honnoji Academy...\So history teacher Mikisugi Aikurou got invited.\Have you gotten used to your new clothes...? response:	Yeah.
context: Rinne High School in Kanagawa!\We'll be going to the same school again!\Hello there, Ryuuko.\Mikisugi?! Why are you in that old getup again?!\Well, it's graduation for Honnoji Academy...\So history teacher Mikisugi Aikurou got invited.\Have you gotten used to your new clothes...?\Yeah. response:	What, were you worried or something?
context: We'll be going to the same school again!\Hello there, Ryuuko.\Mikisugi?! Why are you in that old getup again?!\Well, it's graduation for Honnoji Academy...\So history teacher Mikisugi Aikurou got invited.\Have you gotten used to your new clothes...?\Yeah.\What, were you worried or something? response:	Well, yes. I was the one who put you in Senketsu...
context: Hello there, Ryuuko.\Mikisugi?! Why are you in that old getup again?!\Well, it's graduation for Honnoji Academy...\So history teacher Mikisugi Aikurou got invited.\Have you gotten used to your new clothes...?\Yeah.\What, were you worried or something?\Well, yes. I was the one who put you in Senketsu... response:	Give it a rest! It don't suit you!
context: Mikisugi?! Why are you in that old getup again?!\Well, it's graduation for Honnoji Academy...\So history teacher Mikisugi Aikurou got invited.\Have you gotten used to your new clothes...?\Yeah.\What, were you worried or something?\Well, yes. I was the one who put you in Senketsu...\Give it a rest! It don't suit you! response:	Maybe so, but...
context: Well, it's graduation for Honnoji Academy...\So history teacher Mikisugi Aikurou got invited.\Have you gotten used to your new clothes...?\Yeah.\What, were you worried or something?\Well, yes. I was the one who put you in Senketsu...\Give it a rest! It don't suit you!\Maybe so, but... response:	The Life Fibers in your body are still there.
context: So history teacher Mikisugi Aikurou got invited.\Have you gotten used to your new clothes...?\Yeah.\What, were you worried or something?\Well, yes. I was the one who put you in Senketsu...\Give it a rest! It don't suit you!\Maybe so, but...\The Life Fibers in your body are still there. response:	No need to worry!
context: Have you gotten used to your new clothes...?\Yeah.\What, were you worried or something?\Well, yes. I was the one who put you in Senketsu...\Give it a rest! It don't suit you!\Maybe so, but...\The Life Fibers in your body are still there.\No need to worry! response:	Senketsu is still alive inside of Ryuuko!
context: Yeah.\What, were you worried or something?\Well, yes. I was the one who put you in Senketsu...\Give it a rest! It don't suit you!\Maybe so, but...\The Life Fibers in your body are still there.\No need to worry!\Senketsu is still alive inside of Ryuuko! response:	The two of them are an inseparable pair!
context: What, were you worried or something?\Well, yes. I was the one who put you in Senketsu...\Give it a rest! It don't suit you!\Maybe so, but...\The Life Fibers in your body are still there.\No need to worry!\Senketsu is still alive inside of Ryuuko!\The two of them are an inseparable pair! response:	She'll wear her Sunday best on the inside, and be fashionable all the time!
context: Well, yes. I was the one who put you in Senketsu...\Give it a rest! It don't suit you!\Maybe so, but...\The Life Fibers in your body are still there.\No need to worry!\Senketsu is still alive inside of Ryuuko!\The two of them are an inseparable pair!\She'll wear her Sunday best on the inside, and be fashionable all the time! response:	Well, you heard her!
context: Give it a rest! It don't suit you!\Maybe so, but...\The Life Fibers in your body are still there.\No need to worry!\Senketsu is still alive inside of Ryuuko!\The two of them are an inseparable pair!\She'll wear her Sunday best on the inside, and be fashionable all the time!\Well, you heard her! response:	This world is crazy and hard to understand,
context: Maybe so, but...\The Life Fibers in your body are still there.\No need to worry!\Senketsu is still alive inside of Ryuuko!\The two of them are an inseparable pair!\She'll wear her Sunday best on the inside, and be fashionable all the time!\Well, you heard her!\This world is crazy and hard to understand, response:	so someone crazy and hard to understand like me will be fine.
context: The Life Fibers in your body are still there.\No need to worry!\Senketsu is still alive inside of Ryuuko!\The two of them are an inseparable pair!\She'll wear her Sunday best on the inside, and be fashionable all the time!\Well, you heard her!\This world is crazy and hard to understand,\so someone crazy and hard to understand like me will be fine. response:	I see. Well, that's a relief...
context: No need to worry!\Senketsu is still alive inside of Ryuuko!\The two of them are an inseparable pair!\She'll wear her Sunday best on the inside, and be fashionable all the time!\Well, you heard her!\This world is crazy and hard to understand,\so someone crazy and hard to understand like me will be fine.\I see. Well, that's a relief... response:	I guess you're all headed down your own paths now.
context: Senketsu is still alive inside of Ryuuko!\The two of them are an inseparable pair!\She'll wear her Sunday best on the inside, and be fashionable all the time!\Well, you heard her!\This world is crazy and hard to understand,\so someone crazy and hard to understand like me will be fine.\I see. Well, that's a relief...\I guess you're all headed down your own paths now. response:	Gamagoori is going to be working at a relative's iron works...
context: The two of them are an inseparable pair!\She'll wear her Sunday best on the inside, and be fashionable all the time!\Well, you heard her!\This world is crazy and hard to understand,\so someone crazy and hard to understand like me will be fine.\I see. Well, that's a relief...\I guess you're all headed down your own paths now.\Gamagoori is going to be working at a relative's iron works... response:	Jakuzure will prep for inheriting the Jakuzure Corporation,
context: She'll wear her Sunday best on the inside, and be fashionable all the time!\Well, you heard her!\This world is crazy and hard to understand,\so someone crazy and hard to understand like me will be fine.\I see. Well, that's a relief...\I guess you're all headed down your own paths now.\Gamagoori is going to be working at a relative's iron works...\Jakuzure will prep for inheriting the Jakuzure Corporation, response:	Inumuta is going into I.T.,
context: Well, you heard her!\This world is crazy and hard to understand,\so someone crazy and hard to understand like me will be fine.\I see. Well, that's a relief...\I guess you're all headed down your own paths now.\Gamagoori is going to be working at a relative's iron works...\Jakuzure will prep for inheriting the Jakuzure Corporation,\Inumuta is going into I.T., response:	and Iori will be studying Life Fibers as they all head into college.
context: This world is crazy and hard to understand,\so someone crazy and hard to understand like me will be fine.\I see. Well, that's a relief...\I guess you're all headed down your own paths now.\Gamagoori is going to be working at a relative's iron works...\Jakuzure will prep for inheriting the Jakuzure Corporation,\Inumuta is going into I.T.,\and Iori will be studying Life Fibers as they all head into college. response:	Sanageyama will be helping out at home as he continues kendo...
context: so someone crazy and hard to understand like me will be fine.\I see. Well, that's a relief...\I guess you're all headed down your own paths now.\Gamagoori is going to be working at a relative's iron works...\Jakuzure will prep for inheriting the Jakuzure Corporation,\Inumuta is going into I.T.,\and Iori will be studying Life Fibers as they all head into college.\Sanageyama will be helping out at home as he continues kendo... response:	With their new prospects in mind,
context: I see. Well, that's a relief...\I guess you're all headed down your own paths now.\Gamagoori is going to be working at a relative's iron works...\Jakuzure will prep for inheriting the Jakuzure Corporation,\Inumuta is going into I.T.,\and Iori will be studying Life Fibers as they all head into college.\Sanageyama will be helping out at home as he continues kendo...\With their new prospects in mind, response:	the students will see to their next steps, and the citizens will see to their new homes.
context: I guess you're all headed down your own paths now.\Gamagoori is going to be working at a relative's iron works...\Jakuzure will prep for inheriting the Jakuzure Corporation,\Inumuta is going into I.T.,\and Iori will be studying Life Fibers as they all head into college.\Sanageyama will be helping out at home as he continues kendo...\With their new prospects in mind,\the students will see to their next steps, and the citizens will see to their new homes. response:	It's quite impressive.
context: Gamagoori is going to be working at a relative's iron works...\Jakuzure will prep for inheriting the Jakuzure Corporation,\Inumuta is going into I.T.,\and Iori will be studying Life Fibers as they all head into college.\Sanageyama will be helping out at home as he continues kendo...\With their new prospects in mind,\the students will see to their next steps, and the citizens will see to their new homes.\It's quite impressive. response:	That only leaves Satsuki herself...
context: Jakuzure will prep for inheriting the Jakuzure Corporation,\Inumuta is going into I.T.,\and Iori will be studying Life Fibers as they all head into college.\Sanageyama will be helping out at home as he continues kendo...\With their new prospects in mind,\the students will see to their next steps, and the citizens will see to their new homes.\It's quite impressive.\That only leaves Satsuki herself... response:	She's trying to find a way to put down her sword.
context: Inumuta is going into I.T.,\and Iori will be studying Life Fibers as they all head into college.\Sanageyama will be helping out at home as he continues kendo...\With their new prospects in mind,\the students will see to their next steps, and the citizens will see to their new homes.\It's quite impressive.\That only leaves Satsuki herself...\She's trying to find a way to put down her sword. response:	After spending her whole life sharpening its edge...
context: and Iori will be studying Life Fibers as they all head into college.\Sanageyama will be helping out at home as he continues kendo...\With their new prospects in mind,\the students will see to their next steps, and the citizens will see to their new homes.\It's quite impressive.\That only leaves Satsuki herself...\She's trying to find a way to put down her sword.\After spending her whole life sharpening its edge... response:	Miss, it's nearly time for the ceremony.
context: Sanageyama will be helping out at home as he continues kendo...\With their new prospects in mind,\the students will see to their next steps, and the citizens will see to their new homes.\It's quite impressive.\That only leaves Satsuki herself...\She's trying to find a way to put down her sword.\After spending her whole life sharpening its edge...\Miss, it's nearly time for the ceremony. response:	Go on ahead.
context: With their new prospects in mind,\the students will see to their next steps, and the citizens will see to their new homes.\It's quite impressive.\That only leaves Satsuki herself...\She's trying to find a way to put down her sword.\After spending her whole life sharpening its edge...\Miss, it's nearly time for the ceremony.\Go on ahead. response:	The students will each get a cup of your tea after the ceremony is over...
context: the students will see to their next steps, and the citizens will see to their new homes.\It's quite impressive.\That only leaves Satsuki herself...\She's trying to find a way to put down her sword.\After spending her whole life sharpening its edge...\Miss, it's nearly time for the ceremony.\Go on ahead.\The students will each get a cup of your tea after the ceremony is over... response:	I'm sure you need to prepare.
context: It's quite impressive.\That only leaves Satsuki herself...\She's trying to find a way to put down her sword.\After spending her whole life sharpening its edge...\Miss, it's nearly time for the ceremony.\Go on ahead.\The students will each get a cup of your tea after the ceremony is over...\I'm sure you need to prepare. response:	Yes...
context: That only leaves Satsuki herself...\She's trying to find a way to put down her sword.\After spending her whole life sharpening its edge...\Miss, it's nearly time for the ceremony.\Go on ahead.\The students will each get a cup of your tea after the ceremony is over...\I'm sure you need to prepare.\Yes... response:	Soroi.
context: She's trying to find a way to put down her sword.\After spending her whole life sharpening its edge...\Miss, it's nearly time for the ceremony.\Go on ahead.\The students will each get a cup of your tea after the ceremony is over...\I'm sure you need to prepare.\Yes...\Soroi. response:	Thank you for everything.
context: After spending her whole life sharpening its edge...\Miss, it's nearly time for the ceremony.\Go on ahead.\The students will each get a cup of your tea after the ceremony is over...\I'm sure you need to prepare.\Yes...\Soroi.\Thank you for everything. response:	Because of you, I was able to remain myself.
context: Miss, it's nearly time for the ceremony.\Go on ahead.\The students will each get a cup of your tea after the ceremony is over...\I'm sure you need to prepare.\Yes...\Soroi.\Thank you for everything.\Because of you, I was able to remain myself. response:	Miss...
context: Go on ahead.\The students will each get a cup of your tea after the ceremony is over...\I'm sure you need to prepare.\Yes...\Soroi.\Thank you for everything.\Because of you, I was able to remain myself.\Miss... response:	I'm fine. Go on.
context: The students will each get a cup of your tea after the ceremony is over...\I'm sure you need to prepare.\Yes...\Soroi.\Thank you for everything.\Because of you, I was able to remain myself.\Miss...\I'm fine. Go on. response:	I knew it...
context: I'm sure you need to prepare.\Yes...\Soroi.\Thank you for everything.\Because of you, I was able to remain myself.\Miss...\I'm fine. Go on.\I knew it... response:	So you've come...
context: Yes...\Soroi.\Thank you for everything.\Because of you, I was able to remain myself.\Miss...\I'm fine. Go on.\I knew it...\So you've come... response:	This is the graduation ceremony!
context: Soroi.\Thank you for everything.\Because of you, I was able to remain myself.\Miss...\I'm fine. Go on.\I knew it...\So you've come...\This is the graduation ceremony! response:	First, an address fro the student council president, Lady Kiryuuin Satsuki!
context: Thank you for everything.\Because of you, I was able to remain myself.\Miss...\I'm fine. Go on.\I knew it...\So you've come...\This is the graduation ceremony!\First, an address fro the student council president, Lady Kiryuuin Satsuki! response:	Attention!
context: Because of you, I was able to remain myself.\Miss...\I'm fine. Go on.\I knew it...\So you've come...\This is the graduation ceremony!\First, an address fro the student council president, Lady Kiryuuin Satsuki!\Attention! response:	Graduation ceremony?! Nonsense!
context: Miss...\I'm fine. Go on.\I knew it...\So you've come...\This is the graduation ceremony!\First, an address fro the student council president, Lady Kiryuuin Satsuki!\Attention!\Graduation ceremony?! Nonsense! response:	What exactly do you pigs in clothing intend to graduate from?!
context: I'm fine. Go on.\I knew it...\So you've come...\This is the graduation ceremony!\First, an address fro the student council president, Lady Kiryuuin Satsuki!\Attention!\Graduation ceremony?! Nonsense!\What exactly do you pigs in clothing intend to graduate from?! response:	As long as Kiryuuin Satsuki lives,
context: I knew it...\So you've come...\This is the graduation ceremony!\First, an address fro the student council president, Lady Kiryuuin Satsuki!\Attention!\Graduation ceremony?! Nonsense!\What exactly do you pigs in clothing intend to graduate from?!\As long as Kiryuuin Satsuki lives, response:	this farce will not stand!
context: So you've come...\This is the graduation ceremony!\First, an address fro the student council president, Lady Kiryuuin Satsuki!\Attention!\Graduation ceremony?! Nonsense!\What exactly do you pigs in clothing intend to graduate from?!\As long as Kiryuuin Satsuki lives,\this farce will not stand! response:	What is she saying?!
context: This is the graduation ceremony!\First, an address fro the student council president, Lady Kiryuuin Satsuki!\Attention!\Graduation ceremony?! Nonsense!\What exactly do you pigs in clothing intend to graduate from?!\As long as Kiryuuin Satsuki lives,\this farce will not stand!\What is she saying?! response:	Is she switching sides after all this time?!
context: First, an address fro the student council president, Lady Kiryuuin Satsuki!\Attention!\Graduation ceremony?! Nonsense!\What exactly do you pigs in clothing intend to graduate from?!\As long as Kiryuuin Satsuki lives,\this farce will not stand!\What is she saying?!\Is she switching sides after all this time?! response:	What are you saying?! Lady Satsuki would never do that!
context: Attention!\Graduation ceremony?! Nonsense!\What exactly do you pigs in clothing intend to graduate from?!\As long as Kiryuuin Satsuki lives,\this farce will not stand!\What is she saying?!\Is she switching sides after all this time?!\What are you saying?! Lady Satsuki would never do that! response:	Iori... that uniform...
context: Graduation ceremony?! Nonsense!\What exactly do you pigs in clothing intend to graduate from?!\As long as Kiryuuin Satsuki lives,\this farce will not stand!\What is she saying?!\Is she switching sides after all this time?!\What are you saying?! Lady Satsuki would never do that!\Iori... that uniform... response:	Yeah...
context: What exactly do you pigs in clothing intend to graduate from?!\As long as Kiryuuin Satsuki lives,\this farce will not stand!\What is she saying?!\Is she switching sides after all this time?!\What are you saying?! Lady Satsuki would never do that!\Iori... that uniform...\Yeah... response:	She's wearing Junketsu.
context: As long as Kiryuuin Satsuki lives,\this farce will not stand!\What is she saying?!\Is she switching sides after all this time?!\What are you saying?! Lady Satsuki would never do that!\Iori... that uniform...\Yeah...\She's wearing Junketsu. response:	Trying to shut down Honnoji Academy...
context: this farce will not stand!\What is she saying?!\Is she switching sides after all this time?!\What are you saying?! Lady Satsuki would never do that!\Iori... that uniform...\Yeah...\She's wearing Junketsu.\Trying to shut down Honnoji Academy... response:	The student council Elite Four will never allow it!
context: What is she saying?!\Is she switching sides after all this time?!\What are you saying?! Lady Satsuki would never do that!\Iori... that uniform...\Yeah...\She's wearing Junketsu.\Trying to shut down Honnoji Academy...\The student council Elite Four will never allow it! response:	You no-star garbage.
context: Is she switching sides after all this time?!\What are you saying?! Lady Satsuki would never do that!\Iori... that uniform...\Yeah...\She's wearing Junketsu.\Trying to shut down Honnoji Academy...\The student council Elite Four will never allow it!\You no-star garbage. response:	Let us demonstrate our power.
context: What are you saying?! Lady Satsuki would never do that!\Iori... that uniform...\Yeah...\She's wearing Junketsu.\Trying to shut down Honnoji Academy...\The student council Elite Four will never allow it!\You no-star garbage.\Let us demonstrate our power. response:	Three-Star Goku Uniforms!
context: Iori... that uniform...\Yeah...\She's wearing Junketsu.\Trying to shut down Honnoji Academy...\The student council Elite Four will never allow it!\You no-star garbage.\Let us demonstrate our power.\Three-Star Goku Uniforms! response:	Blade Regalia!
context: Yeah...\She's wearing Junketsu.\Trying to shut down Honnoji Academy...\The student council Elite Four will never allow it!\You no-star garbage.\Let us demonstrate our power.\Three-Star Goku Uniforms!\Blade Regalia! response:	Shackle Regalia!
context: She's wearing Junketsu.\Trying to shut down Honnoji Academy...\The student council Elite Four will never allow it!\You no-star garbage.\Let us demonstrate our power.\Three-Star Goku Uniforms!\Blade Regalia!\Shackle Regalia! response:	Symphony Regalia!
context: Trying to shut down Honnoji Academy...\The student council Elite Four will never allow it!\You no-star garbage.\Let us demonstrate our power.\Three-Star Goku Uniforms!\Blade Regalia!\Shackle Regalia!\Symphony Regalia! response:	Probe Regalia.
context: The student council Elite Four will never allow it!\You no-star garbage.\Let us demonstrate our power.\Three-Star Goku Uniforms!\Blade Regalia!\Shackle Regalia!\Symphony Regalia!\Probe Regalia. response:	They've got Goku Uniforms?!
context: You no-star garbage.\Let us demonstrate our power.\Three-Star Goku Uniforms!\Blade Regalia!\Shackle Regalia!\Symphony Regalia!\Probe Regalia.\They've got Goku Uniforms?! response:	I thought the Life Fibers were all gone!
context: Let us demonstrate our power.\Three-Star Goku Uniforms!\Blade Regalia!\Shackle Regalia!\Symphony Regalia!\Probe Regalia.\They've got Goku Uniforms?!\I thought the Life Fibers were all gone! response:	And why do they look just like us?!
context: Three-Star Goku Uniforms!\Blade Regalia!\Shackle Regalia!\Symphony Regalia!\Probe Regalia.\They've got Goku Uniforms?!\I thought the Life Fibers were all gone!\And why do they look just like us?! response:	What in the world...
context: Blade Regalia!\Shackle Regalia!\Symphony Regalia!\Probe Regalia.\They've got Goku Uniforms?!\I thought the Life Fibers were all gone!\And why do they look just like us?!\What in the world... response:	What's going on here, Inumuta?!
context: Shackle Regalia!\Symphony Regalia!\Probe Regalia.\They've got Goku Uniforms?!\I thought the Life Fibers were all gone!\And why do they look just like us?!\What in the world...\What's going on here, Inumuta?! response:	I'd love to explain...
context: Symphony Regalia!\Probe Regalia.\They've got Goku Uniforms?!\I thought the Life Fibers were all gone!\And why do they look just like us?!\What in the world...\What's going on here, Inumuta?!\I'd love to explain... response:	But my computers are being hacked.
context: Probe Regalia.\They've got Goku Uniforms?!\I thought the Life Fibers were all gone!\And why do they look just like us?!\What in the world...\What's going on here, Inumuta?!\I'd love to explain...\But my computers are being hacked. response:	Oh, yes. Your computers are under my Probe Regalia's control...
context: They've got Goku Uniforms?!\I thought the Life Fibers were all gone!\And why do they look just like us?!\What in the world...\What's going on here, Inumuta?!\I'd love to explain...\But my computers are being hacked.\Oh, yes. Your computers are under my Probe Regalia's control... response:	Bow down before my Blade Regalia!
context: I thought the Life Fibers were all gone!\And why do they look just like us?!\What in the world...\What's going on here, Inumuta?!\I'd love to explain...\But my computers are being hacked.\Oh, yes. Your computers are under my Probe Regalia's control...\Bow down before my Blade Regalia! response:	Make some noise for me, you losers!
context: And why do they look just like us?!\What in the world...\What's going on here, Inumuta?!\I'd love to explain...\But my computers are being hacked.\Oh, yes. Your computers are under my Probe Regalia's control...\Bow down before my Blade Regalia!\Make some noise for me, you losers! response:	That annoying voice and attitude is pissing me off!
context: What in the world...\What's going on here, Inumuta?!\I'd love to explain...\But my computers are being hacked.\Oh, yes. Your computers are under my Probe Regalia's control...\Bow down before my Blade Regalia!\Make some noise for me, you losers!\That annoying voice and attitude is pissing me off! response:	Is that any way for a no-star to speak to a Three-Star?!
context: What's going on here, Inumuta?!\I'd love to explain...\But my computers are being hacked.\Oh, yes. Your computers are under my Probe Regalia's control...\Bow down before my Blade Regalia!\Make some noise for me, you losers!\That annoying voice and attitude is pissing me off!\Is that any way for a no-star to speak to a Three-Star?! response:	You need discipline!
context: I'd love to explain...\But my computers are being hacked.\Oh, yes. Your computers are under my Probe Regalia's control...\Bow down before my Blade Regalia!\Make some noise for me, you losers!\That annoying voice and attitude is pissing me off!\Is that any way for a no-star to speak to a Three-Star?!\You need discipline! response:	Three-Star Goku Uniform, Scourge Regalia!
context: But my computers are being hacked.\Oh, yes. Your computers are under my Probe Regalia's control...\Bow down before my Blade Regalia!\Make some noise for me, you losers!\That annoying voice and attitude is pissing me off!\Is that any way for a no-star to speak to a Three-Star?!\You need discipline!\Three-Star Goku Uniform, Scourge Regalia! response:	I'll take them on! Get everyone out of here!
context: Oh, yes. Your computers are under my Probe Regalia's control...\Bow down before my Blade Regalia!\Make some noise for me, you losers!\That annoying voice and attitude is pissing me off!\Is that any way for a no-star to speak to a Three-Star?!\You need discipline!\Three-Star Goku Uniform, Scourge Regalia!\I'll take them on! Get everyone out of here! response:	Got it!
context: Bow down before my Blade Regalia!\Make some noise for me, you losers!\That annoying voice and attitude is pissing me off!\Is that any way for a no-star to speak to a Three-Star?!\You need discipline!\Three-Star Goku Uniform, Scourge Regalia!\I'll take them on! Get everyone out of here!\Got it! response:	Not bad, transfer student!
context: Make some noise for me, you losers!\That annoying voice and attitude is pissing me off!\Is that any way for a no-star to speak to a Three-Star?!\You need discipline!\Three-Star Goku Uniform, Scourge Regalia!\I'll take them on! Get everyone out of here!\Got it!\Not bad, transfer student! response:	I suppose your athleticism is superhuman...
context: That annoying voice and attitude is pissing me off!\Is that any way for a no-star to speak to a Three-Star?!\You need discipline!\Three-Star Goku Uniform, Scourge Regalia!\I'll take them on! Get everyone out of here!\Got it!\Not bad, transfer student!\I suppose your athleticism is superhuman... response:	Most likely because of the Life Fibers inside of her body.
context: Is that any way for a no-star to speak to a Three-Star?!\You need discipline!\Three-Star Goku Uniform, Scourge Regalia!\I'll take them on! Get everyone out of here!\Got it!\Not bad, transfer student!\I suppose your athleticism is superhuman...\Most likely because of the Life Fibers inside of her body. response:	Hold.
context: You need discipline!\Three-Star Goku Uniform, Scourge Regalia!\I'll take them on! Get everyone out of here!\Got it!\Not bad, transfer student!\I suppose your athleticism is superhuman...\Most likely because of the Life Fibers inside of her body.\Hold. response:	I will deal with her.
context: Three-Star Goku Uniform, Scourge Regalia!\I'll take them on! Get everyone out of here!\Got it!\Not bad, transfer student!\I suppose your athleticism is superhuman...\Most likely because of the Life Fibers inside of her body.\Hold.\I will deal with her. response:	Life Fiber Override! Kamui Junketsu!
context: I'll take them on! Get everyone out of here!\Got it!\Not bad, transfer student!\I suppose your athleticism is superhuman...\Most likely because of the Life Fibers inside of her body.\Hold.\I will deal with her.\Life Fiber Override! Kamui Junketsu! response:	This is kinda tough without a weapon!
context: Got it!\Not bad, transfer student!\I suppose your athleticism is superhuman...\Most likely because of the Life Fibers inside of her body.\Hold.\I will deal with her.\Life Fiber Override! Kamui Junketsu!\This is kinda tough without a weapon! response:	You people alright?!
context: Not bad, transfer student!\I suppose your athleticism is superhuman...\Most likely because of the Life Fibers inside of her body.\Hold.\I will deal with her.\Life Fiber Override! Kamui Junketsu!\This is kinda tough without a weapon!\You people alright?! response:	Nice timing, Tsumugu!
context: I suppose your athleticism is superhuman...\Most likely because of the Life Fibers inside of her body.\Hold.\I will deal with her.\Life Fiber Override! Kamui Junketsu!\This is kinda tough without a weapon!\You people alright?!\Nice timing, Tsumugu! response:	Matoi! Use these!
context: Most likely because of the Life Fibers inside of her body.\Hold.\I will deal with her.\Life Fiber Override! Kamui Junketsu!\This is kinda tough without a weapon!\You people alright?!\Nice timing, Tsumugu!\Matoi! Use these! response:	Tailor's Daggers? Thanks!
context: Hold.\I will deal with her.\Life Fiber Override! Kamui Junketsu!\This is kinda tough without a weapon!\You people alright?!\Nice timing, Tsumugu!\Matoi! Use these!\Tailor's Daggers? Thanks! response:	And we've got something special for the Elite Four!
context: I will deal with her.\Life Fiber Override! Kamui Junketsu!\This is kinda tough without a weapon!\You people alright?!\Nice timing, Tsumugu!\Matoi! Use these!\Tailor's Daggers? Thanks!\And we've got something special for the Elite Four! response:	Oh, no...
context: Life Fiber Override! Kamui Junketsu!\This is kinda tough without a weapon!\You people alright?!\Nice timing, Tsumugu!\Matoi! Use these!\Tailor's Daggers? Thanks!\And we've got something special for the Elite Four!\Oh, no... response:	Those are!
context: This is kinda tough without a weapon!\You people alright?!\Nice timing, Tsumugu!\Matoi! Use these!\Tailor's Daggers? Thanks!\And we've got something special for the Elite Four!\Oh, no...\Those are! response:	Stop it, you pervert!
context: You people alright?!\Nice timing, Tsumugu!\Matoi! Use these!\Tailor's Daggers? Thanks!\And we've got something special for the Elite Four!\Oh, no...\Those are!\Stop it, you pervert! response:	Behold...
context: Nice timing, Tsumugu!\Matoi! Use these!\Tailor's Daggers? Thanks!\And we've got something special for the Elite Four!\Oh, no...\Those are!\Stop it, you pervert!\Behold... response:	Elite Four Customized DTRs!
context: Matoi! Use these!\Tailor's Daggers? Thanks!\And we've got something special for the Elite Four!\Oh, no...\Those are!\Stop it, you pervert!\Behold...\Elite Four Customized DTRs! response:	These were built for the final battle with Ragyo,
context: Tailor's Daggers? Thanks!\And we've got something special for the Elite Four!\Oh, no...\Those are!\Stop it, you pervert!\Behold...\Elite Four Customized DTRs!\These were built for the final battle with Ragyo, response:	but were never used because of your overblown resistance!
context: And we've got something special for the Elite Four!\Oh, no...\Those are!\Stop it, you pervert!\Behold...\Elite Four Customized DTRs!\These were built for the final battle with Ragyo,\but were never used because of your overblown resistance! response:	Since we didn't need them, we were going to turn them over to the Kiryuuin Zaibatsu.
context: Oh, no...\Those are!\Stop it, you pervert!\Behold...\Elite Four Customized DTRs!\These were built for the final battle with Ragyo,\but were never used because of your overblown resistance!\Since we didn't need them, we were going to turn them over to the Kiryuuin Zaibatsu. response:	It's a good thing I brought them from Osaka!
context: Those are!\Stop it, you pervert!\Behold...\Elite Four Customized DTRs!\These were built for the final battle with Ragyo,\but were never used because of your overblown resistance!\Since we didn't need them, we were going to turn them over to the Kiryuuin Zaibatsu.\It's a good thing I brought them from Osaka! response:	I never wanted to get in this thing...
context: Stop it, you pervert!\Behold...\Elite Four Customized DTRs!\These were built for the final battle with Ragyo,\but were never used because of your overblown resistance!\Since we didn't need them, we were going to turn them over to the Kiryuuin Zaibatsu.\It's a good thing I brought them from Osaka!\I never wanted to get in this thing... response:	But we can't fight, as it stands.
context: Behold...\Elite Four Customized DTRs!\These were built for the final battle with Ragyo,\but were never used because of your overblown resistance!\Since we didn't need them, we were going to turn them over to the Kiryuuin Zaibatsu.\It's a good thing I brought them from Osaka!\I never wanted to get in this thing...\But we can't fight, as it stands. response:	No sense turning down our only option.
context: Elite Four Customized DTRs!\These were built for the final battle with Ragyo,\but were never used because of your overblown resistance!\Since we didn't need them, we were going to turn them over to the Kiryuuin Zaibatsu.\It's a good thing I brought them from Osaka!\I never wanted to get in this thing...\But we can't fight, as it stands.\No sense turning down our only option. response:	We need results!
context: These were built for the final battle with Ragyo,\but were never used because of your overblown resistance!\Since we didn't need them, we were going to turn them over to the Kiryuuin Zaibatsu.\It's a good thing I brought them from Osaka!\I never wanted to get in this thing...\But we can't fight, as it stands.\No sense turning down our only option.\We need results! response:	What the hell are you people?!
context: but were never used because of your overblown resistance!\Since we didn't need them, we were going to turn them over to the Kiryuuin Zaibatsu.\It's a good thing I brought them from Osaka!\I never wanted to get in this thing...\But we can't fight, as it stands.\No sense turning down our only option.\We need results!\What the hell are you people?! response:	Where's the real Satsuki?!
context: Since we didn't need them, we were going to turn them over to the Kiryuuin Zaibatsu.\It's a good thing I brought them from Osaka!\I never wanted to get in this thing...\But we can't fight, as it stands.\No sense turning down our only option.\We need results!\What the hell are you people?!\Where's the real Satsuki?! response:	I am the real Satsuki!
context: It's a good thing I brought them from Osaka!\I never wanted to get in this thing...\But we can't fight, as it stands.\No sense turning down our only option.\We need results!\What the hell are you people?!\Where's the real Satsuki?!\I am the real Satsuki! response:	A Kiryuuin Satsuki with a broken spirit doesn't deserve to exist!
context: I never wanted to get in this thing...\But we can't fight, as it stands.\No sense turning down our only option.\We need results!\What the hell are you people?!\Where's the real Satsuki?!\I am the real Satsuki!\A Kiryuuin Satsuki with a broken spirit doesn't deserve to exist! response:	Aren't you tired of hiding in the darkness?
context: But we can't fight, as it stands.\No sense turning down our only option.\We need results!\What the hell are you people?!\Where's the real Satsuki?!\I am the real Satsuki!\A Kiryuuin Satsuki with a broken spirit doesn't deserve to exist!\Aren't you tired of hiding in the darkness? response:	Would you show yourself...
