context: TS response:	We need to make it to the harbor!
context: If you have to face it either way, shouldn't you try to overcome it?\Answer her!\You're the omniscient Hannah Mama, aren't you?\That's...\Liu... Lerato...\Fire the cannon, Ao!\We don't mind! We've been...\I can't! response:	If I did that, both of you would be hit as well!
context: Answer her!\You're the omniscient Hannah Mama, aren't you?\That's...\Liu... Lerato...\Fire the cannon, Ao!\We don't mind! We've been...\I can't!\If I did that, both of you would be hit as well! response:	Truth destroyed the Poseidon!
context: You're the omniscient Hannah Mama, aren't you?\That's...\Liu... Lerato...\Fire the cannon, Ao!\We don't mind! We've been...\I can't!\If I did that, both of you would be hit as well!\Truth destroyed the Poseidon! response:	He must pay for that.
context: That's...\Liu... Lerato...\Fire the cannon, Ao!\We don't mind! We've been...\I can't!\If I did that, both of you would be hit as well!\Truth destroyed the Poseidon!\He must pay for that. response:	He took away people who were dear to you as well.
context: Liu... Lerato...\Fire the cannon, Ao!\We don't mind! We've been...\I can't!\If I did that, both of you would be hit as well!\Truth destroyed the Poseidon!\He must pay for that.\He took away people who were dear to you as well. response:	But I can't shoot knowing that I'll hit the both of you...
context: Fire the cannon, Ao!\We don't mind! We've been...\I can't!\If I did that, both of you would be hit as well!\Truth destroyed the Poseidon!\He must pay for that.\He took away people who were dear to you as well.\But I can't shoot knowing that I'll hit the both of you... response:	I just can't fire it!
context: We don't mind! We've been...\I can't!\If I did that, both of you would be hit as well!\Truth destroyed the Poseidon!\He must pay for that.\He took away people who were dear to you as well.\But I can't shoot knowing that I'll hit the both of you...\I just can't fire it! response:	You're naive, Fukai Ao.
context: I can't!\If I did that, both of you would be hit as well!\Truth destroyed the Poseidon!\He must pay for that.\He took away people who were dear to you as well.\But I can't shoot knowing that I'll hit the both of you...\I just can't fire it!\You're naive, Fukai Ao. response:	Liu! Lerato!
context: If I did that, both of you would be hit as well!\Truth destroyed the Poseidon!\He must pay for that.\He took away people who were dear to you as well.\But I can't shoot knowing that I'll hit the both of you...\I just can't fire it!\You're naive, Fukai Ao.\Liu! Lerato! response:	Are you afraid of learning the truth?
context: Truth destroyed the Poseidon!\He must pay for that.\He took away people who were dear to you as well.\But I can't shoot knowing that I'll hit the both of you...\I just can't fire it!\You're naive, Fukai Ao.\Liu! Lerato!\Are you afraid of learning the truth? response:	I can't let a coward like you wield that power!
context: He must pay for that.\He took away people who were dear to you as well.\But I can't shoot knowing that I'll hit the both of you...\I just can't fire it!\You're naive, Fukai Ao.\Liu! Lerato!\Are you afraid of learning the truth?\I can't let a coward like you wield that power! response:	We thought the Secrets were our enemies, but they weren't.
context: He took away people who were dear to you as well.\But I can't shoot knowing that I'll hit the both of you...\I just can't fire it!\You're naive, Fukai Ao.\Liu! Lerato!\Are you afraid of learning the truth?\I can't let a coward like you wield that power!\We thought the Secrets were our enemies, but they weren't. response:	Then the Scub became the villain. Now Truth is the ultimate evil.
context: But I can't shoot knowing that I'll hit the both of you...\I just can't fire it!\You're naive, Fukai Ao.\Liu! Lerato!\Are you afraid of learning the truth?\I can't let a coward like you wield that power!\We thought the Secrets were our enemies, but they weren't.\Then the Scub became the villain. Now Truth is the ultimate evil. response:	What is all this crap? Is it the truth?
context: I just can't fire it!\You're naive, Fukai Ao.\Liu! Lerato!\Are you afraid of learning the truth?\I can't let a coward like you wield that power!\We thought the Secrets were our enemies, but they weren't.\Then the Scub became the villain. Now Truth is the ultimate evil.\What is all this crap? Is it the truth? response:	Was I just looking for an enemy to fight against?
context: You're naive, Fukai Ao.\Liu! Lerato!\Are you afraid of learning the truth?\I can't let a coward like you wield that power!\We thought the Secrets were our enemies, but they weren't.\Then the Scub became the villain. Now Truth is the ultimate evil.\What is all this crap? Is it the truth?\Was I just looking for an enemy to fight against? response:	Because you're neither a Secret nor a part of the Scub, you can't stay in this world?
context: Liu! Lerato!\Are you afraid of learning the truth?\I can't let a coward like you wield that power!\We thought the Secrets were our enemies, but they weren't.\Then the Scub became the villain. Now Truth is the ultimate evil.\What is all this crap? Is it the truth?\Was I just looking for an enemy to fight against?\Because you're neither a Secret nor a part of the Scub, you can't stay in this world? response:	What the hell? Who's there to decide that?!
context: Are you afraid of learning the truth?\I can't let a coward like you wield that power!\We thought the Secrets were our enemies, but they weren't.\Then the Scub became the villain. Now Truth is the ultimate evil.\What is all this crap? Is it the truth?\Was I just looking for an enemy to fight against?\Because you're neither a Secret nor a part of the Scub, you can't stay in this world?\What the hell? Who's there to decide that?! response:	There's no clear line between that!
context: I can't let a coward like you wield that power!\We thought the Secrets were our enemies, but they weren't.\Then the Scub became the villain. Now Truth is the ultimate evil.\What is all this crap? Is it the truth?\Was I just looking for an enemy to fight against?\Because you're neither a Secret nor a part of the Scub, you can't stay in this world?\What the hell? Who's there to decide that?!\There's no clear line between that! response:	You're hoping that by erasing all the contradictions that exist,
context: We thought the Secrets were our enemies, but they weren't.\Then the Scub became the villain. Now Truth is the ultimate evil.\What is all this crap? Is it the truth?\Was I just looking for an enemy to fight against?\Because you're neither a Secret nor a part of the Scub, you can't stay in this world?\What the hell? Who's there to decide that?!\There's no clear line between that!\You're hoping that by erasing all the contradictions that exist, response:	everything will sort itself out, Truth?!
context: Then the Scub became the villain. Now Truth is the ultimate evil.\What is all this crap? Is it the truth?\Was I just looking for an enemy to fight against?\Because you're neither a Secret nor a part of the Scub, you can't stay in this world?\What the hell? Who's there to decide that?!\There's no clear line between that!\You're hoping that by erasing all the contradictions that exist,\everything will sort itself out, Truth?! response:	It won't solve anything... Not a single thing.
context: What is all this crap? Is it the truth?\Was I just looking for an enemy to fight against?\Because you're neither a Secret nor a part of the Scub, you can't stay in this world?\What the hell? Who's there to decide that?!\There's no clear line between that!\You're hoping that by erasing all the contradictions that exist,\everything will sort itself out, Truth?!\It won't solve anything... Not a single thing. response:	I told you you're naive. Don't make me repeat myself.
context: Was I just looking for an enemy to fight against?\Because you're neither a Secret nor a part of the Scub, you can't stay in this world?\What the hell? Who's there to decide that?!\There's no clear line between that!\You're hoping that by erasing all the contradictions that exist,\everything will sort itself out, Truth?!\It won't solve anything... Not a single thing.\I told you you're naive. Don't make me repeat myself. response:	Truth?
context: Because you're neither a Secret nor a part of the Scub, you can't stay in this world?\What the hell? Who's there to decide that?!\There's no clear line between that!\You're hoping that by erasing all the contradictions that exist,\everything will sort itself out, Truth?!\It won't solve anything... Not a single thing.\I told you you're naive. Don't make me repeat myself.\Truth? response:	Dammit!
context: What the hell? Who's there to decide that?!\There's no clear line between that!\You're hoping that by erasing all the contradictions that exist,\everything will sort itself out, Truth?!\It won't solve anything... Not a single thing.\I told you you're naive. Don't make me repeat myself.\Truth?\Dammit! response:	I ended up learning about the correct world.
context: There's no clear line between that!\You're hoping that by erasing all the contradictions that exist,\everything will sort itself out, Truth?!\It won't solve anything... Not a single thing.\I told you you're naive. Don't make me repeat myself.\Truth?\Dammit!\I ended up learning about the correct world. response:	I can't pretend that it doesn't exist.
context: You're hoping that by erasing all the contradictions that exist,\everything will sort itself out, Truth?!\It won't solve anything... Not a single thing.\I told you you're naive. Don't make me repeat myself.\Truth?\Dammit!\I ended up learning about the correct world.\I can't pretend that it doesn't exist. response:	He wants to disappear from this world that forced him to come into existence.
context: everything will sort itself out, Truth?!\It won't solve anything... Not a single thing.\I told you you're naive. Don't make me repeat myself.\Truth?\Dammit!\I ended up learning about the correct world.\I can't pretend that it doesn't exist.\He wants to disappear from this world that forced him to come into existence. response:	The correct world? The one and only one truth?
context: It won't solve anything... Not a single thing.\I told you you're naive. Don't make me repeat myself.\Truth?\Dammit!\I ended up learning about the correct world.\I can't pretend that it doesn't exist.\He wants to disappear from this world that forced him to come into existence.\The correct world? The one and only one truth? response:	What the hell is that?
context: I told you you're naive. Don't make me repeat myself.\Truth?\Dammit!\I ended up learning about the correct world.\I can't pretend that it doesn't exist.\He wants to disappear from this world that forced him to come into existence.\The correct world? The one and only one truth?\What the hell is that? response:	How much are you going to sacrifice for it?!
context: Truth?\Dammit!\I ended up learning about the correct world.\I can't pretend that it doesn't exist.\He wants to disappear from this world that forced him to come into existence.\The correct world? The one and only one truth?\What the hell is that?\How much are you going to sacrifice for it?! response:	Will I die here?
context: Dammit!\I ended up learning about the correct world.\I can't pretend that it doesn't exist.\He wants to disappear from this world that forced him to come into existence.\The correct world? The one and only one truth?\What the hell is that?\How much are you going to sacrifice for it?!\Will I die here? response:	Or will I have to lose even more?
context: I ended up learning about the correct world.\I can't pretend that it doesn't exist.\He wants to disappear from this world that forced him to come into existence.\The correct world? The one and only one truth?\What the hell is that?\How much are you going to sacrifice for it?!\Will I die here?\Or will I have to lose even more? response:	This is...
context: I can't pretend that it doesn't exist.\He wants to disappear from this world that forced him to come into existence.\The correct world? The one and only one truth?\What the hell is that?\How much are you going to sacrifice for it?!\Will I die here?\Or will I have to lose even more?\This is... response:	You did it, Ao!
context: He wants to disappear from this world that forced him to come into existence.\The correct world? The one and only one truth?\What the hell is that?\How much are you going to sacrifice for it?!\Will I die here?\Or will I have to lose even more?\This is...\You did it, Ao! response:	I did it?
context: The correct world? The one and only one truth?\What the hell is that?\How much are you going to sacrifice for it?!\Will I die here?\Or will I have to lose even more?\This is...\You did it, Ao!\I did it? response:	You shot it down with the Quartz Gun!
context: What the hell is that?\How much are you going to sacrifice for it?!\Will I die here?\Or will I have to lose even more?\This is...\You did it, Ao!\I did it?\You shot it down with the Quartz Gun! response:	It?
context: How much are you going to sacrifice for it?!\Will I die here?\Or will I have to lose even more?\This is...\You did it, Ao!\I did it?\You shot it down with the Quartz Gun!\It? response:	I shot down Truth?
context: Will I die here?\Or will I have to lose even more?\This is...\You did it, Ao!\I did it?\You shot it down with the Quartz Gun!\It?\I shot down Truth? response:	Truth? What are you talking about?
context: Or will I have to lose even more?\This is...\You did it, Ao!\I did it?\You shot it down with the Quartz Gun!\It?\I shot down Truth?\Truth? What are you talking about? response:	We've confirmed the destruction of the coral relic IFO that the Allied Forces stole.
context: This is...\You did it, Ao!\I did it?\You shot it down with the Quartz Gun!\It?\I shot down Truth?\Truth? What are you talking about?\We've confirmed the destruction of the coral relic IFO that the Allied Forces stole. response:	Rate of operation at 23...
context: You did it, Ao!\I did it?\You shot it down with the Quartz Gun!\It?\I shot down Truth?\Truth? What are you talking about?\We've confirmed the destruction of the coral relic IFO that the Allied Forces stole.\Rate of operation at 23... response:	So this is the world after shooting the Quartz Gun?
context: I did it?\You shot it down with the Quartz Gun!\It?\I shot down Truth?\Truth? What are you talking about?\We've confirmed the destruction of the coral relic IFO that the Allied Forces stole.\Rate of operation at 23...\So this is the world after shooting the Quartz Gun? response:	It's our victory, Ao.
context: You shot it down with the Quartz Gun!\It?\I shot down Truth?\Truth? What are you talking about?\We've confirmed the destruction of the coral relic IFO that the Allied Forces stole.\Rate of operation at 23...\So this is the world after shooting the Quartz Gun?\It's our victory, Ao. response:	Mankind won't be divided anymore by Secrets and Scub!
context: It?\I shot down Truth?\Truth? What are you talking about?\We've confirmed the destruction of the coral relic IFO that the Allied Forces stole.\Rate of operation at 23...\So this is the world after shooting the Quartz Gun?\It's our victory, Ao.\Mankind won't be divided anymore by Secrets and Scub! response:	Arata Naru's Nirvash is not operational as well.
context: I shot down Truth?\Truth? What are you talking about?\We've confirmed the destruction of the coral relic IFO that the Allied Forces stole.\Rate of operation at 23...\So this is the world after shooting the Quartz Gun?\It's our victory, Ao.\Mankind won't be divided anymore by Secrets and Scub!\Arata Naru's Nirvash is not operational as well. response:	Huh?
context: Truth? What are you talking about?\We've confirmed the destruction of the coral relic IFO that the Allied Forces stole.\Rate of operation at 23...\So this is the world after shooting the Quartz Gun?\It's our victory, Ao.\Mankind won't be divided anymore by Secrets and Scub!\Arata Naru's Nirvash is not operational as well.\Huh? response:	Are you... Naru?
context: We've confirmed the destruction of the coral relic IFO that the Allied Forces stole.\Rate of operation at 23...\So this is the world after shooting the Quartz Gun?\It's our victory, Ao.\Mankind won't be divided anymore by Secrets and Scub!\Arata Naru's Nirvash is not operational as well.\Huh?\Are you... Naru? response:	Isn't it a bit too late for jokes?
context: Rate of operation at 23...\So this is the world after shooting the Quartz Gun?\It's our victory, Ao.\Mankind won't be divided anymore by Secrets and Scub!\Arata Naru's Nirvash is not operational as well.\Huh?\Are you... Naru?\Isn't it a bit too late for jokes? response:	I'm sorry... I shot Truth.
context: So this is the world after shooting the Quartz Gun?\It's our victory, Ao.\Mankind won't be divided anymore by Secrets and Scub!\Arata Naru's Nirvash is not operational as well.\Huh?\Are you... Naru?\Isn't it a bit too late for jokes?\I'm sorry... I shot Truth. response:	Truth? Is that your new girlfriend?
context: It's our victory, Ao.\Mankind won't be divided anymore by Secrets and Scub!\Arata Naru's Nirvash is not operational as well.\Huh?\Are you... Naru?\Isn't it a bit too late for jokes?\I'm sorry... I shot Truth.\Truth? Is that your new girlfriend? response:	Finish me already!
context: Mankind won't be divided anymore by Secrets and Scub!\Arata Naru's Nirvash is not operational as well.\Huh?\Are you... Naru?\Isn't it a bit too late for jokes?\I'm sorry... I shot Truth.\Truth? Is that your new girlfriend?\Finish me already! response:	You have one more shot, right?
context: Arata Naru's Nirvash is not operational as well.\Huh?\Are you... Naru?\Isn't it a bit too late for jokes?\I'm sorry... I shot Truth.\Truth? Is that your new girlfriend?\Finish me already!\You have one more shot, right? response:	What are you talking about?
context: Huh?\Are you... Naru?\Isn't it a bit too late for jokes?\I'm sorry... I shot Truth.\Truth? Is that your new girlfriend?\Finish me already!\You have one more shot, right?\What are you talking about? response:	The Quartz Gun releases the power of the Quartz directly.
context: Are you... Naru?\Isn't it a bit too late for jokes?\I'm sorry... I shot Truth.\Truth? Is that your new girlfriend?\Finish me already!\You have one more shot, right?\What are you talking about?\The Quartz Gun releases the power of the Quartz directly. response:	It'll run out soon.
context: Isn't it a bit too late for jokes?\I'm sorry... I shot Truth.\Truth? Is that your new girlfriend?\Finish me already!\You have one more shot, right?\What are you talking about?\The Quartz Gun releases the power of the Quartz directly.\It'll run out soon. response:	If you won't shoot, I will!
context: I'm sorry... I shot Truth.\Truth? Is that your new girlfriend?\Finish me already!\You have one more shot, right?\What are you talking about?\The Quartz Gun releases the power of the Quartz directly.\It'll run out soon.\If you won't shoot, I will! response:	Huh? I won?
context: Truth? Is that your new girlfriend?\Finish me already!\You have one more shot, right?\What are you talking about?\The Quartz Gun releases the power of the Quartz directly.\It'll run out soon.\If you won't shoot, I will!\Huh? I won? response:	Huh? Wait!
context: Finish me already!\You have one more shot, right?\What are you talking about?\The Quartz Gun releases the power of the Quartz directly.\It'll run out soon.\If you won't shoot, I will!\Huh? I won?\Huh? Wait! response:	Naru!
context: You have one more shot, right?\What are you talking about?\The Quartz Gun releases the power of the Quartz directly.\It'll run out soon.\If you won't shoot, I will!\Huh? I won?\Huh? Wait!\Naru! response:	Naru! Where's Naru?!
context: What are you talking about?\The Quartz Gun releases the power of the Quartz directly.\It'll run out soon.\If you won't shoot, I will!\Huh? I won?\Huh? Wait!\Naru!\Naru! Where's Naru?! response:	She's in the base infirmary.
context: The Quartz Gun releases the power of the Quartz directly.\It'll run out soon.\If you won't shoot, I will!\Huh? I won?\Huh? Wait!\Naru!\Naru! Where's Naru?!\She's in the base infirmary. response:	The military personnel who attacked the GenBlu HQ and stole the prototype IFO
context: It'll run out soon.\If you won't shoot, I will!\Huh? I won?\Huh? Wait!\Naru!\Naru! Where's Naru?!\She's in the base infirmary.\The military personnel who attacked the GenBlu HQ and stole the prototype IFO response:	and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.
context: If you won't shoot, I will!\Huh? I won?\Huh? Wait!\Naru!\Naru! Where's Naru?!\She's in the base infirmary.\The military personnel who attacked the GenBlu HQ and stole the prototype IFO\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation. response:	and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.
context: Huh? I won?\Huh? Wait!\Naru!\Naru! Where's Naru?!\She's in the base infirmary.\The military personnel who attacked the GenBlu HQ and stole the prototype IFO\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation. response:	But you Americans made her do it!
context: Huh? Wait!\Naru!\Naru! Where's Naru?!\She's in the base infirmary.\The military personnel who attacked the GenBlu HQ and stole the prototype IFO\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\But you Americans made her do it! response:	But the world finally understands that the Scub Coral is dangerous.
context: Naru!\Naru! Where's Naru?!\She's in the base infirmary.\The military personnel who attacked the GenBlu HQ and stole the prototype IFO\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\But you Americans made her do it!\But the world finally understands that the Scub Coral is dangerous. response:	However, there's a signal inside Naru's body that's identical to that of the Quartz...
context: Naru! Where's Naru?!\She's in the base infirmary.\The military personnel who attacked the GenBlu HQ and stole the prototype IFO\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\But you Americans made her do it!\But the world finally understands that the Scub Coral is dangerous.\However, there's a signal inside Naru's body that's identical to that of the Quartz... response:	Take a break, man!
context: She's in the base infirmary.\The military personnel who attacked the GenBlu HQ and stole the prototype IFO\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\But you Americans made her do it!\But the world finally understands that the Scub Coral is dangerous.\However, there's a signal inside Naru's body that's identical to that of the Quartz...\Take a break, man! response:	How long is that gonna take?
context: The military personnel who attacked the GenBlu HQ and stole the prototype IFO\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\But you Americans made her do it!\But the world finally understands that the Scub Coral is dangerous.\However, there's a signal inside Naru's body that's identical to that of the Quartz...\Take a break, man!\How long is that gonna take? response:	With the first shot,
context: and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\But you Americans made her do it!\But the world finally understands that the Scub Coral is dangerous.\However, there's a signal inside Naru's body that's identical to that of the Quartz...\Take a break, man!\How long is that gonna take?\With the first shot, response:	the plant in Norway was erased as if it had never existed,
context: and the eco-terrorists who tried to protect the Scub Coral will all face thorough investigation.\But you Americans made her do it!\But the world finally understands that the Scub Coral is dangerous.\However, there's a signal inside Naru's body that's identical to that of the Quartz...\Take a break, man!\How long is that gonna take?\With the first shot,\the plant in Norway was erased as if it had never existed, response:	and Team Goldilocks disappeared too.
context: But you Americans made her do it!\But the world finally understands that the Scub Coral is dangerous.\However, there's a signal inside Naru's body that's identical to that of the Quartz...\Take a break, man!\How long is that gonna take?\With the first shot,\the plant in Norway was erased as if it had never existed,\and Team Goldilocks disappeared too. response:	With the second shot,
context: But the world finally understands that the Scub Coral is dangerous.\However, there's a signal inside Naru's body that's identical to that of the Quartz...\Take a break, man!\How long is that gonna take?\With the first shot,\the plant in Norway was erased as if it had never existed,\and Team Goldilocks disappeared too.\With the second shot, response:	Truth was erased as if he had never existed.
context: However, there's a signal inside Naru's body that's identical to that of the Quartz...\Take a break, man!\How long is that gonna take?\With the first shot,\the plant in Norway was erased as if it had never existed,\and Team Goldilocks disappeared too.\With the second shot,\Truth was erased as if he had never existed. response:	The Allied Forces stole the relic and teamed up with Naru to fight the Secrets.
context: Take a break, man!\How long is that gonna take?\With the first shot,\the plant in Norway was erased as if it had never existed,\and Team Goldilocks disappeared too.\With the second shot,\Truth was erased as if he had never existed.\The Allied Forces stole the relic and teamed up with Naru to fight the Secrets. response:	History has been rewritten again.
context: How long is that gonna take?\With the first shot,\the plant in Norway was erased as if it had never existed,\and Team Goldilocks disappeared too.\With the second shot,\Truth was erased as if he had never existed.\The Allied Forces stole the relic and teamed up with Naru to fight the Secrets.\History has been rewritten again. response:	The trapar industry will be reassessed.
context: With the first shot,\the plant in Norway was erased as if it had never existed,\and Team Goldilocks disappeared too.\With the second shot,\Truth was erased as if he had never existed.\The Allied Forces stole the relic and teamed up with Naru to fight the Secrets.\History has been rewritten again.\The trapar industry will be reassessed. response:	What's going to happen to the Quartz?
context: the plant in Norway was erased as if it had never existed,\and Team Goldilocks disappeared too.\With the second shot,\Truth was erased as if he had never existed.\The Allied Forces stole the relic and teamed up with Naru to fight the Secrets.\History has been rewritten again.\The trapar industry will be reassessed.\What's going to happen to the Quartz? response:	It's inside Naru and other patients as well...
context: and Team Goldilocks disappeared too.\With the second shot,\Truth was erased as if he had never existed.\The Allied Forces stole the relic and teamed up with Naru to fight the Secrets.\History has been rewritten again.\The trapar industry will be reassessed.\What's going to happen to the Quartz?\It's inside Naru and other patients as well... response:	What's that?!
context: With the second shot,\Truth was erased as if he had never existed.\The Allied Forces stole the relic and teamed up with Naru to fight the Secrets.\History has been rewritten again.\The trapar industry will be reassessed.\What's going to happen to the Quartz?\It's inside Naru and other patients as well...\What's that?! response:	Please watch over Naru for me!
context: Truth was erased as if he had never existed.\The Allied Forces stole the relic and teamed up with Naru to fight the Secrets.\History has been rewritten again.\The trapar industry will be reassessed.\What's going to happen to the Quartz?\It's inside Naru and other patients as well...\What's that?!\Please watch over Naru for me! response:	Did something happen?
context: The Allied Forces stole the relic and teamed up with Naru to fight the Secrets.\History has been rewritten again.\The trapar industry will be reassessed.\What's going to happen to the Quartz?\It's inside Naru and other patients as well...\What's that?!\Please watch over Naru for me!\Did something happen? response:	Nothing! We don't have to fight again!
context: History has been rewritten again.\The trapar industry will be reassessed.\What's going to happen to the Quartz?\It's inside Naru and other patients as well...\What's that?!\Please watch over Naru for me!\Did something happen?\Nothing! We don't have to fight again! response:	Cheer up! This is the world you wanted!
context: The trapar industry will be reassessed.\What's going to happen to the Quartz?\It's inside Naru and other patients as well...\What's that?!\Please watch over Naru for me!\Did something happen?\Nothing! We don't have to fight again!\Cheer up! This is the world you wanted! response:	But Japan's still a small country.
context: What's going to happen to the Quartz?\It's inside Naru and other patients as well...\What's that?!\Please watch over Naru for me!\Did something happen?\Nothing! We don't have to fight again!\Cheer up! This is the world you wanted!\But Japan's still a small country. response:	Did something happen?
context: It's inside Naru and other patients as well...\What's that?!\Please watch over Naru for me!\Did something happen?\Nothing! We don't have to fight again!\Cheer up! This is the world you wanted!\But Japan's still a small country.\Did something happen? response:	The Okinawan Plant Coral?
context: What's that?!\Please watch over Naru for me!\Did something happen?\Nothing! We don't have to fight again!\Cheer up! This is the world you wanted!\But Japan's still a small country.\Did something happen?\The Okinawan Plant Coral? response:	But the plan is to destroy its Quartz tomorrow.
context: Please watch over Naru for me!\Did something happen?\Nothing! We don't have to fight again!\Cheer up! This is the world you wanted!\But Japan's still a small country.\Did something happen?\The Okinawan Plant Coral?\But the plan is to destroy its Quartz tomorrow. response:	Don't tell me it's a Secret!
context: Did something happen?\Nothing! We don't have to fight again!\Cheer up! This is the world you wanted!\But Japan's still a small country.\Did something happen?\The Okinawan Plant Coral?\But the plan is to destroy its Quartz tomorrow.\Don't tell me it's a Secret! response:	No, it's him. He's here.
context: Nothing! We don't have to fight again!\Cheer up! This is the world you wanted!\But Japan's still a small country.\Did something happen?\The Okinawan Plant Coral?\But the plan is to destroy its Quartz tomorrow.\Don't tell me it's a Secret!\No, it's him. He's here. response:	That's...
context: Cheer up! This is the world you wanted!\But Japan's still a small country.\Did something happen?\The Okinawan Plant Coral?\But the plan is to destroy its Quartz tomorrow.\Don't tell me it's a Secret!\No, it's him. He's here.\That's... response:	Mr. Soga, there shouldn't be any more Secrets, right?
context: But Japan's still a small country.\Did something happen?\The Okinawan Plant Coral?\But the plan is to destroy its Quartz tomorrow.\Don't tell me it's a Secret!\No, it's him. He's here.\That's...\Mr. Soga, there shouldn't be any more Secrets, right? response:	That's what they promised.
context: Did something happen?\The Okinawan Plant Coral?\But the plan is to destroy its Quartz tomorrow.\Don't tell me it's a Secret!\No, it's him. He's here.\That's...\Mr. Soga, there shouldn't be any more Secrets, right?\That's what they promised. response:	But that's not a known unit from any country.
context: The Okinawan Plant Coral?\But the plan is to destroy its Quartz tomorrow.\Don't tell me it's a Secret!\No, it's him. He's here.\That's...\Mr. Soga, there shouldn't be any more Secrets, right?\That's what they promised.\But that's not a known unit from any country. response:	The Scub Coral is here in this time as well?
context: But the plan is to destroy its Quartz tomorrow.\Don't tell me it's a Secret!\No, it's him. He's here.\That's...\Mr. Soga, there shouldn't be any more Secrets, right?\That's what they promised.\But that's not a known unit from any country.\The Scub Coral is here in this time as well? response:	Ao! What happened, Ao?!
context: Don't tell me it's a Secret!\No, it's him. He's here.\That's...\Mr. Soga, there shouldn't be any more Secrets, right?\That's what they promised.\But that's not a known unit from any country.\The Scub Coral is here in this time as well?\Ao! What happened, Ao?! response:	We're going too!
context: No, it's him. He's here.\That's...\Mr. Soga, there shouldn't be any more Secrets, right?\That's what they promised.\But that's not a known unit from any country.\The Scub Coral is here in this time as well?\Ao! What happened, Ao?!\We're going too! response:	Eureka!
context: That's...\Mr. Soga, there shouldn't be any more Secrets, right?\That's what they promised.\But that's not a known unit from any country.\The Scub Coral is here in this time as well?\Ao! What happened, Ao?!\We're going too!\Eureka! response:	She's Eureka?
context: Mr. Soga, there shouldn't be any more Secrets, right?\That's what they promised.\But that's not a known unit from any country.\The Scub Coral is here in this time as well?\Ao! What happened, Ao?!\We're going too!\Eureka!\She's Eureka? response:	He's here.
context: That's what they promised.\But that's not a known unit from any country.\The Scub Coral is here in this time as well?\Ao! What happened, Ao?!\We're going too!\Eureka!\She's Eureka?\He's here. response:	The charge is at 48?
context: But that's not a known unit from any country.\The Scub Coral is here in this time as well?\Ao! What happened, Ao?!\We're going too!\Eureka!\She's Eureka?\He's here.\The charge is at 48? response:	The gun loaded the Quartz by itself again...
context: The Scub Coral is here in this time as well?\Ao! What happened, Ao?!\We're going too!\Eureka!\She's Eureka?\He's here.\The charge is at 48?\The gun loaded the Quartz by itself again... response:	It's too close!
context: Ao! What happened, Ao?!\We're going too!\Eureka!\She's Eureka?\He's here.\The charge is at 48?\The gun loaded the Quartz by itself again...\It's too close! response:	Who's that?
context: We're going too!\Eureka!\She's Eureka?\He's here.\The charge is at 48?\The gun loaded the Quartz by itself again...\It's too close!\Who's that? response:	Why does he know the passcode?!
context: Eureka!\She's Eureka?\He's here.\The charge is at 48?\The gun loaded the Quartz by itself again...\It's too close!\Who's that?\Why does he know the passcode?! response:	So you pilot the Nirvash Neo?
context: She's Eureka?\He's here.\The charge is at 48?\The gun loaded the Quartz by itself again...\It's too close!\Who's that?\Why does he know the passcode?!\So you pilot the Nirvash Neo? response:	Where's its real pilot?
context: He's here.\The charge is at 48?\The gun loaded the Quartz by itself again...\It's too close!\Who's that?\Why does he know the passcode?!\So you pilot the Nirvash Neo?\Where's its real pilot? response:	A woman called Eureka should be piloting it.
context: The charge is at 48?\The gun loaded the Quartz by itself again...\It's too close!\Who's that?\Why does he know the passcode?!\So you pilot the Nirvash Neo?\Where's its real pilot?\A woman called Eureka should be piloting it. response:	Huh? Your eyes are...
context: The gun loaded the Quartz by itself again...\It's too close!\Who's that?\Why does he know the passcode?!\So you pilot the Nirvash Neo?\Where's its real pilot?\A woman called Eureka should be piloting it.\Huh? Your eyes are... response:	Ao, can you hear me? Ao!
context: It's too close!\Who's that?\Why does he know the passcode?!\So you pilot the Nirvash Neo?\Where's its real pilot?\A woman called Eureka should be piloting it.\Huh? Your eyes are...\Ao, can you hear me? Ao! response:	Eureka showed up on the Triton!
context: Who's that?\Why does he know the passcode?!\So you pilot the Nirvash Neo?\Where's its real pilot?\A woman called Eureka should be piloting it.\Huh? Your eyes are...\Ao, can you hear me? Ao!\Eureka showed up on the Triton! response:	Mom did?!
