context: Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: Well, that said, they can still be the cause of trouble.\We're supposed to kill them, but...\I see. So sorry.\Hey! Isn't that...\Isn't that a Cedar Pollen Allergen?\What the hell?\So it was him who snuck in from the membrane outlet?\This means that the legend must be... response:	Who are you?
context: We're supposed to kill them, but...\I see. So sorry.\Hey! Isn't that...\Isn't that a Cedar Pollen Allergen?\What the hell?\So it was him who snuck in from the membrane outlet?\This means that the legend must be...\Who are you? response:	Oh, excuse me.
context: I see. So sorry.\Hey! Isn't that...\Isn't that a Cedar Pollen Allergen?\What the hell?\So it was him who snuck in from the membrane outlet?\This means that the legend must be...\Who are you?\Oh, excuse me. response:	I'm Memory Cell.
context: Hey! Isn't that...\Isn't that a Cedar Pollen Allergen?\What the hell?\So it was him who snuck in from the membrane outlet?\This means that the legend must be...\Who are you?\Oh, excuse me.\I'm Memory Cell. response:	MEMORY CELL: A Lymphocyte that retains memories of pathogens. They're prepared for a second invasion by the same antigen or virus.
context: Isn't that a Cedar Pollen Allergen?\What the hell?\So it was him who snuck in from the membrane outlet?\This means that the legend must be...\Who are you?\Oh, excuse me.\I'm Memory Cell.\MEMORY CELL: A Lymphocyte that retains memories of pathogens. They're prepared for a second invasion by the same antigen or virus. response:	Memory Cell.
context: What the hell?\So it was him who snuck in from the membrane outlet?\This means that the legend must be...\Who are you?\Oh, excuse me.\I'm Memory Cell.\MEMORY CELL: A Lymphocyte that retains memories of pathogens. They're prepared for a second invasion by the same antigen or virus.\Memory Cell. response:	A Lymphocyte that retains memories of pathogens.
context: So it was him who snuck in from the membrane outlet?\This means that the legend must be...\Who are you?\Oh, excuse me.\I'm Memory Cell.\MEMORY CELL: A Lymphocyte that retains memories of pathogens. They're prepared for a second invasion by the same antigen or virus.\Memory Cell.\A Lymphocyte that retains memories of pathogens. response:	They're prepared for a second invasion by the same antigen or virus.
context: This means that the legend must be...\Who are you?\Oh, excuse me.\I'm Memory Cell.\MEMORY CELL: A Lymphocyte that retains memories of pathogens. They're prepared for a second invasion by the same antigen or virus.\Memory Cell.\A Lymphocyte that retains memories of pathogens.\They're prepared for a second invasion by the same antigen or virus. response:	Why are you panicking?
context: Who are you?\Oh, excuse me.\I'm Memory Cell.\MEMORY CELL: A Lymphocyte that retains memories of pathogens. They're prepared for a second invasion by the same antigen or virus.\Memory Cell.\A Lymphocyte that retains memories of pathogens.\They're prepared for a second invasion by the same antigen or virus.\Why are you panicking? response:	It's not like Cedar Pollen allergens are that dangerous.
context: Oh, excuse me.\I'm Memory Cell.\MEMORY CELL: A Lymphocyte that retains memories of pathogens. They're prepared for a second invasion by the same antigen or virus.\Memory Cell.\A Lymphocyte that retains memories of pathogens.\They're prepared for a second invasion by the same antigen or virus.\Why are you panicking?\It's not like Cedar Pollen allergens are that dangerous. response:	Yeah! Not yet at least!
context: I'm Memory Cell.\MEMORY CELL: A Lymphocyte that retains memories of pathogens. They're prepared for a second invasion by the same antigen or virus.\Memory Cell.\A Lymphocyte that retains memories of pathogens.\They're prepared for a second invasion by the same antigen or virus.\Why are you panicking?\It's not like Cedar Pollen allergens are that dangerous.\Yeah! Not yet at least! response:	But there's a legend that's been passed down to us Memory Cells for generations.
context: MEMORY CELL: A Lymphocyte that retains memories of pathogens. They're prepared for a second invasion by the same antigen or virus.\Memory Cell.\A Lymphocyte that retains memories of pathogens.\They're prepared for a second invasion by the same antigen or virus.\Why are you panicking?\It's not like Cedar Pollen allergens are that dangerous.\Yeah! Not yet at least!\But there's a legend that's been passed down to us Memory Cells for generations. response:	Legend?
context: Memory Cell.\A Lymphocyte that retains memories of pathogens.\They're prepared for a second invasion by the same antigen or virus.\Why are you panicking?\It's not like Cedar Pollen allergens are that dangerous.\Yeah! Not yet at least!\But there's a legend that's been passed down to us Memory Cells for generations.\Legend? response:	What kind of legend?
context: A Lymphocyte that retains memories of pathogens.\They're prepared for a second invasion by the same antigen or virus.\Why are you panicking?\It's not like Cedar Pollen allergens are that dangerous.\Yeah! Not yet at least!\But there's a legend that's been passed down to us Memory Cells for generations.\Legend?\What kind of legend? response:	Memory Cell?
context: They're prepared for a second invasion by the same antigen or virus.\Why are you panicking?\It's not like Cedar Pollen allergens are that dangerous.\Yeah! Not yet at least!\But there's a legend that's been passed down to us Memory Cells for generations.\Legend?\What kind of legend?\Memory Cell? response:	LEGEND NOTES
context: Why are you panicking?\It's not like Cedar Pollen allergens are that dangerous.\Yeah! Not yet at least!\But there's a legend that's been passed down to us Memory Cells for generations.\Legend?\What kind of legend?\Memory Cell?\LEGEND NOTES response:	There's a legend that's been passed down to us Memory Cells for generations.
context: It's not like Cedar Pollen allergens are that dangerous.\Yeah! Not yet at least!\But there's a legend that's been passed down to us Memory Cells for generations.\Legend?\What kind of legend?\Memory Cell?\LEGEND NOTES\There's a legend that's been passed down to us Memory Cells for generations. response:	When the Meteor of Disaster arrives from outer space,
context: Yeah! Not yet at least!\But there's a legend that's been passed down to us Memory Cells for generations.\Legend?\What kind of legend?\Memory Cell?\LEGEND NOTES\There's a legend that's been passed down to us Memory Cells for generations.\When the Meteor of Disaster arrives from outer space, response:	the mountains will rage, the earth will grow savage, and the sea will writhe!
context: But there's a legend that's been passed down to us Memory Cells for generations.\Legend?\What kind of legend?\Memory Cell?\LEGEND NOTES\There's a legend that's been passed down to us Memory Cells for generations.\When the Meteor of Disaster arrives from outer space,\the mountains will rage, the earth will grow savage, and the sea will writhe! response:	Wh-What does that mean?
context: Legend?\What kind of legend?\Memory Cell?\LEGEND NOTES\There's a legend that's been passed down to us Memory Cells for generations.\When the Meteor of Disaster arrives from outer space,\the mountains will rage, the earth will grow savage, and the sea will writhe!\Wh-What does that mean? response:	In other words,
context: What kind of legend?\Memory Cell?\LEGEND NOTES\There's a legend that's been passed down to us Memory Cells for generations.\When the Meteor of Disaster arrives from outer space,\the mountains will rage, the earth will grow savage, and the sea will writhe!\Wh-What does that mean?\In other words, response:	a massive eruption, diastrophism, and a great flood will occur at the same time,
context: Memory Cell?\LEGEND NOTES\There's a legend that's been passed down to us Memory Cells for generations.\When the Meteor of Disaster arrives from outer space,\the mountains will rage, the earth will grow savage, and the sea will writhe!\Wh-What does that mean?\In other words,\a massive eruption, diastrophism, and a great flood will occur at the same time, response:	bringing on an unprecedented catastrophe!
context: LEGEND NOTES\There's a legend that's been passed down to us Memory Cells for generations.\When the Meteor of Disaster arrives from outer space,\the mountains will rage, the earth will grow savage, and the sea will writhe!\Wh-What does that mean?\In other words,\a massive eruption, diastrophism, and a great flood will occur at the same time,\bringing on an unprecedented catastrophe! response:	Harbinger...
context: There's a legend that's been passed down to us Memory Cells for generations.\When the Meteor of Disaster arrives from outer space,\the mountains will rage, the earth will grow savage, and the sea will writhe!\Wh-What does that mean?\In other words,\a massive eruption, diastrophism, and a great flood will occur at the same time,\bringing on an unprecedented catastrophe!\Harbinger... response:	of a catastrophe.
context: When the Meteor of Disaster arrives from outer space,\the mountains will rage, the earth will grow savage, and the sea will writhe!\Wh-What does that mean?\In other words,\a massive eruption, diastrophism, and a great flood will occur at the same time,\bringing on an unprecedented catastrophe!\Harbinger...\of a catastrophe. response:	- That thing? - Cedar!
context: the mountains will rage, the earth will grow savage, and the sea will writhe!\Wh-What does that mean?\In other words,\a massive eruption, diastrophism, and a great flood will occur at the same time,\bringing on an unprecedented catastrophe!\Harbinger...\of a catastrophe.\- That thing? - Cedar! response:	Oh, there's another one!
context: Wh-What does that mean?\In other words,\a massive eruption, diastrophism, and a great flood will occur at the same time,\bringing on an unprecedented catastrophe!\Harbinger...\of a catastrophe.\- That thing? - Cedar!\Oh, there's another one! response:	You'll see, soon enough.
context: In other words,\a massive eruption, diastrophism, and a great flood will occur at the same time,\bringing on an unprecedented catastrophe!\Harbinger...\of a catastrophe.\- That thing? - Cedar!\Oh, there's another one!\You'll see, soon enough. response:	Emergency!
context: a massive eruption, diastrophism, and a great flood will occur at the same time,\bringing on an unprecedented catastrophe!\Harbinger...\of a catastrophe.\- That thing? - Cedar!\Oh, there's another one!\You'll see, soon enough.\Emergency! response:	An abnormal number of Cedar Pollen Allergens has invaded the body.
context: bringing on an unprecedented catastrophe!\Harbinger...\of a catastrophe.\- That thing? - Cedar!\Oh, there's another one!\You'll see, soon enough.\Emergency!\An abnormal number of Cedar Pollen Allergens has invaded the body. response:	If you're nearby, please escape immediately if you can!
context: Harbinger...\of a catastrophe.\- That thing? - Cedar!\Oh, there's another one!\You'll see, soon enough.\Emergency!\An abnormal number of Cedar Pollen Allergens has invaded the body.\If you're nearby, please escape immediately if you can! response:	CELL
context: of a catastrophe.\- That thing? - Cedar!\Oh, there's another one!\You'll see, soon enough.\Emergency!\An abnormal number of Cedar Pollen Allergens has invaded the body.\If you're nearby, please escape immediately if you can!\CELL response:	Cedar, cedar, cedar...
context: - That thing? - Cedar!\Oh, there's another one!\You'll see, soon enough.\Emergency!\An abnormal number of Cedar Pollen Allergens has invaded the body.\If you're nearby, please escape immediately if you can!\CELL\Cedar, cedar, cedar... response:	Where did all these Cedar Pollen Allergens come from?
context: Oh, there's another one!\You'll see, soon enough.\Emergency!\An abnormal number of Cedar Pollen Allergens has invaded the body.\If you're nearby, please escape immediately if you can!\CELL\Cedar, cedar, cedar...\Where did all these Cedar Pollen Allergens come from? response:	Cedar, cedar, cedar...
context: You'll see, soon enough.\Emergency!\An abnormal number of Cedar Pollen Allergens has invaded the body.\If you're nearby, please escape immediately if you can!\CELL\Cedar, cedar, cedar...\Where did all these Cedar Pollen Allergens come from?\Cedar, cedar, cedar... response:	My house!
context: Emergency!\An abnormal number of Cedar Pollen Allergens has invaded the body.\If you're nearby, please escape immediately if you can!\CELL\Cedar, cedar, cedar...\Where did all these Cedar Pollen Allergens come from?\Cedar, cedar, cedar...\My house! response:	I-It's here!
context: An abnormal number of Cedar Pollen Allergens has invaded the body.\If you're nearby, please escape immediately if you can!\CELL\Cedar, cedar, cedar...\Where did all these Cedar Pollen Allergens come from?\Cedar, cedar, cedar...\My house!\I-It's here! response:	The beginning of the end of the world!
context: If you're nearby, please escape immediately if you can!\CELL\Cedar, cedar, cedar...\Where did all these Cedar Pollen Allergens come from?\Cedar, cedar, cedar...\My house!\I-It's here!\The beginning of the end of the world! response:	Yes, this is the Cedar Pollen Allergies Emergency Response HQ!
context: CELL\Cedar, cedar, cedar...\Where did all these Cedar Pollen Allergens come from?\Cedar, cedar, cedar...\My house!\I-It's here!\The beginning of the end of the world!\Yes, this is the Cedar Pollen Allergies Emergency Response HQ! response:	- Report the situation. Calm down! - Yes. Yes!
context: Cedar, cedar, cedar...\Where did all these Cedar Pollen Allergens come from?\Cedar, cedar, cedar...\My house!\I-It's here!\The beginning of the end of the world!\Yes, this is the Cedar Pollen Allergies Emergency Response HQ!\- Report the situation. Calm down! - Yes. Yes! response:	Don't return to the eyeball membrane!
context: Where did all these Cedar Pollen Allergens come from?\Cedar, cedar, cedar...\My house!\I-It's here!\The beginning of the end of the world!\Yes, this is the Cedar Pollen Allergies Emergency Response HQ!\- Report the situation. Calm down! - Yes. Yes!\Don't return to the eyeball membrane! response:	Helper T Commander!
context: Cedar, cedar, cedar...\My house!\I-It's here!\The beginning of the end of the world!\Yes, this is the Cedar Pollen Allergies Emergency Response HQ!\- Report the situation. Calm down! - Yes. Yes!\Don't return to the eyeball membrane!\Helper T Commander! response:	We're getting bombarded with damage reports about Cedar Pollen Allergens!
context: My house!\I-It's here!\The beginning of the end of the world!\Yes, this is the Cedar Pollen Allergies Emergency Response HQ!\- Report the situation. Calm down! - Yes. Yes!\Don't return to the eyeball membrane!\Helper T Commander!\We're getting bombarded with damage reports about Cedar Pollen Allergens! response:	Doesn't it seem like there are more of these guys every year?
context: I-It's here!\The beginning of the end of the world!\Yes, this is the Cedar Pollen Allergies Emergency Response HQ!\- Report the situation. Calm down! - Yes. Yes!\Don't return to the eyeball membrane!\Helper T Commander!\We're getting bombarded with damage reports about Cedar Pollen Allergens!\Doesn't it seem like there are more of these guys every year? response:	I mean, it's fine. After all, we've got a secret weapon.
context: The beginning of the end of the world!\Yes, this is the Cedar Pollen Allergies Emergency Response HQ!\- Report the situation. Calm down! - Yes. Yes!\Don't return to the eyeball membrane!\Helper T Commander!\We're getting bombarded with damage reports about Cedar Pollen Allergens!\Doesn't it seem like there are more of these guys every year?\I mean, it's fine. After all, we've got a secret weapon. response:	By secret weapon, you mean B Cell, right?
context: Yes, this is the Cedar Pollen Allergies Emergency Response HQ!\- Report the situation. Calm down! - Yes. Yes!\Don't return to the eyeball membrane!\Helper T Commander!\We're getting bombarded with damage reports about Cedar Pollen Allergens!\Doesn't it seem like there are more of these guys every year?\I mean, it's fine. After all, we've got a secret weapon.\By secret weapon, you mean B Cell, right? response:	That's right!
context: - Report the situation. Calm down! - Yes. Yes!\Don't return to the eyeball membrane!\Helper T Commander!\We're getting bombarded with damage reports about Cedar Pollen Allergens!\Doesn't it seem like there are more of these guys every year?\I mean, it's fine. After all, we've got a secret weapon.\By secret weapon, you mean B Cell, right?\That's right! response:	Have him head to the front lines right away!
context: Don't return to the eyeball membrane!\Helper T Commander!\We're getting bombarded with damage reports about Cedar Pollen Allergens!\Doesn't it seem like there are more of these guys every year?\I mean, it's fine. After all, we've got a secret weapon.\By secret weapon, you mean B Cell, right?\That's right!\Have him head to the front lines right away! response:	You get away from here, Red Blood Cell!
context: Helper T Commander!\We're getting bombarded with damage reports about Cedar Pollen Allergens!\Doesn't it seem like there are more of these guys every year?\I mean, it's fine. After all, we've got a secret weapon.\By secret weapon, you mean B Cell, right?\That's right!\Have him head to the front lines right away!\You get away from here, Red Blood Cell! response:	Okay!
context: We're getting bombarded with damage reports about Cedar Pollen Allergens!\Doesn't it seem like there are more of these guys every year?\I mean, it's fine. After all, we've got a secret weapon.\By secret weapon, you mean B Cell, right?\That's right!\Have him head to the front lines right away!\You get away from here, Red Blood Cell!\Okay! response:	Cedar, cedar, cedar...
context: Doesn't it seem like there are more of these guys every year?\I mean, it's fine. After all, we've got a secret weapon.\By secret weapon, you mean B Cell, right?\That's right!\Have him head to the front lines right away!\You get away from here, Red Blood Cell!\Okay!\Cedar, cedar, cedar... response:	No sign of the invasion abating.
context: I mean, it's fine. After all, we've got a secret weapon.\By secret weapon, you mean B Cell, right?\That's right!\Have him head to the front lines right away!\You get away from here, Red Blood Cell!\Okay!\Cedar, cedar, cedar...\No sign of the invasion abating. response:	Could this really be the harbinger of a catastrophe?
context: By secret weapon, you mean B Cell, right?\That's right!\Have him head to the front lines right away!\You get away from here, Red Blood Cell!\Okay!\Cedar, cedar, cedar...\No sign of the invasion abating.\Could this really be the harbinger of a catastrophe? response:	SECRETION
context: That's right!\Have him head to the front lines right away!\You get away from here, Red Blood Cell!\Okay!\Cedar, cedar, cedar...\No sign of the invasion abating.\Could this really be the harbinger of a catastrophe?\SECRETION response:	Leave this to me!
context: Have him head to the front lines right away!\You get away from here, Red Blood Cell!\Okay!\Cedar, cedar, cedar...\No sign of the invasion abating.\Could this really be the harbinger of a catastrophe?\SECRETION\Leave this to me! response:	As long as I have this!
context: You get away from here, Red Blood Cell!\Okay!\Cedar, cedar, cedar...\No sign of the invasion abating.\Could this really be the harbinger of a catastrophe?\SECRETION\Leave this to me!\As long as I have this! response:	B CELL: Also known as Antibody-producing Cell. A type of Lymphocyte that fights antigens, such as bacteria and viruses by producing weapons called antibodies.
context: Okay!\Cedar, cedar, cedar...\No sign of the invasion abating.\Could this really be the harbinger of a catastrophe?\SECRETION\Leave this to me!\As long as I have this!\B CELL: Also known as Antibody-producing Cell. A type of Lymphocyte that fights antigens, such as bacteria and viruses by producing weapons called antibodies. response:	B Cell.
context: Cedar, cedar, cedar...\No sign of the invasion abating.\Could this really be the harbinger of a catastrophe?\SECRETION\Leave this to me!\As long as I have this!\B CELL: Also known as Antibody-producing Cell. A type of Lymphocyte that fights antigens, such as bacteria and viruses by producing weapons called antibodies.\B Cell. response:	Also known as Antibody-producing Cell.
context: No sign of the invasion abating.\Could this really be the harbinger of a catastrophe?\SECRETION\Leave this to me!\As long as I have this!\B CELL: Also known as Antibody-producing Cell. A type of Lymphocyte that fights antigens, such as bacteria and viruses by producing weapons called antibodies.\B Cell.\Also known as Antibody-producing Cell. response:	A type of Lymphocyte that fights antigens,
context: Could this really be the harbinger of a catastrophe?\SECRETION\Leave this to me!\As long as I have this!\B CELL: Also known as Antibody-producing Cell. A type of Lymphocyte that fights antigens, such as bacteria and viruses by producing weapons called antibodies.\B Cell.\Also known as Antibody-producing Cell.\A type of Lymphocyte that fights antigens, response:	such as bacteria and viruses by producing weapons called antibodies.
context: SECRETION\Leave this to me!\As long as I have this!\B CELL: Also known as Antibody-producing Cell. A type of Lymphocyte that fights antigens, such as bacteria and viruses by producing weapons called antibodies.\B Cell.\Also known as Antibody-producing Cell.\A type of Lymphocyte that fights antigens,\such as bacteria and viruses by producing weapons called antibodies. response:	- It's the B Cell! - With it's antibodies!
context: Leave this to me!\As long as I have this!\B CELL: Also known as Antibody-producing Cell. A type of Lymphocyte that fights antigens, such as bacteria and viruses by producing weapons called antibodies.\B Cell.\Also known as Antibody-producing Cell.\A type of Lymphocyte that fights antigens,\such as bacteria and viruses by producing weapons called antibodies.\- It's the B Cell! - With it's antibodies! response:	Memory Cell... Can't that catastrophe be prevented before it happens?
context: As long as I have this!\B CELL: Also known as Antibody-producing Cell. A type of Lymphocyte that fights antigens, such as bacteria and viruses by producing weapons called antibodies.\B Cell.\Also known as Antibody-producing Cell.\A type of Lymphocyte that fights antigens,\such as bacteria and viruses by producing weapons called antibodies.\- It's the B Cell! - With it's antibodies!\Memory Cell... Can't that catastrophe be prevented before it happens? response:	A divine mist shall envelope the land.
context: B CELL: Also known as Antibody-producing Cell. A type of Lymphocyte that fights antigens, such as bacteria and viruses by producing weapons called antibodies.\B Cell.\Also known as Antibody-producing Cell.\A type of Lymphocyte that fights antigens,\such as bacteria and viruses by producing weapons called antibodies.\- It's the B Cell! - With it's antibodies!\Memory Cell... Can't that catastrophe be prevented before it happens?\A divine mist shall envelope the land. response:	But that is what shall open the door to Hell.
context: B Cell.\Also known as Antibody-producing Cell.\A type of Lymphocyte that fights antigens,\such as bacteria and viruses by producing weapons called antibodies.\- It's the B Cell! - With it's antibodies!\Memory Cell... Can't that catastrophe be prevented before it happens?\A divine mist shall envelope the land.\But that is what shall open the door to Hell. response:	Huh? Why all of a sudden...
context: Also known as Antibody-producing Cell.\A type of Lymphocyte that fights antigens,\such as bacteria and viruses by producing weapons called antibodies.\- It's the B Cell! - With it's antibodies!\Memory Cell... Can't that catastrophe be prevented before it happens?\A divine mist shall envelope the land.\But that is what shall open the door to Hell.\Huh? Why all of a sudden... response:	All right, here goes!
context: A type of Lymphocyte that fights antigens,\such as bacteria and viruses by producing weapons called antibodies.\- It's the B Cell! - With it's antibodies!\Memory Cell... Can't that catastrophe be prevented before it happens?\A divine mist shall envelope the land.\But that is what shall open the door to Hell.\Huh? Why all of a sudden...\All right, here goes! response:	Cedar!
context: such as bacteria and viruses by producing weapons called antibodies.\- It's the B Cell! - With it's antibodies!\Memory Cell... Can't that catastrophe be prevented before it happens?\A divine mist shall envelope the land.\But that is what shall open the door to Hell.\Huh? Why all of a sudden...\All right, here goes!\Cedar! response:	You're history!
context: - It's the B Cell! - With it's antibodies!\Memory Cell... Can't that catastrophe be prevented before it happens?\A divine mist shall envelope the land.\But that is what shall open the door to Hell.\Huh? Why all of a sudden...\All right, here goes!\Cedar!\You're history! response:	Take that!
context: Memory Cell... Can't that catastrophe be prevented before it happens?\A divine mist shall envelope the land.\But that is what shall open the door to Hell.\Huh? Why all of a sudden...\All right, here goes!\Cedar!\You're history!\Take that! response:	IgE Antibody!
context: A divine mist shall envelope the land.\But that is what shall open the door to Hell.\Huh? Why all of a sudden...\All right, here goes!\Cedar!\You're history!\Take that!\IgE Antibody! response:	IgE ANTIBODY: An antibody produced by B Cells to fight allergens, as ordered by the Helper T Cells.
context: But that is what shall open the door to Hell.\Huh? Why all of a sudden...\All right, here goes!\Cedar!\You're history!\Take that!\IgE Antibody!\IgE ANTIBODY: An antibody produced by B Cells to fight allergens, as ordered by the Helper T Cells. response:	SECRETION
context: Huh? Why all of a sudden...\All right, here goes!\Cedar!\You're history!\Take that!\IgE Antibody!\IgE ANTIBODY: An antibody produced by B Cells to fight allergens, as ordered by the Helper T Cells.\SECRETION response:	- He annihilated them all in one shot! - Amazing!
context: All right, here goes!\Cedar!\You're history!\Take that!\IgE Antibody!\IgE ANTIBODY: An antibody produced by B Cells to fight allergens, as ordered by the Helper T Cells.\SECRETION\- He annihilated them all in one shot! - Amazing! response:	That divine mist you just mentioned, did you mean the IgE antibody?
context: Cedar!\You're history!\Take that!\IgE Antibody!\IgE ANTIBODY: An antibody produced by B Cells to fight allergens, as ordered by the Helper T Cells.\SECRETION\- He annihilated them all in one shot! - Amazing!\That divine mist you just mentioned, did you mean the IgE antibody? response:	I mean, it's looking like he's solved the problem.
context: You're history!\Take that!\IgE Antibody!\IgE ANTIBODY: An antibody produced by B Cells to fight allergens, as ordered by the Helper T Cells.\SECRETION\- He annihilated them all in one shot! - Amazing!\That divine mist you just mentioned, did you mean the IgE antibody?\I mean, it's looking like he's solved the problem. response:	Yeah. For now, at least.
context: Take that!\IgE Antibody!\IgE ANTIBODY: An antibody produced by B Cells to fight allergens, as ordered by the Helper T Cells.\SECRETION\- He annihilated them all in one shot! - Amazing!\That divine mist you just mentioned, did you mean the IgE antibody?\I mean, it's looking like he's solved the problem.\Yeah. For now, at least. response:	But something even worse is about to happen now!
context: IgE Antibody!\IgE ANTIBODY: An antibody produced by B Cells to fight allergens, as ordered by the Helper T Cells.\SECRETION\- He annihilated them all in one shot! - Amazing!\That divine mist you just mentioned, did you mean the IgE antibody?\I mean, it's looking like he's solved the problem.\Yeah. For now, at least.\But something even worse is about to happen now! response:	The mist will turn into dark clouds,
context: IgE ANTIBODY: An antibody produced by B Cells to fight allergens, as ordered by the Helper T Cells.\SECRETION\- He annihilated them all in one shot! - Amazing!\That divine mist you just mentioned, did you mean the IgE antibody?\I mean, it's looking like he's solved the problem.\Yeah. For now, at least.\But something even worse is about to happen now!\The mist will turn into dark clouds, response:	summon a heavy rainfall and sweep everything away!
context: SECRETION\- He annihilated them all in one shot! - Amazing!\That divine mist you just mentioned, did you mean the IgE antibody?\I mean, it's looking like he's solved the problem.\Yeah. For now, at least.\But something even worse is about to happen now!\The mist will turn into dark clouds,\summon a heavy rainfall and sweep everything away! response:	I don't know what's gonna happen, but it sounds scary!
context: - He annihilated them all in one shot! - Amazing!\That divine mist you just mentioned, did you mean the IgE antibody?\I mean, it's looking like he's solved the problem.\Yeah. For now, at least.\But something even worse is about to happen now!\The mist will turn into dark clouds,\summon a heavy rainfall and sweep everything away!\I don't know what's gonna happen, but it sounds scary! response:	I'm telling you, something mind-blowing is about to happen!
context: That divine mist you just mentioned, did you mean the IgE antibody?\I mean, it's looking like he's solved the problem.\Yeah. For now, at least.\But something even worse is about to happen now!\The mist will turn into dark clouds,\summon a heavy rainfall and sweep everything away!\I don't know what's gonna happen, but it sounds scary!\I'm telling you, something mind-blowing is about to happen! response:	There's no telling what might happen. Not at all.
context: I mean, it's looking like he's solved the problem.\Yeah. For now, at least.\But something even worse is about to happen now!\The mist will turn into dark clouds,\summon a heavy rainfall and sweep everything away!\I don't know what's gonna happen, but it sounds scary!\I'm telling you, something mind-blowing is about to happen!\There's no telling what might happen. Not at all. response:	- Yeah, good job, B Cell! - Hit'em again!
context: Yeah. For now, at least.\But something even worse is about to happen now!\The mist will turn into dark clouds,\summon a heavy rainfall and sweep everything away!\I don't know what's gonna happen, but it sounds scary!\I'm telling you, something mind-blowing is about to happen!\There's no telling what might happen. Not at all.\- Yeah, good job, B Cell! - Hit'em again! response:	A LOT
context: But something even worse is about to happen now!\The mist will turn into dark clouds,\summon a heavy rainfall and sweep everything away!\I don't know what's gonna happen, but it sounds scary!\I'm telling you, something mind-blowing is about to happen!\There's no telling what might happen. Not at all.\- Yeah, good job, B Cell! - Hit'em again!\A LOT response:	NORMAL
context: The mist will turn into dark clouds,\summon a heavy rainfall and sweep everything away!\I don't know what's gonna happen, but it sounds scary!\I'm telling you, something mind-blowing is about to happen!\There's no telling what might happen. Not at all.\- Yeah, good job, B Cell! - Hit'em again!\A LOT\NORMAL response:	What?
context: summon a heavy rainfall and sweep everything away!\I don't know what's gonna happen, but it sounds scary!\I'm telling you, something mind-blowing is about to happen!\There's no telling what might happen. Not at all.\- Yeah, good job, B Cell! - Hit'em again!\A LOT\NORMAL\What? response:	What's with these numbers?
context: I don't know what's gonna happen, but it sounds scary!\I'm telling you, something mind-blowing is about to happen!\There's no telling what might happen. Not at all.\- Yeah, good job, B Cell! - Hit'em again!\A LOT\NORMAL\What?\What's with these numbers? response:	Cells at Work!
context: I'm telling you, something mind-blowing is about to happen!\There's no telling what might happen. Not at all.\- Yeah, good job, B Cell! - Hit'em again!\A LOT\NORMAL\What?\What's with these numbers?\Cells at Work! response:	Cells at Work!
context: There's no telling what might happen. Not at all.\- Yeah, good job, B Cell! - Hit'em again!\A LOT\NORMAL\What?\What's with these numbers?\Cells at Work!\Cells at Work! response:	What's with this astronomical usage of IgE?
context: - Yeah, good job, B Cell! - Hit'em again!\A LOT\NORMAL\What?\What's with these numbers?\Cells at Work!\Cells at Work!\What's with this astronomical usage of IgE? response:	A LOT
context: A LOT\NORMAL\What?\What's with these numbers?\Cells at Work!\Cells at Work!\What's with this astronomical usage of IgE?\A LOT response:	NORMAL
context: NORMAL\What?\What's with these numbers?\Cells at Work!\Cells at Work!\What's with this astronomical usage of IgE?\A LOT\NORMAL response:	What the heck is going on?
context: What?\What's with these numbers?\Cells at Work!\Cells at Work!\What's with this astronomical usage of IgE?\A LOT\NORMAL\What the heck is going on? response:	ANTIBODY MANUAL
context: What's with these numbers?\Cells at Work!\Cells at Work!\What's with this astronomical usage of IgE?\A LOT\NORMAL\What the heck is going on?\ANTIBODY MANUAL response:	HISTAMINE HANDLING MANUAL
context: Cells at Work!\Cells at Work!\What's with this astronomical usage of IgE?\A LOT\NORMAL\What the heck is going on?\ANTIBODY MANUAL\HISTAMINE HANDLING MANUAL response:	IMMUNOREACTION
context: Cells at Work!\What's with this astronomical usage of IgE?\A LOT\NORMAL\What the heck is going on?\ANTIBODY MANUAL\HISTAMINE HANDLING MANUAL\IMMUNOREACTION response:	I've never seen numbers like this.
context: What's with this astronomical usage of IgE?\A LOT\NORMAL\What the heck is going on?\ANTIBODY MANUAL\HISTAMINE HANDLING MANUAL\IMMUNOREACTION\I've never seen numbers like this. response:	MAST CELL: Also known as Fat Cell. Releases chemical mediators, such as histamines and leukotrienes in reaction to the production of excessive IgE. Despite being known as Fat Cells, they have nothing to do with fat.
context: A LOT\NORMAL\What the heck is going on?\ANTIBODY MANUAL\HISTAMINE HANDLING MANUAL\IMMUNOREACTION\I've never seen numbers like this.\MAST CELL: Also known as Fat Cell. Releases chemical mediators, such as histamines and leukotrienes in reaction to the production of excessive IgE. Despite being known as Fat Cells, they have nothing to do with fat. response:	Mast Cell.
context: NORMAL\What the heck is going on?\ANTIBODY MANUAL\HISTAMINE HANDLING MANUAL\IMMUNOREACTION\I've never seen numbers like this.\MAST CELL: Also known as Fat Cell. Releases chemical mediators, such as histamines and leukotrienes in reaction to the production of excessive IgE. Despite being known as Fat Cells, they have nothing to do with fat.\Mast Cell. response:	Also known as Fat Cell.
