context: Naraku... response:	Fifty years ago, in order to steal the Sacred Jewel...
context: Yes! I beat him up with the firewood and...\when he stopped moving...\l-I see...\Master Miroku, please take me!\Koharu!\I have nowhere to go!\Besides, I'm an adult now.\I can bear your child. response:	She's younger than I am.
context: when he stopped moving...\l-I see...\Master Miroku, please take me!\Koharu!\I have nowhere to go!\Besides, I'm an adult now.\I can bear your child.\She's younger than I am. response:	Girls of the Feudal Era are amazing.
context: l-I see...\Master Miroku, please take me!\Koharu!\I have nowhere to go!\Besides, I'm an adult now.\I can bear your child.\She's younger than I am.\Girls of the Feudal Era are amazing. response:	Hope you understand, Miroku...
context: Master Miroku, please take me!\Koharu!\I have nowhere to go!\Besides, I'm an adult now.\I can bear your child.\She's younger than I am.\Girls of the Feudal Era are amazing.\Hope you understand, Miroku... response:	we can't take that girl.
context: Koharu!\I have nowhere to go!\Besides, I'm an adult now.\I can bear your child.\She's younger than I am.\Girls of the Feudal Era are amazing.\Hope you understand, Miroku...\we can't take that girl. response:	Yes...
context: I have nowhere to go!\Besides, I'm an adult now.\I can bear your child.\She's younger than I am.\Girls of the Feudal Era are amazing.\Hope you understand, Miroku...\we can't take that girl.\Yes... response:	Still, we can't just abandon her.
context: Besides, I'm an adult now.\I can bear your child.\She's younger than I am.\Girls of the Feudal Era are amazing.\Hope you understand, Miroku...\we can't take that girl.\Yes...\Still, we can't just abandon her. response:	Yes... Until I find someplace safe for her to stay, I cannot leave.
context: I can bear your child.\She's younger than I am.\Girls of the Feudal Era are amazing.\Hope you understand, Miroku...\we can't take that girl.\Yes...\Still, we can't just abandon her.\Yes... Until I find someplace safe for her to stay, I cannot leave. response:	I'll say... after all, you even asked her to bear your child.
context: She's younger than I am.\Girls of the Feudal Era are amazing.\Hope you understand, Miroku...\we can't take that girl.\Yes...\Still, we can't just abandon her.\Yes... Until I find someplace safe for her to stay, I cannot leave.\I'll say... after all, you even asked her to bear your child. response:	No... I ask that of every girl I meet.
context: Girls of the Feudal Era are amazing.\Hope you understand, Miroku...\we can't take that girl.\Yes...\Still, we can't just abandon her.\Yes... Until I find someplace safe for her to stay, I cannot leave.\I'll say... after all, you even asked her to bear your child.\No... I ask that of every girl I meet. response:	You never asked me.
context: Hope you understand, Miroku...\we can't take that girl.\Yes...\Still, we can't just abandon her.\Yes... Until I find someplace safe for her to stay, I cannot leave.\I'll say... after all, you even asked her to bear your child.\No... I ask that of every girl I meet.\You never asked me. response:	I'm sorry, Sango! Will you...
context: we can't take that girl.\Yes...\Still, we can't just abandon her.\Yes... Until I find someplace safe for her to stay, I cannot leave.\I'll say... after all, you even asked her to bear your child.\No... I ask that of every girl I meet.\You never asked me.\I'm sorry, Sango! Will you... response:	Don't say another word!
context: Yes...\Still, we can't just abandon her.\Yes... Until I find someplace safe for her to stay, I cannot leave.\I'll say... after all, you even asked her to bear your child.\No... I ask that of every girl I meet.\You never asked me.\I'm sorry, Sango! Will you...\Don't say another word! response:	Master Miroku is your first love?
context: Still, we can't just abandon her.\Yes... Until I find someplace safe for her to stay, I cannot leave.\I'll say... after all, you even asked her to bear your child.\No... I ask that of every girl I meet.\You never asked me.\I'm sorry, Sango! Will you...\Don't say another word!\Master Miroku is your first love? response:	Yes!
context: Yes... Until I find someplace safe for her to stay, I cannot leave.\I'll say... after all, you even asked her to bear your child.\No... I ask that of every girl I meet.\You never asked me.\I'm sorry, Sango! Will you...\Don't say another word!\Master Miroku is your first love?\Yes! response:	I've never forgotten him for a moment!
context: I'll say... after all, you even asked her to bear your child.\No... I ask that of every girl I meet.\You never asked me.\I'm sorry, Sango! Will you...\Don't say another word!\Master Miroku is your first love?\Yes!\I've never forgotten him for a moment! response:	I knew we'd meet again...
context: No... I ask that of every girl I meet.\You never asked me.\I'm sorry, Sango! Will you...\Don't say another word!\Master Miroku is your first love?\Yes!\I've never forgotten him for a moment!\I knew we'd meet again... response:	That thought helped me get through even the toughest times.
context: You never asked me.\I'm sorry, Sango! Will you...\Don't say another word!\Master Miroku is your first love?\Yes!\I've never forgotten him for a moment!\I knew we'd meet again...\That thought helped me get through even the toughest times. response:	First love, huh?
context: I'm sorry, Sango! Will you...\Don't say another word!\Master Miroku is your first love?\Yes!\I've never forgotten him for a moment!\I knew we'd meet again...\That thought helped me get through even the toughest times.\First love, huh? response:	I'm so fortunate. I can die in peace!
context: Don't say another word!\Master Miroku is your first love?\Yes!\I've never forgotten him for a moment!\I knew we'd meet again...\That thought helped me get through even the toughest times.\First love, huh?\I'm so fortunate. I can die in peace! response:	Oh, such a poor child.
context: Master Miroku is your first love?\Yes!\I've never forgotten him for a moment!\I knew we'd meet again...\That thought helped me get through even the toughest times.\First love, huh?\I'm so fortunate. I can die in peace!\Oh, such a poor child. response:	Headman, do you think she can stay in this village?
context: Yes!\I've never forgotten him for a moment!\I knew we'd meet again...\That thought helped me get through even the toughest times.\First love, huh?\I'm so fortunate. I can die in peace!\Oh, such a poor child.\Headman, do you think she can stay in this village? response:	Of course! Leave it to me, Lord Monk.
context: I've never forgotten him for a moment!\I knew we'd meet again...\That thought helped me get through even the toughest times.\First love, huh?\I'm so fortunate. I can die in peace!\Oh, such a poor child.\Headman, do you think she can stay in this village?\Of course! Leave it to me, Lord Monk. response:	I promise not to be a burden!
context: I knew we'd meet again...\That thought helped me get through even the toughest times.\First love, huh?\I'm so fortunate. I can die in peace!\Oh, such a poor child.\Headman, do you think she can stay in this village?\Of course! Leave it to me, Lord Monk.\I promise not to be a burden! response:	So please!
context: That thought helped me get through even the toughest times.\First love, huh?\I'm so fortunate. I can die in peace!\Oh, such a poor child.\Headman, do you think she can stay in this village?\Of course! Leave it to me, Lord Monk.\I promise not to be a burden!\So please! response:	No!
context: First love, huh?\I'm so fortunate. I can die in peace!\Oh, such a poor child.\Headman, do you think she can stay in this village?\Of course! Leave it to me, Lord Monk.\I promise not to be a burden!\So please!\No! response:	It's very dangerous to stay with us.
context: I'm so fortunate. I can die in peace!\Oh, such a poor child.\Headman, do you think she can stay in this village?\Of course! Leave it to me, Lord Monk.\I promise not to be a burden!\So please!\No!\It's very dangerous to stay with us. response:	Just forget it and stay here.
context: Oh, such a poor child.\Headman, do you think she can stay in this village?\Of course! Leave it to me, Lord Monk.\I promise not to be a burden!\So please!\No!\It's very dangerous to stay with us.\Just forget it and stay here. response:	It's better this way.
context: Headman, do you think she can stay in this village?\Of course! Leave it to me, Lord Monk.\I promise not to be a burden!\So please!\No!\It's very dangerous to stay with us.\Just forget it and stay here.\It's better this way. response:	Yes, yes!
context: Of course! Leave it to me, Lord Monk.\I promise not to be a burden!\So please!\No!\It's very dangerous to stay with us.\Just forget it and stay here.\It's better this way.\Yes, yes! response:	Koharu...
context: I promise not to be a burden!\So please!\No!\It's very dangerous to stay with us.\Just forget it and stay here.\It's better this way.\Yes, yes!\Koharu... response:	I just spoke to the headman.
context: So please!\No!\It's very dangerous to stay with us.\Just forget it and stay here.\It's better this way.\Yes, yes!\Koharu...\I just spoke to the headman. response:	Master Miroku...
context: No!\It's very dangerous to stay with us.\Just forget it and stay here.\It's better this way.\Yes, yes!\Koharu...\I just spoke to the headman.\Master Miroku... response:	Koharu, come with me.
context: It's very dangerous to stay with us.\Just forget it and stay here.\It's better this way.\Yes, yes!\Koharu...\I just spoke to the headman.\Master Miroku...\Koharu, come with me. response:	Master Miroku, we just met again. And to be parted so soon...
context: Just forget it and stay here.\It's better this way.\Yes, yes!\Koharu...\I just spoke to the headman.\Master Miroku...\Koharu, come with me.\Master Miroku, we just met again. And to be parted so soon... response:	Please understand, Koharu.
context: It's better this way.\Yes, yes!\Koharu...\I just spoke to the headman.\Master Miroku...\Koharu, come with me.\Master Miroku, we just met again. And to be parted so soon...\Please understand, Koharu. response:	When it comes time to battle...
context: Yes, yes!\Koharu...\I just spoke to the headman.\Master Miroku...\Koharu, come with me.\Master Miroku, we just met again. And to be parted so soon...\Please understand, Koharu.\When it comes time to battle... response:	I'm not sure whether I'll be able to protect you.
context: Koharu...\I just spoke to the headman.\Master Miroku...\Koharu, come with me.\Master Miroku, we just met again. And to be parted so soon...\Please understand, Koharu.\When it comes time to battle...\I'm not sure whether I'll be able to protect you. response:	The demon I seek is that formidable.
context: I just spoke to the headman.\Master Miroku...\Koharu, come with me.\Master Miroku, we just met again. And to be parted so soon...\Please understand, Koharu.\When it comes time to battle...\I'm not sure whether I'll be able to protect you.\The demon I seek is that formidable. response:	It's hard for me to say goodbye, too.
context: Master Miroku...\Koharu, come with me.\Master Miroku, we just met again. And to be parted so soon...\Please understand, Koharu.\When it comes time to battle...\I'm not sure whether I'll be able to protect you.\The demon I seek is that formidable.\It's hard for me to say goodbye, too. response:	Is he trying to convince her?
context: Koharu, come with me.\Master Miroku, we just met again. And to be parted so soon...\Please understand, Koharu.\When it comes time to battle...\I'm not sure whether I'll be able to protect you.\The demon I seek is that formidable.\It's hard for me to say goodbye, too.\Is he trying to convince her? response:	Seems more like he's seducing her.
context: Master Miroku, we just met again. And to be parted so soon...\Please understand, Koharu.\When it comes time to battle...\I'm not sure whether I'll be able to protect you.\The demon I seek is that formidable.\It's hard for me to say goodbye, too.\Is he trying to convince her?\Seems more like he's seducing her. response:	Cripes, he's so touchy-feely!
context: Please understand, Koharu.\When it comes time to battle...\I'm not sure whether I'll be able to protect you.\The demon I seek is that formidable.\It's hard for me to say goodbye, too.\Is he trying to convince her?\Seems more like he's seducing her.\Cripes, he's so touchy-feely! response:	He's only making her more attached.
context: When it comes time to battle...\I'm not sure whether I'll be able to protect you.\The demon I seek is that formidable.\It's hard for me to say goodbye, too.\Is he trying to convince her?\Seems more like he's seducing her.\Cripes, he's so touchy-feely!\He's only making her more attached. response:	What?
context: I'm not sure whether I'll be able to protect you.\The demon I seek is that formidable.\It's hard for me to say goodbye, too.\Is he trying to convince her?\Seems more like he's seducing her.\Cripes, he's so touchy-feely!\He's only making her more attached.\What? response:	I may be imagining it, Sango...
context: The demon I seek is that formidable.\It's hard for me to say goodbye, too.\Is he trying to convince her?\Seems more like he's seducing her.\Cripes, he's so touchy-feely!\He's only making her more attached.\What?\I may be imagining it, Sango... response:	but you've been awfully prickly.
context: It's hard for me to say goodbye, too.\Is he trying to convince her?\Seems more like he's seducing her.\Cripes, he's so touchy-feely!\He's only making her more attached.\What?\I may be imagining it, Sango...\but you've been awfully prickly. response:	You're imagining it!
context: Is he trying to convince her?\Seems more like he's seducing her.\Cripes, he's so touchy-feely!\He's only making her more attached.\What?\I may be imagining it, Sango...\but you've been awfully prickly.\You're imagining it! response:	S-sango...
context: Seems more like he's seducing her.\Cripes, he's so touchy-feely!\He's only making her more attached.\What?\I may be imagining it, Sango...\but you've been awfully prickly.\You're imagining it!\S-sango... response:	Master Miroku, please stay with me for one night, at least.
context: Cripes, he's so touchy-feely!\He's only making her more attached.\What?\I may be imagining it, Sango...\but you've been awfully prickly.\You're imagining it!\S-sango...\Master Miroku, please stay with me for one night, at least. response:	You heard Koharu. Please stay the night.
context: He's only making her more attached.\What?\I may be imagining it, Sango...\but you've been awfully prickly.\You're imagining it!\S-sango...\Master Miroku, please stay with me for one night, at least.\You heard Koharu. Please stay the night. response:	No... the longer we stay, the harder it will be on Koharu.
context: What?\I may be imagining it, Sango...\but you've been awfully prickly.\You're imagining it!\S-sango...\Master Miroku, please stay with me for one night, at least.\You heard Koharu. Please stay the night.\No... the longer we stay, the harder it will be on Koharu. response:	What's wrong with staying one more night with her?
context: I may be imagining it, Sango...\but you've been awfully prickly.\You're imagining it!\S-sango...\Master Miroku, please stay with me for one night, at least.\You heard Koharu. Please stay the night.\No... the longer we stay, the harder it will be on Koharu.\What's wrong with staying one more night with her? response:	Koharu is new to this village.
context: but you've been awfully prickly.\You're imagining it!\S-sango...\Master Miroku, please stay with me for one night, at least.\You heard Koharu. Please stay the night.\No... the longer we stay, the harder it will be on Koharu.\What's wrong with staying one more night with her?\Koharu is new to this village. response:	I can't...
context: You're imagining it!\S-sango...\Master Miroku, please stay with me for one night, at least.\You heard Koharu. Please stay the night.\No... the longer we stay, the harder it will be on Koharu.\What's wrong with staying one more night with her?\Koharu is new to this village.\I can't... response:	If reason gives way to passion and Koharu gets with child...
context: S-sango...\Master Miroku, please stay with me for one night, at least.\You heard Koharu. Please stay the night.\No... the longer we stay, the harder it will be on Koharu.\What's wrong with staying one more night with her?\Koharu is new to this village.\I can't...\If reason gives way to passion and Koharu gets with child... response:	Koharu will be burdened for the rest of her life with my memory.
context: Master Miroku, please stay with me for one night, at least.\You heard Koharu. Please stay the night.\No... the longer we stay, the harder it will be on Koharu.\What's wrong with staying one more night with her?\Koharu is new to this village.\I can't...\If reason gives way to passion and Koharu gets with child...\Koharu will be burdened for the rest of her life with my memory. response:	Reason gives way to passion? What does that mean, Miroku?
context: You heard Koharu. Please stay the night.\No... the longer we stay, the harder it will be on Koharu.\What's wrong with staying one more night with her?\Koharu is new to this village.\I can't...\If reason gives way to passion and Koharu gets with child...\Koharu will be burdened for the rest of her life with my memory.\Reason gives way to passion? What does that mean, Miroku? response:	Well...
context: No... the longer we stay, the harder it will be on Koharu.\What's wrong with staying one more night with her?\Koharu is new to this village.\I can't...\If reason gives way to passion and Koharu gets with child...\Koharu will be burdened for the rest of her life with my memory.\Reason gives way to passion? What does that mean, Miroku?\Well... response:	You don't have to explain!
context: What's wrong with staying one more night with her?\Koharu is new to this village.\I can't...\If reason gives way to passion and Koharu gets with child...\Koharu will be burdened for the rest of her life with my memory.\Reason gives way to passion? What does that mean, Miroku?\Well...\You don't have to explain! response:	Shippo is still a child!
context: Koharu is new to this village.\I can't...\If reason gives way to passion and Koharu gets with child...\Koharu will be burdened for the rest of her life with my memory.\Reason gives way to passion? What does that mean, Miroku?\Well...\You don't have to explain!\Shippo is still a child! response:	Crying...
context: I can't...\If reason gives way to passion and Koharu gets with child...\Koharu will be burdened for the rest of her life with my memory.\Reason gives way to passion? What does that mean, Miroku?\Well...\You don't have to explain!\Shippo is still a child!\Crying... response:	I just can't stand tears.
context: If reason gives way to passion and Koharu gets with child...\Koharu will be burdened for the rest of her life with my memory.\Reason gives way to passion? What does that mean, Miroku?\Well...\You don't have to explain!\Shippo is still a child!\Crying...\I just can't stand tears. response:	Inuyasha...
context: Koharu will be burdened for the rest of her life with my memory.\Reason gives way to passion? What does that mean, Miroku?\Well...\You don't have to explain!\Shippo is still a child!\Crying...\I just can't stand tears.\Inuyasha... response:	Listen! We'll be leaving the village after dawn.
context: Reason gives way to passion? What does that mean, Miroku?\Well...\You don't have to explain!\Shippo is still a child!\Crying...\I just can't stand tears.\Inuyasha...\Listen! We'll be leaving the village after dawn. response:	But remember, no tears tomorrow!
context: Well...\You don't have to explain!\Shippo is still a child!\Crying...\I just can't stand tears.\Inuyasha...\Listen! We'll be leaving the village after dawn.\But remember, no tears tomorrow! response:	Got that?
context: You don't have to explain!\Shippo is still a child!\Crying...\I just can't stand tears.\Inuyasha...\Listen! We'll be leaving the village after dawn.\But remember, no tears tomorrow!\Got that? response:	Yes!
context: Shippo is still a child!\Crying...\I just can't stand tears.\Inuyasha...\Listen! We'll be leaving the village after dawn.\But remember, no tears tomorrow!\Got that?\Yes! response:	Hmm...?
context: Crying...\I just can't stand tears.\Inuyasha...\Listen! We'll be leaving the village after dawn.\But remember, no tears tomorrow!\Got that?\Yes!\Hmm...? response:	Master Miroku, how is the bath water?
context: I just can't stand tears.\Inuyasha...\Listen! We'll be leaving the village after dawn.\But remember, no tears tomorrow!\Got that?\Yes!\Hmm...?\Master Miroku, how is the bath water? response:	Just right.
context: Inuyasha...\Listen! We'll be leaving the village after dawn.\But remember, no tears tomorrow!\Got that?\Yes!\Hmm...?\Master Miroku, how is the bath water?\Just right. response:	I'll do my very best and prepare the finest meal for you!
context: Listen! We'll be leaving the village after dawn.\But remember, no tears tomorrow!\Got that?\Yes!\Hmm...?\Master Miroku, how is the bath water?\Just right.\I'll do my very best and prepare the finest meal for you! response:	Hmm... I'm looking forward to it.
context: But remember, no tears tomorrow!\Got that?\Yes!\Hmm...?\Master Miroku, how is the bath water?\Just right.\I'll do my very best and prepare the finest meal for you!\Hmm... I'm looking forward to it. response:	The stewed vegetables are delicious!
context: Got that?\Yes!\Hmm...?\Master Miroku, how is the bath water?\Just right.\I'll do my very best and prepare the finest meal for you!\Hmm... I'm looking forward to it.\The stewed vegetables are delicious! response:	Isn't it?
context: Yes!\Hmm...?\Master Miroku, how is the bath water?\Just right.\I'll do my very best and prepare the finest meal for you!\Hmm... I'm looking forward to it.\The stewed vegetables are delicious!\Isn't it? response:	How cute of Koharu.
context: Hmm...?\Master Miroku, how is the bath water?\Just right.\I'll do my very best and prepare the finest meal for you!\Hmm... I'm looking forward to it.\The stewed vegetables are delicious!\Isn't it?\How cute of Koharu. response:	She outdid herself to please Miroku with her cooking.
context: Master Miroku, how is the bath water?\Just right.\I'll do my very best and prepare the finest meal for you!\Hmm... I'm looking forward to it.\The stewed vegetables are delicious!\Isn't it?\How cute of Koharu.\She outdid herself to please Miroku with her cooking. response:	Inuyasha?
context: Just right.\I'll do my very best and prepare the finest meal for you!\Hmm... I'm looking forward to it.\The stewed vegetables are delicious!\Isn't it?\How cute of Koharu.\She outdid herself to please Miroku with her cooking.\Inuyasha? response:	We're surrounded.
context: I'll do my very best and prepare the finest meal for you!\Hmm... I'm looking forward to it.\The stewed vegetables are delicious!\Isn't it?\How cute of Koharu.\She outdid herself to please Miroku with her cooking.\Inuyasha?\We're surrounded. response:	Huh?
context: Hmm... I'm looking forward to it.\The stewed vegetables are delicious!\Isn't it?\How cute of Koharu.\She outdid herself to please Miroku with her cooking.\Inuyasha?\We're surrounded.\Huh? response:	The meal Koharu painstakingly prepared will go cold.
context: The stewed vegetables are delicious!\Isn't it?\How cute of Koharu.\She outdid herself to please Miroku with her cooking.\Inuyasha?\We're surrounded.\Huh?\The meal Koharu painstakingly prepared will go cold. response:	Hmm... but it's strange. I don't smell any demons.
context: Isn't it?\How cute of Koharu.\She outdid herself to please Miroku with her cooking.\Inuyasha?\We're surrounded.\Huh?\The meal Koharu painstakingly prepared will go cold.\Hmm... but it's strange. I don't smell any demons. response:	In any case, let's go and check.
context: How cute of Koharu.\She outdid herself to please Miroku with her cooking.\Inuyasha?\We're surrounded.\Huh?\The meal Koharu painstakingly prepared will go cold.\Hmm... but it's strange. I don't smell any demons.\In any case, let's go and check. response:	Kill them!
context: She outdid herself to please Miroku with her cooking.\Inuyasha?\We're surrounded.\Huh?\The meal Koharu painstakingly prepared will go cold.\Hmm... but it's strange. I don't smell any demons.\In any case, let's go and check.\Kill them! response:	Don't let them leave the village!
context: Inuyasha?\We're surrounded.\Huh?\The meal Koharu painstakingly prepared will go cold.\Hmm... but it's strange. I don't smell any demons.\In any case, let's go and check.\Kill them!\Don't let them leave the village! response:	Beat them to death!
context: We're surrounded.\Huh?\The meal Koharu painstakingly prepared will go cold.\Hmm... but it's strange. I don't smell any demons.\In any case, let's go and check.\Kill them!\Don't let them leave the village!\Beat them to death! response:	What's with these guys?
context: Huh?\The meal Koharu painstakingly prepared will go cold.\Hmm... but it's strange. I don't smell any demons.\In any case, let's go and check.\Kill them!\Don't let them leave the village!\Beat them to death!\What's with these guys? response:	Are they from the village?
context: The meal Koharu painstakingly prepared will go cold.\Hmm... but it's strange. I don't smell any demons.\In any case, let's go and check.\Kill them!\Don't let them leave the village!\Beat them to death!\What's with these guys?\Are they from the village? response:	Are they being mind-controlled?
context: Hmm... but it's strange. I don't smell any demons.\In any case, let's go and check.\Kill them!\Don't let them leave the village!\Beat them to death!\What's with these guys?\Are they from the village?\Are they being mind-controlled? response:	Kill them!
context: In any case, let's go and check.\Kill them!\Don't let them leave the village!\Beat them to death!\What's with these guys?\Are they from the village?\Are they being mind-controlled?\Kill them! response:	Why you!
context: Kill them!\Don't let them leave the village!\Beat them to death!\What's with these guys?\Are they from the village?\Are they being mind-controlled?\Kill them!\Why you! response:	Inuyasha, they're mortals!
context: Don't let them leave the village!\Beat them to death!\What's with these guys?\Are they from the village?\Are they being mind-controlled?\Kill them!\Why you!\Inuyasha, they're mortals! response:	I already know that!
context: Beat them to death!\What's with these guys?\Are they from the village?\Are they being mind-controlled?\Kill them!\Why you!\Inuyasha, they're mortals!\I already know that! response:	What's going on anyway?!
context: What's with these guys?\Are they from the village?\Are they being mind-controlled?\Kill them!\Why you!\Inuyasha, they're mortals!\I already know that!\What's going on anyway?! response:	So many of them. I'd better go, too.
context: Are they from the village?\Are they being mind-controlled?\Kill them!\Why you!\Inuyasha, they're mortals!\I already know that!\What's going on anyway?!\So many of them. I'd better go, too. response:	It's terrible!
context: Are they being mind-controlled?\Kill them!\Why you!\Inuyasha, they're mortals!\I already know that!\What's going on anyway?!\So many of them. I'd better go, too.\It's terrible! response:	What's the matter, Koharu?
context: Kill them!\Why you!\Inuyasha, they're mortals!\I already know that!\What's going on anyway?!\So many of them. I'd better go, too.\It's terrible!\What's the matter, Koharu? response:	A demon appeared and the headman and the others!
context: Why you!\Inuyasha, they're mortals!\I already know that!\What's going on anyway?!\So many of them. I'd better go, too.\It's terrible!\What's the matter, Koharu?\A demon appeared and the headman and the others! response:	What's this?!
context: Inuyasha, they're mortals!\I already know that!\What's going on anyway?!\So many of them. I'd better go, too.\It's terrible!\What's the matter, Koharu?\A demon appeared and the headman and the others!\What's this?! response:	Headman!
context: I already know that!\What's going on anyway?!\So many of them. I'd better go, too.\It's terrible!\What's the matter, Koharu?\A demon appeared and the headman and the others!\What's this?!\Headman! response:	A demon did this?
context: What's going on anyway?!\So many of them. I'd better go, too.\It's terrible!\What's the matter, Koharu?\A demon appeared and the headman and the others!\What's this?!\Headman!\A demon did this? response:	Koharu! What kind of demon was it?
context: So many of them. I'd better go, too.\It's terrible!\What's the matter, Koharu?\A demon appeared and the headman and the others!\What's this?!\Headman!\A demon did this?\Koharu! What kind of demon was it? response:	Well... I just got a glimpse of it...
context: It's terrible!\What's the matter, Koharu?\A demon appeared and the headman and the others!\What's this?!\Headman!\A demon did this?\Koharu! What kind of demon was it?\Well... I just got a glimpse of it... response:	But why? Inuyasha didn't catch any scent of demon.
context: What's the matter, Koharu?\A demon appeared and the headman and the others!\What's this?!\Headman!\A demon did this?\Koharu! What kind of demon was it?\Well... I just got a glimpse of it...\But why? Inuyasha didn't catch any scent of demon. response:	Is that it?
context: A demon appeared and the headman and the others!\What's this?!\Headman!\A demon did this?\Koharu! What kind of demon was it?\Well... I just got a glimpse of it...\But why? Inuyasha didn't catch any scent of demon.\Is that it? response:	Disappeared!
context: What's this?!\Headman!\A demon did this?\Koharu! What kind of demon was it?\Well... I just got a glimpse of it...\But why? Inuyasha didn't catch any scent of demon.\Is that it?\Disappeared! response:	Hiraikotsu!
context: Headman!\A demon did this?\Koharu! What kind of demon was it?\Well... I just got a glimpse of it...\But why? Inuyasha didn't catch any scent of demon.\Is that it?\Disappeared!\Hiraikotsu! response:	Sango!
context: A demon did this?\Koharu! What kind of demon was it?\Well... I just got a glimpse of it...\But why? Inuyasha didn't catch any scent of demon.\Is that it?\Disappeared!\Hiraikotsu!\Sango! response:	Shippo!
context: Koharu! What kind of demon was it?\Well... I just got a glimpse of it...\But why? Inuyasha didn't catch any scent of demon.\Is that it?\Disappeared!\Hiraikotsu!\Sango!\Shippo! response:	Sango, are you all right?
context: Well... I just got a glimpse of it...\But why? Inuyasha didn't catch any scent of demon.\Is that it?\Disappeared!\Hiraikotsu!\Sango!\Shippo!\Sango, are you all right? response:	Kagome...
context: But why? Inuyasha didn't catch any scent of demon.\Is that it?\Disappeared!\Hiraikotsu!\Sango!\Shippo!\Sango, are you all right?\Kagome... response:	This girl is the demon?
context: Is that it?\Disappeared!\Hiraikotsu!\Sango!\Shippo!\Sango, are you all right?\Kagome...\This girl is the demon? response:	Koharu, what's the matter?
context: Disappeared!\Hiraikotsu!\Sango!\Shippo!\Sango, are you all right?\Kagome...\This girl is the demon?\Koharu, what's the matter? response:	I want your soul.
context: Hiraikotsu!\Sango!\Shippo!\Sango, are you all right?\Kagome...\This girl is the demon?\Koharu, what's the matter?\I want your soul. response:	Inuyasha, hold back!
context: Sango!\Shippo!\Sango, are you all right?\Kagome...\This girl is the demon?\Koharu, what's the matter?\I want your soul.\Inuyasha, hold back! response:	The villagers are being controlled!
context: Shippo!\Sango, are you all right?\Kagome...\This girl is the demon?\Koharu, what's the matter?\I want your soul.\Inuyasha, hold back!\The villagers are being controlled! response:	Do not hurt them!
context: Sango, are you all right?\Kagome...\This girl is the demon?\Koharu, what's the matter?\I want your soul.\Inuyasha, hold back!\The villagers are being controlled!\Do not hurt them! response:	I know that!!
context: Kagome...\This girl is the demon?\Koharu, what's the matter?\I want your soul.\Inuyasha, hold back!\The villagers are being controlled!\Do not hurt them!\I know that!! response:	Still... it'll never end like this!
context: This girl is the demon?\Koharu, what's the matter?\I want your soul.\Inuyasha, hold back!\The villagers are being controlled!\Do not hurt them!\I know that!!\Still... it'll never end like this! response:	You guys are so dense.
context: Koharu, what's the matter?\I want your soul.\Inuyasha, hold back!\The villagers are being controlled!\Do not hurt them!\I know that!!\Still... it'll never end like this!\You guys are so dense. response:	Why don't you just kill them all?
context: I want your soul.\Inuyasha, hold back!\The villagers are being controlled!\Do not hurt them!\I know that!!\Still... it'll never end like this!\You guys are so dense.\Why don't you just kill them all? response:	So that they'll never get up again.
context: Inuyasha, hold back!\The villagers are being controlled!\Do not hurt them!\I know that!!\Still... it'll never end like this!\You guys are so dense.\Why don't you just kill them all?\So that they'll never get up again. response:	Kagura!
context: The villagers are being controlled!\Do not hurt them!\I know that!!\Still... it'll never end like this!\You guys are so dense.\Why don't you just kill them all?\So that they'll never get up again.\Kagura! response:	Not you again!
context: Do not hurt them!\I know that!!\Still... it'll never end like this!\You guys are so dense.\Why don't you just kill them all?\So that they'll never get up again.\Kagura!\Not you again! response:	So you were the one controlling the villagers!
context: I know that!!\Still... it'll never end like this!\You guys are so dense.\Why don't you just kill them all?\So that they'll never get up again.\Kagura!\Not you again!\So you were the one controlling the villagers! response:	Yes, it was me.
context: Still... it'll never end like this!\You guys are so dense.\Why don't you just kill them all?\So that they'll never get up again.\Kagura!\Not you again!\So you were the one controlling the villagers!\Yes, it was me. response:	Humans without souls are as good as dead.
context: You guys are so dense.\Why don't you just kill them all?\So that they'll never get up again.\Kagura!\Not you again!\So you were the one controlling the villagers!\Yes, it was me.\Humans without souls are as good as dead. response:	Without souls?
context: Why don't you just kill them all?\So that they'll never get up again.\Kagura!\Not you again!\So you were the one controlling the villagers!\Yes, it was me.\Humans without souls are as good as dead.\Without souls? response:	Why around now, even that Kagome is having her soul sucked out.
context: So that they'll never get up again.\Kagura!\Not you again!\So you were the one controlling the villagers!\Yes, it was me.\Humans without souls are as good as dead.\Without souls?\Why around now, even that Kagome is having her soul sucked out. response:	What?!
context: Kagura!\Not you again!\So you were the one controlling the villagers!\Yes, it was me.\Humans without souls are as good as dead.\Without souls?\Why around now, even that Kagome is having her soul sucked out.\What?! response:	Does that mean there's another demon?!
context: Not you again!\So you were the one controlling the villagers!\Yes, it was me.\Humans without souls are as good as dead.\Without souls?\Why around now, even that Kagome is having her soul sucked out.\What?!\Does that mean there's another demon?! response:	Now then, unsheathe that Tetsusaiga, Inuyasha.
context: So you were the one controlling the villagers!\Yes, it was me.\Humans without souls are as good as dead.\Without souls?\Why around now, even that Kagome is having her soul sucked out.\What?!\Does that mean there's another demon?!\Now then, unsheathe that Tetsusaiga, Inuyasha. response:	This time it won't end like the last time.
context: Yes, it was me.\Humans without souls are as good as dead.\Without souls?\Why around now, even that Kagome is having her soul sucked out.\What?!\Does that mean there's another demon?!\Now then, unsheathe that Tetsusaiga, Inuyasha.\This time it won't end like the last time. response:	Kagome...
