context: King Joseph of Gallia's recent attack response:	came completely out of the blue!
context: But, I mean, I am a guy, after all.\Uh oh...\Jeez. Why are all guys like that?\It's so idiotic,\the way they run to this girl and that girl...\What's so funny?\Nothing.\I was just thinking that this is so peaceful. response:	We've really made it home.
context: Uh oh...\Jeez. Why are all guys like that?\It's so idiotic,\the way they run to this girl and that girl...\What's so funny?\Nothing.\I was just thinking that this is so peaceful.\We've really made it home. response:	Yeah.
context: Jeez. Why are all guys like that?\It's so idiotic,\the way they run to this girl and that girl...\What's so funny?\Nothing.\I was just thinking that this is so peaceful.\We've really made it home.\Yeah. response:	The only one missing is Tabitha.
context: It's so idiotic,\the way they run to this girl and that girl...\What's so funny?\Nothing.\I was just thinking that this is so peaceful.\We've really made it home.\Yeah.\The only one missing is Tabitha. response:	I wonder what she's doing now.
context: the way they run to this girl and that girl...\What's so funny?\Nothing.\I was just thinking that this is so peaceful.\We've really made it home.\Yeah.\The only one missing is Tabitha.\I wonder what she's doing now. response:	We had just gotten back here,
context: What's so funny?\Nothing.\I was just thinking that this is so peaceful.\We've really made it home.\Yeah.\The only one missing is Tabitha.\I wonder what she's doing now.\We had just gotten back here, response:	and then she took off for Gallia again.
context: Nothing.\I was just thinking that this is so peaceful.\We've really made it home.\Yeah.\The only one missing is Tabitha.\I wonder what she's doing now.\We had just gotten back here,\and then she took off for Gallia again. response:	She did receive a letter asking
context: I was just thinking that this is so peaceful.\We've really made it home.\Yeah.\The only one missing is Tabitha.\I wonder what she's doing now.\We had just gotten back here,\and then she took off for Gallia again.\She did receive a letter asking response:	for her immediate return quite urgently.
context: We've really made it home.\Yeah.\The only one missing is Tabitha.\I wonder what she's doing now.\We had just gotten back here,\and then she took off for Gallia again.\She did receive a letter asking\for her immediate return quite urgently. response:	I hope she's not getting mixed up in some trouble.
context: Yeah.\The only one missing is Tabitha.\I wonder what she's doing now.\We had just gotten back here,\and then she took off for Gallia again.\She did receive a letter asking\for her immediate return quite urgently.\I hope she's not getting mixed up in some trouble. response:	She can take care of herself.
context: The only one missing is Tabitha.\I wonder what she's doing now.\We had just gotten back here,\and then she took off for Gallia again.\She did receive a letter asking\for her immediate return quite urgently.\I hope she's not getting mixed up in some trouble.\She can take care of herself. response:	You're right...
context: I wonder what she's doing now.\We had just gotten back here,\and then she took off for Gallia again.\She did receive a letter asking\for her immediate return quite urgently.\I hope she's not getting mixed up in some trouble.\She can take care of herself.\You're right... response:	Can this really mend her broken heart?
context: We had just gotten back here,\and then she took off for Gallia again.\She did receive a letter asking\for her immediate return quite urgently.\I hope she's not getting mixed up in some trouble.\She can take care of herself.\You're right...\Can this really mend her broken heart? response:	Take this.
context: and then she took off for Gallia again.\She did receive a letter asking\for her immediate return quite urgently.\I hope she's not getting mixed up in some trouble.\She can take care of herself.\You're right...\Can this really mend her broken heart?\Take this. response:	This is the medicine that will mend your mother's heart.
context: She did receive a letter asking\for her immediate return quite urgently.\I hope she's not getting mixed up in some trouble.\She can take care of herself.\You're right...\Can this really mend her broken heart?\Take this.\This is the medicine that will mend your mother's heart. response:	I have a question.
context: for her immediate return quite urgently.\I hope she's not getting mixed up in some trouble.\She can take care of herself.\You're right...\Can this really mend her broken heart?\Take this.\This is the medicine that will mend your mother's heart.\I have a question. response:	Why did you become his pawn?
context: I hope she's not getting mixed up in some trouble.\She can take care of herself.\You're right...\Can this really mend her broken heart?\Take this.\This is the medicine that will mend your mother's heart.\I have a question.\Why did you become his pawn? response:	There was something I had to do.
context: She can take care of herself.\You're right...\Can this really mend her broken heart?\Take this.\This is the medicine that will mend your mother's heart.\I have a question.\Why did you become his pawn?\There was something I had to do. response:	That's all I can say.
context: You're right...\Can this really mend her broken heart?\Take this.\This is the medicine that will mend your mother's heart.\I have a question.\Why did you become his pawn?\There was something I had to do.\That's all I can say. response:	My Lady!
context: Can this really mend her broken heart?\Take this.\This is the medicine that will mend your mother's heart.\I have a question.\Why did you become his pawn?\There was something I had to do.\That's all I can say.\My Lady! response:	Lady Orleans!
context: Take this.\This is the medicine that will mend your mother's heart.\I have a question.\Why did you become his pawn?\There was something I had to do.\That's all I can say.\My Lady!\Lady Orleans! response:	Charlotte?
context: This is the medicine that will mend your mother's heart.\I have a question.\Why did you become his pawn?\There was something I had to do.\That's all I can say.\My Lady!\Lady Orleans!\Charlotte? response:	Charlotte... It's you, isn't it?
context: I have a question.\Why did you become his pawn?\There was something I had to do.\That's all I can say.\My Lady!\Lady Orleans!\Charlotte?\Charlotte... It's you, isn't it? response:	Mother!
context: Why did you become his pawn?\There was something I had to do.\That's all I can say.\My Lady!\Lady Orleans!\Charlotte?\Charlotte... It's you, isn't it?\Mother! response:	One, two! One, two! One, two!
context: There was something I had to do.\That's all I can say.\My Lady!\Lady Orleans!\Charlotte?\Charlotte... It's you, isn't it?\Mother!\One, two! One, two! One, two! response:	It doesn't have to be big.
context: That's all I can say.\My Lady!\Lady Orleans!\Charlotte?\Charlotte... It's you, isn't it?\Mother!\One, two! One, two! One, two!\It doesn't have to be big. response:	Let's buy a house together someday.
context: My Lady!\Lady Orleans!\Charlotte?\Charlotte... It's you, isn't it?\Mother!\One, two! One, two! One, two!\It doesn't have to be big.\Let's buy a house together someday. response:	Oh, Saito!
context: Lady Orleans!\Charlotte?\Charlotte... It's you, isn't it?\Mother!\One, two! One, two! One, two!\It doesn't have to be big.\Let's buy a house together someday.\Oh, Saito! response:	That reminds me!
context: Charlotte?\Charlotte... It's you, isn't it?\Mother!\One, two! One, two! One, two!\It doesn't have to be big.\Let's buy a house together someday.\Oh, Saito!\That reminds me! response:	What?
context: Charlotte... It's you, isn't it?\Mother!\One, two! One, two! One, two!\It doesn't have to be big.\Let's buy a house together someday.\Oh, Saito!\That reminds me!\What? response:	With Saito?
context: Mother!\One, two! One, two! One, two!\It doesn't have to be big.\Let's buy a house together someday.\Oh, Saito!\That reminds me!\What?\With Saito? response:	Tiffa's so bad!
context: One, two! One, two! One, two!\It doesn't have to be big.\Let's buy a house together someday.\Oh, Saito!\That reminds me!\What?\With Saito?\Tiffa's so bad! response:	Yeah, she was on top of Saito like so
context: It doesn't have to be big.\Let's buy a house together someday.\Oh, Saito!\That reminds me!\What?\With Saito?\Tiffa's so bad!\Yeah, she was on top of Saito like so response:	and trying to kiss him!
context: Let's buy a house together someday.\Oh, Saito!\That reminds me!\What?\With Saito?\Tiffa's so bad!\Yeah, she was on top of Saito like so\and trying to kiss him! response:	Really?
context: Oh, Saito!\That reminds me!\What?\With Saito?\Tiffa's so bad!\Yeah, she was on top of Saito like so\and trying to kiss him!\Really? response:	And when Malicorne saw them,
context: That reminds me!\What?\With Saito?\Tiffa's so bad!\Yeah, she was on top of Saito like so\and trying to kiss him!\Really?\And when Malicorne saw them, response:	he started talking about melons.
context: What?\With Saito?\Tiffa's so bad!\Yeah, she was on top of Saito like so\and trying to kiss him!\Really?\And when Malicorne saw them,\he started talking about melons. response:	If she's melons, would I be coconuts?
context: With Saito?\Tiffa's so bad!\Yeah, she was on top of Saito like so\and trying to kiss him!\Really?\And when Malicorne saw them,\he started talking about melons.\If she's melons, would I be coconuts? response:	I can't stay idle!
context: Tiffa's so bad!\Yeah, she was on top of Saito like so\and trying to kiss him!\Really?\And when Malicorne saw them,\he started talking about melons.\If she's melons, would I be coconuts?\I can't stay idle! response:	And I'd put the living room here.
context: Yeah, she was on top of Saito like so\and trying to kiss him!\Really?\And when Malicorne saw them,\he started talking about melons.\If she's melons, would I be coconuts?\I can't stay idle!\And I'd put the living room here. response:	This would be the banquet hall.
context: and trying to kiss him!\Really?\And when Malicorne saw them,\he started talking about melons.\If she's melons, would I be coconuts?\I can't stay idle!\And I'd put the living room here.\This would be the banquet hall. response:	And here I'd have our dinner parties...
context: Really?\And when Malicorne saw them,\he started talking about melons.\If she's melons, would I be coconuts?\I can't stay idle!\And I'd put the living room here.\This would be the banquet hall.\And here I'd have our dinner parties... response:	We'll need to have some guest rooms, too.
context: And when Malicorne saw them,\he started talking about melons.\If she's melons, would I be coconuts?\I can't stay idle!\And I'd put the living room here.\This would be the banquet hall.\And here I'd have our dinner parties...\We'll need to have some guest rooms, too. response:	And then...
context: he started talking about melons.\If she's melons, would I be coconuts?\I can't stay idle!\And I'd put the living room here.\This would be the banquet hall.\And here I'd have our dinner parties...\We'll need to have some guest rooms, too.\And then... response:	The master bedroom.
context: If she's melons, would I be coconuts?\I can't stay idle!\And I'd put the living room here.\This would be the banquet hall.\And here I'd have our dinner parties...\We'll need to have some guest rooms, too.\And then...\The master bedroom. response:	Saito!
context: I can't stay idle!\And I'd put the living room here.\This would be the banquet hall.\And here I'd have our dinner parties...\We'll need to have some guest rooms, too.\And then...\The master bedroom.\Saito! response:	Louise...
context: And I'd put the living room here.\This would be the banquet hall.\And here I'd have our dinner parties...\We'll need to have some guest rooms, too.\And then...\The master bedroom.\Saito!\Louise... response:	No, I can't think about that!
context: This would be the banquet hall.\And here I'd have our dinner parties...\We'll need to have some guest rooms, too.\And then...\The master bedroom.\Saito!\Louise...\No, I can't think about that! response:	That has to wait until we're married!
context: And here I'd have our dinner parties...\We'll need to have some guest rooms, too.\And then...\The master bedroom.\Saito!\Louise...\No, I can't think about that!\That has to wait until we're married! response:	But we're going to live together!
context: We'll need to have some guest rooms, too.\And then...\The master bedroom.\Saito!\Louise...\No, I can't think about that!\That has to wait until we're married!\But we're going to live together! response:	No, no, I can't think about that!
context: And then...\The master bedroom.\Saito!\Louise...\No, I can't think about that!\That has to wait until we're married!\But we're going to live together!\No, no, I can't think about that! response:	Miss Valliere, something terrible happened!
context: The master bedroom.\Saito!\Louise...\No, I can't think about that!\That has to wait until we're married!\But we're going to live together!\No, no, I can't think about that!\Miss Valliere, something terrible happened! response:	Wh-What's wrong, Siesta?
context: Saito!\Louise...\No, I can't think about that!\That has to wait until we're married!\But we're going to live together!\No, no, I can't think about that!\Miss Valliere, something terrible happened!\Wh-What's wrong, Siesta? response:	What's the big rush?
context: Louise...\No, I can't think about that!\That has to wait until we're married!\But we're going to live together!\No, no, I can't think about that!\Miss Valliere, something terrible happened!\Wh-What's wrong, Siesta?\What's the big rush? response:	Have you heard about how Miss Westwood
context: No, I can't think about that!\That has to wait until we're married!\But we're going to live together!\No, no, I can't think about that!\Miss Valliere, something terrible happened!\Wh-What's wrong, Siesta?\What's the big rush?\Have you heard about how Miss Westwood response:	made a move on Saito?
context: That has to wait until we're married!\But we're going to live together!\No, no, I can't think about that!\Miss Valliere, something terrible happened!\Wh-What's wrong, Siesta?\What's the big rush?\Have you heard about how Miss Westwood\made a move on Saito? response:	What? Tiffa?
context: But we're going to live together!\No, no, I can't think about that!\Miss Valliere, something terrible happened!\Wh-What's wrong, Siesta?\What's the big rush?\Have you heard about how Miss Westwood\made a move on Saito?\What? Tiffa? response:	That's right!
context: No, no, I can't think about that!\Miss Valliere, something terrible happened!\Wh-What's wrong, Siesta?\What's the big rush?\Have you heard about how Miss Westwood\made a move on Saito?\What? Tiffa?\That's right! response:	They were saying something about melons!
context: Miss Valliere, something terrible happened!\Wh-What's wrong, Siesta?\What's the big rush?\Have you heard about how Miss Westwood\made a move on Saito?\What? Tiffa?\That's right!\They were saying something about melons! response:	So that's what the whole melon thing was about.
context: Wh-What's wrong, Siesta?\What's the big rush?\Have you heard about how Miss Westwood\made a move on Saito?\What? Tiffa?\That's right!\They were saying something about melons!\So that's what the whole melon thing was about. response:	Well, I guess I can live with my pineapples.
context: What's the big rush?\Have you heard about how Miss Westwood\made a move on Saito?\What? Tiffa?\That's right!\They were saying something about melons!\So that's what the whole melon thing was about.\Well, I guess I can live with my pineapples. response:	I know I've got lemons!
context: Have you heard about how Miss Westwood\made a move on Saito?\What? Tiffa?\That's right!\They were saying something about melons!\So that's what the whole melon thing was about.\Well, I guess I can live with my pineapples.\I know I've got lemons! response:	What's this?
context: made a move on Saito?\What? Tiffa?\That's right!\They were saying something about melons!\So that's what the whole melon thing was about.\Well, I guess I can live with my pineapples.\I know I've got lemons!\What's this? response:	Don't look at that!
context: What? Tiffa?\That's right!\They were saying something about melons!\So that's what the whole melon thing was about.\Well, I guess I can live with my pineapples.\I know I've got lemons!\What's this?\Don't look at that! response:	What is this supposed to be?
context: That's right!\They were saying something about melons!\So that's what the whole melon thing was about.\Well, I guess I can live with my pineapples.\I know I've got lemons!\What's this?\Don't look at that!\What is this supposed to be? response:	Can't you tell by looking at it?
context: They were saying something about melons!\So that's what the whole melon thing was about.\Well, I guess I can live with my pineapples.\I know I've got lemons!\What's this?\Don't look at that!\What is this supposed to be?\Can't you tell by looking at it? response:	It's the house where Saito and I are going to live.
context: So that's what the whole melon thing was about.\Well, I guess I can live with my pineapples.\I know I've got lemons!\What's this?\Don't look at that!\What is this supposed to be?\Can't you tell by looking at it?\It's the house where Saito and I are going to live. response:	That's it, Miss Valliere!
context: Well, I guess I can live with my pineapples.\I know I've got lemons!\What's this?\Don't look at that!\What is this supposed to be?\Can't you tell by looking at it?\It's the house where Saito and I are going to live.\That's it, Miss Valliere! response:	You should buy a house with Saito to prevent
context: I know I've got lemons!\What's this?\Don't look at that!\What is this supposed to be?\Can't you tell by looking at it?\It's the house where Saito and I are going to live.\That's it, Miss Valliere!\You should buy a house with Saito to prevent response:	Miss Westwood from seducing him.
context: What's this?\Don't look at that!\What is this supposed to be?\Can't you tell by looking at it?\It's the house where Saito and I are going to live.\That's it, Miss Valliere!\You should buy a house with Saito to prevent\Miss Westwood from seducing him. response:	A house with Saito?
context: Don't look at that!\What is this supposed to be?\Can't you tell by looking at it?\It's the house where Saito and I are going to live.\That's it, Miss Valliere!\You should buy a house with Saito to prevent\Miss Westwood from seducing him.\A house with Saito? response:	Yeah!
context: What is this supposed to be?\Can't you tell by looking at it?\It's the house where Saito and I are going to live.\That's it, Miss Valliere!\You should buy a house with Saito to prevent\Miss Westwood from seducing him.\A house with Saito?\Yeah! response:	You want to eliminate as many rivals as possible!
context: Can't you tell by looking at it?\It's the house where Saito and I are going to live.\That's it, Miss Valliere!\You should buy a house with Saito to prevent\Miss Westwood from seducing him.\A house with Saito?\Yeah!\You want to eliminate as many rivals as possible! response:	Y-You're right!
context: It's the house where Saito and I are going to live.\That's it, Miss Valliere!\You should buy a house with Saito to prevent\Miss Westwood from seducing him.\A house with Saito?\Yeah!\You want to eliminate as many rivals as possible!\Y-You're right! response:	I've got to find a house where we can
context: That's it, Miss Valliere!\You should buy a house with Saito to prevent\Miss Westwood from seducing him.\A house with Saito?\Yeah!\You want to eliminate as many rivals as possible!\Y-You're right!\I've got to find a house where we can response:	both live before something bad happens!
context: You should buy a house with Saito to prevent\Miss Westwood from seducing him.\A house with Saito?\Yeah!\You want to eliminate as many rivals as possible!\Y-You're right!\I've got to find a house where we can\both live before something bad happens! response:	You've got to come look!
context: Miss Westwood from seducing him.\A house with Saito?\Yeah!\You want to eliminate as many rivals as possible!\Y-You're right!\I've got to find a house where we can\both live before something bad happens!\You've got to come look! response:	This mansion's kitchen looks so spacious and convenient!
context: A house with Saito?\Yeah!\You want to eliminate as many rivals as possible!\Y-You're right!\I've got to find a house where we can\both live before something bad happens!\You've got to come look!\This mansion's kitchen looks so spacious and convenient! response:	Your cooking is great no matter what, Siesta.
context: Yeah!\You want to eliminate as many rivals as possible!\Y-You're right!\I've got to find a house where we can\both live before something bad happens!\You've got to come look!\This mansion's kitchen looks so spacious and convenient!\Your cooking is great no matter what, Siesta. response:	Oh, Saito!
context: You want to eliminate as many rivals as possible!\Y-You're right!\I've got to find a house where we can\both live before something bad happens!\You've got to come look!\This mansion's kitchen looks so spacious and convenient!\Your cooking is great no matter what, Siesta.\Oh, Saito! response:	I don't like it.
context: Y-You're right!\I've got to find a house where we can\both live before something bad happens!\You've got to come look!\This mansion's kitchen looks so spacious and convenient!\Your cooking is great no matter what, Siesta.\Oh, Saito!\I don't like it. response:	But this mansion was designed by
context: I've got to find a house where we can\both live before something bad happens!\You've got to come look!\This mansion's kitchen looks so spacious and convenient!\Your cooking is great no matter what, Siesta.\Oh, Saito!\I don't like it.\But this mansion was designed by response:	that one very famous architect.
context: both live before something bad happens!\You've got to come look!\This mansion's kitchen looks so spacious and convenient!\Your cooking is great no matter what, Siesta.\Oh, Saito!\I don't like it.\But this mansion was designed by\that one very famous architect. response:	If I don't like it, I don't like it!
context: You've got to come look!\This mansion's kitchen looks so spacious and convenient!\Your cooking is great no matter what, Siesta.\Oh, Saito!\I don't like it.\But this mansion was designed by\that one very famous architect.\If I don't like it, I don't like it! response:	What's wrong with it?
context: This mansion's kitchen looks so spacious and convenient!\Your cooking is great no matter what, Siesta.\Oh, Saito!\I don't like it.\But this mansion was designed by\that one very famous architect.\If I don't like it, I don't like it!\What's wrong with it? response:	Why don't you just say it?
context: Your cooking is great no matter what, Siesta.\Oh, Saito!\I don't like it.\But this mansion was designed by\that one very famous architect.\If I don't like it, I don't like it!\What's wrong with it?\Why don't you just say it? response:	I agree.
context: Oh, Saito!\I don't like it.\But this mansion was designed by\that one very famous architect.\If I don't like it, I don't like it!\What's wrong with it?\Why don't you just say it?\I agree. response:	Why are you here anyway, Siesta?
context: I don't like it.\But this mansion was designed by\that one very famous architect.\If I don't like it, I don't like it!\What's wrong with it?\Why don't you just say it?\I agree.\Why are you here anyway, Siesta? response:	This house is for me and Saito!
context: But this mansion was designed by\that one very famous architect.\If I don't like it, I don't like it!\What's wrong with it?\Why don't you just say it?\I agree.\Why are you here anyway, Siesta?\This house is for me and Saito! response:	This is none of your business!
context: that one very famous architect.\If I don't like it, I don't like it!\What's wrong with it?\Why don't you just say it?\I agree.\Why are you here anyway, Siesta?\This house is for me and Saito!\This is none of your business! response:	But if Saito moves, I have to move with him.
context: If I don't like it, I don't like it!\What's wrong with it?\Why don't you just say it?\I agree.\Why are you here anyway, Siesta?\This house is for me and Saito!\This is none of your business!\But if Saito moves, I have to move with him. response:	Who decided that?!
context: What's wrong with it?\Why don't you just say it?\I agree.\Why are you here anyway, Siesta?\This house is for me and Saito!\This is none of your business!\But if Saito moves, I have to move with him.\Who decided that?! response:	Her majesty did.
context: Why don't you just say it?\I agree.\Why are you here anyway, Siesta?\This house is for me and Saito!\This is none of your business!\But if Saito moves, I have to move with him.\Who decided that?!\Her majesty did. response:	Queen Henrietta made me Saito's personal maid.
context: I agree.\Why are you here anyway, Siesta?\This house is for me and Saito!\This is none of your business!\But if Saito moves, I have to move with him.\Who decided that?!\Her majesty did.\Queen Henrietta made me Saito's personal maid. response:	Which means you can't fire me.
context: Why are you here anyway, Siesta?\This house is for me and Saito!\This is none of your business!\But if Saito moves, I have to move with him.\Who decided that?!\Her majesty did.\Queen Henrietta made me Saito's personal maid.\Which means you can't fire me. response:	Let us three
context: This house is for me and Saito!\This is none of your business!\But if Saito moves, I have to move with him.\Who decided that?!\Her majesty did.\Queen Henrietta made me Saito's personal maid.\Which means you can't fire me.\Let us three response:	just continue to enjoy each other's company, Miss Valliere!
context: This is none of your business!\But if Saito moves, I have to move with him.\Who decided that?!\Her majesty did.\Queen Henrietta made me Saito's personal maid.\Which means you can't fire me.\Let us three\just continue to enjoy each other's company, Miss Valliere! response:	If you're looking for a place for three people,
context: But if Saito moves, I have to move with him.\Who decided that?!\Her majesty did.\Queen Henrietta made me Saito's personal maid.\Which means you can't fire me.\Let us three\just continue to enjoy each other's company, Miss Valliere!\If you're looking for a place for three people, response:	how about this?
context: Who decided that?!\Her majesty did.\Queen Henrietta made me Saito's personal maid.\Which means you can't fire me.\Let us three\just continue to enjoy each other's company, Miss Valliere!\If you're looking for a place for three people,\how about this? response:	Siesta!
context: Her majesty did.\Queen Henrietta made me Saito's personal maid.\Which means you can't fire me.\Let us three\just continue to enjoy each other's company, Miss Valliere!\If you're looking for a place for three people,\how about this?\Siesta! response:	So that was your motive for looking for a place!
context: Queen Henrietta made me Saito's personal maid.\Which means you can't fire me.\Let us three\just continue to enjoy each other's company, Miss Valliere!\If you're looking for a place for three people,\how about this?\Siesta!\So that was your motive for looking for a place! response:	Why can't Siesta come live with us anyway?
context: Which means you can't fire me.\Let us three\just continue to enjoy each other's company, Miss Valliere!\If you're looking for a place for three people,\how about this?\Siesta!\So that was your motive for looking for a place!\Why can't Siesta come live with us anyway? response:	It's hard to find a good worker like Siesta.
context: Let us three\just continue to enjoy each other's company, Miss Valliere!\If you're looking for a place for three people,\how about this?\Siesta!\So that was your motive for looking for a place!\Why can't Siesta come live with us anyway?\It's hard to find a good worker like Siesta. response:	I know that, but...
context: just continue to enjoy each other's company, Miss Valliere!\If you're looking for a place for three people,\how about this?\Siesta!\So that was your motive for looking for a place!\Why can't Siesta come live with us anyway?\It's hard to find a good worker like Siesta.\I know that, but... response:	Oh, this is so wonderful!
context: If you're looking for a place for three people,\how about this?\Siesta!\So that was your motive for looking for a place!\Why can't Siesta come live with us anyway?\It's hard to find a good worker like Siesta.\I know that, but...\Oh, this is so wonderful! response:	Saito, come look at this!
context: how about this?\Siesta!\So that was your motive for looking for a place!\Why can't Siesta come live with us anyway?\It's hard to find a good worker like Siesta.\I know that, but...\Oh, this is so wonderful!\Saito, come look at this! response:	That does look good.
context: Siesta!\So that was your motive for looking for a place!\Why can't Siesta come live with us anyway?\It's hard to find a good worker like Siesta.\I know that, but...\Oh, this is so wonderful!\Saito, come look at this!\That does look good. response:	It's got a big bath.
context: So that was your motive for looking for a place!\Why can't Siesta come live with us anyway?\It's hard to find a good worker like Siesta.\I know that, but...\Oh, this is so wonderful!\Saito, come look at this!\That does look good.\It's got a big bath. response:	Big enough for two.
context: Why can't Siesta come live with us anyway?\It's hard to find a good worker like Siesta.\I know that, but...\Oh, this is so wonderful!\Saito, come look at this!\That does look good.\It's got a big bath.\Big enough for two. response:	For two? Oh, you...
context: It's hard to find a good worker like Siesta.\I know that, but...\Oh, this is so wonderful!\Saito, come look at this!\That does look good.\It's got a big bath.\Big enough for two.\For two? Oh, you... response:	What's so great about this room?!
context: I know that, but...\Oh, this is so wonderful!\Saito, come look at this!\That does look good.\It's got a big bath.\Big enough for two.\For two? Oh, you...\What's so great about this room?! response:	I hate it!
context: Oh, this is so wonderful!\Saito, come look at this!\That does look good.\It's got a big bath.\Big enough for two.\For two? Oh, you...\What's so great about this room?!\I hate it! response:	So you're saying you didn't find anything?
context: Saito, come look at this!\That does look good.\It's got a big bath.\Big enough for two.\For two? Oh, you...\What's so great about this room?!\I hate it!\So you're saying you didn't find anything? response:	Yeah, first she insisted on finding a place,
context: That does look good.\It's got a big bath.\Big enough for two.\For two? Oh, you...\What's so great about this room?!\I hate it!\So you're saying you didn't find anything?\Yeah, first she insisted on finding a place, response:	then she did nothing but complain.
context: It's got a big bath.\Big enough for two.\For two? Oh, you...\What's so great about this room?!\I hate it!\So you're saying you didn't find anything?\Yeah, first she insisted on finding a place,\then she did nothing but complain. response:	Of course we couldn't find anything.
context: Big enough for two.\For two? Oh, you...\What's so great about this room?!\I hate it!\So you're saying you didn't find anything?\Yeah, first she insisted on finding a place,\then she did nothing but complain.\Of course we couldn't find anything. response:	I am the master!
context: For two? Oh, you...\What's so great about this room?!\I hate it!\So you're saying you didn't find anything?\Yeah, first she insisted on finding a place,\then she did nothing but complain.\Of course we couldn't find anything.\I am the master! response:	What's wrong with looking until we find
context: What's so great about this room?!\I hate it!\So you're saying you didn't find anything?\Yeah, first she insisted on finding a place,\then she did nothing but complain.\Of course we couldn't find anything.\I am the master!\What's wrong with looking until we find response:	something I'm happy with?
context: I hate it!\So you're saying you didn't find anything?\Yeah, first she insisted on finding a place,\then she did nothing but complain.\Of course we couldn't find anything.\I am the master!\What's wrong with looking until we find\something I'm happy with? response:	It doesn't matter where you live.
context: So you're saying you didn't find anything?\Yeah, first she insisted on finding a place,\then she did nothing but complain.\Of course we couldn't find anything.\I am the master!\What's wrong with looking until we find\something I'm happy with?\It doesn't matter where you live. response:	You should just go ahead and make sure,
context: Yeah, first she insisted on finding a place,\then she did nothing but complain.\Of course we couldn't find anything.\I am the master!\What's wrong with looking until we find\something I'm happy with?\It doesn't matter where you live.\You should just go ahead and make sure, response:	before you get married.
context: then she did nothing but complain.\Of course we couldn't find anything.\I am the master!\What's wrong with looking until we find\something I'm happy with?\It doesn't matter where you live.\You should just go ahead and make sure,\before you get married. response:	Make sure of what?
context: Of course we couldn't find anything.\I am the master!\What's wrong with looking until we find\something I'm happy with?\It doesn't matter where you live.\You should just go ahead and make sure,\before you get married.\Make sure of what? response:	That you're physically suited to each other, of course!
context: I am the master!\What's wrong with looking until we find\something I'm happy with?\It doesn't matter where you live.\You should just go ahead and make sure,\before you get married.\Make sure of what?\That you're physically suited to each other, of course! response:	I'm not going to do that!
context: What's wrong with looking until we find\something I'm happy with?\It doesn't matter where you live.\You should just go ahead and make sure,\before you get married.\Make sure of what?\That you're physically suited to each other, of course!\I'm not going to do that! response:	Then I'll do that first.
context: something I'm happy with?\It doesn't matter where you live.\You should just go ahead and make sure,\before you get married.\Make sure of what?\That you're physically suited to each other, of course!\I'm not going to do that!\Then I'll do that first. response:	It's not easy to be popular with the ladies, huh, Saito?
context: It doesn't matter where you live.\You should just go ahead and make sure,\before you get married.\Make sure of what?\That you're physically suited to each other, of course!\I'm not going to do that!\Then I'll do that first.\It's not easy to be popular with the ladies, huh, Saito? response:	I wouldn't say I'm popular, exactly...
context: You should just go ahead and make sure,\before you get married.\Make sure of what?\That you're physically suited to each other, of course!\I'm not going to do that!\Then I'll do that first.\It's not easy to be popular with the ladies, huh, Saito?\I wouldn't say I'm popular, exactly... response:	We all heard, Saito! That's amazing!
context: before you get married.\Make sure of what?\That you're physically suited to each other, of course!\I'm not going to do that!\Then I'll do that first.\It's not easy to be popular with the ladies, huh, Saito?\I wouldn't say I'm popular, exactly...\We all heard, Saito! That's amazing! response:	Spectacular!
context: Make sure of what?\That you're physically suited to each other, of course!\I'm not going to do that!\Then I'll do that first.\It's not easy to be popular with the ladies, huh, Saito?\I wouldn't say I'm popular, exactly...\We all heard, Saito! That's amazing!\Spectacular! response:	Wonderful!
context: That you're physically suited to each other, of course!\I'm not going to do that!\Then I'll do that first.\It's not easy to be popular with the ladies, huh, Saito?\I wouldn't say I'm popular, exactly...\We all heard, Saito! That's amazing!\Spectacular!\Wonderful! response:	Uh... huh?
context: I'm not going to do that!\Then I'll do that first.\It's not easy to be popular with the ladies, huh, Saito?\I wouldn't say I'm popular, exactly...\We all heard, Saito! That's amazing!\Spectacular!\Wonderful!\Uh... huh? response:	What's going on?
context: Then I'll do that first.\It's not easy to be popular with the ladies, huh, Saito?\I wouldn't say I'm popular, exactly...\We all heard, Saito! That's amazing!\Spectacular!\Wonderful!\Uh... huh?\What's going on? response:	They're talking about that...
context: It's not easy to be popular with the ladies, huh, Saito?\I wouldn't say I'm popular, exactly...\We all heard, Saito! That's amazing!\Spectacular!\Wonderful!\Uh... huh?\What's going on?\They're talking about that... response:	The Queen's Knight?
context: I wouldn't say I'm popular, exactly...\We all heard, Saito! That's amazing!\Spectacular!\Wonderful!\Uh... huh?\What's going on?\They're talking about that...\The Queen's Knight? response:	That's right!
context: We all heard, Saito! That's amazing!\Spectacular!\Wonderful!\Uh... huh?\What's going on?\They're talking about that...\The Queen's Knight?\That's right! response:	The play is extremely popular with the townspeople.
context: Spectacular!\Wonderful!\Uh... huh?\What's going on?\They're talking about that...\The Queen's Knight?\That's right!\The play is extremely popular with the townspeople. response:	Come at me, evil and cruel army of Gallia!
context: Wonderful!\Uh... huh?\What's going on?\They're talking about that...\The Queen's Knight?\That's right!\The play is extremely popular with the townspeople.\Come at me, evil and cruel army of Gallia! response:	Here I come!
context: Uh... huh?\What's going on?\They're talking about that...\The Queen's Knight?\That's right!\The play is extremely popular with the townspeople.\Come at me, evil and cruel army of Gallia!\Here I come! response:	Damn you, Incompetent King Joseph!
