context: Just like a sickness that continues to progress without any visible symptoms, response:	there was someone hiding in our town of Morioh,
context: Yup. From ditches and underneath vending machines and things...\But I'm not a thief.\The officer at the police box said that\I didn't have to turn in any change under a hundred yen.\I hate bad things!\That's not a bad thing at all!\Actually, I think you're doing something great for society.\Though it's not much, response:	you're putting all of the forgotten change back into the Japanese economy.
context: But I'm not a thief.\The officer at the police box said that\I didn't have to turn in any change under a hundred yen.\I hate bad things!\That's not a bad thing at all!\Actually, I think you're doing something great for society.\Though it's not much,\you're putting all of the forgotten change back into the Japanese economy. response:	That's a great thing.
context: The officer at the police box said that\I didn't have to turn in any change under a hundred yen.\I hate bad things!\That's not a bad thing at all!\Actually, I think you're doing something great for society.\Though it's not much,\you're putting all of the forgotten change back into the Japanese economy.\That's a great thing. response:	Really? I'm great?
context: I didn't have to turn in any change under a hundred yen.\I hate bad things!\That's not a bad thing at all!\Actually, I think you're doing something great for society.\Though it's not much,\you're putting all of the forgotten change back into the Japanese economy.\That's a great thing.\Really? I'm great? response:	Hey, do you think I'm a great person?
context: I hate bad things!\That's not a bad thing at all!\Actually, I think you're doing something great for society.\Though it's not much,\you're putting all of the forgotten change back into the Japanese economy.\That's a great thing.\Really? I'm great?\Hey, do you think I'm a great person? response:	It's what you'd call a blind spot for ideas.
context: That's not a bad thing at all!\Actually, I think you're doing something great for society.\Though it's not much,\you're putting all of the forgotten change back into the Japanese economy.\That's a great thing.\Really? I'm great?\Hey, do you think I'm a great person?\It's what you'd call a blind spot for ideas. response:	No one would do all this to get money.
context: Actually, I think you're doing something great for society.\Though it's not much,\you're putting all of the forgotten change back into the Japanese economy.\That's a great thing.\Really? I'm great?\Hey, do you think I'm a great person?\It's what you'd call a blind spot for ideas.\No one would do all this to get money. response:	I'm jealous... You're smart.
context: Though it's not much,\you're putting all of the forgotten change back into the Japanese economy.\That's a great thing.\Really? I'm great?\Hey, do you think I'm a great person?\It's what you'd call a blind spot for ideas.\No one would do all this to get money.\I'm jealous... You're smart. response:	D-Did you just call me smart?
context: you're putting all of the forgotten change back into the Japanese economy.\That's a great thing.\Really? I'm great?\Hey, do you think I'm a great person?\It's what you'd call a blind spot for ideas.\No one would do all this to get money.\I'm jealous... You're smart.\D-Did you just call me smart? response:	N-No one's ever told me that before.
context: That's a great thing.\Really? I'm great?\Hey, do you think I'm a great person?\It's what you'd call a blind spot for ideas.\No one would do all this to get money.\I'm jealous... You're smart.\D-Did you just call me smart?\N-No one's ever told me that before. response:	I've picked up about 120,000 yen, but...
context: Really? I'm great?\Hey, do you think I'm a great person?\It's what you'd call a blind spot for ideas.\No one would do all this to get money.\I'm jealous... You're smart.\D-Did you just call me smart?\N-No one's ever told me that before.\I've picked up about 120,000 yen, but... response:	120,000?!
context: Hey, do you think I'm a great person?\It's what you'd call a blind spot for ideas.\No one would do all this to get money.\I'm jealous... You're smart.\D-Did you just call me smart?\N-No one's ever told me that before.\I've picked up about 120,000 yen, but...\120,000?! response:	B-But that makes me even happier!
context: It's what you'd call a blind spot for ideas.\No one would do all this to get money.\I'm jealous... You're smart.\D-Did you just call me smart?\N-No one's ever told me that before.\I've picked up about 120,000 yen, but...\120,000?!\B-But that makes me even happier! response:	A t-total of 120,000?!
context: No one would do all this to get money.\I'm jealous... You're smart.\D-Did you just call me smart?\N-No one's ever told me that before.\I've picked up about 120,000 yen, but...\120,000?!\B-But that makes me even happier!\A t-total of 120,000?! response:	Aren't I a good boy?
context: I'm jealous... You're smart.\D-Did you just call me smart?\N-No one's ever told me that before.\I've picked up about 120,000 yen, but...\120,000?!\B-But that makes me even happier!\A t-total of 120,000?!\Aren't I a good boy? response:	J-Just here in Morioh?
context: D-Did you just call me smart?\N-No one's ever told me that before.\I've picked up about 120,000 yen, but...\120,000?!\B-But that makes me even happier!\A t-total of 120,000?!\Aren't I a good boy?\J-Just here in Morioh? response:	Ayup! I don't go outside of Morioh.
context: N-No one's ever told me that before.\I've picked up about 120,000 yen, but...\120,000?!\B-But that makes me even happier!\A t-total of 120,000?!\Aren't I a good boy?\J-Just here in Morioh?\Ayup! I don't go outside of Morioh. response:	I might get lost and someone might kidnap me.
context: I've picked up about 120,000 yen, but...\120,000?!\B-But that makes me even happier!\A t-total of 120,000?!\Aren't I a good boy?\J-Just here in Morioh?\Ayup! I don't go outside of Morioh.\I might get lost and someone might kidnap me. response:	120,000... And I only have 12 yen.
context: 120,000?!\B-But that makes me even happier!\A t-total of 120,000?!\Aren't I a good boy?\J-Just here in Morioh?\Ayup! I don't go outside of Morioh.\I might get lost and someone might kidnap me.\120,000... And I only have 12 yen. response:	Okuyasu...
context: B-But that makes me even happier!\A t-total of 120,000?!\Aren't I a good boy?\J-Just here in Morioh?\Ayup! I don't go outside of Morioh.\I might get lost and someone might kidnap me.\120,000... And I only have 12 yen.\Okuyasu... response:	Is something wrong with your left foot?
context: A t-total of 120,000?!\Aren't I a good boy?\J-Just here in Morioh?\Ayup! I don't go outside of Morioh.\I might get lost and someone might kidnap me.\120,000... And I only have 12 yen.\Okuyasu...\Is something wrong with your left foot? response:	Whoa, what?!
context: Aren't I a good boy?\J-Just here in Morioh?\Ayup! I don't go outside of Morioh.\I might get lost and someone might kidnap me.\120,000... And I only have 12 yen.\Okuyasu...\Is something wrong with your left foot?\Whoa, what?! response:	There are three 50 yen coins on the ground!
context: J-Just here in Morioh?\Ayup! I don't go outside of Morioh.\I might get lost and someone might kidnap me.\120,000... And I only have 12 yen.\Okuyasu...\Is something wrong with your left foot?\Whoa, what?!\There are three 50 yen coins on the ground! response:	Do they belong to you, Shigekiyo?
context: Ayup! I don't go outside of Morioh.\I might get lost and someone might kidnap me.\120,000... And I only have 12 yen.\Okuyasu...\Is something wrong with your left foot?\Whoa, what?!\There are three 50 yen coins on the ground!\Do they belong to you, Shigekiyo? response:	I didn't even notice...
context: I might get lost and someone might kidnap me.\120,000... And I only have 12 yen.\Okuyasu...\Is something wrong with your left foot?\Whoa, what?!\There are three 50 yen coins on the ground!\Do they belong to you, Shigekiyo?\I didn't even notice... response:	Talk about stingy...
context: 120,000... And I only have 12 yen.\Okuyasu...\Is something wrong with your left foot?\Whoa, what?!\There are three 50 yen coins on the ground!\Do they belong to you, Shigekiyo?\I didn't even notice...\Talk about stingy... response:	Hey, I'll give you guys half of this.
context: Okuyasu...\Is something wrong with your left foot?\Whoa, what?!\There are three 50 yen coins on the ground!\Do they belong to you, Shigekiyo?\I didn't even notice...\Talk about stingy...\Hey, I'll give you guys half of this. response:	Huh?!
context: Is something wrong with your left foot?\Whoa, what?!\There are three 50 yen coins on the ground!\Do they belong to you, Shigekiyo?\I didn't even notice...\Talk about stingy...\Hey, I'll give you guys half of this.\Huh?! response:	You're my friends, right? We have the same kind of power.
context: Whoa, what?!\There are three 50 yen coins on the ground!\Do they belong to you, Shigekiyo?\I didn't even notice...\Talk about stingy...\Hey, I'll give you guys half of this.\Huh?!\You're my friends, right? We have the same kind of power. response:	R-Really?!
context: There are three 50 yen coins on the ground!\Do they belong to you, Shigekiyo?\I didn't even notice...\Talk about stingy...\Hey, I'll give you guys half of this.\Huh?!\You're my friends, right? We have the same kind of power.\R-Really?! response:	Lucky us!
context: Do they belong to you, Shigekiyo?\I didn't even notice...\Talk about stingy...\Hey, I'll give you guys half of this.\Huh?!\You're my friends, right? We have the same kind of power.\R-Really?!\Lucky us! response:	N-No... Wait a sec.
context: I didn't even notice...\Talk about stingy...\Hey, I'll give you guys half of this.\Huh?!\You're my friends, right? We have the same kind of power.\R-Really?!\Lucky us!\N-No... Wait a sec. response:	Look, you shouldn't give other people money or things so easily.
context: Talk about stingy...\Hey, I'll give you guys half of this.\Huh?!\You're my friends, right? We have the same kind of power.\R-Really?!\Lucky us!\N-No... Wait a sec.\Look, you shouldn't give other people money or things so easily. response:	Then I'll give it to you in a hard way.
context: Hey, I'll give you guys half of this.\Huh?!\You're my friends, right? We have the same kind of power.\R-Really?!\Lucky us!\N-No... Wait a sec.\Look, you shouldn't give other people money or things so easily.\Then I'll give it to you in a hard way. response:	I'll give it all to you. We're friends, right?
context: Huh?!\You're my friends, right? We have the same kind of power.\R-Really?!\Lucky us!\N-No... Wait a sec.\Look, you shouldn't give other people money or things so easily.\Then I'll give it to you in a hard way.\I'll give it all to you. We're friends, right? response:	Hey, why are you just hardening your expression?
context: You're my friends, right? We have the same kind of power.\R-Really?!\Lucky us!\N-No... Wait a sec.\Look, you shouldn't give other people money or things so easily.\Then I'll give it to you in a hard way.\I'll give it all to you. We're friends, right?\Hey, why are you just hardening your expression? response:	H-Hey...
context: R-Really?!\Lucky us!\N-No... Wait a sec.\Look, you shouldn't give other people money or things so easily.\Then I'll give it to you in a hard way.\I'll give it all to you. We're friends, right?\Hey, why are you just hardening your expression?\H-Hey... response:	Let me talk to him alone for a sec, Shigechi.
context: Lucky us!\N-No... Wait a sec.\Look, you shouldn't give other people money or things so easily.\Then I'll give it to you in a hard way.\I'll give it all to you. We're friends, right?\Hey, why are you just hardening your expression?\H-Hey...\Let me talk to him alone for a sec, Shigechi. response:	Hey, Josuke! Stop acting like a goody-two-shoes.
context: N-No... Wait a sec.\Look, you shouldn't give other people money or things so easily.\Then I'll give it to you in a hard way.\I'll give it all to you. We're friends, right?\Hey, why are you just hardening your expression?\H-Hey...\Let me talk to him alone for a sec, Shigechi.\Hey, Josuke! Stop acting like a goody-two-shoes. response:	If he says he's going to give it to us, we should just take it, dumbass!
context: Look, you shouldn't give other people money or things so easily.\Then I'll give it to you in a hard way.\I'll give it all to you. We're friends, right?\Hey, why are you just hardening your expression?\H-Hey...\Let me talk to him alone for a sec, Shigechi.\Hey, Josuke! Stop acting like a goody-two-shoes.\If he says he's going to give it to us, we should just take it, dumbass! response:	My pride won't let me do that. Not Josuke.
context: Then I'll give it to you in a hard way.\I'll give it all to you. We're friends, right?\Hey, why are you just hardening your expression?\H-Hey...\Let me talk to him alone for a sec, Shigechi.\Hey, Josuke! Stop acting like a goody-two-shoes.\If he says he's going to give it to us, we should just take it, dumbass!\My pride won't let me do that. Not Josuke. response:	I'll take anything anyone wants to give me other than a virus! Got it?!
context: I'll give it all to you. We're friends, right?\Hey, why are you just hardening your expression?\H-Hey...\Let me talk to him alone for a sec, Shigechi.\Hey, Josuke! Stop acting like a goody-two-shoes.\If he says he's going to give it to us, we should just take it, dumbass!\My pride won't let me do that. Not Josuke.\I'll take anything anyone wants to give me other than a virus! Got it?! response:	Calm down! I totally understand what you're saying!
context: Hey, why are you just hardening your expression?\H-Hey...\Let me talk to him alone for a sec, Shigechi.\Hey, Josuke! Stop acting like a goody-two-shoes.\If he says he's going to give it to us, we should just take it, dumbass!\My pride won't let me do that. Not Josuke.\I'll take anything anyone wants to give me other than a virus! Got it?!\Calm down! I totally understand what you're saying! response:	Stop crying!
context: H-Hey...\Let me talk to him alone for a sec, Shigechi.\Hey, Josuke! Stop acting like a goody-two-shoes.\If he says he's going to give it to us, we should just take it, dumbass!\My pride won't let me do that. Not Josuke.\I'll take anything anyone wants to give me other than a virus! Got it?!\Calm down! I totally understand what you're saying!\Stop crying! response:	But...
context: Let me talk to him alone for a sec, Shigechi.\Hey, Josuke! Stop acting like a goody-two-shoes.\If he says he's going to give it to us, we should just take it, dumbass!\My pride won't let me do that. Not Josuke.\I'll take anything anyone wants to give me other than a virus! Got it?!\Calm down! I totally understand what you're saying!\Stop crying!\But... response:	I'm actually really broke right now, too.
context: Hey, Josuke! Stop acting like a goody-two-shoes.\If he says he's going to give it to us, we should just take it, dumbass!\My pride won't let me do that. Not Josuke.\I'll take anything anyone wants to give me other than a virus! Got it?!\Calm down! I totally understand what you're saying!\Stop crying!\But...\I'm actually really broke right now, too. response:	And so I just thought of a nice idea that can make everyone happy.
context: If he says he's going to give it to us, we should just take it, dumbass!\My pride won't let me do that. Not Josuke.\I'll take anything anyone wants to give me other than a virus! Got it?!\Calm down! I totally understand what you're saying!\Stop crying!\But...\I'm actually really broke right now, too.\And so I just thought of a nice idea that can make everyone happy. response:	Huh? An idea to make everyone happy?
context: My pride won't let me do that. Not Josuke.\I'll take anything anyone wants to give me other than a virus! Got it?!\Calm down! I totally understand what you're saying!\Stop crying!\But...\I'm actually really broke right now, too.\And so I just thought of a nice idea that can make everyone happy.\Huh? An idea to make everyone happy? response:	Leave it to me.
context: I'll take anything anyone wants to give me other than a virus! Got it?!\Calm down! I totally understand what you're saying!\Stop crying!\But...\I'm actually really broke right now, too.\And so I just thought of a nice idea that can make everyone happy.\Huh? An idea to make everyone happy?\Leave it to me. response:	Ha
context: Calm down! I totally understand what you're saying!\Stop crying!\But...\I'm actually really broke right now, too.\And so I just thought of a nice idea that can make everyone happy.\Huh? An idea to make everyone happy?\Leave it to me.\Ha response:	Har
context: Stop crying!\But...\I'm actually really broke right now, too.\And so I just thought of a nice idea that can make everyone happy.\Huh? An idea to make everyone happy?\Leave it to me.\Ha\Har response:	Harv
context: But...\I'm actually really broke right now, too.\And so I just thought of a nice idea that can make everyone happy.\Huh? An idea to make everyone happy?\Leave it to me.\Ha\Har\Harv response:	Harve
context: I'm actually really broke right now, too.\And so I just thought of a nice idea that can make everyone happy.\Huh? An idea to make everyone happy?\Leave it to me.\Ha\Har\Harv\Harve response:	Harves
context: And so I just thought of a nice idea that can make everyone happy.\Huh? An idea to make everyone happy?\Leave it to me.\Ha\Har\Harv\Harve\Harves response:	Harvest
context: Huh? An idea to make everyone happy?\Leave it to me.\Ha\Har\Harv\Harve\Harves\Harvest response:	Shige
context: Leave it to me.\Ha\Har\Harv\Harve\Harves\Harvest\Shige response:	Shigekiyo
context: Ha\Har\Harv\Harve\Harves\Harvest\Shige\Shigekiyo response:	Shigekiyo Ya
context: Har\Harv\Harve\Harves\Harvest\Shige\Shigekiyo\Shigekiyo Ya response:	Shigekiyo Yan
context: Harv\Harve\Harves\Harvest\Shige\Shigekiyo\Shigekiyo Ya\Shigekiyo Yan response:	Shigekiyo Yangu
context: Harve\Harves\Harvest\Shige\Shigekiyo\Shigekiyo Ya\Shigekiyo Yan\Shigekiyo Yangu response:	To All the Good Kids Let's All Play Nice Morioh Town
context: Harves\Harvest\Shige\Shigekiyo\Shigekiyo Ya\Shigekiyo Yan\Shigekiyo Yangu\To All the Good Kids Let's All Play Nice Morioh Town response:	Hey, Shigekiyo. Can I call you Shigechi?
context: Harvest\Shige\Shigekiyo\Shigekiyo Ya\Shigekiyo Yan\Shigekiyo Yangu\To All the Good Kids Let's All Play Nice Morioh Town\Hey, Shigekiyo. Can I call you Shigechi? response:	Sure.
context: Shige\Shigekiyo\Shigekiyo Ya\Shigekiyo Yan\Shigekiyo Yangu\To All the Good Kids Let's All Play Nice Morioh Town\Hey, Shigekiyo. Can I call you Shigechi?\Sure. response:	Shigechi, we can't take this.
context: Shigekiyo\Shigekiyo Ya\Shigekiyo Yan\Shigekiyo Yangu\To All the Good Kids Let's All Play Nice Morioh Town\Hey, Shigekiyo. Can I call you Shigechi?\Sure.\Shigechi, we can't take this. response:	What you tried to do just now
context: Shigekiyo Ya\Shigekiyo Yan\Shigekiyo Yangu\To All the Good Kids Let's All Play Nice Morioh Town\Hey, Shigekiyo. Can I call you Shigechi?\Sure.\Shigechi, we can't take this.\What you tried to do just now response:	is the same as trying to buy friendship with money.
context: Shigekiyo Yan\Shigekiyo Yangu\To All the Good Kids Let's All Play Nice Morioh Town\Hey, Shigekiyo. Can I call you Shigechi?\Sure.\Shigechi, we can't take this.\What you tried to do just now\is the same as trying to buy friendship with money. response:	Huh? B-But that's not what I meant!
context: Shigekiyo Yangu\To All the Good Kids Let's All Play Nice Morioh Town\Hey, Shigekiyo. Can I call you Shigechi?\Sure.\Shigechi, we can't take this.\What you tried to do just now\is the same as trying to buy friendship with money.\Huh? B-But that's not what I meant! response:	I believe that friendship is
context: To All the Good Kids Let's All Play Nice Morioh Town\Hey, Shigekiyo. Can I call you Shigechi?\Sure.\Shigechi, we can't take this.\What you tried to do just now\is the same as trying to buy friendship with money.\Huh? B-But that's not what I meant!\I believe that friendship is response:	something that grows between people through a common bond.
context: Hey, Shigekiyo. Can I call you Shigechi?\Sure.\Shigechi, we can't take this.\What you tried to do just now\is the same as trying to buy friendship with money.\Huh? B-But that's not what I meant!\I believe that friendship is\something that grows between people through a common bond. response:	I was just...
context: Sure.\Shigechi, we can't take this.\What you tried to do just now\is the same as trying to buy friendship with money.\Huh? B-But that's not what I meant!\I believe that friendship is\something that grows between people through a common bond.\I was just... response:	I know. I totally get how you feel.
context: Shigechi, we can't take this.\What you tried to do just now\is the same as trying to buy friendship with money.\Huh? B-But that's not what I meant!\I believe that friendship is\something that grows between people through a common bond.\I was just...\I know. I totally get how you feel. response:	We're all Stand user buddies.
context: What you tried to do just now\is the same as trying to buy friendship with money.\Huh? B-But that's not what I meant!\I believe that friendship is\something that grows between people through a common bond.\I was just...\I know. I totally get how you feel.\We're all Stand user buddies. response:	And so...
context: is the same as trying to buy friendship with money.\Huh? B-But that's not what I meant!\I believe that friendship is\something that grows between people through a common bond.\I was just...\I know. I totally get how you feel.\We're all Stand user buddies.\And so... response:	Why don't we do a little business and strike up a friendship?
context: Huh? B-But that's not what I meant!\I believe that friendship is\something that grows between people through a common bond.\I was just...\I know. I totally get how you feel.\We're all Stand user buddies.\And so...\Why don't we do a little business and strike up a friendship? response:	Business?
context: I believe that friendship is\something that grows between people through a common bond.\I was just...\I know. I totally get how you feel.\We're all Stand user buddies.\And so...\Why don't we do a little business and strike up a friendship?\Business? response:	Yeah. A business using all three of our powers.
context: something that grows between people through a common bond.\I was just...\I know. I totally get how you feel.\We're all Stand user buddies.\And so...\Why don't we do a little business and strike up a friendship?\Business?\Yeah. A business using all three of our powers. response:	Right here?
context: I was just...\I know. I totally get how you feel.\We're all Stand user buddies.\And so...\Why don't we do a little business and strike up a friendship?\Business?\Yeah. A business using all three of our powers.\Right here? response:	That's your elbow. No, business.
context: I know. I totally get how you feel.\We're all Stand user buddies.\And so...\Why don't we do a little business and strike up a friendship?\Business?\Yeah. A business using all three of our powers.\Right here?\That's your elbow. No, business. response:	Basically, I think you're at your limit for picking up lost change.
context: We're all Stand user buddies.\And so...\Why don't we do a little business and strike up a friendship?\Business?\Yeah. A business using all three of our powers.\Right here?\That's your elbow. No, business.\Basically, I think you're at your limit for picking up lost change. response:	So I have an idea for how we can use your Harvest
context: And so...\Why don't we do a little business and strike up a friendship?\Business?\Yeah. A business using all three of our powers.\Right here?\That's your elbow. No, business.\Basically, I think you're at your limit for picking up lost change.\So I have an idea for how we can use your Harvest response:	to make even more money.
context: Why don't we do a little business and strike up a friendship?\Business?\Yeah. A business using all three of our powers.\Right here?\That's your elbow. No, business.\Basically, I think you're at your limit for picking up lost change.\So I have an idea for how we can use your Harvest\to make even more money. response:	Huh?
context: Business?\Yeah. A business using all three of our powers.\Right here?\That's your elbow. No, business.\Basically, I think you're at your limit for picking up lost change.\So I have an idea for how we can use your Harvest\to make even more money.\Huh? response:	An idea that'll make us more money than Harvest picking up change?
context: Yeah. A business using all three of our powers.\Right here?\That's your elbow. No, business.\Basically, I think you're at your limit for picking up lost change.\So I have an idea for how we can use your Harvest\to make even more money.\Huh?\An idea that'll make us more money than Harvest picking up change? response:	It's not a bad thing, and it won't cause anyone trouble.
context: Right here?\That's your elbow. No, business.\Basically, I think you're at your limit for picking up lost change.\So I have an idea for how we can use your Harvest\to make even more money.\Huh?\An idea that'll make us more money than Harvest picking up change?\It's not a bad thing, and it won't cause anyone trouble. response:	S-So what's the idea?
context: That's your elbow. No, business.\Basically, I think you're at your limit for picking up lost change.\So I have an idea for how we can use your Harvest\to make even more money.\Huh?\An idea that'll make us more money than Harvest picking up change?\It's not a bad thing, and it won't cause anyone trouble.\S-So what's the idea? response:	That's where the business comes in!
context: Basically, I think you're at your limit for picking up lost change.\So I have an idea for how we can use your Harvest\to make even more money.\Huh?\An idea that'll make us more money than Harvest picking up change?\It's not a bad thing, and it won't cause anyone trouble.\S-So what's the idea?\That's where the business comes in! response:	Give Okuyasu and me half of what we make for the idea fee.
context: So I have an idea for how we can use your Harvest\to make even more money.\Huh?\An idea that'll make us more money than Harvest picking up change?\It's not a bad thing, and it won't cause anyone trouble.\S-So what's the idea?\That's where the business comes in!\Give Okuyasu and me half of what we make for the idea fee. response:	You'll take the other half, Shigechi.
context: to make even more money.\Huh?\An idea that'll make us more money than Harvest picking up change?\It's not a bad thing, and it won't cause anyone trouble.\S-So what's the idea?\That's where the business comes in!\Give Okuyasu and me half of what we make for the idea fee.\You'll take the other half, Shigechi. response:	The three of us are going to work together to pull off a huge project,
context: Huh?\An idea that'll make us more money than Harvest picking up change?\It's not a bad thing, and it won't cause anyone trouble.\S-So what's the idea?\That's where the business comes in!\Give Okuyasu and me half of what we make for the idea fee.\You'll take the other half, Shigechi.\The three of us are going to work together to pull off a huge project, response:	and we can all become happy.
context: An idea that'll make us more money than Harvest picking up change?\It's not a bad thing, and it won't cause anyone trouble.\S-So what's the idea?\That's where the business comes in!\Give Okuyasu and me half of what we make for the idea fee.\You'll take the other half, Shigechi.\The three of us are going to work together to pull off a huge project,\and we can all become happy. response:	O-Okay! That's fine, but wh-what should I do?
context: It's not a bad thing, and it won't cause anyone trouble.\S-So what's the idea?\That's where the business comes in!\Give Okuyasu and me half of what we make for the idea fee.\You'll take the other half, Shigechi.\The three of us are going to work together to pull off a huge project,\and we can all become happy.\O-Okay! That's fine, but wh-what should I do? response:	You know what this is, right?
context: S-So what's the idea?\That's where the business comes in!\Give Okuyasu and me half of what we make for the idea fee.\You'll take the other half, Shigechi.\The three of us are going to work together to pull off a huge project,\and we can all become happy.\O-Okay! That's fine, but wh-what should I do?\You know what this is, right? response:	Kameyu
context: That's where the business comes in!\Give Okuyasu and me half of what we make for the idea fee.\You'll take the other half, Shigechi.\The three of us are going to work together to pull off a huge project,\and we can all become happy.\O-Okay! That's fine, but wh-what should I do?\You know what this is, right?\Kameyu response:	A b-blue stamp!
context: Give Okuyasu and me half of what we make for the idea fee.\You'll take the other half, Shigechi.\The three of us are going to work together to pull off a huge project,\and we can all become happy.\O-Okay! That's fine, but wh-what should I do?\You know what this is, right?\Kameyu\A b-blue stamp! response:	Yeah! When you shop at one of Eastern Japan's biggest department store chains,
context: You'll take the other half, Shigechi.\The three of us are going to work together to pull off a huge project,\and we can all become happy.\O-Okay! That's fine, but wh-what should I do?\You know what this is, right?\Kameyu\A b-blue stamp!\Yeah! When you shop at one of Eastern Japan's biggest department store chains, response:	Kameyu, you get one sticker for every 100 yen you spend.
context: The three of us are going to work together to pull off a huge project,\and we can all become happy.\O-Okay! That's fine, but wh-what should I do?\You know what this is, right?\Kameyu\A b-blue stamp!\Yeah! When you shop at one of Eastern Japan's biggest department store chains,\Kameyu, you get one sticker for every 100 yen you spend. response:	I think there are a lot of people who
context: and we can all become happy.\O-Okay! That's fine, but wh-what should I do?\You know what this is, right?\Kameyu\A b-blue stamp!\Yeah! When you shop at one of Eastern Japan's biggest department store chains,\Kameyu, you get one sticker for every 100 yen you spend.\I think there are a lot of people who response:	don't collect these and just throw them away.
context: O-Okay! That's fine, but wh-what should I do?\You know what this is, right?\Kameyu\A b-blue stamp!\Yeah! When you shop at one of Eastern Japan's biggest department store chains,\Kameyu, you get one sticker for every 100 yen you spend.\I think there are a lot of people who\don't collect these and just throw them away. response:	There are these, too.
context: You know what this is, right?\Kameyu\A b-blue stamp!\Yeah! When you shop at one of Eastern Japan's biggest department store chains,\Kameyu, you get one sticker for every 100 yen you spend.\I think there are a lot of people who\don't collect these and just throw them away.\There are these, too. response:	Product Voucher
context: Kameyu\A b-blue stamp!\Yeah! When you shop at one of Eastern Japan's biggest department store chains,\Kameyu, you get one sticker for every 100 yen you spend.\I think there are a lot of people who\don't collect these and just throw them away.\There are these, too.\Product Voucher response:	yen
context: A b-blue stamp!\Yeah! When you shop at one of Eastern Japan's biggest department store chains,\Kameyu, you get one sticker for every 100 yen you spend.\I think there are a lot of people who\don't collect these and just throw them away.\There are these, too.\Product Voucher\yen response:	Meiwado Stationery Shop
context: Yeah! When you shop at one of Eastern Japan's biggest department store chains,\Kameyu, you get one sticker for every 100 yen you spend.\I think there are a lot of people who\don't collect these and just throw them away.\There are these, too.\Product Voucher\yen\Meiwado Stationery Shop response:	A voucher from a stationery shop, Meiwado, worth 20 yen.
context: Kameyu, you get one sticker for every 100 yen you spend.\I think there are a lot of people who\don't collect these and just throw them away.\There are these, too.\Product Voucher\yen\Meiwado Stationery Shop\A voucher from a stationery shop, Meiwado, worth 20 yen. response:	Oscar
context: I think there are a lot of people who\don't collect these and just throw them away.\There are these, too.\Product Voucher\yen\Meiwado Stationery Shop\A voucher from a stationery shop, Meiwado, worth 20 yen.\Oscar response:	A coupon from CD Shop Oscar,
context: don't collect these and just throw them away.\There are these, too.\Product Voucher\yen\Meiwado Stationery Shop\A voucher from a stationery shop, Meiwado, worth 20 yen.\Oscar\A coupon from CD Shop Oscar, response:	where you can trade in ten for 2,000 yen worth of merchandise.
context: There are these, too.\Product Voucher\yen\Meiwado Stationery Shop\A voucher from a stationery shop, Meiwado, worth 20 yen.\Oscar\A coupon from CD Shop Oscar,\where you can trade in ten for 2,000 yen worth of merchandise. response:	The cleaners, the toy shop Marchen Kids...
context: Product Voucher\yen\Meiwado Stationery Shop\A voucher from a stationery shop, Meiwado, worth 20 yen.\Oscar\A coupon from CD Shop Oscar,\where you can trade in ten for 2,000 yen worth of merchandise.\The cleaners, the toy shop Marchen Kids... response:	Nagasaki Cleaners
context: yen\Meiwado Stationery Shop\A voucher from a stationery shop, Meiwado, worth 20 yen.\Oscar\A coupon from CD Shop Oscar,\where you can trade in ten for 2,000 yen worth of merchandise.\The cleaners, the toy shop Marchen Kids...\Nagasaki Cleaners response:	Yotsuba Electronics
context: Meiwado Stationery Shop\A voucher from a stationery shop, Meiwado, worth 20 yen.\Oscar\A coupon from CD Shop Oscar,\where you can trade in ten for 2,000 yen worth of merchandise.\The cleaners, the toy shop Marchen Kids...\Nagasaki Cleaners\Yotsuba Electronics response:	Service Card
context: A voucher from a stationery shop, Meiwado, worth 20 yen.\Oscar\A coupon from CD Shop Oscar,\where you can trade in ten for 2,000 yen worth of merchandise.\The cleaners, the toy shop Marchen Kids...\Nagasaki Cleaners\Yotsuba Electronics\Service Card response:	And this is a card from Yotsuba Electronics.
context: Oscar\A coupon from CD Shop Oscar,\where you can trade in ten for 2,000 yen worth of merchandise.\The cleaners, the toy shop Marchen Kids...\Nagasaki Cleaners\Yotsuba Electronics\Service Card\And this is a card from Yotsuba Electronics. response:	Now, this is the important part.
context: A coupon from CD Shop Oscar,\where you can trade in ten for 2,000 yen worth of merchandise.\The cleaners, the toy shop Marchen Kids...\Nagasaki Cleaners\Yotsuba Electronics\Service Card\And this is a card from Yotsuba Electronics.\Now, this is the important part. response:	At Kameyu, for example, you can get cash back for these.
context: where you can trade in ten for 2,000 yen worth of merchandise.\The cleaners, the toy shop Marchen Kids...\Nagasaki Cleaners\Yotsuba Electronics\Service Card\And this is a card from Yotsuba Electronics.\Now, this is the important part.\At Kameyu, for example, you can get cash back for these. response:	Ah, a-are you... I got it, Josuke!
context: The cleaners, the toy shop Marchen Kids...\Nagasaki Cleaners\Yotsuba Electronics\Service Card\And this is a card from Yotsuba Electronics.\Now, this is the important part.\At Kameyu, for example, you can get cash back for these.\Ah, a-are you... I got it, Josuke! response:	I know what you're thinking!
context: Nagasaki Cleaners\Yotsuba Electronics\Service Card\And this is a card from Yotsuba Electronics.\Now, this is the important part.\At Kameyu, for example, you can get cash back for these.\Ah, a-are you... I got it, Josuke!\I know what you're thinking! response:	Let's go, you guys!
